8/1b2kp2/5P2/8/P3NKB1/1n5P/8/8 b - -,e7f8
r1b1k2r/p1q2pp1/2p2n1p/n1b5/8/2PN4/PP2BPPP/RNBQK2R b KQkq -,c5d6
r3r1k1/1p2qppp/2pp4/p1N5/2PQPP2/6PP/PP6/4RRK1 b - -,d6c5
1kr4r/1bq1npb1/p2p3p/PpnPp1pP/2p1P3/2P3P1/1P1NQPBN/R1BR2K1 w - -,h2g4
r2qk2r/1p1npp1p/p2p2p1/8/1nP1P3/2b2N1P/PP2QPP1/R1B2RK1 w kq -,b2c3
8/r4k1p/5bp1/2n1Bp2/2Pp4/1P5P/4RPP1/1K1R4 b - -,c5b3
1k1r1b1r/ppq3pp/2pp1n2/P3p3/2N1P1b1/BP2QN2/2P2PPP/R3R1K1 b - -,g4f3
r1rq2k1/1p3ppp/5n2/3P3P/1pPQ4/1P3B2/2K2PP1/3RR3 w - -,d1a1
4nk2/N4ppp/1p1n4/8/8/6P1/P4PBP/6K1 b - -,f8e7
5r2/1p6/p2Np1bP/P2kP3/5PP1/P7/2pB1K2/1rR5 b - -,d5d4
5rk1/p2b3p/6p1/1p1p4/4p3/PNP1Q3/1K3q2/3R4 w - -,e3f2
r2q1rk1/pb1nbppp/1pp5/3p4/Q2P1B2/5NP1/PP2PPBP/2R2RK1 b - -,h7h6
1r3rk1/3b2bp/p2q2p1/1p1p1p2/1Pn1n3/PQNNP3/R3BPPP/2R1B1K1 w - f6,c3e4
2r1r1k1/p4ppp/1p1ppn2/n1p5/2BP4/P1P1PN2/3B1PPP/1R3RK1 b - -,a5c4
rnb2rk1/pp2qpbp/3p1np1/2pP2N1/2P1P3/2N2P2/PP4BP/R1BQ1RK1 b - -,a7a6
2b1r1k1/2p2ppp/2PP4/1p2P3/6P1/5P2/6BP/3R2K1 b - -,c7d6
r2q1rk1/pp1bbppp/2nnp3/3p4/3P1B2/2NBPN1P/PP3PP1/2RQ1RK1 w - -,a2a3
rnb1kb1r/1p3ppp/p3pn2/2P5/P1p5/2N2NP1/1P2PPBP/R1BqK2R w KQkq -,c3d1
r3k2r/1pqnbppp/p2pbn2/P3p1N1/4P3/2N1B3/1PP2PPP/R2QKB1R w KQkq -,g5e6
8/6k1/2nb4/p3p2p/Pp3p2/1P3N1P/2N2PP1/6K1 b - -,g7f6
r1q5/2p2p1k/rpNp1b2/3PpPp1/P1P1P1Pp/RQ5P/R1K5/8 w - -,b3b4
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/2N1B3/PPP1NPPP/R2QKB1R b KQkq -,c8e6
r1r4k/1p4pp/3p4/1p1b1p2/1P3P2/P2P2qP/2B1QRP1/R5K1 b - -,c8e8
2rrb3/p3kpp1/1qn1pb1p/2N5/1Pp4P/P5P1/1B3PB1/1QR1R1K1 w - -,b2f6
8/2R2pk1/5qp1/2pQ3p/1rP2P2/5KP1/7P/8 b - -,b4b2
8/6k1/8/6p1/4K1Pn/5P2/8/4N3 b - -,g7f6
rn1qk2r/1pp2pbp/3p1np1/p2Ppb2/2P5/P1N1PN2/1P2BPPP/R1BQ1RK1 w kq -,c1d2
r5k1/pp1r1ppp/q2p1bb1/2pP4/2P5/4B2P/PP1QRPP1/R4NK1 w - -,a1e1
1rb1k2r/5ppp/p3p3/q1b1P3/2pN1B1P/2p1Q3/P1P2PP1/K2R3R w k -,d1b1
r1b1kbnr/ppqp1ppp/8/3Qp3/2B1P3/8/PPP2PPP/R1B1K1NR b KQkq -,d7d6
8/5pkp/1b4p1/3R4/1r6/6PP/3R1PK1/8 b - -,h7h6
3n4/6k1/2n2p2/2P1p1p1/4P3/3QBNP1/q4PK1/8 b - -,a2e6
r2q2k1/1p3rbp/3p4/p1pPpbp1/2P1N3/5PB1/PP4PP/2RQR1K1 w - -,g3f2
2rqrnk1/1b2bppp/pp1p4/2p1p3/P3P3/3PBBPP/1PP1NP2/R2QR1K1 w - -,f3g2
1r1r2k1/1bp2p1p/1p4p1/p2P4/P1P2Pq1/N5Q1/1P5P/R2R2K1 b - -,g4e2
1r3r1k/1bqN2bp/p2p2p1/PppPpp2/4P3/1P3P2/2PQ2PP/R2NRBK1 b - -,c7d7
8/2B5/krK5/8/2R5/8/8/8 w - -,c6d7
6n1/8/6kp/2N5/1p3KP1/P7/8/8 b - -,b4a3
r1bqkb1r/pp1n1pp1/2n1p2p/2ppP3/3P4/2PB4/PP1NNPPP/R1BQK2R w KQkq -,e1g1:d2f3:f2f4
3q3r/1Rn2ppk/p3p3/6p1/2pP4/6QP/P1P1NPP1/6K1 b - -,c7b5
2kr1b1r/1bp1qpp1/p1n1n2p/P1NpP3/1p1P4/1B2BP2/1P4PP/RN1QR1K1 w - -,c5b7
r4rk1/1ppq2pp/p1p3n1/5b2/8/2N5/PPP1QPPP/R1B1R1K1 b - -,a8e8
r3k2r/pp1n1ppp/1qp1pn2/5b2/PbBP4/1QN1PN2/1P3PPP/R1B2RK1 w kq -,c1d2:c3a2
5k2/2p1bppp/B3pn2/1N2P3/4b3/6P1/pB2PP1P/6K1 b - -,f6d5
r3k2r/4ppbp/1Bp1b1p1/8/8/8/PPP2PPP/2KR1B1R w kq -,a2a4
1k6/1p5R/p5p1/8/3n1P2/rB1K2P1/P6P/8 b - -,d4b3
rn1q1rk1/p4ppp/1p3n2/3p4/2pP2b1/P1P1PN2/2B2PPP/R1BQ1RK1 w - -,d1e1
1rkr4/6pp/p3pp2/1pnn1P2/6P1/2B5/PPP3BP/2KR3R w - -,c3d4
r3r1k1/6pp/5pb1/2NP4/pPPQ1p2/P7/1Bq3PP/2R3K1 b - -,c2f5
8/4bk1p/p1p1p1p1/4Pp2/Pp3P2/1q5P/1P4PK/5QB1 w - -,f1a6
r4rk1/pp2qbpp/5p2/2bpnN2/8/P1B2P1Q/1PP3PP/1K1R1B1R b - -,e7c7
r2r2k1/1bqn1pbp/pp1ppnp1/8/2P1PB2/2NB1N1P/PP2QPP1/2RR2K1 w - -,b2b3
r1b1k2r/2qn1ppp/p2ppb2/1p4P1/3NPP2/2N2Q2/PPP4P/2KR1B1R b kq -,f6d4
3qr1bk/1p4bp/p1pBp3/2Pp1p2/1P1P2r1/4P3/P1Q1N1PP/4RRK1 b - -,g4e4
b1r3k1/5pp1/p5qp/P1b1r3/3Np3/2P1N3/4QPPP/R1R3K1 w - -,e2g4
1q4rk/r2n1p1p/2p1nP2/4p2P/p3P3/2Q3N1/PP2N3/2R2R1K w - -,c1c2
r2q1rk1/pppbbpp1/1n2p2p/3n4/3P3B/2NBPN2/PP3PPP/R2Q1RK1 w - -,h4e7
r3k2r/pbqpbpp1/1p2p2p/n3P3/3P4/2PB1NB1/P3QPPP/R4RK1 w kq -,c3c4
r4rk1/pp3ppp/2bppn2/2q5/4PP2/2NB1Q2/PPP3PP/4RR1K w - -,f3h3
r4r1k/1pp1q2p/2np4/5b2/2BP1B2/pPQ1PN1P/P4P2/2K3R1 b - -,a8e8
r2q1rk1/pp2ppbp/2np2p1/2p5/2PP2b1/1PB1PNP1/P4PBP/R2Q1RK1 b - -,c5d4
r3k2r/3nbp2/p1p1pn1p/1pPp1bp1/1P1P4/2N1PNBP/1P2BPP1/R3K2R w KQkq -,e1g1
5k2/p7/1b2pNp1/4Pr2/8/5P2/P4P2/3R2K1 w - -,g1g2
r4rk1/p3ppbp/bqnp2p1/2p3B1/1p2PP2/2PP3P/PPB3P1/1NRQR1K1 w - -,g1h1
r2qkb1r/pp1npppp/2p2n2/5b2/4p1P1/1PN1Q2P/PBPP1P2/R3KBNR b KQkq g3,f5g6
2rr2k1/5pp1/n1p1p2p/ppb5/2P1P3/PP4P1/3N1PBP/R1R3K1 w - -,c1c2
3rqr1k/p3bpp1/1n5p/2p2B2/5B2/4P2P/PPQR1PP1/5RK1 w - -,d2d8
2rr1bk1/1pq2ppp/pn1pbn2/4p3/P3P2P/1PN1NB2/1BP1QPP1/R3R1K1 b - h3,g7g6
1r1r2k1/pp2q2p/3p2pn/5p2/2P1p3/bPN1P1PP/P1R1QPK1/3RB3 b - -,h6f7
2r4q/pp3k2/4p1p1/5bp1/3Q4/7B/Pr2P2P/3RK1R1 w - -,d4d7
r2q1rk1/pp2bppp/2p1b3/4p3/8/2PBB3/PPPQ1PPP/1K1R3R w - -,d2e2
r2qrbk1/ppp2ppp/3pbn2/2n1P3/2B2B2/2N2N2/PPP2PPP/R2QR1K1 w - -,c4b5
r1bqkb1r/pp1ppppp/2n2n2/1Bp1P3/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,f6d5:f6g4
4r1k1/4Rp2/5P2/4PK2/8/8/8/8 b - -,e8a8
4rb1k/r2p1p2/6p1/n2N1qNp/3P3P/1p3BP1/1P3P2/2RQ2K1 b - -,f8h6
2r1qrk1/1p2ppbp/1p4p1/4n3/4P1b1/2N2NP1/PP2QPBP/2RR2K1 w - -,c3d5
6k1/1p2rn1p/p2pN1p1/3Pqp2/1P6/3P3P/P2Q2P1/5R1K w - -,f1c1
2rqr1k1/pb1nppbp/1pp3p1/8/2PPQ3/1P3NP1/PB3PBP/3R1RK1 b - -,d8c7
r5kb/1bq1pn1p/p2p1rp1/2pP3n/PpP1NP2/4B2P/1P2B1PQ/R2N1RK1 b - -,h5g7
r4rk1/pp2ppbp/2bp1np1/q7/4PP2/2P3N1/P1BP2PP/R1B1QRK1 b - -,a8c8
3r1rk1/pp5n/1b1p1p1p/3P2pN/2p1P3/1PP3PP/1P4KN/R3R3 b - -,c4b3
2krr3/1p4p1/p1p2pp1/2n5/5P2/bP2P2P/P1RBKNP1/7R w - -,b3b4
8/3Bn3/6p1/p2r1p2/N2kp3/2R5/2P4P/4K3 b - -,d5d7
3r1rk1/pp2bpp1/1n5p/q1pbP3/1n2Q3/P4NPP/1P1N1P2/R1B1RBK1 w - -,e4b1
3r2k1/1pp2qpp/p1p2p2/2b1pP2/3rR1Q1/1P1P4/P1PB1PPP/4R1K1 w - -,g1f1
3q4/1b4kp/pp2pp2/2p1P3/P4Q1P/2N5/1PP2PP1/6K1 b - -,f6e5
r2q1rk1/ppp1p1bp/6p1/3P1p1n/4P3/2N1BQ2/PP3PPP/2R2RK1 b - -,f5f4
r1b1kb1r/pp3ppp/2n1pn2/3q4/3P4/4BN2/PP3PPP/RN1QKB1R w KQkq -,a2a3:b1c3
r4rk1/1bq2ppp/pp1bpn2/2p1n3/P1P5/2NPPNP1/1B2QPBP/R2R2K1 w - -,f3e5
1R6/5p1k/6p1/8/3Q4/1P3KP1/4r2P/5q2 w - -,f3g4
rn1qkbnr/1p1b1ppp/p3p3/3pP3/3p4/2P2N2/PP2BPPP/RNBQK2R w KQkq -,c3d4
q5k1/5pp1/1pp1b2p/r1b5/P1P1Pn2/3R2BP/2Q3P1/5B1K w - -,g3f4
4r1k1/pb2r3/1p1q1pp1/2pP3p/2P2P2/4B1P1/PQ5P/2R1RBK1 b - -,e7e3
rnbq1rk1/p2pppbp/1p3np1/2p5/3P4/2PBPN2/PP1N1PPP/R1BQK2R w KQ -,d1e2:e1g1
2r2rk1/p3qp1p/1pn1p1p1/3pP3/3P1P2/5NP1/PPQ2KP1/2R2R2 w - -,c2d2
8/2R5/2p2kp1/2P1p3/4P1p1/6P1/5PK1/3r4 w - -,c7c6
3kr3/r2n2p1/1p6/3Q4/1q1P4/1N4P1/P1R2P2/1K5R w - -,h1c1
8/8/1r6/1P3p2/1R4pk/4K3/8/8 w - -,e3f4
6k1/p2nnpp1/4p3/2ppP1NP/b7/2PP1B2/2q2P1N/4Q1K1 b - -,c2d3
rn2k2r/pp3p2/2pb1p1p/3p1b1P/3P4/2N1PN2/PP3PP1/R3KB1R w KQkq -,f3h4
r2qk2r/1p1nbpp1/p1p1p1n1/P2pP3/3P3p/1N1b4/1PP2PPP/R1BQNRK1 w kq -,e1d3
rnbqk2r/pp2nppp/1b1Bp3/1N2P3/2Bp4/P7/1P3PPP/R2QK1NR w KQkq -,c4d3
3q1bk1/5p1p/b2p2p1/3P4/8/2Q1NBP1/5PK1/8 w - -,c3c6
3rr1k1/2q2pp1/pn5p/1p1bp3/1P2N3/1BP1Q2P/P4PP1/2R1R1K1 b - -,c7c6
r1bq1rk1/1p3p2/2pp1bpp/4pn2/1pP5/P1NPP1P1/3N1PBP/1R1Q1RK1 w - -,a3b4
8/3k1K1p/2P3p1/3P4/4nP2/pB6/7P/8 b - -,d7d6
7r/8/4R3/1k6/6p1/4K1P1/7P/8 b - -,b5c5
r3k2r/p2q1ppb/1ppbp2p/3p4/2PP4/4PPP1/PP1N3P/2RQKB1R w Kkq -,d1b3
rnb2rk1/ppp1qppp/3ppn2/8/2PP4/3BPN2/PP1N1PPP/R2Q1RK1 b - -,e6e5
r2q1rk1/1b1n1pbp/pp4p1/2pPp3/2B1P3/2P1BN1P/P1Q2PP1/1R2R1K1 b - -,d8c7
8/1k1K4/1pr4p/6pP/P3R3/8/8/8 b - -,c6c5
5k1r/pp3b1p/5Nn1/3p1B2/3P4/6R1/Pq2r1PP/3Q1RK1 w - -,f6h7
5k2/p5p1/2p1r1P1/3pP2p/3KnB1P/4P3/P7/6R1 b - -,e4d2
7k/7p/6p1/2q5/1Npbb3/P2p3P/1P1Q1PP1/2R3K1 b - -,h8g7
3r1r1k/pp2qbpp/1n3p2/2pP1P2/4P1P1/P2B1N2/2Q4P/R4RK1 b - -,e7d6
r3k2r/1b3p2/1qn1p1pn/p1bpP2p/Qp3P2/2PBBN2/PP2N1PP/R3K2R w KQkq -,e2d4
r2q1rk1/1pp2p2/1b2b1Np/pP1pp3/P2P4/7P/5PP1/RBBQR1K1 b - -,f7g6
2k4r/1r1qb1pn/pp1p1pn1/2pPp2p/P1P1PP1P/2N3P1/1PQB1N2/2KR3R w - -,f4f5
2rr3k/5p2/1bp1nN2/1p2P1pp/p2P3R/P3Pb1P/1PBR4/5NK1 w - -,d2f2
2r2rk1/Bp1n1pb1/n3q1p1/3N3p/1P2P3/1Q5P/P3BPP1/3R1RK1 b - -,e6e4
r3r1k1/pp6/2p2ppb/3pPb2/8/2PN3P/PP2KPB1/3RR3 w - -,f2f4
8/p7/1p1k4/1Pp5/5K2/PP6/8/8 w - -,f4e4
5Rrk/ppq4r/2pn1Q2/1P6/P7/6P1/1p3PBP/4R1K1 b - -,h7g7
r2qkb1r/pp3ppp/2p2n2/2n1p3/3pP1P1/3P1Q1P/PPPBNPB1/R3K2R b KQkq -,f8e7
7k/8/3nN1Rp/p7/5P2/6P1/4r2P/6K1 b - -,d6f5
8/4r3/R3pk1p/4p2K/2BpPbPP/3P4/8/8 w - -,a6a2
1r2r1k1/6p1/pp1R3p/3Pp3/8/5PP1/PP3P2/3R2K1 b - -,e5e4
8/3R4/1n6/R7/1k1p4/6P1/3r1PKP/8 w - -,d7a7
8/8/8/8/4k1p1/2P5/4K3/8 b - -,g4g3
6k1/2q2pp1/1p5p/p2Q3P/P3P3/1P4P1/5PK1/8 b - -,c7e7
1k1r1b1r/pP3pp1/4p3/7p/4Q3/P3P2q/R2PKPRn/1N3B2 w - -,b1c3
r3k2r/p1qn1pp1/2pbpn1p/8/Np1P4/4P3/PPQ1BPPP/R1B2RK1 w kq -,g2g3
2r1k2r/1p2bppp/pq1p1n2/8/4PBP1/1b5P/NPP1Q1B1/2KR3R w k -,a2c3
rn1qkb1r/1b3ppp/p2p1n2/4p3/Pp1NP3/3BBP2/NPP3PP/R2QK2R w KQkq -,d4f5
r1b2rk1/pp4bp/1n2pqp1/2p5/2PpNP2/3PBBP1/PP5P/2R1QRK1 b - -,f6e7
r3k1r1/pp1n1pq1/4p2p/1B1pP2P/5QP1/2P5/P1PK4/R6R b q -,e8c8
1r5r/2p2pk1/1n1b2pp/p3p3/4P1bB/1BP2N2/1PK2PPP/3RR3 w - -,e1e3
3r3k/7p/p7/1p1q4/6QP/3p2P1/P2R3K/8 w - -,g4b4
r2r2k1/2q2pb1/1pb3p1/4p3/P1Q1P3/1NN4P/1PP2RP1/4R1K1 b - -,c7b7
4r3/1pR2pk1/1p4p1/3P3p/4P3/7P/rPb3P1/5RK1 w - -,f1f7
8/8/3n2B1/1pk3p1/6K1/8/8/8 w - -,g4g5
1q1r1bk1/5p1p/6p1/1b2N3/pp3P2/1P2N1Q1/P2r2PP/1R2R2K w - -,b3a4
5r1k/5pbp/p5pn/4p3/2p1N3/2N3PP/4PPB1/1R4K1 b - -,f7f5
3k4/pp2rp2/2p2rp1/P2p3p/7P/3N1BP1/5K2/1R6 w - -,d3c5
8/8/6R1/4k3/5b1r/4pB2/4K3/8 w - -,g6g1
2r1r1k1/2q1n3/p5pQ/1p2np2/3BB3/6Pp/PPP4P/3R1R1K w - f6,e4d3
r1bq1rk1/ppp2ppp/3b4/3Pp2n/2B1P2n/P1N1B2P/1P2NPP1/R2Q1RK1 w - -,g1h2
2r2rk1/ppqb1pp1/1n5p/3pN3/3P1P2/P1PB4/2Q3PP/R4RK1 w - -,f1f3
1rr2bk1/p2q1pp1/2npbn1p/P1pBp3/Qp2P3/2PPNN1P/1P3PP1/R1B1R1K1 w - -,c1d2
5r2/4qpk1/2p2n1n/1pb1p1N1/p3P2p/P4P2/BPPBQ1K1/4RR2 w - -,f1h1
3q1rk1/1p2ppb1/p2pb1p1/7n/2r1P2P/2N1BP2/PPPQN3/1K1R3R w - -,e3h6
4r1k1/pp2bppp/3Bn3/q1r5/4p3/2N1P2P/PPQ2PP1/1K1R3R b - -,e7d6
rn1q1rk1/1p2ppbp/2p1bnp1/p2p4/2PP3N/1P4P1/P2NPPBP/R1BQ1RK1 w - a6,c1b2
8/2p5/3b1p2/p2P2p1/4B1P1/2k2P2/K7/8 w - -,a2b1
1r3rk1/2qbbnpp/3ppp2/pp6/4P3/PNN3B1/1PPQ1PPP/3R1RK1 w - -,c3a2
1q3r2/1p3pbk/pBrp1npp/P3p3/4P3/3Q3P/NPP2PP1/R2R2K1 b - -,b8c8
2r3k1/2q1npb1/1p4pp/4P3/3p1P2/P2Q1NP1/4N2P/2B3K1 b - -,c7c4
r2qkb1r/pp2pppp/1np5/3p1b2/3Pn3/1P3NP1/P1PNPPBP/R1BQ1RK1 w kq -,c1b2
r5k1/1p3ppp/1p1N4/3P4/8/7P/Pbr2PP1/1R3RK1 b - -,b2d4
2rr1bk1/1bq2pp1/pp1ppn2/2n3p1/2PNP3/1PN1BP2/P3Q1BP/2R1R1K1 w - -,e3g5
8/6R1/4kpp1/5r1p/5K1P/6P1/5P2/8 w - -,f4e3
5rk1/1r5p/3p4/2pP1pP1/6P1/1P1RP2P/R7/6K1 b - -,f5g4
8/8/8/5p1R/3bkB2/6P1/5r2/4K3 b - -,f2g2
r1bbq3/1p3r2/p1p1p1k1/2Pp1p1p/PP1P1PpP/3BP1P1/R1Q3K1/1R2B3 b - -,d8c7
rnb1kb1r/pp1ppp1p/5np1/2q5/2P1P3/2N2P2/PP4PP/R1BQKBNR b KQkq e3,d7d6
8/pp3pkp/2b3p1/8/2P5/7P/PP3PP1/3N2K1 w - -,f2f4
8/1R3p1p/3ppk2/7p/r1r1PP2/5K2/1P1R2PP/8 w - -,d2d6
3r2k1/1p3p1p/6p1/pN1p4/6P1/2PKPR1P/3N4/7r b - -,a5a4
3R4/p2P1pk1/6p1/7p/7P/6r1/3r4/R4K2 w - -,f1e1
8/6b1/6k1/p7/P2pK2p/7B/8/8 w - -,h3g4
r3k2r/pp1n1ppp/2p1pnb1/8/1bP4N/2N3P1/PP1RPPBP/R1B3K1 w kq -,h4g6
rnbqkbnr/1p3ppp/p3p3/3pP3/3N4/3B4/PPP2PPP/RNBQK2R b KQkq -,b8c6
5n2/3q2bk/6p1/1pQBP2p/P6P/6P1/7K/5R2 b - -,b5a4
2q1r1k1/1p2rpp1/p4n1p/5P2/7Q/P2B3P/2P3P1/1R3R1K b - -,e7e3
r2r2k1/ppqn1pp1/4pbp1/2P5/1P6/2B2N2/P1Q2PPP/2RR2K1 w - -,f3d4
5rk1/2n5/p2p1p1p/2pP1qp1/1rP1N3/4QP1P/R5P1/3R2K1 w - -,e4d6
r2q1rk1/pp3pbp/2np2p1/2pNp3/2P1P3/P2P1N2/1P3PPP/R2Q1RK1 w - -,b2b4
rnb2rk1/p3bppp/1Pq1pn2/8/1PB5/2P2N2/P2N1PPP/R1BQK2R b KQ -,a7b6
rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/5NP1/PPQ1PPBP/RNB2RK1 w - -,b1c3
r2qkb1r/pp1n1ppp/2p1p3/3n3b/2pPP1PN/2N4P/PP3PB1/R1BQ1RK1 b kq e3,d5c3
6k1/4npp1/1p5p/4q3/1P2p1P1/2N1P2P/3Q1P2/6K1 b - g3,b6b5
2rq1rk1/pp2ppb1/1nn3p1/1Qp4p/6bP/2NPBNP1/PP2PPB1/R4RK1 b - -,c6d4
1k6/2p5/pp2r2p/3r2p1/1P1pQnP1/P2N2KP/2P2P2/8 w - -,e4h7
r2qr1k1/ppp1bp1p/2n1b1p1/8/3P4/2NBnN1P/PP1Q1PP1/R3R1K1 w - -,f2e3
2rrbk2/1p3p1p/p1np1np1/2q1p3/P1P1P3/1PN2PP1/1Q2N1BP/1R1R3K w - -,d1d3
3r2k1/2q1br1p/4bppQ/2p1N3/p2p3P/P2N2P1/1P2PPB1/2RR2K1 b - -,f6e5
r2q1rk1/pp1nppbp/n2p2p1/2pP4/2P1P3/2N1BB2/PP3PPP/2RQ1RK1 b - -,a6c7
4r3/3q1p1k/1p4rp/pP1pR3/2pP3P/1PR3P1/5P2/3Q2K1 w - -,b3c4
1q3rk1/1brn1pbp/pp2p3/3p2Pp/2P4Q/1PN1BN2/P3PP1P/2RR2K1 w - -,h4h5
2kr4/pp1nb3/2pp1p2/4p1p1/2B1P2r/2PPBPNb/PP5P/3RR1K1 b - -,a7a5
2b5/8/1R6/P7/1P1N1Kpk/8/8/r7 b - -,a1f1
8/5p1k/4p1rp/1p1pP3/1B1K2R1/3P1PR1/2r3P1/1b6 b - -,c2e2
r3r1k1/pp1b2p1/1n3pq1/2B1n2p/2PNp1P1/PPQ2P2/4P1BP/4RRK1 b - -,e4f3
r1bq1rk1/1p2b1pp/p1n1pn2/3p4/P2P1B2/2NB1N2/1P3PPP/R2Q1RK1 w - -,f4g5
1rb1rbk1/1pq2p1p/p2p1np1/P1pPB3/N1N5/4P2P/1P3PP1/2RQKB1R b K -,d6e5
r1bqr1k1/ppp2pbp/1n4p1/4n3/3P4/2N1P1P1/PP2QPBP/R1B2RK1 w - -,d4e5
r1bq1b1k/2p2rpp/ppp1np2/4pN2/P1N1P3/3P1PQ1/1PP3PP/R1B2R1K b - -,c8d7
r2q1rk1/1b2bppp/1Pp1pn2/2n5/2P5/P3PN2/1B1NBPPP/R2QK2R b KQ -,c5a4
r2q1rk1/1bp1npbp/p2p2p1/np6/3PPB2/2N2N1P/PPB2PP1/R2Q1RK1 b - -,d8d7:h7h6
5rk1/4pp1p/5b2/8/4p1r1/5N2/PP3PPK/R6R w - -,h2h3
1q4r1/4kp2/p2p1n2/2pPpp2/2P1Pn1P/2N2P2/P1RK4/2Q5 b - -,g8g2
5k2/1b3rp1/p4nQp/1pP2N2/8/7P/PP3PP1/6K1 w - -,f5d6
1n1q1rk1/r4pbp/p1p3p1/1p1pnb2/2P5/BP3NP1/P2NPPBP/R2Q1RK1 b - -,f8e8
r3qr2/ppp3k1/4b2p/3pP1p1/5p1P/2P5/PP1BQ1P1/R4RK1 b - -,e8d7
8/1pp1kp2/6p1/2pR2Pp/2P1PP2/1P3K2/8/1r6 w - -,f4f5
8/3r1kpp/1p2p3/p1p5/P1P5/4R2P/2P2PP1/6K1 w - -,e3b3
r1n1r1k1/2qbbp2/p2p2p1/PppPp2p/4PnP1/1PP1BN1P/2B2P1K/R2QRN2 w - h6,e3f4
r1r5/p2bppkp/3p1np1/qp2n3/3NP2P/1BN2P2/PPPQ2P1/1K1R3R b - h3,h7h5
2k5/2p5/pp6/2n4R/P5Pr/2P5/1PB5/1K6 b - -,h4h5
2r3k1/5p2/1p2p1pp/p2nN3/8/P2RPKP1/1P1R1P1P/2r5 b - -,c1e1
bn1q1rk1/5ppp/3p1b2/1ppP4/4P3/3B1N2/3N1PPP/3Q1RK1 w - -,d3b5
6k1/p4p1p/4pPp1/q2pP3/b1p2P2/n1PPQB2/rr2N2P/2R2RK1 w - -,d3d4
rn1q1rk1/pp2npbp/2ppp1p1/8/P2PP3/2N2B1P/1PP2PP1/R1BQ1RK1 w - -,c1g5
8/8/8/8/8/4n2p/4k2K/8 w - -,h2h3
4rrk1/pp2qpp1/2bb3p/4p3/4P3/P2B4/1PPNQ1PP/R4RK1 w - -,b2b4
8/4k1b1/1p1p1pP1/1PpP2P1/3pP3/3P4/8/r2BK2R b - -,f6g5
2kr3r/1pp2ppp/1qb1pn2/p7/PbBP4/1PN1QP2/1BP3PP/1K1RR3 w - -,e1e2
4kb1r/1p3pp1/pnr1p3/7p/3P4/2N1B3/PP3PPP/R4RK1 b k -,f8b4
8/4p3/6p1/3Pk1Np/r6P/5BK1/6P1/8 b - -,a4b4
