6k1/2R3b1/6p1/6P1/1B3P2/4K3/8/3r4 b - -,g7b2
rnbr2k1/pp2bppp/2p2n2/q3p3/4P3/P1NB1N1P/1PP1QPP1/R1B2RK1 b - -,b8d7
r1bq1rk1/pp1pnpbp/2n3p1/2p1p3/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 b - -,d7d5:a7a5:d7d6
r2q1rk1/pp2bppb/2p2n1p/8/3P1P1N/6P1/PP4BP/R1BQR1K1 w - -,h4f3
2r5/5p2/1pr1pk2/pR1p1P1p/P1PP2pP/1P1K2P1/8/2R5 w - -,f5e6
rnb2rk1/pp2ppbp/6p1/2pqP3/5P2/3B1N2/PPP1Q1PP/R1B1K2R b KQ -,b8c6:c8f5
r1r3k1/3b1p2/4p2b/np6/p2NN1P1/P1P4P/1P4P1/3RR1K1 w - -,e4f6
3r4/3r3p/1k3pp1/4p3/1b1n4/1N1RB3/1K3PPP/3R4 b - -,b6b5
6k1/1p3bp1/p1n2p1p/P1Pp4/qP1B2P1/2P4P/6B1/4Q2K w - -,e1d2
3bbrk1/1pp3p1/3p1q1p/3Pp3/pP2R3/P4BP1/3NQP1P/6K1 b - -,c7c6
2r2bk1/p4p1p/6p1/1pn5/P3R3/2P3PP/5PK1/3R4 w - -,e4e5
8/8/8/1Pk1n1p1/K5P1/8/4B3/8 b - -,c5b6
r3r1k1/pq2ppbp/5np1/8/7Q/N1PbB3/PP1N1PPP/R3R1K1 w - -,d2b3
r7/pR6/5pk1/3P4/4n1p1/P7/1PP5/2K1B3 w - -,b7e7
8/2k5/7R/2pr4/8/4K3/7P/8 w - -,h6g6
rn1qkbnr/p3pppp/2p1b3/1p6/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq a3,b5b4
r2qkb1r/3b1ppp/p2ppn2/1p6/3NP3/P1N5/1PP2PPP/R1BQR1K1 b kq -,d8b6
5r2/1pkb1pb1/1p2p2p/2pPP2P/2R2P1N/8/r2KNBB1/8 w - -,c4c2
rnb1qr1k/b5pp/p1pp1n2/5p2/3N4/BP2P1P1/P3NPBP/R2Q1RK1 b - -,f6e4
8/p3k2p/1pp5/2b1pP2/2P5/1P5P/P3B1K1/8 w - -,e2f3
rn1qk2r/pbpp1ppp/1p2pn2/8/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R b KQkq -,d7d6
2rqkb1r/1p1n1pp1/p2pbn1p/4p3/4P1PP/1NN1BB2/PPP2P2/R2QK2R b KQk -,d7b6
r2qk2r/ppp2ppp/3b1n2/3Pp3/2BnP1b1/2N2N2/PP3PPP/R1BQR1K1 b kq -,d4f3
2r3k1/5pp1/1p5p/1qrp4/p2Q3P/P3P1P1/1P1R1P2/3R2K1 w - -,d4g4
r2qnrk1/pp2bppp/2npb3/2p1p3/P1N1P3/2PP1N2/BP1B1PPP/R2QR1K1 b - -,e8c7
8/1B6/3kpp2/3n2p1/3b2P1/5P2/3B2K1/8 w - -,g2f1
5k1Q/4p3/1p3p2/p1pPpP2/P1P1P2p/1P4qP/8/7K b - -,f8f7
r4rk1/1pp1qppp/p1n1pn2/5b2/2BP4/4PNP1/PP1N1PP1/R2Q1RK1 w - -,a1c1
2r2rk1/4q2p/p2p1bpP/1p1P4/4p1P1/P4n2/1PP1B1Q1/1KBR3R b - -,f6h8
r2q1rk1/1b2bp1p/p1n1pnp1/6B1/1p1P4/P1NQ1N2/BP3PPP/R3R1K1 w - -,c3a4
kb1R4/1p4N1/1Pp2p2/2P5/P7/8/5r2/1K6 b - -,f2e2
r1bqk1nr/pp3pbp/3pp1p1/1N6/2BpP3/Q7/PPPP1PPP/R1B1K2R b KQkq -,g7e5:e8e7:g7f8
3rkb1r/1pq2ppp/p1p1bn2/4p3/2P1P3/P2BB2P/1P3PP1/RN1Q1RK1 w k -,d1e2
5r2/p7/3r1bpk/1ppPp2p/4p2P/2PN1RP1/P5K1/4R3 w - -,e1e4
rnb1kbnr/pp2ppp1/7p/3p4/3P3B/8/Pq1NPPPP/1R1QKBNR b Kkq -,b2a3
4k3/8/4pK2/5p2/1R6/4r1P1/8/8 b - -,e8d7
r1b1kb1r/1p1n1ppp/pqnpp3/6P1/4P2P/1NN5/PPP2P2/R1BQKB1R b KQkq -,b6c7
8/p4pk1/1p1Pp3/3qP1Kp/6p1/6P1/P3QP2/8 w - -,g5h4
2rq1rk1/pb1nbppp/1pp1p3/8/2PPp3/1P3NP1/PBQ2PBP/R4RK1 w - -,c2e4
8/8/1k4B1/8/3K4/5r2/7p/R5n1 w - -,a1b1
r1bqk2r/pp2nppp/1bn5/3p4/5B2/1NN5/PPPQ1PPP/2KR1B1R b kq -,c8e6
5bk1/r4ppp/2bp4/2q1p3/prB1P3/1PN2Q2/2PR1PPP/R5K1 w - -,d2d1
2b3k1/pp1rr2p/2p3p1/N2p1p2/3Pn3/3BP3/P1R2PPP/1R4K1 b - -,d7c7
r2q1rk1/pQ3ppp/2n5/2PpPb2/8/2P5/P4PPP/3RKBNR b K -,c6e5
r4r2/pb2qnkp/1p4p1/2pP1p2/5p2/1P2P1P1/P2NQ1BP/R2R2K1 w - -,g3f4
8/2k2p1p/2p1p1p1/1p6/5PK1/r2R2PP/r7/2R5 w - -,d3d4
6k1/4Q2p/2q2p1p/8/3pN3/p2P2P1/1r3P1K/1r2B3 b - -,b2b6
3kr3/p2nbppp/r4n2/1Np5/2PP1P2/B5PB/P6P/R3R1K1 w - -,d4d5
3r2k1/p1R2p1p/5rp1/6q1/2Q5/P5P1/4PbBP/5R1K w - -,c7b7
7k/Qp4p1/2p1q3/3n3p/6rP/P2P2P1/1PKBpP2/7R b - -,e6f5
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPnB2/1Qb1PN1P/PP2BPP1/R3K2R w KQ -,b2c3
r1br2k1/ppq1ppbp/3p1n2/2pP1p2/2N5/2PBPN2/PPQ2PPP/3RK2R b K -,e7e6
q3rbk1/1b1n1p1p/1np3p1/4p3/1P2P3/r1NBBN1P/2Q2PP1/1RR3K1 w - -,f3d2
r1bq1rk1/ppp1bppp/2n1pn2/3p4/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 b - -,a7a5
6k1/2Qnnqpp/2r1bp2/B3p3/3pP3/3P1PP1/7P/1RN2RK1 w - -,c7d8
r2r1bk1/pp3pp1/2p2q1p/3pNn2/PP1P4/1Q2P3/4NPPP/R4RK1 b - -,a7a5
5nk1/1R5p/8/R5K1/8/6P1/5r1r/8 w - -,a5a8
8/5pk1/6p1/4prP1/4K2p/2Q3bP/8/8 w - -,e4d5
r1bqk1nr/pppp1pbp/6p1/4n3/8/2P3P1/PP2PPBP/RNBQK1NR w KQkq -,f2f4
8/6p1/4p1k1/4P2p/5P1K/3r2P1/2r4P/5RB1 w - -,g3g4
4k3/6R1/7r/2BK4/8/8/8/8 b - -,h6h5
5b2/p3p1kp/1p2B3/4q3/4nN1Q/P5PP/1P4K1/8 w - -,h4g4
2r3k1/ppp3pp/2n5/5p2/5B2/1PPP2P1/5P1P/4R1K1 w - -,d3d4
4rrk1/2p1nppp/1p1b2q1/p2Pp2P/4P1B1/P4PP1/1P2QB2/2RR2K1 b - -,g6f6
6r1/8/2k1p2p/2P1Bp1P/pr1PbPp1/R7/6P1/2R3K1 w - -,c1a1
7k/1pp3p1/4n3/p3Pq2/P1Q4P/6B1/1P2RP2/3r2K1 w - -,g1g2
1rb2rk1/p1qn1ppp/4p3/8/1P6/3QPN2/1B3PPP/R4RK1 b - -,f8d8
4r2k/2q1P3/p4b1p/1ppp1B1Q/3p1P2/1P1P2P1/P6P/4R1K1 b - -,e8e7
r1bq1rk1/p3b1pp/2p1pn2/P2n1p2/1pNP4/1Pp1P1B1/N1Q1BPPP/R4RK1 b - -,f6e4
2r2rk1/p1q2ppp/1bn2nb1/1p2pNN1/2p1P3/P1P1B1P1/1P2QPBP/3R1RK1 b - -,f8d8
1q1rn1k1/1p2npb1/p2p2pp/N2Pp3/1B2P3/6PP/PP2QPB1/2R3K1 w - -,e2e3
R7/4pp2/P2pk1p1/7P/r6P/3K1P2/4P3/8 b - -,g6h5
r1b1k2r/pp1p1ppp/2p5/8/2PP4/N7/PP3PPP/R4K1R w kq -,a1e1
2rr2k1/3bbppp/4p3/1p2P3/1n1P4/qN2Q1B1/4NPPP/3R1R1K b - -,b4d5
8/6K1/1p5P/8/4k3/8/P4p2/8 w - -,h6h7
3q2k1/1pr2n1n/p2p2p1/P2Pb3/4N1P1/1R3BP1/3QR1K1/8 w - -,g4g5
2r2rk1/4ppb1/3p1n1p/pbq2PN1/1p2PN1Q/3B4/PPP3PP/4RR1K b - -,h6g5
