8/6pp/4Q1k1/p7/P7/bBP5/7q/Kb6 b - -,g6h5:g6g5
r1b2rk1/1ppn1ppp/p2p4/3P2q1/2P1P3/1QN2R2/PP2B1PP/R5K1 b - -,d7e5
3r4/3p3p/3P2k1/p3r1p1/4N1B1/5PP1/P4K2/4R3 b - -,e5b5
5rk1/3qbpp1/p3p1p1/np1p4/P1rP1B2/1P1QP2P/4BPP1/2R2RK1 b - -,c4b4
8/3R3k/p7/2p1pP1K/2P1P3/4r2P/8/8 b - -,h7g8
8/5ppk/2Rp1n1p/1p6/8/P5PP/4KP2/2B4r w - -,c1e3
5k2/5p2/n3p1p1/1R6/5P2/1N6/1b3rPP/6K1 w - -,g1f2
r1bqk2r/ppp1npbp/2np2p1/3Np3/2P5/1P3N2/PB1PPPPP/R2QKB1R w KQkq -,e2e4
8/p3R1pk/n6p/7P/6P1/3rN1K1/r7/4B3 b - -,a6c7
r1bqk2r/2pp1pp1/pbn2n1p/1p2p3/4P3/1BNPBN2/PPP2PPP/R2QK2R w KQkq -,a2a4
r2qkb1r/p1p2ppp/1pnp1nb1/6N1/2PPp1P1/1QN5/PP2PPBP/R1B1K2R w KQkq -,e2e3
1r1b4/6kp/pP1qB1p1/2pPp3/R1P2r2/4Q2P/5PP1/3R2K1 b - -,b8b6
8/3P3k/4K3/4P3/3r4/2R5/5p2/8 w - -,c3f3
r3kb1r/pp2pp2/nqpp1n1p/5bp1/2PP4/1Q2PN1P/PP3PPB/RN2KB1R w KQkq -,b1a3
r1bqnr1k/ppb1n1p1/2p4p/3pN3/1P1P4/2NB2B1/P2Q1PPP/R3R1K1 b - -,c7e5
8/5p2/4p1k1/2p1P3/6r1/3K4/5R2/8 b - -,g6g7
4r1k1/5pp1/2pRb2p/p1N1p3/P3P3/2P1Q2P/1q3PP1/6K1 b - -,b2b6
2rq1rk1/1p2bppp/p1n1n3/2p1p3/P3P3/2PPBN1P/1P1NQ1P1/R4RK1 w - -,d2c4
2b5/1p2nkp1/p3p2p/n2pPp1P/3P1N2/3B1NP1/PP3P2/5K2 b - -,c8d7
8/7p/p2pk1p1/1b1Np3/1P2P3/2R2P1P/6r1/3K4 b - -,e6d7
8/8/2nr4/8/6k1/4K3/8/2R5 w - -,e3e4
3r4/1b3pk1/3P1np1/p3p3/8/1P4P1/P1N4P/3R1BK1 w - -,c2a3
8/1r2kpn1/p3p1p1/1p2P2p/2p2PP1/2P2N1P/PP2K3/3R4 b - -,b7b8
r6r/pb2qk2/1p2n3/P1b1Pp1p/B1Pp1Pp1/3N4/6PP/R1B1QRK1 w - -,a4c2
1r6/8/3kp1Q1/3rp3/1pqn4/4B2P/1P4P1/3NR2K w - -,d1f2
r2qk2r/ppp1npbp/3p2p1/3Pp2n/1PP1P1b1/2N2NP1/P3BP1P/R1BQ1RK1 b kq b3,e8g8
2r3k1/5p1p/2rbpPp1/p3p1P1/Pp2P3/1P4NP/2PR2B1/7K b - -,d6c5
b7/3r2bk/p2N2qp/P4p2/3p4/B2R1P2/2P3PP/4Q1K1 w - -,d6c4
rn2nr1k/pbp1N1bp/1p3pp1/4P3/2BP4/5N2/PP3PPP/R1B1K2R w KQ -,h2h4
8/5pk1/4n2N/2R3P1/P6p/5K1P/P1P5/r7 w - -,h6f5
8/1pp5/4N2p/1b3P2/p2P4/k6P/5KP1/8 w - -,e6c7
8/3R4/2N4p/p7/4kP2/7P/r5P1/6K1 w - a6,f4f5
4r3/5p1k/7p/p7/1ppBR1N1/8/PP4P1/6K1 b - -,e8d8
2rq1rk1/pp1nbppp/4p3/N2pPb2/P2P4/2P1BN2/4BPPP/R2Q1RK1 b - -,d8a5
6r1/1r2qp1k/2pp1b1p/p1n1pPp1/2P1P3/PP3NRP/1BQ2P2/1K3B2 b - -,c5b3
6k1/r1p2pb1/ppRP2pp/4p3/4P3/4BP2/PP4PP/6K1 b - -,c7d6
8/6pp/3b1p2/3k4/p2B4/2P4P/3N1PP1/3K4 w - -,d1c2
4r3/1r3pn1/1p1n1kp1/pPpP1p1p/2P2P2/3B4/1P1NR1PP/4R1K1 b - -,b7e7
r1b1k2r/2qnbppp/p2ppn2/1p6/3NP3/P1N1BP2/1PPQB1PP/R3K2R w KQkq -,d4b3
2r5/3n1pk1/8/p3p1p1/2B1P3/5P1P/2R2KP1/8 w - -,f2e3
8/1p6/p2p1k1p/P1pP4/4PK1N/7P/1P4P1/5b2 b - -,c5c4
3r2r1/1kpbN1p1/1pp2pn1/p6p/P1N1P3/1P2BP2/2P3PP/3R1RK1 b - -,g6e7
r2qk1nr/2p1ppbp/p1pp2p1/8/3PP1b1/2N1BN1P/PPP2PP1/R2QK2R b KQkq -,g4f3
5rk1/1bq1b1p1/pn2p2p/1p2pP2/8/PNNR1B2/1PP2PPP/3Q2K1 b - -,e6f5
r2qr1k1/pp1n1ppb/n1p4p/3pP3/1b6/PQNPBNPP/1P3PB1/3R1RK1 b - -,b4c3
r3k2r/pp2qpn1/2p3p1/3b3p/3P4/3B2N1/PPQ2PPP/1K1R3R w kq -,h1e1
3r1rk1/1pn2pp1/p3pb2/4n2p/1PP5/P4NP1/1B3P1P/3RR1K1 w - -,b2e5
2R5/6pp/p2kp3/Pp6/3PP3/r7/4K1PP/8 b - -,a3a5
r3k2r/pp1qnpb1/2npb1pp/2p1p3/1PP5/P1NP1NP1/4PPBP/1RBQ1RK1 w kq -,c1d2
r5k1/5Rp1/r4nbp/3p4/3N4/4PN1P/5PP1/5RK1 w - -,f7c7
2k1r3/B2b3p/8/3p1Qp1/2qP4/2P5/P5PP/1KR5 w - -,f5c2
r1bqk2r/pp1nbp2/2p1p3/3p2pp/2PPN2P/5NP1/PPQ1PPB1/R1B2RK1 b kq -,d5e4
7k/ppr3bp/2q1p3/3b1p2/3p1P1P/QP4P1/P1PR4/1K2R3 w - -,e1c1
1rbqrbk1/5p1p/2np1np1/1pp1p3/4P1N1/2PPN1PP/1P3PB1/R1BQR1K1 b - -,f6g4
r5k1/2q1nr1p/1p2bBp1/p2pPpQ1/3P3P/2PB4/PP6/R4RK1 b - h3,h7h6
r3kb1r/pp1q1ppp/2n1p3/2pnPbB1/2NP4/5N2/PP2BPPP/2RQ1RK1 b kq -,h7h6
2N5/1pp2kb1/3p3p/1P2p3/2P5/3P1rPp/1B3P2/5R1K b - -,f3d3
R7/8/2pbk1p1/3b2P1/8/4BP2/5K2/8 b - -,e6f5
rn2k2r/1p1b1p1p/4p3/p1PpP3/1P6/2N1bN2/P1P3PP/1R2KB1R w Kkq a6,b1b3
r1k1r3/ppp2ppp/8/8/8/PKP1BN2/6PP/4R3 b - -,b7b6
8/1p6/p3k3/P3p3/1PP1K1pp/6P1/5B1b/8 w - -,g3h4
5rk1/1qrb1pp1/4p2p/3pP3/3P3P/1Qp2NP1/3B1P2/4RBK1 w - -,b3b7
1B6/pr3kpp/1p3p2/5R2/1PP1P1r1/P2P4/4P3/5K2 w - -,b8h2
2r2rk1/4pp2/p2p2p1/1ppP4/2q1P3/5R1P/2P2QP1/5R1K w - -,f2h4
r5k1/1p1b1rpp/pqn1pn2/3p2B1/Pb1P4/2NQ1N2/1PB2PPP/4RRK1 b - -,b4d6
8/p1rnk2p/5pp1/1R1Bp3/2N1P3/2PK1P1P/P4bP1/8 b - -,f2g1
rnbqk2r/pp2ppbp/2pp2pn/8/2PP3P/2N2N2/PP2PPP1/R1BQKB1R w KQkq -,h4h5
r1q1r1k1/2b2ppp/2p2n2/p1p1p2b/2P1P3/1P3NPP/P1Q2PB1/3RRNK1 w - -,g3g4
8/ppr2pk1/7p/5Q2/8/6P1/P1r2P1P/6K1 w - -,f5g4
8/8/3p1r2/pPk1pR2/P1p1P1K1/2P5/8/8 b - -,f6g6
2bqk2r/rp1nbppp/p3pn2/2p5/8/2N2NP1/PPQPPPBP/R1B2RK1 w k -,d2d4
r4rk1/p4pqp/2b5/1p6/3pP3/P2P2P1/1P2NPBP/3Q1RK1 w - -,e2f4
r2qkb1r/pp3ppp/2p1pn2/8/3P4/2PB4/PP2QPPP/R1B2RK1 b kq -,f8e7
3r1bk1/1pq2ppn/2pp3r/p4P1p/P4Q2/1P4PP/1BP2PBK/3RR3 b - -,f8e7
r3kbnr/pp3ppp/2n1p3/3q4/3p2b1/2P2N2/PP2BPPP/RNBQ1RK1 w kq -,c3d4
r2q1rk1/4bppp/p4n2/np2N1B1/7R/2p2Q1P/P1B2PP1/R5K1 b - -,g7g6
3qr1k1/1p2rpp1/2n1b2p/p2pN3/3P1Q2/1PPBR2P/5PP1/4R1K1 b - -,c6e5
2krr3/1pp4p/p2b1pp1/1q1n4/2RP4/4B3/P1QN1PPP/1R4K1 b - -,d5e3
rn2kb1r/pp3ppp/2p1pn2/q7/3PNB2/2N5/PPPQ1PPP/R3K2R w KQkq -,e4f6
r5k1/5ppp/8/2b5/1pP5/1B5P/1P1B1PP1/5K2 b - -,a8a1
2r3k1/6pp/1QbR1p2/1p5q/4p3/1P2P1P1/P4P1P/3R2K1 w - -,d6d8
8/6pp/1r4k1/8/8/R5p1/6K1/8 b - -,h7h5
r4rk1/1b2ppbp/pq1p1np1/1p6/3NP1PP/P1N2P2/1PPQ4/2KR1B1R w - -,h4h5
r4rk1/p1q1ppbp/1pp2np1/8/2NP3B/1QP4P/PP3PP1/R3R1K1 b - -,a8c8
2R2rk1/p2n2p1/b2q1n1p/1p3p2/3P1N1B/3pPP1P/PP4P1/1K1Q1R2 b - -,f8c8
2qr1rk1/p3ppb1/1pn3pp/1B1p1b2/P2Pn3/NP2QN1P/1BP2PP1/3RR1K1 w - -,b5f1
r1b1rk2/bp1n1pp1/7p/pP1pp3/P2P4/3BP1P1/K2NNPP1/3R3R b - -,d7f6
1r1rb1k1/1p2bpp1/p2pp3/2qn3p/4PB2/1P1Q1P2/P3N1PP/2RR3K w - -,c1c5
2b1r3/6pp/pBnRppk1/8/2B1PP2/6P1/1P5P/6K1 b - -,c6b8
8/5Q2/8/4p2P/2pkq3/P4RP1/1r3PK1/8 w - -,g2h2
1r1q1rk1/ppp3pp/3p4/3P1p1b/1PP1p1Pb/3BPN1P/P1Q3K1/R1B4R w - -,g4h5
8/2p1k3/1p4p1/p2PP2r/P1R5/8/2P3K1/8 b - -,h5e5
3r4/Q1Rrq1k1/5pp1/1p3b1p/7P/p4BP1/P3PP2/2R3K1 b - -,b5b4
2r3k1/rb3p1p/3Bn1p1/p7/2P5/3B1N2/P2K1PPP/1R6 w - -,d2c3
rn1q1rk1/pp2ppbp/6p1/8/3pP1b1/2P1BN2/P3BPPP/2RQK2R w K -,c3d4
8/p2b1r1k/1p1RpB1p/6p1/2P1pPP1/PP2P1K1/8/8 w - -,f4g5
rnb1r1k1/1pq2pbp/p2p1np1/2pP4/P4B2/2N1P2P/1P1N1PP1/R2QKB1R w KQ -,d2c4
7k/p7/4Kp2/bP5p/4Bp2/5P2/8/8 b - -,h5h4
2rqkb1r/5pp1/p1bp1n1p/1p2p3/4P3/P1NQ4/1PPN1PPP/R1B1R1K1 w k -,d2f1
2rqk2r/3nbppp/p2p4/1p2pP2/2B1P1n1/1NN1B3/PPPQ2PP/1K1R2R1 b k -,c8c4
1R6/8/2k1K3/8/8/4B3/2r5/8 b - -,c6c7
4k3/1p6/2b1P2Q/P7/8/8/PK1Bq3/8 w - -,a2a4
1r1qr1kb/4pp1p/1nbp2p1/p1p1nPP1/1p2PB2/3PN1NP/PPPQ2B1/R4RK1 b - -,b6a4
4rrk1/pp5p/2pQ1n2/4p2q/2P1Bp2/1PN2NPb/P3PP1P/4R1K1 b - -,f4g3
r1b1r1k1/1pqn1ppp/p1pb1n2/3p2B1/3P4/2NBPN2/PPQ2PPP/1RR3K1 w - -,b2b4
r3qrk1/1ppb2bp/3p4/p1nPpN2/2P3P1/P1Q1B2P/1P2BP2/2KR3R b - -,d7f5
r3q1k1/6pp/p1n1p3/b2bNp2/2RP1B2/PQ2P3/1P2KPPP/R7 w - -,e5c6
r4rk1/1p1b1ppp/p1n1pn2/q7/P1QP4/4P3/3NBPPP/1RB1K2R b K -,f8c8
r4rk1/1pqn1ppp/2pbpn2/8/2PP4/1P3BP1/1B1N1P1P/R2Q1RK1 b - -,e6e5
r1b2rk1/1p1nppbp/pq1p1np1/2pP4/P1P1P3/2N2N1P/1P1B1PP1/R2QKB1R w KQ -,f1d3
r2q1rk1/3nbppp/pp1ppn2/6N1/2PQ4/1PN3P1/PB2PPKP/R2R4 b - -,d8c7
8/8/3Bp3/1p1p4/1P1P2n1/2k3P1/6K1/8 w - -,g2f3
r1b1qrk1/ppp3pp/2np1n2/4ppB1/1bP5/2NPPN1P/PPQ1BPP1/R3K2R b KQ -,e5e4
5rk1/3nqppp/2p1p3/1b6/3Pp3/2P2NP1/5PBP/1Q2R1K1 w - -,b1e4
8/8/8/8/ppk2p2/4rP2/2P2K2/1R6 w - -,b1h1
8/R7/4pk2/3p4/5PK1/8/8/4r3 b - -,e1e3
r2q1rk1/4b1pp/p1n1pn2/1pp1p3/1P1PP3/P2P3P/2BN1PP1/R1BQR1K1 b - -,c5b4
8/6pk/5p1p/2B1p2P/1P2P3/5P2/1r2b1P1/R5K1 w - -,a1a7
rn1q1rk1/ppp1ppbp/6p1/8/2BP4/2P1PQ1P/P4PP1/R1B1K2R b KQ -,c7c6
2Rn2k1/q2rbp2/pp1p2p1/3P2Np/PP1P1Q2/3B3P/5PP1/6K1 b - -,g8g7
r1r3k1/4qpp1/1pp1p2p/p7/PbPPQ3/1P4PP/1BR2P2/R5K1 b - -,e7d7
r4rk1/ppp1qppp/2n2nN1/8/1bBP2P1/2N1B2P/PP3P2/R2Q1RK1 b - -,h7g6
8/p1r5/4kp1p/1Rpp4/P3b3/2P5/6PP/3R2K1 w - -,d1d2
r2qkbnr/pp2ppp1/2p5/3pP2p/6b1/6P1/PPP1PPBP/RNBQK2R w KQkq h6,c1e3
8/2p3k1/2Pp4/4b3/1r4Bp/p6P/6P1/4RK2 w - -,g4e6
r1bqrbk1/1p1n1ppp/p1pp1n2/4p3/2PP4/1PN2NPP/P1Q1PPB1/R1BR2K1 b - -,e5e4
r2q2kr/pbpnnpb1/1p1pp1pp/8/1PPPP3/2N1B1P1/P2QNPBP/3R1RK1 b - b3,c7c6
k7/8/5R2/N7/4bp2/1P6/1PP4r/1K6 b - -,f4f3
r6k/pp3Rp1/7p/3pP1nQ/3N4/2P5/Pq4P1/6K1 w - -,f7f5
2r3k1/6qp/3R2p1/p3P3/P1p5/4Q2P/5PP1/6K1 w - -,e5e6
1rb2rk1/4nppp/pPnqp3/8/N2p4/1P3NP1/P4PBP/R2Q1RK1 b - -,e6e5
1n2Bn2/5Qpk/4p2p/4P3/pq3P1N/6PP/P6K/8 w - -,h4g2
8/8/8/4k3/p7/P1p5/8/3K4 w - -,d1c2
r2q1rk1/1bpn1pbp/1p1p2p1/p2Pp3/2P1Pn2/PPN2NP1/1BQ2P1P/R3RBK1 b - -,f4h5
r5k1/pp2brp1/1q1p4/1N3p2/2PpBPp1/6P1/PP3Q2/R1B2R1K b - -,f5e4
3r4/8/5R2/8/5p2/5k2/8/6K1 b - -,d8g8
1nrrb1k1/5p1p/1pn1pb2/p5p1/P1PP4/1NB2B1P/2N2PP1/R2R2K1 w - -,c2a3
r1bqkb1r/p3pp1p/1npp1np1/1p6/3PP1P1/1PN1BP2/P1PQ3P/R3KBNR b KQkq -,f8g7
r1bq1r2/pp1npkbp/2p2pp1/3p3P/3P1B2/2N1P3/PPP1BPP1/R2QK2R w KQ -,h5g6
4b1k1/6p1/p1p2r2/2pp1P1p/2P5/1P1B2qP/P1Q3P1/5RK1 w - -,c4d5
rnbqkb1r/5ppp/p3pn2/1pp5/3P4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,c8b7
4k2r/nprq1p1p/p2p1p1b/Q2Pp3/1PN5/2P5/P1R2PPP/4KB1R b Kk -,c7c8
2rq1rk1/3b2bp/1p2pPnp/pP1p4/P2P4/3N1NP1/R2QBP1P/5RK1 b - -,d8f6
r3k3/pp2bp2/2bppn2/q5B1/4P1P1/2N5/PPPQB2r/1K1R2R1 b q -,h2e2
r1br2k1/pp1nbppp/2p1pn2/q7/2pP4/PPNBPN2/2Q2PPP/R1B2RK1 w - -,d3c4
7B/8/1Rb5/5kp1/8/6K1/2r3P1/8 w - -,b6b2
r4rk1/3n1ppp/p2Qpn2/1q4N1/8/B4PP1/4P1KP/2R2R2 w - -,h2h4
2r2rk1/pp5b/4p2p/P2pqp2/3Nn1nN/1P3RP1/6BP/Q3R2K b - -,f8f7
3R1bk1/ppr2b1p/2B3p1/2N2p2/8/P7/1PP2P1P/1K6 w - -,c5d7
r1b1qr2/1pp2pbk/p2p1npp/3Pp3/2P1PnPN/2N1B2P/PP1QBP2/R3K2R w KQ -,e3f4
1N2r2k/1R5p/3pb1p1/8/2p1p3/1pP3bP/1P2K1P1/R7 b - -,e4e3
8/p4k2/3R4/8/1B4P1/4p1K1/PP1p1r2/8 w - -,a2a3
r4rk1/6pp/2p5/1pB1p3/2n5/2P2qP1/P1Q1RP1P/4R1K1 b - -,f8d8
8/n1r1kppp/p3p3/8/npN5/4PB2/PP3PPP/1N1R2K1 w - -,b2b3
r3k2r/1bq1bppp/p1p1p3/1p1nP3/4N3/1Q4P1/PP2PPBP/R1B2RK1 w kq -,e4d6
1r4k1/p3ppBp/6p1/8/8/QP3P2/P5qP/KR6 b - -,g8g7
5K2/6rk/1p2Bp1p/2p5/P2bPP2/1P5R/8/8 b - -,h6h5
8/p1n1bpk1/1nb1p1pp/1pNpP3/1P1P1P2/P3K1PP/1B1N4/3B4 b - -,g7f8
r1b1k1nr/2q2pbp/1pp3p1/2p1p3/1P2P3/3PBN1P/2PN1PP1/R2QK2R b KQkq -,a8a1
4r3/p4kp1/2p4p/5p2/5P1n/8/PP1RNKPP/8 b - -,e8e7
2r2rk1/3bbppp/p2ppn2/qp1N2B1/4P2P/5P2/PPPQB1P1/1K1R3R b - -,a5d8
r2qkb1r/1p1nn3/p1p1ppbp/2Pp2p1/PP1P4/2N1PNB1/4BPPP/R1Q2RK1 w kq -,b4b5
2k3nr/2p2ppp/bpBr4/8/8/2P3P1/PP3P1P/RN2K2R w KQ -,c6a4
q5k1/B4pb1/4p3/7p/1r4nP/1B4PK/P4Q2/3R4 w - -,f2c5
2rq3r/pp1pkppp/2n1pn2/8/1b2P3/2N5/PPPB1PPP/R2QKB1R b KQ -,e7f8
r3k2r/1pq1bpp1/1np1pnp1/p7/3P4/1QN1PPP1/PP1BB2P/1K1R3R b kq -,a5a4
5b2/2RrNpkp/3P2p1/4P1P1/3R4/P4P1b/1P5P/K7 w - -,e7d5
5k2/3R4/6p1/8/8/6KP/P2p4/1Nb2r2 w - -,b1d2
r1b2r1k/3n1pbp/p2p2p1/q1pPp1Bn/NpP1P2P/1P3P2/P2QBNP1/3RK2R w K -,g5e7
r5k1/4np1p/1Rpqb1p1/3p4/3P4/3BPN1P/2Q2PP1/r1R3K1 w - -,b6b1
rnbq1rk1/pp2ppbp/1np3p1/8/2NP4/4PN2/PPQ1BPPP/R1B2RK1 w - -,f1d1
r1b1kn1r/ppq2pbp/2p3p1/2p1p3/P1N1P3/3P1N1P/1PP1QPP1/R1B2RK1 b kq -,f8e6
4nrk1/2p3b1/2B1pppp/4r3/1p6/1P4PP/P1RN1P2/3R2K1 w - -,d2f3
2b5/6p1/3p1p1p/k3pP2/2P1P2P/2KB2P1/8/8 b - -,a5b6
r4rk1/1bp2ppp/pp3n2/4q1B1/Pb2P3/2NB4/1P2QPPP/R4RK1 w - -,g5f6
r2q1rk1/pb2bpp1/1p2pn1p/2pn4/3PP3/2NB1NB1/PP2QPPP/2R2RK1 b - -,d5b4
2Q3k1/5pp1/6p1/p1p1q3/PbP5/B3P1P1/3r1P1P/R5K1 b - -,g8h7
rr4k1/5pbp/1q2p1p1/p2pP1B1/3P4/R1P5/1P2Q1PP/5RK1 w - -,f1f2
4r3/3k2p1/1pR1p3/1P3p1P/3N2p1/4n1P1/1P6/1K6 w - -,c6b6
2r2bk1/3b1p1p/4n1p1/q2pB3/P2N4/1Pp1PP1P/2B1Q1P1/3R3K b - -,e6d4
r2q1rk1/pp2bppp/2n2n2/2Pp4/6b1/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,e7c5
3r2k1/p6p/3P1pp1/8/1r6/Rp4P1/5P1P/1R4K1 b - -,d8d6
3r4/kpq2pb1/pn2p2p/4P1p1/4R3/1BPr1NP1/PP2QP2/1K1R4 b - -,d3d7
r4rk1/pq2pp1p/2p1bnpQ/2P5/P2P4/1p1B1N2/1P3PPP/2KR3R w - -,f3g5
8/6pk/3Q3p/5p2/2qn4/5PP1/5NKP/8 b - -,d4c2
r2q1rk1/p3ppbp/1pn3p1/3P4/4P3/5N2/P3QPPP/1RB2RK1 b - -,c6d4
r3rbk1/1bq2pp1/p6p/2p1nN2/Pp2PB2/6P1/1PQ1BP1P/2RR2K1 b - -,b4b3
2rq1rk1/1p1bbppp/p2ppn2/8/2PBP3/2N2P2/PP1QB1PP/2R2RK1 b - -,d8c7
r1b1kb1r/1pqp1pp1/p1n1pn2/7p/4PP2/1NNBB3/PPP3PP/R2QK2R w KQkq h6,d1f3
6k1/7p/6p1/p3Rp2/4p3/1r4P1/4PP1P/6K1 w - -,e5a5
8/3bk2p/5p2/pp2pP2/3pP1Pp/PBnP4/7R/2K5 b - -,e7f8
r4rk1/6bp/6n1/1pp5/p2p1p2/2PP1q1R/PPBB2PP/4R2K w - -,h3f3
r3rnk1/p4ppp/2p5/1p4q1/2NPP3/4P2P/PPQ3P1/2KR3R w - b6,c4d6
5r2/pp4pk/2p5/2Pr1p2/P2Pp2P/4B1K1/1P2R3/5R2 w - f6,b2b4
r1bqk2r/pp3ppp/2n1p3/1Nb1P3/3p4/8/PPPBQPPP/R3KB1R w KQkq -,e2g4
2Rn3r/4b3/3p2k1/1p1Bp1p1/1P2P1K1/3PB1P1/8/8 w - -,c8b8
8/4n2p/1p1k1pp1/p2p4/P4PP1/1P2KN2/5P1P/8 w - -,f3d4
r2r4/pb1qppbk/1pnp1npp/1N6/2P1P3/4BN1P/PP1Q1PP1/1B1RR1K1 b - -,a8c8
8/8/3k4/1p6/3PK2r/1B6/3N4/8 w - -,e4d3
7r/p3kpp1/1p2p2r/3pP3/2pP1PPn/P1P5/2PN1K2/6RR b - -,h4g6
8/2p3k1/2Pp4/4b3/pr4Bp/7P/6P1/4RK2 b - -,a4a3
r5k1/p1pq1pp1/Q4n1p/2Bnp3/8/N7/PrP3PP/3R1RK1 b - -,b2a2
8/8/p2n4/P1k5/8/5K2/8/4B3 b - -,c5b5
8/6p1/8/1p5p/3k3P/PPprprP1/2R3RK/8 w - -,g2e2
r2q1rk1/1p2ppbp/3pbnp1/p5B1/Pn2PP2/1NN2B2/1PP3PP/R2Q1R1K b - -,a8c8
8/2q1k1p1/4p2p/2p2p2/1pP5/1P1Q1PP1/4PK1P/8 w - -,f3f4
6k1/p2r3p/Pp2nBp1/2p1Pp2/2Pr4/1P1PR1P1/5K1P/3R4 b - -,g8f7
4q1k1/2Q1bpp1/4p2p/3pB3/3P2P1/4P2P/5P2/6K1 b - g3,e8d8
8/2P2k2/3Q4/8/3K4/3P4/5q2/8 w - -,d4c3
8/8/5p2/r4ppk/5R1P/3KP1P1/5P2/8 w - -,f4c4
2r2n2/1bq2kb1/p2p2p1/6P1/1p1pPP2/1P4N1/P1PQ4/1K1R3R b - -,c7c3
3rk2r/ppq1nbpp/2p2p2/2n1P3/5PPN/N6P/PP2Q1B1/R4RK1 b k -,f6e5
r4rk1/1p1nbppp/p1p1pn2/7q/1P1PPB2/3B1N2/P1Q2PPP/1R3RK1 b - -,h7h6
r4k2/p1q2p1Q/3bb2p/2p1p3/1p6/1B6/PPPB1P1P/R3K3 b Q -,f8e7
r6k/ppp3pp/5rq1/3n1p2/1B1P4/4PN2/PP3PP1/R2Q1RK1 w - -,f3e5
8/5kp1/1p3p2/4p2p/2P1P2P/r4KP1/4P3/2R5 w - -,f3f2
r1r2bk1/1q1b1ppp/3p1n2/4P3/pn2P3/2N1BN1P/PPB1QPP1/2RR2K1 b - -,d6e5
8/b7/P2k4/6P1/R7/5K2/3r3P/8 w - -,h2h4
r3r1k1/pp1bppbp/1qn2np1/3pN3/2pP1B2/Q1P1P2P/PP1NBPP1/R4RK1 b - -,e7e6
r2q1rk1/2pbbppp/p2p1n2/1p2n3/4P3/1BP1BN2/PP3PPP/RN1QR1K1 w - -,f3e5
8/4nk2/1q2p1p1/1p2p1Pp/2p1P3/Q1PrNP2/1P3KP1/4R3 b - -,e7c6
8/8/8/4kp1R/1P4p1/2K3P1/5P1P/5r2 b - -,f1f2
4r1k1/pR1Nq1b1/6p1/3p4/2bp1N2/5PP1/3R1K1P/3Qr3 w - -,d7f6
8/6R1/5p2/4bk2/N2p4/2r3p1/6K1/8 b - -,c3c2
8/2k5/6R1/2K3p1/1P2r1P1/8/8/8 b - -,e4g4
8/6b1/1k5p/1p6/5P2/p2N2P1/P1R1PK1P/1r6 b - -,b5b4
4n3/1pr1kppp/1p2p3/4N3/2P5/1P5P/P2RKPP1/8 w - -,f2f4
r1bq1rk1/pp1p1p2/2n1p1p1/7P/3QP1p1/2N5/PPP2P2/2KR1B1R w - -,d4d2
