8/1P6/7k/2R5/5r2/2K4p/1P6/8 b - -,f4f3
r3k2r/1p3p2/1npb1pb1/p2p3p/P2P1N1P/2N1P1P1/1P1K1P2/R4B1R b kq -,e8e7
r1bqkb1r/ppp2ppp/2n1pn2/8/2Pp4/1P3NP1/P2PPPBP/RNBQK2R w KQkq -,e1g1
2r5/6P1/4R3/8/8/4k3/1K3p2/8 b - -,e3d2
2kr3r/ppq1b2p/3p1pp1/2nPp3/7N/4B1P1/PPP1QP1P/1K1R3R b - -,c8b8
r2qk2r/pp3p2/1np1n1pB/3pPp1p/3P4/2PB4/PP2QPPP/R3RNK1 b kq -,h8h6
3r1b2/k1q3p1/p1p3Qr/3p3p/7P/2R3P1/1PP2P2/R5K1 w - -,g6d3
5bk1/2Nn1ppp/2b1p3/2n5/2B5/B1N1PP2/4K1PP/8 w - -,c4b5
2r3k1/p2r1p1p/1p1QpRp1/1q6/3P1R2/5P2/P4PKP/8 w - -,d6e5
8/4R3/2p2p2/2p1kb1P/2P4r/1PR1KB2/8/r7 b - -,f5e6
8/1p2r1k1/p2p1qp1/P2P1p2/1PP1r2p/5R1P/6P1/2Q2R1K b - -,f6d4
r2qkb1r/pbpn1ppp/1p2pn2/3p4/3P4/1P2PN2/P1P1BPPP/RNBQ1RK1 w kq -,c1b2
r1bqk2r/pp3ppp/2n1pn2/3p2B1/1bPP4/2N2N2/PP3PPP/2RQKB1R b Kkq -,e8g8
2q1r1k1/p4p1p/1p1p2p1/3P4/3R2nQ/1P4P1/P3P1BP/6K1 b - -,c8c1
1rbq1rk1/1p2bpp1/p2p1n1p/n1p1p3/B1P1P3/2NP1N1P/PP3PP1/R1BQR1K1 b - -,d8c7
rn3rk1/pb2q1pp/1p1bpn2/2ppNp2/2PP1B2/5NP1/PP2PPBP/2RQ1RK1 w - -,d4c5
2kr2r1/pp1n1ppp/4b3/2pp2P1/4P2P/2PP1P2/P1K1BB2/R5R1 b - -,f7f5
2r5/6pp/p1p5/3pk3/R7/1P6/P1P2PPP/5K2 b - -,c8a8
R7/4r1p1/7p/p2pk2P/Bb2p3/1P2P1P1/P4PK1/8 w - -,a2a3
r2qbrk1/p1p3pp/1p1p1pnb/2nPp3/2P1P1PP/1Q1B1P2/PP2NB2/R3K1NR w KQ -,b3c2
r2qr1k1/3b1pb1/6pp/2p1pn2/8/2P2N1P/P1NQ1PP1/3RRBK1 b - -,d7a4
r2q1rk1/pb3pbp/1pn1p1p1/3pPnB1/3P4/5NP1/PP1N1PBP/R2Q1RK1 b - -,d8d7
2rq1rk1/1p1bppb1/p2p1np1/P3nP1p/4P3/1NN5/1PP1B1PP/R2Q1RBK w - -,g1b6
2r2rk1/1p1nb1pp/1qn1p3/pB1pPp1P/P2P1P2/P4N2/3BK1P1/R5QR w - -,d2e3
8/3K2p1/2PR1p1k/4p2P/4P2P/2r5/8/8 b - -,h6h5
r5k1/5p1p/p1rbpnp1/3p4/3P4/2B1PP1P/RP4P1/R2B2K1 b - -,d6c7
2r5/3k4/p7/1pn1p2R/4P2P/1N4P1/2P5/6K1 b - -,c5e4
8/n1pq1pkp/4b1p1/2Pp1p2/p2P1N1P/r3P1P1/1Q3P2/2RB2K1 b - -,a7b5
5rk1/2q2ppp/pr1p4/3Pp3/1n2P1B1/4PQ2/3R2PP/R5K1 w - -,a1f1
3r2k1/5ppp/prb5/3p4/3R1P2/2R3P1/6BP/7K w - -,h1g1
4r1k1/3r1ppp/p7/1p3P2/2nPp3/PP6/6PP/2BRR2K b - -,c4b6
r1bq1rk1/1p1nbppp/p1n1p3/2ppP3/3P1P2/2N1BN2/PPP1B1PP/R2Q1RK1 w - -,g1h1
2r4k/8/4Q1K1/6N1/5P2/p7/B7/7q b - -,h1c6
r4rk1/1bqnbppp/p3pn2/Nppp4/P4P2/1P1PPNP1/1BPQ2BP/R3K2R w KQ -,a5b7
2k5/7R/2K5/2P5/8/8/8/2r5 b - -,c8b8
1rb1qr1k/p3n1bp/2np4/1pp5/5p2/1QPPNN1P/PP3PB1/1RB2RK1 w - -,e3d5
rnbqk1nr/pp2ppbp/3p2p1/2pP4/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,g1f3:e2e4:g2g3
5rk1/4b2p/N5p1/8/2P5/7P/6P1/3R3K w - -,c4c5
r2q2k1/5pp1/4pn1p/1p1p4/1PpP4/2PbP1P1/3NBPP1/R1Q3K1 w - -,e2d3
6k1/6pp/1q2p3/1Pnp1p2/r7/N3RPP1/KQ5P/8 b - -,d5d4
r2k3r/1pN2pp1/p2p3n/2b1n3/5Nb1/4PPP1/PP4Bq/R1BQRK2 w - -,b2b4
r3r1k1/1p3ppp/2p1q3/p2n4/2NPp3/PQ2P2P/1P3PP1/2R2RK1 b - -,a5a4
4r1k1/3p2p1/p2Pp3/1p1b3B/2pP4/4RP2/PP6/2K5 b - -,e8f8
8/p1n3k1/3p1b1p/1p1P1P1B/PPK4p/8/6P1/4B3 w - -,a4b5
8/5k2/2p1p1p1/4P3/2BK2PP/4B3/8/r7 w - -,h4h5
8/pp3pkp/8/PP1p4/8/1q4P1/1b3PKP/1R1R4 b - -,b3c2
r1r3k1/2q2bpp/4pn2/p2p3P/5PP1/3B1Q2/pPP1R3/K2N3R b - -,a8b8
r3k2r/pp3ppp/2n2n2/2b2p2/P1N5/4B3/1P2PPPP/R3KB1R b KQkq -,c5b4
r1bn1rk1/2p1qppp/1p6/P1pPp3/8/R4NP1/P3PPBP/3Q1RK1 b - -,d8b7
r3rbk1/1b3ppp/2q2n2/ppp1p1B1/4P3/1PP2NNP/1PQR1PP1/4R1K1 b - -,a5a4
r4r1k/p2q1bpp/1pp2p2/2n1pPP1/2n1P3/2N4Q/PR2N1BP/3R2K1 b - -,d7e7
8/8/4B1b1/p1k3P1/4P3/2p1K3/P7/8 w - -,e6f5
q3r1k1/r4ppp/4p3/1pQp4/2bP4/P3P1PP/2R2P2/1R3BK1 w - -,c2c3
8/7p/1k6/1N3p2/PP3K1P/3r1N2/8/8 b - -,d3b3
8/Br5p/R2P2p1/p2k4/2n5/5PK1/P5PP/1b6 w - -,a2a4
r1bqkb1r/pp3ppp/2n2n2/1B6/4pP2/2N5/PPPP2PP/R1BQK1NR w KQkq -,d1e2
rnbqk2r/pppnbppp/4p3/3pP3/2PP4/P7/1P1N1PPP/R1BQKBNR w KQkq -,c4d5
r3kb1r/1p3pp1/p1n1pq2/2pp3p/2P2P2/1PN1PB2/P2P2PP/R2Q1RK1 b kq -,d5d4
1r4k1/1q4p1/p1r1p3/1pPp1pp1/PP1P4/3Q4/R4PPP/R5K1 b - -,g8f7
r2q1rk1/4ppbp/bnp3p1/p7/P2PN3/1BP5/1P2NPPP/R2Q1RK1 b - -,a8b8
8/5p2/R2p1bk1/1r4p1/8/3NK3/8/8 b - -,f6e5
r2qbrk1/3nbppp/p3p3/1p1pP3/3P4/2NBP3/PP2Q1PP/2RRB1K1 w - -,e2g4
6N1/p4p2/4n2p/2p3kP/8/P4RP1/1P1r4/5K2 b - -,f7f5
1r4k1/3P3p/5pp1/2p1p2n/1r6/1q4PP/1b2QPBK/1RB2R2 b - -,b3a4
2r3k1/5pp1/p3p1p1/1p1n4/2rP4/PRPR1B2/3K1PPP/8 w - -,f3d5
r4rk1/1bq2pb1/p4npp/npppp1B1/4P3/N1PP3P/PP1N1PP1/R2QRBK1 w - -,g5f6
5rk1/2p1qppp/8/p2BN3/2QP4/b3B1P1/1r3P1P/5RK1 w - -,e3c1
3qr2k/3bpBbp/3p2p1/8/1P2n1PP/P1Q1BN2/2P5/1K1R3R w - -,c3d3
r2qk2r/pp1bnpb1/2n1p1pp/2pp3P/4PP2/3P1NP1/PPP1N1B1/R1BQK2R b KQkq -,d8b6
r4rk1/1p3p1p/p1p3p1/2Pp1q2/3P4/2Q2P2/PP4PP/R4RK1 w - -,f1e1
1k1r3r/pp2qpnp/1np3p1/2Np1b2/3P4/2NBP2P/PPQ2PP1/1K1R3R w - -,b1a1
r3kb1r/1p3ppp/pnq1p3/8/3P2Q1/2N5/PP3PPP/R1B2RK1 b kq -,b6d5
2n5/1p3rkp/p7/5p2/3R4/2rB4/P4PPP/R5K1 w - -,f2f4
3r4/5b2/5kp1/3p1p1p/pPp4P/4P1P1/P4PB1/1K1R4 w - -,b1b2
r2q1rk1/pb1n1pp1/1ppb1n1p/3p4/3P4/2NBPN1P/PPQB1PP1/R4RK1 w - -,a2a3
8/1p1r3p/p1p3k1/3rP2p/1P2KPPR/1R6/8/8 b - -,d5d4
2r3k1/6bp/4bpp1/4p3/1N6/P5P1/4RPBP/R1r3K1 w - -,e2e1
rnbqk2r/4bppp/p2ppn2/6B1/Bp1NP3/8/PPP1NPPP/R2QK2R b KQkq -,c8d7
1r2b3/6bk/2pB2pp/4p3/6Q1/5N1P/2PR1PPK/q7 b - -,b8a8
8/8/8/1b1k4/p7/K4N2/6p1/8 w - -,a3b4
rn1qk2r/1p2bppp/p1bp1n2/4pP2/4P3/1NN1BB2/PPP3PP/R2QK2R b KQkq -,b8d7
1rr5/p1p1kp2/2R3p1/4P2p/5P2/8/1P1R1KPP/8 w - h6,f2g3
5k2/pp1q1p2/1br2npN/3p2B1/4r3/1PP3Q1/P4PPP/2R2RK1 w - -,c3c4
r2qk2r/1ppbbpp1/p1n5/3NPp1p/3P4/2P2N2/PP3PPP/R1BQK2R b KQkq -,d7e6
rn1r2k1/4Bppp/1R6/pB2P3/5PP1/5b1P/P1R5/6K1 b - -,d8d1
8/1pK5/p7/P1P3pp/8/5k1P/8/8 w - -,c7b7
8/4R3/p4kp1/1p1n3p/2q2p2/P1P2N2/1P1Q2P1/7K b - -,f6e7
r1bqk2r/pp1nppbp/3P1np1/8/2BP4/2N5/PP3PPP/R1BQK1NR b KQkq -,e7d6
r4rk1/1p1n1ppp/p1nqp3/3p1b2/N2P4/4PN2/PP2BPPP/2RQ1RK1 w - -,d1b3
r1bqk2r/ppn1ppbp/2p3pn/3p4/3PPP2/2PB1N2/PP1N2PP/R1BQ1RK1 b kq -,e8g8
1r6/5pkp/2b2np1/2n1p3/1qp1P1P1/r1N1QP2/PP1R3P/KBNR4 b - -,a3a5
rnbqk2r/ppp2p2/3ppn1p/6p1/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq g6,h4g3
r4rk1/pp1q1n1p/n2p2p1/2pPp1p1/2P1P3/P1NN4/1P2QPPP/R4RK1 w - -,a1b1
2rr2k1/5pbp/3pp1p1/p1p1P2n/1qP2P2/1PN2N1P/P1Q1R1P1/5R1K w - -,c3b5
3r1r2/pp2qpkp/2p2np1/P3p3/2BPP3/2P1Q2P/5PP1/R2R2K1 w - -,d4d5
2kb4/8/2b5/4BNp1/4p1P1/4P3/5K2/8 w - -,f2g3
8/8/pR6/3P2p1/bP1k2P1/P4K1P/2r3B1/8 b - -,a4b3
8/2B5/4k1p1/1P1p4/pP5b/P1nB1K1P/8/8 w - -,b5b6
2r2rk1/6pp/p2bPp2/3q4/Pp1Pp3/4P3/1P1B2PP/R2Q1RK1 b - -,d5e6
r2q1rk1/pb3ppp/1pn1pn2/3p4/2P4Q/P4NP1/1P2PPBP/R1B2RK1 b - -,d5c4
3Q3b/5q1k/p1p4P/3pnpp1/3P4/1P4BP/1P3PK1/8 w - -,g3e5
8/3R1k1p/r4pp1/4b3/8/4B2P/P4PP1/6K1 b - -,f7e6
r1bqk1nr/pppp1ppp/1bn5/8/2BNP3/2P1B3/PP3PPP/RN1QK2R b KQkq -,g8f6:g8e7
r2q1rk1/pp2npbp/3pb1p1/2p5/4PB2/2NP1RPP/PPPQ2B1/R5K1 b - -,d8b6
r2q1rk1/p3bpp1/2p1bn1p/3p4/5B2/P1NB1Q2/1PP2PPP/R4RK1 w - -,f1e1
7r/1P6/8/8/4k3/1R6/6P1/6K1 b - -,h8b8
1rN2rk1/2qp1ppp/p1p1pn2/8/1b2P3/4B3/PPP1BPPP/R2Q1RK1 b - -,f8c8
r1r3k1/p4p1p/6p1/8/3Rp3/8/PP3PPP/5R1K w - -,f1d1
4r1k1/p3p1b1/q2p1nP1/4PR2/2r4P/2N1B3/PPPQ4/2KR4 b - -,f6g4
8/8/8/8/3K4/3R2p1/5k2/8 b - -,g3g2
4r1k1/R1p3p1/1np1bp1p/4p3/1PN1P3/7P/3N1PP1/6K1 w - -,c4a5
r1b1k2r/1pqp1ppp/p1n1p3/2b1P3/3N1P2/2PBB3/P1P3PP/R2Q1R1K b kq -,b7b6
8/P7/5pbk/6p1/8/5K2/3r4/8 w - -,a7a8q
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2NB1N2/PP3PPP/R1BQ1RK1 w - -,c1g5
8/5pk1/1p4p1/2nN2P1/8/r3PB2/1r3P2/5RK1 b - -,c5e6
5nk1/4Rpnp/p5p1/3P4/qp1BQ1P1/5P1P/r3N3/6K1 w - -,e4f4
8/R5p1/4b1kp/p1r1P3/8/8/3N1KPP/8 w - -,d2f3
8/7k/2R4p/8/7P/2p2PK1/7r/8 b - -,h2c2
r1bqr1k1/ppp1bppp/2np1n2/4p3/1PP5/P1N1PN2/2QP1PPP/R1B1KB1R w KQ -,c1b2
rnbqkbnr/ppp1p2p/6p1/3p1pB1/3P3P/2N5/PPP1PPP1/R2QKBNR b KQkq h3,f8g7
7k/6b1/p2pr2p/2q3p1/8/1pN1P1pR/1PbQ1PP1/4K2R b - -,g3f2
r4r1k/pp4p1/2p2n1p/8/3P4/1BN4b/PP1Q3P/5RK1 w - -,f1e1
r4rk1/pp3ppp/3bb3/7n/8/P4N2/1P1BNPPP/R4RK1 w - -,f3d4
r3rbk1/pp1b1qpp/2p1p3/4Bp2/2PP4/4R1P1/PP2QPBP/R5K1 b - -,a8c8
5b1r/4p3/p1knp1p1/2p4p/P4P2/3RB3/1PP1K1PP/7R w - -,d3c3
4r1k1/RR6/2pp2p1/3b2b1/8/2K5/P4P1P/8 b - -,g5f6
1k1r4/3P4/pp2pp2/4b1p1/4B1Pr/P7/1PR2P2/1K1R4 b - -,e5c7
3r1rk1/pb4b1/1p1qp2p/n1p1NPp1/5P2/2PP3Q/PPB4P/R1B2RK1 b - -,e6f5
4r3/8/3k4/8/2PKp3/1P6/7R/8 b - -,e8g8
5r1k/1p1b4/2n1p1pp/3p4/1r1P1N2/1P1R1BP1/5PP1/2R3K1 b - -,h8g7
r2r2k1/p3bppp/bqp1pn2/8/NPp1P3/P4P2/2QBB1PP/R4R1K b - -,b6c7
1r2r3/2pk2p1/4p2p/p2pR3/3P1P2/1P6/P5PP/3R2K1 b - f3,e8f8
4r1k1/3R1pn1/p1N4p/1pp1P1p1/P7/5Q2/5PPP/1q4K1 w - -,d7d1
3r2k1/p3ppbp/6p1/3PP3/4Q3/3R1P2/5PKP/1q2B3 b - -,b1c1
7k/6b1/7p/r3pQ2/1q6/5N1P/2P2PP1/4R1K1 b - -,a5c5
1r6/5pbk/3p2pp/pBnP4/Pp2P3/3p1PNP/1P1R2P1/6K1 b - -,g7c3
rn1qkbnr/pp3p2/4p1p1/3pPb1p/2pP1P2/P1N1BN1P/1PP3P1/R2QKB1R w KQkq -,g2g3
r2b2k1/1p1q1r1p/p2p1p2/3N1Pp1/8/3Q4/PPP3PP/3RR2K b - -,a8c8
2rq1rk1/Q4pbp/1p2b1p1/2p1P3/3nNP2/6P1/1P3BBP/3R1RK1 b - -,e6b3
2r2rk1/1p1b1nbp/p1B1ppp1/q2p4/3P1BP1/2N2N1P/PPPQ1P2/1K1R2R1 b - -,c8c6
8/2n3p1/2kp1p1p/2p1p2P/1r2P1P1/3K1P2/2PB4/R7 b - -,b4b2
r3kbnr/p2b1ppp/1qppp3/8/4P3/2NQ1N2/PPP2PPP/R1B2RK1 b kq -,f8e7
8/p6r/8/5k2/R2Kp3/8/8/8 w - -,d4e3
r1bq1rk1/ppp1b1pp/2np1n2/1B3P2/3p4/2N2N2/PPP2PPP/R1BQ1RK1 w - -,f3d4
bn1q1rk1/2p1bppp/4pn2/8/2BP4/4PN2/3N1PPP/2BQ1RK1 w - -,c1b2
3rrb1k/2pq2pp/p3bp2/1pp1pN1P/4P3/3PNQP1/PPP2P2/R4RK1 w - b6,g1g2
8/Q7/p1k1q1p1/5pP1/1p3P2/6PK/8/8 b - -,c6b5
r4rk1/1bq2p1p/6p1/N7/Q5N1/3p2bP/P2B1RP1/1R4K1 w - -,a4d4
1rbq1rk1/4npbp/2pp1np1/1p2p3/PP6/2NP1NP1/2QBPPBP/1RR3K1 b - a3,b5a4
5r2/1P6/6k1/6n1/7R/8/K4p1p/5B2 b - -,g5f3
4rbk1/1p3pp1/p3p3/Pq2P3/2Np3Q/1n6/1P3PPP/2RR2K1 w - -,c1c2
2r2rk1/ppq1b1pp/1n2p3/3pPb2/P2P4/2P5/2NBB1PP/R2Q1RK1 b - -,b6c4
r4rk1/pp3p2/1q2bnpb/3p1p1p/3P3P/1PNQP1P1/P3NPB1/R4RK1 w - -,d3b5
5rk1/ppp2ppq/7p/3p4/PP2rp1N/2P4R/3Q2P1/4RK2 w - -,e1e4
4rk2/1p2bppp/p1n5/5b2/5B2/1B3P2/PP3PKP/R2R4 w - -,f4d6
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/5P2/3P1NP1/PPPNP1BP/R1BQK2R w KQkq -,e2e3
r2q1rk1/1b3ppp/pp3b2/2np4/P2Nn3/1P3NP1/2Q1PPBP/1R1RB1K1 b - -,a8c8
rnb1k2r/1pp2pp1/p2b1n1p/4p3/2B1P3/P1N1BN2/1PP2PPP/R3K2R w KQ -,h2h3
r1b2rk1/p2n2p1/1p4qp/2pP4/P1P1p1p1/4Q3/1BP1B2P/1R3R1K w - -,f1f8
4r3/r4pkp/pp4p1/2b1P3/2P5/1P2B1P1/P3P2P/3R1RK1 w - -,e3c5
8/4b3/5k2/3r1n1p/7P/5PPK/2R5/2R5 w - -,c2c3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,g8f6:f8c5:d7d5:d7d6
r2qk2r/1bp1b2p/ppp2pp1/2n1p3/4P3/1P1PNN2/PBP2PPP/R2QR1K1 b kq -,d8d7
1r6/6k1/7p/2p5/4p3/q2pP2P/5PP1/3Q2K1 w - -,d1g4
r3kb1r/pp1npppp/2p3b1/q1P5/3P2P1/2n2P1B/PP2N2P/R1BQ1RK1 w kq -,e2c3
r3r1k1/1p3p1p/p7/3P3n/P1PQ2bN/2N3P1/RPq1p2P/4R2K b - -,f7f5
2r2r1k/pp1nq2p/2p1p1pb/3pPn2/5PQ1/1BP4P/PP2NBP1/3RR1K1 w - -,h3h4
1kr1r3/1p2qp2/p2p2p1/3Pp1Pn/1Q2P3/1P6/2P1NP2/2KR2R1 b - -,c8c5
5rk1/1prb2p1/pP1Np2p/3nP3/P2N3b/2p5/2P1RPP1/2BR2K1 b - -,d5b6
6k1/p4p1p/6p1/2nRN3/8/4P1P1/2r4P/6K1 w - -,d5d8
1rb3k1/2q1bppp/p4n2/8/2Pr4/1P3NP1/P3Q1BP/R4RK1 w - -,f3d4
r7/3b3r/q3p1k1/1pRp1pb1/1P1P2p1/3QP1P1/1BR1B2P/6K1 b - -,g6h6
r1qr2k1/pp3pp1/2pBpbnp/2P2b2/1P1P4/2N3P1/P4PBP/R2QR1K1 b - -,g6e7
3rr1k1/p1q2pb1/bpn3pp/2pnp3/P1N1N3/2PP2P1/1PQ2PBP/1RB1R1K1 w - -,c4a3
2r3k1/5pb1/pp1q2pp/1b1pN3/3P1Q2/P7/1P3PPP/1B2R1K1 b - -,d6f6
r2q1rk1/ppp1bppp/1n4n1/1B5N/8/2PP2QP/PP3PP1/R1B2RK1 w - -,d3d4
4r1k1/1p3p2/7b/p1P4p/P2BpprP/8/1PP2K2/4R1R1 w - -,d4c3
2rq1rk1/1p1bbppp/p3pn2/4Q3/8/2N1B3/PPP1BPPP/2KR3R w - -,g2g4
r4r2/1p4k1/4q1p1/p1p1N3/Pn2pP2/4P1Pp/1P2Q2P/1R3RK1 b - -,b4c6
2k5/ppqnbp2/1np1p2p/1P2P2P/2P2P1p/P3B1rP/4Q1B1/R4R1K b - -,b6c4
b7/3k1p2/1B2p1p1/1p2P2p/1PpK3P/2P3P1/8/8 b - -,d7c6
r3kb1r/1b3pp1/2n1p3/1q1pPP2/p1pP2P1/1pP2n2/PP2N1B1/RQB2RK1 w kq -,g2f3
1q1r1b2/1b3r1k/p1np2pp/P2Npp2/2P1P3/1N2BP2/2P2QPP/1R1R2K1 w - -,f2h4
3q2k1/1b4r1/1p2p2p/p2pP3/P3nQ2/BP1B2nP/2P4N/3RK3 b - -,d8c8
r4rk1/2q2pb1/4p1pp/p1p1n3/1p2P3/2P1B2P/PP1R1PP1/3QRBK1 w - -,f2f4
6r1/1r2bk1p/p1p2p2/8/P1p1pN1P/1PB1PbP1/K1P2R2/6R1 b - -,c4b3
5k1K/R7/7P/8/8/8/8/6r1 w - -,h8h7
8/2k2pp1/4p2p/2K5/6P1/5P1P/8/8 b - -,c7d7
Q7/4b3/8/2p2p2/p2q1k1p/5P1P/2KN4/8 w - -,a8b8
2r2rk1/p3b1pp/1qp1p3/3n4/1n2N3/1P4P1/PB1Q1PBP/R2R2K1 w - -,d2e2
r5k1/5q1p/1pp5/5N2/3P4/1PP1R1P1/3Q2K1/8 b - -,f7f5
1r3rk1/2n1qp1p/bp1b2p1/p1pPn3/N3PN2/PP2B2P/2B2QP1/R3R2K w - -,a4b2
3r4/2q1bpk1/4p1p1/p1p1Pn2/2Pp1P2/1P3Q1R/PN1B3P/3K4 w - -,d1c1
3r4/2r2k2/pb4p1/1p2Pp1p/1P1pbP1P/P2B2P1/1KRR4/6N1 w - -,c2c7
8/p2r3p/5kp1/5p2/1PRprP2/P2R1K1P/6P1/8 b - -,h7h5
r2q1rk1/1p3pbp/3pbnp1/8/4P3/p1N1BP2/PP1QB1PP/3RK2R w K -,b2b3
r1b3k1/pp1p1p1p/5qp1/2BQ1n2/7r/P2B4/1P3PPP/R3R1K1 w - -,e1e8
4r1k1/6pp/1pp2p2/2npnq2/2r2N2/P1Q1PPP1/1B5P/3R1RK1 w - -,c3d2
2kr3r/ppp1p1b1/2n1P1qn/3p1pp1/3P2P1/3Q4/PPP2PKN/RNB1R3 b - -,c6d4
r1bqr1k1/pppnnpbp/6p1/4p3/1PPp4/3P1NP1/PBQNPPBP/R4RK1 b - -,e7f5
2b2r1k/2p2qpp/2Pp4/1PpPpp2/r7/2R3P1/1Q2PPBP/3R2K1 w - -,c3a3
r7/1p6/2p3kp/3n2p1/r1pP4/1p2P2P/PP3KP1/R1NR4 b - -,a8f8
r5k1/1Np2pp1/p4nqp/4R3/1P1Pp3/2P3Pn/1P3PK1/3QR3 b - -,h3f4
b1r1qrk1/p3bpp1/1pp1pn1p/8/2PP1BNP/1P1R2P1/P3QPB1/3R2K1 w - -,g4e3
2r4k/p4Rpp/4B3/8/1p3P2/2p5/P4KPP/8 b - -,c8d8
8/8/5k1p/7P/4qPP1/5B2/5RK1/8 b - -,e4b4
5bR1/5P2/2k1K3/4r3/1p6/8/8/8 w - -,e6e5
1k1r3r/bpp1q1p1/p1npb3/4p3/1PP1Q1Pp/P1N1P3/3P1PB1/1RB1K2R b K -,e7g5
r2k3r/ppNbn1pp/2n1p3/2qpP3/5B2/3B1N2/PP3PPP/3Q1K1R w - -,c7a8
r4rk1/1p1nnpbp/2p1p1p1/3p4/p2PP3/2P3PP/PP1N1PB1/1RB1R1K1 b - -,f8e8
1r4k1/5pb1/4p2p/p1Pqn1p1/2N5/1Q2B2P/P4PP1/6K1 w - -,b3b8
8/r2b1p2/1R2nPk1/2N1p2p/pN2P3/8/PPP4P/2K5 w - -,c5d7
6k1/p5p1/2n4p/2N2p2/2P1p3/1P4P1/P2r1P1P/R4K2 w - -,f1e1
r1q5/p3pnkp/2p2r2/3pNb2/3P1p2/1NR4P/PP3PP1/3Q1RK1 w - -,e5f7
r5k1/1pp2ppp/4n3/1q5r/p2Pp3/P3P1P1/1PQN1PKP/2RR4 b - -,f7f5
1r3rk1/2p2ppp/pn1pqn2/2b1p3/2P4N/3PP1P1/PBN2PKP/1R1Q1R2 w - -,b2a1
8/5pp1/1R6/1p2rk1p/1Pp4P/5KP1/1P3P2/8 w - -,b6b7
4r1k1/6bp/2np2p1/1p1q4/1Q2p3/1PB4P/2P1B1P1/5R1K w - -,b4b5
r1b1kbnr/1p1n1p2/pq2p2p/P1ppP2P/3P1B2/2PB1P2/1P1NN3/R1Q1K1R1 b Qkq -,b6d8
6k1/4bpp1/1BR1b3/4p2p/1p6/8/4r1PP/1R4K1 w - h6,b6c5
2rq1rk1/p2nbppp/2p1pn2/1p3b2/3P4/4PNP1/PP2QPBP/RNBR2K1 w - b6,f3e5
8/5p1k/R5pp/2B1b1n1/1P4P1/8/1r4B1/4rRK1 b - -,g5f3
rnbq1rk1/pp1pppbp/2p2np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - -,d7d6:d7d5
1rq1r1k1/pb3p1p/3p2p1/8/2Pb1P2/2NB4/PP1Q2PP/3R1R1K b - -,c8g4
5rk1/pb3ppp/1PN1pn2/7q/8/1p3NP1/1P2PPBP/R2R2K1 w - -,a1a5
