8/5k2/4b2p/3Q2p1/1P6/2P3Bq/P6P/2K5 w - -,d5f3
8/1p3b2/1npk1p2/p3pPp1/P3P1Pp/1PKBN2P/2P5/8 w - -,d3e2
r4qr1/1ppkn3/1p1pp2p/4p3/1P2P2P/P2P2PR/2PNQ1P1/R3K3 b Q -,e7c6
8/5pk1/3Q2p1/2p5/p1q5/P6K/6P1/8 w - -,d6e5
r1b1kb1r/1p1n1p1p/p3p3/3p1pP1/P1NNB3/4B2P/1PP5/R4RK1 w kq -,e4d5
rnb1k2r/pp2nppp/1q2p3/2b1P3/3p4/B2B1N2/P1PP1PPP/RN1QK2R w KQkq -,e1g1
2b2rk1/p1q2pp1/3N3p/4P3/P1pp4/2Qn4/1r1B1PPP/R3R1K1 w - -,c3d4
r1q1r1k1/ppp1npp1/4b2p/2npP3/8/2P2QNP/PPB2PP1/R1B1R1K1 b - -,e8f8
r2qr2k/1b3ppB/p1p1pb1p/1p6/3P4/4P3/PPQB1PPP/2R1K2R w K -,h7e4
1r6/1p6/2p5/1kP1RBK1/1Pb1P3/8/8/8 b - -,b5b4
r3kb1r/1ppn1ppp/pq2b3/2nN2B1/8/4QN2/PPP2PPP/2KR1B1R b kq -,b6c6
8/2p1k1p1/1pB2n1p/R2Pp3/2P1P2P/P1NK1bP1/8/8 b - -,b6a5
6k1/1p1br2p/2p3p1/2n2p2/2PN1P2/6P1/4PKBP/R7 w - -,a1a7
r3k2r/p2p1p1p/bnp1pp2/8/3P4/1B2P3/PP1N1PPP/R3R1K1 b kq -,e8e7
rn2r1k1/ppq2pbp/2p3p1/4p1B1/2P3b1/1Q2P2P/PP1N1PP1/R4RK1 w - -,h3g4
2r2rk1/4ppb1/3p1npp/pbq2P2/1p2PN1Q/3B1N2/PPP3PP/4RR1K b - -,g6g5
4r1k1/pb3rp1/1pp1pn2/5q1p/2P2P2/1P2R1PP/P3Q1B1/R1B3K1 b - -,f7d7
r4rk1/p2R1pp1/2p1p2p/1p6/2P5/2P3P1/P2RPP1P/6K1 b - -,a7a5
3r4/p1n5/1p3k2/2p2P1p/7N/1P2R1P1/P6P/6K1 w - -,e3e2
r1bq1rk1/p2ppp1p/2p3p1/8/3QP1n1/2N4P/PPP2PP1/R3KB1R b KQ -,g4f6
8/2bk2p1/p4p2/2Rp1r2/Pr3P2/1P1R2B1/4KP1P/8 b - -,d7d6
2rr2k1/ppqb1ppp/2n1pn2/8/1b2P3/1NNB4/PP1BQPPP/2R2RK1 w - -,d2g5
5rk1/pp1qp2p/8/1b1p2P1/1B1PpQ1P/8/PP4P1/2R3K1 w - -,f4g3
2r2rk1/pbqnbpp1/1p2pn1p/2P5/2B5/1PN1PN2/PB2QPPP/2RR2K1 b - -,e7c5
6k1/p1p4p/2p2np1/8/3r4/2N5/P1P1RPPP/6K1 w - -,f2f3
8/5pkp/5rp1/8/1R1p4/3Pb2P/1P4BK/8 w - -,g2d5
3qr2k/6p1/1b1p3p/pP1Bp3/R4r2/1P3P2/3Q2PP/2R4K w - -,d5e4
8/1B3pk1/P2R4/4n1pp/5P2/6PP/r7/6K1 b - -,g5f4
2rq1rk1/pp2ppbp/2pp1np1/n2P4/2P1P1b1/2N3PP/PPQN1PB1/R1B2RK1 b - -,g4d7
3r1r2/p5k1/b1B1p1p1/2p2p1p/PpN3n1/1PbPP1P1/2PN3P/3R1R1K w - -,h2h3
3R1B2/5pbk/6p1/p4r1p/1pB5/1Pn2P2/5PKP/8 w - -,f8e7
q2r2k1/rbp1bppp/p1n1pn2/1p6/3P4/3NP1P1/PP1B1PBP/RN1Q1RK1 b - -,c6b8
5rk1/p4ppp/2n1P3/2qp1p2/1r6/3P1B1P/P5P1/R3QR1K b - -,c5d6
1r5r/Qpp2pbk/3pbqn1/6p1/2N1P2p/2P4P/PP2BPPB/2KRR3 w - -,a7d4
r1bqr1k1/2p2ppp/p7/1p1Pp3/1P1P4/1P6/1P3PPP/R1BQK2R w KQ -,e1g1
r3k2r/pp1npp1p/1qp2pbb/3p4/3PP3/3B1N2/PPPN1PPP/R1Q1K2R w KQkq -,e4d5
r5k1/1pq1b1pp/2p1p3/p1p1Pr2/P1P2n2/4QNNP/1P3PP1/R3R1K1 b - -,f5f7
rnbq1rk1/1p3ppp/p3p3/3n4/3N4/P1N1P3/1P1QBPPP/R3K2R b KQ -,d5c3
6k1/p4p1p/1b6/4P3/3p1K2/PNr4P/6P1/2R5 w - -,c1c3
1q3k2/3R1p2/p7/8/3Pp2Q/4P1K1/8/8 w - -,g3h3
r1b1k2r/1p1p1ppp/p3pn2/8/1bPqP3/1BNp1Q2/PP1P1PPP/R1B2RK1 b kq -,b4c3
2r1k2r/pp1nppbp/6p1/1B1p4/3NnP2/1P6/PBP1KPPP/R6R w k -,b5d3
1b2r1k1/pQ3RPp/2p2Rn1/3b4/8/P5P1/1P2q3/4B1K1 w - -,f7f8
5R2/8/8/5b2/3K1k2/8/8/4r3 b - -,e1d1
5rk1/8/p2p3p/1p1Pn3/1P1pB3/4b1PP/P1R5/4R2K b - -,f8f7
2r1r1k1/p4p1p/2p1p1p1/2P2nB1/1b1P4/5B1P/P3RPP1/3R2K1 b - -,b4a5
rn2qr1k/4p2p/p1p3p1/2P2p2/Np3Pb1/4QB2/PP4PP/3R1RK1 w - -,f3g4
rn1qkb1r/ppp2ppp/4pnb1/8/2BP2P1/2N2N1P/PPP5/R1BQK2R w KQkq -,e1g1
r4b1r/1bk2ppp/p1p5/1pB1p3/1P2N3/3P4/1PP2PPP/R4RK1 b - -,b7c8
r3rbk1/3b1p1p/p1Np2p1/1q1Pn3/8/Q3B1PP/4PPB1/2R2RK1 w - -,a3a2
r2q1rk1/pp2b1p1/2n1pn1p/3p4/5B2/2N3P1/PP2PPBP/2RQ1RK1 w - -,d1c2
8/r7/6kP/7p/5B1P/3NK3/8/8 w - -,f4g5
8/8/8/2p5/8/3K4/1k6/8 b - -,b2b3
3r1Bk1/2q4p/p3p1p1/1p4P1/2p1bP1Q/P6R/1bP1N2P/5RK1 b - -,d8f8
1rr3k1/3nq1p1/2p1p2p/p1Pp1p2/3P4/3R1N1P/PPQ2PP1/2R3K1 b - -,e6e5
r1bq1rk1/pp3ppp/1n2pn2/8/1b1P4/1BN2N2/PP2QPPP/R1B2RK1 b - -,b6d5
r3kbnr/pppbppp1/2n5/q6p/8/2N3PP/PPPPNPB1/R1BQK2R b KQkq -,e8c8
r2q1rk1/3bpnbp/2pp1pp1/p7/3PP3/2N1BN1P/PPQ2PP1/2R1R1K1 b - -,d8c8
4rrbk/1p4qp/p4pp1/3NnP2/1P2P2P/P5Q1/2B2bP1/3RR1K1 w - -,g3f2
r2qkb1r/pp1n1ppp/2p2n2/3pp3/8/3P1bPP/PPPNPPB1/R1BQ1RK1 w kq -,g2f3
r1b1k2r/pp1nqpbp/2pp1np1/4p3/2PP4/1P2PNP1/PB3PBP/RN1QK2R w KQkq -,e1g1
r1b2rk1/p2n1ppp/1ppqpn2/8/P1pPP3/2N2NP1/1PQ2PBP/R2R2K1 b - e3,d6c7
2r3k1/1p3p2/3q3p/1p1Prbp1/p2Rn3/P3BQPP/1P3PBK/5R2 w - -,f1c1
1r4k1/1b2q1p1/pB1bp2p/7n/4B3/5rP1/1N3P1P/1QR2RK1 b - -,f3b3
8/8/5k2/R5pp/4r3/6P1/5K2/8 w - -,f2f3
8/R7/5kp1/3p3p/8/4PP1P/1r4P1/5K2 b - -,h5h4
8/3b2p1/1p2kp2/8/2P2P2/4K3/1P1B3P/8 w - -,e3d4
6k1/p3q1np/3p2p1/1ppBn3/8/2PP2PP/PP6/R1B2RK1 b - -,g8h8
8/1p6/k1pB4/p1P5/Pn6/1PQ4p/K7/3q4 w - -,a2b2
3r2k1/p4p2/4p1p1/1p2P3/2rp3R/3R1P2/P4P2/6K1 b - -,g8f8
r2r2k1/pp3ppp/8/4NP2/4n3/B1PBP3/5P1P/n4RK1 b - -,d8d3
r6r/2knn1pp/bppb1p2/p3p3/P1B1P3/1N1RBN2/1PP1KPPP/R7 w - -,c4a6
r4rk1/p1q2pb1/bp1ppnpp/2p5/4P2B/1QPP1N1P/PP1N1PP1/3RR1K1 b - -,f6h5
8/p6p/7k/2b2p2/2B5/6PP/P2r1PK1/5R2 b - -,h6g5
r1bqk2r/p1pn1ppp/1p1ppn2/8/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R w KQkq -,f1e2
2r1k1q1/p1r5/1p2PBp1/8/8/2P2R1Q/6P1/6K1 w - -,e6e7
2K1k3/1R3p2/2P1p1p1/4P2p/5P1P/6r1/8/8 w - -,c6c7
3r3r/1B3ppp/1b2p3/pP6/P4k2/1KP1n3/R2N3P/4R3 w - -,d2c4
3q1rk1/4bppp/pn1p4/1p2pP2/4P3/1NPRQ3/P1P3PP/1K4R1 w - -,g1d1
rn4k1/p5bp/3p2p1/2pP4/4P2q/7P/PP4P1/R1BQ1K1R b - -,b8d7
r4r2/pp4kp/2p5/4bp2/4nP2/4B3/PP5P/R3R1K1 w - -,f4e5
r1bqkb1r/1p3pp1/p2p1n2/4p2p/4PP2/1nN1BB2/PPP3PP/R2QK2R w KQkq -,a2b3
1r1qk2r/2p2p1p/p2bb3/1p2p2Q/8/1N2P1P1/P4PBP/R4RK1 w k -,f2f4
8/1pp1bk2/q2p2p1/3Pp1P1/p1P3Q1/4B3/PPK2P2/8 b - -,f7g7
4r3/P1k2p2/6p1/1p5p/3p3r/8/1KP1R3/3R4 b - -,e8a8
rn2kb1r/1bq2ppp/pp1ppn2/8/P2NP3/2NBB3/1PP2PPP/R2Q1RK1 w kq -,d4b3:f2f4
rqn1k2r/2p1npb1/3p2pp/pP1Pp3/1pP1P1P1/3QBNNP/1P3P2/R3K2R w KQkq -,d3d2
rr4k1/2pqpp1p/6pb/pP1n4/2pP4/2P1P1B1/2QN1PPP/RR4K1 b - -,b8b5
8/1r5p/2pp1p1k/4nP2/2P2KN1/6RP/3nB3/8 b - -,e5g4
8/1r6/1P4p1/B1p1PpP1/p1kp1P2/P2n4/4K3/1R6 w - -,a5d2
1rb1k2r/2q1bppp/p3p3/1p1nP1B1/3R4/2N3P1/PPP1Q1BP/2K4R w k -,g5e7
1Q3K2/6pk/5p1p/2q5/7P/8/8/8 w - -,f8f7
8/8/2B5/p1p1p3/2pk4/P4P2/1PK2n2/8 w - -,c2d2
r2q1rk1/6pp/p2p1b2/2pP1p2/2P3n1/1PN5/PB4PP/R2Q1RK1 w - -,d1d2
4b3/1k4p1/1p1n1p1p/1Pp1pP1P/2P1P1P1/3K4/8/1R6 b - -,e8f7
r1bq1rk1/pp2n1b1/3p1npp/3Ppp2/8/1QN2NP1/PP2PPBP/1RB2RK1 b - -,g8h8
r1b1k1nr/pp4bp/1qp3p1/3pNpB1/8/2NBP2P/PPP2PP1/R1Q1K2R b KQkq -,g7e5
3nn3/2p2k2/2Pp4/1q1Pp1pp/4Pp2/3Q1P1P/5NP1/4BK2 b - -,b5a4
r2q1rk1/pb1nppbp/1pnp2p1/8/2P1P3/2N2P2/PPNBB1PP/R3QRK1 b - -,c6d4
7r/5p2/4bk2/4pp2/1R5p/1B3P1P/2P2KP1/8 b - -,f5f4
4k2r/3nppbp/rq1p1np1/2pP4/4P3/2N2N2/PP2QPPP/R1B2RK1 w k -,f3d2
4rrk1/p2qn1b1/1p1pb1pp/nPpNp3/P1P1Pp2/3P2P1/1B1N1PBP/R2Q1RK1 w - -,b2c3
4Rbk1/pb3pq1/1pr4p/2np1B2/3B4/2P4Q/P4PPP/R5K1 b - -,g7g5
r7/ppknr1pp/2p2p2/2b1p2n/2B1P2B/P7/1PPRNPPP/2KR4 b - -,h5f4
8/p7/1p2Q1pk/4P2p/7P/6P1/5PK1/1q6 b - -,b1e4
8/1R6/2B1bkp1/2P5/1P3b2/7p/8/7K b - -,g6g5
2r5/2r1q1k1/p1pb2b1/Pp1p2p1/1P1P1Pp1/1R2P1P1/1R3KB1/2Q1N3 b - -,c8e8
r3r3/1p2bppp/1kp1bn2/2n5/p1PRPB2/2N4P/PPK1B1P1/2NR4 b - -,f6d7
5rk1/p1r2p2/1p2p1p1/4P1p1/2Pp1n2/3B1P2/P4P1P/2RR2K1 b - -,c7c5
8/8/1P4R1/2nk1p2/3b2p1/8/4KP2/8 w - -,g6g8
3r4/1pkn3p/2p3p1/2P2p2/1PK1pPP1/4R3/4P1BP/8 b - -,b7b5
r1bkr3/1pp1n1p1/p2p1q1p/8/3P4/1Q1B1P2/P1P1RBPP/4R1K1 b - -,e8f8
4r1k1/pp1b1pq1/3pp1p1/6Pn/2rNP3/8/PPPQN3/1K4RR w - -,b2b3
1n3rk1/rp2p2p/2p3p1/q1n1QpN1/2P5/pR1P1BP1/P3PP1P/5RK1 b - -,h7h6
6r1/1p1P4/pR6/P1k1pn1K/2p2p2/2N2P2/1P6/8 b - -,f5g3
3r4/R4pk1/4p1p1/P5Qp/3P2nP/5N2/4q1PK/8 w - -,h2h3
3r4/1p2k1pp/p3p3/2rb1p2/8/P1P1PPP1/1R2K2P/2R1N3 b - -,d8d7
r3r1k1/1pqn1pbp/p2p1np1/P1pP4/N3P3/5B2/1PQB1PPP/R4RK1 b - -,a8b8
r7/4kp1p/pR2p3/8/2P3p1/2Nn1b2/PP1N1K1P/8 w - -,f2e3
8/1p2r1kp/8/3R1p2/p7/Pn3N2/5PPP/5K2 b - -,f5f4
r3r1k1/bppbqppn/p2p2np/4p3/3PP3/2P1BNNP/PPBQ1PP1/R4RK1 w - -,a1d1
8/3Rr1kp/1p3pp1/2p5/4r3/6P1/1P3PKP/2R5 w - -,c1d1
4rk2/2Q1pq2/1P1p3p/3P1P2/2P2P1R/5K2/4R3/8 b - -,f7f5
r4rk1/1bqpbppp/p1n1pn2/1p4P1/3NP3/2N1BP2/PPPQ3P/1K1R1B1R b - -,f6h5
6rk/ppq1p1b1/2p2r1p/2PpN3/3P1P2/1Q4P1/PP4K1/3R3R b - -,c7c8
1k6/2q1bp1Q/4pp1p/1pr5/p4P2/P2B2P1/1PP4P/2KR4 b - -,e7f8
7n/6pk/6r1/4B3/5K2/7Q/8/8 b - -,g6h6
r1bq1rk1/ppn2ppp/2pp4/2b1p3/2P1P3/2NP2PP/PP2QPBK/R1B2R2 w - -,f2f4
r1b1k2r/1p1npp2/p2p4/2q3B1/4P1n1/1NP5/P1PQ2PP/R3KB1R b KQkq -,c5e5
r1b2rk1/pp4bp/1q4p1/1B1pn1N1/2Pnp2B/8/PP1NQPPP/R4RK1 w - -,e2d1
2r2rk1/3nnpbp/p1b1p1p1/3pP3/p1pP1PP1/2P5/1P1N1B1P/2Q1RBK1 w - -,d2f3
8/P7/2b5/2K3N1/5p2/5Pk1/8/8 b - -,c6a8
r5k1/p3Rp1p/1p4pb/2p5/2P1P3/6PP/Pq2BP2/3Q2K1 b - -,h6g7
r1bq1rk1/p1p1nppp/3p1n2/1P1Pp3/1b2P3/2NB1N1P/PP3PP1/R1BQK2R b KQ -,e7d5
2k1r1r1/p1pp1p2/2b2Bp1/2Q1P2p/2P1q3/PP4PB/1K5P/3R4 b - -,e4e2
8/1p6/6p1/2n1p3/3k2KP/P7/2b5/2R5 b - -,d4c3
8/3bk2p/2n1ppp1/3p4/3P1P2/4KNP1/7P/5B2 b - -,c6b4
r3r1k1/3b4/4p1p1/3pPpP1/2pP1P2/1pPn2P1/3KN3/RR6 b - -,b3b2
2r5/4kppp/p2p4/1rnBB3/4P3/R1P5/1PK3PP/3R4 b - -,d6e5
r1r3k1/2R2p2/7p/p5p1/1n1P4/2N1P1BP/3n1PP1/R5K1 b - -,c8d8
2r2rk1/pp1Nbpp1/4pn2/q2b2p1/Pn1P4/3B3R/3B1PPP/1R1Q2K1 b - -,g7g6
5r2/p5k1/1p1R3p/n1p2q1p/8/5N2/P4PP1/3Q2K1 w - -,d1d2
8/Q3nk2/7p/P2p2pP/3Pp1P1/4P3/r7/3K4 b - -,a2a1
rn3rk1/ppp1qppp/3p1n2/4p3/2PPP3/5NPP/PP3PB1/R2Q1RK1 b - -,c7c5
r1b2rk1/3nppbp/1q1p2p1/p1pP4/8/1PN2nPP/P2BPPB1/1R1Q1RK1 w - -,e2f3
r2q1rk1/pbpnppbp/1p4p1/8/3PN2P/2PB1N2/PPQ2PP1/R3K2R w KQ -,e1c1
5rk1/4p2p/p1P3p1/3R1p2/8/2R3P1/Pr3P1P/6K1 b - -,b2b8
r1bqk1nr/pppn1pbp/6p1/4p3/4PB2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f4g5
2rr1qk1/1b3pp1/pp1pp1np/2n5/2PNPP1P/PPN3PB/8/2RQR1K1 b - -,g6e7
8/6k1/2R5/3P2p1/4K2P/4P3/5r2/8 b - -,g5h4
rn4k1/p2rqpp1/b1p1pn1p/1pP2N2/3P1Q1B/5B2/P4PPP/1R2R1K1 b - -,e7d8
6k1/7p/3n2p1/2RP1p2/8/6P1/4rPBP/5K2 b - -,e2b2
r4rk1/1b3ppp/p2p4/1p4q1/8/2Q5/PPP1BPPP/R3R1K1 w - -,c3g3
r1bqk2r/pp2n1bp/2n1ppp1/2pp4/4P3/3P1NP1/PPPB1PBP/RN1Q1RK1 w kq d6,e4d5
2q3k1/2r2rpp/1p2p3/1Bn1Pp2/PPpB1P2/2R1P1P1/3Q3P/6K1 w - -,b4c5
r2q1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N1BB1P/PP3PP1/R2QK2R b KQ -,c6d4
2r3k1/1p2q1bp/3p2p1/1N1P1p2/Q1P1p2P/6P1/PP3P2/3R2K1 w - -,a4b4
8/2p5/3k4/6p1/1b2B1P1/p4P2/8/1K6 w - -,b1c2
1r3r1k/pp2q2p/4B1p1/2P2p2/4p3/1Q2Pn2/PP2K3/3R1R2 b - -,f8d8
5qk1/ppn2p1p/1np3p1/8/1P2PP2/PN4P1/1Q5P/3B2K1 b - -,f8d6
4r3/1k4Qp/p3p3/2q1P3/Pppr4/8/1P3PPP/2R2RK1 b - -,e8e7
1r3k1r/q4b2/2B2p2/p1n1pP2/P1Pp4/1P4P1/2N2Q2/1R2R1K1 w - -,c2d4
1r3rk1/1bqn1p1p/4pnp1/1p6/2pPN3/2P2NP1/1PBQ1P1P/2R1R1K1 b - -,g8g7
r2q2k1/1bp1rppp/p2p4/8/p2N2n1/2NQR3/PPP2PPP/R5K1 w - -,e3g3
r2q2k1/pp3p1p/1nn1p1pQ/8/3rP1N1/P2b2P1/1P3PBP/R2R2K1 w - -,f2f4
1r4k1/4pp1p/3p1np1/3P4/Q2P1q2/5B1P/6P1/3R3K w - -,a4a7
8/8/8/1Bk2p1R/2P5/5br1/5K2/8 b - -,f3h5
1rbq1r1k/1p2n1bp/3p4/1P2pp2/2Pp4/1Q1P2P1/4NPBP/1RB2RK1 b - -,e7g6
r4rk1/pp1n1ppp/1q2pn2/2b3N1/5B2/2PB3P/PPQ2PP1/R3R1K1 b - -,h7h6
4rrk1/1p1b1ppp/1qn5/p1bpPp2/5P2/2PB1NP1/PPQ4P/R1B2K1R b - -,f7f6
r3rq2/p5pk/1p1P3p/2p1np2/2P1P3/R3B1P1/PPQ4P/3R2K1 b - -,e5f3
