3r4/8/6p1/PR3pkp/4p3/1P2P2K/8/8 b - -,d8d3
6k1/7p/p3p1p1/8/p7/1P4P1/4rPKP/2R5 w - -,b3a4
4rr2/3q1pkp/B2p2p1/P1pQ4/8/R7/6PP/5R1K w - -,a6b7
1rbqnrk1/1p2ppbp/3p2pB/p1p5/2PnP3/2NP2P1/PP1QNPBP/1R3RK1 b - -,c8d7
r2q1rk1/p1pb2n1/3p1b2/1pnP1Pp1/6B1/2N1NRB1/PPPQ4/R5K1 w - b6,a1f1
6k1/5pp1/1p5p/r2Q4/8/4P1P1/5PKP/1R6 b - -,a5d5
rn5r/ppk3pp/2p2n2/5bN1/4pP2/2B5/PPP1P1BP/R3K2R b KQ -,b8d7
8/p7/8/3kbN2/1p6/1P1K4/P7/8 w - -,f5e3
8/5p1p/1r4p1/3kp1P1/8/8/1pK4P/3R4 b - -,d5e6
r1bq1rk1/1pp1n1b1/2np3p/1N2p3/2P3pP/P2P2P1/3BP1B1/1RQ1NRK1 b - -,f8f1
2r5/2P5/1k4p1/1P3p1p/1KR2P1P/5P2/8/8 w - -,c4c6
r3k2r/pp1qppbp/2n3p1/1B1p4/3P1B2/2P1P3/P4PPP/R2QK2R w KQkq -,e1g1
1r6/p3npbk/b2p2pp/q1p1n3/P3P1P1/2PPB2P/2Q3B1/R1NN3K w - -,a1a2
8/3PB3/4K3/8/8/2r3k1/8/8 b - -,c3e3
2r3k1/1pq3pp/p1n1b3/5p2/1PP1pP2/2Q1B3/P3B1PP/3R2K1 b - -,c8d8
r6r/pb2kp2/1p1p2q1/2p1n1Pp/2P5/2P1P1P1/P1Q1B2R/2KR1N2 w - -,e3e4
1r1qr1k1/2pb1pbp/p2p1np1/4p3/4P3/1BPP1N1P/P2B1PP1/R2QR1K1 b - -,d7c6
1rb2rk1/p3nppp/2n1p3/q2pP3/5P1N/2P2QP1/P5BP/R1B2R1K w - -,f1f2
8/5p2/2b2Pk1/1p1N2p1/2p1K1Pp/2B2P1P/1PP4b/8 w - -,c3e1
rr4k1/1p3pp1/pQp4p/P3qb2/5R1P/4PB2/1P1R1PP1/6K1 b - -,f5e6
7k/R7/6pP/6P1/1P4P1/Pr6/3p4/3K4 b - -,b3b2
4n1kr/1pbr2p1/p1p1qp2/4pNRP/1P2P3/2PPB3/1P2QK2/7R w - -,g5g3
6k1/p3pp2/1p4p1/3P3p/4PP2/2b1B2P/P4KP1/8 w - -,f2e2
8/KPk5/8/8/8/5B2/8/8 w - -,b7b8q
r1bqk1nr/pp2bppp/2n1p3/2pp4/4PP2/2PP4/PP2Q1PP/RNB1KBNR w KQkq -,g1f3
2b1q1k1/p6p/1p2pRp1/2p1P1P1/2Br3P/1P4PK/P3Q3/8 b - -,a7a6
r1b2rk1/pp2q2p/4p1p1/2bp2Nn/1n3P1Q/2NB4/PPPB2PP/2KR3R w - -,h1f1
3r1b2/1k2qp1R/3p1p2/1pnRpB2/4P3/1N2BP2/1PP2P2/1K6 b - -,b7c6
r3r1k1/1p1q1pbp/1npN2p1/p2b2B1/1n1P4/1P3NPP/P4PB1/R1QR2K1 w - -,d6e8
7k/8/p6P/1p6/3P4/2P5/3r4/5K2 w - -,f1e1
r2rq1k1/1p3pbp/pp4p1/3P4/5Pn1/5B2/PP2N1PP/1K1RQ2R b - -,g4e3
r1b1k2r/pp2bppp/2n1pn2/2P5/8/2P2N2/PP2BPPP/RNBq1RK1 w kq -,f1d1
5rk1/R2R1p2/P4p1p/4p3/r7/5K1P/6P1/8 b - -,g8g7
3r1rk1/p1pqnp1p/1p1p2p1/3b4/1PPQP3/8/P3BPPP/2RR2K1 w - -,c4d5
r1bq1rk1/pp1p1ppp/2n1pn2/8/1b2P3/1NN3P1/PPP2PBP/R1BQ1RK1 b - -,b4c3
r2q1rk1/1p3ppp/p1p1bnn1/4bN2/1P2P3/P1N5/BBQ2PPP/R3R1K1 w - -,f5g3
2br2k1/1p2b1pp/PPp1p3/4Pp1P/4B3/4B1P1/5P2/R5K1 b - -,b7a6
6k1/5p1p/6p1/1pp3r1/4r2q/4N2P/1P3P1Q/2R1RB1K b - -,e4b4
4b3/1r4kp/R2P4/2K5/p3BP1P/8/8/8 b - -,b7b5
8/3P3k/p3n1p1/5n1p/2N1q3/7P/4rBP1/Q4RK1 w - -,a1f6
r3r3/2q2pkp/4p1p1/pp1n4/5P2/Q5P1/PPP1N2P/2KRR3 b - -,e8c8
rnbq1rk1/p5pp/5p2/1p1p1n2/2pP4/1PP2NP1/P3BPP1/RN1Q1RK1 b - -,c8d7
r4b1r/2kn1n2/1pp1bppp/p3p3/2P1P1PP/2N1B3/PPKNBP2/3R3R w - a6,d2f1
r2q1rk1/pb1p1ppp/1pnBp3/2b4n/2P5/P1N1PN2/1PQ2PPP/3RKB1R b K -,c5d6
r1bq1rk1/p2n1pbp/1pp1pnp1/3p4/2PP4/1QNBPN2/PP1B1PPP/R4RK1 w - -,c4d5
5k2/8/2rR2p1/4P3/5K1P/6P1/8/8 b - -,c6c8
3k4/Bp5p/2b1p3/8/8/P1P4N/2P3nP/2K5 w - -,h3g5
3r2k1/1R3p1p/p3pb2/5p2/5P2/3B4/P1P3PP/6K1 w - -,b7a7
3kbQ2/bp3p2/p1pN4/3qP1p1/P1pP4/5pB1/6P1/3K4 b - -,d5d4
r3r1k1/1p2qpp1/1Bp4p/8/pPR5/Pn1Q2P1/1b2PPBP/3R2K1 w - -,c4e4
2b2r2/4kp1p/p1np1p2/1p2pP1B/4P3/2P1N3/P1P3PP/3R3K b - -,c8b7
r4rk1/1p3ppp/2p2n2/p3b3/2b1P3/2N1B1P1/PP1R1PBP/4R1K1 b - -,f8d8
5k2/R4p2/4P1p1/3r4/6K1/8/8/8 w - -,e6f7
r4r1k/6pp/pqn5/4p3/1PQpR3/3P4/5PPP/1R3BK1 b - -,a8b8
1r5r/5pk1/1q2bnp1/npp1P1Qp/8/1PN3N1/P3B1PP/2R1K2R b K -,f6d7
r4rk1/p4p1p/3p2p1/5q2/Pp1Q4/1P3P2/1P1R2PP/2K4R w - -,d4d3
r2qk2r/pb2bppp/1p1p4/2p5/2PpPP2/3P4/PP2B1PP/R1BQK2R w KQkq -,e1g1
2R5/p7/4rp2/6p1/1P1k4/5K2/P2p3P/8 w - -,c8d8
8/1Nnk4/pK6/8/8/PP6/8/8 b - -,c7b5
rnb1qrk1/pp2b1pp/3p4/3PpP2/8/2P2NP1/P1Q2PBP/R1B2RK1 b - -,c8f5
5rk1/pp3qb1/2p4p/2p2p2/2P1r2N/3R2P1/PPQ2P1P/3R2K1 w - -,b2b3
3r2k1/p3q1p1/5p1p/2p5/2P1pp2/3bP3/PP1R2PP/2N1Q1K1 w - -,e3f4
8/4k1r1/8/1B1R4/1K4p1/1PP3r1/8/8 w - -,c3c4
rn2k1nr/p2bpp1p/1p4p1/2p5/2P1N3/2P1P2P/P4PP1/R1B1KB1R w KQ -,f1d3
2r2r1k/pb1nq1p1/2pb3p/1p2Pp2/1P2B3/1QB1PN2/P4PPP/2R1R1K1 b - -,d7e5
8/6k1/6p1/6P1/1R3K2/5P2/8/6r1 b - -,g1h1
8/1p6/4kr2/P5p1/1PPR2P1/8/6K1/8 b - -,e6e5
8/1b4kR/p3p1P1/1p3p2/8/7P/q1p3P1/2B3RK b - -,g7g6
1nrq1rk1/Q3bppp/2p1pn2/1b1pN3/1P1P4/6P1/P2NPPBP/R1BR2K1 b - -,e7b4
8/pp2k1p1/2p5/P1P1K1PB/4P3/2P5/2b5/8 b - -,c2d3
1rr3k1/p3q2p/3b2p1/7n/3Bp3/P4PP1/1PbQBN1P/R3K2R w KQ -,e1g1
8/5R2/2P1k3/3p1b1B/7K/4P2P/2r5/8 w - -,c6c7
2bqnbk1/r4p1p/p2p1np1/2pP2N1/2B4P/1P1QN3/PB3PP1/3R2K1 b - -,f8g7
r4rk1/1p3pp1/p3pq2/2Pp1b1p/5Bn1/8/PPPQBPPP/R3R1K1 w - -,h2h3
4r1k1/7p/3p2b1/p3r3/R3p3/1P2Q3/1KP3P1/8 w - -,a4c4
1rb2rk1/3n1ppp/p1n1p3/1p1pP3/1P3P2/P1NB1N2/2P2KPP/R3R3 b - -,d7b6
6k1/5p1p/5b1B/3b4/1p1N4/1P2K3/8/8 b - -,f6e7
6r1/1pr1k1p1/1R2p1Rp/2PpPp1P/p2n1N2/P7/5PP1/4K3 b - -,e7f7
2b1r1k1/1pp1qp1p/r3n1p1/4N3/2P5/1PQ3PP/5PBK/3RR3 b - -,e7f6
r5k1/1p4bp/2pN2p1/p7/2P2Pb1/1P2RNqP/P2Q4/6K1 w - -,d2g2
r1bqr1k1/2p2pp1/p1n2n1p/1pbpp3/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 b - -,c5f8
r4r2/pp1b1pkp/4p1p1/n3N3/3PP3/4K3/P4PPP/1R3B1R b - -,f8d8
rn2kb1r/ppq2ppp/2p1pn2/3p3b/2PP2PN/1QN1P2P/PP3P2/R1B1KB1R b KQkq g3,h5g6
8/4r1k1/1p1p3p/3P4/PpB3q1/1P6/2P4K/6R1 b - -,g4g1
5nk1/6pp/3qp3/8/b1pP4/6P1/3NQ1BP/6K1 w - -,e2c4
rn1q1rk1/1p2ppbp/p2p1np1/2pP4/P3P1b1/2N5/1PPNBPPP/R1BQ1RK1 b - -,g4e2
3rr1k1/1pq2pbp/2ppb1p1/p6n/P1P1PP2/1QN1B1PP/1P1R2BK/3R4 b - -,c7e7
3r4/3r2kp/p5p1/1pq1PpP1/3N1P2/PPPn4/6RP/2RQ2K1 w - -,d1d3
1r5k/1q5p/3p2p1/2pPpb2/2P1N3/4QPP1/R5KP/8 b - -,b7b1
1k6/P1q2p2/1p1p1p2/1B2p3/4P3/2r5/R3KN1P/7R b - -,b8a8
r1b1qb1k/1ppp1ppp/8/p7/2P5/1P2PQ2/PB3PPP/R2R2K1 b - -,d7d6
r4rk1/pbqnbppp/1pn1p3/1BppP3/3P1P2/P1N1BN2/1PPQ2PP/4RRK1 b - -,a8d8
5r2/p4pk1/4pNp1/3pPn2/5R1p/1P1b4/P5PP/2R4K w - -,f4f3
2R5/3k4/7p/1p6/3p3P/P4P2/r3PK2/8 w - -,c8c5
r1br2k1/1p3pbp/p1n1pnp1/q1p5/2P1PP2/2NNB3/PP1QB1PP/3R1RK1 b - -,b7b5
1q2r3/1p1n1rbk/p1p1b1p1/B1P1p2p/N3Pp2/1P1R2PP/P4P2/3RQBK1 b - -,f4g3
r3k1nr/ppp2ppp/2p1bQ2/2b5/2B1P3/8/PPP2PPP/RNB1K2R b KQkq -,g8f6
r1q2rk1/3nbpp1/4p2p/p2bP3/Pp1P4/1N2BN2/1PQ2PPP/R3R1K1 w - -,c2d1
5k2/p1rrq3/2p1npp1/1pP1p2p/1P2P3/1P2P3/R1Q2NPP/4R1K1 b - -,f8e8
2b2rk1/pp2n1bp/1q2pr1p/1P1pN3/3P4/PN1Q4/4BPPP/R4RK1 w - -,e2h5
8/r4kpp/4p3/3pP3/8/2K1PP2/p6P/R7 b - -,a7a3
r1bk2nr/pppp1ppp/2n5/1N6/1b2q3/2N5/PPP1BPPP/R1BQK2R w KQ -,e1g1
4r3/1p2k2p/6p1/5p2/1rpP1RP1/5P2/1P1R1K1P/8 b - g3,f5g4
5r1k/p1pb2pp/3p2r1/2b5/8/1P2N3/PBPP1PPP/R4RK1 b - -,h8g8
6k1/Q1n2pp1/3Np2p/pp1nP3/4N2P/P5P1/1q3PK1/8 w - -,a7b8
2rq1rk1/nppnbppp/p2p4/P2PN2b/1PP1P3/B6P/2QNBPP1/R3R1K1 b - -,h5e2
r1bqk2r/ppp1npbp/2n3p1/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq e3,e8g8
r1bq1rk1/2p2ppp/pb1p1n2/np2p3/4P3/2PP1N1P/PPB1QPP1/RNB2RK1 b - -,c7c5
4R1k1/1pp3p1/p2p4/5n2/2Pp4/6rP/PPNK4/8 b - -,g8f7
4B3/5pp1/3kp2p/p2p4/Pb1P4/3bP2P/2r2PP1/R2N2K1 b - -,c2e2
r2q1rk1/1b1n1pbp/p1pp1np1/1p2p3/3PP3/2PBBP2/PP1QN1PP/R2N1RK1 w - -,a1c1
2kr1b1r/p4Pp1/6Np/1b1p4/1p6/4p3/PPP4P/1NKR2R1 b - -,h8h7
8/7k/5p2/4b2p/R5p1/5nPP/5PK1/8 b - -,f3d4
r1r3k1/2R2pp1/p1b4p/8/2n1PP2/2N5/PPP3PP/4R1K1 w - -,c7c8
r2n2rk/1pqn3p/p2p1pp1/2pPp3/2P1P2P/P1NQB3/1P3PP1/R3R1K1 b - -,a8c8
2b2rk1/r2nb1pp/p2pB3/2p1p2q/PpP1Pp2/1P1P1NP1/1B2QP1P/2R3RK b - -,g8h8
2r3k1/b2p1pp1/b2qp3/4n2p/1p2PNnP/1P4P1/PB2NPB1/Q4RK1 b - -,c8c2
r1bqr1k1/pp1n1pbp/2pp2p1/8/P3P3/2N1QN1P/1PP1BPP1/R4RK1 w - -,e3f4
r1bq1rk1/bpp2ppp/p1np1n2/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R w KQ -,d2f1:e1g1:f3h2
1r2rqk1/2n2pp1/bp1p2np/p1pP4/P1B1PP2/1PN4P/3Q2PB/4RR1K w - -,e4e5
r1b2rk1/1pp2pb1/p1n1n1pp/3Np3/P3P3/2P1BN2/1P2BPPP/R2R2K1 w - -,b2b4
2br1qk1/p4pbp/nr1p2p1/2pP4/4NB2/3Q2P1/1P2PPBP/R3R1K1 w - -,f4g5
r7/p2rk2p/1b4p1/4Bp1P/1P3P2/P2p4/3R1P2/1K4R1 b - -,a8g8
8/4p1n1/1p1p1k2/r6p/1rP2P2/1P1R2KP/1R6/3B4 w - -,d3d2
2r2bk1/1R3p2/4pP1p/4P3/1p1BK3/4P2P/8/8 b - -,c8d8
2krr3/1pp2qp1/p1n1b2p/3p1p2/2P5/1PQ1B1PP/P1P2PB1/2KR3R w - -,h3h4
r1b1k2r/pp2bppp/1n2p3/2n1P3/8/2N2N2/PP2BPPP/R1BR2K1 b kq -,e8g8
1q4k1/4ppb1/6pp/Q2P4/2pNn1b1/8/1rBB1PPP/2R3K1 w - -,d4c6
R7/1Q3ppk/1b1p1n2/2q1pN1p/2P1P3/7P/5PPK/8 w - -,b7f7
8/2k2p2/3p2p1/1Pp1p2p/1nP1P3/4NnPB/3Q1K1P/8 b - -,f3d2
1r6/rp1N2k1/2pNqnp1/P1P1p2p/1Q2P3/7P/5RP1/5RK1 b - -,f6d7
8/r5k1/4p1Pp/pp2Pp1P/b1p2P2/P1P1p3/R1P5/4BK2 w - -,f1e2
r2q1rk1/pb1n1pbp/1p2pnp1/P7/2QP4/2N2N2/1P1BBPPP/R4RK1 b - -,b6a5
r1bqrbk1/1p3ppp/1np5/p1npP3/P2N1P2/1PN2B2/1BP3PP/R2Q1R1K w - -,d1e1
2B4k/7p/3p1q2/Pb1P4/4p3/6P1/5P2/2Q3K1 w - -,a5a6
r1bqk2r/pp1pnpbp/2n1p1p1/2p2P2/2B1P3/2N2N2/PPPP2PP/R1BQK2R w KQkq -,f5e6
6r1/8/1p3R2/p7/P6P/1P2k1P1/1K6/8 b - -,g8g3
3qkb1r/rp1n1ppp/p1p1pn2/3p4/2PPb2N/1QN1P3/PP1B1PPP/2R1KB1R w Kk -,f2f3
2rr2k1/pp2p1bp/4bpp1/4N3/n2Bn3/4PNP1/PP3PBP/R1R3K1 w - -,e5d3
8/8/pr2kp2/4p2p/PP5R/6P1/4K2P/8 w - -,e2d3
3b2k1/p5pp/8/N1pb4/P5PP/3N2P1/8/5K2 b - -,d8a5
8/3k4/6p1/2pP2P1/2P1pK2/4B3/1b6/8 w - -,f4e4
rnb1k2r/pp2qppp/2pp1n2/2b1p3/N1P5/P3P3/1P1PNPPP/R1BQKB1R b KQkq -,a7a5
r3k1nr/pp1q1ppp/8/3pB3/1bp5/6P1/PP2PPBP/R2QK2R w KQkq -,e1f1
8/4k1p1/P6p/2p2p2/2B1p3/2R1P1PP/1r4K1/8 w - -,g2f1
4rn1k/1p3qpp/p7/3p1p2/3PrP1P/2P1pNP1/PPQ1R3/2R3K1 b - -,f7g6
8/p2r2k1/1p4rp/4Rp2/2P5/3PK3/PP2R2P/8 b - -,g6f6
8/1r3p2/1P3kp1/7p/8/5K1P/5P2/1R6 w - -,f3e4
4r3/4r2p/p2kp2R/3pb1p1/8/6P1/P1P1B2P/4R2K b - -,e8h8
r5k1/p2r1p1p/4n1p1/8/8/R3PP2/4N1PP/5RK1 b - -,d7d2
8/3k4/1p2r1pp/8/1R6/5KP1/P4P2/8 w - -,b4b2
4rbk1/5ppp/q7/n1p1p3/P3P3/2P2N1P/Q4PPB/4R1K1 w - -,f3e5
8/1p1r1k2/ppp5/5r1p/4Rp1P/1PP2P2/P5PK/4R3 b - -,b6b5
5k2/3Rbp2/2p3p1/1p2p3/1P2P3/r1P2QP1/3RKPP1/2qN3r w - -,f3g4
3r1r2/1p4kp/2bp1pp1/p1q1n3/P1P1P3/1PQ2BN1/1R4PP/5R1K w - -,b2d2
8/2p5/1p3p2/5kp1/1b2R2p/1r3P1P/2R3K1/8 w - -,c2c7
r1bq1rk1/ppn1b1pp/2pp1n2/5p2/2PPpN1P/2N1P3/PP1BBPP1/R2QK2R b KQ h3,c7e6
8/4k3/6pp/1ppPPp2/8/4K2P/P5P1/8 b - -,g6g5
2r1b1k1/q5pp/2p2p2/4pP2/2PbB1Q1/1R1P3P/4N1PK/8 b - -,d4c5
r1bqkbnr/pppp1ppp/2n5/4p3/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,g1f3
8/2kNK3/2p5/2Pp4/pP1P2b1/P7/8/8 w - -,d7f6
2r5/p3rp2/3kp1p1/1p1n1pN1/3P4/2P2R2/PK2RPPP/8 b - -,f7f6
r1r3k1/p2n1pbp/1p2p1p1/8/3PP3/1N2BP2/P3K1PP/2RR4 b - -,g7f8
2b5/6k1/p1r1p3/3p3p/2p2PP1/P6P/1PP5/KR1R4 w - -,d1e1
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/P1N1PN2/1PQ2PPP/R1B1KB1R b KQkq -,b7b6:d8c7
8/8/6k1/2n1B3/7P/1r3K2/5N2/8 w - -,f3g4
8/R7/8/8/Pr1p3p/3K3k/8/8 w - -,a7a8
r1b1kb1r/1pq2ppp/p1n1pn2/2ppN3/P1PP4/2N1P3/1P3PPP/R1BQKB1R w KQkq -,e5c6
r1br2k1/ppp2pbp/2n2np1/4p3/2P1P3/2N2NP1/PP3PBP/R1B2RK1 b - e3,c8e6
2q2rk1/p1n1ppbp/1r1p2p1/1p6/3P4/2P1BNPP/b3PPBK/R1Q1R3 b - -,b6a6
6k1/1p2qpp1/n5P1/2PR1P2/1P1Q4/4r3/6B1/6K1 b - -,f7g6
8/p3k2p/8/3P1p1r/3PpK2/1P5P/P7/2R5 w - -,f4e5
r3r3/3bppkp/3p1np1/2q5/3Np2Q/1P2N3/P3PP1P/2RR2K1 b - -,c5b6
1r1q1rk1/2bnnppp/2p1p1b1/pp1p4/P2PP3/1QP3PP/1P1N1PBN/R1B1R1K1 w - -,h2f1
r6r/pp1nk1p1/2p1pn1p/b7/2p2B2/P1N3P1/1P2PPBP/R2R2K1 w - -,f4d6
8/1b6/2p4k/2R3p1/PPN4p/1r5P/5PK1/8 w - -,c4a5
6k1/R7/P5p1/7p/r6P/5PK1/8/8 b - -,g8h8
r2qk1nr/pb1pppbp/1pn3p1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 b kq -,g7c3:a8c8
5r1k/1pb2pp1/2p4p/3q4/Pp1P1P2/1P4QP/6P1/3R1RK1 w - -,g3f3
3rr1k1/2qn1ppp/1p2pn2/p1p5/2PP4/1PQ5/P1BRNPPP/R5K1 b - -,c5d4
r1bq1rk1/p4pbp/1pp2npB/2p1p3/4P3/2NP1N1P/PPPQ1PP1/R3K2R b KQ -,d8e7:d8d6
r2q1rk1/pp3ppp/2pb1n2/4nb2/2Q5/2N2NP1/PP2PPBP/R1B1R1K1 w - -,f3e5
3q1k2/1p1bb1rp/p2ppp2/4r3/1PP1PRB1/1PN4Q/6PP/5R1K w - -,c3e2
8/8/Q2k1pP1/7K/8/p3q2P/8/8 b - -,d6e7
rnb1kq2/1p4p1/p3p2p/8/2BNp2P/8/P1P4P/1R3RK1 w q -,f1f8
r6k/4q3/1pprPp2/p2pR1p1/3P2Pp/2P2Q2/P6P/5RK1 w - -,f3f6
q5k1/1pr2n1n/p2p2p1/P2Pb1P1/4N3/1R3BP1/3Q1RK1/8 b - -,a8d8
6nR/1k1b1qr1/1p1p2p1/p1pP1pP1/P1P1pP2/1PN1P3/2K3B1/7Q w - -,c2d1
rn1qkb1r/pp2pppp/2p2n2/5b2/4p3/1PN1Q2P/PBPP1PP1/R3KBNR b KQkq -,b8d7
q2k1r2/6r1/3pQp2/p3p3/6Bp/P1P5/1P6/K4R2 b - -,d8c7
r2kr3/pp1b1p1p/3p2p1/4p3/2B1P3/2P5/PP1K1PPP/R6R w - -,f2f3
8/5pk1/4p1p1/8/P1Qb3p/7P/3q1PP1/5BK1 w - -,c4e2
2b3nr/1pq2pk1/rn1p2p1/p1pPp1Bp/P1P1P2P/2PB1PP1/R1QKN3/6R1 w - -,g5e3
5k2/1b3p1p/6pN/1ppn2N1/7K/3P2P1/3Q1P1P/5q2 b - -,f1a1
1q1rn1k1/pb1r1pb1/1pn1p1pp/2p5/2P2PP1/2NPPN1P/P2R2BK/B2R1Q2 w - -,h2g1
r1b2r2/1p1n2k1/p2p2pb/3Pppqn/PP2P2R/2NB1PP1/2Q1NBK1/R7 w - f6,e4f5
3N4/7p/2B2p2/1P3P2/1k6/4b3/7P/5b1K w - -,d8e6
r7/5pp1/ppkrp2p/2p1P3/1nP2B2/1P5P/1P2KPP1/2R5 w - -,e5d6
4r1k1/1p2qpp1/p1p3n1/2R4p/PP1P4/4PQ2/5PPP/4N1K1 w - -,e1d3
2rr2k1/1q3pp1/1nbp1n1p/p3pP2/1P2P3/2N1QB2/1PPN2PP/2RR3K b - -,a5b4
1r2qrk1/2pb1pbp/3ppnp1/1p1P4/1PnNP3/2N1BP2/P2QB1PP/1R3RK1 w - -,e2c4
r2q1rk1/1p1n1pbp/p2p1np1/2pP4/4PP2/2N2B1P/PP4P1/R1BQ1RK1 w - -,a2a4:g2g4
rn1q1rk1/pbpp2pp/1p3n2/3P4/8/2N2B2/PP3PPP/R1BQK2R b KQ -,c7c5
1r6/4kp2/3pb3/2n1p1pp/1p2P3/1P4PP/P1NK1PB1/7R w - h6,h3h4
r4rk1/pbnqppbp/1pp3pB/2p1P3/4N3/P2P1N1P/1PP2PP1/R1Q1R1K1 b - -,c7e6
8/6kp/6p1/p1p3N1/P4Pp1/1P6/8/4qQK1 b - -,e1g3
r1bqk2r/pppp1ppp/2n2n2/8/1b2P3/4Q3/PPPB1PPP/RN2KBNR w KQkq -,a2a3
r1bq1rk1/pp2bppp/2p5/4P3/4NB2/6Pn/PP3PBP/R2Q1RK1 w - -,g2h3
1rq4k/5pb1/pp2n1p1/2p1P2p/5P1P/BP4P1/P1Q3K1/3RR3 w - -,a3b2
8/8/8/4b3/8/5k1p/8/7K b - -,h3h2
8/8/3p4/3Pr1P1/5K1k/5B2/8/8 w - -,g5g6
3r4/p3kpp1/2prp2p/1p6/6PP/PBb5/2P5/1K4RR w - b6,b1a2
2r3k1/5pp1/3Rbn2/p1p5/6p1/BPN2PP1/P3PK1P/8 w - -,f2e1
2Qr3k/6pp/p7/4P3/P2P1Ppq/7P/1P4K1/2R5 w - -,h3g4
6k1/1r1q3p/p2n2p1/1PpP1p2/3b1B1P/1Q3BP1/P1R2PK1/8 w - -,b3a3
2B5/8/8/8/1P2b1PR/4k3/7K/1r6 b - -,e3f2
1rbqr1k1/1pn2pbp/p2p1np1/2pP4/P1P5/2NBBN1P/1P1Q1PP1/R4RK1 w - -,a4a5
r6r/pp1bkpp1/2n1p2p/3pP3/q1pP4/P1P5/1QPBBPPP/R4RK1 b - -,b7b6
5nk1/2N2b2/3P1pp1/pB2p3/1p6/4K2P/PP6/8 b - -,g8g7
3rrnk1/5pp1/2p5/p2b2Pp/3PN2P/P1R1RP1B/8/2K5 w - -,h3f5
r6r/5b2/1npp1kpp/pp1p1p2/3P1N1P/3BP1P1/PPP2P2/1K4RR b - -,g6g5
3b2k1/q2r1p1p/p2p2p1/3Pp3/4n3/P2B3Q/1P4PP/2R2R1K b - -,e4g5
4r1k1/2n2p2/pr1p3p/2pP2p1/2BbP3/RP4P1/5PKP/3NR3 b - -,f7f5
8/5k2/1R6/8/5PK1/8/8/5r2 w - -,g4g5
r7/1p1k1p2/2p1rp1R/p2pp3/3b2P1/PN1P4/1P2K3/1BR5 b - -,a8g8
bn3qk1/6b1/3pQ3/4p3/8/2Pp1P2/1P4PP/2B2K2 b - -,g8h7
r1bqk2r/1p1n1p2/p3p3/3pP2p/3N1Pn1/1N4Q1/PPP1B1P1/2R1K2R b Kkq -,h8g8
8/6p1/3k4/5p2/1P3P2/8/6K1/8 w - -,g2g3
