8/3k3p/pK6/1p2p3/2R5/b5P1/P2B3P/8 b - -,b5c4
8/1pkn2pp/5p2/4p3/r6P/2P1BP2/1PK3P1/3R4 w - -,e3f2
8/R7/4pbk1/5p2/6pp/B3P3/2K2nPP/8 w - -,a7a6
r2qkbnr/pppbp1pp/2B5/3pN3/8/8/PPPP1PPP/RNBQK2R b KQkq -,d7c6
2r4k/3R2b1/2p3p1/p1N1pq1p/2P2r2/4Q2P/PP3PP1/3R2K1 b - -,f4c4
5q2/8/4K1P1/7R/5k2/8/8/8 b - -,f8g7
5r2/2p3R1/p2b2R1/2r1pk1p/P7/2BK1P2/3P1P1P/8 w - -,g6h6
rn1qk2r/pbppbpp1/1p2pn1p/6B1/3P4/3BPN2/PPPN1PPP/R2QK2R w KQkq -,g5h4
r1q2k2/p6Q/3r1b2/1p1p1R2/2p1BP2/2P1P3/1P1N4/2K5 b - -,d5e4
r2r2k1/p1q1bppp/b1p1pn2/8/NPp1P3/P3BP2/2Q1B1PP/R4R1K b - -,f6d7
r1bqkb1r/1pp1pppp/p1n2n2/8/2BP1B2/4PN2/PP3PPP/RN1QK2R b KQkq -,b7b5
1b1n2k1/1p6/p1p3pq/2P2b2/2N2P1p/1P5P/P4QBK/6R1 b - -,b8f4
1qr1n1k1/3b2bp/pn1p2p1/Np1Pp1P1/1P2P3/4B1NP/P2QB1K1/5R2 w - -,e2d3
2r5/p1q1npk1/R2p1r1p/2pQ1Pp1/2P2PP1/P6P/1R3N2/6K1 w - -,d5f3
5nk1/5bp1/2P2p1p/2r1pP2/8/6PP/6BK/1RB5 w - -,c1a3
3rr3/1k6/p4P1p/qpp1p1b1/4P3/1QN5/PPP5/R3K1R1 w Q -,b3f7
3Qq3/6pk/5pb1/pp1B4/2p5/3nB3/5PP1/6K1 w - -,d8a5
3rrbk1/pp3ppp/2np1n2/q1p5/4PP2/1PN2N2/PBPQR1PP/4R1K1 b - -,a5c7
r1b2rk1/pp2ppbp/2np1np1/q7/2PN1B2/2N1P2P/PP1Q1PP1/R3KB1R w KQ -,d4b3
2rq1rk1/p3ppbp/3p1np1/np3PB1/2b1P3/1NNB4/PPP1Q1PP/R4R1K b - -,b5b4
5r1r/1p1nbkq1/pPpBp1p1/2PpP1pn/P2P1p2/3B1P1P/2K2QP1/2N1R2R w - -,c1b3
5r2/1pk1p3/p1b1Pp2/2Pr2pp/2P5/4BR2/PR3KPP/8 b - c3,d5e5
2r2rk1/1pqbbppp/p1nppn2/8/2PN4/1P3NP1/PB2PPBP/R2Q1RK1 w - -,d1d2
r2qk1nr/pp2ppbp/2np2p1/3N4/3PP1b1/4BN2/PP2BPPP/R2Q1RK1 b kq -,g8f6
6k1/5p2/4p2p/pP2P1p1/P4P2/4q1P1/2Q3KP/8 w - g6,h2h3
r3nr2/1p1nbk2/2q2ppP/p1P1p1p1/P1P5/3NP3/1BQNKP2/6RR w - -,h6h7
8/4pp2/3p1n2/3P3p/3P3k/4KB1P/8/8 w - -,f3g2
r1bqkbnr/ppp1p1pp/2n5/3p1pP1/3P4/7P/PPP1PP2/RNBQKBNR b KQkq -,e7e5
r1bq1rk1/1pp1b1pp/p1p1np2/4N3/2PP4/4B3/PP3PPP/RN1QR1K1 w - -,e5f3
3R4/2r2pk1/pp2p1p1/2p1P1P1/2P5/1P6/P3KP2/8 w - -,e2d3
6k1/5rb1/4B1N1/1p2p2p/5P2/2P3PP/8/6K1 w - -,g6e5
6k1/b5p1/P6p/5p2/1pN1p2P/1r4P1/R5K1/8 w - -,c4d6
6k1/5p2/p3q3/2pr2Pp/4p3/1PQbP3/P4PP1/2R2NK1 b - -,d5g5
2rr2k1/p2nppb1/2pp2p1/q6p/N1P1P2P/1P2Q1P1/P4P2/2RR1BK1 b - -,c6c5
2r3k1/pp2pp1p/3p1bp1/2rR4/P1P1P1P1/8/1P5P/1K3B1R b - c3,a7a5
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/3BPN2/PP1N1PPP/R1BQ1RK1 b - -,b8c6
r1bq1rk1/pp2npbp/2npp1p1/2p5/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,c1e3:a2a3:c1g5
3r1k2/1p3ppp/2b5/p2N4/4P3/1P4P1/P2R1P1P/6K1 b - e3,c6d5
5r2/pp3pkp/6p1/3rP3/3p1P2/P7/1P4PP/3R1RK1 w - -,d1d2
5k2/5r1p/8/4B1RP/4b1P1/8/7K/8 b - -,f7d7
r4rk1/3Pqpp1/N1p4p/1p6/1pn5/1Qb2N2/4BPPP/2RR2K1 b - -,e7e2
1r6/5b1R/2p2kp1/p3p3/4P3/2P5/P1P1B1K1/8 w - -,a2a4
8/k3B3/1pK1B3/1Pp5/2P4p/7P/8/8 b - -,a7b8
r2q1rk1/pb2bppp/1p2p3/3pP3/1nP1n3/5NP1/PP1N1PBP/RQB2RK1 w - -,a2a3
r1bqkbnr/pp3ppp/2n1p3/2pp4/4P3/2PP1N2/PP3PPP/RNBQKB1R w KQkq -,d1e2
rnbq1rk1/p3ppbp/3p1np1/1ppP4/2P1P3/2N1BN2/PP3PPP/R2QKB1R w KQ b6,c4b5
r4rk1/pppqnpb1/2npb1pp/4p3/1PP5/2NP1NP1/P2BPPBP/1R1Q1RK1 w - -,b4b5
r4k2/1bp1r1p1/1p1p1p1p/p5nP/2B1P1P1/PPR1BP2/2P2K2/3R4 w - -,f2g3
br1q1rk1/3nbppp/2n1p3/2p1P3/ppP1N2P/3P1NQ1/P4PP1/BR2RBK1 w - -,h4h5
8/8/kp1K4/8/PR6/8/8/7r b - -,h1h6
r3rb1k/pp4p1/7p/2p1P3/3pBpq1/3P1N2/PPPQKP2/6RR b - -,g4e6
r2r2k1/pp2qpb1/2p1bnpp/4p3/2P1P3/1PN1B1PP/P1Q2PB1/1R3RK1 b - -,f6h5
4n1k1/r4p1p/3np3/p1Np2p1/3P4/1P1BPP1P/5P2/2R3K1 b - -,e8c7
6k1/8/7p/p2p1p2/P1bP1Pp1/2R1B1P1/1r5P/4K3 b - -,b2h2
r5k1/p3p1b1/8/2pP4/5r2/8/PP4BP/2R1K2R b K -,g7b2
r3k2r/qp3ppp/p2p1n2/4pb2/4P3/3BP2P/P1P3P1/1R1Q1RK1 w kq -,e4f5
8/8/6p1/p4k1p/7P/2r3P1/P3R1K1/8 w - -,g2h3
r4knr/pp3ppp/2n5/2qp4/6b1/5N2/PPP1QPP1/R1BK1B1R w - -,c1e3
r4rk1/ppq3pp/2p1b3/2N2p2/5b2/P1QBP3/1PP3PP/1R4K1 w - -,c5e6
8/5k2/4n2K/8/3B4/8/7P/8 w - -,d4e3
2R2b1k/3R3p/p5pn/1p1N1r2/8/1P6/P5PP/4K3 w - -,h2h3
3rr1k1/5p1p/p5p1/1pNP4/1n6/5B2/1q4PP/R2Q1R1K w - -,c5a6
rn2k2r/1pqb1ppp/p2bpn2/3pN1B1/Q2P4/N1P5/PP3PPP/R3KB1R w KQkq -,e5d7
6r1/8/8/5K2/6P1/4k3/1R2b3/8 w - -,b2e2
r1bq1rk1/4bppp/2np4/p2Np3/1pP1P3/8/PPN1BPPP/R2Q1RK1 w - -,b2b3
4Rbk1/7p/3N4/5p2/1rP4P/6P1/5P2/6K1 b - -,f5f4
2k1r3/p1prn2p/1p6/PP3pB1/2PPp2P/6P1/4KP2/R2R4 b - -,c8b7
rnb3nQ/pp2k2N/4p1q1/3pPpB1/1b6/1PpB4/P1P2PPP/R3K2R b KQ -,e7f7
8/6k1/8/1pN1pb2/5q2/P5p1/1P2R3/K3R3 w - -,e1g1
8/8/3b1k1p/5p2/PN4p1/8/4K1B1/8 b - -,d6b4
8/8/1pK2k2/p1p5/P1B5/1P6/5n2/8 b - -,f6e5
1q1r1k1r/pp3pp1/2p1pnb1/Q6p/2PP4/1B4N1/PP3PPP/3R1RK1 w - -,h2h4
8/R4p2/4pk2/2p5/2KbB3/5Pr1/8/7R w - -,h1h7
rnbq1rk1/pp4pp/2pbpn2/3pNp2/2PP4/6P1/PP1NPPBP/R1BQ1RK1 b - -,b7b6
2rq1rk1/1b2bppp/p3pn2/1pp5/3nPPP1/P1N5/1PP2NBP/R1BQ1RK1 b - -,b5b4
4r1k1/2p2ppp/1b2b3/3n2Bq/1P6/1B3NQP/1P3PP1/R5K1 w - -,b4b5
r2qk2r/pp1nbppp/2p1p3/3P1b2/3PnP2/4PN2/PP1NB1PP/R1BQ1RK1 b kq -,e6d5
1n1rk3/p4pp1/1p1bp1p1/8/1P3PNP/P2N2P1/2R1P1K1/8 b - -,f7f6
2r2rk1/p2qbppp/1p4b1/3pB3/3N4/6RP/PP1Q1PP1/4R1K1 b - -,a7a5
3q1rk1/R2npp1p/3p1np1/1QpP2B1/4P3/2P2NP1/5PKP/8 w - -,f3d2
4q3/p1pk4/1p6/3b3p/2PP3Q/1P5P/P5PK/8 b - c3,d5e4
8/R4p2/4k1p1/1p1r1p1p/1P6/P5P1/6PK/8 b - -,d5d7
2r1k2r/1q2bpp1/6P1/p3p3/1p2P2p/8/PPP3QP/1KN1R1R1 b k -,e8g8
6k1/4bp1p/6p1/2p1P3/1pBp1PPP/1P5r/2R3K1/8 b - -,h3h4
2r2rk1/1pqnbppp/p2pb3/4n3/P2QP3/1NN1B1P1/1PP1BR1P/5R1K b - -,f8e8
8/2Q5/4pkp1/4n2p/NpP2q2/1P5P/P5P1/7K w - -,c7d8
4r3/pp1k2Q1/q2br2p/4p3/7B/P7/1P4P1/1K1R3R b - -,d7c8
r1b2k1r/5ppp/p1p1pn2/8/4NP1Q/qP1B4/P1P3PP/R4R1K b - -,a3e7
3r4/5pk1/5p1p/2bp1P2/1p5R/1B2P1P1/PK3P2/8 w - -,b2c2
5bk1/1pq2p2/4b1p1/p1p1p1P1/P1P1P3/1P2Q3/5P1N/2KB4 w - -,d1g4
r3k2r/p2nbppp/b1n1p3/q1ppP3/3P4/P1P2NP1/3BQPBP/RN3RK1 w kq -,c3c4
rnb1k2r/1p1p1ppp/pq2pn2/2b5/2P5/2N1PN2/PPQ1BPPP/R1B1K2R b KQkq -,b6c7
7n/p6P/1p1k2p1/2pB2P1/P1P2K2/8/8/8 b - -,a7a6
r4r1k/pb4bp/1p2p1pN/7n/2Bq1B2/7P/PP1Q1PP1/2R1R1K1 w - -,d2d4
r1b2rk1/p2n1ppp/2N2b2/3q4/1P3B2/N3P1P1/P3Q2P/2R2RK1 b - b3,d7b6
rnbqk2r/ppp2ppp/5n2/3p4/1b1P4/2N1P3/PP2NPPP/R1BQKB1R b KQkq -,e8g8
4rrk1/pp3qp1/2p4p/4p3/1P2Q3/P4PP1/1nR1P1KP/4R3 w - -,c2b2
4B3/pp5p/2p4k/P4p2/5P2/7P/5P1K/8 b - -,c6c5
8/pp1b2bk/6pp/2P1p2n/1BPpP2P/P2q2P1/4R2K/4Q3 b - -,h5f6
r4rk1/pp1bppbp/2np1np1/q7/2PN4/2N1P1PP/PP3PB1/R1BQ1RK1 w - -,d1e2
7k/7p/2N2bp1/8/8/2p3P1/1r3P1P/2R2K2 b - -,h8g7
2r4r/1p2kppp/p2bp1n1/8/3NP3/1P2BP2/1P2K1PP/2RR4 w - -,g2g3
8/r7/P4k2/5p1p/5K1P/R7/6P1/8 b - h3,f6e6
r3k2r/1p3ppp/p1p2n2/4P3/P4P2/2PRB3/4KP1P/7R b kq -,f6d7
r1bq1r1k/ppN3bp/5p2/6p1/2Bn4/6B1/PP1Q1PPP/R3K2R b KQ -,f6f5
2r2rk1/1p1nbp1p/p2p2p1/2qPp3/2P2P2/1P3N2/PB4PP/R2QR2K b - -,f7f6
r1b2rk1/1pp1qppp/p1np1n2/4b3/8/1PN1PN2/PBP1BPPP/R2Q1RK1 b - -,c8f5
3R1bk1/5pp1/7p/2Q2Pn1/1p2q1P1/2P4P/1P3P2/5K2 b - -,e4b1
r1bqr3/p3bkpp/2p5/n3p3/5P1P/3B1Q2/PPPP1P2/RNB1K2R b KQ -,e5f4
rnbqkb1r/pp2pppp/5n2/2p5/2Pp4/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,c3e4
r2q1rk1/ppp1npbp/6p1/2n1pb2/2P5/5NP1/PPQ1PPBP/RNBR2K1 w - -,d1d8
2rqkb1r/1p3pp1/pn1p1n2/3P4/4p2p/1N2B2P/PPP1QPP1/1K1R1BR1 b k -,h8h5
4r1k1/6pp/p1n2p2/1p6/6PP/2N1B3/PPP2P2/3K4 b - -,c6e5
5R2/6pp/3K2k1/3p1p2/4r3/8/7P/8 w - -,d6d5
r3k2r/1pp1np2/p1nb2p1/3p3p/3P3q/2PQ1B1P/PP2NPP1/R1B1K2R w KQkq -,g2g3
rnbq2k1/ppp1p1b1/3p1rpp/7n/3P4/2PB1N1P/PP3PP1/RNBQ1RK1 w - -,f3h4
2r4k/5p1p/4p1p1/1p6/p7/1PPR3P/4K3/1n1N4 w - -,c3c4
3qrn2/2pkr1pp/2n2p2/1Q1p1P2/3P1B2/P6P/1PP3P1/R4RK1 b - -,d8a8
rn1qkbnr/pp2pppp/3p4/2p5/2B1P1b1/5N2/PPPP1PPP/RNBQK2R w KQkq -,h2h3
3rrnk1/1p3qp1/1b6/pPp1pPB1/2P1P3/P3QB2/R7/2R3K1 b - -,d8d4
4qrk1/1p1n2pp/3p1r2/2nPpb2/pR6/2N1QPP1/P2NB1KP/5R2 w - -,g2g1
r1r3k1/pp1qbppp/2n1bn2/3p4/3PpN2/PQN1P3/1P1BBPPP/2R2RK1 b - -,e7d6
r3k2r/1ppb2p1/1p4q1/3PBp1p/1PP1p2P/P1N3P1/4KPB1/Rn5R b kq -,g6g4
6kB/ppq4p/2pp1Q2/3brPp1/6P1/1P5P/P2R1K2/8 w - -,f6h6
r3nrk1/1pqn1pbp/2p1p1p1/p2pP3/P2PNP2/3BBQ1P/1PP3P1/R4R1K w - -,e4g3
8/5pk1/p3p1np/4P1p1/nP1p2P1/3N1P2/R4K1P/8 b - -,a4c3
b2r4/1q3p1k/1n2nbpp/1p2p3/1Pp1P2N/2P1B1P1/2QN1P1P/3R1BK1 w - -,h4g2
r2r2k1/pp3p1p/q1n3p1/3p1b2/3P4/P3P1P1/1Q1N1PBP/R1R3K1 b - -,a8c8
6k1/1p2rpp1/p2p1n1p/8/3P4/P2N3P/1P3KP1/3R4 w - -,f2f3
r5k1/pp2bqpp/2n1pp2/2p5/P1N1P1Q1/2B5/1PP2PPP/R5K1 w - -,a1d1
8/1p6/1k6/2p3Qp/5P1P/1K1q4/P7/8 w - -,b3b2
r5k1/r3ppbp/2Qp2p1/3P4/1q3P2/1P2P1P1/4bNBP/1RR3K1 b - -,a7a2
r3k2r/ppp1n1p1/2nb1p2/1B2pq2/7B/2PP1N2/P4PPP/R2QK2R w KQkq -,e1g1
rn1q1rk1/p5pp/1pp1pb2/3p1p2/2PP4/2B1PQP1/PP3PKP/R3NR2 w - -,a1c1
n3k3/8/4NQ2/3pPp2/1p1P4/nP3P1P/2q2PK1/8 w - -,f6d8
2r3k1/6pp/4p3/p2q1r2/2pP2N1/2P1Q2P/1P2RPP1/6K1 b - -,f5f7
8/5p1p/2R5/p3r1k1/4P3/pb4P1/3r2BP/4R1K1 w - -,h2h4
8/pp1k2p1/2n2r2/3ppb2/3p3P/P5P1/1PPN1RP1/5RK1 b - -,d7e6
r3k2r/ppqn1pp1/2p2n1p/2b1p3/P3P1b1/5NP1/1PPN1PBP/R1B1QRK1 w kq -,d2c4
r1q1rnk1/2n2pbp/4p1p1/pp1pP1BP/3P4/5NP1/PP1Q1PK1/RB3R2 w - -,f1h1
r4rk1/1bqn1pbp/p2p1np1/P3pP2/1p2P3/1N1BB1N1/1PP3PP/R2Q1RK1 w - -,a1a4
r2q1rk1/pp2npbp/2bp2p1/2p5/3nPp2/2NPBNP1/PPPQ1RBP/R6K w - -,e3f4
r2q1r2/1p1b1kpQ/p3p2p/8/8/3p1R2/PP3PPP/5RK1 b - -,d8f6
2rq1rk1/1p3ppp/p2b1n2/3p4/3N2b1/P1NQP3/1P1B1PPP/R4RK1 w - -,d2e1
r2qrbk1/pb2npp1/1pp4p/8/Q2Pp3/P3P1B1/1P2BPPP/2RR1NK1 w - -,f1d2
8/2n5/8/3kpp1p/7P/1P1KBP2/8/8 w - -,e3b6
4rk2/1p3ppp/2p3n1/1p3N2/5P2/2P2KP1/PP6/3R4 b - -,g6e7
5R2/7r/4k3/1p3pB1/3Pp1p1/1P1n2P1/P3K2P/8 b - -,h7h2
2bqr1k1/1p2ppbp/p5p1/3Pn3/4P3/3BB2P/P2QNPP1/2R3K1 w - -,f2f4
8/2R5/7P/4p3/2P2k2/8/8/r5K1 w - -,g1g2
8/4pk2/5p2/5P1p/1r4P1/4RK1P/8/8 b - -,h5g4
1rb2qk1/1ppnnrbp/p2p2p1/3Ppp2/1PP1P3/2N1BPP1/P2QN1BP/2R2RK1 w - -,c4c5
3k1n2/1p3n1p/1Pp1bpp1/P3p3/2N1P3/2N4P/4BPP1/6K1 b - -,f8d7
8/5pp1/1pkn4/7P/PP6/2K5/8/8 b - -,d6e4
r2q1rk1/pb2ppb1/3p2p1/2p1P1N1/3n1P2/2N1Q3/PPP3P1/2KR1B1R b - -,d8d7
4N3/3k4/7K/p2pP3/2pP4/1nP5/RP6/6r1 w - -,e8g7
1q1r4/p4pk1/2Q1nbp1/4p2p/1P5P/P2PP1P1/5P2/2RR2K1 b - -,d8d6
8/pQ1Pqkp1/P6p/7P/8/4P1P1/5PK1/8 w - -,b7d5
r1bq1rk1/p1p2ppp/1np5/2b1p3/4N3/3P4/PPP1NPPP/R1BQ1RK1 b - -,c5e7
r4rk1/1p1bbpp1/p6p/2NpP3/6q1/n1PB4/P4BPP/3RQRK1 b - -,d7b5
r2n1rk1/pbppb1pp/1p2pn2/5p1q/1PPP4/P5P1/1B1NPPBP/R2QNRK1 w - -,e1d3
8/4K3/1pk1N3/8/1q1Q4/3n4/6P1/8 w - -,d4b4
r3kb1r/5pp1/p2ppn1p/4n3/qp1NP1PP/4BP2/P1PQ4/2KR1BR1 w kq -,c1b1
r1b1k2r/pp2npbp/2pq2p1/2p1p3/1P2P3/P2P1N2/2PN1PPP/R1BQ1RK1 b kq -,c5b4
8/4k2p/p3p2P/7Q/2p2P2/2q2BK1/8/8 w - -,h5e5
8/1B6/7K/2k4P/4p3/8/3n1p2/8 w - -,b7a6
2kr3r/pppq1pp1/4n1bp/2p1pN2/3nP1PP/3PB3/PPPQ1PB1/1K1R3R b - -,c8b8
r7/8/3p4/1p3kpp/3p2P1/P1bP1K1P/R4P2/2N5 b - -,h5g4
8/2p1k1rp/4pR2/pp2P1PK/2p4P/4P3/PPP5/8 w - -,h5h6
2r1r1k1/p4ppp/4n3/4PN2/1P1P4/1Q3P2/3q2PP/1R3RK1 w - -,b1d1
2rq1nk1/p4ppp/8/3p4/2b1n3/4PN2/PbR1NPPP/3Q1RK1 w - -,c2b2
8/5P2/4R3/8/2kp1b2/4p3/4K3/8 b - -,d4d3
r4nk1/p2brpp1/2p2q1p/3p4/5P2/2PQN1R1/PPB3PP/5RK1 b - -,a8e8
r2q1rk1/1pp2ppp/p1npbn2/2b1p3/2P5/2N1PNP1/PPQP1PBP/R1B2RK1 w - -,b2b3
R7/4ppkp/2p3p1/2P5/3r4/6P1/5PKP/8 w - -,a8c8
1r3qk1/p4p1p/B5pP/n3p3/6P1/bPPQ1P2/1BP5/2KR4 w - -,b2a3
2rq1rk1/1b1nbppp/pn6/1p1p1NP1/4PB2/P1N5/1PP1B2P/3RQRK1 w - -,e4d5
r4rk1/3nbp2/p3p2p/2qp2p1/3N4/1R1B2B1/5PPP/3Q1RK1 w - -,d3b1
3r2k1/p4p2/1p2b1p1/4Q2p/PqP4P/1P2R1P1/3r1PB1/4R1K1 w - h6,e5f6
5r2/p3r1bk/1p1p1qpp/2p5/2PpPP2/1P1P2P1/P4RBR/6KQ w - -,g2h3
r2q1r1k/3b1pbp/p1np2p1/2p5/2ppPPP1/3P3P/PPQBN1B1/4RRK1 w - -,d3c4
r1b1k2r/1p1p1ppp/p4n2/4p3/1n2P3/2N5/PPPK1PPP/R1B2B1R b kq -,d7d6:d7d5
1r3rk1/N2bqpb1/3p3p/2pPn3/1p2PB2/5BP1/1P2QP2/R3R1K1 w - -,a1a6
r1bqk2r/pppnppbp/3p1np1/8/2P5/1PN1P3/PB1P1PPP/R2QKBNR w KQkq -,g1f3
7r/1pkn1pp1/p1p1nbp1/2Ppp2r/1P1P2PP/2BBPP2/1P2N1KR/7R b - -,h5h4
3qb1k1/p1r5/1p5p/3pPppP/PQnP1p2/B1NR4/5PP1/4K3 b - -,g8h7
r3r1k1/1q2bpp1/p2p1n1p/3Rp3/4P3/2P2N2/1P2QPPP/R1B3K1 w - -,d5a5
3r4/2q3nk/1p1Nr2p/pP1QPpp1/8/2P3P1/1P2RK1P/4R3 w - -,d5c6
1r2r1k1/p5p1/3q3p/2N1n3/3BQ3/2PP1pbP/PP3P2/1R3R1K w - -,f2g3
6nk/2B3pp/p1b5/2br1p2/P7/3r1PN1/5NPP/1R2R1K1 w - -,c7b6
8/3q3k/4p1p1/p2pPPPp/PrbN4/2N1Q2P/2P5/7K w - -,f5e6
r3r1k1/1pq2p1p/p2p2pB/P2Pb2n/4P3/N1P5/3Q1PPP/R4RK1 b - -,e5c3
rn1qkb1r/p2p1ppp/4pn2/8/Q1pN4/6P1/PP2PPKP/RNB2R2 b kq -,f8e7
4r2r/p2n1kp1/7p/2P5/1P1pp1Pb/8/P2B1PKP/2R1R1N1 w - -,c1c4
5rk1/p2n1p1p/1p2q1pb/2pr4/1P6/P1B1PN2/3P2PP/Q2R1R1K w - -,b4c5
r1bq1rk1/ppp1nppp/1b1p1n2/1B2p3/4P3/2PP1N1P/PP1N1PP1/R1BQR1K1 b - -,c7c6:c8d7
r1bqkb1r/pp2pp1p/2n2np1/1BPp4/3P4/8/PP3PPP/RNBQK1NR w KQkq -,g1f3
2R5/p2Rb3/2p2kpp/N7/1n3PP1/1P6/4r2P/7K b - -,f6e6
r1r4k/p3q1np/1pb3p1/1p2Pp2/3P1P2/1Q1B4/P3N1PP/1R3RK1 b - -,e7b7
