8/8/8/pp3k2/7K/6Pp/PP3P2/8 w - -,h4h3
8/8/7r/4Bp2/r4P2/3kPKR1/8/8 b - -,a4a2
r1b1qrk1/p3p1bp/2ppnnp1/5p2/2P2B1P/Q1NN2P1/PP2PPB1/R3K2R w KQ -,a1d1
2rqr1k1/1p3ppp/p2b1n2/3pn3/3N2b1/1PN1P3/PBQ1BPPP/2R2RK1 w - -,e2g4
1r2r1k1/p1pqnp2/3p2p1/2p3Q1/2P5/1P4Pb/PN2PPB1/3RR1K1 w - -,g2f3
5rk1/5rp1/2P5/2b4p/2Q3b1/6P1/P4P2/1R1R3K b - -,c5f2
r2qk2r/p2n1ppp/2p1p1b1/2bpP3/6P1/2N1BN1P/PPP2P2/R2Q1RK1 w kq -,e3c5
r2qr1k1/1bp2ppp/p2b4/1p1n4/8/1BP2Q2/PP1P1PPP/RNB1R1K1 w - -,e1f1
2bq4/R4rbk/4n1p1/2pnpp2/2N5/2PP2pP/2QB1PBK/3R2N1 w - -,f2g3
8/8/4p3/P1R1P3/2K1k3/8/8/r7 w - -,c4b5
8/5k2/2b5/1rP2pBp/5K1P/4R3/5P2/8 w - -,e3e7
r5k1/Bpp1n1p1/3p3p/pP2pr2/2P2pP1/P1NP3q/4PP1P/R2Q1RK1 b - -,h3g4
r4rk1/1ppb2bp/3pn3/p6q/2PN1Pp1/1PN3P1/PB1Q3P/1R3RK1 w - -,c3d5
8/8/3K1Q1k/2P3p1/8/q6P/8/8 b - -,h6h5
2k3Q1/1p6/p2p2p1/5q2/PP3P2/8/1K6/8 b - -,c8c7
8/3r4/3Pk3/p1P1Pp2/2K5/1P2B3/P3r3/8 w - -,e3d4
r3k1nr/ppp2ppp/2n5/4P3/1bP3B1/4B3/PP1N1P1P/R2Q1KNq b kq -,b4d2
r1b1k2r/pp1nqpp1/2pbpn1p/3p4/2PP2P1/2N1PN1P/PPQ2P2/R1B1KB1R w KQkq -,c1d2
8/2p3p1/p7/1pPk2K1/1P6/8/2P5/8 w - -,g5f5
1q6/r5pk/P1p2p1p/R1P1p3/QP1pP1PP/3K1P2/8/8 b - -,b8e8
1R1n4/4b3/1P1p2k1/3Bp1p1/4P3/3PBKP1/2r5/8 w - -,b6b7
8/2p4k/6n1/1p1P2P1/3r4/3p4/3R3P/4N1K1 b - -,g6e5
6k1/8/p3p1p1/3b3p/3q3P/8/PPB5/1K2Q3 b - -,g8g7
4r1k1/pp4p1/3rp2p/3PQp1P/qP3P2/6P1/3R3K/3R4 b - -,a4d7
r4rk1/p3bpp1/4p2p/1p1n4/2pPN1PP/2P5/PP2KP2/R1B3R1 w - -,g4g5
r3kb1r/pp1qpppp/1np1bn2/6N1/8/NP4P1/2QPPPBP/R1B2RK1 b kq -,e6g4
r1b4r/ppnpppk1/5qp1/Q1P5/3N4/6P1/PP2PPB1/2RR2K1 b - -,c7e8
4r1k1/1bqn1rbp/pp1p1np1/3Pp3/PPp5/N1P1B1PP/1R2NPB1/1Q1R2K1 w - -,b1a2
b2q1r1k/4b1pp/2n2p2/1ppnp3/8/2PP1NNP/BP3PP1/2BQR1K1 b - -,d8d7
5rk1/p1q2ppp/1p1bpn2/1P2N3/P2P4/2r3P1/4QP1P/RB3RK1 b - -,d6e5
r2q1rk1/p3bppp/b1n1pn2/1ppp4/2P5/1P1PPNP1/PB2QPBP/RN3RK1 w - -,b1d2
5bk1/8/3p4/p2PpQnp/3rPp2/1P3Pq1/P3BNP1/2R3K1 w - -,f5g6
r1r3k1/ppqbbppp/3p1n2/2nPp3/4P3/1PN5/PBQNBPPP/R4RK1 b - -,a7a6
r1bq1rk1/p3bpp1/1pn1p2p/3n4/2B5/2P2NB1/PP1NQPPP/R3K2R w KQ -,e1c1
rnbqk1nr/p3ppbp/2pp2p1/1p2P3/3P4/6P1/PPP2PBP/RNBQK1NR w KQkq -,d4d5
8/2p3pk/1n3p2/7P/3r3P/2PN1P2/2K5/8 w - -,c3d4
5rk1/p4r1p/3Q2p1/2pPp3/2P1B3/5P1P/P3q1P1/1R5K b - -,e2c4
3r2k1/3r1ppp/pp2p3/2p3P1/P2b1P2/2NP1R2/1PP3KP/3R4 b - -,d7b7
1nr2rk1/pb3ppp/1p1q4/1B1Pp3/P3P3/5N2/3Q1PPP/3RR1K1 w - -,d2b2
r3kb1r/pp2ppp1/1np2n2/6N1/3P4/2N3B1/PPP2P1P/2KR3R b q -,g7g6
r2k3r/pp2ppbp/2n1b1p1/8/8/2N3P1/PP1BPP1P/R3KB1R w KQ -,f1g2
rn1qk2r/p3nppp/1pp1p3/8/2P5/5PP1/PP1Q1P1P/RN2KB1R w KQkq -,d2d8
4r1k1/pr3pp1/2p3qp/2PpBb2/3P4/P6P/3Q1PPK/R3R3 w - -,e1e3
4k2r/p2nb2p/2r1p1p1/3p1p2/N2Pn2B/4PN2/P4PPP/RR4K1 w k -,f3e5
r1b2rk1/pp3ppp/n3p3/2b5/2NN4/6P1/PP2PPBP/2RR2K1 b - -,a8b8
r3kb1r/4pppp/p1npbn2/qp6/4PN2/2N1BP2/PPPQ2PP/1K1R1B1R b kq -,e6d7
2r2r1k/1p1nb1p1/3p1n1p/p3pP2/1PP3P1/P3B2P/4N3/1BRR2K1 w - -,e2g3
r2q1rk1/1p1nbppb/2p1pn1p/1pPp4/P2P1B2/2N2NPP/4PPB1/2RQR1K1 w - -,a4b5
1qrr2k1/pb2bpp1/1pn1pn1p/8/1P1P4/PQN1BN1P/4BPP1/2RR2K1 b - -,e7f8
5r2/4qr1k/p5pb/2n1p2p/1p1p4/1P1P2PP/P1R1QBBK/5R2 b - -,h5h4
r4rk1/1ppbqppp/n2p1n2/3Pp3/p1P1P3/P1B3P1/1PQN1PBP/R4RK1 w - -,f2f4
8/8/2p1R1p1/2k5/5K2/1B5r/P7/6r1 b - -,h3h4
r3r1k1/1p2ppb1/pq3npp/3PBb2/P7/2N2N2/1P2QPPP/3R1RK1 w - -,f3d4
4r1k1/5pp1/p1R4r/1p2p2p/8/P7/1P3PPP/4R1K1 w - -,c6h6
1r6/pp6/3nk1Br/4p3/6p1/1P2R1P1/P4P2/3R2K1 w - -,g6e4
6rk/1R2R1b1/1p1r3p/pP1Q4/P7/6p1/1P1p1PK1/3B4 b - -,d6d5
2r5/p4pkp/2P1p1p1/8/1pR5/6P1/P4P1P/5K2 w - -,f1e2
r3kb1r/pppq2pp/1nn1Pp2/3p3b/3P4/1B2BN1P/PP3PP1/RN1Q1RK1 b kq -,d7d6
3rr1k1/5pp1/3b1n2/3pNR2/p1pP4/P1P4P/R2B1P2/6K1 w - -,e5c6
r1bq1rk1/1pp1ppbp/1n1p1np1/p7/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 b - -,f6d7
r1bqr1k1/ppp2p2/3p1n2/5pbp/1PPP1N2/2N1P1P1/P4PB1/1R1Q1RK1 b - -,h5h4
2kr2r1/3b1p1p/pQ2p3/1pNpPP2/8/P1PBq1p1/7P/1N1K1R2 b - -,e3c5
2rqrnk1/1p2bppp/p1p1bn2/3p2B1/3P4/2NBPP2/PPQ1N1PP/3R1R1K w - -,e2f4
r1r3k1/1p2pp1p/1bnpb1p1/1N6/p1P1P3/1PB2PP1/PR4KP/3R1B2 w - -,f1e2
5bk1/p1q2ppp/2pn4/1bB3P1/P3r3/1P3N1P/3Q1PB1/2R3K1 b - a3,b5a6
r3r1k1/1p1b1p1p/3b1qp1/p6Q/P1BPp3/1PB1P3/3P1P1P/R3K1R1 b Q -,b7b6
8/1p2k1p1/p3p3/P3Pr1p/3Bp3/1PPb3P/6PK/4R3 w - -,h2g3
5rk1/5p1p/rp2p1p1/1Npp2P1/P2PnP2/1P2P2R/7P/2R3K1 w - -,b5c3
7k/5Q2/2q2b1p/P2PpPp1/6P1/P3B2P/8/6K1 b - -,c6d6
r7/6pk/2b1p2p/1pP1P3/1P1P1R1P/p1K3P1/2N5/8 w - -,f4f1
r1r5/1Rp3n1/p1P1p1pk/P2pPp2/1R5P/3PKB2/5P1P/8 w - -,e3d4
2R4k/pp5p/8/3r4/8/nP5P/6KP/8 b - -,h8g7
r1bRnr1k/6bp/1pp2q2/4pp2/2B5/2N2N1P/PP2QPP1/3R2K1 b - -,b6b5
8/2p5/p2p2k1/1p1P1R2/6p1/PP4r1/1KP5/8 w - -,f5f8
1kr4r/1p1b1pp1/p6p/N2p4/5P2/2qB2P1/2P2Q1P/1KR4R b - -,c3a5
r1bq1rk1/ppp1bppp/1n2pn2/8/2pPP3/2N1BNP1/PP3PBP/R2Q1RK1 b - -,c7c6
r4rk1/1ppb2pp/3p4/2nPbp2/p1P4q/P1N1Pp1P/1PQNB1P1/2R2RK1 w - -,d2f3
8/6b1/8/B2p1k1p/P1rP2p1/4P1P1/5P1P/R5K1 b - -,f5e4
1rbq1rk1/n3ppbp/1p1p2p1/pPp5/P7/3P1NP1/1PQBPPBP/1R3RK1 w - -,d2c3
8/4k3/7p/8/b7/2K2B2/8/2b5 b - -,a4b5
r1br1nk1/pp5p/3b1pp1/P2Pp2q/1PB5/2B2N1P/1Q3PP1/R3R1K1 w - -,f3d2
2rr1nk1/q1p1bpp1/pp2p2p/3b4/1PNP4/P3P1P1/2QN1P1P/1R2RBK1 b - -,f8h7
3r2k1/pp1P1p2/1pq1n1p1/4B2p/8/3Q1P2/PP4K1/3R4 b - -,e6f8
4rrk1/1np4q/1p3pp1/p2P4/P1PbPB2/3B1R2/6QP/5R1K w - -,f3h3
2r3r1/R5bk/3p1pp1/4p2p/1R2PP2/3P2P1/7P/6K1 b - -,c8b8
1r3rk1/p5p1/3q3p/2N5/2nB4/2PP2PP/PP4Q1/1R3R1K b - -,f8f1
r1b1r1k1/pp3pbp/2p2npq/4p3/2P1P3/1PN3P1/P3QPBP/2BR1RK1 b - -,h6h5
r3k2r/p2bbppp/n1p1p3/q2N2P1/Pp6/1B1P1P1N/1PPBQ2P/R3K2R b KQkq -,c6d5
r1b3k1/1pq2pbp/p2p2p1/2pP4/P1P5/1QBB3P/1P3PP1/4rRK1 w - -,f1e1
8/2kn2r1/1pp1pp1p/p4p2/P1PP1P2/2P1K2P/5P2/1R5B b - -,e6e5
3r1bk1/3nqp1p/r1p2np1/p1P1p3/Pp2P3/4BNNP/1P1Q1PP1/2RR2K1 w - -,d2c2
8/4KP2/6kb/2B5/8/8/8/8 b - -,h6g7
5nk1/3b1ppp/1QqB4/p2p4/8/P3P2P/1P2BPPK/8 w - -,b6b8
r2qr1k1/3n1pbp/p2p1np1/1p1P4/P1p1PP2/2N1BB2/1P4PP/R2Q1RK1 w - b6,a4b5
r2qk2r/pp1n1pp1/2pb1n1p/8/3Pp3/2NB1Q1P/PP3PP1/R1B2RK1 w kq -,c3e4
8/3np1kp/q1Np1pp1/N1nP4/1R2P3/2B3PP/3brPK1/1Q6 w - -,c3d2
r1bq1rk1/ppp2pp1/3b1n1p/8/1nBP4/2N2N1P/PPQ2PP1/R1B2RK1 w - -,c2b1
7r/1pk1b2p/p1n1bp2/6p1/P3p3/2PRNN2/1P3PPP/R5K1 w - -,f3d4
3rrbk1/1b2qp1n/p1p3p1/1p2p3/PP2P3/3B2N1/1BPQ1PPK/R3R3 w - -,b2c3
8/5N2/n7/3k3p/6p1/6K1/5PPP/8 b - -,a6c5
r2qr1k1/1p3pbp/p4np1/3n2B1/8/N1N2P2/PP1Q2PP/R4RK1 w - -,g5f6
2k5/p6r/1p6/8/5R2/4P2P/PP1p2PK/8 w - -,f4f1
3r1rk1/1pn2ppb/2pq3p/3p4/pP1N4/P2P2PB/R3PP1P/Q1R3K1 b - -,f7f5
rnbqkb1r/pppp1ppp/4p3/2PnP3/8/2N5/PP1P1PPP/R1BQKBNR w KQkq -,f1c4:c3d5
2kr1b1r/1pp1pppp/p1nq1n2/8/3P4/P1NQ1N1P/1PP2PP1/R1B1K2R w KQ -,c1e3
8/2R5/8/8/2b5/2k5/r7/3K4 w - -,d1e1
r1b2rk1/p3bppp/2p5/7q/8/P1n5/1P1BBPPP/R2QK2R w KQ -,d2c3
1nr5/R2r4/1pp1kp1p/3p2p1/1P1P2P1/2RNP3/5P1P/6K1 w - -,a7a8
1r2rbk1/1bqn1p1p/3p1np1/2p5/2p1P3/1P2N1P1/1B1N1PBP/R2QR1K1 w - -,e3c4
r1bqkbnr/ppp3pp/2n1p3/3p4/3P2p1/2PQ1N2/PP2PP1P/RNB1KB1R w KQkq -,f3e5
2r2k2/2r2p2/1p4pp/pP1R1p1P/PbP1n3/1N2P1P1/2R1B1K1/8 b - -,c8e8
r3r1k1/3n1ppp/2p5/p2bP3/Rb3B2/5N1P/1P2BPP1/6KR w - -,g1h2
r3r1k1/q2n1pp1/3p2p1/2p1p3/1PPnP3/1NN2P2/3Q2PP/1R1R3K w - -,c3d5
8/R2nk1pp/4ppb1/8/1rP1N3/6PP/P4PBK/8 b - -,b4c4
8/6n1/1r3k2/6pp/8/5NP1/R4PK1/8 w - -,a2d2
6k1/5q1p/5b2/2Q1BPpn/1p6/1P5P/r6K/5RR1 w - -,g1g2
r2q1rk1/1p1nbppp/2p1pn2/p2p4/6b1/PP1P1NP1/1BPNPPBP/R2Q1RK1 w - -,c2c4
8/6p1/2B2k1p/1pb5/p4P1P/5KP1/P7/8 w - -,c6b5
8/5n2/4r2k/1R4p1/4N1P1/5P2/5K2/8 b - -,e6a6
2r3n1/p2qp1k1/1p1p1pp1/7r/1QPPP2p/P5P1/5PBP/1R1R2K1 w - -,b1c1
8/8/1R4KP/8/2p5/2P5/1Pk5/6r1 w - -,g6f7
2r3kb/2r4p/pn2p1pP/1pp1P3/3Pp3/2P1B2N/P4PPK/1RR5 b - -,b6d5
2rqr1k1/p4p1p/2p1nnpb/4p3/P1Pp4/1N1P2PP/1BQ1PPB1/R4RK1 w - -,a4a5
r1b1k3/pp2qp1p/2p2n1Q/8/3Pp3/2N1P2P/PP2NPr1/R3K2R b KQq -,c8e6
r1qr2k1/1p3ppp/p3p3/n1Pbb3/3P4/5NP1/P3QPBP/1R1R2K1 w - -,f3e5
8/5p2/6kp/6p1/1pKN2P1/1P5r/5P2/8 w - -,c4b4
5rk1/1b3rbp/p2P2p1/1pBNp3/6Pq/1P3P2/1P4Q1/3R1RK1 b - -,e5e4
1r6/5pk1/2p3pp/4p3/N2nP1P1/P4P1P/3r1K2/3R4 w - -,d1d2
r3nrk1/2q1b2p/1p4pN/4p3/PQP1P3/5B2/5PPP/3R1RK1 b - -,g8g7
r1bqk2r/2p1bppp/p2p1n2/1p2p3/4P3/1nPP1N2/PP1N1PPP/R1BQ1RK1 w kq -,d1b3
r3rbk1/pbq2ppp/1p2p3/2npP3/3N2QP/2P5/PPB2PP1/R1B1R1K1 b - -,g8h8
r1b1k2r/5pp1/pq1ppb1p/1p6/3NPPP1/5Q2/PPP4P/2KR1B1R w kq -,f3d3
r1bq1rk1/pp2npbp/3p2p1/3Pp3/2P5/4BN1P/PP1QBPP1/R4RK1 w - -,a1c1
3n4/3q4/4p1pk/p2pPp1p/PrbN1P2/2N1Q1RP/2P3P1/7K b - -,d8b7
2rqk2r/pp1bbppp/2n1p2n/3pP3/NP1P4/P4N2/1B3PPP/R2QKB1R w KQk -,a4c5
3r1k2/2R2pp1/p3p2p/1p6/2pP1P1P/P1P5/1P4P1/6K1 b - f3,a6a5
3r2k1/2b2p1p/6p1/4N3/P1B1P3/1p4PP/1P2bPK1/R7 w - -,c4e2
2rqr3/5pkp/2n3p1/p1pn4/6b1/P3PNP1/1P4BP/1RQN1RK1 w - -,c1c5
1r4k1/r3q2p/6pQ/p1p1P3/P1p2PP1/2Np1bR1/1PP1nR1K/2B5 b - -,e2c3
2r2k2/5p1p/5p2/8/6R1/pQ2P2P/1q3PPK/8 w - -,b3d3
r4rk1/1p2bppp/1qn1b3/p2pPp2/1P6/PNP2N2/5PPP/R1BQ1RK1 w - a6,c1f4
1rq3k1/4ppbp/2bp2p1/2P1n3/P4B2/6PP/2Q1PPBK/1R2R3 b - -,c6g2
5k2/3r1pp1/2Np1n1p/1p2p3/4P3/5P2/1PP3PP/3R2K1 b - -,f6e8
2Rb4/1p3pk1/r3p1pp/3rP2P/RP1P2P1/8/5BK1/8 w - -,a4a6
5b1k/q6p/3p4/3PpNQ1/4Pp2/5PpP/1PN3P1/r4BK1 w - -,c2d4
r1bqr1k1/p4pp1/3pn2p/2p4N/2P1PP2/2QB3P/P5P1/4RRK1 w - -,e4e5
r3k2r/1p1b3p/p1nqpn2/3p4/6p1/N1PNQ3/PP2BPPP/R4RK1 b kq -,e8g8
r3r1k1/ppp2ppp/2n5/3q4/3Pn1b1/P3PN2/1B2BPPP/R2Q1RK1 w - -,d1c2
8/3n1k2/1R5P/p1pPK3/1pP5/1P2p3/1P2B3/8 w - -,e5d6
2b2rk1/p3B1bp/p1pR4/2P2p2/8/P5RP/1r4P1/6K1 b - -,b2b1
2n3k1/1p3ppp/4p3/p2p4/PP1PP3/3N1P2/4K1PP/8 b - b3,b7b6
1k5r/pp3pp1/4p2p/1b1pP2P/5Q2/1Nrq4/5PP1/R1R3K1 w - -,f4f7
rnbq1rk1/ppp2pbp/6p1/4p3/8/2P2NP1/P2PPPBP/R1BQ1RK1 w - e6,d2d4
6k1/p3qpp1/1p2p2p/3nN3/8/Pb4B1/4QPPP/1BK5 b - -,e7c5
rnbqr1k1/p1p1bpp1/1p3n1p/3p4/3P3B/2NBPN2/PPQ2PPP/R3K2R b KQ -,c8b7
r2qr1k1/7p/p1p3p1/1pP1PP2/4B2b/6Q1/PR5P/B3R2K w - -,g3b3
r3k1r1/ppqb1p2/4p3/4Pn2/P2Q1P2/2p5/2P3PP/R1B1KB1R w KQq -,d4f2
2r5/1br2pkp/1p1q1bp1/pB1p4/P2P4/1QR2NP1/1P3P1P/2R3K1 w - -,g1g2
2r2rk1/pb1q1pbp/3n2p1/1Npp4/Pn2PB2/1P1P2PP/6B1/2RQ1RK1 w - -,f4d6
4R3/5p1p/2k5/2Pr4/3K4/8/7P/8 w - -,d4e4
rnb1kb1r/p4p2/2p1p2p/qp1nP1p1/2pP4/2N3B1/PP1N1PPP/R2QKB1R w KQkq -,d2e4
r1b1k2r/5ppp/pqnp4/b7/2RpP3/2PB3P/3BNPP1/2Q1R1K1 w kq -,c1a3
8/5pk1/2p4p/2n2P2/p1P1P3/3R2K1/8/8 w - -,d3e3
5k2/8/6p1/2r1p3/6P1/R2P3P/5K2/8 b - -,c5c2
r4rk1/1p3pp1/p2pp2p/8/4Q3/P1qP1PP1/7P/2R2RK1 b - -,c3a3
2r3k1/5pp1/7p/8/1pb5/2N5/1PPR2PP/7K w - -,c3d1
2kr2nr/pp2bp2/1q2p1p1/3pP2p/2pP4/PbP1B1PB/1P1Q1P1P/1R2NRK1 w - -,e1g2
bq3r1k/2r3pp/2p2n2/1p3P2/1P1P4/3N1BRP/2RQ3K/8 b - -,c7a7
q3r1k1/4ppb1/1p1p2p1/pPrR2Pp/P1P4Q/4N3/4PP1P/2R3K1 b - -,e8c8
r2k3r/pp1bpp1p/2n3p1/1B2b2n/8/2N1B3/PPP3PP/2KR2NR w - -,c3d5
3r2k1/6pp/p3P3/1p3p2/2pr1P2/3n1KP1/PP2R2P/R4N2 b - -,d8e8
r3r1k1/p5pp/1p1p1n2/2nPqp2/P1p2N2/2P1PP2/4R1PP/R1BQ2K1 b - -,c5b3
8/7p/2k1p3/2R2b2/1P6/5P2/1r4PK/8 b - -,c6d6
5rk1/pbp3pp/1p1p1n2/8/Q1P5/B3qPP1/P3P2P/R4RK1 w - -,f1f2
rn1qk1nr/1b1pbppp/p3p3/1p6/4P3/3BBN2/PPP1QPPP/RN2K2R w KQkq -,e4e5
6R1/8/6k1/7p/5rp1/8/5PK1/8 b - -,g6h7
2r2rk1/1p3pbp/p3p1p1/3pP3/P4B2/R1P1RB2/1P1n1PPP/6K1 w - -,a3a1
3r4/p4nkp/3p1bp1/1PpB4/P2pQPq1/1P4P1/3B3P/4R1K1 b - -,g4d7
5k2/5p2/4bB1p/2pBK3/p1P3P1/1n5P/1P6/8 b - -,b3d2
2k2b1r/pp1r2p1/5p2/2p1p2p/1n6/PP2N3/1BPP1PPP/2KR3R b - -,b4c6
7r/1bk2p2/3p1b2/1Ppp3p/1p2n1p1/4PNBP/RPP1BPP1/6K1 w - -,h3g4
3r2k1/p3bpp1/1p2bn1p/q2p4/2r5/P1NQB1P1/1P2PPBP/2RR2K1 w - -,e3d4
5b1r/pp1k2pp/4p3/3p1p2/P1rPPP2/1pPK4/1P4PP/R1R1B3 w - f6,e4d5
6k1/1pp1r2p/8/p1n1P3/2P2P2/4Kb2/PP1N4/7R w - -,d2f3
1rbq1rk1/4npbp/3pp1p1/2p5/3nP3/2PPB1PP/3Q1PB1/R1NN1RK1 b - -,d4c6
r2q1rk1/pb2ppbp/np4p1/2pPP3/2P5/P2B1N2/1PQ3PP/R1B2RK1 b - -,a6c7
4B3/8/6p1/5k1p/1PK4b/8/8/8 b - -,h4f2
5k2/5b2/5P2/1p2KP2/8/2P5/8/8 b - -,f7c4
2r2rk1/p2bqpp1/4p2p/3pP3/3P4/b1PBQ1RN/P5PP/R5K1 b - -,g8h8
r1b2rk1/1pp1qppp/p1n1p1n1/3pP3/3P4/P1NB1NQ1/1PP2PP1/2KR3R b - -,f7f5
r3rbk1/1pq2ppp/p3bn2/4p3/P3P1P1/2N1BB2/1PP4P/R2Q1R1K w - -,g4g5
r4rk1/pp3p1p/4bbp1/q7/8/2N1PB2/PP3PPP/R2Q1RK1 w - -,f3b7
2r5/6p1/4p3/7k/7P/8/2p1KP2/2R5 w - -,e2d2
2r2rk1/1p1nppbp/6p1/p2n4/Pq2P1b1/4BN2/QP2BPPP/2RR2K1 w - -,a2d5
R7/4Bp1k/4b1pp/4n3/4P3/6PP/5PK1/2r2B2 b - -,h7g7
