8/6kp/6p1/4p1P1/4N2P/1n6/5K2/8 w - -,e4f6
7r/1p4p1/2p1bk2/p4p2/P1P1P2P/1P2R3/2BrR1P1/6K1 b - -,d2e2
3r4/1q2k2p/2p1npp1/2P1p3/1PQ1P3/4B1PP/R4PK1/8 w - -,a2a6
8/pp3rk1/5bp1/3p1pp1/P2P4/1R6/2r2PPP/3R1BK1 w - -,b3b5
r1b2rk1/1q1n1pbp/p3p3/3pn1P1/3N4/2P1B3/1PQ1B1PP/R1N2RK1 b - -,a6a5
8/5pk1/6p1/7p/8/3r1NKP/1r3PP1/4R3 w - -,e1e4
1r1r3k/4n2p/1q1pb1p1/pp2pP2/8/2PQN1P1/PP1R1PBP/R5K1 b - -,g6f5
r1bq1rk1/pp2bppp/2np1n2/2p1p3/P1B1P3/2NP1N1P/1PP2PP1/R1BQ1RK1 b - -,g8h8
r1bqr1k1/bpp1nppp/p2p4/3Pn3/2P5/2N3PP/PP2NPB1/R1BQ1RK1 w - -,b2b3
3r2k1/p4pbp/6p1/8/4PB2/2p2P1P/P3RKP1/8 b - -,d8d1
1r3r2/ppq3kp/2p1bpp1/8/3PP1n1/2PB4/P2QNRPP/4R1K1 w - -,e2f4
r1bq1rk1/pp1nb1pp/2p1p3/3p1p2/2PPn3/BP3NP1/P1Q1PPBP/RN1R2K1 b - -,e4d6
5k2/Q4p2/4p1p1/p6p/Pb2P2P/5PP1/r7/5K2 w - -,a7b8
8/kp6/p1p5/2P2Rp1/1P4r1/4Kp2/8/8 w - -,e3f3
r1r3k1/pp1b1ppp/2nqpn2/3p4/3PP3/2NB1N2/PP3PPP/2RQ1RK1 b - -,d5e4
2k5/pp3p2/2p1p1p1/P7/2P2P2/1R4P1/1PBr1n1r/1KR5 w - -,b3a3
8/8/2k1r3/2P1B3/3K4/1R6/4b3/8 b - -,c6d7
6R1/8/8/6k1/4r1p1/7p/5P2/6K1 b - -,g5f4:g5f5
r1bq1rk1/1pp2ppp/p1np1n2/2bNp3/2P5/4P1P1/PP1PNPBP/R1BQ1RK1 b - -,f6d5
2rq3k/1p5p/p2r1ppb/3N3P/1PBRP3/PQ4P1/5PK1/8 w - -,b3f3
r1b2rk1/p1p1qppp/1p1p4/3P4/2P1PBn1/P1N3Q1/1P4PP/R4RK1 b - -,f8e8
2r1nrk1/ppqnb1pp/2pp4/4ppP1/P2PPP2/7P/1PP1N1B1/R1BQ1RK1 w - f6,e4f5
1rb1r1k1/1pq2pb1/p1pp1np1/2n3Bp/2PNP3/1PN3PP/P2Q1PB1/3RR1K1 b - -,f6d7
5rk1/pprb1pp1/3b3p/3Pp1q1/P1p1P3/2N3PP/1PQ2PB1/3R1RK1 b - -,a7a6
r1bq1r2/p4pkp/3p1np1/2p2p2/2PP4/2QB1P2/P1P1N1PP/R4RK1 b - -,g7g8
7r/Qpb1kppp/3Pp1n1/1r1n4/5P2/2P5/1P4PP/2KRR3 b - -,c7d6
1n2r3/5k1p/2p1n1p1/pp2P1P1/4P3/PP2BqP1/2QK1P2/4R3 b - -,c6c5
5rk1/6p1/1rn1p2p/6b1/R2pN3/1P1B4/P2K1PPP/7R w - -,d2e2
8/4k3/1K3p1p/p2BpPp1/1b2P1P1/PP5P/8/8 b - -,b4a3
4nrk1/p4pbp/1p2q1p1/2r5/2B2B2/5PP1/PPQ4P/3R1RK1 w - -,d1c1
5k2/5p1p/4pPp1/1b1pP3/1P1P2P1/r7/p1Bn3P/R3N1K1 w - -,c2d1
8/p4pp1/3kp2p/1P5P/3N4/r3K1P1/5P2/5B2 w - -,f1d3
8/4kp2/PK2p3/1N2P3/5P2/6np/8/8 w - -,a6a7
1k1r3r/pp1q1p2/3bb1np/4p3/PP1pP1p1/3P4/3BBPPP/R2QNRK1 b - -,h6h5
rnbq1rk1/pp3pp1/4pb1p/2pp4/2PP4/2N2N2/PPQ1PPPP/2KR1B1R w - c6,d4c5
5rk1/1p4p1/6Pp/1q1p1Q2/p2b1P2/P7/1p3RK1/1R6 w - -,f5e6
3r1rk1/4bppp/pqn1pn2/1p6/1P4b1/P3PN2/1B1NBPPP/2R1QRK1 b - -,d8d5
8/p6p/1r6/2R1pk2/1p6/1P2KP2/P6P/8 w - -,f3f4
1rbr2k1/1p2bp2/p4qpp/3Rn3/3NN3/1Q2P1P1/PP3PBP/5RK1 b - -,f6g7
2rq1rk1/pb1n2bp/1pn1pPp1/3p4/3P4/P3BN2/1PB2PPP/R2QRNK1 b - -,d8f6
5qk1/1p3Q2/3p2B1/p1n1r1P1/P1P5/1Pb5/5B1P/5RK1 b - -,f8f7
rr4k1/p4pb1/Bp2p1pp/n2q4/3P3B/2PQ3P/P4PP1/1R2R1K1 w - -,e1e2
2q1rrk1/2n1b3/3pP2Q/1pp5/3p4/1P1P4/2PB2NP/4R1K1 w - -,e1e4
r3r1k1/1p3pp1/1qp1bn1p/p1b1p3/P3P2N/2NB3P/1PPQ1PP1/R3R1K1 w - -,b2b3
3r2k1/p2P1p2/1p2q1pp/2p5/8/7P/P3Q1P1/3R2K1 w - -,e2a6
r1b1rnk1/ppq1bppp/2pp1n2/3Pp3/2P1P3/2N1BP2/PP1NB1PP/R2Q1RK1 b - -,f8g6
8/3nq1bk/P5p1/5p1p/2Q1p3/1P6/1NP4P/1K2R3 w - -,b2a4
r1b2rk1/ppq1ppbp/2n2np1/2ppN3/3P1P2/2PBP3/PP2Q1PP/RNB2RK1 b - f3,c8f5
6k1/p3r1pp/1n6/4P3/3pbPP1/1Pn5/P1PK3P/4R1R1 w - -,e1e4
r3b2r/pp2k2p/4pp2/6p1/2NRK3/2P3P1/PP3P1P/R7 b - -,e8c6
1kr5/1q4p1/p2b1pNp/3pp3/3P4/PQR1P1P1/1P3PP1/6K1 w - -,c3c8
3q2k1/1rn3pn/3p4/2pPpP1b/2P1P1N1/3Q1N1B/8/4R2K b - -,h7g5
r2q1rk1/ppp1ppbp/6p1/3n1b2/3P4/1BP2N2/PP3PPP/R1BQ1RK1 w - -,f1e1
5k2/3r4/1p3rp1/3q1pRp/1P5P/2bBR1P1/5P1K/3Q4 b - -,c3b4
r1b1rbk1/ppq2ppp/1npp1n2/3Pp3/2P1P3/2N2N2/PP3PPP/1RBQRBK1 w - -,c1g5
6k1/K5p1/1P3p2/P7/4Pp2/8/5q2/8 b - -,f2c5
r2qk2r/1pp2p2/p1nBpn1p/3p2p1/3P4/2PQPN2/PP1N1PPP/R3K2R b KQkq -,d8d6
r2q3r/3b1pkn/pp1p2pp/2pPn1b1/1PP1PN2/P1N1B1QP/4B1P1/R4R1K w - -,g3f2
r1b2rk1/pp1n1ppp/4pb2/3q4/1P6/5N2/PBB1QPPP/3R1RK1 b - -,d5h5
8/6k1/5p2/5P1N/3K3P/6P1/8/7n b - -,g7h6
2R5/7p/3k2p1/5p2/p6P/P4rP1/6K1/8 b - -,f3a3
r1bq1rk1/pp1nppbp/6p1/3pP3/5P2/2PB4/PP2Q1PP/RNB1K2R w KQ -,c1e3
6k1/1b4N1/p2p4/4nNP1/3K4/2p5/1q6/6Q1 b - -,b2d2
rnbqkb1r/pp3p1p/2p2pp1/3p4/3P4/4PN2/PPP1BPPP/RN1QK2R b KQkq -,b8d7
3N2k1/2p3pp/p4p2/3p4/1P6/P2bB3/2r3PP/R5K1 b - -,d3e4
r1bqk1nr/1p2bppp/p1npp3/8/4P3/2N1BN2/PPPQ1PPP/R3KB1R w KQkq -,c3a4
r1bqrb2/pp1n1p1k/2pB1npp/2Pp4/3P2P1/1PN3NP/P2Q1PB1/3R1RK1 w - -,d6f8
3r1rk1/5p1p/p1R5/3pp3/8/P5Pq/3QPP1P/5RK1 b - -,h3g4
rn3rk1/p2q2pp/1p2p3/2bb1p2/4P1Q1/5NP1/PP3PBP/R1B2RK1 w - f6,g4h4
2r2qk1/1b5p/p4pp1/2Pp4/Pp1QpP2/1P5P/4B1P1/R4RK1 w - -,a1c1
3rnr1k/pb4p1/1p5p/5B1Q/5P2/Pq4P1/1B3N1P/R3R1K1 b - -,b3b2
8/p7/1p2k1p1/2p3PP/P1P2K2/2P1nB2/8/8 b - -,e3c4
2r5/R6B/3b2p1/3P1bk1/5N2/1K4P1/8/8 b - -,c8b8
r1bq1rk1/1pp1p1bp/2np1np1/p4p2/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 b - -,f6h5:e7e5
5rk1/p3b2p/1p6/6p1/1P6/2PRB1N1/P4KP1/7r w - -,f2e2
r2qk2r/pb1p1ppp/np2pn2/b1p5/2PP4/P1N1P1P1/1P2NP1P/1RBQKB1R w Kkq -,d4d5
r4rk1/pN3pp1/1bn1bn1p/4p1B1/8/2N3P1/PP2PPBP/R2q1RK1 w - -,a1d1
r3k2r/1b2bpp1/pqn1p2n/1pp4p/3pPP2/3P1NPP/PPP1QNB1/R1B2RK1 w kq -,c2c3
rnbqk1nr/5pbp/p2p2p1/1ppP4/4P3/2NB1N2/PP3PPP/R1BQK2R w KQkq b6,h2h3
8/5p1p/1p4p1/5k2/1Nb5/2P1KP2/5P1P/8 w - -,b4c6
q7/8/8/8/5k2/6R1/5B2/6K1 b - -,a8b7
rn1qkb1r/ppp2ppp/4pn2/3p4/3P1Bb1/4PN1P/PPP2PP1/RN1QKB1R b KQkq -,g4h5
1Rb5/2k4p/4p1p1/3nP1P1/1p1K3P/8/8/8 w - -,b8a8
rnbq1rk1/ppp1ppbp/6p1/3p4/2PP3B/2P2N2/P3PPPP/R2QKB1R w KQ -,e2e3
8/7p/3k1p2/3p2pN/3n1PP1/7P/1K6/8 b - -,d6e6
4r1k1/1pp2ppp/3p4/p1nPrPq1/2PR1b1P/1P4N1/P1B2PQ1/5RK1 b - h3,g5h6
4b3/8/1K1k1p2/7p/2P2P1P/8/P7/8 w - -,c4c5
r1bq1rk1/1pp2pp1/p1n2n1p/3p4/1b1P3B/2NBP3/PP2NPPP/R2QK2R w KQ -,e1g1
6k1/p3Kp2/2r3pp/4P1P1/7P/1p6/8/8 b - -,b3b2
r7/p2r1ppp/2k5/R1P1p3/RP5P/6P1/4KP2/8 w - -,a4a2
8/3kp3/p2p2p1/P2P1p1p/2PBnP2/3K3P/6P1/8 b - -,d7e8
5r2/rpp1qpkp/3pb1p1/pP6/Q1P5/4P1P1/P4PBP/2R2RK1 w - -,a4d1
2rr1qk1/pb2bp1p/1pnppnp1/8/1PP1P3/P1NBB2P/3NQPP1/2RR2K1 w - -,d3b1
5k2/6p1/1n2P2p/2p2P2/1p4P1/p4K1P/1P6/4B3 w - -,b2a3
r1bqr1k1/1p3ppp/2pb1n2/2n1p3/p3P3/2P3PP/PP3PBN/R1BQRNK1 b - -,h7h6
8/5k2/5p2/8/4K3/2B3R1/5r2/8 w - -,c3d4
r1bq1rk1/pp2ppb1/2n3p1/2PpP2p/7P/P1NB1N2/1PPQ1PP1/R3K2R b KQ -,c8g4
r1bqk2r/3nbp2/p2p1Bp1/1p2p3/2B1P2p/2N4P/PPPQ1PP1/R3KN1R b KQkq -,d7f6
r1b1kb1r/1pqn1ppp/p1p5/2Ppp3/N7/3BPN1P/PP1B1PP1/R2QK2R b KQkq -,e5e4
r2n2k1/4ppbp/6p1/2p5/4P2P/1PN1P3/P3N1K1/5R2 w - -,f1d1
8/4bk1p/p5p1/Pb1n4/4N3/3p1P2/6PP/2B1K3 w - -,c1d2
rnb2rk1/ppp1b1pp/3ppn2/5p1q/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,d1c2:c1a3:f3e1
4rk2/5p2/pp1q4/4r3/P1B1p2Q/1P5P/1P4P1/4R2K b - -,b6b5
r1bq1rk1/ppp2ppp/8/2P5/Q1p5/2b1B3/PP3PPP/3RK2R w K -,b2c3
rnb1kb1r/ppp2ppp/8/3q4/5p2/5N2/PPPP2PP/R1BQKB1R w KQkq -,d2d4
6nk/2Q2pq1/pp6/3p4/3P3b/8/PP2PPB1/3R2K1 w - -,c7e5
r3k2r/pbqp1pbp/4p1p1/1Q2n3/7P/1B2BN2/PPP2PP1/R3K2R w KQkq -,f3e5
7r/r3q2p/1k1b1p2/1Pp1pPp1/1Q2P3/3PB3/6PP/R4RK1 w - -,f1b1
R7/5pk1/3pp1p1/2pn3p/5P2/1qPP2PP/4Q3/6K1 w - -,c3c4
r1b1k1r1/pp6/2p4p/2n3p1/4p3/1RN1P2N/P1P3PP/4K2R w Kq -,b3b4
2r1r1k1/pp3pp1/1b3n1p/3Q4/5B2/1N4P1/PP2PPKP/4RR2 b - -,f6d5
7k/p1q3b1/1p2Q2p/4n1p1/6P1/P4P2/1P4P1/1K1R4 b - -,b6b5
r1b2b1r/pp2kn1p/2p3pn/4pp2/4P3/2NNBPP1/PPP3B1/R3K2R w KQ -,e1c1
4rbk1/1b6/rn4p1/2pPppNp/2p1P3/2P3NP/4BPP1/1R2R1K1 b - -,h5h4
r2q1rk1/1bpnbppp/pn2p3/Bp6/3P4/5NP1/PPQ1PPBP/RN3RK1 w - -,f3g5
r1b2rk1/2nnppbp/pq1p2p1/2pP4/4P3/2N2NPP/PPQ2PB1/R1B2RK1 b - -,c7b5
1r3rk1/2pnqppp/p2pb3/4p3/PnPPP3/2Q1PN1P/B2N2P1/R3R1K1 b - -,f7f6
rnbqk1nr/p2pppbp/1p4p1/2p5/1P2P3/P1N5/2PP1PPP/R1BQKBNR w KQkq -,a1b1:b4c5
8/r1pnk2p/2p3p1/2P1PP2/1B2p1P1/p7/P1K4P/3R4 w - -,d1d4
5r1k/5p2/p2p1Pp1/2p1R3/P1P3pP/8/2P5/5RK1 b - -,d6e5
2rqk2r/3nbppp/p1bp1n2/1p2pP2/4P3/PNN1BB2/1PP1Q1PP/R4RK1 b k -,d7b6
8/5kp1/2p5/2Pp1Pp1/p2P2Pb/P3Q2N/7q/1K6 b - -,f7f8
r3k2r/pp2q2p/3p1bp1/2p1p2P/2PnP1B1/4B3/PP1Q1PP1/2KR3R b kq -,e8d8
r4rk1/1qpn1ppp/3ppn2/p7/3PbQ2/2B1PNP1/PP3PBP/R3R1K1 w - -,f3h4
r2b4/1p1q3k/1nr1b2p/pN1p1ppn/P2PpP2/1PB1P1PP/1Q4BK/2RR1N2 w - -,b2d2
8/7p/2p2pp1/3p3k/PP1qnQ1P/6r1/2R3PK/5R2 w - -,f4c7
r1bqk1nr/1p3pbp/2np2p1/p1p1p3/2P5/P1N2NP1/1P1PPPBP/1RBQK2R w Kkq a6,d2d3
