8/5p2/8/4Kpp1/6k1/6r1/8/5R2 b - -,g3e3
8/4k3/3Npp1p/2K1P1p1/5P2/6PP/8/8 w - -,d6e4
r2q1rk1/ppp1bppp/3p4/5b2/2P5/2P1BP2/PP1QBP1P/2KR3R w - -,h2h4
r3rnk1/pb2bppp/1q3n2/1p3B2/2pPP3/P1N5/1PQ1NBPP/R4RK1 w - -,e2f4
r4rk1/1bqnppb1/p5pp/P2nP3/1p1PN3/3B4/1P2N1PP/R1BQ1RK1 w - -,c1d2
6k1/4p3/K2p2p1/8/4p2P/2n5/P1PN4/8 w - -,a2a3
1r3r2/3q1pkp/p2p2p1/1pp1pb2/2Pn4/P1NP1PP1/1P2P1BP/1RQ1R1K1 w - -,b2b3
r4rk1/1p2bppn/pq4p1/2pNn1P1/8/4PP2/PPQBB2P/1K1R3R b - -,b6e6
8/4k3/4p3/4rp2/1Kp5/P1P5/1P3R2/8 b - -,e5e4
7r/8/2k5/P1p1p2p/2K4R/1P4P1/8/8 w - -,a5a6
8/2k1r3/2P3p1/1P3p1p/5P1P/2RK4/5P2/8 b - -,e7e8
r4rk1/pp4q1/2ppP3/6pp/2P1Np2/6PP/PP1B1PB1/R3R1K1 b - -,f4g3
2rr1bk1/1p3p2/p1b1p1pp/2Nn4/3P2P1/4P1BP/1P2BP2/R1R1K3 b - -,d5b4
rn1q1rk1/pbp1bppp/1p2pn2/8/2pP4/1PNBPN2/PB3PPP/R2QK2R w KQ -,b3c4
1k2n1b1/1pp1Pr2/p2r1p1p/P2p1BpP/3P4/5PB1/1PPK4/4R2R w - g6,h5g6
6k1/1pp2rp1/1p1p1p1p/1P2B3/1n2P3/P4P1P/2R3P1/6K1 w - -,a3b4
1rbq1rk1/1pp2pbp/p2p2p1/3Pp2n/2P1P3/1PN1BP2/1P1Q2PP/2KR1B1R b - -,f7f5
2rr2k1/p3qpbp/1p2pnp1/2pp4/PBPP1P2/1P1QPB1P/3N2P1/3RR1K1 b - -,c5b4
4r3/3b3k/1Q5p/2BP2pq/2P1p3/3nP3/3N1PPP/5RK1 w - -,c5d4
1rbq2rk/p3b1np/1pBp1n2/2PP1p2/2P1pP2/P1N1B1NP/3Q2P1/R4RK1 b - -,b6c5
r1b1k2r/1pq1bppp/p2ppn2/2n3P1/3NPP2/2NB4/PPP1Q2P/R1B2RK1 b kq -,f6d7
r1q2rk1/1pp1bppp/5n2/p2p4/Pn1P1B2/1Q4P1/1P1NPPBP/4RRK1 b - -,c7c6
2rr2k1/pp2b1pp/1n2p3/5p1Q/2PPNq2/2R5/P4PPP/1B1R2K1 w - f6,g2g3
8/rb3pkp/5R2/pPn1p3/1pPp4/3P4/2B3P1/1R4K1 w - -,b1f1
2r2rk1/pp2bpp1/2bp1n1p/q3p3/4P2B/2NQ1N2/PPP2PPP/2KRR3 b - -,b7b5
4rr1k/1bq4p/p1np1bp1/8/2P1P3/1N1BB2Q/P1P3PP/4RRK1 b - -,b7c8
r1bq1rk1/1pp2pb1/3p1Bpp/p1nPp3/2P1P3/2N2N2/PPQ1BPPP/R4RK1 b - -,d8f6
8/3r1k1p/p1b2pp1/8/P2B4/1P1RKP2/6PP/8 b - -,c6d5
r1bqk2r/p3pp1p/2pp1npQ/1p6/2nPP3/2N2P2/PPP3PP/2KR1BNR w kq -,f1c4
rnb2rk1/pp3ppp/4pn2/q2p4/1bP2B2/P1N1PN2/1PQ2PPP/R3KB1R w KQ -,a1c1
r4rk1/1p2q1b1/2pn1nQ1/p2pN3/3P1BP1/4PP2/PP4K1/R6R w - -,g4g5
2b4r/rp1n2bp/2p2k2/p1P2p2/N4p2/1N3P2/PPB3PP/2KRR3 b - -,d7e5
rnbqnrk1/1pp3bp/3p2p1/p2PpP2/2P5/2N3N1/PP2BPPP/R1BQ1RK1 b - -,c8f5
7q/1Q6/5bk1/5pn1/P2P2p1/4P1P1/5P1r/2R1BK2 w - -,b7d5
3q1bk1/pb3r2/r5pp/2p1p3/P3N2R/1P1PNPP1/2PQ2K1/7R b - -,g6g5
4rrk1/1p2q1pb/7p/1R5B/p2p4/P2P2P1/1Q3P1P/5RK1 b - -,h7d3
r5k1/pppqnrbp/2npb1p1/3Npp2/2P1P3/3PBPP1/PP1QN1BP/R4RK1 b - -,a8f8
r4rk1/1q2ppbp/p5p1/1p6/2nP1PPB/1N2P3/7P/R3QRK1 b - -,b7e4
5r2/p5pk/2Q5/3pPp2/1p2q3/8/PP3PPP/5RK1 w - -,c6e6
3rr1k1/ppp2ppp/7q/2P1N1b1/3P4/P1Q5/1P2BP2/3RR1K1 w - -,e2c4
3r4/2k4p/6p1/1p1R4/p3B1P1/P2PK3/1Pn4P/8 w - -,e3d2
r3nrk1/p2nbpp1/2p1p2p/2ppPb2/qP1P4/2Q2NP1/PB1N1PBP/R1R4K w - -,b4c5
2Qq2k1/p3rnpp/1p2pb2/4B3/3p4/3N1PP1/PP2P2P/2R3K1 b - -,d8f8
r1bqr1k1/ppp1bppp/2n1pn2/3p2B1/2PP4/P1N1PN2/1P3PPP/2RQKB1R b K -,a7a6
5k2/4b1pp/p7/1bB1Pp2/1P3P2/1B6/2nN1KPP/8 b - -,c2b4
rnb2rk1/ppp1ppbp/6p1/3q4/3P4/2N1P3/PP3PPP/R1BQKB1R b KQ -,d5d8:d5d6
rn1qkb1r/ppp2ppp/5n2/3ppb2/8/3P2P1/PPPNPPBP/R1BQK1NR w KQkq e6,e2e4
r2qk2r/pbp2ppp/1pn1pn2/3p4/QbPP1B2/P3P3/1P1N1PPP/RN2KB1R b KQkq -,b4d6
2krr3/p1p3pp/2p2p2/4BbN1/8/8/PPP2PPP/R4RK1 b - -,f6e5
2R5/5p1k/7p/6p1/3BPn2/2Pp4/rr4PP/5R1K w - -,c8h8
r5k1/1q1nppbp/r2p1np1/1NpP4/P1N1P3/6P1/1P1BQPKP/R6R w - -,b2b3
r1b1k2r/1pq2ppp/p2pp1n1/2b1n3/P3P3/2PB1N1P/1PN1QPP1/R1B2RK1 w kq -,f3e5
8/p5pp/1ppknp2/3p4/P2P2P1/2PNKP2/1P4P1/8 b - -,c6c5
r2qkbnr/pp1bpppp/2np4/1Bp5/4P3/1P6/PBPP1PPP/RN1QK1NR w KQkq -,f2f4:g1e2
2kr3r/1pp1qpp1/p2p1nn1/2bPp1Bp/4P2P/2NQ1PPR/PPP1N3/2KR4 w - -,c1b1
3n4/1r6/2p1pkp1/2P2pp1/R2P4/1B3PPP/6K1/8 w - -,b3c4
rn1qkbnr/pp3ppp/2p1p3/8/3PN3/5Q1P/PPP2PP1/R1B1KB1R b KQkq -,b8d7
r1bq1rk1/ppn2pbp/3ppnp1/2pP4/P1N1P3/2N5/1PP1BPPP/R1BQ1RK1 b - -,f6e8
8/p1k1b1p1/8/3pNPPN/1p1P1K2/1P6/Pn6/8 b - -,e7f8
r2qk2r/ppp1bppp/2n5/3p4/3P2b1/2PB1N2/P1P2PPP/R1BQR1K1 b kq -,e8g8
r4rk1/1bq4p/p1nRpnp1/1p6/4BP2/1NN1BQ2/PPP4P/5RK1 b - -,c7d6
1rbq1rk1/3nbppp/pppp1n2/4p3/P2PP3/2N2N1P/1PP2PP1/1RBQRBK1 b - -,f8e8
r1bq1rk1/1pp2ppp/p1np1n2/2b5/2PN4/2N1P1P1/PP3PBP/R1BQ1RK1 b - -,c6d4
rn1qkb1r/ppp1pppp/8/3p4/3Pn1b1/3BPN1P/PPP2PP1/RNBQK2R b KQkq -,g4h5
6k1/5p2/1p6/p2B1p2/3Q3P/P3K1q1/1P4P1/1b6 w - -,e3d2
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/4PN2/PP2BPPP/RNBQ1RK1 b - c3,c5d4
2rqrnk1/pp1bppb1/3p2pB/4P3/1n4P1/1NN2P2/PPP4Q/1K1R1B1R b - -,g7e5
r2qr3/pp3pkp/4b1p1/4n3/4Q3/4N1P1/PP2NP1P/R4RK1 b - -,e5c6
8/2Rb1k1p/1p1r1p2/3p3p/3P1P1P/5P2/P1N2K2/8 b - -,f7e8
4rr2/p5k1/1p6/3B1pN1/3P3n/2P5/PP4P1/5RK1 b - -,g7g6
2r1r1k1/3bbppp/p1qp1n2/1pn1p1N1/P3P3/2PB2NP/1P2QPP1/R1B1R1K1 w - -,a4b5
r2r4/4k1p1/2bpp2p/p1p4P/2P1pPP1/PR2P3/1PBK4/3R4 b - g3,e7d7
r2q1rk1/p2n1ppp/bpp1p3/3P4/3P4/P1PBP3/5PPP/R1BQ1RK1 b - -,a6d3
r3n1rk/ppnbq1bp/3p4/3Ppp2/P1N2P2/2N1B2P/1P2BQP1/2R2R1K b - -,b7b6
2rq1rk1/pb1nbppp/1p1pp3/8/3PP3/3B1NP1/PP1NQ1PP/R4RK1 w - -,a1c1
2rr2k1/1b1qbpp1/pn1p1n1p/1p2pP2/4P2B/P1N2B2/1PPNQ1PP/R2R3K b - -,b7c6
5Q2/7p/5k2/2pq1p2/4r3/P5P1/7P/5R1K b - -,f6g6
r2qk2r/pp2bpp1/2p2np1/4n3/8/1B4N1/PPP2PPP/R1BQ1RK1 b kq -,d8d1
1q6/p4k2/1p1p3p/3bbP2/1P3B2/1Q6/P3r2P/5K2 w - -,b3d5
2rr2k1/pbqnbppp/1p2p3/2p5/4P3/1P3NP1/PB1PQPBP/2RR2K1 w - -,d2d4
r1bqr1k1/2p2ppp/3p4/1B1Pn3/5Q2/2P1B2P/P4PP1/R4RK1 b - -,c8d7
2rq1rk1/3bbpp1/p1n1pn1p/1p1p4/3P3B/P1N1PN2/1P2BPPP/RQR3K1 b - -,c6a5
8/6p1/2p1k3/1pPnPp1p/8/1R6/6PP/6K1 b - -,e6e5
4r1rk/7p/4PP2/p1p2QN1/8/P2P4/1q5P/5R1K b - -,b2b7
r1bqnrk1/pp1nb1pp/2p1p3/3p1p2/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,d1b3
r3k1r1/p3q3/1np1ppp1/Q7/3P3P/1P6/P3BP2/2KR3R b q -,e8c8
8/1KB4R/p3k3/P7/8/8/8/5q2 w - -,h7h6
r3k2r/pbq2ppp/1ppbpn2/8/2PPB3/4BN2/PPQ2PPP/R4RK1 w kq -,c4c5
8/7r/7P/p4k2/3p3R/1P1K4/P7/8 b - -,a5a4
rq3rk1/1b1pb1pp/pp2p1n1/2p2p2/2P5/N1BP4/PP1QBPPP/R4RK1 w - -,f2f4
5r1k/6bp/2R5/q2p4/pN1ppP2/P5P1/1P5P/5Q1K b - -,d4d3
