8/7p/P2R1pk1/8/r2p4/8/5K2/8 w - -,a6a7
3r1r2/p1kb4/Bp4p1/2qpPpPp/P2Q1P2/2P5/7P/R4RK1 b - -,f8e8
r2r2k1/pp2bpp1/1nn1p1p1/q3P3/2p1NP1P/2B3P1/P1PP2B1/R2Q1R1K b - -,a5a3
r2qkb1r/p2b1ppp/2p2n2/3pN3/3Q4/2N5/PP3PPP/R1B1R1K1 b kq -,f8e7
5k2/1R6/3pp2p/1P5N/4n3/5N1P/r3KbP1/8 w - -,e2f1
1knr3r/1ppbb2p/p3pp2/8/1PNP1P2/P7/1B2B1PP/R4RK1 w - -,e2f3
6k1/1R2bp1p/1p1pp1p1/1q1n4/3Q1P2/3P4/6PP/6NK b - -,e7f6
5rk1/p4pb1/4r1p1/1pp3Pp/4PR1P/1PBP4/1P4K1/5R2 b - -,e6e7
8/8/8/6K1/5RP1/3q2P1/k7/8 b - -,a2b3
3r2k1/5ppp/8/3qP3/pPQ5/6P1/7P/2R3K1 b - -,d5e5
bqr3k1/3n1pbp/2pppnp1/Np6/4P3/Q1PP1NP1/1P1B1PBP/5RK1 b - -,c6c5
r3k2r/1bqnbp1p/2p1p1p1/1pPpP3/pP3P2/6P1/PB1NP1BP/R2Q1RK1 w kq -,e2e4
5rk1/2pbqr1p/1p1n2p1/p1pPp3/P1P1PpP1/1PNR3P/3Q1PB1/R5K1 w - -,f2f3
r2r1bk1/p1pq1ppp/4nn2/3P4/8/P1N1B3/1P3PPP/RN1Q1RK1 b - -,f6d5
r6r/1p1bkppp/p1nppn2/8/2P5/N1B3P1/PP1RPPBP/2K4R b - -,h8d8
4k3/p1p2r1p/8/1R3pQ1/5P2/7P/PP4PK/2q5 w - -,g5g8
8/5kp1/2R4p/4p3/1r4P1/4KPP1/2P5/8 w - -,c2c4
3r2k1/2q1r1bp/4P1p1/1PP2p2/3p1p2/3Q3P/1B2RPP1/4R1K1 b - -,f4f3
r2qk2r/1p2ppbp/p1np1np1/1N6/2P1P3/2N4P/PP2QPP1/R1B2RK1 w kq -,b5a3
2rq1rk1/pp2bpp1/3pb2p/8/3PQ3/2N4P/PP3PP1/R1B1R1K1 b - -,d6d5
1rr3k1/pb2q1bp/1p1np1p1/3p1p2/3P1P2/P1N1P1P1/1P1N1RBP/2RQ2K1 b - -,b7a6
1k1r3r/p3b1pp/1p2p3/4Pp2/1n3P2/2N1B2P/PP2K1P1/1R1R4 w - -,b1c1
r1b2rk1/ppq2ppp/2nb4/3p4/8/PN6/1PPBQPPP/1K1R1B1R w - -,e2h5
r1bq1rk1/4bp2/ppn3p1/3pPp1p/3P1P2/5NP1/PP2Q2P/R1BR1NK1 b - -,d8d7
r2qk2r/pp1b1ppp/1n1bp3/n7/2pP4/2P2N2/PPBNQPPP/R1B1K2R w KQkq -,f3e5
5k2/3n1pp1/4p2p/8/4Nn2/1R3P2/2r2P1P/5RK1 b - -,f7f5
2r1k3/pp3npp/1r3p2/2NRp3/8/2P2P2/PP1R2PP/6K1 w - -,g2g4
r1bq1rk1/3nbpp1/3p3p/p1pP4/Pp2Pn2/1P1B1N1P/1BQN1PP1/R3R1K1 w - -,d3c4
1rb1k2r/2qpbpp1/p1n1pn2/1p5p/3NP3/2N1BP2/PPP2QPP/1K1R1B1R w k b6,f2g3
rn1q1rk1/1p3ppp/p4n2/2pPQ1N1/P1B3b1/2N5/1P3PPP/R4RK1 b - -,b8d7
r2qk2r/1b1nbppp/p1p1pn2/1p2P3/P2P4/3B1N2/1P3PPP/RNBQ1RK1 b kq -,f6d5
7r/1pk5/p2p4/1P1PnPB1/3p3P/1R4K1/4r3/6R1 b - -,a6b5
2r3k1/1p3ppp/p4n2/8/2rQ4/P1N5/1P3PPP/R1R3K1 b - -,c4d4
3r1r2/pp6/2nP2Q1/2pk3B/7P/8/PP1q1PP1/5RK1 w - -,f1d1
8/4k3/6p1/1P1b3p/3N1PpK/8/8/8 w - -,b5b6
r2q1rk1/1p2bpp1/n1p1pn1p/p2p1b2/2P5/PP1P1NP1/1B1NPPBP/R2Q1RK1 w - -,f1e1:h2h3
2r2rk1/p1q1bppp/b2p1n2/2p1p3/2PnP2N/2Q3P1/PP3PBP/R1B1RNK1 b - -,g7g6
5rk1/pR3ppp/4p3/8/P1r5/5PP1/R4K1P/8 b - -,f8a8
8/3k4/1rn2r2/p2p3p/Rn1P3P/5N2/5PP1/1R4K1 w - -,f3e5
r2q1rk1/5ppp/2pbbn2/p2p2B1/8/P2B1Q2/1PP1NPPP/R3R1K1 b - -,h7h6
r1bqr1k1/1p4bn/3p2pp/p1pPpp1n/2P1P3/1PNBBPP1/P2Q2NP/1R2R1K1 b - -,h7g5
R7/6kp/8/3r2P1/PP5P/4p3/r5P1/4R1K1 w - -,e1e3
rn1qk1nr/pp3pbp/4p1p1/2ppP3/P2P4/3B1Q1P/1PP2PP1/RNB1K2R w KQkq -,c2c3
8/1qN2rkp/1r4p1/p7/2Rb1P1P/6P1/1PR1Q2K/8 w - -,c7e6
r3k2r/1ppqbppp/p1n1b3/1B1pP3/5B2/2P1Q3/PPP3PP/2KR2NR w kq -,b5e2
6k1/4b1p1/pp2pn1p/2p1p3/P1P1P3/5PP1/1P1BB2P/6K1 b - -,g7g5
7r/2P5/2K3p1/5p1p/7R/6P1/7P/6k1 b - -,g6g5
R7/5pKP/8/1k6/ppp5/7r/1P3P2/8 w - -,h7h8q
r2q1rk1/ppp3bp/2np1np1/8/6PN/2p3P1/PPP3BP/R1BQ1RK1 w - -,b2c3
8/8/p7/1p6/3b1R2/1P1k2BP/7K/r7 w - -,h3h4
r1bq1rk1/p3bppp/1p2pn2/2np4/2P2B2/2N1PN2/PPQ1BPPP/R4RK1 b - -,c8b7
8/2Bn3p/6p1/4pp2/7P/3k1KP1/5P2/8 b - -,e5e4
r1bq1rk1/bpp1nppp/p2p1n2/4p3/2P5/P1NPP1PP/1P2NPB1/R1BQ1RK1 b - -,c7c6
5n1r/6p1/4Pk2/2pP4/B7/1P1K2R1/8/8 w - -,g3f3
6k1/5p2/p2p2p1/2pP2P1/3b1P2/P4QK1/1rqR4/4B3 b - -,c2b1
2q3k1/p3bppp/1p6/3pP3/8/1P1Q2P1/PB3P1P/6K1 b - -,c8c6
1r2r1k1/bbp2pp1/p1n2q1p/P2Bp3/1pQ1P3/1N3N1P/1PP2PP1/R3R1K1 b - -,c6d4
2r3k1/4qpb1/Q3p2p/6p1/2rPP3/6P1/P2K1PP1/3R3R b - -,c4d4
1b1r1qk1/pp3p1p/1np1r1p1/3nP3/3PNP2/P5P1/1BQ3BP/4RRK1 b - f3,f7f5
1q3rk1/1rpbppb1/3p2pp/3P4/1P6/1Q4PP/1NR1PPB1/2R3K1 w - -,b2d3
1r4k1/2q2ppp/p4n2/2b1p3/4P3/2Pb1B2/1P1Q2PP/2N1RN1K b - -,d3b5
8/8/6k1/1p6/1P2RPKP/2r5/8/8 b - -,c3c1
rnb2rk1/pp2qpb1/5npp/1NpPp3/1p2P3/4B3/P2NBPPP/R2Q1RK1 w - -,d5d6
r3k2r/pp1n1ppp/1qpbp3/3p4/P2PBP2/1P4PP/2P1P2K/RNBQ1R2 b kq -,d5e4
8/8/6p1/2bp4/2k2K2/7P/5B2/8 w - -,f2e1
2rq2k1/p5pp/bp3b2/3B3Q/P2P3P/1P4P1/1r2NR2/R5K1 b - -,g8h8
8/1P6/5k2/1R3N1p/2p1b2P/3r2P1/8/2K5 b - -,e4b7
2r2rk1/pp1n1ppp/6b1/n3p3/q1pPP3/P1P2PP1/QB4BP/1N2RR1K b - -,a5b3
2b2kr1/2p2p2/2Pp4/r2PpP2/pp2P1qp/5R2/1P3QB1/R6K b - -,g4e4
1rr3k1/3q1pbp/2n3p1/3p4/R2P4/2P1BQ1P/3N1PP1/4R1K1 w - -,e1a1
2r2rk1/pp2p1bp/2n1b1p1/Q2p4/3P2P1/4BP2/PP2N1BP/2R2RK1 b - -,c6a5
6k1/8/4pR2/p2p2pp/P2B4/2Pb4/6KP/r7 w - -,f6e6
2r3k1/5pp1/2pq1n2/1pNp1PP1/3P4/Q7/7P/4R1K1 b - -,f6e4
2R3k1/1p4pp/pQ2qp2/3b4/3Bp3/1P2P2P/P4PP1/6K1 b - -,e6c8
6k1/8/8/6P1/8/1r2R3/5K1P/8 b - -,b3b4
r1bqr1k1/ppp3bp/2np4/2n2p2/2P2P2/2N1BR2/PPNQB1PP/R5K1 b - -,c8e6
rn4k1/pp5p/3pr1p1/2p5/2P5/P1P5/4BPPP/R4RK1 w - -,e2f3
3r1k2/6p1/6p1/1r6/8/5P2/2R2KPP/4N3 w - -,c2e2
1k1r2R1/pp1b3p/2ppnq2/5p2/2PP1P2/3B3P/PP2NQ2/1K2R3 b - -,d8g8
4rk2/4R3/1ppR1P2/3b3p/2P2p2/1P3P1P/P4KP1/4r3 b - -,e1e7
r4rk1/p1q2p1p/1p3Bp1/3Q4/2n5/8/PP3PPP/R4RK1 b - -,c7d6
r3r1kb/1pq2pnp/3np1p1/1P1pN1PP/2pP1P2/p1P1P3/P5Q1/1R1BBRK1 b - -,g7f5
3r2rk/1pq1pp1p/pN1p2p1/PnpPbP2/2Q1P3/2P4R/1P4PP/2B1R1K1 b - -,g6g5
5R2/6pk/7p/1K6/p5PP/r7/8/8 b - -,a3g3
8/8/2p5/3nk1pp/4p2P/6P1/2PK2N1/8 b - -,g5h4
1r2r2k/1pn1qpbp/p1b2n2/P2p1PBB/2pN3Q/2N3R1/1PP3PP/R5K1 w - -,g3e3
r3n1k1/p7/2p1p3/3PPp2/6p1/4P1Pp/P2N1P1P/1R3bK1 w - -,g1f1
r3kb1r/ppp2pp1/2n1pn2/q4b1p/8/2NP1NPP/PPP2PB1/R1BQK2R w KQkq -,e1g1
r3k2r/pp1bqp2/2n2n1p/2b3p1/8/2N2NB1/PP1QPPPP/3RKB1R b Kkq -,g5g4
1r4k1/2R2Bp1/4pp1p/5P2/1p1Pb3/8/6PP/6K1 b - -,g8h7
8/1pk5/p1p2rn1/3p1NRp/3Pp3/2P3PK/PP5P/8 b - -,h5h4
8/6k1/r7/7K/3R1p2/5P2/8/8 w - -,h5g5
8/R4pp1/6kp/3P4/Pr6/7P/5PP1/6K1 b - -,b4d4
8/p4N1p/4Q1p1/2q1Pp2/3p1k2/1P6/K7/8 w - -,e6d6
3rr3/1p1qnpk1/4N1pp/p1ppP3/6P1/2P1Q2P/PPB2P2/R3R1K1 b - -,d7e6
3r2k1/2q1bppp/1n6/pp6/2p2P2/2N1P3/PPQ2PBP/3R2K1 b - -,d8d1
4k3/8/4K3/5P2/7b/B7/8/8 b - -,h4g5
3r1rk1/pb1nqppp/1p1bpn2/2pP4/3P4/1PN1PN2/PBQ1BPPP/3RR1K1 b - -,e6d5
2bqrr2/2p3k1/2np2pp/p1p5/2PnNNP1/P2P2Q1/1P4BP/4RRK1 b - -,c6e5
r1b4r/pp2kp2/1b1ppp2/7B/1P2PqQ1/6N1/P2P1PKP/2R2R2 b - -,f4h6
5rk1/3nnppp/p3p3/1p6/1P1N4/P5P1/2R1PPBP/6K1 b - -,e7d5
1n6/pp3p2/3pkP2/4p3/6Nr/2P4r/PPK3RP/5R2 w - -,g4f2
1Q4k1/6p1/4p1q1/p2r1p2/5R2/P5P1/1P3PKP/8 b - -,g8f7
r3kb1r/ppqn1ppp/2p1pnb1/8/2NP2P1/2N4P/PPP1BP2/R1BQ1RK1 w kq -,f2f4
3R4/1pp2rp1/p2n3p/8/1Pk4P/6P1/6K1/4B3 b - -,f7e7
4r1r1/p3nb1k/1pnBp1pp/q2pPp2/P1pP1PP1/2P1NB1P/2P4K/R3Q1R1 w - -,g1g2
5rk1/3n1ppp/r3p3/p2pP3/N2Q1P1q/2R5/PP4P1/1K1R4 w - -,c3c7
r1b1kb1r/1p1npp2/p1p2n1p/q2p2p1/3P4/2N1PQBP/PPP2PP1/R3KBNR w KQkq -,f1d3
r1b2rk1/pp1nq1pp/2pbp3/P2p1p2/2PPn3/BP1BPN2/5PPP/RN1Q1RK1 w - -,a3d6
4rrk1/p2q1nb1/np1p2pp/2pP1p2/P1P5/1QNBP1B1/5PPP/4RRK1 w - -,f2f4
8/8/4k1p1/2rn1p1p/1N1R3P/6P1/8/6K1 w - -,b4d5
7k/1b4rp/p7/2p1n3/3pp3/PP6/2P1R1PP/4N2K w - -,e2f2
6k1/5p1p/6p1/1P3b2/8/5BP1/1Q2r2P/2R4K b - -,e2b2
rn2nrk1/pb2qp1p/1p1p2pP/2p1p1P1/2P5/1PQ2N2/PB1PPPB1/2KR3R b - -,b8c6
2r3k1/5pp1/r1q1p3/P6p/2p4P/2Q1P1P1/R4P2/R5K1 b - h3,c8d8
8/4bB1p/2b2p2/p1p2k2/1p6/3NK3/PPP4P/8 b - -,e7d6
2rq1rk1/1b1nppbp/ppnp2p1/8/1PP1P3/P1N1QN1P/1B2BPP1/1R1R2K1 b - -,c6e5
2kr3r/pp1q1p1p/2pb4/5b2/P4Q2/2N3P1/1P2PPBP/R3K2R w KQ -,f4c1
1k1r4/pp6/2p5/2Rrq1p1/PP1p3p/5QP1/4PP1P/2R3K1 b - -,h4h3
5rk1/pq2bp2/1p2p1p1/2p1P2p/P2r1P2/1P1P2P1/3N1Q1P/R2R2K1 w - -,f2f3
k1r4r/1p2n1pp/p7/Q4q2/4N3/4P2P/PP3P2/1K1R3R w - -,a5f5
5k2/8/3n1PKp/p5p1/1p4P1/1P4P1/6B1/8 w - -,g6h6
1k2r3/p2q2p1/1p4p1/3p1pb1/1PnP3P/2PQPN2/1KN3P1/R7 w - -,b2b1
rn1qkb1r/1b3ppp/p2ppn2/2p5/1p2PP2/3P1NP1/PPP1N1BP/R1BQK2R w KQkq -,e1g1
8/8/5nk1/4R3/r7/5NP1/6K1/8 w - -,e5e2
2r1r1k1/pb1n1pp1/1p2pq1p/8/3PP1Q1/3B1N2/P4PPP/3RR1K1 w - -,e1e3
r1bq1rk1/pp1n2bp/4p1p1/2pp1p2/2PPn3/1P2PNP1/PB1N1PBP/R2Q1RK1 w - c6,c4d5
7R/1p3k1p/p1pK2p1/5p2/P1P1r1P1/7P/8/8 b - -,f7g7
2r2r2/pp2ppkp/5np1/2P1Nb2/3R4/1B2P3/P3KPPP/2R5 b - -,c8c7
2b2rk1/3n3p/2Np1q2/1B1Pp1p1/P3Pp2/4bP2/4Q1PP/2R2R1K w - -,c1c3
7k/pp2q1pp/2n1r2r/5N2/Q1pP1Pb1/P3P3/1BB2K2/R6R b - -,g4f5
2rqkb1r/pp1nnpp1/2p1p2p/3pPb2/3P4/1NP2N2/PP2BPPP/R1BQK2R w KQk -,h2h3
3q1rk1/5p1p/p2pbnpb/n1pN4/2P2P2/6P1/PQ1NP1BP/R4RK1 b - -,h6g7
4r1k1/1pq2p2/p1pR1npp/P1P1p3/1P2P2P/6P1/3N1PK1/Q7 b - -,c7e7
r4r1k/1b3pbp/1Q4p1/pP4q1/P2Pp3/1B2P3/5PPP/2RR2K1 w - -,b6b7
8/kp3p2/p1p1b3/P2pQ1p1/1P1P4/2P2q2/1KB5/8 w - -,e5g5
2k5/5N2/8/3n1K2/4N3/5P2/6P1/8 w - -,g2g4
r2qkb1r/pp2nppp/2n1p3/3pPb2/3N4/4BN2/PPP1BPPP/R2QK2R b KQkq -,f5e4:f5g4
r1b1k2r/pppp1p1p/2n2np1/2q5/2P2PP1/2N4N/PP2P2P/R2QKB1R w KQkq -,g4g5
2br1b2/1p3k1p/p1n1ppp1/3p4/1P1P2P1/2PN3P/1P2RPB1/R5K1 b - -,d8d6
2rq1rk1/pp2ppb1/nnp1b1pp/8/3PPB2/2N2N2/PP2BPPP/2RQR1K1 b - -,e6c4
r3k2r/ppq1bppp/3p4/3Qp3/4P3/3R1N2/PPP2PPP/2K4R b kq -,e8g8
r1bq1r2/4npkp/pp1p2p1/nPp1p3/2P1P3/3P1NP1/P2Q1PBP/RN3RK1 b - -,a6b5
6k1/4ppb1/p1n2npp/1p6/2b1P3/P1N1BNPP/1P1q1PB1/6K1 w - -,e3d2
r1q2r2/1p2ppkp/3p2p1/p1nQ4/2P5/1P3BP1/P3PP1P/R3R1K1 w - a6,a1b1
2rr2k1/5pp1/p3p1b1/4P3/1p1P4/4B2P/PP3q2/K1R3R1 w - -,e3f2
3qk2r/p3bpp1/1pb1p1p1/3pP3/1P3B2/P1P5/5PPP/2RQR1K1 w k -,d1d2
rnbq1rk1/2Q1ppbp/p4np1/1p6/3PPB2/2N5/PP2BPPP/R3K1NR b KQ -,d8c7
1rb1n1k1/2qnrpbp/3p2p1/1ppP4/1P2PP2/2N2B1P/3N2PB/2RQ1R1K b - b3,c5b4
1rq1r1k1/p4ppp/4n3/Q2R4/2p1P1B1/1P6/P1P2PPP/1K1R4 b - -,c8c6
2r1k2r/1b2np2/p3p1p1/1p2P1Np/4pP1P/8/PPP1N1P1/1K1R3R b k -,e4e3
r1b1r1k1/pp3ppp/3B4/8/4qP2/3Q4/P5PP/2R2RK1 w - -,f1e1
8/p7/Pp1B1k2/1b3P2/3R2B1/2pP3P/2P4K/4r3 w - -,d6f4
r1bqkbnr/pp1p1ppp/2N5/4p3/8/6P1/PPP1PP1P/RNBQKB1R b KQkq -,d7c6
1b2qk1r/p7/Qp1rp2p/3p1p2/5P2/5NP1/PPP4P/2KRR3 b - -,h8h7
1r3rk1/pp3pbp/2n3p1/q1P1pbB1/2P4P/P2P1PP1/4N1BK/R2Q1R2 b - -,a5c5
rn2kbnr/1pq1pppp/p2p4/2p5/3PPBb1/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1e2
4q3/3b2k1/2pQ4/2P1p1p1/p1B1P2p/P4P1P/3K2P1/8 w - -,d2c3
r4rk1/ppqbn1pp/2nb1p2/3p2B1/8/1N3N1P/PPP1BPP1/2RQR1K1 w - -,g5e3
2kr4/ppp3pp/1n1rbp2/1B2p3/4P3/2P2P2/PPKN2PP/R2R4 w - -,b2b3
3qr1k1/2p2pp1/7p/p1bP4/2P1n3/r3NQBP/PR3PP1/3R2K1 w - -,d1e1
8/2P2k2/2K3pp/8/4R1P1/7P/8/2r5 w - -,c6d6
5r2/4kpp1/4p2p/3pP2P/bqpP1RP1/8/2P2P2/2QK1B2 w - -,f4f3
r4rk1/2R2p1p/1n1P2p1/p7/Bp1R4/7P/1P3PP1/6K1 w - -,a4c6
6k1/3q2b1/pR6/2pPp1p1/2P2rN1/5P2/P3Q1K1/8 w - -,b6e6
r1b2rk1/1p1pbppp/p1n1pn2/q7/2P5/1PN3P1/P1N1PPBP/R1BQ1RK1 w - -,c1b2
6k1/p4p1p/4p1p1/np6/4BPP1/Prp1P2P/1P1R1K2/8 w - -,b2c3
6k1/3n1pp1/2p2n2/4q1Np/p1P2NbP/P5P1/1P3QB1/7K w - -,g2c6
4r3/3b1pk1/6pp/3P2P1/3R4/7P/6BK/8 w - -,g5h6
2rq3k/p1pn2p1/bp1p2np/3N1B2/2P2P2/1P4PN/P2Q3P/4R1K1 b - -,g6f8
1r4k1/pr2qpp1/4p2p/R2nP3/2N5/1P1Q3P/5PP1/R5K1 w - -,a1a3
1rb1kbnr/p2pp2p/1p3p2/4q3/3QN3/1NP2P2/PP4PP/R3KB1R w KQk -,e1c1
8/6k1/5pp1/5q2/P2Q4/1r3P1p/5R1P/6K1 w - -,f2f1
2qrr1k1/6pp/2n2b2/p1p1p3/1pP1Q3/3PPN2/P4P1P/BR1R1K2 w - -,f1g2
r2q4/pp3k1p/2pp2pB/3p1p2/2PQ4/2P3P1/P3P1KP/R7 b - -,d8e7
3b3R/4kr2/1p1p4/3P4/2P4p/7P/4B1K1/8 w - -,h8h4
6k1/1p2ppb1/3p1np1/1P1P3p/2B1P3/pN2BPPb/P7/6K1 b - -,f6d7
r5k1/p1rq1pbp/1p2p1p1/1R6/3P4/4PP2/P3QP1P/1R5K b - -,a8c8
6k1/p4r1p/4pp2/3p1p2/3P1P2/1r2P1P1/2R1R1KP/8 w - -,c2c6
5k2/1p2qp2/p3b2r/2p3pp/8/2N1Q2P/PP3PP1/4R1K1 b - -,b7b5
8/3k4/1P6/2pp1n1p/3p1P2/P4K2/8/4B3 w - -,a3a4
2r5/2r1kp1p/p2p1n2/4pP2/4P3/1NqPQ3/PR5P/1KR5 b - -,c3b4
q7/1pp2k2/3p1bp1/3Pp3/p1P1Q1P1/4B3/PP3P2/2K5 w - -,c1c2
r2qnrk1/pppn1ppp/8/2bPp3/2P1P3/P2BNQ1P/1P4P1/R1B1K2R b KQ -,e8d6
4rbk1/1p5p/1qpprnp1/p1n2p2/2P5/BPN1P1PP/P1QR1PBK/3R4 w - -,d2d4
5rk1/5pbp/2R3p1/r1N5/P2pP3/q4QP1/5PKP/5R2 b - -,a3c3
8/5K2/6P1/7p/5n2/8/1pk4P/5R2 b - -,f4g6
6k1/p4ppp/1p6/1Q1N4/4PP1q/Pn3P2/R4KP1/2r5 w - -,f2e3
r1bqr1k1/pppp1pp1/2n2n1p/8/2BNP3/8/PPPQ1PPP/RN2R1K1 w - -,d4c6
8/8/1p6/1K6/2P5/1P3pk1/8/8 w - -,b5b6
1n1rk3/p4pbp/b7/4pNNp/4P3/B1P3P1/5P1P/R5K1 b - -,g7f8
r3qrk1/3nbppp/b3p3/2ppP1N1/pp1n1BQP/3P2P1/PPP2PBN/2R1R1K1 b - -,b4b3
1r2rbk1/pnpq1ppp/8/3PP3/Pn3P2/Np4P1/1B2Q1BP/R2R2K1 w - -,a3b5
