8/p7/8/p1N1p2k/P3P1p1/1P6/6K1/4b3 b - -,h5h4
4k3/2rnq2p/p1R3pP/5p2/3Q4/4P1P1/5P2/2R3K1 b - -,c7c6
2kr1n1r/pbpqbp1p/1p2pp2/3P4/2P5/5NP1/PP2QPBP/R1B1R1K1 b - -,e6e5
2r3k1/p3qpp1/5n2/1pp2Q2/8/PBP4P/1P3PP1/3R2K1 b - -,c8c7
2k5/1p3p2/p1p1p3/4n1p1/5q1p/PBQ2P1P/KPP3P1/8 w - -,c3c5
1r1qk2r/p1nbppbp/1pn3p1/2p5/Q3NB2/3P1NP1/PP2PPBP/R4RK1 w k -,a1b1
2rr2k1/pp3ppp/q3n3/8/3BP1PP/2P2P2/P2Q1K2/1R5R w - -,h1d1
3q1bk1/pb5p/npr5/P1pP2N1/1nP3B1/6BP/1P1Q2P1/5RK1 b - -,c6f6
rnb1k2r/pp2bppp/1q3n2/3p4/2Bp4/1P3NB1/P1P1QPPP/RN3RK1 w kq d6,c4b5
r2qk2r/1pp2ppp/p1npbn2/2b1p3/4PP2/2NP2PP/PPP1N1B1/R1BQK2R b KQkq f3,h7h6
r4rk1/1p4qp/n1p1p1p1/Q2p1p2/2P2P1P/1P2PP2/P1P5/1K1R1B1R b - -,a6c7
1r6/3k1pp1/2n1p2p/2Pp4/4n3/6PP/5P2/RrR1NBK1 b - -,b1c1
6r1/1p3r1k/pR2b3/3Np3/2P1Pppq/3R1Pb1/P3Q1P1/5NK1 b - -,g8g6
rn1q1rk1/1bpp1ppp/1p2pn2/p7/1bPP4/1PB2NP1/P3PPBP/RN1Q1RK1 b - -,d7d5
3r4/1q1r2kp/1p1PQ1p1/p7/8/P2R3P/1P3PP1/3R2K1 w - -,d3e3
r3k2r/ppqn1ppp/4p1b1/1Bp5/P2Pn3/B1P2N2/4QPPP/R1R3K1 b kq -,e8g8
8/1Nk2pp1/7p/4pP2/1K2P1P1/4nB2/7P/5b2 w - -,b7c5
4r3/4bkp1/7p/p1p5/2Pp1P2/1P4P1/P2B1K1P/4R3 b - -,a5a4
8/2r1bpk1/6pp/pBp1Q3/PpP1P1qP/1P1R2B1/6K1/8 b - -,e7f6
rn4k1/ppp3pp/1n6/3p1r2/3P4/P1P2P2/6PP/1RB1K1NR b K -,b8c6
r3kb1r/2qb1p2/4pPp1/3p4/7P/1NP2P2/P1P2Q2/1KBR2R1 w k -,g1e1
1r2r3/p1qb2bk/1p3pp1/2pPp2p/P1N1P3/1Q3PBP/1P4P1/R3R1K1 w - -,g3f2
r1bq1rk1/pp1nppbp/2p3p1/P7/Q1pP4/2P2NP1/4PPBP/R1B2RK1 b - -,e7e5
r1b2rk1/p1p2ppp/5n2/4q3/2Q5/6P1/PP2PP1P/RNB2RK1 b - -,c8e6
1r3rk1/1q1nbppp/p3pn2/1Ppb4/2NP4/1Q3NP1/1P2PPBP/R1BR2K1 w - -,b3c2
rnbq1rk1/pp3pbp/4p1p1/2pnP3/4BP2/2P2N2/PP4PP/RNBQK2R w KQ -,e1g1
r2qr1k1/pp1nbppp/2p2n2/3p2B1/3P2b1/2NB2N1/PPPQ1PPP/R4RK1 w - -,f1e1
2kr3r/pppb2R1/2np4/8/4P2p/PNQ2n1q/1PPB4/2K2BR1 b - -,h3e6
3qrrk1/1pb2pnp/p1p1p1p1/2Pp1n2/1P1P1P2/P1B2PP1/1N1Q1K1P/2R1RB2 w - -,a3a4
4k3/nr4p1/3B1b2/1p3p1p/3N1P1P/1P6/P1K3P1/3R4 b - -,f6d4
8/7p/6pP/3k2P1/P1n2K2/4B3/8/8 w - -,e3f2
3r1rk1/1p2bpp1/2n1p2p/p3P3/1q1PQ3/1N3N2/PP4PP/2RR2K1 w - -,e4e3
r1b1r1k1/1p1nq1bp/p2p4/2pP3p/P7/2NQP2P/1P1N2PB/R4RK1 w - -,a1e1
r5k1/1p2qpp1/1Q5p/p3p3/3nN2P/P3P1P1/1P3PK1/3R4 b - -,d4e6
1r1q1rk1/2nbppbp/3p2p1/Pp6/1P2P3/2N1P1PP/4N1B1/1R1Q1RK1 w - -,d1d3
r4rk1/pp2b1pp/2n1bp2/2p1p3/4P3/2P1BNPP/PP3PB1/R3K2R b K -,e6c4
r1b2r2/2qnnpbk/p2pp1pp/1pp4P/3PP3/1BP1BNN1/PP3PP1/R2QR1K1 b - -,c5c4
r7/5k1P/2n1p1p1/Bp2Ppn1/2pP1N2/8/8/R5K1 w - -,d4d5
r1b1k1nr/pp2npb1/1qp3pp/3P4/3N3B/2N5/PPP2PPP/R2QKB1R w KQkq -,d4b3
r4knr/1pqb3p/p1n1p3/2bpP1BQ/8/2PB4/PP3PPP/RN3RK1 w - -,h5f3
2r2rk1/3R1ppp/p1q1p3/1p6/1QP2P2/P5P1/7P/3R2K1 w - b6,c4b5
5rk1/1prnqppp/p2b4/2pPp3/4P3/1PQ1BP2/P1R1B1PP/2R3K1 w - -,c3e1
2r5/1p2rpkp/1q1p1bp1/pP1B1p2/P1PP4/6P1/2RQ1PKP/3R4 b - -,h7h6
r1bqr1k1/1p3ppp/2pb4/p1n1p3/2P1P3/4BNP1/PPQ2PBP/R4RK1 b - -,d8c7
r1b2rk1/3p2pp/p3p3/3n1p2/P1B5/1P6/qB1Q1PPP/5RK1 b - -,d5b6
r2q1rk1/pp1n1ppp/5n2/2bP1bB1/4p3/2N3P1/PP2PPBP/RN1Q1RK1 b - -,h7h6
r1bqr1k1/1p3ppp/p1pb2n1/3p4/NP1P4/3BPN1P/P1Q2PP1/1R3RK1 w - -,f1c1
r1b2rk1/2qnbppp/1pp1p3/2Pp4/1P1P1P2/2NB1NP1/5P1P/R2Q1RK1 b - -,c8b7:a8a1
r1b1k2r/pp2ppbp/2n2np1/2p5/4PP2/2P2N2/PP4PP/RNBBK2R w KQkq -,b1d2
r1bqk2r/pp1nnp2/7p/2pP2p1/2P3P1/2P2N2/P3BP1B/R2QK2R w KQkq -,e2d3
rnbq1rk1/ppp1ppbp/5np1/8/2pPPB2/2N2N2/PP3PPP/2RQKB1R b K e3,b7b5:c8g4
8/5k2/6pP/2p3K1/2P5/1p6/8/8 b - -,b3b2
r1bq1rk1/p1p1npbp/6p1/3p2B1/8/2N3P1/PPQ1PPBP/R3K2R b KQ -,c7c6
r2qr1nk/p1pb4/1p4pb/3PPp2/5p1P/BQN2P2/PP2B3/2KR3R w - -,e5e6
6k1/2n4p/pp1pp1p1/8/2P1PP2/8/P3BKPP/8 w - -,e4e5
8/1ppk4/8/p6N/2PPK2n/1P6/P7/8 b - c3,h4g6
8/1p3r1k/p2q2p1/3p3p/1P1Pp1bP/P2r2P1/RQ3PBK/4R3 b - -,d6f6
r1bqk1nr/pp1n1p2/4p2p/2ppP3/3P4/P1P2P1N/2P2BP1/R2QKB1R b KQkq -,d8a5
r1b1k2r/1p2ppbp/p1nq1np1/8/2BP4/2N2N1P/PP3PP1/R1BQR1K1 b kq -,e8g8
rn3rk1/1b2bppp/pq2pn2/1pp5/3P4/2N1PNP1/PPQ2PBP/R1BR2K1 b - -,b8c6
2Nr2k1/3R1p2/pp4p1/1b2P3/6P1/2R4P/1PP5/1K6 b - -,d8d7
r7/6p1/1p1k3p/2pPpp2/P1Pn4/1P6/3K2PP/2RB4 w - -,d1c2
r1bq1rk1/1p4bp/p2p2p1/2pPnp1n/P7/N1N1P1P1/1P3PBP/R1BQ1RK1 b - -,c8d7
2rq2k1/pp1b1pbp/3pr1p1/P7/2n5/1NP5/1P3PPP/R1BQRBK1 w - -,e1e6
1r3rk1/7p/2Bpb1p1/8/Pp3P2/4b1P1/4N1KP/1R1R4 b - -,f8c8
5rr1/1ppnk1pp/p2bpn2/4p3/4P3/4BP2/PPPNKNPP/R6R b - -,g7g5
8/1p3k2/2b1Rp1p/5P2/2P2K1P/6P1/4B3/2r5 w - -,e2h5
6k1/5Qp1/3Np2p/p3qn2/Pp6/6P1/1P3P1P/6K1 b - -,g8h7
8/8/p1b1pP2/1pk1P3/7R/2N5/P1P2r2/3K4 b - -,b5b4
5rk1/1pqr2p1/2p1pb1p/p6N/Pn1pR1P1/1P1P3Q/5P1P/2B2RK1 w - -,e4e6
rn1q1rk1/5ppp/b3p3/Q2n4/3P4/6P1/1P1NPPBP/RN3RK1 b - -,d8a5
6k1/1R4p1/1p3b2/p3ppN1/5P1P/Pr6/6PK/8 b - -,f6g5
2rq2k1/3b1nn1/R2p1b2/1p1P3p/1B2Q3/2P1NN1P/2B2P2/6K1 w - h6,e4h7
8/3k1pB1/1np5/1p5r/3PP2P/1R3P2/5K2/8 w - -,g7f6
1r4k1/p2q2bp/3p2p1/1p1Pp3/1Pp1P3/P3BKP1/4N2P/1R1Q4 b - -,d7h3
r3n1k1/2bN1p2/2N1p2p/3n1rp1/8/p5P1/3R1P1P/B1R2K2 b - -,c7d8
r1q2r1k/1p1bp1bp/1B1p2p1/3P2Q1/pR6/3B2P1/P3PP1P/5RK1 b - -,c8e8
1k6/8/r7/6PP/8/2n3K1/p7/R7 w - -,h5h6
r1bq1rk1/p5bp/5p2/3ppn2/3P2p1/1RP5/1PQB1PPP/R1N1N1K1 w - -,c1e2
1r1q2k1/1r3ppp/R2np3/3p4/P2P4/3Q4/N4PPP/2R3K1 w - -,a6c6
4rr2/pp4k1/2q3np/3P2p1/4np2/3QPN2/PPB3PP/R4RK1 b - -,c6b6
r2r2k1/pb2q2p/1p2p1p1/4Np2/2P1pP2/bP2P3/P1Q3PP/B2R1R1K b - -,d8d1
r3k1nr/pp1q1pb1/2npb1p1/2p1p2p/4P3/1P1P2P1/PBPNNPBP/R2Q1RK1 w kq h6,d2c4
4rrk1/pppq2b1/2npbn1p/3Npp2/2P2P2/3PB1PP/PP1QN1B1/R4RK1 b - -,g8h7
5k2/7p/p3p2b/2pp4/5r2/2PP4/P2NKP1P/1R6 w - -,b1b8
6k1/p7/3b2p1/1P1Pr2p/P1pN4/P6P/2R2P2/5K2 w - -,d4c6
8/5k2/1K6/6P1/P2n4/8/8/8 b - -,d4b3
2r5/3rbpk1/1p4pp/2pn4/p2p3P/P2P1BPq/1PRBPP1K/4R3 w - -,h2h3
r2q2k1/ppp1bppp/3p2n1/6N1/5P2/1BN5/PPP3PP/R1Bb1R1K w - -,g5f7
Q2q2k1/3nbpp1/pp2p2p/7P/2PB2P1/1N3P2/PP6/1K6 w - -,a8d8
8/8/5k2/5p2/4n3/3K4/5p2/5B2 b - -,e4g3
1n2rb1k/8/2p3p1/3p3p/3p4/B4B1P/2P2PP1/1R3K2 w - -,a3f8
r4rk1/1p1nbppp/p1p1pn2/q7/2PPN3/1P1Q1N2/PB3PPP/R4RK1 w - -,e4c3
r2q1rk1/pp2n1b1/2npb1pp/2p1pp2/P1N1P3/2PP2P1/1P1N1PBP/R1BQ1RK1 w - f6,f2f4
r1b1qrk1/p3b1p1/1p1p4/4pp1p/2P1P3/2N1B1Q1/PP3PPP/3R1RK1 w - -,e3g5
8/2n1k3/8/p2pP2q/Pp6/1P1Q1P2/1B6/3K4 b - -,h5h2
r2q1rk1/5ppp/2p1pn2/p2pP3/Pb6/1P6/1BPNQPPP/3R1RK1 b - -,f6d7
r4rk1/pb1n1pb1/1p5p/2p1p1pn/4P3/1BP2NBP/PP1N1PP1/R3R1K1 w - -,b3a4
2b5/1p6/pPp2k1p/P1P5/1N1p1P2/6K1/7P/8 b - -,f6e7
r2qk2r/1Qpn1pb1/pp4pp/8/P3P3/2P2PB1/1P3P1P/R3KB1R b KQkq -,d7e5
r2q1rk1/pp1nbppp/n1ppb3/8/2PPp3/PP2P3/1B1NBPPP/RN1Q1RK1 b - -,f7f5
8/1Q1P1p1k/p5p1/q6p/7P/6P1/5PK1/8 w - -,b7a8
6k1/1p6/p4b2/3Pp1pp/8/PP3N2/2K5/8 w - -,f3d2
2k5/3r2pp/5p2/8/p1b1P1PP/p1B1KP2/2P5/2R5 w - -,c1a1
8/1k1b3p/5p2/pp1NbP2/2p1P2P/2N2RP1/K1P5/6r1 b - -,b5b4
3r1rk1/ppn3bp/2pp4/6q1/1PP1Rp2/P1N2B1b/3BQPP1/2R3K1 b - -,f8f7
4k3/1p3pp1/p1rp3p/P2Rp1b1/2r1P3/1RN2P2/1PP3PP/3K4 b - -,g5e3
2rRb3/1p2kppp/p1n1pn2/6B1/2P5/5N2/PP2BPPP/3R2K1 b - -,c8d8
r1r2nk1/pp3ppp/4b3/1P1p4/3N4/3BP3/P4PPP/2R2RK1 b - -,c8c1
r7/5k1p/Pb4p1/5p2/1BPrp3/8/5PPP/R1R3K1 b - -,f7e6
r2r2k1/1p3p2/1n2qnpN/p1b1p3/P3P2B/3B3P/1P2QPP1/R2R2K1 b - -,g8g7
5rk1/p1q3bp/3p1np1/2pPp3/2P1Pp2/P6P/2QBBPP1/1r1R2K1 w - -,d1b1
8/1K6/8/1pkBp3/p3P3/2b5/P7/8 w - -,b7a6
8/1p4p1/1p1kb2p/1P2p3/2P1B1PP/3K1P2/8/8 w - -,e4b7
2r1r3/b1p3kp/p3P2p/1p6/8/2NB3P/PP4P1/3R1K1R b - -,e8f8
rnbq1rk1/p1p2ppp/1p2pn2/8/2QP1B2/P4N2/1P2PPPP/R3KB1R b KQ -,c8a6
8/1bpqbkp1/p1p1pp1p/2P1P3/2QB1P2/1N5P/PP4P1/6K1 w - -,g1h2
r1q2rk1/2p1bppp/1p1p1n2/2nPP3/p4B2/P1N2N2/1PQ1bPPP/3RR1K1 w - -,e1e2
1r3r2/p1n1p1bk/3p2p1/1Pp2p1n/P7/4BNPB/4PP1K/3R1R2 b - -,g7h6
bQ2n1k1/5p2/p4p1p/q2N4/3P3P/4PBP1/6PK/2r5 w - -,d5f6
5rk1/7p/3Q1pp1/2p5/5p2/1PB3PP/8/1q3BK1 w - -,d6e6
k2r4/Pp3ppp/4p3/1R1r3q/3P4/P4N2/4Q1PP/5RK1 w - -,f1b1
r3k3/1pp1b1pr/2p1p3/4P3/5PP1/pPN5/P1P3K1/3R1R2 b - -,a8a5
1rbq1rk1/pp2npbp/2np2p1/2p1p3/2P5/1PNPPNP1/PB3PBP/R2Q1RK1 w - -,f3d2
b1r3k1/5ppp/Pq1nn3/1P1p4/1Q1PpP2/1N2P3/4B1PP/1R4K1 w - -,e2f1
2r2rk1/pp1qppbp/5np1/3p1n2/3N4/1PP5/PB1N1PPP/2R1QRK1 b - -,e7e5
r2r2k1/p3bppp/2b1p3/q3P3/Pn1B4/5NP1/4QPBP/RR4K1 b - -,a8b8
r4rk1/ppp2qbp/2n3p1/3QpbB1/2P5/5NP1/PP3PBP/2R2RK1 b - -,h7h6
8/8/6p1/3n1pk1/4pN2/4n1P1/5KN1/8 w - -,g2e3
8/5p1p/p2k1K2/1pp2P1P/8/P4r2/8/4R3 b - -,a6a5
r2qk2r/ppp2pb1/2n1b2p/1B1p2p1/3pn3/5NB1/PPPN1PPP/R2QR1K1 b kq -,e4g3
r7/6kp/q2p2n1/2pPp1p1/2P1Pp2/bb3PP1/1B2BNKP/2QN4 w - -,b2a3
8/6k1/8/r4K2/5P2/8/8/7R w - -,f5e6:f5g4
8/8/R4knp/3Kppp1/8/5P2/7P/8 b - -,f6f7
r4rk1/pp1n1pqp/4p3/3b4/2pN1P1P/2P5/P2Q1KP1/4RB1R w - -,h1h3
8/p1pk1rp1/2p4p/8/4P1bP/P1R1K1P1/1P1N4/8 w - -,c3d3
8/8/6p1/2k2p2/2P4P/3K1P2/8/n7 b - -,a1b3
2r2k2/1R3p2/8/3p3q/3Bp3/1P2P1Q1/P4P2/4n1K1 b - -,e1f3
8/8/6k1/7p/3R4/1r4P1/5PKP/8 w - -,h2h3
8/7p/6p1/N3K3/1p3PP1/2k3n1/8/8 b - -,h7h5
8/7r/8/4p3/4k1R1/3p4/1K6/8 b - -,e4e3
2R5/8/r1p2p2/8/4p3/1P4P1/2K1k2P/8 w - -,c8e8
rqb2rk1/4bppp/3p4/3Pp3/pBp2P2/P7/1PP1B1PP/R2Q1R1K b - -,e7f6
rq3knr/5pb1/p3p2n/2QpP1B1/3P4/2N3PR/PP2B3/R3K3 b Q -,f8e8
1rb2rk1/2pn1ppp/p1N1p3/2P5/1p1PB3/5P2/qP1RQ1PP/2KR4 w - -,e4b1
4r1k1/6p1/1BNp1b1p/R2P1b2/2p1Pp2/2P5/1P4PP/7K b - -,e8e4
3rn1k1/1q1r1p1p/p3pbp1/1p6/5NQ1/2P1B2P/PP3PP1/R3R1K1 w - -,a2a3
r2q1rk1/pb1n1ppp/2pb1n2/1p2p3/3PP3/2N2N2/PPQ1BPPP/R1B2RK1 w - -,f1d1:d4e5
4k3/2K5/2P3pp/8/6P1/3R3P/1r6/8 w - -,d3e3
3r4/q2r1nkp/2p1bpp1/p3p3/P1N1P3/B2Pb3/2Q2PPP/1R1R2K1 w - -,c4e3
Q2R1rk1/p5pp/8/2p2p1P/2P1p2P/1P3q2/P3KP2/8 w - -,e2f1
r3r1k1/pp3q1p/2p1b3/3n4/8/1Q3pP1/PB3P1P/3RRBK1 w - -,f1c4
6k1/p4p2/5P1r/2ppP1p1/3n2P1/P2BK3/1P6/4R3 w - -,d3f5
R7/2p3pk/1rn2q2/4p3/B1P1p3/3r3P/1P4P1/2B1Q1K1 b - -,c6d4
2r3k1/p3n1pp/1pr1q3/P1ppPp2/1P3P2/1Q6/2P1N1PP/R2R2K1 w - -,c2c3
3r1rk1/p4ppp/2p1p3/8/8/1Pq3P1/P1P1QP1P/3R1RK1 w - -,d1d3
rnbqkb1r/pp2pppp/5n2/2pp4/3P1P2/2P2N2/PP2P1PP/RNBQKB1R b KQkq -,g7g6
rnbq1rk1/p1p1ppbp/3n2p1/3N4/1p1PP3/1B3N1P/PP3PP1/R1BQ1RK1 b - -,d6e4
r3r2k/1p1nq1pp/2pp1b2/p3pb2/2PP4/1PN1B1P1/P2Q1PBP/2R1R1K1 b - -,e7f7
5n1k/7p/pp1p4/2pP1N2/2P1P3/P4B2/1P4r1/3K3R b - -,g2b2
r4r2/1p1b2kB/p2q1p2/3p3Q/8/8/PPP3PP/4RRK1 w - -,h5g6
8/4k3/R4p2/8/8/p5P1/1r3P2/6K1 b - -,a3a2
2kr3r/2q5/ppQ1p1B1/2b3p1/2P4p/7P/PP4P1/4R2K w - -,c6a8
rqr3k1/3b1pbp/2Pp1np1/np1Np3/4P3/1PQ1BPP1/2P1N1BP/R3R1K1 b - -,a5c6
r2qr1k1/5pb1/3P2p1/2QR2Pp/1p2P2P/p2P3B/PP6/1K3R2 w - -,c5c7
8/1pR2p2/1K1n1k2/3P1pp1/8/pP6/1r6/7B w - -,c7d7
6k1/q3bp2/1pp1n1p1/3pPpPp/1PbP1P2/2P1B3/1N1Q3P/2N3K1 b - -,c4b5
r2qbn1k/2p3pp/3p1p2/4rPP1/p2BP2Q/7R/1P3N1P/4R1K1 w - -,g5f6
1n3rk1/q2b1ppp/pp2pb2/8/2P1Q3/2N5/PP3PPP/R3KB1R w KQ -,f1d3
2Q5/5pkp/1P2p1p1/8/1N3P1b/4P3/5rr1/4K3 w - -,c8c3
7r/3k1K2/pB1p4/P2P4/1N6/8/8/8 b - -,h8h5
3r4/pR4pk/5r1p/2q1np2/P2p4/2nB2P1/P1P2PQP/4RNK1 w - -,f1d2
r1bqk2r/pp2pp1p/2n3p1/8/2BbP3/1Q2B3/P4PPP/2R1K1NR b Kkq -,e8g8
r1b2rk1/3n2pp/p3pq2/n1bp4/PpP5/1B3N2/1P1NQPPP/R1B2RK1 w - -,c4d5
5r1k/1p4p1/2pb1qPp/p2P4/P4P2/3Q2P1/1P2RNK1/8 b - -,c6d5
8/8/Pk6/1P3K1P/2P5/4b3/8/8 w - -,f5g6
r2qkbnr/p2n1ppp/b3p3/8/PpppP3/4BNN1/1P3PPP/2RQKB1R w Kkq -,f3d4
8/5k2/p2p2r1/1pp1p2p/2P1PP1R/PP2P3/5K1P/8 b - -,b5c4
6k1/p3bpp1/r7/2prP3/2R2P2/8/P1R2KPP/2B5 b - -,g7g5
