6k1/7p/3p2p1/8/4P3/4R3/3r3P/7K w - -,e3f3
r1r3k1/1p2bppp/1pn1p1n1/1B1pP3/3P2P1/P3BN1P/1P3P2/R2R2K1 w - -,a1c1
2r3k1/pp1nbp1p/5n2/3p2p1/3P4/5PP1/PP3KNP/R1B2B2 b - -,g5g4
8/p1k5/1p1p2p1/PPpP1pPp/1PKp1P2/3P2P1/8/8 b - -,c7d7
8/2p1k3/1n1p3p/3Pp1pP/1P2P1P1/5R2/4K3/8 w - -,e2d3
r4rk1/2pnq1pp/1p1ppn2/p4p2/1PPPb3/P1Q3P1/1B1NPPBP/2R2RK1 b - -,e4g2
3R4/5ppk/b1p5/2b3p1/p1PBP3/5P1P/P3N1PK/3r4 w - -,d8a8
2r3k1/p4pp1/1np1b2p/2N5/3P4/5P1P/q4BP1/R2Q2K1 b - -,a2d5
rnq1kbnr/p4ppp/bp2p3/2ppP3/3P4/2PBBN2/PP3PPP/RN1Q1RK1 b kq -,g8e7
rn1q1rk1/pp2npb1/3p2pp/2pP1b2/2P2B1P/2NB4/PP2NPP1/R2QK2R b KQ -,f8e8
rnbqkbnr/pppp1ppp/8/4p3/4P3/5Q2/PPPP1PPP/RNB1KBNR b KQkq -,b8c6:g8f6
3qr3/p4kpp/1pP5/1Pr1pN2/P7/2Q3P1/7P/4R1K1 w - -,c3f3
2rqr1kb/pn6/1p2ppp1/6B1/3P2N1/2P5/P1Q2PP1/1R2R1K1 b - -,g8h7
r3N1k1/1p3pbp/p5p1/n1p3B1/2P5/1P4P1/P3PPBP/1b3RK1 b - -,a8e8
8/2r2pk1/R3p1p1/1P1n4/5P1p/2rB3P/2P3PK/4R3 w - -,d3e4
3b1rk1/1pq3p1/p3pP1p/3p3P/3P4/3QPN2/PP3RPK/8 w - -,g2g3
rn2kb1r/pp1qpppp/3P4/8/4n3/5N2/PPP2PPP/RNBQK2R b KQkq -,e4d6
2R4K/8/n7/5B2/8/1k6/1p4r1/8 w - -,f5e6
4k3/5p2/1B2PP2/p7/2r5/5K2/8/8 b - -,a5a4
6k1/4qpp1/n3p2p/pp6/3N4/4P3/PP1Q1PPP/2r3K1 w - -,d2c1
r2q1rk1/pp1nbppp/2p1pn2/3p4/4P1b1/3P1NP1/PPPN1PBP/R1B1QRK1 w - -,b2b3:h2h3
r4rk1/1p1bqp1p/p2p2n1/P1pPb2B/4P3/2N3BP/1P1Q2P1/R4RK1 w - -,g3e5
4r1k1/1ppq1p2/r2p2p1/p2P3p/3R1Q1P/5PP1/PP3PK1/2R5 w - -,f4f6
3nrrk1/1p5p/2ppq1p1/3Q1p2/PpP2P2/1P2P1P1/3N3P/R3R1K1 w - -,d5d3
r2qkbnr/pb3ppp/1pn1p3/3pP3/2pP1P2/P1N2NP1/1PP4P/R1BQKB1R b KQkq -,g8e7
r1b2rk1/pp2ppbp/2q2np1/3p4/3P1B2/2N5/PPP1BPPP/R2Q1RK1 w - -,f1e1
3r3k/rp1N3p/4Pb2/pP3Pp1/P2p4/6P1/6BP/2R3K1 w - -,d7f6
8/3n4/2k1pp2/2p5/5q2/1pPQ4/1P1R4/2K5 b - -,d7b6
r5k1/1np4p/1pRPq1r1/p4p2/P2Qp3/4P2P/P4PB1/6RK w - -,g2f1
8/1P4R1/1r1pk3/4p3/2K2p2/8/2P3p1/8 b - -,f4f3
8/2k5/p3r3/1p2P3/2pqRp2/5Q2/1P5P/7K b - -,d4b2
r3r1k1/1b4p1/p1q1pp1p/R7/1BP1n3/8/PPQ2PPP/3R1BK1 b - -,a8d8
1r5k/1pb1q1p1/p6p/1bP1pN2/P5P1/2Rp1P2/1P4P1/3RB2K b - -,e7e6
2r3rk/pq3p1p/2p1p1p1/3n4/P1RP1B2/1P3Q2/5PPP/5RK1 b - -,f7f6
2n5/1b4k1/1r1p2pp/2pPp3/1pP1N1P1/1P1BKP2/8/R7 w - -,a1a5
1rbr2k1/1p4pp/p2P1p2/4p3/2p5/2P3P1/P2RPPBP/R5K1 b - -,b7b5
4rbk1/1p3pp1/pNqpr2p/P3p3/2P1P3/1P2R3/4QPPP/R5K1 w - -,b3b4
2r1r1k1/pn4pp/1p6/2PpNp2/5P2/P3P3/1P4PP/2R2RK1 b - -,b6c5
r2q1rk1/pb2npb1/1pn1p1pp/2pp4/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -,b2b4
r1b1k1nr/5pb1/nqp3p1/p2p3p/PpBP1B2/2PN1P2/1P1Q1NPP/R3R2K b kq -,c8e6
8/1B4pp/1p1k1n2/4p3/1PP5/4K2P/6P1/8 w - -,b7e4
8/1k6/p2b2r1/1p6/8/P1R1PK2/5B2/6q1 w - -,f2g1
8/8/p1p2kpp/N1P5/1P2P3/P6P/4n1PK/8 b - -,e2d4
kq1r4/1p1b4/p5pp/3QPp2/P4P1P/1P4R1/1KP1N1P1/8 b - -,b8c8
2R5/r4pkp/6p1/P7/b2NPp2/5P1P/6PK/8 b - -,a7a5
8/pp2qpk1/3p2p1/8/4P1P1/1Pp2n1r/P1Pb1P2/1R1QN1K1 w - -,e1f3
1r6/8/3k2p1/1P1p2Pp/2p2P1P/5K2/1bN5/R7 w - -,a1a6
1r1b2k1/1q3pp1/3pbn1p/3N4/2Q1PB2/1B5P/1P3PP1/4R1K1 w - -,b3c2
7r/5k2/pp2p3/5p1r/2P5/2K2R2/P1P5/6R1 b - -,h5h3
8/6p1/4k2p/p6P/P1R1K1P1/4P3/8/r7 w - -,c4c6
r5k1/p1p3pp/4p3/2n1Nr2/3P4/2P5/PP3PPP/R1B2RK1 b - -,c5e4
r2q1rk1/5pp1/p4b1p/2pp1P2/1p1n1BPP/5P2/PPPQ2B1/1K1R3R b - h3,f6h4
r2q1rk1/4ppbp/p1b3p1/8/4N3/PPp1P3/R3QPPP/1BR3K1 b - -,a8c8
r2qk2r/1p3ppp/2b1pb2/p1Pp4/3Pn3/P1N2N2/1PQ2PPP/R1B2RK1 w kq a6,c1f4
1rbqr1k1/5pp1/pb1p2np/1p1Pp1n1/P1p1P3/2P2NNP/1PBBQPP1/R3R1K1 b - -,g6f4
1k6/1p3R2/p4p2/3p1P2/3P4/1pPK4/rP6/8 w - -,f7f6
r6r/4pk2/4N1p1/2p2n2/1pBb3P/5R2/PP6/2K5 b - -,f7f6
2Q3k1/6p1/2pqpr2/p2pRr1p/1P1P2nP/P4NR1/5PP1/6K1 b - -,f6f8
4rrk1/1bpn1pb1/ppqp2pp/4p3/PP1PQ1PB/2N2N1P/2P2P2/3RRBK1 b - -,d6d5
3r2k1/r4ppp/3p4/b2PpP2/4P1P1/Q6n/6NP/3B1K2 b - -,h3f4
r2q1rk1/pbn1ppbp/1p4p1/2p1P3/2Pn1B2/2N2NP1/PP3PBP/R1Q1R1K1 w - -,c3e4
rnb1N1k1/p2q1pbp/6p1/2pP2Bn/4P1P1/3B3P/P4P2/2RQ1RK1 b - -,d7e8
8/8/6P1/3N4/pp6/3P4/1k6/3K4 b - -,b4b3
r2q1r1k/p3bppp/2b1p3/1p2P2N/2pB1PQ1/2P5/PP4PP/R4RK1 b - -,g7g6
rn1q1rk1/1b2bppp/p2ppn2/1pp5/3P4/1P2PNP1/PBPN1PBP/R2Q1RK1 w - -,a2a4
r4rk1/pp2bppb/1np1p2p/8/3P1N1P/1BP5/PP3PP1/R1B2RK1 w - -,g2g3
2rr2k1/1bq1npbp/2n1p1pP/2p1P3/ppP3P1/3P1NN1/P2BQPB1/3RR1K1 b - -,g7h8
r3rbk1/5bpp/p1q2p2/1pp2P2/P2pP1P1/1P3Q2/1BP3N1/3RR1K1 w - b6,a4a5
2bqr1k1/pr5p/1p1p2p1/1PpP1p2/4PBn1/R1P2N1P/5PP1/3QR1K1 b - -,f5e4
R1br4/3pk1pp/1Qq5/2P1np2/4p3/1BP5/5PPP/R5K1 b - -,e5d3
r3k2r/1b2ppbp/pq3np1/2p1nPP1/1p2P3/6N1/PPPN2BP/R1BQ1R1K b kq -,f6g4
3r2k1/1p1r1pp1/4b2p/q2p4/3R4/1B2P1P1/PQ3P1P/3R2K1 w - -,g1g2
1r1r2k1/1b3ppp/p2p4/4p1q1/1nP1P3/1P3B2/2N2PPP/R2Q1RK1 b - -,b4c2
3r2k1/1pqrpp1p/p5p1/1bP1b3/1Q1NP3/2P1BP1P/P5P1/R2R2K1 w - -,d1d2
5rk1/3R3p/PQ2p3/6p1/8/5qP1/5PK1/8 w - -,g2g1
r3q1rk/1p1bb1pp/1nn1p3/p2pP1N1/3P1PR1/PP3N2/6RP/2BQKB2 w - -,g4h4
2r2rk1/pp3ppp/1qn1p3/3pPn2/1P1P4/P2Q1N2/4NPPP/R4RK1 w - -,a1c1
1B3r1k/pn5p/3p1p2/1P1QpP2/q7/P4N2/6PP/R1b4K w - -,d5b7
2kr4/Qp4pR/b1p3p1/6P1/4pP2/3P4/Pq2B3/4K3 b - -,e4d3
6k1/6pp/prp2p2/3b4/2N5/P1R2P2/6PP/6K1 b - -,b6b1
r1bq1rk1/1pp2p2/2np1bpp/p3p3/2P5/2NP1NP1/PP2PPBP/1R1Q1RK1 w - a6,a2a3
8/8/3k1N2/P5K1/1n6/8/8/8 w - -,f6e4
r4rk1/pb1nq1p1/7p/1p1p1p2/2pP4/4PNP1/PP2QP1P/1BR1R1K1 b - -,g7g6
1qr2rk1/p3bpp1/1pbp3p/8/2P1PQ2/PPN5/3R2PP/1N3RK1 w - -,h2h4
2r1r1k1/ppnqpbbp/1np2pp1/8/3PPB2/1PN2NP1/P3QPBP/3RR1K1 w - -,h2h4
rn1qkb1r/pb3ppp/2p1p3/1p1nN3/2pPP3/2N3P1/PP3PBP/R1BQ1RK1 b kq e3,d5c3
1r6/1r3pk1/4p1pp/1PQ1P1P1/2B2P1P/4K3/8/8 b - -,h6g5
r2q1rk1/pp3ppp/2b1pn2/2b1N1B1/2P5/8/PPB1QPPP/R4RK1 b - -,c5e7
8/5p1k/p1B3p1/4Q2p/5P1P/6q1/P1pr2P1/4R1K1 w - -,c6f3
7r/4b3/p3k3/Pp1pppp1/1P2b3/2P1N2P/1K1R2P1/4B3 w - -,b2b3
8/8/1p1k4/7R/pr5P/5KP1/5P2/8 w - -,h5h8
r4rk1/p2n1pb1/3qp1pp/1pPn4/7B/1BP2N1P/PP3PP1/R2QR1K1 b - -,d7c5
8/2Bk2p1/p4p2/1b4p1/1P6/P6P/3r1PP1/4R1K1 w - -,c7b6
r1b1k2r/1p1p1pp1/4pn2/1Nq1n2p/1P3P2/3B3P/P1P3P1/R2Q1R1K b kq b3,c5e3
r5k1/6b1/6pp/pR1P1p2/5Nb1/r3P1P1/P4K1P/4R2B w - -,d5d6
8/8/3pB3/4b3/6pk/4P2p/8/6K1 w - -,e3e4
r1b1k2r/pp2bppp/1qpp2n1/8/4PP2/2NQ2P1/PPP1B3/R1B1K2R w KQkq -,a2a3
r2r2k1/1b1nqppp/1p3b2/p3p3/2PpP3/1P2Q1P1/PBB2P1P/3RNRK1 w - -,e3e2
8/8/6p1/3K2PP/1p6/pP3kb1/P7/8 b - -,g3e1
8/7R/4k3/4b3/r7/3K4/8/8 b - -,e6d5
rnbq1rk1/1pp1bpp1/p4n1p/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQ -,f1d3
r1bqr1k1/p2p1ppB/8/1NnPn3/1bP5/5P2/4N1PP/1RBQ1K1R b - -,g8h7
r3r1k1/1pqn1ppp/p2b4/2pPp3/2P3B1/3QB1P1/PP3P1P/R4RK1 w - -,d3a3
5r2/1p2qp1k/3r1bpP/p1pPp2P/P3P3/2N2Q2/1P3P2/1K1R3R b - -,f6g5
r1b1k2r/1p1n1ppp/1qn1p3/p2pP3/1B1P1P2/1N1B1N2/PP4PP/R2QK2R b KQkq -,b6b4
r1bqr1k1/pp1nppbp/2p2np1/3p4/2PP4/1P1BPN2/P1QN1PPP/R1B2RK1 b - -,e7e5
r2q1rk1/p1n2ppp/1pn5/3pP3/5P2/1NB3P1/PP4KP/R2Q1R2 b - f3,f8e8
8/p7/1p2k3/5ppp/8/PP2PPP1/4K3/8 b - -,e6d5
r3r1k1/1bq1bppp/p2p1n2/1pp1p3/4P3/1PPPBN1P/1PQ2PP1/R3RNK1 b - -,d6d5
r2q4/pp4kp/2nr1ppb/3Np3/1PB1P2P/PQ1R2P1/5P2/3R2K1 b - -,g7h8
6k1/5p2/2q5/8/8/B1K5/8/R2R4 w - -,c3d4
8/6p1/p1pk4/2Rp3p/1P3K1P/P4PP1/2P3r1/8 w - -,c2c4
4k2r/1p1bbpp1/p2ppn2/1P5p/4P3/r1N1BP2/3N2PP/1R2K2R w Kk -,b1b2
2br3k/ppp3qp/2nr2p1/2N2p2/1P2pP2/P1Q1P1P1/3P1K1P/R2R1B2 w - -,f2e1
2b2rk1/rpp2p2/p1n3q1/4p1pp/4Pn2/1BP1NQ1P/PP3PPN/R3R1K1 b - -,g8g7
2kr3r/pp1qbp2/4bp1p/2p1nN2/P2pPR2/1P1P2P1/2PN2BP/R2Q2K1 b - -,h6h5
rn1qkb1r/ppp1pppp/8/5b2/3Pn3/2N2Q2/PPP3PP/R1B1KBNR b KQkq -,e4d6
2r3k1/2P2pp1/4q2p/1pQ5/1P6/1b3PP1/2R1B2P/6K1 w - -,c2d2
1r1qr1k1/ppp2pbp/2n3p1/3b4/3pP3/B1P3P1/P2N1PBP/R2QR1K1 w - -,c3d4
r2r2k1/pp3ppp/4qn2/1b3p2/1bNB4/1P2P3/3R1PPP/1B1Q1RK1 w - -,d2c2
1r4r1/p3k3/P2p2pb/1Pp1p2p/2P1B3/3R2PP/8/3R2K1 b - -,b8b6
r2qk1nr/1bpn1pb1/pp1pp1pp/6N1/P1BPP3/2N1B3/1PP2PPP/R2Q1RK1 w kq -,g5f7
1rb1r1k1/2qn1ppp/pp1p1bn1/2pP4/P3PP2/1PNBN3/1B2Q1PP/4RR1K b - -,b8a8
b7/6k1/p2q2p1/2p2pP1/2P5/4Q3/P3NPPK/8 w - -,e2f4
1r3rk1/3qbppp/3p4/1p1Qp1Pn/8/4BP2/PP5P/1KR2BR1 w - -,f1d3
r1nq1r2/5pk1/3pn2p/3Np1p1/p3P3/P4PB1/2PQ2PP/R2R2K1 w - -,a1b1
r2qk2r/p3ppbp/6p1/2p5/3PP3/4BP2/P2Q1P1P/R3K2R w KQkq -,a1d1
8/8/pbb5/1p2kpp1/3p4/P2B1PPP/1P1N1K2/8 w - -,f2e2
6k1/2q1pp1p/p2p2p1/2pP1b2/1rn2P2/6P1/P2N2BP/Q2N1RK1 w - -,d2c4
b4r2/p3r1k1/P2q3p/1p1Pp1bR/1Pp1BP2/2B3P1/3Q2K1/3R4 b - -,g5f6
8/NN4k1/6b1/2p3pp/2n5/4P2P/P5P1/6K1 b - -,c4a3
3rr1k1/p1qn1pbp/1pnp2p1/2p1p3/3PP3/2P1BNNP/PP3PP1/R2QR1K1 w - e6,d1d2
4k3/2p4R/4bPP1/2K2p2/4rP1P/2P5/8/8 w - -,h7h8
2k5/1p4pp/1Br1p3/4Pp2/PRp5/1nPr2P1/5PKP/4R3 w - -,g3g4
8/6R1/5pp1/5k1p/4p2P/6P1/4KP2/1r6 w - -,g7g8
8/5p1p/3Q2pk/4N3/4P3/1p1P3P/2q2PPK/8 b - -,b3b2
r1bq1rk1/pp2ppbp/6p1/3p4/3Pn3/1PB2NP1/P3PPBP/2RQ1RK1 w - -,c3b2
2r2rk1/pp1q2pp/3nppn1/2b5/2p2PP1/1P1BPN2/PB5P/1R2QR1K w - -,b3c4
r1bq1rk1/pp1nnpp1/7p/2b5/3p4/P2P2P1/1PQBNPBP/RN3RK1 w - -,b2b4
8/p7/1p2k3/2p1rppp/2P5/1P4PP/P2R1K2/8 b - -,e5e4
rnbq1rk1/1p2ppbp/p2p1np1/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,d4b3:c1g5
3q4/8/2K1P3/8/1PQ5/6k1/8/8 w - -,c4d5
3rr1k1/1p2qppp/p1p5/3P4/P7/1P3PP1/2PQ3P/R2R2K1 b - -,d8d5
r1b2rk1/ppp2ppp/3b4/3pq3/8/2PB1Q2/PPP2PPP/R1B2RK1 w - -,g2g3
r2q1rk1/pb2ppb1/1n1p2pp/2pP4/2B1P3/R1P2N2/1P1N1PPP/Q3K2R b K -,e7e6
1k6/1p2r3/8/1KR4R/4r2P/8/8/8 w - -,c5c4
3b1k2/8/p2pBnn1/2pP4/2P2PP1/1P3K2/8/4B3 b - -,f6h7
1r1q1rk1/4bppp/bn1pp3/p7/1n1PP1P1/4BNNP/P1PQ1P2/R2R1BK1 b - -,b6c4
2bq1r2/1pp2pk1/1p1p1npp/4p1N1/4P2P/2PB2Q1/rP1P1PP1/1R2K2R w K -,g5f3
8/8/1pN5/3Bbb1p/2P2pp1/1Pk5/P4P1P/6K1 b - -,e5d6
1qrrbbk1/1p3ppp/p1nppn2/8/2PNP3/1PN2P2/PB1Q2PP/3RRB1K w - -,d4c2
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq c3,g8f6:b8c6:b8d7
5k2/pp3p2/2pR2pp/4r3/2P1P3/5P2/PP6/5K2 w - -,d6d7
1rn1q1k1/2n2r1p/pp1pp1pB/2p2P2/2P1P1B1/2PQ3P/6P1/3R1RK1 w - -,f5g6
8/6kp/8/6p1/3KP1P1/3Q1P2/8/4q3 b - -,e1b4
r2qk1r1/pp2n3/2ppPpp1/6p1/8/3B3R/PPQ2PPP/4R1K1 b q -,d8a5
3k3r/q1p2pp1/1pPb2b1/pP1P4/P3p1nr/2N1P3/3R2B1/2R1QNK1 b - -,g4e5
4r1k1/pp2qpp1/1b3n1p/2np4/3Nr3/3Q1NB1/PPP2PPP/3R1RK1 w - -,d3d2
8/5ppk/7p/2n5/8/pP1K1PP1/R6P/1n6 w - -,d3c2
3r2k1/pP1n1ppp/1p2R3/6n1/3P3q/1PN2R2/PBQ3P1/3K1B2 b - -,f7e6
b2k3q/6pr/p4nQ1/B2ppP2/2p1n3/7B/PPR4K/6R1 b - -,d8c8
r2q1rk1/pp3pp1/1npbbn1p/4N3/3P4/P1NB3P/1P1B1PP1/R2QR1K1 w - -,d1f3
2b4k/2p2q2/p2p2p1/2pPb3/2B1Q1Pr/1P5P/P5K1/3R2B1 b - -,g6g5
3rr3/7p/ppk5/2p5/2P2P2/1P6/P5KP/3R1R2 w - -,d1d8
r2qk2r/ppp2pp1/1n2p1p1/3n4/1b1P2P1/2N1P2P/PP1B1PB1/R2QK2R b KQkq -,d8d7
r1bqk2r/pp2nppp/2n1p3/2ppP3/3P4/P1B2N2/1PP2PPP/R2QKB1R b KQkq -,c5d4
r4rk1/pp2p2p/1np1b1qQ/4Pp1p/3P4/2N2P2/PP4P1/1K1R1B1R w - -,h1h5
8/8/5R2/4pp1p/3r4/3k1P2/5KP1/8 b - -,e5e4
3r4/6p1/8/5p1p/1k5P/4P1P1/p1K2P2/R7 b - -,b4a3
8/3R1n2/3p1k2/3Pp2K/1b2P2N/4NP2/8/r7 w - -,e3g4
2r5/p2n1p1k/3q1npp/1b1P4/Np1p4/1B4BP/PP3PP1/4R1K1 w - -,g3d6
r2q1rk1/1pp1bppp/2n2n2/3pp3/p3P1b1/2PP1N2/PPB1QPPP/RNB2RK1 w - -,f1e1
8/b2kB2p/8/p4R2/2p1K3/3p2P1/P6P/8 b - -,d7e7
1k1r3r/pp5q/1np1B3/4R1QN/b6P/P5P1/1P3P2/4R1K1 b - -,a4d1
2rr2k1/p4ppp/1pn1pn2/5q2/2PP4/5N2/P3QPPP/R1BR2K1 w - -,c1a3
1r2r1k1/5ppp/pq1n1n2/1pp5/5R2/1P4PP/PB3QB1/3R3K w - -,f4f6
r4rk1/3n1ppp/p7/P2BpPB1/3b4/5Q2/1q3PPP/R2R2K1 b - -,a8c8
5k2/5p2/1p2pnpp/p7/2r1P2P/P2NKPP1/1P1R4/8 w - -,d3e5
2r1r1k1/p3b1pp/1p1np3/4N3/6P1/2P3Bq/P3QP1P/3RR1K1 b - -,e7f8
3R4/pbr2ppk/1p2p2p/2b5/2P1pPN1/1P2P1P1/PB5P/6K1 w - -,b2e5
r2q1r2/5pkp/3pb1p1/p7/Pp5P/1B3P2/1PPQ2P1/2KR3R b - -,e6b3
6k1/4p2p/3p4/1p3nP1/8/2r2q2/P6Q/1K1R3R b - -,h7h6
8/2kb1p2/4p1p1/1pr3Pp/4PP1P/PK6/2BR4/8 w - -,d2d4
1rb2bk1/1pqn1p1p/p2p1np1/2pP4/P1P2P2/2NB2N1/1P4PP/R1B1Q1K1 w - -,c1d2
r3k2r/1p3pp1/p2q1n1p/2pPp3/8/6P1/PPPQ1PBP/3R1RK1 w kq -,f2f4
r1bq1rk1/ppp1ppbp/nn4p1/8/3P4/2N1P1P1/PP2NPBP/R1BQ1RK1 b - -,c7c5
8/p1bN1pk1/2p4p/2P5/6P1/8/4KP2/8 w - -,e2e3
8/8/5p2/1r4k1/3K2p1/6Np/8/5R2 b - -,f6f5
r1b2rk1/1p2bpp1/p2ppn1p/8/1qn1PP2/1NNB4/P1P2BPP/1R2QRK1 b - -,c4a3
8/4kp2/4b3/1pp1r3/4P1rp/1PP5/P4RPK/1B2R3 b - -,g4g3
5k2/5p2/2b1pb1p/1pP3p1/1P1Pp3/6PP/3R1P2/r2N1BK1 b - -,a1b1
3n2k1/b3q1pp/p3pp2/Np6/1P2Q2P/P3P3/1B3PP1/6K1 b - -,a7b6
r1b2rk1/pp1nppbp/2np2p1/q7/3NP3/2N1BP2/PPPQ2PP/1K1R1B1R w - -,c3d5
8/4k1p1/4p3/3n2PP/3PQ2K/6B1/8/5q2 w - -,h5h6
1rr5/pbqpkp1p/1b2pp2/4P2Q/N1Bn4/4N3/PPP2PPP/2KR3R b - -,c7e5
r4nk1/rb1nq1pp/1p1p1p2/pP2pP2/2P1P2N/3P1BP1/7P/R1BQ2RK b - -,a5a4
r1b2r1k/p3qpp1/Pp1p1n2/1Pp1pPbp/4P3/1B1P3P/1BP1Q1PN/R4RK1 w - -,h2f3
4rbk1/1p3pp1/4r1np/R7/2P5/q3B3/3Q2PP/4RBK1 b - -,a3b4
2rq1rk1/pp2ppbp/2bp1np1/8/2P1P3/2N1BP2/PP1QB1PP/R4RK1 b - -,b7b6
1r1q1rk1/1p4p1/2p4R/3p1n2/3P1p1P/1P1Q1N2/P4PP1/4R1K1 w - -,h6h5
6R1/8/5p2/5k2/5p1p/1r3K2/8/8 w - -,f3f2
1k6/p5n1/3p2pb/2pPp3/PpP1P1pP/1P4P1/2K5/2B2N2 b - -,h6c1
5k2/r1R1R1pp/2p5/2P5/p7/4P1P1/2r2PP1/6K1 b - -,a7c7
1r2r3/5pk1/1p2nqp1/p1p1R1p1/2P1P3/2Q3NP/PP3PP1/3R2K1 w - -,e5d5
1rr1bk2/1p2ppbp/p2p2p1/2n5/1NP1P3/1P2BP2/P3B1PP/2RRK3 w - -,b4d5
r1b1k2r/p1qnbp1p/1pn1p3/3pP1p1/1P6/1NP2N2/P1B1QPPP/R1B2RK1 b kq -,c8b7
r2qk2r/pp1bnpb1/3p1n1p/2pPp1pP/2P1P1P1/2N5/PP1B1P1N/R2QKB1R w KQkq -,f2f3
1k3r2/pp1r4/4R3/3P2pp/5b2/P4P1P/1P3KP1/3R4 b - -,f8d8
r2q1rk1/pp2bppp/2n5/3p3b/3Bn3/1NPB1N1P/PP3PP1/R2QR1K1 b - -,f7f5
1r4k1/5pp1/prqpb2p/4p3/2P1P3/RP2Q2P/5PP1/R2B2K1 b - -,e6c8
r1br2k1/pp2p1b1/2n4p/2pN1pp1/2P5/4PNP1/PP2BPP1/2KR3R b - -,c8d7
