4NK2/8/6k1/6Pp/7P/1b6/8/8 w - -,e8c7
1r3k2/5ppp/r1p1p1b1/4P3/p2P1N1P/RPR2PP1/1P1K4/8 b - h3,h7h6
r5k1/3bq1pp/ppp1p3/5r2/2PPp3/1PB5/P2QR1PP/R5K1 w - -,e2e4
6k1/p2q1p2/1p4p1/3p3p/1P1Q1P1P/P4KP1/5P2/8 b - -,d7a4
r1bqk2r/pp1p1pp1/2n2n1p/4p3/1b2P3/1NNB4/PPP2PPP/R1BQ1RK1 b kq -,b4c3
r4rk1/p1nq2bp/3p4/2pP1p2/PpP1pPn1/1P4P1/1BQ3NP/2K1RN1R w - -,h2h3
r5k1/6pp/1r2Pp2/R2P4/8/1p5P/6P1/R5K1 b - -,a8a5
r1b2rk1/pp1p3p/4pN2/1q6/3p4/3P4/PPP3PP/R2Q1RK1 b - -,g8h8
4k3/2b3p1/3p1p1p/3Pp3/n1N1P3/2K2P2/3B2PP/8 w - -,c3c2:c3b4
3r4/1p3rkp/p2p4/q2Pp3/2R2p2/P2Q1PP1/1P5P/2R4K b - -,d8f8
8/ppp4p/4p1pk/8/2r2P2/2PR2PP/P1P1r3/2R3K1 b - -,h6h5
r4r2/p2bbkpp/1p1Bpp2/2p5/2NPP3/1PP5/5PPP/1R3RK1 w - -,d4d5
r1bq1rk1/1p2bppp/2p1pn2/p7/Qn1P4/5NP1/PP1BPPBP/RN3RK1 w - a6,a2a3
r4rk1/2p1qppp/p4n2/2nP4/P1B1pP2/Q1N1P2P/5P2/R4RK1 b - -,f6d7
r5k1/pp3pp1/2n2np1/2p5/2P3P1/2B1rRqP/PP2P1B1/2QR2K1 b - -,e3f3
8/1B1b4/Pk3pp1/1p6/1P1K4/6P1/8/8 b - -,d7e6
3r2k1/2p2pb1/1p4pp/2nPpq2/p1P5/P1P1QPP1/7P/R2BR1K1 b - -,h6h5
r4rk1/1pp2ppp/p4b2/3p4/B1P1n3/6P1/PP2K3/RNBR4 w - -,e2f3
8/5p1k/6pp/3Bb3/8/6P1/6Q1/3q3K w - -,h1h2
r1q2rk1/pb3ppp/1pp1pn2/3pn3/1bPP1P2/6PP/PPQ1PBB1/RN1R2K1 w - -,d4e5
8/8/N7/5k1p/8/6KP/p1r5/R7 b - -,c2b2
r1b2rk1/pp1n1pp1/2p1pq1p/3p4/3PP3/P1N5/1PPQBPPP/R3K2R w KQ -,a1d1
7r/bp1r1kp1/p1p1p1p1/1n2Pp2/nPRP1PP1/P6P/R3NBB1/5K2 w - -,f1e1
2rr4/p4p1k/1p2pp1p/8/2P5/1P3BP1/P4PKb/R2R4 b - -,h2g3
8/2p2K2/1p6/p2k3P/R5Pr/8/8/8 w - -,f7g7
8/4p2p/6p1/2k1p3/P2rp1P1/7P/3RKP2/8 w - -,d2a2
8/8/p4pp1/1P2k2p/1Pr1P3/1K2R1PP/2P5/8 b - -,a6b5
1r1knr2/2q1b2R/3p2p1/pP1P1bP1/8/N1B2P2/PP1Q4/2K1RB2 b - -,b8b7
8/4k2p/3b1p2/3Pn3/1q1B3P/1BP5/1P1KQ3/r5R1 b - -,b4b3
8/p6p/1p1k4/4p1p1/1P2Pp1n/P1K2P1P/6P1/4N3 w - -,a3a4
1r4k1/5p1p/BpR3p1/nP6/5PP1/7P/5K2/8 w - -,f2f3
2R2bk1/5p1p/Q2p1qp1/p2Ppn2/P5P1/6NP/1r3P1K/8 w - -,g4f5
3R4/4n3/4kp1p/2p1p1p1/1p2P1P1/1Pr1P3/P2KB2P/8 b - -,e7c6
r1bq1rk1/pp1nbpnp/3p2p1/2pPp3/1PP1P3/P1N2N2/4BPPP/R1BQ1RK1 w - -,f3e1
1r5k/1p3p1n/p2p4/P1pPn2p/4P3/2N3KP/1P4P1/R4B2 b - -,h7f6
2r1nnk1/p2bqp1p/2p2bp1/4p3/N3P3/5NPP/PP1Q1PB1/2RR2K1 w - -,a4c5
r1bq1rk1/p1p3bp/1p1p1nn1/1N1Pp1p1/1PP1Pp2/5P2/P3BBPP/2RQNRK1 w - -,c4c5
8/4kp2/2p1p3/6r1/3bB3/RK3PP1/8/7R b - -,g5g3
r1r3k1/6pp/p1b2p2/3ppP2/1R2q3/2P1B3/2PQ1RPP/6K1 b - -,d5d4
2kr3r/pbpq1n1p/Bpn1p3/5pp1/Q2P4/2P1NP2/PP2N1PP/2KR3R w - -,a6b5
r1bq1rk1/1p2ppbp/6p1/p2P4/Pn6/1N2B3/1PP1BPPP/R2Q1RK1 b - -,c8f5
1k1r4/ppp2p2/1n1b2p1/2Np2qp/3P4/PR2r2P/1PPQ2P1/2KR4 w - -,b3e3
r4rk1/5p2/3b2pp/p2P2q1/P3Q2P/3B1R2/2P3P1/R6K b - -,g5h5
2r2rk1/1b1nqpp1/p1pbp2p/1p2N3/3P4/1P2PB2/PBQ2PPP/R4RK1 b - -,f8d8
2r3k1/3q1r1p/1p1bNpn1/n2p2p1/3P2P1/P2Q1N1P/4RP2/2B1R1K1 w - -,h3h4
r5k1/1pnr2bp/p1p2pp1/2Pp4/3P4/1PP3P1/2R2PBP/3RB1K1 b - -,a8e8
rnbqk1nr/1pp2pbp/p2pp1p1/8/P1BPP3/2N2N2/1PP2PPP/R1BQK2R b KQkq a3,g8e7
8/5pk1/p4np1/1p5p/5P2/2r3PP/2P1R2K/3R4 w - -,d1a1
8/7p/6k1/1p6/1N3PK1/8/4b3/8 w - -,g4g3
8/2r4p/6p1/4pp2/2k5/2P4P/R2K1PP1/8 w - -,a2a4
6k1/R5p1/6p1/8/4PKP1/5P2/p7/r7 b - -,g8h7
6k1/5p2/p5p1/1p2q2p/1Pr4P/P5P1/5P2/2RQ2K1 b - h3,e5b2
2r5/p6r/4p1kp/2Bn1pp1/1P3P2/P2R2P1/5K1P/3R4 w - -,d1e1
rq2k2r/2p1npb1/6pp/pPpPp3/1pP1P1P1/1P4NP/3Q1P2/R3NRK1 b kq -,e8g8
1r4k1/r2nppbp/bq1p2p1/2pPn3/P7/1PN2NP1/2QBPPBP/1R2R1K1 b - -,a7b7
8/5k2/1p1R2p1/p2P4/2r5/8/7P/7K b - -,b6b5
2br3k/pp2Rrqp/2pP1Np1/6P1/P4n2/2Q4P/1P4B1/4R1K1 b - -,c8e6
2r2rk1/1bq3pp/3ppb2/p4p1P/2pPPP2/RnP3P1/1P2RBBN/4Q1K1 w - -,g3g4
8/R5p1/4p2p/5p1k/P4P1P/4P1K1/5P2/r7 b - -,g7g6
r1b1qrk1/2p2ppp/pbnp1n2/1p6/3NP3/1BP5/PP2QPPP/RNBR2K1 w - -,f2f3
r1b2rk1/pp4pp/1qnbpn2/3p2B1/3P4/1N1B1N2/PP3PPP/R2Q1RK1 w - -,a1c1
r1bqk2r/pp1nn1bp/2pp1pp1/4p3/2PPP3/2N2NP1/PP1B1PBP/R2QK2R b KQkq -,e8g8
8/1p1k4/pR6/P3Kp2/4b3/1P6/8/8 w - -,b6f6
8/8/6p1/pk3p1p/2p2P1P/2K3P1/8/8 w - -,c3b2
r5kr/pb3pp1/2P5/1P2pP1p/1B2P3/3n2q1/P5P1/RR4K1 w - -,c6b7
8/4r3/2R1p3/3p1p2/1k4p1/4P1P1/4PK2/8 w - -,c6a6
r1b4r/pp2k1pp/2n1p3/4n3/2B1PB2/1Nb5/PP4PP/2KR1R2 w - -,c4b5
8/2R3kp/8/5KP1/8/8/5b2/8 b - -,g7g8
3r1rk1/ppNb3p/1n1P2pn/4N3/6p1/7P/P4PB1/2R1R1K1 w - -,h3g4
rnbqk1nr/p3ppbp/1ppp2p1/8/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR w KQkq -,g1e2
r5k1/q3b2p/4p1p1/3pPpP1/1PpP1P2/1b3N1P/1Q3R1K/2N5 b - -,b3d1
r5k1/2q1Nppp/1r2pn2/1Bnp2B1/p4P2/2P1P2P/1P2Q1P1/R4RK1 b - -,c7e7
1rk2b1r/2q1n1p1/4p3/p3P1PP/1pPpB3/1P1N1Q2/1K1B4/R7 b - -,c8d8
5rk1/1b2qpp1/pp5p/4pB2/n2pP2P/3N2P1/1P2QP2/3R2K1 w - -,e2h5
r4r2/1b1nqpbk/2p1n1pp/1p2p3/p3P1P1/P1P1Q2P/1P2NPBB/1R1R1NK1 b - -,g7f6
r4rk1/pp1b2pp/1q2p3/2bpPp2/2P1nN1P/3B1NP1/PP3P1Q/R4RK1 b - c3,d5c4
1r4k1/5pp1/7p/Rp1p4/n7/b2PP1PB/5P1P/4B1K1 b - -,a3b2
3rr1k1/1pp3p1/p1n1qp2/4p1p1/8/2PPNQP1/PP3PKP/R3R3 w - -,e3f5
8/6k1/8/4ppp1/3n4/5PP1/5RN1/r5K1 w - -,g1h2
5k2/5p2/2p2P1p/3p3P/1p6/pP4R1/Pr6/1K6 w - -,b1c1
b7/P5k1/6p1/6P1/5PB1/2q5/4Q2K/8 b - -,g7f8
2rq1rk1/pp1bppb1/3p2pB/7n/2nNP2P/1BN2P2/PPPQ4/R3K2R w KQ -,b3c4
8/3r4/8/R1p1k1p1/P4p2/2P5/1P3KP1/8 b - -,e5e4
r1br2k1/pp2qpbp/6p1/n1pPp3/2P1PB2/1B6/P3NPPP/2RQ1RK1 w - -,f4e3
r4rk1/pp1b1pp1/7p/q2pP3/1R1pnP2/P2B4/1B1Q2PP/5RK1 w - -,d3e4
r6k/6pp/3pb3/2b1p3/1p6/1P3P2/Q5PP/2BRR2K b - -,a8a2
8/p2k1pp1/1pp4p/8/7P/5rP1/PPPK1P1R/8 b - -,d7e6
rn1qkb1r/pb3ppp/1pp2n2/3p2B1/Q2P4/P1N2N2/1P2PPPP/R3KB1R b KQkq -,f8e7
r2q1rk1/p1pn1ppp/1p1p4/n3p3/2BPPP2/P1P2RN1/2Q3PP/R1B3K1 b - -,a5c4
r3k2r/1p3p2/7p/p1Pp1bp1/1P6/P1n2PB1/1R3PPP/4KB1R b Kkq -,a5b4
8/pk3q1K/8/1PQ5/8/7P/7P/8 w - -,h7h6
rq2k2r/pp3pp1/1np2np1/3p4/1b1P4/2NBPQP1/PP1B1P1P/2R2K1R b kq -,b8c8
r6k/1ppq2pp/p2p3n/4n3/8/2P1NP1P/PP2RP2/R2Q2K1 w - -,f3f4
r4qk1/3R1p2/1b4pp/p7/P3pQ2/1NB4P/1P4P1/5b1K b - -,f1c4
r1bqkbnr/pp1p1ppp/2n1p3/4P3/2P1Q3/2N5/PP3PPP/R1B1KBNR b KQkq -,g8e7
r2q1rk1/1p1nbppp/p2p4/3Pn3/PR6/1N2B3/1PP1B1PP/R2Q2K1 b - -,b7b6
3r1k2/p6Q/bp3qp1/3p2N1/2p1P2P/2P1P3/PP1N2P1/1K5n w - -,h7a7
r1bq2k1/pp3pp1/2p2n1p/2Pp2B1/Q2P4/P1P2N1P/4rPP1/R4RK1 w - -,g5f6
3RRn2/1p1r4/1ppk3p/3p1rp1/1P6/P4P2/6KP/8 w - -,e8f8
r1bqk1nr/bppp1pp1/p1n4p/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
r2r2k1/p4p1p/2pp1qp1/8/2P1PPB1/2bQ3P/P5P1/3R1RK1 b - -,c3b4
r1b1k2r/1pqp1pp1/p1nbpn2/8/3NPP1p/2PBB2P/PP1N2P1/R2Q1RK1 b kq -,f6h5
r1bqk2r/2p1npbp/p2p2p1/np6/3PP3/1BN2N1P/PP3PP1/R1BQK2R w KQkq -,b3c2
r3r1k1/1q1bnpbp/3p1np1/1p1Np3/1PP1P3/3B1N1P/3BQPP1/R3R1K1 b - -,a8a1
rn2k2r/3q1p2/4pQp1/pp1bP1Pp/2pP3R/2P5/4BP2/1RB1K3 b kq -,h8g8
7k/2R4p/8/2P5/P2n1pP1/8/5K1P/8 w - -,c5c6
3r2k1/2q2pp1/1pp2n1p/2b1p2P/3NP3/2P3r1/1P2QPB1/R3R1K1 w - -,f2g3
2r2r2/pp4kp/3p1pp1/4n1Q1/3NP3/2P4P/PP4P1/6K1 w - -,g5d2
1rr4k/p4qbp/5np1/5p2/2nNp3/2N1P3/P3QPPP/BR3RK1 w - -,f1c1
r2r2k1/p3p2p/2p2p1P/q5pR/1p2P1Q1/8/PPPR2P1/1K6 w - -,g4e6
8/8/8/2p1pkp1/P1P5/3r1P2/P3R1P1/6K1 b - -,d3c3
rnbq1rk1/pp2bppp/4pn2/2pp2B1/2PP4/4PN2/PP1N1PPP/R2QKB1R w KQ c6,c4d5
3r2k1/5p1p/4p3/4P1p1/r7/2pR2P1/4NP1P/3R2K1 b - -,d8d3
r4bk1/p2R1p2/1p4p1/n1pNpPP1/4P1P1/1P6/P1K2B2/8 b - -,f8g7
3rr3/pp2pk1p/2p2pp1/5n2/3P4/2P2P2/PP3BPP/3RR1K1 b - -,d8d7
3r2k1/ppp2pbp/1q4p1/4n3/8/2N3P1/PPP2RBP/R1Q4K b - -,b6f2
7r/6k1/1p4P1/p1n5/2P1p1r1/1P2QR1N/P3P3/5K2 b - -,e4f3
4rk2/2p5/bp1ppn2/p4r1p/2PPN3/2P4P/P4KP1/R3RB2 w - -,f2g1
2kr3r/1ppb1pp1/pb4q1/7p/1P1pP3/3P1Q1P/P1P3BB/1R3R1K b - -,g6c6
r4rk1/pp2ppbp/2n3pn/2PqP3/3pQP2/3B1N2/PPPB2PP/R3K2R b KQ -,d5c5
6k1/2n1ppbp/1q1p2p1/8/1pPpPP2/3P2PP/r2B2B1/1R1Q2K1 b - -,b4b3
R4bk1/1p1rnb1p/3p2p1/B2Ppp2/N7/3P2P1/1r2PPBP/2R3K1 b - -,b2b5
r2r2k1/5p1p/3Nb1p1/4Pn2/8/8/1R2BPPP/3R2K1 w - -,h2h3
3r1rk1/5pP1/p5bp/2p1P3/1q6/1P3Q2/1BP3BP/4bRK1 b - -,f8e8
r1bqk2r/ppp1nppp/2nb4/3p4/3P4/3BBN2/PPP2PPP/RN1QK2R w KQkq -,e1g1
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4PP2/3P1NP1/PPP3BP/RNBQK2R w KQkq e6,e1g1:b1c3
3qr2k/5ppp/p7/1p2P1P1/2p5/2P1Q3/PP4P1/4R1K1 b - -,e8e6
r1bqk2r/2pn1pbp/pp1p2p1/3Pp2n/2P1P3/3BBP2/PP1QNNPP/R3K2R b KQkq -,d7c5
4b3/2p1k3/6p1/rp1Rp1P1/4Pp1p/1BP2P1P/P3K3/8 b - -,e8f7
8/8/8/1k3p2/P1p1p3/1Ppr2P1/2R1KP2/8 b - -,b5b4
N6k/p4pp1/1p3q2/8/1B6/P4BP1/1P3nK1/4R3 b - -,f6b2
8/pp4pp/2p2k2/4p2n/2B1P1P1/1KP2P1P/PP6/6b1 b - g3,h5f4
8/4kp2/1p1n3p/p2Bq1p1/2P5/P4QPP/5PK1/8 w - -,f3b3
1rr5/2N2kbp/3p2p1/nP1B4/R4P2/6P1/P6P/5RK1 b - -,f7f6
8/1p2r1pk/p3b2p/2p3q1/4pr2/1PP3P1/P2Q1P1P/2RR1BK1 b - -,e7f7
