8/1p6/1B6/1K3b2/8/P7/5p2/5k2 b - -,f5d3
6b1/7p/1p1k3P/3p1pP1/1P3K2/3B4/8/8 w - -,f4f5
8/3k4/R7/p4Pp1/8/6Br/1K3P2/8 w - -,f5f6
2r3k1/3b1ppp/1b1p4/p2Pp3/1p2P3/3B1P2/PP1BK1PP/1R6 w - -,b1c1
R7/6kp/4p1p1/4P3/6P1/3n3P/1r4N1/7K w - -,a8a7
6k1/p5pp/1p6/2p5/P3PRPP/3r4/1P2K3/8 b - -,d3b3
2rrb1k1/1p2bppp/p1n1pn2/6Bq/3P4/P1N2N2/BP2QPPP/2RR2K1 b - -,f6d5
6k1/p5p1/4p2p/4P3/2rq4/P1n2QBP/5PP1/5RK1 w - -,g1h2
1nrqr1k1/4bp1p/6pB/1pP1p3/1P1nN3/3B3P/5PP1/R2QR1K1 b - -,b8c6
3n4/p1r1kp1p/1p2p3/5p2/3N1P2/2P3P1/P1P4P/2KR4 w - -,d4b5
3r4/1p2rk1p/p1pq2p1/P2ppp2/1P6/1NQBP1P1/5P1P/3R2K1 b - -,d6f6
r1b1qrk1/1p1n2bp/p2p1np1/2pP4/P3P2R/2N5/1P2BPP1/R1BQK1N1 w Q -,g1f3
1rb2rk1/p3pp1p/2p2npQ/7P/1q6/1PN2p2/PKP3P1/3R1B1R w - -,h5g6
4r1k1/3n3p/2QP1np1/4pp2/4P3/4RNPP/1q1N1PK1/8 w - -,e4f5
8/5P2/6K1/3k4/8/8/8/1q6 w - -,g6g7
rn2r1k1/1p3ppp/p1b5/6B1/6P1/2N4P/PPPK1P2/R6R b - -,c6h1
2rr2k1/p4ppp/1q3b2/2pP4/4QPn1/2N1P1P1/P2B3P/R2R2K1 w - -,a1c1
6R1/p4p1p/7k/8/8/2N2PR1/Pr5r/6K1 w - -,g3g2
r7/1p1R1b1p/1np2kp1/p1n2p2/2P2P2/1PN1P3/P1N2K1P/1R3B2 b - -,c5d7
r1b2rk1/pp3ppp/2n5/3q4/3p1Bn1/P2B2N1/1PP2PPP/R2Q1RK1 b - -,g4f6
8/3r2pk/pR3r1p/P1p1q2P/2b1p3/2pnB1N1/4QPP1/5RK1 w - -,e2g4
1r4k1/p4p1p/B5pP/n3p3/6P1/qPPQ1P2/2P5/2KR4 w - -,c1b1
b2q4/4n1k1/5rpp/1B1p4/1P1Q4/4P3/5PPP/2R2RK1 w - -,e3e4
8/p4r2/1p6/6p1/1Pk5/8/5r2/2Q3K1 b - -,c4b4
r1bq1rk1/p3b1pp/2ppp3/2p1Q3/2P5/3P4/PP3PPP/RNB1R1K1 w - -,e5e2
4k1r1/5p1p/4bp2/1pNqp3/8/4BP2/5KPP/1Q6 b - -,d5a2
2k5/2bq4/1p2n1QP/8/8/6P1/2R4K/8 w - -,h6h7
2b1r1kb/r2n1p1p/p2p1npB/q1pP4/Pp2P3/5P2/1P1QBNPP/R2N1RK1 w - -,d1e3
8/8/6B1/8/1p1rk3/2r5/5P2/1R3K2 b - -,e4d5
rn1qkb1r/p2p1ppp/bp2p3/4P3/2Pp2n1/5NP1/PP1N1P1P/R1BQKB1R w KQkq -,h2h3
6k1/1p1b2p1/1r1Pp2p/p6P/P4R2/1B2r3/1KP3P1/3R4 b - -,e3g3
r7/pp2k2p/1q2p1p1/3p2B1/3P1Q2/8/PP4PP/6K1 b - -,e7e8
1r2qb1k/1p1b2pp/p7/3P2Q1/3Br3/1P1B4/2P3PP/5R1K w - -,d3e4
k1r1r3/q5pp/5n2/1R1pN3/5Q2/8/5PPP/1R4K1 w - -,f4b4
8/pp3pk1/2p5/3n2p1/3P4/2P2P2/PP6/4KB2 b - -,f7f5
8/1pr2p2/3n1kp1/p2P3p/3K1P1P/PP1B2P1/8/4R3 w - -,e1b1
8/7k/2qp2pp/8/2P1rP2/4pNP1/4Qn1P/2R3K1 b - -,e4e7
2rq2k1/4b3/4pp1p/1pNp1bp1/pPnPn3/P3PN1P/5PPB/Q1RB2K1 b - -,g8f7
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R w KQ -,b1d2
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP2b1/1P3N2/PBQNPPPP/R3KB1R b KQkq -,g4f5
r1br2k1/pp3pbp/2p3p1/3pP3/3P1P2/BPP3P1/6BP/R4RK1 w - -,a3c5
2r3k1/1p1r1pp1/pRn1pq1p/2P1N3/3PQ1PP/8/P4PK1/3R4 b - -,d7d5
1r1q1rk1/3b2bn/pp1p2pp/2pPpp2/1PP1P3/1RN3PP/P2BQPB1/5RK1 w - f6,e4f5
r1br2k1/p3bppp/1p6/3PP3/2PNP3/2B4P/P5B1/R6K b - -,e7c5
3r3r/pkp2pp1/1pn5/3pPb2/3P3P/5BP1/PP1N1K2/2R3R1 w - -,d2b3
rn1q1rk1/pb1pppbp/1p4p1/2p5/2PPn3/1P3NP1/PBQ1PPBP/RN3RK1 b - -,c5d4
r1bq1rk1/bppp1ppp/p1n2n2/4p1B1/4P3/1BPP1N1P/PP3PP1/RN1QK2R b KQ -,h7h6
r2r2k1/ppq2pbp/2ppbnp1/4p3/Pn1PP3/2N1BNPP/1PP1QPB1/3RR1K1 b - -,a7a6
8/4k1p1/8/6p1/1n2KP1P/8/3b4/8 w - -,f4g5
6rk/pp3pp1/2rqb2p/3pR2P/3P4/P1P2P2/1B4QP/1K4R1 w - -,g1e1
r3kb1r/pp3ppp/2p2n2/4n3/5N2/2P3N1/PPb1BPPP/R1B1K2R w KQkq -,e1g1
r4r2/p1p2p1k/1p1p1bpp/2nP3n/2P1PPq1/2N5/PPQB2NP/4RRK1 w - -,g1h1
1r1qbrk1/p1b3p1/2p1p2p/2pnPp2/2Np1PP1/3P3R/PPPBQ2P/R5KN b - g3,f5g4
8/8/8/R7/4pK2/4r3/5k2/8 w - -,a5a2
1k3r2/pbpp3R/2p5/5Br1/2P3P1/8/1K3P2/3R4 w - -,h7d7
r2q1rk1/2pbppbp/p1np1np1/1p4B1/3PP3/2P2N2/PPBN1PPP/R2Q1RK1 b - -,h7h6
r4rk1/p4p1p/Q3bp2/3q4/3Pp3/2P5/P3BPPP/R2R2K1 w - -,c3c4
2n3k1/1pNb2pp/8/p2pPp2/Pb1P4/1P2BNP1/6KP/8 w - -,c7d5
2r3k1/6pp/6b1/4N3/2np4/1P5P/5PP1/5RK1 w - -,b3c4
r1b3k1/3qB1bp/pp2p1p1/2ppP3/7Q/1PNP4/1PP3PP/5R1K w - -,e7d6
r5k1/p4rb1/3p1n2/q1nP1P2/1p2pN2/4BPP1/PP1Q1K2/R4N1R b - -,e4f3
r1b2rk1/pp1pnpbp/1qn1pBp1/2p5/2B1P3/2NP1Q2/PPP1NPPP/2KR3R b - -,c6e5
8/p7/2R5/kPn2p1K/P7/4b3/8/8 w - -,c6c7
r5k1/p4r2/b2P3Q/2p5/1p6/5P1P/PP6/6KR b - -,a8e8
6k1/7p/p1Q3p1/1p1n4/3q4/1P4NP/P5PK/8 w - -,c6a6
r4rk1/1p4p1/4bq1p/p1bpn3/8/P1N3BP/1P2BPP1/R2Q1RK1 b - -,a8d8
r2qk2r/pp1nnpb1/2p3p1/4p1Pp/3pP2P/3P4/PPPBBPQ1/R2NK2R w KQkq -,f2f3
rn1q1rk1/pbp1bppp/1p2pn2/3p4/3P1B2/2PBPN2/PP1N1PPP/R2QK2R w KQ d6,h2h3
4r1k1/p4p1p/b5p1/3p4/P7/1P5P/5RB1/6K1 b - -,d5d4
r4rk1/q4pp1/3p3p/2n1p1b1/8/2N1QP1P/1PPB1P2/2KR3R b - -,g5e3
8/6kp/2N3p1/3p4/1P2nR2/4P1P1/5PKP/1r6 w - -,c6e7
r5k1/1pp2ppp/p2Q1bb1/8/5P2/P5rP/BP4P1/R1B2RK1 b - -,c7d6
1r6/8/1p1n2k1/2pBp1bp/P3P1p1/3PB1P1/4KP2/1R6 b - -,g5e3
r2qk1r1/1p2b2p/p2pp1p1/8/P2BP1n1/2N5/1PPQ2PP/R4R1K b q -,e7g5
4r1k1/4rb2/1pQ3pp/3n1p2/1P6/P2qbNP1/1B2R1BP/4R2K w - -,c6c2
2n3k1/p1r2p1p/5bp1/3Rp3/4P3/1BP2N1P/P4PP1/6K1 b - -,g8f8
8/5k2/8/5PK1/r6B/6N1/8/8 b - -,a4b4
6k1/pp4p1/8/4p2p/7P/P5P1/1P3PK1/8 w - -,g2f3
7r/2p2b2/1k3P2/5Rp1/3p4/3B4/P2K3P/8 w - -,f5b5
r1bq1rk1/1p4bp/2np2p1/pN2p3/1PPpPP2/P5P1/4N1BP/1R1Q1RK1 b - -,c8e6
4b3/rp1q2k1/2p1p2p/b1Pp1pp1/PN1P1P2/4P1P1/1Q5P/1R1B2K1 w - -,b4d3
8/R6p/3k2p1/4N3/5PB1/p6P/r1r3P1/6K1 w - -,g4f3
7k/p6p/1p4p1/3PPp2/8/qB4P1/5BKP/3r4 w - -,b3d1
8/5k2/2P1n2p/1p2Pp2/1P3p2/8/1B3K1P/8 w - -,b2d4
3B4/8/p1k2p2/1p1bp2p/5r1P/2PR1PK1/8/8 w - -,d8a5
r2q1rk1/5pbp/p2pb1p1/3pP3/8/PP4P1/1B3PBP/R2QR1K1 b - -,d6e5
8/1R6/5K2/4r3/3kp1B1/6bP/8/8 w - -,b7b1
3rr2k/1b2qpp1/pbp4p/1p1nPN2/6B1/P6P/1PQ2PP1/2BRR1K1 b - -,e7c5
r3k2r/pp1b2b1/7q/4pP2/4P3/2PP1p2/PP3Q2/R2NR1K1 w kq -,f2f3
R6b/5p1k/p3n1pp/1b2p3/4P1PP/P3BPN1/6K1/8 w - -,a8a7
r3nrk1/1bqn1pbp/1ppp2p1/pP6/3PPP2/2N1B1P1/P3N1BP/2RQ1RK1 b - -,c6c5
2r1rnk1/pp1nqppp/4b3/2ppP3/3P4/2NB1P2/PPQ1N1PP/4RR1K b - -,a7a6
rnq2rk1/ppp1ppbp/3p1np1/8/2PP2b1/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,c7c5
r3r1k1/5n1p/1n1q2p1/1Q3p2/3p1P2/1P4N1/PN4PP/1R1R3K b - -,e8b8
2r3k1/p3bpp1/b1nNp3/7p/Pp6/4BPPq/1PQ1PR1P/3R2K1 b - -,c6d4
r7/3q3k/p2p1Q2/3npP1P/1p4R1/1P2b3/P7/K5R1 w - -,g4g7
rn3rk1/p5pp/2p4n/Np5q/3NpPb1/1P1PP3/P4PBP/2RQ1RK1 w - -,f2f3
r2q1rk1/1b2Nppn/p1p2b1p/1p2nN2/4P3/3B2BP/PP2QPP1/2RR2K1 b - -,f6e7
6k1/q5p1/4pp1p/3b4/2RP4/p3QP1P/6P1/3R2K1 b - -,d5c4
1rbn1br1/1pk4p/4p3/1P1p1p1P/3P2p1/1NP3P1/5P1N/R3RBK1 b - -,g8g5
r2qr1k1/pb1nbpp1/1p1pp2p/8/3P4/2PB1NP1/PP1NQPP1/R3R1K1 w - -,a1d1
1q6/2n3rk/5p2/1B1R1P1p/PB2P2P/1K6/2R5/8 w - -,b4d6
3q1rk1/5ppp/p3n3/1pr5/1N1b4/5QP1/PP2PP1P/R1B2RK1 b - -,d8d6
8/1p3pk1/2bppp1r/p4Prp/2P1P2R/3B2P1/PPK2R1P/8 w - -,c2d2
r6k/P4pp1/1Q2b3/8/3p4/p7/R4PPP/2q2BK1 w - -,b6b8
4r3/1b2q1kp/1pp1p1p1/5p2/3Q4/1B6/PP3PPP/3R2K1 b - -,e6e5
r2qk2r/pppbbppp/5n2/nB1Pp1N1/8/8/PPPPQPPP/RNB1K2R w KQkq -,b1c3
8/8/p5p1/1pRbkp2/8/1P4P1/P2K4/8 b - -,g6g5
6k1/7p/1Bb5/8/7p/7P/6PK/4b3 b - -,e1g3
1r6/1p2qr1k/p5n1/2p1p2p/4Qp1b/B2PPP1P/2N1R3/5BK1 w - -,e2g2
3r4/1p3pkp/2prpbp1/p7/P1BP1P2/2P2K2/1P3P1P/1R2R3 b - -,d6d7
4r1k1/1p3p2/8/p2P4/1b2BR1p/6R1/PP4K1/8 b - -,h4g3
2r1r1k1/p4p2/5np1/3p3P/5BP1/1q1BP1Q1/3R1PK1/8 b - -,c8c3
8/3b3p/1R1Ppkp1/3r1p2/2B2P2/4K1P1/P6P/8 b - -,d5c5
8/6k1/b4qp1/1p5p/8/2P1Q1P1/3KB3/8 w - -,e2d3
r1b1kbnr/pp2pppp/2n5/3q4/3P4/2N5/PB3PPP/R2QKBNR b KQkq -,d5a5
8/p6R/1k3B2/5pP1/8/8/r5rP/3K3R b - -,f5f4
5r2/1p4pk/pBn5/3q1p2/3Np3/2P1R3/P4PPP/1Q4K1 b - -,c6e5
8/7N/K7/1p2k3/3n4/P7/8/8 b - -,d4c2
rnbq1rk1/1p1nbppp/4p3/pPpPP3/3P4/P4N2/3N1PPP/R1BQKB1R b KQ -,e6d5
r3r1k1/pp3p1p/1nn3pB/1B1b2N1/8/5P2/PKP3PP/3RR3 b - -,a7a6
8/8/6p1/4Kp1p/5P2/2k3P1/7P/8 w - f6,e5f6
r1bqnrk1/ppp3b1/3p1n1p/3Pp1p1/1PP1Pp2/1NN2P2/P3BBPP/R2QK2R w KQ -,h2h3
4r1k1/1b3pp1/3q3p/p6P/1NP1p3/1PQ2nP1/1KB5/R2R4 b - -,a5b4
rnbqk2r/pp2ppbp/3p1np1/8/2PB4/1P4P1/P3PPBP/RN1QK1NR b KQkq -,b8c6
3rrbk1/pp1q1bp1/2n2p1p/2pnp3/P1N5/2PP2PP/1P1BQPBK/R2RN3 w - -,a4a5
r1b1k2r/1pq1bp1p/p1p2npB/2n1p3/2P1P3/2N2N2/PP2BPPP/1R1Q1RK1 w kq -,b2b4
8/8/8/1p3kpp/1P1R4/6r1/3B1KP1/8 b - -,g3b3
r1bqn3/2ppbkpp/p3n3/1p2P3/8/8/PPP2PPP/RNBQR1K1 w - -,d1f3
r2q1rk1/4ppbp/p1np1np1/1pp5/4P3/2PPB2P/PP1N1PP1/R2QRBK1 b - -,f6d7
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f6d7
1B3b2/5n2/pR1p2k1/3Pp3/P3Pp2/2Nb4/5KP1/8 b - -,f8e7
2q5/4b2k/3pbp2/p3p2P/Pp2P1p1/1P1QBPN1/1P6/1K6 w - -,f3g4
1r4k1/1p3p2/pQ2p1p1/8/1P2p1N1/6PP/Pq3PB1/2R3K1 b - -,b2c1
6k1/q2b2p1/r2p2np/1p1PpP2/1P6/2Q3PP/2N2P2/2R2BK1 b - -,d7f5
8/8/5pk1/8/4P3/1pr4p/5P1K/1R6 w - -,b1g1
6k1/p5pp/1q2p3/8/p7/2p5/1r6/3RQK2 w - -,e1h4
8/1p2kp2/3bp3/p5p1/P1P3P1/1P1NK3/7r/1R6 b - -,b7b6
2bk4/7R/4pN1p/2KpP3/2pP4/8/2P5/r7 w - -,h7h6
r1bq1rk1/ppnnppbp/2p3p1/8/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 w - -,f1e1
Q7/7p/5q2/8/3pk2P/2p3P1/P6K/8 b - -,e4e3
r1b2bk1/1p3r2/p3p3/3p2P1/3N2n1/1QPKB2p/PP1N3q/R4R2 b - -,g4e5
6k1/6p1/Rp5p/4pn2/1P5P/4NrP1/5P2/6K1 w - -,e3f5
r2q1rk1/pp3ppp/2B2n2/2bp4/6b1/1P2PN2/PB3PPP/RN1Q1RK1 b - -,b7c6
R2N1b2/6kp/3p2p1/1r1Pp3/2n5/2B5/1P3KPP/8 w - -,d8e6
r3rbk1/ppp2N2/6np/3pp3/2B4q/P2PP2P/1PP3Q1/R3K2R w KQ -,e1d2
1r6/5ppp/2pbk3/pp1p4/3P4/P1P3P1/1P3P1P/R3BK2 w - -,e1d2
r2q1bk1/pb5p/2p1p1p1/n1Rp4/1N1P4/1P2PQP1/PB4BP/6K1 w - -,g2h3
1Q6/6pk/4Kp1p/8/7P/8/8/3q4 b - -,d1g4
r4rk1/2pbq1b1/np1p2p1/p1nPp1Pp/2P1P3/2NNB2P/PP4Q1/2KR1B1R b - -,c5a4
2r5/4bk1Q/p1p3p1/Pq1p1rP1/1n2pP2/4B3/1PP3BP/3R2K1 b - -,f7e8
3r2k1/1p2qpp1/p6p/4r3/P2p4/6P1/P2QPP1P/2R1R1K1 b - -,e7d7
8/2k4p/4p1p1/1p1bPp2/2p1pP2/1PP1P3/2B3PP/6K1 w - -,b3c4
6k1/p5p1/3N2np/3R4/2p5/6PP/Pr3P2/6K1 w - -,d6c4
2rqrnk1/pp2bppp/2p2nb1/3p4/N7/1P1PPN2/PB1QBPPP/2RR2K1 b - -,f8e6
r1b1k2r/b1qp1pp1/2n1p3/1p5p/4P1nP/2N3P1/PP2NPB1/R1BQ1RK1 b kq -,c7b6
r4k1r/3q1pp1/1Q4n1/3p4/3N2bp/4BN2/PP3PPP/R4RK1 w - -,b6c6
4N2R/5p2/4pk2/6p1/3r2P1/5n1P/5P2/5K2 b - -,f6e5
2n2r2/r1p1R2p/2B3pk/2P1p3/1p3P2/6PP/1Q6/6K1 b - -,c8e7
r1b3k1/pp1p1ppp/3P1q2/5n2/3r4/PQ1B4/1P3PPP/R1B1R1K1 b - -,f5d6
8/2p1rk2/p1p2Ppp/3p4/3Bb1P1/1PP4P/P2R1K2/8 b - -,e7e6
4r3/4Pk2/7p/7K/p1p1R3/P6P/1P6/8 w - -,e4c4
r1b3rk/1pq2p1p/2pp1P2/p2Pp3/2P2p2/3BB3/PP4QP/R3K2R w KQ -,g2e4
2r1r1k1/4qp1p/p2p2p1/2nP4/1R2p3/2P3QP/1P3PP1/R1B3K1 b - -,e7e5
3r1rk1/1pqbbppp/pN1ppnn1/8/2P1PP2/1N1BB3/PP4PP/2RQ1RK1 b - -,d7c6
3rr1k1/1pq3pp/p2ppn2/P3n3/4P3/2NB3Q/1PP3PP/R4R1K b - -,c7c5
rqb2rk1/pp2ppb1/3p1npp/1N6/2PQ4/6P1/PP1BPPBP/R4RK1 w - -,d4d3
8/8/5k2/3p4/1p1Pp1P1/8/P2B1K1P/1b6 w - -,d2b4
8/2R2p2/2P2kp1/3K3p/5P2/2r3P1/8/8 w - -,c7a7
1rbq1rk1/pp2npbp/3pp1p1/2p5/1P1nP3/2NPB1P1/P1PQNPBP/1R2K2R w K -,e1g1
4r2k/1p1R3p/6p1/4bp2/8/4p1PB/2R4K/8 w - -,h3f1
r1b1k2r/1p1n1p1p/p3p3/2qpPp2/5P2/P1N5/1PPQB1PP/R3K2R b KQkq -,b7b5
8/1R3pk1/3b2p1/7p/4K3/3NP1P1/2r2P1P/8 w - -,b7b2:b7d7
1rb1knnr/1p2qp2/p2p3b/2pPp2p/P1P1P1pP/2NBB1P1/1P1Q1P1N/2K2R1R b k -,h6e3
1r2n1k1/1bq2pp1/1p6/pPp1p1Qp/P1P1P2P/B4PP1/3r4/3R1BK1 w - -,d1d2
r2r2k1/pp3p2/2p3p1/2nP3p/3qPR2/2N2QP1/P6P/2R4K b - -,d4g7
8/8/2pk3p/p1p1p1pP/2P1PbP1/1P6/PK2N3/8 b - -,d6c7
r2qkb1r/1p1np1pp/p1n1p3/3p4/3P4/5N2/PP3PPP/RNBQ1BK1 w kq -,b1c3
4r1k1/p5b1/1p3qb1/2p1N1pp/2P5/1P2Q1B1/P4PP1/4R1K1 b - -,f6f5
rn1r2k1/pp1bqpp1/1b2p2p/8/8/P1N1PN2/1PQ2PPP/1BR2RK1 b - -,g7g6
3r1rk1/pb1n1ppp/1p2pq2/1Npp1n2/P1PP2N1/1P2PPP1/1Q4BP/R2R2K1 b - -,f6e7
r1bq1rk1/pp1nppbp/2p2np1/3pN3/3P1B2/2N1P3/PPP1BPPP/R2QK2R w KQ -,h2h4
8/pp6/2b5/2N5/8/4K1k1/PPP5/8 w - -,c5d3
1R3rk1/4p2p/3p4/2pP1p2/8/2Pn1P2/P2B2PP/4R1K1 b - -,f8b8
8/8/4K3/4Np1k/5P2/7P/8/6n1 w - -,e6f5
r3k2r/1bnp1ppp/3b1n2/2pp4/8/1BN1P3/PP2NPPP/R2RB1K1 b kq -,e8g8
r1r5/2pnk2p/Np1p1qn1/1P1Pp3/p3PpR1/P4P1B/1P1Q3P/1K1R4 w - -,d1g1
2b3k1/7p/p1q3pQ/1p1p4/1P1P4/P5NP/5PK1/8 w - -,g3h5
r1bqr1k1/p3b2p/1p3PpB/2p5/2Pp1P2/3B4/P1P1Q1PP/1R3RK1 b - -,e7f6
8/n3rp2/3N2pk/8/KP5p/7P/3R2P1/8 b - -,a7c6
6k1/p1q2pp1/6rp/2pr3b/4p1n1/P3P2P/1BR2PP1/1R3NQK w - -,h3g4
3rr1k1/1pp2pp1/1p3n2/3q1PQ1/2bPp2p/P1P1R2P/1PBB2P1/R5K1 w - -,g5h4
r1q2rk1/pp2ppbp/1nn3p1/4Pb2/5B2/1BN2N1P/PP3PP1/R2Q1RK1 w - -,f1e1
r2r2k1/3n1pp1/1p2pq1p/p1pb4/3P4/Q3PNP1/PP1RBPP1/2R3K1 w - -,c1d1
r2q1rk1/1p1bb1pp/3p4/pNnPpp2/P1P5/3B4/1P1B1PPP/R3QRK1 w - -,d3c2
6k1/3K1p2/5Qp1/8/6P1/8/8/4r3 w - -,g4g5
r1bq1rk1/ppp1bppp/8/nP2p3/2P5/3P1N2/P4PPP/RNBQ1RK1 w - -,c1d2
r1b1kb1r/1p1pqp1p/2n3p1/1p6/8/4QN2/PPP2PPP/RNB1K2R b KQkq -,b5b4
4k3/8/3B4/2Np2p1/P1pn4/1p6/3K3P/8 w - -,d2c3
7r/8/1k1p4/1qn1pBQ1/3rP2P/pP6/P1R5/1KR5 b - -,b5d3
r1r5/pp1n1pkp/4pqp1/1PPp4/5P2/P3P2P/3QB1P1/2RR2K1 w - -,c5c6
r1b2rk1/pppnqpbn/3p2pp/3Pp3/2P1P3/2N1B2P/PP1N1PP1/R2QKB1R w KQ -,g2g4
1k3r2/2p2pp1/Q2n4/1P5r/R3q3/5NP1/P6P/5R1K w - -,a4e4
8/8/7p/7k/1R5P/P6r/1K6/8 b - -,h3h2
8/p5k1/8/8/1P5P/P4RKP/3q4/8 b - -,g7g6
2Q5/5nk1/6pp/2BPp3/2P1q3/8/5PPK/8 b - -,g6g5
r3nrk1/1bpnq2p/1p1p2p1/p2Ppp2/1PP1P3/P1N4P/3QBPPB/R1R3K1 b - -,d7f6
3k4/1R6/1p2p3/p3P3/1r1p2p1/2K3P1/5P2/8 w - -,c3d3
5r1r/3kb3/2pnp3/2Bp2pp/pPbPp1P1/P4P1P/2N2K2/2R1R3 b - -,f8f3
rn2k2r/pp2q1pp/2pbBn2/5p2/3P4/2N1PN2/PP1B1P1P/R2QK2R b KQkq -,e7e6
rn1qkb1r/pb1p1ppp/1n2p3/1pp1P3/8/3P1NP1/PPP2PBP/RNBQ1RK1 w kq -,b1c3
r1b2rk1/pp2npp1/2p4p/4p3/2N1n3/1BP2N2/PP3PPP/R4RK1 w - -,f3e5
