8/6k1/6q1/1P2K1p1/2P2pQ1/7P/8/8 w - -,g4d7
r7/3k1p2/p2np2p/n2p2P1/Pp1P4/1P1BP1P1/2RN1P2/3K4 b - -,h6g5
8/1r3pk1/3p2pb/1qpPp2p/4P2P/Q5P1/P4P2/N2R2K1 w - -,g1g2
3r2k1/1br1npp1/pq2pn1p/1pp5/8/PP1P1NPP/1Q1NPPB1/2RR2K1 b - -,d8c8
r7/pp1qn1kp/3p2p1/2p1p3/2PnP3/2N1QP2/PP3P1P/2R2RK1 b - -,d7h3
r1b2rk1/1p3pp1/2nq3p/p1p1p3/2Pp4/P2P2P1/1P1NPPBP/1R1Q1RK1 b - -,c8e6
4bk2/8/1p2pppp/p2pN3/3P4/1P2P1P1/Pr3PKP/R7 w - -,e5d3
5rk1/1pQ2pp1/r5q1/5b1p/p2n1B2/2Rp2P1/PP3P1P/3R1BK1 w - -,f1d3
rn2k2r/ppq2ppp/2pbp3/8/2BPn3/2P2Q1P/PP3PP1/R1B1K2R w KQkq -,f3e4
2r1qrk1/4b1p1/1pnn4/p1p1p3/P1P1N1Pp/2P1B3/1P2Q1BP/3R1RK1 b - -,e8g6
r4rk1/1bq2pp1/3bpn1p/p1p1Nn2/2P5/P1BB1N2/1P2QPPP/R3R1K1 w - -,a1d1
8/5pk1/1pp2npp/p1b1p3/4P3/2P1N1NP/PP3PP1/3q2K1 w - -,e3d1
5rk1/p5p1/bp2p2p/4Np2/3P3q/2Q4P/P4PP1/R5K1 b - -,a6b7
8/1p1b4/2nk4/p2p2p1/3P3r/4KP1P/PP1R2P1/4R3 w - a6,b2b3
1k6/Nb6/pQ1b1q2/P7/5p2/1N1r3P/2P5/1K6 w - -,a7c6
r5k1/1p4b1/3p1r2/3Pp2p/4Pnpq/6R1/P4P1N/R2QBBK1 b - -,f4g6
8/1p3pk1/3R1b1p/1r5p/p7/2P2P2/1P3PK1/2B5 w - -,c1h6
rn1qkb1r/pp2pppp/5n2/3p4/3P4/2N1PQ2/PP3PPP/R1B1KB1R b KQkq -,b8c6:e7e6
5k2/pp5p/2p3p1/4p3/1PP1nq2/P7/2Q2PPP/5B1K w - -,h1g1
r4rk1/pp1nbppp/1qp1pn2/5b2/2pP1B2/2N1P2P/PP1NBPP1/R1Q2RK1 b - -,c6c5
1kb3r1/1pb2p2/p2p1p2/2q2N1r/4P2P/P1NQ4/1PP4P/1K1RR3 b - -,c8f5
2k2r1r/pp1bnpp1/2n1p3/3pP1N1/q1pP1PBp/P1P3P1/1QPB2KP/4R2R w - -,g4h3
8/7k/R7/2B5/4K3/pr6/8/8 b - -,b3b5
r1bq1rk1/2p3pp/p1Pppn2/1p3p2/1P1P4/P2BP1P1/1BQ2P1P/R3R1K1 w - -,f2f3
r3k1nr/pp1qppb1/2np2p1/2pN2N1/2P4p/3P2Pb/PP2PP1P/R1BQR1KB b kq -,h4g3
8/1p3k2/8/p4P1p/P2Bp3/1P5K/4P3/4b3 w - -,d4e5
1r1q1rk1/pb4b1/5nBp/n3p3/2p1NppP/3P1P2/PPPBN1P1/1RQ1K2R b K -,f6e4
r4rk1/ppp2ppp/1bn3q1/4p3/8/2PPBQPP/P1P2PB1/R3R1K1 b - -,a8e8
rnb1k2r/pp2ppbp/3p1np1/2q5/4P3/6P1/PPPBNPBP/RN1Q1RK1 b kq -,b8c6
r1bk3r/pp2ppbp/2n3p1/1B2p2n/5P2/2N1B3/PPP3PP/R3K1NR w KQ -,e1c1
rn1qk2r/pp2bpp1/2p1pn1p/3p1b2/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -,c4d5:f3d4
r1bq1rk1/pp2bppp/2n2n2/2pp4/8/2NP2P1/PPP1NPBP/R1BQ1RK1 w - -,c1g5
8/5rp1/8/ppkp3P/6P1/2P5/PP4K1/4R3 b - -,b5b4
r4r2/pppqpkbP/6p1/3pPP2/3P1Q2/3P4/PP2N3/R3K2R b KQ -,d7f5
2k4r/pp4p1/3qp2p/2p3r1/4Q3/8/PP3PPP/R4RK1 b - -,d6d5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq d3,d5c4:f8e7:c8d7
rnbqk2r/ppp1ppbp/3p1np1/8/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,e8g8
r2q1rk1/pp1n1ppp/5b2/3Pp3/6b1/1BN5/PP2NPPP/R2Q1RK1 b - -,d7b6
r2q1r2/pppbk2B/2n2n2/3p4/3P4/P3PP2/1PQ2P1B/2KR3R w - -,c2c5
1r2r1k1/2q4p/3p2p1/1ppP4/4p3/1PQ3P1/n4PBP/3R1RK1 w - -,c3d2
r2q1rk1/pp2bpp1/2p1pn1p/3pnb2/2P2P2/1P1P2PP/PB2P1B1/RN1Q1RK1 w - -,f4e5
1rb1q1kb/5p2/p4Prp/n2pP2B/NppP4/4B2P/PP5K/RQ3R2 w - -,h5g6
2kr3r/3q4/1b2p3/2P4p/1p1pQpp1/8/3B1PPP/R2R2K1 b - -,b6c5
8/7p/P2p2p1/1K1Pk3/1R6/5r2/8/8 w - -,a6a7
3r1rk1/pp3ppp/2n1p1q1/2b5/2PP4/2P1QN2/P4PPP/R4RK1 w - -,d4c5
r5k1/4pp1p/1p4p1/3P4/1p2P3/1NR5/5PPP/5K2 w - -,c3c4
8/4k1p1/4R1P1/3P4/3KPP2/5b2/8/4r3 b - -,e7d7
6k1/p2r1p1p/r2P1p1b/2PR1R2/8/3K2B1/P5PP/8 w - -,a2a4
8/8/7k/p2N1pp1/1p6/8/2K2P2/8 w - -,d5e7
3q1r2/R2nppkp/3p1np1/1QpP2B1/2N1P3/2P3P1/5PKP/8 b - -,h7h6
r1bqkb1r/pp1p1ppp/2n1p3/8/4PP2/2N5/PPP2QPP/R1B1KB1R b KQkq -,d7d5
5rk1/5p1p/8/1R5P/3P1P2/4P3/r4PK1/8 b - -,h7h6
8/4npk1/3b2pp/3p4/4q2P/1B1QPNP1/5PK1/8 w - -,d3d1
1r6/4b1p1/3pkp1p/R3p3/4P1P1/1pP1BPP1/3R4/3K4 b - -,b3b2
3r2k1/4qppp/1pn1p3/pB6/P2bP3/6P1/1P3PKP/1R2BQ2 b - -,c6b4
r4rk1/pbq2p1B/2p4p/1pb1P1pn/5Bn1/2N2NP1/PPQR1P1P/R5K1 b - -,g8h8
6k1/6p1/4b3/2B1P3/p5P1/P3QPK1/8/3q4 b - -,d1d5
r1b2rk1/p5p1/2p1p2p/3pB1q1/6Q1/3B4/P1P2PPP/3KR3 w - -,g4d4
1rb1r2k/p1p4p/p1Pb1nq1/3Pp1p1/N1Q1Pp2/P4N1P/3B1PPR/4R1K1 b - -,g5g4
8/8/8/1k1n1p2/p2P3p/P2K2P1/8/6B1 b - -,h4g3
1r1q1rk1/ppp2ppp/3b2b1/4n3/6P1/2P2N1P/P1P2PB1/1RBQ1RK1 w - -,f3e5
8/5qp1/p1Qb2k1/5p1p/1p2p3/1P2P1P1/7P/4B1K1 b - -,f7f6
r1r3k1/1pqnb2p/3p2p1/3Pp1Pn/5p2/pP3P1B/P1PQNB1P/1K1R2R1 b - -,h5g7
8/p4R2/1p2p3/2pkPp2/5r2/PP6/1KP5/8 b - -,a7a5
r1br2k1/ppq1bppp/8/3PP3/2PpP1n1/6P1/PB1N2BP/R2Q1RK1 b - -,c7b6
7q/5p2/1k2p1b1/2pn2P1/1p1p2P1/pP1P2Q1/P1PB3N/6K1 b - -,h8d8
2b5/2p2n1p/3k1pp1/p1p1p3/2P1P2P/1P1NK3/P2N1PP1/8 w - a6,d2b1
r4rk1/1p1nbppp/pn2p3/1N1p4/8/3PBBPP/PP2PP2/R4RK1 w - -,b5c3
1k3r1r/1pqnb1p1/p3p3/P1ppP3/3Pp1Qp/1PP1P3/1B1N2PP/R3K2R b KQ -,c7c6
1r1b1r1k/R1pq3p/1p1p4/1P1Pp3/4Pp2/1p3Q2/1P3B1P/2R4K w - -,c1g1
5rk1/1r2ppbp/pp1p1np1/2q5/P1PQ4/1PN1P3/1B3PPP/1R1R2K1 w - -,d4d3
4r3/p1p2k2/2ppr1pp/5q2/1PP1nPR1/5Q2/2P4P/4B1RK w - -,b4b5
8/8/8/B1p1pk1p/8/1P1PbPK1/8/8 b - -,h5h4
5rk1/p1q3pp/1p1b1r2/n2bNp2/P1pP1P2/2P4P/1BB1QRP1/3R2K1 b - -,a5b7
r2n1rk1/pppqn1b1/3pb1pp/1P2pp2/2P5/2NP2P1/P1QBPPBP/1R2NRK1 b - -,f5f4
1k2rbnr/pppq2pp/2n2pb1/3pp3/QP1P4/2P1PNBP/P2NBPP1/2KRR3 b - -,f8d6
1k3R2/ppb1r3/2p5/2N5/3P4/2P3Pp/PP5P/7K b - -,c7d8
3r1n1k/5Rp1/1Q2p2p/p7/8/1B3P1P/P2q2PK/8 w - -,b6c7
8/pp6/b2R1pk1/2P1B1p1/P3P3/2P5/2r3P1/7K w - -,d6f6
2r1r1k1/pb2qp1p/1n4p1/2p5/P3p3/4PN1P/1P1RBPP1/2RQ2K1 w - -,f3h2
r5k1/p4p1p/4p1pb/3pP3/2rB4/8/PP1R1PPP/R6K w - -,d2d3
1r2rbk1/2nq1p1p/6p1/1ppPB2n/2N5/2N2Q2/1P3PPP/R3R1K1 w - -,g2g4
q7/5ppk/1r1R1b2/1B1R4/P1N2PP1/7P/1PK5/8 b - -,b6b5
r1b2r1k/pp2b2p/1qn1p3/3pn3/5PQ1/2N3P1/PPN3KP/R1B2B1R w - -,g4e2
2kr1b1r/ppqn1pp1/2p1pn2/6P1/2pP4/2NBP2p/PP1BQP2/2KR3R w - -,d3c4
5rk1/1ppqppb1/r4np1/p5Bp/3P2PQ/2PR3P/PP2N3/5RK1 b - -,a6e6
5k2/1b2bPpp/p2p4/1pn1P2P/2q1P3/8/2P3B1/1KBRR3 b - -,d6e5
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2PP1N2/PP2QPPP/RNB1KB1R w KQkq -,g2g3:b1d2
r1bqkb1r/pppp1ppp/2n2n2/8/2BQ4/2N2N2/PPP2PPP/R1B1K2R w KQkq -,d4h4
rnbq1rk1/4ppbp/p1pp1np1/8/2PN4/2N3P1/PP2PPBP/1RBQ1RK1 b - -,d8c7
2rr2k1/1p3p1p/2n3p1/PR4b1/8/2B4P/4BPP1/3R1K2 b - -,d8d1
2r1qrk1/1bpnbppp/p3pn2/Bp6/3P4/5NP1/PPQNPPBP/R4RK1 w - -,b2b4
8/1n1bk2p/3n2p1/p2pN1P1/1p6/1P2B2P/P4K2/5B2 w - -,f1g2
8/6p1/R4k2/5n1P/P1N4r/KP6/8/8 b - -,f6e7
r4rk1/1bp1q2p/pp1b1np1/3p1p2/3PnP2/1QNBP1N1/PP4PP/2B1RRK1 b - -,g8g7
R7/5pk1/6pp/Pp1r4/8/5r2/6R1/6K1 b - -,f3a3
r2q1rk1/1p2ppbp/1np2np1/8/p2P1Nb1/P1N3P1/1PP2PBP/1RBQ1RK1 w - -,f2f3
8/7R/3p3p/2bP3k/1p3p2/5K2/5P2/8 w - -,h7g7
2R2bk1/8/1r6/8/2N1p3/1pP2nP1/1R3P2/5K2 b - -,b6b7
rn1q1rk1/pb3pb1/1pp1p1pn/3pP1Bp/3P4/3B3N/PPP1NPPP/R2Q1RK1 b - -,d8d7
2r1k2r/3bnpbp/q3p1p1/n1ppP3/p4P2/P1PP1NPP/2QB2BK/1RN2R2 b k -,c5c4
r1bq1rk1/3nppbp/p2p1np1/P1pP4/2N1P3/2N5/1P3PPP/R1BQKB1R b KQ -,a8b8
3r4/1p3pk1/2b3p1/8/r5NP/5n1P/2P1B3/1RK2R2 b - -,f3h4
r1bqk2r/pp1nppb1/3p1np1/2pP3p/4P3/6PP/PPP1NPB1/RNBQ1RK1 b kq -,b7b5
2n2r2/r3q1kp/1p2bp2/p1pNpp2/2P5/PP2P1PP/1Q1R1PBK/3R4 b - -,e7f7
5rk1/1p2p1b1/4b1pp/P1n2p2/8/6P1/3NPPBP/1nB2RK1 w - -,d2b1
b1rq3k/4N1p1/1np1Qr1p/1p6/1P1P4/3BP3/5PPP/2R2RK1 w - -,e6e4:e7g6
3rr1k1/ppq2ppp/2n5/8/8/PP1RP3/1PQ3PP/1K3B1R b - -,g7g6
r4qk1/1bp2ppp/1pr1pn2/pN1p4/8/PQ4P1/1P1NPPBP/2RR2K1 b - -,a5a4
8/1R6/8/3pp3/1P3p2/5k2/1PP5/4K3 b - -,d5d4
1n6/q4rkp/1p1p1rp1/1B1Pp3/1PP5/3R1PP1/1Q4KP/2R5 b - -,g7h6
4rkr1/p5qp/1p1p4/2p2p1R/2PnPPP1/8/PP1Q1K2/3BR3 w - f6,e4f5
4r3/5pk1/1pp1rqpp/p2nN3/P2P4/6PQ/1P3P1P/2R1R1K1 w - -,h3g2
6r1/8/4B2p/2k5/1pP2PP1/8/1P1K3P/8 b - -,g8g6
8/8/1r2p1k1/R4Pp1/8/4PK2/8/8 b - -,e6f5
8/ppp2pk1/4b1p1/7p/2PrP3/1PN2R1P/P5P1/3BK3 w - -,d1c2
2r3k1/5p1p/b3p1p1/1pn1P3/5P2/N5PP/PPB2K2/3R4 w - b6,b2b4
r1b3nr/ppp1kp2/3p3p/1B1Pb1q1/4Pp2/2N5/PPP3P1/R1BQK2R w KQ -,d1f3
8/8/5p2/R6p/5k1K/5r2/8/8 w - -,h4h5
6k1/3r3p/p4n2/1rp1pp2/2Nb4/BP1R2P1/P5KP/2R5 w - -,d3f3
2r2rk1/2qnbppp/p3p3/1p1b4/5P2/PN1BBQ2/1PP3PP/R4R1K w - -,f3h3
r1b2rk1/p7/7p/1P3n1B/P1P2P2/3R4/5P1P/4R1K1 b - a3,a8b8
3r1rk1/1p2bppp/p1q1p3/2p5/N1P2PPn/1P2B3/P3Q2P/2R2RK1 b - -,d8d7
R7/8/8/5k2/8/P1KP2p1/1P4r1/8 w - -,a8g8
rnbq1rk1/pp2b1pp/2ppp3/5p2/2PPP3/2P2NP1/P1Q2PBP/R1B2RK1 b - e3,b8d7
8/4kr2/p7/7R/2P5/1K4p1/1P6/8 b - -,f7g7
2brrqk1/p1p3bp/1np3p1/4P3/2P5/1P1p1NPP/PB1Q2B1/2R2R1K b - -,f8e7
1r3rk1/pp2qn1p/4p3/PNPp1p2/3Pn1p1/4PN2/1Q3PPP/1RR3K1 w - -,f3d2
4r1k1/2p1rp2/3p3p/1p1P2p1/6P1/PB2bP2/1P1K4/4RR2 w - -,d2d3
8/8/8/7P/2k1b1K1/6B1/3R4/7r w - -,g3h2
8/8/1n1kb3/2p1p1p1/1pP1Pp1p/1K3P1P/1PN1B1P1/4B1b1 w - -,e2f1
5r1k/6p1/p1rpb2p/q7/pRPQPp2/N4P2/2R3P1/6K1 w - -,b4b7
rnb1k2r/pp1n1pbp/3p2p1/1BpP4/P3PP1q/2N3P1/1P5P/R1BQK1NR b KQkq -,h4e7
r1bq1rk1/pp1n1ppp/2pb1n2/4p3/2BPP3/2N2N2/PPQ2PPP/R1B2RK1 w - -,h2h3
4n3/1p6/p1p1b3/P3p1pk/1P2P3/2P1BPK1/8/5B2 w - -,e3c5
1rnqr1k1/1p1b1pbp/p2p1np1/2pP4/P7/NQN3P1/1P1BPPBP/R4RK1 w - -,b3c4
8/1p1k3p/1R4b1/p1p3p1/P1P2bP1/1P3P1P/6K1/8 b - -,f4c7
3r4/1pk1rpp1/2p1pn2/p5p1/2PP4/PB2KPP1/1P1R3P/3R4 w - -,b3c2
8/p2rb3/8/P2kBp2/1P3Pp1/3p4/1R3P2/2K5 w - -,c1d1
2kr1bnr/pppqpppp/2n5/7b/1P6/2N2N1P/P1PPBPP1/R1BQ1RK1 b - b3,e7e5
2r3k1/5p2/3prbp1/1p5p/p1n2P1P/P1P3P1/1PB2K2/2BR2R1 b - -,f6d8
8/3Q3p/6pk/4p3/4P3/4qPKP/6P1/8 w - -,d7d6
8/1rNR2bk/6pp/5p2/3p1PP1/7P/6K1/8 b - -,b7b2
6k1/r1p1nppp/2p2q2/Pr1pP3/3P4/R2Q1PN1/3B1P1P/5R1K b - -,f6h4
r3k2r/1p2qppp/p1npbn2/4p3/2B1P3/2N5/PPP2PPP/R1BQK2R w KQkq -,c4b3
8/3kp2p/pR4p1/P2p4/8/2P5/1Pr2PPP/5K2 w - -,h2h4
3q2k1/rbQ1n1pp/1p1r1p2/pP1p4/B2PnN2/P3PN2/5PPP/R1R3K1 b - -,d8e8
1n1r1k2/1q4pp/2pbBp2/1r2p3/1PQ1P3/4B3/5PPP/1RR3K1 w - -,e6g8
r3r1k1/pp3pbp/q4np1/P2PBb2/n1p5/2N2N1P/1P3PP1/R2QR1K1 w - -,d1a4
1r3nk1/1r1bpq1p/6p1/1ppPp3/2P1N3/1P4PP/RB4BK/Q7 b - -,b5c4
r1b1k2r/p1q2pp1/2pb1n1p/n7/8/1P1N4/P1P1BPPP/RNBQK2R b KQkq -,e8g8
3k4/p7/2p2p2/5Q2/1bPp4/3P1NqP/P7/5K2 b - -,d8c7
r1bqr1k1/ppnp1ppp/2p2n2/2b5/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 b - -,d8e7
r3k2r/pp1n1p2/2bbpp2/7N/3P3P/8/P2BBPP1/R4RK1 w kq -,g2g3
4r1k1/1q3p2/pBp1n1p1/P1b1p1n1/1PB1P3/5PPp/5Q1P/3R3K w - -,b4c5
r2qrnk1/1b3p1p/p2p1bpB/np6/3NP3/6N1/PPB2PPP/R2QR1K1 w - -,b2b3
1r2n1k1/1q3p1p/3rp1p1/B7/B3R3/8/PP1bQPPP/5RK1 w - -,a5d2
2r2rk1/p4pnp/1p1p2p1/3P4/P7/1P4P1/2R1NP1P/4R1K1 w - -,c2c6
8/p1nr1pkp/1p3bp1/2p5/4P1P1/P3BN1P/bPP1BK2/1R6 w - -,b1a1
3r1rk1/pp3ppp/2n5/4p2q/1P4b1/P3QNP1/4PPBP/R4RK1 w - -,f1d1
2b1r1k1/p2q1pp1/1p5p/8/1P3P2/P2Q2P1/5N1P/2R3K1 b - -,d7b7
8/2n3Rp/2k1p2r/4N3/8/3B3b/1PP5/1K6 b - -,c6d5
rn1q1rk1/pp3pbp/3ppnp1/2pP4/2P1PPb1/2NB1N2/PP4PP/R1BQK2R w KQ -,e1g1
2b5/p1q3k1/4p1Q1/4N3/1p1p2P1/1P1P2K1/5P1P/8 b - -,g7h8
r3r1k1/pb1qppbp/3p2p1/N2Nn3/2P5/4PQP1/PP3P1P/R1B2RK1 w - -,f3e4
2R5/8/R4n2/3p1k2/Pp6/1PbK3p/8/4r3 b - -,h3h2
2r5/p1r1qk2/2PRp3/1Q2Pp2/P5p1/6Pp/5P1K/2R5 w - -,c1d1
8/4kp1p/3p2p1/1n1Pp3/1Pp5/r1P2P1P/1K2N1P1/3R4 w - -,f3f4
8/6k1/3P1qp1/5p2/1QB1r3/1P1N3P/6PK/8 b - -,e4d4
r3r1k1/pp5n/q3b2p/4B1p1/3R3N/4Q2P/P5P1/3R2K1 b - -,a6b6
2q2rk1/p2nppbp/5np1/2pP2B1/1rN5/1PN2Q2/P4PPP/3RR1K1 b - -,f8e8
8/8/1Bb1p1p1/1p2P1Pp/p4K1P/P1Pk4/8/8 b - -,d3c3
r4rk1/1bp2pp1/p1n1pn1p/1p5q/3P3N/2PBB1P1/PP1Q2PP/R4RK1 b - -,f6h7
2b1rbk1/4qpp1/p2r3p/P2Pp3/N1Q1P3/7P/5PP1/1RR3K1 w - -,a4b6
8/8/6p1/2Q4p/1p2qp1P/1P6/Pk4P1/5K2 w - -,c5f2
1r4k1/pp2nppp/2r1p3/3pP3/P2P1P2/3BB2P/1bP2P2/1R3RK1 b - -,b2c3
r2q1rk1/pp1bbppp/2n1pn2/1BPp2B1/3P4/2N2N2/PP3PPP/2RQK2R b K -,h7h6
2r3rk/p2b3p/1p2p3/PP1pPpbq/3B4/1Q1R4/1N3PPP/4R1K1 b - -,h5e8
rn1q1rk1/pb1pbppp/1p6/2pp1N2/2P1n3/6P1/PP2PPBP/RNBQ1RK1 w - -,c4d5
4rrk1/pp4pp/4p3/1qb1PpN1/4nN1P/6P1/PP3P1Q/3R1RK1 b - -,b5b6
2rq1rk1/pp3ppp/1nnp4/8/6b1/2Q1PN2/PP1NBPPP/R4RK1 b - -,d6d5
r1q2rk1/1pp2ppp/p1nb4/4pb2/3P4/1QP2NP1/P1P2PBP/R1B1R1K1 b - -,e5d4
7k/5p1p/p1nq1p2/4p3/1p2P3/2P2QPP/1P5K/5B2 w - -,f1a6
2r3k1/pb3pp1/1p2p1p1/8/2P5/1Q4P1/P3BP1P/2qR2K1 b - -,c1g5
