8/p1R2qk1/6p1/8/5Bp1/8/5P2/2K5 b - -,f7c7
8/8/3pk1pp/8/2P4P/N2R1KP1/q7/8 b - -,g6g5
R7/p3r1pp/1pn5/1k2p3/4Pp2/1PB2P2/4K1PP/8 w - -,e2d3
8/5p2/6p1/4p3/2r1Pk1p/p4P1P/P3RP2/1Nb2K2 w - -,f1g2
8/5pk1/2R4p/5P1P/6PK/r7/8/8 b - -,a3f3
rn1q1rk1/pp2bppp/2p3n1/8/3p4/2PP2PP/PP1NP1B1/R1B1QR1K b - -,d4c3
8/p3k3/1p2p1pp/3pP3/3P2P1/b1r4P/4K3/R4B2 w - -,e2d2
r1bqkb1r/pp1n1ppp/2npp3/6P1/3NP3/2N5/PPP2P1P/R1BQKB1R w KQkq -,c1e3:h2h4
r4rk1/pp2b2p/2p2np1/3p1p2/3P1B2/1P1KPN2/1P3PPP/R6R w - -,f4g5
7r/5k2/2R2p2/p3b1p1/6PN/1P2B2K/P4P2/8 w - -,h3g2
r3r1k1/5ppp/pnnq1P2/1pp1p1B1/3p2Q1/2PP3P/PPB2PP1/R3R1K1 b - -,h7h6
b3r1k1/5pp1/1R1b1n1p/2pP4/2p2P2/2N3P1/3B2BP/6K1 b - -,d6f8
7r/1p1b4/6kp/p2p2p1/P2N2P1/1PP2P1R/3K4/8 w - -,d4c2
1r3bk1/1bq1rp1p/p5p1/2p1p3/P1B1P1P1/1PN2Q2/2P4P/R4RK1 b - -,f8h6
r4r1k/ppq3bp/2pp2p1/2n2bB1/2PN3R/1Q4P1/PP3PBP/4R1K1 w - -,b3d1
8/8/3p4/2pP3p/2Pr1b1k/3B1R1P/5K2/8 b - -,f4e5
rnb1k2r/1pq2pp1/p6p/3Pb3/2PBP3/8/PP2B1P1/R2Q1R1K b kq c3,b8d7
r2qkbnr/pb1n1ppp/1p2p3/1P1pP3/P2p4/B4N2/2P2PPP/RN1QKB1R b KQkq -,f8c5
r4r1k/p4p2/pbpP3p/4PbqN/3p1Np1/8/PP3PPP/R1Q1R1K1 w - -,a2a4
r5k1/p4p1p/2N3p1/3P4/1pn1R3/7P/P4PP1/6K1 b - -,c4d6
r5n1/3qb1kp/p1rp2p1/2p1pp2/2P1PP2/1PNQB3/R1P3PP/5RK1 b - -,e5f4
6r1/1p5k/p1p1p1qp/P1Pp1pb1/1P1P1Br1/4P2R/3Q1RPP/7K w - -,d2b2
rn2k2r/3nqpbp/1p2p1p1/3pP1NP/p1pP1PP1/2P2N2/PPQ5/R1B1K2R b KQkq g3,b8c6
r2q2r1/p3b2k/1p2b1p1/3pPp1p/2pP1P1P/2P2N2/PPB4Q/R5RK w - -,f3g5
8/1p1r1qk1/p3R2p/2P5/1P2Qpp1/P7/6PP/4K3 w - -,e4e5
8/7p/6p1/3kp3/1Pn5/2B1K1P1/7P/8 w - -,e3d3
2q1r1k1/1b2bppp/p2p1n2/1p2p3/3Pn3/1P1BNN1P/PB3PP1/1Q2R1K1 w - -,d4e5
1rb2r2/pp3pk1/n1pNp1pp/P1P5/2Rq3P/R5P1/1P2QP2/1B4K1 b - -,d4f6
1r3b1r/ppp1p1pp/5n2/kN2p3/8/1R5P/1PP1KPP1/2BR4 w - -,c1e3
r3b1rk/1p2bq1n/2p1p2p/p2nP1p1/3P4/P2BBQNP/1P3PPN/R2R2K1 b - -,a8d8
r3kb1r/1p3ppp/pNbppn2/6B1/3RP3/5P2/PPP3PP/2K2B1R b kq -,a8d8
2k1rr2/1pp5/p1n3q1/6B1/2PppP2/1P2n1P1/PK1QRN2/4R3 w - -,g5h4
r4rk1/1q1n1pp1/p3p2p/1p6/1QNP4/2P1P3/5PPP/R4RK1 b - -,b7c7
7k/8/2K1N1R1/6P1/1p5p/1P3r2/n7/8 b - -,f3b3
r1bq1rk1/pp4bp/2np2p1/4p3/2P1Q3/4BN1P/PP2BPP1/3R1RK1 b - -,c8e6
8/p4k2/1p6/3N1p2/3K1Pp1/1P4P1/P6P/8 w - -,d4e5
5k2/1B3np1/1p1q1n1p/1Pp2P2/2P2p2/P6P/4Q1P1/2B3K1 b - -,d6d4
7r/1p4k1/1r1qbp2/p1b1n3/2PpPpp1/PP1B1P2/2QN2P1/R1RKN3 w - -,a1a2
r3kb1r/pp1q1ppp/4p3/2pP1b2/1nP3n1/4BN2/PP2BPPP/RN1Q1RK1 w kq -,b1c3
3r2k1/p4r1p/7b/1R3p2/N1PpP3/5RP1/P5KP/8 w - -,b5d5
6k1/8/2B3pp/8/5P2/p3P1P1/Pb5P/6K1 b - f3,g8f7
5b2/1p1n4/p1p1k1p1/P3p1P1/NP2Pp1P/2P5/4KB2/8 b - -,f8e7
r5k1/3nppbp/3p2p1/3P4/1PR3P1/5NP1/3B1PB1/1b1N2K1 b - -,b1a2
r4rk1/5ppp/1p2p3/p1n2n2/2Pp1B2/8/PP3NqP/1K1RQ1R1 b - -,g2f3
r3r1k1/2q2p1p/1pp1nbpB/p3p3/P3P3/1Q5P/1PP1NPP1/R2R2K1 b - -,a8b8
2kr3r/1bpq1p2/1p1pp1n1/p5p1/2PPPn1p/2P1NP1P/P1B2BP1/R2QR1K1 b - -,e6e5
1n1qkb1r/rp1npppp/2p3b1/p5P1/P1BP3P/1QN1PP2/1P6/R1B1K1NR b KQk h3,h7h5
8/b6R/6p1/8/4K3/2B3k1/r3p2p/8 w - -,c3e5
r1bqk2r/ppp2p2/2np1n1p/2b1p1p1/2B1P3/3P1NB1/PPP2PPP/RN1QK2R w KQkq -,c2c3:h2h3
rn1qkb1r/ppp1pppp/2b2n2/8/8/1QN2NP1/P2PPPBP/R1B1K2R w KQkq -,f3e5
2q3k1/1p2b2p/1p4rr/p2Ppp2/PnN3p1/1PN1P1P1/5P1P/2RR2KQ w - -,d5d6
3r4/4k3/p3p2p/1p2p2n/1R2Np1P/5P2/1P4P1/6K1 w - -,g1f2
7r/2rk1ppp/B3p3/N2n4/1p3P2/6P1/P1bB3P/2b1R1K1 w - -,e1c1
r1b3k1/pp3p1p/2p2bp1/8/2PrB3/8/PP3PPP/1RB1R1K1 w - -,c1h6
r1bqr1k1/pp3pbp/2pp1np1/4N3/PPP5/2N3P1/4PPBP/R1BQ1RK1 b - -,d6e5
6rR/1pp1nk2/p2p4/P1PPp3/1P2Pp2/2N5/4Kb2/6R1 b - -,f2g1
8/3R3p/8/1k6/p3N3/8/1K5r/8 w - -,b2a3
8/8/8/8/2n5/8/p1k1K3/B7 b - -,c4b2:c2b1
4q3/4r1pk/1Np4p/pbP4P/4pP2/2Q1P2R/P4K2/8 w - -,a2a4
r5k1/Pr2bppp/3p4/8/4p3/4P2P/R5P1/R1N3K1 b - -,e7f6
8/8/4R3/1rp2p2/pk3P2/6P1/2P5/2K5 w - -,e6a6
n1q1kbB1/6B1/4p3/3pPp1N/1p1P1Q2/nP3N1P/R4PP1/2r2bK1 b - -,f1e2
8/1R5R/4p1k1/1K6/6P1/7P/5q2/8 b - -,f2b2
5r1k/ppp3p1/2P5/4p3/6pq/1P1BQP2/PB6/5RK1 b - -,h4g3
7k/pbr2pp1/1p1Np2p/2prP3/3P1P2/8/PP4PP/3RR1K1 w - -,d1c1
6k1/r4p2/6pp/q1b1P3/2Q5/2N2P2/4K1PP/3R4 b - -,a7b7
6rk/8/6KP/R5P1/8/8/8/8 w - -,g6h5
r1bqr1k1/ppn2pbp/3p2p1/2pP3n/P7/2N1B1P1/1P1NPPBP/R2Q1RK1 b - -,f7f5
8/5pkp/q2p2p1/1R6/PR3P2/1N6/1P5n/1K6 w - -,b5b6
2rR2k1/p3bppp/1pn1p3/4P3/2P5/6P1/PB2BP1P/5RK1 b - -,c8d8
5k2/4bp2/p4pb1/1p6/2p1P1P1/2r1N3/P3K3/1B1R4 b - -,e7c5
2rqr1k1/1p3pb1/2pN2p1/p1Pp1n1p/Pn1P4/1PR1BB1P/3Q1PP1/4R1K1 b - -,f5d6
r2r4/2p2pk1/5npp/p3p3/2q1P3/2Q1RPPN/2P4P/R5K1 b - -,d8d4
1r1q1rk1/1p1bppbp/p1nn2p1/2p5/P7/N1PPBNPP/1P3PB1/R2QR1K1 b - -,b7b6
6rk/4q2p/2p5/P2pPnrR/3P1p2/1P3B2/7R/4Q2K w - -,h5g5
4n3/2pk4/3r2p1/1PRN1p1p/2P1p2P/8/2K2PP1/8 b - -,g6g5
3r2k1/ppqn1pp1/4p2p/2P4P/1P4R1/6P1/P3QP2/1B4K1 b - -,d7f6
r1bq1rk1/p1p1p1bp/2p2pp1/4Pn2/3P4/2N2N1P/PPP3P1/R1BQ1RK1 w - -,f1e1
b2r2k1/q4pp1/pN2p3/3pP3/PPNQ3p/5P1P/2r3P1/3R2K1 b - -,a6a5
2rq1rk1/pb2ppbp/1pnp1np1/8/4P3/1NN1BP2/PPPQB1PP/R4RK1 w - -,e3h6
r3r1k1/2q2pp1/2p1bn2/pp2p3/P3P2N/2P1BQ1P/2P2PP1/R2R2K1 w - b6,h4f5
r4rk1/2qbbppp/p1pp1n2/4p3/N1P1P3/1P4P1/P4PBP/R1BQR1K1 w - -,c1b2
r2q1rk1/pb3ppp/1p1bp3/2pp4/3PnPPn/PP1BPN1Q/1BPN3P/R3K2R b KQ -,d6e7
8/2k2pK1/3r1p2/p3pP2/Ppp1B2B/2b2N2/2P5/8 b - -,b4b3
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq -,e2e3
4r2k/1p4qp/p1p5/5Qn1/2B5/2P5/PP4P1/5RK1 w - -,c4d3
rn1q1rk1/pp2ppbp/2p1bnp1/8/2N5/1P3NP1/P2PPPBP/1RBQ1RK1 b - -,b8a6
r1b1kb1r/1p3ppp/p2ppn2/6B1/3nPP2/2N5/PPP3PP/2KR1B1R w kq -,d1d4
6k1/6p1/Q7/2b4p/2N2p2/1P1pBq1P/P7/6K1 b - -,c5e3
6k1/p6p/5rp1/6P1/2Rp4/2nP2P1/P3PP2/5K2 b - -,f6a6
3r1r2/pp6/2nP2Q1/2pk3B/3R3P/8/PP3PP1/6K1 b - -,c5d4
r1b1kb1r/pp2pppp/2n2n2/3p4/3P1B2/2NBP3/Pq3PPP/2RQK1NR b Kkq -,c6b4
8/7p/6k1/3P4/8/2N1Q3/P5KP/r7 w - -,e3d2
6k1/p2N2pp/8/1R6/8/8/PPr5/4K3 b - -,c2c7
r2n1rk1/5qb1/b1p3p1/3p1p2/1P1P1B1N/2P3N1/6P1/1R1QR1K1 w - -,h4f3
1r2brk1/3q2p1/2n1p1pp/pp1pP3/2pP2PP/P1P2P2/2PBNQK1/RR6 w - -,f2g3
1rq3k1/1r3p1p/1RpPp1p1/p1Pp4/8/2Q1P3/P4PPP/1R4K1 b - -,a5a4
r4rk1/1ppbqp2/3p1np1/2nP3p/p1P1PP1N/P1Q5/1P1N2BP/R4RK1 w - -,c3g3
r1bk3r/pp1n3p/6p1/2P1npN1/2B1p3/2N5/PP3PPP/3RK2R w K -,c4b3
3r2k1/3r2p1/2p1p2p/1p1b4/pP1P2P1/P3RP2/1B4P1/2R3K1 w - -,g1f2
2r2rk1/p3bp1p/1p2p1R1/3b3Q/3P1N2/P3B3/4KP1P/q7 b - -,f7g6
r1bb1rk1/2Rn2p1/p3P1pp/B7/3p4/N6P/PP3PP1/3R2K1 w - -,c7c8
8/4P3/8/4R3/p4P1k/8/3r3K/8 w - -,h2g1
6k1/p4pp1/2p5/2PnQb1p/2P4q/Pr2P3/1B3P2/1R1R2K1 b - -,h4g4
7k/p7/1p2p1Q1/4qp2/5P2/2P3PK/8/8 b - -,e5e2
r2qr1k1/1p2bpp1/p3bn1p/3p4/7B/2NQP3/PP2NPPP/3R1RK1 w - -,e2f4
r1bk3r/ppb2ppp/4pn2/8/2N5/P3P3/1P1BBPPP/R3K2R b KQ -,c8d7
4k2r/2b1nppp/p1p5/1pPp1B2/PP1P4/6P1/3B1P1P/4R1K1 b - -,e8d8
2b3k1/2p2p1p/p2b2p1/3Pp3/2R5/6PP/Pr3PB1/R5K1 w - -,a1c1
8/3k1ppp/8/pK6/P7/6PP/3B4/6b1 w - -,d2a5
2r2rk1/1b3ppp/p3p3/3P2P1/1p1R3P/7B/PPP5/1K5R w - -,d5e6
2r1r1k1/7p/Q1pb2p1/3pB3/P3n3/qPP2R1P/B5P1/5R1K w - -,e5d6
rn3rk1/pp1q1pp1/1np4p/3pPN2/5P2/3Q2N1/PPP3PP/R4RK1 b - -,f7f6
r1bq1rk1/pp3pbp/2np1np1/2p1p3/3PP3/2P2N1P/PPB2PP1/RNBQ1RK1 w - -,d4e5
8/8/7p/1kpr1p1P/1pn2Pp1/p1P5/2P1K1P1/R3B3 w - -,a1b1
2k3r1/p3np2/1p1n1q2/2pP1P2/2P1p3/2PB1QP1/P2B2K1/7R w - -,d3e4
r5k1/6pp/2p1np2/ppn1p2b/4P3/PP2N1PP/2P2PB1/R3N1K1 w - -,f2f3
r1bbr1k1/pp3ppp/2nB4/4p2n/2P1N3/3B4/PP1N1PPP/R3K2R b KQ -,h5f4
rnbqkb1r/3ppp1p/P4np1/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq -,f8g7:c8a6:d7d6
8/7k/r4pp1/8/2Q2KPP/8/8/8 b - -,a6a7
1k1r3r/pp4p1/2q5/4p1P1/1P2R2p/P2p1P2/5PKP/1N1QR3 w - -,h2h3
3qr1k1/r4ppp/3p1b2/8/2B1p3/1PP5/1P2QP1P/1K1R2R1 w - -,e2e3
r2qr1k1/pp1bppbp/2np2p1/6B1/4P3/1PN2N1P/PP3PP1/R2QR1K1 w - -,d1d2
8/5p2/1n2bk1p/pB4p1/Ppp5/4KPP1/1P4P1/2R5 b - -,c4c3
8/8/2P5/pR3p1p/2K1p1k1/1P3rP1/8/8 b - -,f3f1
8/2k2p2/4p1p1/7p/3PK2P/6P1/5P2/8 w - -,e4e5
8/8/8/2R2k2/6p1/1P1K4/P4PP1/6r1 b - -,f5f4
5r2/ppp1knp1/3p1pb1/P3p3/1PB1P1P1/2PPK1N1/5P2/7R b - -,f8b8
8/7p/4p1p1/3p1pP1/1k1PnP1P/3BP3/4K3/8 w - -,d3a6
3Q2k1/1p2bp1p/p1b1p1p1/8/8/1NN5/PPP2PPP/6K1 b - -,e7d8
R7/1pk5/B2p4/2pPp3/4p2q/4Q1Nr/PPPK4/8 w - -,g3f5
8/1R5p/5pk1/4p3/1P6/4PP2/5PKP/1r6 b - -,h7h5
5bk1/1b1q1pp1/p4n1p/1p1pr3/1PrN4/PQN1P2P/4BPP1/2RR2K1 w - -,d4f3
1R6/1p3rkp/2p3p1/p1P1r3/P3P3/1R4P1/6KP/8 b - -,e5e7
r1b1k2r/ppp2pp1/2n4p/4pq1P/8/P1P1Q3/1P3PP1/R1B1KB1R w KQkq -,f1d3
rn1qkb1r/p1pb1ppp/4p3/1p1n4/3P4/8/PPP1BPPP/RNBQK1NR w KQkq -,g1f3
r4k2/ppp2p2/8/3b3N/B2P2n1/8/PP3PP1/R5K1 w - -,h5f4
8/1p4Q1/3kq3/3b4/7P/5N2/6PK/8 w - -,g7g3
r2q1rk1/1pp2pp1/p1npbn1p/4p3/4P3/1BPPPN1P/PP4P1/RN1Q1RK1 w - -,b1d2
r2q4/pbnpprkp/2p2pp1/4P3/2P4Q/P4N2/1P3PPP/RN2R1K1 w - -,b1c3
2q4k/6p1/3p4/4pPbp/4Q3/5P2/6PP/3R3K w - -,d1a1
8/2k3p1/7p/1KP5/4B3/5PP1/3r3P/8 w - -,h2h4
rnbqk2r/pp1nbppp/2p1p3/3pP3/3P1PQ1/2N5/PPPB2PP/R3KBNR b KQkq -,g7g6
8/2Nk1pp1/1B2p2p/P3P3/1bb5/5P1P/5KP1/8 w - -,a5a6
2kr4/1p3ppp/p3p3/1Pq5/2P5/r5P1/P3QP1P/1RR3K1 b - -,d8d4
6k1/1b5p/p2p2pb/1p6/1P1Bq1N1/2P4P/1P3QP1/6K1 b - -,h6g5
r3r1k1/5p1p/p1q2bp1/3pB3/5P2/PP1pPN1Q/6PP/R5K1 b - -,d3d2
4n1k1/pp2rp1p/3p1qp1/2pPr3/P1B5/1P3P2/2P1R1PP/3R1QK1 b - -,e8g7
1R3b1r/k5p1/3p1pPp/3BpP2/1P2P2P/pP6/P7/2K5 w - -,b8a8
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 w - -,c1b2:d2d4
8/5kpp/p7/3n4/1r6/1K2BP2/P3R1PP/8 w - -,b3c2
6k1/pp1b1p1p/2pp3b/5p2/1PPP4/P2B1N2/6PP/5K2 w - -,f1e2
1n2rr1k/2b2qpp/2p5/p1PnpPB1/NP1p2P1/P4PN1/4Q2P/R4R1K w - -,b4a5
r1b1k2r/pp1nq1pp/2n1p3/3p1p2/3P1P2/2PB1N2/PP1N2PP/R2Q1RK1 b kq -,d7f6
8/p2q1k2/1p3pp1/1P5p/1B6/P5PP/4Q1K1/8 w - -,e2e4
3r2k1/1ppr2p1/p3q2p/8/3P4/7P/PP1Q2P1/R2R2K1 w - -,d2c3
2b5/5kp1/1p2n2p/1P2Q3/p1P2p1P/3B1P2/1B2K1P1/6q1 w - -,e5f5
6rk/p4r2/1p2p3/1n1pP1p1/3P4/2PRn3/PP5P/2K1B1R1 w - -,d3e3
4rrk1/p1n1pqb1/2pp1n1p/6p1/2PP1p2/B1N1P1P1/P2NQP1P/1R2R1K1 b - -,f4g3
rn1qkb1r/4pppp/p1p2n2/1pPp4/3P2b1/1QN1PN2/PP3PPP/R1B1KB1R b KQkq -,g4f3:b8d7
2r1k3/1Q1q1nrp/5p2/3Ppp1B/8/8/P4PPP/1R2R1K1 w - -,b7a6
2rr4/8/1p1Bp1kp/p5p1/P1PP4/1PN3P1/4R1K1/8 b - -,d8d6
r2qnrk1/1p1nbppp/p2p4/2pPp3/2P1P3/2N1BN2/PP2QPPP/R4RK1 b - -,g7g6
4rr2/3b1pkp/p2p2p1/1ppP4/3n3q/3P2NP/PPP3BK/R1BQ1R2 w - -,c2c3
2k1r3/pp4B1/2q1b2p/2p3pP/8/1PQ5/P1P2rP1/1K1R3R w - -,h1e1
1r1q1rk1/4npb1/1p2b1pp/1Np1p3/1P1N4/3P2P1/2QBPPBP/1R3RK1 b - -,c5d4
5rk1/pQ3ppp/P1Rqpb2/8/r2P4/4B1P1/5P1P/3R2K1 b - -,d6d5
r1b1r1k1/pppnqppp/3p1b2/3Q2N1/4P3/1B2B2P/PPP2PP1/2KR3R b - -,e8f8
8/pNR2kpp/5p2/3p4/3P4/3b1PK1/PP2r1PP/8 b - -,f7g6
r4rk1/1p1n1pbp/1np1q1p1/B3p3/8/PP1PP1PP/2Q1NPBK/1R3R2 w - -,a5b4
3q2k1/6p1/pp2p1Np/7P/1P3Q2/1bP1R1K1/1P4P1/7r w - -,e3f3
r1b2k1b/ppn1q2p/2p1p1p1/6Nn/2PP1B2/1B5P/PP2QPP1/R3K2R w KQ -,e2f3
2r1r1k1/1p1nbppp/p2pb3/q3n3/3NPBP1/2N1Q2P/PPP5/1K1R1B1R w - -,a2a3
r1bq1rk1/p2nbppp/1pp1pn2/8/2PPN3/P1NB4/1P3PPP/R1BQ1RK1 b - -,c8b7
r3k2r/1bqnbpp1/p1n1p3/1pppP2P/3P1P2/P3BNN1/1PPQ4/R3KB1R b KQq -,c5d4
1r2r1k1/4bqpp/4p2Q/pp1pPp2/3P4/P1P2NR1/1P4PP/R5K1 w - -,h6d2
1rrb2k1/2qQ1p2/1pP1p1p1/P6p/7P/6P1/6BK/1R3R2 w - -,a5b6
r2qr1k1/1p2ppbp/2b1n1p1/p3p3/2P1P3/1PN1B3/P1Q1BPPP/1R3RK1 w - -,f1d1
r2qkb1r/pp2pppp/2n1bn2/2Pp2B1/3P4/2N5/PP3PPP/R2QKBNR b KQkq -,f6e4
3r1rk1/4q2p/1p1p2p1/pPn1pP2/Pn5P/1P2Q1P1/1R2NPB1/3R2K1 b - -,g6f5
r2q1r2/pp2ppbk/1np1b1p1/6Pn/3PP3/2N1B3/PP1QBPP1/2KR3R b - -,d8d7
r2r1nk1/pp5p/5pp1/P2P1P2/1PB1Nb2/2B5/1Q3P1q/R3RK2 b - -,h2h1
r2qr1k1/pp2bppp/8/1B1N4/5n2/P4Q1P/1P3PP1/3R2K1 w - -,b5e8
rn3rk1/pp3ppp/4p3/4Pb2/1PNq4/P7/4BPPP/R2Q1RK1 b - -,d4h4
r1N4k/1ppn1rbp/p5p1/7n/3P4/8/PPP2PPP/R2Q1RK1 w - -,c2c3
r1b2rk1/3pppbp/1qp2np1/8/N1P5/1P4P1/PB2PPBP/R2Q1RK1 b - -,a8a4
1rbqk2r/1p1nppbp/p2p2p1/2pP2P1/4PP2/Q4N2/PPPN2P1/R3KB1R w KQ -,e1c1
1k6/1p2b3/2p1bp2/p5pp/1P1rP3/P1N3PP/8/2R2BK1 w - -,b4a5
2k4r/1b2q1b1/p7/4P2P/2NP1R1n/8/2Q1B2P/6K1 b - -,c8b8
r7/1p1n3p/4b1k1/5p2/P1P1p3/1P2B1PP/6B1/3R2K1 b - a3,d7e5
rqb1k2r/4bppp/2n1p3/1N2P3/1ppP1P2/P4N2/5BPP/R2Q1RK1 w kq -,a3a4
2q5/p4p2/2npr1kp/2p1bNp1/Q3N1P1/2PP4/P5P1/1R4K1 w - -,a4c4
q4r1k/1pp1r1bp/2np2p1/8/1PP3P1/1Q2B2P/5PB1/1R3RK1 w - -,c4c5
r1b1k2r/1p3ppp/p1n1p3/3pP3/2q2P2/P1N2N2/1PPQ2PP/R3K2R w KQkq -,b2b3
8/1p3K2/8/pP4kP/8/PB2n3/3p4/8 b - -,d2d1q
8/8/p3pk2/2n3p1/P1Pr4/6N1/6P1/2R3K1 b - -,f6e5
2r2r1k/bp4pp/1q3pn1/1QpRp3/2B1P3/P5B1/5PPP/2R3K1 w - -,b5b6
r2qr1k1/pp3ppp/1b1n1n2/3p4/7B/1PPB1N2/P4PPP/R2Q1RK1 b - -,h7h6
8/1P6/8/8/8/2p1k3/2P3Kp/8 b - -,e3d2
8/p5k1/4r1p1/7p/PPR1pP2/3pP3/6PP/4K3 b - -,g7f6
r1b1r1k1/pp1n1ppp/2p2n2/q2p2B1/3P4/P1bBPN2/1PQ2PPP/R4RK1 w - -,b2c3
2q3k1/5p2/4p1p1/7p/Qpn1PB2/1B2bPP1/6KP/8 b - -,e3f4
8/1n2b2p/4p3/1Pp1Pp2/2N2P1k/7P/4P1K1/B7 b - -,h4h5
rn1qkb1r/pp3ppp/4pnb1/2p1N3/P1pPP3/2N1BP2/1P4PP/R2QKB1R b KQkq -,c5d4
2kr4/p1nr3p/4B1p1/4P3/8/3R4/PP4PP/2R3K1 w - -,b2b4
8/5ppk/7p/1R6/4nn2/7P/2pB1KP1/8 w - -,f2e3
r4r2/p2bqpbk/1p4pp/2pPp2n/2P1P3/P3B2P/3QBPPN/4RRK1 b - -,h5f6
1r1rb1k1/pp2npp1/2nqp2p/2R5/3P4/4BN2/PQ3PPP/1BR3K1 b - -,b7b6
r1b1kb1r/pp1ppppp/2n2n2/q1p1P3/8/P1P2N2/1P1P1PPP/RNBQKB1R b KQkq -,f6d5
2rbk3/5pp1/1p1p1q1r/pRpPp1p1/P1P1PnP1/2P1BP1P/7R/2QK1B2 w - -,d1c2
r1bqkb1r/pp1p2pp/2n2n2/4p3/7Q/2P2N2/PP3PPP/RNB1KB1R w KQkq -,c1g5
r6k/ppbn1Bq1/2p4p/5P1Q/5P2/2N5/PP3K1P/5R2 w - -,f2f3
3b3r/1pn5/1p2kp2/3p1Rp1/3P4/P1B3P1/1P2rN1P/5RK1 w - -,f2g4
rn1q1rk1/pbp1bpp1/1p5p/3p4/3Pn2B/2NBPN2/PP3PPP/R2Q1RK1 w - -,h4e7
8/p7/3k4/7p/PP3p2/2p5/4KPP1/8 b - -,h5h4
8/2p2r1k/2b2bpp/p1N5/P5P1/1R2B2P/2P2P2/6K1 b - -,f6e7
