8/5b2/2p5/1kP1K3/3PB3/P7/8/8 w - -,e5d6
6k1/6p1/p1R1p2p/1p2Nr1P/8/1n3P2/1P4P1/1K6 w - -,c6e6
1rr3k1/4bpp1/1q1p1n2/NB1Pp2p/PQ6/5P2/1P1R2PP/1K5R b - -,c8c5
4r1k1/pp1b2qp/4p1p1/3p3n/1P1n4/3B1PP1/P2QNP2/2R1R1K1 w - -,e2d4
1r4k1/p2B2p1/4pb1p/8/2p5/6P1/4rPKP/2R1B3 b - -,b8b7
2r3k1/7p/4Pqp1/p7/P1pR4/4Q2P/5PPK/8 b - -,c8e8
2r2rk1/5pb1/p3bn1p/3pn1p1/1p1N2P1/6NP/PPP3B1/1KBR3R w - -,h1e1
r1bqkb1r/pp1p1ppp/2n1p3/2p5/3nP3/5N2/PPPP1PPP/RNBQRBK1 w kq -,c2c3
8/1k1rb2r/4p1q1/3p3p/1pp2BpP/2P3P1/1PPK1Q2/R3R3 b - -,d5d4
r2qkb1r/pp1nppp1/2pp1n2/5b1p/2PP1B2/2N2N1P/PP2PPP1/R2QKB1R w KQkq -,e2e3
8/1p6/pk1R3p/7P/Pr1p4/7K/6P1/8 b - -,b6c5
rn1qkbnr/pp2ppp1/2p4p/3p1b2/3P3B/4PN2/PPP2PPP/RN1QKB1R b KQkq -,b8d7
3rkb1r/pb1q1p2/1pn1p3/4Pp1p/3p1P2/1P3N2/PBNP2PP/R2Q1R1K w k -,c2d4
8/6pk/5p1p/R3nq2/Pp6/1Pr1B1QP/5PP1/6K1 w - -,a5a7
2r1r1k1/pp1q1pp1/5np1/3pn3/8/P4P2/1PPQNBPP/R2R2K1 w - -,b2b3
7Q/5R2/4p1p1/4k3/1P1p4/7P/q5PK/8 b - -,e5e4
r3q1r1/p1p1k3/np1pb2p/3P1p2/2PBpP2/2P5/P1Q3PP/2KR3R w - -,d5e6
r1b2rk1/ppp1qppp/2npp3/8/1PPPn3/P3PN2/1B1Q1PPP/R3KB1R w KQ -,d2c2
8/1p2Q1bk/p3bn2/4Brpp/8/3NR1Pq/PP3P1P/2R3K1 b - -,f5e5
rn1q1rk1/1b2npb1/pp2p1pp/3pP3/PP1P4/2N2N2/3BBPPP/R2Q1RK1 b - b3,e7f5
5r2/2p3rk/7p/PpN1p3/1PbPPpp1/2P2R2/6PP/R5K1 w - -,f3f2
3r3r/pp1kbpp1/4p1bp/8/1P6/2P1NPN1/P4P2/R1B1R1K1 w - -,e3c4
2kr1n2/1bq2p2/2n1p3/p2pP3/1ppP2N1/2P3PP/PPQ1N1B1/R5K1 b - -,f8g6
r1bqk2r/pp3pbp/2n1p1p1/2p4P/3pP3/3P1N2/PPP1NPP1/R1BQK2R b KQkq -,e6e5
r1r3k1/1b1nqpp1/1ppp1n1p/3Pp3/1PP1P3/2N2P2/2Q1B1PP/1RBR2K1 b - -,c6d5
r1b1nrk1/ppp1q1pp/4p3/2npPp2/5B2/4P2Q/PPPNBPPP/R4RK1 b - -,h7h6
5rk1/1r1q2p1/2p5/2Pp2nP/1P1b1p2/2PQ1P2/7P/1RB1R2K w - -,c3d4
4r1k1/2q3bp/8/2p1p2P/2P1R3/p1BP2P1/4Q1K1/8 w - -,e4g4
8/6kp/p1q2pp1/Pp3b2/1P1B1QP1/7P/5P2/6K1 b - g3,f5d7
3r2k1/1p3n1p/p1pprq2/5pp1/PPPR4/4P1PP/3Q1PBK/3R4 b - a3,f7e5
r2r2k1/p2qpp1p/1p2bbp1/3p4/1RP5/2NP2P1/P3PP1P/1Q3RKB w - -,c3d5
r1k4r/pppn1ppp/8/3P4/1b3Bb1/5N2/PPP3PP/2KR1B1R w - -,d1d4
1qr1n1k1/pb1rnpbp/1p1pp1p1/1NP5/1P2PP1B/PN3B2/4Q1PP/2RR2K1 b - -,b7a6
2kr2nr/2pb1pbp/ppp3p1/8/4P3/1N2B3/PPP1NPPP/2KR3R b - -,c6c5
7Q/pp2kp2/3n2p1/B5P1/P1np3P/8/1P2KP2/1q6 w - -,h8f6
r4k2/5p1p/2p3p1/8/8/P2R1P2/4K1PP/8 w - -,e2d2
r1b1qrk1/3n1pp1/5n1p/p2p4/1ppP4/P1Q1PP2/1P1NBBPP/R3K2R w KQ -,c3c1
8/6k1/r2BK1p1/6P1/5P2/8/8/8 w - -,e6e7
r1bqk2r/p4ppp/4pn2/3p4/1b6/2N3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
7k/1b3p2/1p2p1p1/2p1P1q1/2P1pP2/1P2P3/8/5NK1 w - -,f4g5
8/p2rkn1p/1pR1bpp1/3pp3/5P2/1P1PP1PP/P2NK1B1/8 w - -,d2f3
rnbq1rk1/pp2bppp/4pn2/4N3/2BB4/2P5/PP1N1PPP/R2QK2R b KQ -,b8c6
3rr1k1/4qp2/3R3p/4P1pP/1p1Q2P1/pP6/P7/1K3R2 w - -,f1d1
2k1r3/pppq3p/5pp1/3p1n2/3P4/1PPQ1N1P/P4PP1/3KR3 b - -,e8e1
2r5/2r1pk2/1p1pb1p1/p6p/P1PKBP2/1P4P1/7P/2RR4 b - -,c7c5
2R2bk1/r1q2ppp/4p3/3n4/1PPpB3/N2P2P1/1Q3P1P/B5K1 b - -,c7c8
8/6p1/7p/p1pk1P1P/4pK2/P3P3/1P3P2/8 b - -,d5c4
2q2rk1/rp1nbppp/p1p1p3/2P3P1/3PpB1P/1QP4B/P4P2/1R2K1R1 w - -,h4h5
5bk1/p1p5/R1p2pp1/1p2r3/1P2q1p1/2P3K1/1P3R1P/3Q4 b - -,e5d5
3r2k1/1pq5/4pr2/1PPnNppp/3Pp3/Q5PP/P4P2/4RRK1 b - -,c7h7
5rk1/p6p/2p3p1/2Nn4/3R1p1P/P4P2/bP1B2P1/6K1 b - -,f8e8
r4r2/pp6/8/2p1n1kp/4Pn2/3PB2R/PPP2N2/R3K3 w Q h6,e1d2
8/4p2k/4P3/P3p3/2p1Pp2/1r6/6PP/R5K1 b - -,c4c3
rnq1r3/1R1n3k/6p1/3p1pPp/pQP2B1P/8/6B1/5RK1 w - -,g2d5
r2q1rk1/pp2ppbp/3pbnp1/8/3BP3/2N2P2/PPPQ2PP/1K1R1B1R b - -,a7a6:d8c7
r4rk1/pp2ppbp/1n2bnp1/1N6/2PB1q2/1B3N2/PP2QPPP/R3R1K1 b - -,e6g4
1rb1n3/1p4bk/p1p3rn/P2PN1qp/1P1BPpp1/3N1P2/1Q2B1PP/2R1K2R b K -,g5h4
r1b3k1/pp2nrn1/1q2p2B/3p4/4N1Q1/PN6/1bP2PPP/1R2K2R w K d6,h6e3
r2Qkbnr/ppp2ppp/2n5/4Pb2/2P5/P3pN2/1P3PPP/RNB1KB1R b KQkq -,a8d8
2r5/5p2/p1bPkPp1/2P1p2p/8/4K1PP/8/2R5 b - -,e6f6
1k3n1r/pbq4p/1p3p2/3p1N1P/1PpPpPr1/P1P4Q/4NRP1/R5K1 b - -,g4g8
2rq1rk1/1p2npbp/3p2p1/3b4/1P1nN3/R2P2P1/1B1QPPBP/4NRK1 b - -,d8b6
8/p1n1kppp/8/8/2BKPP1P/p5P1/8/8 b - -,c7b5
3r2k1/p4pp1/2p4p/2bq4/8/1P1PpPP1/PB2Q2P/2R3K1 w - -,c1d1
2kr3r/pp3p1p/4p1p1/1B2b3/8/2P1P3/PP4PP/R3R1K1 w - -,a1d1
r2qk2r/pbpnbppp/1p2pn2/8/3PNB2/3B1N2/PPP1QPPP/2KR3R b kq -,f6d5
2rqk2r/1b1nbppp/5n2/p3p3/Pp5Q/4PN2/1P1BBPPP/R1N2RK1 b k -,c8c2
r3k2r/1q1pb1p1/pp2p3/5p1p/2P5/1PNP1NP1/P4K1P/R1B1Q3 b kq -,h5h4
r1bq1rk1/ppn1ppbp/3p2p1/8/P1BpP3/2NP3P/1PP2PP1/R1BQR1K1 w - -,c3d5
1r3rk1/3R1nnp/4q3/1Bp2p2/2P2p1Q/5N1P/5PP1/5NK1 w - -,d7e7
8/3bk3/pp1pp3/r6p/P2N1P2/2P3P1/1K2R3/8 b - -,e7f6
r7/1p3kpp/2n5/1pbrpp2/8/P2PBPP1/1P2K2P/R1R5 w - -,c1c5
4r3/5pk1/4p2r/1pNp2p1/pPnP3p/P1P2P1P/4R1P1/RK6 w - -,b1a2
1rbqk2r/3pb1pp/p1n1ppn1/1p1N4/4P3/1B2BN2/PP3PPP/2RQ1RK1 w k -,d5e7
r1bq1rk1/pp2npb1/2n1p1pp/1B1pP3/3P4/2N2N2/PP3PPP/R1BQR1K1 w - -,c1e3
r1b1r1k1/pp2qpbp/1npp2p1/6Pn/2PNP3/2N1B2P/PPQ2PB1/2KR3R w - -,b2b3
r1bq1rk1/p3ppbp/2p2np1/3p4/4P3/2N1B3/PPPQBPPP/R3K2R w KQ -,e4d5
r7/p1pk2pr/1pn2p2/3pP2p/3P1P2/P1P5/2P1KP1P/R1B3R1 b - -,d7e6
3r4/3r1k2/4p3/1P1n1p2/3PbP1p/1N2K1pP/6P1/R1R2B2 w - -,e3d2
8/pp3p2/8/5kPp/8/P3KP2/1PP2P2/8 b - -,f5g5
5n2/7p/3k2pP/p1P2pP1/P4P2/2KN4/8/8 b - -,d6d5
8/3nr1k1/p1p5/4P2p/2pB1P1R/8/P6K/8 w - -,e5e6
2kr1b1r/1pp1pppp/p2q1n2/3P4/1n6/2N2bPP/PPP2PB1/R1BQ1RK1 w - -,d1f3
r1b1k2r/pp2qpb1/1npp1npp/4p3/3PPPP1/1PN1B2P/P1PQN1B1/R3K2R b KQkq -,h6h5
r1bq1r2/pp1np1bk/2pp1npp/3P1p2/1PP5/2NQ1NP1/PB2PPBP/R4RK1 b - -,c6c5
3r4/2p1n3/1p2kpp1/p1p5/P3PP2/2P2P2/2P1KB2/7R b - -,d8f8
r4rk1/ppp2ppp/2n5/3np3/8/3P1P2/PPPB1P1P/R3KB1R w KQ -,f1g2
rq2r1k1/pp1n1pbp/2p2np1/4p3/3PP3/5NP1/PP3PBP/R1QRB1K1 w - -,c1c2
6B1/6p1/3k3p/8/P5P1/p2P4/6K1/4b3 w - -,g2f3
3r2k1/1p1r1pbp/1pp1b1p1/4P3/2P2BP1/2P4P/P4P2/RR3BK1 b - -,f7f6
rn1q1rk1/p3ppbp/1pp1bnp1/2Pp4/3P1B2/2NBP3/PP3PPP/2RQK1NR w K -,b2b4
3rr1k1/pp2qppp/2p1bnn1/3p4/1P1P4/P1NBPPN1/2Q3PP/3R1R1K w - -,f1e1
8/p1p5/P7/1Pp1k3/2Pnp1p1/4K3/5P2/1N6 w - -,b1a3
r2r2k1/1q3ppp/p7/1pN1B3/7P/6P1/PP2Pn1K/R2Q1R2 b - -,f2g4
r2q1rk1/pb1pnpbp/1pn1p1p1/2p5/4P3/2PP1NP1/PP1NQPBP/R1BR2K1 b - -,a8c8
2rq1rk1/1p1b1pbp/p2p1np1/P1B1pP2/2n1P1PQ/1NN5/2P1B2P/R4R1K b - -,c4e3
r3rbk1/1pq2ppb/2n2n1p/4p3/1PPp4/3P1NP1/2N2PBP/BR1QR1K1 b - -,a8d8
r4rk1/pp3pp1/2p1pnp1/8/2BPNn2/2P5/PP3PPP/R3R1K1 b - -,f6e4
5rk1/1p2q2p/2b3p1/1p4P1/2pRPP2/P5K1/1P1Q2B1/8 b - -,f8e8
rn3rk1/1b3ppp/p2ppn2/8/1PPN4/p3N1P1/4PPBP/R4RK1 b - -,b7g2
rnbqk2r/ppp2ppp/5n2/3p2B1/1b1P4/2N1P3/PP3PPP/R2QKBNR b KQkq -,b8d7:e8g8:h7h6
2rq1rk1/4bp1p/pn1pb1p1/Np2p1Pn/4P3/2N1BP2/PPPQ3P/1K1R1BR1 w - -,a2a3
5r2/3nnpkp/1P1q2p1/p1pPp3/N7/P2P2P1/5QBP/1R5K b - -,h7h5
r2q1rk1/pbpn2bp/1p1p1ppn/4p3/2PPP3/2N2NPP/PPQB1PB1/R4RK1 w - -,a1d1
8/pR6/8/2b1p2p/4k3/1BP4P/PP3PK1/8 w - -,b7h7
r2qnrk1/4b1pp/pp6/2pPpp2/2P5/3QBP2/PP4PP/3BRRK1 b - -,e8d6
1rB3k1/2r2pp1/1ppq1n1p/p2p4/N2P4/P3P1P1/1PQR1P1P/2R3K1 b - -,c7c8
r1r3k1/1p2ppbp/3pbnp1/q5B1/p1P1PP2/2NB3P/PP1Q2P1/2R1R1K1 w - -,b2b3
r1kN4/pp1bR3/1qpQ3p/3p4/6n1/8/PPPR2P1/2KN4 b - -,b6d8
r2qk2r/pb1n1pbp/2pp1np1/1p2p3/3PP1P1/P1N1B2P/1PP1NPB1/R2QK2R w KQkq -,e1g1
8/5k2/1prrpp2/p6p/4RP1P/2P3P1/P1K1R3/8 w - -,e2f2
8/pp2r1k1/5p1p/1N4b1/3P1R2/P2B4/1PPn4/6K1 w - -,f4g4
2rqrbk1/1b1n1ppp/3p1n2/1B6/1P1pP3/5N1P/2QN1PP1/R1B1R1K1 w - -,c2d3
2rq2k1/1b1nb1pp/p2p4/3Ppr2/Q7/2N1BN1P/1P3PP1/R3R1K1 w - -,a4b4
r1bq1rk1/pp2nppp/3b1n2/3pN3/3P1p2/1BN5/PPP3PP/R1B1QRK1 b - -,d8b6
8/3k4/2p5/ppQ3p1/1P1Pp2p/q3P2P/5PP1/6K1 w - -,c5a7
r1bq1rk1/3n1pbp/p2p1np1/1ppP1P2/4P3/P1NB1N2/1P4PP/R1BQ1R1K b - -,d8c7
3r4/1b2kpp1/p3p2p/8/2P3PP/2KN4/P2N1P2/8 w - -,d2b3
7k/4Nppp/pB6/1p6/8/1P1n3P/P1bR1PPK/2r5 w - -,b6e3
2r1r1k1/p1q2ppp/1np1b3/1p6/1P6/P5P1/1NQRPPBP/4R1K1 w - -,e2e3
2r4r/1b1k1qp1/p3p1n1/1pppPp1p/5P1Q/PNPP4/1P4PP/R2B1RK1 w - -,h4f2
8/8/1kp3pK/8/8/6r1/2R3P1/8 w - -,c2b2
r1bqk2r/5p2/ppnb2pp/2p1p2Q/P1BpP3/3P3P/1PPB1PPN/R4RK1 w kq -,h5f3
8/6k1/5pp1/3B3p/4P3/p3q1P1/P2R3P/2K5 b - -,h5h4
3r2k1/pnq1bp2/bpp1p1pp/4P3/P1PRNP2/4P3/1BQ3PP/1B4K1 b - -,c6c5
8/8/R1p5/2r1pk2/p5p1/2P2K2/1P3PP1/8 w - -,f3e3
8/1p3k2/p1p3p1/2P2bKp/1P5P/8/P4P2/5B2 w - -,f1c4
r1bq1rk1/pp1nbp1p/4p1p1/2ppP3/5BQ1/2PBP3/PP1N1PPP/R3K2R w KQ -,h2h4
4r3/8/3k1p2/p3r2p/P1BKP3/1P4R1/2P3PP/8 w - -,c4d5
1r4k1/1B3ppp/4p3/P3q3/1P6/4b3/4Q1PP/2R4K w - -,a5a6
3r2k1/pp2qp1p/4n3/4P1p1/r2B2PP/2P2PK1/PQ1R4/1R6 w - g6,h4h5
8/6k1/1p1pK3/pPpP4/P1P5/3B4/8/8 b - -,g7f8
4rrk1/1p3p1p/1q1p1bp1/p1pP1P2/5QP1/2Pb1N1P/PP1B4/2KR3R w - -,d1e1
8/8/5K2/6pp/p6k/P4R2/8/8 w - -,f6f5
8/1R6/2n5/5K2/2k5/8/b7/6B1 w - -,f5e4
8/5pk1/1r2p3/1p2R1P1/1P4KP/8/8/8 w - -,e5c5
8/3R1pk1/r2np3/4N1p1/3PP3/5P2/2K3P1/8 w - -,c2c3
r3rnk1/4p2p/6pb/2pPnp2/1q3P2/2N3PP/PP1Q1B2/1R2R1K1 w - -,e1e5
r3r1k1/1p3p1p/2q3p1/p1p5/2Pb4/1P4BP/P1Q1RPP1/3R2K1 b - -,e8e2
6k1/1b3p1p/pR1p1np1/3Pr3/2B1p3/8/5PPP/4R1K1 b - -,b7d5
r1bqk2r/ppp1nppp/2n5/3p4/1b1P4/P1NB4/1PP1NPPP/R1BQK2R b KQkq -,b4c3
5q2/8/2R5/2R5/6pk/8/5P1K/8 w - -,h2g1
r2qk2r/ppp3pp/1n1bb3/3n1p2/3P4/2N1BN2/PP3PPP/RB1QR1K1 b kq -,d8d7
r3k2r/pb2ppb1/1p1p1npp/8/2Pn1P2/2N3Pq/PP1BP1BP/R3NRK1 w kq -,g2h3
8/5pkp/1p4p1/4r1N1/3r2P1/1P5P/P4PK1/3R4 w - -,d1d4
4r1k1/2pn1p2/p1q1r1p1/1p1p4/3P4/P1P1PPPp/2QB1R1P/4R1K1 w - -,f2e2
r1bqkbnr/1p3ppp/p2p4/3Np3/4P3/8/PPP1NPPP/R1BQR1K1 b kq -,g8f6
4n3/pp2rk1p/2p3p1/8/4N3/5P1P/PPP3P1/3R2K1 w - -,g1f2
r1b2k1r/ppq2ppp/2p1p3/3nP3/8/2PB2Q1/P1PB1PPP/R3K2R b KQ -,c6c5
8/1p6/p7/K1P1k3/8/8/8/8 w - -,a5b6
q7/2kn1p2/2p1p1p1/1pPpP2P/1P1N1P2/1R2Q2P/r4PK1/8 b - -,g6h5
2r2rk1/pbq1npbp/2n1p1p1/1pppP3/7P/3P1NP1/PPPBQPB1/R3RNK1 b - -,e7f5
6R1/8/6k1/8/6p1/7r/6K1/8 b - -,g6f5
8/2R2R2/6pk/4p3/4P3/4NPPn/2P1K3/r3r3 w - -,e2d2
rn1qnrk1/pbp1ppbp/1p4p1/3pN3/5P2/3PP3/PPPNB1PP/R1BQ1RK1 w - -,d2f3
r2r2k1/1b2bppp/ppqppn2/8/1PP1P3/2N1BP2/P2QB1PP/R2R2K1 w - -,e3d4
2r1k2r/pp1b1pp1/4p3/1P1pP2p/2P5/P2B1N2/1B3KPP/2R5 b k -,d5c4
8/1R3p2/6p1/Pk4P1/2b5/r1P2PK1/3B4/8 b - -,b5c6
2r3k1/p2q1ppp/2p3n1/3p4/1P1B4/2P3P1/P3rP1P/R4QK1 w - -,f1e2
r1b2rk1/pp3pbp/5np1/2q5/2BpP3/2N2N1P/PP2QPP1/R4RK1 w - -,c3b5
1r1nqr1k/R1pbbppp/3p1n2/1p1Pp1B1/4P3/1BP2N1P/1P3PP1/1N1QR1K1 b - -,d8b7
5k2/3Rbp2/2p3p1/1p2p3/1P2P1Q1/r1P3P1/3RKPP1/2qN3r b - -,a3a8
8/2p2kp1/pp1p1p1p/3P3P/2PR2K1/r3r1P1/P5R1/8 w - -,d4f4
r4r2/2p3k1/np1p2pn/3Ppp2/BPP1P3/2N5/5P2/1R2K2R w K -,a4c6
rn1q1rk1/1p2bppp/p3pn2/2pb2B1/P2P4/3Q1NP1/1P2PPBP/RN3RK1 w - c6,d4c5:b1c3
k2rr3/pp3p2/1q5b/1b2Q2p/4N3/P1P3P1/1P2NPP1/1R2K2R w K -,e5h5
8/8/p2pk3/3pb3/1P6/7R/r2B4/3K4 b - -,d5d4
8/8/7K/4q3/4k3/6p1/4Q3/8 b - -,e4f5
6RQ/1p1q4/6kp/5r2/p2p4/Pn4P1/1P4PK/8 b - -,g6f7
7r/1b2kppp/4p3/1p6/nNpPP3/r1n2P2/3K2PP/2R2B1R b - -,h8d8
r1bq1rk1/ppp2ppp/2P1pn2/6B1/Q1P1p3/2b5/PP3PPP/2KR1BNR b - -,c3d4
r2qr1k1/pbpn1ppp/1p1p1n2/3P2B1/2P1p3/2PBPN1P/P4PP1/R2QR1K1 b - -,e4d3
4k3/8/2N2b2/p1p2b2/P1P5/2BK4/8/8 w - -,d3d2
7k/5R1p/3p4/3P4/P1Pbp3/3n4/1P5P/7K w - -,f7e7
5qk1/pQ3pp1/7p/8/4p3/6P1/P4PKP/8 b - -,f7f5
2rr2k1/pp3pb1/6pp/2P5/1P1Np3/P2nB3/1n2NPPP/3R1RK1 w - -,d1b1
8/6r1/8/5kN1/7K/8/8/8 w - -,g5h3
5k2/2R5/p7/1p4pr/4Kp2/8/P1P3P1/8 w - -,e4f5
r2qk2r/3nbp2/p3p3/3bP2p/2pB2p1/8/PP1N1PPP/R1NQR1K1 b kq -,d7c5
2k5/2p2p2/5R1p/1P1K3r/1P6/2P5/8/8 w - -,d5c4
2r3k1/1pb1rpp1/p1p2q1p/2Pp4/3P4/P3PN2/2Q2PPP/1R3RK1 b - -,c7b8
5rk1/5p1p/1p1p2p1/p1qPp1b1/P5P1/1PPR2RP/5PK1/3B4 b - -,g5f4
1r6/p1rnk1p1/1pp1p2p/4p3/P3P3/3RBP2/1PP3PP/3R2K1 w - -,g1f2
4k3/p4ppp/3Rp3/p3P3/5PP1/2r3KP/8/8 w - -,g3h4
8/3n1p1k/2q3p1/2r4p/P2R4/4P1BP/1Q3PPK/8 b - -,h7g8
4n1k1/5pbp/3R2p1/2p5/1p3PP1/4B2P/1P4B1/6K1 b - -,e8d6
1rq1r1k1/1pp1ppbp/p2p1np1/8/2PPn3/1P4P1/PB1NPPBP/R2Q1RK1 b - -,e4d2
r2q1rk1/1b2ppbp/p2p1np1/np6/3NP3/1BN1B2P/PPPQ1PP1/R3R1K1 w - -,e3g5
8/3k4/1R1P4/P7/3r4/1K6/8/8 w - -,a5a6
r1bqr1k1/pp3pbp/2n3p1/2pnp1N1/2N5/2PP2P1/PP3PBP/R1BQR1K1 b - -,c8f5
r6r/pp2pknp/3p1ppQ/q2P4/8/P2B1P2/1PP3P1/2KR3R w - -,h1h4
r1n2bk1/1prn1pp1/p2p3p/P2Pp1q1/1PN1P1P1/2N2PP1/4QB2/R1R3K1 b - -,g7g6
2r1rbk1/pp3pp1/4n3/7p/2Qn1P1q/2B3N1/PP4BP/5RRK w - -,c4d3
1r1r1k2/4npp1/p4b1p/3p4/b2N1N1P/P4BP1/P2R1P2/4R1K1 b - -,g7g5
5r2/1p2Qq1k/3p2pp/3P4/1P4b1/2B5/5P2/4R1K1 w - -,e7h4
1r6/5p2/3p2pp/3Pp3/2P1P1P1/p1KNbPk1/N5P1/8 w - -,c4c5
4r1k1/3n1p1p/3p1npb/qp1Pp3/1N1B4/PP3P2/1Q2B1PP/R5K1 w - e6,d5e6
6k1/5pp1/pp1n4/4p3/1P1p4/8/5PPP/3R2K1 w - -,d1a1
