8/5pk1/7p/2nN2P1/5PK1/8/7P/8 b - -,c5d7
3nk3/1qp2np1/p2ppb1p/4p2P/P3P3/B1PPNNP1/Q4PK1/8 w - -,a3c1
r1bqk1nr/pp3p1p/3pp1p1/2p5/2BbPP2/2NP4/PPP3PP/R1BQ1RK1 w kq -,g1h1
8/8/4p1k1/P1R2p1p/3P4/2P1K1P1/r4P2/8 w - -,c5c6
1r1nkb2/pp2r2p/6p1/2NBPp2/1P3P2/6P1/1P5P/2RR3K b - -,e7c7
r3r1k1/p4p1p/3p1Pp1/b1pP2P1/n1P3bP/1p1BB1R1/qP2Q3/1NK4R w - -,e2g4
2r2bk1/5ppp/3p2P1/4rP2/1p2B3/1Pq5/2P1Q2P/3R1R1K w - -,g6f7
r1bq1rk1/p4pb1/2pPp1p1/2p2n1p/4NP2/3P1N2/PPP3PP/R1BQ1R1K b - -,f5d6
2r1k3/1R5p/6p1/p3Bp2/2P2P2/2K5/P6P/3r4 w - -,b7h7
3q1rk1/1r5p/1p3pp1/2pPQ3/4P3/1P1P2P1/1B5P/5RK1 w - -,e5e6
r1b1rk2/p1q2pb1/1pP3pp/2n1p3/2Q2B2/2P2N1P/PPB2PP1/R3R1K1 w - e6,f4e3
r1bqk1nr/ppp1bpQp/3p4/n7/4P3/2P2N2/P3BPPP/RNB1K2R b KQkq -,e7f6
rnbqkbnr/pp1p1ppp/4p3/8/2Pp4/5N2/PP2PPPP/RNBQKB1R w KQkq -,d1d4:f3d4
8/3B1p2/3p1kp1/p2P3p/1r3P1P/4K3/8/1b1R4 b - h3,b1f5
rq3rk1/1p3p1p/p4Qp1/3P4/2P5/3B3b/PP3RP1/4R1K1 w - -,e1e3
1r1r2k1/pbq3p1/1p2p2p/2p1N1b1/2PPn3/4P3/PBB1Q1PP/2R2RK1 w - -,c1d1
r3r1k1/ppq2ppp/2p2n2/4n3/6b1/1PN1PP2/P1QBB1PP/4RRK1 b - -,g4h5
6k1/4bppp/1n3Q2/pp1p4/5N1P/1P2P1P1/P4PB1/6K1 b - -,e7f6
8/p4p1p/1p4k1/2p3P1/P2n1K2/2N5/8/8 w - -,c3d5
r1b2rk1/2qn1pb1/2p2npp/p3p3/1pN1P2B/3BQN2/PPP2PPP/R4RK1 b - -,f8e8
r1b2rk1/2q2ppp/p1p1p3/2Bn4/Nb6/3Q4/PPP1BPPP/R4RK1 b - -,b4c5
rn1r2k1/pb2qppp/3ppb2/2p3B1/2P5/5NP1/PP1QPPBP/R2R2K1 w - -,g5f6
3k4/2p4p/n1p3p1/2P5/1P6/2B5/5PPP/6K1 b - -,d8d7
8/8/5k1p/4Np2/P1B2Pp1/6Pb/4K3/4b3 b - -,e1g3
3rr1k1/5pp1/pqb1n2p/1p2PP2/4N3/P1Qp1N1P/1P4P1/R3R2K b - -,c6e4
r1bq1rk1/pp3n1p/n2p1ppb/2pPp3/2P1P2B/P1NN4/1P2BPPP/R2Q1RK1 w - -,e2g4
r4rk1/p4pp1/2pq4/1p2nR1P/3pP1p1/P2P2Q1/BP4P1/R3K3 b Q -,a8e8
2kr1b1r/pppb1pp1/2n2n2/1B5p/7P/2P1BNN1/PP3PP1/R3K2R w KQ -,f3g5
r3q1k1/2pb1rpp/p1p3n1/1p3p2/3QP3/1N2BP2/PPP3PP/3R1RK1 b - -,f5e4
1r3nk1/3b1pb1/2pR1n1p/p3p1p1/Br2P1P1/2N2PBP/1PP1N3/2K1R3 b - -,f6e8
rn1qk1nr/1p2ppbp/p2p2p1/2pP4/2P1P3/5Q1P/PP3PP1/RNB1KB1R w KQkq -,b1c3
r2q1rk1/pppnbppb/4pn1p/8/3NP3/1P4P1/PBPN1PBP/R2Q1RK1 b - -,c7c6
8/4n1Np/p7/2K5/6k1/8/8/8 b - -,a6a5
8/1bpp4/1p6/p1nP1k2/2P3p1/2N1P2p/PP2K1B1/6R1 w - -,g2h3
5k2/1r4p1/p1R2p2/4p2p/1P2P3/P7/5PPP/5K2 b - -,a6a5
2rq1rk1/p4pbp/1p4p1/n2P4/8/4BN1P/P3QPP1/3R1RK1 w - -,e3g5
8/4rpk1/1p4p1/p1pBqn1p/P1P5/1PP3PP/3Q1PK1/3R4 w - -,d5f3
r2qk2r/pppbbppp/4p3/nn4P1/3PPN1P/2N5/PPP2BB1/R2QK2R w KQkq -,c3e2
1r1qbrk1/p1b3p1/2p1p2p/2pnP3/2Np1PQ1/3P3R/PPPB3P/R5KN b - -,g8h7
4rrk1/pp1b2pp/4p3/q2p2P1/8/2NB2Q1/PPP2n1P/1K1R3R w - -,g3h4
6k1/1p5p/p1p1p2q/2PpP3/PP1Pb1P1/4Q3/8/5NK1 b - -,h6h1
8/5pk1/3R4/6K1/6BP/8/8/5r2 b - -,f1h1
6k1/p2b1rpp/4p3/3pP3/3q2PP/P1rNRP1Q/8/3R2K1 w - -,g1f2
3rb1k1/3r1pb1/p2ppq2/1p2nP1P/P1P1P1p1/BP2Q3/3RN1BP/3R3K w - -,a4b5
5k2/1p6/p4pp1/3b3p/1P1N1P2/P3K1P1/7P/8 w - -,h2h4
r2r1nk1/1p2qpp1/2p1p1p1/3P4/pbP2BP1/6QP/PP2RPB1/3R2K1 b - -,c6d5
r1bq1rk1/p3ppb1/1pp2npp/2p5/4P3/2NPBN1P/PPPQ1PP1/R4RK1 b - -,g8h7
r2r2k1/1q2bppp/4p3/p1p5/1n1PP3/1Q2B1P1/1P3PKP/R2RN3 w - -,f2f3
2r2rk1/1p3pbp/p3p1p1/3pP3/P4B2/RnP1RB2/1P3PPP/6K1 b - -,b3d2
rn1qk2r/pp3pp1/2p1pn1p/8/3P1B1P/2PQ2N1/PP3PP1/R3K2R b KQkq -,d8a5
2q1b3/rp1n2k1/2p1p2p/b1PpNpp1/PN1P1P2/4P1P1/1Q5P/1R1B2K1 w - -,e5d7
rn1qk1nr/1b2bppp/p1p1p3/1p2N3/P2P4/1QN1P3/3B1PPP/R3KB1R w KQkq -,f1e2
1r3rk1/3q2bp/2np2p1/1NpNn3/2P1P1b1/5PP1/3BQ1BP/1R3RK1 b - -,e5f3
8/p2Q1P2/6p1/2p1k3/r7/7P/P4R2/4q1K1 w - -,g1g2
8/8/4k3/P2p3p/1p1P1Pp1/1P2K1P1/7P/8 b - -,e6d6
q1r1r1k1/5pp1/p2p4/4p3/1PP1b2n/PNQ5/2RR2pP/5BBK w - -,f1g2
r1bq1rk1/ppp2ppp/2n1pn2/8/1bBP4/2N1PN2/PP3PPP/R1BQ1RK1 b - -,b4d6
rnb2rk1/ppp1ppbp/6p1/8/3P3B/2P1Pq2/P4PPP/R3KBNR w KQ -,g1f3
r2q1rk1/pp3pbp/2n2np1/2p1p1B1/2P1P3/1PN2B2/P4PPP/R2Q1RK1 b - -,c6d4
6k1/r1pb2p1/1p1n1q2/r1pPpPp1/P1P1P3/2N5/P3BK2/R1Q3R1 b - -,a5a4
1r6/1b2kpbp/p2pp1p1/2p5/P1N1P3/1P1BB3/2P3PP/2KR1R2 b - -,b7c8
3r1bk1/p2r1pp1/8/2p2P2/3pqB1Q/2P2R1P/P5P1/2R3K1 w - -,c1e1
1Q3bbk/2B2q2/2B1p2p/4Ppp1/5P2/8/8/5K2 b - -,g5f4
r1b1k2r/pp3ppp/2n2q2/2Pp4/4n3/P4N2/1PQ1PPPP/R1B1KB1R w KQkq -,e2e3
8/8/p1p1k1n1/P2p2P1/3P2K1/B7/8/8 b - -,g6h8
4kNnr/p1q2ppp/2r1p3/1p2n2P/8/1Q2BP1B/PP2PP2/3RK2R b Kk -,e8f8
8/4k3/1pR1rpp1/8/1P4P1/1P6/2K5/8 w - -,c6c4
1r1br1k1/p2q2pp/Q1p1np2/2p1pb2/2N5/1PNP1PP1/P2BP2P/2R1R1K1 w - -,c3e4
5k2/4q3/p1B1p1Qp/1p4pP/3b4/6P1/PP3P2/6K1 w - -,g6h6
2rb2k1/1R3p2/2P1p1pp/3n4/3P4/rN4P1/5PBP/2R3K1 b - -,d8c7
2bqr1k1/1p3pbp/1npp2p1/r1nPp3/2P1P3/N1Q1B1P1/P3NPBP/R4RK1 b - -,b6a4
2r1Q2k/1p3pr1/p2b2np/8/2pB1P2/P1P5/1PB4P/1K2R1R1 b - -,c8e8
r4rk1/ppBb1p1p/2n2p2/8/2p5/6P1/PP2PPBP/R4RK1 w - -,f1d1
r2qrbk1/3b1pp1/p2p1n1p/npp1p3/P3P3/2PPNN1P/1PB2PP1/R1BQR1K1 b - -,b5b4
8/6pk/6q1/1R5Q/5P1p/4P2P/r5PK/8 b - -,g6h6
4Q3/1p6/2q4p/5p1k/5Pp1/8/P3RK1P/8 b - -,c6e8
rnb2rk1/1pq2ppp/4p3/1p6/1BB1Q3/2P5/P4PPP/R3K2R w KQ -,b4f8
r1b2rk1/1pq1bppp/p1n1p3/3N4/P4P2/1N2B3/1PP1B1PP/R2Q1RK1 b - -,e6d5
2b2rk1/1rP2ppp/4p3/1pb1P3/1pp2P2/6P1/1P2P2P/RNBR1K2 w - -,a1a5
r4r2/p1p2pk1/2npb1p1/2p5/2P1PP1q/1PNB4/P2Q2PP/R4RK1 b - f3,f8h8
8/p4rp1/R7/1p6/1P4K1/Pk6/8/8 b - -,b3b2
rr6/2pnk1pp/p2bpn2/1p2p3/P3P3/2NNBP2/1PPR2PP/1K5R w - -,b2b3
r4rk1/p2qb1pp/1p6/2p1pP1N/3pb1P1/1P1P1R2/1PPQ3P/5RK1 w - -,d3e4
8/pp6/8/4k1b1/4P3/1PP2B2/P1K5/5b2 w - -,f3h1
8/1p1R2p1/4k3/p3P1np/2r5/8/PP3P1K/3R4 w - -,d7g7
rnbQ1rk1/ppp2pbp/3p2p1/8/6n1/1P2PN2/PBPN1PPP/R3KB1R b KQ -,f8d8
r1b1k2r/4bppp/pq1ppn2/1p6/3pPP2/1B1P4/PPP1N1PP/R1BQ1RK1 w kq -,d1e1
r1b2rk1/1pq2ppp/p1n1pn2/3p4/3NP3/P1P1BP2/2P1B1PP/R2Q1RK1 w - d6,e3g5
1R6/1pr2n2/p4k2/8/1B6/1P6/P5P1/6K1 b - -,f6f5
rn1qkbnr/p3pppp/1p6/2ppP3/6b1/3P1N1P/PPP1QPP1/RNB1KB1R b KQkq -,g4f3
8/4R3/1kb3p1/8/1p6/pP5P/5K2/8 b - -,c6d5
r4rk1/ppp2ppp/1nn1p3/4P2q/1bPP4/2NQ1P2/PP3B1P/R3KB1R w KQ -,f3f4
3rr1k1/5pbp/pp4p1/2q5/3NnP2/1P1R2P1/PB4QP/3R3K b - -,c5d5
r1b1k2r/ppp2pp1/2nq1n2/4p2p/3P4/2P1P1N1/P2B1PPP/R2QKB1R w KQkq h6,f1d3
r1bq1r1k/p3b1pp/2pp4/2p1p3/4PB2/NQP2N1P/PP3PP1/R3R1K1 b - -,f8f4
8/5ppk/1p5p/RP1n2r1/2Np2PP/5P2/1P1K4/8 b - h3,g5g6
5br1/2k5/1Rp2p1p/2q1p3/2P1p3/1Q5P/1P3PP1/R5K1 w - -,a1a6
2k1q3/pb1r4/3p3p/BRpPp3/2P1P1pP/P4rP1/2Q3K1/1R6 w - -,c2a4
3k4/2q5/1p1np2p/p2pNp1b/P2P3P/1P1BP3/3Q1P2/5K2 b - -,d6f7
r1bk3r/3n3p/p2qp3/1R1p1p1B/3B1P2/8/P1P2QPP/5RK1 b - -,a6b5
r2r2k1/1p1qbppp/2n5/p1Pp1b2/1P3B2/1R1B1N2/P2Q1KPP/4R3 w - -,a2a3
8/4k3/4p3/6p1/3q4/6PB/4Q1K1/8 b - -,d4d5
3r4/6kp/1pQ1pn2/p1n5/2P5/P7/4BPPP/5RK1 w - -,c6b6
2r3k1/pb3pb1/1p4pp/3P4/1q2N3/1B2Q3/P4PPP/3R2K1 w - -,e3f4
r1b3k1/3n2pp/p3Q3/3ppr1P/N7/7R/PPP1B1q1/1K1R4 b - -,f5f7
r1bq1r2/pp4kn/n2p4/2pP1p2/2P1p3/2NB1N1P/PP1Q1PP1/R4RK1 w - -,c3e4
5r2/p4ppk/2p5/4p3/4P3/2PQP1q1/P5Pp/5R1K b - -,h7g8
2r3k1/5pp1/1p2pq1p/pN1n4/PnNPR3/1P4QP/5PP1/6K1 b - -,b4c6
7R/5p2/2p3b1/4k2p/8/4K1PP/8/8 b - -,c6c5
2r5/1pn1ppkp/3p2p1/p1r5/P1P1P3/1PN2PP1/3RR1KP/8 b - -,g7f8
2rr2k1/ppqbbp2/2n1p1pp/2PnP3/4Q3/1N1B1NP1/P2B1P1P/2RR2K1 w - -,d2h6
r2r2k1/pp1bqpb1/4p1pp/1Nn1P3/1P6/5N2/P1B1QPPP/R3R1K1 b - b3,c5a6
8/2k5/4R3/4K3/4B3/8/8/4r3 b - -,c7d7
r3k2r/pp1b1p1p/1bn1p3/5p2/8/1N3NP1/PPP2PBP/3RK2R w Kkq -,e1g1
r7/5ppp/kp6/8/2Q3n1/2N3P1/1q3P1P/2RK4 b - -,a6b7
r2q2k1/1pp1pr1p/p2pQbpB/8/3p4/7P/PPP2PP1/R4RK1 w - -,a1e1
8/2k1n3/1p2P1p1/p3N2p/P1K5/1P4PP/8/8 w - -,e5f7:c4b5
5rk1/1p3pb1/3n2pp/1p6/3P4/3BP3/1PR2PPP/r1N1K2R w K -,e1g1
r1bqn1k1/pppp1ppp/5b2/8/3P4/2P5/PP3PPP/RNBQ1BK1 b - -,d7d5
5bk1/1b3ppp/q2p2r1/pN2p3/P3r3/1pPRB2Q/1P4PP/2NR3K w - -,b5c7
5k2/R6p/5P2/4N3/p6K/7P/PPb5/6r1 b - -,c2e4
3r2k1/p2r1pp1/4pn1p/5q2/PQ1P4/4B1PP/5PK1/1RR5 b - -,f6d5
8/2p4p/p2pk3/2p1np2/2P1r3/PP4P1/3K3P/5RB1 b - -,e5c6
3qr1k1/r4pbp/p2pb1pB/npp1p2n/4P1N1/2PP1Q1P/PPB2PPN/R3R1K1 b - -,g7h6
r5k1/pbq2rpp/1p2Q3/4p3/1PP2p1P/PNn1PB2/5PP1/3R1RK1 w - -,f3b7
r4rk1/1pqnbppb/p1p2n1p/4p3/2P1N3/1P1P1N2/PBQ2PPP/R3RBK1 w - -,e4g3
8/1nr1kpp1/1p2p2p/p3N2P/6P1/1P3P2/P3PK2/3R4 b - -,b7d6
R7/8/8/5p2/1r5k/8/5K2/8 w - -,f2f3
r7/6k1/3p2P1/4b3/2p5/BPPR4/PK6/2R5 b - -,c4d3
r3rbk1/1bqn1ppp/ppnpp3/6P1/P3PP2/1NN1B3/1PP3BP/R2Q1RK1 w - -,f1f3
r1b1k2r/pp2qppp/2pb1n2/4p1B1/2n4N/2N3P1/PP2PPBP/R2Q1RK1 w kq -,d1c2
r2r2k1/pbq1bppB/2p1p2p/2Pn4/1p1N4/4P3/PPQB1PPP/R2R2K1 b - -,g8h8
6k1/8/8/8/7Q/5K2/1r5p/8 b - -,g8f7
2rq1r1k/pp1np1bp/2np2p1/3Np3/2B1PP2/4B1P1/PPPQ3P/1K1R3R b - -,c6d4
rnbq1r2/pp2ppbk/2pp1npp/3P4/4P3/2N1BN1P/PPPQBPP1/R4RK1 w - -,a2a4
8/p6p/1pknr1p1/2p5/6PP/2B2PK1/PP6/3R4 w - -,g3f4
r4rk1/2pbqppp/n2p1n2/1p1Pp3/p1P1P3/1P1N2P1/P2N1PBP/R2Q1RK1 w - b6,d1c2
r1bqkb1r/pp3ppp/2n1pn2/3pP3/3P4/3B1N2/PP3PPP/RNBQK2R b KQkq -,f6d7
8/6bk/1p1p1pq1/3P2Pp/1PPpr3/3Q1N1P/5PK1/3R4 w - -,f3d4
r3k2r/1b1n1pq1/p2p3p/1ppP3R/4PNn1/P1N3PB/1P2QP2/2KR4 b kq -,g4e5
1r6/b4pk1/b1rpn1pp/P1pNp3/2P1P3/2B3PP/3N1P2/RR4K1 b - -,c6c8
8/1p6/p1p5/7b/4k3/P1P4B/5K2/8 b - -,e4d3
r3k2b/1p2pp2/pqnp4/3b2p1/4P1n1/1N4B1/PPPQ1PP1/R3KB2 w Qq -,e4d5
r1b1kb1r/1pq2ppp/p1p1pn2/8/2P1P3/3B4/PP3PPP/RNBQ1RK1 w kq -,f2f4:b1c3
8/6p1/6P1/5k1K/8/8/8/8 b - -,f5f6
r4rk1/p4ppp/bp2pq2/3P4/5P2/1P1n2P1/P2Q2BP/RN1R2K1 w - -,d2c3
8/7k/2bQ2p1/4p2p/2P1Pp1P/1P3B2/5PPK/r3q3 w - -,d6e7
r2qkb1r/pp1npppp/2p2n2/4Nb2/P1pP4/2N5/1P2PPPP/R1BQKB1R w KQkq -,e5c4
rq3rk1/3bnpbp/2n1p1p1/pp1pP3/3P1BP1/2N2N2/PP1Q1PBP/R3R1K1 w - -,c3e2
r3kb1r/p4ppp/4pn2/3q2N1/3Q4/4B2P/PP3P2/1KR4R w kq -,d4a4
5nk1/pp4p1/7p/2Pp1P2/5NP1/P3Q1KP/1q6/8 b - -,d5d4
2q2rk1/2r1bppp/p1bp4/1p2p1PP/4P3/1P2BPN1/P1P4Q/1KR3R1 b - -,d6d5
r4rk1/ppp2ppp/4B3/8/1P1nP3/2N5/1P3PPP/R4RK1 b - -,d4e6
8/6rp/r1b2p1k/5p2/5B2/6R1/1PP3PP/1K6 b - -,g7g5
r3r1k1/pp2bppp/2p1p1b1/q2nB3/2BP4/2P3N1/PP2QPPP/R4RK1 w - -,e2g4
3k1r2/B1b3pp/2pn1p2/4p3/1NP5/8/P4PPP/1R4K1 w - -,b1d1
5r1k/6pp/5Q2/6b1/8/1P1P3P/2P1R1P1/7K b - -,g5f6
2R5/p7/1b3k2/3K1P2/3P1r2/2P5/8/8 w - -,d5d6
r3k2r/pp1qnp2/2np3p/2P2bp1/2P1p3/P1P3PN/4PPBP/1RBQ1RK1 w kq -,c5d6
1r2kb1r/1b1p1n2/2q1p3/2P1P1p1/2BN1p2/4B1Q1/P1P2PP1/3RR1K1 w - -,d4c6
8/7k/5pp1/7p/1r3P2/4BK2/6R1/8 b - -,g6g5
8/p5pk/8/2p2n1p/2N1p3/4P1PP/PP4K1/8 w - -,g2f2
2r3k1/1q1n1p1p/p1rpbnp1/4p1B1/4P3/2N1RB1P/1PPQ1PP1/R5K1 w - -,g1h2
rn1qkb1r/pbpppppp/1p6/4P3/4n3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,c3e4
2k2b1r/pp3p2/4p2p/2pr1p2/2PP4/5N2/PP3PPP/3RK2R b K c3,d5d7
r2q1rk1/1b2bp1p/p1p1pnp1/3p4/N3PB2/1P1B4/P1P1QPPP/3R1RK1 b - -,f8e8
2r5/1pq2p2/4pk1p/5p1b/1Q6/P3N1P1/3r1P1P/R3R1K1 b - -,h5f3
3rr1k1/1p3pbp/p1npbnp1/q1p2P2/P1P1P1P1/1PN1B2P/3RN1B1/3Q1RK1 b - -,g6f5
5b2/4q1k1/2Q4p/4p3/1p2P2P/1B4P1/1PP3K1/8 b - -,e7d6
8/p2n1kpp/1p1pp3/1P3p2/P2P4/4P3/4KPPP/2B5 w - -,c1a3
8/8/3k4/3p3p/1Pr3p1/3NK3/5R1P/8 b - -,c4e4
r1b2rkb/pp1nqpnp/3p2p1/2pPp3/2P1P2N/2N1B1P1/PPQ1BP1P/R2R2K1 w - -,e3h6
8/6k1/5p1p/2b2B2/5PK1/6P1/7P/8 w - -,f5d7
2rq1rk1/p2nn1pp/1ppb4/3p1p2/5P1P/1P4P1/PB1PNPB1/2RQ1RK1 b - -,d7c5
r1b3k1/1r1q3p/1P1p1pp1/3P1p2/2R5/6PP/3QPPB1/2R3K1 w - -,c4c7
3k4/p6R/4p3/1pP5/8/3npKP1/P7/8 b - -,d3c5
4R3/p2r3p/1p4p1/1PbB3k/4PP2/5K1P/8/8 w - -,f3g3
r2q1Bk1/1n3ppp/p1n1p3/8/Q2P4/2P2N2/P4PPP/5RK1 b - -,c6d4
6k1/2P2p2/2R1b1pp/2r5/4B3/5P2/2P2K1P/8 b - -,c5c6
r4rk1/3bppbp/p2p1np1/qppP4/2n1PP2/2N1B1NP/PP1QB1P1/R3K2R w KQ -,e2c4
r1r3k1/4pp1p/1B2n1p1/2N2b2/6P1/1P3P2/P1Nb3P/1K1B3R b - -,f5c2
2r1k2r/1b1pbppp/p1n1p3/qp6/1P1pPP2/P2P2P1/2PNQ1BP/R1BK3R b k b3,a5b6
Q2kr2r/p3q2p/bp1p4/2p2p2/2n2P2/2N5/PP2P1BP/4RRK1 b - -,a6c8
