8/2p4p/p7/1p3k2/1Pn2P2/P4K2/5P2/7R w - -,h1h7
r4r1k/6b1/p2p4/P1p1pn1p/4N1p1/1PP2PPn/3B2KP/1RN2R2 b - -,a8d8
r1bqk2r/p2nbppp/2n1p3/1pppP3/P2P4/2P1BN2/1PB2PPP/RN1Q1RK1 b kq a3,b5b4
r1b1kb1r/1p1n2pp/p2pNn2/q5B1/4P3/2N5/P1PQ1PPP/1R3RK1 w kq -,f2f4
3r3k/2q1b2p/2b2p2/n1pnp1pP/1p2N3/2PP1N2/BP2QPP1/2B1R1K1 w - -,d3d4
r4rk1/ppp2ppp/2nqpn2/8/1PBP4/P1N1PP1P/5P2/R2QK2R b KQ -,e6e5
5k2/p5p1/1p1Np1R1/2r1Pp2/P1P1bP2/R3P2r/4K3/8 w - -,g6e6
2rq1rk1/pb2bppp/1pn1pn2/2ppN3/3P1P2/PP1BP3/1BPN2PP/R2Q1RK1 b - f3,f6e4:a7a6
r1bqkb1r/pp3p1p/2n1p1pQ/2ppN3/3PnP2/2P1P3/PP1N2PP/R1B1KB1R w KQkq -,h6h3
8/8/8/1p6/8/k7/8/K7 b - -,b5b4
1r2k1nr/2qbbppp/p1npp3/1p6/4P3/PNN1B1P1/1PP1QPBP/R4RK1 b k -,g8f6
2k5/ppqn1pp1/2p2b2/2P2Pp1/3p3r/4P2P/PPQB4/1K1R1B2 w - -,d2e1
r3brk1/4q1n1/3pn2Q/pN2pR1p/P1P1P1pP/1N4P1/2B4K/3R4 b - -,g7f5
4rr1k/2Rb1qBp/p2p2p1/3Pp3/4PpnP/6P1/P1Q2PB1/3NR1K1 b - -,f7g7
2r3k1/Q2b3p/1P1q2p1/3P1p2/8/2p3P1/2P3BP/1R5K w - -,b6b7
4q1k1/pp5p/2pb1np1/3p1p2/3P4/1P1Q2P1/P1PB1PBP/6K1 b - -,f6e4
1rb2rk1/ppp1qppp/4p3/8/3PQ3/5N2/PPP2PPP/2KR3R w - -,h2h4
rnb2rk1/p4pbp/3p1np1/q2Pp3/Pp2P3/2N2NP1/1P3PBP/R1BQ1RK1 w - -,c3b5
1r3r1k/ppp3pp/3p4/PPn5/2PNPpn1/2BP1P2/3K3P/R4q1R w - -,h1f1
8/1R6/4kpp1/1pr1b2p/8/1P2R1P1/7P/6K1 b - -,e6f5
2r3k1/p4pp1/7p/1rpBp3/3b4/1P1P2P1/P1R2P1P/2R3K1 b - -,c8d8
rn3rk1/pp1nppbp/2pp2p1/7q/2PPP3/1P3NPb/PB1N1PBP/R2Q1RK1 w - -,f1e1
r5k1/5p1p/4n3/P1b2bp1/4p3/6PP/1B3PB1/3R2K1 w - -,b2c3
r1bq1rk1/3nbppp/ppn1p3/3pP3/3N1P2/4B3/PPPQB1PP/R2N1RK1 b - -,c8b7
5rk1/bp1n1p1p/p2p2p1/P2Pp3/1P2B1Pq/3Q3P/2P1RP2/4BK2 b - -,f7f5
r3r1k1/1nqbbp1p/p2p2pB/1ppPp2n/4P3/1PP2N1P/P1B2PP1/R2QRNK1 w - -,g1h2
2rqk2r/3nbppp/p3pn2/1p4N1/4N3/6P1/PPQ1PPKP/R1BR4 w k -,c2b3
2R2bk1/6pp/2p5/2p3r1/2Nn4/BP5K/2P4P/8 w - -,c2c3
8/1B4k1/P5p1/2p1b3/2P5/3Q1K1P/8/q7 w - -,f3e4
r3rbk1/p1q2p1p/bppNp1p1/2n1P3/4PPQ1/1P6/PBB3PP/3R1RK1 b - -,a6f1
r4r1k/pp1qbp1p/2np4/2pBp1pb/4P3/2PPQ2P/PP3PPN/R1B2RK1 w - g6,g2g4
3n3r/p1b1kpp1/1p4p1/4p3/8/1NP4P/PP1NKPP1/3R4 b - -,d8e6
4rrk1/ppqb2pp/2nbpn2/3p4/3P4/3B1NB1/PP2NPPP/2RQ1RK1 b - -,c7b8
8/8/5k1p/1R4p1/2r3PP/5PK1/8/8 w - -,b5b6
3rn1k1/pp3p2/2nPb1pp/8/4P3/8/P2RBPPP/5RK1 w - -,f1d1
2k3rr/pppq4/2n1b1n1/3p4/P2P3p/B1PB2p1/2PQ2PP/R2N1RK1 w - -,h2h3
1qr1r1k1/1B1nbppp/pp1p1n2/4pPB1/1NP5/P1N1P3/1P4PP/2RQ1RK1 b - -,b8b7
3r4/4b3/4kpp1/p6p/5P2/2P2K2/P2B4/4R3 b - -,e6f5
7R/3r4/5p2/4k1p1/4p3/1P2N1P1/1K3P1P/8 w - -,h8c8
r3r1k1/1p1b1ppp/5b2/p1p4q/P2N1B2/1P3P1P/1P1R1QP1/5RK1 w - -,d4e2
r3kb1r/ppp1pppp/2n2n2/q7/3P2b1/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,h2h3
3rk2r/4b1pp/p4p2/1p1p4/3P3n/BPN5/P1P3PP/R4RK1 w k -,a1e1
4r1k1/3n1pp1/1qpb2p1/1p1p2Pn/2RP3P/PQ2B3/1P2NPB1/2R3K1 b - -,b5c4
r1b2rk1/1pqpppbp/p1n2np1/8/3NP3/1BN1B3/PPP2PPP/R2QR1K1 b - -,c6a5
8/1p2pr2/2p5/1n5R/1P1PP3/8/4K1k1/4B3 b - -,b5d4
8/5p2/1k2p3/p1b2p1p/2KN4/5PP1/PP5P/8 w - -,d4e2
6k1/6pp/8/8/R7/5K1P/P1r3P1/8 b - -,g8f7
7r/6k1/4br2/1p1p1p1P/2p3pR/2P3P1/1PK1B3/3R4 b - -,f6h6
r3r1k1/3q2b1/pp1p2pp/2pP4/1PP1b3/P4PBP/3Q2P1/2R1R1K1 w - -,e1e4
6k1/R7/6p1/8/3BP2p/4KB1P/6P1/2q5 w - -,e3d3
3b4/3k1p2/1pp2p1p/p4K1P/PP2BPP1/2P5/8/8 b - b3,d8e7
2rb2k1/1pq2p1p/p5p1/3Np3/P1n1P3/1Q6/4NPPP/3R2K1 b - -,c7c6
8/Qp1rkp1p/8/8/2Bn4/1P5P/P1b5/5K2 b - -,c2f5
8/p3k3/R3p3/1PPrK3/3P4/8/8/8 w - -,e5e4
r1bq1r2/ppp1ppkp/2n3p1/3n4/8/1P3NP1/P2PPPBP/RN1QK2R w KQ -,e1g1
8/p7/3k2p1/5p2/P3p2P/4P1P1/5PK1/8 b - -,a7a5
4b1k1/4ppbp/pq1p2p1/n1pP3n/2P1PPP1/7P/PBQNN1B1/6K1 b - -,h5f4
3r1rk1/6b1/ppnnq1pp/2p1pp2/2P1P3/PNP3P1/1B2QP1P/R2R1BK1 w - f6,e4f5
r2qk1nr/1p1bppbp/p1np2p1/1B6/3PP3/5N2/PP3PPP/RNBQR1K1 w kq -,b5c4
2k4r/pp5p/5pp1/2P2p2/4p2P/2P1P3/PP3PP1/2KR4 w - -,c5c6
r3k2r/pp1bqpbp/2n1p1p1/2p2n2/4N3/2P2NP1/PP1PQPBP/R1B2RK1 w kq -,d2d3
r4bk1/5p2/2b3p1/2p1p2p/rp2Pq2/2P2PNP/1P1QR1P1/3R1NK1 w - -,c3b4
6k1/1R5p/8/6P1/6K1/2b5/8/8 b - -,c3d4
1k1r1b1r/ppqn1p2/2p1p2p/4Nbp1/QnPP4/N3B2P/PP3PP1/R3RBK1 w - -,e5d7
r2qk2r/1p2bpp1/2p2np1/p1npp3/P7/2PP2P1/1PQNPPBP/R1B2RK1 w kq -,d3d4
r1bqk2r/1p2bppp/p1npp3/2p5/P1B1P3/2NP4/1PP2PPP/R1BQ1RK1 w kq -,f2f4
8/p7/7p/4k3/2p1b2R/2K5/P7/3n4 w - -,c3c4
4r3/3b1pk1/2p3p1/3P4/pbB1pN1r/4P2P/KPR2P2/7R b - -,c6c5
6k1/1pp1n1p1/6p1/4p3/1n6/1P3PP1/P5BP/3N2K1 w - -,d1c3
r2q1r2/2p3bk/npPp1npp/p2Np3/1PP1Pp2/P4N1P/5PP1/1RBQR1K1 w - -,d5f6
3r2k1/1p1rqpp1/2p1p2p/p3P2b/PbQPBP2/3R2PP/NPR5/6K1 w - -,a2b4
2r5/pp3pk1/4p1p1/3nq1p1/6P1/P3P2P/1P2BP2/KQ5R b - -,a7a6
8/5k2/p7/3p1p2/PBpP4/R1P1r3/4n1K1/8 w - -,a4a5
3r4/1pp5/4k1pp/1R2Pp2/4nP1P/2P1B3/1P2R1K1/3r4 b - -,b7b6
r1b2rk1/pp2qppp/2np1n2/4p1B1/2B1P3/2P2N2/P3QPPP/R2R2K1 w - -,g5c1
1r1r2k1/3n1p1p/p2P2p1/8/5N2/5Q2/q4PPP/1R3RK1 w - -,b1a1
5r2/pb1k4/1p1p3p/2rP1p2/2PNpP2/4P3/P4KPP/2R2R2 b - -,f8f7
6k1/5p1p/2q1P1p1/ppB5/2b2P2/4Q1PP/P5r1/3nR2K w - -,e3e4
2r5/Bp3k2/8/3P2pp/5b2/P2R1P2/6KP/8 b - -,c8c2
r3k2r/1p2b1p1/p1n2p1p/4pP2/3pN1PP/1PP5/1P3P2/1K1R1B1R b kq -,e8c8
5r1k/1p4p1/1qPp3p/3Pn3/1r2p3/7P/3QB1P1/2R2R1K b - -,f8c8
8/8/p1R3k1/P1p2p2/8/5K2/2r5/8 b - -,g6g5
r2q1r2/1p1n1Bbk/2pp3p/p5Pp/3pPP2/P2P1Q2/1PP5/R1B2RK1 w - -,f3h5
8/6k1/4Q3/5p1P/8/6P1/4P1K1/4q3 b - -,e1b1
1kqr1n1r/p4pb1/3p1np1/2pPp2p/PpP1P2P/1P4P1/1B1NQP2/2KR1N1R w - -,f2f3
r2r2k1/4bppp/1q2p3/3pB3/R2P2P1/1p2Q2P/1Pb1PPB1/R5K1 b - -,b6b7
r1bq1rk1/p3ppbp/6p1/3p4/2B5/4BP2/PPPQ2PP/2KR3R b - -,a8b8
6k1/7R/pr2ppn1/8/5PPp/3N4/1P2K2P/8 w - -,h7a7
1qrr2k1/pb2ppbp/1p1p1np1/2n1P3/3B1P2/PNN2B2/1PPR2PP/3RQ1K1 b - -,c5b3
1r2rnk1/1q4b1/p2p2p1/1p1Pnp2/5N2/1P2B1Q1/P3B1PP/4RR1K w - -,h2h3
8/8/7P/6k1/8/r4PKR/8/8 b - -,a3a8
8/1R6/5p2/5kpp/8/4K3/r5PP/8 w - -,b7b5
r2R4/1pr3kp/1n4p1/1B2R1P1/P6P/5P2/6K1/8 w - -,d8a8
2k5/p1p2rp1/1p1p4/4p2r/2P5/P4P2/1PP3P1/1K1RR3 w - -,e1h1
3r2k1/pRBb2bp/5np1/q2P4/2P3P1/4Q2P/P4P2/4R1K1 b - -,a5a6
3q1rk1/p1r2p1p/4p1p1/3pP3/3P4/2N1QB2/PP4PP/5RK1 b - -,d8b8
4r1k1/2p2p2/1p2qnp1/p3p3/P1P5/BP1RQ1P1/5P1P/6K1 w - -,e3d2
8/6pk/8/4N2p/p4P2/P2Q3P/1P1n2PK/4q3 b - -,h7g8
4rrk1/pbq3bp/4pnp1/1p1p2N1/2p2P2/2P1P1B1/PPB1Q1PP/3R1R1K b - -,c7b6
5N2/6k1/1P4p1/4p3/n3P3/8/1r4PP/5RK1 w - -,f8d7
rnbqk2r/1p2bppp/2pp1n2/p3p3/P2PP3/2N3P1/1PP1NP1P/R1BQKB1R w KQkq -,f1g2
8/5Bn1/1K1k1p1p/4p1p1/4P1P1/6P1/8/8 w - -,b6b5
r1bq1rk1/ppp2pb1/2n3p1/6NP/2B2p1P/3P4/PPP2P2/R2QK2R w KQ -,h5g6
r4rk1/pbq1bppp/1n2p3/2n1P3/Pp1N4/1B4N1/1P2QPPP/R1BR2K1 b - -,c5b3
6k1/1pp2rb1/3p4/3P2Rp/2PBP1b1/1P3r2/1Q1KN2q/6R1 b - -,f3f2
3r2k1/pp1r1pp1/2p1p2p/7q/1PPP1Q2/7P/P2R1PPK/3R4 b - -,h5g6
4q3/6bk/6pp/2p5/8/2P1PN2/1P1Q2PP/6K1 w - -,g1f2
2r3k1/p1r1pp1p/1p1p2p1/nR6/2P4P/3PPB2/3K1PP1/R7 b - c3,e7e6
7r/1p1q1pk1/3b2p1/3RNp2/3P4/4P1P1/2R2PK1/r7 w - -,e5d7
r1b1k2r/ppB2ppp/2n1p3/8/2B5/5P2/PP3P1P/2KR3R w kq -,c7d6
2R5/k7/2K5/2P5/8/8/8/3r4 w - -,c6c7
r1q2rk1/pbn1bp1p/1p3np1/2ppB1N1/3P4/2N3P1/PPQ1PPBP/3R1RK1 w - -,d4c5
r2qkb1r/2p2ppp/p2pb3/1p1Qn3/3pPP2/1BN5/PPP3PP/R1B1K2R w KQkq -,d5d4
r1b2R2/1p2R3/2p3p1/4p1k1/8/P7/2P5/4KBr1 b - -,a8a3
3r1rk1/pbqnbppp/1pn1p3/2p5/4P3/P1P2NPP/1PQN1PB1/R1B1R1K1 w - -,g2f1
r1bqnrk1/pp1n1p1p/3p2p1/2pP4/2P1PR2/2N5/PP2B1PP/R2QN1K1 w - -,e1d3
8/5pk1/4p3/7p/R7/5P2/3KP2r/8 w - -,d2e3
8/4R3/p7/8/2p3P1/1pK1pk2/8/8 b - -,a6a5
8/5R2/4pbp1/5k1p/7P/5P2/5K2/8 b - -,f5e5
4B2k/8/p1p2P2/P5N1/1p3P2/5K2/1PP5/4r3 w - -,f6f7
3K4/8/4Q3/1rk5/8/8/8/8 w - -,d8c7
r2qkb1r/1p1b1ppp/p3pn2/2pP4/2P2P2/5N2/PP1PQ1PP/RNB1K2R b KQkq -,f8e7
8/8/4pk2/R5pP/6P1/8/1r3K2/8 w - -,f2f3
3r1r2/pp2q2k/4n1pp/QPp2p2/4b3/P4NP1/1B2PPBP/2R3K1 w - -,a5a7
7R/1p6/1k6/p7/5B2/1P1n1BP1/P1K5/4r3 b - -,d3f4
r1q1r1k1/1p3ppp/p2p4/N2P4/P1pb1PP1/5B2/1PbB1R1P/3Q2K1 w - -,d1c2
r3k1nr/2qp1ppp/p2b4/1p1Pp3/P2Q4/6P1/1PP2PBP/R1B1R1K1 b kq a3,b5b4
5r1k/r6p/p2q2p1/n3pbN1/P1npB3/1R1Q2N1/1PP3PP/2K4R b - -,a5b3
1r6/3n2bk/3Pb1p1/p6q/1p4N1/4PQ2/3B2PP/2R2BK1 w - -,h2h3
8/8/8/4b2p/1P4k1/6P1/2K5/4B3 b - -,e5g3
8/p3R1pk/7p/2n4P/1B4P1/3r2K1/r7/5N2 w - -,f1e3
8/5k2/5b2/5Rp1/6Pp/2p4P/1pK5/8 b - -,f7e6
5rk1/3nnppp/p3p3/1p6/1P1N4/P5P1/2r1PPBP/2R3K1 w - -,c1c2
8/4B3/p2P1p2/1bR2Kpk/8/P6P/5r2/8 w - -,f5e6
2k2b1r/1p1b1p2/4pP1p/2Pp3P/1r1B1qP1/1N1Q4/1PP3R1/1K4R1 w - -,g2f2
3rr1k1/ppqnbppp/2p2n2/4p3/4P1b1/2NP1NP1/PPQB1PBP/3R1RK1 w - -,h2h3
8/8/4k3/8/RP5r/2K5/1P6/8 b - -,e6d5
8/pprRrpk1/7p/2p5/4P2P/P4P2/1P4K1/3R4 w - -,d7e7
2rq1rk1/p2nbppp/bp3n2/2p5/2pP4/1P3NP1/P1Q2PBP/R1BR1NK1 w - -,d4d5
6r1/p1q1k3/2Qb4/3PpB2/6P1/1P5P/P4P2/6RK b - -,c7d8
6R1/1p3p1Q/p6p/4k1p1/1P6/P5PP/6PK/q2r4 w - -,g8e8
8/8/2n5/8/3r2k1/4K3/8/2R5 b - -,d4d6
r5k1/pp1q1pbp/2p1b1p1/2P2n2/3pB3/Q7/PPN1RPPP/3R2K1 b - -,a7a6
6k1/1p3p1p/p5p1/3N4/P7/2PQ1P2/1q4Pb/4K3 b - -,h2g3
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq d3,f8g7
8/8/2p1Q3/8/3p4/2q5/2k3K1/8 b - -,c2b2
2r5/2p3kp/pnQ3p1/1p2r3/3qB3/BP3PP1/P6P/1R5K b - -,e5e4
8/5p1k/6p1/p2Pn1Bp/1p2P2P/1P3Pb1/5qP1/1Q3B1K w - -,b1d1
r2q1rk1/p5pp/3p1p2/1n1Pn3/2p1PN2/2P2PB1/4Q1PP/R4RK1 b - -,d8d7
6k1/p7/8/2p2pPp/2n1p3/P2bP3/1P1B1r1P/2K1R1R1 w - -,e1d1
4k3/p7/4p3/1p5P/1P4P1/3K4/1b1B4/8 w - -,d3e4
3R4/5pbk/6p1/4P3/3BKPP1/8/r7/8 w - -,d8e8
r1q1k1nr/pp1bppbp/2np2p1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -,a2a3
1r6/5p1k/3P1p2/p4N1p/4P3/P2r3P/5PP1/2R3K1 w - -,c1c7
2bk4/7p/n4p2/2pP4/2P1PB1P/8/3KB3/8 w - -,h4h5
6k1/1pBNrp2/2p2R1p/p1P3p1/P1r5/6P1/7P/3R2K1 w - -,c7e5
3r3r/p1p2kpp/Bpq5/4Q2P/8/P1B3P1/1PP5/R3K3 w Q -,e5g7
8/7p/6p1/1k3p2/r1pR1R1P/5KP1/5P2/r7 w - -,d4d8
2rr2k1/1p2b1pp/p2nbp2/P1p1p3/4P3/N1P1BP2/1P2BKPP/R3R3 b - -,g8f7
1b4k1/5pp1/p6p/P7/2r5/3NP1P1/2p1KP1P/R7 b - -,b8e5
5rk1/q1P1p3/3p2pp/8/2Q5/2b3P1/5PBP/2R3K1 b - -,g8h7
rq3rkb/7p/1ppPbppP/2p1p3/1nP1P1P1/pPN2Q2/P2R1P2/1NK2BR1 w - -,f1h3
8/3pB3/p1bPk3/R7/2P2pPp/1P6/2r3P1/4K3 b - -,f4f3
1qr1r1k1/3n1ppp/pp1b1n2/2pp4/P4P1N/1P1P1QPP/1BP3B1/R4RK1 w - -,g3g4
r4rk1/ppp2pp1/3b1q1p/3P4/2Q1N3/7P/PP3PP1/R4RK1 b - -,f6b2
1rb2rk1/3nq1np/p2p1pp1/2pP4/Pp2PPB1/1P2N2P/2QN2P1/R4RK1 w - -,a1e1
5rk1/1p2b1pp/1q2bp2/1B6/n2RP3/3N2Q1/P1P3PP/1K5R w - -,d4a4
5r1k/1p6/p4rp1/5p2/2Pbp3/1P3RP1/P3N1KP/3R4 w - -,f3f1
5Rk1/pp6/6p1/2BPb2p/P3P1bP/2N5/3n3r/K1R5 b - -,g8g7
r1b1r1k1/1p3pbp/2pp1np1/q1n5/p1PNPP2/2N2QPP/PP3B2/R3RBK1 w - -,a1d1
8/p1B5/5kp1/8/6p1/8/3K1P2/8 b - -,f6g5
rn3rk1/pb1nqpp1/1p1bp2p/2ppN3/P2P1BP1/2PBPQ2/1P1N1P1P/R3K2R w KQ -,g4g5
8/1kp5/2pp4/8/PPq5/2B5/1KP2Q2/5r2 w - -,f2e3
8/8/8/7p/5kp1/r7/6K1/8 w - -,g2f2
r1bqk2r/1p1nbppp/pn1p4/4p3/4P1P1/2N3NP/PPP2PB1/R1BQ1RK1 b kq -,g7g6
r1bq1rk1/4ppbp/p4np1/3p4/2PB4/4PB2/P2N1PPP/R2Q1RK1 b - -,c8e6
2r1q1k1/1bp2pb1/p2p4/1p1P1p1p/5B2/5PNP/PP1Q2P1/3Rr1K1 w - -,d1e1
r1bq1r1k/pp2b1pp/4p3/5p2/1nBPpBPP/4P3/PP1N1P2/R2QK2R w KQ -,g4g5
r1bq1rk1/pp2bppp/2n1pn2/2p5/P2pP3/3P1NP1/1PPN1PBP/R1BQR1K1 b - a3,e6e5
8/8/8/5pk1/5n1p/R3K2P/8/8 w - -,e3f2
2br2k1/pp2qpp1/1n5p/2rp1P2/PP6/2NQ2P1/4P1BP/2R2RK1 b - b3,c5c7
r2qk2r/pp2bppp/2n1pn2/1BPp4/1P3B2/2P2Q2/P2N1PPP/R4RK1 b kq -,e8g8
3r1rk1/p3bppp/4p3/8/P1q5/2PB1PP1/3BQ1KP/RR6 b - -,d8d3
r5k1/pp4qp/1n2p1p1/4p3/3n1P1Q/P5P1/1P2bNBP/4R1K1 w - -,f2e4
7r/1p6/3qk3/1P2bp2/2R5/4N1P1/P1Q2PK1/8 b - -,h8f8
1bb1nr2/pp2qp1k/1np3pp/8/4PP2/1PQ1N1PP/PB2N1B1/R5K1 b - -,b8d6
8/2r2pk1/b1P1p1p1/q3P3/3QB2p/1R5P/6PK/8 w - -,d4d6
r1bq2k1/ppnn1pbp/2pQ2p1/4p3/P1N1P3/2N4P/1PP2PP1/2KR1B1R b - -,c7e6
r1bqr1k1/1pp2ppp/2n2b2/p2np3/B7/2PP1NN1/PP3PPP/R1BQR1K1 b - -,c8d7
r4rk1/1p1bqpbp/2p5/pNpPp1p1/2P1P3/PP3NPn/3QBP2/R3K2R w KQ -,d5c6
2r5/2P3bp/1B2k1p1/P7/4p1P1/3p4/5PP1/2R2K2 b - -,g7e5
r1bqk2r/ppp1bp2/1nn5/4p3/1P2N1pp/P2N2P1/3PPPBP/R1BQ1RK1 b kq -,f7f5
5Nk1/2R2pb1/qp2p2p/p2n4/P2P2QP/R3P1P1/6P1/6K1 b - -,d5c7
r3kb1r/pp2pppp/1np2n2/3q1b2/3P4/1Q3NP1/PP1NPPBP/R1B1K2R b KQkq -,e7e6
5r1k/p5pp/Bb5r/4n1q1/PP3p2/2P2P2/3BQ2P/R4R1K w - -,a4a5
r4r2/pp2b1kp/1q1pPnp1/8/4N1P1/2Q5/PP2B2P/R4R1K b - -,a8c8
2rq1rk1/1b1nbppp/pn2p3/1p6/2pPP3/1P3NP1/PB1NQPBP/2RR2K1 b - -,c4b3
r1b2rk1/1pp1qppp/2nb4/p3p3/4P3/P1P2N2/1PQ1BPPP/R1B2RK1 w - -,f1e1
1r2nrk1/pp6/2p1Pb1p/1nPp1ppq/NP6/3Q1PP1/P2B2BP/R3R1K1 w - -,a1d1
4r1r1/pbpnkp2/1p1b2pp/3Pp3/2P4P/5N2/PBP1BPP1/1K1RR3 w - -,e2f1
r1bqr1k1/pp4bp/2pp1n2/3NnPB1/2PN4/5P2/PP2B2P/R2Q1RK1 w - -,d5f4
r2qkb1r/6pp/pnp1p3/Q1p5/N2pP3/1P1P1R2/P1P3PP/R1B3K1 b kq -,b6a4
1rb1r1k1/p1p2ppp/1p1p4/4q3/2PQ4/P3PB2/1P3PPP/R4RK1 w - -,a1d1
2r1r1k1/pp3pp1/7p/3b4/3P4/5P2/PP2BKPP/R6R w - -,h1c1
2r2rk1/p2qn1pp/np2p3/3pPp2/3P1N2/P1P3Q1/3B1PPP/R4RK1 b - -,a6b8
rnbq1rk1/pp1nbp1p/4p1p1/2ppP3/2PP3P/P2B1N2/1PQN1PP1/R1B1K2R b KQ -,c5d4
6n1/1p2q2k/p1p2n1p/3p1Qp1/P2P4/1PP4P/6P1/2B2NK1 b - -,h7g7
8/1p2kp2/p6Q/3p1P2/2q1n1p1/6P1/8/3R2K1 w - -,h6e3
r1bq1rk1/pp1pppbp/2n3p1/8/4P3/1BN1B3/PPPQ1PPP/R3K2R b KQ -,d7d6
1r6/3k2pp/2n1bp2/p2p4/2pPP1P1/2p2P2/2N4P/R1B3K1 b - -,b8b2
8/3npp1k/3pb1p1/p1q4p/4P2P/3N1P2/PQP3P1/1K2R3 b - -,c5a7
6k1/5pp1/4q2p/3pP1bP/2p5/4BRQ1/6PK/3r4 b - -,g5e3
2b5/R7/5k2/6p1/4B3/5P1p/5K2/2r5 w - -,f2g3
1rr2k2/p1b2p2/4p1p1/3pP2b/1P1R1P2/1P2P3/1KB2BR1/8 b - -,c7b6
r1b1qrk1/ppn1p1b1/3p2p1/2pP1p2/2P1PNn1/2N3P1/PP3PB1/R1BQ1RK1 b - e3,g4e5
r1bqkb1r/pp1n1ppp/2p5/3p1p2/3P1B2/2NQPP1N/PPP3PP/R3K2R b KQkq -,d7f6
r1b5/ppq2rk1/3n1n1p/2pP1pp1/8/2N2NP1/PPQ2PP1/1B1RR1K1 b - -,b7b5
3r1rk1/p3bppp/2p1bn2/7q/2pPPB2/P1N3P1/3Q1PBP/R2R2K1 w - -,d2e1
