1R6/1P3pk1/6P1/5P2/8/8/4K3/1r6 w - -,g6f7
r7/2k1n2p/p1p2pp1/P1Pp4/3P1NPn/1R6/2N2P1P/6K1 w - -,g4g5
8/pp1rk1p1/4p2p/3pP3/5P2/8/PPR2KPP/8 w - -,f2e3
r6k/r1p2q1p/1p1p1bp1/1P1Pp3/P3Bn2/R3B3/2Q2PPP/4R1K1 w - -,e1d1
Q3k3/p1pr2p1/3pp2r/2p1q2p/2P1P3/8/PP1R2PP/5RK1 b - -,d7d8
1r1r4/p1p1N1kp/1p2n1p1/5p1n/bPP1p3/1N4PP/P3PPB1/1R1R2K1 w - -,e2e3
5k2/5p2/2p3q1/brPpPp2/3P1B1p/5R1P/6PK/Q7 w - -,f3a3
8/6p1/8/4k2p/4P3/2Pr2PK/1P2R3/8 w - -,h3h4
8/3n1ppk/3P2p1/P7/1B6/5P2/2r1q1PP/1R1R3K w - -,d1g1
2r1k3/pp4p1/2b5/5pP1/3R4/2P5/PP3KB1/8 w k -,g2h3
r1bqr1k1/pp1nbppp/2p1pn2/3p4/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 w - -,d2d3
r2q1rk1/pp1bp2p/n2p2p1/3P1p2/3Q2n1/2N2NP1/PP2PPBP/2R2RK1 b - -,d8b6
r1bnr1k1/2Qp2pp/p4q2/1pBPp3/5p1P/8/PPP1BPP1/2KR3R b - -,d8b7
1R3bk1/2q5/4p3/5p2/1p6/5QP1/5PK1/8 w - -,f3a8
r1b3k1/pp1n1pp1/2p2r1p/4n3/4PB2/1BN4P/PP3PP1/R4R1K w - -,f4g3
2r5/8/3p4/1p1kp3/n7/P4RP1/1P2KP2/2B5 w - -,e2d1
rn1qk2r/1bp1ppbp/p2p1np1/1p1P4/4PB2/2NB1N2/PPPQ1PPP/R3K2R b KQkq -,c7c6
8/6pp/2pk4/P1p1p3/4Pp1b/1P1b1P2/3B2PP/3B2K1 b - -,g7g6
1kr5/ppr5/q3p1pp/3nPp2/2b4P/1Q6/PP1N1PP1/1KR1R3 w - -,d2c4
r1bqkb1r/pp1n1pp1/4pn1p/2p5/3PN2B/5N2/PPP2PPP/R2QKB1R w KQkq c6,e4f6
4Rb1k/6p1/p6p/1p6/3p2B1/P7/6PP/1r4NK b - -,b1f1
r1bqk2r/pp3nbp/2n1p1p1/3pP1P1/5P2/2N2N1P/PP6/R1BQKB1R b KQkq -,e8g8
rnb1kbn1/pp5r/2p1P1pp/4p3/2B1p2B/1RN4N/P1P2PPP/4K2R b Kq -,g6g5
4r1k1/p7/2rqP1p1/3p1pP1/2PQ4/6P1/P4PBN/4R1K1 b - -,d5c4
2rq1rk1/pp2ppbp/4nnp1/3bN3/PPN5/4B1PP/4PPB1/2RQ1RK1 b - -,d5g2
2r2r1k/ppqb2pp/2nbpn2/2Np4/3P1P2/P2B1N2/1P4PP/R1BQ1R1K b - -,c6e7
5k1r/pbNR1ppp/8/2b1p3/1p2P3/7B/PPP2P1P/2K5 w - -,d7d8
3r1rk1/pb1nqppp/1p2p3/2ppP3/8/2PBPN2/PP2QPPP/R4RK1 b - -,f7f6
3n4/3k3B/p2p2pp/Pp1Pp3/1P2P2P/5KP1/8/8 b - -,g6g5
r2k1r2/pp1b1ppp/2nbpn2/6N1/1P3B2/2P5/P4PPP/R3KB1R w KQ -,f4d6
r1r5/3k4/P2b1pp1/1p1Pp2p/1p6/5P1P/1P3BP1/R1R3K1 w - -,c1c8
r1r5/ppq2pk1/1n2p1p1/8/3PNb2/PbPQ4/3B1PP1/RB2R2K w - -,g2g3
8/8/7R/4p3/2K1k3/8/7p/8 b - -,e4e3
r1bqkb1r/pp2pppp/2nn4/8/8/2PB4/PP3PPP/RNBQK1NR w KQkq -,g1f3
8/2kb1p2/6p1/1pr1p1Pp/3RPP1P/PK6/2B5/8 w - -,f4e5
r4b1r/pppk2p1/2n3q1/1B1P1N2/3Pn3/6Pp/PP5P/R1BQ1RK1 b - -,f8d6
4k2r/5pp1/1n2p1p1/6P1/3Q1P1P/B3P3/2q5/K6R b k -,b6d5
2r2rk1/1pqbppbp/p2p1np1/8/P2BP1P1/2N2P2/1PPQB2P/R1R3K1 b - -,d7e6
2n5/r2k4/3pbpp1/1p6/1B1bPP2/1P1N1B2/P6R/4K3 w - -,h2d2:e4e5
rn3rk1/1p2qpnp/p5pB/2pbp1P1/2P1P3/7P/PP1QBP2/R3K2R w KQ -,e4d5
r6k/ppQ3b1/5npp/3b2q1/2PR3N/7P/PP3PP1/3R2K1 b - -,d5c6
8/8/5k1p/1P3P2/4B1P1/b7/6K1/8 b - -,a3c5
rnbq1rk1/pp2b1pp/4pn2/3p1p2/3P1B2/2N1PN2/PP2BPPP/R2QK2R w KQ -,e1g1
4r1k1/1p2Bpbp/p4np1/8/P3P3/2r4P/5PP1/3RRBK1 w - -,d1d8
8/2k5/1pP5/pP1K4/P1N4b/8/8/8 b - -,h4f2
3qn1k1/1p1nrpbp/p2p2p1/2pP4/P1P1NP2/1P1B1Q1P/3B2P1/5R1K b - -,d7f6
rn1qk2r/pp3ppp/3bpn2/3p4/3P2b1/1PPB1N2/PB1N1PPP/R2QK2R b KQkq -,b8c6
8/8/3B2kp/6p1/3KP1P1/7P/3r4/8 w - -,d4e5
r2q1rk1/pp3pbp/1n1p2p1/3Pp3/2P5/1PN1BQ1P/P4PP1/2R1K2R b K -,f7f5
1rbr4/p4R2/2nkp1p1/2p4p/1p2P1N1/6P1/PPP3BP/5RK1 b - -,d8d7
6k1/Q7/4p1p1/3bb1qp/2p2r2/2P4R/P3B2P/3RK3 b - -,f4h4
5k1r/5p2/1q2p1p1/pB1pP2p/Pn2nP2/1P2N3/6PP/4QR1K b - -,f8g7
6k1/pp3ppb/2p2n1p/4p3/P3P3/BPP2PP1/3r2BP/R5K1 b - -,g7g5
3rr1k1/1q5p/pp1p2pb/2n1pp2/PPP1PPn1/2N2NP1/3R2KP/BQ2R3 b - -,c5e4
8/4k3/R4np1/5p1p/5P1P/5KP1/8/8 b - -,e7f7
1rbq1bk1/p1N2r1p/1p1p1nn1/3Pp1p1/1P2Pp2/5P2/P1Q1BBPP/2R1NRK1 w - -,c7e6
8/3B2p1/5p1p/1pk4P/p7/2K3P1/5P2/8 w - -,d7e8
1rbq1rk1/4n2p/3p2p1/2p2p2/1p1bPP2/3P3P/1PP1N1BK/R1BQ1R2 b - -,d4g7
2r1qrk1/1b2bppp/ppn1p3/1N2N3/1P6/PQ2P3/4BPPP/R2RB1K1 b - -,c6e5
1n1r1r2/p1p3bk/Pp1p2pp/1P1Bp3/1NP2p2/3PP1PP/5PK1/1R3R2 w - -,d5e4
8/4k3/2P3p1/p1K1PpN1/5P1p/7P/3r4/8 w - -,c5b5
8/4k2p/p2p2p1/1npP4/N1p1P3/8/PP4KP/8 b - -,g6g5
rn3rk1/ppq2ppp/8/2pp1n2/3P4/P1P1PP2/4N1PP/R1BQ1RK1 b - -,b8d7
8/k4n1P/8/PK6/4B3/5P2/8/8 w - -,e4g6
1r3rk1/3n1pp1/pqb1pn1p/1p1p4/1P1P4/1NNQ2P1/P1R1PPBP/2R3K1 b - -,f8c8
3r4/pp3pk1/3q1n1p/3Pr1p1/3Q4/2NRn1PR/PP2B2P/6K1 b - -,d8e8
rnb1kbnr/pp2pppp/3p4/3q4/4P3/2N1B3/PPP2PPP/R3KBNR w KQkq -,c3d5
5rk1/q5bp/3NRpn1/1p1P4/1P3B2/4Q2P/6PK/8 b - -,a7c7
8/5p1P/2k2b2/2r2p2/1p1R4/1P2P1P1/5PK1/8 w - -,d4b4
5rk1/1p5p/4p1p1/8/4q1P1/5n2/6QP/3R1R1K w - -,f1f2
6k1/1pq2pp1/pR2p2p/3pP3/3P4/6P1/1Q3P1P/2r3K1 w - -,g1g2
r4rk1/p3bppp/1pqppn2/1Nn5/2P2B2/1PNQ2P1/P3PP1P/R4RK1 w - -,d3f3
r4r2/1p3pnk/2p3p1/p1Np4/3P1PRP/4P2R/PPK5/8 b - -,f8e8
r4rk1/3nppbp/p5p1/1p1Pqb2/2B5/2NP1P2/PP3QPP/R1B1R1K1 b - -,e5d6
2rb1B2/1r4kp/1pq3p1/pR2p3/P3P3/1Q3PP1/6KP/2R5 b - -,g7f8
8/1p3b1p/1k4p1/p3p3/PP1P4/2K3P1/4B2P/8 b - -,e5d4
8/7p/2p5/p3P1k1/8/P2NbR1P/1PK2p2/4r3 w - -,e5e6
1b2k3/1b1r2p1/1P3p1p/N3p3/1B2P3/5P1P/6P1/1R4K1 w - -,a5b3
5r2/1p6/3p2kP/2pPb3/P4p2/1p6/5BP1/4R1K1 w - -,f2c5
5r2/3pkp2/p1b1p3/6r1/4P1B1/3R1P2/PKP5/4R3 b - -,e7f6
6k1/4qpbp/1n4p1/1p6/1P1p4/3B1Q1P/2P1NPP1/6K1 b - -,e7b4
8/1p1rkpp1/1Rp1p2p/1P6/3n3P/3B2P1/5PK1/8 b - -,d4b5
r3bk2/1p4pp/2p2p2/p2p4/3P1P1P/P1P4B/1P3P2/4R1K1 b - -,a5a4
8/p1Q4p/1p2b3/1P3kq1/P1P1p3/4P2P/7K/5N2 b - -,g5h4
r5k1/2p1bqpp/2Ppb1r1/1P2p3/2N5/3Q1NPP/P4PK1/2RR4 w - -,b5b6
rnb1kbr1/pp2pN2/2q3pp/P2pP3/2pP2B1/2P2Q2/2P3PP/R1B2RK1 b q -,c8g4
8/8/p3k3/PpPpp3/5p2/2P5/2K3b1/4B3 b - -,e5e4
r2r3k/1p4pp/3p2b1/qNn1p3/2P5/NP1nQP2/P3B1PP/R2R3K b - -,d3f4
r3r3/5p2/1p1b1kp1/p4b1p/P1BPp2P/1PBPP3/4KP2/R5R1 b - -,f5g4
7k/1pp5/p2p3n/4r2P/4PR2/1P3KN1/P1P5/8 w - -,g3f5
r3kr2/p1p1qn1P/bp2pbB1/3p3Q/8/2P1B3/PP1N1RPP/R5K1 b q -,e8d7
8/ppr1kpn1/4p3/4N1r1/2P3p1/1P2RK1P/P7/4R3 w - -,h3g4
1rnr4/p4qb1/1p3ppk/PPpNp2p/2P1P2P/1Q1P1BPb/4NR2/1R4K1 w - -,f3g2
4r1k1/p1q1r1pp/1p1p1p2/2pP4/2P1PP1P/2Q3P1/P3R1K1/4R3 b - -,c7d7
8/4kp1p/6p1/pp1PB3/4P3/b7/3N1PbP/3K4 w - -,e5c7
r4rk1/6pp/bnqbp3/p2pNpB1/1P1P4/6P1/P3PPBP/1R3RK1 w - -,e5c6
rr4k1/q2bbp1p/p2p1np1/2pPp3/P1B1P3/R1P2N1P/4QPP1/2B1R1K1 b - -,e7f8
r2q1rk1/1p3ppp/p3bn2/4p3/1PPb4/P1N5/1BQ1BPPP/3R1RK1 b - -,d8c7
8/pp1r2pk/3Pqn1p/2r5/4p3/P3N1PP/1P1RQ1K1/3R4 w - -,e2f2
rnbq1rk1/pp2bppp/4pn2/2p5/N1Pp4/1P3NP1/P2PPPBP/R1BQ1RK1 b - -,b8c6
2r1n3/pR6/4k3/8/4N3/1P3P2/P3PK2/8 b - -,c8a8
3r1rk1/pp1n2pp/2p2p2/q1Pn2R1/2BB1QP1/P6P/8/R5K1 w - -,g5d5
r2q1rk1/p2n1pbp/Bp4p1/8/3p4/1P3Q1P/P4PPB/2RR2K1 w - -,a6b7
r1b2rk1/ppp1nppp/6q1/3n4/2BP4/6B1/PP1N1PPP/R2Q1RK1 b - -,b7b6
8/3r1p2/kp1pp2p/pN6/2P1PP1b/4N3/2K4P/1R6 w - -,b1d1
7r/2k2pp1/R3p3/p7/2P1Nn2/P4P2/5KP1/8 b - -,f4d3
r4qk1/p2n1pBp/2pNp1p1/3n4/8/2N3P1/PPP1QP1P/2KR4 b - -,f8g7
r1bqk2r/pp2bppp/2n5/3p4/3p4/5NP1/PP2PPBP/R1BQ1RK1 w kq -,f3d4
2rqr1k1/3n2bp/n2Q1pp1/p2P1P2/Np6/4B3/1P1N2PP/R4RK1 b - -,a6c7
r6k/1ppnq1pp/r4pn1/1p2p3/1P2P3/1QP2N1P/P4PP1/R1B1R1K1 w - -,c1e3
8/2Q2p1k/1p3qpp/1P6/3Np3/3bP2P/5PP1/6K1 b - -,h7g7
r1bq4/rpb5/2p2ppk/p1Pp1p1p/N2P1P1P/PP2PBP1/1Q3K2/R3R3 b - -,h6g7
5rk1/5ppp/8/2p1P3/3q4/1Q2R3/5PPP/5NK1 w - -,b3c3
r2rb2k/pp2q1bp/1nn2pp1/2N1P3/P2P4/3N2P1/1P3BBP/2RQR1K1 b - -,f6e5
r2qk2r/1p1n1pp1/2pbp3/p7/2pP2n1/2N1PNP1/PP1BQP2/R4RK1 b kq -,b7b5
rn3rk1/p1qpbppp/bp2pn2/2p5/3PP3/P1PB1N2/1P1N1PPP/R1BQR1K1 w - -,d3b1
8/1p4bp/1r6/3k4/p3p1K1/8/PP2R2P/2B5 w - -,e2d2
r1bq1rk1/pp2npbp/2np2p1/2p5/4PB1N/2NP2P1/PPP3BP/R2Q1RK1 b - -,c6d4
2bq1rk1/4ppbp/3p2p1/2pPnP2/2P4N/3P2P1/1r1B2BP/R2Q1RK1 w - -,a1a3
8/6b1/2k1p3/p3Pp1P/PpB2P2/1P1K2P1/2p5/8 w - -,d3c2
5r2/pp2Rpk1/6p1/3p4/3P3p/4QqP1/PP3P2/6K1 b - -,f3e3
r1b2rk1/pp1qp1b1/2pp3p/3P2pB/2PNp3/4P2P/PP3PP1/R2Q1RK1 w - -,d4e6
r7/4b3/1nr1p1kp/p1p1Ppp1/PpP2P2/4BKP1/2RNP2P/R7 w - -,d2b3
r7/3nk1p1/3r1pp1/1p6/3PP3/pN6/5QPP/2R3K1 b - -,g6g5
8/p6p/5pk1/2p5/8/1P2P2P/1PK2P2/8 w - -,e3e4
r1q2rk1/pp2ppbp/n2p1np1/2p5/2PP4/1PN2NPb/PB2PP1P/R2QR1KB b - -,h3g4
8/4p2p/5kp1/4R3/2P1K1bP/1P6/r7/4RBr1 w - -,e5b5
6R1/7r/4p3/kb2P3/p1pB4/4KB2/8/8 w - -,d4c5
2rr2k1/1pq1bppp/p3p3/P1nB4/5P2/4B1N1/1PPQ2PP/R4R1K w - -,b2b4
rnbqk2r/pp3pp1/5n1p/2pp4/1b1P3B/P1N5/1PQ1PPPP/R3KBNR b KQkq -,b4c3
r1bqr1k1/pp1n1ppp/2p2n2/3pN3/2PP4/P2BP3/1P1Q1PPP/R1B1R1K1 b - -,d7e5
rr4k1/3nppbp/3p2p1/q1pP4/4P1n1/2N2NP1/PPQB1PKP/RR6 w - -,a2a4
rnb1k2r/p2pbp1p/4pp2/2pP4/2p1P3/5N2/PP1N1PPP/R3KB1R w KQkq -,f1c4
rn3rk1/pp6/4P2p/6p1/4B3/4bPN1/PP4P1/1K1R3R b - -,b8c6
r3k2r/pp1b1pbp/1qn1p2p/3pP3/1P1P4/P1N2N2/R4PPP/3QKB1R b Kkq -,e8g8
8/1p2r2p/8/P5P1/1P1p3P/5R2/2k2K2/8 w - -,f3f5
r2q1rk1/1pp2ppp/p2b1nn1/3Pp3/1PQ3b1/P1N1PN2/4BPPP/R1BR2K1 w - -,g2g3
1r6/1Pk5/1b6/N6p/6pP/8/5PK1/1R6 w - -,b1b5
4r1k1/5p2/6qp/pp6/2ppnBnQ/7N/PP4P1/3RR1K1 b - -,d4d3
3n4/1pk5/r4p2/2B1p1p1/2P5/2K2P2/1P4P1/7R w - -,h1h7
2n1rrk1/2q3bp/1pn3p1/2p1pp2/2bpPP2/1N1P2P1/1PPBQ1BP/R4RK1 w - -,d3c4
2r1r1k1/2q1bpp1/p4n1p/2p5/P3P3/BbN2N2/4QPPP/2RR2K1 w - -,d1e1
r1bqrbk1/3n1p1p/p3p1p1/2p1P3/N1PpBP2/5R2/PP1BQ1PP/5R1K b - -,a8b8
5rk1/p2BRp1p/6p1/r2b4/8/1P3PP1/2P4P/1K1R4 b - -,d5f3
8/1p6/3k1pp1/3Pn2p/1r2P2P/2N1K1P1/4B3/8 b - -,d6c5
6k1/4p2p/2p3p1/2Pp2n1/4p2q/1N2P1Q1/5P2/5NK1 b - -,g5f3
r4rk1/pp3ppp/1q1bp3/1Q3b2/3P4/2P2N2/PP2B1PP/3R1RK1 b - -,b6b5
6k1/4ppb1/4q1pp/1p6/4P3/2PrN1P1/1PQ2PP1/6K1 w - -,c2d3
3b4/p2N1pk1/3np1p1/P2p4/1P1P4/3BPKP1/2r5/8 w - -,d3c2
r2q1rk1/1p3pbp/p3p1p1/2nBPN2/5B2/8/PP3PPP/R2Q1RK1 b - -,g6f5
4q1k1/1p1n2p1/p1p1b2p/3pP3/3P4/3N2PP/1P1Q3K/5R2 b - -,d7f8
r1b2rk1/1p2bppp/p3pn2/q7/P2N4/4B1PP/1PQ1PPB1/R2R2K1 b - -,e6e5
2r1r3/pp3pk1/4q1n1/P2p1pRp/7P/3B4/1P1Q1PP1/3R1K2 b - -,e6f6
3r2k1/6p1/2p1p3/1pP1P2p/pPq4P/P3QPP1/5K2/4R3 w - -,e3e4
r4rk1/5ppp/p2p1n2/3p4/p7/8/PPP2PPP/RN2R1K1 w - -,b1a3
1k4rr/pb2bp2/1np1p3/1pN1P3/2pPNP1q/4QR1B/PP4P1/3R2K1 b - -,b6d5
b2r2k1/p2r1pp1/1pp1pq1p/2P5/1P1PB2P/4Q1P1/P2R1P2/3R2K1 b - b3,b6b5
r1b1k1r1/5p1p/pq1p1B2/np6/2p1P3/1BQ5/PPP2PPP/R4RK1 w q -,f6d4
r1rnbbk1/3q2pp/3p1p2/1p1PpN1P/pPn1P1P1/2P2Q2/2B2P2/R2RBNK1 b - -,d8f7
8/8/8/4k1p1/p1K4P/1n1p4/6B1/8 w - -,h4g5
r1q1rbk1/1p1n1p1p/b1p3p1/p3P3/3N1P2/4B1P1/PP3QBP/2RR2K1 w - -,g2h3
4r1k1/1R3pbp/6p1/2BNp3/1P2P3/3r4/3n1PPP/5RK1 w - -,b7d7
6k1/7p/N1Nb2p1/p2p1b2/3P4/1P2P3/P5P1/6K1 b - -,f5b1
r1b1rb2/1p3k1p/n1pRnpp1/p3p3/2P1P3/2N1B2P/PP3PP1/3RNBK1 w - -,d6d2
