6k1/7p/8/1Rb3PK/8/8/8/8 b - -,c5a3
r3n1k1/pb1p4/1p1n2qp/2pPpN2/2P1P2B/2PB4/P1Q3P1/5RK1 b - -,d6f5
3rnrk1/pp6/2n1b1qp/2Pp1pp1/3P4/2NQ1BBP/PP3PP1/3RR1K1 b - -,g6f7
8/p6Q/2n1bk2/4pp2/3qP3/1PN5/1KP3P1/8 w - -,h7h6
1r5k/4qrnp/3p2p1/p1pPp1b1/PpP1PpB1/1P3PP1/1B2R1QP/3K1R2 w - -,d1c2
1r2k2r/3qbppp/2npb3/1B1Np3/p3n3/2N1B3/1PP2PPP/R2QK2R w KQk -,b5a4
r2q1rk1/pppb1pbp/2np1np1/4p3/3PP3/2PB1N1P/PP3PP1/RNBQR1K1 w - -,b1a3
1r6/p3rbk1/2B2p2/2p1p1pp/3bP2P/3P1P2/P1R2P1B/2R3K1 w - -,h4g5
2r5/5ppk/4p2b/Q3P2p/P2R3P/1N4P1/KPP5/7q w - -,a5a6
r2q1n2/pp4k1/2p2p2/3p1Qbr/3P4/4PN2/PP2NP2/2KR2R1 b - -,d8d7
1r1b2k1/5p1p/p4np1/1p6/5P2/P4BP1/1PP3NP/1K1R4 w - -,d1d6
rn1r2k1/5ppp/1R6/pB2P3/5PP1/B4b1P/P1R5/6K1 w - -,a3e7
r4rk1/pppq2b1/4bn1p/1P1nppp1/P7/2NPP1P1/2NB1PBP/1R1Q1RK1 b - -,a8d8
8/5kpp/1pr5/8/4RP2/6P1/4P1KP/8 b - f3,b6b5
8/3k2b1/2p3n1/1pp4p/2P1Pp2/1P2K3/4N1PB/8 w - -,h2f4
3rk1r1/p4p1p/1pb1pb1p/8/1PPp4/PR1K1NP1/4BP1P/4R3 w - -,f3d2
2k5/8/2K2p1p/P5pP/4Pn2/2N5/8/8 b - -,g5g4
4rrk1/1pp2ppp/p2p3q/8/P1PB4/R7/1P2N3/3K2Q1 b - -,f7f6
4r1k1/R4n1p/2r1qppb/2pNp3/2N1P2Q/P1P3P1/5PKP/1R6 b - -,h6g5
8/2k5/4p1R1/1P2P3/8/1K2P3/4r3/8 w - -,g6e6
r7/3nbkp1/p1rpp2p/1P2p3/4P3/BP6/P3RPPP/3RN1K1 b - -,a6b5
2k5/p2n1p2/bp3n1p/3p2p1/1B1P4/5PP1/PP3NBP/4K3 b - -,c8d8
2r2k2/4bP1p/p5pP/3qp3/1p2b3/4Bp2/PPP4R/1KR1Q3 w - -,h2d2
1r5k/1p3p2/p2p1n2/P2Pn2p/2p1P3/R1N3KP/1P4P1/5B2 w - -,b2b3
1q3rk1/1p1b1pb1/N2p3p/p3p1pP/2P1P1P1/8/PP2BK2/R2Q2R1 b - -,b7a6
r3kbnr/pp2pppp/2n5/5b2/2Bpq3/N1P1BN2/PP3PPP/R2QK2R b KQkq -,e8c8
8/8/p7/1p1bB3/6p1/P4k2/1P5K/8 b - -,f3e4
rn1qkb1r/ppp1pp1p/5p2/3p1b2/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,c7c5:e7e6
8/1P1K1Q1k/6p1/7p/7P/6q1/8/8 b - -,h7h6
8/pp2r1k1/2pR2p1/7p/3Pr2P/3KP2R/PP6/8 b - -,e4g4
4k3/6Rp/1b6/3B4/2P3P1/1p5P/6K1/r7 w - -,g7b7
r3k2r/3b1p1p/pn1p3p/Np1PpP2/4B3/8/PPP3PP/2KR3R b kq -,f7f6
8/p2r1pk1/7p/6pQ/2B2b2/3P3P/Pq3P2/4R1K1 w - -,h5e2
r1bq1rk1/1p1nbppp/2pp1n2/p7/P2NP3/2N4P/BPP2PP1/R1BQ1RK1 b - -,d7c5
3r4/3r4/1p1Pk1pp/2p1p3/Rn2N2P/1P4P1/5PK1/3R4 w - -,d1e1
R7/2N1k3/2K2pp1/6P1/1p3P1p/1Pn2r2/P7/8 w - -,a8h8
r1b2rk1/pp1n1pp1/4p2p/q7/3Pp2B/2P1P3/P1QN1PPP/R4RK1 b - -,f7f5
r2qk2r/pp1b1ppp/4p3/2npP3/3N1P2/1PP5/2B1Q1PP/2R2RK1 b kq f3,d8b6
r1b1nrk1/1p3qb1/n2p2pp/1NPPpp2/2P1P2B/5P2/3NB1PP/1R1Q1RK1 b - -,a6c5
4n3/pp3pkb/2p4p/2B1p1p1/P3P1P1/1PP2P2/3r3P/R4BK1 b - -,a7a6
rn1q1rk1/5ppp/ppb1p3/2p5/P3NP2/1BPPQ1P1/7P/1R3RK1 b - -,b8d7
1r3r2/pb2ppbk/6pp/2p1P2n/4B2N/2N3P1/PP3P1P/3RK2R w K -,f2f4
3r4/pn6/1pn1pkpp/2p2p2/2P4P/1PN1PNP1/P3KP2/3R4 w - -,d1g1
3rk2r/8/n4b1p/p2pp1pP/Pp3p2/4PNN1/1PP2PP1/2KR3R w k -,e3f4
rnbq1rk1/pp2pp1p/6p1/2pP4/4P3/2b5/PP1Q1PPP/R3KBNR w KQ -,d2c3
5r1k/2q2pp1/p4n1p/1p2pP2/7Q/P1NP4/1P4PP/5R1K b - -,f8d8
8/p7/1p1p1kr1/3B1p2/1PP5/5K2/P6r/4R3 b - -,h2a2
b4rk1/q4ppp/1b2n1n1/1pppPN2/3P3P/4BN2/1P1Q1PP1/1BR3K1 w - -,h4h5
2kb3r/1p1r1p1q/p1p1p1p1/P1PpPnNp/3P1B1P/6P1/1PKQ1P2/6RR b - -,h7g8
8/2pk4/1p1b1p2/1P1p4/3P2p1/2K1P1P1/3B3P/8 b - -,c7c6
1r3rk1/pp3pbp/2n3p1/q1P1p1B1/2P3bP/P2P1PP1/4N1B1/R2Q1RK1 b - -,g4f5
3k4/p4Q2/1p3n2/8/1q1P3P/8/PP3PP1/2r2BK1 w - -,f7f6
r2q1r2/1p3pk1/2p1p1p1/p4n1p/PnNP1Q1P/1P2P1P1/5P2/1RR2BK1 b - -,d8b8
1q2k3/7p/5r2/2Q2p1B/p1P5/8/1rP3PP/3R2K1 b - -,f6g6
r2bk2r/5p2/3p2pp/1pq5/p3bN1P/4N3/PPP1B3/1K1RQ2R w kq -,e2d3
r1q1r1k1/ppn1ppb1/2b3pp/3Np3/4P3/1BP1B2P/PP1RQPP1/4R1K1 w - -,d5b4
rbbq1rk1/pp1n1pp1/1np4p/4P3/2N1P3/5NP1/PPQ2PBP/R1B2RK1 w - -,c4b6
1b3r1k/4R1p1/n6p/1N6/3P2n1/PP4P1/1B3PBP/6K1 w - -,d4d5
2r3k1/5p1p/Q5p1/3q2b1/8/B5PP/5P2/4R1K1 b - -,c8a8
r2qk1nr/1bpn1pbp/1p4p1/pP2p3/2Pp4/3PPNP1/PB3PBP/RN1Q1RK1 b kq -,d7c5
4b3/p5pk/r1p1r2p/4N3/4RP2/1P5P/P2R2P1/6K1 b - f3,a6a5
2rr1bk1/1q1n1ppp/p2ppn2/1p6/2PNPP2/1P4P1/PB1NQ2P/4RRK1 w - -,e4e5
8/7p/5pk1/p1p5/P1Pp1P1P/1P3K2/2bN4/8 w - -,d2e4
8/r4K1k/4RP2/8/8/8/8/8 w - -,e6e7:f7f8
rn1q1rk1/1p2bbpp/2p1p3/p3Pp2/PnNP4/1QN2P2/1P2BBPP/R4RK1 w - -,f1d1
8/2n2pk1/1qp1n1p1/3pPpPp/3P1P2/QPPBB2P/1K6/8 b - -,b6b7
3r2k1/6pp/2b2p2/p1P1p3/2N1P3/2R1QP2/P5PK/3q4 b - -,d1a4
8/8/8/1R6/4k2P/Kp4P1/6r1/8 w - -,b5b3
rnbqkb1r/pp3ppp/1n6/2pPP3/8/2N5/PP4PP/R1BQKBNR b KQkq -,c5c4
r3kb1r/3p1p1p/2np1np1/2p5/4P3/2N2N2/PP2qPPP/R1B1K2R w KQkq -,e1e2
r1b1r1k1/pp1nqpbp/2p2np1/4p3/2P1P3/2N1BNP1/PP3PBP/R1Q2RK1 w - -,e3h6
4r3/1p1b1k2/p2P4/5p1p/1B6/P4KP1/1PB5/8 w - -,f3f4
2rqr1k1/1b1n1pbp/pp1p2p1/4n1P1/P2BP3/2NN3R/1PP2QBP/5R1K b - -,d8e7
4r1k1/R4p1p/3R4/1p5r/1B2p2P/1bP1P3/5P2/6K1 b - -,b3c4
8/5k2/2R2n2/r6p/5K1N/5PP1/8/8 w - -,c6c7
2r3k1/5pp1/1Q2bb1p/p7/3N4/7P/r1P2RPK/8 b - -,f6e5
r1b1kb1r/1p3ppp/p1n1p3/q1Pp4/8/2N1B1Q1/PPP2PPP/2KR1B1R w kq -,f1e2
8/1p4pk/p7/P7/1P3q1p/2Q5/5P1K/8 w - -,h2g2
r2q1rk1/4bppp/3p1n2/npp1p3/4P1b1/2PP1N2/1PBN1PPP/R1BQR1K1 b - -,a5c6
2k1r3/p1p3pp/4r3/1ppb4/4p2P/6P1/PPP1RPB1/4R1K1 b - -,c8b7
8/5p2/5k2/6pp/8/1q1B2P1/5PP1/5RK1 w - -,d3e2
2b5/2P1k3/1P5p/p1p1p3/P1K1P2P/8/8/8 w - -,c4c5
r1bq1rk1/1pp2ppp/2n2n2/p1b1p3/4P3/2P2N2/PPQNBPPP/R1B2RK1 w - -,d2c4
1r1r2k1/p1Nb1pq1/3Ppbpp/1p6/8/6P1/PP1RQPBP/3R2K1 w - -,e2e3
3r4/5pk1/p5p1/2pP4/3bN3/6qb/1P2Q1P1/R3RB1K b - -,h3g2
r4rk1/1p1q1pb1/2p1p1pp/p1P2b2/PnBP1B2/1QN5/1P3PPP/2RR2K1 b - -,f8e8
8/8/8/4r3/R5kp/8/7K/8 b - -,g4g5
3R4/8/5p2/8/3b2p1/3k1nP1/5PK1/8 w - -,d8g8
2b1r1k1/6b1/6pp/2B2p2/4P2n/2N4P/1rP1NPP1/R1R3K1 w - f6,a1a7
r1b2rk1/pp1nb1pp/2p1p3/q1Pp1p2/3P1B2/2P1PN1P/P1Q1BPP1/R4RK1 b - -,b7b6
8/6pk/3P4/4Bp2/p3nPp1/q5P1/7P/5Q1K b - -,e4d6
6k1/p4p1p/4p2b/8/Pp1NR3/1P1r2P1/5P1P/6K1 b - -,f7f5
r5k1/p3q1pp/bpp1p3/4P3/2pP4/1P2QB2/P3P2P/5RK1 w - -,f3c6
8/3k1b2/3P2p1/1p6/4BPP1/7P/6K1/8 w - -,g2g3
1r3r1k/ppp1R1p1/3p1n1p/7P/2P3q1/P2Q2P1/1PB2P2/4R1K1 b - -,b8c8
r2qk1nr/ppp2pbp/3p4/1B1Pn3/4PBb1/2N2N2/PPP4P/R2QK2R b KQkq -,e8f8
5k2/4pp2/p2p1b2/2rP4/P4P2/2PR4/1P1N3r/2K3R1 w - -,d2e4
2r1qrk1/1p2np1n/p3p2Q/3pP3/P7/2PBR3/1P3PPP/5RK1 b - -,e7g6
6k1/5p2/4p1p1/1qP1P2p/p4Q1P/P7/1P1r2P1/7K w - -,f4d2
8/5p1p/4b1p1/k3K3/4B3/4qR1P/6P1/8 b - -,e3g5
8/6pp/Bp1knp2/p1b5/P7/2B3P1/5P1P/5K2 b - -,c5b4
5r1k/pp6/2p1B1np/3p4/3P3P/8/PP3P2/2R4K w - -,h4h5
r2q1rk1/pbpnppbp/1p1p1np1/8/P2P1B2/4PN1P/1PPNBPP1/R2Q1RK1 b - a3,a7a6
r2qk2r/pp1n2pp/2pbp3/3p1p2/2PPn1b1/1P2PN2/PB1NBPPP/R2Q1RK1 w kq f6,f3e5
8/4kp1p/4p3/8/8/3rPP2/2r2PRP/5RK1 b - -,e7f6
r1bqk2r/5pbp/p1np4/1P1Npp2/4P3/N7/PP3PPP/R2QKB1R b KQkq -,c6d4
8/3k1p1p/4n3/3K2P1/1PP5/8/8/2N5 w - -,c1d3
8/r7/5p2/4p3/PR1Pk2p/8/3K2PP/8 b - -,e5d4
2r2rk1/ppqnbppp/4p3/3pPb2/P2P4/2P2N2/3BBPPP/R2Q1RK1 w - -,f3e1
5K2/7P/8/2k5/2P5/8/7r/4n3 w - -,f8g8
rnbqk2r/pppp1ppp/5n2/4p3/1b2P3/1PN5/P1PP1PPP/R1BQKBNR w KQkq -,c3d5
8/p4pk1/5np1/PQp1q2p/4p3/4P2P/1P1N1PP1/6K1 b - -,e5d5
r2q2k1/p2p1rp1/1p2p1np/3PPb2/2PQ1p2/B7/P2N1PPP/R1R3K1 w - -,c1c3
1qr2rk1/bb3ppp/p3pn2/1p2n3/1P2P3/P1NB2P1/1BN1QP1P/2RR2K1 w - -,h2h3
rnb2rk1/p4ppp/2p1p3/2N5/1PpBP1n1/6P1/P4PBP/R2R2K1 b - -,e6e5
r7/3nkpp1/2p2n1p/1p1p4/3P4/bPN2BP1/3BPP1P/1R2K3 b - -,a3d6
3b2k1/pp1q1rp1/2n4p/3p3Q/2PPp2N/1P4PP/5PB1/R5K1 b - -,d5c4
r1bqr1k1/ppp2pb1/2np1n1p/4p1p1/3P3B/2P1PN1P/PP1NBPP1/R2Q1RK1 w - -,h4g3
r2q1rk1/1p1nppB1/p1npb1p1/3N4/2P2P2/1P2N1P1/P2QP1B1/3R1RK1 b - -,g8g7
r1bqr1k1/pp1nbppp/2p1pn2/3p4/2PP4/1PN1PN2/P1Q1BPPP/R1B2RK1 b - -,d7f8
6Q1/r3r2R/5kp1/2q1p3/p3P3/PpP2P2/1P6/2KR1N2 w - -,g8f8
8/R4p1p/4k1p1/p7/4PK2/8/1r3PPP/8 w - -,a7a6
r3kb1r/1b1n1ppp/pqNp1n2/1p1p2B1/4PP2/3B1Q2/PPP3PP/2KRR3 b kq -,b7c6
8/1b6/5kp1/1PP5/3N2p1/5P2/6K1/8 b - -,g4f3
r4r2/p1k5/1p1p1q2/P3p1p1/P1P5/3QR2P/3R1PP1/6K1 b - -,b6a5
r5k1/p1p2p2/1p4p1/3p2P1/8/2P2Bp1/PPPb2P1/5R1K b - -,c7c6
8/8/2nN4/P1k1p1pp/4P3/2K5/5P1P/8 w - -,d6f7
r2q1rk1/pp2npbp/2p2np1/3Pp3/2N1P1b1/2PB4/PP2N1PP/R1BQ1RK1 w - -,c4e5
r4rk1/2pnbppp/2n5/pp2p3/4P3/NPP1BN2/1P3PPP/R3R1K1 b - -,a8b8
r1bqk1nr/1p3pbp/p1npp1p1/8/4P3/1NNB4/PPPB1PPP/R2QK2R w KQkq -,f2f4
6k1/7p/5KPP/5P2/8/3bB3/8/8 w - -,e3c5
4kb1r/rb3ppp/1Nnp4/1Bp5/Pp2P2q/5P2/1P1Q2PP/R3K1NR w KQk -,e1f1
r3kb1r/1pq2ppp/2p1p3/p7/P7/1QPP1BP1/4PP1P/R4RK1 w kq -,f1b1
r1b2rk1/1p3ppp/p1nb1n2/2P5/3P1p2/1B3N2/PP4PP/RNB2RK1 b - -,d6b8
8/5p1k/8/8/8/7p/6QK/8 b - -,h3g2
8/3kn3/4p1p1/3r4/3Q1PP1/5K2/6P1/8 w - -,d4c4
1r2r1k1/p4p1p/1p1P2p1/2p4n/q1P5/2PR2PP/3Q1PB1/3R2K1 b - -,a4d7
r1bqkb1r/1p3ppp/p3pn2/3n4/3P4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f8e7
r5k1/1p2n2p/p1p2p2/3n4/1P1P4/P3q1p1/1B2P1BP/1Q2R2K w - -,b2c1
3r3r/1pp1bkpp/p1p1bp2/5n2/4N3/1P1N4/PBPPRPPP/R5K1 b - -,e6c8
r2qk2r/2p1nppp/pp2bb2/n2p4/N2P1B2/P1PB4/1P1QNPPP/R4RK1 w kq -,d2c2
1q1r1rk1/pb2bppp/1pp1pn2/4P3/QP1P4/P1N2N2/4BPPP/2RR2K1 b - -,f6d5
3r2k1/p3bppp/1p2p3/2PrP3/P7/2B2R1P/1Pb1NPP1/R5K1 b - -,e7c5
3q2k1/p4pp1/2p2n2/7p/2p2Q2/5P2/PPP2K2/7R b - -,d8b6
r1q1r1k1/1p1b1ppp/3p1n2/p1pPn3/P1P3P1/1P3PQP/1BN3B1/R4RK1 b - -,c8d8
r1b2rk1/2p2pp1/p3p2p/q3P3/2pP1QP1/2N5/PPP4P/2KR1R2 w - -,g4g5
r4rk1/1bqnbppp/p1npp3/8/N3PP2/pN1BB2Q/1PP3PP/4RR1K w - -,b2a3
1qr1r1k1/pb2p3/1p1pn1p1/1Nn5/2P1P3/1P2QB2/P5Pp/4RR1K w - -,e3h6
rnbqkb1r/1p2pp1p/p2p1np1/8/2BNP3/2N2P2/PPP3PP/R1BQK2R b KQkq -,d8b6
3r3r/1kp2p2/p1nqpn1p/1p1p2p1/3P4/2PQPN1P/PP1N1PP1/K2R3R b - -,h8e8
r1bqk2r/1p2npbp/pn1pp1p1/8/3PPP2/2NB1N2/PP4PP/R1BQ1R1K w kq -,d1e2
4b3/8/5KN1/3k4/7P/4P3/8/8 w - -,h4h5
3r2k1/7p/2B5/5p2/R3p3/8/4KP1P/3r4 w - -,a4a5
4rk1r/2q2ppp/p7/1p2pP1n/3B3Q/2Pb4/2P3PP/1R2R2K w - -,c2d3
8/8/R7/5k2/pr4p1/1n1K4/5P2/2B5 w - -,c1e3
8/2k5/R5p1/3b4/4pp1P/2K3P1/p7/8 b - -,f4g3
r1b2rk1/ppp1qppp/3p1n2/3P4/2PN4/P1Q5/1P2BPPP/R4RK1 w - -,f1e1
5rk1/4q1pp/5p2/p2b4/Q7/2RN2P1/1P2rP1P/3R1K2 b - -,f8e8
r4rk1/5pbp/bp2p1p1/p2pP3/q2n1B1P/P1QP2P1/1P3PB1/R3RNK1 w - -,b2b3
5rR1/2p2P1R/3p4/2p5/3kp3/1r6/6P1/6K1 b - -,b3b8
6k1/2p3p1/1bqp4/1p3Q2/1P6/5PB1/6KP/8 b - -,c6e8
1r3rk1/Rp1b2pp/2p1p3/1PPp1p2/3P1P2/2N1P2P/5KP1/1R6 b - -,h7h6
2rq1rk1/3bbp1p/p3p1p1/1p1pP3/2nN1PP1/P1P5/1PB1Q2P/2B1RRK1 b - -,e7c5
4R2R/pp1r1k2/1np5/4Pr2/8/2N2P2/PP6/1K6 b - -,f7g6
r2qn1k1/1pp3pp/3p4/p2Ppr2/2P2P2/PPN5/6PP/1RQ2RK1 b - f3,d8h4
5rk1/5p1p/4pqp1/8/4Q3/2P3P1/PrR2PKP/R7 b - -,f8b8
8/8/5k2/5p2/3R4/4P2q/5P2/6K1 b - -,f6e6
5r2/1pr1npk1/pBn4p/4p1p1/6P1/1B6/PPP2P1P/R2R2K1 b - -,c7c8
6k1/8/p5pp/1p1q4/8/3p2PP/Pr3P2/3R1QK1 w - -,d1d3
8/5pk1/5p1p/r4K1P/4PP2/8/3R4/8 w - -,f5g4
rqrb2k1/3b1pp1/3p1n2/p2Pp3/PpN1P2p/1P1QB1PP/5PB1/R1R3K1 w - -,g3g4
8/8/6k1/6P1/r4PK1/8/8/4R3 w - -,e1h1
r4rk1/pp4bp/3q1pp1/2pP1b2/8/2B2N2/PP2QPPP/3RR1K1 b - -,a8d8
6k1/3r1p2/6pp/2n1P3/2r3P1/1p2R2P/1P3N2/1R4K1 w - -,b1f1
r3r1k1/1bq3pp/p1p1p3/bpP5/3P2Q1/1R2P3/P4P1P/BB3RK1 b - -,c7f7
1r6/p1rnkp2/1p2p1pp/8/2P1BKPP/PP2P3/3R4/3R4 b - h3,d7c5
6k1/6p1/3p1q1p/3Pp3/2P1R2b/7P/6QK/r5N1 b - -,h4g5
rn3rk1/p1q1ppbp/2pp1np1/1p2P3/3P1P1Q/2NB1R2/PPP3PP/R1B3K1 b - -,f6d5
3k3R/pp1b4/4p1N1/4P2P/5K2/7r/8/8 b - -,d8c7
r1b2rk1/pp3pbp/n2p2p1/P1pPp1q1/2P1Pn2/R1N5/1P1N1PPP/2BQRB1K b - -,c8g4
2r1rnk1/1pqb1ppp/p1p5/2Pp4/3N4/3BP2P/PPQ2PP1/1KR4R w - -,g2g4
r2q1k1r/5pp1/p3pnp1/3p4/2PP1b2/5Q2/P1P1NPPP/R4RK1 w - -,e2f4
4b3/5k2/r3n3/4Bppp/2P4P/1P3P2/PK1R2P1/8 w - -,h4g5
2r1r1k1/pb4pp/1q3p2/3p4/1P1N1P2/P3N3/3QPPBP/6K1 b - -,b6c7
5rk1/rpp2pp1/p5qp/5b2/3Pp3/2P1R2P/PPB2PP1/R2Q2K1 b - -,a7a8
5r1k/pp2p2p/6p1/3P4/4rP1P/4B3/PR6/3K3R w - -,h1h3
5rk1/4pp1p/2n3p1/2p5/2N2P2/2P3P1/r4P1P/2R1K2R w K -,e1g1
6k1/5pp1/4pn1p/3pN3/3P4/2R1P1P1/5rKP/8 w - -,g2g1
6n1/6pk/3q2np/2pp1rBQ/7P/6P1/4RPB1/6K1 w - -,h5g4
r2q1rk1/pb2bppp/1pp1nn2/3p4/3P4/P1NBPNB1/1P3PPP/2RQ1RK1 w - -,d3b1
r3r1k1/pp3p1p/6p1/8/3QPq2/5P2/bP1RB1PP/R5K1 b - -,a2e6
r3r1k1/bp3pp1/p1n2q1p/P2p4/3Nb3/1NP3P1/1P1Q1PBP/R3R1K1 b - -,a8c8
r1bqr1k1/1p1n1ppp/2pb4/p7/3NR3/2P3P1/PP3PBP/R1BQ2K1 b - -,e8e4
2n4r/p2b1k2/1pNp4/1P1Pp1p1/P3Pp2/5P1r/R4R1P/4N2K w - -,a4a5
r1b1r1k1/p2q1pbp/2p3p1/1p2p3/P2P4/1QPBP1BP/5PP1/R4RK1 b - -,a8b8
7k/p1br1pp1/1p5p/3n4/7P/5N2/PP1B1PP1/2R2K2 b - -,h8g8
1R6/8/7P/8/4p3/3k4/6K1/r7 b - -,e4e3
r2qkr2/2p1pp2/p2p1np1/8/1p1Pn2Q/5N2/PPP1NPPP/R3K2R w KQq -,f3g5
2rrn1k1/2qbbp2/p1p1p1pp/1p2P3/3PNPP1/1Q2BN1P/PP6/2RR2K1 b - g3,f7f5
r2q2k1/1bp1rpp1/p4n1p/n1bPp3/8/PBPP1N1P/1P3PP1/R1BQRNK1 b - -,a5b3
2r2rk1/1p4p1/p1n1b2p/3Npp2/P1P1P3/1P1Q3P/1q1N1PP1/4RBK1 b - -,c8d8
1k5r/pp1q2b1/3p2pp/3Pnp2/1Qr4P/2N1B3/PPP3P1/1K1RR3 w - -,b4b3
7r/4k1p1/p2b4/1b2pp2/3p4/P2P1PP1/2R1P1K1/2R5 w - -,c1a1
1rb2rk1/1pb2pp1/p4q1p/8/2BRQ3/1P3N1P/P4PP1/3R2K1 w - -,e4c2
8/R5pp/4n3/3pkp1K/8/8/8/8 b - -,d5d4
r2q1rk1/pp1nbppp/2p1pnb1/8/5B2/PNNP4/1PPQBPPP/R3R1K1 w - -,b3d4
5rk1/1R3ppp/5n2/3p1Pq1/4p3/5R1P/r5P1/3Q1B1K w - -,f3b3
8/3N1pk1/P1RPr1p1/4p3/3b4/R7/2K3r1/8 w - -,c2b3
r2qnr1k/pppb2bp/3p4/2P1np2/5N2/1BN1BP2/PP3QPP/2KR3R w - -,h1e1
4r2r/1p4k1/p4p2/2p2Bqp/2PbP2R/5QP1/P4PK1/3R4 b - -,h8h6
3r3k/7p/p2P1np1/2p1pR2/PPP5/4p3/4BP2/3R2K1 b - -,g6f5
1r1qrb1k/4n3/3pP1pp/p2Pp3/5R2/2Q2P2/1P2BBPP/3R3K b - -,f8g7
8/8/8/5p1R/3bkB2/6P1/6r1/4K3 w - -,e1f1
r1bqr1k1/p1n2pb1/1p1p2p1/2pPn2p/P3P3/2N1N3/1P2BPPP/R1BQR1K1 b - -,d8f6
8/2Q5/5kp1/1p1q4/2p5/2P3P1/1P5K/8 w - -,c7f4
rn1qk2r/ppp1bppp/3p1n2/8/3P2b1/3B1N1P/PPP2PP1/RNBQ1RK1 b kq -,g4h5
5R2/8/4k1p1/1r1p1p1p/5P1P/4p1P1/8/5K2 w - -,f8e8
4k3/pp5p/1b1Bp3/3p1qp1/1P6/6P1/P3QP1P/6K1 b - -,a7a6
4r1k1/p5q1/4r2p/3b4/1P4N1/P3R1B1/2B1QPP1/6K1 w - -,g3e5
5rk1/3q1p1p/1p4p1/p1p1R1P1/3p1Q1P/1P1P4/P4P2/6K1 b - -,f8e8
6k1/5p2/pp2r1pn/4b3/2P4P/1N2PR2/P5R1/6K1 b - -,e5g7
2b2k2/6pp/1p2pn2/p2pNp2/3N1P2/P2PP3/1P4PP/6K1 w - -,g1f2
2br2k1/1p3p2/5p2/1pB2Pb1/6P1/1R3BK1/1P6/8 w - -,b3b5
8/8/6b1/2BK2P1/P2b4/2k5/8/8 b - -,g6f7
8/p2b2kp/2p3p1/2P5/Q4R2/6KP/P5P1/3r2q1 b - -,d1d3
8/8/4R1p1/5p2/3k1P1p/6rP/2p3P1/5K2 w - -,e6e1
8/3b4/1p2p2k/p2pPp2/P2P1P1K/1P6/8/5B2 b - -,d7e8
5bk1/5ppp/1p4r1/8/1P2B3/P3P1PP/1BQq1P1K/8 b - -,d2c2
3r2k1/pp5p/5p2/4p1p1/3rR3/P2P1P1P/1PK2P2/3R4 b - -,g8f7
8/1p1k1p1p/8/pP1PrP2/6P1/3Q4/1q6/3R1K2 b - -,b2b4
1r1rn3/1p2p1k1/8/p1p1p1p1/2P1P1B1/P1P3P1/4PP2/1R2K2R b - -,e8d6
5nr1/p2q1k1p/1p2rpp1/8/P1pBPQRP/2P2P2/5P2/6RK b - -,e6c6
2r2k2/3bbp2/pr1p2pp/R2Bp3/2P1P3/1P1R1N1P/5PP1/6K1 w - -,c4c5
