8/5k2/1K1p1p1Q/3Pp2p/1q2P3/5P2/8/8 w - -,b6c6
1rbq1rk1/np2ppbp/3p1np1/p1pP4/P1P5/1P1BPN2/1B1N1PPP/R2QK2R b KQ -,e7e6
6k1/p2q3p/3p2p1/2pP4/2Pnp1P1/4Br2/PQ4KP/4R3 w - -,h2h3
8/8/8/5p2/6pK/6P1/R3kr2/8 b - -,e2f3
r4rk1/pq1n1pbp/3pp1p1/5P2/4P3/2NPB3/PP1Q2PP/R4RK1 w - -,f5e6
8/2K5/8/5r2/4n3/1Q2pk2/8/8 b - -,f5c5
r1b1r1k1/1pq1ppb1/2n4p/3n2p1/p2P4/B3PN2/P1QNBPPP/1R3RK1 w - -,f1c1
8/8/5p2/4k1p1/4r3/5K1P/R7/8 b - -,e4d4
r3r1k1/pp3pbp/1qnp2p1/2p5/P1b1PN2/6P1/1PP2P1P/R1BQRBK1 b - -,c4f1
rnbqk2r/p1p2ppp/1p2p3/3pPn2/1b1P1P2/2N5/PPPB2PP/R2QKBNR w KQkq -,g1f3
r1b2rk1/ppq1ppbp/2n3p1/2p5/2PpPn2/1P1P1N2/PB1NBPPP/R2QR1K1 w - -,a2a3
8/6k1/6p1/1R6/8/3K4/4r2P/8 b - -,e2h2
r1b2rk1/1pq2ppp/pBp1pn2/8/Nb2P3/8/PPP1BPPP/R2Q1RK1 b - -,c7e5
rnb1k2r/1pq2pbp/p5p1/4p3/2PN4/2QBB3/PP3PPP/3RR1K1 w kq -,c3a3
8/3Q2k1/1q4p1/p3r3/P1p4p/2P1p1bP/1PN3P1/R6K b - -,g7h6
8/8/p2p4/4k3/P5pb/1N1PK3/8/8 w - -,e3e2
2r5/1p1rqp1k/p5p1/B2p3p/P3P3/1Pb2PN1/n5PP/1RQ2R1K w - -,c1c2
2rr2k1/p2nqppp/1p2pn2/2b1P3/2P5/5NP1/PB2QPBP/R2R2K1 b - -,f6g4
8/p1p1p3/kp6/3N1r2/4Q2p/P5qP/1P4P1/6RK b - -,e7e6
r2qkn2/pppb1p2/3p1np1/3Pp1B1/4P3/2PB1N2/P1PQ1PP1/R3K3 w Qq -,g5h4
r1bq1rk1/p3bppp/1pn1pn2/2pp4/2PP4/1P2PN2/PB1NBPPP/R2Q1RK1 b - -,c8b7
8/8/6k1/2R2pp1/8/r4KP1/8/8 w - -,f3g2
1r3rk1/pp3n1p/1n4p1/2NPp3/3pP1bP/1P6/P3B1P1/1R3RK1 w - -,e2g4
2r1r1k1/pp3pbp/1Q3np1/3P4/4pB2/6P1/PP3PBP/3RN1K1 b - -,a7b6
1k2rr2/p6p/Ppnp2bq/5pN1/2BP1P2/4P1Rp/1PPQ1K1P/R7 w - -,a1a3
4r3/2rn2k1/1pNR3p/p3p1p1/4P3/2R1KPPP/PP6/8 w - -,c6a5
r2qk2r/pp1nbpp1/2p1pn1p/7P/3P4/3Q1NN1/PPPB1PP1/1K1R3R b kq -,d8b6:e8g8:a8c8:a7a5:d8c7
1r4k1/2q2p1p/3p2p1/2pRP3/8/rP1R1Q1P/5PP1/6K1 b - -,d6e5
8/1ppr1pk1/6p1/1PbN2Pn/p1P3NP/3nBP2/6K1/R7 w - -,a1a4
r2q1rk1/pb1p1p2/6p1/2p1p1bp/6PP/2PBP3/PP3P2/R2QK1R1 w Q -,g4h5
r1q1r1k1/3bbppp/p7/N1nnBB2/8/1pP2QNP/1P4P1/R3R2K w - -,e5g7
8/5p2/2p5/1P1k1p2/3PbP2/r1P1K1RP/1R6/8 b - -,c6b5
r4r1k/6pp/1q1p4/p3pb2/2B5/2P1P3/RP4PP/3Q1RK1 w - -,d1f3
1rb1r3/2q2pkp/1pp2np1/2n1p3/4P3/3B1NNP/1PPQ1PP1/R4RK1 b - -,h7h6
r4rk1/1q1npp1p/ppbp1npb/2p5/P1BP1P2/N1P1P2P/1P1N2PB/2RQ1RK1 w - -,d1e2
5rk1/pp4b1/7p/3r1p2/3nN1PN/4R2P/PP3P2/2R3K1 w - f6,g4f5
r7/P5R1/8/5k2/8/6K1/8/8 b - -,f5e5
8/3b1pkp/5p2/4p2P/4P1P1/4NP2/5K2/8 b - -,d7e6
1r3k2/5p2/4b2p/2n4P/3NP3/PPK2P2/2P5/4R3 b - -,b8c8
r1bqk2r/4bppp/3ppn2/p7/1p2PP2/3P4/PP1BN1PP/R2NQR1K b kq -,f6d7
1r4k1/5pp1/3pn2p/p7/3P4/1BP1R3/P2r2PP/5RK1 w - -,f1f2
rnb1k2r/ppp1qppp/3ppn2/8/2PP4/5NP1/PP1QPPBP/RN2K2R b KQkq -,e8g8:e6e5
1b2r1k1/p5p1/1n4n1/4P3/3P3P/2BN3P/8/3R1R1K b - -,b6d5
1r3rk1/1b1qbppp/p2p1n2/1p6/3NP3/4BP2/PP2B1PP/2RQ1RK1 w - -,d1d2
r1b2rk1/ppbnqppp/2p1pn2/2Pp4/3P4/2NBPN2/PPQ2PPP/R1B2RK1 w - -,e3e4
4k3/6pB/8/2p5/1p6/1P3K2/2P3PP/6b1 b - -,g1h2
2r2rk1/1q1nbppp/p2p4/Pp1Pp3/nPP5/1Q2BP2/3NB1PP/R4RK1 w - -,a1c1
r2qr1k1/pp3pbp/2b2np1/2pP4/P1N2N2/1P1P4/1BP3PP/R2Q1RK1 b - -,f6d5
r5k1/2pb1pp1/1npr3p/p2p1N2/3N4/1P1PP2P/P4PP1/R1R3K1 b - -,d7f5
8/6R1/2p4p/1p1b2p1/p7/P5Pk/1P3K2/8 w - -,g7g6
3r4/1pk3p1/pNb1p2p/P4p2/1P5P/2P2P2/4K1P1/R7 b - b3,e6e5
4Q2k/6b1/6P1/8/2P1Bq2/p7/5P2/5K2 b - -,f4f8
8/6p1/5nk1/5p1p/3B1Q2/4P1PP/2q2P1K/8 w - -,h2g1
4k2r/p1qbb3/5p2/1p1p1r1p/1P1N4/P1NQ1R2/2P3PP/3R3K w k -,c3d5
6r1/1b4rk/pp2p2q/4Pp2/4pP1p/2P3P1/PP1R1QP1/4RNK1 w - -,e1e3
r2q1rk1/ppp2pb1/2n2npp/3Np3/2P1P1b1/5PP1/PP2N1BP/R1BQ1RK1 b - -,g4e6
3r4/pp1bk2p/2q1pprn/3N4/8/1B6/PP1RQPPP/3R2K1 b - -,e7f7
2rq2k1/3p2bp/1pb1p1p1/p1n2r2/2P5/1P2BP2/P2QN1PP/2RB1RK1 b - -,d7d5
3rk2r/pp3ppp/2npb3/8/3N1B2/8/PPP2PPP/R2qR1K1 w k -,a1d1
1k6/8/p7/1p6/3pR3/PK6/1P1r1n2/8 w - -,a3a4
2r5/1p1bkp2/p4n2/3p2p1/3N2P1/1P2PP2/P3K1B1/7R w - -,e2d2
5n2/2p2B2/1p1k2p1/1P3p1p/5K1P/6P1/8/8 w - -,f4g5
r2r4/1b3kp1/p1p1p2p/1pPn2qP/P2PQ3/1B4P1/1P3P2/3RR1K1 w - -,e4e6
5r2/ppk3pp/3b4/3R4/8/2P5/P5PP/R6K b - -,c7c6
5r1k/1p4b1/2pR1qpp/p3p3/4Q3/P4B2/1P3PPP/2R3K1 b - -,f6d6
r3n1r1/1p1bkp1p/pq1pp3/4n1p1/3RP3/1NN3Q1/PPP1BPPP/3R2K1 w - -,d4d6
3qrbk1/1b6/rn4p1/2pPpp1p/2p1P3/2P2NNP/3QBPP1/1R2R1K1 w - -,d2g5
r1b2rk1/pppp1ppp/6n1/8/2Pq4/1N2P3/PP2BPPP/R4RK1 w - -,b3d4
rn1qk2r/pb2bppp/1p2p3/2pn4/8/2N2NP1/PP1PPPBP/R1BQR1K1 w kq -,d2d3:e2e4
5R2/8/1p2k3/8/7P/r2K1B2/6b1/8 w - -,d3e2
r1r3k1/1q2bppp/4pn2/1p1pN1B1/3P4/2P2Q1P/1P3PP1/R3R1K1 w - -,a1a8
3q1nk1/rbp3pp/p2bp2r/3p1p2/3P4/3BPNPN/PPQ2PP1/2R2RK1 b - -,f8d7
8/8/8/2k3p1/1p6/r1p1NbP1/2P2P2/1R3K2 b - -,a3a2
r1b1r1k1/4ppbp/pq2n1p1/2p5/3P3B/3BPN1P/PP3PP1/R2QR1K1 w - -,d4d5
5k2/1p2bppp/3p1n2/3Pp3/b3P3/2B3P1/P2NBP1P/6K1 b - -,f8e8
2r4k/2rnqbbp/p1p3p1/Pp1p1p2/1P1P1N2/2RBPN2/2Q2PPP/1R4K1 w - -,h2h4
r2qk2r/pbp1bppp/1p2pn2/3pP3/5B1P/3BP3/PPPN1PP1/R2QK2R b KQkq -,f6d7
r4r2/pp1bq1p1/2n1pnk1/3pPpN1/5P1Q/7R/P2B2PP/4R2K w - -,e5f6
r4rk1/p2qbpp1/2p1pn1p/3p4/4PB2/2P4P/PP1N1PP1/R2QR1K1 b - -,f6e8
1r1r2k1/1b1q1pp1/3P4/ppQ5/4p2P/1P4P1/2P1NP2/3RR1K1 w - -,e2f4
2rq1rk1/pp1b1pp1/2n1p2p/b7/3PN3/P2BPN2/1PQ3PP/R4RK1 w - -,c2e2
8/5pBr/4p2P/4Pb2/8/8/2pK2k1/7R w - -,h1e1
8/2pk1p1p/R2p3b/6p1/1Prp1P2/8/2PK1BPP/8 w - -,d2d3
r2q1r1k/1pp3pp/p1np4/5b2/2B1nPP1/2N4P/PPPQ4/2KR2BR w - -,c3e4
4r3/p4pkp/3r2p1/8/8/P1R2P2/3p2PP/3R1K2 w - -,f1f2
2N1kn2/5pp1/1B2n2p/P3P2P/4R3/6P1/5K2/r7 w - -,c8d6
r2q1rk1/pppnbpp1/3p1n1p/1P3b2/P1PP4/1QN2N1P/4BPP1/R1B2RK1 b - a3,f8e8
8/2pbr1k1/3p4/p2P4/3KB1p1/P1P5/7R/8 w - -,h2h5
3r1rk1/1p3ppp/pqn1pn2/2b5/8/1P3NPP/PBP1QPB1/3R1RK1 w - -,f3e5
5nk1/7p/b4pp1/2NP4/2P4P/8/2B2KP1/8 b - -,a6c4
r2qk2r/pb1pp1bp/2p2np1/4B3/2B1N3/5Q2/PPP2PPP/2KR3R b kq -,d7d5
8/8/6p1/1p3b2/p1kn1PP1/P4r2/1P2R3/2K3R1 w - -,e2h2
8/5p2/5rp1/2k4p/5P1P/5KP1/2B5/8 b - -,c5d6
8/5k2/p7/7P/3b4/7K/P7/2B5 w - -,h3g4
8/3k4/6p1/2pP2P1/2P1p1K1/6B1/8/2b5 w - -,g3f4
2r1rb2/1bqn1p1k/pp1p2pp/3Pn3/PPPBNNP1/4R2P/8/2R1QBK1 b - -,f8g7
4r1k1/pb3ppp/1p6/2p1qP1Q/2PpBR2/3P4/P1P3PP/4rRK1 b - -,e5f4
2r1k2r/1bq2ppp/p3p1P1/7P/1b2pP2/2N1Qn1B/PP2N3/2KR3R b k -,b4c5
4kr2/p1B4p/1pp5/4p1q1/P2R1p2/1P1R4/6P1/6K1 w - -,d4d6
3qr1k1/2rnb3/Qp4pp/3p4/4N3/6N1/PP4PP/4RR1K w - -,e4c3
r4rk1/2qnbppp/p1p5/2Ppp3/2nP4/2BNP1P1/P1Q1NPKP/R6R w - -,c2a4
r2q1rk1/pp1n1ppp/2p2n2/3p4/1b1P2b1/2N2NP1/PPQBPPBP/R4RK1 b - -,f8e8
1r6/5pkp/3N2p1/4R3/5n2/1B5P/5Pb1/6K1 w - -,e5e3
6r1/p6k/Pp2pr1p/2p5/4P1p1/1P1P2P1/2P2PKR/5R2 w - -,f2f4
1r1r1bk1/1pqb1pp1/p1nppn1p/8/2P1P3/2N3PP/PPNB1PB1/2RR1QK1 w - -,b2b3
r2q1rk1/1ppb2p1/1nn1pB1p/3p4/3P3P/1PNB1N2/P2Q1PP1/R3R1K1 b - -,d8f6
r4rk1/pp2bppp/2p1bqn1/4n3/4PB2/1NN3P1/PPPRBQ1P/1K1R4 b - -,f8d8
3r1r2/2p3kp/1p1p1b2/p2P1NpP/2P1nB2/4P1P1/P3P3/2RR2K1 b - -,g7h8
1r3r1k/5p1p/p1p1q3/4p1Q1/4P3/5R2/1P3PPP/2R3K1 w - -,f3f6
1q2rr2/pp1R2b1/6pk/2p2nNp/1n3P2/6PP/P2QNBK1/2R5 b - -,b7b6
8/1r3pk1/1r4p1/R3R2p/3P1P1P/2K3P1/1P6/8 w - -,d4d5
r3kbnr/ppp2ppp/2n1p3/3q4/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,c1e3:h2h3:c2c4
4n3/1p4bk/p3b3/2Q1Brpp/8/3NR1Pq/PP3P1P/2R3K1 b - -,e8f6
r2q1rk1/pp2ppbp/1nn3p1/6B1/3P2b1/1BN2N2/PP3PPP/R2QR1K1 b - -,h7h6
r1bq1rk1/pp3pbp/2n2np1/2p1p3/3pP3/2PP1NP1/PPQN1PBP/R1B2RK1 w - -,d2c4
r6r/1bbnkpp1/p1p2n1p/1p2p3/P3P3/1BN1NP1P/1PP2BP1/2KR3R b - -,g7g6
r5k1/6p1/3n2Bp/p3R2P/P7/6P1/5P2/5K2 w - -,f1e2
8/1p1k2p1/1P5p/2Pbp2B/8/2RK2PP/8/4r3 w - -,d3d2
2r4r/1n1kbp2/2p3p1/pp1pP3/3P1PP1/5N2/PPR2B2/3R2K1 w - -,d1c1
2r2rk1/1pqbb2p/4p3/1P1pPp2/p2Nnp2/P2BP3/1Q2N1PP/R4RK1 w - -,e3f4
2r1b1k1/2r2p1p/1q1npnp1/ppNp4/3P1PP1/3BP3/PPR1QN1P/2R3K1 b - g3,f6d7
r3q1k1/ppnb1pbp/2p3p1/1P2p3/Q1P1P1n1/B1N2N2/P3BPPP/3R2K1 w - -,h2h3
r1b2rk1/pp3ppp/q3pn2/2b5/4N3/PP1p2P1/1B1P1PBP/R2Q1RK1 b - -,f6e4
2rqkb1r/pp1npppp/3P4/1N6/Q1B2B2/5n2/PP3P1P/R4R1K b k -,e7d6
3r2k1/p3rppp/R4b2/1P6/3p1B2/3R2P1/P4P1P/6K1 w - -,g1f1
6k1/3b1p2/2p5/1p6/n1pN1b2/2P2B2/1P4P1/3N2K1 b - -,c6c5
6k1/3R1pp1/pb2rq1p/1p2p3/1Pp1P1P1/2P3P1/P1B2PK1/3Q4 w - -,d1d2
8/6bk/8/p1p1q2P/P1Pp2Q1/1P4P1/6RK/5r2 b - -,e5f5
1r4k1/2q1ppbp/b2p2p1/P2Pn3/1rP1P3/R3N1P1/2Q2PBP/2B1R1K1 w - -,a3a2
8/2R3p1/p1nr1pk1/p6p/8/2B1K3/1P4PP/8 w - -,e3e4
rn1qkb1r/pp2pppp/2p2n2/5b2/2pP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3
6k1/pp1B1p2/6p1/4b1P1/4N2P/P1P2P2/3K4/6r1 w - -,a3a4
8/2k3P1/5K2/r7/5P2/p2R4/8/8 b - -,a3a2
r3r1k1/1pq2pbp/2n1bnp1/p1Pp2B1/N7/1N3P2/PP1QB1PP/R4RK1 w - -,f1e1
3r4/1Bn1kppp/p1P1p3/R7/2r3P1/1N5P/P4PK1/8 b - -,d8d5
r3k3/p1q1npp1/1n2p1p1/1p1pP1Br/2pP2PP/P1P2Q2/1P1N1PK1/R6R b q -,h5h8
r2qkb1r/1p3pp1/p1n1p1p1/2Ppn3/1P6/P7/1BPNBPPP/R2QK2R w KQkq -,f2f4
r1b2rk1/pp2qppp/2p2n2/3p4/PP1Pn3/2NBP3/4NPPP/1RQ2RK1 w - -,f2f3
r2q1rk1/3bppbp/p2p1np1/n1pP4/2P5/2N3P1/PBQNPPBP/R4RK1 b - -,d8c7
4r3/3k1p2/3np3/1p1p2P1/2n2K2/1PBB4/2P3P1/5R2 b - -,e6e5
1q3rk1/2r1ppbp/1N1pbnp1/1p2n3/4P3/1P2B1PP/2PQNPB1/2R2RK1 w - -,f2f4
8/1k3pp1/p6p/1r5P/5PP1/R1K5/3B4/1r6 w - -,c3c4
5rk1/2Np2pp/2b1pb2/2P5/3P1p2/4P2P/3N1PP1/1R4K1 w - -,b1b6
r1b1k2r/4bppp/p1qppn2/1p4B1/4PP2/2NB1Q2/PPP3PP/2KR3R w kq b6,f3e2
8/pp3pk1/1b3q1p/4N1p1/2B5/1P5P/P2Q1PP1/6K1 b - -,f6e5
r4rk1/ppq2p1p/2nb2p1/4pb2/3PN3/2PQ4/P3BPPP/R1B1R1K1 w - -,c1h6
1k5r/2p2p2/Q1prpq2/4Nb1p/1P1P2p1/P1P3P1/5P1P/2R1R1K1 w - -,e5c6
6k1/5p1p/4p1p1/6R1/5P2/2pK4/6PP/2r5 b - -,g8g7
rnbq1rk1/pp2bppp/3ppn2/2pP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQ -,b7b5
r3r3/1b1P2k1/p3q1p1/2p1np1p/1pP1p3/1P4QP/P1B3PN/3R1RK1 b - -,e8d8
1qr3k1/p4pbp/4rnp1/2Bp4/PP6/3B1P2/5QPP/1R1R2K1 b - -,c8c7
3r1r2/pp2bkp1/4p2p/2npP3/2pB4/2R3PB/PP2PP1P/3R2K1 b - -,c5e4
7b/3b1k2/3p2p1/3P1pP1/1qP5/1P1R1Q2/2B3N1/r2K4 w - -,d1e2
3r2k1/6q1/2p3pQ/ppPp1r2/3PpP1P/4P3/PP6/1K4R1 w - -,g1g6
r1b2rk1/p1p1qppp/1p1p4/2N1n3/2P2B2/P3P3/1P2BPPP/R2Q1RK1 b - -,b6c5
r1bq1rk1/pp2bppp/2np1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1RK1 w - -,c1e3:g1h1:f2f4:e2f3:h2h3
1rb2rk1/p3ppbp/2p3p1/q7/4B3/2P1B2P/PP3PP1/R2Q1RK1 w - -,d1c2
r4rk1/p2qbppp/1pb2n2/3pB3/3P4/2NB1Q2/PP3PPP/R4RK1 b - -,a8e8
r1b2rk1/1p3pbn/p2p2q1/P1pPn1p1/N3P2p/4BP1P/1P2BNP1/R2Q1RK1 b - -,f7f5
4r1k1/2p4p/2b2pp1/p3p3/4P3/n1P1PNNP/5KP1/1R6 w - -,b1a1
r4rk1/1p2qp1p/2bpp1p1/p1n1b3/2P1P3/1PN1BP2/P3B1PP/3RQR1K b - -,a8d8
r2q1rk1/p2b2pp/1pn1pb2/2Np4/1P1P4/P3PN2/4B1PP/R2Q1RK1 w - -,c5d7
1r2qr1k/1ppb2pp/p1n5/5p2/8/1BQ1PN2/PP3PPP/2RR2K1 w - -,c3c4
1R2b3/p3k1pp/4p3/1p3p2/3N4/7P/r4PP1/6K1 w - -,b8b7
r1bqk2r/1p1nppbp/p2p1np1/8/P2NP3/2N1BP2/1PPQ2PP/R3KB1R b KQkq a3,b7b6
r6k/7p/6p1/1P1Pb3/P2n4/1B6/6PP/5R1K w - -,f1e1
8/1pkr2p1/1np2p1p/8/pP2PP2/P1R3P1/2B1K2P/8 b - -,d7d4
r3r1k1/pp4pp/2pp4/2n2p2/3bPP2/P1NP3P/1P4PK/2BR1R2 w - f6,c3e2
4q1k1/5p1p/6pb/B7/3P4/4rBP1/P2Q3P/4N1K1 w - -,e1g2
rq2r1k1/pp3pbp/1n1n2p1/3P4/1P1Np3/4Q3/PB2BPPP/2RR2K1 b - -,b6d5
rnbqkb1r/1pp2ppp/p3pn2/3pP3/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq -,f6d7
4N3/5R1k/1p4p1/p3p2p/P1Pn3P/3K2n1/8/8 b - -,h7h6
8/5p2/3Pk1pp/rNK1Pp2/2p4P/pb4P1/8/4R3 b - -,e6d7
r5k1/pp3pp1/1np2n1p/5b2/3R4/1PN3P1/P2B1PBP/6K1 w - -,d2e3
r3rnk1/2b2pp1/2p4p/2Np2q1/3P4/3BPNPb/2Q2P2/1RR3K1 b - -,g5h5
4b3/r3k3/4pn2/1p2p2p/1P2P2R/8/2PKB3/4N3 w - -,e1d3
r3b1k1/pp4p1/2nrpqnp/3p4/3P4/5N2/PP1QNPPP/1BR1R1K1 w - -,c1c3
rnbqr1k1/pp4b1/4pnpp/2pP2B1/2P5/2N2N2/PP2B1PP/R2Q1RK1 w - -,g5h4
2q3k1/p4rpp/1p1p4/1PrPp3/PQ6/4P3/5PPP/3R1RK1 b - -,f7f6
2r5/6p1/8/2pk4/3b4/2BP2P1/3P2KP/2R5 b - -,c8e8
2k1rb1r/1p4p1/p2nppp1/3p4/3P1P2/2P3NP/PP3KP1/R1B4R b - -,f6f5
5rk1/1p3p2/1p1N2pp/8/3n2n1/3P2P1/RP2P1BP/7K w - -,a2a4
1r1qnrk1/1b2pp1p/6p1/2p2PPP/pp1bN3/3P4/PPP3B1/R1BQ1RK1 w - -,g1h1
2r2b2/1b6/6k1/1Rp1p2p/1pPpN3/1P1P1PNP/6K1/8 b - -,c8c7
8/p1kr4/4Q3/3qp1R1/P7/8/KPP5/8 w - -,e6d5
6k1/pp3p2/2pR2pp/4r3/2P1P3/5P2/PP6/5K2 b - -,g8f8
4k3/7B/6p1/3n2P1/3r3P/5RK1/5P2/8 b - -,d5e7
1r1q1rk1/5p1p/1b2nnp1/3p4/8/P1NBP3/1P1B1PQP/3R1RK1 w - -,c3e2
6rk/R4Qp1/P1p4p/3n3P/4qP2/6PK/8/8 b - -,e4h1
rn1qk2r/1p3p1p/2pbb1p1/p2p1p2/3P4/2PBP3/PPQNNPPP/R3K2R w KQkq -,a2a4
4Q3/8/p1p5/1pP2b2/1P1K2k1/8/5r2/8 w - -,e8c6
1r3Bk1/p4pbp/b1p1p1p1/q2nP3/2p2P2/1PN2N2/P1P2RPP/3RQ2K b - -,g7f8
2r2rk1/3nbppp/p1pp4/8/4P3/2NRBP2/PPP3PP/2K4R w - -,h1d1
3r2k1/p3q2p/3pp1p1/2p4P/4P3/3Q4/P4PP1/3R2K1 b - -,g6h5
8/5k2/R7/4P3/6P1/5K2/p1r5/8 w - -,g4g5
r4k2/2pb1p1r/3p4/p2P2bp/2PB4/3P2P1/PPK3BP/R5R1 b - -,h5h4
2kr1b1r/pp4p1/2pppq1p/2n5/4PP2/2N5/PPQ1N1PP/1K1RR3 b - f3,c8b8
6k1/1r3pp1/p1q1p2p/Q3P3/P1pB4/4P1P1/1P3P1P/6K1 b - -,b7b8
r2qr1k1/pbpn1ppp/1p1b3B/4pN2/P2pP3/3P2P1/1PP2PBP/R2Q1RK1 w - -,f5g7
8/1p2R1pp/5p1k/rp6/5N2/P4RPK/1r5P/8 w - -,f4e6
r1bqk1nr/pp3pbp/2n3p1/3pN3/3Pp3/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,g8e7
2r3k1/4R1pp/5p2/7b/5P2/1pB3P1/1PrR3P/4K3 b - -,h5g4
8/5ppk/4p2p/p2b4/8/P1K5/2P2q1P/1RQ5 b - -,f2f6
