8/8/5kp1/r4p1p/7P/5BPN/5PK1/8 w - -,h3f4
2kq2r1/pp4Q1/2p5/2nnp3/2B5/2N4P/PPP2PP1/3R2K1 w - -,g7e5
1r3bk1/p4p1p/3npnp1/3pN3/3P4/1q1BP1P1/1PR2PKP/1NQ5 b - -,f6e8
r4rk1/4q2p/pp1n1bp1/2pPpp2/2P5/1P2BP2/P1B1Q1PP/4RR1K b - -,a6a5
r4rk1/bp1bnppp/p3p3/3pP3/6n1/PPP2NP1/1BqNQPBP/1R3RK1 b - -,d7b5
6k1/7p/2p5/3p2p1/N2Pb3/1P4P1/P2Q3P/1q2K3 w - -,e1f2
r2qkb1r/pp1n1ppp/2p1pn2/7b/2BPP3/2N1BN1P/PP3PP1/R2Q1RK1 w kq -,d4d5
r4r2/p3npkp/1qppb1p1/1p6/2PpP3/3P2P1/PP1QNPBP/2KR3R w - -,e2f4
8/p4qpk/8/7p/1P2pp2/r3b2P/4Q1P1/3R2BK w - -,g1e3
r1bq1rk1/pp1nbppp/2npp3/2p5/2P5/1P1PPN2/PB2BPPP/RN1Q1RK1 w - -,a2a3
r1bq1rk1/6pp/p2p4/3P4/1PN2p2/5P2/P1Q1BpPP/2R3K1 w - -,g1f2
2r1k2r/pp1bbpp1/1qn1pn1p/2pp4/3P3B/2PBPN2/PP1N1PPP/RQ3RK1 b k -,c5d4
2b5/5p2/6kp/8/4K1PP/4N3/8/8 w - -,e4f4
rnb2k1r/pp3p1p/3Np1p1/6B1/3bP3/P7/5PPP/R3KB1R w KQ -,e1c1
1k1r4/2q2p2/1pP2p2/3PpP2/R2bB3/PQ6/K6P/8 w - -,b3b5
2r2kr1/5p2/5p1p/pp1p1b2/2pP4/P3P1P1/1P3P1P/1NR1K2R w K a6,b2b3
2r2rk1/pp1bnppp/1q2p3/3pP3/8/2NQ1N2/PPP2PPP/1R2K2R w K -,e1g1
8/8/2k2p2/pp3P2/8/1P4b1/N1P1K3/8 w - -,e2d3
8/p7/2Q3p1/1P6/P7/1k2PK2/1q3N1p/8 b - -,b3b4
4k3/Npp2p1p/p4pp1/Pn6/2R5/1P2P1P1/5PKP/3r3B b - -,b5a7
8/1pK5/1P6/8/6kp/8/8/8 b - -,h4h3
r1bq1rk1/pp2bnpp/2p1p3/4Pp2/8/6P1/PPQNPPBP/R1B2RK1 w - -,f2f4
4r1k1/7p/p2R2n1/3P2P1/1p4P1/1B5P/1P1R1K2/1r6 b - -,g6f4
8/4q3/2p3p1/2Pp3k/4p2p/4PpNQ/5P2/7K b - -,h5g5
1r3rk1/1b1qppb1/1pn1n1p1/p1p1P3/P2p4/1QPP1NP1/1P3PBN/R1B1R1K1 w - -,c3c4
2rrb3/pp2kp2/2p1pn1p/6p1/2NP3P/2P2B2/PP3PP1/2KRR3 w - -,h4g5
8/1p1rpkb1/6p1/p2P1pB1/8/5B2/r4PP1/4R1K1 w - -,d5d6
3r2k1/4bppp/p3p1b1/1p2p1P1/8/4B3/PP2N2P/4KBR1 b - -,f7f5
3r1r1k/pp1n1pp1/2p1p2p/q3P1N1/P2P3Q/8/1P3PPP/R2R2K1 b - -,c6c5
5rk1/2BR2p1/1p2ppp1/p1b5/P5P1/1P2P3/5P1P/6K1 w - -,c7d6
6k1/2p3p1/3p4/2p5/2P3K1/1P1Q2PP/1q6/8 w - -,h3h4
3r1nk1/pB4pp/5p2/2Pp4/b2P4/2B2N2/P1r2PPK/R7 w - -,c3a5
2R5/1r3p2/4p1p1/2B1Pb1p/r4P1P/8/1kp2K2/4R3 w - -,c5e3
r1bq1rk1/1p2bppp/p1nppB2/8/2BNP3/2N5/PPP2PPP/R2QR1K1 b - -,e7f6
8/8/1k1p4/3PnB2/1PP5/2K5/5p2/8 w - -,f5h3
rn1q1rk1/1b3ppp/1p2pn2/p1ppN3/1bPP4/PPB3P1/4PPBP/RN1Q1RK1 b - -,b4c3
5k2/4bppp/pp2p3/4P3/8/P3Pb1P/1PN3P1/6K1 w - -,g2f3
5b1k/1b4pp/pp3p2/2n1PN1P/2PBP1Q1/1P4P1/P2q2B1/6K1 b - -,b7e4
1qr1k2r/1b1nbppp/pp1ppN2/8/2P5/PP1BPN2/1BQ2PPP/2RR2K1 b k -,g7f6
r1bq2k1/pp3pp1/1bp2n1p/3pr3/4PB2/1BP3NP/PP3PP1/R2QR1K1 b - -,e5e8
2b2r2/p1qn2kp/2n1p1p1/2p1p3/2P5/2N1QN1P/1P3PP1/1B2R1K1 w - -,b1e4
2r1r1k1/5pp1/1p1Rp2p/p1q4P/P1P5/1P1R1QP1/5PK1/8 w - -,d6d7
2r2rk1/1pqbb1p1/4pp1p/3pP2P/3N1P2/P1nBB1Q1/2P3P1/R4R1K b - -,c3e4
r1b2rk1/ppqppp1p/n4bp1/2PQ4/8/1NP2N2/PP2PPPP/R3KB1R b KQ -,a8b8
5nk1/3q1ppp/3br3/P2p4/3Pp3/2B1P3/R3BPKn/3Q3R w - -,e2h5
5rk1/p1p1rpp1/2P3q1/7p/2Q1P2P/5PN1/P4PK1/R3R3 b - -,f8e8
2kr3r/pbp2ppp/1pnp3q/4Pn2/2BB1P2/2P5/PP3QPP/RN3RK1 w - -,b1a3
r3k2r/ppqn1pp1/2pbpnbp/6N1/3P4/P1N1BB1P/1PPQ1PP1/R4RK1 w kq -,g5e4
1r2k2r/4bpp1/1q1p1n1p/p2Pp3/1p4PP/1N3P2/PPP3Q1/1K1R1B1R w k -,g4g5
r1b1k2r/1pq1nppp/4p3/pP1pP3/Pb6/3P1N2/1B1N1PPP/R2Q1RK1 b kq -,e7g6
4r1k1/1p3p2/8/p2P1br1/1b2B2p/3R2P1/PP4K1/5R2 w - -,f1f5
1R6/4R3/6k1/8/6P1/7P/1r6/6K1 b - -,b2b8
r4rk1/pn4b1/1p1q2Pp/2pPp3/2P1Pp2/7N/P2BQPP1/1R3RK1 w - -,f2f3
4r3/3qr2k/pp1P1ppP/4pb2/2P5/1P5P/P2QR1BK/4R3 b - -,e7e6
8/3k2pp/8/1PR1ppb1/8/5P2/1r3BPP/5K2 b - -,g5f6:b2b1
8/R1n1Bpp1/2k1p2p/4P2P/5r2/8/1P4P1/1K6 b - -,g7g6
r2q1bk1/1b1n1p1p/p2p4/4ppP1/1p2PP1R/3P3Q/PP2N2P/1KB5 w - -,h4h7
5r2/3Q4/p4pk1/5p1N/8/1P5P/6PK/q7 w - -,h5f4
r2qkb1r/pp1b1ppp/4pn2/3p4/1n1P4/1P3N2/P1PNBPPP/R1BQ1RK1 b kq -,a8c8
4r1k1/3Q3p/p5p1/2P5/1P2qp2/5NKP/6P1/8 w - -,g3g4
2r3k1/1b4p1/3b3p/p2pNp2/Pp1B1P2/1P1P1PK1/7r/7R w - -,h1h2
3r4/1p3p1k/pqp1b3/6Q1/3nP3/6P1/1B4BP/R6K w - -,g5h5:a1d1
8/8/3N1k1p/3npp1P/8/5K2/8/8 w - -,d6e8
1r3r2/q4pkp/p2p2p1/2p1pb2/2Pn4/pPQP1PP1/N3P1BP/1R2R1K1 b - -,a6a5
8/pp6/2ppr2k/4P3/2P3B1/8/PP3r1P/3R3K b - -,e6e5
3r2k1/1p5p/4bnpb/1Bq1p3/Q2np3/2N2P2/6PP/BN3R1K w - -,f3e4
8/8/1Bkb1pp1/2p1p2p/2P1P3/3R1PP1/r6P/6K1 w - -,f3f4
3R4/6pk/2P1Kp2/4p2P/4P2P/2r5/8/8 w - -,d8d6
8/pp6/2pb4/3p1k2/2PP1np1/1P2B3/P3NK2/8 b - -,f4e2
rn1qk2r/4bppp/p1bp4/3Pp3/1p4P1/7P/PPP2PB1/R1BQR1K1 w kq -,d5c6
r2qk2r/1pp1bppp/p1p2n2/4p3/4P3/3P1Q1P/PPP2PP1/RNB2RK1 b kq -,e8g8:d8d7
r2r1k2/p4p2/1p1P2p1/n4q1p/3QN3/6P1/P4P1P/1R1R2K1 b - -,f7f6
6rk/1R6/p2p4/P1pP1p2/B1P2b2/2P3N1/6K1/8 w - -,g2f3
1r6/4kp2/2pbp1p1/3r4/1P1R1P1p/PKB3PP/5P2/3R4 b - -,b8b7
r4rk1/1p1nq1pp/2ppb3/p4p2/2P5/4Q1P1/PP2PPBP/2R1BRK1 w - -,e1c3
6r1/8/k7/pp6/P4P2/2P1BK2/1P4P1/8 b - -,b5a4
8/5b2/5k2/8/2p1K3/2r4p/8/7R b - -,c3d3
r1b1k2r/2p1npbp/6p1/p1N5/N1p1P3/1P3P2/P2P2PP/R1B1K2R w KQkq -,c1b2
6k1/ppq2pb1/2p1n2p/2P1pBp1/1P6/P3P1BP/5PP1/3Q2K1 w - -,h3h4
r4rk1/p3bppp/2p1pn2/qp1n4/3P4/P2Q1B1P/1PP1NPP1/1RB2RK1 w - b6,b2b3
r1b2rk1/pp3pp1/2p2n1p/2q1p3/4P3/1PPB3P/P1Q2PP1/RN3RK1 b - -,f6h5
r2q1rk1/pp2nppp/3b2b1/3p4/5PP1/1NP1B3/nP1KQ2P/3R1BNR b - -,d5d4
4k2r/1p3pp1/p3p1pP/1n1p2P1/3P4/1Pr1B1b1/P3KP2/R6R b k -,g7h6
2rr2k1/1p2pp1p/q1p1b1p1/p7/Pn1P1P2/4P3/1P1N1PBP/2RQ1RK1 w - -,d2e4
k7/6pp/8/4N3/6P1/P1r2P1K/4R1P1/5n2 w - -,g4g5
8/R7/6k1/4Kp2/6p1/P1p2r2/8/8 b - -,g4g3
6k1/p4pp1/4bn1p/2p4q/7P/2N1BPP1/Pr2PQ2/3R2K1 b - -,f6d7
r1bq1rk1/ppp1n1b1/2np2pp/3Npp2/2P1P3/3P2P1/PP2NPBP/R1BQ1RK1 w - -,a1b1
r1b1k2r/2qp1ppp/p3pn2/1p2n3/1b1BP3/1NN2P2/PPPQ2PP/2KR1B1R b kq -,e8g8
3rr1k1/pp3npq/6R1/Q2ppb1P/2pP4/P1P5/3BBP2/2K3R1 w - -,a5a7
1r4k1/2q1ppb1/3p1np1/p1rP4/R7/1BB2P2/1PPQ2P1/4K2R w K -,c3a5
8/1R6/4p3/7r/k1KB4/8/8/8 w - -,d4f6:d4f2
5r1k/4Rp2/2q2r1p/p1p5/2p2Q2/2P3P1/7P/4R1K1 w - -,f4c4
2r1r2k/1pq2pbp/p1bpp1p1/8/P3PP2/BBP5/2QP2PP/4RR1K b - -,b7b5
3q1rk1/rp4b1/3p1pp1/1PpPp1n1/p3P1P1/P4PR1/1PBB2K1/3Q3R b - -,d8e8
6k1/pp3pp1/2p1r3/3b2q1/3P3p/P2Q4/1P3RPP/5NK1 b - -,g7g6
2bq2k1/1p1n1ppp/3Nr3/2p5/2P1N1n1/Q3P3/1PB2PPP/4K2R b K -,f7f5
2r2rk1/1p2b1p1/p1n1pn1p/3p2B1/8/2N3P1/PP2PPBP/2R2RK1 w - -,g5f6
5rk1/3b1pp1/3R1n1p/p1r1p3/1p2P3/2P3PP/PP3P2/1N2RBK1 b - -,d7e6
r4r2/pp1b1kb1/1qp1p1p1/3pPpPp/2PP1P2/3QB3/PP2B1P1/1K4RR w - -,g1c1
2rqkb1r/4npp1/p1np3p/1p1bp1BQ/4P3/N1PB4/PP3PPP/R3K2R w KQk -,e4d5
5r2/7p/1p2n1pP/3pk1P1/P7/1PP1K3/2B2R2/8 w - -,f2f8
1rkr4/5p1b/2n2P2/6B1/1p3QPP/5K2/1qP1RP2/4R3 b - -,c6d4
1r3k2/R4p1p/3n2p1/3Pb3/1pp1P3/1K3PPP/3R4/8 w - -,b3c2
r2r2k1/1qnnp1bp/3p2p1/2pPPp2/4QP2/1PN2NP1/P4BKP/2RR4 w - f6,e5f6
r4rk1/1pq1bp2/p1bpn1p1/4p1P1/4P3/1BN1B3/PPPR1P2/2KQ3R w - -,d1g4
6k1/p5p1/5p2/4b2Q/3r4/6P1/P1r4P/3R3K b - -,d4d1
4r1k1/1B3p2/2Nbb1p1/7p/1P1R4/4P1P1/5P2/6K1 b - -,d6c7
1k1r3r/ppp1b1p1/1nn1p2p/5p2/3P4/PBN1PPBP/1P3P2/2RR2K1 b - -,d8e8
1n1rr1k1/ppp2q1p/6p1/1P2p3/PBP1P3/1N2bPPK/2Q5/R4R2 w - -,a1e1
2r3k1/6pp/2p1b3/2PnPp2/r4P2/2BK4/1R1N3P/5R2 w - -,f1b1
r1br2k1/pp2bp2/1q2p1p1/nN1pP1Pp/1P1P4/4PN2/P3BQ1P/R4RK1 b - b3,e7b4
7r/pk6/1p1b3r/2p2p2/1PPpp3/P2P1pP1/5P1N/1R4KR w - -,b4b5
rn1qk2r/pp2nppp/2pb4/3p3b/2PP4/1P1B1N1P/P4PP1/RNBQ1RK1 b kq c3,b8d7
r6k/pppbq2p/3p1r2/3P1P2/1PPQn2N/4P2P/1K2B3/1R4R1 b - -,a8e8
2r1r1k1/5ppp/1Bb5/p1Pp4/4n3/RP3B2/5PPP/3R2K1 w - -,a3a5
1r3k2/R1qnpp2/3p1b2/1prP2p1/8/1B2Q1B1/1PP2PP1/R5K1 b - -,c7c8
1n1k4/5ppp/ppbP4/3p4/8/1BR2P1P/P4KP1/8 w - -,c3e3
3r2k1/2qr1pp1/p1nppb1p/2p5/N1P4P/1P1NP1P1/P2R1PQ1/3R2K1 w - -,g1f1
B4rk1/p4p2/1p1bp1pp/n7/3R4/4B3/5PPP/5RK1 b - -,d6e5
1r2n3/3k3p/Rpp3p1/3p1p2/1B1P4/3P1PP1/P6P/5K2 w - -,a6a7
1r3rk1/ppNb1Npp/5b2/4n2q/5P2/1B1Q2PP/P3P3/5RK1 w - -,f7e5
3r1k1r/p2q4/2p2pQ1/4p1p1/6N1/2P1b1PP/PPB3K1/R7 w - -,g6f6
1rb1r1k1/2q2ppp/pp1b1n2/2ppN3/P4PP1/1P1P3P/1BPQN1n1/R4RK1 w - -,g1g2
1kr4r/1n2q2p/4pNpP/B3P1P1/2b2P2/2Pp4/P4QB1/1R4K1 b - -,c4a6
4r1k1/pp1qnp2/2p1rB1p/4PQp1/3P2P1/5NP1/PP4K1/2R2R2 w - -,f6e7
5k2/6p1/4p3/pp2P3/3P1n2/2p2q2/PPQ5/K5R1 w - -,c2c3
2r5/r2kb3/1R2p1p1/3pB1P1/2P2P2/1PK5/8/7R w - -,h1h7
8/3N4/4K3/Pn3p2/1k3P2/2p5/8/8 b - -,c3c2
4k3/5p2/4p1p1/3nP1Bp/3K3P/8/8/8 w - -,d4e4
6kr/p1p2p2/1p1p1P1p/n3pPPQ/2q4P/2P5/P1R5/5RK1 w - -,g5g6
5r2/p5p1/2pk3p/2Nb1p2/1P1P4/P2K4/5RPP/8 w - -,h2h4
7R/4kp2/6p1/1p2Pp2/7P/P5P1/1r3PK1/8 b - -,b2e2
3N4/8/2p5/R1k4p/2Pn4/1P6/2n5/6K1 b - -,c5b4
r5k1/p4qp1/1p1p1r2/n1pPpPQp/2P1P1pP/2P1N1P1/P4K2/5R1R b - -,g8f8
rr4k1/2p2ppp/4p1b1/p3P3/3P1N2/1PR2PP1/1P3K1P/7R w - a6,h1a1
8/p2R4/2p4p/4N3/2k5/5P1P/r5P1/6K1 b - -,c4b5
rr4k1/p1np2pp/b2p4/P2P4/4NP2/4p1P1/1P2P1BP/2R2RK1 b - -,c7e8
8/2p3p1/r4k1p/P1p5/2r2PP1/R2B2K1/6P1/8 b - -,a6a5
r2qkbnr/pp1n1ppp/2p1p3/7b/4N3/3P1N1P/PPPB1PP1/R2QKB1R w KQkq -,g2g4
r2q1b1k/5rpp/pn2bp2/npp1pN2/4P2P/2P2Q2/PPB2PP1/R1B1RNK1 w - -,h4h5
rnbqk2r/ppppbppp/5n2/8/2B1Pp2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,f6e4
r1b2rk1/pp4pp/1np5/q4p2/3Pp2B/P1b1P3/1PQ1BPPP/R4RK1 w - -,b2c3
r1q1r1k1/1p1nppb1/5np1/3P3p/p1PB4/5NP1/P1Q2PBP/1R2R1K1 w - -,f3d2
2r1k2r/pp1bbppp/1qn1p3/3pPn2/1P1P4/P4N2/1B2BPPP/RN1Q1R1K b k -,e8g8
3r1rk1/p5pp/B1p1p3/2P1np2/1P5q/1QP1P3/P5PP/R3K2R w KQ -,g2g3
8/p2q4/8/4R3/1P2K2k/8/8/8 w - -,b4b5
r1bqk2r/4npbp/1pn1p1p1/p1pp4/4P3/N1PP1NP1/PP2QPBP/R1B2RK1 w kq a6,a3b5
r2qr1k1/1n3pbp/1pR1p1p1/1Q1p4/1N1P4/1P2P3/1B3PPP/2R3K1 b - -,b7a5
r1nqk2r/1p2bp1p/2p1pnp1/p2p4/2PP2P1/PPN1PQ1P/3BBP2/R3K2R w KQkq -,f3g2
r1nn4/1p2q1kp/p3bpp1/2P1p3/1P2N3/P4N2/BQ3PPP/4R1K1 b - -,c8a7
2n1k2r/pr1b1p1p/4p1p1/Rp1pP3/1P3N2/2PB2P1/1P2KPP1/R7 b k -,f7f6
8/8/3rk3/1R3p2/2n5/5BK1/8/8 w - -,g3f2
1rbr1qk1/1p1n1pp1/4p2p/8/1PP1N3/1Q4P1/5PBP/3RR1K1 b - -,d7e5
r3r1k1/1bq3pp/8/2nP1P2/2PBp1Q1/pp2P3/6PP/RB3R1K b - -,b3b2
8/1KNk1p2/3p1b2/3PpPp1/2P1P1Pp/7P/8/8 b - -,f6d8
3r4/1p3pk1/p7/5r1p/2P5/1P1N2P1/P6P/2K1R3 w - -,d3f4
r3r2k/2p3q1/p2p4/1p1PbB1P/n6B/2P5/PPQ5/1K1R2R1 b - -,g7h6
r1b1qrk1/1pp2pb1/p2p1np1/2nPp1Bp/P1P1P1P1/2N2P1P/1P1Q4/R3KBNR w KQ -,d2c2
rnbqkb1r/p4ppp/2p1pn2/1p4B1/2pP4/5NP1/PP2PPBP/RN1QK2R w KQkq b6,e1g1
r2qrbk1/1bp2p1p/pp1n2p1/3p4/1P1P4/PQN1PNP1/3R1P1P/2R2BK1 b - -,d6c4
8/3B4/7p/7P/3n1kp1/8/6K1/8 w - -,d7e8
5rk1/1pq4p/2p1b1p1/p3pp2/PbP1P3/1PN3PP/2Q2PB1/3R2K1 b - -,b4c5
6R1/kp3B2/p4r2/8/5n2/5P2/5K2/8 w - -,g8g7
3rr1k1/3q1pbp/1p1pPnp1/8/2P5/1PN3P1/1B3PKP/R2QR3 b - -,e8e6
r2qkbnr/ppp2ppp/2n1p3/3p4/2PP1B2/2N2P2/PP2PP1P/R2QKB1R b KQkq -,d5c4
4r3/2n5/prp2k2/3p2p1/3P1pP1/1P1R1B1P/5K2/R7 w - -,a1h1
2b5/1p4k1/3R4/1P1B1p2/2P2Prp/3P4/4R2K/r7 w - -,e2e7
r1bq1rk1/1p1n1pp1/p1pbpn1p/3p4/2PPP3/1PNB1N2/P1QB1PPP/R4RK1 b - -,d5c4
1qr1k2r/1b1nbppp/pp1ppn2/8/2PNPP2/2N1B1P1/PP4BP/2RQR1K1 w k -,d1e2
1r3r2/ppqb2k1/4B1p1/2pQn3/4P3/2P3N1/P5PP/1R3RK1 b - -,d7e6
1r1r2k1/1qn3bp/3p1pp1/2pn4/2Q1R3/2N2NPP/PP3P2/2B1R1K1 b - -,g8h8
5nk1/1p3pp1/r1pRp2p/4P2P/p1P2P2/P5PB/1P3K2/8 w - -,c4c5
r6k/1p1r4/4q2b/p3p1p1/P3Q3/1P2BP2/1R5P/5RK1 w - -,b2g2
4r3/2R2pkp/p2p2p1/3Pp3/4P3/5NP1/5r1P/7K w - -,f3g5
7k/1p4p1/7p/p6r/3p2qP/1Q3PB1/PPP1r1RK/8 b - -,h5h4
3rr3/6k1/1pp2p2/p2p1B2/P4P2/1P3n2/2P4P/3RR2K w - -,e1f1
r1bqk1nr/pp1pppbp/2n3p1/6B1/3pP3/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1c4
2r5/8/1p1p2kR/p2P2P1/P5K1/1bN5/8/8 b - -,g6g7
1rbqkbnr/1ppn1ppp/p3p3/8/8/1Q4P1/PP1PPPBP/RNB1K1NR w KQk -,g1f3
4rr1k/pppqn1bp/2npb1p1/3Npp2/2P1P3/3PBPP1/PP1QN1BP/R4RK1 w - -,a1b1
3rr1k1/1q1n2pp/p4p2/Pb1pp3/1N1P4/B1P1R1Q1/1P3PPP/R5K1 w - -,a1e1
r2q1rk1/pb3ppp/2p2nn1/4P3/5P2/2P5/P1Q1B1PP/R1B2R1K w - -,a1b1
4r1k1/1prb1pbp/1q1p2p1/2nPp3/p3P3/2N2N1P/PP1Q1PP1/1R2RBK1 w - -,b2b4
8/p4pk1/1b1r3p/4RPn1/5q2/2P5/PP2Q1P1/4K3 w - -,e5e8
r4rk1/ppqb1ppp/4p3/2b1n3/4P3/P1N3P1/1P3PBP/R1BQ1RK1 w - -,c1f4
2r3k1/5pp1/b6p/N7/4Pn2/5P1P/B2R2P1/6K1 w - -,a2d5
r4rk1/p4ppp/b1p1p3/q1n5/8/P1P3P1/2QNPPBP/R4RK1 w - -,d2f3
5k2/2R3pp/p3r3/2p5/2P5/1P6/P5PP/6K1 b - -,e6e2
r2qk2r/pp4bp/2n1bnp1/3p4/5P2/2N1B1PP/PP2N1B1/R2QK2R w KQkq -,e2d4
r1b2rk1/pp1nbppp/1q1p1n2/2pP4/2P5/3B1P2/PP2N1PP/RNBQK2R w KQ -,f3f4
2r2rk1/p4ppp/1q3n2/1Nbb2N1/3p1BP1/P2P3P/1P1Q1P2/1K1RR3 w - -,a3a4
3r2k1/5pp1/4pn2/2Rq4/1p5p/1N2QPP1/1P2PK1P/8 b - -,d5d1:d5d6
r1b1r1k1/pp3qp1/3b3p/3NPp2/1P6/P4N1P/2Q3P1/2R1R1K1 b - -,d6e5
8/7R/P5p1/8/3N2P1/2PknP2/1P4r1/1K6 b - -,e3c4
rr6/4k1pp/1p2pp2/2pP4/p1P1P3/2P5/4KPPP/1R1R4 w - -,e2d3
8/2p5/1p6/1P1p1k2/2nP2p1/3Kp1B1/8/8 b - -,c4d6
4R3/6kp/2B2bp1/2R5/2p3r1/8/1r6/5K2 w - -,e8e4
1rb2rk1/pp3ppp/4pb2/7q/4BB2/6P1/PPQ1PP1P/R4RK1 b - -,e6e5
rn2k2r/pp4pp/1b3p2/5b2/1P1N4/2B1P3/P4PPP/R3KB1R b KQkq -,b6d4
r4rk1/pp3ppp/4pn2/n5B1/3P2b1/P1P2N2/4BPPP/R4RK1 w - -,h2h3
r1rn4/1p1kb2p/1p2pp2/1P1p1p2/3P2P1/1P1NP2P/4KP2/R1R1B3 b - -,f5g4
rnb1k2r/ppq2ppp/4p3/3pPn2/3P2Q1/P4N2/R1P2PPP/2B1KB1R b Kkq -,b8c6
r3brk1/2p1q2p/1p1p4/p2Ppp1n/1PP5/P5P1/3NQPBP/R4RK1 w - -,d2f3
2rr2k1/p2b1p1p/1p4p1/4b3/8/q3PN2/P2QBPPP/1R3RK1 w - -,f3e5
3r1rk1/pb3pp1/1p4qp/2p5/3P4/P1P2PP1/3Q1BP1/1R3RK1 b - -,c5d4
r4rk1/pbq1bppp/1pn1pn2/2pp4/P3P3/2PP1N1P/1PQNBPP1/R1B1R1K1 w - -,e2f1
8/1prk1p2/p3p2p/2P4r/P1PP1pRP/3K4/5P2/2R5 w - -,g4f4
1r3bk1/1b3ppp/p2pp3/p1r3P1/P3PP2/5B2/1PP1N2P/3R1R1K w - -,d1d2
8/7p/3k2p1/3p4/1K1P1P1P/5PP1/8/3B1b2 b - -,f1h3
r2qr1k1/1p1n1pp1/p1p1nbp1/2Pp4/1P1P4/2B2P2/P3NRPP/1BRQ2K1 b - -,d8b8
r1b2rk1/ppqpnppp/4pn2/8/2P2Q2/P4NP1/1P2PPBP/R1B1K2R b KQ -,d7d6
r1b2rk1/4ppb1/pqnp1npp/1ppP4/4P3/2PBNP2/PP1BN1PP/R2QK2R b KQ -,c6e5
r7/P3p2p/2p1kpp1/R3P3/2K2P2/4B1P1/7P/3r4 b - -,d1d5
1r6/b5k1/p2p1p2/4p3/1rP5/2BPP1P1/5PKP/1R6 w - -,b1b4
rn1qk2r/ppp1nppp/8/3p1b2/1b1P4/2NB4/PPP1NPPP/R1BQK2R w KQkq -,d3f5
r7/3k1p2/3p1npB/1N1Pp3/1P1b4/3P1P2/4K1PP/2R5 b - -,a8a2
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP1B2/4PN2/PP3PPP/RN1QKB1R w KQ -,h2h3:b1c3
r7/p1Bnbk2/1p2p2p/1P1pPp2/3P1P1p/3N4/RP4PK/8 b - -,f7e8
6k1/5pP1/8/6B1/3p2QK/6RP/8/4q2r b - -,h1g1
r2r2k1/p4p1p/1p2pp2/8/8/2N5/PPN2P1P/5RK1 b - -,a8c8
3rr1k1/1q3pb1/pBp1n1p1/P3p1n1/1PB1P3/1N3PPp/5Q1P/3RR2K b - -,d8d1
