8/8/8/4p1k1/4P3/8/3K3R/5r2 w - -,d2e3
5rk1/p1p3pp/1p2p3/n5q1/2PPP2n/P1P5/4K1PP/R2Q1BR1 b - -,a5c4
r1b1k2r/pp2b1pp/2p1pn1q/3p4/2PPp3/1P2P1PP/PBQNBP2/2KR3R w kq -,h3h4
5r2/4k3/1p2P2p/1n6/2pBK3/p1P5/7P/4R3 b - -,e7e6
1rbqnrk1/pp2p1bp/3p2p1/2p2p2/3nPP2/2NPBNPP/PPPQ2B1/R4RK1 w - f6,a1e1
r4rk1/1qnnbppp/3p4/4pPP1/1pB1P3/1N1QB3/1P5P/1K1R3R b - -,g8h8
2r3k1/4rpp1/1q2b3/1p1pp3/P7/1P2PBP1/3Q1P2/R4RK1 b - a3,b5a4
8/8/6k1/1R3pp1/8/4PK2/3r4/8 w - -,b5b8
3r2k1/pq3ppp/4pb2/8/3P1n2/5N1P/PB1Q1PP1/2R3K1 b - -,f4h3
r3kr2/p3p2p/2b3pb/3pB2n/1n1P2B1/2N2N2/PPP1PP2/R2K3R b q -,f8g8
rq3rk1/p3ppbp/1pn2np1/2p5/2Q1P3/N1P2N1P/PP3PP1/2BR1RK1 b - -,f8c8
r1b2rk1/ppp1qnb1/3ppnpp/1P3p2/2BP3P/1QP1PN2/P2N1PPB/R3K2R b KQ -,f6g4
r3r1k1/6bp/4bpp1/4p3/1B1pPP2/PPp3P1/6BP/1R3RK1 b - f3,e8c8
8/4K1k1/P3P3/7p/r7/5R2/8/8 w - -,f3g3
r5r1/P1p4p/R1N5/2p3b1/4k3/4N1P1/4K2P/8 w - -,a6a4
r2qk2r/p2pppnp/1p3np1/2pP4/2P3P1/2N2P2/PP3P1P/R2QKB1R b KQkq -,e8f8
8/6p1/7p/3p1P2/3P2P1/k7/P1K5/8 b - -,a3a2
rn1qkbnr/pbpp1p1p/1p2p1p1/8/4P3/6P1/PPPPQPBP/RNB1K1NR w KQkq -,g1f3
2k2r2/1p5p/p3p1B1/2p1P1q1/6p1/2P1N1P1/PP5P/1R2R1K1 b - -,g5g6
3r2k1/1bq2p1p/p2b2pB/np1Bp3/4P3/2P2N1P/P3QPP1/3R2K1 b - -,b7d5
2r5/5pk1/1RN1p1pp/3n4/1P3P1P/3b2P1/6B1/6K1 w - -,g2d5
6kb/3nnp1p/p2p2pP/1q1Pp1P1/Np2P3/1P3Q1B/P4P2/2B3K1 b - -,d7c5
2b5/5k2/P5Q1/3p4/3P4/5NK1/8/8 b - -,f7g6
1r2r3/1q2pk2/p1b1n1pQ/P1pB1p2/2N5/2N4R/1P4PP/4R1K1 b - -,c6d5
r3rbk1/ppR4p/4bqp1/8/1P1pp3/3P2PP/PQ2PPBN/1R4K1 b - -,e4d3
r4q2/4p1kp/p2ppnp1/1pp5/4PP2/P2P3P/1PP1RPK1/1RQ5 b - -,f6h5
2k2r2/pp1b1p2/2n4p/3pPp2/q1pP4/P1P5/2PB1P2/R2QKB2 w Q -,f1g2
8/5pk1/1p3n2/p1p2Ppp/P1Pq4/1P2p2P/2B1Q3/6K1 w - -,g1g2
r4rk1/ppqn2pp/2p1p1b1/2PpPp2/3B1P2/6P1/PPQ1P1BP/R4RK1 w - -,g2f3
r1bqkbnr/pp2pppp/2n5/2p5/3pP3/3P1N2/PPP1NPPP/R1BQKB1R b KQkq -,c8g4
5rk1/1R5p/1p4p1/5p2/2P5/2b3P1/P2R1P1P/6K1 w - -,d2d7
6k1/p3n1p1/P1N1q2p/1P3p1P/4rP2/8/4RQP1/6K1 w - -,e2e4
r3rnk1/1pqb1pbp/2pp2p1/p1n5/2P1PP2/1PN3PP/P1Q1NBB1/3RR1K1 b - -,a8d8
rr4k1/5pp1/1p1qnn1p/2ppN3/P2P4/1QN1P2P/5PP1/1RR3K1 w - -,c3b5
b1R2qk1/5ppp/4p3/3n4/8/3B1N1P/P4PP1/6K1 w - -,d3h7
2r1rbk1/1bqn1ppp/ppnpp3/6P1/P3PP2/1PN1B3/2PRNQBP/5R1K b - -,c6b4
1r2k3/1p1Rpb2/p1n4p/2P3p1/1P4P1/2P2P2/5KP1/4R3 w - -,d7d2
7k/p4qb1/1p2p2p/1P1p2p1/P2P2P1/3QKP1P/4N3/8 w - -,f3f4
3R3r/2k1b1p1/n1p2p2/p1n1p3/4P2p/1P2BP1P/PKB1N1P1/3R4 b - -,e7d8
6k1/5qp1/p1p2BNp/3p1B2/1rn2Q2/6PP/4rP2/3R2K1 w - -,f6c3
5k2/3Qn3/1p3r1p/3p2pP/3Pp1P1/P3P3/6K1/8 w - -,d7d8
2kr3r/1ppq1pp1/p3bb2/3p3p/3P2P1/3BBP1P/PPPQ4/1K1R3R b - -,g7g6
r3k2r/3bbpp1/1qn1p2p/p1ppP3/7P/2PB1N2/PP2QPP1/R1B1R1K1 w kq a6,h4h5
2rq1rk1/pp2ppbp/1n4p1/3n4/3P4/1QP2N2/PB1N1PPP/R3R1K1 w - -,a1c1
1rbq1rk1/5ppp/p1np4/3Np1b1/1pP1P3/6P1/PPN2PBP/R2QK2R w KQ -,e1g1:b2b3
r1q1k2r/1p2bppp/p1n1pn2/3pN2b/3P1B2/1QPB4/PP1N1PPP/R3R1K1 w kq -,e5c6
1r3rk1/2q1npbp/1p4p1/p1p1p3/1PNn4/P2P2P1/4PPBP/R1BQ1RK1 b - b3,a5b4
8/4k3/p2BP2p/3K3P/P1p5/4b3/8/8 b - -,e7f6
4R2k/1p4p1/2p3p1/p1b5/P2p4/7P/1P3PP1/6K1 b - -,h8h7
rnbq1rk1/pp2ppbp/6p1/2p5/3P4/2PBPN2/P4PPP/R1BQK2R w KQ c6,e1g1
3r2k1/1R4p1/2nB1pq1/pQPbp3/3p3p/P2P1PP1/4P1BP/6K1 w - -,f3f4
5r1r/2q3k1/2bp1pP1/2p1p2P/P1P5/8/P3RQB1/5RK1 w - -,g2c6
r1bqnrk1/pp1nbppp/3p4/2pPp1P1/4P3/2N1BP2/PPPQ3P/R3KBNR b KQ -,e8c7
1Nb3k1/pp2q2p/5bp1/2p2p2/2P5/3RP1PP/P4PB1/3R2K1 w - -,b8d7
r2qr1k1/pb3p1p/1p3np1/3p1N2/3Q4/1P2P1P1/P4PBP/R2R2K1 w - -,f5h6
2rq1rk1/p3npp1/1p1bpn1p/2pp4/P2P4/2P1P1PN/1PQ2PNP/R1B2RK1 b - -,e7c6
r1r3k1/2p4p/p1Np1b2/PP1Ppp2/2N5/3n4/5PPP/RR4K1 b - -,a6b5
8/3B4/1p5p/6kP/6P1/7K/P3r1P1/8 w - -,a2a4
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P4/4PN2/PPPNBPPP/R1BQ1RK1 w - -,c2c3
r4rk1/ppp2ppp/2n1b3/3n4/3PNq2/5N2/PP1QBPPP/R4RK1 w - -,d2f4
5r2/1kn5/1p3p2/p2p4/2pP3r/P1P2P2/5R1P/2B1R1K1 b - -,b6b5
1r6/3k2r1/2nbp2R/3p1p2/1ppP1Pp1/2P1P1P1/1P1NK1P1/7R w - -,h1a1
2r4r/1p1bk1pp/p2pp3/3p4/2nPP3/P1P2B2/1P1N2PP/R4RK1 w - -,d2c4
4r2k/1p5p/pNp1bnp1/2Pp4/8/5PPP/PP3KB1/4R3 b - -,h8g7
r2qkb1r/pp1n1pp1/2p1pnp1/8/2pP4/2N1P1P1/PP2QPBP/R1B1K2R b KQkq -,e6e5
8/3r2p1/6R1/6Pp/5K2/3k4/8/8 w - -,g6e6
1r1qk1r1/3bnpbp/8/1B1ppP2/P7/2P1NQ2/1P3PPP/R4RK1 b - -,d7b5
8/1pk4p/5rp1/2n1p3/4P1PP/P3RPK1/8/8 w - e6,e3c3
r2r2k1/pp1nQpbp/6p1/1P3qN1/5P2/2N5/P4PPP/2RR2K1 b - -,g7f8
k5r1/pp4R1/2p2p2/5Q1P/2P5/P7/KP3P2/3q4 b - -,g8d8
r1bqkb1r/1p1n1ppp/p7/1NpQP3/2B5/4PP2/PPP3PP/R3K1NR b KQkq -,d8h4
2rr2k1/pq2bpp1/1p2pnnp/2p4Q/2P1PP2/2NP2PN/PB5P/2RR2K1 w - -,h5e2
6k1/5pp1/1q5p/p2p4/3N1P2/2P3Pb/4R2P/2R4K w - -,h1g1
b6r/3pk1pp/4pp2/1B1n4/8/8/PP4PP/2KRR3 w - -,a2a4
8/7P/3k2B1/p7/3K3R/8/8/4q3 w - -,h7h8q
8/6bk/2P1P3/3K1np1/7p/3P4/3r4/7R b - -,h7g6
r7/4kp2/4p3/2p5/1p5R/1P1P4/1PP2P1K/8 b - -,a8a2
r1r3k1/4npp1/1R2p2p/2P1Pq2/8/6P1/4QBKP/4R3 w - -,b6b7
1r1r4/1p3pkp/p5p1/8/2Pp2bP/1P1R2P1/4PPB1/R4K2 b - -,b7b5
rn1q1rk1/pp2bpp1/2p1pnp1/3p4/2PP4/2N1PPP1/PP2B2P/R1BQK2R w KQ -,e1g1
3b2k1/5pp1/p1qp3p/2r1p3/Pp2P3/1P1R2P1/2P1QP1P/4N1K1 w - -,d3d2
8/5R1p/6p1/6P1/4k2P/4q2K/8/8 w - -,h3g2
r4rk1/pp1nqppp/2pbpn2/3p4/2PP4/1P3BP1/PB1NPP1P/R2Q1RK1 w - -,a2a3
4k3/4P3/3P4/1p2r3/1p6/3B2p1/P5K1/8 w - -,d3g6
r5k1/1p4np/p2R1r2/5p2/8/1P6/PP3PPP/3R2K1 b - -,f6d6
6R1/8/p1r3p1/1p3k1p/1P3P1P/4K3/5P2/8 w - -,e3f3
r2r4/pp3pk1/2n1bqp1/2p1p2p/2NpPn2/P1PP3P/1P3PPN/R1QR1BK1 w - -,b2b4
8/8/3k1Bp1/4pp2/8/4K3/8/8 b - -,d6e6
r1b1kb1r/1p1n1pp1/pq2p2p/3pP3/Q7/P2B1N2/1P3PPP/R1B2RK1 w kq -,a4g4
rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,d1c2:f1g2:b2b3
r4rk1/pp3ppp/2n1b3/2bp4/5B2/3BPN2/PP3PPP/2R2RK1 b - -,c5b6
6k1/4bpp1/1p5p/3r4/1P1p3P/6P1/3N1PK1/3R4 w - -,d1b1
1Rb2r1k/6pp/8/8/3P4/4P2P/2Q3BK/4q3 b - -,e1e3
r1bqk1nr/pp3ppp/2n5/1Bbp4/8/1N6/PPP1NPPP/R1BQK2R b KQkq -,c5b6
4b3/1p2B3/p2P4/7p/1Pk3pK/8/1P6/8 w - -,h4g3
8/8/1r2pp1p/5k2/7P/4PKP1/3R1P2/8 w - -,g3g4
3b2k1/3n3p/3p2p1/2nPp3/1RN1P3/6P1/P4K1P/2B5 b - -,c5d3
2r2r2/pp1b1pkp/3ppqp1/8/3NP3/1BPQ1P2/Pn4PP/R3K2R w KQ -,d3e2
b2r3r/5kb1/p1ppN1pp/q4n2/4PQ1P/1B4B1/1nP2PP1/1K1RR3 w - -,e6d8
k7/1n1r3p/p2qN1p1/5P2/P7/4Q1P1/5PK1/1R6 w - -,f5g6
r3r1k1/p1bb1p1p/3q2p1/1p1p4/2pN1P2/2P1PB1P/PP1Q2P1/3R1RK1 b - -,a8d8
1r2k1nr/p4p2/1q2p1p1/2bpP2p/2p2R1P/P1N2QP1/1PPB1P2/1K5R w k -,b2b4
r1bq1rk1/1ppp1ppp/n1n5/p1b5/2P1PP2/2N1BN2/PP1Q2PP/R3KB1R w KQ -,e1c1
r4rk1/p5b1/bp4p1/n2pNp2/3PpB2/2P5/PP2NPP1/2KR3R w - -,e2g1
r2q1rk1/pppbbppp/3p1n2/3Pp3/2P1P3/2NQ1N1P/PP1B1PP1/R4RK1 b - -,f6h5
2r5/p3p1k1/1p1p4/4p3/P1P1PrpR/1P1R1P2/1K4P1/8 b - -,g4f3
5rk1/1p4q1/3p1b2/3PpQP1/4Pn1p/r7/P6N/R3BBRK b - -,f6d8
1r1q3k/pp4b1/3pb3/1P1Nprn1/P3P1pp/B1NP1pP1/2R2P1P/1R1Q1K2 b - -,f5f7
r1b1k2r/pp2qppp/1npb1n2/4p1B1/7N/2N3P1/PPQ1PPBP/R4RK1 w kq -,f1d1
1r2r1k1/p2bppb1/3p2p1/7q/2pNP2P/2P1BP2/PP1Q4/1K4RR b - -,g7f6
3k4/p4q2/3p3b/1p1Pp2P/2p1P1Q1/2P2P2/PP3K2/8 b - -,a7a6
2r3k1/3b3p/1p1b4/n2p1pp1/3Pp3/1P2P1P1/R2B1PKP/N4B2 b - -,g8f7
r1bq1rk1/pp3ppp/2nbpn2/2pp4/2PP4/1P2PN2/PB1N1PPP/R2QKB1R w KQ -,a1c1
r1bq1rk1/1p2b3/p1p3p1/3pNp1n/3P1Bn1/2NBP3/PPQ2P2/2K3RR b - -,h5f4
2R5/8/r7/6k1/7p/8/1PP1K3/8 w - -,e2f3
r1bqr1k1/pp2bppp/2np1n2/2p1p3/4P3/N1P2N2/PP1P1PPP/R1BQRBK1 w - -,d2d3
8/2p2kp1/7p/np1r4/p1p1R2P/P1P5/1P1NKPP1/8 b - -,a5b7
1r1r2k1/2q2pbp/p3p1p1/1p4P1/P1Pp1P2/1P5P/2PQP1B1/3R1RK1 w - b6,c4b5
r2q1rk1/ppp1ppbp/2np1np1/3P2B1/4P3/2N2B2/PPP2PPP/R2Q1RK1 b - -,c6e5
3rr1k1/pp2qppp/2pb1nn1/5Q2/8/2N1P2P/PP1BBPP1/3R1RK1 b - -,g6h4
1rr3k1/p4ppp/8/1p1nN3/1PBP4/4P3/4KPPP/2R4R b - -,b5c4
2r2bk1/3Q1p1p/3p2p1/8/4PP2/2r3P1/6KP/8 w - -,e4e5
rn1q1rk1/pp3pbp/2p1p1p1/3nBb2/2BP4/2N1PN1P/PP3PP1/R2Q1RK1 b - -,d5c3
2Q5/8/8/6p1/1K2k3/8/8/1q6 w - -,b4a4
5rk1/b4pp1/P1B2n2/3Pq3/1p2p3/7P/P3R3/5Q1K w - -,f1e1
4K3/1r6/2k5/8/8/1Q6/8/8 w - -,b3e6
8/pp2rk2/5n2/3p2B1/1P1b4/PB6/8/3K2R1 w - -,g1f1
r3rbk1/1bqn1pp1/pppp1n1p/4p3/P2PP1P1/1PN4P/1BPQNPB1/R3R1K1 w - -,e2g3
4Qrk1/pb5p/2pq1pp1/3p4/8/1B6/PPP2PPP/2KRR3 b - -,f8e8
r4rk1/p2n1pb1/3p1npp/PP1Pp3/2q5/2NN2P1/1P3PKP/R1BQR3 b - -,e5e4
7r/8/4R3/8/4b3/4k3/8/4K3 b - -,h8c8
rnb1kbnr/ppp1qppp/8/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq -,c1g5
8/5pkp/pp2pnp1/8/5P2/1P4P1/P1N1P2P/6K1 b - -,f6e4
r3k2r/1p1b1p2/p1npp3/5P1p/4PRp1/1N1B4/PPP3PP/R5K1 b kq -,a8c8
r4rk1/5ppp/3p4/3R4/1p6/P1b5/B1P2PPP/3R2K1 b - -,c3e5
8/6Np/p1n5/1p6/5k1P/PP1K4/8/8 b - -,f4g4
6k1/1bp1rn2/1p1p4/3P2p1/rP2N3/6P1/3R2BP/2R3K1 w - -,d2b2
2rq1rk1/pp1nbpp1/6p1/4p3/2nPP1B1/2N3P1/PP3B1P/R2Q1RK1 w - -,d1e2
5qk1/ppp4p/3p2p1/3P4/8/4QP2/PPP2P1K/8 b - -,f8f5
1r1q1rk1/3bbppp/3p1n2/nppBp3/4P3/1PN2N1P/1BPPQPP1/R3R1K1 w - -,f3h2
2bq1rk1/1pp4p/3p1npb/2nPpp2/1PP1P3/2N2P2/3NB1PP/B2Q1RK1 b - -,c5a6
rnbqk1nr/ppp1ppbp/6p1/8/3P1B2/2N5/PPPQ1PPP/R3KBNR b KQkq -,c7c6
6k1/p3p1b1/r2pPq1p/2pP4/P5p1/2p3P1/2B1R1P1/2Q1KR2 b - -,f6d4
r4rk1/pp4bp/2ppqnp1/2n2p2/2P5/BPN3P1/P3PPBP/R2Q1RK1 w - -,d1c2
1rbq2k1/5rpp/p2p4/n2Pp3/Pp3pP1/3B1P2/1PPB1Q1P/4RR1K b - -,c8b7
3r4/p3kpp1/B2bpn1p/8/1p6/4P1P1/PP3P1P/2R1BK2 w - -,f1e2
2r2rk1/1p1nbpp1/1pn1p1bp/1N1p4/8/PN1PB1P1/1P2PPBP/2R1K2R w K -,e1d2
5k2/2R3p1/7p/7P/r5P1/5K2/5P2/8 b - -,a4b4
rn1q1rk1/p3bppp/1pp2nb1/8/5B2/1QP2BNN/PP3PPP/3RR1K1 b - -,f6d7
r1bq1rk1/pp1n1ppp/2nbp3/2pp4/4P3/3P1NP1/PPP2PBP/R1BQRNK1 b - -,d5d4
r1r3k1/1bq1bppp/pn2pn2/3P4/3N1P2/1BNQB3/1PP3PP/4RRK1 b - -,b6d5
r1b2rk1/1pp3pp/2np2q1/p1b2p2/2P2P2/P3PN2/1PQ2PBP/RN3R1K w - a6,f1g1
8/k2r4/p1Q5/5N2/1p4PP/1P1q4/P1npp3/3R2K1 w - -,c6c5
2r2rk1/pbqn1ppp/1p1bpn2/3p4/2PP4/1P1B1N2/PBQN1PPP/R4RK1 w - -,f1e1
7R/8/8/4p1k1/4P3/4K1r1/8/8 w - -,e3f2
7r/5pk1/3P1p2/1q3P2/1p5p/7P/2PQ2PK/5R2 w - -,f1f4
r1r3k1/1p1bqpp1/p1n1p2p/b1p5/2P1N3/PP2P3/1BQ1BPPP/R2R2K1 b - -,c8d8
8/4kp2/5p2/6b1/4KPPp/1B5P/3p4/8 b - f3,g5h6
8/6pp/1p1k1p2/1pp2P2/3p1PP1/P2P4/1P1K3P/8 w - -,b2b3
2B2k2/5p2/p4np1/2p1r2p/3q2P1/3P2Q1/P4P1P/5RK1 w - -,c8a6
r4rk1/pp1n1pp1/3b1q1p/3Pp3/2P1B1b1/P4NPP/1B3PK1/2RQ3R b - -,g4h5
2rq1rk1/2ppb1pp/1pn1p3/p7/2PPQ3/P4NB1/1P3PPP/R3K2R b KQ -,e7f6
2r2rk1/2qnbpp1/p2p4/3Pp2p/1p3P2/1N1QB1P1/PPP4P/1K1RR3 w - -,f4f5
8/1r2rkpp/5p2/PbRp4/3P4/PR3P2/3N1KPP/8 b - -,e7e2
6k1/2r1q1p1/2p1p2p/4bp2/N1Q5/P3P1P1/1P3P1P/3R2K1 b - -,c6c5
N2q1rk1/pp3ppp/8/2bn1b1n/8/2P1pPB1/4N1PP/R2QKB1R w KQ -,a8c7
rnbq1rk1/ppnpppbp/6p1/4P3/2B1Q3/2P2N2/PP3PPP/RNB1K2R w KQ -,e1g1
r4rk1/2pbq3/1p4pp/p1pPp3/2P1P3/1PQ2BP1/P6P/4RRK1 w - -,c3e3
3r1rk1/p3p1bp/1n1Pp1p1/1p6/2q2PPP/2N1B3/PPPQ4/1K1R3R w - -,e3b6
4b3/pp4k1/5qp1/2pP1p1p/2B5/3Q3P/PP4P1/5NK1 w - -,b2b3
8/8/p3K3/1p6/5r2/P1B2k2/1P6/8 w - -,e6d5
8/8/1kpp4/3r3P/6Q1/8/P2qBKP1/8 w - -,g4f3
5rk1/1bqrbp1p/p2ppnp1/Pp6/2P1P3/3BB3/1P1NQPPP/R4RK1 b - c3,b5b4
r1bqkb1r/pp1ppppp/2n2n2/2p5/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq d3,c5d4
3rr1k1/p1q3pp/1p2pp2/2p5/PnN2n2/3PNQ1P/1PP2PP1/3RR1K1 b - -,b4c6
7k/1p2q2p/p5p1/2pQp3/2P3B1/1P6/P3K2P/8 b - -,e7g5
2k5/6p1/2P5/p1K2P1R/7p/3r4/8/8 b - -,h4h3
rn1qkb1r/p4ppp/1pp1pnN1/3p4/2PP2P1/1QN1P2P/PP3P2/R1B1KB1R b KQkq -,h7g6
r1b2rk1/pp2qpbp/2pp1np1/2n5/2PNP3/2N1B1PP/PPQ2PB1/R4RK1 b - -,f8e8
4rrk1/1b1qb1pp/p1n1pn2/1ppp4/4PN2/P1PPB1PP/1P2Q1B1/1N1R1RK1 b - -,d5d4
1r1q2k1/3n1ppb/5n1p/1ppP4/5P2/3B3P/6P1/R2QBRK1 b - -,h7d3
2rq1r2/3bp1k1/3p1pp1/p2B3p/3QP2P/5P2/PPP3P1/2KR3R w - -,a2a3
r2qk1nr/2pn1pb1/p2p2p1/1p1Pp1Pp/4P2P/1BQ1BP1N/PPP5/2KR3R b kq -,a6a5
r2q1rk1/pp1nnpp1/2p1p2p/4P3/3P4/2NQ1N2/PP3PPP/3R1RK1 b - -,d8b6
8/3rnk2/pq2bp1p/1p2p1p1/1P2P3/P4NP1/3RBPP1/2Q3K1 w - -,d2d7
r1b3k1/4qpp1/1pp4p/p1n1p3/2P1P3/P1N4P/1P1Q1PP1/1B1R2K1 b - -,c8e6
