8/5p2/1k6/8/PK3r2/2R2P2/8/8 w - -,b4b3
rnb1kbnr/2qp1ppp/p3p3/1p6/3NP3/2NBB3/PPP2PPP/R2QK2R b KQkq -,b8c6
rnbq1rk1/ppp2pbp/3p1np1/4p3/3PPP2/2PB1N2/PP4PP/RNBQK2R w KQ -,d4e5
r3k1r1/p1nb1pbp/4p1p1/6Q1/2q5/2N5/PP2NPPP/R1B2RK1 b q -,d7c6
r4rk1/pb2qppp/1p2pn2/1B1pN3/3P4/4P3/PP3PPP/2RQ1RK1 b - -,a8c8
7r/2R4P/p4p2/5kp1/PK2p3/3bP3/7P/4B3 w - -,c7g7
8/1p6/p1p2k1p/2P3p1/1P1K2P1/P2R1P1P/7r/8 w - -,d4e3
nr1q1rk1/1p1bppbp/p2p2p1/2pP3n/2P1P3/2N2NP1/PP1B1PBP/1R1Q1RK1 w - -,d1c1
r2r2k1/pb1nq1pp/1p1ppn2/2P2p2/2P5/P3PP2/1P2B1PP/1NRQBRK1 b - -,d6c5
5b1k/p3r3/1p2nN1p/5Bp1/7P/2R1P3/PP3PP1/6K1 w - -,f6d5
8/2qnkp2/4p3/2p4Q/1pB4P/6r1/1PP2P2/4R1K1 w - -,f2g3
8/P3k2p/1P1r1r2/2KP4/8/6p1/5pB1/5R2 b - -,d6d8
1rb2rk1/5p1p/1q1p2p1/3Pn3/1ppNP3/1P2QP2/R5PP/3N1RK1 b - -,c8a6
r3r1k1/4npbp/1qbp1np1/1pp1p3/4P1P1/2PPNN1P/1PQB1P2/RR3BK1 w - -,g4g5
4r1k1/p3rpb1/1pq3pp/2pbP3/3p2QP/1P3NP1/P1P1RPB1/4R1K1 b - h3,f7f5
rn2kb1r/qbB2ppp/p3pn2/P7/1p1P4/2N2NP1/1PP2PBP/R2Q1RK1 b kq -,b7f3
8/8/4k2p/1p3p2/1PbKpP1P/4P3/6B1/8 b - h3,c4e2
8/1b3p1k/p4q1B/1pp3R1/4P3/6b1/PPP1K1P1/7Q b - -,f6f2
1r3k2/5p1p/8/4PK2/R7/P4P2/4r3/6R1 b - -,b8b7
3r4/pbn1nk2/1p2ppp1/8/B2P4/P3B3/1P1N1PPP/2R3K1 b - -,c7d5
r3kb1r/3p1p1p/q1np1np1/2p5/4P3/2N2N2/PP2QPPP/R1B1K2R b KQkq -,a6e2
r2q1rk1/pb4bp/1p1PpPp1/2p5/5P2/2P5/P2QB1PP/1RB2RK1 b - -,d8f6
3r2k1/1pq2pp1/p1p1pn1p/2PrN3/3P3Q/1R1R3P/PP3PP1/6K1 w - -,d3g3
8/3k4/p2b4/BppN1b2/2P2P2/PP4Kp/8/8 w - -,a5c3
r2r2k1/p3pp1p/1qp3p1/5b2/8/2N2PP1/PPP1Q2P/2KR3R b - -,b6b4
r1b1k2r/pp1nbppp/2pp1n2/6B1/8/2NP1N2/PPP2PPP/R3KB1R w KQkq -,d3d4
8/7p/b2pk1p1/p1r1pp2/P7/1P2PP1P/1R2NKP1/8 w - -,f3f4
4R3/8/8/8/8/P5K1/k3p1P1/5r2 b - -,e2e1q
r3r1k1/ppp1qnp1/5p2/2PPp1p1/6Q1/1P4P1/PB5P/4RR1K w - -,g4c4
8/1p6/p7/4k1pp/1P3P1P/2P1K3/1P3N2/5b2 b - -,g5f4
1r1qr1k1/1b1n1pb1/pp1ppnpp/8/1PP1PPP1/P1N1B2P/3NBQ2/2R2RK1 b - -,d8e7
r4r2/pp3qk1/2p3p1/8/2P1Rp2/7P/PPQ2PP1/R5K1 w - -,a1e1
5rk1/ppq1bpp1/4pn1p/8/2Pr3B/5N2/PP2QPPP/3R2K1 w - -,d1d4
r1b2rk1/1pq1bppp/p2ppn2/2p5/3nPP2/1PNP1N2/P1P3PP/R1BBQRK1 w - -,c3e2
3rk2r/pQ1bp3/3p1npp/2pPq3/2P3P1/5R1P/P2NP3/1R2KB2 w k -,b7b2
8/ppr3p1/4k2p/4np2/P7/3KP1PP/3N1P2/R7 w - -,d3e2
3rk2r/pb3p1p/1b2pp2/1P6/2R1P3/5N2/1P2BPPP/R5K1 b k -,e8e7
2rnr1k1/1ppq1pbp/p2p2p1/3Np3/2P5/Q2PP1Pb/PP1B1PBP/2R2RK1 w - -,d2c3
r4rk1/p1q1bppp/1n2pn2/2pp4/3P2bN/2N1P1P1/PPQB1PBP/R4RK1 w - -,d4c5
8/P7/r4kP1/4p3/1K6/4B3/5P2/8 w - -,b4b5
4rrk1/ppbq1pp1/2n2n1p/2p2P2/2PpP3/1P1P1N2/PB2Q1NP/R4RK1 w - -,e2f2
2r2rk1/pp2bppp/1qn1pn2/2pp4/3P1B2/2P1PN2/PPQN1PPP/R4RK1 w - -,c2b3
4rrk1/pp1Q3p/1q4p1/4n3/2p2bn1/2B2N2/PP3PPP/R3R1KN w - -,c3e5
8/7R/p3p1p1/4k3/4N2P/4nP1K/6r1/8 b - -,g2c2
8/2p5/1pN5/1n1p2p1/1P1P1k2/2P4P/3K4/8 b - -,f4g3
6k1/6p1/4p2p/pQppP3/5P2/PpP1P2q/1P6/6K1 w - -,b5c5
1r6/r2q2pk/2p2p1p/2P1p3/PPQpP2P/R5P1/1R3PK1/8 w - -,b2b3
r4rk1/1p2qpp1/1np3p1/p1n1P3/P1B2P2/2N5/1P2Q1PP/R4R1K w - -,c4a2
r1b4r/ppq5/4p1k1/1B1p2B1/4p1P1/P1P5/1PQ2P2/R4NK1 w - -,g5e3
2k3r1/ppb4p/5p2/3b3p/8/N1P1KN1P/PP4P1/3R4 b - -,c7b6
r2qr1k1/pp1b1p1p/nn2N1p1/3P4/4p3/1Qb1B2P/PP3PP1/3RKB1R w K -,b3c3
2r2rk1/4qp1p/n2pb1pb/Pp2p3/1P2P2P/Q2NPNP1/6B1/2R1R1K1 b - -,e7a7
7r/1p1bk1p1/p3p3/P1PpPpN1/3P1K1p/4P3/6P1/R7 w - -,a1h1
3rr1k1/5qbp/1Nppb1p1/4n3/2P1P3/Q3B3/P5PP/2R1RBK1 w - -,f1e2
8/p4p2/1pBkp2p/1Pp2p2/7P/6P1/P3KP2/8 b - -,a7a5
1r1qr1k1/1p4bp/p2p1np1/2pP1p2/P4PP1/R4B1P/1PQ1P2K/2B2R2 b - -,d8d7
2r2rk1/1p3p1p/p1npp1p1/8/4PP2/P1P4P/1P4P1/1B1R1RK1 b - -,f8d8
8/p2q4/5p1k/1P2n1p1/4Q2p/7P/5PP1/5BK1 w - -,e4e3
r1bq1rk1/pppp1ppp/2nb1n2/1B2p3/4P3/2PP1N2/PP2QPPP/RNB1K2R b KQ -,f8e8
8/pp6/4k2p/2prp3/8/6P1/PP2RK1P/8 w - -,f2e3
r1b2rk1/pp1nqppp/2p1p3/8/2BPP3/2P2N2/P4PPP/R2QK2R w KQ -,e1g1
5rk1/2rqn1p1/3p3p/p1p1pp2/PpP1P1NP/1P1PP1P1/4QRK1/5R2 b - -,h6h5
rnb1kbnr/1pq2ppp/p2pp3/8/2PNP1P1/8/PP3P1P/RNBQKB1R w KQkq -,b1c3
8/pp1r3p/1bp1pk2/8/2NP3R/1P5P/P5K1/8 w - -,c4b6
5rk1/p3b2p/1p6/8/1P2N1p1/2PR4/P4Br1/5K2 b - -,g2f2
3rR1k1/1p1b1p2/p1p2qp1/5p2/2PP2pP/1P4P1/P4PB1/1QR3K1 b - -,d8e8
3Q4/1q3pk1/4p1p1/P2p1nPp/1p1P1P2/3BP3/1P3K2/8 w - -,a5a6
r4rk1/pb1npp1p/3p1np1/1PpP4/4P3/1PBB1NP1/5P1P/R4RK1 b - -,f6e8
2r5/1p3k1p/1np1r1p1/5p2/p2RP3/1P3P2/P1P2BPP/1K1R4 b - -,a4b3
rn1qkb1r/pppbpppp/8/3n4/3P4/8/PPP1BPPP/RNBQK1NR b KQkq d3,b8c6:d7f5:g7g6
5r2/6p1/2p1k2p/4P1p1/p2P4/Pb2KPPP/3B4/1R6 b - -,b3d5
r4rk1/1p3p2/2nqb2p/2p1p1p1/p1PP4/PN1P2P1/1P3PBP/1R1Q1RK1 b - -,c5d4
6k1/p2rb2p/4b1p1/4pp2/4B1P1/1P2QP2/PKP4P/8 w - f6,g4f5
r7/1p2k2p/2r5/p1p1P3/3p1P2/3b1NP1/PP3K1P/2R1R3 w - -,f3d2
rnb2rk1/2q1bppp/3p1n2/2pP4/1pN2B2/3B1P1N/PP4PP/R2QK2R w KQ -,e1g1
1r3rk1/p1pb1q1p/1b1n1p2/2p3p1/2P5/PN1P2BP/1P1NRPP1/1R1Q2K1 w - -,g3d6
1r2r2k/b2b1pp1/p2p1qn1/1p4B1/3P4/1B3NQP/PP3PP1/R3R1K1 b - -,f6f5
4r1k1/1pq1r2p/p2p1Qp1/2pP4/2P5/1P1P1R2/P5PP/5R1K b - -,e7e1
2r1r1k1/p3pp1p/1p1pq1p1/nP2b3/1NP1PP2/1P2B3/3Q2PP/1R1R2K1 b - -,e5g7
1b2k3/1P1n1pp1/2r3p1/BR1p4/N1p1P3/6P1/7P/7K w - -,e4d5
5nk1/4bppp/1p2p3/p2pP2P/P2P2P1/1P3N2/3B1P2/2r3K1 w - -,d2c1
2kr1b2/3n1p2/p1q2P2/4PQB1/1ppp4/3P2P1/PPP4P/R4RK1 w - -,f1e1
rnb1k2r/2qp1ppp/pp2pn2/2b5/2P5/2N1PN2/PPQ1BPPP/R1B2RK1 w kq -,a2a3
r4rk1/p1p1q1pp/1bp5/2NpP3/3Bb3/2P1Q3/PP4PP/R4RK1 b - -,f8f1
r4rk1/p2bqpp1/2pb4/2p5/Q1P4p/2N1PPnP/PP1B2B1/2KRR3 b - -,f8b8
r1bqr1k1/5pbp/p2p1np1/npp1p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,c5d4
8/8/5p2/3n2pN/4p1Pp/3k3P/5P2/5K2 w - -,h5g7
rn1q1rk1/1b2ppbp/pp1p1np1/2pP2B1/2P5/2N1PN2/PPQ1BPPP/R4RK1 b - -,b6b5
r1b1r1k1/p4ppp/2n5/1p6/P1pPp2q/2P1P3/5PPP/RBBQR1K1 w - -,e1f1
1r4k1/p3npp1/1q2p2p/3pP3/3P2P1/P2Q1N2/5P1P/2R3K1 w - -,h2h4
8/2k5/R7/p7/3Nn1b1/P3b2p/8/5K2 w - -,d4c2
7r/p3kn2/8/1p2p3/2p5/P1P1B1P1/4KP2/4R3 b - -,a7a6
1r3k1r/pb1Qpp1p/1p1pnb2/3Nq1p1/2P1P3/1P2B3/P4PPP/1BRR2K1 b - -,f8g7
8/2k5/1p4p1/2p2p1p/2P1pP1P/rRK1P1P1/8/8 b - -,a3b3
r2q3k/ppp4p/8/5r2/3bp3/1Q2B2P/PPP3P1/5RK1 w - -,f1f5
r5k1/1p1r1pp1/4n2p/p1p1Pb2/P2p1n2/1P3P1P/BBPRN1PK/4R3 b - -,a8d8
8/3P2k1/p1pB4/1pP5/1P1Kb3/5p2/4r3/8 w - -,d7d8q
rnbq2k1/pp2nr1p/4p1p1/2pp2B1/3P4/P1PB4/2P2PPP/R2QK1NR b KQ -,d8a5
6k1/2R5/7K/8/7P/5P2/2p5/2r5 b - -,c1f1
r2qk1nr/ppp2pbp/2np2p1/3Pp3/2P1P3/2N1BP2/PP3P1P/R2QKB1R b KQkq -,c6d4
2r4k/pr1R2bp/6p1/4qp2/2B5/PQ3P2/1PP5/1K6 w - -,d7b7
3r1rk1/1p1bqppp/pn2p3/1Bn1P3/8/2N2N2/PP2QPPP/R2R2K1 w - -,b5d7
r1b1r1k1/p3qp1p/1p4p1/4b3/2pBN3/5P2/PP1Q2PP/2KRR3 b - -,e8d8
3nr3/1pp2rk1/p7/2p3p1/4n3/2P1P1B1/P3NPP1/1R1R2K1 w - -,d1d5
2rqkb1r/1p1bnppp/p1n1p3/2PpP3/8/P1P2N2/1P2BPPP/RNBQ1RK1 b k -,e7g6
5n2/1Q6/5p2/2q3p1/8/k5P1/p4P2/3K4 w - -,b7a6
6k1/4R1p1/3pp2p/7P/5P2/6P1/6K1/4r3 b - f3,e6e5
1rr2b2/2qb1p1k/p2ppPpP/4n3/1p1NP2Q/1n2B1R1/PPP4P/2KR1B2 w - -,a2b3
r1b2rk1/ppp1q1bp/n2p2p1/8/2PNN1n1/5P2/PP2B1PP/R1BQ1RK1 b - -,e7e5
rnbq1rk1/pp3pbp/3p2pn/2pP4/4PP2/2N2N2/PP2B1PP/R1BQK2R b KQ -,c8g4
r4r2/p5pk/bpqNpp1p/8/3RP3/1QP4P/P2R1PP1/6K1 w - -,b3e6
8/p3q1k1/1p4p1/2p5/b1PpBQ2/P2P2K1/8/8 b - -,a4e8
6k1/1p3p2/p1bpr1p1/7p/3B4/6RP/6P1/6K1 b - -,a6a5
1r3bk1/2q3p1/1n1p3p/3Pp3/r7/4NN1P/P1R2PP1/1R4K1 w - -,c2c7
r3kb1r/pp3ppp/1q2p3/nb1pPn2/3P4/5N2/PPN1BPPP/1RBQ1RK1 w kq -,c2e3
2r4k/6pp/p3p3/3p2P1/3P3q/BP5B/3R1Q2/4K3 b - -,h4h3
1rbr2k1/2q2ppp/5n2/p1RPp3/P7/Q5P1/3N1PBP/4R1K1 b - -,c7e7
r4r2/pb3ppk/1q6/1pbpP3/8/5N2/PPQ2PPP/2R2RK1 b - -,h7g8
2r2rk1/1p4pp/3p4/3Pb3/PR3pPq/B4P2/3p3P/3R1Q1K b - -,c8c3
1n3rk1/q2b1pbp/pp2p1p1/8/2P5/2NB1Q2/PP3PPP/R4RK1 b - -,b8c6
2rqr1k1/1p3pp1/2ppbnnp/p7/P2PP3/RP2RNPP/2QN1P2/5BK1 w - -,g1h2
5rk1/p2p2pp/q1b1p3/6r1/4PpP1/1P3P2/P2R1QBP/2R3K1 b - -,h7h5
2kr3r/1ppb1pp1/p7/1PbP3p/2P2q2/1Q3N2/P2p1PPP/1R1BR1K1 w - -,e1e2
8/5pk1/8/5R1P/r5P1/6K1/5P2/8 b - -,a4a1
1r2r1k1/2R4p/2Bbbqp1/1P6/3p4/p2P2PP/P3QP1N/1R4K1 w - -,c7a7
5rk1/2pqbppb/nr6/1p1pP1Pp/2pP3P/4BP2/1P1Q2BK/R2RN3 b - -,h7f5
q1rr2k1/4bpp1/4pn1p/3p4/P1n5/2N3PP/Q3PP2/1RBRN1K1 w - -,c3b5
8/6pk/5p1p/5Q1P/2P5/K7/P5P1/4q3 b - -,h7g8
1rbq1rk1/1p5p/p1np4/3Nppb1/2Pn4/1PNB4/PB3PPP/R2Q1RK1 w - -,f2f4
6k1/1B3p1p/p5p1/6P1/1P5P/2r1P3/3n1K2/R7 w - -,a1a6
3rkb2/5pp1/8/p3q3/1pp1bN2/4B2P/PPP2QP1/R5K1 b - -,f8d6
8/4n1P1/p7/Pp1pk2p/1P6/2K5/5B2/8 w - -,f2h4
2rq1rk1/1b2bppp/p1n1pn2/1pppN3/3P1P2/PP1BP3/1BPNQ1PP/R4RK1 w - -,d4c5
8/7p/2kB2p1/6P1/2PKpp1P/P2n4/5P2/8 w - -,d4e4
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQK2R b KQkq -,b7b6:f8e7:d8c7:g7g6:d5e4:f8d6
2rq1r1k/p2pb1pp/bpn2P2/3N4/5BR1/5N2/PP1Q1PPP/R5K1 b - -,e7f6
2rq3r/p2n1Rbk/1p5p/3pP3/2pP2p1/2P1Nn2/PP1BQ2N/2R3K1 w - -,h2f3
3r1rk1/4qpbp/4pnp1/nb6/1p2PN2/4N1P1/PB3PBP/RQR3K1 w - -,b2e5
r4rk1/1bqnbppp/pp1ppn2/8/P1PNP3/2N1BP2/1P1QB1PP/R1R3K1 b - a3,a8c8
6k1/2p3b1/3p3p/1p1P1Q2/8/2P5/q1B3PK/8 b - -,g7e5
r4rk1/pp2bppp/2p1pnb1/q3n3/2BP1B2/2P3N1/PP3PPP/R2Q1RK1 w - -,f4e5
3b1rk1/p2q1ppp/npN1p3/3pP3/1P6/P1R5/2QB1PPP/6K1 b - -,d8c7
1rb2rk1/5pbp/p2R2p1/N3p3/4P3/4BP2/PPP3P1/2K2R2 b - -,f7f5
rnbq1rk1/5pbp/pppp1np1/8/3PP3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2f4
8/3n4/pk4R1/8/4r3/PK6/8/8 b - -,b6b5
6k1/8/8/5qp1/4p1P1/4B3/4B1K1/8 b - -,f5e5
4b2k/8/6p1/p5N1/3R1PPK/P2pr2P/8/8 b - -,h8g7
r2q1rk1/pb3ppp/np2pn2/2pp4/2PP4/P4NP1/1PQNPPBP/R4RK1 w - c6,d4c5
r2rn1k1/1p2bpp1/2q1p1p1/pNn1B3/P1P5/1P6/2Q1NPPP/3R1RK1 w - -,e2d4
1rbq1rk1/p3ppbp/3p4/2pPnp2/2B2N2/2N1P3/PPQ2PPP/R4RK1 w - -,c4e2
1k3r2/1pp2B1p/5Q2/p1q5/4p3/2Pb4/PP3PPP/2KR3R w - a6,h1e1
3r2k1/1bqrbp2/p5p1/nppP3p/4PP1P/P2P2PQ/1B4B1/3RR1K1 w - -,f4f5
r2k1bnr/pp1n1ppp/2p5/4p3/2P5/2N2P2/PP1BPP1P/2KR1B1R b - -,d8c7
4k3/4p2p/1p2b3/1P3p2/3R1P2/4K3/2r1B1PP/8 b - -,e6d7
1r2n1k1/3r2p1/ppbppp2/6p1/2P1P3/PP2BPP1/3R2BP/3R2K1 w - -,a3a4
r1b1kb1r/1pq2ppp/p2ppn2/8/2PNP3/2NQB2P/PP3PP1/R4RK1 b kq -,f8e7
r1b2rk1/p5bp/3N2p1/3Q3n/8/4B2P/1qP2PP1/R4RK1 b - -,g8h8
r3k2r/2q1ppbp/2p1b1p1/p1p1P1B1/P7/2N2Q1P/1PP2PP1/R3R1K1 w kq -,f3e3
r7/1b1pkpp1/4p3/Ppr5/P3P2p/1B1PP2P/6P1/R4RK1 b - -,c5c3
1b1r4/pp3kpp/8/2PNr3/8/1P1pN3/P4PP1/3R2K1 w - -,d1d3
6k1/1p3pp1/3qp2p/2n4P/p1PQ2P1/P4N2/1PK2P2/8 b - -,d6c7
r3r1k1/3b4/1p1p1p2/p1qPn1p1/P1P1PpPp/N4P1P/R3B1K1/2Q2R2 w - -,a3b5
5rk1/2b3pp/p1q5/1p1p1p2/3Pr3/1PPQ3P/R2B1PP1/3R2K1 w - -,d2c1
8/3R1p1p/1kp3p1/1P3p2/1K2r3/7P/1P6/8 w - -,b4c3
1n6/1b2k1pp/1p1npp2/3p4/3P4/2N1P1P1/1PN2P1P/5BK1 b - -,b7a6
2kr1br1/pp3p2/2p1p1pp/q2P3n/PnB1P3/2N1BP2/1P2QP1P/3R1R1K b - -,e6d5
2r3k1/R4pbp/2p3p1/8/1p3PP1/p1N2B2/2P4P/5K2 b - -,g7c3
r7/3R4/5kpp/2Np4/P1npp3/4P2P/5PPK/8 w - -,e3d4
8/1R4k1/2Rb1p2/P6P/8/3rpK2/8/8 b - -,g7h6
2r1nrk1/p1q1bppp/bpn1p3/3pP3/3P4/1Q3NP1/PP3P1P/RBB1RNK1 b - -,g8h8
2r2rk1/pp3pp1/2b1pb1p/n2qN3/3P3P/2PB4/P3QPP1/1RB1R1K1 w - -,e5c6
8/2R4p/6p1/2p1pk2/2P3P1/5K2/7r/8 b - -,f5g5
6k1/p5p1/2p5/n1P1p2P/8/3P2P1/rBP5/3B2K1 w - -,b2e5
r4rk1/pbpq2pp/1b1p1p2/4p3/2N1P1nB/2NQ4/PPP2PPP/R3K2R w KQ -,f2f3
8/5rkp/2R1p1p1/p3P3/n7/P3Q2P/4BPPK/4q3 w - -,e2b5
r1b2rk1/pp2bpp1/3qp2p/2nnN3/8/1BPp2Q1/PP1N1PPP/R1BR2K1 b - -,e7h4
rnbqr1k1/pp3ppp/2p2n2/3p4/1b1P4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,a2a3
2r5/8/1kn2pp1/7p/2RbP2P/2N1BP2/1PP1K1P1/r7 w - -,e3d4
8/1R6/r3k2p/5pp1/5p2/2P2P1P/3K1P2/8 w - -,b7h7
r1r3k1/p1R2ppp/bp6/3p4/3N4/1P3PP1/P3P2P/2R3K1 b - -,g7g6
3r2k1/p5pp/1b5r/N1pP1q2/Q1P1p3/R1R2bP1/5P1P/5BK1 w - -,a5c6
2b2b1k/5p1p/p2q2p1/4p3/3p4/P2Q2PP/5PB1/R5K1 w - -,a3a4
5rk1/3pppbp/4n1p1/qp2P3/2r1Q3/2P1BN1P/PP3PP1/R4RK1 w - -,e4d5
2k1r3/1pb2p2/1np3pp/1q2P3/P4P2/2P1NQ1P/1PK3N1/3R4 b - -,b5a4
6k1/R7/1pq2pp1/4p2p/2P1P3/1P2BB1P/6P1/6K1 b - -,c6d6
r1bqk2r/ppp1bppp/2n5/3np3/8/P1N1P3/1PQP1PPP/R1B1KBNR w KQkq -,g1f3
q3r1k1/p4p1p/4bbp1/1Q6/3p1B2/1PrB2P1/P3PP1P/2RR2K1 b - -,e8c8
r4rk1/1pp1q1pp/3n4/p2P1p2/P2bp3/4P1PP/P2Q1PB1/2R1R1K1 w - -,d2d4
2r1qrk1/1p4pp/p2Pp3/1bnp1p2/3B1P2/2PB3P/PP2Q1P1/R4R1K w - -,d3b5
5rk1/3pn1pp/2q1pr2/pB6/Pp3P2/8/1PP1Q1PP/R4R1K b - -,c6b7
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2P2PP1/PP2N2P/RNBQKB1R w KQkq -,f1h3
2r1r1k1/5p2/1q4p1/p3p1bp/1n1pP3/3N2N1/1PP1RPPP/1R1Q3K w - -,d3b4
r7/p4ppp/1k6/N1p1n2b/PPB5/5P2/2K3PP/R7 w - -,a1e1
3r2k1/1p2qpp1/p1b2n2/4pP1r/4P2p/3BR2P/P1P3P1/4QRBK b - -,d8d4
rn1qkb1r/pb3ppp/1p1ppn2/6B1/2PN4/2N2P2/PP2P1PP/R2QKB1R w KQkq -,e2e4
5rk1/pN2pp1p/B3n1pb/B2q4/3pbP2/1P2P3/P2Q2PP/2r2R1K w - -,f1c1
5q1k/6bP/1p1p2P1/p3p3/P1P5/1P5R/6RK/2B5 w - -,c1e3
r3k2r/3bqppp/pnp1p3/2bpP3/3N1P2/P1N1B3/1PP3PP/R2Q1R1K w kq -,b2b4
r3kr2/1B1nnp2/1q2p1p1/p1p1P1Np/1pPp1P2/1P1P4/P2B2PP/R2Q1RK1 b q -,b6b7
4b1k1/6pp/2p1N3/r7/p1P2R2/P3P2P/3K2P1/8 b - -,e8f7
1k1r3b/1p2pp2/p1npb3/P5p1/2N1Pn2/2P2P2/1P1N1BP1/R3KB2 w Q -,f2b6
r4qk1/3n1rpp/1pp1p3/3pPp2/PPRB1P2/4P1P1/3Q2BP/4R1K1 b - -,d5c4
rnbqk2r/p1pnbppp/1p2p3/3pP3/8/3P1NP1/PPPN1PBP/R1BQK2R b KQkq -,c8b7
2rq1rk1/3bppb1/2np1npp/ppp5/3PP3/2P1BNPP/PP1N1PB1/R2QR1K1 b - -,c5d4
r2q1r2/4p1bk/p1p3pp/2P5/3Ppp2/1Q5P/PP3PP1/R1B2RK1 b - -,d8d4
r1bqk2r/pp2nppp/1bnBp3/1N2P3/3p4/P2B4/1P3PPP/R2QK1NR w KQkq -,d1g4
5r2/2pb1r1k/1p1p2pp/1N1Pp1q1/P1P1Pn1b/3BB3/2NQ2PP/R5K1 b - -,d7h3
1rr3k1/6pp/2n1bp2/4p3/4N3/3Pq1P1/1Q2P1BP/1RR4K w - -,b2d2
