6k1/4R2p/4pp2/pp1r4/8/1PP1K3/P6P/8 b - -,d5d1
2r2r1k/3nq1bp/p1p1b1p1/Pp1p1p2/1P1P4/1Q1BPN2/4NPPP/1RR3K1 w - -,c1c3
r3k2r/1p1nppbp/q1pp2pn/p7/2PP1P2/P1N1P3/1P3PBP/1RBQ1RK1 w kq -,b2b3
2r2rk1/B3bppp/b3p3/qp2n3/8/1P4P1/PN2QPBP/2RR2K1 b - -,b5b4
r1b2rk1/pp3ppp/1qnb4/6B1/2pP4/2P2N2/PP3KPP/R2QRN2 w - -,d1c2
5r2/2p2r1p/p2bR3/2pR1p2/2p5/kP3P2/5KPP/2N5 w - -,b3c4
5nk1/5rpp/8/3pP3/p2pb1Q1/Pr3NP1/1q3PB1/2R1R1K1 w - -,e5e6
4r3/1pRQqk1p/p3p1r1/6p1/2P3P1/1P3P1P/P5K1/3R4 b - -,g6g7
r4rk1/1p2pp1p/1n1p2p1/p2P4/2P2P2/8/PP2B1PP/R4R1K w - a6,a2a4
8/8/2P2kp1/4N3/5P2/6Kp/8/7r b - -,h1c1
5rk1/2pqppbp/pr4p1/3P4/R7/Q1N1PP1P/1P2K3/3R4 w - -,a4g4
rn1q2k1/pb3pp1/1p2p2p/4N2Q/1b1r4/3B4/PP3PPP/R1B2RK1 b - -,d8e7
rn1q1rk1/pb3pbp/1p1p1np1/2pPp3/1PP1P3/P1NB1N2/5PPP/R1BQ1RK1 b - b3,b8d7
2k4r/8/3Pp3/p2q2Np/5Q2/2pb4/5PPP/5RK1 w - -,f1c1
2bqkb1r/r1pn1ppp/p3pn2/1p6/3P4/5NP1/PPQ1PPBP/RNB1K2R w KQk -,e1g1
6rk/6p1/1p5p/3Q4/p1P3P1/P4R1P/KP3q2/8 b - -,f2c2
8/2rrkpp1/1R2p2p/2P5/7P/6P1/5PK1/2R5 b - -,d7d5
8/1p1k1pp1/p1p1n3/P3p3/4P2p/5P1P/1PP2KP1/R7 w - -,a1d1
1k2r3/1pp4p/p2p1Rp1/3P4/P3p3/4P3/1PP3PP/6K1 w - -,a4a5
r5k1/p1p3p1/2p1q1rp/3n4/2QRp3/4B3/PPP2PPP/4R1K1 b - -,a8e8
8/4b2r/R4pk1/2p2R1p/2p1P3/2P5/1PK2P2/8 w - -,a6a1
6rk/pp6/2n2R1b/2P1p3/3rP2P/2Q5/P5P1/6K1 b - -,h8h7
4r1k1/pbrq1ppp/1p2p3/2npP3/2P5/1P4P1/PB2QPBP/2RR2K1 b - -,d7d8
rnbq1rk1/1p2bppp/p2ppn2/8/2PNP3/2NB4/PP3PPP/R1BQ1R1K b - -,b8c6
r1bqk2r/pp1nppbp/2pp1np1/6B1/2PPPP2/2N2N2/PP4PP/R2QKB1R b KQkq -,h7h6
3r1n1k/p3q1pp/1p2pr2/1B6/Q2P1p2/6P1/PP2RP1P/R5K1 w - -,a1e1
5rk1/pp1q1ppp/2n2n2/2R5/3Pp3/PN2Pb1P/BB1Q1P2/5RK1 w - -,g1h2
2r1k2r/2qbbpp1/p2p1n2/1p2pPBp/4P1nP/PNN5/1PP3P1/1K1RQB1R b k -,d6d5
8/R4pkp/4p1p1/8/4P3/p3PK1P/6P1/r7 b - -,a3a2
2rq1rk1/pp1bppbp/3p1np1/3N4/P1n1P3/1N6/1PP2PPP/R1BQRBK1 w - -,c2c3
r3r1k1/pbR4p/1p3p2/3p4/5P2/6P1/PP4BP/3R2K1 b - -,a8b8
1rbk1br1/n4p2/2p4p/NpPpPB2/1P1P3q/R7/2Q4P/2B2R1K w - -,f5c8
8/1p3K2/6R1/1k1p1PP1/4r3/p1P5/6P1/8 w - -,g6h6
r2q1rk1/pp1bpp1p/3pn1p1/8/2PQP3/2N3PP/PP3PB1/R4RK1 w - -,d4e3
r2qr1nk/pp1n1pbp/2b3p1/2p1p3/P3P3/1PNPN1P1/1B2QPBP/R4R1K w - -,c3d5
8/1p6/p2k1p2/1Pp1n3/P7/Q4p2/3q1PP1/5BK1 b - -,f3g2
r1bq1rk1/pp3pbp/3p2p1/2pPp3/2Pn4/3P1NP1/PP3PBP/R1BQ1RK1 w - -,f3d4
rnbqkb1r/pp1ppppp/5n2/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq -,g1f3:b1c3:c2c4:g2g3
2r5/2P5/3K4/8/6p1/4pkP1/2R2P2/8 w - -,f2e3
8/1p4n1/p1k1n3/3p3p/P2P1p1P/1P2KP2/2B2B2/8 w - -,e3d2
5r1k/5B2/3R2pp/8/6PP/3n1P2/8/6K1 b - -,d3e5
2kr3r/ppqn1p2/2pbb2p/3p2p1/3P4/P1NBP1P1/1PQN1PP1/1K1R3R b - -,c8b8
3q4/1r3pPR/4p3/3pP3/p2P2Q1/p2k4/1P3PK1/8 w - -,b2a3
r1b2rk1/ppqnbppp/4p3/2P5/1PB2P2/P1N2N2/5PPP/R2Q1RK1 b - b3,c7f4
4R3/5p2/2Pr4/2K1k3/6PP/pp1B4/1rP5/8 b - -,d6e6
3r4/pb3pk1/1pn3pp/3B4/P2P2q1/2N1P1Q1/5PPP/2R3K1 b - -,g4d7
r2qnrk1/p4pbp/b1p1p1p1/3pP3/2P2P2/1PN1BN2/P1P3PP/R3QRK1 w - -,e3c5
5rk1/bp1b2p1/pP1p3p/3Prp2/P1B1p2q/2P3N1/4QPPP/R4R1K b - -,a7b6
3rr1k1/1b3pp1/p2qpn1p/8/1p1N3Q/1N1n1P1P/PPPR2P1/4R1K1 w - -,d2d3
5r2/1p2k1p1/p2p3p/2p1pPr1/2P1P3/1P4P1/P2R2K1/7R b - -,h6h5
8/1p3k1p/pBp2pp1/Pn2r3/1R5P/8/2R2PKP/3r4 w - -,b6e3
rnb1k2r/pp1p1ppp/4p3/q7/1bPp4/2n2NP1/PPQ1PPBP/R1B2RK1 w kq -,f3d4
r3qb2/1QP3pk/2n4p/p7/3P1N2/P3P1P1/7P/2R3K1 w - -,b7c6
r3k2r/1p3pp1/p1n1b3/q2pPpB1/PbNP4/1Pp5/2P1BP1P/R2Q1RK1 b kq -,d5c4
2rqnrk1/pp2ppbp/2bp2p1/n1P1P3/8/1NN1B2P/PP2BPP1/R2Q1RK1 w - -,e5d6
8/6kp/1R4p1/1p2r3/p7/P5P1/1P3PKP/8 b - -,e5d5
r2qk2r/p3bp2/4p1p1/n2pP2p/n1pP1P2/2P1NNQ1/P2B2PP/R4RK1 w kq -,a1b1
3r2k1/Q1n4p/2B1p3/1p3p2/1P2P2P/p5P1/5P2/2b3K1 w - -,a7c7
1k3r2/1p6/p1n5/3r3p/3pRP2/1P3K2/PB3P1P/3R4 b - -,f8d8
r6r/pp1qkpbp/3p2p1/2pBp3/2P5/3PP1Pb/PP3P1P/R1BQR1K1 b - -,h7h5
6r1/5k2/4pb2/1p1p1ppr/p2P1P1p/P1P2R1P/1P1BR1P1/5K2 w - -,f4g5
r2qk2r/pppnbppp/4p3/3PP2b/3n4/3B1N1P/PP1N1PP1/R1BQ1RK1 w kq -,g2g4
r2r2k1/1p3ppp/pq2pn2/2b5/Q7/P5P1/1P2PPBP/R1B2RK1 w - -,e2e3
r2q1rk1/2p1bppp/p2pnn2/1p2p3/4P3/P2P1NN1/1PP2PPP/R1BQR1K1 b - -,g7g6
6k1/8/4b1p1/4p2p/2PnPP1r/1p1BK1N1/8/5R2 b - -,e5f4
1r1q3k/1b2br1p/4p1pB/p1ppPp1n/8/1PPB3Q/P3NPPP/3RR1K1 b - -,d8c7
3r1nk1/2pr2q1/2b1p2p/1p2P1p1/3B1P2/2P5/1PB1Q1PP/R2R2K1 b - -,g5f4
8/8/3R3P/3Pp3/1pP4r/4k3/8/6K1 w - -,d6f6
q4rk1/3nbppp/r3p3/p3P3/PpQP4/1N6/1P2N1PP/R1R3K1 b - -,e7g5
8/8/1prkpn2/PR3p1p/6p1/2N1P1P1/3K1P1P/8 b - -,b6a5
8/5p2/4p1k1/1p2P3/1p1P2p1/1P1R4/2K1R1P1/q7 b - -,a1f1
r1b2rk1/ppb3pp/2p1p3/2Pp2P1/3PpN2/4P2P/PP1B2P1/R4RK1 b - -,c7f4
4r1R1/p3kp1q/1p1pp3/2r4p/P1P3Q1/1P4R1/4PPK1/8 w - -,g4h4
8/6p1/1pk2nBp/4p3/1PP5/5K1P/6P1/8 b - -,c6d6
6k1/3bqrbp/R2p4/2pP1pP1/1rQ4P/2N1P1B1/1P4P1/4R1K1 w - -,c4e2
1r5r/3nk1p1/p1qp1pP1/3Bp2p/1p3P2/1P2Q2P/P1P5/1K1RR3 b - -,c6c5
r1b2rk1/p1p1bppp/2p1p3/3n4/2Q5/2N1B1P1/Pq2PPBP/R4RK1 w - -,a1b1
rn2kb1r/ppq2ppp/2p1pn2/2Pp4/3Pb2N/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,f2f3
8/2p3k1/p1Pp2p1/1p1Pp3/1P2n2r/P2N4/4R1K1/8 w - -,g2f3
r3k2r/pp1b1pb1/2n1p1pp/2p5/4N1Pq/2PP4/PP2QPBP/R1B2RK1 w kq -,e4c5
8/4k3/3r3p/1p1p1RpP/p2P2K1/P1P5/1P6/8 w - -,f5e5
2r2rk1/pp3ppp/1q2b3/8/5P2/P1Q4P/1P3PB1/3R1RK1 w - -,c3d4
6k1/p2n1pp1/4b2p/5q2/2p1NBPP/4QP2/r3P3/3R2K1 b - -,f5a5
2r3k1/1R6/8/6P1/1p1p4/p1bB4/P5K1/8 w - -,g5g6
r4rk1/pp6/2n2ppp/2Pp4/2q2P2/P1B5/3QR1PP/2R3K1 b - -,a8e8
r1bqr1k1/pp3pp1/2p2n1p/2b1n3/4P3/1NN4P/PPQ1BPP1/R1B1R1K1 b - -,c5b6
6k1/b4p1p/p3pPp1/1p1pP3/1P4P1/r1r3BP/6RK/4R3 w - -,e1b1
4kr2/2b4p/1p2p1p1/8/1RpP1P2/6P1/P2B3P/K7 w - -,b4c4
1r4k1/3nppb1/r2p2pp/1qpP4/4P3/1P2BNPP/P1Q1RPK1/3R4 b - -,g8h7
n1n3k1/3qpp1p/2N3p1/3PQ3/8/5B2/1P3PPP/6K1 w - -,h2h4
2r5/3n4/3kp3/1p2p1pp/3bP3/1B1N1P2/1P1K2PP/2R5 b - -,c8a8
6k1/pB2np2/4r1p1/1p3p2/P7/8/1b3BPP/3R2K1 w - -,a4b5
8/1r4pp/8/5p2/2k5/6PP/1pK2P2/1R6 b - -,g7g5
r1b1kb1r/1pq2ppp/p2ppn2/4n3/3NP3/P1N1B3/1PP1BPPP/R2Q1RK1 b kq -,b7b5
2k5/pp4p1/2p1p2p/4Pp1P/1qPr4/5PP1/PP2Q3/2K4R w - -,b2b3
2r5/4kpp1/1n2p2p/p2bP3/N4P2/1P1B2P1/1K5P/2R5 b - -,b6a4
5k2/7p/1p4bP/pn2R3/8/1P2K3/8/8 w - -,e5b5
8/r4pkp/4pNp1/1n1p2P1/p1pP1P2/1rP4P/RP3P2/4RK2 w - -,e1e3
1k1r4/1pb5/2p5/7q/PP2Q1p1/3N2P1/5P1p/4R2K b - -,d8h8
3Rb3/p3r1kp/1np3p1/2p2p2/2P2N1P/1P3B2/P4PP1/5K2 w - -,d8d6:f4d3
6k1/p4p2/5qp1/1p1nR3/3p4/PP1B2PP/2PQ4/6K1 b - -,f6e5
r1b1k2r/p1q2pb1/2p1p2p/1p2P1p1/8/2NBQ2P/PPP2PP1/R4RK1 w kq -,f1e1
3q2k1/5n1p/3pQ3/1NrPp3/Pp5P/8/1P3PP1/R5K1 w - -,e6g4
1r6/2p5/4n2p/5k2/2P5/1P3R2/1N3K1P/8 b - -,f5g5
r6r/1q1k1pp1/2bp1n1p/p1p1pP2/2P1P1P1/1PBB1Q2/P6P/1R2R1K1 b - -,d7c7
r2q2k1/p3rp1p/2Q3p1/8/P2P4/4B1n1/B5P1/R4RK1 b - -,g3f1
r6r/1p1bk3/1p2pb2/n1p2p2/3P2p1/P3P1P1/BPN3PN/3RR1K1 b - -,d7a4
8/4k1p1/3b3p/3PpB1P/3r2P1/8/2R3K1/8 w - -,f5e6
3r2k1/1Q2p3/p2q1p2/6pP/8/P7/1P1r4/KR4R1 w - -,b7e4
r4rk1/ppqn1pp1/2pbp1p1/8/2B1n3/P2P3P/1PPBQPP1/R4RK1 w - -,e2e4
8/R5k1/6p1/3rp1Np/7P/5PK1/8/8 b - -,g7g8
r2q1r1k/p2pn1bp/1p4p1/4pP2/8/NQP1B1P1/PP3PKP/R3R3 b - -,e7f5
1nr1qk1r/1p1bb3/3p1p2/2PPp1pp/1p2B3/4N1BP/1Q3PP1/2RR2K1 w - -,b2b4
r1b3k1/pp4pp/2n1pq2/3p2n1/3P4/5PN1/PP2BP1P/R2Q1RK1 b - -,c6d4
r2q1rk1/pp3pbp/n3b1p1/3p4/3p4/1B1P1N1P/PPP1NPP1/R2QR1K1 b - -,d8b6
2rr1nk1/1b1n1ppp/1q2p3/1p6/4P3/1P2Q1PP/1B1N1PB1/R2R2K1 b - -,b6e3
5k2/8/7r/p3KP2/4N1R1/8/8/8 b - -,h6h1
3r4/pk2npb1/4b3/7R/1nPp1B2/8/PP1K1PP1/4R3 w - -,h5b5
r7/8/8/1R2kp1p/p6P/P3PK2/5P2/8 b - -,e5e6
r2r2k1/p4p1p/4pq2/2bP1p2/8/1P3B2/P4PPP/1R1Q1RK1 w - -,d1c2
4b1k1/p3p1b1/1r1pP2p/q1pP1B2/2P2Pp1/1Pp3P1/P1Q1R1P1/2K4R w - -,c1d1
8/5p2/6pp/2kBp3/1pp1P1P1/r5P1/2K4P/2N5 w - -,d5f7
5rk1/p1rqbppp/1pnnp3/3p4/3P4/1P1QP1P1/P2B1PBP/R1RN2K1 b - -,f8c8
8/8/8/5pkp/B3p3/3nK1P1/8/8 b - -,g5g4
rnbqr1k1/5pbp/p2p1np1/1p1P1P2/2p1P3/2N2N2/PPB3PP/R1BQ1R1K w - -,c1g5
1rqb1rk1/p2n1ppp/2p1p2n/2Pp4/Q2P1PP1/P1N1P2P/3B4/R1N1KR2 b Q g3,a7a5
8/1k1B4/1p1K4/p1p5/P1P2B2/5b2/5b2/8 b - -,f2h4
5rk1/8/3Qpqpp/8/8/1R2P2P/P5PK/8 b - -,f8f7
1r4k1/5p2/1n3R1p/1BB5/1P6/6PP/5PK1/3r4 b - -,b6d5
6k1/5r1p/3p1bp1/3B4/4P1b1/4B3/P1r2PP1/1R4K1 w - -,b1b7
r7/4k3/2ppp2p/p5p1/4PnP1/4K1NP/PPP5/5R2 w - -,g3e2
8/8/2b3p1/p3p1P1/3nP3/1P1k4/3N4/3BK3 b - -,c6e4
6k1/7p/8/8/4r1P1/4PR1K/8/8 b - -,g8g7
3rr1k1/1pnqbppp/p1p1b3/3PpN2/P3P1P1/1PNQB3/2PRKP1P/7R b - -,c6d5
8/5r1k/1pQ4p/p2p1p2/4qR2/P6P/5PP1/3R2K1 b - -,e4f4
r1bq1rn1/ppp2pbk/3p2pp/2nPp3/2P1P3/2NBBP2/PP1Q2PP/R3K1NR w KQ -,d3c2
Qn2r1k1/6bp/pq1Pb1p1/1p2p3/P1p1pP2/5B2/1P4PP/R1B2R1K b - -,e4f3
rnbqkb1r/pp3p1p/2pp1np1/4p3/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 w kq -,d3d4
3R4/5p1k/4PPp1/1r4P1/2p5/2P5/1P6/6K1 b - -,b5g5
7R/8/1P5k/8/P6n/8/6rp/5K2 b - -,h6g5
8/8/2p3k1/1p1p2R1/p2P1P1P/P1P2K2/8/4r3 b - -,g6f6
8/7p/1pk1n3/p1ppBp2/3P4/2P1KP2/PP5P/8 w - -,e3d3
6r1/p1qk1pp1/2p1p2p/1r1nP2P/2Q2P2/7R/PP1B2P1/1KR5 w - -,a2a4
8/8/8/8/5pk1/r7/1R5K/8 w - -,h2g2
4b3/8/6p1/4k2p/2N5/PBn3P1/6KP/8 b - -,e5d4
8/3b1p2/3p1kp1/1pnPp3/1Np1P1P1/2P2P2/1PBq4/1K4Q1 w - -,g1h1
r5k1/1p3rp1/pqpQp1np/4P3/5P2/2N3P1/PP3PK1/3RR3 w - -,d6e6
rn1qkbnr/pp3ppb/4p3/2PpP2N/6P1/2N5/PPP2P1P/R1BQKB1R b KQkq -,f8c5
4r1nk/p4q1p/1p1p2p1/2p3B1/P2b1P2/3BnQ1P/1P3RP1/4R2K b - -,e3g4
1rb2rk1/4bppp/4p3/p2p4/5P2/1P3B2/P1P1N1PP/3R1RK1 w - -,e2d4
r2qkb1r/pp3pp1/2npbn1p/4p3/4P3/2N1BN2/PPPQ1PPP/3RKB1R b Kkq -,f8e7
r3kb1r/1pp2pp1/p1p1q1n1/4p1B1/2N1P1p1/3P4/PPP2PPN/R2Q1RK1 b kq -,g4g3
r7/8/1pN1pR2/p6k/6Pp/1Pn5/3K2P1/8 b - -,h5g5
5k2/7p/p2pQ3/P2P4/3B2p1/2K5/3b2P1/3q4 w - -,c3b2
4R3/8/P4k2/3p4/1pnP4/3K1N2/r7/8 b - -,a2a6
4rr2/2p3pk/p1n1qn1p/1p3p2/4PP1N/1PP1Q2P/1P1N2P1/4RRK1 b - -,f5e4
6k1/p2q1pp1/2r4p/2n5/3p4/P5B1/1P1Q1PPP/3R2K1 w - -,d2d4
8/5k2/8/5p2/2K1bP2/8/1r6/2R5 w - -,c1a1
6k1/2p1n2p/Np3p2/5Pp1/2P3P1/2K5/6P1/8 b - -,c7c6
r5k1/4ppbp/2p3p1/4P3/P1p1PPb1/Rn4P1/1P4BP/3R2K1 w - -,d1f1
8/6p1/2R3kb/4p2p/p7/1rN3PP/8/4K3 b - -,g6f5
rn1q1rk1/pbp2pp1/1p3b1p/3p4/3P4/2NBPN2/PP3PPP/2RQ1RK1 b - -,c7c5:f8e8
2kr3r/1b2q1p1/pp5p/4np2/PPP2P2/3B3Q/6PP/RR4K1 w - -,f4e5
r4rk1/p4p1p/bqn1pp2/2p5/Q7/P4NP1/1P2PPBP/R4RK1 b - -,a6e2
1R6/R4pk1/6p1/1p5p/2b4P/P4PK1/3r2P1/8 w - -,b8b7
8/8/3n2Bp/p5p1/P4k2/7P/5K2/8 b - -,d6e4
2rk4/pp1nb1p1/q1p1Q3/3pP1r1/3P4/1NP3B1/PP4K1/R4R2 b - -,a6e2
8/3p1pk1/1p4pp/p2P4/3b2P1/BP6/P4P1P/5K2 b - -,g7f6
8/8/6p1/5kPp/b6P/4K3/4N3/8 w - -,e2f4
r1bq1rk1/pppp1ppp/2nb1n2/1B2p3/4P3/2PP1N2/PP1N1PPP/R1BQK2R b KQ -,a7a6
4rrk1/pp3pp1/1qn1b2p/8/3p4/1P3NP1/P1Q1PPBP/2RR2K1 w - -,c2c5
r4rk1/1p1n1pp1/3bb2p/1p1Pp3/7B/P2B4/1P1N1PPP/2R1R1K1 b - -,e6d5
r4rk1/p4pb1/bp2p1pp/P2pPn2/P4P2/2qP1N1N/B2B2PP/R2Q1RK1 b - -,c3d3
r3r3/1N5k/p1p4p/2Pn3P/1P1PpB2/P6R/5K2/6R1 b - -,e8f8
r3qrk1/3bp1bp/p1n1pnp1/3p2NP/P7/1BN1B3/1PP1QPP1/R3K2R w KQ -,h5h6
8/4ppk1/3p2pp/3P4/pP6/Pr4P1/4KP1P/R7 w - -,a1a2
r7/1p2k2p/1p2bp2/P2p4/1P5P/4P1P1/3P4/R4BK1 w - -,g1f2
bq1r2k1/p4pb1/1p2p1p1/6Qp/1BB5/1PNnP2P/P2r1PP1/2R2RK1 w - -,c4d3
1r1kbbQ1/2q2p2/p3p2p/1p1pP2N/3B1P2/P2P4/1P6/R3K3 b Q -,f8e7
r3k2r/pp2ppbp/2npb1p1/q7/2P1P3/2N1B3/PP1QBPPP/2R1K2R w Kkq -,f2f3
r1bqk2r/ppp1ppbp/2n3p1/3n4/3P4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq -,e2e4
3r1r2/pp4k1/2b3p1/3n3p/4p2P/1P2N1P1/P4P2/R2R1BK1 w - -,e3d5
6k1/qb4rp/3pp3/8/PR1b1B2/3B4/5PPP/1R1N2K1 b - -,d4f2
8/1n6/6p1/1P1k2P1/1K6/8/1B6/8 w - -,b2a3
r1bq1rk1/pp1nbppp/3ppn2/8/2PNP3/PP1B4/1B1N1PPP/R2QK2R b KQ -,a7a6
r3q2k/pQ4b1/2p2n1p/4Bbp1/8/PB3P2/1P4PP/3R2K1 b - -,a8d8
r2q1rk1/pp2ppbp/2np1np1/2p5/2P1P3/P1N3PP/1P1PbPB1/R1BQ1RK1 w - -,c3e2
2r3k1/pp3ppp/3p4/3Pp3/2q5/4BB2/P1r4P/1R3KQR w - -,f1e1
2r3k1/pp2rpp1/3q3p/n2p1Pb1/B2Pn1P1/P4N2/1P4RP/R2Q2BK b - -,g5f4
r1b2rk1/pp1pppbp/2n1n1p1/q7/2PN4/2N1P1P1/PP3PBP/R1BQ1RK1 w - -,d4e6
2rr2k1/5pp1/4p1p1/Q2pP3/1P4P1/8/P4PPK/8 b - -,d5d4
r7/pp2kpb1/5n1p/4N3/2B4p/8/PP3PPP/3K3R b - -,a8d8
rn1q1rk1/pb3ppp/1p2p3/2b5/4P3/P1Q2N2/1P3PPP/R1B1KB1R w KQ -,b2b4
1k3r2/1p4pp/1qp5/8/3RQ3/6PP/2P2PBK/8 w - -,f2f4
2b2k2/5rbQ/p2p2p1/q1pPn3/1p2P1P1/8/PP2B3/1K1R2NR b - -,c5c4
6k1/R4pp1/4p1p1/1Pn5/r7/7P/5PPK/8 w - -,b5b6
6k1/p4p2/2Bp2p1/3P3p/1r3P2/4K3/b6P/2R5 b - -,a7a5
8/1p4rp/p3p3/4k2p/2P5/7P/PP2RKP1/8 b - -,e5f5
2r3k1/2P2p2/p3pQ2/q5p1/8/8/1K3P2/2R5 w - -,c1h1
8/1p6/4k2p/2pp4/6Pp/Pr3PK1/1P1R4/8 w - -,g3f4
5kr1/1b2bp1p/5p2/8/5P2/4R1P1/PP5P/2R3K1 b - -,f6f5
r1bq1rk1/1p2bppp/p1nppn2/6B1/4P3/1NN5/PPPQ1PPP/2KR1B1R w - -,g5f6
r4rk1/ppq3bp/n2p1np1/2pP1b2/8/1QN1B3/PP1NBPPP/R4RK1 w - -,a2a3
