8/5nB1/p3k1p1/P7/5KPP/8/8/8 b - -,f7d6
2b2r2/r2qnppk/1b1p3p/p1p1p3/R1B1P1N1/2PPB1PP/1P2QP2/R5K1 w - -,d3d4
r1bqk2r/ppppnpbp/2n3p1/1B6/3NP3/4B3/PPP2PPP/RN1Q1RK1 b kq -,e8g8
r3nr1k/1p1b1qbn/p2p3p/P1pPpp2/2P4B/2NBPPN1/1PQ4P/2KR2R1 b - -,a8b8
r4rk1/1p2bppp/3pbn2/q3p3/3nPP2/pP1BB3/P1PN2PP/RN1Q1R1K b - -,e6g4
8/7p/8/3kpp2/8/3KBP2/1b5P/8 b - -,e5e4
8/7p/5pkP/1p4p1/1P1B4/3K1b2/8/8 b - -,f6f5
2r2rk1/pp1bppbp/q2p2p1/3P4/8/1NP1BP2/PP1Q2PP/3R1RK1 w - -,d2c2
8/2k1P3/R7/3p1N2/6K1/2b5/p4r2/8 b - -,f2e2
3r2k1/6pp/5p2/1b6/1pprP1P1/4RP2/1P2K2P/1NR5 w - -,e2e1
n1kr1br1/pppqp2p/8/2PP4/3PP1p1/4N3/PP4PP/R1BQ1RK1 w - -,e3c4
2r1r1k1/1pQ1ppbp/p5p1/1q1p2N1/3PbB2/1PP1P3/P4PPP/R3R1K1 w - -,c3c4
r1q2rk1/p1p3pp/3p4/2pP2b1/2P2p2/2BR2P1/PP2PPQP/5RK1 b - -,c8d7
b1r2rk1/4q1p1/7p/1Bn1p3/8/4Q3/1P1N2PP/2RR2K1 w - -,b5e2
1rb2rk1/3qn1bp/3pp1p1/2p2p2/1p2PP1P/3P2P1/PP1BQNB1/1R3RK1 b - h3,d7a4
8/5k2/p3qp2/3p4/bPpB1Q2/P1P2P2/5K2/8 b - -,a4d1
r1b1k2r/1p2npb1/pq1p2pp/2pPn2P/P3P3/2N1B3/1PQ1BPP1/R3K1NR b KQkq -,g6g5
2bqnr2/2n1ppbk/pr1p2pp/2pPP3/2P2B2/2N2N1P/1P1QBPP1/R4RK1 b - -,c8d7
8/p3pP1p/4k1pb/2R5/8/5P1P/5P2/6K1 w - -,c5a5
r7/1p6/2p1k3/P1R2p1p/1P1P4/8/6PP/5K2 w - -,f1f2
8/8/2p5/6p1/4PkP1/3K4/8/5N2 b - -,f4g4
r3brk1/pp2q1pp/2p1pn2/3pNp2/1PPPn3/3N2P1/P1Q1PPBP/R4RK1 b - b3,d5c4
1Q6/6kp/3p4/5p2/PP6/2r5/5PPb/4RKNq w - -,e1e7
r1r3k1/1pn1qpbp/3p2p1/3Rp1P1/p1P1P2P/Pn2BN2/1PQ2P2/1K3BR1 w - -,d5d1
r1bqr1k1/1p4bp/1n4p1/pN1pN2n/P2Pp3/BP4P1/2Q2PBP/R2R2K1 b - -,e8e5
r4rk1/2p3pp/p2b2q1/2Bbpp2/PP6/3P1P2/1PQ3PP/R3NRK1 w - f6,a1d1
rn1qkb1r/1p1n1pp1/p3p1p1/2p5/3P2P1/2N1P2P/PP3P2/R1BQKB1R w KQkq c6,f1g2
3r4/1p1r1pbk/1q1pb2p/p1n5/P1PNPBP1/1P2Q2P/3R2B1/3R2K1 w - -,d4b5
r7/pp2rk1p/2p1b1p1/4B1q1/2P2p2/P4B2/1Q3PPP/4R1K1 w - -,e5d6
r5k1/pp3p2/2p2npp/6b1/8/P6B/1PP2PPP/1K1RB3 b - -,f6d5
2kr3r/pp1b2pp/4p3/q2pPn2/3P4/P1P5/3QBNPP/R4RK1 b - -,d7b5
r1q2rk1/1R1b3p/1Qpp1bp1/4pp1n/2P5/3PP1P1/4NPBP/2B2RK1 w - -,b6c7
5rk1/Q4pbp/6p1/4q3/8/8/P3BPPP/5RK1 b - -,e5e2
r6r/1p2k3/3Np1p1/np3p1p/2pP4/P1P3P1/1PR1BPP1/4K2R b K -,e7d6
r4rk1/4bpp1/bq2pn1p/pB1pB3/PpPP4/7P/1P1NQPP1/R3R1K1 b - -,a6b5
r1bq1rk1/ppp2ppp/5n2/3p4/Q1B5/P1B1PN2/1P3PPP/R3K2R b KQ -,d5c4
r2r2k1/p4ppp/4pn2/2b1n3/2N5/6P1/PB2PPKP/R4R2 w - -,b2e5
1k1r1b1r/5R1p/1P1p2p1/1P2p3/2P1n1nP/4B3/4N1B1/4K2R w K -,g2e4
7R/8/7p/p2K2p1/P4k2/7P/2r3P1/8 b - -,c2g2
8/p5pk/7p/1pQ2p2/3p1PbP/1P1P2P1/q1PB4/5K2 b - -,a2b1
8/5p1r/6k1/6R1/1P3P2/6P1/6K1/8 b - -,g6f6
8/p4p2/1pp1bk2/7p/PPP2Kp1/8/4B1PP/8 b - a3,a7a5
8/8/1k1p2p1/1p6/1P1N1K1P/8/b7/8 b - -,a2c4
rnbqk2r/ppppbp1p/6p1/3pP1B1/3P2Q1/P7/1PP2PPP/R3KBNR w KQkq -,g5h6
rnbqkb1r/pp3p2/8/1p1pp3/8/1P2P3/PBPP2PN/RN1QK2R w KQkq -,d1e2
4r1k1/p4p1p/1p4p1/2nQ4/q1N1r3/8/P4PPP/1RR3K1 w - -,c4d6
2r3k1/4pp2/3p2pb/8/r2PP3/pRP3PP/P4R1K/5B2 w - -,c3c4
r2q1rk1/2pbnpp1/1p1n3p/p2P3Q/2P5/1PN1B2P/P1B2RP1/R5K1 w - -,a1e1
r2q1rk1/pb1nbppp/1p2pn2/2P5/8/1PN2NP1/PBQ1PPBP/R4RK1 b - -,d7c5
5k2/8/4rppp/p6n/3N4/5NP1/r6P/2R3K1 w - -,d4e6
1r1qkb1r/pb1p1npp/1pn1p3/4Pp2/1PPp4/PN3NP1/5PBP/R1BQR1K1 w k -,b4b5
3B4/3k4/p3pp2/3n2p1/P2K2P1/8/5P2/8 w - -,d8a5
2r5/p3rpkp/4p1p1/3p4/B1nP4/2P5/1P2RPPP/4R1K1 w - -,a4b5
r2q1rk1/pb1nppbp/1p4p1/2pp2BP/3Pn3/2PBPN2/PP1NQPP1/R3K2R w KQ -,h5g6
8/p4pk1/1np4p/3pq3/7P/1P3P2/P2Q2B1/6K1 w - -,f3f4
r2q1rk1/1p3ppp/3p1nb1/p1npp3/2P1P1P1/1PB4P/P1QN1PB1/3R1RK1 w - -,c4d5
r1b2rk1/ppp2ppp/3q4/8/P7/5Q2/1PP2PPP/RN3RK1 w - -,b1c3
3k4/1p6/pNrp4/4bbpR/5p2/8/PPP1B1P1/2K5 w - -,h5g5
8/8/5B2/2p2p1p/6pP/2Pb2P1/2r1kPK1/R7 w - -,f6e5
4r1k1/pp1q1p1p/3P2p1/4P3/2rp2b1/P7/1P3QBP/3R1R1K w - -,d1d4
2rq2k1/1p2p1bp/r2p1pn1/pNnN2p1/P1PBP3/1P3P2/3Q2PP/1R1R2K1 w - -,d2f2
r1b2b2/pp2r3/2p2nBk/4p3/P3Pn1N/2N3R1/1PP2PPP/5RK1 b - -,f6h5
2r3k1/3nbrpp/p1pp4/8/4R3/2N1BP2/PPP3PP/2KR4 w - -,e4c4
r4rk1/pQ4pp/6n1/2b1qp2/2B5/2P5/PP3P1P/R1B2RK1 b - -,g8h8
2b3k1/5pp1/7p/p1Np4/3Pn3/1P5P/B4PP1/6K1 b - -,e4c3
r2q1rk1/1pp2ppp/pbnpbn2/4p3/PPB1P3/2PP1N2/3N1PPP/R1BQ1RK1 w - -,d1b3
r2qk2r/pbpnnpbp/1p1pp1p1/8/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 w kq -,f1e1
4b3/8/pp5R/k2pP1Pn/2nP1N2/2P5/2PK1P2/4B2r w - -,d2d1
r4r2/p3ppkp/n1p3p1/q7/1p2P2P/1B6/PPPQ2P1/2KR3R w - -,d2f4
4r1k1/p3rb1p/1q2Bpp1/3P4/2p2P2/1PQ1R2P/P5P1/4R1K1 b - -,f7e6
8/3r4/p3k1pp/1P2b3/2p1KP2/6P1/7P/3R4 w - -,d1d7
2n5/8/1p1pp3/1P2p3/4P3/1KPk2p1/6q1/2Q4R w - -,h1e1
5rk1/1p1q1bb1/3p3p/1N4p1/1P6/3B2P1/r3PP1P/1RQ2RK1 b - -,a2a6
3r2k1/1pr1bppp/p1np1q2/3Qp3/4P3/2P1N3/PP2BPPP/R4RK1 b - -,e7f8
1k1r3r/1p3p2/1q2b3/p1ppP2p/3N2pP/PR2P1P1/1PQ2P2/2K4R b - -,b6a6
3r2k1/5pp1/1bnN3p/3p4/1PpPb3/1r2B3/4BPPP/3RRK2 w - -,e2c4
3q3k/p5p1/7p/5N2/3R4/Pb6/1P3PP1/1B4K1 b - -,d8c7
8/5pk1/6p1/r2B3p/r6P/6P1/3R1P2/5K2 b - -,a4b4
rn3rk1/1b1nbppp/pq2p3/1p2P3/3N1BQ1/1BN5/PPP3PP/3R1RK1 b - -,b8c6
r1b2rk1/2q1b2p/2p1pnp1/p7/4NP2/2PB1Q2/P5PP/R1B2R1K w - -,e4f6
2rq1rk1/pb2bppp/n1p1p3/2PpP3/8/4P1P1/PBQN1PBP/R1R3K1 w - -,d2b3
4rr1k/pp3qbp/4P1p1/2P5/1Pp5/6P1/P3Q1BP/R3B1K1 w - -,a1d1
r2qk2r/pp1n1pp1/2p1p2p/3p4/3PnB2/P2QPN2/1PP2PPP/R4RK1 b kq -,g7g5
r1bqk2r/pp1pppbp/2n2np1/2p5/4P3/N1P3P1/PP1PNPBP/R1BQK2R b KQkq -,e8g8
1rbr4/3nkppp/pp1p4/4p3/2P1P2P/P3BPPB/2P4R/2KR4 b - -,d7f6
8/4k3/4N1p1/3PPp1p/2K2P2/4b2P/8/8 w - -,c4d3
r2q1r2/pp2ppkp/1np2np1/3p1N2/2P5/1P1P2P1/P2NPPBP/2RQ1RK1 b - -,g6f5
2r4r/1p2q1bk/pQ4p1/3ppp1p/P6P/4R3/1PB2PP1/4R1K1 w - -,e3g3
r5k1/1q6/4p1p1/2p1R1P1/pp2p2P/8/PPPN4/1KR5 b - -,a4a3
3rr1k1/2q2ppp/pp1p1n2/2p5/2P5/1P1RP1P1/PQ3P1P/3RN1K1 w - -,e1g2
r1bqk1nr/pp2ppbp/2np2p1/8/3NP3/2N3P1/PPP2P1P/R1BQKB1R w KQkq -,d4e2:d4c6
6k1/p5r1/1p6/1b1qnp1Q/8/BP2R1P1/P4P1P/6K1 b - -,b5c6
r3k2r/1p1n1p2/p3b3/2p1p3/2P1P1pq/2N1Q3/PP2B1PP/2KR3R w kq -,c3d5
r2q1rk1/pb3pbn/2p1p3/1p2B2p/2PPP1pP/2N5/P1Q1BPP1/R4RK1 w - -,e5g3
8/6pk/1p2q2p/p1r5/P3pQ1P/6P1/2p3K1/2R5 b - -,e4e3
q1r3k1/3nbppp/rp1p2n1/P2Pp3/4P3/1N3N2/3B1PPP/RQ3RK1 b - -,e7d8
3rn1k1/5Ppb/2prp2p/1p6/1p2P3/1P2R1PP/1P1N2B1/R5K1 b - -,g8f7
5k2/1r3pp1/pP2p2p/8/P2P4/4P2P/5PP1/1R4K1 w - -,a4a5
r6k/5p1p/3p2p1/P7/3bP3/8/3B1PPP/2R2K2 b - -,f7f5
6k1/6bp/1p1Nr1p1/r1nn4/4p1PN/2P4P/PB2P3/R4RK1 w - -,d6c4
4rrk1/8/p2q3p/3P1ppQ/1PB5/P3bN2/5RPP/3R3K b - -,e3f2
2k4r/pp6/3P1p2/2P1nbp1/PP6/5p1p/1K3P2/4RB1R w - -,a4a5
r1bqk2r/pp2ppbp/2np1np1/2p5/4PP2/3P1N2/PPP1B1PP/RNB1QRK1 b kq -,c8g4
r4r1k/Q6p/1p3p1q/5P2/P7/6R1/1P6/1K4R1 w - -,a7d7
r2qnrk1/p2p1ppp/bpn1p3/2p5/2PPP3/P1PBBP2/4N1PP/R2QK2R w KQ -,e1g1
r1bq1rk1/p2nbppp/1p3n2/2pp4/3P1B2/2N2NP1/PPQ1PPBP/R4RK1 b - -,c8b7
8/2k1r2p/p5p1/1p6/3RBp1b/P1P2P1P/1PP3P1/2K5 w - -,c1b1
4r3/1p4k1/4rpP1/p1b2Q1P/2Pp4/P2P2q1/1BN5/1R2R1K1 w - -,g1f1
r1b1k2r/1pq1bpp1/p1nppn1p/8/P2NP1P1/2N4P/1PP2PB1/R1BQ1RK1 w kq -,c1e3
4Q1k1/1nN4p/1P3r1p/5p2/6qP/5nP1/5BK1/R7 b - -,f6f8
8/5pk1/6pp/2PQ4/8/7P/5KP1/2q5 b - -,c1c2
5n1R/pp1k1P2/1b1r4/5p2/3p1B2/PN6/1P6/1K6 b - -,d6e6
r1b1rbk1/1p1nqppp/2p2n2/2P5/Np1Np3/P5P1/2Q1PPBP/R1B2RK1 w - -,a3b4
8/8/3k1p2/3b4/1p1K1P2/1P6/P1B5/8 w - -,c2d3
r1b2rk1/pppn1ppp/4p3/4P3/1qpQ4/P1N3P1/1P2PPBP/R4RK1 b - -,b4b6
r1bqr1k1/5pp1/2pb1n1p/p2p4/N2Pp3/PQ4P1/1P1BPPBP/R4RK1 b - -,c8a6
3r1k2/p3bpp1/np2pnp1/4B3/1P5P/P3NNP1/4PP2/2R3K1 w - -,f3d4
2qn1rk1/1p3pb1/2p2npp/2N1p3/1PPp4/3P2Pb/1B1NPPBP/Q3R1K1 w - -,a1a7
3R4/5pk1/p5p1/1p5q/1P2PQ2/P4PNb/6r1/7K b - -,g2g3
2kr3r/Qpp1b1p1/2p3q1/3bPp2/1P3P1p/2P2B2/P4BPn/RN1R2K1 w - -,g1h2
r2q1rk1/pb2bppp/1p2nn2/1N1p2B1/1P6/5NP1/PQ2PPBP/2RR2K1 b - -,h7h6
8/6p1/1r3pk1/R7/5K2/8/8/8 b - -,b6b4
8/r1p2p2/P2p3p/R2P2p1/3kP1P1/5K2/3bB3/8 w - -,a5a2
r2qk2r/pb1pppbp/1pn2np1/2p5/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b kq d3,c5d4
1r2r1k1/q1pn1pb1/6p1/P1pP4/2Q2P1P/NP5P/3B2BK/1R6 b - -,b8b4
8/5Qbk/4p2p/2K5/2pP1BP1/Pq2P3/8/8 b - -,b3a3
r4bk1/2qb1pp1/p5p1/1pnP4/7Q/1PP2N1P/1BB2PP1/4R1K1 b - -,a8e8
r1b4r/p3bk1p/2p1pppB/3Q4/3P3P/5N2/PP3PP1/R3R1K1 b - -,e6d5
8/6k1/3N2p1/6Kp/7P/3n4/8/8 b - -,d3e5
8/1Q2bpk1/p2q2p1/1p5p/1P2N2P/P5P1/5PK1/8 b - -,d6e5
8/1Rr3kp/p1B2qp1/4p3/2P2b1P/5Q2/1P3PK1/8 b - -,c7b7
3r1rk1/2q1nppp/1pp1R3/8/P7/1B1P4/1PP2QPP/5R1K b - -,f7e6
8/5p2/1R4p1/3k4/5PK1/8/8/r7 w - -,b6f6
3q1rk1/5pb1/7p/1p4pP/2p1Q3/2P1B1P1/1P3PB1/3rRK2 b - -,d1e1
3nr1k1/3q3p/p2pp3/Pr3pP1/1BpP1NnP/2P3P1/4R1Q1/4R1K1 w - -,g2a8
8/8/3R4/4nk2/3K1P2/8/6r1/8 b - -,g2d2
5rk1/Bp3ppp/5q2/3Pp2b/Ppr5/4QP2/1P3PKP/R2R4 w - -,d1d3
r1bq1rk1/pp1nbppp/8/3p4/4n3/1NPB1N2/PPQ2PPP/R1B2RK1 b - -,d7f6
5k2/p5pp/1bb5/4R3/1p3Np1/1P4P1/P6P/5K2 b - -,f8f7
2k2r2/3n3R/2P5/2Pp2p1/3P4/2BNr1P1/7P/6K1 b - -,d7b8
8/p7/P2p4/1k5p/Q2pB1pP/1K1P4/8/4q3 b - -,b5b6
5k2/5pp1/pp1q1n1p/2prrB2/2R3PQ/3P4/PP3P1P/5RK1 w - -,b2b4
2r3k1/5p1p/1p6/3n1p2/p3Q3/P5P1/1P5P/1K1R4 b - -,f5e4
3rr1k1/4bp1p/p2p2p1/1ppR4/3nP3/PP1B1PBP/2P3P1/3R2K1 b - -,d4e6
2r2r2/5p2/p4Nk1/3PPp1p/1p1R2b1/2p1K3/PP6/2R5 w - -,b2b3
r2q1rk1/pp1bppbp/2np1np1/3N4/3NP3/1B2B2P/PPP2PP1/R2Q1RK1 w - -,f2f3
4r1k1/1p3r1p/p1qpp1p1/4b3/P1P3Q1/1P2BP2/6PP/2RR2K1 w - -,d1d3
r3r1k1/2qn2pp/2b1p1P1/3pP3/pp1N1P2/3B4/PPPQ4/1K1R3R b - -,d7f8
8/6N1/5k2/2b2pp1/2r5/6PP/1R3P1K/8 w - -,g7e8
2r3k1/1b1n2pp/1p2p3/pP2P3/6QP/2P4N/1q4P1/5BKR b - -,b7d5
1n1q1rk1/r4pbp/3p2p1/p1pPp2n/PpP1P3/1P3NPb/1B1NBP1P/R2QR1K1 w - -,g1h1
r1b1kb1r/3n1pp1/p3pn1p/8/3Np1P1/2N1BP2/PPP4P/2KR1B1R w kq -,c3e4
