8/5k2/1R6/1p3rp1/1P4K1/8/8/8 b - -,f5e5
5r1k/p5p1/1qp4p/5p2/2P5/2P1Q1P1/P6P/4R2K b - -,b6e3
rnbqk2r/ppp1ppbp/5np1/8/3P4/2NB1N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
6k1/7p/2p3p1/5qP1/2PQ3P/4P3/6K1/8 b - -,f5c2
r3k2r/p1p1nppp/2pQb3/1B6/1P2P3/8/P4PPP/RN3RK1 b kq -,c7d6
3rnrk1/1bq1bpp1/pp1p3p/n3p3/2PNP3/PPN1Q2P/1BBR1PP1/4R1K1 w - -,d4f5
r2nk2r/p2qn1bp/2pp1pp1/3Npb2/2P5/3P2P1/P2BPPBP/1R1QK1NR w Kkq -,d5e7
3r1r2/6k1/bp5p/6p1/PpPbppQ1/1P5P/1qR2PP1/1B1RN1K1 b - -,b2b3
8/8/p7/1p2b3/2p1k3/P1P5/1BK5/8 b - -,e5f4
r4rk1/pn1q4/1p3p1p/2pPp1pP/2N1P3/2Q4R/P4PP1/1R4K1 b - -,a8b8
8/8/7p/p2b2kP/P4p2/8/5K2/3B4 w - -,f2e2
2r3k1/4pqbR/2p1b1p1/p2pP3/Pn1Q2P1/1BN2rB1/1PP2P2/1K5R w - -,d4c5
4rk2/4r1pn/pq1p4/2pPnPN1/2P2Q2/1P2R3/2B1R3/7K b - -,h7g5
r1q1r1k1/5pp1/6p1/2pp4/p3n1QP/P1P2N2/1P2RPP1/4R1K1 w - -,g4f4
2kr1bnr/1pp2ppp/p1p5/4p3/4P1P1/3P4/PPP2PP1/RNB2RK1 b - -,f8c5
rnb1r1k1/6bp/3nppp1/qp1p4/N2P4/1P3N2/PB3PPP/1R1QRBK1 w - -,a4c5
r3r1k1/2p2p2/2p1b2p/p3P2n/3N2pB/6P1/PP3P2/2R1R1K1 b - -,h5g7
8/5p2/p1q4k/6bp/3p4/B4R2/P2N2RP/7K w - -,a3f8
8/R5pk/p6p/2p5/r1P4P/6P1/5P2/6K1 b - h3,h7g6
4r3/5k1p/4p1p1/3nB3/pq6/1n1Q1P2/6PP/3RR2K w - -,e1e4
3r1rk1/p5b1/1p2p2p/8/4P1q1/2N1Q3/PP3PP1/3R1RK1 b - -,g4h5
r2r2k1/1p3ppp/3q2b1/nBRp4/Pp6/8/4NKP1/2RQ4 b - -,b4b3
5r1k/1p3r1p/p3Q3/3Nppq1/2Pb4/1P3RP1/P6P/3R3K b - -,g5h5
3r4/nkpp1p2/4r2p/2p1PNp1/2P1R3/1P2RP2/6PP/3K4 b - -,e6a6
r4rk1/pp1b1ppp/2nqp3/8/2BPP3/5N2/P2Q1PPP/3R1RK1 w - -,f1e1
3qr1k1/pb1r1n1p/1p3b2/3P1p2/2P1p3/P2p1NPP/1BQ1RP2/4RBK1 w - -,b2f6
8/p4pk1/1pp3p1/4q3/2P1n1Pp/1P1r1R1P/P5B1/4Q2K w - -,h1g1
r2r2k1/pp3bbp/3p1np1/q3p3/4P1P1/2N1BP1B/PPPQ4/R3K2R w KQ -,g4g5
2b3q1/1n2k3/p2p1p2/2pPp3/2P1P1P1/4Q2p/P2BB2K/8 b - -,b7d8
3q3k/1p3ppB/4r2p/2pnP3/1b1P4/6P1/1BQ4P/5R1K w - -,f1f7
7r/2k2p2/ppq1p3/4P2P/2Pp1P2/3P1K2/3Q3R/8 w - -,f3f2
2r5/7p/3kp3/3p4/1P1K1P2/8/7P/5R2 w - -,f1a1
1r6/4k1pp/1r2b3/3p2q1/3P1n2/1BP1NR2/P5PP/R2KQ3 b - -,b8f8
1R6/p4pkp/4n1p1/3NP3/r3K3/6P1/7P/8 w - -,e4e3
r2q1rk1/pp1bbppp/2nppn2/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 w - -,f1e1:d4b3
r1bq1rk1/ppp5/4pn1p/3pnpp1/3P4/P1P1PPB1/2P3PP/R2QKB1R w KQ -,d4e5
r2qkb1r/pp1n1ppp/2p1pn2/6B1/2NPN3/3Q4/PPP2PPP/R3K2R b KQkq -,f8e7
2r2rk1/5ppp/p3p3/4P3/4Qn2/2N5/1q3PPP/R2R2K1 w - -,e4f4
8/4kp2/3p3b/1pr5/4p1Q1/1P4P1/P1q2PKP/R3R3 b - -,c5e5
rn1q1rk1/pb2bppp/4p3/1ppnN3/3P4/4N1P1/PP2PPBP/R1BQ1RK1 w - -,e3d5
r1b1kb1r/pp1n1ppp/1q2p3/3pP3/8/3B1N2/PP3PPP/R1BQ1RK1 w kq -,d1a4
r2r2k1/1pb1qppp/pnn1b3/2R1p3/1P2B3/P3PNNP/1B2QPP1/3R2K1 w - -,e4c6
r1bq2k1/1p4bp/p2p4/2pPn2p/P7/2N1P2P/1P1N2PB/R4QK1 w - -,h2e5
8/ppN2rk1/3Q1pp1/4p1q1/8/8/P5PP/5RK1 b - -,g5e3
r1b2rk1/2p1p1bp/p1n1p1P1/1p6/3P4/1QN1PNq1/PP1K2P1/3R1B1R b - -,g3f2
r3r1k1/pb1nqppp/5n2/1Ppp4/8/P1B1PN2/2Q1BPPP/R4RK1 w - -,f1e1
r5k1/pb2Qppp/1pq1p3/3r4/3P4/2P2N2/P4PPP/2R2RK1 w - -,f1e1
2r1k2r/1pq1bp2/1np1p1p1/p2pPnNp/P2P1P2/1PP5/2NQRBPP/R5K1 w k -,c2a3
3r2k1/pp3p1p/n5p1/1BpP4/3br3/5N2/PP1R1PPP/2R3K1 w - -,b5d3
r1b2rk1/p3qpp1/2p4p/1p6/1n1Pp3/2N1P3/PP1QNPPP/1KR4R w - -,f2f3
8/1P2r3/8/2PB4/1K1np3/5kp1/R7/8 b - -,e7e8
rn1q2k1/p2p1ppp/1pbBrn2/2p5/4P3/2N3PB/PPQ2P1P/3R1RK1 b - -,e6e4
r3k2r/2pqbp1p/p1np1n2/1p2p3/B2PP1b1/2P2N2/PP3PP1/R1BQRNK1 w kq b6,a4b3
r2rn1k1/pp1n1pp1/2p1p1p1/q5P1/PbBPP2P/2N1BP2/1P2Q1K1/R4R2 b - h3,e8d6
2r2r2/1q2p2k/4P1p1/pNpP1p1p/PnP5/5QBP/6P1/2R4K w - -,g3f4
r2q1rk1/5pbp/p2pb3/1P1Np3/3nP3/N2B4/PP4PP/R2Q1RK1 b - -,e6d5
r1bq1rk1/pp3ppp/2n1p3/3pP3/3P2Pb/2PB4/5P1P/RNBQ1RK1 w - -,f2f4
r2qnrk1/1p1b2bp/pN1p2p1/P1pPpp2/4P3/1P6/2P1BPPP/R1BQK2R b KQ -,a8b8
r1b1k2r/ppp2p2/2N1p2p/3p2p1/2PP4/q1P1P1n1/P1Q2PPP/R3KB1R w KQkq -,h2g3
4r3/p4k1p/2pb2p1/8/8/2PNnp1b/PP1R3P/2K3R1 w - -,d3f2
r1bq1rk1/pp3pp1/2n2n1p/2bp4/5B2/P1NB1N1P/1PP2PP1/R2Q1RK1 b - -,c8e6
5rk1/r3q1pp/5p2/p1pPpPP1/PpPbn2P/1P6/4B1RQ/2B2R1K b - -,a7a6
r3qr2/2pb1nk1/np1p2pb/pN1Ppp1p/P1P1P1PB/5P1P/1P1NB1K1/R2Q1R2 b - -,h6f4
8/2r1k2p/4p1p1/3b1p2/1p3P2/1Pn1P1P1/3NB2P/3RK3 w - -,d1a1
r1r2qk1/1b1n1p2/1pp3pp/3p4/1P1P3P/3BPN2/1Q3PP1/R1R3K1 b - h3,a8a1
2b1qrk1/1pp5/n2p1npp/3Ppp2/1PP1P3/2N2P2/3NB1PP/Q4RK1 w - -,a1a3
5r2/pn1B2k1/1p4pp/2bPp3/P3Pr2/6B1/6PP/1RR4K b - -,f4e4
8/4k2p/b2p2p1/ppnPp1P1/8/1P1BP1NP/P2K4/8 b - -,c5d3
1rbqr1k1/1p1n1pbp/p2p2p1/2pPp2n/1PP1P3/P1N1B1PP/3N1PB1/R2Q1RK1 b - b3,b7b6
5BQ1/3rk3/1p5p/7P/8/1P4P1/P4P1K/3q4 b - -,e7f6
2r3k1/3q2p1/3Ppn1p/1p2Bp2/8/1P2Q2P/5PPK/3R4 b - -,f6d5
4B3/p3R2p/1p3k2/3p1p1q/P2P1p2/1n6/1P5P/4K1B1 w - -,e8h5
5r1k/2q1p1bp/1p3pp1/2pP1P1n/4N2Q/4B3/rP3P1P/4RRK1 b - -,c7d7
8/7p/3kP2P/3n1PP1/4K3/8/8/8 b - -,d5c3
1r3rk1/p4ppp/2p1pn2/2p1p3/5P2/1P1P1Q1P/q1PB2P1/4RR1K w - -,f4e5
2r2rk1/1p1bpp1p/p2p4/3P2B1/1P1bP3/5PP1/P5BP/2R2RK1 w - -,g1h1
4rr1k/pp3p1p/5p1N/2bpp3/8/2PPR2P/PP3P2/6RK w - -,e3g3
3rr1k1/1p1nbp1p/p1p1q1p1/4p3/N3P3/P2RBP2/1PP2QPP/5RK1 w - -,f1d1
2r1r2k/1p1b2pp/2nq1n2/pQ2pp2/1p6/P2P1NP1/1B2PPBP/R4RK1 w - -,b5b7
r1q1rnk1/p5p1/P1pQbp1p/1p2p3/B3P2B/2P5/1P3PPP/R2R2K1 w - -,a4c2
8/6k1/8/8/4rp1R/5K1P/6P1/8 b - -,e4e1
r1r5/1p1k1ppp/1pn1pn2/2bp4/8/2NP2P1/PP1BPPBP/R1R3K1 b - -,f6g4
r1b1k2r/ppp2pp1/4pq2/3p4/3P1PQn/2PB2P1/PP1N1P1P/R3K2R b KQkq -,h4g2
5r2/2R2P1p/6pk/r7/6P1/6K1/1R6/8 b - -,a5a3
r1r5/p2k2pp/1p1npp2/3p4/3P1P2/PN5P/1P3PP1/2R1R1K1 w - -,b3d2
5k2/2r5/1p3rp1/3q1pRp/1P1b3P/3B1RP1/5PK1/3Q4 b - -,d4c3
r3kb1r/ppqbnppp/2n1p3/3pP3/3p4/3B1NQ1/PPP2PPP/RNB2RK1 w kq -,a2a3
r1b2rk1/ppq1bppp/8/2p1n3/3pN3/3P2PP/PPP1NPB1/R2Q1RK1 w - -,e2f4
5r1k/3b4/1p1p2pb/3Bp2p/2PpN1Pq/P2P3P/5PK1/1R1Q4 w - -,f2f3
6k1/1R6/5bp1/5p2/1p6/4KNP1/1r2B2P/8 b - -,g6g5
r2r2k1/1pq1bppp/p1bppn2/6B1/3NP3/2N2P2/PPPQ2PP/1K1RR3 b - -,c6e8
1r2k3/R2n4/1p2p3/4Pp1p/2K2P2/2P1B3/1P5P/8 b - -,b8d8
1r4k1/5rp1/2n1p1pp/pqBpP3/b1pP2PP/1pP1Q2N/2P2P2/RRK5 w - -,b1b2
7r/2p3R1/p1k2p2/1pp1b1pp/4P3/2P1NP2/PP4PP/6K1 w - -,e3d5
1r1qr3/1P3p1k/p2Bb1pp/8/5R2/2bB3P/P2Q2P1/1R4K1 w - -,d2c3
r1bqrnk1/1p2ppbp/p2p1np1/2pP4/2P1P3/2N2N2/PPQ1BPPP/R1BR2K1 w - -,h2h3
8/5p2/1p2k1pp/1r2P3/8/1P2R1P1/5K2/8 w - -,f2f3
r2qbrk1/ppp3bp/3p4/3P1p1n/2P1pP2/2N1B1P1/PP1QB2P/2K2R1R w - -,g3g4
8/4r1k1/1p1p3p/3P2r1/PpB1qpQ1/1P2R1P1/2P4K/7R b - -,f4g3
r2qr1k1/1p4bp/2p1bnp1/2B1p2n/1PP2P2/2N4P/2Q1N1B1/4RRK1 w - -,f4e5
rnbq1rk1/ppp3bp/3p1np1/5p2/1PPPp3/2N1P3/P2NBPPP/R1BQK2R w KQ -,b4b5
r6r/pp3kbp/3p1p2/2pN4/3nPP1N/8/PPP4P/2KR3R b - -,a8e8
3n4/5k2/1pp5/1p6/2p5/2B2P2/PP6/2K5 w - -,a2a4
r1bq1rk1/ppppppbp/n4np1/8/2PP1B2/2N2N1P/PP2PPP1/R2QKB1R b KQ -,d7d5
6k1/1p6/4p1p1/p4nqp/3P2r1/PP3Q2/2R2P2/2R2K2 w - -,c2c8
2r1r3/pp1nqp1k/2p1b1pp/3pP2n/3P4/3B1P2/PP1QN1PP/3NRRK1 w - -,f3f4
5b2/7B/7p/4k3/4R3/2p4r/4K2P/8 b - -,e5d5
r1bq1r2/1ppnppbk/p2p1npp/8/2PPP3/2N1BP1N/PP2B1PP/R2Q1RK1 w - -,d1d2
2r3k1/1pr2pp1/4p2p/p2pP2P/Pn1P4/R1B2P2/1PbRBKP1/8 w - -,e2b5
2r2rk1/ppq1bppp/2n2nb1/2p1p1N1/2N1P3/P1P3P1/1P2QPBP/R1B2RK1 b - -,b7b5
r2r2k1/5ppp/pp2b3/3pP3/1n1N4/1P6/1P3PPP/R2RN1K1 b - -,d8c8
2r2rk1/pp1nbppb/1q2p2p/3pP3/3P1N1n/1P3N1P/P2QBPPB/2R2RK1 b - -,e7b4
1b6/4k2p/1p1N2p1/4P3/5P2/2P5/2K4P/8 w - -,d6c8
8/2q1k1pp/p3P3/5p2/p7/2P3P1/5P1P/1R2R1K1 b - -,c7c3
r1bq2k1/pp2n1pp/2n1pr2/1Npp4/3P4/2PB1N2/PP1Q1PPP/R3K2R b KQ -,e7g6
8/1p3ppk/3qpn1p/8/P1PN2P1/1P2Q2P/5P2/6K1 b - a3,e6e5
2r1k2r/2q1ppb1/p1npb2p/1p4p1/2B1P2P/1NN2P2/PPPQ1BP1/1K1R3R b k -,b5c4
r2qk2r/pbpn1ppp/1p1ppn2/8/2PP4/P4NP1/1P1BPPBP/R2Q1RK1 b kq -,e8g8
1r1q1rk1/5pp1/p2p1n1p/1pp1pR2/2P1P3/1PNPP2P/P1n3P1/2R1Q1K1 w - -,c1c2
r1b1r1k1/1p1n2p1/1pp1p2p/4P3/3Q3N/P1R3P1/1q3PBP/5RK1 w - -,d4e3
8/6kp/6p1/2b1p3/3qB2P/1p3P2/6PK/1Q6 b - -,b3b2
rnbq1rk1/ppp3pp/3b1p2/3p4/8/2PPBN2/P1P1BPPP/R2QK2R b KQ -,b8c6
rnb1k2r/pp2ppbp/1q3np1/2pp2B1/3P4/1QP1PN2/PP1N1PPP/R3KB1R b KQkq -,b8c6
1rbq1rk1/npp1ppbp/p2p1np1/3P4/2P5/2NQ1NP1/PP2PPBP/R1B2RK1 w - -,a2a4
2r1r1k1/1p3pp1/p4n1p/2PPq3/PP2P1b1/3Q1B2/6P1/4RR1K w - -,f3g4
3r1rk1/2q1bp1p/2bp2p1/3PpPB1/1p6/5BQ1/1PP3PP/4RR1K b - -,e7g5
r2q2k1/pp3rbp/1n1p2p1/2pP1nP1/P3NP2/4P2P/1P2B3/R1BQK2R b KQ -,d8e7
rr4k1/pb1nqp1p/1p1Np1p1/2Pp4/1P1P4/6P1/P1Q2PBP/R2R2K1 w - -,c2d2
r1bq1rk1/1p3pbp/2npp1p1/p1p5/2PBP3/P1NP2P1/1P2NPBP/1R1Q1RK1 b - -,c5d4
2rr4/p2bkppQ/1qn1p2p/1pN1b3/1P5P/P1P3P1/1B3PB1/2R2RK1 w - -,h7b1
rnbqk1nr/pp1p1pbp/4p1p1/2p5/2B1PP1P/2N5/PPPP2P1/R1BQK1NR b KQkq h3,g8e7
r2q1rk1/pb1nb1pp/1pn1p3/1Npp4/3P1P2/4BN2/PPPQB1PP/R4RK1 w - -,c2c3
6k1/p4ppp/1p2p3/2p1P2P/2P2PPK/1P6/P7/8 b - -,h7h6
r4rk1/ppp2pp1/2nb2qp/4pb2/3PNP2/2PB4/PP4PP/R1BQ1RK1 w - -,e4f6
2r2rk1/pp5p/1n1pb1p1/4q3/2PQNp2/1P5P/P3BPP1/2RR2K1 b - -,e5d4
r2q1rk1/pp2ppb1/1n1p3p/4n1p1/4P2B/1BN4P/PPP1QPP1/R3R1K1 w - -,h4g3
8/P4n2/1n3k2/8/3NK1P1/7p/7B/8 w - -,h2c7
r3r1k1/1n1q1pbp/3p1np1/1b1Pp3/1Pp1P3/4B1NP/2BNQPP1/R2R2K1 b - -,a8a1
8/8/1P1R4/6KP/8/8/1r2p1k1/8 w - -,d6e6
rnbq1rk1/pp4pp/4p3/b2p1p2/2PPn3/P2BPN2/1B1N1PPP/R2QK2R w KQ f6,e1g1
6k1/1q2p1bp/3p4/2n2p2/2Pp1P2/3P2PP/1pBB1K2/4Q3 b - -,e7e5
3r1rk1/3n1ppp/q7/2p1p3/1p2P3/1P3P2/1BPR1QPP/3R2K1 w - -,d2d5
2r2rk1/pp4pp/6q1/3R4/1Pb2P2/8/P2Q1PBP/4R1K1 w - -,d5g5
rn1qkb1r/pb3ppp/2p1pn2/1p6/3P4/3Q1NP1/PP2PPBP/RNB1K2R b KQkq -,b8d7
r2qk2r/p1p2p2/2ppbn1p/6p1/1b2P2B/2NB4/PPP2PPP/R2Q1RK1 w kq g6,h4g3
2kq3r/pp1b1p2/2n1p3/3pP1p1/1P1P4/P2BB3/5PP1/R2Q2K1 w - -,b4b5
2q2rk1/1p3pbp/p4np1/4p1N1/8/1QP1B3/PP3PPP/3R2K1 w - -,h2h3
rqr3k1/3n1p1p/2pNp1p1/p1Pn4/B2b4/1P3Q1P/3B1PP1/3RR1K1 b - -,c8f8
2rq1rk1/1bp1bpp1/p6p/1p1pN3/1PnP1B2/1Q2P3/P3BPPP/R4RK1 w - -,f1d1
3n4/4k1p1/1P6/K1NBPb1p/8/6P1/8/8 b - -,f5c8
8/8/p3P3/1p1p1n2/4pPpk/1P2P3/P2B3K/8 b - -,h4h5
r3r1k1/3n1p1p/2ppbqpb/np2p3/3PPP2/1PPBBN1P/2Q1N1P1/1R2R1K1 w - -,e3d2
1qr2rk1/1b1nbppp/pp1ppN2/8/P1PP1B2/2NB4/1P3PPP/2RQR1K1 b - -,d7f6
r2q1rk1/ppp1bppp/2n1pBb1/3p4/3P4/2P3P1/PPNNPPBP/R2Q1RK1 b - -,e7f6
8/5p2/4bk2/2R5/5P2/3R1K1r/8/8 w - -,f3e4
rnbqkb1r/pp3pPp/4p3/2p5/5P2/5N2/PPPB2PP/R2QKB1R b KQkq -,f8g7
rnbqkb1r/5ppp/p1p1pn2/1p4B1/2QP4/2N2N2/PP2PPPP/R3KB1R w KQkq b6,c4d3
b7/p3k1p1/1np1Np2/4b2p/2P5/1P1K2PB/P6P/2B5 b - -,g7g6
8/5pk1/6p1/3p3p/7P/1RP3P1/2rr1P2/5RK1 w - -,g1g2
8/3nk1p1/K2bpn2/2r4p/7Q/3R2P1/8/8 b - -,d6c7
2r1kb2/1p3p2/p3p2p/3pP1q1/1P1B4/P1P3Q1/4RPP1/6K1 w - -,g3e3
8/3pk1p1/4p1Pp/8/r3PK2/5NP1/8/8 w - -,f3e5
1q3rk1/p3bppb/4p2p/7Q/2pN2P1/2B2P1N/P1PK3P/3R4 b - -,b8h2
3r1rk1/5pp1/p2pbq1p/1ppn4/4P3/1PP2N2/P2Q1PPP/3RR1K1 w - -,e4d5
r5k1/2bqr2p/b1p1ppp1/ppPn4/3P4/PP1B2P1/1BQNRP1P/4R1K1 b - -,f6f5
r4rk1/bp3pp1/p1n2q1p/P2p4/3Nb3/1NP3P1/1P3PBP/R2Q1RK1 w - -,f1e1
5rk1/1p4b1/pP1p4/3P4/P3PB2/6R1/2r4p/5R1K b - -,c2e2
2k1rB1r/1q1p4/p4p1p/1ppN2pP/3nP3/6Q1/PPP2PP1/R3R1K1 b - -,h8f8
rn1qnrk1/pb3pp1/1p2p2p/2bpP3/2P5/P1NB1N2/1PQ2PPP/R1B1K1R1 w Q d6,b2b4
8/2r5/p5k1/3B1RP1/Pp4P1/8/1b2K3/8 w - -,e2d3
r2q1rk1/pp1nbppp/2p1p1b1/3n2B1/2BP4/5NN1/PPP1QPPP/R3R1K1 w - -,g5e7
1k1r4/1p3p2/8/4r1pp/R3R3/5P2/P2p1P1b/3B1K2 w - -,f1e2
5k2/8/p3K3/Pr5p/1P4R1/8/6PP/8 w - -,g4f4
2k2r2/N7/pP6/2P2n2/6pp/3R4/7P/4K3 b - -,c8b8
r1b2rk1/p1q1bppN/1p2pn1p/2p5/3P4/2PBB3/PPQ2PPP/2KR3R b - -,c5d4
3r2k1/1P3p2/3P2pp/3p4/8/8/6PP/4R1K1 b - -,d8b8
rnb2rk1/1pq1bppp/p2ppn2/5PB1/3NP3/2N5/PPP1B1PP/R2Q1RK1 w - -,g1h1
2kr4/1p4p1/2p2p2/P3pP1b/2PbP2p/P2rN2P/6P1/1RB1R2K b - -,d4c3
8/p7/1pr1kpp1/3Np2n/2P5/1P2KP2/P2R3P/8 w - -,d2g2
r4rk1/pp1n2pp/2pbp3/3p1p2/2PPq3/1P2PN1P/PB2QPP1/2R2RK1 b - -,f8f6
3r3k/ppp2ppp/5N2/5Bq1/8/P7/1PP1n1KP/R4R2 w - -,f6g4
4kb1r/3n1ppp/p1qpb3/1p2p1Pn/4P3/1N2BP2/P1P2Q1P/2KR1B1R b k -,f8e7
r1b2rk1/2qn1ppp/pp2Pn2/2p5/PbB5/4PN2/1P2QPPP/R1BR2K1 w - -,e6d7
3r1r2/5pk1/p4N2/1p1PPp1p/2p3b1/2K5/PP1R4/4R3 w - -,c3d4
r2q1rk1/5pbp/2p1p1p1/1p2n1P1/p1n1PP1P/4N3/PPP1Q1B1/1RB2RK1 b - f3,c4e3
1R6/5k2/5p1p/5K1P/2p1PP2/8/8/2r5 b - -,c4c3
2rqr1k1/4bp1p/3p1np1/p2Pp3/PpN5/5B2/1PP1QPPP/R3R1K1 w - -,g2g3
8/p1nkr2p/1b2p1p1/8/B7/6P1/4RPKP/2R5 b - -,d7d8
4k3/2p2p2/1pbp1P1p/2p1r3/2P1P1PP/3BK3/2P5/5R2 b - -,e8d7
1br4k/6p1/5q1p/2P5/1P4Q1/5p2/7P/2R2N1K b - -,c8e8
1q4k1/4prBp/3p4/2pP1P2/1rP5/6R1/4Q1P1/5RK1 b - -,f7g7
1r1qk2r/3bppbp/p1p3p1/2QpPn2/N7/4BN2/PPP2PPP/R3R1K1 b k -,e8g8
8/8/2n3N1/3Kp2p/8/6k1/8/8 b - -,h5h4
1r1q1rk1/np2bppp/p2p1n2/2pP4/4P1b1/1PN2NP1/PB3PBP/R2Q1RK1 w - -,h2h3
4Q3/4n3/3q2pk/3pb2p/8/4P1P1/2B1NP2/6K1 w - -,g1g2
r2q1rk1/1b1nbp1p/p2p1np1/1ppP4/4PB2/P1NB1N2/1P3PPP/R2QR1K1 w - -,a3a4
r1r2bk1/p1q1pp1p/1p1n2p1/1P1Pp3/PQ2P3/4B3/4BPPP/R1R3K1 b - -,c7d7
r1b1k2r/p6p/2pbpp2/3q2p1/3P4/1Q2B3/PP3PPP/R1R1N1K1 b kq -,a8b8
1nr5/R4p1p/1q1npkp1/3p4/1p1P1N2/QP1BPP2/5KPP/8 w - -,a3a4
2k2b1r/pp2pppp/2r2n2/2p1N2q/Q2P2b1/2P5/PP1N1PPP/R1B1K2R b KQ -,c6a6
r7/1pk2np1/2p2p2/4pb1p/nPP1N2P/p3P1P1/P2R1P2/1N2KB2 w - -,f1d3
5rk1/pp2pp2/3p2np/1P1N2p1/P3q3/4R1PP/1P1Q2P1/6K1 b - -,e4a4
r1bq1rk1/ppn1p1bp/2pp1np1/5p2/2PP4/1PN1PN2/PBQ1BPPP/R4RK1 b - -,h7h6
1k1r1r2/p1p1p3/1p2p1p1/4b3/2Nn3p/P1N1B2P/1Pq2PP1/1R3QKR b - -,e5g3
2r4k/3qn1bp/6p1/p7/3P1P2/8/1P1Q1PBP/2RR2K1 b - -,c8f8
6k1/6p1/p1pqpr2/3pRr1p/1P1P2nP/P4NR1/5PP1/4Q1K1 b - -,g8f8
r2qrnk1/pp4pp/2pb1p2/3p1P2/3P1B2/P7/1PPQB1PP/R4RK1 b - -,d6f4
6k1/p2r1p1p/2q1pBp1/1p2P2P/7Q/bR4P1/P3PP2/6K1 w - -,b3d3
8/8/p7/5N2/4p1p1/1PK1P1P1/k7/7n w - -,b3b4
r4rk1/ppnqppbp/n1p3p1/3pP3/3P4/1BP2Q1P/PP2NPP1/R1B1R1K1 w - -,f3g3
3k4/3n4/3b2pp/1R1Br3/8/5KP1/2R4P/8 b - -,d7f6
2k4r/2p1n3/ppnq2r1/4P1B1/2p3b1/2P3P1/PP1R1QB1/2N2RK1 b - -,d6e6
4q1k1/p3n1pp/1p2b3/8/8/P5B1/1P3PKP/1Qr1R3 w - -,b1c1
4b3/6k1/4pp2/p1p5/2P1Pp2/1P6/P4P2/qB2Q1K1 w - -,g1h2
8/1p6/2kB4/2P5/8/K7/3N3P/1r6 b - -,b1d1
r2q1rk1/3bppbp/3p1np1/p2N4/Pp1BP2P/1B3P2/1PPQ2P1/R3K2R b KQ -,f6d5
r1b1k1nr/p2qppbp/1pnp2p1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 w kq -,b2b4:d2d3
4rn2/1pq3k1/pNp1p1b1/P1PpPp2/1Q3Pp1/1P2P1P1/4BK1R/8 b - -,f8h7
rn1q1rk1/1b2Bpp1/p1p1p2p/3nP3/PppP4/1PN2N2/2Q1BPPP/R4RK1 b - -,d8e7
4b3/pp3p2/5pk1/7p/5BnP/PP6/2P1N1P1/2K5 b - -,e8c6
4r1k1/2q3bp/pp2pnp1/2n5/2P2P2/1PN1PQN1/PB1R2KP/8 b - -,e8d8
2K5/8/2P1k1p1/8/8/1R4P1/3r4/8 w - -,c6c7
3R4/3P3p/3k1p2/pB6/P6p/7P/3r2PK/8 w - -,d8e8
3K4/1P6/8/8/8/8/5k1q/4r3 b - -,h2d6
