8/8/6p1/Rp6/4nk2/P3N3/5r2/6K1 w - -,e3f1
7k/2q2rnB/p3R3/3PQ3/2p5/8/PPK4R/5r2 b - -,f1f2
2r1r1k1/6bp/p4p2/1bNp1p2/3P2qR/2Q2NP1/PP5P/4R1K1 b - -,e8e1
r2q1rk1/pp4bp/n1p2pp1/8/2N4Q/4B3/PPP2PPP/3R1RK1 b - -,d8e7
2kr3r/ppp5/4p1R1/4Pn1p/2P2P1b/8/PP2B2P/R1B2K2 b - -,c8d7
1r2b3/4ppkp/pNp1qbp1/P1Q5/1P6/4P1P1/4BP1P/3R2K1 b - -,e6b3
r3r1k1/1p4b1/p1qp4/2p1pPP1/2P1Q1B1/4B3/PP6/5RK1 w - -,e4c6
4kn1r/R7/7P/2p1PB2/p2p4/8/4K3/8 w - -,h6h7
q3n1k1/3n1pp1/1r1p3p/p2Pp3/2N1P2P/6P1/P1Q2PB1/2R3K1 b - -,b6b7
3r2k1/np4p1/4p2p/3p4/pP1P1PPb/P2qPN2/1BR3B1/R5K1 w - -,c2c3
r1bq1rk1/ppnnppbp/3p2p1/1BpP4/P3PB2/2N2N2/1PPQ1PPP/R4RK1 b - -,a7a6
8/5k2/6bR/6P1/3K3P/8/8/4r3 w - -,d4d5
8/8/1pk2p2/p3b1p1/P2pPpP1/1N1P1P2/1P2K3/8 b - -,c6c7
8/7Q/4rP1p/pp4k1/6p1/P3R1Pq/1B3P2/6K1 b - -,e6e3
r1r3k1/1p2p1bp/p2n4/3Ppp2/8/NP2BP2/P5PP/2R2RK1 b - -,b7b5
1r4k1/3r3p/1p2b2q/1PppP3/7b/5R1P/1BQ2PBK/2R5 b - -,b8f8
1r3rk1/pp2npbp/3N2p1/2pPp3/8/1P1PP1Pq/PB2QP1P/R4RK1 b - -,h3d7
2k5/1pp2pp1/p2p1b1p/1q6/P1n2PP1/1PPR1Q1P/2P3B1/1KB1r3 b - a3,b5b6
6k1/5pp1/2N3bp/1B6/p2NP3/5PPP/3K4/r7 b - -,a4a3
r1bq1rk1/p2nbpp1/1pp1pn1p/3p2P1/2PP1B2/2N1PN2/PPQ2P1P/R3KB1R b KQ -,h6g5
r4rk1/2q2ppp/p3p3/1p1nP3/6P1/1NP5/PP4QP/1K1RR3 b - -,b5b4
r2qk2r/ppp2pb1/3pb2p/3Nn3/2P4B/4P3/PPQ1BPP1/R3K2R b KQkq -,f7f6
5k2/q4p1Q/4B3/7P/1p1p4/1P4P1/P4PK1/8 b - -,a7a8
1br2rk1/pb1q2pp/1p2p3/2Pn1p2/2N5/PP1BP3/1B2QPPP/R4RK1 b - -,c8c5
r2q1rk1/1p3ppp/1np2nb1/p2P4/PbB1NN2/1Q1P1P2/1P4PP/R1B2RK1 w - -,f4g6
r4kr1/5pp1/4b2p/1p1pPp1P/2pP1B2/2P2BR1/2PK1PP1/8 w - -,g3h3
q4rk1/5p1p/p5pQ/2p2R2/2P5/1P1r1PP1/P3R1K1/8 b - -,f8e8
b1r3k1/1q1n1ppp/8/1p1p3r/Q1PPB3/P5P1/2RN1P1P/1R4K1 b - -,b5a4
Q1nqr3/2p2knp/1pP1p1p1/3p4/1P1N4/5PPB/5P1P/4R1K1 w - -,d4b5
1qr2rk1/6bp/6p1/1p5n/1PnNP3/6PP/2R2BBK/3RQ3 w - -,d4f3
8/p7/6p1/2pbk3/3p3p/1P1P3P/P1P2KP1/3N4 b - -,d5c6
2r2k2/1p3p2/3p1b2/3P1Ppp/1r2p3/1R4P1/1PPN3P/1K2R3 b - -,b4b3
4B3/5p1p/6p1/p3k1P1/P6P/1b4K1/8/8 w - -,g3g4
r1bq1r2/1ppn1pbk/p2p1npp/3Pp3/2P1P1P1/2N1BP2/PP1QN2P/R3KB1R b KQ g3,f6e8
3r2k1/1p3bp1/p1q2p1p/P1Pp4/1Pn3P1/2P3BP/5QB1/4R2K b - -,d8e8
rnb1k2r/pp3pbp/2pp2p1/4p3/3Pn1q1/2PBB1P1/PPK1N2P/RN1Q1R2 b kq -,e4f6
r4rk1/p3bppp/1pnqp3/6N1/2PP4/3Q4/P4PPP/R1BR2K1 b - -,e7g5
rnbqkb1r/1p2np1p/p3p1p1/2pp4/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 b kq d3,e7c6
6k1/5b2/3p4/2p2p2/1nP1P3/3p2Kp/7P/3B1N2 w - -,f1d2
5k2/5p2/n3p1p1/1R6/5P2/1N3R2/1br3PP/6K1 w - -,f3f2
2r2r2/pp2ppkp/3p1n2/3P1p2/2P2P2/3B4/PP4PP/3R1RK1 b - -,e7e6
1r3rk1/p3nppp/1qn1p3/3pP1B1/3P4/P2Q1N2/5PPP/1R3RK1 b - -,b6c7
r1bq1rk1/pppn2b1/3p1n1p/3P1pp1/2P2P2/2N3PN/PP4BP/R1BQ1RK1 b - -,g5g4
8/8/8/8/P1K3k1/1R5p/6rP/8 w - -,a4a5
5k2/1Q2b3/4Pp1p/pp6/6qP/2P5/PP6/1K1R4 w - -,d1d8
r1bq1rk1/bp5p/3p2p1/pp2np2/2P1P3/1P6/PB2QPPP/3RRBK1 w - -,b2e5
1rb2rk1/2qp1ppp/2pbpn2/p7/Q1P5/P1N3P1/1P2PPBP/1RB2RK1 w - -,f1d1
r3k2r/pp1q1p1p/3p2p1/3PN3/1PP5/2QP4/5PPP/n4RK1 b kq -,d7f5
r3r1k1/pp2bppp/2p5/q3B3/3Pp3/P4Q1P/1PP2PP1/R3R1K1 w - -,e1e4
r3kb1r/pp2pppp/2n2n2/3q4/3P4/4BN2/PP2BPPP/1R1QK2R b Kkq -,e7e6
r3b1k1/1p2qpbp/2p1n1p1/pP2p2n/2P1P3/P1N1BNPP/1Q3P2/3R1BK1 b - -,a8d8
r4rk1/1b2qppp/p2p4/3P1P2/1p6/1N6/PPP3KP/R2Q1R2 w - -,d1d4
8/8/6k1/3K2p1/6np/8/8/5N2 b - -,g6f5
3r2k1/p3Rppp/q1prnn2/8/6P1/P1NP3P/1PQ2PB1/5RK1 w - -,c3a4
1r3k2/p2Rbp2/2p1r1pp/Np2p3/4P3/7P/PPP2PP1/3R1K2 b - -,e7c5
8/8/5p1p/5k2/5P2/1p2NKnP/8/8 b - -,f5e6
3r3k/7p/1pb1q3/p3p3/4Np2/1PQ2P1P/P2R2P1/6K1 b - -,d8d2
7R/8/3kp3/8/r7/4K3/7P/8 b - -,d6d5
r3k1nr/pppq1pbp/2npb1p1/3Np3/2P5/4P1P1/PP1PNPBP/R1BQK2R w KQkq -,d1a4
3r2k1/pp3pp1/1bp3p1/6N1/2Pp4/1P1R2P1/P4P1P/5K2 b - c3,d4c3
8/8/4k3/1R6/4PK2/8/8/4r3 b - -,e1f1
r2qk2r/1bp1bppp/p1np1n2/3Np3/Pp2P3/1B1P1N2/1PP2PPP/R1BQ1RK1 b kq -,c6a5
8/1p6/8/1rPp2p1/3Ppk2/8/3R1P2/5K2 w - -,f1e2
r2q4/4p1kp/pn1pp1p1/1pp5/3nP3/P1NP1P1P/1PP2P2/1RQ2RK1 w - -,g1g2
r3kb1r/1b1n1p1p/1q2pp2/1B6/3p4/5N2/PP2QPPP/R1B2RK1 b kq -,h8g8
8/p6R/3k2pP/8/3Pp3/4r3/KP6/8 w - -,h7h8
8/8/p7/3k4/8/1P2P3/b2NK3/8 b - -,a6a5
8/rb5k/p1q3pN/7n/Pp2P3/2bQ3P/2B2PPB/1R4K1 b - -,h7h6
r2qkb1r/2p2ppp/p1p1bn2/3pQ3/5B2/2N5/PPP1PPPP/R3KB1R w KQkq -,e5c7
2b2rk1/5ppp/1r2p3/3pP3/1p3P2/3B4/1PP3PP/R4RK1 b - -,c8d7
rnbq1rk1/p2n2pp/1pp1p3/3pPp2/1b1P1PQ1/2N2N2/PPPB2PP/R3KB1R w KQ f6,g4h3
2k4r/1p1bb2p/pqn1p2Q/2p1P3/2PpN1rP/3B1N2/PP3PP1/R4RK1 b - -,c6b4
3r2k1/1b4b1/p2pp2p/5p2/5P2/1P2P2P/P3NK2/2rRB3 w - -,d1c1
1k1r1b1r/pp3ppp/5n2/RB3q2/4p3/8/1BPPQPPP/4K2R w K -,b2c3
5bk1/5p2/Q3pPp1/p1r1B2p/1p2PP1P/1P6/6PK/2r5 b - -,c1c2
8/5p1k/6qp/5Np1/2Q1P3/3P2P1/2b3KP/8 b - -,c2d1
4r1k1/b4p2/p1Np3p/1p1R1P2/1P6/8/P3r2P/4BR1K w - -,e1h4
r1b1k2r/pp1ppp1p/n5p1/4P3/8/2N2N1P/P2Q1nP1/q1B1KB1R w Kkq -,e1f2
8/1kp3R1/2n5/p7/8/PK2P1P1/7r/8 b - -,h2e2
2b2rk1/5pbp/p1rp4/8/4qP2/2PBB3/P1P3PP/R4RK1 w - -,d3e4
r1b2rk1/pppp1qbp/5p2/1B2nN2/8/8/PPP2PPP/R1BQ1RK1 w - -,c1h6
r1b2r2/1p2q1bk/1n2nppp/pPpBp3/2P1P3/5NNP/PBQR1PP1/4R1K1 b - -,e6d4
r2qkb1r/pp3ppp/2npbn2/4p3/4P3/2N1B3/PPP2PPP/RN1QKB1R w KQkq -,f1e2
r1b2rk1/1p1nqpbp/p2p2p1/2pP4/P4Bn1/2N2NP1/1PQ1PPBP/R4RK1 w - -,f4g5
1r2k2r/3p1n2/2b1p3/2b1P3/2B2Q2/8/P1P2PP1/3RR1K1 w - -,c4e6
2R5/6bp/1p1k2p1/3p1p2/1p5P/4P1P1/1P3PK1/r7 b - -,g7b2
rnbqk2r/pp2nppp/2pb4/3p4/3P4/3B4/PPP1NPPP/RNBQ1RK1 w kq -,c2c3
r4rk1/pbppqpbp/1np3p1/4P3/2P2P1P/2N5/PP1BQ1P1/2KR1B1R b - f3,b7a6
5rk1/1pp3pp/1p3bp1/8/4N3/2n2P1P/P1N3P1/4RK2 w - -,e4c3
rnb4r/pp5p/2nkpp2/1B1p4/3P1N2/5N2/PP3PPP/2R1R1K1 b - -,c8d7
r4rk1/1b1n1pbp/1q1p1np1/pP6/P1P1pP2/4P3/2N3PP/RNBQKB1R b KQ -,d7c5
2rq1k1r/p2pnppp/bp2p3/n1p1P2N/2PP4/B1PB1P2/P3Q1PP/R3K2R w KQ -,d4d5
3R1k2/1b3p2/5Np1/6P1/2p5/2P1p1KP/1r6/8 b - -,f8e7
r2q1k1r/pp3pp1/1npb1n1p/5P2/3P4/P1N2Q1P/1PP3B1/R1B1R1K1 b - -,d6c7
r1bqk2r/1p3pp1/2pbnn2/p2pN2p/3P3P/P1NBP1B1/1PQ2PP1/R3K2R b KQkq h3,f6g4
r4r2/1bqn1pkp/p2p2p1/2pPp1Pn/Pp2P3/5N1P/1PPQNPB1/R3R1K1 b - -,a6a5
2rr2k1/pp1bb1pp/1np1pp2/2n5/3PP3/2N1B3/PP2BPPP/2RR2K1 w - -,d4c5
r1b1r1k1/1p3pb1/1qpp2p1/p3p2p/P1N1PnnP/2PP2N1/1P2BPP1/R1Q1BRK1 b - -,b6d8
2rq2k1/1b3pbp/p5p1/3Pn3/P2N4/3Q3P/2B2PP1/1R2B1K1 w - -,d3e2
2rr2k1/pppb1ppp/4pn2/nq6/1bNP4/1P2PNP1/PBQ2PBP/R4RK1 b - -,d7c6
1k2r2r/ppp4p/2R3p1/4P3/2nPp3/1q2B1NQ/5PPP/5RK1 b - -,b7c6
2r2rk1/1N3p1p/p3p3/1pb1P1p1/2p5/P4P2/1PP3PP/3R1R1K w - -,b7d6
Q7/1B2qpk1/8/2p3pn/8/1PP1p2P/4QpK1/8 w - -,e2h5
1k1r2r1/ppp5/7q/4p3/1P2Rb2/2PP1B2/P4PP1/1R1Q2K1 w - -,c3c4
6k1/R6p/3p4/P2rpp2/8/5P2/6PP/6K1 b - -,f5f4
5R2/8/8/8/1P5p/2K1k3/6r1/8 b - b3,h4h3
1rbq1rk1/p3bppp/1n2p3/1pppP3/4PP2/2P3P1/PP1N2BP/R1BQ1RK1 w - -,d1e2
4k3/1bq2p1p/4pNr1/pp4P1/7P/P7/1pP2QP1/1K1R4 b - -,e8f8
7r/p2R1kp1/5b1p/2P1r3/1P2p1P1/5n2/P2BNPKP/4R3 b - -,e5e7
8/5b2/2k5/7N/7K/5P2/6P1/8 b - -,c6d6
7n/r3p1k1/4R3/7P/6P1/6K1/5R2/8 b - -,a7a3
2r3k1/1p1r2p1/p3R2p/2P2p2/PP1P4/2B2P1P/5KP1/8 w - -,h3h4
4n2k/5p1p/B2b2p1/P2P4/8/2B3P1/5P1P/6K1 b - -,h8g8
1B6/p2qbk1p/Qp2p1p1/1n1p1p2/3P3P/4PPP1/7K/1R6 b - -,b5a3
r1bqk2r/ppp1nppp/1bnp4/8/4P3/1NN5/PPP1QPPP/R1B1KB1R w KQkq -,c1e3:c1g5
r1bqk2r/pp3p1p/3p2p1/2pPp3/3n4/3P2P1/PPPQ1PBP/2R1K1NR b Kkq -,e8g8
6k1/1b1n2rp/p6q/2p5/5r2/1P2ppP1/PQ1N1P1P/4RR1K b - -,h6h3
2r4k/1prn1q1p/3b2p1/p1pPpp2/4P3/1P2BPPB/P1R1Q2P/2R4K w - -,h1g1
r1bq1rk1/ppp1bppp/2np1n2/8/3NP3/2N1B2P/PPP2PP1/R2QKB1R w KQ -,f1c4
r1bqr1k1/pp2ppb1/6pp/3B4/8/1Q3nP1/PP2PP1P/R1B1R1K1 w - -,b3f3
8/5Np1/7p/2k5/4P1P1/3K3P/8/b7 b - -,a1b2
2r5/1prk4/1pn1pp1p/3p4/1P6/P4N2/2R1KPPP/2R5 w - -,b4b5
6k1/1p1q2p1/1B1pp1n1/3Pp3/2Q1P1pP/6P1/5P2/6K1 w - -,d5e6
4r1k1/pp3p1p/2p3p1/2n5/2P3b1/6P1/PR1N1P1P/5BK1 b - -,e8e1
rn2kbnr/pp1qpppp/8/1Q1p4/8/5N2/PPPP1PPP/RNB1K2R w KQkq -,b1c3
r1b1rqk1/1p3pb1/p1p1pnpp/4N3/P1PP4/4B2Q/1PB2PPP/R3R1K1 w - -,h3g3
2r2rk1/1pq2pp1/4b2p/pQ6/P7/4B2P/2P2PP1/R2R2K1 b - -,e6c4
2r1b1k1/1p2q3/p1p5/2Pp1QPp/PP1P1P2/2B2PK1/8/8 w - -,f5c8
r1bq1rk1/pp3nb1/n2p1pp1/2pPp2p/2P1P2B/2N2P2/PP2B1PP/R2QKN1R w KQ -,h4f2
8/4R3/6pk/7p/4PP1P/5K2/7r/8 w - -,f3g3
2r4k/6p1/4p1b1/4P3/1r1N4/8/5B2/4R1K1 w - -,d4e6
2r1k3/1R1n1p2/2p1p3/R1Pr3p/3B1P2/4P3/3PK3/8 w - h6,a5a7
2K5/7r/8/8/3k4/2n5/8/2R5 w - -,c8d8
8/p2r1k2/1pN2p2/5n1p/6p1/P5P1/1PR2K1P/8 b - -,a7a5
r2q1rk1/1p1b1p2/p1n1pbpp/1BPp4/3P4/P1N2N2/1P3PPP/R2QR1K1 w - -,b5c6
5k2/1p4pp/p1b2r2/8/1PQ1N3/P6P/5qPK/2R5 b - -,f2f4
r3k2Q/8/2p5/p1P4P/P7/2B2P2/qP6/2K5 b - -,e8d7
r2q1rk1/pb1pbppp/1pn1pn2/6B1/P2P4/2PB1N2/1P1N1PPP/R2Q1RK1 b - -,f6d5
r2r4/2p3p1/p1p1kp2/Pp2p1bp/1P2P3/N1PP1P1P/4KP2/R5R1 b - -,d8d6
3Q2k1/2p2bp1/3p4/5q2/4N3/5PK1/2p5/8 b - -,g8h7
6k1/1q2pp2/3p1bpp/3P2P1/2n2P2/2P2K1P/4N3/2BQ4 b - -,h6g5
8/4k3/3pb3/2p1p2p/2P1Pp1P/1P3P2/r3NK2/3R4 b - h3,a2b2
1r1q1rk1/2pb1ppp/1n2p3/p1Q5/P2P4/4PN2/3N1PPP/R4RK1 w - -,c5a5
5rk1/p1q2ppp/2p2n2/2p3rb/2PPp3/P3P2P/1B1N1PP1/R1R2Q1K b - -,f8e8
8/4k3/8/1BP2p2/1r3P2/3R2P1/2K5/8 b - -,b4b5
8/5k2/r3pqp1/b2p3p/P1pP1P2/1r4PB/4R2P/3RQ2K w - -,e1g1
r1bqk2r/pp1nbppn/2p1p2p/8/2PPN1PP/5N2/PPQ2P2/R1B1KBR1 b Qkq -,h7f6
1r1q3k/1p4bp/pNp1b1p1/2Pp3n/3B4/4QrPP/PP2P1B1/2R3K1 w - -,e2f3
r3r1k1/ppb1qp1p/6p1/3R1p2/2N5/4P1P1/PPQ2P1P/R5K1 w - -,c2b3
5r2/3k1p1p/p1rqb1p1/3pQ3/R2P4/1PN1RP2/2PK2PP/8 w - -,e5d6
r3r1k1/p1p2ppp/2b1q3/4p3/2Q5/2N5/PPP2PPP/R3R1K1 w - -,c4c5
2k4r/1pr2ppp/p1nb1n2/2p2b2/N1B5/4BN2/PP3PPP/R4RK1 w - -,a4b6
r3r1k1/1b1q2bn/3p4/pn3P2/1p1P1B1p/7P/PPQ1NNBK/2RR4 b - -,b7g2
r4rk1/1p2q1pp/p2bbp2/3p1p2/3Pn2P/3BPNP1/PP1N1P2/R1RQ2K1 w - -,d3e2
4r2k/6p1/5n2/1Q2pq1p/8/1P4PP/P5BK/5R2 b - -,f5e6
8/P7/7p/8/8/P2Rn1p1/3Nkr2/7K b - -,f2f8
6k1/3q1pp1/1p5p/r2P4/4Q3/4P1P1/5PKP/1R6 b - -,d7d5
r1b2rk1/ppp1pqb1/n2p1n1p/5pp1/2PP1P2/1QN3P1/PP1NP1BP/R1B1R1K1 w - -,d2f3
2rr1nk1/3qbpnp/pp1pp1p1/6P1/2PNNP1P/1P2PQ2/PB6/2R2RK1 b - -,d6d5
rn1q1rk1/pp3ppb/2pbpn1p/7N/2BP1N1P/8/PPP1QPP1/R1B1K2R w KQ -,g2g4
r2qk2r/1p2ppbp/p2pbnp1/4P3/8/1nN5/PPP1BPPP/R1BQ1RK1 w kq -,e5f6
r3kb1r/pp1q1ppp/4pn2/2pPR3/2P5/8/PP3PPP/RNBQ2K1 b kq -,f8e7
r2r4/1p3k1p/2b3p1/1pn1p1P1/2p1P3/P1P1K3/1PBN2P1/1R1R4 b - -,d8d7
8/p2r2k1/R5pp/5p2/4pP2/1P4P1/P3K1P1/8 w - f6,b3b4
1r4k1/R1r1bpp1/2qpb2p/1pn1p3/1B2P2P/1P2N1P1/2P1QPB1/3R2K1 w - -,d1a1
r1bq1rk1/pp2n1b1/6p1/2ppp2p/7P/2PPN1P1/PP1QNPB1/2R2RK1 b - -,g7h6
rn3rk1/pp1nppbp/3p2p1/q1p5/2PPP3/2N1BBPP/PP3P2/R2Q1RK1 w - -,d4c5
rnb1k2r/ppp2pp1/3ppq1p/b7/3PP3/P1N5/1PPQ1PPP/R3KBNR w KQkq -,g1f3
3r1nk1/1p1q1bb1/rp1p3p/3PpBp1/2N5/P2QP1P1/1B3P2/2R2RK1 b - -,d7e8
r5k1/3p1rpp/2p1p3/2BnPpq1/1PQ2P2/6P1/4P1KP/2RR4 b - f3,g5h5
rnbqkb1r/ppp2ppp/3p4/3nP3/3P4/8/PP3PPP/RNBQKBNR w KQkq -,g1f3
4b3/8/8/R5p1/4Kbk1/8/8/8 b - -,e8c6
1r2nb2/6k1/p2p1pN1/4pB2/Pp1r4/6R1/1PP2PP1/2R3K1 w - -,g6e5
r2r2k1/4qppp/2p1p3/PpnnP3/2Q5/P4B1P/2PBRPP1/R5K1 w - b6,c4g4
2q2rk1/1p2bppp/p3p3/3pNn2/PP1P4/2Q5/3N1PPP/R4RK1 w - -,c3b2
5rk1/2r1bppp/pNp1bn2/3p4/5B2/3NP3/PP3PPP/R4RK1 b - -,c7b7
r3nb1k/1p6/n1p1p1rp/p2pPp1N/P2P1PP1/2P1B2R/1P3K2/3B3R b - g3,f5g4
2b2r2/1pq2pbk/1np2npp/p3pP2/P3P3/1P2B1PP/2P1N1BK/3NQR2 b - -,f8d8
r3r1k1/ppbq1ppp/2p1bp2/2P5/1P1P3n/P5NP/1B2BPP1/R2QR1K1 w - -,e2f1
r2q1rk1/pb4b1/1pn3pp/2pn1p2/3p1P2/3P1NPP/PPP1NBB1/R2Q1RK1 w - -,c2c3
8/6pk/1B5p/5p2/3n3P/3r2P1/2p2PK1/2R5 b - -,d3d1
2rq3r/3nkppp/N3b3/4p3/2p2n2/5PP1/PP1Q1B1P/2R1KB1R b K -,f4h3
3r1rk1/1p1b2p1/p2n3p/3p3q/3P4/P1NQ1P1P/1PBB2P1/4R1K1 w - -,d3h7
6R1/8/5k2/4p3/4r1P1/6PK/8/8 w - -,h3h4
8/4k3/1p6/p7/P2q3p/1P5K/2Q5/8 b - -,e7d6
r2qk2r/pp1nbpp1/2p1pn1p/3pNb2/2P5/1P2P3/PB1PBPPP/RN1Q1RK1 w kq -,f2f4
2b4k/5Q1p/p1p1pp2/2q1p3/8/4K1R1/6PP/8 w - -,e3d2
2r1r1k1/pq3p2/8/1bp3Q1/2B3P1/5p1P/PP3K2/4R2R b - -,g8f8
7r/1prb1pk1/p1q2bp1/3pp2p/P2P3P/1QPBPPP1/4NK2/R1R5 w - -,c3c4
2r1qr1k/1p1nb1pp/p2ppn2/4p3/1PP1P3/P1N1B2P/4QPP1/1BRR2K1 b - -,e8g6
8/8/p7/P2b4/1k6/7p/5K1N/8 w - -,f2e3
5rk1/p3bqpp/3p4/2pPpb2/P1Q1N3/2P3P1/Rr3PBP/5RK1 b - -,b2b6
3r1rk1/5ppp/p7/1p1N4/4P1P1/7P/1PBn4/2K4R b - -,d2f3
2r5/4bk1p/3p4/2P1p3/1P3p2/2B2P2/6PP/3R2K1 b - -,d6c5
r5k1/p7/3p2q1/2PPp2p/4P3/1RN1bP1b/2KN4/R3B3 w - -,c5c6
8/p7/4k2p/5p2/P1Nb3P/1P4P1/4KP2/8 b - -,d4c5
rr4k1/3nppbp/p2p2p1/q1pP4/2P1P3/4B1P1/P3QPBP/1R3RK1 w - -,b1b3
2r1r1k1/1p2pp1p/q4np1/4B3/b7/1B2QP2/P5PP/R3R2K w - -,a1d1
8/8/8/8/8/7p/5K1k/5Rr1 b - -,g1g6
r2q1rk1/ppp3pp/2np4/1B3b2/5Pn1/2N1B3/PPPQ2PP/2KR3R w - -,e3g1
2rnk2r/pq2npp1/1p2p2p/2ppP2P/P2P1QPN/B1P4R/2P2P2/R5K1 b - -,c5d4
r3qbk1/1pBr1p1p/p1p1p1p1/7n/P1PP2P1/1P3N1P/5P1Q/R4RK1 b - g3,h5g7
r4b1r/1p1k1p1p/p3p1p1/n2nN3/3P4/2N5/PP3PPP/R1B1K2R b KQ -,d7e8
3rk2r/pp3p2/2b1pn1p/1Bb5/7p/2N2N2/PPP2PPP/R4RK1 b k -,c6b5
7k/p7/8/1Ppr4/8/3NK1P1/8/8 w - -,d3f4
2r3k1/pp3pp1/4p2p/7P/2P1P1P1/1P6/P7/1K1R4 b - -,c8c7
r1rb2k1/1q3ppp/1p2p3/pRPpB3/3Pn3/P2BP2P/5PP1/1Q3RK1 w - -,d3e4
r7/p4p1k/1rp1p1pp/2q1n3/8/2n4N/P1PQ1PPP/R1RB2K1 b - -,c3d1
r4r2/pp5p/8/2p1n1kn/4Pp2/3P2PR/PPP2N2/R1B1K3 w Q -,g3f4
r2n1rk1/pbp1q1bp/1p1p1np1/5p2/1PPPp3/PNN1P1P1/1B2BP1P/R2QK2R w KQ -,d4d5
2r3k1/2r3pp/8/3R4/p2B3P/P5PK/8/8 b - -,h7h6
r2qr1k1/1pp2ppp/2np1n2/p3p3/2P3b1/PPQPPN2/1B2BPPP/R4RK1 b - -,h7h6
r1b2rk1/pp4p1/2p2qnp/4p2Q/P3P3/2N1B2P/1PP2PP1/R3R1K1 w - -,a1d1
r2qkb1r/1b1n1ppp/pn1pp3/1p6/3NP1P1/2N1BP2/PPP2Q1P/2KR1B1R w kq -,f1d3
8/3n4/pppk1ppp/8/PP1KPP2/2N3PP/8/8 b - -,c6c5
3k4/1p2r3/p1r2p2/P1pp2p1/2b3P1/2P1BP2/2P2KP1/4R2R b - -,d8d7
r2q1rk1/p2n1ppp/bpp1pn2/3p4/1bPP4/1P3NP1/P1QNPPBP/R1B2RK1 w - -,e2e4
r4rk1/1pn1bppp/1q2pn2/1P2N3/p2P4/P2B1Q2/1BR2PPP/5RK1 w - -,b2a1
8/8/K5p1/2p2p1p/4pP1P/8/1Q2kP2/8 b - -,e2f3
2r1r1k1/1p1bppbp/p2p1np1/8/Pq2P3/2NBB2P/1PPQ1PP1/R4RK1 b - -,d7c6
2kr3r/pbq2p1p/1pn1p1p1/2pn4/2N5/1P3NP1/P1PPQPBP/R4RK1 b - -,h8e8
r3k2r/pbqnbppp/1p2p3/2pnP3/8/2PB1NP1/PP1NQP1P/R1B2RK1 b kq -,g7g5
