5b2/7k/4KP2/8/3B2R1/8/3r4/8 b - -,d2h2
rn1qkb1r/1p3pp1/p2pb3/3Np2p/4P3/7P/PPP1NPP1/R2QKB1R w KQkq -,e2c3:d1d3
r4k1r/pR3p2/4pN2/2b5/6P1/5n2/P3KP1P/6R1 w - -,e2f3
4br2/pn2ppkp/1p4p1/7r/2P2P1P/1B1N2P1/P3PK2/2RR4 b - -,h5a5
4r1k1/3R1p2/1Q2p2p/p5p1/P1P5/1P3qPP/5P1K/8 w - g6,h2g1
r1k2b1r/2pb1pp1/1pp4p/p3Pn2/4N3/1P3N1P/PBP2PP1/R4RK1 w - a6,c2c4
1rb2rk1/4bpp1/ppqp1n1p/2p5/P1P1Pp2/2NP3P/1P4PN/R1BQR1K1 w - -,c1f4
RQ6/5pk1/4p3/3r3p/1Pp2P2/K3q3/P7/8 w - -,a3a4
4r1k1/1p1Q1pb1/p2p4/P2P4/1P6/7P/4n1P1/5K2 b - -,e2g3
8/1R3pp1/1p4kp/8/4P2P/1r2KNP1/1r2P3/8 w - -,e3f4
6k1/5p2/5bpp/1PR5/4p2P/6B1/1r3PPK/8 w - -,c5c8
2R3k1/5pp1/5n2/3q1P1p/5Q2/2P4P/6PK/8 b - -,g8h7
8/b7/P2p4/1k1P4/5p2/5P2/B5K1/8 w - -,g2h3
r2qkb1r/pbpn1ppp/1p2pn2/3p4/5P2/3P1NP1/PPP1P1BP/RNB1QRK1 b kq -,f8d6
8/1pp1b1kp/pn3pp1/4q3/1P6/PN2P2P/2Q1BPP1/6K1 w - -,e2f3
r1b2rk1/pp2nppp/2p5/4P1B1/1b1pP3/1BNPqN2/PPP3PP/R2Q3K b - -,e3f2
8/r7/2pkb2R/1p1P3p/1P2p1p1/4PpPP/5P1K/5B2 b - -,c6d5
r7/p1R2p1p/1pb1p1k1/4n1p1/4N3/2N3P1/PPP4P/2K5 b - -,a8d8
qr4k1/4ppbp/rn1p1np1/2pP4/4P3/P1NQ1NPP/1P3PK1/R1B1R3 w - -,a1b1
r1b2rk1/pp1pbppp/2n1pn2/q7/3NP3/2P3P1/PP1N1PBP/R1BQ1RK1 b - -,d7d5
2r3k1/4pr1p/p2p2p1/6Pn/q1nRPP1R/1NQ5/2P3B1/2K5 b - -,a4a3
8/6q1/3p1kpQ/2pPp2P/1pP1P1P1/1P3K2/8/8 w - -,g4g5
8/5k1p/5p2/3p4/p1pP4/P2r4/1PK1R1PP/8 w - -,e2d2
r3r2k/1pp4p/2npqbp1/2n2p2/p1P5/P3P2P/1PQ1BPPB/1N1RR1K1 b - -,e6e4
2r1b1k1/1p2r1pp/2n1pq2/pB1p4/P2P1p2/2P2N1P/1P1QRPP1/4R1K1 w - -,b5c6
1rb1k2r/1pqnppb1/p1pp1np1/P6p/3PP3/2N1B1PP/1PP1NPB1/R2QK2R w KQk -,d1d2
8/1bPK4/1p4r1/1P6/7B/4R3/4p3/3k4 b - -,g6g7
r1b1nrk1/1ppq2bp/3p4/p1nPppB1/2P1P3/2N2N1P/PPQ1BP2/2KR3R b - -,e8f6
8/2k5/2Pp4/4p1p1/Bp2P1P1/1K5P/P7/4b3 w - -,a4b5
r1bqBn2/pp3k2/3Qpbp1/5p1p/2P5/4BN2/PP3PPP/3R1RK1 b - -,d8e8
8/B7/4p2r/5p2/2kP4/6K1/3r1P2/4R3 w - -,a7c5
r1b2rk1/3nbppp/pq1ppn2/1p4B1/3NP3/1BN2Q2/PPP2PPP/3R1RK1 w - -,f1e1
1kr4r/1bq1bp1p/p2pp1p1/6PP/1p1NPP2/1P2B3/P1PR2Q1/1K1R4 b - -,g6h5
r1b1kq2/1p1n4/p4n2/8/2B1P2r/2N5/PPPQ2PP/1K1R1R2 b - -,f8e7
r1b2rk1/ppp2pbp/5np1/4p1B1/3qP3/2N3P1/PPP2PBP/R2Q1RK1 w - -,d1d4
r3k2r/p1ppqpbp/b1p3p1/4P3/1nP2P2/1P6/P4QPP/RNB1KB1R w KQkq -,c1b2
r3rk2/3n1p1Q/pp1p2p1/5PP1/P1q5/1Nb4R/1PnB2KP/5R2 w - -,h3c3
r3kbnr/ppp3pp/2n2q2/8/1PPp4/P4P2/R4PPP/1NBQKB1R b Kkq -,e8c8
8/pr2k1pp/2n1p3/2p5/2P4P/P3P3/4BKP1/7R w - -,h4h5
r1b1k2r/bpp1qpp1/p1np3p/3np3/2PP4/4PNP1/PP3PBP/R1BQ1RK1 w kq -,c4d5
r4rk1/pbq2pp1/7p/n1p1pB2/4n3/4Q1P1/PPPP1PP1/R1B2RK1 w - -,f5e4
r1bq1rk1/pp2bpp1/2nppn1p/8/4PB2/2PB1N1P/PP1NQPP1/R4RK1 w - -,f1d1
8/pp1r2pk/3P1n1p/4qN2/1P2p3/P3r1PP/5QK1/3R4 w - -,f5e3
2kr3r/pp1n1pp1/4p2p/q2pPn1P/b1pP1BR1/P1P2N2/2P1BPP1/1R1QK3 w - -,d1d2
2rq2k1/1p1nbrp1/p3p2p/P2pPp2/3P1PP1/1N1Q3P/1P1B3K/R5R1 b - -,d7f8
6k1/4b1pp/p1p1p3/4Pp2/Pp1B1P2/1P3Q1P/1Pq3PK/8 b - -,g7g6
r7/1p3rpk/3p2np/2p5/P1P1Pp2/3P1P1q/3B1R1P/1R1Q2K1 w - -,b1b6
r2q1rk1/n1p1bppp/p2p4/P1n5/2QpP3/2P2N2/3N1PPP/R1B1R1K1 w - -,c3d4
4R3/5p2/8/1p1b2p1/3B1rkp/2P5/1P4P1/6K1 b - -,d5c4
r4qk1/1R2b1pp/r5b1/2pPBp2/p1P5/6Q1/4B1PP/R6K b - -,e7d6
r3r1k1/1p1b1p1p/p2Q1n2/2pP1P1n/P1Pqp2N/R1N3P1/1P4BP/3R3K b - -,d4f2
3r2k1/5pp1/pp1P4/2n1p3/1PRp4/8/5PPP/3R2K1 b - b3,c5e4
2kr1b1r/pppbnqpp/2n1pp2/1B1pP3/3P1B2/2N2N2/PPP2PPP/R2QR1K1 w - -,d1e2
r4qk1/p4rbp/3p2p1/2pP4/2PpB3/P5P1/5P1P/1R1QR1K1 w - -,f2f4
4nrk1/5p1p/2pp2p1/1pq5/r3P3/1P3Q1P/P3NPP1/R2R2K1 b - -,a4a6
rnb1k2r/pp2ppb1/2pp2pp/q7/2PPn2B/P1N1PN2/1P3PPP/R2QKB1R w KQkq -,a1c1
3nrBk1/p2r1p1p/2R3p1/3Rp3/4P3/1P6/P3NPPP/6K1 b - -,d7d5
3rr3/b1p2ppk/p1n2q1p/4pN1Q/2bPP1P1/B1p4P/P1B2P2/R2R2K1 w - -,d4d5
r1bqk3/1p1n1p2/p3pn2/3pP1Q1/3N1P2/1N6/PPP1B1P1/2R1K3 b q -,f6e4
r2qk2r/3nbppp/p2pbn2/1p2p3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R b kq g3,b5b4:e8g8:d7b6
q4rk1/3p2pp/2pbp3/5p2/1P1P4/2p2QP1/r4P1P/1RB2RK1 b - -,c3c2
3r2k1/ppp2r2/6pb/1PP1p2p/P3N3/3PP1P1/5PK1/2RR4 b - -,g8f8
3r1rk1/pbqn1ppp/1pp1p3/2P5/3P4/3B3Q/PP1N1PPP/R4RK1 b - -,d7f6
8/p2pr2p/6pk/2P1rq2/4p2P/P3R1P1/3Q1PK1/4R3 b - -,h6g7
r3r2k/pp1qpnbp/2p1p3/6pP/2R5/1Q1PB1P1/PP2PPB1/5RK1 w - -,g2h3
r3kb1r/pp1b1ppp/1qn1p3/3pPn2/3P2P1/5N2/PPN1BP1P/R1BQK2R b KQkq g3,f5e7
r1b1rnk1/ppp1qpb1/7p/4p1p1/1P2Pn2/2P2NB1/P1QN1PPP/R3RBK1 w - -,d2c4
r1b2k1r/ppqnbp2/4p1pp/4P3/Q2p3P/2PB1N2/P4PP1/1RB2RK1 w - -,c3d4
3r2k1/1p5p/2pPq1p1/5pn1/2Q5/5PP1/P5BP/3R3K w - -,c4b4
2rq1rk1/3n1pp1/3P3p/1p2b3/1B3P2/PB6/Q4P1P/3R1RK1 b - -,e5f4
8/pkR5/4r3/3N4/8/3p2K1/PP4P1/4n3 b - -,b7b8
r2qb1k1/6r1/2p1p2p/p1RpNpp1/Pn1P1P2/1P2P1PP/4B2K/2RQ4 b - -,a8a7
5B2/3R1ppk/8/3n3p/8/3r2PP/1p3P2/4K3 w - -,d7b7
4r1k1/1p2pp1p/r2p2p1/2qPn3/p1P5/4R3/PP1Q1PPP/4RBK1 w - -,e3h3
5k2/p1r3p1/6P1/5PK1/R7/8/P7/8 b - -,c7b7
6k1/5pp1/1R2p2p/p3r3/P5P1/4P2P/5K2/8 w - -,b6b5
6r1/p1kb4/Qpn1p3/3p4/6P1/P3R2P/2q2P2/4R1K1 b - -,c2c4
2r1k2r/3bbpp1/1n1p1n2/p1q1pPNp/1p2P3/1P1B1R2/PBPNQ1PP/3R3K b k -,f6g4
2r5/1p2kp1p/pn3bp1/8/3Np3/PP2P2P/1B3PP1/3R2K1 w - -,d4f5
3q1r2/1p2n1k1/p3r2p/1P1p2pP/3Pp3/PQ2P1P1/5RK1/5R2 w - -,f2f8
6k1/5p2/2BNrn1B/p1Pp4/3P4/1b3K2/8/8 w - -,h6c1
8/8/3b3p/p5k1/R7/2P4P/2K5/8 b - -,d6c7
r1bnkbnr/1p2pppp/p7/3Np3/2B5/5N2/PP3PPP/R1B1K2R b KQkq -,d8e6
8/5k1p/1R4p1/3nBp2/8/7P/5PP1/6K1 b - -,d5b6
5rk1/p5pp/1p2p3/4Np2/8/P1Pb2PP/1P3P2/4R1K1 b - -,d3c2
r1b1k2r/2qnbpp1/p1pp1n2/1p2p1B1/3PP3/3B1NN1/PPPQ1P1P/1K1R3R b kq -,g7g6
1r2r1k1/1p3p1p/6p1/1q2pb2/8/2PR3P/1BQ2PP1/3R2K1 b - -,b8d8
8/8/8/pq3PP1/8/5kP1/2Q4K/8 w - -,c2g2
r3k1r1/p1p2p1p/1npqbPp1/3p4/2P5/2N2Q2/PP2BPPP/R3K2R b KQq -,e8c8
8/6p1/7k/P6q/4Q3/1K6/8/8 w - -,e4c6
r2q1rk1/1b1nbppp/1ppp1n2/p3p3/P2PP3/2N1BN1P/BPP1QPP1/R3R1K1 b - -,b7a6
r3nrk1/1p1bqppp/n1Pp4/4p3/1PP1PP2/2N3P1/3QN1BP/1R3RK1 b - -,b7c6
r1b1kb1r/ppq2ppp/3pp3/8/2P2P2/5Q2/PP3P1P/RN2KB1R b KQkq -,c8d7
r4rk1/p4ppp/2pbp3/8/P1bP4/4BN2/2PK1PPP/1R5R b - a3,a8b8
r4r1k/2q4p/pp4p1/7Q/P1BNpbN1/1P5P/6P1/5RK1 w - -,h5d5
r4rk1/pp2p1bp/2n5/2p4p/6bP/2N1B1P1/PP3PB1/R4RK1 w - -,e3c5
r4r1k/3b3p/p2p1q2/1ppPn3/2P1Pp2/2Q2P2/PP2BN1P/1K4RR b - -,b5b4
r4rk1/2q1bpp1/ppbp1n1p/4pPP1/P3P3/2N1BB2/1PP1Q2P/R4RK1 b - -,h6g5
6rk/1p1b1p2/5n1p/p2pq2P/P2N3Q/1P1BPP2/5K2/7R b - -,e5g5
3r3k/1bqr1pp1/p3p2p/1p6/3N1P1Q/P1P4P/1P4P1/3RR2K b - -,d7d5
8/4r3/1Rn5/3pk1p1/6P1/2rB1P2/7P/1R4K1 w - -,d3b5
8/8/r7/P3R2K/7P/5k2/8/8 w - -,h5g5
8/8/5p2/R3nk2/R7/8/1r3PK1/8 w - -,a4a2
6k1/N4b2/2P3pb/1p2Q2p/1Pq5/P2N3P/6PK/8 w - -,c6c7
r2q1rk1/1pp1bpp1/p3pnp1/3N4/3P1BP1/5B1P/PPPQ1P2/3R1RK1 b - -,e6d5
6rk/3n3p/pp1p1qrP/2pPpN2/2P1Pbp1/PR6/1PK3Q1/5B1R w - -,f1e2
r1b2rk1/ppp1npp1/3p2qp/3Pp3/2P5/2Q1P1P1/PP1NBP1P/R3K2R w KQ -,e1c1
2r2rk1/3b2p1/1qp1p2p/p2pPp2/1bP5/1P1QP1P1/1B3PBP/2RR2K1 b - -,c8b8
6k1/8/p3p2p/1b6/1P1r2P1/P4BK1/2R3P1/8 b - -,g8f7
4r1k1/q3ppbp/p2p2p1/P1pP2B1/1rNnP3/8/1P1Q1PPP/1R2R1K1 w - -,c4b6
8/7p/2n1k1p1/4b3/p3K3/P2RN2r/3B1P2/8 w - -,f2f4
1r4k1/b4pp1/4p2p/6n1/1p6/1P1P2Pq/2R1KP2/1N1R2Q1 w - -,c2c4
r1bq1rk1/p2nppbp/2p2np1/1p6/2BP4/1PN1PN2/P4PPP/R1BQ1RK1 w - b6,c4e2
3q1k1r/p7/5p1p/1p3N2/2p2PP1/3n4/PP2Q3/5K1R w - -,e2e4
4r1k1/2q2p1p/3p1Pp1/1p1Pb3/2p1P3/5Q1P/1P3RP1/rB3R1K b - -,e8a8
8/8/2B4p/p3b3/1p3p1k/1P5P/6K1/8 w - -,c6d7
8/1b6/8/8/5k2/8/3KBp2/8 b - -,f4g3
6k1/1r3pp1/p6p/4R3/2PpP3/1P1P2rP/6P1/1R4K1 w - -,b3b4
r1b1kb1r/pp2pppp/1qn2n2/3p4/2pP1B2/2P2N2/PPQ1PPPP/RN2KB1R w KQkq -,b1d2
r3k1nr/pb1qppb1/1p1p2p1/2p4p/3nPP2/3PB1PP/PPPQN1B1/R2NK2R b KQkq -,e8c8
rn1qk2r/pp2bppp/3p1n2/2p1p3/2B1P1b1/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq -,g4h5
2r3k1/1b2pp1p/1q1p2p1/p7/4PP2/1P4PP/PR1Q2BK/8 b - -,c8c5
8/pp1k2p1/3Pp3/1Pp5/2P1KP2/P5P1/7N/3r4 w - -,h2f3
1k1r1r2/1p1b4/2pNp2p/p5P1/5P1P/P3K3/1P6/3R1R2 b - -,b8c7
r2q1rk1/pp1nbpp1/4p2p/2pn3P/8/5NN1/PPPBQPP1/1K1R3R w - -,g3e4
r3rnk1/1b3p2/pq1ppbpp/1p6/3P4/2P1QNNP/PP3PP1/1BR1R1K1 b - -,f6g7
r3k2r/3q1pb1/2p2n1p/ppB1p1p1/P3P3/1N4PP/1PP1Q1P1/R4RK1 b kq -,d7b7
rn1qk2r/pp2bpp1/2p1pn1p/3p1b2/8/1P1P1NP1/P1PNPPBP/R1BQ1RK1 w kq -,c1b2
8/3B3p/1p2p1p1/5p2/2P2P2/k1K2bP1/7P/8 w - -,d7e6
r4rk1/1q1nppbp/2p1b1p1/p2p4/N2P1B2/P4N1P/1PQ2PP1/3RR1K1 b - -,e6f5
4R3/3K2k1/5p2/3N4/7p/3q4/8/8 w - -,d7c6
1r1r2k1/p3qppp/b4n2/4p3/1p1pP3/PP4PP/1BP2PB1/R2QR1K1 w - -,a3b4
r3r2k/1p2PQpp/3B4/3P4/p3P1P1/7P/1q6/5RK1 b - -,b2b6
1rbq1rk1/4ppbp/1npp1np1/p7/Pp1PP3/3BBN1P/1PPN1PP1/R2QR1K1 w - a6,d2b3
3rnrk1/1pqbb1pp/p3p3/3NPp2/P1B2Q2/4B2R/1PP3PP/R6K b - -,e6d5
6k1/pp4b1/3p2p1/2pq4/8/1PPPB3/P2Q4/6K1 b - -,d5f3
2r2bk1/p7/1pP3pp/3qp3/4p3/P2r2P1/1PQBRP1P/2R3K1 b - -,e4e3
r4rk1/ppq2ppp/5n2/n1p2b2/2BPp3/P1P1P2P/1B1NQPP1/R4RK1 w - -,c4a2
r2q1rk1/2R2pbp/pn2pnp1/1p1p4/3P1B2/1Q2PB1P/PP2NPP1/2R3K1 w - -,b3b4
