8/4k1p1/p4p2/6PP/5P2/2K1n3/1B6/8 b - -,e3d5
1r4k1/2q2p2/3RpQpp/p3P3/P2P2PP/5PK1/8/8 w - -,h4h5
8/1p3k2/p5pp/3N1p2/3P4/1NPn2P1/Pn2KP2/8 b - -,f7e6
6k1/3r2p1/7p/8/R1PK4/8/6PP/8 w - -,d4c3
8/8/6K1/7P/5p2/6k1/8/8 w - -,h5h6
8/p3k1pp/1p6/n7/3P1B2/2P1K3/P5PP/8 b - -,a5c4
7R/6p1/1pk5/2p1P3/8/8/bP4PP/6K1 w - -,g1f2
2r2rk1/5pp1/bqNbp2p/pp6/3PB3/PQ4P1/1P3P1P/2RR2K1 w - -,d4d5
r4rk1/pb1p3p/1pn1qpp1/8/1PP1pP2/P2pP3/1B1P2PP/R1QB1RK1 b - -,a8c8
8/kpp5/p7/n4Pq1/P3R1PN/2P1R2K/8/8 w - -,h4f3
r1b1r1k1/1pq3p1/p1n1pnNp/b1p2p2/2P5/P1N1P1P1/1PQB1PBP/R4RK1 b - -,c8d7
r1bq1rk1/ppp1bpp1/1n1p3p/4P2Q/2BN1P2/2P5/PP1N2PP/R4RK1 w - -,c4b3
r2q1rk1/1p3ppp/p3b3/2bB4/3n4/1QN3P1/PP2PP1P/R1B2RK1 w - -,b3c4
2rr2k1/1n1bppbp/pp4p1/q1nPP3/2pN1P2/P1N1B2P/QP4P1/2R1RBK1 w - -,a2b1
1k1r3r/1p3pp1/p4n2/RB3q1p/4p3/8/2PPQPPP/1R4K1 b - -,d8d5
8/8/6k1/p2R2p1/P2Nn1Pp/1P5P/2Pr3K/8 w - -,h2g1
8/8/8/7p/5Rp1/6P1/4KPk1/1r6 w - -,f4f5
r1b1k1nr/3pppbp/2p3p1/2q5/1pP1P3/P4N2/3N1PPP/R1BQK2R w KQkq -,a3b4
rq3nk1/2bb2rp/pp2p1pQ/2p1Pp1P/5P2/2NBB2R/PPP3P1/R6K w - -,d3e2
r1k4r/pp3ppp/2p1Nn2/4p3/B3P3/2b5/PPP2PPP/2KR3R b - -,f7e6
8/p1Q2rk1/1p4p1/2p4p/P3KP1P/8/8/8 w - -,c7b8
6k1/7p/3pp1p1/7P/p7/B2P2p1/2R1Kr2/1R3B2 w - -,e2e3
8/p5k1/p1R4p/3p1Bp1/5P2/3nP1P1/6PK/r7 b - -,d3f2
r1bq1rk1/ppp2pbn/3p2p1/2nPp2p/2P1P1P1/2N1BP2/PP1QB2P/2KR2NR b - g3,h5g4
2R1Rr1k/4Q1pp/8/p2p4/3P4/1P5P/P7/5rK1 w - -,g1g2
r2q1k1r/pp3pb1/2np2pp/8/Q2pPP2/3P2P1/PP1B2BP/R3K2R b KQ f3,f8g8
2r4r/1b2bpk1/p2p2p1/q3p1Pp/1n1NPN1Q/1P4R1/1P1B1P1P/3RK3 w - -,f4d3
r5k1/p1rn1pp1/2P1p2p/3nP3/3R4/B4N2/5KPP/2R5 b - -,d7b6
8/3n1pk1/2p1p1pp/2PpP3/3P3P/5NP1/q4PK1/3Q4 b - -,d7f8
r3r1k1/4qpp1/2ppnnp1/4p3/1PP1P3/1NN2P2/2Q3PP/1R3RK1 b - -,e7a7
2r3k1/1p3p2/6Rp/5NQ1/4p1P1/8/PqP4P/6K1 b - -,f7g6
6k1/7p/1p2p1p1/3pN3/1P2nPP1/Pr5P/5K2/R7 w - -,f2g2
1r6/6k1/3q2b1/p1pnpR2/2Q5/P1nP1BP1/P4P1P/6K1 w - -,f5g5
r2qk2r/pp1n1ppp/2p2n2/2bpp2b/4P3/3P1NPP/PPPN1PB1/R1BQ1RK1 w kq -,d1e1
r3kb1r/ppqn1ppp/2p1p3/P2pP3/3P1B1n/1N3B2/1PP2PPP/R2QK2R w KQkq -,e1g1
r1bqkb1r/pp3ppp/2n2n2/1Np5/3p4/5NP1/PPPP1PBP/R1BQ1RK1 b kq -,f8e7
r4rk1/p4ppp/2pp1n2/3p4/8/1PN1P1P1/P1PP3P/R4RK1 w - -,f1f4
r2q1rk1/pp1bppbp/5np1/n2p4/3P1B2/2PB1N2/PPQN1PPP/R3K2R w KQ -,h2h3
6k1/1ppb1ppp/5n2/3P4/P1B5/2N2P2/3r2PP/2R3K1 w - -,c4b5
8/3R4/3r4/2N2p2/P1Bp2k1/1P1K4/5r2/8 b - -,f2f3
6r1/1pk4p/2p2np1/p1Pn4/2NN1P2/PP6/5K1P/4R3 b - -,f6h5
rn1q1rk1/ppp2pbp/3p2pn/QP1b4/2PPN3/4P2P/P4PB1/R1B1K2R w KQ -,c4d5
r1b2rk1/ppqpppbp/5np1/8/2P1P3/2NnBN1P/PP3PP1/R2Q1RK1 w - -,d1d3
4rrk1/1p1b2bp/p2p1q2/P1pP1p2/2P2N2/3B4/1P1Q2PP/4RRK1 b - -,e8e1
6k1/2r1q1p1/Q1p1pp1p/4b3/N7/P3P1P1/1P3P1P/3R2K1 b - -,f6f5
2r1r1k1/R4p2/1p1p1qpb/2nPp2p/2P2n2/2P1RN1P/2B2PPB/3Q2K1 b - -,c8a8
5rk1/4bppp/3p1n2/1N1Ppb2/q1P5/R2Q4/1P1B1PPP/5RK1 b - -,f5d3
1r2k2r/2p2pp1/1b2b3/p6p/2p2B2/P1N3P1/1P2PP1P/3RK2R w K -,e1g1
R7/6k1/7p/8/8/P1r5/5KP1/8 w - -,a3a4
1r1qr1k1/5ppp/bp2nb2/p7/2Np4/Q4BP1/PP1BPP1P/R2R2K1 w - -,a1c1
r1b2rk1/1pq3pp/2nbpn2/p1pp4/5P2/1NPPBNP1/PP4BP/R2QR1K1 b - -,c7b6
r4r2/pp2ppkp/2p3p1/3P1b1n/1qB5/2N2P2/PPP2Q1P/1K1R3R w - -,c4b3
1r3k1r/2q1bppp/b3p3/p3n1P1/Bp1NPB2/5P2/PpP2Q1P/1K1R3R b - -,b8c8
r6k/1bp3p1/np6/p2p2r1/3P2n1/P2BP1B1/1P1N1P2/R4RK1 b - -,g4e3
2r3k1/p2r1p1p/1p4p1/8/n1PN4/4PP2/P1R1K1PP/3R4 w - -,g2g4
1r3r2/4q1kp/3p1pp1/1NpPn3/4PQ2/1P5P/R5P1/1B3RK1 b - -,b8b5
8/7R/6p1/6k1/7R/4P1PP/2q2P1K/8 w - -,h4g4
5r1k/p7/8/1p6/5P1P/6K1/B5P1/8 b - f3,a7a5
4r1k1/1p1b2pp/2r4n/pN2Pp2/PnpP1N1q/6P1/5P2/RQRB2K1 b - -,h4g5
2rq1rk1/p3bppp/1p2pn2/8/2PN4/1P4P1/PB2QPbP/3R1RK1 w - -,g1g2
3q2k1/4bp1p/1p4p1/p1n1pP1B/P1Q5/2B1P3/1P3P1P/6K1 w - -,f5g6
r3r2k/p5Rp/3bqPp1/2p1P3/5Q2/2pb2PP/P5BK/4R3 w - -,f4h6
8/pp2kp1p/1rn3p1/2p2P2/2Pr4/2K5/5P1P/R2B2R1 w - -,f5g6
7k/p2N2bp/4p1p1/2pb1n2/5P2/2P4P/PP3BP1/3B2K1 w - -,f2c5
1r4k1/3nqpp1/4N2p/8/rpP1p3/6P1/1Q1BPP1P/2R1R1K1 b - -,f7e6
2r1r3/1b2ppkp/pp1p1np1/2qPn3/P1PN4/1PN1R2P/3Q1PP1/2R2BK1 b - -,c8d8
2r3k1/5p1p/7b/1p2Pp2/4q3/P1BR1QP1/6KP/8 b - -,h6f8
1r6/8/2n4p/2p2pp1/P1B2k2/1P3P2/1K4PP/4R3 b - -,b8d8
r1bqk2r/4bppp/p2p2n1/nppPp3/4P3/2P2N2/PPBN1PPP/R1BQR1K1 w kq -,b2b4
r1bqk2r/pppp1npp/5p2/3P4/1b2N3/2P5/PP2QPPP/R3KBNR b KQkq -,b4e7
r2q1rk1/p4ppp/bpp1pn2/3pP3/2P5/1P4P1/P2QPPBP/RN1R2K1 b - -,f6d7
r4rk1/p1qn4/2pb2pp/5p2/1P6/2NQ1N2/P4PPP/R3R1K1 w - -,a1d1
8/1R3ppk/3p3p/3Pp3/p3P3/4BPP1/7r/5K2 w - -,b7a7
3kb3/1r6/6p1/4Np1p/7P/2R2P2/6K1/8 w - -,c3a3
r1bq1rk1/pp1nb1pp/4pp2/3pP3/1P1B4/P2B1N2/4QPPP/R1R3K1 b - -,f6e5
r3r1k1/1pqbbppp/p3n1n1/4p2N/2Pp2P1/PP1P3P/5PB1/RNBQR1K1 w - -,a1a2
8/5pk1/p5b1/1p3p2/5P2/7r/PPBR1K1P/8 w - -,f2e1:f2g2
r1br2k1/pp3ppp/7n/3B4/5P2/8/PP1B1PP1/R4RK1 w - -,f1e1
q5k1/3n1p1p/2p1p1p1/1pPpP3/1P1N1P2/6P1/r4PKP/1R2Q3 b - -,g8f8
8/5p2/4bk1p/pp4p1/2r3P1/P4B1P/1P2RPK1/8 w - -,f3e4
3k1B2/6n1/2K1p3/2N1b1p1/6P1/8/8/8 w - -,f8g7
5r1k/7p/1pr3p1/p4n2/2N1p3/PP4P1/4BP1P/3R2K1 b - -,f8e8
8/1pk2p2/p3p2p/5p1Q/P4P2/1P4P1/2P4P/1K4q1 w - -,b1b2
1r1q1rk1/p2bppbp/3p1np1/np6/3NP1P1/1BN1BP2/PPPQ3P/2KR3R w - b6,e3h6
r1bq1rk1/p2nppbp/2pp2p1/6B1/2B1P3/2N4P/PPP2PP1/R2QR1K1 b - -,h7h6
7k/6pp/3p4/8/1P2q1P1/4P2P/5K1B/Q7 b - -,h7h5
rr4k1/3n1pbp/pq1p2p1/2pP2B1/4P3/RbN2P2/1P2QNPP/4R1K1 b - -,d7e5
8/K1k1b1p1/P6p/3R4/8/r7/8/8 w - -,d5b5
7r/2r2k2/p3p1p1/1p2P3/3B1PPq/P1P5/1P2K1Q1/4R3 b - -,h4h2
r2qkb1r/pp3ppp/2n1p3/1N2N3/8/P2Q3P/1P3PP1/5K1R w kq -,d3c2
1R6/8/2P1pk2/6p1/b1r5/4PBKP/6P1/8 w - -,b8c8
1br1r1k1/1p2qppp/2n2n2/PN1p1B2/5P2/P3PQ2/1B4PP/4RRK1 b - -,c8d8
rn2kb1r/ppq1pppp/2p2n2/7b/2B5/2NP1N1P/PPPB1PP1/R2Q1RK1 b kq -,e7e6
2kr1b1r/npp2ppp/p2qp1b1/8/1P1PB3/2PQ1N2/P4PPP/R1B1R1K1 w - -,f3d2
5r2/p3r1bk/1p1p1qpp/2p5/2PpPP2/1P1P1QPB/P4R2/6KR b - -,h7g8
r5k1/1pq3pp/2b1p3/p2p1r2/P3p2P/1P2Q1PB/4PP2/3R1RK1 b - -,f5f6
8/1p2bk1p/4p1p1/3pP3/r1bB1PP1/P1R1K3/7P/R7 b - -,b7b5
r4rk1/ppp2ppp/3B4/3P4/1q6/5Q2/PP3PPP/R3R1K1 b - -,c7d6
6k1/5p1p/3p1Qb1/1p1P4/1P4pP/6P1/3q1PBK/8 w - -,f6d6
3r4/p4kpp/1p2p3/4P3/1PpB1Pp1/2Pr1bP1/P4K1P/2R1R3 w - -,c1c2
8/p2B4/1p1k3p/2pP2p1/P1P5/1n1N2PP/6K1/8 b - -,d6d7
r2qr1k1/1ppn1p2/p5p1/2PPPnNp/1P6/2Q4P/P5B1/4RRK1 w - -,h3h4
r2r2k1/1bpnqpbp/1pn1p1p1/pB2P3/1P3Q2/P4N2/2PN1PPP/1RB1R1K1 b - -,a5b4
6k1/7p/pB2p3/8/PP3PK1/2r5/7P/8 b - -,c3c4
8/4Q3/p3N2k/3r4/3p4/PP6/K3q3/8 w - -,a2a1
3r1k2/2n2p1p/1p3Pp1/p1p1P3/2Pn4/2R2B1P/1P3KP1/4R3 b - -,d8e8
1r6/p2r2kp/2p1R1p1/P1Pn1p2/Rp1P4/1B4P1/1P3P2/6K1 w - -,e6c6
2r3k1/1b1n1p2/pn4p1/2q4p/Pp2p3/1P2N2P/1QN1BPP1/3R2K1 b - -,a6a5
2b5/8/p7/2k1Pp2/6p1/4K3/4N1P1/8 w - -,e3f4
r1bqkbnr/pp3ppp/2n5/2pp4/8/5NP1/PPPP1PBP/RNBQK2R w KQkq -,d2d4
r1bq1rk1/pp3ppp/4pn2/1P1pb3/8/2PBP3/PB1N1PPP/2RQK2R b K -,c8d7
r3r1k1/1bqnbppp/ppnpp3/8/P3PPP1/1NN1BB2/1PP4P/R2Q1R1K w - -,g4g5
3q3k/6p1/7p/3B1Q1P/3bP3/6P1/5PK1/8 w - -,f2f4
4k3/ppR2p2/7p/6p1/6P1/P1P2r1P/1KP5/8 w - -,c7b7
1r1r2k1/1P2qbpp/2p2n2/4N3/p7/P3P3/1Q3PPP/1R3RK1 w - -,e5c6
5bk1/5Np1/3pP3/3r1P2/p5P1/8/Rn4KP/8 b - -,d5b5
2brr1k1/pp3pp1/n4q1p/8/P2p4/3N2P1/1PRQPPBP/2R3K1 b - -,c8g4
rnbqkb1r/pp2npp1/4p3/2pp3p/4P2P/2PP1N2/PP2QPP1/RNB1KB1R b KQkq -,b8c6
8/4b2Q/k1b1Pr2/p1qr4/1pNp1PP1/1P6/P1P4P/1K1RR3 b - -,f6f4
4b3/1p4r1/p2kpp1b/4p2P/2P1P3/1P1N1B2/P1K5/7R b - -,g7g3
8/P7/8/3n4/6K1/8/1PP2k2/8 b - -,d5c7
2r4r/1p1kbppp/p3pn2/3p4/P1nP1B2/1PNK2P1/4PPBP/R1R5 b - -,c4a5
r2qkb1r/p4ppp/2p1pn2/2pp4/4PP2/2N2R2/PPPP2PP/R1B1Q1K1 w kq -,d2d3
r2r4/pp1bq1kp/5pp1/3pp3/Q1P5/1P4P1/P2NPP1P/3R1RK1 w - -,a4a5
8/5pk1/2R3p1/7p/4PP1P/8/2p3K1/2r5 w - -,f4f5
rq3r2/1bp2kbQ/np1p2p1/2nPp1P1/2P1P3/pPN1BP2/P7/2KR1BNR w - -,h1h6
8/bP1n3p/6pk/P7/7P/1K6/8/8 w - -,b3c4
r5k1/2qn1pbp/p3b1p1/2Pnp3/3pN3/1N4P1/PPQB1P1P/3R1RK1 b - -,d5e7
r2q1rk1/pp1n1pbp/2pp1np1/4p3/3PP3/2N1BB2/PPPQ1PPP/R3R1K1 w - e6,d4d5
8/8/8/p3q1P1/PRK4Q/5k1P/8/8 w - -,h4g4
1r4k1/2qbbppp/1r1p4/n1p1p3/2P1P2P/1P4P1/1R1QNPB1/1R4K1 w - -,d2a5
8/8/5k2/7p/5Pp1/3KN1P1/6P1/2b5 b - -,c1a3
r3r1k1/pp1qppbp/2p1b1p1/8/3P1B2/2P2B2/PP3PPP/R2QR1K1 b - -,h7h5
8/P6p/3P2p1/4k3/8/4Pb1P/5K2/3rN3 b - -,f3b7
1N6/8/2p1p3/r2p1k1p/P1pP1P2/2Pb4/R4R1K/3n4 b - -,d1f2
r4b2/ppk5/2p1bp1p/2n1p1pP/2P1P1P1/PPN1BPN1/1K1r4/3R4 w - -,d1d2
r1bqk1nr/1pp2ppp/2np4/p1b1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,g8e7
3rr1k1/5pb1/p2p4/1p1b3p/4P3/1P1B3P/P4RP1/3R3K w - -,e4d5
8/7p/p3k1p1/B4p2/P1pn1P2/8/1P3PKP/8 b - -,e6d5
r1bq1rk1/pppp1ppp/2n2n2/4p3/2B1P3/2bP1N2/PPP2PPP/R1BQ1RK1 w - -,b2c3
4b1k1/1p3qpp/p2N1b2/3P4/2P2P2/8/1P5P/4R1BK b - -,e8b5
8/4k3/6R1/4P3/5KP1/8/8/7r w - -,g6a6
8/4N1b1/8/8/2nk1p2/4pP2/4K3/8 w - -,e7f5
7r/p7/1p1b1nk1/3p1b2/3P3B/2P1RPP1/PP6/2K2N2 w - -,c1d2
8/7k/5p2/7P/6Q1/1q3K2/4PP2/8 w - -,f3g2
r2qk2r/ppb1n1pp/2n1bp2/2p1p3/P1NpP2N/3P2P1/1PP2PBP/R1BQ1RK1 w kq -,f2f4
rn1qk1nr/pbpp2pp/1p2pp2/8/2PP1B2/2P2N2/P3PPPP/R2QKB1R b KQkq -,d7d6
r3r1k1/bpp2pp1/p2q1n1p/4pP2/8/1BPP1Q1P/P2B1PP1/2KR3R b - -,a6a5
r2q2k1/1ppr3p/1p1pb3/4n1pn/PNP1Pp2/1PN2P2/3QBRPP/3R2K1 b - a3,c7c6
3r1rk1/p4pp1/1p3b1p/2pNq3/2P1Q3/4PP2/P4P1P/3R1RK1 b - -,e5g5
2kr4/1p1q1pbp/p1B1r1p1/8/Q3P3/4BP2/P4P1P/1RR3K1 b - -,e6c6
r3kb1r/ppqn1pp1/2p1pn1p/2Pp1b2/1P1P4/2Q1PN2/P2NBPPP/R1B1K2R b KQkq b3,f8e7
8/8/r3kp2/1R4p1/4P1P1/5PK1/8/8 w - -,b5b2
3r4/1p2bkp1/1Np5/p1P5/1P1n1RB1/6P1/P6P/6K1 b - -,f7g6
3r1rk1/pb2ppbp/1p4p1/3nP3/3q1P2/3B2N1/PP1BQ1PP/R4R1K w - -,d3c4
2kr1b1r/pp1np1pp/5p2/1B1p4/3PbP2/2P5/PP3KPP/R1B3NR w - -,g1e2
5rk1/1p2q1pp/1N1bpn2/pP6/8/P2BP1P1/1B1r1P1P/1Q3RK1 b - -,f6g4
r7/5ppp/pp3n2/2k5/P3P3/5P2/4BKPP/3R4 b - -,b6b5
rn1qk2r/pp3pbp/2p1p1pn/3pP3/3P1Pb1/2N2N2/PPP1B1PP/R1BQK2R w KQkq -,c1e3
r1b2kr1/ppp2q2/3p3b/3Ppn1p/2P1N3/3Q3B/PP2NP1P/1K1R2R1 b - -,c8d7
rnbq1rk1/4ppbp/p1p2np1/1p1P4/3P4/2NBPN2/PPQ2PPP/R1B2RK1 b - -,c6d5
r4rk1/pp1nbppp/2n1p3/3pP3/1p1P3P/3PBNP1/P4P1K/RN3R2 b - -,f7f6
2k5/6p1/p1p5/7r/5PP1/1P1N4/P1PP4/1K4Rr w - -,g1h1
r1bq1rk1/pp3pp1/3p1n1p/2p1n1B1/2P1P2P/P1Q2P2/1P4P1/R3KBNR w KQ -,g5f4
3r4/pp1k1p1p/2n2p2/8/3P1Bb1/P1P5/5KBP/4R3 w - -,e1b1
r5k1/5p2/p5p1/3P4/n1P1Pq1p/5P1B/P4Q1P/2R3rK w - -,c1g1
r7/7k/2n1prpP/3p4/1p4R1/pP6/P1P1B3/2K1R3 b - -,e6e5
8/bp2kp1p/p3p1n1/6p1/1P1pP3/P2B2NP/4KPP1/8 w - -,e2d2
r5k1/2p1nrbp/1pqpn1p1/p3pp2/P1P1P3/1PPN1PN1/2Q2BPP/1R2R1K1 b - -,f5f4
8/4B3/R3n3/1p2k1p1/1Pb1p1Br/6K1/8/8 b - -,h4h7
2rq2k1/1p2b2p/p2p2p1/3Pp1P1/5r2/5P2/PPPN1Q2/1K1R2R1 b - -,d8d7
r1bq1rk1/ppp1p2p/2n2ppb/3pP3/3P1P2/3BQN2/PPP1N1PP/R3K2R w KQ -,h2h4
2r1rbk1/1pqn1pp1/p2pbn1p/P3p3/4P3/2N1NB1P/1PPB1PP1/R2RQ1K1 b - -,d7b8
2kr1r2/1p1b1Bpp/p1nQ1n2/q3p3/4P3/2N1BP2/PPP3PP/2KR3R w - -,f7b3
1krn3r/2q4p/1B2pNpP/n3P1P1/2b2P2/2Pp4/P4QB1/3R2K1 b - -,c7e7
r4r2/2nbqpkp/p2p1np1/1ppPp1PP/2P1P3/2N2PN1/PP1Q4/R3KB1R b KQ -,f6g8
4rrk1/p1q2bpp/2n2p2/1pp5/3pPN2/PP1P2PP/2PN1R2/R4QK1 w - -,f4e2
2r1k2r/pQ2ppbp/1qn1bnp1/2p5/4PP2/2N2N2/PPPB2PP/R3KB1R w KQk -,b7b6
r3brk1/pp2q1p1/2nbp3/3p1p1p/3P1P2/1Q1BP2R/PP1B2PP/2R3NK b - -,g7g6
r4rk1/2p1b1pp/2n2p2/pp1qp3/P7/1PBP1NP1/4PPKP/1R1Q1R2 b - -,b5a4
r2q1rk1/1b3pp1/pb1p1nnp/1pp1p2N/4P3/1BPP3P/PP2QPPN/R1BR2K1 w - -,c1e3
6k1/5p2/1pR1p1p1/7p/1P5P/P3P3/r4PP1/6K1 w - -,c6c3
6k1/1p3r2/2p5/2RpPr1p/Pq1P1N2/6PP/1P4QK/8 w - -,e5e6
r6r/pp1k1pp1/4p1bp/3pP3/6PP/P1P2B2/1P3P2/R3K2R b KQ -,a8c8
r2r2k1/1p1q1pb1/p1nppnpp/8/P1P1P2B/2N2P2/1P2N1PP/1R1Q1RK1 b - -,d7c7
r1bq1rk1/pp3ppp/2nbp3/8/3P4/2P2N2/P3BPPP/R1BQR1K1 b - -,d8c7
Q7/p4pkp/6p1/4n3/8/6P1/P2p1RKP/2q5 w - -,a8d5
r2r2k1/1bp1b1pp/2q1n3/p1p1PB2/2P2P2/4Q1PP/PB5K/R2R2N1 w - -,e3f3
1b6/p5p1/Pp2kpp1/1P2p3/2K1P1PP/4BP2/8/8 w - -,g4g5
r5k1/1R1n1pp1/4p3/3p3p/3B4/4P1P1/5P1P/6K1 b - -,d7f8
8/2r1rkp1/1R2p1Rp/1p2p2P/p1p1P3/2P2P2/1P2K1P1/8 w - -,e2d2
2R5/5ppk/4nq1p/4p3/3rR3/1P4QP/P4PP1/5BK1 b - -,d4e4
2r3k1/pp1r1pp1/2p1pnqp/8/2PP4/1P2Q1NP/P2R1PPK/3R4 b - -,c8d8
2r2k2/5bp1/5p2/q1bp1N2/P2p2P1/1P3Q2/2P1RPK1/5N2 b - -,a5a6
1r2k2r/1p1b2p1/1Nnb1q1p/1p2pp2/p6N/P2PP1P1/QP3PBP/2R2RK1 w k -,b6d7
7k/2R4p/6p1/8/2p4P/8/2r3P1/6K1 b - h3,h7h5
