3b4/8/p7/2B1kb1p/2p5/P1P3KP/4N3/8 w - -,e2f4
r1bq1rk1/ppb1n1p1/2n1p2p/1N1pPp2/3p1P2/P2B1N2/1PPB1QPP/R4RK1 b - -,c7b6
8/5r2/6pp/8/4k2P/6PN/5PK1/8 w - -,g2f1
r2q1rk1/pbpp1ppp/1pn1pn2/8/2PP4/2P3P1/P2NPPBP/R1BQK2R w KQ -,e1g1
r5rk/bpp2npp/3q4/3P4/p1B2pQ1/P1B4P/1PP2PP1/R3R1K1 w - -,e1e4
8/5B2/6p1/N1r1kpp1/1p6/6PP/6K1/8 w - -,a5b3
r1bqk2r/pp1pp1bp/2n2np1/1Bp2p2/4P2P/2PP1N2/PP1N1PP1/R1BQK2R b KQkq -,a7a6
r4k2/1p1n1pr1/p6p/3BP1q1/3P1p2/1P1Q3b/P4P1P/2R1NR1K b - -,f4f3
rn1qkb1r/pp3ppp/2p1pn2/3p4/5P2/3PPB2/PPP3PP/RNBQ1RK1 b kq -,b8d7
3R4/8/8/8/2k3q1/8/2K5/8 b - -,g4f5
r1b2rk1/pp2p3/4n1pp/8/2Q2P2/7P/PPP3P1/2K2R2 b - -,g8h7
3rr1k1/bp1q1bpp/p4p2/2p5/2pnRP2/2N3P1/PP3BBP/3R1Q1K w - -,h2h4
2rq1rk1/1p2bppb/4p2p/pNnpP3/Pn1N1P2/4B1PB/1P2Q2P/R2R2K1 b - -,d8d7
r5k1/2p1qppp/1p2b3/p1p1P3/2N5/1P5P/1PPQ1PP1/3R2K1 b - -,a5a4
5k2/p5p1/1p1bR2p/1n6/1P3PP1/8/B5PK/3rB3 w - -,e6e4
8/1n2r3/p7/2pRpk1p/2N4P/P1P1KP2/8/8 b - -,e7e8
3r4/4k1p1/p1pr3p/1pBb2n1/1P5P/8/P1B3P1/R2R2K1 b - h3,g5e6
4r1qk/r6p/p2p1p2/2pNbP1R/2P5/P4Q2/6PP/5R1K b - c3,e8b8
6k1/5p2/p1pq1n2/1p1p2Qp/1P6/P5PB/5P2/6K1 b - -,g8f8
r2q1rk1/1b1nbppp/p2p1n2/1p2p3/4PP2/1BN2N2/PPP3PP/R1BQ1R1K w - -,d1e2
1q4k1/1bQ2ppp/p3p3/1p2P3/1P2pPP1/P7/3rB2P/2R4K b - -,b8a8
rn1q1rk1/pb2bppp/1p2pn2/2pp4/3P4/2P1PNP1/PP1N1PBP/R1BQR1K1 b - -,c5d4
2kr3r/pbnqb3/1pp1pB2/4Pp1p/2PP4/2N2N2/PP2Q1P1/R2R2K1 b - -,h8g8
6k1/5p2/3r2p1/1pR3P1/p3BN2/4K3/8/8 w - -,f4d5
3qr1k1/pp4p1/6p1/3pP3/2pP4/2P4Q/2PK1PP1/7R w - -,h3h7
1q1rr1k1/5p1p/p1p3p1/1pN1P2n/P7/2QB1n1P/1P2N3/2RR3K b - -,e8e5
2rr2k1/pp1b1ppp/2nqpn2/3p4/3P4/2NQPN2/PP2BPPP/2R2RK1 w - -,f1d1
5rk1/7p/1p1p2p1/pPnP4/2Pq1p2/1P4R1/2B3PP/4Q2K w - -,g3f3
r2k1b1r/pppb1ppp/2p5/4Pn2/8/5N1P/PPP2PP1/RNBR2K1 b - -,d8c8:f8e7
rnb2rk1/1pqp1ppp/p3pn2/2b5/2P1P3/2NB4/PP2NPPP/R1BQ1RK1 w - -,c1f4
8/1k6/3q4/p4p2/K1p2P1P/1pP1Q1p1/1P6/2Nr4 w - -,e3f3
q4r1k/4Qbpp/3p4/4pP2/2P1P3/4B3/Pr4PP/R4RK1 b - -,f7c4
r3nrk1/pb1nqppp/2p1p3/1p6/P2PP3/2NB1N2/1P3PPP/2RQ1RK1 b - -,a7a6
r1bq1rk1/1p3pp1/4pn1p/p1b1N3/8/1BP5/PP1BQPPP/R3K2R b KQ -,a5a4
3q3k/1QP3bp/6p1/4n1p1/PP6/3p1b2/5pPP/2R1R2K b - -,d8f8
2n5/8/p1k2p2/4p1p1/P1K3P1/8/5P2/4B3 b - -,c8d6
rnb1k2r/1pq1bppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1R1K b kq -,b8d7
r3k3/1pqb1p2/p3pb1Q/6r1/4Pp2/3B4/PPP1N3/2KR1R2 b q -,c7e5
r2r2k1/pp1qpp1p/6p1/n2P4/3bP3/5N2/P4PPP/1R1Q1RK1 w - -,d1d4
r4rk1/2nb2b1/p2p2qp/2pPnpp1/Pp2P3/4BP1P/1PQ1B1P1/2RNRNK1 b - -,a8e8
r1b2r1k/pp2bppp/2pp1n2/q1n3B1/3NP2P/2N2BQ1/PPP2PP1/R3K2R w KQ -,e1c1
rn1qk2r/ppp1npbp/3p2p1/3Pp3/2P1P1b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
8/8/P3ppp1/3b4/r4P2/2kR2KP/8/5B2 b - -,c3c2
Q7/p5pk/1p2q2p/8/8/5NBP/r4PPK/8 w - -,g3e5
r2R1rk1/pp3pbp/4p3/4Pbp1/Q1P5/4p1P1/P3PPBP/5RK1 b - -,e3f2
8/1p4pp/1k6/4p3/3bPp1P/rP6/2R5/3K1R2 w - -,f1f3
rnbqkb1r/ppp1pp1p/3p1np1/8/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,f8g7
rn1q1rk1/pbp1bppp/1p2pn2/3p2B1/2PP4/2N1PN2/PPQ2PPP/3RKB1R b K -,h7h6
3r2k1/1P5p/8/5p2/8/b1p1BbP1/R4P1P/1R4K1 b - -,a3b2
r1bq1rk1/pp2ppbp/3p1np1/8/2Pn4/1P2P3/PB2BPPP/RN1Q1RK1 w - -,b2d4
4r3/p4kp1/1prp1n1p/n3p3/1RP5/P1P1B2P/3NRPP1/6K1 w - -,b4a4
3n4/1p1rk2p/p3ppp1/2Rn4/1P4PP/P3P3/1B2KPB1/8 b - -,h7h6
rnb1k2r/ppq1ppbp/6p1/2p4n/4P3/2P1BN2/PPQ2PPP/RN2KB1R w KQkq -,a2a4
rn1qr1k1/5ppp/p7/2pPP2b/p7/2NB4/1P1Q2PP/R4RK1 b - -,e8e5
2r3k1/5pp1/3R1b1p/pp6/2p2PP1/Pn5P/1P2R2K/8 b - -,g8h7
r3k2r/pp2nqpp/2b2p2/4p3/8/2P5/PP1NQPPP/R1B1R1K1 b kq -,e8g8
5rk1/4p1bp/p1q1npp1/1p1p4/5P2/2P1B1P1/PP3Q1P/3RR1K1 w - -,d1d2
6k1/1b2pp2/p2p1npp/3P4/3QP1B1/6BP/P1q2PPK/8 w - -,d4b6
r3r3/1kp5/1n2p1p1/pp2b2p/4PN1P/P5P1/1PP5/2KBRR2 b - -,b6c4
r4rk1/2pbqpb1/p2p1npp/np2p3/3PP3/2PB1N1P/PP2QPP1/R1B1RNK1 w - -,b2b4
2rqk2r/1b2bpp1/p3p3/2npP2p/1p1N4/4P2P/PPB2PPB/2RQ1RK1 b k -,g7g6
4B3/4k3/5p2/1Pb1pKp1/4P3/5PP1/8/8 b - -,c5e3
r1bbk2r/1p3ppp/2np1n2/q3p3/p1P1P3/2N1BP2/PP1Q2PP/R1N1KB1R w KQkq -,c3b5
1n3rk1/p4ppp/2q1p3/2Nn1b2/1p1P1P2/5Q2/PP1B2PP/2R2RK1 b - -,h7h6
4k3/R4pp1/4p3/4P3/1P3P2/6K1/pr6/8 b - -,g7g5
4r3/5k2/5p2/6p1/6P1/1Q4KP/8/8 b - -,f7g7
r4rk1/4qppp/1pp5/3pP3/8/3Q4/PP3PPP/2R2RK1 w - -,c1c6
2kr2r1/1pb2pp1/pqp1pn1p/7P/2PP4/Q1B3P1/PP1NRP2/1K2R3 w - -,d2b3
1k3b1r/1n6/2qP1p2/2B3pp/1RP2P2/Q5PP/6K1/3R4 w - -,a3f3
4k3/4b3/4p1p1/4p1P1/4N3/4K3/8/8 w - -,e3d3
8/4k2p/2p1Npp1/1pP5/pP2P3/P3KPP1/3r3P/8 w - -,e3d2
r3b3/2p3RR/1p1p1k1r/p2PpP2/P1P1B3/1P4P1/4Q1K1/2q5 w - -,e2f1
1r3rk1/2q1bppp/p3p3/2p1P3/P4P2/n1PRB1P1/1p1NP1QP/1R4K1 w - -,c3c4
8/6p1/p1r2k1p/8/R3P3/5KP1/8/8 w - -,a4a5
r2r2k1/ppq1ppb1/2n1b1pp/2p4n/4P2B/2P1NN2/PPQ1BPPP/R2R2K1 b - -,h5f4
1q3nk1/pp1r1np1/5p1p/3Pp2P/P4P2/1P2N1P1/5QB1/3R2K1 b - -,e5f4
r3k2r/1p2p2p/p1p1pnp1/2P1N1P1/3P4/8/PP1K2PP/R6R b kq -,f6d5
5k2/1p3rbp/3P2p1/5N2/q5p1/1p6/3QR1PP/5RK1 b - -,g6f5
r2qr1k1/1b3p1p/p5p1/1p1Pb1Pn/2p1P2P/P1B2Q2/4NP2/3RRBK1 b - -,d8d6
r1bq1rk1/ppp2pp1/2np1n1p/4p3/2P1P3/2P3P1/PP1N1PBP/R1BQ1RK1 b - e3,a7a6
rn1q1rk1/1p3pbp/p3b1p1/P2np3/8/1NNBB3/1PP1QPPP/R4RK1 w - -,c3d5
r1bq1rk1/1pp1b1pp/n3p3/p2p1p2/2PPnB2/P1N2NP1/1PQ1PPBP/2R2RK1 b - -,c7c6
3n2r1/7k/p2p3p/Pp1P4/1Pp5/2P2P2/3B1P1K/4R3 w - -,d2f4
r1b1k2r/pp2qppp/2pb4/3Pn3/6n1/1P1BPN1P/PB3PP1/RN1Q1RK1 b kq -,e5f3
3q1rk1/5p1p/5bp1/2p1P3/1p1p1PQ1/1P1B4/r5PP/1R2R1K1 b - -,f6g7
r2nk2r/1p4pp/5p2/pPb1p3/4BnPN/2P4P/PB3P2/R2K3R b kq -,c5f2
1rq1brk1/2p1b1p1/p1n4p/1p1NPp2/8/4B1P1/PP2QPBP/2RR2K1 b - -,e7d8
r2r2k1/ppq2pb1/2p1bnpp/4p3/2P1P3/2N3PP/PP2QPB1/R1B2RK1 w - -,c1e3
r1b2rk1/pp2ppbp/6p1/q2pn3/3P1B2/1QP3P1/P3PPBP/R4RK1 w - -,d4e5
rnq2rk1/pb2ppbp/1p3np1/2p1P3/5P2/2NBBN2/PPP1Q1PP/2KR3R b - -,f6d7
rn3rk1/p4ppp/1p2pn2/5q2/2PP4/4BN2/P3QPPP/R4RK1 b - -,b8c6
r1bq1rk1/pp1nbppp/4pn2/8/2BP4/P1N5/1P2NPPP/R1BQ1RK1 w - -,c4a2
1r2qrk1/3bb1pp/p2p1n2/1p1Pp3/1B2Pp2/3B1P2/PPN3PP/2RQ1RK1 b - -,f6h5
8/3r3p/1p2bkp1/p1p5/3RB2P/1P3PP1/P3K3/2R5 b - -,d7d4
8/p7/1p5N/2pP2p1/k1n3P1/5K2/8/8 w - -,h6f7
r1br2k1/ppq1bppp/2n1p3/2P5/5n2/4NN2/PPP2PPP/R1BQRBK1 w - -,c1d2
3b4/6k1/6Np/5K2/6PP/8/8/8 w - -,h4h5
2n2rk1/1b1r1pq1/p3p3/1pR4p/8/1B1pB1QP/PP3PP1/5RK1 b - -,h5h4
8/1P1n3p/p2b2p1/4k3/4B3/4K2P/P5P1/8 w - -,e4c6
r1b1kb1r/p1q2ppp/2p1p3/3p4/8/4N3/PPPQBPPP/R4RK1 b kq -,f8d6
r2r2k1/pb1q1pbp/1pnpp1p1/2p2n2/1PP5/P1NP2P1/2NBPPBP/1R1Q1RK1 w - -,a3a4
rn3rk1/1b2qpbp/pp1ppnp1/8/2PNP3/P1N2B2/1PQ2PPP/R1BR2K1 b - -,b8d7
r2qk2r/pbppnpp1/1p2pb2/7p/2PPNBnP/5NP1/PP2PPB1/R2Q1RK1 w kq -,d1c2
r1b1k1nr/ppp2ppp/8/3qP3/4p3/2B5/PPP2PPP/R2QKB1R b KQkq -,g8e7
3r1k2/p3ppbp/1p2b1p1/2p5/2P1P3/1N2B2P/nPR1BPP1/6K1 b - -,a2b4
4Bk2/5p1p/1p2p1p1/p7/3r4/5P2/P5PP/1R4K1 w - -,e8b5
2r1r1k1/1b1n1ppp/pq2pn2/1pp5/8/PP1P1NP1/1Q1NPPBP/2R2RK1 w - -,c1c2
r1b1k2r/pp1n1pp1/5n1p/q1Pp4/1b5B/1QN2N2/PP2PPPP/R3KB1R w KQkq -,a2a3
r4rk1/ppp1q1bn/3p1nbp/3Pp3/2P4P/2N1B1N1/PP2BP2/R2QK2R w KQ -,h4h5
r1b2rk1/ppq2pbp/2n3p1/2p1p3/8/1QPP1NP1/PB2PPBP/R4RK1 w - -,c3c4
2r5/1p1bkpnp/6p1/p2p4/3N1P1P/1P1BPP2/P4K2/6R1 w - -,g1g5
8/8/1k5r/2R5/P7/2KB4/8/8 w - -,c3b4
2rr2k1/pp1bppbp/1qn3p1/2pp4/3P1B1P/2P1PN2/PP1QBPP1/R3K2R b KQ h3,d7g4
8/3R1pk1/5p2/4p2p/4P2P/5PPK/5r2/8 w - -,d7d3
rn1q1rk1/pbp2ppp/1p2pn2/8/2PP2P1/P1N1P3/5P1P/R1BQKBR1 b Q -,f6e4
r2q1rk1/1b3ppp/pp1p4/2pPn3/P3P3/NP4Q1/2B2PPP/R4RK1 b - -,b6b5
rnbq1rk1/ppbp1ppp/2p1pn2/8/1PPP4/P1N1P3/4NPPP/R1BQKB1R w KQ -,c1b2:f2f4:e3e4:d4d5:e2g3
r4rk1/pp2qpp1/5n1p/2b1p3/4P2B/1P1B1Q2/P4PPP/1R1R2K1 b - -,a8c8
1k1r2r1/7p/bP1q1p1b/P2p1n2/3Pp3/4P3/4Q1PP/R1R2NK1 w - -,e2a6
r1b2rk1/2p1qpp1/p1np3p/1p2p2n/4P3/1BPP1N2/PP1N1PPP/R2QR1K1 w - -,d2f1
r1bqk2r/pp1p1ppp/4pn2/4n3/1b1NP3/2N2B2/PPP2PPP/R1BQ1RK1 b kq -,e8g8
r1bqkb1r/ppp1pppp/2n5/3p1n2/3P2P1/2N2P2/PPP1PB1P/R2QKBNR b KQkq g3,f5h6
2r2r2/p3q1k1/8/2R2pp1/2Q3pb/8/PPB5/1K4R1 w - -,c5c8
5rk1/4qbp1/pb1pprp1/1p6/1P2PNQP/2P2RP1/P5BK/3R4 w - -,d1f1
R4nk1/1p1r2p1/2p2pPp/1p3q2/1PpP3P/2P1B1Q1/5P1K/8 b - -,f5e4
r2qk2r/pp1bbppp/2nppn2/1Bp5/P3PP2/2NP1N2/1PP3PP/R1BQ1RK1 b kq -,e8g8
r1b2rk1/1p1nb1pp/pq2p3/n2pPp2/3P1P2/P2B1N2/1P2N1PP/R1B1QR1K w - -,b2b4
1br1r1k1/p4ppp/2p5/3p3q/1P1Bn1b1/PQ2PNP1/4BPKP/2RR4 b - -,h5h3
r1nq1rk1/1p1bbppp/4pn2/pP1pN3/2P5/P5P1/1B1NPPBP/2RQ1RK1 b - -,a5a4
5R2/2b5/2p1k1p1/2Bp2P1/2bP3P/4K3/1P6/8 b - -,c7g3
bqrr2k1/n4ppp/4pn2/1pNp4/1P1N1P2/P3P1P1/4Q1BP/3R1RK1 b - -,b8b6
3r2k1/5qbp/p1nn2p1/2pb2N1/R4B2/7P/1PB2PP1/3Q1RK1 b - -,f7f4
2b2rk1/r3n1pp/1pn5/p1p2q2/3p1P2/3N1Q2/PPP1B1PP/1KN1RR2 b - -,c5c4
8/5b2/3k1pp1/1p6/1P1K1P1P/P3N3/8/8 b - b3,f7e8
2r1rbk1/1R1n1p2/1p2pn1p/pB1p4/3P4/P3PN1P/NP3PP1/5RK1 b - -,e8d8
2b2rk1/5ppp/1B1b4/1B3P2/2p1P3/3r4/P5PP/1R1R2K1 b - -,c8b7
8/p3r3/1p3kp1/4Np1p/P1BK1P1P/1P4P1/8/8 w - -,d4d5
1qr2k1r/p3bppp/1p2pnn1/1Q1bN3/3P4/1P4P1/PB1N1PBP/2R2RK1 b - -,d5g2
1b6/p2kn3/1p5r/1N1Pp3/4Rp2/8/PP3B1P/7K w - -,b5c3
3r4/p6p/Rrnppk2/1p3p2/1P3P2/2P1N2P/1P1R1KP1/8 w - -,a6a1
3R2k1/pp2bpP1/2p1p3/4N3/1q5P/8/PPP1QP2/1K6 b - -,e7d8
R7/P4p2/4p3/4P1p1/5k1p/6nP/r5PK/1R6 w - -,h2g1
1k1r1n1r/1q2bp2/1p2p1pp/pPp1P2Q/2PpNP2/3P2P1/1P5P/R1B1R1K1 w - -,h5e2
7r/pp1k1pp1/3Pp3/1Pp4r/2P2Pn1/P5P1/6K1/R3RN2 w - -,a1d1
6k1/2q2pp1/1Nn1p2p/Ppp5/3bP3/1P4P1/3Q1PBP/6K1 w - -,d2d3
1k4q1/1pp3p1/2n4p/p7/2P1r2P/P3QP1N/1P3P2/1K6 w - -,e3e4
rk1r4/1p4R1/p1b4N/3pp3/5p2/8/PPPR1P1P/2K5 w - -,h6f7
1b3rk1/pp4p1/7r/4p2q/1N1p3P/P2Q2P1/1P2RP2/4R1K1 b - h3,a7a5
5r2/p4ppk/4p2p/1p1pP1PP/n1qP3B/2P1QP2/P1R5/6K1 b - -,h6g5
2r2rk1/p1qb3p/1ppb1ppn/8/2P1PPP1/2B3NP/P4QB1/R4RK1 w - -,g1h1
5r1k/p1N3bp/1p6/2p3q1/4Qn2/2P2BBP/Pr3P1K/5R2 w - -,f1d1
3rk2r/1p4pp/p2b1n2/5Pn1/N1Bp4/4P3/PP1P2KP/R1B2R2 w k -,e3d4
r4rk1/pp1qb3/2n1b3/4pppp/2B5/PP6/1B2NPPP/RQ3RK1 w - -,f1d1
2r3k1/4bppp/2n1p3/pp2P3/1P2r3/P3N1P1/2R2P1P/2R3K1 w - -,b4a5
3r2k1/pq2ppbp/4b1p1/1P2n3/1P5B/3r4/3NQ1PP/R1R2N1K b - -,d3d4
7r/1p2kp2/2p2pr1/2n1pR1p/1P2P3/3BP1P1/2P2R1P/2K5 b - -,c5e6
r4rk1/2q5/pnbNp2p/1p1nPppQ/2pP1b2/6B1/PP3PPP/1B1RNRK1 b - -,c7g7
r1bq1rk1/1ppn1pbp/2np2p1/8/2P1PP2/1PN3PP/4N1B1/1RBQ1RK1 b - -,c6b4
4r3/1b3p1k/p4Bp1/1p5p/8/1qP3Q1/1P3PPP/4R1K1 w - -,e1f1
r2q1rk1/5ppp/2n1pn2/p2p4/R2P1B2/2PbPN1P/2Q2PP1/5RK1 w - -,c2d3
2b3k1/5p2/3n1Qp1/2q5/1p6/1N5P/2P1N1PK/8 b - -,c5c7
r1bq1rk1/pp3pbp/1n4p1/3pp3/PP6/3P1NP1/3BPPBP/2RQ1RK1 b - a3,c8g4
3b2k1/p6p/p1p2pp1/2P1p3/2b1P3/3N3P/P4PP1/2N2K2 b - -,d8a5
5k2/2R3b1/8/8/1pP1P3/1r4P1/5K2/8 w - -,c4c5
8/5k2/6p1/5n1p/5K1P/8/8/4B3 w - -,e1f2
2N2B2/8/2p3p1/1k1b2P1/3b4/P7/3K4/8 w - -,d2d3
6k1/4pp2/4b1B1/p2q3p/8/1P4P1/P2r1P1P/1Q2R1K1 w - -,g6h7
rn1qkb1r/p4p2/bp2p1pp/3pP3/3P3P/2NQ1N2/PP3PP1/R1B2RK1 w kq -,c3b5
5rk1/2qn1pp1/p4n1p/1pb1pPN1/P7/1B4B1/1P1Q1P1P/3R2K1 w - -,g5f3
r2q1rk1/ppp3bp/3p2p1/n2Pp3/2P1Q3/5bP1/PP3PBP/R1B2RK1 w - -,g2f3
r1bq1rk1/1p1n1ppp/p1pbpn2/8/2PPP3/2NB1N2/P2B1PPP/R2Q1RK1 b - -,e6e5
1r4k1/Rb3qp1/2p1pn1b/2Pp4/1Q1P3P/1P2Pp2/1B3P1P/R3N1K1 w - -,e1f3
1r4k1/5ppp/1r6/6P1/3PQ3/4P2P/5P2/6K1 b - -,h7h6
8/p4k2/4R2p/2p3p1/r3N3/P3P3/1PK2PPP/8 b - -,a4c4
5k2/3b1p1p/8/pp1p1pP1/3P1P2/PB3P2/3K3P/8 b - -,d7e6
3r1k2/p4ppp/1p6/2n1BqP1/3p1P2/1P6/PKP1QR2/8 w - -,e2c4
8/p3kp2/2p5/1pPr2P1/1P6/P7/K2p4/3R4 b - -,e7e6
1r3rk1/p1p1nppp/1p1q4/3p1n2/N2P4/4PBP1/PPQ2PP1/2R2RK1 b - -,c7c6
5rk1/p1r1qppp/R4n2/2pp1b2/Qb1P4/1PN1P3/3BBPPP/5RK1 w - -,a6f6
8/6p1/2k2rp1/6RP/1pp3P1/8/1PK5/8 w - -,c2c1
2rqkbnr/pp3pp1/2n1p1b1/1BPpP3/3N2p1/2N1B3/PPP2P1P/R2QK2R w KQk -,d1g4
R7/5b2/3k2p1/pp1p1p2/8/4PP2/P4KP1/8 b - -,a5a4
rr4k1/2Q2pp1/3ppnbp/1q6/3PP1P1/P4P1B/1B3R1P/R5K1 b - -,d6d5
r2k1b2/pp1n1pp1/2n3p1/2p3P1/2P1N3/2B1QP2/PP5q/2KR1B2 w - -,e3d3
1r1q1rk1/p6p/3p1pP1/3Pp3/3p3P/1P1Pb1P1/P3Q1BK/R4R2 b - -,h7g6
rnbq1rk1/pp3ppp/2p2n2/3Pp3/P1B1P3/2B5/1P3PPP/R2QK1NR b KQ -,f6e4
2r5/1nr2kb1/pp1pp2p/3n1pp1/P2P4/2PN2BP/1P1N1PP1/R3R1K1 w - -,g3h2
6k1/6p1/p3R2p/1p2N2r/8/1n3P2/1P4P1/1K6 w - -,e6e8
1R6/8/8/8/6k1/5p2/r7/5K2 b - -,f3f2
5k2/3Qbp2/4p1p1/p6p/P3P2P/6P1/3K1P2/2r5 b - -,c1c4
5rk1/ppp2bbp/2n3p1/2N2p2/5B2/P4B2/1PPR1P1P/1K6 w - -,f4c7
r4rk1/pb1nqppp/1ppbp3/8/2PPQ3/5NP1/PP3PBP/R1BR2K1 w - -,c1f4
r3r1k1/1ppb1pp1/7p/p2Pp3/2P1Q3/1q3N2/1B4PP/1K3B1R w - -,f1d3
r2q1rk1/pbp1ppbp/1pnp2p1/4P3/3PN3/1P3N1P/1PPQ1PPB/R3R1K1 w - -,a1d1
8/p2rk3/1p6/7Q/P7/1P4P1/3r1PK1/8 b - a3,d2d3
8/b1r2pk1/5qp1/1p1Q4/8/1B1R3P/5PK1/8 w - -,d3f3
3r2k1/1r3ppp/1pRbpn2/1q1p4/1N1PnB2/P4Q2/NP3PPP/5RK1 w - -,f1c1
rnbqkb1r/pp3p2/3p1np1/2pPp2p/2P1P3/5P2/PP2N1PP/RNBQKB1R w KQkq h6,b1c3
r2qnrk1/4bppp/bp2p3/p1ppP3/5BPP/2PBPQ2/PP1N1P2/R3K2R w KQ -,d3c2
2r3k1/5p1p/1p1Rnqp1/p7/2P5/1P2P1Q1/P3BP1P/7K b - -,c8d8
8/pp1k2p1/2p1b3/P1P3P1/4P3/2P1K3/4B3/8 w - -,e3f4
r1bqr1k1/bpp2pp1/p1n2n1p/3pp3/4P3/1BPP1N1P/PP1NQPP1/R1BR2K1 b - -,c8e6
rnb2rk1/1pp1qppp/3ppn2/p2P4/2P5/PPQ2N2/1B2PPPP/R3KB1R w KQ -,d5e6
qr4k1/1brn1pb1/pp2p1p1/3n3p/1PNP4/PQN5/1B3PPP/3RRBK1 w - -,c3e4
1R6/pp1rkpp1/4p1p1/1P6/2Bn4/5PK1/1P3P1P/8 b - -,d4f5
8/6P1/8/2k3K1/2P5/N1n5/1p6/8 b - -,c5b4
3n1k2/rpr2p2/pR2p1p1/2P4p/3P3P/2PKPB2/6P1/1R6 w - -,d3c4
r1bq1rk1/p1p1b1pp/1np1P3/2Np1p2/5P2/2PBB3/PPQ3PP/R4R1K b - -,g7g6
r2qkbnr/1pp2ppp/p1p5/4p3/4P3/5Q1P/PPPP1PP1/RNB2RK1 b kq -,d8d7:d8f6
r1b2rk1/pp1nqpbp/2pp1np1/4p3/2PPP3/2N1BN1P/PP2BPP1/R2Q1RK1 w - -,d1c2
8/6p1/2Q4k/7p/3qpp2/7P/5PPK/8 b - -,g7g6
2r1kb1r/1bqn1ppp/p2p1n2/1p2p3/4PP2/PNN1BB2/1PP1Q1PP/2KR3R b k -,h7h5
7r/1k2np2/2b1pN2/3pP3/1PnP1NP1/6KP/6B1/R7 w - -,g2f1
3N4/R2nkppp/8/1p2P3/1P4K1/6P1/1r1r4/3R4 w - -,d8c6
2b5/5kp1/p4n1p/1p2pp2/8/1P3PP1/P2BPKBP/8 b - -,f6d5
5bk1/q4pp1/3np1p1/3p4/rP1P3P/3Q1PP1/1R2N1K1/4B3 b - -,d6c4
8/1p2kp2/3np3/p1r5/P4pP1/1B1K1R2/2P5/8 w - -,f3f4
r2q1rk1/ppp1ppbp/2np1np1/5b2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,d8c8:d8d7:f6e4:e7e5
6k1/5pp1/4p2p/1p1pP3/p1rR1P2/PqP4P/1P1Q2PK/8 b - -,g8h8
2r3k1/3n1p1p/p7/8/Npp1P3/4K1P1/PP5P/2R5 b - -,c8c6
