8/8/8/4KP2/8/5r2/5kpR/8 b - -,f2g3
8/5pbk/2q2npp/ppn1r3/3R4/P1N4P/1Q4PK/1B3R2 w - -,d4f4
rn1q1rk1/pbppb1pp/1p2pn2/8/3P1P2/2NBBN2/PPP3PP/R2Q1RK1 b - -,c7c5
1r1br3/p4pk1/2p1nn2/2Pp2pp/N2P4/1NB1RPP1/P4K1P/4R3 w - -,b3d2
8/8/6pk/4K3/6P1/4b3/2R5/8 b - -,h6g5
8/8/5pk1/3K4/8/4B3/R7/5r2 b - -,f1f5
8/pp6/1n2k3/4P2p/5Rp1/1p4P1/P1r1R1K1/8 w - -,f4f6
r2qk2r/pp3pb1/2p1p2p/8/3PQ1P1/6P1/PPP3P1/2KR1B1R b kq -,d8d5
8/2BN1kb1/2p5/1b3ppp/1P1p4/5PP1/3K3P/8 w - -,d7c5
4r3/5kp1/2p1rb2/pp1p1p2/5P2/P1P1P3/1P1R1P2/2B1RK2 w - -,d2e2
5r1k/3qn1bp/6p1/Q7/3P1P2/8/1P3PBP/2RR2K1 b - -,f8f4
1rb3k1/2q2p1p/3p4/3Pb3/1pp5/2N1N2P/1Q3PP1/R2R2K1 w - -,a1c1
r2qkb1r/ppp1pp1p/1nn1b1p1/8/3P4/1QN2N2/PP2PPPP/R1B1KB1R w KQkq -,b3d1
r1k4r/1ppbbpp1/2p4p/p3P3/5R2/1P5P/PBP1NPP1/R5K1 b - -,d7e6
rr4k1/3nppbp/q2p1np1/2pP4/P3P3/2N2NPP/1PQB1PK1/R6R b - a3,e7e6
8/6p1/4bpk1/1R5p/7P/5PK1/r5P1/8 b - -,e6c4
5rk1/pp3q1p/4brp1/8/8/1P1B2b1/P3QPPP/2R2RK1 w - -,h2g3
8/8/4k1Kp/4p1p1/4P2P/3NbPP1/8/8 b - -,g5h4
2r2bk1/1pp2p2/p3rnpp/4p3/q3P3/3PB1NP/PP2QPP1/2RR2K1 w - -,b2b3
br4k1/2qp1pbp/2n1p1p1/1Q6/3pPP2/1B1P1N2/1PPB2PP/5RK1 w - -,b5g5
2r2rk1/pp3pbp/3q1np1/3PpP2/4N3/3P4/PP2Q1PP/R1B2R1K b - -,d6d5
8/1b3k1p/pp2np2/2b2N2/5P1B/P1N1P2P/1P1r2P1/2R2K2 w - -,h4f2
2rq1nk1/4bbp1/1p2p2p/pP1pPp1P/N2P1PP1/P2BNK2/1Q6/7R b - -,f5g4
rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,d1c2
r1bq1r2/1p1nb1pk/p3p2p/2pp4/2Pn1PP1/2NP1N2/PP4BP/R1BQ1RK1 b - -,d7b6
8/8/4k3/4bR2/2p1P1p1/6P1/4K2P/8 b - -,c4c3
8/7p/4p1p1/3b4/p4P2/B1k1K2P/8/8 b - -,c3b3
r1b2rk1/1p3ppp/p1n1pn2/q2p4/3P1B2/PQPBPN2/5PPP/R4RK1 b - -,b7b5
rq2k1nr/3nbppp/p2pp3/1p2P3/5B2/1BN2Q2/PP3PPP/R2R2K1 b kq -,d6e5
r3qrk1/p3bbpp/1ppp1n2/5p2/1PPPpP1P/2N3P1/P2BBP2/R1Q2K1R w - -,c1e1
2r2r1k/pb1q1p2/4p1pb/3pP2p/3pN2P/2P3P1/PP2QPB1/R2R2K1 w - -,e4f6
8/1p6/6pk/5q1p/p1P5/3nQ1P1/PPR4P/4R2K b - -,h6h7
6k1/6pp/5p2/8/4p3/1PR5/4KPPP/1rN5 b - -,b1b2
r1bqk2r/pp3ppp/2pp1n2/2n1p3/4P3/6P1/PPPPNPBP/R1BQK2R w KQkq -,d2d3
r1r2bk1/1p3p2/p1n1b2p/1q1pP3/1P1P1Q2/P4N2/3B1PPP/R4RK1 w - -,f4h4
5k2/2n2pp1/P1Nb3p/2p5/3p4/1P1B3P/5PP1/6K1 w - -,a6a7
8/1B6/Pk3p1p/6P1/3K4/6P1/8/6r1 b - -,f6g5
r2q3k/2pbn1b1/1p1p3p/3Pp1p1/1PP3P1/3B1rNP/2Q2P1B/2R2RK1 b - -,a8a3
r2q1rk1/1p3pbp/3pb1p1/pP2p3/2PnP3/2NBB3/P2Q1PPP/2R2RK1 b - -,a8c8
r5k1/2qb1pp1/1pp1pn1p/2Pp4/1P1P1P2/1NQBP3/6PP/5RK1 w - -,f1a1
2rr2k1/pp3npp/2p2p2/2q1p3/6Q1/1PB1PP1P/P4KP1/3R1R2 w - -,d1c1
3q3r/B1Qnppkp/3p2p1/8/4P3/5P2/P4P1P/2R3K1 w - -,a7d4
6k1/6r1/2p4p/1p1pPb2/3bnp1p/R7/1PBNRPPK/8 b - -,d4e5
5rk1/p3q2p/1p2p1p1/3p4/1p2Qb2/1P1B1P2/P1PPKP2/6R1 w - d6,e4d4
2rq1rk1/1b2bppp/pP1ppn2/2n5/2P1P3/1NN1BP2/1P2B1PP/R2Q1RK1 b - -,d8b6
1r5r/1p3pk1/p1n3p1/3p4/3P3q/2N1P1bB/PP4QP/2R2R1K w - -,h2g3
r2qr1k1/pp2nppp/2nb4/3p4/6bB/1NP2N2/PP2BPPP/R2Q1RK1 b - -,d8b6
2brr3/2k2pp1/pp2q3/2p1N3/3PP3/2P3Q1/P5PP/3RR1K1 b - -,c7b7
b4r1k/p3R2p/8/5Bp1/2P5/1P4P1/1K5P/8 b - -,f8f5
r1bqkb1r/pp1n1ppp/2p2n2/4p3/P1N5/5NP1/1P1PPPBP/R1BQK2R b KQkq -,e5e4
8/4k3/2R5/3K1bP1/7P/5P2/2p5/5r2 w - -,d5e5
5n2/6p1/4k2p/R2p1p2/2rP3P/4B1P1/4KP2/8 b - -,f5f4
6k1/p5bp/1r4p1/1Rp1p3/P5P1/2Pr3P/1P4K1/2B1R3 b - -,b6b5
6R1/8/2bP1k2/8/6pP/6P1/6r1/6K1 w - -,g1f1
r1b2rk1/qp2bppp/3p4/B1nPp3/p4P2/P7/1PPNB1PP/R2Q1R1K w - -,d2c4
1b2r1k1/5qpp/8/3p4/8/BP3pP1/P2RrP1P/3R1QK1 w - -,d2d5
1rbqk2r/5p2/p2p3p/PppPb1p1/8/2N1P1P1/1PQ2PP1/R3KB1R w KQk b6,a5b6
1N6/2p1k1p1/p2n1p2/2p4N/2b5/1P3P1P/P2R2PK/1r6 w - -,b3c4
r5k1/pbpnq1pp/1p3r2/3p1p2/3Pn3/2NBP3/PPQN1PPP/2R2RK1 w - -,d2e4
2rqkb1r/1b1n1ppp/p2ppn2/1p6/3NPP2/P1NBB3/1PP1Q1PP/R4RK1 b k -,d8c7
r2qk2r/pp2bppp/2p5/3pP3/3Pb3/4P3/PP2Q1PP/R1B1KBR1 b Qkq -,d8b6
6k1/5pp1/2B1p3/ppb1P1BP/8/4PK2/1r3P2/8 w - -,f3e4
8/4p3/5n2/p1pk4/P7/3P4/5P2/5KR1 w - -,f1e2
8/2b1kp1R/p1p1b1p1/PpP3P1/1P1KP3/5Pp1/4B3/8 w - -,e2f1
8/6k1/R6p/5r1p/P4p1K/5P2/6P1/8 b - a3,f5g5
5r1k/1p2r1bP/2p1n1R1/p3P3/3PB3/P3P3/1P2K3/2R5 b - -,f8d8
r2qk1nr/ppp1ppbp/2np2p1/3P4/2P5/2N2bP1/PP2PP1P/R1BQKB1R w KQkq -,e2f3
8/1p2k2p/3b1pp1/p1r5/2P1P3/1P4P1/P3BK1P/3R4 w - -,e2g4
1k6/2r2n2/1K4R1/3P4/P3n1P1/8/8/8 b - -,c7b7
2r1kb1r/4npp1/p2p4/3b3p/PpqB4/4QB2/1PP1RPPP/R5K1 w k -,b2b3
rnb1kb1r/pp1p1ppp/4p3/q7/3P4/2N2N2/PP1nPPPP/R2QKB1R w KQkq -,d1d2
8/8/8/8/4k3/1pp5/6r1/2KR4 w - -,d1e1
8/8/8/4kp2/R5n1/6PK/5r1P/8 w - -,h3h4
6R1/pp5r/4p2k/4Bb1P/5P2/3p4/PP1K2R1/7r b - -,h6h5
r2q1rk1/ppp2ppp/2n2n2/2b1p3/4P3/P1P2B1P/1P1N1PP1/R1BQK2R w KQ -,d1c2
2r1r1k1/1b3ppp/pp3n2/3PN3/8/1B6/P4PPP/3RR1K1 b - -,c8c5
3r2k1/p2r1ppp/1Q2pn2/8/1P6/P2B3P/5PP1/2R1R1K1 b - -,a7b6
5k2/4pp1p/6p1/1B2Pb2/8/1R2PP2/r5PP/6K1 w - -,h2h4:b5c4
r1b2k2/ppp1q1p1/8/5p2/1Q2n1p1/3rP3/PP2NPPP/R3K2R w KQ -,b4c4
r4rk1/1p2ppbp/2pp2p1/p1nP4/2P1P1B1/P3B3/1PR2PPP/3R2K1 w - -,g4f3
r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P1P1/2N1B2P/PP3P2/R2QKBNR w KQ -,g1f3
8/5kp1/2R5/8/p4PKP/r5P1/8/8 b - -,a3b3
2r2rk1/p1q1npb1/bpn1p1pp/2ppP3/5B1P/2PP1NP1/PP2QPB1/R3RNK1 b - h3,d5d4
r1r5/3k3p/p1b1p3/1pRnB1p1/3P2p1/1P2PB1P/1P1K1P2/2R5 w - -,f3g4
8/5k2/2b1n1p1/4B2p/5N2/5P1P/5KP1/8 w - -,f4d3
2kr3r/1p1bqp2/p3p3/3pP1b1/3P2Pp/1PNN1Q2/1P5P/R4RK1 b - -,d8f8
5K2/8/6R1/8/7k/8/7p/8 b - -,h4h3
r2q1rk1/1p1n1ppb/1np1p2p/p7/Pb1P1BP1/2NN4/1P2PPBP/R2Q1RK1 b - -,d8f6
3r1bk1/1pr2ppp/p1np1q2/3Qp3/4P3/2P1N3/PP2BPPP/R4RK1 w - -,a1d1
r1bq3r/1p2kpb1/p2pp1pp/2p5/2BnP1nP/P1NQ1N2/1PPP1PP1/R1B1K2R w KQ -,f3d4
3r4/1p2r1kp/p1p2qp1/P1Nppp2/1P6/2Q1P1P1/5P1P/3R1BK1 b - -,d8d6
3r4/2R2rkp/3p1qb1/P2Pp3/8/6PB/3Q1P2/2R3K1 b - -,d8f8
2r5/3q2k1/1p1Bnpp1/p2Q4/P1P3R1/6P1/5P2/6K1 b - -,e6g5
5rk1/8/2Q2np1/4R3/5P2/6PP/6K1/q7 b - -,a1a8:a1b2
2rr2k1/1p3pp1/p2P1n1p/2P1qP2/1PBQp1P1/1P2R2P/8/3RK3 b - -,e5f4
rn3rk1/pbp1qp1p/1p2pb2/3P4/2P3p1/P1N5/1PQ1NP1P/2KR1B1R w - -,h2h3
r4rk1/pp1n1ppp/2p1p3/5P2/1b1P3N/1P6/1P2PPBP/R1nR2K1 w - -,a1c1
r2qkb1r/1p1bpp1p/p1np1p2/8/4P3/1NN5/PPP2PPP/R2QKB1R w KQkq -,d1h5
r1b1kb1r/p1p1qppp/1p3n2/1N2p3/8/2QB4/PPP2PPP/R1B2RK1 b kq -,c7c5
8/8/8/4p1k1/7p/4N1P1/4KPBr/8 w - -,e2f1
5k2/p3rp2/2p2n1p/2P1p1p1/2P3P1/P3B2P/P3KP2/1R6 b - -,f8g7
r5k1/pp3ppp/5q2/2Ppr3/1P2n3/P3PB2/2Q2PPP/R4RK1 b - -,a8e8
8/8/p3kp2/2p1p1p1/P1PbP1P1/1K3P2/3B4/8 w - -,b3c2
q3r1k1/1b1r1pbp/p2p1npB/1p3p2/4P3/P1NB2RQ/1PP3PP/5R1K w - -,e4f5
r4rk1/1b3ppn/p1p4p/1p2PN2/7P/Pq1B2P1/1P2QP2/2RR2K1 w - -,e2g4
2r1r1k1/p4qp1/1p5p/2pNnp2/2Pn1N2/3P2P1/P4RQP/2R3K1 b - -,g7g5
3r2k1/6p1/1p3p1p/p2q4/6Q1/2B1R1P1/5PKP/3r4 w - -,g2h3
r2q1rk1/1pp1ppbp/nn2b1p1/p7/3P1B2/P1N1PN2/1PQ2PPP/3RKB1R b K -,d8c8
8/5p2/1r4p1/1P3k1p/1R6/8/6PK/8 w - -,h2h3
8/1pp1k3/p3b3/8/1P2Pp1R/P1P2P1p/3N2r1/4K3 b - b3,e7f6
3r2k1/p1q1bppp/2N1p3/1rPnN3/p2P4/P5P1/5PKP/2RRQ3 b - -,d8c8
2r5/6p1/2pR1bkp/8/1P4P1/4BKP1/5P2/8 w - -,f3e4
r5k1/p1p3pp/1pnppr2/3q4/2bPpP2/B1P1P3/P1Q2RPP/3RN1K1 w - -,a3c1
r4rk1/pp2nppp/3qpn2/1B1pNb2/3P4/2P5/PP2QPPP/RN3RK1 w - -,b1d2
1R6/1p4pk/p3p3/2p5/8/1P4KP/P3r3/8 b - -,b7b5
1B1b4/3k4/2p3p1/5p1p/PK6/5P1P/6P1/8 b - -,d7c8
r2qr1k1/ppp2pb1/2n1b1pp/3np3/1P2N3/3P1NPP/P2BPPB1/1QR2RK1 b - b3,c6d4
2rr2k1/1p3pb1/p2ppnpp/2q5/PnP1P3/1PN2P2/3QN1PP/2R1BR1K b - -,b4c6
r1bq1rk1/ppp2ppp/1bn5/3B4/3PR3/5N1P/PP3PP1/RNBQ2K1 b - -,d8d5
r2q1rk1/ppp1ppbp/1nn3p1/3P4/2P5/2N1BB2/PP3PPP/R2Q1RK1 b - -,c6e5
1r3n1k/2p1rpb1/ppB3p1/4P2p/5PqP/1P4P1/P1Q3K1/2BRR3 b - -,g4c8
8/8/8/8/4p2k/R3Prpp/7K/8 w - -,h2g1
r4rk1/n2q1pb1/1p2b1np/p1p1P1p1/P1Pp2PP/N2P1NB1/1P1Q2B1/4RRK1 b - -,e6g4
8/4k3/3P4/2P1K3/4B1b1/8/8/8 b - -,e7d8
8/5pkp/6p1/2r5/P2pp3/7P/3N1PP1/5RK1 b - -,f7f5
6r1/3k1p2/4pBp1/3nP1N1/Pp6/2p5/P1K2PPP/8 b - -,g8a8
8/8/1r6/3k1p1p/1P3Pp1/3KP1P1/8/1R6 b - -,b6b5
3rrn1k/2p2qpp/1p1pbp2/p7/2P1PP2/P1Q3B1/BP3RPP/4R1K1 b - -,e6c8
3q2k1/Q3bp2/6p1/n2BB2p/2p1P2P/8/1P3PP1/6K1 b - -,a5b3
6k1/3r1pp1/4bn1p/8/2pbNqPQ/P4B1P/1P1R1PK1/8 w - -,d2e2
8/5r2/3pk1p1/1pp3p1/p2Pp1P1/P1P1R2P/1P4K1/8 b - -,e6d5
r4rk1/5p1p/p2q1p2/2pN1Qb1/3P3P/8/PP3PP1/3KR2R b - h3,d6c6
8/ppr1p2p/3nBkp1/4R3/5PP1/1P6/1P5P/1K6 w - -,h2h4
2r2b1k/pp6/7p/3P1Qp1/4P3/2r5/2q4P/3R2RK b - -,f8g7
2r2rk1/1b1n1ppp/pqp1pn2/1p6/P1pPP3/R3B1PP/1PQN1PB1/5RK1 b - -,b6c7
2kr1b1r/qpp2ppp/p4nb1/3P4/N1P1p3/1N2P1PP/PP4B1/2RQR1K1 w - -,d1e2
r2q1rk1/pp1nbppp/2n1p3/3pPb2/P1pP4/2P1BN2/1P1NBPPP/R2Q1RK1 b - a3,a8c8
1r2bk2/1p5p/pr1Np1p1/R1P1Pp2/1P3P2/2PK2R1/1P5P/8 b - -,b6c6
8/pp3p2/3kpb2/5p1p/7P/2P2NP1/PPK1RP2/5r2 w - -,e2d2
8/3k4/2R5/4K3/5P2/2p3r1/8/8 w - -,c6c4
1rbr2k1/n4pp1/p2p1q1p/2pP4/5PnN/BP1QP1P1/6BP/1R2R1K1 b - f3,f6e7
6k1/p4pbn/7p/5Pp1/1BBp2P1/1P1r3P/P7/7K w - -,c4d3
1R4K1/pr3N2/8/P1nk4/7b/8/3B4/8 w - -,b8e8
r2r2k1/pbqp1ppp/1pn1p3/2P5/Q7/1NP1PB2/P4PPP/R2R2K1 w - -,a1b1
rn3r2/1p2ppkp/2p3p1/8/1PPN4/p1n3P1/P3PPBP/R2R2K1 w - -,d1d3
Q4bk1/5p2/1q2r2p/p3P1p1/5p2/5N1P/5PP1/2R3K1 w - a6,c1a1
1R6/8/8/P7/1kb2Np1/r7/3K4/8 b - -,b4a5
8/8/7P/8/2K1kp2/2P1p3/3r4/6R1 b - -,d2h2
r1b2rk1/1pq1bppp/p1nppn2/8/2P2B2/1NN3P1/PP2PPBP/2RQ1RK1 b - -,c6e5
4n3/1p1kb1p1/p2p4/P2P1pN1/2P2P2/1p1K3P/3B4/8 w - -,d3c3
1rb1k2r/4qpbp/p2p4/1p2p3/2P1B3/N7/PP3PPP/R2Q1RK1 w k -,e4c6
8/1r3p1p/Np3kp1/pP1n4/2R2P2/P4K2/6PP/8 b - -,b7e7
r4rk1/bp3pp1/pqp2nnp/4pN2/4P1P1/1PP2N1P/1P1BQP2/R3K2R w KQ -,b3b4
rR3k2/3B1prp/p2p1n2/5p2/4p3/8/P1P2PPP/1R4K1 b - -,a8b8
2r2rk1/1p3n2/3p2pp/pq3b1N/3B4/1B1P2Q1/PP3PPP/5RK1 w - -,g3f4
r1r3k1/6bp/1q3pp1/1p1p4/3P1Q2/4PN2/P1RR1PPP/6K1 b - -,c8c4
r1bq1rk1/pp1n2pp/2pbpn2/3p1p2/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,d8e7:d8e8
8/1q3p1k/4p1p1/2p4p/2Qb3P/p7/1PR5/1K6 w - -,b2b3
r7/5p2/1p3rk1/2p1Rp2/5Q1P/8/Pq4P1/3R2K1 b - -,a8a2
5n2/8/8/3Pk2P/6K1/2N5/8/8 w - -,g4g5
r1bqnrk1/p5b1/1p1p2n1/1N1Pp2p/1B2PpP1/1Q1N4/PP2B1PP/2R2RK1 b - -,h5g4
b2rn1k1/n3qppp/4p3/1p6/1bPBN3/1P2N1P1/2R2PBP/Q5K1 b - -,a7c6
2n3k1/5pp1/4p2p/4Q1qN/8/4P1P1/5PKP/8 w - -,e5b8
r1br2k1/2q1bpp1/pp3n1p/n2ppP2/P3P3/1NN1B2P/1PPQB1P1/R4RK1 w - -,c3d5
r1b2k2/pp3npp/4p3/5p2/8/2N1P3/PP2BPPP/3R2K1 w - -,f2f4
r2qkb1r/1b1n1pp1/p3N2p/8/4P3/4B3/RPPQB1PP/4K2R b Kkq -,d8h4
rn2r1k1/1p3pbp/p1p2np1/2P1p3/2B1P1P1/2N1B2P/PP3P2/2R1K2R b K g3,b8d7
5rk1/pp3pp1/1q2p2p/2n4P/2P3P1/4QN2/PP3P2/1K1r3R w - -,h1d1
rnbqr1k1/pppp1ppp/5n2/2b1p3/4P3/2NP2PP/PPP2PB1/R1BQK1NR b KQ -,c7c6
6r1/1k2nr2/1p6/p6R/P2N1Bp1/2P3K1/1P3PP1/8 b - -,b7a6
1r3rk1/2p2ppp/p2bb1q1/6N1/1n4P1/7Q/P2BRPBP/R5K1 b - -,e6d5
3r2k1/1p3p2/4pb1p/n2n2p1/6P1/P7/2R2NPP/3R3K b - -,d8a8
r1b1k1r1/pppq1pp1/2n4p/bB1pPp1Q/3P4/P1N5/1PP2PPP/R1B1K2R w KQq -,e1g1
2r2rk1/q2nbppp/ppB2n2/2p1p1B1/Q7/2NP2P1/PP2PP1P/2R2RK1 b - -,c8c7
1rbq1rk1/4ppbp/p2p1np1/nppP4/2P5/1PN3P1/P1QNPPBP/R1B2RK1 w - b6,c1b2:a1b1
r1bq1r2/1p4kp/p2p2pn/2pPPp2/P4P2/3B3P/1P2Q1P1/RN3RK1 b - -,d6e5
1r4k1/4R3/6Bp/2P2N2/8/1r4P1/7P/3n2K1 w - -,g6f7
r3r1k1/b4qp1/2Q1p2p/p4p2/3P4/2B5/PP3PPP/4RNK1 b - -,a8d8
r4rk1/p2nqppp/1ppbp3/3n4/3P4/1QN1PPB1/PP3P1P/1B1RK2R b K -,d5c3
2r2rk1/pb1q1p1p/1p2pbp1/8/2nPBN2/6B1/P1Q2PPP/3RR1K1 w - -,c2b3
8/p1n1k3/1p6/1P1p1p1p/3P1Pp1/2N3P1/1P2K2P/8 w - -,e2d3
r3k2r/1b2bpp1/pBq2n2/4pP2/PpN1P2p/3B3P/1PP2QP1/R4RK1 b kq -,f6e4
4r1k1/2r2p2/p2q1npb/1pNp1p1p/1P1P1N1P/4P1P1/PQ3PB1/2R3K1 w - -,f4e2
r2qk2r/ppp1bppp/2nppn2/8/3PP3/2N1B3/PPPNQPPP/R3K2R b KQkq -,d6d5
8/5k2/4n3/1r3pPp/2R5/1P2BKP1/8/8 w - -,b3b4
r2q1rk1/pb1n1ppp/1ppbpn2/8/2PPN3/1P1B1N2/PB3PPP/R2Q1RK1 b - -,f6e4
7r/1Q3pk1/p3b3/3pbqp1/2r2P2/P1N1P1P1/1P1R2K1/3R2N1 b - -,e5c3
r3r1k1/3q1ppp/1Bb5/3pP1PP/pp1N4/1P6/1PP2Q2/1K2R3 w - -,g5g6
6k1/p5pp/2p5/8/2b5/4R3/P5PP/5Q1K b - -,c4f1
3k4/p5r1/3K4/8/5Rn1/P7/8/8 b - -,g7g6
3n4/p1rrk3/Np2ppp1/1P2p2p/2P1P2P/R2P1PP1/4K3/R7 b - -,c7c8
rn2kb1r/ppqbpppp/5n2/8/3N4/2P1B2P/PP3PP1/RN1QKB1R w KQkq -,d4b5
r1b1k2r/p1q1bppp/1pnppn2/8/4P3/4QN1P/PPP1BPP1/RNBR2K1 w kq -,c2c4
r3kbnr/pp3ppp/2pp4/4pP2/2B1P2q/2N2P1b/PPPPQ2P/R1B1R1K1 b kq -,g7g6
rnbq1rk1/ppp1ppbp/5np1/3p4/1PP5/3P1N2/PB1NPPPP/R2QKB1R b KQ -,c7c6
4r1k1/1brn1ppp/p2qpn2/1pp5/8/PP1P1NP1/1QRNPPBP/2R3K1 w - -,d3d4
rnbqk2r/pp3ppp/8/2pQ2b1/8/2N3P1/PPP2PBP/R3K1NR b KQkq -,e8g8
8/p7/1p1k4/1P1p3B/3P4/3KN3/1r6/8 w - -,h5e8
8/4Pk1p/2N2Bp1/5r2/8/p7/K7/8 w - -,f6h4
8/5p1k/1B5p/6pP/P4nP1/2r2PK1/8/1R6 w - -,b1b2
rq3rk1/1p1b1p1p/p4Qp1/3P4/2P5/3BR3/PP3RP1/6K1 w - -,e3e7
r2q1r2/ppp3bk/3nP1pp/4p3/1P1nN3/1Q6/P3BPPP/R1BR2K1 w - -,b3d3
4r1k1/ppR2p1p/3P1p2/8/b2p4/3P1N2/PP3PPP/6K1 b - -,e8d8
r1b2rk1/2q1ppbp/2p1n1p1/3p4/1P1P4/2P2N2/5PPP/1RBQRNK1 b - -,c8a6
8/3R2kp/p4rp1/P7/4P3/6PP/5PK1/8 b - -,g7h6
3q1rk1/pb1nppBp/1p1p1np1/2r5/2P4Q/1PN2NP1/P3PPBP/R2R2K1 b - -,g8g7
3r1rk1/pbq2pp1/1p1bpn1p/4N3/2P5/1P1B4/PB2QPPP/R3R1K1 w - -,a1d1
rn1r2k1/pp2bqpp/8/1N3p1b/R1p2P2/4B3/1PB2QNP/5RK1 b - -,b8c6
r1b1kb1r/pp3ppp/2n1pn2/3q4/3P4/2N1BN2/PP3PPP/R2QKB1R b KQkq -,d5d8:f8b4:d5d6
2k3r1/p4p1r/1p2pQ1p/3pPp1P/q1pP1P2/2P5/P1P2RPK/6R1 b - -,a4a3
1r2r3/3qkppp/p2b1n2/2p1p3/1pP5/PP6/1BNP1PPP/R2Q1RK1 b - -,a6a5
5rk1/pr2p1bp/6p1/2pN1p1P/2P5/1P6/P3PP1P/3R1RK1 b - -,g6g5
1r1q1rk1/1p1bppbp/p1npn1p1/8/P1PNPP2/2N1B1PP/1P4B1/R2Q1RK1 w - -,d4e6
8/8/8/5P1p/2p5/1k1K3P/8/8 w - -,d3e2
r6r/1p1nk1pp/p1p1b3/4p3/2B2P2/2N3PP/PPPR4/2K4R w - -,c4e6
rnbq1rk1/ppp1npbp/3pp1p1/8/2PPP2P/2N2N2/PP3PP1/R1BQKB1R w KQ -,h4h5
1rb1k1r1/4np1p/pNn1pB2/1p1p4/8/3B2P1/PPP3P1/R4RK1 w - -,b6c8
r1r1n1k1/1QBq1ppp/3P4/p7/P3p3/7P/1P3PP1/3R1RK1 w - -,b7b5
3r4/pb2r1b1/1p2n1kp/1P1p1pp1/3P4/3NB1P1/2R1PPBP/4R1K1 w - -,e1a1
6k1/2p3r1/1p1p2PQ/pP1Pp3/2P1P3/5r2/P1KB4/8 w - -,h6g5
7k/7p/p4R2/8/1P1p2r1/P2n2P1/3N1P1P/5K2 b - -,g4g8
r1bqkb1r/1p3p1p/p1np4/4pp2/2P5/N1N1P3/PP3PPP/R2QKB1R b KQkq -,f8g7
2rr2k1/1b1qnpbp/ppn1p1p1/1N6/1PP5/4B1P1/4PPBP/1R1QNRK1 w - -,d1d7
6k1/6pp/8/4p3/R7/P4PP1/4r1PK/8 b - -,e2e3
8/2b4p/1pk3p1/p1pN2Pn/P1N2P2/1P3K2/2P5/8 w - -,c4e3
1r2kb1r/5ppp/2qpb3/p1nN2P1/1p1BP3/8/PPPQ2BP/1K1RR3 b k -,b8c8
r5k1/1p2rppp/p2p2q1/P1pP4/1n6/2N3B1/1PP2P2/2RQ1BK1 w - -,d1d2
r2qk2r/ppp1bppp/2n1pn2/3p4/2PP2b1/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,f1e2
r1bqkb1r/pp3ppp/2n1pn2/2p5/2Pp4/1P2PNP1/P2P1PBP/RNBQ1RK1 b kq -,f8e7:e6e5:f8d6
7n/1r3p2/2R4p/1p2p1pk/4P3/4BP1K/5P1P/6r1 b - -,h8g6
2R5/5pk1/1p1Nrn2/pP4pP/r3p3/4P2P/5PK1/3R4 b - -,f6h5
2b1rrk1/1p2q1n1/3p1p2/2pP2pp/PpP1P1P1/1P1B1NQP/8/4RRK1 w - -,e1e2
