8/1pr2p2/p3k3/7p/P3PP2/3RK3/P6P/8 b - -,c7c2
r1b2rk1/3p1p1p/1q2p1p1/1p1P4/3p4/1B1P4/PP2QPPP/2R1R1K1 w - -,e2e5
r3r1k1/pp1qbpp1/4nn1p/3pB3/2pP4/2N1PP2/PPQ1N1PP/3R1RK1 w - -,a2a4
r7/1p3pk1/p1pp2n1/5bR1/2P2q2/1P6/PK2Q3/3N2R1 w - -,d1c3
5q1k/3b2rn/p1pN2pQ/P3pp2/1p2P1P1/1B1R1P2/1PP2K2/8 w - -,g4f5
7r/5p2/p2p1pk1/1p1P1Nb1/6K1/1PP4P/1P6/5R2 w - -,h3h4
8/5ppk/4p1nP/3qP1P1/pQpP4/1p4K1/1P6/2B5 w - -,b4d2
7r/1k6/1p2p3/p2pPp2/P4Pp1/2P4r/1P4KP/3R3R b - -,h3e3
r6r/p2bkpp1/1pn1p2p/3pP3/q1pP4/P1P5/1QPBBPPP/R4RK1 w - -,f2f4
8/6kp/5pp1/4p3/1P6/2Q4P/4qPPK/8 w - -,c3c5
3r2k1/6pp/5p2/pp6/2prP1P1/PbR2P2/1P2K2P/1NR5 b - g3,b5b4
r1bqrnk1/1p3pb1/1Pp2np1/p1Pp3p/3Pp2P/2N1P3/PB1NBPP1/1K1Q2RR b - -,c8f5
8/8/7p/pr1n1R1B/4p3/1K2P1k1/8/8 w - -,b3a3
8/1ppR1pk1/p3rp2/P2Np2p/1P2P3/8/1PK2bPP/8 w - -,d7c7
8/3B4/3p4/2bP2k1/PpP1Kp2/8/8/8 b - -,b4b3
8/p2R3p/2p3pk/5p2/2P5/1P4P1/r6P/6K1 w - -,d7c7
4k2r/1pp1bppp/p1q2n2/2p5/2b1PN2/2N1BP2/PPPr2PP/R2Q2K1 w k -,d1d2
4rbk1/2pq1pp1/1nn4p/1Q6/2P5/5NNP/3B1PP1/R5K1 w - -,d2e3
r1bq1rk1/ppp1ppb1/3p1npp/8/3P4/2P2NP1/PP2PPBP/RN1Q1RK1 w - -,f1e1
r4rk1/pp3ppp/2pqpnb1/8/3P1N2/1B2Q3/PPP2PPP/3RR1K1 w - -,f4g6
1rr3k1/pp1R4/2n3pp/2P1pp2/1P6/2P3P1/P4PBP/3R2K1 w - -,g2c6
rnbq1rk1/ppp1ppbp/5np1/3P4/3P4/5NP1/PP2PPBP/RNBQK2R b KQ -,f6d5:d8d5
3r3r/2qnbkp1/5p1p/2pnpP2/2P1N1PP/5N2/1P2Q1K1/R1B2R2 b - -,d5b4
5rk1/3r1pb1/4p3/4Bbp1/7p/1BP4P/PP2QPP1/6K1 b - -,g8h7
1R6/5pkp/4p1p1/1P2P3/8/8/7P/2K3r1 w - -,c1c2
8/8/3p2kp/6p1/3KP1P1/6BP/6r1/8 w - -,g3d6
1qr2rk1/1b1nbppp/pp1ppn2/8/2PNP3/2N1BP2/PP1Q2PP/2RR1BK1 w - -,g1h1:d2f2
2r5/ppr2pkp/3qp1n1/3nNp1P/2RP4/1P3N2/P2Q1PP1/4R1K1 b - -,g6e5
2r2r2/6k1/p1qpp1pp/b3p3/4P1PP/1Pp1QP1R/1PKRN3/8 w - -,b2c3
r3k1nr/ppp2ppp/8/2bPp3/1n4Bq/2N5/PP3PPP/R1BQ1RK1 w kq -,a2a3
8/1br2pk1/p3p3/Pp4p1/1P1K2P1/4NB2/8/5R2 b - -,b7f3
r3k1nr/pp2bp2/1q2p1p1/3pP2p/2pP4/PbP1B1PB/1P1Q1P1P/1R2NRK1 b kq -,e8c8
8/6kp/p1rq2p1/2P2p2/2Qp4/2n1P1P1/P4P1P/2R1R1K1 b - -,c6c5
2r3k1/5ppp/pq6/8/1BnN1P2/3R1QP1/1PP4P/1K6 b - -,b6b4
6rk/p1pq1nrp/5b2/3Pp3/4Pp2/P1BQ4/3N1PP1/4RK1R w - -,h1h2
4nrk1/1bqnr1bp/p2p2p1/P1pP4/R4PN1/2N2B2/1P5P/2BQ1R1K b - -,b7c8
8/pkr2ppp/1p6/8/1P6/6P1/5PKP/1R6 b - -,b7a6
1qr3k1/2r2pp1/1p1Rp2p/p3P3/P1P1QP2/1P4PP/7K/3R4 b - -,c7c5
r5qr/3nk3/1p1p3p/pQ2p1p1/P7/4B3/1P3PPP/R4RK1 b - -,a8c8
r1bRr1k1/5ppp/1pp5/4q3/PPB1P1Q1/8/5PP1/3R3K w - -,g4g5
r1bq1rk1/1pp3b1/3p1pp1/p1nPp2p/2P1P1nB/2N2N1P/PPQ1BPP1/R4RK1 b - -,g4h6
b4qk1/p3p3/1p2P2p/n2r2p1/3b4/3QBp1B/P4P1P/3R2K1 w - -,e3d4
r1bq1r2/1pp1bpk1/p1np2p1/P2Np1p1/2B1P3/2PP3P/1P3PPN/R2QR1K1 b - -,f7f5
2r1r1k1/pp1b1pp1/1qn2n2/3p1Pp1/1P1P1R1P/P1N5/6B1/R1BQ2K1 w - -,h4g5
3r2k1/1p3ppp/4p3/2r1P3/3b2b1/1B6/PP3PPP/R1B1R1K1 w - -,e1e4
r1r3k1/2qn1p1p/b5p1/2nPp3/4P3/1PN1N1PB/3Q3P/1RR3K1 b - -,c5d3
r4rk1/1bqpbpnp/p3p1p1/1p2P1P1/3N1P2/2N1Q3/PPP1B2P/1K1R2R1 w - -,c3e4
4q1k1/1p3bp1/rp2rn1p/2p5/2P2BP1/P1QB1P2/1P5P/2R1R1K1 b - -,a6a8
3r2k1/4qpp1/r5bp/1Nb5/2PpP3/P4QPP/3R2BK/4R3 w - -,e4e5
r1b2rk1/p1pnqpp1/1p2p2p/3n4/3P4/2NBPN2/PP3PPP/R2QK2R w KQ -,c3d5
2r4r/pp2qpk1/6p1/3p2Pp/3Pp2P/1P2P1Q1/P4P2/R4RK1 w - -,a1c1
8/7p/1p6/1p3k2/1Nb2P2/5K1P/8/8 w - -,b4c2
7k/p1r3bp/1p2p3/5pp1/q2PP3/4N1P1/PQ3PP1/4R1K1 w - -,e4f5
2r5/5bk1/p4rpp/4n3/1K1N3P/1pP3R1/1P6/1B4R1 b - -,f6b6
6k1/p1rn1p1p/4p1p1/3p4/3P1P2/2NR3P/P5P1/6K1 w - -,g1f2
8/2p5/3p3k/pB1P2pP/4b3/2P3K1/PP6/8 b - -,e4d5
5k2/5p1p/6p1/4R3/4P3/4KP2/6rP/8 b - -,g2h2
8/brq1npk1/3p3p/4pp2/2pP4/2P2N1P/1PB2PP1/QR4K1 w - -,a1a3
rn2k2r/pp2bpp1/1qp1pn1p/3p1b2/2PP4/1QN2NP1/PP2PPBP/R1B2RK1 w kq -,b3a4:f3d2:c4c5:c3a4
3r1r2/1p3ppk/7p/5N2/3p3n/P5B1/1PP2PPP/3RR1K1 b - -,h4f5
r1bqk2r/ppn1b2p/5n2/3p2p1/3Pp3/PQN1P1P1/1P1BN1BP/R4RK1 b kq -,c8e6
r3kb1r/pp1b1ppp/1qnppn2/8/4PP2/1NN2B2/PPP3PP/R1BQK2R b KQkq -,f8e7
3r2k1/2R2ppp/1p5q/1P2p3/Pp2PnP1/4RP1P/3r3K/2Q2B2 w - -,h2h1
8/5p1k/r5p1/6K1/3Q2PP/8/8/8 w - -,d4b4
3r4/1b3Bpk/p4n1p/1p6/2pb4/2B3NP/PP3PP1/4R1K1 w - -,g3f5
3r1rk1/qpp2ppp/4pn2/pB6/P2P2Pn/1P1Q3P/1BP2P2/R2R2K1 b - -,c7c6
7Q/pp2qb1p/2p3k1/P4p2/5P2/5B1P/5P1K/8 b - -,e7e8
r2qkb1r/pp1bpp1p/5np1/n2p4/Q1PP4/2N2N2/PP3PPP/R1B1KB1R w KQkq -,a4c2
r2q1rk1/1p1b3p/p2p2pb/4p3/2PpP3/3P1NQP/PP2N1P1/R4RK1 b - -,b7b5
r2r2k1/pp1nbpp1/1q2pn1p/8/4NB2/2PB3P/PPQ2PP1/3RR1K1 w - -,f4e3
8/r5Kp/1p1k4/1P4RP/8/8/8/8 w - -,g7h6
r1bq1rk1/1p3p1p/p1pb1np1/3p1n2/PP1P3B/2NBPN2/2Q2PPP/1R3RK1 w - -,h4g5
r1b1k1nr/pp3p1p/2n1p1p1/2ppP3/q2P2Q1/P1P2N2/R1PB1PPP/4KB1R b Kkq -,c5c4:c8d7
7k/7p/1N6/PbnB2p1/8/1P5P/7K/8 b - -,h8g7
r1b2r1k/ppqn1pp1/2pb1nQp/8/3Pp2N/1BN1P3/PP3PPP/R1BR2K1 w - -,b3f7
4r3/ppk2r2/8/2p5/2Pp1R2/P5P1/1P3P2/6K1 w - -,f4f7
r4rk1/2qnbppp/p2p4/1p1Qp3/4P3/2P5/PP2BPPP/N2R1RK1 b - -,a8d8
r4rk1/2q2pp1/4bn1p/p2pp3/4P2N/RP1Q2NP/2P2PP1/3R2K1 w - -,e4d5
r4rk1/p3qpp1/2P2bbp/QP2p3/3p4/6PB/3NPP1P/R1R3K1 w - -,c6c7
r2qk2r/pp3pp1/2nbbn1p/3pp3/7B/1BNP1N2/PPP2PPP/R2Q1RK1 b kq -,c6e7
5r2/3r2pk/p3b2p/P1p1q2P/1p2p3/2pn2N1/1P1BQPP1/1R3RK1 w - -,b2c3
2b1r1k1/5pbp/p4np1/q1P5/1r1B4/2N2P2/PP1QB1PP/3RK2R b K -,e8d8
r2qkb1r/1p3ppp/p1n5/2ppP3/3P2b1/2PB1N2/P4PPP/R1BQ1RK1 w kq -,c1b2
2rr2k1/3p1p1p/4pp2/2n5/3N1P2/P4P2/2R1PK1P/5R2 b - -,d7d6
8/2R4p/6pk/4n3/7P/4K1P1/8/8 b - -,e5g4
rnbq1rk1/ppppb1pp/4pn2/5p2/2PP4/1P3NP1/PB2PP1P/RN1QKB1R b KQ -,d7d6
8/1p5r/8/P5P1/2P1K3/8/5k2/7R b - -,h7h1
1r1q1rk1/4bppp/B2pb3/4n1P1/P3P2P/2Q1B3/2P2R2/R2N2K1 w - -,a6e2
rn2kbnr/pp3pp1/1q2p2p/2pp4/3P3B/2NPP3/PP3PPP/1R1QK1NR w Kkq -,d4c5
r3k2r/1pn3bp/p1p2pp1/2Pppb2/R2P4/1P2PNP1/1P1NBPP1/4K2R w Kkq e6,d4e5
r2qkbnr/pp1b1ppp/2n1p3/8/Q2pP3/5N2/PP1PNPPP/R1B1KB1R w KQkq -,e2d4
3q1rk1/rp1nb3/p1p1b2p/2Pp1pp1/1P1P4/2N1PBBP/P5P1/1R1Q1RK1 b - -,d7f6
r2q1rk1/1p2nppp/p3b3/3pp3/3pP3/1BP1N3/PP3PPP/2RQ1RK1 w - -,c3d4
r1qbb1k1/5p2/3p1np1/3Pp3/pBP1P2P/4N2P/2BQ1P1K/5R2 b - -,d8e7
5R2/8/6kp/r4p2/5P1P/6PK/8/8 w - -,f8e8:f8g8
2bk1r2/4pp2/p2p4/2pPn1p1/P3PP1p/1N6/R3BP1P/6K1 b - -,g5f4
1r2rbk1/1bqn1ppp/ppnpp3/6PQ/P2NPP2/2N1B3/1PP3BP/R4R1K w - -,f4f5
8/4k3/7p/5K1P/4RP2/8/3p4/3r4 b - -,e7f7
r1bq1rk1/1p3pbp/p2p2p1/8/4PBn1/2P3N1/PP2B1PP/R2Q1R1K b - -,g4e5
rnb1k1nr/ppp2pb1/6pp/1N2p1N1/2P5/6P1/PP2PP1P/R1B1KB1R b KQ -,b8a6
6k1/1p1Rbp1p/p7/7p/2P2N2/5P2/P4PK1/4r3 b - -,b7b5
r4rk1/1pp2ppp/n2bp3/p3N3/P1QPNP1q/4P3/1P3PKP/3R1R2 b - -,d6e5
r1bqk2r/ppp2ppp/1nn5/4P3/1bBp4/1N3N2/PP3PPP/R1BQ1RK1 w kq -,c4b5
6k1/2n1pp1p/Qn1p2p1/2pP4/2P1PP2/2B2N1P/6P1/6K1 b - -,c7a6
2r2rk1/pRbq2pp/5n2/2Rp1p2/5P2/3QB1P1/P3P1BP/6K1 b - -,d5d4
r1bq1rk1/ppn1ppbp/2np2p1/2p5/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - -,a8b8
R7/1p3r1p/6pk/4pp2/8/7P/P5PK/2N5 b - -,f7c7
5rrk/2p1q1p1/3p3p/p1p2P1Q/4P2R/1PP4P/P7/6RK w - -,g1g6
6k1/6p1/q1p4p/3p4/7P/1r6/pPR2PP1/K2R4 b - -,b3b8
6R1/4k1p1/5bp1/1p6/6P1/1rB4P/1P3PK1/8 w - b6,g8b8
1rq1r1kb/2pb1p1p/p1pp2pB/8/2P1P3/1P5P/P1NQ1PP1/3RR1K1 b - -,c6c5
2b5/4p3/1k1pN3/pp1P4/2pPBp2/P1P2Pb1/1P1K4/8 w - -,e4g6
1rbq1rk1/4n1b1/p1n2pp1/1ppp4/P6Q/1BNP1N2/1PP3PP/R1B2RK1 w - -,a4b5
r1r3k1/np3ppp/4p3/pq1pP1PN/2PR4/7P/1P2QP2/2R3K1 b - -,c8c4
r2r2k1/pp2bppp/2n1pn2/2p4b/3PqB2/2P1NN1P/PP2BPP1/R2Q1RK1 w - -,f4g3
2k5/7R/2pN4/7n/2P5/7r/4PK2/8 b - -,c8d8
2k3rr/ppb1qp2/5n2/4p1pp/1nPpP3/B5PP/2P1NPBK/1R1Q1R2 b - -,c7d6
3R4/8/7p/5p1P/4p3/5k2/1r6/5K2 w - -,d8d1
1r5k/p1p2prp/3p1qn1/2pB2p1/4P3/2P2PP1/PP1Q3P/4RR1K w - -,e1e2
r1b1k2r/p1p2ppp/2p5/3P4/8/2P5/P1PKBPPP/R6R b kq -,c6d5
r2k2b1/pp1n4/2p3pp/5p2/2P3n1/BPR1rPPB/P3P2P/3R2K1 w - -,a3b4
r1bqk2r/pp2nppp/1bpp1n2/4p3/2N1P3/1BPP1N2/PP3PPP/R1BQ1RK1 b kq -,b6c7
r5k1/3b1npp/1r1q1p2/1ppP1P2/4PN2/5NQ1/1R4PP/4R2K w - -,e4e5
r3kb1r/ppp1pb1p/2n2pp1/3p1q2/3P1N2/2NQP1B1/PPP2PPP/R3K2R b KQkq -,f5d7
r1r3k1/pp2bppp/3p1n2/2qPp3/4P3/1QN3P1/PP3PKP/R1B2R2 w - -,c1e3
8/2QR1qk1/6p1/P1p5/4p2P/5rK1/1P6/8 w - -,g3g2
8/1p1k4/pKp5/2P2p1p/PPbP1B1P/6P1/8/8 b - -,d7c8
8/5p2/2n1p1pp/p3k3/4N3/4K2P/1P3PP1/8 w - -,e4c5
7k/1b1r1pp1/nqp1p2p/8/pp5Q/P3P1P1/1P3PBP/R3B1K1 b - -,b4a3
8/p1bn2kp/1p3pp1/8/1Pn4N/P3P1P1/1B3PBP/6K1 w - -,b2c1
r1bq1rk1/ppp1ppbp/1n3np1/8/3PP3/Q1N1B3/PP2BPPP/R3K1NR w KQ -,g1f3
r1bqk2r/pp1n1ppp/2pbp3/3p4/2PPn3/BP1BPN2/P4PPP/RN1Q1RK1 b kq -,d6a3
3k4/pp6/7p/PB3P2/1P1b1p2/3p4/4r1PP/3R1K2 b - -,e2b2:e2f2
r1bqkb1r/1p1p1ppp/p3p3/n1pnP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq d3,c5d4
2b2r1k/5rp1/pp5p/1p1R4/1P1P4/2P2N2/6PP/4R1K1 b - -,c8b7
3rk2r/2q2pp1/p1n1p1p1/1pb1P3/2p2P2/2P1BQ1P/PPB3P1/R3R1K1 b k -,c6e7
r4rk1/pbq2pbp/1p2p1p1/4N2n/2BP1B2/7P/PP1Q1PP1/2R1R1K1 b - -,c7d8
3r1rk1/1p6/p2p3p/P2np3/1P3p1q/3P3b/5PPP/BQR2R1K w - -,g2h3
2rqkb1r/pp1nnp2/2p1p1p1/3pP1Pp/3P3P/2NQ1PN1/PPP5/R1B1K2R w KQk -,f3f4
r2q1rk1/1pp1b1pp/4pn2/1pPpNp2/3P1P2/1Q3P1P/PP2N1P1/R4RK1 b - -,c7c6
rnbqk1nr/pp3ppp/1b2p3/3pP3/1P6/P4N2/2P2PPP/RNBQKB1R b KQkq -,a7a5
5rk1/2rb2bp/p2qp1p1/P2pN1P1/1p1N1P1P/3PQ1K1/1P3R2/4R3 b - -,d7e8
r3kb1r/p1ppqppp/b1p5/4P3/1nP5/8/PP1NQPPP/R1B1KB1R w KQkq -,e1d1
r5k1/p4pp1/1p2b2p/4P3/8/PpB5/1P1R2PP/6K1 b - -,a8c8
5r1k/3q2rp/pp3p2/4pR2/2PbB3/1P5Q/P5PP/3R3K b - -,g7g5
r3kn1r/ppq1bpp1/2p2np1/3p4/3PP3/1QN2P2/PP1B2PP/1K1R1B1R b kq -,a8d8
r2qnbk1/pp3r1p/3pb1p1/1NP1p1p1/1P2P1P1/P3B2P/2Q2P2/3RKBR1 w - -,f1c4
1rb5/2nnq1kp/pr1p1p2/2pPpPp1/2P1P3/RPN3P1/R6P/2NQ1BK1 w - -,h2h4
1k4r1/ppq1pp1p/2p2rbp/2P5/1P1b4/1Q1P1BN1/P4PPP/3R1RK1 b - -,h6h5
8/8/6p1/8/4bk1P/8/N7/2K5 b - -,f4g3
1rb1r1k1/5pb1/pn4p1/3p2Pp/8/1NN4P/PP1QBq2/2K2R1R b - -,f2e3
3r4/bp1r1kp1/p1p1p1p1/1n2Pp2/nPRP1PPB/P6P/R3N1B1/4K3 b - -,d8h8:d8a8
r4r1k/1p1qp1bp/n2p2p1/1N1Pn3/1PPB1p2/1Q6/P3BPPP/2R1R1K1 w - -,a2a4
3r4/3b4/R7/pBp1k1p1/P4p2/2P5/1P3KP1/8 w - -,b5d7
8/8/8/1k1p4/5Rn1/4P1Pp/5p2/7K w - -,f4f5
8/8/2k5/4K3/4N3/8/3R4/4r3 b - -,e1h1
1r2r1kb/pb1npp1p/q2p2p1/2pP4/5P2/1PN3PP/P2BP1BK/R1Q1R3 b - f3,e7e6
2r1r1k1/3q2pp/3P1p2/p7/Pbb1N3/4RNP1/1Q3P2/3R2K1 b - -,d7a4
8/8/8/1Kp5/3q4/3kp3/8/2Q5 w - -,c1d1
8/2r2pk1/2P1p1p1/1b2P3/3QB2p/2R4P/6PK/4q3 w - -,d4e3
r2q1rk1/pp3pbp/4pnp1/1p6/3P4/2B1PP2/P3BP1P/R2Q1RK1 w - -,e2b5
r3k2r/1b1n1p1p/3P4/3p4/p7/5pB1/1P3PPP/R4RK1 w kq -,f1e1
3q1rnk/1p5p/n2p2pb/3Ppp2/P4r2/P2BBN1P/3Q2P1/1R3R1K w - -,d3a6
8/8/2n1p3/2BpP3/p1pP4/2P5/2P2k2/3K4 b - -,f2e3
6k1/5p1p/pq1np1p1/1pNp4/3P4/1PQ1PP2/P5PP/6K1 w - -,g1f2
1nk5/2p5/1p1b3p/3p1n2/1P1P1Pp1/p1PN2P1/P2BN3/1K6 b - -,b8d7
8/p7/1p1b1k2/7p/PN1P1p2/1P2p2P/5K2/2B5 w - -,f2f3
rn1r2k1/pb1qbpp1/1p1p1n1p/2pPp3/4P3/P1PBBN1P/1P1N1PP1/R2QR1K1 w - -,d2f1
4rr1k/2pb1qp1/2n1pb1p/pp1p4/3P4/PP3NP1/N1PQ1PBP/3RR1K1 w - -,c2c3
r1bq1rk1/pp1pbppp/2n1pn2/8/2PN1B2/P1N5/1P2PPPP/R2QKB1R w KQ -,d4b5
r1bqrbk1/pp1n1ppp/2pp1n2/4p3/4P3/2PP1NP1/PPQN1PBP/R1B1R1K1 b - -,b7b6
2n5/p4k2/2P4p/2n4p/2P4B/1B3P2/2K3PP/8 w - -,h4f2
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 w - -,a2a3:f2f4:h2h3
5r1k/5qp1/3b3r/p2N4/2Q1R3/P2p2P1/1P1R1P2/6K1 w - -,c4d3
2rr3k/6bp/p4pp1/8/7P/1P1B1RQ1/2P3P1/q6K w - -,f3f1
7r/2pbqnk1/np1p2p1/pN1Pp3/P1P1PpPr/5P2/1PQNB1K1/6RR w - -,c2d1
r3k2r/pp4pp/n2pb3/qN1p1p2/3Pn3/PQ2PN1P/4BPP1/R4K1R w kq -,g2g3
4r1k1/pp3ppp/2nr4/q2p4/3P4/P3B2P/1P2QPP1/2RR2K1 b - -,d6h6
2n5/8/R7/2p5/2p5/2Pk4/P7/7K w - -,a6c6
r4rk1/5ppp/ppn1b3/3pP3/4n3/NB3N2/PP3PPP/R2R2K1 b - -,f8d8
r1bq1rk1/1ppn2bp/n2p4/p2PpP2/2P5/P1N1BN1P/1P3P2/R2QKB1R b KQ -,d7c5
r3kb1r/p4ppp/q3p3/8/P7/2Q2P2/1P3P1P/R1B1K2R w KQ -,c3b3
8/4bk2/1p2N3/p3R1pp/P1P2p2/2B2Pr1/2K5/8 w - -,e6d4
8/8/8/p2kb1R1/P6p/2K4P/8/8 w - -,c3d3
1b6/1p6/4p3/2k2p2/8/5KPp/7P/5N2 w - -,g3g4
6rk/5p2/p7/2R4P/1p6/5K2/8/8 w - -,f3e2
6k1/pp1nb1p1/4p2p/3p1p1b/3P4/PP2P1PP/r2B1PB1/1N2R1K1 b - -,e7a3
8/8/1p3k2/p1b2p2/2P1p2r/1P2P1R1/P3B1K1/8 b - -,h4h8
8/6Q1/p6p/5p1k/Pp2q3/4n1P1/2r2P2/3R1RK1 w - -,g7f7
8/1pp1rpkp/p5p1/8/8/5N2/1PP3PP/2K1R3 b - -,e7d7
r2q1rk1/pp3pp1/5n1p/3Pp3/8/4Q1PP/PP3PB1/R4RK1 b - -,d8d6
r3kb1r/2q2pp1/p1b1p2p/4P3/1p1p2P1/4B3/PPPQN2P/1K1R1BR1 b kq -,d4e3
r2q1rk1/1p2bppp/p1npbn2/4p3/2P5/1PN3P1/PB2PPBP/RN1Q1RK1 b - -,d8d7
r5k1/1p1rqpp1/1p6/4Rb2/4p3/1Q2P1P1/PB3P2/2R3K1 b - -,f5e6
r1bqk2r/pp1n1ppp/5b2/2p5/Q1B5/2p2N2/PP3PPP/R1B1R1K1 b kq -,e8f8
8/5pk1/4pb2/3p2p1/3P1P2/2P2QPq/r2RK3/5N2 b - -,a2a3
7R/2p4p/p1p1k3/4r3/P7/2K3N1/2P3nP/8 b - -,g2e3
r3kb1r/p1qn1pp1/2p1pn1p/8/Np1P4/4P3/PP2BPPP/R1BQ1RK1 w kq -,d1c2
r1b2k2/8/3pr1pp/2p2p2/2P2nP1/1P3N1P/3R1K2/1B3R2 b - g3,f5g4
5r1k/1p4pp/p2pr2q/3Np3/2Pn2Q1/P4P2/1P3RPP/3R2K1 b - -,e6g6
8/1BpR1pk1/P6p/r1bP4/2K2P2/6P1/8/8 b - -,c5b6
8/1pk3pp/5p2/1rP1p3/1p2P2P/5PP1/1R2K3/8 w - -,e2d3
r1b4r/pp3p2/1b2pk2/4Np1p/1P1n1P2/4P1P1/6BP/2RR2K1 w - -,e3d4
5k2/1p3pp1/p1b1n3/6pP/3r4/1P2NPP1/P7/2R1NK2 b - -,d4d2
1n3rk1/3rbq1p/Np2b3/1PppP1p1/5p2/4P1PP/1BQ2PB1/2RR2K1 w - -,e3f4
r2qk2r/4bpp1/bn2p2p/3pP2P/p1pP1B2/PnP2NP1/R1Q2PBN/4R1K1 b kq -,b6c8
1rr5/p2bk1bp/Bp2n1p1/P3pp2/8/1NP1BP1P/1P4P1/3RR1K1 b - -,c8c7
r3k2r/p1p3pp/5p2/3np3/1bN5/8/PP2RPPP/R1B3K1 b kq -,e8f7
r2q1r1k/pb3pp1/1p1b1n1p/3pN3/3n1P2/2NB2RQ/PP4PP/R1B3K1 w - -,f4f5
