8/8/6Bp/p5p1/P3n3/4k2P/6K1/8 w - -,g6f7
rnbqk2r/ppp1ppbp/6p1/8/Q1pP3B/2P2N2/P3PPPP/R3KB1R b KQkq -,c7c6:d8d7:b8d7
r2q1rk1/pb3pb1/1p4p1/3P4/3p1B1p/1Q3B2/PP3PPP/2RR2K1 b - -,g6g5
8/8/1kb5/p5p1/2K3B1/P7/8/8 b - -,c6e8
r2n1rk1/pb3pp1/1p1b1q1p/3p4/2B5/P1N2N2/1P2QPPP/R3R1K1 w - -,c4d5
r3kb1r/1pqb1ppp/p1n1p3/3pP3/8/P2BBN2/1P3PPP/2RQR1K1 b kq -,f8e7
r3kb1r/pp1n1ppp/1qp1pnb1/3p4/2PP3N/1QN1P3/PP1B1PPP/R3KB1R w KQkq -,c4d5
6k1/6p1/4pp1p/1RP1n3/2r5/3KB1P1/7P/8 w - -,d3d2
3q2k1/p1r2pbp/1p1Np1p1/1B1bN2n/1P1P4/P6P/1B1Q1PP1/4R1K1 b - -,d8d6
8/1ppb2k1/p1n1p1p1/3p4/3P1bP1/P1P2P2/1P6/4R1RK b - -,e6e5
1r1rb1k1/2q1bppp/pN1pp3/P7/1Bn1PP2/2Q3P1/6BP/1R1R2K1 b - -,e8b5
6k1/pp4p1/4p1p1/3pP3/3P1p2/Pnr2P2/5RPP/3R2K1 b - -,b7b6
2rr2k1/pbq2pbp/1pn1p1p1/4P3/6QP/P1B2N2/1P3PP1/1BR2RK1 w - -,h4h5
6R1/8/5pn1/6k1/4P1pp/8/6K1/8 b - -,g5h5
rnb4r/1pk1n2p/p5p1/2p2p2/2P1p3/2N3P1/PPN1PP1P/2KR1B1R w - -,f2f3
5r2/8/Q4Bk1/2p2qNp/P5pP/6P1/5P2/5RK1 b - -,f8f6
2r1r1k1/p2n1pbp/4qnp1/2p1p3/1p5Q/1P1PN1P1/PBRNPP1P/5RK1 w - -,f1c1
r4rk1/1p1bP2p/4p3/1p1p4/2pNnP2/P1P1P1P1/1P3p1P/3RRBK1 w - -,g1g2
4r3/p6p/Np1k2p1/1n6/1P4R1/6PK/7P/8 w - -,g4h4
1rbqnrk1/ppn2pbp/3pp1p1/2pP4/P1N1P3/2N1B3/1PP1BPPP/R2Q1RK1 w - -,d1d2
r1bq1rk1/1pp2ppp/p1n1pn2/3p4/QbPP4/2NBPN2/PP3PPP/R1B2RK1 b - -,d8e7
2R2b2/5k2/8/3r4/4p3/2P2nP1/1R1NKP2/8 b - -,f3g5
r4rk1/pp3pb1/1n4pp/2pnp3/Q7/N1PP1N2/1P3PPP/R1B1R1K1 b - -,b6a4
4r1k1/1ppnqrp1/1p1p3p/nP1P4/2P2BP1/3Q2NP/P3R1K1/5R2 b - -,e7f8
r1bq1r1k/ppp1n1bp/6p1/1B2np2/8/1Q3N1P/PP1B1PP1/RN3RK1 w - -,f3e5
2k5/p4p1p/1p1r4/2n5/1B6/P3P2P/5PP1/2R3K1 b - -,d6c6
r1b2qk1/p5p1/4p2p/8/2B5/8/4QPPP/3R2K1 w - -,e2e5
4rrk1/pp1qn1bp/2npb1p1/2pN1p2/2P1P3/P1N1P1PP/1P1B1PB1/1R1QK2R b K -,c6e5
r1q1r1k1/1b1nbppp/1pp1pn2/p1Pp4/1P1P1B2/P1NBPN1P/5PP1/R2Q1RK1 w - -,d1b3
r4rk1/pbqnbppp/1p2p3/2p1P3/1n1p1B1P/3P1NP1/PPP2PBN/R2QR1K1 w - -,d1e2
8/3kbp2/3p1p2/3PpP2/pq2N2r/2R2Q1P/K5P1/8 w - -,g2g4
2r1r1k1/pp1bbppp/2p4n/q7/2P1PN2/2B3PP/P1Q2PB1/R4RK1 b - -,a5c7
2r1k2r/1R2b2p/2pqnpp1/1p2p3/4P3/2QPBN1P/2P2PP1/R5K1 b k -,e8f7
8/1Q6/K7/P1P1q3/1k6/8/8/8 b - -,b4a3
8/p3k1p1/2p5/8/P1r5/4PK2/8/R7 w - -,a4a5
8/1p5p/1r4p1/8/3Ppk2/8/8/R3K3 w - -,d4d5
2k2r1r/pp6/1bpp4/5q2/5R2/1PPP2Pp/1P2Q2B/4R2K b - -,f5d5
5r1k/ppq4p/8/2pR1p2/2Pb1Pn1/1Q4B1/P5PP/4N1K1 w - -,g1h1
r2q1rk1/1pp2ppp/1bnp1n2/p3pb2/2PP4/PPN1P1P1/4NPBP/R1BQ1RK1 b - -,d8d7
8/8/pB2k3/1p6/1P2K3/8/8/8 b - -,e6d6
r3kbnr/pp1qpppp/2np4/2p5/4PP2/2N5/PPPP2PP/R1BQK1NR w KQkq -,g1f3
r1r3k1/1p2ppbp/p2pbnp1/6B1/N1P1P3/1P3P2/P2KB1PP/2R4R b - -,f6d7
r3r1k1/1p3ppp/5n2/1P1p4/N2q4/1Q1B1b2/P4RPP/4R1K1 w - -,e1e8
8/6k1/8/6pp/2QPqp2/2P4P/5PP1/5K2 w - -,c4c7
8/2B5/8/1p1k1p1p/2pp3P/3P4/3K4/5b2 w - -,d3c4
2r5/6k1/7p/1B3Rp1/8/2b3P1/2P3KP/8 w - -,g2f3
1r1q1rk1/2n1ppbp/p2p1np1/PppP4/4PP2/2NBBR1P/1PP3P1/R2Q2K1 w - b6,a5b6
8/3Pk2K/4p3/p3Pp2/6q1/8/6Bp/8 b - -,g4g2
1r1qk2r/ppp1bppp/6b1/3p4/2P3P1/3B1Q1P/P1P2P2/1RB2RK1 w k -,d3g6
5k2/RN3ppp/8/6q1/4P3/Q7/5PP1/6K1 b - -,f8e8
8/p5k1/1pb5/4p1p1/P1pb1p2/2Nr3P/1P4PK/3R1R2 w - -,f1e1
8/2q1b1kp/5pp1/8/2b2P2/P1N2QP1/1PP4P/1KB5 w - -,b2b3
8/5pk1/1b2p1p1/4P2p/5P2/5K1P/2R2P2/8 b - -,b6a7
rnb2r2/pp1pRN1k/2p4p/3P2p1/5p2/6B1/PP3PPP/RN4K1 w - -,f7g5
3rkb1r/pppbnpp1/2p4p/4P3/3N4/2N4P/PPP2PPB/R2R2K1 b - -,e7f5
rn1qkb1r/ppp2ppp/3ppn2/8/3PP1b1/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,f8e7
2k5/6pp/2P5/1K3p2/8/4p1P1/R4P1b/8 w - -,b5b6
r2qkbnr/pp2ppp1/2n5/2ppP3/5Pb1/6p1/PPPPN1BP/RNBQ1RK1 w kq -,h2g3
6k1/B2n1p1p/3q2p1/3P4/2b2P2/6PP/PQ4BK/8 b - -,c4d5
2r2rk1/4bpp1/3p3p/q2bB2P/1p2P3/6Q1/1PP1B1P1/3R1R1K b - -,d6e5
8/R3nk2/2p2b2/P1B5/5p1p/8/1P4rP/2K5 b - -,f4f3
r1b2rk1/1pq2ppp/p2bpn2/8/2BN4/2P4P/PP2QPP1/R1B2RK1 w - -,c4b3
8/8/5Qp1/7p/3K2r1/6k1/8/8 w - -,d4e3
r2qkb1r/1Q1npppp/p4n2/3p4/3P4/2N1PP2/PP3P1P/R1B1KB1R b KQkq -,e7e6
r3k2r/3npp1p/b1p2bp1/q2p4/p2P4/2PBPNB1/3Q1PPP/RR4K1 w kq -,b1b4
r2r2k1/pppqbpp1/1nn1p1p1/4P3/3P4/P1N1BP2/1PQ1N1PP/3R1RK1 b - -,d7e8
r3kbnr/ppp2ppp/8/8/2BPq3/1Q2BN2/PPn1KPPP/R6R b kq -,e8c8
r1b4R/1p5R/2p1pkp1/1p6/2B5/P7/1PP3r1/2K5 w - -,c4f1
7R/r4p2/1p2p3/3pP2P/3P4/3kP1K1/8/8 b - -,a7a1
5rk1/pq4pp/1p3p2/2p2b2/2Pp1P2/Q2P2B1/P4KPP/4R3 b - -,g8f7
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4P1P1/2N4P/PPPPNP2/R1BQKB1R w KQkq -,f1g2
r3r1k1/ppq2ppp/2pn4/3p1n2/8/1PPN1P2/P1PQ1BPP/R3R1K1 b - -,e8e1
2r2rk1/1b2qppp/p1pbp3/1pN1N3/3PPn2/8/PP3PBP/2QR1RK1 w - -,c1f4
r1bqkb1r/1p3ppp/pn2pn2/8/P1BP4/5N2/1P2QPPP/RNB2RK1 w kq -,c4d3
7r/1p6/1P6/2k2K2/p7/8/7P/1R6 w - -,b1a1
8/8/3kbRK1/r7/6P1/8/8/8 w - -,g4g5
r1b1k2r/pp2ppbp/1qn2np1/2pp2B1/3P4/1QP1PN2/PP1N1PPP/R3KB1R w KQkq -,f1e2
8/pr4k1/4q3/2pN2p1/2PnP1P1/P2B1pQ1/7K/3R4 w - -,d1h1
5r1k/3R2p1/p4rnp/1pq1p3/4Qp2/2P2P1P/PPB3PK/3R4 w - -,d7d8
8/4kp2/4p3/2r1P1p1/4R1Pp/5P1P/5K2/8 b - -,c5c2
8/3b4/1k5p/5p2/pPB1pP1P/2K1P3/8/8 b - -,b6c6
2r1r1k1/2q2pb1/pp1p2p1/4n1B1/1PP1b2Q/2N5/P5PP/2R2R1K w - -,c3e4
3r3k/2Q2p1n/b3p3/2p4P/4P1R1/2N5/P3B3/4q1K1 w - -,g1g2
4rbk1/3b1p1p/p2p1Bp1/q1pP4/PpP2Q2/1P5P/2B2PP1/4R1K1 w - -,e1e8
r2qr1k1/p4ppp/b2p1b2/P1pPn3/1p4n1/1P4P1/1BQNPPBP/R2NK2R w KQ -,d2e4
2r3k1/pprb1p1p/4pnp1/2P5/8/1N2PB1P/PR3PP1/2R3K1 b - -,d7a4
r1b2rk1/ppp1nppp/6q1/3P4/1nBP1B2/8/PP1N1PPP/R2Q1RK1 b - -,b4d5
r1b1kb1r/pp4pp/1qn1p3/3p4/2p5/PPP2n1P/3NBPP1/R1BQ1RK1 w kq -,e2f3
1rb4r/2n1k3/4nppp/2p1p3/BPN1P3/2K2P1P/3RN1P1/3R4 w - -,d1b1
2k5/ppp4p/4Rp2/5n2/3P3r/2P3rP/PP4P1/R4KN1 w - -,g1f3
8/1R6/k1P1p1p1/3r4/2K5/8/8/8 w - -,b7b8
r2r2k1/1pq1bppp/5n2/1Pp1pNB1/n3P3/5BP1/2P2P1P/R3QRK1 b - -,h7h6
r1bq1rk1/bp3ppp/p1pp1nn1/4p3/PPB1P3/2PP1N2/5PPP/R1BQRNK1 w - -,c4b3
3q2r1/4Rp2/2pr1pkp/1pQ5/p2P4/2P3P1/P1P3KP/4R3 w - -,e1e4
2b5/4bpr1/kpp4r/p2p1p1p/3P1P2/1P2PNP1/1P3K1P/1N1R2R1 w - -,b1d2
2r5/5pbk/4b1pp/4pn2/P2pN3/3P2P1/1RP1NPBP/6K1 b - -,g7f8
r2qk2r/1p1nbppp/p1p1p3/Pn2P3/3P4/1N1b1N2/1P3PPP/R1BQ1RK1 w kq -,d1d3
8/5pk1/1R4p1/8/1p3KP1/8/Pr6/8 b - -,b2a2
r3r1k1/5ppp/p1p3q1/3p1b2/8/1NQ5/PPP1RPPP/4R1K1 b - -,e8e2
r1b2rk1/1pq2ppp/p1n1pn2/2b5/P1B5/1PN1PN2/1B3PPP/R2Q1RK1 w - -,d1e2
8/8/5k2/R7/8/p5KP/r5P1/8 w - -,h3h4
r2r2k1/1b3pp1/5b1p/p2np3/PpB3P1/4B1NP/1PP2P2/3R1RK1 b - -,a8c8
r2q1rk1/pp3ppp/2n2n2/2bp4/6b1/P1NBPN2/1P3PPP/R1BQ1RK1 w - -,h2h3
8/5k2/p5p1/1pp3P1/2Pb1BKP/1P6/P3R3/3r4 b - -,b5c4
2r1k2r/1pp1nppp/p1n1bq2/b2p4/3P1B2/N1PB4/PP1QNPPP/R4RK1 b k -,e6f5
r4rk1/pn2qppp/5n2/bNp3B1/1P1pb3/P4NP1/1Q2PPBP/R2R2K1 b - -,c5b4
rnr3k1/4bppp/pp1ppn2/8/2PN4/1PN1PP2/PB3P1P/R2R2K1 b - -,a8a7
4r3/8/3R4/4p1KP/8/5k2/8/8 w - -,d6f6
8/1pq2ppk/5n1p/p1p2P2/P1Prp3/1P2Q2P/2B2P2/2Rr2K1 w - -,c1d1
r1br4/pp3p2/2ppnkpp/4P3/1PP5/5NQ1/P5PP/1B4K1 b - -,d6e5
8/8/pp2kb2/2p3p1/P2nK3/1PR4P/8/8 w - -,c3g3
3rr1k1/1bp1qpbp/pp4p1/4n3/P1N1pN2/2P1P2P/1PQ2PP1/R2R1BK1 w - -,d1d8
4r3/p1bbrpkp/1qp2p2/3p4/1P6/PN2P1P1/3Q1PBP/2R1R1K1 w - -,e3e4
2R5/1p1rkpp1/5n2/1r4pP/6P1/p3NP2/PP6/1KR5 w - -,e3f5
3r1qk1/p3rp1p/2Bb2p1/1P6/2QP4/7P/1P3PP1/R2R2K1 w - -,d1e1
8/5pp1/4pn1p/3p3P/1kr5/4PN1K/R4P2/8 b - -,c4c7
r1b1k2r/p2pppbp/1p2n1p1/q7/2P1P3/1PN1B3/P2Q1PPP/2R1KB1R b Kkq -,c8b7
r1b1k2r/1p2nppp/p7/3pn1P1/3N4/2P1BP2/P1P4P/2K1RB1R w kq -,e3f4
5r2/8/8/4kBK1/7p/7P/8/8 w - -,f5g4
3k4/pb5p/1p1q1pp1/1B1Pp3/4P3/P1Q1KPP1/7P/8 b - -,d8e7
7k/1q4p1/2bp3p/2b1pPP1/1pP1P3/1P1Q1BNK/r7/3R4 b - -,b7e7
rn1qk2r/pbp1bppp/4pn2/8/2pP4/N4NP1/P3PPBP/R1BQ1RK1 b kq -,e8g8
r3k2r/1p1nbppp/p2p1n2/4pP2/2q1P3/1NN1B3/PPP3PP/R2Q1RK1 w kq -,d1d3
8/7p/p1kbpBp1/8/p1K5/7P/P5P1/8 b - -,e6e5:d6c5
rn2k2r/pp3ppp/2pbbq2/3p4/3P4/2P1N3/P1P1BPPP/R1BQ1RK1 b kq -,e8g8
r2qk2r/1b3p2/p2bpnp1/3nN3/Pp1P3p/1P1B1Q2/1B3PPP/RN1R2K1 b kq -,d8e7
r4rk1/pRQ3pp/7q/3p4/3P1RP1/3BPn1P/P7/6K1 w - -,g1f2
4r3/5r1k/7p/p4N2/2P5/bP2Pb2/P3K1RP/6R1 w - -,e2f3
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - c3,c7c6:c7c5:d7d6
r1b2rk1/ppp3b1/4p2p/n5p1/2NP2n1/2P3P1/PPQ1N2P/R3BBK1 w - -,c4a5
5bk1/q6p/3pQ3/3P1N2/3pPp2/5PpP/1P4P1/r4BK1 b - -,a7f7
r3k2r/pppqbppp/4P1b1/n3P3/n1PQ2P1/2N1BN1P/PP6/2KR1B1R b kq -,d7d4
r1r1b3/5p1k/1Q1pp1p1/1P5p/2P1P3/1nq2P2/3RB1PP/1R3N1K w - -,d2d6
8/3B4/8/p7/2k1pK2/2N1P3/2bn4/8 w - -,c3b5
r1b2rk1/p3qnbp/1pp3p1/2p1p1P1/4P2P/2NPB3/PPP1Q3/2KR2NR b - -,h7h5
6q1/5r2/1pk1N3/p2pQPP1/2p5/2P1P3/PP6/2K4R b - -,f7h7
r1bq1rk1/np2bppp/3p1n2/p3p3/4P3/1NNBBP2/PPPQ2PP/R3K2R b KQ -,c8e6:a7c6
rnbqkb1r/4pp1p/3p1np1/2pP4/1p6/6P1/PP2PPBP/RNBQK1NR w KQkq -,b2b3
r1bqk2r/ppp1bppp/2n5/3np3/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq d3,e5e4:e5d4
r1bqkb1r/ppnppp1p/2B3p1/2p1P3/8/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,d7c6
2rr4/1p1bnkpp/p2b1p2/3p4/2nN4/2P2N1P/PPB2PP1/2BRRK2 b - -,g7g6
2r1r1k1/1b4pp/pp2pp2/1N6/Pbn5/4B1N1/1P2QPPP/R5K1 w - -,b5d4
2r5/1R4p1/1p3pk1/1Pb1p2p/7P/4BKP1/4PP2/8 b - h3,g6f5
r1b2rk1/ppp1q1bp/2np1np1/4Pp2/2P5/PP3NP1/1B1NPPBP/R2Q1RK1 b - -,d6e5
r3kb1r/3b1p1p/p2ppp2/8/1p1RPP2/6N1/PPP3PP/1K3B1R b kq -,h7h5
r6k/1p2q1p1/1p1p3p/4p3/1Pn1PB2/2Q5/5PPP/5RK1 b - -,b6b5
7B/8/4n3/2kp4/8/4K3/8/8 w - -,e3d3
r2q1rk1/pb2bppp/1p2pn2/2ppn3/3P3B/2PBP3/PP1NQPPP/R3K2R w KQ -,d4e5
rnbqkbnr/ppp2ppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,c8g4:c8f5:c8e6:g8f6:c7c6:b8c6:f8d6
3k4/5K2/2B4p/p1b2P1P/P7/8/8/8 w - -,f7g7
8/8/r7/8/1P5R/PK2rk1P/8/8 w - -,b3c4
3R1b2/1q2k1p1/4ppp1/3p4/3P3P/5PP1/4NK2/4B3 w - -,e1a5
r2q1rk1/1pp2ppp/2np1nb1/p1b5/2Pp2P1/P1N1P2P/1P2NPB1/R1BQK2R w KQ -,e3d4
2rqk2r/4bppp/pn1pbn2/1p2p1P1/4P3/1NN1B2P/PPPQ1P2/1K1R1B1R b k -,f6d7
2rqkb1r/1p3ppp/p1n1bn2/2pp4/P2P4/1PN1PN2/4BPPP/R1BQ1RK1 w k -,c1a3
r6k/1p3p2/8/P2p1q2/3PpPpP/P1R1P2r/5Q1P/2R2bK1 w - -,g1f1
r3r1k1/p4pp1/2p2q2/2P4p/8/P4QP1/5PKP/3RR3 w - -,f3h5
r2q1rk1/p1p1bppp/2p2n2/2Pp4/3P4/2N2Q1P/PP3PP1/R1B2RK1 b - -,f8e8
6qk/4Q1p1/6P1/3pB2P/p2P4/5p1K/8/8 w - -,h5h6
8/3bk3/R3p2p/7r/3KB1p1/8/8/8 b - -,d7e8
1kr5/1q1r1p2/p1p1p1p1/1pR1Pn1p/1PRP1P1P/PQ2B1P1/4NK2/8 b - -,b5c4
8/2k2p2/2bp1p2/p3pP2/2P3P1/P2RK3/r7/3B4 b - -,c6b7
3q4/b4rk1/p3R3/P2P1nP1/1P2B3/6P1/7Q/5K2 b - -,f5d4
8/1p1rk3/8/1pbRpppp/8/P1P2NPP/1PB2PK1/8 b - -,d7d5
4r3/pppk4/2p5/8/3n1Pp1/1P6/P1P2K2/4B2R w - -,h1h7
1rb2rk1/p3Bpbp/2N1p1p1/8/3P4/1P2Q3/q4PPP/1RR3K1 b - -,c8b7
r1b1k2r/pp1q4/2nb1n2/5ppp/3Pp3/1QN1P1PN/PP1B2BP/R4RK1 b kq -,h5h4
rnbqkb1r/pp2p1pp/2p5/3p4/3PpBP1/3Q4/PPP1PP1P/R3KBNR w KQkq -,d3g3
2nk2nr/2qb1p1p/3p2p1/2pP4/1pP1NB2/rP1B1PN1/2Q3PP/4R2K w - -,e4g5
5rk1/1q2pr1p/2pp2p1/p1n2b2/2P5/1PN1QN1P/P4PP1/2RR2K1 b - -,f7f6
3r1rk1/ppq2pbp/2n3p1/2P1p3/3P4/P3QP2/1P2NP1P/3RKB1R w K e6,d4e5
8/1pp1bk2/2p3p1/p6p/4PP2/1P1r2P1/P1R3K1/2B5 w - -,g2f2
8/1b2Q3/1k1pp3/p3p3/1q2P3/8/1PP5/1K1R4 b - -,b4e4
r2qr1k1/pb3ppp/1p2nb2/2p1p3/2PpP3/PP1P1NP1/4QPBP/B1RR2K1 w - -,c1b1
r1b2rk1/4qpbp/p1pp1np1/2p1p3/4P3/2PP1N1P/PP2QPP1/R1BR1NK1 b - -,h7h6
r1b1k2r/p1q1npbp/1pp3p1/2p1p3/4P3/3PBN1P/PPP2PP1/RN1QR1K1 w kq -,b1d2
6k1/3Q2p1/6qp/1p6/PPb2r2/8/5PBP/4R1K1 w - -,a4b5
8/5k2/4pq1p/1p1pR1p1/2p5/2Pp1N1P/rP3PP1/1Q4K1 b - -,a2a7
5rk1/2p3b1/6p1/p3pq1p/1pPr4/PPn1QNBP/3R1PP1/4R1K1 b - -,d4e4
6rk/p6p/3bpp2/3p3Q/2pPbPr1/4PN2/P2R4/4R2K b - -,e4f3
3rr3/p4pk1/b1p4p/6p1/3PP3/1B3K2/P7/3R3R w - -,h1h2
r7/8/7p/5pk1/PR5P/1p1K4/1P6/8 b - h3,g5f6
4r2k/7p/p3pn1r/P7/8/2P1R3/1P3pB1/5K1R b - -,f6g4
1r1q1r1k/5p1p/2npb1pb/p2Np3/R1B1P3/1PPQN3/5PPP/R5K1 b - -,f7f5
1r4k1/p2n1pp1/3Qp3/3pP1NP/5PN1/6P1/7K/5q2 b - -,b8b1
r1bqkb1r/pppn1ppp/4pn2/3p2B1/3P4/3BP3/PPP2PPP/RN1QK1NR w KQkq -,f2f4
bq1r2k1/p4pbp/1p2p1p1/2n5/1BB3Q1/1PN1P2P/P2r1PP1/2R2RK1 b - -,h7h5
6k1/7p/b2r1p2/6p1/1R1N4/6P1/rP2PPKP/3R4 b - -,a6e2
6R1/8/5k2/5pp1/8/5K1p/8/8 w - -,f3g3
3rr1k1/3b1ppp/p2q1n2/1p1n4/8/1N1Q1P2/PP3BPP/R3RBK1 b - -,d7c6
8/8/7p/8/8/4kp2/8/5K2 w - -,f1e1
rn1q1rk1/1b2bppp/pp1ppn2/8/2PNP3/2N1BP2/PP2B1PP/2RQK2R w K -,e1g1
8/5p2/1p2p1k1/pP4p1/2r5/P2RP1P1/7P/6K1 w - -,d3d6
r5k1/1p3pp1/3p3p/1P1Pp3/q7/5P2/n2Q2PP/R4BK1 b - -,a4b3
8/p4pk1/1p1np3/3P4/5N2/3K4/P4P1P/8 b - -,e6e5
r3k2r/1ppq1ppp/p1npbb2/8/8/2P1BN1P/PPPQ1PP1/1K1R1B1R w kq -,f3d4
r1b2rk1/pp2p1bp/6p1/2pP4/2P3n1/q3B3/P2QNPPP/1BR2RK1 b - -,c8f5
3r2k1/pp2ppbp/4n1p1/8/3rN3/1P2R2P/P2B1PP1/3R1K2 b - -,f7f5
6k1/6pp/1pp5/p2p1n2/Nq1Pp3/1P2P2P/P3R1P1/1R4K1 b - -,b6b5
2Q1b1k1/4q1p1/7p/7P/3p2P1/8/P5KB/8 w - -,c8c4
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/P1N3P1/1P1PPP1P/R1BQKBNR w KQkq -,f1g2
