8/3k1p2/3P1rp1/3P4/6N1/6KP/8/8 b - -,f6d6
rnb1k2r/pp2ppbp/2p3pn/q7/3PNB2/5N1P/PPP2PP1/R2QKB1R w KQkq -,f3d2
r4rk1/pb2qpp1/1p1ppn1p/2n5/2P4B/P1N1PP2/1PQ3PP/R3KB1R b KQ -,f8d8
2r2k1r/6p1/2bqp3/Bp5p/4BPn1/8/1PP1Q1PP/3R1R1K b - -,d6c5
1n1R4/1nk5/2p1Bp2/4p1p1/4P2p/KP3P1P/4N1P1/8 b - -,b7d8
2r4r/pp4pp/2n1kp2/4p3/8/2P1P3/PP4PP/2KR1B1R w - -,f1b5
2r1n3/6bk/pp4pp/1qpPBp2/4N3/1P5P/P4QP1/2RR2K1 b - -,g7e5
1r6/5Bp1/3k3p/8/3n2P1/7P/1RK5/8 w - -,c2c3
8/5kp1/p3n3/3r2p1/1P2N3/2B3PP/2K2P2/8 b - -,f7g6
3r2k1/1p2qppp/5n2/1P6/3P1Pb1/3B4/4N1PP/Q4RK1 w - -,f1f2
r3k2r/pp1nqp2/2p2n1p/3p2p1/3P4/2NBP1P1/PP2QPP1/R3K2R w KQkq -,d3f5
8/6p1/8/5p1p/5Pk1/6P1/5K2/8 b - -,h5h4
r4rk1/1p1qn1b1/p1n1p1p1/2pP2Bp/7Q/P1N2R2/BPP3PP/1R4K1 b - -,e6d5
1r5k/R1pr2qp/3n1b2/3Pp2Q/1B2Pp2/P7/3N1PPR/5K2 b - -,c7c5
r3kb1r/1p2ppp1/p3bn2/2p1p2p/3qP3/1PN4P/P1PPBPP1/R1BQR1K1 w kq -,c1b2
r3k2r/pbq1bppp/2nppn2/2p5/2N1P3/2PB1N2/PP2QPPP/R1B2RK1 b kq -,e8g8
8/5p2/2r3p1/P3pk1p/7P/4PPP1/2p5/2R3K1 b - -,e5e4
6k1/3b2p1/pp2p2p/4P3/P1pP2PP/2r1B3/4KP2/R7 b - -,c3b3
r2q1rk1/3nBpb1/2p3pp/3Pp3/Qp2P3/3B1N2/1P3PPP/R3R1K1 b - -,d8e7
r1b2rk1/pp3ppp/2p2n2/4q3/4P3/1BN5/PP3PPP/R2QR1K1 w - -,d1d3
2r1r1k1/1q2bpp1/3p1n1p/4p3/4P3/p1NN1P2/1PPRQ1PP/5RK1 w - -,g1h1
2b1r1k1/Bp3ppp/5n2/q1Qp4/4P3/1P3P2/4BKPP/3R4 b - -,a5c5
2r2rk1/pbqnbppp/1p1pp3/4P3/3P1B2/2PBRN2/P4PPP/R2Q2K1 w - -,d1e2
r2qk2r/1pp1nppp/1b1pbn2/pP2p3/2P5/P1NPP1P1/5PBP/R1BQK1NR w KQkq -,g2b7
5rk1/1pn3pp/2bN4/8/8/7P/5PP1/R5K1 w - -,a1c1
r1bqk2r/1ppn1pp1/3p1n1p/p5B1/1bPN4/6P1/PP2PPBP/RN1Q1RK1 w kq -,g5f4
8/7k/6pp/8/P3R3/7P/6PK/2r5 b - -,h7g7
2r3k1/ppr2pbp/4p1p1/3qP2P/1QnP1B2/5N2/P3RPP1/3R2K1 b - -,a7a5
8/5kp1/7p/7P/5KP1/r7/5B2/8 w - -,f2d4
rnb1k2r/ppp2ppp/3qpn2/3p4/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq -,e2e3:c2c4
6k1/5p2/5qp1/7p/Pr6/1P3PQ1/5RKP/8 b - -,h5h4
r1bqr1k1/ppp2pb1/1n4pp/4p3/3nN3/P2PBNP1/1P2PPBP/2RQ1RK1 w - -,e4c5
rnbqk2r/ppp2ppp/5n2/8/2pNP3/8/PP1Q1PPP/RN2KB1R w KQkq -,b1c3
8/8/5P1p/p1N4b/4K2P/kP6/8/8 w - -,e4e5
4b3/p1pn2pp/1p1k2p1/1B1p2P1/3P4/2P1KN1P/PP4P1/8 w - -,b5d7
1r2rnk1/1pb3p1/p1q1p2p/2P1p3/1P1pP2P/1Q1P2P1/2RB1PB1/4R1K1 b - -,e8e7
8/2R4p/6b1/p7/rB1k2PP/P5K1/8/8 w - a6,b4f8
4rr1k/pbqp2pB/2n1P3/6N1/5Pn1/1N2B3/PPP1Q1P1/R4RbK b - f3,g1e3
1r6/p1nkpp2/3p3b/2pP3p/N4P1P/P1P3N1/1P2R3/2KR4 b - -,h6f4
1r6/bP1kpp2/3p2pp/3P4/4N3/3K1PP1/7P/1R6 w - -,e4c3
r1bq1rk1/1p3pbn/p2p2p1/2pPn3/P3P2p/2N1BPNP/1P2B1P1/R2Q1RK1 w - -,g3h1
r1b3k1/p2nqpbp/2p1n1p1/8/4P3/2N1QP2/PP2B1PP/2RR2K1 w - -,f3f4
r1b2rk1/5p1p/p3p1p1/3n4/2NP4/2P2q2/P1B3RQ/R1B4K w - -,c1h6
8/2B4p/4k1p1/8/1P6/4bP2/6KP/8 w - -,g2g3
R7/4k1p1/5p1p/3B4/1r2PPKP/8/3n4/8 b - -,d2e4
rn1qkb1r/pp3ppp/2p1pnN1/3p4/2PP4/4PP2/PP1N2PP/R1BQKB1R b KQkq -,h7g6
8/8/6p1/4kp1p/3P3P/5BP1/1r6/6K1 b - -,e5d4
r1bq1r1k/p1p1b2p/1nPp4/4p3/PP3n2/2N1BN2/4BP1P/2RQ2RK b - -,c8e6
r1b1nrk1/1p1q1pbp/p1p3p1/2Ppp3/N2P1B2/4P3/PP2BPPP/R2QK2R w KQ e6,a4b6
1r5k/3R2r1/1b2p2p/p3NQ2/1p3P2/1P4P1/1P1R3P/5K2 b - -,e6f5
r3rnk1/pbq2ppp/1p2p3/4P3/2P5/3B3Q/PB3PPP/R3R1K1 w - -,b2a3
2rb1rk1/1b2qpp1/ppp1pn1p/4N3/P1PP1B2/1Q4P1/1P3PBP/R2R2K1 w - -,c4c5
8/4kp1p/B3b1p1/p1R1P3/8/6PP/5PK1/r7 w - -,a6b7
1r1q1rk1/4npbp/2npb1p1/2p1p3/2P5/2NP2P1/2NBPPBP/1R1Q1RK1 b - -,b8a8
5rk1/5ppp/P6r/8/1PN1nP2/4P2q/3BQ3/R2R2K1 w - -,e2g2
r1br2k1/pp2bppp/2nqpn2/1N6/3P4/3B1N2/PP2QPPP/R1BR2K1 b - -,d6b8
rq2r1k1/5ppp/5n2/p2bNP2/1pN4Q/P2P4/1P4PP/4RR1K w - -,e5g4
8/5kp1/p1b4p/P3p3/2PB1r2/7P/3R2P1/6K1 w - -,d4e5
8/K1p4p/2k5/P3p1p1/1p2PpP1/1P3P2/5b1P/2B5 w - -,a7b8
2r2rk1/pb1q1ppp/1p1p1b2/2nBp3/P3P3/BP3N2/2P1RPPP/R2Q2K1 b - -,b7d5
3r2k1/3n1ppp/1p4q1/2pP4/8/P1N4P/1P2QPP1/3R2K1 b - -,h7h6
r2qk2r/1p1b4/p3pbp1/3pBp2/3p4/3B4/PPP1QPPP/R4RK1 w kq -,a2a4
r6k/1p4bp/6p1/qN4P1/p7/4rP1Q/PP1p3P/1R1RnBK1 w - -,b5c3
8/8/4rP2/1P1k2P1/3p3p/pR5P/P2K4/8 b - -,e6e5
2rrb1k1/2q1bppp/p1npp3/1p4PP/1P2PP2/P1NBB3/1P1Q4/1K1R2R1 w - -,d2g2
2r2k2/5p1p/2bR2p1/4p3/1pP1P2P/1n2N1P1/5PB1/6K1 b - -,b3d4
6k1/4ppb1/p2p2bp/2r5/2p3Q1/1PNqP1R1/P6P/2R3K1 w - -,c3a4
r2qr1k1/pp3ppp/1n6/3PR2b/2p2P2/2N4Q/PP4PP/R1B3K1 b - -,h5g6
r1b2rk1/2q1bpp1/pp1p1n1p/2nNp3/P1B1P3/4B3/1PPNQPPP/R2R2K1 b - -,f6d5
2r5/4k1pp/3pp3/1B3p2/Pn2b3/1P4P1/1K5P/2R1R3 b - -,c8b8
3n4/2rR1ppk/p3r2p/1p2pN1P/1P2P3/2P3P1/1P4P1/6K1 w - -,d7c7
r1b1qrk1/1p1n2bp/p2p1n2/2pP1p2/P1P1pP2/2N1B1PP/1P1QN1B1/R4RK1 w - -,a4a5
8/8/3k4/p7/P2K1P1p/7P/8/8 b - f3,d6e6
8/5p2/4p3/4P1kp/p3q3/P1Q3P1/1P6/6K1 w - -,g1f2
8/5p1p/6p1/8/5k2/7P/5KP1/8 b - -,h7h5
8/6k1/3q2P1/p2pn2Q/8/1B4P1/PP3P1K/8 b - -,e5g6
r3kn1r/1q1bbp2/p2p2p1/1p1Pp3/1P2P2p/3BBP2/P2Q2PP/2NR1RK1 b kq -,f8h7
3r1nk1/3q1pp1/1bp1b2p/1p2pN1P/1P2P3/R1P2NP1/P3QPB1/6K1 w - -,f3e5
2r1q2k/3n1pp1/2Npb2p/1Pb1pN2/2P1P3/3R2P1/5PBP/3Q2K1 b - -,e6c4
3r4/1q2kppp/p2bpn2/P1r5/1p6/1P2P2P/1B1NQPP1/R1R3K1 w - -,c1c5
r1q2rk1/2p2pb1/pp2b1n1/8/4P1Pp/N1P4B/PP2Q2B/1K1R3R w - -,a3c2
4r1k1/p1rb1pbn/n1Np2pp/1q1P4/1ppBP3/5QNP/PP3PP1/1BRR2K1 w - -,d4g7
8/8/1pk5/p2R2P1/P1P1p1KP/5r2/8/8 b - -,f3c3
3Q1q2/6k1/2p5/4p1p1/2r1N1K1/3r3p/5P2/8 w - -,d8g5
1r4k1/5p2/Rn1pp1p1/2p4p/5P2/1qPP2PP/R3Q3/6K1 b - -,b6d5
r4rk1/p2nppbp/2p3p1/q2pPn2/2PP1Pb1/5N1P/PN2B1P1/R1BQ1RK1 b - -,g4f3
8/8/5k2/7p/r7/5PP1/1R4K1/8 b - -,a4a3
r4rk1/ppp2ppp/2n3q1/8/2BPNn2/5N1b/PP1Q1PP1/R4RK1 w - -,e4g3
4r1k1/4rpp1/p6p/6q1/P1p1P3/1bN1R3/4QPPP/2R3K1 b - -,f7f5
r1q1k2r/1p1bppb1/2p2np1/p3p2p/Pn1P1N2/1PN1B1PP/2PQ1PB1/3RK2R w Kkq -,d4e5
3r1r1k/pbqN1pp1/1p1bp2p/8/8/P2B2B1/1PPRQPPP/4R1K1 b - -,d8d7
3qr2k/1r4bp/Rp1p2p1/1PpPpp2/2Pn4/3P2P1/3B1PBP/3Q1RK1 w - -,f2f3
1k6/4r1p1/p2Np1Qp/2n1P3/q1P5/1P4B1/3b1PPP/5RK1 b - -,c5b3
8/4k3/pp1p1n1p/2pPrP2/P1P1BK2/1P4NP/8/8 w - -,h3h4
r5k1/5p2/3p2p1/1NpP4/3bPB2/5PPp/qn5P/1R3Q1K w - -,g3g4
2r1qr1k/pb5p/3p2p1/2nPppPn/1pB4P/1Q2P3/PP1N1P2/R3KNR1 w Q -,b3d1
8/1kb5/2p2p2/2Pp1Q2/1pqP4/4PK2/5N2/8 b - -,b4b3
r1b2r2/pp1n2k1/2p1B1q1/4Rpp1/3P4/P1N1Q3/1PP3P1/2K4R w - -,e6d7
r1br2k1/p1q2ppp/1pN1pn2/8/2BP4/BQP5/P4PPP/R4RK1 b - -,c7c6
r4rk1/2qn4/1p4bb/2pp1p2/3Pp2P/1PB1P1pR/P1Q3P1/2KBRN2 b - -,f5f4
rn1r2k1/ppp2ppp/5n2/6B1/1bP3b1/5N2/PP1NBPPP/R2K3R b - -,g4f3
r2qk2r/pp1bn2p/2n1pbp1/2pp4/8/2PP1NP1/PP2QPBP/RNB1R1K1 b kq -,e8g8
8/4Q3/5pk1/6r1/5KP1/8/8/8 w - -,e7f8
3R4/2r5/p3k3/1p2pp1p/1p2n3/1N1r3P/P7/4B2K w - -,d8d3
2k4r/1b1r2p1/p3pp1p/q1np4/5Q2/P1N5/1PP1BPPP/2KR3R w - -,e2f3
r3r1k1/p2b1pbp/q2p2p1/1ppP3n/8/2N2BP1/PPQBPP1P/R4RK1 w - b6,f3h5
3r2k1/4bp2/4p1p1/1pp1P3/3r2Q1/1P1P4/1N2K2P/R2R4 b - -,d4g4
2rr2k1/pq1nppbp/1p1n2p1/2pp4/3P1PP1/BPPQPN2/P1RN3P/2R3K1 w - -,d3e2
6k1/R6p/6p1/P7/2n5/4p1KP/5rP1/8 b - -,f2f5
rn3rk1/pb3pp1/1pp2q1p/3pb3/Q2PP3/2N3P1/PP3PBP/R4RK1 w - -,d4e5
5rk1/1pq2pp1/r1ppbb1p/4p3/1pP1P3/P1NP2P1/5PBP/1R1Q1RK1 w - -,a3b4
r5k1/8/1R1p3p/3P2p1/2P5/3b3P/6P1/6K1 w - -,b6d6
8/1R1b1rk1/2p2b1p/2Pp1p2/5P2/3B4/6PP/2N1K3 b - -,f6d4
r1bq1rk1/5pbp/p2pp1p1/npnP4/1Q2P3/2N1B2P/PP1NBPP1/R4RK1 w - -,a2a4
2qr2k1/1b2bppp/p3pn2/1p6/1P1NPn2/P3Q1N1/B4PPP/B4RK1 b - -,c8b8
4b3/4k3/4P3/R4Pp1/6P1/P5K1/8/6r1 w - -,g3h3
rnb1k2r/pp3ppp/2p1pn2/q2p4/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,b8d7
r1br1q2/1p5Q/p1p1p3/2k5/5P2/1P4R1/P5PP/R6K w - -,h7c7
r4k2/2R3pp/p4p2/1p2p3/1n2N3/4P1P1/1P3PKP/8 w - -,g3g4
r2q1rk1/pp3ppp/4bb2/4p3/3pPP2/3N2P1/PPPQ2BP/R4RK1 b - f3,a8c8
r1b1k2r/1pq1bppp/p2ppn2/4n3/4PB2/1BNQ1N2/PPP2PPP/3RK2R w Kkq -,f3e5
6k1/p3bp1p/1r2p1p1/n1p1P1P1/2P2P2/2P4P/P3BK2/R1B5 b - -,g8f8
r2r1k2/p1n1p1bp/2p2pp1/1p1n4/PPN3q1/1Q1P1NPb/1B2PP1P/3RR1KB w - b6,a4b5
8/p7/1p5B/2p4p/P3k3/1PP5/5K2/6n1 b - -,g1f3
2q1rnk1/1R3ppp/2r2n2/1Q2p2b/4P3/4BPP1/4N1BP/1R4K1 w - -,b5a4
8/4k1pp/6P1/5K1P/8/8/8/1n6 b - -,h7h6
rn1qk1nr/ppp1ppbp/3p2p1/3P4/6b1/5NPP/PPP1PPB1/RNBQ1RK1 b kq -,g4d7
r3r1k1/6bp/4bpp1/4p3/1B1pP3/PPp3P1/5PBP/1R3RK1 w - -,f2f4
rn2r1k1/pp3p1p/2pbbqpQ/5p1P/3P4/2PB4/PP2NPP1/R1B1K2R b KQ -,d6f8
8/1p5p/p2p1kp1/3Pp3/5b2/2PB3P/PP4K1/8 b - -,h7h5
r3r1k1/pp1n1pbp/2pBb1p1/4p3/2P1P2q/1PN5/P1Q1BPPP/3R1RK1 b - -,g7f8
r1q3k1/pp2rppp/2p2b2/2p5/2B3PP/2P2Q2/PPP2P2/1K2R2R b - -,f6e5
r2qrbk1/p1pn1pp1/2p4p/2PpPb2/N7/1P4P1/PB2PPBP/R2Q1RK1 w - -,f2f4
r1b2k2/1ppp4/p6p/5p2/3P2pq/P3R3/2P2PP1/2K1R3 b - -,h4f2
r1bq1r2/pp2ppkp/n4np1/2pp4/3P4/2N2P2/PPPQP1PP/2KR1BNR w - c6,h2h4
1r2n1k1/1q4bp/r2pp1P1/1Np1n3/P3P3/R5P1/1P1NQPK1/2B4R b - -,h7g6
8/5pk1/R2p2pp/n2P4/r7/4P1P1/5P1P/5BK1 b - -,a4a1
r2qk2r/pp1bppbp/2np1np1/2P5/3N4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,d6c5
3r2k1/pB2b1pp/1p2qp2/8/Pnrn1B2/2N3Pb/1P2PQNP/4RRK1 w - -,e2e3
r1r3k1/1b1nqpp1/1p5p/pPpp4/P2Pn3/2NBPN2/1Q3PPP/2RR2K1 w - -,b2a3
1r3rk1/Rnpnqpp1/3p3p/4p3/1p2P3/3PBN1P/1PP1QPP1/5RK1 b - -,c7c5
r1b2rk1/1p1nqpbp/p2p2p1/2pP3n/P3P3/2NB1N1P/1P3PPB/R2Q1RK1 b - -,d7e5
8/1r1nk3/2r1p1p1/4p1Pp/R1p1P2P/1pP2P2/1P2K3/3R2B1 b - -,b7c7
8/1p6/8/1N1nk2p/PP3ppP/2P5/6P1/6K1 b - a3,g4g3
8/8/3N2k1/5pp1/3R4/5PK1/r7/8 b - -,f5f4
2kr3r/pbp1bp2/1pn1pn2/3q3p/2NP2p1/2PB2B1/PP1NQPPP/R3K2R w KQ -,c4e3
rnbqk2r/pp2ppbp/2pp1np1/6B1/2BPP3/2N5/PPPQ1PPP/R3K1NR b KQkq -,e8g8
5k2/1p5p/r2pBP1P/pNpP3r/P1P1PB2/8/1P6/6K1 b - -,h5h4
5rk1/2r2pp1/6np/p2p4/q2N4/4R1P1/5P1P/3QR1K1 b - -,a4d1
7r/2p1kp1p/4b2R/1p2r1p1/4P3/1P1B3P/P1P3P1/5RK1 w - b6,c2c3
1rb1q1r1/p2kpQ2/1p3n1B/2pp1P2/4P1P1/1P1P3P/2R5/5RK1 w - -,f7e6
2r2rk1/1b2bp1p/pn1pp3/8/4PP2/1NN2B2/1PP3PP/4RR1K w - -,e4e5
r1bk3r/1p3ppp/p1nbpn2/8/2B5/4PN2/PP1B1PPP/RNR3K1 w - -,c4e2
4r1k1/2p4p/3p2p1/3P1P2/1P6/1rp1bRP1/2R3BP/5K2 b - -,e3d4:b3b2
r1bq1rk1/pp2npbp/6p1/2p5/3NPB2/2N3P1/PP3PBP/R2Q1RK1 b - -,c5d4
2kr4/p7/2p2p2/3p2bp/3Pr3/P3PR2/1P4PP/3N1R1K w - h6,h1g1
1b6/1r3p1p/4pkp1/pp1r4/2pPRP2/P1P2KPP/NP6/2R5 w - -,e4e2
5b2/7p/5pp1/P2kp3/1p1r4/1P1N3P/4KPP1/3R4 b - -,f6f5
2kq2rr/1p2bp2/p1p1p1b1/P2pP3/1P1P1Pn1/2P1N2P/4Q2B/3RK1R1 w - -,h3g4
2q3k1/3n1p2/1pr3pp/p7/P5QP/4PP2/3N1BP1/R1n4K b - -,c6d6
8/1p1r2k1/p1pR4/2P1P2p/1P3Kp1/3B1nP1/P7/8 b - -,d7f7
r3k3/1b1q1p1r/pb1p1Qpn/1p2p3/2P1R2N/1BP4P/PP3PP1/R1B3K1 w q -,e4e5
r3nnk1/1b2qp1p/2p2bp1/p1P1p3/PpB1P3/1Q1rBNNP/1P3PP1/3R2K1 w - -,d1d3
8/5p1p/4p3/P2k1PPP/1p4K1/r7/2P1R3/8 b - -,e6f5
2r1r1k1/p1qn1pbp/1P2p1p1/2p4n/2PP4/1QB2NP1/1P3PBP/R2R2K1 b - -,a7b6
r1bbqrk1/ppp3pp/2np4/3p1p2/6n1/1P2PNP1/PBPNQPBP/R4RK1 w - -,f3d4
rq3rk1/4bppp/p1Pp4/1p2p3/8/1P6/1P1BQPPP/2RR2K1 b - -,a8a7
8/2Q2pk1/1p2q2p/p5pP/P7/4n3/6PK/5R2 w - -,c7c3
3rrb2/3R1p1p/1n1p1pk1/1p1Bp3/4P3/2P1N1NP/1P3PP1/1R4K1 b - -,d8d7
1r4k1/1q2ppbp/n2p2p1/2pP4/1B2NN1P/PQ2P3/1P3PP1/2R3K1 w - -,h4h5
r1b1qnk1/p3r1bp/2p2p2/2pppP2/7N/1PNP2Q1/P1PB2PP/3R1RK1 w - -,c3a4
r1bqr1k1/2p2ppp/3p4/1p1Pn3/5Q2/2P1B2P/P3BPP1/R4RK1 w - -,e2b5
1Q6/3p1kpp/p4n2/4p3/1p2r3/2P1R3/PP2KPqn/4R3 b - -,e4e3
rnbqkb1r/pp2pppp/5n2/3p2B1/3Q4/4PN2/PPP2PPP/RN2KB1R b KQkq -,b8c6
2r1k2r/1q1nbppp/p3pn2/1pPb4/3P4/4BNP1/1QN1PPBP/R1R3K1 b k -,d5e4
r4k2/p1q1pr1p/2p1R1p1/1pPp4/6n1/3B2Q1/PPP3PP/4R1K1 b - -,c7g3
r5k1/1Q3p1p/3p1Pp1/3Pp1P1/4Pb1P/5B1K/8/r7 w - -,b7c6
r3r3/1p2kpp1/p3p3/P1b5/5q2/2P4P/1PB1QPP1/R3R1K1 w - -,a1a4
1rbq1rk1/1pn1p1bp/p2p1pp1/2pPn3/P1P1PB2/2N2NP1/1P2QPBP/R3R1K1 w - -,f3e5
6k1/pp3p1p/3p4/PPpP4/2R5/5PpP/1q4r1/4QK2 b - -,g2g1
r5k1/1pp1qpbp/1r4p1/2p5/p3P3/2PQ3P/PPB2PP1/3RR1K1 w - -,b2b3
r3k3/3nbp2/p6p/3pp1p1/N2P2P1/4PP2/PP1KB2P/7R b q -,e5d4
6k1/pp3qpp/3p3r/2pP2RP/5P2/2P5/3BQ2K/8 b - -,b7b5
7r/1p6/pnpkb3/4p1pp/P3R3/NP3P1P/2P1BKP1/8 w - -,a3c4
1rb2r2/p4pk1/2p2p1p/2N1b3/2B5/1P2R3/P4PPP/4R1K1 b - -,e5f4
r5k1/pp3p1p/n3p3/1b4B1/8/P7/2P2PPP/2KR3R w - -,d1d8
1r3rk1/1b1nq1p1/pP1bp2p/5p1n/4P3/3BBN2/1N3PPP/1QR2RK1 b - -,d7b6
r1bq2k1/pp2nr1p/2n1p1p1/3p2B1/2pP3Q/P1P2N2/2P1BPPP/R3K2R b KQ -,d8a5
8/pb2kp2/1npn2p1/1p2p3/1P2P1P1/P3NP2/2P2K2/2N2B2 w - -,c1b3
2b5/3k1pp1/1B5p/P7/2p1P3/2P1KP2/6PP/8 b - -,d7c6
7r/5k2/2p1p1p1/3qPr2/6P1/BP1p2Q1/P6P/3R1R1K w - -,g3g2
r1b2rk1/pppqn1b1/8/3Pp1p1/2P2pP1/2N5/PP1B1PB1/R2Q1RK1 w - -,f2f3
r3r1k1/pb1pqppp/1pp2n2/3P1P2/1bP1Pp2/2NB1Q1N/PP4PP/R4RK1 w - -,a1e1
2b1r3/1p1npkbp/1ppn1pp1/8/r3PP2/PNP3PP/1PN2KB1/R1B1R3 b - -,e7e5
2q2bk1/1r3r2/3p2p1/1NpPpbP1/P6R/4B3/5P2/2RQ1K2 w - -,c1c4
r1bq1rk1/ppb2ppp/2n1pn2/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQR1K1 b - -,f6d7
r3r1k1/pb1q2pp/1pp1p3/3p1p2/2PPn3/NP2P1P1/PQ3PBP/2RR2K1 b - -,e8c8
4rrk1/nbpp2pp/p6q/2PPp3/P4P2/4P1P1/1BQ3B1/4RRK1 b - -,e5f4
4r1kr/pp1n1pp1/2p3b1/q1b4p/2B1N1nP/3P1QN1/PPPB2P1/4RR1K b - -,a5d8
1rr2b1k/6pp/p1Rp4/4pp2/1P6/PB2R3/5PPP/6K1 w - -,e3c3
5bk1/3n1p1p/p3p3/1P1p1p2/P1rP1B2/2rQPN1P/5PPK/8 w - -,d3d1
8/1b1R4/7p/8/Q3q1k1/PP6/K6P/8 b - -,e4a4
3k4/1R6/4p3/3pPp2/1p6/3N4/4P1KP/1r6 b - -,b4b3
4Q1r1/1p4PR/5k2/2r2p2/4p3/1P6/1K4R1/8 b - -,g8e8
3r2k1/5pp1/pq6/1p2PPQp/n7/P2p1N1P/1P4P1/R6K b - -,f7f6
2q5/2p2pk1/1p1p2p1/p2P3p/P2P3P/1P4P1/2Q2PK1/8 w - -,g2g1
r2q1rk1/1bpn1ppp/1p1ppn2/p7/2PP4/PPb2NP1/2QBPPBP/R4RK1 w - -,d2c3
6R1/8/5p2/5k2/P7/5pPP/6r1/5K2 b - -,f5e4
8/7k/2p1p1pB/4P3/6P1/7P/2r1BK2/8 w - -,h6e3
8/4R3/2p3R1/1b1p4/p4rk1/8/8/6K1 b - -,g4f5
r4rk1/1p3ppp/1Q3n2/7q/PP6/6P1/1B2bPBP/R3R1K1 b - -,a8a6
1r3rk1/1p1q2b1/p2p2p1/3Pp3/1Q2P1b1/1P1BB1Pp/P1R4P/5RK1 w - -,f1c1
5b2/5p1k/4PP2/3K4/3B2R1/8/3r4/8 b - -,f7e6
r1bqk2r/1pp2ppp/2n2n2/p7/2Pp4/P2P1NP1/P4PBP/R1BQ1RK1 b kq -,e8g8
3q1rk1/4bppp/1pb1p3/1P1p4/r3nB2/1Q1BPN2/5PPP/1R2K2R b K -,a4a3
8/k4p2/4n2p/P2K2p1/1P1p2P1/2pB4/5P1P/8 b - -,a7b7
r1bq1rk1/pp1n1pb1/2p2npp/4p3/4P3/2N1BN1P/PPP1BPP1/R2Q1RK1 w - -,f3d2
5k2/4p2p/4Ppp1/1P6/4bB2/1p6/q5PP/6RK w - -,f4h6
5rk1/p2b2pp/1bpp2r1/8/2PP4/1P2N3/PB3PPP/R4RK1 w - -,a1d1
