8/4n1k1/4R3/6pB/Pp3p2/8/3r4/6K1 w - -,e6e7
6k1/r4p1p/1pQprqp1/p1n5/2P5/PP2bPB1/6PP/1R1R1B1K b - -,h7h5
2rq2k1/p4rpp/5n2/PppB4/3P1B2/2P3P1/3Q3P/R3R1K1 b - -,f6d5
6r1/1rp2pqk/2Np3b/1P1Pp2p/1P2Pn1n/2N1B1Pb/2BQ1R1P/R6K w - -,c6e7
4rr1k/pB1b1nbp/3pp1p1/q1P2p2/3N4/1P2P1P1/PB2QP1P/2RR2K1 b - -,e6e5
r2q1rk1/ppp1p2p/2n2bp1/7n/3P4/2NBBb2/PPPQ2PP/2KR3R w - -,g2f3
r1r3k1/pp2ppbp/2nq2p1/1Q3b2/3P3B/4PN2/P3BPPP/2R2RK1 b - -,b7b6
r2q1r1k/p2n2pp/Q2bp2n/3p1p2/3P4/2N1PN2/P4PPP/1RB2RK1 b - -,d7b6
r3r1k1/p1p2p1p/2pp4/3nbP1q/6b1/N1PB3P/PP3QP1/R1B2RK1 b - -,g8h8
5k2/1p3pp1/2p2n1p/p3p3/P2rP3/1P3PP1/1qP2QK1/2NR4 w - -,c1d3
8/5pp1/1p2p1k1/2bnP2p/7P/r1PN2P1/3B1P2/2R2K2 b - -,g6f5
r2q1rk1/1b1n1ppp/4pn2/p3N3/1pPP1P2/4P3/2BN2PP/R2Q1RK1 b - -,h7h6
5k2/1p3pp1/p1b1pn1p/3q4/P7/2PQPP1P/5BP1/1B4K1 w - -,d3c2
r1b1kbnr/pp1ppppp/2n5/q2N4/1p2P3/P4N2/1BPP1PPP/R2QKB1R b KQkq e3,e7e6
r1bqk2r/p3npbp/3p2p1/2p1p3/1PPnP3/P1N1BP2/4N1PP/R2QKB1R b KQkq -,e8g8
r4rk1/pp2pp1p/2p2npQ/6N1/2R3bP/3P2P1/Pq2PPB1/4K2R w K -,f2f3
2Q1b3/pp2q1pk/4p2p/3pN3/3P4/P4P1P/1P4P1/7K w - -,f3f4
3r4/p1q2p1k/2bppb1p/2p2p1Q/2N2Pr1/2P1PN2/PP1R2PP/3R2K1 w - -,f3e1
8/8/4k2P/1R1p2p1/1P5r/2PK4/6P1/8 w - -,b5b7
r4r2/pp4pk/1q5p/3pPp2/2pQ1P1P/2P3n1/PP6/R3RBK1 b - -,b6d4
8/1P5k/6p1/8/2N1PbPp/1KPQ4/P4q2/8 w - -,g4g5
8/2R1b3/1r3kp1/1P3p1p/2B4P/4P1P1/4KP2/8 b - -,b6d6
1nrqk1nr/p2b1ppp/1p1bp3/1B2P3/5N2/1Q6/PB1P1PPP/2R2RK1 w k -,e5d6
1nq2rk1/2r1bppp/pp1pp3/8/2PNQ3/1P4P1/P3PPBP/R2R2K1 w - -,a2a4
3k4/pR6/2p5/6p1/1P1pN1qp/P7/4R3/5K2 b - -,h4h3
3rr3/6kp/1p1q1pp1/p1p1pP2/PnP1B3/R2PP1P1/4QK1P/3R4 b - -,g6f5
3q1rk1/R4ppp/8/2bp4/2rB4/6P1/4PP1P/Q4RK1 w - -,d4c5
2rqr1k1/p4ppp/Q1p2b2/2Pp4/1P1P4/P1R1B3/5PPP/5RK1 b - -,d8c7
8/3kB1Qp/2n1p3/3pP1P1/2qP2PP/5rNK/2P5/R7 b - -,c6e7
q2r4/4k2p/1Rp2pp1/1nP1p3/1P2P3/4B1PP/4QPK1/8 w - -,h3h4
r2q1rk1/p3bpp1/4p1p1/1pnpP3/8/2P1B2P/PP1N1PP1/2RQ1RK1 w - b6,d2f3
6k1/6pp/1p3p2/1PR1p3/r3P3/1R2P3/4r1PP/4B1K1 b - -,b6c5
4rrk1/pb1qnpbp/1pnp2p1/2p1p3/2N1PP2/P1PP1NP1/1P3BBP/R2QR1K1 b - -,e5f4
r1bqkb1r/pp1n1ppp/2pp1n2/8/2BQPP2/2N2N2/PPP3PP/R1B1K2R b KQkq -,d6d5
8/4R3/3kp3/8/6K1/1r6/8/8 w - -,e7e8
1r4k1/2R2pq1/2pr2p1/7p/3P1R1P/2Q3P1/5P2/6K1 w - -,c7c6
r4rk1/1p1b2pp/p3p1q1/2bp4/2P1P3/1P1QnPB1/P2N2PP/2R1KB1R b K c3,a8d8
8/kp2R3/1b1B4/8/p3nP1P/5B2/6PK/4r3 b - -,b6g1
3rrb2/1k3p2/1np1p1bp/3pP1p1/1P1P4/1QP5/5PPP/R1B1R1K1 w - -,b4b5
r1b2r2/2q2ppk/2p4p/p3p3/1bB1P3/4RN2/QPP2PPP/R5K1 b - -,b4c5
5rk1/1p3r2/4p2p/1B1pP3/Pp1P2p1/R4P2/1PbK2P1/5R2 w - -,a3a1
r4rk1/pp1qppbp/5np1/3p4/3P4/1PBQPB2/P4PPP/2R2RK1 w - -,c1c2
1r1qk2r/3bb1pp/p1np1n2/1pp1p3/2P1N1P1/1PNP3P/P2BBP2/R2QK2R b KQk -,e8g8
2r1kb1r/p2q1ppp/bpn1p3/2ppP3/2nP4/P1P1B1PB/1P1NNP1P/R2QR1K1 w k -,d2c4
4r1k1/2Q4p/2p2p2/3bP3/8/5PqP/6P1/R5K1 w - -,a1a7
2r2rk1/2qn1p1p/4p1p1/p1p5/2Pp1P2/1P1Q2P1/P3RPBP/4R1K1 b - -,c8b8
4r3/pp1q1k2/4r1p1/2p2p1p/3b1B1P/1P1P1QP1/P1P4K/4RR2 w - -,f4d2
r2r1k2/p7/1p1P1Np1/n4q1p/3Q4/6P1/P4P1P/1R1R2K1 b - -,a5c6
r2qnr2/1p1n1pkp/2p1p1p1/p2p4/2P5/PP1PPN1P/2Q1BPP1/R4RK1 b - -,d8f6
r4r2/1pQb2k1/p2p1nqb/3P1p1n/PP2pP1R/6P1/4NBK1/1B1N3R b - -,a8c8
2rq1r2/4p1kp/2pp1pp1/p7/2PQ1P2/1P2P1P1/P5KP/R4R2 b - f3,c6c5
r5k1/3b1pbp/2p3p1/2B1p3/4P3/6P1/PP2RP1P/4N1K1 b - -,a8a2
r3nrk1/pp1b2bp/1q1p4/2pPp1B1/1nP1N3/2N4P/PP2BP2/1R1QK2R b K -,d7f5
1r1r2k1/5ppp/4p3/4P3/ppP1pP2/4Q3/PP2BKPP/8 b - -,d8d7
4B3/K4R1P/5k2/5p2/7r/5b2/8/8 b - -,f6e5
r1r3k1/1p4bp/1p1p2p1/3PpnB1/4R3/2N3P1/PP3P1P/R5K1 w - -,g5e3
8/1n6/1P3p2/3k1N1p/1K3p2/6P1/7P/8 w - -,g3f4
2r3k1/1p1b4/pP2p1pp/N2pR3/P7/5P2/2r3PP/1R4K1 b - -,d5d4
1kbr3r/ppb1qp1p/4p3/3p3Q/6P1/2N1P3/PPP2PB1/2KR3R b - -,e7f6
3rr1k1/1pp2pp1/1pn4p/3qp3/8/P2P1N1P/1PPQRPP1/R5K1 b - -,c6d4
1r3rk1/p3nppp/B7/q3P3/8/4P3/3N1PPP/1N1QK2R w K -,a6e2
1k6/1p5R/p5p1/8/3n1P2/rB4P1/P3K2P/8 w - -,e2d3
r1bq1rk1/ppp3bp/3p1nn1/2PPp1p1/1P2Pp2/2N2P2/P3BBPP/2RQNRK1 b - -,f8f7
r4r2/p3p1k1/2p1bpP1/2p1q3/1p2P3/1P1PNR2/P1P2Q2/1K3R2 w - -,f3f5
2rr2k1/1bq1bppp/pp1ppnn1/6P1/2PN4/1PN1PP2/PB3Q1P/2RR1BK1 b - -,f6e8
r3b3/ppr2p2/2pkp1p1/6Pp/1P1P1P2/2R1PB2/P2K3P/2R5 b - -,a8c8
8/2k5/5p2/2R1p2p/1Kp1P2P/1b3P2/p7/8 b - -,c7d6
2b4r/4kp1p/2q2p2/1pn1p3/r7/1N2B3/PP3PPP/3QK2R w K -,e3c5
r4rk1/2qbbPpp/p2p1n2/1p4B1/3NP3/1BN2Q2/P1P3PP/3nR2K b - -,g8h8
rn2k2r/1q2bp2/pp1pp2p/6p1/2PN1P2/2N1Q1P1/PP2P2P/3R1RK1 b kq -,g5f4
8/8/4b3/5kpp/3R4/1p3PKP/1P6/3Br3 w - -,d4d3
r5k1/3q1p2/6p1/3pPn1p/pr1P1Q2/R7/3N1PPP/2R3K1 w - -,d2f3
3r1r1k/1bqn1ppp/p1p1p3/1p5Q/PbpPP3/2N1B1P1/1P3PBP/R2R2K1 w - -,e3f4
1rr3k1/pn2B2p/q3p1p1/3B4/3Q4/8/5PPP/5RK1 w - -,d4f6
1k1rq2r/pp1b4/2pb1p2/5P2/3P2pp/1B1QB3/P1P3PP/4RRK1 b - -,e8h5
4r3/8/k7/2PpB1R1/8/6P1/3r3P/6K1 w - -,h2h4
r1b1r1k1/3n1ppp/3b2q1/pB1pp3/P2N4/1P5P/1B2QPP1/R3R1K1 w - -,a1c1
3Q2k1/5p1p/2N2bp1/8/8/7P/5PP1/1b4K1 b - -,f6d8
6k1/1pB2p2/2bp2p1/7p/p7/Rr4PP/8/6K1 w - -,c7d6
8/6pp/2p2p2/B1k1p3/p1P1PnPP/1b3P2/1P1K4/5B2 b - -,b3c4
r2qr1k1/1p4pp/2p5/p1Pp1p1R/R7/PPQ1P3/5PPP/6K1 b - -,g7g6
2r2rk1/1p3q2/p3b2p/P2p4/1b2pp2/1B1n3P/3R1PPB/Q2N1RK1 w - -,d2c2
8/8/5Qp1/7p/6r1/7k/8/5K2 b - -,h3h2
5rk1/2qrbppp/1p1pp3/p1n5/2P1P3/4B1P1/PPQ2PNP/2RR2K1 w - -,f2f3
rnb2rk1/pp3ppp/2pq4/8/2PQ4/P3B3/1P3PPP/R3KB1R b KQ -,d6d4
2r5/1p1n1q1k/p1p1p2p/P3PpPb/1b1P4/1N4RQ/1P2B2P/R6K b - -,h5e2
6k1/1p3p1p/p4p2/3R4/8/1P2P2P/P4PP1/2r3K1 w - -,g1h2
r3rk2/pb2bB1Q/np2P3/1Npp2q1/8/PP3P2/1B4PP/2R1R1K1 b - -,e7f6
r1bq1rk1/ppp1b1pp/2np1n2/1B2pP2/3P4/2N2N2/PPP2PPP/R1BQ1RK1 b - -,e5d4
8/1p3pnk/r4Rp1/2p2P1p/2P2Q1P/1Pq2NPB/5PK1/8 b - -,a6f6
8/p1p2kp1/2r5/3RPb2/8/2B5/PP3P2/2K5 b - -,f5e6
2k1rb1r/pppb1qpp/2n1pp2/1B1pPn2/3P4/P1N1BN2/1PP1QPPP/1K1RR3 b - -,f5e3
rn1q1rk1/p4pbp/1pp1pnp1/8/2BP1B2/P1N2PP1/1P3P1P/2RQ1RK1 w - -,f1e1
r4r2/p1p2pkp/1b2b3/2ppP3/3B4/4R3/PPP1NKPP/3R4 w - -,e3g3
1kbn4/1p2r1p1/p4n1p/2N1pp2/2B4P/P7/1PP2PP1/1KBR4 b - -,d8c6
r1bq1rk1/1pp1npbp/p2p1np1/3Pp3/2P1P1P1/2N1BPN1/PP5P/R2QKB1R b KQ -,f6e8
rnbq1rk1/pp3ppp/4p3/3n4/1P6/2pBP3/1P2NPPP/R1BQK2R w KQ -,b2c3
3r1nk1/p2r2pp/1pq1pp2/8/2P1N3/1P2R1P1/P1Q2P1P/4R1K1 b - -,h7h6
4rr2/1p2q1bk/3p3p/1PpB1b2/2P2NpP/3P2P1/1B1Q1P2/R5K1 b - -,g7b2
3rr1k1/2p2pp1/p2b1n1p/1p6/3Q4/1PPqBN2/1P3PPP/R4RK1 b - -,d6h2
3r4/1p6/2bp4/p3kpp1/P1P1p3/1PN3P1/3R1P1r/3KR3 b - -,d8h8
3r2k1/5pp1/4p2n/np5Q/4NPP1/q7/6BP/6RK w - -,g4g5
1r2rbk1/1pqb1p1p/p2p1np1/P1p5/1nP1PB2/1PN3PP/3QNPB1/R3R1K1 w - -,g3g4
8/p3qrk1/1p3pp1/2pPn2p/5Q1P/8/P4RP1/5RK1 w - -,f1d1
1r1r3k/1bn1q1bp/pN1p2p1/P1pPp2n/2B1N3/7P/1PQ2PPB/3RR1K1 w - -,c2d2
2r2rk1/p1qn1pb1/2p2np1/1p2p1Np/3PP1PP/4BP2/PP2N3/1KQR2R1 b - g3,e5d4
3r4/6k1/1p1p1p2/p3pP2/2P1BnPp/1P6/P2R3P/6K1 w - -,g1f2
2rqr1k1/3n1ppp/5n2/p2Pp3/2bp1P2/3N2P1/PB1Q2BP/R3R1K1 w - -,d3e5
6k1/pR5p/6p1/4rp2/1K5P/P4PP1/8/8 w - -,b7a7
r1bq1rk1/pp2nppp/2n1p3/1N1pP3/3p4/3B1N2/PPPQ1PPP/R3K2R w KQ -,e1g1
6k1/p5p1/2p1b3/n1P1p2P/5r2/B1N3P1/P1PP4/3B2K1 b - -,f4d4
r4rk1/2p3p1/pn1pb1q1/1p2p2p/1PP1Pp2/1P1P1P1P/5BPN/R2QR2K b - -,b6c8
1r6/R1nk2p1/2p2p1p/2Bp4/1PP5/1P1KP3/6PP/8 w - -,c4d5
8/6pp/2p2k2/p1r5/P3R3/6K1/5P1P/8 b - -,c5e5
1r5k/pppb2pp/3p1r2/4pp2/2P5/2PP2P1/P2NPP1P/RR4K1 b - -,b7b6
3rr1k1/pp3ppp/8/3pnq2/8/1PQ1P1P1/P2R1PKP/5RN1 b - -,h7h5
rnbq1rk1/pp1p1ppp/4pn2/2p3B1/1bPP4/2N1P3/PPQ2PPP/R3KBNR b KQ -,c5d4
5rk1/2R3p1/p4p2/1p6/2nPp1p1/1P2B3/P4KPP/8 b - -,c4b2
r4rk1/2q2pp1/1nb2b1p/p2p4/2pN4/4P3/PPQ1NPPP/1BR2RK1 b - -,g7g6
r1b2r1k/pp4p1/5p1p/q3p3/2Q4B/b1PNP3/P4PPP/1R3RK1 w - -,f2f4
r1bq1rk1/p5np/3p2n1/2pP4/2P2p2/P1NB4/2QN1RPP/1R4K1 b - -,g7f5
r2qr1k1/ppp1ppb1/2np1npp/3P1b2/2P2B2/2N1PN1P/PP2BPP1/R2Q1RK1 b - -,c6b8
4r1q1/pbk5/1ppp4/4p3/4QB2/3P1P2/PP4PP/nN1KR3 w - -,b1c3
8/5k2/8/1R4K1/1P3P2/8/8/7r w - -,b5b7
1r1r2k1/3qbppp/R2p4/1p1Qp3/2P1P3/1P2B3/5PPP/3R2K1 w - -,a6a7
r2qr1k1/pp3pbp/2n2np1/2Bp1P2/8/2N5/PPPNQ1PP/3R1RK1 w - -,e2b5
rnb1kb1r/p2p1ppp/1q6/2pn4/2p2B2/5N2/PP1QPPPP/R3KB1R w KQkq -,d2d5
r1q2rk1/1p2bppp/5n2/p4P2/P4Q2/1N2BP2/1P5P/3R1R1K b - -,c8b8
3rr1k1/2pn3p/p2pnppN/1p2q3/4P1PP/1P3P2/P1P5/2BRQR1K b - -,g8g7
8/8/p1N5/p2p4/P3kb1P/1P6/3pK3/8 w - -,b3b4
3r2k1/pp3pp1/2p1bn1p/2q1n3/4P3/1PN3PP/PBQ2PB1/5RK1 b - -,d8d7
r7/1q1nppkp/pp1p2p1/2r5/2PQ4/1P3NP1/P3PP1P/2R2RK1 b - -,g7g8
2r2rk1/1p2bpp1/pq1pp2p/8/3NP3/2PQ4/PP3PPP/3R1RK1 w - -,d3d2
6k1/1p1b2b1/p2p4/P2P1p1Q/1P1q4/4pPPP/4N3/1R4K1 b - -,d4d3
8/5R2/3p4/3N4/KPPnk3/5p2/3b4/8 w - -,b4b5
R1b1nk2/2r5/3p3p/2pP1P2/1p2N3/4NK1P/1P6/8 w - -,a8b8
3r4/4r1k1/4P1pp/p2pR1n1/3P2P1/PBp5/6P1/4R1K1 b - -,d8c8
8/b1q2pk1/2p2np1/1p2p2p/1P2P2P/1BP2PP1/R3Q1K1/8 b - -,c7b6
R1b5/5rkp/1p3r2/3pQp2/2q2Pp1/4P1P1/4NKP1/8 b - -,c8d7
8/8/5B2/3p4/3nk2K/8/8/8 b - -,d4f3
8/8/5q1k/1P4p1/3rB2p/2Q1p2P/5b2/5R1K b - -,e3e2
5k2/7R/pn2R3/7P/3P3r/2PK4/P4P2/1r6 b - -,h4h3
r1b1k2r/p2nqpp1/2pp1n1p/1p2p3/2B1P3/2NPQN1P/PPP2PP1/R3K2R w KQkq b6,c4b3
r2q1rk1/p4ppp/1pn1pn2/3p4/3P4/P1PQPP2/4N1PP/R1B2RK1 w - -,e3e4
1r2r2q/p1kb4/1p1p1p2/n1pPpPp1/2P1R1Pp/2PB1P1P/P1Q2B1K/R7 w - -,a1e1
7k/p7/7p/3N4/8/7P/PbP2PP1/7K w - -,g2g4
8/1p3pb1/p3p3/4P1pk/5P2/1P1q2P1/P2BK3/8 w - -,e2d3
2rq2k1/3n1pp1/pb2p2p/1p1n4/3P4/P2BBN2/1P2QPPP/3R2K1 b - -,d8e7
r3r2k/Rb1q3p/2p3pb/1p1pPp2/1B1P4/2Q1PB2/1P4PP/R5K1 b - -,h8g8
6k1/pb3pp1/1p5p/3p4/3PrP2/1P3R2/P4KPP/5N2 b - -,e4d4
1r1b1rk1/3q1p1p/2bp2p1/1p1Np3/1P2P3/2PQ4/4BPPP/R4RK1 b - -,f7f5
3rk2r/p4ppp/q1p1p3/2P1P3/1npN4/PP1b2P1/5PBP/R2QR1K1 b k -,b4d5
8/8/5k2/3Bn3/6pP/3r2P1/P3RK2/8 w - -,d5b3
r4rk1/1q2bp1p/bn2p1p1/n2pP3/p1p2P2/2PP2N1/1P1N1BPP/R2QRBK1 w - -,d3d4
8/1p1k2pp/1b2p3/p7/P1P5/1P5P/5PP1/3N1K2 b - -,d7d6
6rk/pq5p/6r1/2p1Pp2/8/5R2/PP3Q1P/R6K b - -,g6g2
5bk1/5ppp/4p3/1NPp4/3Pn3/2NbP3/1P1K1PPP/r1B4R w - -,c3e4
r2qk2r/1b1nbppp/3p4/p2Pp3/1p2B3/P5P1/1PP1NP1P/R1BQ1RK1 w kq -,f2f4
7k/2p4p/3p1R2/3Pp3/4Pp2/2q5/7P/3KRQ2 b - -,c3b3
3r4/2r1kp2/4p2p/R1n3p1/2P5/2R1KBP1/P4P1P/8 b - -,d8c8
2k1rb2/ppp2ppp/8/3r4/1P1B3n/P3P1N1/5PPP/R4RK1 w - -,f1c1
3r1rk1/4bppp/p3p3/3n4/1p1P4/PB2B3/1P3PPP/3RR1K1 w - -,a3a4
3r1k2/8/R2P2p1/7p/5P2/5K2/8/8 b - -,f8f7
8/8/7p/4k3/Pb3pp1/8/4K1B1/8 b - -,h6h5
8/7p/8/B3bk2/4p3/7P/6K1/8 b - -,e5d4
r3k2r/pp1qbppp/4pn2/2p5/8/1P3Q2/PBPP1PPP/RN2K2R w KQkq -,b1c3
4r3/p2Rbk2/1pp3p1/8/7Q/4P1PB/PP2q2P/6K1 w - -,h4f4
6k1/pp3ppp/2p5/8/1B3P2/1Pn1P3/P1br1PBP/2R3K1 b - -,c3e2
5r2/3kb1pp/p3p3/3pP3/pn1P4/4PNKP/1P2N3/R7 b - -,f8c8
2b2k2/2q3b1/4p2p/3pP3/1P4p1/2P2N1R/5KP1/2RB4 w - -,h3h5
r1b1nrk1/pp2qppp/2p1pn2/8/2PPN3/3B1N2/PP3PPP/R2Q1RK1 w - -,e4g3
6r1/2r1kp1p/p3p3/1p2b3/4P3/2PR1B2/PPK4P/3R4 w - -,c2b3
8/4bpk1/1q2p1pp/pBp1P3/2PnQP2/6PP/P2B3K/8 w - -,a2a4
2rq1r1k/pp2bppp/2b1p3/4P3/2Pp1BQP/2nP2PB/P2N1P2/R3R1K1 w - -,h4h5
r1bq1rk1/1p4p1/p2p3p/2bP1p2/2B1p3/2P3N1/PP3PPP/R2Q1R1K b - -,d8h4
8/2k1p2p/pp4p1/3PP1P1/2K5/8/P6P/8 w - -,c4d4
4r1k1/4qp2/1pp5/p4bpp/PbB5/2R1PPP1/1P2Q2P/2B3K1 w - -,c3b3
r1q2rk1/5pp1/1Bp1p3/P3b2p/2Q3P1/2P4P/2P2P2/1R1R2K1 b - -,h5g4
rn3rk1/pp1qppbp/3p1np1/8/2PNP3/2N4P/PP3PP1/R1BQK2R w KQ -,e1g1
5k2/5ppp/p2N4/5P2/P2n4/1Pr1n2P/6P1/2N1R1K1 w - -,c1e2
8/5p2/4pkpp/p1N5/3n1K2/7P/1P3PP1/8 b - -,f6e7
r1b2rk1/3nqpbp/p1pp1np1/1p2p3/3PP1P1/P1N1BN1P/1PP1QPB1/3R1RK1 b - -,a6a5
1rb1r1k1/2pn1pp1/2pp1q1p/p7/1b2PB2/1P1B2QP/P1P1NPP1/3R1RK1 b - -,d7c5
2k4r/1p1qbp2/4b1r1/pNP1B3/P1P3pp/1N6/1P3PPP/3RR1K1 b - -,h8h5
5rk1/5pp1/p3qn1p/1pr1p3/n2pP2N/P2P3P/1P2QPP1/R1B1R1K1 b - -,f8c8
5k2/p5pp/5q2/3p4/r7/5N2/PP2BQP1/6K1 w - -,f2c5
r1bqk1nr/ppp2ppp/2np4/4p3/2P1P3/2P3P1/PP3P1P/R1BQKBNR w KQkq -,f1g2
3r2k1/pp3pp1/3qp3/3r1bPp/3P3P/4QN2/PP1R1P2/4R1K1 b - -,f5g4
8/5p2/4n1k1/6pp/2R5/2b3PP/5PK1/8 b - -,c3d4
8/2rrkpp1/1R2p2p/2P5/7P/6P1/5P2/2R3K1 w - -,g1g2
1r1qr1k1/1p3pbp/p2p1np1/2pPn1B1/P7/1N4PP/1P2PPB1/R1Q2RK1 b - -,d8b6
3r2k1/1pqrn1bp/p2ppnp1/2p3B1/2P2P2/P1N1PB1P/1PQR2P1/3R2K1 w - -,c3e4
7R/p3kppp/2p1p1b1/3p4/3P2P1/q1n2P1P/2PQ4/4K2R b - -,c3b1
8/8/5k1p/6p1/2p3P1/B1P2PK1/4b3/8 w - -,a3b4
3r1k2/1bq3pp/p3p3/1p6/PPpP4/4B2P/4B1Pb/R2Q3K b - -,c7g3
2rq1rk1/pp2bppp/1nb1p3/3pP3/2Pp1B1P/1P1P2P1/P3QPB1/RN2R1K1 w - -,g2h3
3r3r/ppp1qk2/2n1b1pp/8/3pP3/5N2/PPQ2PPP/R1BR2K1 b - -,f7g7
5r2/8/6pN/6Pp/4k2P/7K/8/8 b - -,e4f3
r3r1k1/1p4pp/p1n2q2/3p3b/3Pp3/PQ3P2/1P2N1PP/1BR1R1K1 w - -,b1e4
4k3/1p2bp2/p1b1p3/2q1p1p1/4P2r/1BNQ3P/PPP3P1/1K1R4 b - -,b7b5
rnbq1rk1/ppp1pBbp/3p2p1/8/3PnP2/2N2N2/PPP3PP/R1BQK2R b KQ -,f8f7
8/8/2k3K1/5P1p/8/2p3P1/7P/8 w - -,f5f6
r2q1rk1/pp1nbppb/2p2N1p/8/3P1P1N/6P1/PP4BP/R1BQR1K1 b - -,d7f6
1rb2r1k/pp5p/3Np2p/8/2PRn3/6PP/5PB1/1R4K1 b - -,e4c5
8/1R3pk1/1P1p1br1/p2Pr2p/q3P3/5Q1P/5B2/5R1K b - -,e5e4
r1r3k1/1p3ppp/3np3/n1Np4/3P4/P2BP2P/5PP1/1RR3K1 w - -,b1b6
r1bq1rk1/pp1n1ppp/4pn2/2b5/8/3B1NN1/PPP2PPP/R1BQ1RK1 w - -,b2b3
r2q1rk1/1p2bpp1/p2p2n1/2pPn1Np/P5bP/2N3P1/1P2PPB1/1RBQ1RK1 w - -,b2b4
rnbqk2r/1p3ppp/2p1pn2/3p4/NbP5/1P3NP1/PB1PPPBP/R2QK2R b KQkq -,d5c4
8/7p/p5p1/2p3B1/3pkP2/2K5/b5P1/8 w - -,c3d2
5r2/N2b1P1p/r4k2/3p2p1/8/4RP2/PP3KPP/3R4 w - -,e3a3
5r1k/6b1/p5p1/2n2r1p/2Q2n2/2P5/PP3PPP/3R1RK1 w - h6,g1h1
r1b1k2r/p2pbpp1/nq5p/2pP4/p1B1P3/2N2N2/1PQ2PPP/R3K2R b KQkq -,a6b4
r1b2rk1/1p1n1pbp/2pp1np1/q2Pp1B1/p1P1P3/2N2PN1/PP1QB1PP/2R1K2R b K -,c6d5
3q3k/2n1rr1p/p3pp1B/1pN5/1n3PQ1/6R1/PP4P1/4R2K w - -,c5b7
r1b2rk1/pp5p/6pQ/q1pPpP1n/8/2P2P2/P3N1P1/R3KB1R b KQ -,f8f5
8/8/2r3p1/4kp1p/7P/4PKP1/5P2/3R4 b - -,c6b6
5Q2/3q1p1k/p4bp1/1pBp4/3P3p/PP4PP/5PK1/8 b - -,h4g3
5r1k/2R4p/3p2p1/3B4/6PP/3n4/5P2/6K1 w - -,f2f3
rnbq1rk1/pp3pp1/3p1n1p/1Np1p3/2P5/P2P1NP1/1P1QPPBP/R4RK1 b - -,a7a6
r1bq1rk1/3nppbp/3p1np1/1ppP4/4P3/N1N2P2/PP2B1PP/R1BQK2R w KQ -,a3b5
8/7R/5k2/5pp1/n2r4/2p1N1P1/5P1P/6K1 w - -,h2h4
r4k2/1r2bppb/2p4p/p6P/1nB1PN2/1PB2PP1/3R1K2/R7 b - -,e7c5
8/p7/Pp4p1/1P4P1/1K2k3/3n2B1/6P1/8 w - -,b4b3
