8/Q2bk2p/1p6/4P3/1q6/8/4BK2/8 b - -,b4d4
r5k1/4bp1p/p3p1p1/2np4/1p1P4/2r1P1BP/5PP1/Q2B1K2 w - -,d4c5
r7/2p3pp/4kp2/1R2b3/p5P1/3K1P2/P1P2BP1/8 w - -,c2c3
r1bqk2r/pppp2pp/2n2n2/4pp2/2P5/2N1P1P1/PP1P1PBP/R1BQK2R b KQkq -,d7d6
r2qrbk1/1b3pp1/p2p3p/1ppPp3/4P1P1/1BP5/PP3PP1/R2QRNK1 w - -,f1e3
r1bq1rk1/p3ppbp/2p2np1/3p4/N2P1B2/8/PPP1BPPP/R2Q1RK1 w - -,a4c5
8/7r/5k2/6RP/4K1P1/8/8/8 w - -,g5g6
8/2b4p/1k2p3/1n1p4/1P1P1p2/1K5P/2NB1P2/8 w - -,f2f3
r1b1k2r/1p2bpp1/p2p3p/2qnp3/4P3/1B1Q1N2/PPP2PPP/R4RK1 w kq -,b3d5
r3nrk1/ppqn1ppp/2p1p3/3pN3/3P1PQ1/NP1PP3/P5PP/R3R1K1 b - -,c7d6
r1bqk1nr/pppn1pbp/3p2p1/4p3/3P1B2/4PN1P/PPP2PP1/RN1QKB1R w KQkq e6,f4h2
2r2rk1/ppq1n3/2p2n1p/3p1pp1/2PP4/1B2P3/PP1Nb1PP/R3QRK1 w - -,e1e2
r2qr1k1/ppp2ppp/2pb2b1/2n1p3/4P1P1/3PNN1P/PPP1QP2/R1B2RK1 w - -,e3f5
5r1k/3nq1pp/pr1pp3/1p2p3/1P2P3/3Q1N2/P1P2PPP/R2R2K1 w - -,a2a4
5r1k/5ppp/1p3n1b/p2r4/3P2q1/P3P1N1/1P1B1PQP/2RR2K1 w - -,h2h3
r5k1/1p1r2bp/1B1pqn2/PPp1p3/2P1P1p1/1QN3PP/R5BK/5R2 w - -,c3d5
3r4/1p2n2p/pb1rkp2/3p1p2/B4BP1/1R6/PP5P/3R1K2 w - -,f4d6
r1b1kb1r/3n1ppp/p1n1p3/2ppP3/1Q1P1P2/4BN2/1PP1N1PP/R3KB1R b KQkq -,c6b4
r1bq1rk1/p2n1ppp/1ppbpn2/8/2PPp3/2NQ1NP1/PP3PBP/R1B2RK1 w - -,c3e4
8/8/3Q4/8/6q1/K3P2k/1P6/8 b - -,g4c4
2rqr1k1/3nnpb1/p1p1b1pp/1p1pp3/2P5/BP1PP1P1/P1QNNPBP/1R1R2K1 b - -,g6g5
3r4/1k3p2/p1p4P/4bN2/7P/8/PPPB2r1/2K2R2 w - -,d2e3
r1bqk2r/ppp2ppp/1b1p1n2/4n3/4P3/P1NBBN1P/1PP2PP1/R2QK2R w KQkq -,e3b6
r1bqk2r/ppp2ppp/2np4/2bPp3/8/6P1/PPPPNPBP/R1BQK2R b KQkq -,d8f6
3k4/1p5q/p1n1p3/8/3p1PP1/P1pP4/4N3/1RB1K2B w - -,h1e4
6k1/1nN2ppp/1p6/3p4/8/r3PB2/1r3PPP/5RK1 w - -,c7d5
1k1r3r/ppp3pp/4Bn2/q7/1b1p4/2NQ1P2/PP4PP/2KR3R b - -,d8d6
3R4/pp2r3/5kpp/5p2/2P2K2/1P5P/P5P1/8 w - -,d8f8
r3n1k1/1q3pp1/p2p1b2/3bpP2/pr2P3/3B4/1PP3QP/R1B2R1K w - -,e4d5
8/3r1k1p/1p2pqp1/p1p5/P1Pn1P2/1P2Q2P/1B4P1/4R2K w - -,e1d1
2r2k2/5p2/3p4/1P1P1Pp1/1P2RbP1/5N2/8/1K6 b - -,c8b8
2rqk2r/1p2ppb1/p3b3/3Np1p1/2PnP3/6B1/PP1QBPP1/R3K2R w KQk -,h1h8
1r1q1rk1/4Nbbp/3p4/p3p3/1p4Q1/2P1N3/PP3PBP/R4RK1 b - -,d8e7
r1b2rk1/5p1p/2p1q1pQ/1p2p2n/2p1P1N1/pP1P3P/P1P1NPP1/1K1R3R w - -,f2f4
r7/4k3/2pr3p/p1n1p1p1/4P3/P3RPPP/NPK5/4B3 b - -,c5e6
r5k1/1pp2qp1/3pr3/5P1p/pPP5/P1Q2P2/3R2PP/3R2K1 b - -,f7f5
2r3k1/1q2pp1p/3p1bp1/1N1P4/P7/3Q2P1/1P3P1P/5RK1 w - -,b2b3
3rn3/5k1p/p1p3p1/P2q1p2/1Q1p4/1P4PP/5P2/B3R1K1 w - -,e1e7
r1bq1rk1/ppp2p2/2n3P1/6N1/2B2p1P/3P4/PbP2P2/R2QK2R w KQ -,d1h5
r2qr1k1/pb3pp1/np1N3p/8/4P3/5N2/PP1Q1PPP/R3R1K1 b - -,e8e7
8/8/5P2/4P1k1/2K5/8/1bB5/8 w - -,c4d5
3r2k1/p7/1p2p1p1/2p4p/4P3/Pnbr2P1/1P3PK1/1RB1R3 w - -,b2c3
2kr4/pp3pbp/n4np1/2pPNb2/8/2N5/PP2PPPP/R3KB1R b KQ -,f6d5
r1b2rk1/pp2qpBp/1np3p1/4p3/3n4/2NP1NP1/PP1QPPBP/2R2RK1 b - -,g8g7
r1b2rk1/pp2qppp/2n1p3/2p1P3/4Q3/2P2N2/PP3PPP/2KR1B1R b - -,f7f5
8/5pk1/3q2p1/8/6PP/5QK1/5P2/8 w - -,f3f4
2b1qQ2/2pkP3/p1p3p1/P1Bp1p1p/3P1P1P/1P6/6P1/6K1 b - -,c8b7
r1b2k2/pp3ppp/4p3/3p4/2P5/PnP1PN2/5PPP/R3KB1R b KQ -,b3a1
8/4r1k1/3Q2p1/8/P1BP4/8/2Nq4/6K1 b - -,d2g5
r1b2rk1/1pq1ppb1/3p3p/p2Pn1p1/P2N4/1B4BP/1PP1QPP1/2KR3R b - -,c8d7
r4r2/p2n1kpp/1p3p2/2p1p3/P1P1R3/3P2PP/2PB1PK1/1R6 b - -,f8e8
r6r/p4k1p/4p1p1/1p1n1P2/2pPpP1q/P1P1P3/1P2Q2P/R5RK w - -,f5e6
4b3/4k3/7p/2pB1P2/1p2P2K/1P1N4/3b4/8 w - -,e4e5
2r2rk1/1b1nqpp1/1n2p2p/p7/1bpPP3/2N2NP1/1P1B1PBP/R1R1Q1K1 w - -,e4e5
b2R1r1k/p3q1p1/6p1/2p5/2B1pb2/1P6/PB3PPP/Q4RK1 b - -,f8d8
2rr2k1/5pb1/4p1pp/pp1q4/2pPQP2/2P3P1/PP1N2PK/3RR3 w - -,e4d5
r1b1k1nr/pp2bp2/1n1p2pp/q2p4/5P1B/1BN2N2/PPP1Q1PP/2KR3R w kq -,c3d5
2r3k1/3q2rp/p2P1p1Q/1pB1np2/7n/1N3P1P/P3N3/R4RK1 w - -,g1h1
8/8/pp2k3/2pRp3/4P1pr/8/PPP3KP/8 b - -,h4h3
2r1r3/Q4pk1/6pp/1p1p1q2/2bP4/2P1pPP1/PR2P1BP/R5K1 b - -,f5f6
r5k1/1b1nq1bp/3p2p1/1P6/p1PPpp2/4B2P/4BPP1/RNQ3K1 w - -,e3f4
2r1r1k1/p1nq1pbp/bpn3p1/2p1p3/N7/PP1PPNP1/1B2QPBP/2RR2K1 w - -,e2c2
r2q1rk1/ppp2ppp/2n5/1BbpP3/4n1b1/3Q1N2/PPP2PPP/RNB2RK1 w - -,b5c6
8/p3k3/1p4p1/3pr3/3Rp3/2P5/PP5P/6K1 w - -,c3c4
8/R5p1/p3p1kp/4P3/1Pb2B2/P7/6rP/4K3 w - -,a3a4
1n2b3/1p4kp/2p3p1/p1PPNpP1/P1PK1P2/1B6/8/8 w - -,b3d1
r1n1nbk1/ppr1qpp1/3p3p/P2Pp3/4P1P1/2N1B3/1P1N1PP1/R1RQ2K1 b - -,e7d7
8/PR6/5k2/r1pK2p1/8/1P5P/8/8 b - -,f6g6
5rk1/nb2q1pp/3p1n2/1p2p3/1P2P3/P2Q2PB/1BR2N1P/6K1 b - -,f8d8
3k4/5N2/pp2pKp1/3p1n2/3P4/8/PP2r3/2R5 b - -,d8d7
3n1rk1/ppp3p1/4R3/8/3P3p/2PQ3B/P3PqNK/R7 w - -,d3e3
8/2r1kp2/8/3bN1p1/3P2Pp/7P/1p3K2/2R5 w - -,c1c7
R7/8/8/3r4/8/1k6/1p6/4K3 w - -,a8b8
4r3/1q3nkp/p2p1pp1/3R3P/1p2PN2/1PrRQ3/P4PP1/6K1 b - -,c3d3
7r/1bp1kpp1/p4n1p/1p1Np3/4P3/1P3P1P/1PP1B1P1/2KR4 b - -,b7d5
2b1r1qk/p4rpp/1p1P1p2/2B2R2/P1P1P2R/3p3Q/3N2PP/6K1 w - -,c5d4
R7/8/4K3/8/6k1/7p/8/8 w - -,a8h8
r4r2/1p1B2k1/1p6/1Q4bp/6p1/8/P2q1PPP/3R1RK1 b - -,d2f4
8/5qkp/6p1/1pRp4/3Rp3/P3P1P1/5P1P/6K1 b - -,f7a7
r4rk1/4bppp/b1n1p3/1NPp4/3P4/5N2/3K1PPP/1R3B1R w - -,b5c3
5r1k/ppq2p1p/1np2np1/4b3/4P2P/4BPN1/PPQ1BP2/1K1r2R1 w - -,e2d1
r5k1/1b2q1b1/4p2p/1Q4p1/4r3/5N2/PP2BPPP/3R1RK1 b - -,e4b4
2b3k1/4q2p/p1r1p1p1/1p1p2P1/1P1P1QN1/4P2P/8/5RK1 w - -,g4h6
6rk/p7/3P3P/2n5/2P5/2P5/P7/K2R4 b - -,c5d7
r4rk1/1pqb1pbp/p2p1np1/4n3/P2NPB2/N6P/1PB2PP1/R2QR1K1 b - -,a8c8
8/5k2/R7/1p3p2/3KbN2/P1P5/1P5P/4r3 b - -,e4b1
4r1kr/1qB2pp1/1P4p1/p1Rp1n2/1p1Pp3/1Q2P2P/PP6/1K5R b - -,f5e7
r1b1qrk1/p1n2pbp/3p1npB/1PpP3P/8/2N5/PP1QBPP1/R3K1NR b KQ -,g7h6
r1bqk2r/1p1nbppp/p3pn2/3pN3/2pP1P2/2P1PQP1/PPBN3P/R1B2RK1 b kq -,d7f8
8/1pr5/1R3p2/P2p3p/3P2k1/6P1/5K2/8 w - -,b6f6
rnbqk2r/pp2bppp/2pp1n2/8/2B1PB2/2NP1N2/PPP3PP/R2QK2R b KQkq -,e8g8
r1b1k2r/ppbnqppp/2p2n2/2Ppp3/3PP3/2NB1N2/PPQ2PPP/R1B1K2R w KQkq -,e1g1
8/1R3R2/p4ppk/8/8/r5P1/2r2PKP/8 b - -,a3a2
r2qkb1r/p2ppppp/bp3n2/8/3PP3/P2B1N2/1P1N1PPP/R1BQK2R b KQkq -,a6d3
2r2rk1/2p1ppb1/p5pn/1p1qP2p/3PnP2/N3BN2/PPQ3PP/4RRK1 b - -,f7f5
2kr2r1/3b1p1p/p3p3/1p1pPPqp/3N4/P1PB1QP1/7P/1N2KR2 w - -,d4b3
2r5/2r1kppp/4p3/2n5/3R3P/1N4P1/5P2/2R3K1 w - -,b3c5
5rk1/p3qppp/1r1p1n2/1pp2Q2/7P/P3P1P1/BP1R1P2/3R2K1 w - -,a2b1
2r1r1k1/5p1p/p2Bp1p1/3pP3/b2N1PP1/P7/4NK1P/1R6 w - -,b1b6
6k1/1q3pb1/pp4p1/6B1/P1Nr2Pp/3Q3P/1P3P2/R5K1 w - -,d3e2
8/4k3/3p4/3Pp3/1B4n1/3K4/8/8 b - -,g4h6
7r/4pp2/p2p1kn1/3P2R1/p4PP1/3B4/1PP4r/1K2R3 w - -,e1e4
3q1rk1/1p1nnppp/4p3/PB1pP3/1Q6/B1r2N2/2b2PPP/R4RK1 b - -,c3b3
r1b1qrk1/3nbppp/ppN2n2/3p1B2/NPpP4/P3P3/2Q2PPP/R1B2RK1 w - -,e3e4
r1r3k1/4ppbp/3pbnp1/qp6/4P3/1PN1BP2/P2QB1PP/2R2RK1 w - -,e3d4
8/8/6pk/6R1/r4P1P/6K1/8/8 b - -,a4a3
3R4/7p/4k1p1/1p2P3/1r6/5B2/7P/4K3 w - -,d8e8
rn1qkb1r/1b1pnppp/p3p3/8/Pp1NP3/3B4/1PP1NPPP/R1BQ1RK1 b kq -,b8c6
r3qrk1/2p2pp1/p3b1np/1p2P1P1/3N3Q/2NR3P/PPP5/1K2R3 w - -,h4g3
rn1q1rk1/3Pp1bp/2p3p1/8/pp6/2N2N1P/PPPQ1PB1/2KR3R w - -,c3e2
r2qk2r/pppn1pbp/2np2p1/8/2b1PP2/2NNQ3/PPPB2PP/2KR1B1R w kq -,d3f2
rnbqkb1r/p2ppppp/5n2/2pP4/PpP5/8/1P1NPPPP/R1BQKBNR b KQkq -,e7e5
1k1br2r/ppp3p1/1nn4p/1N1B1p2/8/P3PPBP/1P3P2/2RR2K1 b - -,b6d5
8/n3b1pp/pp2kp2/4p3/PPK5/2B1PP2/2N2P1P/8 w - -,e3e4
r2qk2r/1b1n1pbp/pp1p1np1/4p3/P2BPP2/2NB1N1P/1PPQ2P1/R3K2R w KQkq e6,f4e5
r5k1/2pn1qpn/b4p1p/p2Pp2P/4P1P1/B1P1N3/P4QB1/1R4K1 w - -,c3c4
2r1r1k1/1b1n1pb1/pp1p1n2/3P1qpp/P3p3/1PN1Q1NP/2P2PP1/B2RRB1K b - -,f5g6
r2q1rk1/p4ppp/1p2pn2/3P4/3n4/PPN5/1B3PPP/R2QKb1R w KQ -,d1d4
6k1/4ppb1/2Nq2pp/Q2P4/4n1b1/2p1B3/1rB2PPP/2R3K1 w - -,c2e4
1r1r3k/2R3pp/3pQ3/n4BP1/4Pp1P/1p3P2/1P1K4/7q w - -,c7g7
8/8/5k2/pp1p4/2pP3p/P1P2Pq1/1P2Q3/7K w - -,e2g2
3k3r/2r1n1pp/1p2RpP1/3p4/1BP5/P7/5KPP/7R b - c3,e7g6
r5k1/1p1brpn1/3p2p1/pN1Pb1q1/1P2Pp1p/P2B1P1P/2RQN1P1/2R4K w - -,c2c7
r1b2rk1/pp2b1pp/3p4/n1pPp3/q1P1Q1P1/2P4P/P2N1PB1/R1B2RK1 b - -,e7g5
8/2pk2b1/1p1p2p1/p6r/PPbP1p2/4KP1P/3B2P1/3RN3 w - -,e3f4
6k1/1q2bppp/2p1b3/r7/4Q3/P1N1BP2/6PP/3R2K1 b - -,a5a3
r1bqk2r/ppp2pp1/2nppn1p/8/1bPP4/2N2N2/PP1BPPPP/R2QKB1R w KQkq -,a2a3
r5k1/5pbp/4p1p1/4P1N1/3r1P2/p3R3/R5PP/6K1 b - -,d4f4
R5k1/5p2/4b1p1/1pprP3/8/2BP4/1PP3P1/6K1 b - -,g8g7
2k1q3/pp3pp1/1npQp2p/4P2P/2P2PP1/8/PP6/2KR4 w - -,b2b3
8/p7/1p4nB/2p4p/P3kP2/1PP4P/4K3/8 b - -,g6f4
8/4bB1k/3p4/p3pP2/8/n1P3B1/PR2K3/7r b - -,h7g7
r4rk1/pppnq1pp/2nbb3/4pp2/3P2P1/PPNP3P/1BP1NPB1/R2QK2R b KQ -,e5d4
r1r3k1/1p3pp1/p3pn1p/4q3/2P5/1P3N1P/P4PP1/R2R2K1 w - -,f3e5
r1b1kb1r/1p2nppp/2nBp3/3p4/2pPP3/2p3P1/PP1N1PBP/R3K1NR w KQkq -,b2c3
r5k1/qp2ppbp/p4np1/P1N2b2/1PR2B2/Q1N1P2P/3r1PP1/2R3K1 w - -,e3e4
1r1qr1k1/2pbppb1/p2p1np1/1p1Pn2p/2P1PP2/1PN1B1NP/P2Q2P1/2R1KB1R b K -,e5c4
r2qk2r/6bp/b2pp1p1/p1p5/1pP1P1N1/P2P4/1P1B2PP/1R1Q1RK1 b kq -,h7h5
8/5Q2/p3R1pp/P6k/8/4R1PP/2b4K/1r1q4 w - -,e6e5
2R2bk1/p4p1p/1p1q1npQ/4pP2/3p4/P5R1/3P2PP/1r4K1 w - -,g1f2
4rrk1/pp4pp/2q1p3/2b1P3/5N1P/4p1P1/PP3PQ1/3RR1K1 w - -,f2e3
4r1k1/1q2P2p/p3Qpp1/1p6/1n1P4/6B1/2P3PP/4R1K1 b - -,g8g7
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/P1N2N2/1P1PPPPP/R1BQKB1R w KQkq -,g2g3:e2e3
rnbqkbnr/1pp1pppp/p7/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq -,g8f6:c8f5
r4r2/pp3p1k/1q3Pp1/3B3p/2PN2bQ/6PP/PP2P3/3R3K b - -,g4e6
2r1k3/3n4/1p1P2B1/6K1/P1p2P2/4P3/1B2b3/2R5 b - -,e8d8
r7/1p2ppkp/6p1/8/8/2N2PK1/Pn4PP/R7 w - -,a1b1
3r1bk1/5p2/pp1n3p/3Np1pP/P3P3/1nP2BP1/5P2/1RB3K1 b - -,b3c1
rn1q1rk1/p1p3pp/1p1pp3/2Pb1p2/3P4/2Q2NP1/PP2PPBP/R4RK1 w - -,f3d2
3r1rk1/p5pp/2p5/q3p3/8/PPbPP1P1/3NQ2P/2R1K2R b K -,a5d5
r4rk1/ppqnbpp1/2p2n1p/8/4P1b1/1PN2NP1/PB3PBP/R2QR1K1 w - -,h2h3
2r2k2/1ppn1p1p/1n1p1qp1/1N1P4/p1P2B2/P2BQ2P/1P2R1K1/8 b - -,h7h5
8/5pk1/6p1/4n2p/4P2P/5PP1/3Q2BK/q7 w - -,d2e2
r4rk1/ppbbq1p1/2p1p2p/2Pn1p2/2BP4/5N2/PPQB1PPP/R3R1K1 w - -,c2b3
2r2rk1/1p2ppbp/p2p1np1/3P4/2P2P2/3QBB2/qP4PP/1RR3K1 b - c3,b7b5
2r3k1/2p1b2p/4rp2/3q2p1/3p1B2/3P2P1/2Q1PP1P/1R2R1K1 w - g6,f4d2
2r2rk1/1bq1bppp/pp1ppn2/4n3/2P1P3/1PN2P2/PBN1B1PP/R2Q1RK1 w - -,a1c1
2rq2k1/p4pp1/1p5p/3p4/2nP1Q1P/2P2R2/P1RN1PPK/4r3 b - -,c4d6
r4rk1/4Rpbp/6p1/3Pn3/p3P1b1/4BN2/q3BPPP/3Q1RK1 w - -,f1e1
3rk2r/1b1n1ppp/p3p3/1pb5/1P2Pq2/P1NB1N1P/4QPP1/R4RK1 b k b3,c5e7
4rrk1/1p2b1pp/p3q1b1/3Rp3/P1P1p3/4B1Q1/1P2B1PP/2R3K1 b - -,e6c6
5rk1/5p2/1r1Np1pb/4n2p/7P/1P4P1/1KP5/3R1B1R w - -,d6c4
2r2rk1/pp2pp1p/1n1p4/3P2PR/2PB1P2/1P1R4/P2K4/8 b - -,f7f6
1rbq1r2/4n1bk/2np2pp/1p2pP2/1P5P/2NP2P1/3B1PBN/1R1Q1RK1 b - -,c8f5
r3kb1r/pbNnp3/7p/3p1p1p/Ppp2B1q/4Q3/1P3PPP/3RR1K1 b - -,e8d8
4kb1r/3n1ppp/p1q1p3/6P1/1p5P/4B1N1/PPP2P2/3QK1R1 w k -,e1d2
r1b4r/pp1nkppp/4p3/3pP3/3N1P2/8/PPP3PP/R3KB1R w KQ -,f1d3
2r3k1/1prnqp1p/p2p2p1/P2P4/1RP1p3/1N1Q4/2P2PPP/1R4K1 w - -,d3e2
r1q2r1k/pppbn1b1/2np2pp/1P2pp2/2P4P/1QNPPNP1/P2B1PB1/1R2K2R b K -,c6d8
r2q1rk1/p4pbp/np1p1np1/2pPp3/P3P3/2N1BP2/1PPQN1PP/1R3RK1 b - -,a6c7
3qr1k1/pp2ppbp/1n4p1/3n4/3PN3/1Q3NB1/PP3PPP/2R3K1 b - -,d8d7
r2k4/p1p2B1p/2p3p1/1pN1Pb2/8/5P2/PPn2K1P/3R4 b - -,d8e7
rnbq1rk1/pp2bppp/3p1n2/2pPp3/2P1P3/2NBBP2/PP4PP/R2QK1NR w KQ -,g2g4
5k2/4Np2/p5pp/1p1p4/1Pn5/PQ1B3P/5PPK/3nq3 w - -,e7d5
rnb3r1/pp2kppp/2p4n/8/4Pp2/2NB1N1P/PPPR2P1/2K4R w - -,c3e2
2r1r1k1/1bqnbppp/pp1ppn2/8/2PNP3/1PN1Q1P1/PB3PBP/3R1RK1 w - -,g1h1
1r4k1/2qbppbp/p2p1np1/2pP1P2/2P1P3/4B1NP/PrRQ1NP1/5RK1 b - -,b2c2
r5k1/1R4p1/3B2P1/1p2p2p/2p5/P4P2/1b4K1/8 b - -,a8c8
8/p6p/2pk4/5p2/PPP2Pp1/3K2P1/7P/8 w - -,d3d4
r5nk/1pp1q2p/n2p4/p2Ppr2/2P1N3/P1N1P2P/1P2Q3/R3K2R b KQ -,e7h4
2b5/7p/p4k2/1pN2p2/1P2p2P/8/P1P1K1r1/7R w - -,e2d1
r3k2r/4bp2/pqppbp1p/8/4Pp2/8/PPPQN1PP/2KR1B1R w kq -,e2f4
2b3k1/6b1/p2p3p/1p1P1p2/8/2PBrR2/NP4PP/7K b - -,e3f3:e3e1
r1bq1r1k/p4NpB/2p5/n1bnp3/7P/5Q2/PPPP1PP1/RNB1K2R b KQ -,f8f7
3r4/2k3p1/p1n4p/1pP1pp2/8/P2RBP2/2P1K1PP/8 b - -,g7g5
b7/6bk/p3q2p/P4p2/1Q1p4/B2R1P2/2rN2PP/6K1 w - -,b4e7
6k1/p5p1/1n2p2p/5r2/1rP5/4KB2/P5PP/1R4R1 b - -,b4c4
8/p3r3/P4kp1/5p1p/8/4rP2/2R2K1P/5B2 w - -,h2h4
8/1pk5/p1pr1rp1/P1KpNp1p/1P3P1P/4PB2/8/6R1 w - -,g1g2
8/4knK1/2p5/7r/1p3p1P/1P4PB/2R2P2/8 w - -,c2c6
r1b1qrk1/ppp2pb1/n2p2pp/4p3/2PPP1n1/2N2N2/PP2BPPP/R1BQ1RK1 w - -,f1e1
r1b1k2r/1pqnppb1/p2p1npp/2p5/2PPP3/2NBBN1P/PP1Q1PP1/2R2RK1 b kq -,c5d4
3r1k1r/p1Q3pp/5p2/8/2P4P/3P4/b2qBPP1/5RK1 b - -,d8e8
2R5/1r2bbkp/1B2np1p/8/4PP2/6PB/5K2/8 w - -,b6e3
8/3n4/6r1/6NR/3kp3/6PP/5PK1/8 w - -,h3h4
r3kb1r/p1p2p1p/b1p3p1/2qpP3/1nP2P2/BP6/P3Q1PP/RN2KB1R w KQkq -,b1c3
3q1r2/1b3pbk/1pp1p1p1/r3N2p/3P3P/6Q1/PPB2PP1/3RR1K1 b - -,h7g8
r6r/pp2k2p/b1p2Q1n/3pP1qN/8/8/PP1N1PPP/R3K2R b KQ -,g5f6
r1br2k1/1p3p1p/4pp2/p1p5/2P5/4PBP1/PQ1NqP1P/R4RK1 b - -,e2d2
3q4/p4nkp/2r2r2/5pp1/P1B5/1P5P/1Q2RPP1/6K1 b - -,g7g6
r3qr2/1pp1ppkp/p5p1/3PP3/4N1b1/5N2/nPPQ2PP/1K1R3R w - -,d2d4
r1b1k2r/p3nppp/1p2p3/3pP2P/q2n3R/P1P5/2PB1PP1/R2QKB2 w Qkq -,h4d4
1rb2r2/p1q1ppbk/1nn3pp/2p5/8/1BPPNN1P/1P2QPP1/R1B1R1K1 b - -,e7e5
3rb1k1/p3q1pp/1pn5/5p2/1P2r3/P1R2Q2/4NPPP/2N2RK1 b - -,e7e5
6k1/p6p/1p4pP/8/2p5/2N4q/PP4bQ/6K1 b - -,h3h2
8/8/pp1n4/5k1p/8/1PP2K1P/P4N2/8 w - -,h3h4
r6r/1ppbk2p/5ppn/p1n1p3/P1B1P3/4KPP1/1PP1N2P/RN5R w - -,b1c3
2r3k1/p2r1ppp/4p3/1pP5/1P2R3/P5P1/1R3P1P/5K2 b - -,g8f8
4r3/1p2npk1/6pp/p1P1P3/6P1/1B5P/PP1r1P2/R3R1K1 w - -,a1d1
8/2p3p1/6kp/8/7q/1PB3R1/P2PP1K1/8 b - -,g6f5
8/7p/1k3r1P/2P5/PK6/8/8/3R4 b - -,b6c7
1rb1r1k1/1pq3np/pN1p2p1/P1nP1p2/1R6/2N3PP/4PPB1/1QR3K1 b - -,c8d7
8/8/R5p1/2p2k1p/2Pp1p2/1q3P1K/3r4/7R b - -,b3f3
r2q2k1/pp3pp1/2p4p/b2prN2/6P1/8/PPP1N1Q1/2KR3R b - -,d8g5
2kr1bnr/ppp2qp1/2p1b3/4Pp1p/1P1P4/2P5/P3BPPP/RNBQ1RK1 b - b3,f8e7
r3bk2/pp2n2p/2p4q/4N1r1/1P1QP3/P7/4BP1P/3RK2R w K -,d1d3
r1bqk2r/pppp2bp/2n2np1/4pp2/2P5/P1NP2P1/1P2PPBP/R1BQK1NR w KQkq -,e2e3
r1bq2k1/p1P2rbp/5nn1/pN1Pp1p1/4Pp2/3N1P2/PP2B1PP/2RQ1RK1 b - -,d8f8
r4rk1/2p2p1p/2b1p1p1/p1nn4/1pNR4/1P5P/PNP2PP1/3R1BK1 b - -,d5c3
r2q2k1/ppp2p1p/5bp1/3p4/3P1B2/2P1n3/PP3PPP/R3Q1K1 w - -,e1e3
