8/8/6P1/2k5/2b5/K4p2/8/4R3 w - -,e1e3
1qr3k1/p3Qppp/8/7b/P1p5/4P3/2P3PP/3R1RK1 w - -,d1d7
r2n1r1k/p4pp1/1p1b3p/5q2/8/P3NN2/1P2QPPP/3RR1K1 b - -,f5g6
r1q1k2r/2nb1pp1/1b1Bp3/pN2P2p/5Pn1/3B4/1PP1Q1PP/4RR1K w kq -,f4f5
3r4/p3npkp/1p6/4pp2/PPP5/3p1P1P/4BKP1/3R4 b - -,e5e4
2r1rbk1/1q3p1p/1p1p1np1/pQ1Pp3/Pn2P3/2N1BPPP/1P1N2K1/3R1R2 b - -,f6d7
3q1r1k/1p2p1bp/3p4/1PnQ1p2/8/5P2/P5PP/2BR1K2 b - -,d8a5
2r1r1k1/7p/1R1n2p1/3P4/4PP2/2n3NP/8/4R1K1 b - -,c3e4
r1b1kbnr/3p1ppp/pq2p3/1p6/3pP3/1B1P4/PPP1NPPP/R1BQK2R b KQkq -,g7g6
5rk1/p3pp1p/1rB1b1p1/4P3/2p4P/6P1/PPR1PP2/R5K1 w - -,c6a4
4r1k1/1pqn1b1p/r4pp1/p1Pp4/P3pPP1/1N6/1PP1PQBP/R4R1K b - -,e8c8
8/1r1n2p1/2rkp2p/R3p3/R1p1P3/1pP2PB1/1P2K1PP/8 b - -,d6e7
r2br1k1/pq3pp1/3p1n2/2pP1P1p/2Pn1R2/1P3NPP/PB1Qp1B1/R5K1 b - -,b7a6
r2q1rk1/1pp3b1/3p1n1p/p2Pp1p1/2P5/6B1/PPQ1BPPP/R4RK1 b - -,f6d7
2r3k1/2P4p/4b1p1/4pp2/P7/b3N1P1/5PBP/2R3K1 w - -,g2d5
8/8/6p1/2k5/4p1r1/4K3/3R4/8 w - -,d2d8
r3k2r/pp1nbpp1/1qp1pn1p/5b2/3P4/3N1NP1/PPP2PBP/R1BQ1RK1 w kq -,c2c4
8/1P6/4k3/1K5p/8/2r5/3R4/8 b - -,c3b3
8/1p3bkp/p1p5/4rr2/1Pp1B3/P3R1P1/7P/4R1K1 b - -,f5f6
2r3k1/1b1p2pp/p7/npb1q3/3N4/1P1Q2N1/P1P2BPP/3R2K1 w - -,c2c3
6r1/p3kp2/1p1pb3/2p1n3/2P5/1KP1N3/P2RB2r/5R2 w - -,f1d1
8/3n4/1p1p2kp/pP2pp2/P1Pp4/4PK1P/4N3/8 w - -,e3d4
5k2/R7/4b3/6p1/4N1Pp/5PP1/1r5K/8 w - -,h2h3
r1r3k1/pp1qbppp/2n1p3/3pP3/3P4/P4N2/1P1B1PPP/2RQR1K1 w - -,c1c3
r2b4/q4pk1/3p2p1/P1nPp2p/2N1P2P/2Q3P1/P1B2PK1/1R6 b - -,d8a5
8/1r3p1k/3P1Pb1/4Q2p/5K1P/1p6/8/8 w - -,e5b2
8/2R2p2/4k1p1/4p2p/7P/2P1K1P1/2r2P2/8 b - -,f7f5
1r3n2/4r3/p1RRbk1p/3Bp1p1/5p2/5PP1/PP5P/4B1K1 w - -,e1c3
r1bqk1nr/3nppbp/p1pp2p1/1p6/3PP3/2NBBN2/PPPQ1PPP/R3K2R w KQkq b6,e1g1
4r1k1/6b1/3p4/p2P2pp/1pN5/8/PPP4P/1K1R1q2 w - -,d1f1
r4rk1/1p1q1nbn/p2p2p1/2pP1b2/P3N2p/2N1BP1P/1P1QB1P1/R3R1K1 w - -,e2f1
6k1/3q1p1n/2pbb1pp/Q3p3/2PpP3/P2r1NPP/5PB1/R4NK1 w - -,f3e5
rnbqkbnr/pp2pp1p/2p3p1/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,c8f5
2r4k/p1q1brpp/1p1p4/4p3/1PP1R3/P2Q1P2/5NPP/3R2K1 w - -,d3d5
8/1R3pk1/6p1/1PpBr3/1q6/2N3p1/1P1R2K1/8 b - -,e5f5
3r1rk1/pppq1ppp/2b1pn2/2b5/8/2P2PN1/PPB1Q1PP/R1B1R2K w - -,c1g5
2n5/p7/1P2k3/P1B2p1p/2K5/5P2/6P1/8 b - -,a7b6
1r2r1k1/1bq2p1p/3ppbpB/1p6/1Nn1P3/2P3P1/RP2QPBP/R5K1 b - -,b8a8
r3nrk1/1p1qn1bp/pB1pbpp1/3Np3/2P5/2N3P1/PP1QPPBP/2RR2K1 b - -,a8c8
R4nk1/1p2q1p1/3Np3/3pPpP1/3P4/1Q4P1/1P3PK1/2r5 b - -,e7g5
3rnk2/6p1/P2p3p/5p2/1P1p4/3B1P2/2RN2PP/3n2K1 b - -,e8f6
3r1r1k/ppq3np/2ppp3/P7/1P2P2Q/2N1R2R/2P2PPP/6K1 b - -,h8g8
5r1k/1q2b1pp/1p6/4pp2/2Qp4/PN1P1PP1/3N1K1P/8 w - -,a3a4
2rqr1k1/1p2bppp/p2pbnn1/4p3/P3P3/2N1NB2/1PP2PPP/R1BQR1K1 w - -,g2g3
r5k1/pp3rpN/2nq3p/3p4/3Pp1b1/6P1/PP1QNP2/RB3RK1 b - -,g8h7
rnbq1rk1/ppp3pp/3b1pn1/3p4/3P4/3B1NB1/PPP2PPP/RN1Q1RK1 b - -,g6f4
6k1/p4p1p/P1R1q1p1/8/3P4/1r2PQP1/3r2P1/4R1K1 b - -,e6e7
2rq1rk1/3bbppp/2p1pn2/p2nN1B1/Pp1PN3/1B6/1PP1QPPP/3R1RK1 b - -,f6e4
3k3r/2rnb1pp/p3P3/1p1Q4/q2B4/6P1/5PKP/1NR5 w - -,d5a8
1r1qr1k1/QPp2pp1/5n1p/8/2P3b1/3N2P1/P4P1P/R1B2BK1 b - -,g4f3
2r2rk1/1bpn1pp1/pp2qn1p/3p4/P2P4/1QNBPNP1/1P3PP1/R2R2K1 b - -,c7c5
6r1/p1k5/4p2p/1pPpPp2/5P2/1P6/1P5P/4R2K w - -,e1a1
r7/P7/5k2/4p3/8/1R2b2P/7P/5K2 b - -,e3d4
rnbq1rk1/5pbp/p2p1np1/2pP4/PpB2B2/4PN2/1P3PPP/RN1QK2R w KQ -,e1g1
r2q1r1k/1pp1b1pp/2n1bn2/p2ppp2/2P5/P1NPPNP1/1PQB1PBP/R4RK1 w - -,c4d5
1r3r1k/1b2q1bp/8/1N1ppp2/8/8/PP2BPPP/R2Q1RK1 b - -,d5d4
8/3n1p2/3p1k1p/2bP2p1/2b3P1/5BK1/5P1P/3R4 w - -,d1c1
8/8/8/1p4Bp/1Pp1n2P/2P5/2K1k3/8 b - -,e4g3
5k2/pp4bp/6p1/1Ppq1p2/8/1P1P1PP1/P5bP/1R2QRK1 b - -,g2f3
3r3r/1p2bkpp/p3np2/8/2P1p3/1P4P1/PB3P1P/R2RNK2 w - -,f1e2
r2q1rk1/pp1n1pbp/2p2np1/4p3/3P4/2N1PB2/PP3PPP/1RBQR1K1 b - -,f8e8
4b1k1/2q2n2/1p2p2p/p2p1pp1/P2P3P/1P1BPNP1/1Q3P2/6K1 w - a6,g1g2
r1r3k1/1q3p1p/2n1pbp1/1p1p4/1P1P4/2PQ1N1P/2N2PP1/R3R1K1 w - -,a1a8
1k1r3r/p1bq1p2/2p1p1p1/Pp1pP1P1/1PnP1B1p/2PB3Q/R4PP1/R4K2 w - -,f1e2
r2qkbnr/pbpppppp/1pn5/8/3PPP2/5N2/PPP3PP/RNBQKB1R b KQkq d3,g7g6
r2q1rk1/2pb1ppp/p2p1b2/1p1Pn3/P2N4/8/1PP1QPPP/RNB1R1K1 w - -,a4b5
r3kb1r/pp1npppp/5n2/3p4/3P1B2/q1N1P3/P3NPPP/1R1QK2R b Kkq -,b7b6
1r6/5k2/1r2p1p1/p6p/P1pPpP1P/2PbP1K1/R2N4/6R1 b - -,b6b2
2b1r1k1/p1p1r2p/2pn1p1B/2Npp3/P2P4/1PP5/5PPP/R3RK2 b - -,e5d4
8/5pk1/4p2p/p1n1P1pP/1p1q1P2/1P1N2P1/4Q2K/8 w - -,d3c5
8/BR4pk/7p/4n3/7P/r7/5PP1/6K1 b - -,a3d3
2q5/p3R3/k7/1p4p1/1P2B3/8/3BK3/8 b - -,c8c4
N1bk1b1r/pp1p1ppp/2n5/4p3/2B1n3/8/PPPPN1PP/R1BK3R w - -,h1f1
4r3/5pk1/p2p1np1/n1pP3p/1pP5/1P4PP/PQ1NqPB1/1R4K1 w - -,g2f1
5r2/1p2kp1R/4b1p1/pPPp2K1/P2P4/6P1/4R3/8 b - -,f8d8
4r1k1/pb2q1pp/1p1ppnr1/1PpP1p2/2P1n3/P3P1P1/1BQ1BP1P/3RNRK1 w - -,e1g2
8/3R1k2/r7/4KP2/8/8/8/8 b - -,f7f8
6k1/2r2p1p/1q2p1p1/3b2Q1/4P3/3B3P/p4PP1/R5K1 b - -,b6b2
2r3k1/pN3p1p/6p1/3PN3/8/b2B4/P4PPP/5K2 b - -,g8f8
6k1/3n2bp/r5p1/pNp1pp2/2Pp4/7P/PP3PPB/2KR3R b - -,d7b6
b3rbk1/1q3pp1/5P1p/1pp5/1P1p4/2PB1NPP/5P2/BR1Q2K1 b - -,e8e1
rnbqk2r/pp3ppp/2pb1n2/3p4/2PPp3/2N1PP2/PPB3PP/R1BQK1NR b KQkq -,e4f3
8/6k1/PR6/3p1P2/3P4/1P4K1/8/2r5 b - -,c1a1
2Rb4/1p1r3p/1P3pp1/3kp3/6P1/4B1K1/5PP1/8 w - -,g3f3
8/pp6/2k5/2P1rp2/PPK2R2/6P1/8/8 w - -,c4d4:b4b5
1r1r2k1/1p3ppp/2nbb3/pq6/3pN3/P2N2P1/1P2PPBP/2RQR1K1 b - -,d6e7
4r1kb/1nqb1p1p/pR1p1npB/P2PpN2/B1P5/4Q1NP/5PP1/6K1 w - -,a4d7
8/6k1/1p5p/b5PP/N4P2/K3n3/B7/8 w - -,a4b2
r5k1/2q2pbp/1nNpPnp1/1ppP4/5P2/6PP/1P4B1/2BQR1K1 w - -,f4f5
rnb2rk1/1pq2pbp/2pp1np1/4p3/P3P3/3P1NP1/2PN1PBP/R1BQ1RK1 w - -,c1b2
2rr1k2/p4pp1/1p1qp2p/3nQ3/3P2P1/PB4KP/1P3P2/3RR3 w - -,f2f4
n1krqbr1/ppp4p/2P1p3/3PN3/3PP1p1/8/PP4PP/R1BQ1RK1 b - -,e6d5
8/8/3b1Np1/1P2p3/K3k2p/7P/6P1/8 b - -,e4e3
6k1/5p1p/1pp3p1/4P3/1PPr1P2/R6P/2KpB3/4b3 b - -,d4f4
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/NPB1PP2/P2P4/2P1N1PP/R1BQK2R b KQkq -,e8g8
8/3b1k2/p2p4/2pP1pBp/2P2P2/1Pq1nB1P/4K3/1Q6 b - -,e3c2
2K5/5p1k/1q1b2p1/p2P4/P1Q3P1/8/2B5/8 b - -,b6b8
r3r1k1/2p3pp/8/pNbp4/8/3P3P/PP3PP1/R2R2K1 b - -,a8b8
3r1r2/1p3ppk/7p/4Rn2/3p4/P5B1/1PP2PPP/3R2K1 b - -,g7g6
3b4/1p3pk1/p1bPp3/4P3/2R1NB1r/P4K2/7P/8 b - -,g7g6
2r3k1/pp2q1p1/2b1p1P1/3pQ3/3B1P1r/8/PP5P/2R2R1K w - -,c1e1
r1b2rk1/1pq1ppbp/p2p1np1/4n3/2PNP3/1BN5/PP2QPPP/R1B2RK1 b - -,c8d7
r1b2rk1/p3qppp/1np5/5P2/8/PQPB4/6PP/R1B2RK1 b - -,f8d8
r1bqk2r/1p2ppbp/p2p1np1/8/3NP3/2N5/PPP2PPP/R1BQR1K1 w kq -,c1g5
r1bqkb1r/pppp1ppp/2n1p3/2P1P2Q/2B5/2P5/PP3PPP/R1B1K1NR b KQkq -,d7d5
4k2r/pp1rp1bp/1q3p2/2pp1p2/Q2PnP1B/1NP1P3/PP4PP/2R1K2R w Kk -,b3c5
r1b2rk1/ppp2pbp/1nN3p1/4p3/5B2/2Nq2P1/PP2PPBP/R3K2R w KQ -,c6e7
2kr3r/pb3p2/1np1pP2/q7/2pPN3/1P3QP1/1P1b1PBP/R4RK1 b - -,a5b4
3q1rk1/4rpb1/pp4pp/8/PpPp1P2/1P1PnNP1/7P/1RQ1R1NK w - -,c1d2
r2qnrk1/3nbppp/3p4/3Pp1P1/pp6/4BP2/PPPQ3P/1KNR1BR1 b - -,d8a5
rnbqk2r/pp2ppbp/3p1np1/3P4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e8g8
r5k1/pp1b2pp/4p3/8/4R1N1/5n2/PP3PKP/R7 b - -,f3g5
rqr3k1/1b3pb1/pn1pp1pp/4n3/1PP1P3/1N1BBP2/P4QPP/2RR2K1 w - -,e3b6
rnb2rk1/2q2pbp/2p1p1p1/p2nN3/1pBP4/1P2PN2/1BQ2PPP/R1R3K1 b - -,c7d8
4k3/p4p2/1p2p1pp/1Pp1P3/2P1KPPb/1P5P/1N6/8 b - -,h4e1
1n1r1rk1/4bppp/pp2p3/2p1P3/2P1N3/1P4P1/PB2KP1P/2RR4 b - -,b8c6
rn1qkbnr/pbpppppp/8/1p6/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,e2e3:c1f4:c1g5:a2a4
r1b2rk1/p1p1nppp/1p5q/2bp4/3N1Pn1/N1PBBR2/PP4PP/R2Q2K1 b - -,h6h2
8/5p1p/3p1kp1/7n/4PP2/r2RKP2/4N2P/8 b - -,a3d3
rn1q1rk1/pbp2pp1/1p3b1p/3p4/3P3P/2N1PN2/PP1Q1PP1/2KR1B1R b - h3,c7c5
k1r5/1b2q3/4ppQ1/1N6/Pb4P1/8/1PP4P/1K3R2 b - -,e7c5
r1bq1rk1/pp3pbp/2np2p1/3B4/3pP3/1Q3NP1/PP1N1PP1/R3K2R b KQ -,h7h6
2rq1rk1/pp1bbppp/2p1pn2/3n4/NP1P4/P4NPP/2QBPPB1/1R3RK1 b - -,b7b6
8/4k3/1p2p2p/3pPp2/2bP3P/P1P5/3KB3/8 w - -,e2h5
r3r1k1/1p1bb3/p2ppnp1/2q3P1/3NP3/2N2BQ1/PPP5/2KR3R b - -,f6h7
3rr1k1/1p4p1/2p1np2/1q5p/pNRPpBbP/P3P1P1/1PQ3P1/5RK1 w - -,f1c1
r1br2k1/bp2qppp/p1n2n2/4p3/1P2N3/P2BPN1P/1B2QPP1/2R2RK1 b - -,f6d5
r2q2k1/1pp3bp/n2p4/p2P1r2/1PP5/P1NpB2P/5P2/R2QK1R1 w Q -,g1g7
2rr2k1/1p1nb1p1/p2p2q1/P2Pp2n/1PP3pp/5P2/3BBQ1P/N1RR2K1 w - -,f3g4
2r3k1/Q1B1ppbp/1p4p1/3q4/1RnP4/4PN1P/5PP1/6K1 w - -,c7b6
3r1rk1/pp1nbppp/2p1bn2/7q/3PP3/5NP1/PPQ1N1BP/R1B2RK1 b - -,h5b5
r1R1k3/5ppp/pb2p3/1p1n4/8/4PN2/PP1BKPPP/3R4 b - -,a8c8
r1r3k1/pbqnbpp1/2ppp3/1p4N1/2PPPQ1P/2N5/PP3PB1/3RR1K1 b - -,e7g5
8/6kp/6p1/8/1R2KP2/1B1r2P1/P6r/8 b - -,d3g3
5bk1/1b3p1p/8/r2P1N2/1pPp4/1P1P3P/6B1/5RK1 w - -,d5d6
rr4k1/2pnqp1p/1p2p1p1/6P1/p1PP4/3Q1NRP/PP3P2/2K4R b - -,c7c5
3r1rk1/4bppp/p7/1pP1qb2/4p3/4B2P/PPB2PP1/R1Q2RK1 w - -,b2b4
2R5/8/3kp1p1/2nb4/p5PP/8/1b3P2/1N4K1 w - -,h4h5
3r3r/p1k2p1p/bpp1pn2/5p2/3P4/1PP2NPP/P1K2PB1/3RR3 b - -,a6b7
6k1/6pp/N4b2/2Brp3/1P3pb1/8/6PP/R5K1 w - -,a6c7
r4rk1/1bqn1pp1/p2b3p/3PpB2/1p5B/5N2/PP2QPPP/3R1RK1 b - -,d7c5
r4r1k/p5pp/2NN4/4P3/6R1/3b1P2/P6P/2b4K w - -,e5e6
2r3k1/1p1N2b1/r3nNpp/2p1p3/8/P2P1P2/1PP3P1/2K1R2R b - -,g8f7
3rr1k1/p1qn3p/1p3bp1/1Pn1pp2/2Pp3N/P2P1PP1/4RN1P/2BQR1K1 b - -,c7b7
2r2rk1/p2q1pp1/1p5p/4p2P/3n4/P1B2QR1/1P3PP1/2KR4 w - -,c1b1
8/p1p3r1/2k5/2p1p3/2R3P1/1P3RK1/P1P1r3/8 b - -,e2e1
Q7/8/8/3kp2P/2p1q3/P4RP1/5P1K/1r6 b - -,d5d4
8/4K3/2B1P3/p4k2/P7/8/8/1r6 b - -,b1e1
r3r1k1/q2n1pp1/2p4p/8/3PP3/1Q3PB1/P5PP/2R2RK1 w - -,f1d1
3n3r/r2Pkp2/pp1R4/2p1P1Rp/P1P1B1p1/1P6/8/6K1 w - -,e4f5
r2qr1k1/bpp3pp/2n2p2/p2npb2/P1N5/2PP1N2/1PQBBPPP/R4RK1 b - -,d8d7
2k5/R7/1KB1r3/7p/8/8/8/8 b - -,c8d8
r3r1k1/1p3pbp/pq1p2p1/2n5/2PpP3/1P1B1Q1P/P3NPP1/2R1R1K1 b - -,c5e6
b2qr1k1/Q4Rpp/8/3pb1P1/1P2p3/4B3/P5PP/5R1K w - -,e3c5
8/1p1kn3/p1p1p3/4P3/1b1PPrrp/4KN2/PPB3P1/3R1R2 b - -,e7g6
5rk1/2p1qp1p/3b2p1/3P3r/BpR1Pp2/1P3P2/P4QPP/2R3K1 w - -,h2h3
8/8/P7/1B1b4/1b3k2/5p2/7K/5N2 b - -,b4d6
r3r1k1/1ppqbppp/1Bn5/p3p3/6b1/P1NP1NP1/1P2PPBP/2RQR1K1 b - -,c7b6
1r1q1rk1/5pp1/p2p1n1p/2p1pR2/1pP1P3/1PNPP2P/P1R3P1/4Q1K1 w - -,c3d5
1b6/8/6p1/6k1/6P1/5K2/2R5/8 w - -,c2c5
4r1k1/1bp2ppp/pnq2b2/1p6/3P2Q1/NBP4P/PP1B1PP1/4R1K1 b - -,e8e1
rn2r1k1/ppp2pp1/3b1n1p/8/2BP2b1/4BN2/PPPN1KPP/R6R w - -,a1e1
6k1/2R4p/p1p3p1/3b1p2/7P/2N2P2/PP4PK/4r3 b - -,e1a1
r1b1r1k1/ppqn1pbp/6p1/3Qp3/8/2P1BN1P/PP2BPP1/R2R2K1 b - -,d7f8
r2qk2r/pp2ppbp/2npbnp1/8/2P1P3/2N5/PPN1BPPP/R1BQK2R w KQkq -,e1g1
6k1/b4ppp/P2p4/4p3/2P1P3/5P2/2R1K2P/3Q2q1 b - -,g1f2
8/4k2p/3R1pp1/1prp4/p7/P1P2P2/1PK3PP/8 w - -,d6b6
r4rk1/pb1p1pp1/1pq1p2p/1Nn1b3/2P4B/3B1P2/PP2Q1PP/R4R1K w - -,d3c2
4k3/8/2r2p2/1p5R/6P1/2P2p1P/5P2/5K2 w - -,h5b5
r4rk1/ppq2pp1/2p1pb1p/2P1Nb2/3P1P2/4Q1P1/PP4BP/R4RK1 b - f3,a8d8
7k/2p4p/1pnp4/6p1/1P6/7P/3Q1PP1/q2B2K1 w - -,g1h2
2R5/8/5P2/2b5/2k5/P7/5r2/1K6 w - -,c8c6
r3k2r/pp1bn2p/1q2pp1b/3p4/1P1P4/P1NBPN2/4Q1PP/R4RK1 b kq -,a8c8:e8c8
R7/8/6P1/5K2/8/1k6/p7/6r1 b - -,a2a1q
r3r1k1/1p3p1p/1R2n1p1/3p4/q2P4/1Q2P3/5PPN/5RK1 w - -,b3d5
1q3rk1/p1rn1pp1/4pn1p/3p4/3P4/QPN2N2/P4PPP/2R2RK1 w - -,c3e2
1r6/5pp1/5k1p/1p1R4/1R6/n7/5PPP/6K1 b - -,b8c8
1r3rk1/1b4pp/p1p1p3/N1R2p2/3P2n1/RP2PB2/5PPq/Q4K2 b - -,b7a8
r3r3/2R5/PR1p1p1k/3P1P2/6p1/p5P1/P7/6K1 w - -,a6a7
r2q1r1k/pQp3pp/3p4/5p2/3P1P2/8/PPP2P1P/2K1R1R1 b - -,d8h4
r1b1k2r/pppn2pp/2nbpq2/3p4/3P4/2PB1N2/PP1NQPPP/R1B1K2R b KQkq -,e8g8
4Q3/1p1P1pbk/6pp/3p4/8/B1N4P/1Pqn1PPN/6K1 w - -,e8e2
1r4k1/p1q2rnp/1np1b1p1/2Q1p3/4P3/1P3PPB/P4B2/1KR3NR w - -,c5c6
r1bqr1k1/1ppp1ppp/p1n2n2/1Bb1p3/4P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -,b5a4
5rk1/1p2ppbp/1p4p1/3P3b/4P3/1Q2BP2/PP1KBPq1/3R4 w - -,e3b6
1rbq1rk1/pp4bp/2n2pp1/4p3/3PN3/2P1B1P1/P4PBP/R2Q1RK1 b - -,e5d4
