8/5n2/8/6k1/6BP/5K2/6N1/8 b - h3,g5f6
2rr4/pb2q1k1/1p3p1p/2p3p1/P2Pp3/2P1P1B1/4QPPP/2R1R1K1 b - -,e7e8
8/6k1/1r6/4RKP1/5P2/8/8/8 w - -,f5g4
8/p6p/1p2k1n1/4p1p1/1P2Pp2/P1K2P1P/6P1/2N5 w - -,c1d3
5rk1/ppp2qpp/2p5/8/2P1p3/3rPP2/PPQ1K1PP/5R1R b - -,f8d8
3n4/4r3/3p2pk/2pP1q1P/1pB2P2/1PbR2B1/7K/3Q4 w - -,h5g6
r3r1k1/ppqn1p1p/2bp1bp1/2p1p3/P3P3/2PPNN2/1P2BPPP/R2Q1RK1 w - -,b2b4
1r3r2/4qpbk/b1npp1pp/p1p5/PpP1PP2/1B1PNnB1/1P4PP/R2QR1K1 w - -,d1f3
5k2/5pp1/7p/3p4/3b1P2/3b1RKP/4Q1P1/6q1 w - -,f3d3
r3rnk1/pp2qppn/2p1b2p/3pNP2/3P2P1/2NBP2P/PP4Q1/R4RK1 b - -,e6d7
r1b1r3/p1n2pbk/2p3pp/1q2p3/NB2P1PP/1P3N2/1PPQ1P2/1K1R2R1 w - -,b4d6
rnbq1rk1/pp2pp1p/6p1/2P5/3p1Qn1/2N2N2/PPP1PPPP/2KR1B1R b - -,e7e5
8/2R1k1pp/N3p3/p2rP3/8/bP5P/2P2PP1/5K2 b - -,e7f8
8/1pr1k3/4p2p/2n2pp1/7P/1B2KPP1/P1PR4/8 b - h3,c7c8
r2r1k2/p3N1p1/5q1p/1p6/3n1P2/Q7/PP4PP/4RRK1 b - -,d4c2
3k3r/1pb1r2p/p3Bpp1/2P5/4RP2/8/PP4PP/4RK2 b - -,h8f8
r2r2k1/pp2pp1p/6p1/2qpP3/8/3Q4/PPP2PPP/R4RK1 w - -,f1e1
8/4R2p/5pp1/p6r/Pp1k3P/5PP1/1K6/8 b - -,h5e5
3rr1k1/pp5p/6pq/4npN1/8/2PB2R1/P1P2Q1P/R4K2 w - -,d3b5
1r6/6pp/8/1PkB1PPP/4P3/8/1b6/3K4 b - -,b8b5
2b3rk/2R5/4r2p/1p2p2Q/1P1q1p2/3P1P2/4RNP1/5K2 b - -,e6a6
1r3r1k/pq4pp/1p2Qp2/8/3PP2n/P2N1P2/1P3K1P/2R2R2 b - -,f6f5
r1b1r3/p2p1k2/1ppR2p1/8/4P3/4NP2/P5PP/2R3K1 b - -,e8e6
3R4/2N2pk1/6pp/1p6/2b4P/1r2nPPB/4PK2/8 w - b6,c7e8
rr6/3n1kp1/4b2p/2p2p2/pRPp1P2/P2N4/1P4PP/2R2BK1 w - -,b4b5
8/6pk/7p/P2Q4/5K2/7P/5qP1/8 w - -,f4g4
2rr2k1/p1q1bppp/1p2pn2/2p5/2PPb3/1QB2NP1/P3PPBP/2R2RK1 w - -,e2e3
8/3n1pp1/3kp2p/p2p1b2/Np1P4/P3P1P1/1P1K1PBP/8 w - -,g2f1
r1k2b1r/1pp1n1pp/pq1pN2n/7Q/2B1p3/6P1/PPPB1P1P/R3K2R b KQ -,g7g6
8/2b2pkp/8/8/2p2P2/3r2PR/4N1K1/8 w - -,h3h5
b1q2bk1/3n1pp1/7p/3p2Q1/1ppN4/1P1P2P1/1BP2PBP/6K1 w - -,g5g4
r3r1k1/ppp2pp1/1q3R1p/8/3P4/1P1N2Q1/1PP1b1PP/R5K1 b - -,b6f6
5k2/1prr3p/pR1p4/5p2/P2K1P2/2P5/6PP/1R6 b - -,f8e7
8/4k3/r1b2p2/p1Rpp2N/P2P2p1/1P2P3/3K1P2/8 w - -,h5g3
2B5/8/5p1p/5Pp1/4p1P1/7P/3k1K2/8 w - -,c8a6
2b3n1/1p3rkp/pR1p1pp1/P1rPq3/2P1P3/3B3P/3QNRP1/6K1 b - -,f7c7
1r1qr1k1/1ppbppbp/2np1np1/p7/P1PP4/BPN1P1P1/4NPBP/2RQ1RK1 b - -,c6b4
5rk1/1bq2pb1/p3p1P1/1p5p/2p1P3/2P1B2Q/PP4B1/2KR4 b - -,f7g6
1k1r3r/pb1qb3/1p2p2p/3pP1pQ/1n1P4/3BB3/PP1N1PPP/2R2RK1 w - -,h5e2
5rk1/1p4qp/p3br2/3pN3/3Pp3/4P1P1/PP1bBP2/R1R2QK1 w - -,f1g2
r2q1rk1/1bp2p2/pbnp1n2/1p2p1p1/P2PP2B/1BP5/1P3PPP/RN1QR1K1 w - -,h4g5
r1bqr1k1/pp2bppp/2n1pn2/8/2BP4/P1N2N2/1P2QPPP/R1BR2K1 b - -,f6d5
6k1/p4pp1/1p1r3p/2rPp2q/P7/1Q3P2/1P3P1P/3R2RK b - -,h5f5
r3k1r1/1b2bppp/ppn1p3/6N1/4P3/2P3Q1/PP1Nq1PP/R1B2R1K w q -,f1e1
1qrr2k1/1b2bpp1/p2ppnnp/1p6/2P5/1PN1B1PP/P2QPPB1/2RRN1K1 w - -,g2b7
r3k2r/2q1bp2/p1bpp3/1p2n1p1/3QP3/P1N4P/1PP1BBP1/1K1R1R2 b kq -,a8b8
3k4/1p6/p1p1pb2/2P3p1/1PKP1pBr/7P/1P6/4R3 w - -,e1e6
8/p4k1p/2p1rbp1/2Pp4/3P1Q2/8/P6P/7K b - -,g6g5
6R1/8/4r3/4pK1p/7k/8/8/8 b - -,e6e7
rnb1kb1r/p4ppp/1q2pn2/1p6/2pPP3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,f3e5
2kr1b1r/pp3p1p/2p2p2/q3n3/8/2P1BP2/PPQ1BP1P/R3K2R b KQ -,c8b8
8/8/8/5kp1/3K2np/8/8/5N2 b - -,f5f4
2kr4/1p3p2/p1p1qb2/8/2p1Q3/2NP3P/PPP2P2/5K1R b - -,c4d3
r2qk2r/pp1nppbp/6p1/1BpP4/4P3/4BP2/PP3P1P/R2Q1RK1 b kq -,e8g8
r4rk1/pp2q1b1/3p3p/2p1n3/2P3pP/P3B1P1/1P3PBN/1Q3RK1 w - -,b1e4
6k1/3p2pp/p1q1p3/2p1Pn2/2P2P2/2B5/P1P2K1P/3Q4 w - -,d1d3
rq3rk1/1bpn1ppp/p2b1n2/Bp2p3/1P1P4/2N2NP1/P1Q1PPBP/R2R2K1 b - -,e5d4
5k2/2R5/p4r2/1p3ppP/8/6N1/P1P2nPK/8 b - -,f5f4
r1b1kb1r/1p3ppp/p7/2Nn4/3N4/5P2/PP1B2PP/R3KB1R b KQkq -,f8c5
r1bqr1k1/1pbn1ppp/2p1p3/p1PpP3/1P3P2/P5P1/1BQNP1BP/R4RK1 b - f3,b7b6
3qr1k1/3n1pbp/3p2p1/p2P4/Nrp1PP2/1b4PP/1P1Q2BK/R1B1R3 w - -,a4c3
r3kn1r/p3qp2/4p1p1/2ppPnN1/Q6p/3R3N/PPP2PPP/2KR4 b q -,e7d7
8/8/2p1kp2/p1P3P1/Pp3P1P/8/4K3/8 b - -,f6g5
r2k3r/pp1b1pp1/2nQ3p/3N4/8/5NP1/Pq2PPBP/5RK1 w - -,g2h3
r2q1rk1/ppp2pbp/3p1np1/4n1B1/3NP3/5B1P/PPP2PP1/R2Q1RK1 b - -,d8d7
4r1k1/5ppp/p2p4/P2P4/1P6/r1bN2P1/2R2P1P/3R2K1 b - -,g7g5
2r4k/p6p/bp2p2q/2ppPp2/3P4/2P1P1Q1/PP4BP/3R3K b - -,c5d4
r4rk1/1pp2pp1/2nqb2p/1Bb1p2n/p3P3/2P2NB1/PP1NQPPP/R3K2R b KQ -,h5g3
2brr1k1/4qp1p/p1p2b2/1p1p2p1/3P4/PP1NP1P1/2R1N1BP/2RQ2K1 b - -,e7e3
r3r1n1/p1q2pnk/1p1b2pp/3Pp1P1/P6P/4BQN1/2P2PB1/3R1RK1 b - -,h6h5
2r1r1k1/5pbp/2p1n1p1/p2p4/1q6/1QN1P1BP/P4PP1/1R3RK1 w - -,c3a4
6k1/1b3p1p/pq1p1np1/3Pr3/1PB1p3/8/3Q1PPP/3RR1K1 w - -,d2d4
3r4/1pk4p/1Rb3p1/P7/1P1p1PP1/8/2R2KBP/1r6 w - -,g2c6
rnbqk2r/ppp2pbp/3p1np1/8/3pPP2/2PB1N2/PP4PP/RNBQK2R w KQkq -,c3d4
6k1/1p1q1p2/2b1r1p1/p3p2p/8/2P1BP1P/1P2RQPK/8 w - -,f2g3
r7/pp3kpp/2n2nb1/2QpBp2/1P1P4/4NP2/P5PP/6K1 b - -,a8e8
rnbqk2r/ppp3bp/1n3pp1/3p4/3P4/1B2BN2/PPPN1PPP/R2QK2R b KQkq -,a7a5
r1bqk2r/1p1pnpbp/p1n1p1p1/2p5/P3P3/2NPB1P1/1PP1NPBP/R2QK2R b KQkq -,c6d4
6q1/kb4r1/1p1Bp2p/pP1pP2P/P1pPpRP1/2P1Nn2/2K5/5Q2 w - -,f1f2
7r/1p2p3/3n1k2/p1p1p1p1/P3P1B1/2PK1PP1/4P3/1R6 w - -,d3c2
3r2k1/1p1b4/2RPp1pp/pN3p2/P7/4P3/1b2BPPP/3R2K1 b - -,d7c6
r4rk1/pp1qppbp/2n3p1/3pP3/3P4/2P2N2/P4PPP/R1BQR1K1 w - -,h2h4
rnbqrb2/2p4Q/1p1k1p2/p1p1pP2/P6N/1PBP2R1/2P2PPP/R5K1 b - -,d6c6
8/p1p3k1/Pp1p1r2/3Pn1p1/1PP1P3/4R1P1/4B3/6K1 b - -,g7f8
r4rk1/pppn1ppp/3p4/3R4/4P1P1/5P2/PPP4P/2K2B1R b - -,d7e5
r3k2r/4npbp/bqn1p1pP/p7/P2pP3/1P1B1N2/2PBNPP1/R2QK2R b KQkq -,g7f6
8/pp1r2k1/2p3p1/4n3/4P1P1/1PN5/P3K3/5R2 w - -,g4g5
8/R5pk/2p1p3/8/3r3p/1P3P2/P3K2P/8 b - -,d4d5
r1bq1rk1/pp3ppp/1nnbp3/2P5/8/1BP2N2/PP3PPP/RNBQ1RK1 b - -,d6c5
r1bq1rk1/pp1n1pp1/3b1n1p/3pp1B1/8/2NP1NP1/PP2PPBP/R2Q1RK1 w - -,g5d2
r4r1k/p1q3bp/2pN1np1/1NP1np2/4p3/BQ4P1/P3PPBP/R2R2K1 b - -,c6b5
8/rq2bpk1/p1n1p1p1/2P1p2p/1PQ1P2P/5PP1/2N1N3/R3K3 w - -,e2c3
r1r3k1/p3qp1p/4p1p1/1P1p4/P1bR4/1B4QP/2P2PP1/1R4K1 b - -,c4b3
3rq1k1/pp3pb1/3r1nNp/n1p1R3/P7/2P3PP/BPQ2P2/R1B3K1 b - -,d6d1
1rbq1rk1/pp2npbp/6p1/3pp3/8/1QNP1NP1/PP2PPBP/R4RK1 w - -,e2e3
2r1r1k1/4bpp1/p3bn1p/q1p1p3/P3P3/B1N2N2/4QPPP/2RR2K1 w - -,f3e5
8/8/p6p/3p4/1P1r1k2/7b/7P/1R4K1 b - -,d4d2
r3r1k1/1ppn1p1p/1qn3p1/p1b1p3/4P3/1PP3P1/1P1NQPNP/R1B2RK1 b - -,a8d8
4k2r/1bq2ppp/p1prpn2/PP2N3/8/2Q1P1P1/5PBP/R4RK1 b k -,a6b5
r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/2NBPQ1P/PP3PP1/R1B2RK1 w - -,f1d1:e3e4:c1d2
r1br2k1/5ppp/pp2pn2/8/3N1q2/1BP1R2P/PP2QPP1/R5K1 b - -,f6d5
R7/8/8/5pn1/6k1/8/1r4K1/8 w - -,g2h1
3r1k2/pQ3p2/5q2/4b3/4R3/P5PP/1P3PK1/8 w - -,b7b4
5rk1/2nq2n1/pb2p3/1p1b1pNp/3N3Q/P1P5/BP4PP/4RR1K w - -,a2d5
6k1/p4p2/2p3pb/7p/P1P4P/1P2NQP1/3q1PK1/8 b - a3,d2d6
r1bqkbnr/1p1ppp1p/p5p1/2p5/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4
6k1/1p1nppbp/p2p2p1/P2P4/2r1PP2/1rN1B2P/RP4P1/2R3K1 b - -,g7c3
r4rk1/1bp1qp1p/1p3np1/p2p2N1/P7/2P1P3/1P2BPPP/RQ3RK1 b - -,f8d8
2rr2k1/pp3pbp/6p1/4P3/5Nb1/4P3/PP2BKPP/2RR4 b - -,d8d1
8/5R1P/8/8/8/4K1p1/6k1/7r w - -,e3f4
4r1k1/1pr1pp1p/p2p1bp1/Pq1P4/8/2P4P/1P1N1PP1/R2QR1K1 w - -,d2e4
r2qr1k1/pp3ppp/1bp2n2/8/3p4/P2P2PP/1P1BPPB1/R2Q1RK1 b - -,f6d5
8/B7/1p2kpp1/3np3/7P/1P5r/PK2R3/8 w - -,e2g2
6k1/2R3p1/p2r1p2/8/P5P1/2Bb2K1/1P6/8 b - -,g7g5
r4rk1/pp2ppbp/1q1p2p1/1bpPn1P1/4P2P/8/PPPBQP2/2RNK1NR w K -,c2c4
3r4/5pkp/p1pNp1n1/4P3/6q1/1P2Q3/2P3P1/2K1R3 b - -,g4g2
3b4/8/8/4pkp1/1p1p4/1P1P1KNP/2P2P2/8 b - -,f5f6
2R5/5Bp1/1r3b2/6kp/8/2n2P2/3R2K1/8 w - -,c8c5
8/5p2/6k1/3R3p/Pp3r2/6RK/7P/r7 b - -,g6h6
r2qk2r/pp1nbppp/2p1pn2/8/3P4/1P1B1QN1/P1P2PPP/R1B2RK1 b kq -,e8g8:a7a5
8/4b3/6pk/2p1Pp2/1pPp1P1p/1P1P1K2/3B4/8 w - -,f3g2
2r3k1/1p5p/3bN1p1/1P6/p3P3/5P2/6PP/3R3K w - -,g2g3
3k4/pp3pR1/3P1p2/5N1p/1P3P2/Pb6/3r3P/6K1 w - -,g7h7
r2r2k1/1bn1bppp/1q1p1n2/p1pNp3/2P1P3/P3BN1P/1PQRBPP1/R5K1 b - -,c7d5
5rk1/1p1q2bp/p4pp1/3p4/3B4/1P1bP3/PQ1N1PPP/2R3K1 w - -,b2c3
5r1k/6p1/7p/8/3Q3P/6P1/1b2RPK1/8 b - -,b2d4
2r1k2r/R2qb2p/2p1npp1/1p2p3/4P3/2QPBN1P/2P2PP1/R5K1 b k -,d7d6
4b3/p3k3/1p5n/2p1p3/2P3pP/6K1/PP3N2/4R3 b - -,h6f5
1r3rk1/pp1b3p/2np1pp1/q3p3/2PpPP2/P2P2P1/1P2N1BP/R1Q2RK1 b - -,b7b5
1k1r1b1r/ppq3pp/2p2n2/P2pp3/2N1P3/BP3Q2/2P2PPP/R3R1K1 w - -,e4d5
3rkbnr/pp3ppp/2p5/1P1q4/Q7/8/P2BPPPP/1R2KB1R w Kk -,d2c3
4rrk1/p1q1bp1p/2bp2p1/2p1nP2/1pP1Pn2/1P2NN1P/PBQRB1P1/R5K1 w - -,a1f1
3r1rqk/3P2pp/6b1/4Q1N1/6PR/4B2P/3R1P2/1n4K1 w - -,d2d6
rnb1kb1r/2qp1ppp/p3pn2/1p6/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq b6,a2a3
2qb2k1/p1r2ppp/1pn2n2/3p4/1P5N/P3P1P1/1B3PBP/2RQ2K1 b - -,c6e5
8/4k3/8/6p1/8/1PK1P3/8/8 w - -,c3d3
8/5r1k/6nr/2pPP1QB/1p5P/5p2/8/6K1 b - -,g6f4
8/R4kn1/7p/3pp1p1/p1rPPp2/P1B2P2/1P3KPP/8 b - -,f7g6
8/5p2/1N2p2p/3b4/3k4/P4r2/1PR4P/6K1 w - -,b6d5
r4rk1/pQ3pb1/7p/5Np1/2q5/3b1BB1/PP3PPP/3R2K1 w - -,f3d5
3r1rk1/5bpp/2n2p2/p1Rp4/q2N4/4P1P1/5PBP/3QR1K1 b - -,a4d1
r3r1k1/5pp1/1pq5/2p5/6b1/P1Q2NPp/1P2PP1P/3RR1K1 w - -,d1d3
8/p3k3/1p2np2/2pB3p/P1P1KP1n/8/1B3P1P/8 b - a3,e6g7
4r1k1/ppp2ppp/4r3/3n1p2/3PN3/2P1RPPP/PP3K2/5R2 w - -,e3e2
4r1k1/1b3ppp/3p4/npq2PP1/2pNn3/2P5/1P1NQRBP/6K1 b - -,e4f6
r1bq1rk1/pp2ppb1/3p1npp/2p5/3P4/2P2NP1/PP2PPBP/RN1QR1K1 w - c6,d4c5
5rk1/2pn4/p3p1q1/P2r2pp/1p1pN3/1P5P/R1P1RPP1/3Q2K1 w - -,d1d3
2rr2k1/p2nqpp1/1p3n1p/1Pp5/2Pp1p2/P3PR2/1BQP1NPP/R5K1 w - -,e3d4
2rr2k1/p1q2ppp/bpn1pb2/8/2PPB3/P4N2/1BQ2PPP/R2R2K1 b - -,g7g6
r1r3k1/pp2ppbp/3pbnp1/q7/2PBP3/2N2P2/PP1QB1PP/R2R2K1 w - -,b2b3
2r3k1/p4n2/1p4pp/3r4/P1P2P2/1R1PP1P1/7P/5RK1 b - -,d5a5
3r2k1/ppq1rppb/2p1p2p/8/1PPP1nP1/P1N1Q2P/3R1P2/3R1BK1 b - b3,a7a6
r1bq1rk1/ppp1bpp1/3p1n1p/n3p3/P3P3/2NP1N2/BPP2PPP/R1BQR1K1 b - -,c7c5
8/6r1/1N1pkpp1/8/1K2P1pP/8/8/6R1 w - -,g1g4
rn1qkb1r/1p2nppp/p3p3/3pPb2/2PN4/4B3/PP2BPPP/RN1Q1RK1 b kq c3,b8c6
r1b1k1nr/ppp2ppp/3p4/8/2B1PP1q/2P5/P1P3PP/R1BQK2R w KQkq -,g2g3
5k2/2R5/5b2/8/5N2/7K/2p1r3/8 b - -,e2d2
5r2/qpr1p1kp/p4ppn/2PPn3/1Q2P3/N4P2/P3B2P/1RR3K1 w - -,b4b6
3r2qk/p6p/3r4/1b1p1RQp/1P3N2/5P2/P5P1/4R1K1 w - -,g5g8
1r1kr3/Rbpn1ppp/6q1/1NpP4/1P6/5P2/3QB1PP/3R2K1 w - -,b4c5
3r1rk1/3b1pp1/1p1n1q1p/p2BR2P/8/Q4N2/PP3PP1/4R1K1 b - -,f8e8
rnbqkb1r/pp3ppp/4pn2/2p5/2pP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,c5d4:b8c6:a7a6:b8d7
8/1k3r2/1R4RP/1P6/6K1/8/8/7r b - -,b7a7
r1r3k1/2q1bppp/1n2p3/p1p1P3/PpP1Q3/1N1R2P1/4PPKP/R1B5 w - -,c1e3
1r4k1/2n1p2p/3p2p1/2pPPr1n/4Q2q/1PNN4/P5PP/2RR2K1 b - -,h4e4
r1q2r1k/1bp1n2p/p4b1P/1p1pNp1R/3P1Pp1/2NBP3/PPPQ4/2KR4 w - -,c3e2
1rr5/q2k1bp1/2pp1p1p/1pb1pP2/p1PnP1PP/2NPB1K1/PP3Q2/2R1RB2 w - -,g4g5
rnbqkb1r/ppp1p2p/3p1np1/5p2/2PP4/2N5/PPQ1PPPP/R1B1KBNR w KQkq -,e2e4
1r1q1r1k/6pp/2np2b1/p2Np1b1/R7/1PPBN3/5PPP/3Q1RK1 b - -,g6d3
r3r1k1/1b2bppp/pq6/4BR2/4P3/3B4/PPQ3PP/R5K1 w - -,g1h1
5Q2/qr4pk/3p3p/3Np1pP/2P1P3/4b3/8/5B1K w - -,f8f5
5r2/8/6p1/1P6/2K1N1k1/6Rp/P7/8 b - -,g4f4
q1r1r1k1/1b3pbp/2N2np1/1PpP4/4p3/1QN4P/P3B1P1/2R1R1K1 w - -,c3a4
1r1r1qk1/p4p1p/4pbp1/2R2n2/2BPQ3/P3B3/5PPP/2R3K1 w - -,c5c7
8/5p1p/4k1p1/1r1p4/1P1R4/2K3P1/5P1P/8 b - -,b5b8
4r3/p7/3nP3/2p5/2P2knp/P1K5/3N2P1/4R3 w - -,e1h1
r2qrbk1/pp3ppp/2n1bn2/3p4/1P6/P1N2NP1/1B2PPBP/2RQ1RK1 b - -,d8e7
3r2k1/4b2p/p3ppb1/1p2p3/8/P3B3/1P2N2P/4KBR1 b - -,d8d3
2kr3r/pp3p2/1qp1pn1p/6p1/3P4/3Q1NP1/PPP2PP1/1R3RK1 w - -,c2c3
8/3R2kp/8/1pB3p1/5n2/2P2p2/r6P/5K2 b - -,g7g6
r2qrbk1/1bpn1p2/p2p1npp/1p1Pp3/4P3/PBP2Q1P/1P3PPN/R1B1RNK1 b - -,h6h5
8/8/2Nk4/1p6/p5n1/P7/1PK3B1/8 w - -,g2f3
8/p3b3/1p3p2/7b/2k1p3/P2pBP2/1P2n1PP/2NR3K w - -,g2g4
8/5pk1/p4r1p/p1Np2p1/3P1P2/2P3Pb/4R2P/6K1 w - -,g1f2
3r4/1b1rbkn1/p3p2p/1p2P1p1/1P1PNp2/P1N5/5BPP/3RR2K b - b3,g7f5
3r2k1/3Ppp1p/1p4p1/p1RPN3/1b6/3K4/P4PPP/7R b - -,b4c5
2rr4/p1nbq1bk/1p1n1ppp/2pPp3/P1P1P1P1/1P1NQN1P/1B4B1/4RRK1 w - -,e3f2
