5R2/3r4/4b1K1/1p1k3p/1B5P/P4P2/8/8 b - -,d7c7
r2q1rk1/ppp1pBb1/2n4p/2Pp4/3P1PPB/1P3N1P/P1Q5/R3K2R b KQ -,f8f7
r2q1r2/1b2ppkp/p1np1np1/2p5/2P5/1PN2NP1/P3PPBP/R1QR2K1 b - -,a8b8
5n2/1BB2pk1/p2Pp1p1/P7/1P3p1b/7P/6K1/8 b - -,e6e5
3r2k1/5pp1/1q2p2p/pP1pP1b1/Pp6/1N5P/1Pr1QPP1/3R2K1 w - -,e2c2
1r4k1/p2n1ppp/2pNb3/8/3PBQ2/Pr1q2P1/5P1P/R3R1K1 b - -,d3a6
8/4kp2/5Rp1/4PP2/6KP/8/8/5r2 b - -,f1g1
rnb1k2r/1p1p1ppp/p3pn2/8/3NP3/2q3P1/P1P2PBP/R1BQ1RK1 w kq -,c1f4
3r2k1/pp3p1p/2n1rppB/3p4/2PP4/1P5P/P4PP1/R2R2K1 w - -,a2a3
r4rk1/ppqnBppp/2n1p3/3p4/3P2b1/1QPB1N2/PP1N1PPP/R3R1K1 b - -,c6e7
r4rk1/ppp2ppp/2nbbq2/3pp3/1P2Pn2/2PP1N2/P1QN1PPP/R1B1RBK1 w - -,a2a3
5r2/pp3pkp/3p1n2/2pP2p1/2P5/P4P2/1P1KB1PP/7R b - -,h7h6
R7/3bk1p1/2n2p1p/3pPP1P/2pP2P1/2N5/2PK4/6r1 w - -,c3d5
6k1/3b1pp1/3p1b1p/1p1Pp3/1nr1P3/1N3N1P/qP1Q1PP1/3BR1K1 w - -,b3c1
2b3k1/5pp1/p1q4p/2PpP3/1B3P2/P2Q3P/6PK/8 b - -,c8b7
3r2k1/1b2qpbp/p2rp1p1/Pp1p4/1PnP4/1QBNP1P1/4RPBP/3R2K1 w - -,f2f4
3rr3/p1k2p1p/2n1bp2/3B4/1q1P1N2/2R3P1/P1PQ1P1P/K3R3 b - -,e6d5
3rr1k1/p4ppp/1p2pnq1/8/1PPbb3/P3N1Q1/4BPPP/2BRR1K1 b - -,g6g3
r3r1k1/1b1nqpp1/pp1bpn1p/2p1N3/3P4/P1NB4/1PP1QPPP/2BRR1K1 w - c6,e5d7
5r2/2b2k1p/1p2p1p1/1R1p4/2PP1P2/6P1/P2B3P/K7 b - -,d5c4
3r3k/pp4p1/1bn1pr1p/8/2B5/P3P1B1/1PR3PP/4R1K1 b - -,c6e7
r1bqr1k1/1p1nppbp/p4np1/3p4/8/1PNP2P1/PB1NPPBP/R2Q1RK1 b - -,d7f8
r1r1b1k1/pp2bpp1/3ppn1p/q4PB1/3NP3/2NQ4/PPP3PP/1K1R3R w - -,g5h4
7r/1p2kppn/p1rpp2p/3Q2P1/5P2/4B3/1PP4P/2KR3R b - -,e6d5
2b1rbk1/7p/pq4p1/1p1Pnp2/1Pp5/2P4P/P1B2PPN/2QR1NK1 b - b3,c8d7
8/8/7r/2Nk1p2/1P6/2K1P3/2N5/8 b - -,h6h3
r1bk3r/1p1nq3/p6p/5R2/6Bp/8/P1PQ2PP/1R5K b - -,h8e8
r4rk1/p4pbp/3p1np1/q1nPp3/4P3/PpN2NPP/1P3P2/R1BQRK2 b - -,f8c8
1n2k2r/1p1rbp1p/p2p1p1q/4pP2/4P3/1N6/PPP1BQ1P/1K1R2R1 w k -,b3a5
r1bqr1k1/1ppn1pbp/3p2p1/pN6/N1P1n3/1P2P2P/P3BPPB/2RQ1RK1 w - -,e2f3
r3r1k1/pp2qpp1/5n2/1PR1b2p/3Np3/1Q2P1Pb/PB2BP1P/2R3K1 b - -,f6d7
3qr3/pr1b1pkp/3Q1np1/4p2P/2p1P1P1/2N2P2/P1P1N3/2KR3R w - -,h5h6
2r5/p1r1k1Q1/1p2p1P1/3pPq2/3P4/7P/1P1B4/6RK b - -,e7e8
8/3n4/1p3k2/1K5p/8/P3N1P1/8/8 b - -,f6e5
r1bq1rk1/pp2nppp/4pb2/3n2N1/3P4/3B4/PP1BNPPP/2RQ1RK1 b - -,g7g6
8/2r2pk1/4pn1n/4N3/3P2p1/3BP1P1/R4PK1/8 b - -,c7c1
5k2/B7/8/5PRp/5r2/P7/1P1Kb3/8 b - -,e2g4
r3k1nr/pppq1pp1/2nbb2p/P2pp1P1/1P6/2PP4/4PPBP/RNBQK1NR b KQkq -,a7a6
4r3/5p1k/6p1/pp1b4/4q2p/2P1B1QP/1P3PP1/3R2K1 w - -,g3g5
r4q1k/2p5/p5p1/4p1p1/4Q3/2P5/PPB2rP1/3RR1K1 w - -,e4g6
8/5p1k/q6b/5N1Q/8/8/5P2/6K1 b - -,a6g6
r1bq1rk1/ppp1bppp/2n2n2/3pp3/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 w - -,c4d5
4r1k1/1p4b1/1P1p2n1/p1pP2q1/P1P1p1Pp/B3P2P/2Q2P2/2R1R1K1 b - -,g5f6
8/1pQ3bk/1P3qp1/p2p4/8/6P1/P3R1K1/8 w - -,c7b7
r4r1k/3n1pp1/pnp4p/4P3/3P4/NN6/1P2R1PP/5RK1 b - -,a8b8
rn2r1k1/pp2qpp1/2p4p/5b2/3Pp3/P2BP3/1PQN1PPP/R3K2R w KQ -,d3e2
8/5k1p/p1p2np1/Pp1b1p2/1P1P1P2/5B2/1B2K1PP/8 w - -,b2c3
r2qr1k1/pp1b1pbp/n2p1np1/2pP4/4PB2/2NB2NP/PP3PP1/R2Q1RK1 b - -,d8b6
r3q3/2p2r1k/2Np2nb/1NnPp3/2P1P1p1/5pP1/2Q2B1P/RR4K1 w - -,g1f1
2rq3k/1p3Bp1/7p/2P1R2P/8/1Q1bR1P1/P2r1P2/6K1 b - -,d3c2
8/pk6/1p6/3Q2p1/3Pnq2/1PP5/P7/1KR5 b - -,b7a6
r3k2r/ppqnn1pp/2pbQ3/3p1N2/3P4/2PB3P/PP3PP1/RNB3K1 b kq -,d6h2
2q3k1/1ppb1r1p/p2pp1r1/5p2/2PP1PPQ/P1BB1P2/1P6/2K4R b - -,c8f8:g8f8
2b3r1/2r2k1p/p1n1p3/1pNpPp2/1P3P2/P1P2B2/6RP/1K2R3 b - -,g8g2
1rb2rk1/ppq2pb1/2np1npp/2p1p3/3PP3/P1P2NPP/1P1N1PB1/R1BQR1K1 b - -,b7b6
8/8/8/q2N1p2/P1p4k/4PBp1/1P6/1K4R1 w - -,d5e7
8/p7/1p6/4k3/r5P1/P1N1KP2/8/8 b - -,a4a3
r1b1k2r/pp4pp/2nRpp2/8/2P5/5NP1/PP2BP1P/R5K1 w kq -,c4c5
r2q1rk1/pp1n1ppp/2p1pn2/7b/PbNP4/2N3P1/1P2PPBP/R1BQ1RK1 w - -,f1e1
B5k1/5ppp/8/8/2b2P2/1N4K1/5P2/8 w - -,b3d2
r1b2rk1/3nqpb1/pp1p1n1p/2pP2p1/PP6/2N2NP1/3BPPBP/1RQ2RK1 b - -,f8e8
r2qrbk1/1b1n1ppp/p1pp1n2/1p2p3/P2PP3/2PB1N1P/1PQN1PP1/R1B1R1K1 b - -,a8c8
3qkr2/1p2bpQp/3pb1p1/1p1N4/1N6/4P3/PP4PP/5RK1 b - -,d8c8
2rr2k1/pp2bp1p/2b1pp2/8/8/2P1B1P1/PP3PBP/R4RK1 b - -,c6g2
r1b2rk1/p1q1ppbp/2p1n1p1/3p4/3P4/PP3N2/1BP2PPP/R2QRNK1 w - -,b3b4
3n1bk1/7p/2p1p1p1/1N2Pp2/5P2/1P1r4/5BPP/R5K1 w - -,b5c7
r3k2r/pppq1pp1/2npbb1p/8/6P1/2P1BN1P/PPPQ1PB1/2KR3R b kq -,e8c8
3r2k1/p3bpp1/1p2pnp1/2n1B3/7P/1P2NNP1/P3PP2/2R3K1 w - -,b3b4
r1bqk2r/pp1nbp1p/2p3p1/3p4/3P4/2NBP1P1/PPQ2PP1/R3K1NR b KQkq -,d7b6
2kr3r/pp3pp1/2p1p1p1/2Pn2P1/3PNn2/1B5P/PP3P2/2KR3R w - -,e4d6
5rk1/p4ppp/2p1p3/1r1qQ3/1nN5/8/1P4PP/2K1RB1R w - -,e5d5
r1b1r1k1/1pq2p1p/2pp1b2/p2PppP1/2P5/4B3/PP1QB2P/R3K2R w KQ -,g5f6
8/p1k2pp1/5p2/1Pp1b3/8/1P6/P3KPP1/4R3 b - -,c7b6
2r2k2/p2q2pp/2n2p2/7P/P1B2P2/Q3R1P1/8/6K1 b - -,c6e7
r4r2/1pp1qpbk/p2pbnpp/8/2PnPP2/2N1B3/PP1QB1PP/4RRK1 w - -,e3d4
r4rk1/pb1pqpb1/6p1/n1pBp3/Pp2P3/1P1P2N1/2P2PP1/R1BQK2R w KQ -,g3f5
r2q1r2/4npbk/1p2N1pp/p1p5/2P5/PPNP2P1/3B1PbP/1RQ2RK1 b - -,f7e6
1n1r2k1/2R1Rp1p/5rp1/p2P4/5p2/8/1P2B1PP/6K1 b - -,g8g7
2r1k2r/pbq1bpp1/1p1ppn2/7p/4PP2/1NNP4/PP1BQ1PP/4RR1K w k h6,b3d4
r1bq1rk1/pp1nppbp/2n3p1/8/2Pp4/3BPN2/PB1N1PPP/R2Q1RK1 w - -,e3d4
r2q1r2/p3ppkp/bp3np1/3p4/3P4/1B3P2/PPPQN1PP/R4RK1 w - -,f1e1
r1bq1rk1/1p3ppp/2pp4/p1nPn3/2PNPR2/1PN5/P1BQ2PP/R5K1 b - -,d8e7
2r5/3nqb1k/p6p/3pp3/4pP2/1P4QP/2PR2PK/4RB2 w - -,c2c4
1r6/1pq2pk1/p2p2pp/2p5/2P5/1P1Qb2P/4P1B1/5R1K b - -,e3d4
8/pp4bk/4Q2p/3p1N2/8/1P1p1P1P/5K2/2q5 b - -,c1b2
4rk2/1p6/p3q3/3R1p1Q/2P5/P4P2/KP6/8 b - -,f8e7
r2qr1k1/pb1n1pbp/3p2p1/2pP4/Pp2P1n1/5NP1/1P1N1P1P/1RBQRBK1 b - -,a8c8
6k1/Np1b1p1p/5np1/2r5/4p3/4P2P/PR2BPP1/6K1 b - -,d7e6
5bk1/p5p1/4p2p/1p2q3/6PP/1P5K/P2N1Q2/8 b - -,f8c5
5k2/R5pp/8/2p5/pr3P2/4P1P1/5KP1/8 w - -,f2f3
8/8/8/2p1R1k1/8/1P3P1K/P4R1P/3r2r1 b - -,g5f6
r2q1k1r/pp2npb1/2pp2pp/3P4/Q2pP3/3P2P1/PP1B1PBP/R3K2R w KQ -,d5c6
r4k2/1b6/1q3r1p/pn1pBP1B/1p3Q2/1P4PP/P1R1R2K/8 w - -,e5f6
r3k2r/pp3ppp/2p5/3Pp3/1bPq4/1Q1B1P2/PP3P1P/R4K1R b kq -,b4c5
3r3r/4q1bk/1pp1bp1p/p1p1p2N/P2PPp2/2P2N1P/1P2QPP1/R3R1K1 w - -,a1d1
N2r1bk1/1p3ppp/p1npq3/4p3/2P1P3/1P4P1/PB1Q1PKP/R4R2 b - -,d8a8
2R5/5ppk/3p1b1p/8/1P2p2P/1R4r1/P7/5K2 b - -,e4e3
r1b3k1/3p1rpp/p3p3/5p2/P1nQ4/1P6/5PPP/B5K1 w - -,b3c4
5r1k/p5pp/2p1B3/1p3b2/3R1P1b/2P4P/PP5K/5R2 w - -,e6f5
6k1/4r2p/2q3p1/pp6/5Q2/2p2RP1/5P1P/6K1 b - -,c6e8
5Q2/1pp4k/p2p2p1/3Pn3/6q1/4B3/PPP2PP1/2K5 w - -,f8e7
r2qkb1r/p2n1ppp/bpn1p3/2ppP3/3P1P2/2P2NP1/PP2N2P/R1BQKB1R b KQkq -,a6e2
r2r2k1/ppq2ppp/4pn2/4N3/bPPb4/P5P1/1B2QPBP/R1R3K1 w - -,b2d4
8/5k2/4p2p/5pp1/5P2/2R1K1PP/r3P3/8 b - -,f7f6
7r/4kpp1/1n1p4/3R1P2/3Pp2q/2P1P3/4Q1P1/5NK1 w - -,d5b5
r4rk1/ppn1nq1p/5ppb/3p4/3P1P2/2NNBQ2/PP4PP/2RR2K1 b - -,e7f5
6r1/1Q1bq1pk/1p6/b1p1Bp1p/2P2P1P/3R2P1/4PK2/8 w - -,d3d7
2r1r1k1/pp3ppp/2p1b3/8/PP1qpP2/4N1P1/2Q2P1P/R1R3K1 b - -,d4d3
rnb2rk1/p4ppp/1ppb4/3p4/3P1N1q/2NBP3/PPQ2PPP/2KR3R w - -,c1b1
r3k2r/3qbppp/ppnppn2/2p5/P3PB2/2NP1N1P/1PP2PP1/R2QR1K1 b kq -,e8g8
r2q1rk1/1pnbp1bp/p2p1np1/P1pP1p2/2P5/1PB2NP1/1Q1NPPBP/R4RK1 b - -,a8b8
8/1R1N1pk1/3bp3/3n4/5P2/5K2/8/8 w - -,d7e5
2b2rk1/p5pp/4pp2/2R5/2B5/r1P3P1/P4P1P/3R2K1 b - -,g8f7
1rbq1r2/4npkp/p2p2p1/1p2p3/2PpP3/1P1P2P1/P2QNPBP/3R1RK1 b - -,c8e6
rnb2rk1/ppq1ppbp/2pp1np1/8/1PPP4/2N1PN2/P3BPPP/R1BQ1RK1 b - b3,e7e5
8/6kp/3p4/1B1P4/p2Rn3/P1P4P/1PK2p2/4r3 b - -,g7f6
3rr1k1/pbq2pp1/1ppbpn1p/8/2PP4/1P1Q1N1P/PBB2PP1/3RR1K1 w - -,f3e5
rn1q1rk1/5pbp/3ppnp1/2pP4/4PP2/2N3P1/PP4KP/R1BQ2NR w - -,d5e6
r1b1qrk1/1pp3bp/2np1np1/p3Pp2/2P5/P1N2NP1/1PQ1PPBP/R1BR2K1 b - -,c6e5
b1rr1bk1/p1n2p1p/2pRp1p1/2N1P3/P7/2p4P/1P2BPPB/R5K1 w - -,b2c3
8/p1n4p/1pBb1pk1/2p3p1/P3K3/1P4P1/1B3P1P/8 w - -,h2h3
