8/4kp2/6p1/p5Pp/Pr5P/1PR3K1/8/8 w - -,c3d3
1rb5/1p2k2p/1Nn2p2/p1p1pP2/P3P3/2P3P1/6BP/3R2K1 w - -,g2f1
8/8/8/5bk1/1R2rpp1/8/3B1K2/8 b - -,g4g3
2n3k1/pr4p1/2N4p/R7/3N1P2/4K1P1/P6P/3b4 b - -,b7b2
3q1r1k/pp3p1p/5p2/2pr1Q2/2P2P2/P6P/1P4P1/5RK1 w - -,c4d5
rn1qkb1r/ppp1pppp/5n2/3p4/3P2b1/3BPN2/PPP2PPP/RNBQK2R b KQkq -,b8d7:c7c5:e7e6
r5k1/1b1nq2p/1ppbp2r/p2p1p2/P1PPnP2/1P1B1NP1/1B2Q2P/1NRR2K1 w - -,d3e4
r1b2r2/2R1Qpk1/1p1R2p1/4p1q1/PP2P2p/1B1KNPP1/7P/6n1 b - -,g5e7
4r3/8/1p6/7p/pn2P3/1k3PP1/1P1R1K2/3N4 b - -,b6b5
1nbqnrk1/r5bp/pp1p2p1/2pPp1P1/P3P3/2N1B1NB/1PP2P2/R2Q1RK1 w - -,h3g4
2N5/p2k2pb/2p4p/8/3P4/8/P4K1P/8 w - -,c8a7
r1bq1rk1/ppp2pb1/nn2p1pp/3P4/4PB2/P1N2NP1/1P3PBP/R2QK2R w KQ -,e1g1
6k1/4pp1p/R5p1/Br1nb3/N7/1P4P1/P3PP1P/6K1 w - -,g1f1
r4rk1/p5pp/1p1qp3/3b1p2/8/3B2P1/PP2QP1P/2R1R1K1 w - -,d3c4
rnb2rk1/ppq1p1b1/7p/3pP1p1/3P4/2PB2Q1/P4PPP/1RB1K2R w K -,e1g1
r4rk1/1p4p1/7p/1P1ppq2/P5Q1/8/3B1bPP/R4R1K w - -,g4e2
8/pp2rpkp/3R2p1/4p1P1/8/2P1P2P/PP6/2K5 b - -,h7h6
r3k3/1b2qpbN/1p4p1/p1n5/2n2B2/2P3PP/PP3PB1/R2Q2K1 w - -,g2b7
r1q2rk1/2n1bppp/1B1pb3/pB2p1P1/Pn2P2P/1NN2P2/1PP5/2KRQ2R b - -,c7b5
3r4/1p4k1/p1p2Rbp/2P3p1/8/1P2r1N1/P5PP/5RK1 w - -,f6f7
8/5k2/2r5/5PK1/1p1B3R/8/8/3b4 w - -,h4h7
2r3k1/3Q3p/p2p4/2bbqp2/2R1p3/2P5/PP2N1B1/1K6 b - -,d5c4
8/5p2/5k2/3p1p1p/5P2/br2B2P/2R1K1P1/8 w - -,e3d4
8/p1R1kp2/8/3P1K2/2P5/6r1/8/8 b - -,e7d6
4r1k1/2p2pp1/p1p4p/4Bq2/4pPb1/P1P1Q3/1P4P1/4R1K1 b - -,e8e6
r3k2r/pp1qbpp1/2n1p2p/3pP2P/3P1P2/3QB3/PP4P1/RN3RK1 b kq -,c6b4
r1bq1r2/1p2bkpp/p3p1n1/4P3/2pPBP2/2P2QP1/PP5P/R1B2RK1 w - -,d4d5
8/p7/1p6/5k1B/1Pb3pP/P4p2/3K1P2/8 b - -,f5f4
8/8/4p3/5p2/3Pk3/2B1P3/4K3/2r5 w - -,c3d2
rn2kb1r/ppqb1pp1/4p2n/2ppP1BP/3P3P/2N4R/PPP2P2/R2QKBN1 w Qkq -,c3b5
3r2k1/pb3pp1/1p3n1p/7q/2PNp3/P2rPP2/2Q2BPP/R3R2K b - -,f6d7
3r2k1/1pqr1pp1/p3pnp1/2n5/2P5/1P3NN1/P1Q2PPP/3RR1K1 b - -,c5d3
r4rk1/2p1np1p/1pqpnbp1/p3p3/P1P1P3/1PPNB1N1/2Q2PPP/1R1R2K1 b - -,f6g7
3r4/8/5pk1/8/pR3pp1/P1P5/1P2B1K1/8 b - -,g6g5
5rk1/3n1ppp/pp2p3/3qP3/8/1P4P1/PQ3PNP/4R1K1 b - -,f8c8
8/8/4p3/R4pk1/3P4/5K2/p4P2/3r4 w - -,a5a2
r4r1k/1p2Nppp/p3bn2/3p2B1/8/2N2P2/PPP3PP/1K1R1B1R b - -,f8d8
r4rk1/pbqnbppp/1pp1pn2/6N1/2PP4/2N3P1/PPQ2PBP/R1BR2K1 b - -,f8e8
5r2/p1r1q1k1/1p1bp1p1/5pRp/3P3P/3BQRP1/PP3PK1/8 b - -,f8f6
1r1q1rk1/1b3ppp/pP1p3b/3Np3/2BnPP2/N7/PP4PP/R2Q1RK1 w - -,f4e5
r2qr1k1/ppn2ppp/2pb1n2/3p2B1/3P2PP/2NQPP2/PP2N3/2KR3R b - h3,a7a5
3r1b2/7k/6pp/5p2/p1N1q3/1P1nB2P/P3Q1PK/3R4 w - -,e2f3
8/p4rk1/5q1p/2p1R1p1/8/1P4P1/P4P2/4Q1K1 b - -,f7c7
3rr1k1/pR1Nqb1p/2p2pp1/4p3/P2P4/2P4Q/5PPP/4R1K1 w - -,d7c5
r3r1k1/pp1b1qpp/4p3/n3Pp1P/2B5/2P5/P3QPP1/R1B1R1K1 w - -,c4b5
r1bqr1k1/pp1nbppp/2p2n2/3pN3/3P1B2/P1NB4/1PPQ1PPP/R4RK1 b - -,d7f8
r5k1/p4npp/1p6/4p3/PNn4P/4P3/5PP1/2BR1K2 b - -,a8d8
1r3qk1/5ppp/3R4/1b6/8/1Q3B1P/P4PP1/4R1K1 b - -,f8d6
r2qk2r/pp1b4/1nn1pb2/3pN2p/3P2p1/1B2B3/PP1N1PPP/R2Q1RK1 b kq -,c6e5
r1b3k1/pp2b1r1/1q2p1Q1/3pP3/8/1N2R3/PP3PPP/R5K1 w - -,g6e8
r1b3k1/1p5p/p5p1/8/3PpR2/1NP5/PP4PP/6K1 b - -,e4e3
3rr2k/1pQ3pp/p1n5/3N2P1/1bp2P2/3bB1K1/1q4BP/3R3R w - -,e3b6
r2q1rk1/1p2bppp/p1bppn2/8/P2QPP2/2N1BB2/1PP3PP/R4R1K b - -,a8c8
r2qk2r/pp3ppp/4p1b1/3pP3/6P1/P4B1P/1PP1QP2/R3K2R w KQkq -,h3h4
8/1R3pk1/7p/6pP/5rP1/6K1/8/8 w - -,b7a7
5R2/6p1/3k4/P3n3/1r2P3/5BK1/8/8 w - -,a5a6
r5k1/1pp3pp/1n1pbbq1/8/2PPR3/rPB2NP1/1Q3P1P/4R1K1 w - -,e4e6
rn3rk1/p1p1nppp/1p2p3/3q4/3PQ3/P1B2P2/1PP3PP/R3K1NR b KQ -,b8d7
r1r3k1/4ppbp/6p1/8/1B6/3R1P2/P1P3PP/2K4R b - -,a8a2
6k1/4rp1p/p2b1pb1/1p1Q1B2/3P3N/1R4PP/P1P2PK1/4q3 b - -,e7e2
r4rk1/pp2ppbp/2n3pn/1N6/2BPN3/4B3/PPb2PPP/R4RK1 w - -,e4c5
4rrk1/pppbq1pp/n2n4/3Ppp2/1P6/P1NB4/1BPQ2PP/R3R1K1 b - -,e7f7
8/ppr2k2/3npr1p/3p2p1/8/2PB1P2/PP4PP/3RR1K1 w - -,e1e5
r1bq1rk1/pppnppbp/3p1npB/8/3P4/2N2N2/PPPQPPPP/R3KB1R w KQ -,h2h4
q4b1k/P5p1/1p3n1p/4p3/4N3/5Q1P/5P1K/R7 w - -,e4d2
3rqr1k/pb2pp1p/1pn1n1pb/1B2P3/QP6/2N2NBP/P1R2PP1/3R2K1 b - -,a7a6
2r1r1k1/5p1p/p4bp1/3pB3/3N1P2/PP2P2Q/3p2PP/2q2RK1 w - -,e5f6
3q2k1/pp3ppp/2r5/2p5/8/P3Pb1P/1P2QPP1/R5K1 w - -,e2f3
8/3b4/p2ppkp1/1p6/1P1PP2p/P1K4P/6P1/5B2 b - -,f6g5
3r2nr/ppknb2p/2p2pp1/4P3/2P1N3/7B/PP1BPP1P/2KR2R1 b - -,d7e5
3r2k1/p2r1p2/1pb1pbp1/4P3/3B4/2P5/3R1PP1/4R1K1 w - -,e5f6
r1b1k1nr/1p1nq2p/2p2pp1/p1b1p3/P1B1P3/5N2/1PPBNPPP/R2QK2R b KQkq -,c5f2
1k2r3/p1pr1pb1/1np3p1/8/1P3P2/P3P3/2RP1R2/2B3K1 w - -,c2c6
2b4k/2q1b1pp/p7/4pp2/2p5/P1P2P2/1PN2BPP/3Q2K1 b - -,c8b7
2r5/p3r1kb/8/N1p2ppp/2P1p3/3nP2P/P3NPP1/1R1R2K1 w - -,e2c3
rn1r2k1/1q3pp1/pp1ppn1p/8/1PPN4/4QNP1/P3PPKP/2RR4 w - -,a2a3
8/pr3k1p/3B4/2P2pp1/4b3/2r5/P2RRKPP/8 w - -,d2b2
2r3k1/p3qpp1/1p1np2p/7R/3P1NPP/3QP3/P4PK1/8 b - -,c8c1
1k1rr3/pq3pp1/1np1p2p/3nP2P/4Q3/6P1/PP1BNP2/2KR3R w - -,h1h4
3rr3/p1p3pk/1p4np/1P5q/2NBpn2/P3Q3/3PPP1P/2R1R2K b - -,e8e7
r1bq1rk1/pp3pbp/2n2np1/2p1p3/8/2P1PN2/PP1NBPPP/R1BQR1K1 w - -,e3e4
r4rk1/pbq2pp1/1p1bpn1p/4N3/5PP1/3B4/PPPBQ2P/2KR2R1 b - -,f6d7
2r3k1/1p3ppp/8/3p4/b2P4/2B3P1/1P3P1P/5RK1 b - -,f7f6
6k1/1pP5/4qQp1/p2p4/2n5/1B5P/PP3PP1/6K1 b - -,e6f6
1r5Q/p1k1n1p1/p1R1p3/P7/3p4/8/5PPP/6K1 b - -,e7c6
8/3k4/2pr2p1/5pKp/8/8/2R3PP/8 w - -,h2h4
2r3k1/5pp1/p3pn2/1pB1N2p/nP2P3/P4KPP/8/2R5 b - -,c8c7
8/p3pp2/1p1p1k2/P2P1p2/3R1P2/1PP2r2/3K4/8 b - -,f3f2
r4k1r/p1q1nppp/np2p3/2ppP3/P2P2Q1/B1P2N2/2P2PPP/R3K2R w KQ -,e1g1
8/8/K7/1pn5/k7/8/8/4B3 w - -,a6b6
3r1k2/1p4p1/p7/5B1p/PP6/4rP1P/2K3P1/3R4 b - -,e3e2
1k6/p7/1p6/2P5/3p4/P2P1RP1/4r2P/2n2NK1 b - -,b6c5
5k1r/p2Rn3/2p2b2/4p2p/8/6B1/PP3PPP/2K5 w - -,f2f4
r3r1k1/ppp2ppp/2n1b3/3p2N1/3P4/2PB3P/PP3PP1/R4RK1 b - -,h7h6
r2qr1k1/1b3p1p/pppp1bpB/3P4/P2pP3/3B3P/1PPQ1PP1/R4RK1 w - -,d5c6
r1r2bk1/3q1p1p/p1pp1npB/8/3NP3/1P3P2/P2Q2PP/2RR2K1 b - -,f8h6
r1bqk2r/p2n1ppp/1ppbpn2/3p4/2P5/1PN1P1P1/PB1PNPBP/R2QK2R b KQkq -,c8b7
5rk1/2q3pp/5p2/p1N1r3/8/2R3P1/bPQ2P1P/4R1K1 w - -,e1d1
3bk3/1b4p1/4Bp1p/1p2pP2/1p2P1PP/P3BK2/8/8 w - -,a3b4
k1qr3r/2pb1p2/p2p3p/Q1p1b1pP/4P3/1P2BP2/P1P1N1P1/1K1R3R w - -,e2c3
4r3/1p1b4/6kp/p2p2p1/P2N2P1/1P3P2/2P2K2/7R w - -,d4e2
6k1/3r1pb1/pN1P1p2/6p1/2p5/4r2P/P5P1/2R2RK1 b - -,d7d8
r2qkbnr/pp1b1ppp/2n1p3/2PpP3/8/4BN2/PPP2PPP/RN1QKB1R w KQkq -,c2c3
5n2/pp2qnk1/2p2pp1/4p3/P3P1N1/1P2Q1P1/1BP2PK1/8 b - -,e7e6
2r4k/3R4/7K/6P1/8/8/8/8 b - -,h8g8
r1bq1rk1/1pp1ppbp/p1n2np1/8/P1pP4/2N1PN2/1P2BPPP/R1BQ1RK1 w - -,e2c4
r1r2nk1/1p2pp2/2p3pp/1pnP4/4P3/P1P1BP2/2BR1PKP/3R4 b - -,c5a4
1R6/7r/4pR2/3pP1k1/2p3P1/2P2P2/7r/6K1 b - -,h2c2
2rq1rk1/p5pp/bp6/2b2p2/3P2Q1/PP4P1/1B3KBP/2R1R3 w - f6,g4d1
8/pp2n1p1/2k5/4pp2/2P5/6PP/PP1N1P2/5K2 b - -,c6c5
r2q1rk1/4p1bp/1p1n1pp1/2pP3n/4P2Q/2N1BP2/BP3P1P/R4RK1 b - -,g8h8
r1r5/7p/2Pk1pp1/p3p3/1b6/1B1bBN2/1P1N2PP/1KR5 w - -,b3c2
r3k3/1pb1npp1/2p1p3/2P1NbBr/p2P3P/P7/BP1R4/2K2R2 w q -,e5f3
r2q1rk1/pb3p2/2p3pp/n4Bb1/Q7/3P2N1/PPP2PPP/RN3RK1 b - -,g6f5
r4b2/2p5/pp2pk1p/4p1p1/PP2Pn2/2Pr1P2/3N2PP/R1R1BK2 b - -,a8d8
8/2r4p/8/2k5/2p4P/8/3K4/2R5 b - -,c7g7
rnbqk2r/4ppbp/p2p1np1/P1pP4/4P3/2N2N2/1P3PPP/R1BQKB1R b KQkq -,e8g8
8/1R2rk2/p5pp/5p2/P3b3/2p2N1P/2P3P1/2R4K b - -,e7b7
r1bq1rk1/1p1nppbp/2np2p1/p7/N1P1P3/1N2BP2/PP2B1PP/R2Q1RK1 w - -,f3f4
5k2/5p1p/6pb/8/P3R3/7P/4pqB1/1R5K w - -,a4a5
2kr1b1r/1pp2pp1/p4n2/3Ppq1p/Q1Pn2b1/4BN2/PP1NBPPP/R4RK1 w - -,e3d4
r1bqr1k1/1p2ppb1/1np3p1/p2p2P1/Pn1PP3/2N1BN2/1PPQBP2/R3K2R w KQ -,f3h4
5k2/4pp1p/3p1bp1/2pP4/5P2/3r2P1/R1R3KP/8 w - -,c2d2
8/6p1/p4k1p/1p1PpN2/nP2K1P1/5P2/P6P/8 w - -,e4e3
r1b1k2r/2qn1pp1/p4b1p/1p2pN2/4P3/2PB1N2/PP2Q1PP/4RRK1 b kq -,d7b6
1rq3k1/4pp1p/3p1np1/1p6/r1P5/4P1PP/4QPBK/1R1R4 w - -,c4b5
4rrk1/p2q2bp/1pn1bpp1/2pp4/5Pn1/2PPBNP1/PPNQ2BP/R4RK1 w - -,e3f2
2r2k1r/1pqbbp2/p2p1npp/4p3/2P1P2N/N2Q2P1/PP1B1P1P/2R1R1K1 w - -,h4g2
6k1/5ppp/pq2p3/1p1p2P1/2rP1P2/P3Q3/2r4P/3R1RK1 b - -,b6c7
1br2rk1/ppq2pp1/2p1pn1p/8/3PP3/1Q2BN1P/PP2RPP1/3R2K1 w - -,b3c2
r4rk1/2pqnbbp/p2p1np1/P4p2/Q1PPp3/2N1P1P1/4NPBP/R1B2RK1 w - -,f2f3
r3nrk1/1p2n1b1/1qppP2p/p3pp2/2P2P2/PP4P1/1B2N1BP/R2Q1R1K b - -,a8d8
2r3k1/2R1pp1p/1q1p2p1/8/P3P3/1P3P1P/3Q2P1/3R3K b - -,c8c7
3r4/3r1pk1/1p1n2p1/p1pP3p/8/P1R2BPP/1P3PK1/4R3 b - -,g7f6
r3k2r/pbqn1ppp/1p2p3/8/3P1b2/2PB1N1P/P2B1PP1/R2Q1RK1 w kq -,d2f4
8/8/1R2bp1K/2B1k3/6r1/1p4P1/8/8 w - -,c5d6
3r3r/p3kq1p/1p1ppp2/2p5/2n1P3/P1PN1P1Q/6PP/R2R2K1 w - -,d3f4
4rrk1/5ppp/p4n2/1pRp1b2/q2P4/1Q3NP1/1P1N1PP1/2R3K1 w - -,b3a4
8/6k1/4R3/6P1/4p2K/6P1/8/4r3 w - -,h4h5
1n3rk1/5p1p/3p2p1/1B2bb2/P1Q1p3/2P5/3r1PPP/1R3RK1 w - -,f1d1
8/3k1n1N/4p1p1/4P3/5B2/2nb3P/5KP1/8 w - -,h7f6
5nk1/1p1r1p1p/p2p1Rp1/3P4/8/2P1r3/PP2B1PP/5R1K w - -,e2g4
rn1qk1nr/1bp1ppb1/p2p2pp/1p6/3PP2P/2N1BP2/PPPQ2P1/R3KBNR w KQkq -,e1c1:a2a4
r1r5/1Rp5/p1P1p1pk/P2pPp1n/7P/3PKB2/5P1P/1R6 w - -,b1b4
r3kb1r/pppq3p/2n2pP1/3p4/3PpP2/2N4R/PPP5/R2QK1N1 w Qkq -,d1h5
r1b2rk1/pp1n2p1/2pqpn1p/3p1p2/2PP4/1P3NP1/P1QNPPBP/R4RK1 w - -,e2e3
2r5/4q1k1/QRp1pp1p/2PpP1p1/3P4/4P2P/6P1/6K1 b - -,e7d7
3r1rk1/1p2nppp/pq1pb3/4p1b1/4P3/2N2B2/PPP1NPPP/1R1Q1RK1 b - -,b6c5
r7/pppNp1kp/3p1b2/5p2/2Pn4/3P1QP1/PP3P1P/R4RK1 b - -,d4f3
r2q1rk1/p1p3pp/1p1p4/2nPpb2/2P5/P3BP2/1P1NQ1PP/R1R3K1 w - -,e3c5
r2q1rk1/p3n1bp/2pp1p2/2p3p1/8/2NP1Q1P/PPP2PPB/R4RK1 b - -,f6f5
1r2rbk1/5p1p/2R1N1p1/5p2/1p3P2/1P4P1/P4PBP/4R1K1 b - -,e8e6
1r2n1k1/3p1ppp/2p5/2q1pPPQ/P3P3/3B3R/2P4P/5r1K w - -,d3f1
3r2k1/4q3/6Bp/4B2P/3PQ1Pb/2P4K/RP6/8 b - -,h4f2
r1b1qr2/2p3kp/1pp1nppN/p1b1p3/P3P1N1/1PPP1Q2/5PPP/R1B2RK1 b - -,c8a6
r1b1r1k1/ppp1q2p/2n3p1/3n1pB1/2PP3N/5PPB/PP5P/R2Q2K1 w - -,g5e7
r3r2k/1p1q1pb1/p5pp/n1p1pn2/P7/2PPBN1P/BP3PP1/R3RQK1 b - -,f5e3
3rk2r/pp3p2/2pb1p1p/q3n3/3QP3/2N5/PPP1BPPP/3RK2R w Kk -,f2f4
3r1bk1/1pR2bpp/1n3p2/8/pP2P3/r3B1P1/3N1P1P/3R1BK1 b - -,a3e3
1r6/p4pk1/rp6/5R2/3P3P/PR2PpP1/5P2/6K1 w - -,f5f3
r2qrbk1/pp3p2/2p3pp/8/1PRp2b1/P2P2P1/3BPPBP/3QR1K1 b - -,g4e6
1k5r/pp1r1ppp/q1p1p3/4P1bP/PPRPP3/8/2Q2BP1/1KR5 w - -,c1d1
r1b2rk1/1pq1bppp/p7/3pnP2/3N2P1/P3B3/1PP1B2P/R2Q1RK1 w - -,g1h1
r1k2b1r/1ppb1pp1/2p4p/p3Pn2/P7/2N2N1P/1PP2PP1/R1BR2K1 w - a6,b2b3
r4rk1/1p2qpp1/2pp1n1p/p3nQ2/N1Pb4/1P2P1P1/P4PBP/1RB2RK1 b - -,d4a7
6b1/2p4k/1p5p/pPpPp2q/P3P2P/4B2Q/3K4/8 w - -,h3d7
5k2/1pp1rp1r/p1bp4/P4PQ1/1PP1P2p/3P3K/2B5/8 w - -,c2d1
8/p4kpB/1n3p2/1np1p2P/5P2/P3P1P1/8/B5K1 b - f3,e5f4
r2q1rk1/3nppb1/p1bp1npp/1p6/2PN3B/2N1P3/PPQ1BPPP/3RK2R b K -,c6g2
r4rk1/1b1n1ppp/p3p3/8/P6q/1N1BQP2/1PP2KPP/R6R w - -,g2g3
r1bqk1nr/1p1n1ppp/p2p4/2pPp3/4PP2/2N1QN2/PPP3PP/R3KB1R b KQkq -,e5f4
3r2k1/p2r1pbp/1pp1p1p1/5qPn/P1PP3P/1P1RQ3/4N2B/3R3K b - -,f5g4
8/8/8/4K1k1/5N2/5Bn1/8/8 w - -,f3d1
8/R7/Pp6/3p1k2/3Pp3/1r6/4KP2/8 b - -,b3b4
1r2r1k1/1pp2p2/p5p1/2bP4/P2N2P1/2B2B2/5P2/3R2K1 b - g3,c5d6
rn1q3r/pb3kpp/1p1bn3/8/2Q2N2/6P1/PP2PPBP/R1B1K2R b KQ -,d6f4
N4bk1/7p/5np1/3p4/8/5PP1/7P/4R2K w - -,e1d1
3q2k1/pp2n2p/2p3pP/2P2p2/3P1Q2/1P6/P5P1/4N1K1 w - -,f4e5
4r1k1/Rb3rpp/4p3/8/q2ppP2/3P4/1BP3PP/2R3K1 w - -,a7a4
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P1P2/2P5/PP4PP/RNBQKBNR b KQkq d3,d8b6
r2qkb1r/3n1p2/p1p1p1p1/1p1pPn2/3P1P1p/3B1Q1P/PPP1NBP1/R4RK1 w kq b6,b2b3
r1b2r1k/pp4pp/2n1p3/3p4/3PnN2/5N2/PqBQ1PPP/RR4K1 w - -,d2e2
r2rn1k1/4qppp/p1p1p3/1pPpP3/1P1P4/PQ3P2/4N1PP/R4RK1 w - -,f3f4
2r5/p4ppp/1rpkp3/8/2R5/1P4P1/P3PP1P/2R3K1 w - -,c4d4
2r1r1k1/p4p1p/1pn2q2/3p2p1/N2Pn3/bP3NP1/P1R2PKP/Q2RB3 b - -,g5g4
r2q1rk1/1b1nbpp1/2p4p/pp1p1N2/3P4/P2BP3/1PQ2PPP/R1BR2K1 b - -,e7f6
3r1rk1/pp3pbp/8/2n1pR2/P1Bp4/3P4/1PP3PP/R1B3K1 b - -,d8c8
2b1n1k1/3n1ppp/ppNbp3/3p4/1P6/P3PN1P/1B1PBPP1/6K1 w - -,f3d4
q5k1/P5bn/1r1p1p2/2p1pP1p/2P4P/3PBQPN/1r3RK1/R7 b - -,b2f2
3r4/1kp2p2/p2q1n1p/1p1pr1p1/4P3/2P2Q1P/PP1N1PP1/K2R3R b - -,f6e4
r4rk1/ppp1qppp/2np1n2/8/2PPp1b1/P3PNP1/1PQN1PBP/R4RK1 w - -,f3g5
R7/1p3Q2/1q1p2rk/2bPp2p/6p1/P7/1P3P1P/5RK1 w - -,f7f5
rnb1k2r/1p4p1/p3p2p/2q5/2BNp2P/8/P1PQ3P/1R3RK1 w kq -,d2f2
3b1rk1/1nq3pp/7r/1p1bNp2/2pP1P2/2P3PP/2B1Q2K/2B1R1R1 w - -,g3g4
6k1/p4p2/6p1/1p2p2p/1P1pP1PP/1PqPbP2/1R2Q1K1/2r2B2 b - -,h5g4
2r2rk1/3nbp1p/2n1p1p1/qp1pP3/2bP1N2/P3RN1P/1BB2PP1/R2Q2K1 w - -,h3h4
r2q1rk1/5p1p/B2pp1p1/2p5/P2bP3/8/1P3PPP/1RBQ1RK1 b - -,a8a6
8/8/5k2/1p1pp3/3P1pP1/3b4/P2B3P/6K1 w - e6,g1f2
8/kpp5/p7/P2Pp1p1/1PP1p3/4P1p1/4K2P/8 w - -,h2h3
2kr2r1/pp1q1p1p/2n5/3p4/8/1N4P1/PP3P1P/R2QR1K1 b - -,d5d4
4q3/pp3pk1/1br1rnpN/6B1/2P5/2Q5/P4PPP/3R1RK1 b - -,g7h7
r5k1/p4p1p/6n1/1Np5/6Pp/1P3K1P/P1P5/3R4 b - -,a7a5
3n4/1p3p1p/8/2kN1R2/2P5/P1K3PP/8/2r5 w - -,c3d2
rnb1kb1r/ppp1pppp/2q2n2/8/2QP4/5N2/PP2PPPP/RNB1KB1R w KQkq -,b1d2
2q1k3/1p1bbp1p/3pnpr1/p1rNp3/2P1P2N/3B3P/PP1Q1PPK/R5R1 b - -,g6g5
8/1p6/2k2ppp/p1p5/2P1PP1P/2K3P1/P7/8 w - -,c3b3
8/6pp/4k3/1R6/1P2p1P1/4Kp1P/4r3/8 w - -,e3d4
r2r2k1/p1qp1ppp/1pn1p3/2p1P3/2P2P2/1P2B1P1/P1Q1P1KP/R4R2 w - -,a1d1
r2r2k1/4bppp/p2N2q1/1pp1P3/8/1PP3P1/1P1R1P2/R2Q2K1 w - -,a1a6
8/8/4B2k/4N1pb/8/1p3p2/1P2pK2/8 w - -,e6d7
1rbqk2r/4b1pp/p2p1n2/1p1Pp3/4Pp2/N2B4/PP1B1PPP/R2Q1RK1 w k -,f2f3
8/1p1k1pp1/3rp2p/8/1KP2P2/6P1/R6P/8 b - f3,d7c6
r2qr1k1/5Qb1/3P2p1/3RP1Pp/7P/1p1P3B/Pp6/1K3R2 b - -,g8h8
2r4r/p2n1pk1/1p2p1pp/2ppP3/2nP4/PqP1NN1P/1P2RPP1/2Q1R1K1 b - -,c4a5
rnbqk2r/p3npbp/4p1p1/3p3P/1p2P3/2NP4/BPP2PP1/R1BQK1NR w KQkq -,c3a4
r1bqkb1r/ppp4p/2np1np1/4pp2/1PP2P2/P5P1/3PP1BP/RNBQK1NR w KQkq -,b4b5
r3k2r/1pqn1pP1/p2p3p/5P2/2P5/2PBp3/P6P/R2QK2R b KQkq -,h8g8
r1bq1rk1/5pbp/p1p1pnp1/3p4/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,a1c1
3r1r2/1p3p2/p1n1k1p1/P1p1p3/2N1PP1R/2PP1R2/1P4K1/8 b - -,e5f4
6R1/5k2/8/3p3p/3P2p1/4K1P1/6r1/8 w - -,g8g5
4r1k1/p1nn2pp/1p2r3/3pP3/2pP1q2/P1P2P2/1B2R1QP/4RN1K w - -,b2c1
r3kb1r/pp3ppp/2b1p3/1q2P3/P3B3/8/1P3PPP/R1BQR1K1 b kq a3,b5a6
5k2/8/8/4Q1K1/8/6P1/7q/8 b - -,h2a2
8/8/4p1k1/6P1/1R3P2/8/4K3/r7 w - -,b4b7
r1bqnr1k/pn6/1p1p3B/2pP1p2/1PPbp3/P1N4P/2Q1BPPN/1R4RK b - -,f8f7
r2qrbk1/ppp2ppp/2np4/8/2P1bN2/1P2PB2/PB3PPP/R2Q1RK1 w - -,f3e4
r3kb1r/pb1p2pp/2nPpn2/qp3pN1/2p2Q1B/2P5/PP2PPPP/RN2KB1R w KQkq -,b1d2
1r4k1/4bp2/1q4p1/2pB3p/2Qn4/4B1P1/1P3P1P/5RK1 b - -,b6f6
2r1r1k1/pb2qppp/1p3n2/2bpB3/8/1P3NP1/P3PPBP/2RQ1RK1 w - -,g2h3
r4rk1/pp2q1bp/1n2b1p1/2p1pp1n/2P5/BPN1PNP1/P1Q2PBP/3R1RK1 w - -,d1d2
rnbqk2r/1p1p1ppp/p4n2/4p3/1b2P3/1NN5/PPPB1PPP/R2QKB1R b KQkq -,e8g8
