8/2n2ppp/1k6/n7/1p1PPPP1/8/1KR4P/8 w - -,d4d5
3q1b2/6k1/1p3rp1/p1pPp2p/P3B2P/3Q2P1/1PR2PK1/8 w - -,c2c3
5k2/pp4bp/6p1/2r2p2/8/1P2P3/4N1PP/3R2K1 w - -,e2f4
8/p6B/1p1k2pp/2p5/2Pn3P/6P1/PP3K2/8 b - -,g6g5
8/p4pk1/4q1p1/3r4/5Q2/1P2P3/P4RPK/8 w - -,h2g1
r2r4/4qpkp/2p3p1/8/1pbRP1n1/P3QPP1/5KBP/RN6 w - -,f3g4
2r4r/2q1kp1p/p2p1n2/4pP2/4P3/1N1b4/PpP3RP/1K1RQ3 w - -,c2d3
1k2q3/1ppr4/4pQ2/P1Rb1p1p/3Pp1pP/4K1P1/4PP2/2R5 w - -,e3f4
r1bq1rk1/pp3pbp/3p1np1/2p1p3/3nPP2/2NP1NPP/PPP3B1/R1BQ1RK1 w - -,f4e5
4k3/8/r7/5p2/pR1B4/PpP5/3K4/8 w - -,b4b5
r1bqkbnr/pp1n1ppp/2p1p3/3p4/2PP4/3BPN2/PP3PPP/RNBQK2R b KQkq -,f7f5
6k1/8/6p1/1N1p3p/2n4P/P1p2PP1/P1K5/8 w - -,c2c3
1k1r1b1r/pppq1ppp/5nb1/4p3/2N1N3/3PBn1P/PPP2PP1/R2Q1RK1 w - -,d1f3
1r3rk1/p1q1ppbp/1p4p1/8/P1Np1P2/3Pn1P1/2PQPRNP/R5K1 b - -,e3c4
2r2bk1/5q2/2p1rppp/3p4/p2B3P/P2QP1P1/1PR2P2/2R3K1 b - -,f7e8
2r3k1/p2b3r/1p1p1p1q/n1pPpPp1/2P3Pp/R1PB1P1P/PR3B2/K3Q3 w - -,e1b1
rq3rk1/1p2bppp/n2pbn2/p3p3/4P3/1NN1BP2/PPP3PP/1K1RQB1R w - -,g2g4
rnb4r/1pk3pp/2p2p2/p1n1p3/P1P1P3/2N1RN2/1P2BPPP/5RK1 b - -,b8d7
r1b3r1/pp3pkp/q2ppp2/2pP4/2n1PP1Q/2PB4/P3N1PP/R4RK1 w - -,e2g3
3r2k1/3rppbp/qpQP2p1/p3P3/P7/1R4N1/1P4PP/3R2K1 b - -,g7e5
3r1r1k/p1b3pp/2p1bn2/1pPq4/3Bp1p1/1P2P3/P2NBQ1P/2K2RR1 w - -,e2g4
8/5B2/3k1ppp/p7/P6P/1P3KP1/1r3P2/8 b - -,g6g5
5r1k/p2Q2p1/4P2p/8/7r/2P2K1P/P7/8 w - -,d7f7
1k6/8/8/p2KpB2/4P3/1P6/5p2/8 w - -,f5h3
8/p5r1/3kp1r1/R7/8/2P2RP1/1P4K1/8 w - -,f3d3
5rk1/1pq1brpp/2p1p3/p1p1P3/P1P2n2/1PQ1RNNP/5PP1/3R2K1 b - -,f8d8
2r2rk1/3qppbp/2np1np1/p7/Pp1NP3/1P2BP2/2PQN1PP/3R1RK1 w - -,d4b5
r4r1k/ppp3pp/1nnbb1q1/4pp2/1P6/P1NPP3/1BQNBPPP/R4RK1 w - -,c3b5
7r/3kb2p/1np1pp2/p2p2p1/P2P2b1/1P2PNB1/4NPPP/R4K2 b - a3,h8c8
r1bq1rk1/1pp1b1pp/5n2/pP1p1p2/N3pP2/PP2P3/1B1PN1PP/2RQK2R b K -,c8d7
3N4/2n3pk/r3p2p/3bB3/5P2/4P3/1R4PP/6K1 b - -,c7e8
2kr3r/1pb1qb2/p1pn1pp1/P1Np1p1p/1P1P3P/2PBP3/2Q1NPP1/R3K2R b KQ -,d6e4
r4rk1/pp1q2bp/3pbnp1/3Np1B1/2PpP3/1P4P1/P2Q1PBP/R4RK1 w - -,a1c1
r1b2rk1/pp1nb1pp/2p1p3/q2p1p2/2PPnBP1/2NBPN1P/PPQ2P2/R3K2R w KQ -,g4f5
r3r2k/1q1n2pp/p2Q1p2/P2p4/3P1B2/1p6/1P3PPP/R3R1K1 b - -,b7b5
2rr2k1/1b3p1p/p2q1p1Q/3P4/p1p1P3/P2n2NP/6BK/R4R2 w - -,f1f6
r4qk1/pb1rppbp/1pnp1np1/1N1N2B1/2P1P3/5P2/PP1QB1PP/R4RK1 w - -,d5f6
r1b2rk1/p1p4p/2pp2p1/5n1P/2PqN3/8/PP1Q1PP1/2K1RB1R w - -,h5g6
1B4k1/3bppbp/1pr3p1/8/p2P4/1N2P3/P4PPP/2R2K2 w - -,c1c6
r2q1rk1/1p2ppbp/2bp1np1/p7/2PBP3/1PN2P2/P2QB1PP/R4RK1 b - -,f6d7
8/8/2pk4/3n1Bp1/R4rP1/8/3K4/8 w - -,a4f4
8/p5k1/1p3r2/2p5/2B4R/2P3P1/PP3nK1/8 w - -,h4f4
r6r/3n2kn/p2p2p1/2pP2q1/1pN1Pp2/1P3P2/P2QB1PP/2R2RK1 w - -,c4d6
r4rk1/1b2bppp/1qn1pn2/3p4/1p1P4/2P1NNP1/1PQB1PBP/R3R1K1 b - -,b4c3
3r4/pp2p2k/2n3bp/2P3p1/8/P1P1BP2/4B1PP/2K4R w - -,h2h4
2r1r1k1/q4pp1/1pp1pbbp/4P3/3P4/pP1N2PP/P3QPB1/2RR2K1 b - -,f6g5
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/2P4N/1P1P2P1/PB1NPP1P/R2QKB1R b KQkq -,f8e7
r2q1rk1/3n1ppp/p3pb2/1p1b1N2/8/P3BP2/1PP1B1PP/3RQRK1 w - -,c2c3
1rrq2k1/5p1p/b2pp1p1/4b3/1p2P3/4B1PP/PP3PB1/1R1QR1K1 w - -,e3d4
2r2b2/1p1k1p2/p5np/4pNp1/4P1P1/6BP/PP3P2/1KR5 w - -,c1d1
5rk1/pp1Rppb1/1q5p/8/4P2B/rN3P2/P1P3P1/1K1R4 w - -,h4e7
1rbq1rk1/5p1p/p1npp1p1/1Pp5/3nPP2/2NP2P1/PP1QN1BP/R4RK1 b - -,a6b5
8/3Q1p2/3p2kr/4p3/p3P3/5P2/1PPr4/6K1 w - -,d7a4
r2q2k1/pp3pp1/3n1n1p/3B4/8/1QP3P1/P3rP1P/R1BR2K1 b - -,f6d5
r2q1rk1/p1p1bppp/b1n1p3/3n4/PpNP4/4P1P1/1PQN1PBP/R1B2RK1 b - -,a8c8
1qr4k/6pp/1P1p4/Q3p3/5P2/3n1P1P/3Nn1PK/BR6 b - -,c8f8
8/1p1rpkb1/6p1/p2P1pB1/8/5B2/Pr3PP1/4R1K1 b - -,b2a2
8/b5p1/P1kn3p/8/4p1P1/1BB4P/4K3/8 b - -,g7g6
r5k1/q2bb2p/4p1p1/pp1pPpP1/1PnP1P2/P2B1N1P/N1R4K/2Q5 w - -,d3c4
r2q1b1r/pp1k3b/2n1pp2/2pp3B/3PnBP1/2P1P3/PP3P1P/RN1Q1RK1 w - -,f2f3
2r2r2/3nqpk1/3p2p1/pp1P2b1/2p1P3/2P4R/PPB2QP1/R4NK1 b - -,d7e5
r2qkb1r/pp1npppp/5n2/3p4/Q2P2b1/3BPN2/PP3PPP/RNB1K2R b KQkq -,a7a6
r1bb2k1/r6p/pRp1ppp1/2Pp4/R2P4/4P3/3NBPPP/5K2 w - -,b6b1
3r2k1/1b4p1/p1q1p2p/1p6/1B1bP2P/1P6/1P2Q3/1B3R1K w - -,h4h5
rnbq1rk1/ppppb1pp/8/8/3PNp2/5N2/PPP3PP/R1BQ1RK1 b - d3,d7d5
2r4k/4np1p/3p4/3P1p2/qrP1pP2/7Q/6PP/1R1R1B1K w - -,h3c3
rn2k2r/1bp1ppb1/p5p1/1p1qP2p/3P1B2/3B1N2/PPPQ2PP/2KR3R b kq -,d5a2
3r2k1/p4p1p/1p3pp1/8/2P5/4P2P/PP1r1RP1/5RK1 b - -,f6f5
2r3k1/1N3p1p/p3p3/1pb1P1p1/2p5/P4P2/1PP3PP/3R3K w - -,g2g3
rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/6P1/PP2PP1P/RNBQKB1R b KQkq -,f8b4:a7a6:d8a5:d8b6:f6e4:d7d5:d8c7:b8c6
5r2/p7/4pp1R/1p1p1bp1/2pP4/k1P2P2/2P2P2/2KR4 b - -,a7a5
8/8/7p/p3kP2/P3P1K1/2n3P1/2B5/8 b - -,c3e2
4r3/5nk1/3pb3/4r1p1/2P1P3/2R5/5QPP/6K1 b - -,e5e4
r2qnr1k/1p4pp/p2p1p1b/3N4/3BP3/P1P4Q/1P4PP/3R1R1K b - -,b7b5
8/2k5/7R/1pn1b1P1/2p5/P7/1PB2r2/1K1R4 b - -,c5d3
1r6/1pn2kp1/p1p2p2/2Rr4/PP1PN1P1/4PK2/5P2/1R6 b - -,d5d8
5k2/2p2p1p/2Nb4/P2P1pp1/2R5/5KP1/r4P1P/8 b - -,a2a3
8/2k3p1/4p1p1/1p1p4/1PpP1P2/2P3PP/3K1P2/8 b - -,c7d7
4rk2/pp1R1ppb/7p/1P2P2P/2B1p1P1/8/P4P2/6K1 b - -,e8e7
r7/pp2k2p/5R2/4Pb2/7R/1Pn5/6PP/6K1 b - -,f5g6
7k/R7/3rn2P/8/2P5/2P5/P7/K7 w - -,a1b2
3rrnk1/1q3pp1/p2P1n1p/1pp1NQ2/P4P2/1PN1R3/6PP/3R2K1 w - -,g2g4
r2r4/2q1b1kp/3p2p1/p2Pp1P1/1pn1B2P/1N1Q4/PPP5/2K3RR b - -,a5a4
1q3rk1/3bbpp1/4p2p/1r1pP2P/2pP4/2P2NN1/2Q2PP1/RR4K1 w - -,f3d2
R7/5p2/P5p1/5k1p/r3p2P/4K1P1/5P2/8 w - -,a8f8
3r1bk1/pb5p/3B1p2/2p3p1/2N5/1P4P1/P1PR3P/2K5 b - -,h7h5
5rk1/p2n1pp1/4b2p/1Bp5/Pr6/4PN2/5PPP/R2R2K1 b - -,d7b8
r3r1k1/1b4pp/1p1q1p2/3p1P2/1p1PnNP1/1P6/P2Q2BP/2R2RK1 w - -,g2e4
2kr3r/ppqnbp2/2p5/2P1p1p1/2Q1P1BB/1N4Pp/P7/1R3RK1 w - -,f1f7
r1b2rk1/pppq2bp/2np2p1/4PpB1/2P1P1n1/2N2N2/PP2BPPP/R2Q1RK1 b - -,f5e4
r3k2r/1p2Qpp1/2p2b1p/p5n1/P1b2B2/2P3NP/1PB2PP1/R4RK1 b kq -,f6e7
r1bq1rk1/1pp2pp1/1pnp1n1p/4p3/4P3/1B1P1N2/PPP2PPP/R1BQ1RK1 w - -,h2h3
8/5p2/4p3/4Pnp1/3R3p/7P/4R1P1/1k2K3 b - -,f5d4
r4rk1/pb5p/1pq2b1P/4p1p1/4p1Q1/2P1P1R1/PP4P1/R1B2NK1 w - -,c1d2
r1b1r1k1/1p3ppp/2pq1n2/p1bPp3/N1P5/6PP/PBQ1PPB1/2R2RK1 b - -,c6d5
4k3/p3r3/1n6/1p2p1N1/1P1n2NP/6P1/5K2/R7 b - -,d4f5
1rq2rk1/pb2bppp/4p3/3n4/PnN5/1N2P1P1/1P3P1P/RQBR1BK1 w - -,b3a5
r1bqk2r/pp2bppp/3p2n1/1N1Pp3/8/2PB4/PP3PPP/R1BQK2R w KQkq -,c1e3
r2nk2r/pppqnpbp/3pb1p1/1P2p3/2P5/P1NPP1P1/1B3PBP/R2QK1NR b KQkq -,e8g8
r3r1k1/p3qpbp/1np3p1/4p1N1/3n4/2NPB1P1/P2QPP1P/2R2RK1 w - -,f1e1
3q2k1/R2bQ1bp/5np1/3P4/2P3P1/7P/P4P2/4R1K1 b - -,d8c8
r1bqk2r/ppb2p1R/2p1p2p/3p4/2PP4/2N1Pn2/PPQB1P2/2KR1B2 b kq -,h8g8
r1bqkb1r/pppnpp2/7p/3p4/3P2p1/2N1P1P1/PPPN1PP1/R2QKB1R b KQkq -,d7f6
4k3/pppnr1p1/8/5p1p/3R1P2/P2N1K1P/1PP3P1/8 w - h6,d4a4
3qkb1r/pp5p/2p2p2/4nbp1/P1N5/2N3P1/1P2PPBP/2KR3R w k -,d1d8
r2q1rk1/pp2bp1p/2b1pnp1/3nN1B1/3P4/PBNQ4/1P3PPP/R4RK1 b - -,a8c8
r1bqkb1r/pp3ppp/2B1pn2/8/2p5/1N2B1P1/PP2PP1P/RN1Q1RK1 b kq -,b7c6
r1bk3r/pp3pp1/2n4p/2QN4/8/5NP1/Pq2PPBP/5RK1 w - -,c5d6
r1bqk2r/1pp2ppp/p2p1n2/2b1p3/3nP3/2NPBNP1/PPP2PBP/R2QK2R w KQkq -,h2h3
8/8/5pk1/2Bb4/p6p/Pr5P/5P1K/4R3 b - -,b3c3
1k5r/p7/5P2/q1b4R/4p1n1/5p1Q/PPP4P/1K3R2 b - -,h8h5
r7/1p2r1pk/p2b3p/3P1pq1/B3p3/2R4P/PPR1QPP1/7K b - -,e4e3
4rk2/2Q1pb1r/1p1p4/3P1Pp1/3q4/1PR3B1/P3PPB1/6K1 w - -,c3c1
8/p3p1kp/1p1r1p2/2p1qPp1/3n2P1/3P4/PR2PRKP/2Q5 b - -,h7h5
rn2kb1r/1p2qpp1/2pp1n1p/p3p3/P1BPP1b1/2P2N2/1P3PPP/RNBQR1K1 w kq -,b1d2
4r2k/1p1r3p/p7/4qp2/1P1pb3/3B2PP/P2R1Q1K/4R3 b - -,e5d6
2kr3r/pp1bB1pp/1q2p1n1/1N2p3/Pn1p4/1N1B4/1PP2PPP/R2QR1K1 b - -,g6e7
2rqk2r/1p3ppp/p2pbb2/4p3/3nP3/2N1N1P1/PPP2P1P/R2QKB1R w KQk -,f1g2
8/8/7P/3bkP2/3b4/4p3/pK2N3/8 w - -,e2d4
2rq1rk1/pp1bbppp/2nppn2/1Bp5/P3PP2/2NP1N2/1PPB2PP/R2Q1R1K b - -,d8c7
8/5pkp/6p1/P5b1/8/5bPP/5K2/8 w - -,f2f3
Q2q2k1/3n1p1p/1Np1bbp1/8/8/6PP/5BB1/6K1 w - -,a8c6
1q2r1k1/1b2rpp1/pp4p1/3P4/1PPR4/P4P1P/1NQ5/2R3K1 w - -,d5d6
5bk1/r2n1pp1/P6p/1Bpp4/P1N5/1P5P/5PP1/3R2K1 b - -,d5d4
rnb1k2r/ppp1q1pp/3pp3/8/2PN4/2R3P1/PP2PP1P/3QKB1R b Kkq -,e8g8
r3q2k/p1r1b1nn/Rp1p1p2/1PpPpPpp/2P1P1PP/1P1N1B1K/R4B2/3Q4 b - -,h5g4
6k1/5pp1/p2r4/2R5/P5P1/2Bb2K1/1P6/8 b - a3,f7f6
4r1k1/p4pp1/1Pp1bq1p/8/1P2P2R/Q3BN2/2P3PK/3r4 b - -,a7b6
2b2rk1/1p3p1p/2p3p1/8/1Q5P/4P1P1/q4PB1/2R3K1 b - h3,f8d8
r3r3/3q1p1k/p1Np2pp/1p1P1b2/5P1b/2Q4B/PPP4P/2KR2R1 w - -,h3f5
r1b2rk1/p1pp1qpp/8/2p3Q1/8/8/PPPP1PPP/R1B2RK1 b - -,c8b7
1r5k/3B1p1r/3p4/q2P2QP/1pR2p2/pP3P2/P1P5/1K6 w - -,g5f6
3n1r2/p1pbq1k1/1p1p3p/4p1p1/2PPP3/2P2rP1/P2N1P1R/3QR1K1 w - -,d2f3
rn1q1rk1/pb1p1ppp/1p2pn2/2p5/2PP4/2PBP3/P2N1PPP/R1BQ1RK1 b - -,b8c6:d7d5
8/8/4p1p1/3pP2p/2b2P2/4k1P1/pKR5/8 w - -,c2c3
8/8/8/2p5/1pPk1p2/1P6/3K2P1/8 b - -,d4e5
3r1r1k/pp1bqp2/5n1b/2P1pR1p/4P3/1NPB3P/P1Q1N1P1/5R1K b - -,d7f5
r1b1nrk1/p1q2ppp/2pbp3/2ppN3/5P2/1P2PR2/PBPP2PP/RN1Q2K1 w - -,d1e1
2r1r1k1/ppb2pp1/2p1bq2/8/3P4/P3N1Pp/1P2QP1P/3R1RKB w - -,e2f3
8/5kp1/R3n1p1/4PpB1/2Pp1P2/3P4/P5K1/3r4 b - -,d1d3
8/3N2k1/8/p2B2p1/2P1R2p/P7/KP4PP/3q4 w - -,e4e7
8/2p1kpp1/1p5p/p7/PbPNb3/1P4P1/5P1P/3B1K2 b - -,b4c5
2r3k1/1br2p1n/1p2p2p/p2pP3/6qP/P5P1/1P1Q2B1/R4RK1 w - -,d2h6
r1b2rk1/1pq2ppp/p1nppn2/8/4P3/1NN1Q1P1/PPP2PBP/R4RK1 w - -,f2f4
1br1q2k/6pp/p3pp2/3b3N/1Q1PnBPN/8/PPr4P/K2R1R2 b - -,c8c4
2b2rk1/Bp3pbp/n3n1p1/3Np3/1PP5/5N1P/1P2BPP1/3R2K1 b - -,e5e4
8/p3k3/1p5R/2p1P1p1/5P2/r3P1K1/8/8 w - -,g3f2
8/7k/8/3R2p1/3Bn2r/P3P3/8/5K2 w - -,d5e5
8/8/2k3p1/2p1b3/2Pp1pPP/3K4/P2N4/8 b - -,e5d6
