8/3n4/5Pk1/7p/4PP2/P7/1P3BK1/8 b - -,d7f6
1n1R2k1/p3qppp/bpn1p3/1Np1P3/P6P/5NP1/1PP1QPB1/6K1 b - -,e7d8
3r1r1k/1p3qbp/2n2np1/p2p4/8/PQN1PP1P/4BBP1/1R1R2K1 b - -,d8d7
3r2k1/p4pbp/1q4p1/3PP3/2p1Bn2/5N2/P4PPP/3Q1RK1 w - -,g2g3
2rr4/pb2qpbk/1p2p1pp/4P1P1/7P/2N1B3/PP2QP2/2R2RK1 b - -,g7e5
r3n3/4pkbp/1p6/p2q2PQ/3PpP2/2P5/PP6/R3K2R b KQ -,f7f8
5r1k/1p4pp/r5n1/3Q1B2/1q6/8/1P4PP/2R2R1K b - -,a6f6
8/6k1/p1n1P3/1p3Ppb/1P4P1/P5K1/8/8 w - -,g4h5
6k1/3n2bp/q3p1p1/2p5/P3P3/1P2Q3/4N1PP/1R4K1 w - -,e3d2
1r3rk1/pp2ppbp/6p1/q7/8/1QP1BPP1/P4P1P/R2R2K1 b - -,b7b6
r1bq1rk1/pp3pbp/2pp1np1/4n3/2PB4/1P4P1/P1QNPPBP/RN1R2K1 w - -,d4e5
3rr1k1/1p3pp1/pq2b2p/2b5/1P1Np3/2P4P/P2QNPP1/R3R1K1 b - b3,c5f8
r1b2rk1/1pq2ppn/p1pp4/4pPp1/2P1P3/P1N1QN2/1PP4P/2KR3R w - -,f3g5
8/5p2/R4k2/2p1p2p/6pP/4P1P1/5PK1/2r5 b - -,f6g7
2k1n3/5Nb1/4p3/p2P1P2/1p6/8/5BK1/8 w - -,d5d6
2r2rk1/pb1q2bp/1p1p2p1/1Pp1pp2/2PnPP2/2NP2P1/P2Q1BBP/1R3R1K b - -,g7h6
r4rk1/p1q3pp/5p2/1ppp4/8/1QPPRbP1/PP3P1P/R4NK1 b - -,f3h5
5n2/8/4p3/4k2p/4N3/5KPP/5P2/8 w - -,f3e3
3rrbk1/5p1p/R2P2p1/3Pp3/1p6/1P3P2/4NP1P/2R3K1 w - -,c1c6
8/6R1/r4p2/5k1p/8/5P2/8/4K3 w - -,g7h7
4n3/2p3r1/2R1pk1p/5p2/3P3P/4PB2/r4P2/2R2K2 b - -,a2a7
7r/pp3p2/1k2bP2/2p4P/5p2/2P2B2/P1P3P1/2KR4 w - -,d1h1
r1b2rk1/1pq2pbp/p1Nppnp1/8/2P1PP2/2NB4/PP2Q1PP/R1B2R1K b - -,b7c6
2bq1rk1/r5bp/p2p4/2pPnpp1/PpB5/3NP1P1/RP1N1PP1/3Q1RK1 b - -,e5g4
rn5r/p3k1pp/1p2pp2/2b5/7N/6P1/PP1BPPKP/R4R2 w - -,d2c3
r2q2k1/pp2rppp/2p1nnb1/8/1Q6/P1NP4/1PP1BPPP/R3R1K1 b - -,d8c7
r2q1rk1/pp2ppbp/1n1p2p1/3Pn3/2P5/1PN1BB2/P4PPP/2RQK2R b K -,e5f3
r3r1k1/1p2qbb1/2pp1npp/p1n2p2/2PN3P/1PN3P1/PBQ1PPB1/3RR1K1 w - a6,a2a3
r1bk1b2/p2nq3/2p1p1p1/1p1nP3/2pP2Q1/2N3P1/PP3PB1/R3K2R w KQ -,g2d5
3k4/7R/8/4r3/6N1/4p3/4K3/8 b - -,e5e7
2kr3r/1pq2p2/p1n1pn2/3P2pp/3P4/2N2BP1/PP3PP1/2RQ1RK1 b - -,e6d5
r1b1k2r/2q1bpp1/p2ppn1p/1p6/3NPP2/2NB4/PPP1Q1PP/2KRR3 w kq -,e4e5
r4rk1/pbp1qppp/8/1P1Pp3/8/3B4/PP1Q1PPP/1K1R3R b - -,f8d8
2r1kb1r/pp1bpppp/3p1n2/q5B1/3QP3/2N2P2/PPP3PP/R3KB1R w KQk -,g5e3
1r4r1/p1k2p1p/4pN1b/2p2p2/5P1P/4P2B/P4K1P/1R6 w - -,f6g8
8/7r/p3k3/P2pB3/3P4/2K1P3/1P6/8 b - -,e6f5
4r3/pp3k2/7p/3PR3/3R4/5r2/PP3P2/6K1 w - -,e5e8
6k1/2b3p1/1pp1p3/p3P2p/P4BP1/3P3P/1P3P2/6K1 b - g3,h5g4
4r1k1/4rqp1/1p3p1p/p1p5/P1PpPP2/1P3QPP/4R1K1/4R3 w - -,f3d3
r6r/pp1bb1kp/1q2ppp1/2pp3n/3P2N1/2PBP3/PP1NQPPP/1R2K2R b K -,a8e8
8/1p1n1k2/pP1bp1p1/P1p1p2p/2P1P2P/3NB1P1/4KP2/8 w - -,e3d2
8/5p1k/4nbpp/4p3/4R2P/3NB1P1/2r2PK1/8 b - -,e6d4
4r3/1p3pk1/2pb1np1/r2p3p/p2P4/P1N1P1P1/1P2RPP1/1KN1R3 w - -,c1d3
8/8/2k4p/K1p1p1p1/1pP1P1Pn/4P3/5R1P/8 b - -,c6d6
r7/p2R4/1pp2k2/4pbp1/3B3p/8/PP3PPP/6K1 w - -,d7d6
2krr3/ppp2ppp/2n3b1/3p1q2/P2P4/N1P2P2/1P2NRPP/R2Q2K1 b - -,h7h5
r2r2k1/1q3pp1/pp5p/2npP3/5P2/1P1Q2P1/P2N2KP/2RR4 w - -,d3d4
r4rk1/pbq1ppb1/1p1p1np1/2pP3n/2P1PP2/1PN2B1P/P2QNB2/R3K2R w KQ -,f4f5
2rr4/p4k2/1p4pp/2P1R3/1P1p4/8/P4PPP/3R2K1 b - -,f7f6
r1r3k1/p2nqppp/2pppn2/1p6/1PPPb2N/P5P1/1B1QPP1P/R1R2BK1 w - -,f2f3
r1bqkbnr/ppp2p1p/2n3p1/3pp3/8/P2P2P1/1PP1PPBP/RNBQK1NR w KQkq -,b2b4
r3k2r/pp3ppp/2n1p3/3Q4/3P4/B1R2P2/PP4P1/R5K1 b kq -,e6d5
2rqk2r/p3bppp/1pn2n2/2pp4/3P4/1PN1PNP1/P1QB1PKP/R6R w k -,a1c1
3q1rk1/1p1nppbp/p2p2p1/P2P4/1r2PP2/2NQBR1P/1P4P1/R5K1 w - -,a1a2
6r1/6P1/8/8/1p4R1/1P1k4/8/2K5 w - -,c1d1
r1bqk1nr/pp1p1pbp/2n1p1p1/2p4P/2B1P3/5N2/PPPPQPP1/RNB1K2R b KQkq -,g6g5
3r4/p1p2pk1/1p1r2pp/8/R2Nb1P1/1P2PPP1/8/2R3K1 b - -,c7c5
rn2k2r/ppp2ppp/2q1pnb1/1B1N4/1b4P1/2PP1P2/PP5P/R2QK1NR b KQkq -,f6d5
rnb1kb1r/1pqp1ppp/p3pn2/8/2PNP3/3B4/PP3PPP/RNBQ1RK1 b kq -,b7b6:f8e7:f8c5
r1b2q2/1p4bk/n5p1/P1nB1p1p/2P1p3/2B3P1/R1Q1PP1P/3R2K1 w - -,c3g7
r1b1k2r/ppppq1pp/2n2p2/3QP3/2P2Bn1/2P2N2/P3PPPP/R3KB1R w KQkq -,e5f6
2kr3r/pp3p1p/3qp1b1/3p1p2/3P1N2/6P1/PPP1QP1P/2KRR3 b - -,d8e8
4r1k1/3n4/b3p1p1/2ppb3/p6q/P1PP3P/2Q3B1/R2N1RK1 w - -,d1e3
1r3rk1/p4pp1/4bn1p/2p4q/5Q2/BPN2PP1/P3P2P/R4RK1 b - -,f8c8
1b1rr1k1/pp3p1p/1q2np2/1N1p1Q2/P7/1P2PN2/5PPP/2RR2K1 b - -,e6g7
8/8/2b3kp/1p4p1/8/P1Np2PP/1P3K2/8 w - -,f2e3
r2q1rk1/pp2ppbp/n1p1b1p1/3n4/Q2P4/2N2NPP/PP2PPB1/R1B2RK1 b - -,d8c8
rn2kb1r/p1q2pp1/1pp1pnp1/2Pp4/3P1P2/1QN1P3/PP4PP/R1B1KB1R w KQkq -,c5b6
3Q4/5ppk/1N5p/p1p5/4P2P/6P1/5P2/1q4K1 w - -,g1g2
r1b1k2r/p1np1pbp/3qp3/1ppP1p2/5N2/1BP1P3/PP1Q1PPP/RN2K2R b KQkq -,c8b7
5R2/1p1Nk3/p6p/2pb2p1/6P1/2P5/PP2K3/8 b - -,e7d7
r1b1r1k1/1p1n1pbp/p2R1np1/q1p5/P1B2BP1/2N2N1P/1PP2P1Q/3R2K1 b - -,a5b4
r2r2k1/p2P1pp1/1p2q2p/8/3Q4/B5P1/P4P1P/3R2K1 b - -,a7a5
r3k2r/ppp2ppp/2nb1q2/5b2/2P1n3/PQ2PN2/1P2BPPP/RNB1K2R b KQkq -,e4c5
2rq1rk1/p4pb1/1pn1pn1p/3p1bp1/3P4/1PNNP1PP/PB3PB1/R2Q1RK1 w - -,a1c1
r3rbk1/6pp/p2p4/2qP3P/2pR4/5Q2/PPPB4/1K5R w - -,d2c3
3r1k2/5p1p/3Pb3/1B6/5pP1/7P/8/3R2K1 w - -,g1f2
r2q1rk1/5p1p/2bp2p1/p1p5/PpPbP3/1P2NBP1/3R1P1P/3QR1K1 b - -,d8e7
r5k1/2q3p1/p2b2Q1/1p1p4/3N4/3Rr1P1/PPP3K1/5R2 b - -,a8e8
r4rk1/pp1qp1bp/1np3p1/P2bPp2/1P1P4/5N2/2QBBPPP/R4RK1 b - -,b6c8
q1r3k1/5rpp/pQ1p4/4pn2/1R3P2/1P4P1/PB5P/4R1K1 w - -,f4e5
rn1qkb1r/1p1B1ppp/p3pn2/8/3QpB2/2N5/PPP1NPPP/R3K2R b KQkq -,b8d7
8/3b2kp/8/4p1p1/2BbP3/p7/3K1PPP/3N4 b - -,g7f6
2kr3r/ppp1np2/6pp/4b3/1q6/2NP1PP1/P1PQN1KP/1R3R2 b - -,e5c3
r3k2r/pp1nnppp/4p3/q1ppPb2/P2P4/1Pb1BN2/R1PNBPPP/3Q1RK1 w kq -,d2b1
2rq1rk1/1p1bppb1/p2p2p1/7n/2BNP2P/2N1BP2/PPPQ4/1K1R2R1 b - -,c8c4
r4rk1/1b2n1pp/p1q5/1pbp1P2/5P2/P1NB4/1PPBQ2P/2KR1R2 b - -,e7f5
2R5/7k/6p1/3K4/7P/1B2P3/P2r1n1r/5R2 w - -,d5c6
2kr3r/1b6/pp3p2/2p1pq2/2P4p/1KN1QP1R/PP4P1/4NB2 b - -,d8d4
8/5p2/6k1/1Rn2rpp/p7/R3K1PP/5P2/8 w - -,a3c3
8/pp3k2/4R1b1/6p1/4p3/8/PPPK4/8 w - -,e6e5
r3k2r/pp1n1ppp/1Qn1p3/3pP3/5P2/2P2N1P/PP4P1/R3KB1R b KQkq -,d7b6
r5k1/3n1pbp/1q2p1p1/1p2P1P1/1P1pP3/r2P1Q2/3BN2P/1RRN3K b - -,d7e5
3R4/5Bk1/2r3Pp/p7/1pP5/1n4P1/6KP/8 w - -,d8a8
8/5k2/1R4p1/5p1p/1P2p2P/1r2P1P1/5PK1/8 w - -,b4b5
r4rk1/6pp/1pq1p3/p1nbPp2/2N5/1P4P1/P4PBP/R2QR1K1 w - -,g2d5
3r2k1/3r1p1p/pp4pb/4p3/2PpqP2/1P1R4/P3NQPP/3R2K1 w - -,e2g3
4r1k1/p2r1pp1/1p1R3p/5b2/4pB2/2P4P/PP3PP1/4R1K1 w - -,d6d7
3r2k1/1r2npq1/pp1p3p/2pP2p1/P3N3/1Q6/1PP2PPP/R3R1K1 w - -,a1d1
r4r1k/1p1q2b1/6pp/p1p1pp2/P7/1BNP1NP1/1P1BPP1P/3R1RK1 b - -,a8d8
7k/3n4/6KP/5P2/6N1/8/8/8 b - -,d7f8
r2q1rk1/pp2ppbp/1n4p1/8/3PP1b1/Q4N2/P3BPPP/R1B2RK1 w - -,c1g5
r5k1/1b2q1bp/6p1/3pP3/rP4P1/P1Q1P2P/2K1B2B/4R2R b - -,a8c8
r5k1/1p1b1pp1/1P3b1p/q1Pp4/3P4/3QBN2/5PPP/3R2K1 b - -,a5b5
4B3/2B3k1/8/3p1p2/3P4/3bPP1P/3n1K2/8 w - -,h3h4
6k1/2Q4p/4p1p1/8/8/2K3P1/6BP/3q4 w - -,c7b8
1r3r1k/2p3pp/1b1pb2n/1P2p2q/5P2/2BP2P1/2Q1NPBP/1R3RK1 w - -,d3d4
8/p1b1r2k/P5p1/2R2p2/5P2/1B2P3/5PK1/8 b - -,h7g7
rnbqk1nr/pp2ppbp/3p2p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq c6,g1f3:d2d3
4r1k1/1Qq2p1p/p5pb/2pPr3/N3n3/5B1P/P4PP1/1R1R2K1 b - -,c7a5
r2q1rk1/pp2bppp/4b3/8/3n4/1PB3P1/P4PBP/R2Q1RK1 w - -,d1d4
rn1q1rk1/pb1p1ppp/1p2p3/2p5/2PPn3/2PBPN2/P1Q2PPP/R1B1R1K1 b - -,f7f5
8/6p1/KN3pp1/2P1pk2/3n3P/6P1/5P2/8 w - -,a6b7
kb6/1p3r1p/r1p1p1p1/5p2/P1RPPP1P/5P2/3BK3/1R6 b - -,b8c7
6k1/1b2qp1p/6p1/p3n3/8/1PN4n/P3QPP1/3N1BK1 w - -,g1h2
5rk1/2p2qpp/3p4/RpPn1p2/1r1Pp3/1N4P1/2Q1PPKP/1R6 b - -,f5f4
8/8/4pk2/8/1P1R1P2/1r5p/7K/8 w - -,d4c4
r1b3k1/1p3pbp/2pNr1p1/p2n2B1/P4PP1/2P4P/1P4B1/R4RK1 w - -,d6c8
8/8/4Rpk1/2r3p1/3N3p/5K2/8/8 b - -,c5c3
2r4r/pp2bk2/6p1/5b1p/3P1B2/1P4P1/P4R2/3RK3 b - -,h8d8
r3k1nr/1bqn1ppp/p2bp3/1pp5/4NP2/3P1N2/PPP1B1PP/R1BQ1RK1 b kq -,b7e4
3r1rk1/1pq2ppp/p3pn2/n1b5/P1p3b1/2N1PN2/1PQBBPPP/R4RK1 b - -,a5b3
6k1/pp3p1p/6p1/3p4/1q1Pn3/3Q4/PP3PPP/2N3K1 w - -,c1b3
2rr2k1/1b1q1pp1/1p1p3p/p2Bp3/Pn1PP3/2R1QNP1/1P3P1P/4R1K1 w - -,d5b7
2k1r1q1/p2n4/1pbBn1p1/2p2p2/2P5/1P5N/P4QP1/1BK1R3 w - -,b1d3
r4rk1/p1q1ppbp/1pn2np1/1BPp1b2/3P4/2N2N1P/PP3PP1/R1BQ1RK1 w - -,c1g5
2rq1rk1/pp3p1p/5np1/3p4/3P1R2/2N1P1P1/PP1Q3P/R5K1 b - -,f6h5
3r2k1/1r3ppp/pp2p3/2p3P1/P3NP2/3P1R2/1bP3KP/1R6 b - -,b2a3
8/kpK5/pR6/P7/1P6/5b2/8/8 w - -,b4b5
3r1rk1/p6p/1b3pp1/n1pq1N2/6R1/P6Q/1B3RPP/7K w - -,f5e7
4r1k1/2pb2pp/p2q1r2/2ppbP2/2P5/1P1B2N1/P3QPPP/1R3RK1 w - -,e2c2
2brq1k1/p3ppbp/nr4p1/1pp5/3P1B2/2P2NP1/P1Q1PPBP/1R1R2K1 b - -,c8f5
rnbq1rk1/pp2ppbp/6p1/2pPN3/8/6P1/PP3PBP/RNBQ1RK1 b - -,g7e5
5rk1/2p3pp/4p3/8/1p5P/1P4P1/P4P2/4R1K1 w - -,e1e6
1r1Br1k1/4Pppp/3p4/8/1P6/pqP5/3QR2P/K7 b - -,b8c8
r4rk1/ppq2pbp/4b1p1/4p2n/P3P3/R1PB1N1P/2Q2PP1/2B1R1K1 w - -,a4a5
4r3/4r3/p7/1pk2pp1/2p1B3/2P1RnPN/PP3P2/2KR4 b - -,f5e4
8/P1n5/2p5/2P5/K4p2/3N1Pkp/8/8 w - -,a4a5
1krB4/1pr5/p2Q4/5p1p/2R1p2P/8/2P1KPq1/8 w - -,d8c7
1R6/8/1p2k3/2b5/8/2K5/8/1r6 w - -,c3c4
4rrk1/p1pb2pp/2pb3n/5Pq1/8/1P1BNQ2/PBP2PPP/4RRK1 b - -,h6f5
2rq1r1k/1b3ppp/1p2pbn1/p5B1/3P2RP/PB1Q1N2/1P3PP1/4R1K1 b - -,g6e7
N2q2k1/1p3pbp/p3b3/3n1p2/2Bp4/8/PP4PP/2RQ1R1K b - -,d8a8
8/8/8/7p/p2k2rP/P3Rp1K/5P2/8 b - -,g4f4
r3k2r/1bq1bpp1/p2ppn2/1pn5/5P1p/1N1BB2Q/PPP1N1PP/2R2RK1 w kq -,e3f2
3r2k1/1p3ppp/p2Bp3/1b2Pq2/3P4/P3Q3/1P1N1PPP/4K2R w K -,e3e4
1r1q2k1/ppp2rpp/3pRn2/8/2P5/P1Q2B2/1P3PPP/4R1K1 w - -,h2h4
2kr4/1p3pBp/p1n3b1/8/6P1/1Q5P/1P3P2/5K2 b - -,d8d3
5k2/pp5p/2p5/3p4/2Pp4/4N2P/PP2N1K1/8 b - -,d4e3
6k1/1p2pp1p/3pb1p1/2q1r1Pn/p1BRPP1P/P1P1Q3/K1P5/7R w - -,c4e6
r4rk1/2p4p/p1pbn1p1/1p2pp2/4P3/2PP1P1P/PP1B1PK1/R3RN2 b - -,e6c5
r4rk1/pp1qbpp1/4p1p1/8/3N4/2P1R3/PPQ2PPP/3R2K1 b - -,a8d8
7r/p2knpNp/np2p3/3pP3/q2P4/PRr1B3/2P2PPP/3Q1RK1 b - -,c3b3
r3k2r/1bqnbppp/p2ppn2/1p6/4PP2/2NB1N2/PPP3PP/R1B1QR1K w kq -,c1d2
4k3/1p1r1rb1/p1b1qpQ1/4pR1P/4P3/P1NR4/1PP3P1/7K b - -,d7d3
1r4k1/1q3ppp/p1br1b2/Pp2p2B/4P3/2P5/1P1NQRPP/R6K b - -,g7g6
1r3rk1/p3pp1p/1p4p1/n3N3/b7/1BP2PP1/P3P2P/R4RK1 b - -,a4b5
rn3k1r/p3nppp/3b4/1Bpp4/8/1P3N2/P1P2PPP/R1B2RK1 w - -,f1d1
r7/1pPb3k/3Np3/5p2/1P1P4/2P2PRp/5K2/8 w - -,g3h3
r1bqr1k1/bpp2pp1/p1np1n1p/4p3/4P3/1BPP1NN1/PP3PPP/R1BQR1K1 b - -,c8e6:d6d5
r4rk1/1pq1nppp/2p5/p1bpP3/4b2N/2P3P1/PPQ2PBP/R1B1R1K1 w - -,g2e4
6r1/pn6/1p1k2P1/4pP2/1P1p4/8/P6K/4RR2 b - -,b7d8
r1bqnrk1/1p1n1pbp/p2pp1p1/2pP4/P1P1PP2/2NB1N2/1P4PP/R1BQ1RK1 w - -,c1e3
8/4ppk1/3p2n1/p2P2R1/R4PP1/1P1B3r/2P2r2/1K6 b - -,g7h6
r1b2rk1/1p2bppp/pq1ppn2/8/3NPP2/1BN5/PPPQ2PP/2KR3R b - -,f6d7
1r3rk1/4bppp/bqn2n2/1p2pPB1/2ppP2N/3P2NP/BPP3P1/R3QRK1 b - -,c4d3
2k5/R5p1/1P6/5pKp/7P/4P1P1/p4r2/8 b - -,f2g2
r3k1nr/pp1b1ppp/1q2p3/2bpP3/8/3B1N2/PP3PPP/R1BQ1RK1 w kq -,b2b4:c1d2
8/8/2p4p/4k1p1/2R5/2P2K1P/2r3P1/8 w - -,c4c6
8/p7/6K1/1P2qPP1/8/1k3P2/7R/6r1 w - -,h2h5
r2r2k1/4qppp/p1QN4/1p2p3/nP2P3/6P1/P2R1PKP/2R5 b - -,e7d7
8/1b1n1kp1/1p1qp2p/1Pp5/2P2n2/4QPN1/1BB2KPP/8 b - -,e6e5
1r6/4kp2/Q2p4/2bPp2p/3qPp2/3B3P/4RPPK/8 w - -,d3b5
2q2rk1/1p1bnpp1/p3p1nr/3pP1Np/3N1P1P/2PB2Q1/PP4PK/4RR2 w - -,f1f2
r1b1kb1r/1p1nqp1p/p2p2p1/3n4/2BP4/6B1/PP2QPPP/RN2K1NR b KQkq -,d7b6
r1q2rk1/pp1n2bp/3p4/2pPpp1n/8/1QP1BPP1/PP1NN2P/R3K2R w KQ -,d2c4
2kr3r/pp5p/q3p3/2p2p1R/2P5/2P5/P3QPPP/R5K1 w - -,a1e1
r2qk2r/pb1n1pbp/2p2np1/1p2p3/4P3/2NBBN1P/PPPQ1PP1/R4RK1 w kq -,a2a4
3rr3/pp3pB1/1bk5/7p/1P1p1P2/3B2P1/P1NK3P/7R w - -,g7f6
6k1/p4p2/p5p1/8/4p3/2pr2R1/2r5/6RK w - -,g3g6
r4rk1/np3pp1/1p2pn2/1N1p3b/1b1P1B1P/4PP2/PP2NK2/R4B1R w - -,b5a7
r3kb1r/pp1n1ppp/1qp1pnb1/3p4/2PP3N/1QN1PP2/PP2B1PP/R1B1K2R w KQkq -,b3b6
3r2k1/p4Qp1/7p/8/4p3/P2q4/6PP/5RK1 b - -,g8h8
2b1r1k1/1p3p1p/2pp2p1/2q5/2PQP1P1/rPR2P1P/1R4B1/6K1 w - -,d4c5
3b4/3b4/8/4k1p1/4N3/3BPP2/4K3/8 b - -,d7c6
r7/1r2p1k1/3p1p2/3P1Pp1/pPq5/Pn5R/2B3P1/3QR2K b - -,a8b8
r1b2rk1/1p2p1bp/p1npn1p1/3Nqp2/1PP1P3/4BP2/P1NQB1PP/2R2RK1 b - -,f5f4
5kB1/7p/P1p3p1/3pPp2/1P5P/2n1K3/2P5/8 b - -,c3b5
r1b1r3/b1p2ppp/p1k5/1p1NP3/1PP2Bn1/8/P3NPPP/3R1RK1 w - b6,c4c5
6k1/3B3r/3pP1p1/5nP1/1p6/2q5/P1P3Q1/1K3R2 b - -,h7h4
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P4/1P3N2/PBP1BPPP/RN1QK2R b KQkq -,f8g7
1r2kr2/3b1p1Q/1q2p3/p2pp3/P1p5/1N6/1PP2PPP/2KRR3 w - -,e1e5
r1b1k2r/2q1nppp/p1pbp3/3p4/4P2P/2NB1Q2/PPP2PP1/R1B1R1K1 b kq h3,e8g8
1n3k1r/1q2bp2/3p1p1P/p1pPp3/P1R1P3/4N2Q/1rBK1P1P/7R w - -,h1g1
rnbqk2r/pp1pbppp/4pn2/8/2PN4/2N1P3/PP3PPP/R1BQKB1R b KQkq -,a7a6
2r2rk1/1b4pp/1p2p3/p2nNp2/PqBPn3/1P6/KBQ2PPP/2R4R b - -,b4d6
2r5/2q1kpp1/4pn1p/pp5P/1P4P1/2P1NQ2/1P3P2/2KR4 w - a6,b4a5
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/5NP1/PPQ1PPBP/RNB2RK1 w kq c6,c1e3:d4c5:c1g5:b1c3
rnbqk2r/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq d3,e8g8:d7d6
r1bq2k1/2p1brpp/2p5/p1npP3/2N2p2/1P1B1Q2/PBP2PPP/R4RK1 w - -,e5e6
6r1/p4p1p/8/3r1k2/8/3p1P1P/PP1BKP1b/2R1R3 w - -,e2d1
r1b1r1k1/1pqn1ppp/2nb4/p1p1p3/2PpP3/PP1P1NP1/1BQN1PBP/4RRK1 w - -,g1h1
r1bq1rk1/2nnppbp/pp1p2p1/2pP4/P1P1PB2/2NB1N1P/1P3PP1/R2Q1RK1 b - -,d7e5
b4k2/P2B4/6p1/6P1/5P2/2q5/4Q2K/8 b - -,c3h8
5r2/2q3bk/p2pP2p/1pp2p2/3p1P2/1P1P2PB/P2Q3P/4R1K1 b - -,h7h8
r1b1r3/p4k1p/6p1/1p1pP2n/1b3P2/5N1P/PP4PK/R1B2R2 w - -,c1e3
r5k1/pbpn2pp/1p1p1r2/3Ppp1q/1PP5/P2BPP2/2Q3PP/R1B2RK1 b - -,f6f8
r4rk1/3qnppp/p3p3/2B1P3/8/5Q2/P4PPP/R4RK1 w - -,f1d1
r2q1rk1/3nbppp/b1p1p3/p2p4/2PPn3/2B2NP1/P1QN1PBP/R2R2K1 w - -,d2e4
8/5pk1/p2r1p2/R2Pq2p/7P/5QP1/P4PK1/8 b - -,d6b6
1k6/p1r2pbp/1p1p2p1/N7/P4P2/2n3P1/6BP/4R1K1 w - -,e1e8
r1b2rk1/pp1pn1b1/2nBp1pp/5p1q/2N1P3/Q1PB1N2/PP3PPP/R3K2R w KQ f6,c4b6
5Q2/1R6/5p2/p6k/1p6/3Pb3/1PP1K3/q7 b - -,e3g5
rnbqk2r/pppnppbp/3p2p1/4P3/3P1P2/2N5/PPP3PP/R1BQKBNR w KQkq -,f1c4
r2qk2r/pppnbppp/2n1p3/3pP3/2PP2b1/3B1N1P/PP1N1PP1/R1BQ1RK1 b kq -,g4h5
3q1kr1/5p2/p1rP1p1Q/1p2pB2/8/3R1PP1/PP2N2P/1K2b3 b - -,f8e8
2R5/p2r1k1p/1p1pp1p1/1P6/Q4P2/7P/6PK/4q3 w - -,a4d4
