4R3/P7/4p3/5p2/5k2/5P2/r7/6K1 b - -,a2a7
r3rbk1/pbq2p2/1p1pp1pp/3n4/3P3P/2P2NN1/PP1Q1PP1/1B1RR1K1 b - -,f7f5
4b1r1/1p5p/p1p1pkr1/2Pp1p2/PP1P1R2/3NP2P/4R1PK/8 b - -,g6g3
8/p5k1/1p5p/2nbPB1P/5B2/P5P1/4K3/8 b - -,c5e6
r1b1kb1r/1p1n1ppp/p2ppn2/q5B1/3NP3/1BN5/PPPQ1PPP/R3K2R b KQkq -,f8e7:b7b5
6k1/p1r2p1p/1p4p1/2pP4/5r2/P2R3P/1P3KP1/3R4 w - -,d3f3
6k1/5pp1/4q2p/3pP3/2pP4/1pP2QP1/rP3RKP/8 b - -,a2a1:g8f8
r2q1rk1/1bp1n2p/pn1ppbp1/8/3PNBP1/R2B1N1P/1PP2P2/2QR2K1 w - -,e4f6
2rr2k1/pp3bp1/2nbpqnp/3p4/3P2B1/PNN1B1P1/1P3P1P/2RQR1K1 w - -,f2f4
4r1k1/1p1r1pp1/pq1np2p/3P4/P7/1nN5/1P3PPP/1R1QRBK1 w - -,d5e6
8/3bkp2/p2p1np1/1p1Pp1Np/1P2P2P/P1R2PP1/3K4/r2B4 b - -,f6e8
5k2/3Q4/5p2/1pq2p1p/3p3P/6P1/5P1K/8 w - -,d7d8
r1bqk2r/pp1n1p1p/2pb1pp1/3p4/3P4/4PN2/PPP1BPPP/RN1Q1RK1 w kq -,f3d2
r4r1k/pp1q1p1p/4b3/3p2Q1/P7/8/1PP2PPP/R3R1K1 w - -,g5f6
8/1p2bk2/p1p3p1/2n5/2PB1PP1/5K2/P1B5/8 b - -,c5e6
8/1p5p/1k4p1/5p2/4b2P/3pP3/3K4/5N2 w - -,d2c3
r4k1r/p3npbp/bpnN4/2p1p1NR/8/2PqB1P1/PP3PB1/R2QK3 b Q -,d3d1
1r3k2/6p1/6Pp/pp1qPp2/2p2P1Q/2P5/2P5/2K1R3 w - -,e5e6
3r1rnk/2qn1pbp/3p2p1/1pp4P/p2PP1P1/4BPN1/PPBQ2K1/3R3R b - -,c5d4
7k/2p1b1rq/1p1p2r1/p2Pp2p/2P1Ppp1/PPR2P2/2R1Q1PP/5N1K w - -,b3b4
3n4/5pk1/1p2p2r/1P1pP1bp/Nq1P1Pp1/1N1Q4/2R3PP/6K1 b - -,g5f4
1k6/5p2/p3b1p1/1p1qP3/6P1/2Q2P2/1P6/3BK3 w - b6,d1e2
6k1/p7/6p1/2p5/2p5/r3P3/2N1K2P/8 b - -,a3d3
r4rk1/pp3pp1/1nppbq1p/4p3/2PPP3/2N2P2/PP1Q2PP/2KR1B1R w - -,d4d5
1r4k1/1p1b3p/pPp2r2/2Pp1pn1/P4P1N/6Pp/4P2K/1RR4B b - f3,g5e4
r2q1rk1/ppnb1pbp/3p1np1/2pP4/2P3P1/2N1B2P/PP1NBP2/R2QK2R w KQ -,a2a4
4k3/5R2/2PK4/3B4/8/8/2r2p2/8 b - -,c2d2
8/3b4/3P4/1p2nk2/1P6/P4p2/5Pr1/1Q5K b - -,f5f6
5rk1/pbr2p2/1p2p1p1/2p1P1p1/3P1n2/2PB1N2/P4PPP/2R2RK1 w - -,f1d1
r1b1r2k/1pQn1qp1/p2B3p/3P1p2/P3p3/4P3/4BPPP/1RR3K1 b - -,f7d5
6rr/p2k1p2/2p2b2/1p3p1p/2pP1n1P/2P3P1/PPK1RP2/2B1R3 w - -,c1f4
3r4/2q3pk/2r4p/pp3p2/2pPp2P/1P2P1P1/P1RQ1P2/K1R5 b - -,d8c8
r3k1nr/p1p2ppp/2p5/4Pb2/4p3/8/PPP2PPP/RNB1K2R w KQkq -,c1e3
6k1/5pp1/4b2p/1Np5/P1P4P/2K1P3/1PQ5/5q2 w - -,c3b3
N6r/p2p2kp/1pqP2pb/2p1Pp2/2Q5/P4N2/1PP2P1P/R3K1R1 b Q -,c6f3
2r2bk1/1pq2pp1/1n5p/BPp1pN2/2Pr4/5QP1/5P1P/2R2RK1 w - -,f5d4
1q2rk2/6R1/1p2P1np/1N1B1pP1/2PB4/1P4Pb/8/6K1 w - -,e6e7
1rbq1rk1/5p2/2p2n1p/2NP2p1/1P3b1B/3B4/2R2PPP/3Q1RK1 w - g6,h4g3
3rrnk1/p3qpn1/1pbp3p/3Np1p1/1PP1P3/P1BB1P2/3Q2PP/2RR2K1 b - -,c6d5
rn2k2r/pp1bnppp/4p3/q1ppP3/P2P4/2P5/2PB1PPP/R2QKBNR w KQkq -,g1f3
3r2k1/1p2qp1p/6p1/p1Np1n2/7r/PP2P2P/1BR1QP2/2R3K1 b - -,h4h3
8/5pp1/1R2p1k1/PK2P3/4R3/1P3r2/8/r7 w - -,b3b4
r3r1k1/p1p2ppp/1p6/3n1q2/3Pn3/P3PN2/4QPPP/2R1B1KR b - -,c7c5
4r3/3qbp1k/3p2p1/2rPp2p/1p2N1P1/1Q5P/1PP2P2/3RR1K1 b - -,c5c8
6k1/1p4pp/5p2/8/1PP5/3K1P2/3Q2Pq/8 w - -,c4c5
2br4/p3ppk1/6p1/1p1qP3/r2p3N/2P1R2P/P1Q2RP1/7K w - -,e3f3
r2qr1k1/1b1n1pbp/1p3np1/pP1p4/3p4/PBN1PQN1/1B3PPP/R4RK1 w - -,e3d4
rnbq1rk1/pp2ppbp/2p3p1/3p4/2PPn3/1P3NP1/P3PPBP/RNBQ1RK1 w - -,c1b2
r1b3k1/1p2n1b1/pQ1p1qr1/3Pp3/P3Ppp1/R2N4/1P2B1PP/4BRK1 b - -,f6g5
r1q1r1k1/p3ppbp/bpp3p1/n5B1/2PPP3/5N1P/P1Q2PP1/3RRBK1 b - -,b6b5
r6k/5Ppp/1r2q3/1pp1pn2/8/5N1Q/1R4PP/4R2K w - -,f3g5
4k3/3b4/3Bp1p1/P1r4p/4P2P/P4P2/6P1/3R2K1 b - -,c5a5
1r3rk1/2p2pN1/p1p1p1b1/3p2P1/P1nPP2P/7R/PbP1QP2/1K1RB3 b - -,b2c3
2r2rk1/6q1/3Q3p/pp1P1b2/4N3/2N1RPP1/PP4KP/8 w - b6,g3g4
r1r3k1/1p3pp1/1p2pn1p/2Pp4/8/1nNPB1PP/P3PPB1/R1R2K2 b - -,b3a1
2b2rk1/r2nqppp/1p2pn2/p1bp4/2P2B2/P2N1NP1/1P2PPBP/R2Q1RK1 b - -,f8d8
1r6/1p4kp/1B4p1/2P2p2/PP1b4/5B2/6PP/5K2 w - f6,f1e2
r5k1/1p2p1bp/3p2p1/2nP1p2/1P2P3/4BP2/4B1PP/2R3K1 b - -,c5b3
r2qk2r/ppp2ppp/2n5/3p1n2/1b1P4/2N5/PPP1NPPP/R1BQ1RK1 w kq -,d1d3
r1R2b1k/8/2p2r2/p3p3/P1B1Pppq/2P5/4QPPN/R5K1 b - -,f4f3
2r3k1/1p4bp/r2p4/2nPp2R/p1N1P3/1p1B4/PP2KPP1/R7 w - -,c4e3
2r2r2/1b2k2p/2p1p2q/1pPpP3/pP2pP2/P3P1RP/1BQ3R1/6K1 w - -,g3g7
q3r1k1/3n1pp1/p1Nb3p/1p1P1P2/1P4P1/P2R1Q2/2r4P/6BK b - -,c2c6
1r2br1k/7p/p2N4/Pp1Bp3/1P2Pb2/2P5/7P/5RRK b - -,e8g6
1rbq1rk1/p4pb1/2p2n1p/n3p1p1/8/2NP4/PPP1BPPP/1RBQK1NR b K -,f6d5
8/5n1p/4k3/3N1p2/2N5/4PPKP/8/3n4 w - -,d5b4
r1bq1rk1/pp3pp1/2n2n1p/3p4/1P3B2/2NQ2P1/1P2PPBP/R3K2R w KQ -,b4b5
r5k1/1bp2pp1/2q1p2p/1p6/1PpPn3/2P2N1P/2Q2PP1/1N2R1K1 b - -,a8a1
2r1r3/6p1/p6p/2nNpPk1/2Pp2P1/1P6/P1K4P/3RR3 b - -,d4d3
5r1k/3q2b1/3p2p1/2pPp1Pp/1p2P2P/pP2B1R1/P4P1K/5Q2 w - -,f1h3
4r1k1/p1r4p/5P2/2NR4/2Pp4/4bRP1/P5KP/8 b - -,g8f7
8/p1pq3k/4p1rp/1pP2p2/3P1Q2/5R1P/PP3PP1/6K1 b - -,a7a5
8/6k1/8/4K2p/PB2P2P/5b2/8/8 b - -,f3e2
r4rk1/p1p3pp/2b1qp2/3pP3/8/1PQ1R3/P1P3PP/RN4K1 w - -,e5f6
8/8/4b1k1/7R/6P1/4PK2/8/4n3 w - -,f3g3
7r/4k3/pb4pp/1p1n4/3p2P1/BP1P2NP/2P5/5RK1 b - -,b5b4
rn3rk1/pp2ppbp/1Q1pbnp1/2p5/3P1B2/2PBPN2/PP1N1PPP/R3K2R b KQ -,a7b6
1r4k1/r6p/5p2/8/p2N4/RpnP2P1/1R2PPKP/8 b - -,c3b5
r2q1rk1/pp1nppbp/2np2p1/2p5/4P3/N1P2Q1P/PP1P1PP1/R1B1RBK1 w - -,d2d3
q5k1/r4p1p/2r1p1p1/3p4/1QpP4/P1R1P1PP/5P2/1R4K1 w - -,b4b8
r2q1rk1/ppp2pbp/2npbnp1/4p1N1/2P5/P1NP2PP/1P1BPPB1/R2QK2R b KQ -,e6d7
r1b2rk1/ppqn1ppp/8/3p2B1/3Pn3/P1PB1N2/2Q2PPP/R3K2R w KQ -,e1g1
r1bqk2r/1p1n1pbp/p2p1np1/2pP4/P3P3/2N3N1/1P2BPPP/R1BQK2R b KQkq -,d8e7:h7h5
rn1qkb1r/1b3ppp/p3pn2/2p5/Pp1P4/1B2PN2/1P1N1PPP/R1BQR1K1 b kq -,b8d7
8/8/6Rp/1p1kpp1p/7P/5K2/1Pr2PP1/8 b - -,c2b2
2r1k2r/5pp1/p2Pp1b1/P1qp4/2pN1RP1/2R4P/5P2/Q5K1 b k -,c5d6
r2r2k1/2q2ppp/1p2b3/p3pn2/P7/3B1P2/1PP2QPP/R2R1NK1 b - -,d8d7
1n1r1r1k/p6p/1p1p1q2/b1pPpR2/2P5/P1N1P3/1P1B1PQP/2K3R1 b - -,f6e7
3rr3/1pp4k/p2pq2p/4pp1n/2Pn3N/3PR2P/PP1Q1PP1/R4NK1 w - -,f1g3
4kbr1/q4p2/1pn1p3/1r1pPp2/2bP1P2/8/1NNB1R1P/1R1Q3K w - -,b2c4
8/8/5kp1/8/6K1/3R2P1/1b6/8 b - -,b2c1
8/PR6/4pk2/5pp1/8/r3P1K1/5P2/8 w - -,f2f3
2r3k1/p1r1qnp1/1pp4p/4p3/1P2P3/2Q2NP1/P1R2PKP/2R5 w - -,f3h4
8/2k5/3n4/4N1p1/3KP3/8/5P2/8 w - -,d4d5
2rN1bk1/2N2pp1/p1b4p/5n2/2p5/P1P2PB1/3R1KPP/8 b - -,f8c5
8/2r1kp2/B5p1/4b2p/1R6/p3PKP1/P4P1P/8 b - -,e5b2
8/8/pR2p1k1/3p2p1/1P1n1rN1/1P2KP1P/8/8 b - -,g6f5
5b2/5k2/5pp1/r3p2p/p3p3/P1R1B2P/5PP1/6K1 b - -,f7e6
8/8/p1p4p/2P5/PP3n1p/4k3/5p2/5KN1 w - -,g1h3
3n4/6k1/6p1/8/5KNP/8/5P2/8 b - -,d8f7
2rqkb1r/1p1n1pp1/p2pbn1p/4p3/4P1PP/1NN1B3/PPP1BP2/R2QK2R w KQk -,e2f3
2kr3r/ppp2ppp/2n2n2/q7/1bbP4/1QN1BN2/PP3PPP/R4RK1 w - -,b3c4
rn1qrbk1/3b1p1n/p6p/2NNp1P1/2P1P3/4B3/3QBPP1/RR4K1 b - -,h6g5
6k1/1p4p1/p1b4p/P1B5/1P2qp2/7P/5QP1/6K1 b - -,g8h7
r5k1/1p1rb1pp/pBn5/P2p1p2/8/1NP5/1Pb2PPP/R2BR1K1 b - -,c2d1
5k2/p3rP2/2p2nRr/1p5P/1P1p4/3B4/1PP5/1K3R2 b - -,h6g6
4r1k1/1bp4p/2nr4/ppb1p1B1/4p3/2P3P1/PP1NQ1KP/R7 w - -,d2e4
3r4/3P4/4k1p1/5p2/p2R1K1P/6P1/1P3P2/8 b - -,e6f6
1r1q1r2/p5bk/3p3p/2pQpp2/8/1P4P1/PB3P1P/R3R1K1 b - -,f8f6
8/1p5p/2p5/4p1k1/5qP1/2P4P/PP2B1RK/8 w - -,h2g1
rn1r4/2q1bpk1/b2p1n2/p1p1pN2/Pp1PP3/2P2NPP/1P3PB1/R2QR1K1 b - -,g7f8
r4rk1/3bp3/3p4/n1pPbp1q/2p3nB/1P4PN/2Q1P1BP/1R1N1R1K w - -,b3c4
8/6k1/3R4/r2p4/5K1p/5P2/8/8 w - -,f4g4
3qkb1r/rp1n1ppp/p1p1pn2/3b4/3P3N/2N1PP2/PP1BQ1PP/2R1KB1R b Kk -,b7b5
8/p4p1k/6p1/2P5/5P1P/3QPK1q/P1R3R1/1r6 w - -,g2g3
8/4k3/ppb1p1pp/3p1pP1/3P3P/4PP2/PPBK4/8 b - -,h6g5
8/k7/2K5/2N5/8/8/5B2/8 w - -,c6c7
8/ppk2B2/7p/2P2np1/3P1p2/b1B5/P1r2P1P/3R1K2 w - -,c3e1
r4rk1/p3b1pp/2B3b1/4B3/8/2PP2Q1/2q2P1P/1R3RK1 w - -,c6d5
2rq2k1/2rb3p/p3p1p1/p2ppP2/P2N2P1/1PPQ3R/2R4P/7K w - -,f5g6
5rk1/5r1p/R7/8/2P2pb1/N2R2P1/P4K1P/8 b - -,f4g3
r4rk1/1p1bppbp/p2p2p1/8/P1q2P2/4BB2/1PPQ2PP/R4R1K w - -,f3b7
6Q1/6q1/6kp/p4p1P/8/6P1/5P1K/8 b - -,g6f6
2r3k1/pq1rbpp1/1n2b2p/3p4/2p2N2/1BP2Q1P/PP3PPB/3RR1K1 w - -,b3c2
2rk4/pp2p3/3p4/1R1b4/2q3Pb/2PBQP2/1P1K4/3R4 b - -,c4c6
3b4/p7/1p5p/2p1k3/P1B2pP1/1P3P1P/3N4/3b2K1 b - -,e5d4
8/p1p5/1p3k2/2PP1p1n/PP4P1/4K3/6B1/8 b - -,f5g4
3rkb1r/ppq2ppp/2p2n2/8/3pP1P1/3P1n1P/PPP1BQ2/R1B2RK1 w k -,f2f3
r3r1k1/pp1q1ppp/3b4/3n4/2N2n2/PP3N2/1B3PPP/R2Q1RK1 w - -,c4d6
3r4/8/6p1/5k2/2P4p/2K4P/4R1P1/8 b - -,d8c8
4r1k1/pp3Qp1/2p4p/q1Pp3P/3P4/1P1R4/P5P1/4rRK1 b - -,g8h8
7k/pr4b1/6p1/2p5/b4P2/B7/P5PP/2K4R w - -,h1e1
rnbqkbnr/pp3ppp/4p3/3pP3/3N4/8/PPP2PPP/RNBQKB1R b KQkq -,b8c6
8/2k5/6p1/6bp/P2B4/5K1P/8/8 b - -,c7b7
2r2rk1/q4p1p/p1nbpnp1/1p1p4/3P1P2/2NBP3/PP1B2PP/R2Q1RK1 w - -,d1e2
r5k1/2q3pp/pn2p1n1/1ppbPp1N/5B1P/2P3Q1/PP3PP1/3R1BK1 b - -,d5a2
2r2r2/6p1/7p/1p5P/p1pNRnk1/2P5/PPK5/5R2 b - -,g4h5
r3r1k1/1q1n1ppp/p2b4/1pp5/8/PN5P/1PQ2PP1/R3RBK1 w - -,f1d3
r2qr1k1/1b4pp/pp1b4/2ppP3/4B3/1P2P1P1/PBR1QPP1/2R3K1 w - c6,e4d5
5rk1/pbr2pp1/1p1q1nNp/2p5/P1BPp3/1Q2P2P/1PR2PP1/5RK1 b - -,f8d8
r4rk1/p3bppp/1p4q1/4Bb2/Q1B5/1P2P3/P4PPP/R2R2K1 b - -,a7a6
1rbqkb1r/2pn1ppp/p3pn2/1p6/2QP4/2N2NP1/PP2PPBP/R1B1K2R w KQk b6,c4d3
5k2/pp4p1/5qnp/2Pp1P2/3N2P1/P3Q2P/5K2/8 w - -,d4e6
r5k1/1p1n1p1p/3nq1p1/r1p1p3/P2pPP1N/1R1P2P1/2Q2N1P/R5K1 b - -,b7b5
8/1p4k1/3Bp3/6pP/P7/1B5n/3p4/2b2K2 w - -,f1e2
r4rk1/ppqnbppp/2p1pn2/P2p4/6b1/1P1P1NP1/1BPNPPBP/R2Q1RK1 w - -,c2c4
r1b2rk1/p1pq1ppp/1p3n2/8/2QP4/N1P1N3/P4PPP/R4RK1 w - -,d4d5
5k2/5p1p/1p3pp1/1N6/Pp6/1P5P/1b3PP1/3B1K2 w - -,f1e2
r2qrbk1/3n1ppp/3p1nb1/1p2pN2/pp2P3/2PP2NP/P1B2PP1/1RBQR1K1 w - -,c3b4
5qkr/3bp1b1/p2pp1R1/1p5n/2rN3P/2NQBP2/PPP5/1K4R1 b - -,e6e5
8/p5pp/1rk2p1n/R1N1p3/1P4P1/4P2P/P4P2/6K1 b - -,b6b4
8/4k2P/4p3/p5Rr/Pp6/4p3/8/4K3 b - -,h5h7
r3rbk1/1pq2ppb/2n2n1p/p3p3/2Pp4/PP1P1NP1/2N2PBP/BR1QR1K1 w - -,b3b4
r4rk1/1bq1bppp/p3pn2/4P3/1n6/1NNBB2Q/1PP3PP/R4RK1 b - -,c7e5
2b5/2k1p2p/1Bp3p1/8/N1P2p2/PP1n4/4rPPP/R5K1 b - -,c7b7
r1bq1rk1/1pp2ppp/2n1pn2/p5B1/1bpP4/2N2NP1/PP2PPBP/R2Q1RK1 b - -,h7h6
8/1p2B2p/p3p3/5p2/P3k3/1P2Pb2/3K3P/8 w - f6,b3b4
r1br2k1/pp2qppp/2n1p3/1NP5/1P6/P5P1/1Q3PBP/R2R2K1 b - -,c8d7
2r3k1/pp4pp/4p3/3p2q1/P2Pn3/3Q3P/1P1N3K/R1B2r2 w - -,d3f1
8/pp1k4/5pp1/2PP4/3R3p/1K3P2/8/6r1 b - -,g6g5
r1b1r1k1/p3B1pp/1np2p2/8/8/1P3N2/1K3PPP/3RR3 w - -,f3d4
8/2q2p2/1p3kp1/pP1p3p/Pr1Pp3/4PP1P/6P1/1R1Q2K1 b - -,b4b1
r1b2rk1/p7/1ppq3p/3p2p1/3b1p2/1Q3PP1/PP2PNBP/3R1RK1 b - -,d4c5
r4k2/2pb1r2/3p4/3P1pb1/p1PB4/3P1BPp/PPK4P/4R1R1 w - -,g1f1
r6k/4bp1p/bp2p1p1/3pP3/rPqN1P2/P1P1Q2P/2R3P1/1N1R2K1 w - -,g1h2
8/1r2k1p1/R3p2p/1P3p2/2pP1P2/P1N1PP2/5K1P/1n6 w - -,c3b1
6rk/4qp1p/r3pp2/2p1P3/p1P5/P3QR2/1P1R2PP/6K1 b - -,f6f5
r1bqr1k1/p1p2pbp/5np1/3p4/8/2NBB3/PPP2PPP/R2Q1RK1 w - -,e3c5
4r1k1/2q2pp1/5b1p/1Q1p1B1P/r6P/5P2/PPP5/1K1R2R1 b - -,a4a8
2r3k1/1p3pp1/2n3p1/8/3PR3/3q1P2/rBRK2PP/8 w - -,d2d3
r2q1rk1/ppp2ppp/1nn5/4p1b1/8/1BPP1QNP/PP3PP1/R1B1R1K1 b - -,a7a5
r1b1r1k1/p1qn1pp1/1ppbpn1p/4N3/2BP4/2P3N1/PP2QPPP/R1B1R1K1 w - -,c1d2
3k1r2/Rp2b1R1/1q2p3/1P2P2p/2QP4/5r2/5P1P/4K3 w - -,a7a2
2r3k1/5ppp/2n1p3/1R1pP3/3P2KP/5N2/8/8 w - -,h4h5
1r1rb1k1/4bpp1/1qn1p2p/pp1p4/1P1P4/P2QPNP1/N1R2P1P/1R3BK1 b - -,a5b4
rr6/2pbqpk1/3p1nn1/p2Pp3/4P3/2P1P3/RPBN2QP/4BRK1 b - -,b8h8
3r1r1k/2p3b1/p6p/1p3pq1/4p3/2P3B1/PP2QPPP/R3R2K w - -,f2f4
r4rk1/pb1q1pb1/1pnpp1np/1N4p1/1PPp4/PQ2PNP1/1B3PBP/1R1R2K1 w - -,f3d4
5rk1/8/n3p3/3pP1P1/P1nP3P/1R1B1PK1/8/2B1b3 w - -,g3g4
8/1p6/p1k5/8/1PK5/8/8/8 w - -,c4c3
8/4pk2/r2p2p1/p1rP1pPp/Pp1R1K1P/1P3P2/2P1R3/8 w - -,d4d2
5rk1/5ppp/4p3/p2p4/1b1P4/6P1/2b1PPBP/R4RK1 w - -,f1c1
r2qnrk1/3b1pb1/n2p2pp/pp1Pp3/2N1P3/P1N1B2P/1P2BPP1/R2QK2R w KQ b6,c4b6
2r5/6pk/q1r1p2p/P2pPp2/3Pb3/RRB5/3Q3P/6K1 b - -,a6a7
4r1k1/5pp1/p5p1/3p3n/3qP3/3B2B1/2P2NKP/1Q6 w - -,b1b7
3rr1k1/p2q1pp1/1p1b3p/2p5/3pPPn1/1P1P2PQ/PB1NR2P/2R3K1 b - -,f7f5
1rkb4/2p5/1pQ1R3/4P3/1pP5/6B1/P3q1K1/8 w - -,g2h1
3q1rk1/p2n1ppp/4pn2/1Br1b3/8/P1N1PP2/1P2QP1P/R1BR2K1 b - -,d8b8
2R5/1p4kp/2pb4/5PP1/4r3/7K/6N1/8 b - -,c6c5
2rq1rk1/pb2bppp/1p2p1n1/3pP3/2P1N3/P1N3B1/1P2BPPP/2RQ1R1K b - -,d5e4
8/7k/7p/1pp3p1/8/PNNb1K1P/1P4P1/6b1 w - -,b3c1
rn1qkb1r/ppp1pppp/1n1p4/4P3/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1g1:h2h3
8/3bk3/4p3/p7/P1BR4/1P6/2r4r/3KR3 b - -,c2a2
1n4k1/5pp1/6rp/8/3q4/PP2P1BP/5PP1/2R3K1 w - -,e3d4
r6k/4n1b1/p3p1qp/8/B3p3/2P1B3/1P2Q1PP/5R1K w - -,e3c5
8/3Q2pk/7p/6P1/7K/4rr1P/8/8 b - -,f3f4
4rr1k/2qnbppn/2p1p2p/1pPpP3/pP1P2P1/P2N1P2/1B2Q1BP/4RRK1 w - -,e2c2
8/R6p/1P1N1kp1/3B1p2/5P2/4n1PP/1r6/6K1 b - -,e3d5
8/5k1K/7P/8/5R2/8/6r1/8 b - -,f7e7
5qk1/7p/7P/p7/3QP3/6P1/6K1/8 w - -,d4d5
Q7/1R1n1k1p/2r3p1/5p2/p2B1P2/2P5/q5PP/6K1 b - -,a2e6
r1bqr1k1/1p1nbpp1/p2p1n1p/2pP4/P3P3/2N2N1P/1P2BPP1/R1BQR1K1 b - -,e7f8
5br1/N1rkpNp1/pp5p/2nP4/2RB4/8/PP3PPP/3R2K1 b - -,c7a7
r4bk1/3q1p2/7p/2p1p1p1/P3P1P1/2Pn2N1/2QB1PP1/Rr4K1 w - -,a1b1
4r3/2p4k/p5pp/2P2p2/PP6/2b1B1PP/3p1P2/3R1K2 b - -,c3b4
1r2b3/2r1kp2/pp2p1p1/2npP2p/P2N1P2/KPP1R1P1/6BP/3R4 w - -,h2h3
5nk1/1p5p/p2p2p1/2pPbp2/2P1N3/4B2P/PP3PP1/6K1 w - f6,f2f4
r2q1rk1/pp1n1ppp/2pbpn2/P4b2/2BP4/2N1PN1P/1P3PP1/R1BQ1RK1 b - -,h7h6
r7/3k3p/2p5/3pRp2/r7/2P5/PK3PPP/3R4 w - -,d1a1
