8/8/3nk3/R4p2/3r4/5B2/8/6K1 w - f6,g1f2
r1b2rk1/pp2qppp/2p2n2/4b3/2Bp1B2/P1N5/1P3PPP/R2QR1K1 b - -,d4c3
8/1p3pbk/p6P/5P2/PP5r/3p1R2/3B2K1/8 b - -,g7h6
5r2/8/1p1p1PR1/p3b3/P1P4p/1P3Bp1/7k/5K2 w - -,g6h6
B5k1/q4p2/p5pp/Qp6/3p3b/1P3N1P/P4PP1/2n3K1 w - -,a8d5
r1bqk1nr/pp1nppbp/2pp2p1/8/3PP3/2N1BN1P/PPP2PP1/R2QKB1R b KQkq -,b7b5
1k4r1/pp2pp1p/2P2r2/3pq3/1P1Nb3/1Q3B1p/P4PPb/3RR2K w - -,g2g3
2qr2k1/5ppb/r6p/1Nb5/2PpP3/P2Q2PP/6B1/1RR3K1 w - -,g1h2
3b4/6pp/8/2p5/Np1kp2P/1P4P1/3K1P2/8 b - -,c5c4
R7/8/8/1r6/8/pk1K4/8/8 w - -,d3d2
6k1/8/8/8/7Q/4K3/5r1p/8 b - -,f2b2
3r3k/1R4p1/p5p1/4p1N1/8/1P3bP1/2r2P1P/4R1K1 b - -,f3b7
8/4k3/5R2/4p1P1/1P2r3/2P2p2/2K5/8 w - -,f6f3
1r3rk1/1p1bqpb1/2np2pp/p1p1p3/Q1P5/P1NP2P1/1P2PPBP/1RB1R1K1 b - -,f7f5
3r3r/p1k2p1p/2nqbp2/1p1p4/2pP1N2/2P1R1P1/P1PQ1PBP/2K4R w - -,h1e1
r1r3k1/5p1p/6p1/PbN5/4Pp2/7P/R1R2PP1/6K1 w - -,f2f3
8/8/2p5/1pPp3P/1P1P2k1/5p2/5K2/8 b - -,g4h5
1r4k1/3b1p1p/1q2pp2/1p2P3/3r1PQ1/2R5/6PP/5RK1 b - -,g8h8
8/6p1/3k3p/5P2/6PK/5b1P/8/8 w - -,h4h5
6k1/R4p2/3b1r1p/8/1P3P2/P2N4/3r3P/5RK1 w - -,d3e5:f1f3
8/8/6k1/8/3BKP2/1N2N3/p2r4/8 b - -,d2e2
2r3k1/1p2ppb1/q2p3p/pNB3p1/P3Pn2/N1P2P2/1P4PP/R3nQ1K w - -,g2g3
2r3k1/1p3ppp/p2q1n2/8/2rP4/P1NQ4/1P3PPP/R1R3K1 b - -,d6d4
r1rqb1k1/4bppp/pnn1p3/1pNp4/1P1P1B2/P1NBP2P/1Q3PP1/RR4K1 w - -,a3a4
rn1qr1k1/1b3ppp/p2b4/1p1p2P1/2pPnN2/1PN1P3/P1R2P1P/1BBQ1RK1 w - -,c3e4
5r2/1p6/4p1pp/1P1bP3/2pP1PkP/4K3/8/2R1B3 w - -,e1f2
r1qr2k1/pp2p1bp/2p3p1/4Pp1n/1nP5/1PB3PP/P2NQPK1/R3NR2 b - -,c6c5
7r/1p2pk2/2bp2p1/4r3/P2RP2P/2P2B2/1P1K4/7R w - -,b2b3
6k1/1p3pp1/2p5/3p4/P2Bn3/4PQ2/3q2K1/8 w - -,g2g1
2b3k1/1q5p/p4NpQ/1p1p4/1P1P4/P6P/5PK1/8 b - -,g8f7
8/5p1p/6p1/8/7k/5K1P/2r5/5B2 b - -,f7f5
r2qkb1r/pp3ppp/n1p5/4n3/P1B1P3/2N2P2/1P4PP/R1BQK2R w KQkq -,d1d8
r5k1/3b2bp/3q2p1/P1p2p2/2PpP3/8/4BPPP/R2Q1RK1 w - -,e2f3
r1b1k1nr/1pp1nppp/3q4/pPBP4/P1B5/1QPp1N2/5PPP/RN2K2R b KQkq -,d6c5
1k1r3r/1ppbn1pp/5p2/p3p3/2B1P3/3NK3/PPP2PPP/R2R4 b - -,e7c8
r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/3P2P1/PPP2P1P/RNBQKBNR w KQkq -,f2f4:f1g2:c2c4
6k1/R5p1/5p1p/1R2p2b/2r1P1P1/4K2P/2PB4/6r1 b - g3,h5g4
r4rk1/pbp2ppp/3pp3/3q4/1P1Pn2N/P3PBP1/1Q3P1P/R4RK1 b - -,g7g5
r2q1rk1/pb2bppp/2n1pn2/1ppp4/4P3/2PP1N2/PPQ1BPPP/R1B1RNK1 w - -,f1g3
r1b2rk1/2qnbppp/pp2p3/2ppP3/P6P/BPNn1N2/2PPQPP1/R3R1K1 w - -,e2d3
2b2rk1/1p4p1/3p2N1/3P1p1Q/1PP1p3/R3B3/1q2NK1P/8 b - -,f8f6
r2qk2r/1p1bbppp/p1nppn2/8/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq -,e1c1
4r3/6b1/1R2pk1p/4p3/3pP1BK/3P2P1/7P/8 b - -,g7f8
2Rq1rk1/p3pp1p/1p1p2p1/3P3n/8/1P2QNP1/Pb2PKBP/3R4 b - -,d8c8
4b1k1/p7/1pn3q1/4p3/4pBPQ/2P5/5P2/6K1 w - -,f4g5
r5rk/p5bp/2p1b1q1/2N2p2/1P2pQ2/P1NPP2P/4P1BK/5R2 w - -,d3d4
8/8/1p6/5K1p/PP1kp1rP/4R1P1/8/8 w - -,e3a3
r2qk2r/ppp1nppp/2nbb3/3p4/3P4/2PB1N1P/PP3PP1/RNBQK2R w KQkq -,d1c2
8/8/2pkb3/2p1p1p1/r1P1P1Pp/3p1P1P/P1R3K1/2R5 w - -,c2c3
r2q1rk1/1bpnnpb1/pp1pp1pp/8/P2PP3/1BN1BN1P/1PP1QPP1/3R1RK1 b - -,g8h7
8/4r1p1/3kBp1p/p1p2P2/1r1bR1K1/1P4P1/P3R2P/8 w - -,a2a3
r1b1k2r/1pq1bppp/p1nppn2/8/4PP2/1NNBBQ2/PPP3PP/2KR3R b kq -,e8g8:a8b8
r1bq1rk1/p4pbp/1ppp1n2/4p2p/2P5/1PNBP3/PBQPNPP1/2K4R b - -,d6d5
8/2P5/p5p1/P7/4K1k1/8/7p/8 w - -,c7c8q
r4rk1/1p1nqpbp/p1p1pnp1/3p4/P1PP4/1P1BPN1P/1BQ2PP1/R4RK1 b - a3,f8c8
8/6pp/4kn2/2Bp4/8/1B2PP1P/1b3KP1/8 b - -,e6e5
8/8/6B1/4k3/1ppp4/1P1Kn3/8/8 w - -,b3c4
8/p2q1r1k/1pP4p/1R2n2Q/6r1/2B1p1P1/P1P1pP2/4R1K1 b - -,d7e6
6k1/3b1pp1/3p1b1p/1p1Pp3/1n2P3/5N1P/qP3PP1/2QBR1K1 b - -,b4d3
bqrb2k1/r4ppp/3p1n2/1p2p2N/4P3/PP4PP/1B1RQPB1/4R1K1 w - -,h5f6
8/5pk1/5bp1/p6p/Pp6/6PP/1P3PK1/2B5 w - -,f2f4
8/2p3p1/p7/5k1p/1Pp4P/2P2K2/1P6/8 w - -,f3g3
r1b1r1k1/1p2qpb1/2ppn1p1/4p2p/1PP1P2P/2N1P1P1/1B3PB1/1R1Q1RK1 b - -,e8d8
r1q2rk1/pp2ppbp/2np1np1/8/4PP2/1NN1BQ2/PPP3PP/R4R1K b - -,c8g4
3rr1k1/1bq1bp2/pp2p1p1/4P2p/1PB2Pn1/P1N2NnP/1B4P1/3RQRK1 b - -,g3f1
r1b2kn1/pp3pr1/2n1p3/2PpP3/6Q1/P1P2N2/4BPPP/2R1R1K1 b - -,g7g4
3r3k/5pp1/7p/3P1P2/2B5/1p6/pb4PP/3R3K b - -,a2a1q
r1bqkb1r/1p1p1ppp/p1n1p1n1/4P3/2P1Q3/2N2N2/PP1B1PPP/2KR1B1R b kq -,d8c7
1r5r/3b2k1/3qP2p/pp1p1Pp1/n1pP2P1/2P1Q3/P1PKN3/R6R w - -,e6d7
3rr3/1k2qp1p/1pp1p1b1/p4p2/P2P4/2P1Q1P1/BP3RPP/5RK1 w - -,f1e1
r1b5/1p3R1p/p2P2pk/2pBn1b1/Pq6/7P/1P2Q1P1/3R3K w - -,e2e5
8/8/3k4/3rpp2/6p1/6P1/R4PK1/8 w - -,g2f1
1rbq1rk1/pp2ppbp/2np2p1/8/1n6/3P1NP1/1BPNPPBP/1R1Q1RK1 w - -,b2g7
8/4k1pp/1pKp4/2p1pB1P/2P5/n2P4/7P/8 w - -,f5h7
6k1/5pp1/p3p2p/2p5/N1P2b2/P4P2/1P1r1P1P/4R1K1 b - -,f4d6
3rk1nr/1bq1bppp/p3p3/1p2p3/4P3/1NN1RB2/PPP1QPPP/R5K1 w k -,a2a3
6r1/kp5q/p1p1p3/P1Pp1p2/1P1P1R1p/4P1rP/4R1P1/5Q1K b - -,h7h8
2r3k1/5pbp/1rq3p1/Rp2p3/4P3/1Q3N1P/1P3PP1/3R2K1 w - -,a5a7
3r1rk1/3nbppp/p1b1p3/1p1pP3/3B1P2/P1N4P/1PP3P1/2KRRN2 w - -,g2g3
1q3rkn/3brpp1/p1pp1n1p/1p3P2/3PPQ2/6NP/PPB3PN/R3R1K1 w - -,h2g4
K7/8/8/8/8/8/4q1p1/Q3k3 b - -,e1f2
1r3rk1/1p2ppbp/pq1p1np1/3P2B1/7Q/6PP/PPR1PPB1/3R2K1 b - -,b8c8
4rrk1/1p1qnbpp/p1nb1p2/3p4/P2N4/2PPB1P1/1P1QN1BP/R4R1K b - -,d6c7
1Q6/pp3p1k/7p/8/3P4/P3qN1P/6PK/8 w - -,b8d6
rn1qkb1r/pp2pppp/5n2/2pp4/3P2b1/1P2PN2/P1P2PPP/RNBQKB1R w KQkq -,c1b2:f1b5:f1e2
8/5k1p/p2q4/1p6/1P1NK1P1/2P1R1P1/8/8 w - -,d4f5
r1bqr1k1/pp1n1pp1/2pb1n1p/4p3/3P4/1BN1PN1P/PPQ2PP1/R1B2RK1 w - -,f3h4:c1d2:d4e5
5rk1/N4ppp/6r1/3nn3/7P/1P2B2K/1R3P2/5B1R b - -,f8a8
8/3N4/6k1/1p3p2/8/1K4RP/1P2r3/8 b - -,g6f7
8/4R1pk/p2R4/P7/7P/6K1/r6P/5b2 w - -,d6d1
5k2/1p3p2/bN4pp/2n5/P6P/2r3PB/3RPP1K/8 b - -,c5e4
1R2k3/7r/5P2/4B1K1/8/1p6/2b5/8 b - -,e8f7
r5k1/pp3ppp/1q6/1Nbpr3/4b3/P5B1/1P3PPP/2RQ1RK1 b - -,e5f5
1Q4R1/4r3/6pk/1p6/4q1P1/5p2/5P1K/8 w - -,g4g5
rnq1kb1r/pp3ppp/2p1pn2/2Pp1N2/3P1B2/1QN5/PP2PPPP/R3KB1R b KQkq -,e6f5
8/5ppk/3p1b1p/1p1Pp3/1q2P3/7P/1PQ1KPP1/4N3 b - -,f6d8
8/p5r1/1p2b2k/3pN1P1/3P4/2P1K1R1/PP6/8 b - -,g7g5
6k1/6p1/1BrRr3/2P2p1p/3p3P/1Pn3P1/5P2/R5K1 w - -,d6d8
r4rk1/ppq1Nppp/2n1bn2/4p3/4P3/1QN1B1P1/PP3PBP/R4RK1 b - -,c6e7
5r1k/1brnbppp/p3pn2/1p1p4/4P3/PNN1BP2/1PP1B1PP/3R1R1K w - -,e4d5
1r4q1/p5bk/3p2rp/2pQpp2/5P2/1P4P1/PB5P/R3R2K w - -,d5g8
3r1r2/2q1n2k/bp4pp/p2nRp2/P1p2P2/Q1PP4/1P1B1NBP/3R2K1 b - -,c4d3
r1b2rk1/1pq1n3/p3p3/2b3p1/5p2/2QB2B1/PPP2PPP/3RR1K1 w - -,e1e5
2r1q1k1/6pp/npr1pb2/p2p4/Pn1P4/NP4P1/1B2QPKP/R1RN4 w - -,c1c6
8/8/3k2pp/1P6/2PN1K1P/4P3/4B3/1r6 b - -,b1h1
4b3/7p/6p1/p2pk1PP/1p1N4/1P2K3/n1B5/8 w - -,h5h6
2r1k1q1/Rp2r3/2bp1p2/1B2n1p1/3B2P1/2Q4R/PKP2P2/8 b - -,e8f7
r1bq1rk1/pp2ppbp/6p1/2pPn3/4P3/2P2N2/P3BPPP/1RBQK2R w K -,f3e5
1r2r1k1/1bp2q1p/p2p1bp1/1p6/3NP3/5PB1/PP4PP/R2QR1K1 w - -,e1e2
4q3/1Q4P1/3k3K/5p2/7P/8/p7/8 w - -,b7a6
1r1qr1k1/p2n1pb1/1p2bnp1/2p1P1B1/2Pp1P2/3P3P/PP1NQ1B1/R2R2K1 b - -,d8c8
r1bq1rk1/ppp2ppp/2np1n2/4p3/2PP4/P1PBP3/4NPPP/R1BQK2R b KQ -,b7b6
3r4/p4k1p/1q4r1/3pBp2/5P2/3R2PP/P2Q3K/8 b - -,f7f8
r4r1k/pp2q1pp/8/8/3p2Q1/P7/1PbN1PN1/R5K1 b - -,e7f6
6k1/7p/1p1n2p1/p2Pq3/2P1prP1/1P2R3/2B1Q1KP/8 w - -,e3g3
r2q2k1/pp3rbp/4bpp1/3Np3/2Pp2n1/1Q2P1P1/PP1B1PBP/R2R2K1 b - -,d4e3
3r4/2p2k1p/r3bpp1/8/p1PB2PP/1PKB1P2/P6R/8 w - -,d3c2
8/p4pbk/1q2pnpp/1p6/4P3/1N4P1/3B1PBP/2Q3K1 b - -,f6g4
rnb2rk1/p6p/1p2pqp1/2p5/2B1P1Q1/2N5/PP3PPP/R4RK1 w - -,e4e5
4R1k1/1p5p/2p3q1/p7/7Q/P3npP1/1P3P1P/5BK1 b - -,g6e8
r5k1/1p3p1q/pbppb2B/8/1PPpP2Q/P2P2PP/6B1/5RK1 w - -,h6g5
7k/6p1/p3r1n1/1p3p2/2p2P2/P1P2K2/1P3P1P/2NR4 b - -,h8g8
8/1k3p2/p3p3/3r1npr/3N3p/1PpR4/P1P2PPP/1K1R4 b - -,f5d4
4rnk1/pR4pp/1p3b2/3PpQ2/P7/1P2N1q1/1B1K1R2/8 w - -,f2g2
5rk1/1p3p2/p2p2p1/2rPp2Q/1P6/2P3R1/1Pq3PP/K2R4 b - -,c5c4
6k1/1p3pp1/3b4/8/P2B4/1P1QN3/5K2/7q w - -,e3g2
2r1k1r1/pb1n1pnp/1p2p3/2pP2P1/q1P1Q2P/B1P4B/4NP2/R3K2R b KQ -,g8h8
8/4R3/B1p3pk/p1r1np1p/4p2P/4P1P1/5PK1/8 b - -,a5a4
2r3k1/4p2p/3p2N1/1p6/8/3P2P1/pr3PbP/R3R1K1 b - -,h7g6
3rr1k1/2p2ppp/p1n1b1q1/1p1N4/8/P1Q1B1b1/1PP2PPP/R2R2K1 w - -,c3c6
5bk1/5p1p/4pP2/3r4/2qP2P1/2p1B3/2Q4P/2R3K1 b - -,e6e5
4k3/5pp1/pB6/P6p/5P2/1r3PK1/7P/8 b - -,g7g6
8/p4kpp/4np2/2p5/7P/P1R1P1B1/5PPK/3r4 w - -,c3c4
4r1k1/1p2rpb1/1q1p2pp/p2P4/2PpnB2/3B4/PPQ2PPP/1RR3K1 w - a6,a2a3
3k4/1pp5/3pQ3/p2P1P2/2P1p3/1P2q3/P3N3/3K4 w - -,f5f6
8/8/8/2P3kp/1P5R/8/1PK5/5r2 w - -,h4h2
1r3rk1/1p5p/p2p2n1/P1pPnpq1/5R2/2NBP2P/1PQ3PK/5R2 w - -,f4f5
5k2/2NK1p2/6p1/3Pb2p/r7/3R2P1/8/8 w - -,d5d6
r5k1/5pb1/1p2p1pp/p3P3/Pp1r1B1P/1P2R3/2b1BPP1/2R3K1 w - -,c1c2
rn1qkb1r/p3pp2/2p3p1/1p1P2p1/P1pP4/2P3B1/5PPP/R2QKB1R b KQkq -,d8a5
4Rb2/ppp2pk1/2r2qp1/8/3P4/4Q3/1P2RP2/5K2 b - -,f6h4
r2qk1nr/pp2ppbp/2n3p1/3pP3/3P2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,e1g1
r5k1/2q2p1p/P6p/2p1p3/3pP3/1P1B1PP1/2P5/R5RK w - -,h1g2
2kr4/2p5/R6p/Pp1Pp1p1/8/8/1PP3PP/6K1 b - -,d8d5
7R/p7/1pp5/6k1/P1P1K3/1r6/7P/8 w - -,h8c8
8/p4k2/1pp2b1p/6p1/2P3P1/1PNb1K1P/P7/4B3 b - -,d3g6
r1bqk2r/p3npbp/1pnp2p1/2p1p3/3PP3/N1P1B1P1/PP2NPBP/R2QK2R b KQkq -,e8g8
r1bqk1nr/1p3pbp/p1npp1p1/2p5/4PP2/2NPBNP1/PPP3BP/R2QK2R b KQkq -,g8e7
8/8/5R2/pp4P1/3k4/8/2K3n1/8 b - -,g2e3
2rqkb1r/3n1pp1/p1bp3p/1p2p3/4P3/P1NQB3/1PP2PPP/R3RNK1 b k -,f8e7
3rkr2/5p1p/2bPp1pQ/p6n/Np3Pq1/1B6/PPP2RPP/4R1K1 w - -,f4f5
1n2r1k1/p4pbp/1p1q2p1/8/1PRPpN2/8/PB1Q1PPP/6K1 b - -,b8c6
2r2rk1/4p2p/pQp3pb/1p6/1P2Np2/P5P1/2P2P1P/3R2K1 w - -,d1d7
r3r1k1/1p3ppp/p2p4/8/3N1Pbb/2B4P/PP4P1/R1K4R b - -,g4d7
r3r3/2p2kpp/p1bb1p2/2p5/6P1/2N2P2/PPP2BP1/3RR1K1 b - -,a6a5
4B3/2b2p2/R3p1b1/1P4p1/Pkn5/4PK1P/5P2/8 b - -,c4e5
1rbq1rk1/5ppp/p1np3b/3Np3/1pP1P2P/1P4P1/P1N2P2/R2QKB1R w KQ -,f1h3:g3g4
8/1R5p/8/5k2/2bP1N1P/5PK1/r7/8 w - -,b7h7
r1b2r1k/1pp3q1/3p1b1p/p2Ppp2/2P5/2N3P1/PPQ2PBP/R4RK1 w - -,a1c1
rnbqkb1r/1p3ppp/2p1pn2/p2p2B1/2PP4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,f8e7
8/6R1/4k2p/r4P1P/8/5K2/8/8 b - -,e6f5
r3k2r/3nqppp/p2b4/1p2p3/1P2Q3/P3PN2/1B3PPP/R4RK1 b kq -,e8g8
r4b2/5pk1/2p2p1p/2P5/1P2R1PN/3K4/5P2/8 b - -,h6h5
2r2rk1/pp3pp1/2nq1np1/3pP3/8/1PP1Q2P/P2NBPP1/R4RK1 b - -,d6e5
2n1r1k1/2R4p/3pb1p1/4bpP1/8/5NBP/Pr4NK/5R2 b - -,e6d5
2kr2r1/pbp2p1p/1p1Q1n2/4n3/2P1pN2/P6P/1BP2PP1/2KR1B1R b - -,c7d6
2q3k1/Bp1n1r2/3p1b2/PB1Pp2p/QP2Pp2/5PpP/4N1P1/7K w - -,e2g1
8/4bk2/2p3p1/5p1p/2P2P1P/2K3P1/4R3/3rB3 b - -,e7f6
r3r1k1/p4ppp/2n1qn2/1p2p3/2PpP1P1/2P4P/PPB1QP2/R1B1K2R b KQ -,b5c4
5b2/1kp5/2p5/4p3/p1p1P3/P1P3R1/1PN5/3K3r w - -,c2e1
4rk2/2r2p1p/1Rn1PPp1/8/2P3B1/8/5K1P/4R3 b - -,f7e6
r4rk1/1nqnbppp/p3p3/1p2P3/3N4/2N5/PPP1QBPP/R4R1K w - -,f2g3
r1b3k1/1p1p4/p4Q2/4p1P1/2q5/8/PPP3PP/5R1K b - -,c4f1
1qrr2k1/pb1nbppp/1pp1pn2/3pP3/2PP4/1P3NP1/PBQN1PBP/2R1R1K1 b - -,f6e8
8/1k3p2/4p1pB/1K2P2p/1P3P1P/8/8/5r2 b - -,b7c7
r1bqk1nr/pppp1ppp/8/2b1p3/2BnP3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,d4f3
r3k2r/p4ppp/2nqp3/1p6/2pPpP1N/P1P1P3/1P2Q1PP/R3K2R w KQkq -,e2g4
rnbqr1k1/pp2bppp/3p1n2/2pP4/P7/2N2N1P/1PP1BPP1/R1BQK2R b KQ a3,b8a6
rq2r1k1/1p3p1p/2bp2p1/p1n5/1nPNPP2/1PN1R1PP/3Q2B1/R6K w - -,a1b1
2r1r1k1/1p3ppp/p1p1b1n1/3p4/PP1P3q/3BP2P/3Q1PPB/2R2RK1 b - -,e6d7
rn1qk1nr/pb3ppp/2p1p3/1p6/PbpP4/2N1PN2/1P2BPPP/R1BQK2R w KQkq -,e1g1
2r1k2r/2qpbp2/4p3/p3P1P1/1p1p1QP1/3Pnb2/PPPB1N2/2R2RK1 w k -,f4f3
1k4nr/2p5/2p5/2Pp1p2/1P1P2p1/R3P1P1/P3N1K1/8 b - -,g8f6
rn1q1rk1/pp2bppp/4pn2/2pp4/3P1P2/1P4P1/P1PN1PBP/R1BQ1RK1 w - c6,d2f3
8/4k2r/2p5/5R1P/p1P3P1/1b3R1K/8/8 b - -,b3c4
4N2k/1pp2p1p/3p2p1/3Pb3/q6P/5P2/2P2P2/4RK1R b - -,a4e8
8/5pb1/kprpp2p/p5p1/2P1PP2/3KN1P1/2N4P/1R6 w - -,b1f1
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/2N1PN2/PP1BBPPP/R2Q1RK1 b - -,d5c4
8/pp6/r7/2pp1k1p/2n1bP2/6PP/2P1R3/1R2K3 w - -,b1b7
8/Pq3p1p/Rb4pk/1P1p3n/8/6PP/4rP1K/Q1R5 w - -,h2g1
8/PR6/7p/6k1/8/r4P1P/6K1/8 w - -,g2g3
8/6n1/8/3nk2p/1P5P/7K/2N5/7B b - -,d5f4
5Nk1/qp2p1bp/3n2p1/3Pp3/5p2/1P3Q1P/1P3PP1/4R1K1 b - -,g8f8
r1b2rk1/p2nqppp/1p1ppn2/2P5/1bP5/2N1PN2/PP1BBPPP/2RQ1RK1 b - -,b6c5
r2qkb1r/5ppp/p1p1p3/3nPb2/Q7/4B3/PP2BPPP/RN3RK1 b kq -,d8d7
4r1k1/5qbp/2p1r1p1/ppBb1p2/5P2/P1PB2QP/1P4P1/3R1RK1 w - -,f1e1
r4rk1/4pp1p/b1pp1np1/p7/2PP4/2KB1P1N/PP4PP/3RR3 b - -,a8a7
1k4r1/p7/1p5p/1P1pb1p1/1P6/3qB2P/R3NPP1/5RK1 w - -,e2d4
r1bq1k2/ppp2p2/5N1r/4p2p/2PnB3/3P4/PP5P/R2Q1RK1 w - -,f6d5
7r/p7/1p2b1k1/3p3n/2NP1P1B/2P2P2/PP1K4/4R3 b - -,h5f4
3r4/1pk3pp/n1p2p2/8/1PB1rP2/4P1P1/4K2P/1RR5 b - -,b7b5
r2q1rk1/pbp2ppp/1p2pn2/n2p4/2PP4/P3BNP1/1P2PPBP/2RQK2R w K d6,c4d5
r1bq1rk1/pp2npbp/2P3p1/8/1PB5/1Q3p2/P2P1PPP/RNB2RK1 w - -,b3f3
1k6/6R1/1p6/1P5p/2P1pr1P/1K6/5P2/8 w - -,b3c3
r3k1r1/1p1bq1b1/p3pn1p/2Pp1pp1/1P6/2NBP3/P1PB1PPP/R2QK2R b KQq b3,f6e4
r1b2rk1/1pp1qppp/B2p1n2/2PPp1B1/1p2P3/P4N2/2Q2PPP/R4RK1 b - -,b4b3
8/3k2p1/p3ppp1/1p1b4/r2P4/P1P1BP2/2K3PP/R7 b - -,d5c6
rn1qkb1r/pp3ppp/4pn2/1B1p4/8/P3PQ1P/1P1P1PP1/RNB1K2R b KQkq -,b8c6
r1bqrbk1/pp3ppp/2p2n2/3p4/4PP2/1PN1BB2/1PP3PP/R2QR1K1 w - -,e3f2
2r5/6k1/p1pR4/2n5/Pp3nPP/1P3P2/2P5/4R2K b - -,f4g6
8/1k1rbp1r/2q1b3/3pP2p/1ppN2pP/2P1B1P1/1PP2Q2/2KR1R2 b - -,c6c7
r3rnk1/1bqn2pp/pp1pp3/6b1/2P1P3/2NB1NR1/PP2Q1PP/4R2K w - -,f3g5
2rr2k1/p3pp2/1p1P2pp/n3P3/1Bq2P1b/5B2/5P1P/1R1Q1RK1 w - -,d6d7
2b3k1/q4pbp/1p1r2p1/pP1nn3/3N4/P4P2/1B2N1PP/1BR3QK b - -,c8d7
6q1/kb3r2/1p1Bp2p/pP1pP2P/P1pPpRP1/2P1Nn2/2K2Q2/8 w - -,f4f7
3r1rk1/1b4bp/pqn3p1/1p3P2/4B3/PP1Pp1N1/R6P/1N1Q1R1K w - -,f5g6
4r1k1/1pp1rp2/3q3p/2QP2p1/8/1N1NPPnP/PPP5/4R1K1 b - -,d6f6
5r2/Q4p1k/6pp/3R3b/2B1PP1q/PP6/2K5/8 w - -,a7e3
r1r3k1/3pqppp/bpn1p3/1N1n4/3N4/1Q6/PP1RBPPP/R5K1 b - -,c6d4
