8/5R1p/R5pk/8/1b6/1P1n2PP/3r1PK1/8 b - -,b4c5
8/8/8/R7/4pp1K/4rk2/8/8 w - -,h4g5
r1b2rk1/1pp2ppp/pb1p2Q1/3Pp3/2B2P2/2PP4/PP4PP/R1B2R1K b - -,h7g6
r3nrk1/bp1q1pp1/p1ppb1np/4p3/1PP5/P2PPNPP/1BQN1PBK/2R2R2 b - -,a7b8
7r/5pk1/3p3q/R1pP1Qp1/1pP3P1/1P3P2/P5K1/8 w - -,g2f2
3r2k1/4ppbp/n5p1/1p1PP3/8/1R2BN1P/r4PP1/3RK3 b - -,b5b4
3r2k1/ppp2rb1/6pp/4p3/2PnN3/4B1P1/PP3PKP/2RR4 b - -,b7b6
2r1k2r/4bp2/p3p1p1/1p1bN2p/8/P2P3Q/1P1q2PP/4RRBK w k -,e5f7
4r1k1/1pp1qnbp/4b1p1/1P1Bpp2/r1P5/2B3P1/1Q2PP1P/3RNRK1 w - -,e1c2
r4rk1/1p1b1pnp/p2p1n2/2pP1P2/P1PqpQ1N/R1N3P1/1P4BP/5R1K b - -,f8e8
3r2k1/p1r2ppp/1q2pn2/n7/B2P4/P2RNQ2/1P3PPP/R5K1 b - -,b6b2
4r3/pp3p1k/2p1pB2/6Rp/3P3n/2P2P2/PP6/1K6 w - -,g5h5
r3k2r/ppqb1ppp/2n1pn2/2bp4/8/1P1BPN2/PBPN1PPP/R2Q1RK1 w kq -,c2c4
8/5rk1/2b3p1/2ppp2p/pr1p4/1P1P1P1P/P1P3PN/3R1RK1 w - -,f1e1
8/5pk1/Q2b2p1/3q4/8/P1p1B1P1/5P1P/6K1 w - -,a6a4
5n2/4rk2/p1p2B2/P1P2Kp1/2P2PP1/8/P3p3/3R4 w - -,d1e1
5r2/6kp/p1p2n2/2P1N1p1/2B1p3/P6R/1r3P2/5K2 w - -,c4a6
2r3k1/3n1p1p/4p1p1/R3P3/4Bq2/1r5P/2n3P1/3RQ1BK w - -,g1h2
r1bqkn1r/4bpp1/pp1p1n1p/2pPp2P/P1N1PP2/2N5/1PP1B1P1/R1BQK2R b KQkq f3,f6d7
1r3rk1/2q2pbp/5np1/1p2p3/1Q6/2P3BP/1P2BPP1/3RR1K1 b - -,f6h5
7k/1p1q2r1/1p4rp/pPb1Pp2/P1Rp1PpP/3P2P1/7K/R1B1Q3 b - -,d7d5
rnbq1rk1/ppp1ppbp/5np1/3p4/3P1B2/2N2N1P/PPP1PPP1/R2QKB1R w KQ -,e2e3
r1r3k1/3n2b1/3Qb1pp/qp6/3nPP2/P1N1B3/1P4PP/1BR2RK1 w - -,e4e5
r2q3k/pp5p/2pp1p2/3b2p1/8/2B1Q1P1/PP3P1P/4R1K1 b - -,h8g8
r1b2rk1/pp1n2pp/2n1pq2/2bp4/8/2NB1NB1/PPP2PPP/R2Q1RK1 b - -,c6d4:d7e5:a7a6
2bq1rk1/p5pp/2p2b2/1rP1pp2/8/4BNP1/PPQ1PP1P/1RR3K1 w - -,c2c4
r1nqr1k1/2p2ppp/pp1p3n/3P1P1P/3NP1bR/2N3P1/PP1Q4/2K1RB2 w - -,d4c2
rn1qkb1r/ppp1pppp/8/3nPb2/3P4/5N2/PPP3PP/RNBQKB1R b KQkq -,e7e6
r1b2rk1/p2nbppp/1qp1p3/2ppP3/3P4/1NP2N2/PP3PPP/R1BQR1K1 b - -,c5d4
1r1b1rk1/pp1b1ppp/4qn2/3Np3/1PN1P3/P5P1/1Q3PBP/2RR2K1 b - -,d7a4
r1b1nr1k/1q3ppp/p2pp3/1pn5/3NP3/1BN2PQ1/PPP3PP/3R1R1K w - -,a2a3
7r/p1k2p2/2n5/1BP1pp2/1P1p1b1p/P4P1P/5P2/R2R1K2 w - -,f1e2
r3k2r/pp1nppb1/2p1b1pp/8/1P1P3B/3BPN2/P4PPP/R3K2R w KQkq -,e1g1
8/8/1p4B1/pK4kP/2P5/1P2b3/P7/8 b - -,g5h6
1r6/3b1pkp/4p1pR/3pP1PP/pp1N1P2/3P4/PP1K4/8 w - -,h5g6
r3rbk1/pbqn1p1p/1pp3p1/4p3/N1P1Pn2/P2BBN1P/1PQ2PP1/2RR2K1 w - -,d3f1
5n2/6bk/4q1pp/7r/1Pp5/P4Q1P/6P1/2R2R1K w - -,f3f7
3k4/5R2/2B5/p3N1p1/2Pb3p/P7/KP2q1PP/8 w - -,f7d7
r2qkb1r/pb2Nppp/1p1p4/2p5/2PpPP2/3P4/PP2B1PP/R1BQK2R b KQkq -,f8e7
rnb1kb1r/5p1p/p1p1p1p1/1p1qP1N1/3P4/2PQ4/P4PPP/R1B1KB1R w KQkq b6,f1e2
5k2/4pPn1/p2p4/1pr5/7P/P2B4/1PP5/3K1R2 w - -,d3g6
rn6/2qn1kbp/1pp5/3p1p2/P7/3QB2P/1P4P1/2R2RK1 b - -,f7g8
r1br2k1/2q1bppp/1np1p3/p1ppP3/P1P2P2/1P1P1NN1/4Q1PP/R1B1R1K1 b - a3,b6d7
2q1n1k1/7r/p2pp1r1/2p2p1p/2P2P2/1P1R2P1/P2R3P/B2Q2K1 b - -,h5h4
r2q1rk1/1ppb1ppp/p7/2n5/5Q2/1BN5/PPP2PPP/3RR1K1 w - -,e1e5
1r3rk1/2nqppbp/p1pp1np1/1p6/2P1P3/3PBNPP/PP1Q1PB1/2R2RK1 w - -,c4b5
r1bqkb1r/pp3ppp/5n2/2pp4/2Bn4/2N5/PPPPNPPP/R1BQ1RK1 w kq -,c3d5
4rrk1/p1pqb1pp/2p2p2/3p3n/3P2b1/2NBQ1B1/PPP2PPP/R4RK1 w - -,e3d2
8/8/P7/1P6/8/2PKR3/r3pk2/8 w - -,e3e2
8/8/8/3N4/3k4/3b1p2/2p5/2K5 w - -,d5f4
r4r1k/pp1b3p/1q2pp1b/2Nn4/1P1P4/PQ1B1N2/5KPP/R3R3 b - -,a8d8
1n5r/3rkp2/p3p2p/2p5/2P1N2P/6P1/PP1RP3/3R2K1 w - -,e4c5
r3kb1r/1pp1n1pp/p1pqbp2/4p3/4P3/3PBN2/PPPN1PPP/R2Q1RK1 w kq -,d3d4
1rr3k1/pb1qp1bp/3p1n2/2p2p2/2P1PP2/2NPB2P/P2Q1RB1/2R3K1 w - -,g1h2
r3r1k1/pbpn2b1/1p4pp/4pp1n/1PN1P2q/2PN1P2/P1Q1BBPP/R4RK1 b - -,h4g5
B7/2k5/5n1p/P1pp1p2/2p2P2/8/3K1P1P/8 b - -,c7b8:d5d4
r1b2R2/p5kp/1pp5/7p/8/3B4/PPP3PP/7K w - -,f8d8
5r1r/2k2p2/b3pRp1/p1p1P2p/4BK1P/2P2P2/PR4P1/8 w - -,a2a4
3q2k1/5p1p/b3rnp1/p2p2P1/3Q1P2/PP1Br3/1B5P/2RR2K1 w - -,d3a6
r4rk1/pp3ppp/8/2PQq2n/3n4/P1N2P2/1PK1B2P/R5R1 w - -,c2d1
3k2rr/2pbq3/Bp1p4/3Pp2n/1Q2PpNn/1R3N1P/PPP3P1/2K4R w - -,f3h4
6k1/8/7p/8/5p1p/3p4/3Br1P1/3KN3 w - -,d2f4
r3kb1r/pp1q1ppp/2p5/3pPbN1/8/2PP2Q1/PP4PP/R1B2RK1 w kq -,f1f3
r2r1nk1/p3bppp/1q1ppn2/1Pp5/2P1NB2/2N3P1/P1Q1PPKP/1R1R4 b - -,f8g6
8/5pk1/4p1p1/4P1Bp/1n1P3P/Q7/2qK4/8 w - -,d2e3
4bk1r/p2q1pp1/2n1p1Bp/3pP3/2pP1QR1/P1p1N3/1rP1KPP1/7R b - -,c6e7
rnbqk1nr/pp2ppbp/3p2p1/2p3B1/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq c6,c2c3
r1b2rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 w - -,c1b2
2r2rk1/pp1n1p2/3Pp1pp/4b3/4N3/3RN2P/PP3PP1/3R2K1 w - -,d3b3
8/3R3p/6p1/2k5/pp2n3/8/K4PPP/8 w - -,f2f4
8/p1rk3p/3b2p1/3Rp3/PpB1K3/1P2P1P1/5PP1/8 b - -,d7e7
1nr3k1/p3qpp1/b3pn1p/8/1p1N1P2/1Q1NPB2/PP1R1P1P/6K1 b - -,a6d3
3b2k1/2n2pp1/6p1/B1Pp4/2pP4/4NQP1/1q3P1P/6K1 w - -,a5c7
r3r2k/p4pq1/1pp1b2p/3pP1p1/5R2/1B3PN1/PP3QPP/4R1K1 b - -,g5f4
r7/4ppk1/1p1p1bp1/3PN3/2P5/7P/5RP1/1R5K b - -,f6e5
4r1k1/3b2pp/p1p3r1/1pR2p2/3BP3/5P1P/PP3P1K/6R1 w - -,g1g6
2r3k1/4br1p/p2q2p1/1p1Ppp2/n1p1P1b1/5N2/NPPBQPPP/RR4K1 b - -,a4c5
r1q1k2r/pp2pp1p/2n2np1/2N2b2/2P5/3B4/P1P2PPP/R1BQ1RK1 w kq -,c1h6
5n2/p4pkp/1pN5/1R6/1P5P/1r4P1/5P2/6K1 b - -,b3a3
5rk1/1R1R1ppp/8/8/2r5/4P1P1/5P1P/6K1 w - -,d7e7
r2nr3/p1pp2kp/1p1q1pp1/5p2/P1PP1N2/3QP1P1/2P2P1P/1R3RK1 b - -,d8e6
3rqrk1/1RP3pp/1Q6/p7/4pp2/P2p4/5PPP/1R4K1 b - -,d8c8
2r1b3/7p/p3p3/4k1p1/2P1pp2/1P4P1/P1N2P1P/3R1K2 b - -,h7h6
r4rk1/1pqbbppp/p2ppn2/8/P2nPP2/2NBB3/1PP3PP/R2Q1R1K w - -,e3d4
2r2r1k/pp1b2pp/1q1bpn2/3p4/3P4/2NB1N2/PPR2PPP/3Q1RK1 w - -,f1e1
2r2rk1/2qbbppp/p1Nppn2/1p4B1/4PP2/P1N2B2/1PPQ2PP/1K1R3R b - -,d7c6
r3k2r/p2q1pp1/1p2p1n1/n2pP1Bp/P2P3P/5QN1/2P2PP1/R3K2R b KQkq -,d7c6
3r4/p5kp/1p4p1/2p1p3/4P3/PP3p1q/2P2P1P/3R1QK1 b - -,d8d1
1r4k1/2q1bppp/2p3n1/2PpP3/1P3pQ1/r4N1P/2PBRPP1/4R1K1 b - -,c7c8
5rk1/p1r1ppbp/qp1p1np1/3P4/bn2PP2/1NN1B1PP/PP1Q2B1/R2R2K1 w - -,g2f1
5q2/1K6/1R6/2p5/2Pk4/1P6/8/8 w - -,b7a7
4R3/5p2/3P1kp1/2r1n2p/4P3/8/6PK/8 b - -,c5c3
1n1r2k1/2q2bp1/1p3p1p/p1p1pP2/P3P1PQ/4B3/1PP3BP/4R1K1 w - -,h4f2
1rq5/Rp1brpk1/1P1b1n1p/3Pp1p1/7n/1QNBB2P/5PPN/4R1K1 w - -,c3b5
rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/2PP1B2/6PN/PPQNPPBP/R4RK1 b - -,f6h5
rn1qk2r/1b2bpp1/p1p1p2p/1p1nP3/P1pPN3/5N2/1PQBBPPP/R4RK1 b kq -,b8d7
7r/p2q1bk1/1pnBp3/3pPpPp/P1pP1P1n/2P1NQ1B/2P4K/R7 w - -,f3f2
r6k/5pbp/P1rp2p1/8/1p1pPP2/3P1R1P/1P4B1/R5K1 w - -,e4e5
2r2rk1/pp1b2pp/1q2pb2/3p2P1/3P1P2/3BB3/PP2Q2P/R4R1K b - -,f6d4
2brr1k1/1p3pp1/2pp3p/p5n1/Pq1BP3/2R3PP/2PQ1PBK/4R3 w - -,d2e3
r1b2rk1/1pqpbppp/p1n1pn2/8/3NP3/2N3PP/PPP2PB1/R1BQ1RK1 w - -,g3g4
r1b2rk1/ppp1q1pp/2n1pn2/2bp1p2/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 b - c3,d5d4
r1b1qrk1/1pp5/3p1npp/p1nPpp2/2P1P3/PPN2P2/3NB1PP/R2Q1RK1 w - -,b3b4
r5k1/1p2qpp1/2p2n1p/p3r3/1P6/P3P1P1/2Q2PBP/R2R2K1 w - a6,c2b2
r2qk2r/pp1nnpb1/2p1p1p1/3p3p/4P2P/P1NP1QP1/1PP2PB1/R1B2RK1 b kq -,d8b6
