8/5p1k/7p/5Pp1/2P4r/8/2R2P2/4rNK1 w - -,g1g2
rn3rk1/p2qppbp/4b1p1/1p1p4/2pP1BPP/2N1PP2/PPPQ4/2KR1B1R w - b6,c3b1
4r1k1/3r1p1p/p6B/1p3pPP/8/KPP5/P1Q1pq2/4R3 w - -,c2c1
2rq2k1/pb2prbp/1p1pn3/5B2/2P2PP1/1PN1B3/P6P/2RQ1RK1 b - -,e6c5
2b1r3/2r3kp/p3p1pN/1p4P1/3q2P1/4NR1Q/P6P/5RK1 w - b6,f3f7
r5k1/1np1bp1p/ppb1pNp1/4PP2/2PR2P1/2B1P3/P1B4P/6K1 b - -,g8h8
1rb1rk2/2q1b1p1/2pp3p/1p2p1pn/3PP3/1BN4P/1PP1QPPB/3RR1K1 b - -,h5f6
4r3/6kp/6p1/p1pB2n1/2P5/1P2p1P1/P2P2K1/4R3 w - -,e1e3
r2q1b1k/1p1b4/p2Q2p1/n4r2/3P2n1/2P3P1/PP3BBP/R4RK1 w - -,d6g6
2b2rk1/3r1ppp/1pNBp3/1P6/1P4n1/4bBP1/P6P/3R1R1K b - -,g4f2
r5k1/1b2qp2/1p3pnp/1N2p3/2B5/P3PP2/1P1Q2PP/4K2R b K -,a8d8
r3r1k1/1p1bqppp/p3p3/2P5/8/2Q1PN2/PP3PPP/3R1RK1 b - -,d7b5
2rqnrk1/3nbppp/p2pb3/1p1Np1P1/4P2P/1N2BQ2/PPP2P2/R3KB1R w KQ -,c2c3
8/p7/4k2p/1pp2p1P/3p2r1/P2P1K2/1PP5/4R3 b - -,e6f6
8/1R3pk1/4p2p/r5p1/2n5/5BPP/4PK2/8 w - -,b7c7
2r3k1/pp1b2pp/4p3/n2pPp2/3P4/P1r5/R2BBPPP/5RK1 w - -,d2c3
q2r4/3rppkp/1pRnbbp1/3N4/1B1P4/PQ2P1P1/5PBP/2R3K1 w - -,b3d1
8/1pp2kbp/3pq1p1/3P4/1PP2p2/1R3N1P/5PPK/r7 w - -,f3g5
rn1q1rk1/p1p2ppp/1p2pn2/8/2NP4/BPb2NP1/P3PPBP/1Q3RK1 b - -,c7c5
rn2k1nr/pb1pppbp/1p4p1/2q5/8/N1P2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
8/5pk1/6p1/2R5/4p1NP/8/r4PK1/8 w - -,g2g3
1r1r2k1/5ppp/p3p3/3B4/5P2/2P3P1/1P3R1P/4R1K1 b - -,d8d5
r2q1rk1/pp1nppbp/1np3p1/6N1/2bP1B2/Q1N1P3/PP3PPP/3RKB1R w K -,f1c4
r4rk1/1p5p/3R4/p4pp1/2b1p3/P3P3/1PP2KPP/R3N3 w - g6,g2g3
4rbk1/1p3ppp/r5q1/3N4/P2BPQ2/1P3PPb/7P/2R1R1K1 b - -,a6c6
r3r1k1/pp3ppp/1qn1b3/2RpP3/5B2/3B4/PP3PPP/3Q1RK1 w - -,c5b5
4b3/1p3pk1/4p1p1/1PR1P2p/3P3P/8/8/K7 w - -,b5b6
R7/8/1pr5/2p1b1k1/2B1Pp2/5K2/5P2/8 w - -,a8g8
8/3k4/2p3Bp/2Pp1pp1/K2P1P2/6Pb/7P/8 w - -,a4b4
4kb2/p4p2/bp1p4/2pPpNP1/1P2P3/8/P1PB1K2/8 b - -,f8e7
6k1/1p4rp/2p1r2q/1P1pPp2/3Q1Pb1/6P1/2R3BP/2R3K1 w - -,b5c6
r1bqnrk1/pp1pppbp/n5p1/2P1P3/3Q4/2N1BN2/PPP2PPP/R3KB1R b KQ -,d8a5
8/2k5/7R/1p2b1P1/2p5/P2n4/1PB2r2/1K1R4 w - -,g5g6
8/8/pp1p4/3Pk2p/4r3/P3K3/1P3P2/3R4 w - -,e3f3
1r6/1r2pk1p/2npp1p1/p7/N3P3/1PP2P1P/2K3P1/1R3R2 w - -,b1b2
5r2/rp2ppkp/3p2p1/p1n2Q2/2P5/1P3BP1/P3PP1P/1R1R2K1 b - -,g6f5
8/8/3k2p1/2p1b3/2Pp1pP1/3K3P/P2N4/8 b - -,d6c6
3r4/1b1nk3/3pB2p/p1rPp1p1/8/1Pp3R1/PB4PP/2KR4 w - -,b2a3
2kr4/p4ppp/q1pb4/8/1P1P1pb1/2P2N2/P2N1PPP/R4QK1 b - -,a6f1
r5k1/pp3pp1/2pQ3p/r4P2/4PnqP/2N5/bP3BP1/R3R1K1 w - -,g2g3
r1r3k1/1b1n1ppp/p2qpn2/1p6/2pP4/1P2PN2/PQ1BBPPP/R2R2K1 b - -,a8b8
r5k1/2pb3n/1p1p3p/3P2bN/1PPq2p1/3B2B1/2Q4P/4Rr1K w - -,e1f1
r5r1/q2n4/2k2p1p/2p1pP2/2P5/2BB3P/4Q2K/1R6 w - -,e2e4
2rr1k2/1p3ppp/p3bp2/2n5/8/2N1P2P/PP2BPP1/2RR1K2 b - -,f8e7
r3r1k1/1pp1qppp/1b1p1n2/1P6/1PQ1P3/p5PP/P2B1PB1/4RRK1 b - -,e7e6
rnbqk2r/4bppp/2P1pn2/p1pp4/3P4/2NBPN2/P4PPP/R1BQK2R w KQkq -,d3b5
rnbqkb1r/p2p1ppp/4p3/1Ppn4/8/5N2/PP2PPPP/RNBQKB1R w KQkq -,e2e4
4R3/5p2/pk6/1p6/2p2nP1/2P5/PP1K4/3B1r2 w - -,b2b3
rn1qk2r/pb1pbppp/1p2pn2/6B1/3P4/3B1N2/PPPNQPPP/R3K2R b KQkq -,d7d6
3r2k1/p4p1p/3P2n1/2P5/4Q3/P1q5/5PpP/4R1K1 w - -,e4b4
2n2r2/2q3pk/6bp/p1p1R2Q/2P5/1P3P2/P5PP/4R1K1 w - -,h5h4
8/P4k2/1rp1p3/3pPp2/P1n2Pq1/3QP1Pp/5R1K/4B3 b - -,b6a6
r2qnrk1/1p4pp/p2bb3/4npP1/2PQ1N2/1P2P3/PB1PBP1P/2KR2R1 b - -,e6f7
r1bqkb1r/pp1p1ppp/2n1pn2/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq -,d4b3:d4c6:d4f3:c2c3
r2qkb1r/pp3ppp/2n1pn2/2pp4/5P2/2PP1BP1/PP2P2P/RNBQ1RK1 b kq -,f8e7
3r1rk1/p4pbp/2n1b1p1/8/4p3/PP2BP2/2P3PP/3RKBNR w K -,d1d8
3r1rk1/1pq1bppp/pNn1n3/P1p1p3/4P3/2PPBN1P/1P2Q1P1/R4RK1 b - -,g8h8
8/4kp1p/6p1/R4P2/4P3/p6K/5P1P/r7 b - -,a3a2
r7/5pk1/4pbp1/p2p3p/P1rP1P2/2PK2PP/3B4/RR6 b - -,f6d8
8/4k3/2P4p/4KB2/8/7P/8/2r5 w - -,f5d7
2b3k1/4r1rp/1p1p2n1/p2P1pPB/P7/1PN3R1/7P/6RK b - -,f5f4
r1b2r2/7k/p1p2q1p/4np2/4pB2/P6P/1P3PP1/1BRQ1RK1 b - -,e5g6
3rr1k1/pp1n1pbp/n2Bb1p1/1Np1P3/2P5/5N2/PP1KBPPP/R6R w - -,e2d3
8/5pk1/5rpp/2pP4/3b4/qB1Q2PP/P3RPK1/8 w - -,d3c4
5b2/p2r1k1p/6p1/1p3p2/3P4/P1BK3P/1P3P2/4R3 b - -,a7a6
r1bq1rk1/pppp2pp/2n1pn2/5p2/1bPP4/2N1PP2/PP1B2PP/R2QKBNR w KQ -,a2a3
1kr4r/1pqb1ppp/p2bpn2/1P4B1/2BN4/2P4P/P3QPP1/R3R1K1 w - -,c4d3
1r1qr1k1/1p1b1nbp/p2p1np1/2pP1p2/P1N2P2/2N3PP/1PQ1P1BK/R1B2R2 w - -,a4a5
r3r1k1/1pbn1pp1/p1p1p2p/P2pP3/1P1P2Pq/1NPQ3P/3BRP2/5RK1 w - -,f2f4
5r1r/1p1nq1k1/p2p1ppp/2p1p3/2P1PP1P/1P1P2PQ/PB3R2/5RK1 w - -,g3g4
r5rk/pp2nqbp/4pp2/3p4/3PpBR1/2P3NP/PP3PP1/R2Q2K1 w - -,g4h4
rn2k2r/pbp2p1p/1p2pp2/8/2PPQ3/5N2/P1P2PPP/R3KB1R b KQkq -,b7e4
r2qk2r/pp1nbppp/2p1p2n/3p4/3P1PP1/3BPQ1P/PPP5/RNB1K2R w KQkq -,e1g1
1R6/8/8/8/1p6/2r5/1k1K4/8 b - -,b4b3
rn2k2r/pp2bpp1/2pp1n1p/5b2/8/2NP1N2/PPPBBPPP/R4RK1 w kq -,h2h3
2r4r/pp3kp1/2q1bp2/5p1p/2pP1Q1P/2P2NP1/5P2/RR4K1 w - -,a1a7
1r1Rr1k1/6pp/p4pn1/4p3/q7/5BP1/1PP2Q1P/3R3K w - -,d8b8
8/1k5p/1P2p3/1R2pp2/3b4/6P1/6KP/8 b - -,e5e4
r1bq1rk1/p3p1bp/2pp1np1/2p5/2N5/3P3P/PPP2PP1/RNBQR1K1 b - -,f6d5
3Q2k1/5pb1/6p1/7p/8/3pB1P1/2q1PP1P/5K2 b - -,g8h7
4N3/7p/3b3P/1p3k2/5N2/3K1P2/8/8 w - -,e8d6
5r2/p3Nbk1/1p1Pn1pp/6q1/8/5Q2/PP4PP/1B3RK1 w - -,f3c3
Q5k1/5pb1/3q2p1/7p/2r5/4P1P1/5P1P/2B2RK1 b - -,d6f8
8/6kp/pp4p1/2b1p3/P2q4/5P1P/2B3PK/4Q3 b - -,b6b5
r2r3k/1p4pp/3p2b1/qNn1p3/2P2n2/NP3P2/P2QB1PP/R2R3K b - -,a5b6
r3k3/5p2/3P1Pp1/p1pP3p/1r6/4N3/5B1P/2R4K b - -,a5a4
8/8/8/8/5P2/5KP1/2Q5/5k2 w - -,c2f2
2r5/5kp1/pqP1pp1p/3n4/3N4/3Q2PP/P1R2PK1/8 b - -,e6e5
2r1r1kb/2qbpp1p/p1np2pB/1p1P4/8/P4NPP/1PP2PB1/R1Q1R1K1 b - -,c6d4
8/p3Qpk1/8/4b3/1P1q4/P5PP/5P2/6K1 w - -,e7g5
5R2/2b1r1p1/2P2pP1/2k2P2/3pB3/3P1K2/8/8 b - -,c7d6
rn1q1rk1/pp2bppp/1n1p4/3Pp3/2P5/5B1P/PP3PP1/RNBQ1RK1 w - -,c4c5
2q2rk1/4bp2/R2pbnp1/4r2p/1p1BP3/1P4PP/2P1N1B1/3Q1RK1 w - -,a6a7
2b1qrk1/5pb1/p1pB1npp/7r/3QP3/2N3P1/P4PBP/2R2RK1 w - -,d6f8
5rk1/p6p/2p1b1p1/PP2b3/2prP3/3BBPp1/3Q2Pq/2RRNKN1 w - -,b5c6
2r1nrk1/5pbp/p2p2p1/3P4/pqN1PP2/7P/1P2QBP1/1B3RK1 w - -,b1d3
r1b2rk1/ppqn1pp1/3bp2p/3pN3/2pP1B2/2P1P1QP/PPB2PP1/R4RK1 b - -,d6e5
r1bq1rk1/ppp2ppp/1n3n2/8/1bBP4/2N5/PP2NPPP/R1BQ1RK1 w - -,c4b3
1r3rk1/1bqpbppp/pp2pnn1/8/NPP1P3/PN2BP2/3QB1PP/2R1K2R b K -,b7a8
8/1R6/r7/8/6KP/5p2/kp6/8 w - -,g4f3
8/5R2/1P2n3/4k3/2K2p2/8/8/8 b - -,e6d8
8/6p1/1pk1r3/p3pn1P/2P5/PP1KB3/8/6R1 b - -,e5e4
2rr2k1/pbq2pp1/1p2pn1p/4N3/2P5/3BR2P/PPQ2PP1/4R1K1 b - -,b6b5
r1q1kb1r/ppp2ppp/1nn1p3/2NbP3/3P4/P2B1P2/1PQ1N1PP/R1B1K2R b KQkq -,f8c5
3r2k1/p3qpb1/2pn2p1/4pb1p/1P2N3/P3P1PP/R4PB1/2B2QK1 w - -,e4c5
6k1/p4p1p/1qp1b1p1/3r4/3r4/QP1B1P2/P1P1R1PP/2K4R b - -,b6c7
1r6/2pq1pkp/2n1b1p1/p1Pp1p2/3P3P/PrRNP1P1/3Q1PB1/3R2K1 w - -,d1c1
r2q1rk1/ppp1nppp/1b4b1/4p1N1/2P3P1/3P3P/P1P2PB1/1RBQ1RK1 b - -,a8b8
5bk1/p4p2/4p2p/1q3P2/2N4P/1P4P1/5P2/3Q2K1 b - -,b5f5
r1bq1rk1/pppn1ppp/2np4/8/2P1P3/2N1NP2/PP4PP/R2QKB1R w KQ -,f1e2
2kr3r/2q3bp/p1n1p1p1/P1p2n2/2Pp4/3P1N2/2N1Q1PP/1RB2RK1 w - -,b1b6
2rR2k1/1p3pp1/pQ5p/4q3/4Pn2/5B2/PP4PP/6K1 b - -,c8d8
8/p2nB3/3P4/1p3k1p/1P3P2/P3K3/7P/8 b - b3,a7a6
8/6p1/R3pk1p/1r1p1p2/NPNP1P2/P3PP2/3n3P/6K1 b - -,d5c4
2r1k2r/1bq2ppp/p1nbp3/1p6/5P2/P1NQBB2/1PP3PP/R4RK1 w k -,c3e4
1nkr3r/1bpqb1pp/1p2p3/P2pP3/1p1P4/2PB4/1B1NQ1PP/R4RK1 b - -,b6a5
1k1r4/1P4p1/8/p6p/P4P2/1R3KP1/8/8 w - -,b3b5
r1rq2k1/1p3pbp/p1bp2p1/3Np3/1PPnP3/1B1QB3/P4PPP/1RR3K1 b - -,a6a5
r1bqk2r/pp1n1ppp/2pbpn2/3p4/3P4/2P2NP1/PPN1PP1P/R1BQKB1R w KQkq -,f1g2
r5k1/1p2qp2/1B1pn1p1/P2Qb3/4P1Pp/7P/5P2/3R1BK1 b - -,e6f4
r2qrnk1/1b2bpp1/ppn4p/3pP3/3P4/P1RB1N2/1B1N1PPP/3QR1K1 b - -,f8e6
2q2rk1/6b1/2np2p1/2p1p1p1/p3P2P/PrPP1NP1/3R2Q1/4R1K1 w - -,f3g5
r1b1kb1r/p3pppp/1pn2n2/2p5/4P3/2P1BP2/PP4PP/RN1K1BNR w kq -,b1d2
2r1qrk1/5ppp/5b2/pp2N3/np6/1Q1PB1P1/1P2PPKP/R4R2 w - -,e5f3
8/1R6/4K1pk/p7/6r1/8/8/8 w - -,e6f6
3rk2r/2p2ppp/1p2p3/p3n3/PqPN4/5QP1/1P3P1P/R3R1K1 w k -,f3h5
r3kn1Q/5p2/p1Np4/2BP1b1p/2P1pP2/6P1/P6P/1q1BK2R b Kq -,f5g4
6k1/1p5p/5b2/2P1q3/1P1pnN2/5QP1/7P/R5K1 b - -,e4c3
r1bqk2r/2p1npbp/p2p2p1/np6/3PP3/1BN1BN2/PP3PPP/R2Q1RK1 b kq -,e8g8
8/5Q2/p1p5/8/3PqpK1/P2k4/1P3p2/8 w - -,f7b3
5k2/p5Rp/3b4/2pP3q/PpP2p2/1P6/1BN2PKP/8 b - -,f4f3
8/8/1p2b3/p1k5/P1p2K2/6P1/2B5/8 w - -,g3g4
2bq1rnk/1p3p1p/r2p2p1/1NpPp1bn/P1P1P3/R3N1P1/1B3PBP/3Q1RK1 b - -,g5h6
r4rk1/p2n2p1/1pp3np/q4p2/1b1P4/2N2NB1/PP1Q1PPP/2R2RK1 w - -,d2c2
5rnk/1p2rpqp/p2p2p1/2nP2P1/PPPN1R2/8/2BQ3P/5RK1 b - -,c5d7
1kr1rb2/3q3p/p5pn/3pPpN1/1ppP1PPB/PnN4P/1P4Q1/1K1R2R1 w - -,a3b4
2r5/p4kp1/1p2pr2/n7/P3R1R1/3B4/2P2P1P/6K1 w - -,e4d4
r1bqr1k1/2p1bppp/p2p1n2/1p2p3/4P3/1PPP1N2/1P3PPP/R1BQRNK1 b - -,e7f8
r5k1/1pp3r1/3p1n1b/p1nPp1pp/2P1PpPq/1P3B1P/P2BQP1N/4R1RK b - g3,h4h3
4N3/1r3pk1/p1p3pp/8/1bP3P1/6P1/P2R2K1/4R3 b - -,g7f8
1k1rr3/ppq3pp/2n5/2p1n2P/3pPQ2/1B1P2P1/PPP5/4RRKN w - -,b3a4
2r3k1/p4pp1/1p2b2p/2n5/8/2P2P2/P1R2BPP/3B2K1 w - -,c2d2
2q2b1k/pr3ppp/1N6/2p1r1B1/8/1P3QP1/P4PKP/3R4 b - -,a7b6
3r4/1pkrppbp/pR4p1/2P5/P1bN1P2/2P1B3/2P3PP/1R4K1 b - -,c7c8
1rbq1rk1/1pp1ppb1/p1np1npp/8/2PP1B2/2N2NPP/PP2PPB1/2RQ1RK1 b - -,g6g5:f8e8
1r4k1/p3bppb/4p2p/Q7/2pN2P1/2B2P1N/P1P4q/2KR4 b - -,e7f6
3r2k1/4bpp1/p3b2p/1p1rP3/2p2B2/7P/PPN2PP1/R1R3K1 b - -,e7c5
rn2kb1r/pp2ppp1/2p2n1p/q4b2/3Pp2B/2N2P2/PPPQ2PP/R3KBNR w KQkq -,f3e4
3rk1r1/1pn1p1bp/pnp1p1p1/8/1P1PPPN1/6P1/1B4BP/R1R3K1 w - -,g4e5
r1bq1rk1/pp1nbpp1/2p1pn1p/3p4/2PP4/2NBPN2/PPQ2PPP/R1BR2K1 b - -,d5c4
1rr3k1/4ppbp/1p6/p3P1P1/P2p2P1/3R1B2/1P1B3P/6K1 b - -,g7e5
3R1nk1/1p2qrnp/p4p2/2p1pB2/4P1Q1/2P3P1/1P5P/6K1 w - -,d8a8
8/4bk2/7R/r3PK2/6P1/4B3/8/8 b - -,a5b5
2R5/pp3k2/4p1r1/3p4/8/8/PP3PPP/6K1 w - -,c8c7
rnb1k2r/1pqpbppp/p3pn2/8/1PP5/P3PN2/1B3PPP/RN1QKB1R b KQkq -,e8g8
6k1/1p3p1n/3p1Qp1/1Pn4p/2P2P2/5NPP/3R2BK/2r5 b - -,h7f6
r7/7k/2R1N2p/P3K3/5P2/6b1/8/8 w - -,a5a6
8/5n2/1k6/1p6/pN6/P1KB4/1P6/8 b - -,b6c5
3r1bk1/pb3p1p/6p1/2pPP3/2p2PP1/Pq2BN1P/1P2Q3/3R2K1 b - -,b7d5
8/2Q2pk1/1p3qpp/1P6/3Np3/3bP2P/5PP1/6K1 w - -,h3h4
rnb1kb1r/1p3ppp/p3pn2/8/3N4/2P2N2/PP3PPP/R1B1KB1R w KQkq -,c1f4
rn2kb1r/1bq2ppp/p2p1n2/3p4/p2NP3/6P1/1PP2PBP/R1BQR1K1 w kq -,e4d5
5qk1/5p1p/p2p2pP/n1pPp1b1/2p1P1N1/2N4Q/P5K1/3B4 b - -,f7f5
r5r1/pp4kp/4p3/8/2P5/8/PP2BPPP/5RK1 w - -,e2f3
3rr3/pp2b1pk/6p1/qPPp1p2/P2Q1P2/3N4/6PP/2R1R1K1 b - -,a5d2
rn1qk2r/pbp1bppp/1p2pn2/3p4/3P4/1P1BPN2/PBP2PPP/RN1QK2R w KQkq d6,e1g1
2r1r1k1/5pbp/p2p1np1/3P4/1p1BP3/n2N1P2/P4NPP/2R2RK1 b - -,a3c2
2rq1rk1/1p1nbppp/1np1p1b1/p7/P2PP3/1Q2B2P/NP1NBPP1/2RR2K1 b - -,c6c5
7r/3R2pp/1kp5/3p4/B2Kr3/8/PP4PP/2R5 w - -,d4d3
7k/p1p2p1p/7p/2bBP3/7R/8/Pr6/4K3 w - -,h4h6
6k1/1pq3pp/pbR1p3/3pPp2/4n3/1P1BP1P1/PB3PKP/4Q3 b - -,c7c6
2r3k1/7p/1R4p1/p7/R7/4r3/P5PP/6K1 w - -,a4a5
r2qkb1r/p4ppp/2b1p3/1p1pP3/n1nP4/PQP2NP1/3N1PBP/R1B2RK1 b kq -,f8e7
r2q1rk1/1pp1bppp/p1b5/3Np3/3Q4/4B3/PPP2PPP/3R1RK1 w - -,d4e5
r2r2k1/5pb1/1p2p1pp/p3P3/Pp1n1B1P/1P2RN2/2b1BPP1/2R3K1 w - -,f3d4
8/4bkp1/4pp1q/3p4/1PnP2P1/2PQ1P2/5r2/R3K1N1 w - -,e1f2
2Q5/4rpk1/3p3p/2pPq1p1/4P3/1P2R1P1/5PPK/8 b - -,e5f6
6k1/5pp1/4pb1p/3p3P/8/5Q2/1q3PP1/3rN1K1 w - -,f3d1
2k1r3/2pr1Rpp/ppnq4/2p1pQ2/4P1P1/1P1PB2P/1PP5/2K2R2 b - -,g7g6
3rnrk1/pp3q2/2n1b2p/2Pp1pp1/3P4/2NQ1BBP/PP3PP1/3RR1K1 w - -,g3d6
2k3r1/1pqn1pr1/p2pb1nQ/7p/4P3/2N4P/PPP3P1/2KR1B1R w - -,h6h5
r2r2k1/4bp1p/2pp2p1/pp2n3/3RPN1P/PbN2BP1/1P4P1/4R1K1 b - -,e7f6
r1b2r1k/pp4pp/1qnbpn2/3p2B1/3P4/2NB1N2/PP3PPP/R2Q1RK1 w - -,d3c2
3r1rk1/1p1b1qbp/pNpp1np1/P1n2p2/2P5/4P1P1/1PQBNPBP/R4RK1 b - -,d7e6
r1q3k1/p4rpp/1p1RQ3/8/1PP1p2P/PNn1PpP1/5P2/5RK1 w - -,c4c5
2r3k1/r3pp1p/P4qp1/2pP4/1pBb4/4B1PP/1P3P2/R1Q3K1 w - -,a1b1
rnbq1rk1/4bppp/p2ppn2/1p6/3NP3/P1N5/BPP2PPP/R1BQ1RK1 w - b6,f2f4
2r3k1/5pb1/p2p4/1b1P3p/1PpBPPnq/2Q4P/6B1/2R1R1K1 b - -,g7d4
8/5pk1/R2p3p/P2P4/2nbB3/r4NK1/8/8 w - -,g3f4
7k/1p1Q2p1/p1p5/2P4p/PP4PP/4q2K/8/3R4 w - -,h3g2
8/7R/6rp/2k5/2p4P/8/2K5/8 w - -,c2c3
r1bqk2r/pp3ppp/2n2n2/1BbpN3/8/2N1P3/PP3PPP/R1BQK2R b KQkq -,d8c7
6k1/p1p2p1p/b1P2qp1/1r2p3/8/2Q4P/PP3PB1/R3R1K1 b - -,f6e7
2nr1k2/p5bp/5pp1/q3p3/1PQ5/5BP1/P4P1P/3R2K1 b - -,a5b6
4k3/2r2pp1/6p1/R2p3r/4P3/2B2PP1/1P6/5K2 w k -,a5d5
r2q1rk1/1ppn1n1p/p2p4/3P4/NPP1Q3/5N2/P2B1PPP/R5K1 b - -,d8f6
3B4/7p/p3p1p1/Pp2pp2/1k2P3/3K1P1P/6P1/8 b - -,b4b3
8/7R/3k2p1/1p1p4/1Pr4P/2PK2P1/6P1/8 b - -,c4g4
r1b1k1r1/pp3p1p/4pB2/n1P5/n3P3/P4P2/6PP/R3KBNR b KQq -,c8d7
5r2/1p1bpk2/5bp1/3P1pBp/2P4P/r2B3R/1pK2PP1/1R6 b - -,f6d4
6k1/pb1qpp2/6pp/2B1b3/P3N1PP/5P2/4rN2/1Q3K2 b - -,e2b2
2r1r1k1/p3ppbp/1npqb1p1/1p6/3PP3/2P2N2/P1Q1BPPP/2BRR1K1 w - -,f3g5
4r1k1/5pp1/7p/5q2/1p2r2P/1Pp1b1P1/P3RP2/4RQK1 w - -,e2e3
r5k1/5pbp/3p2p1/8/1RP5/2npPNP1/5PKP/5R2 b - -,h7h5
2rq1rk1/pb1nbppp/1p2p3/8/3pPB2/2NP2PP/PP3PB1/1Q1R1RK1 w - -,c3e2
4r1k1/5pp1/5n2/4q2p/2bQ4/2P2P1P/P3N1P1/3R1K2 w - -,d4c4
6k1/p4pp1/2b1pq1p/2p5/2P2P2/P4PQ1/1R5P/1BKr4 w - -,c1d1
r5k1/pp1r1ppp/2n1b3/2B5/2P5/1P4P1/P4RBP/R5K1 w - -,a1e1
6k1/p4pnp/Pp2p1p1/1P1pP3/3P3q/3QP2P/4N1P1/5K2 w - -,e2g1
6k1/2P2pb1/6pp/1N6/8/1b6/5PnP/4B1K1 b - -,b3e6
r1b1r1k1/1pqnppbp/p2p1np1/8/4PP2/1NN1BB2/PPP1Q1PP/R3K2R w KQ -,e1c1
r2qk2r/pp1nbpp1/1np1p3/6p1/3PPBP1/2N4P/PP3PB1/R2QK2R w KQkq -,f4g3
r2qkb1r/pp1b1ppp/4p3/3nN3/3B4/3B4/PPP2PPP/R2Q1RK1 b kq -,d5f6
r1bq1r1k/1pp1b1pp/p5n1/P2Pp3/3N4/1Q6/1P3PPP/R1B1RBK1 w - -,d4e6
1k4r1/1b2R3/1r5p/3p4/Bp1P3p/PR6/1PP3P1/6K1 w - -,b3b4
r4rk1/pq2ppbp/2p3p1/3p1bB1/P2P4/6P1/P3PPBP/2RQR1K1 b - -,f8e8
5r1k/2p3qp/1p1p2p1/p1bBn1P1/P6N/6PQ/2P4P/4R2K b - -,c5b4
r2qk2r/pp1nbppp/2p1p1b1/3n4/2BPP1P1/P1N2N1P/1PQB1P2/R4RK1 w kq -,c4d3
8/5b2/5bk1/1qQ2p2/1P1pp1p1/r5P1/3BPP2/2R2BK1 b - -,b5c5
R1b2rk1/2p2pbn/2Pp1qpp/Q2Pp3/4P3/4BNNP/5PP1/6K1 b - -,f6d8
8/pp6/8/2k1p2B/2p1Pp1n/5P1P/PP3K2/8 w - -,f2e2
r1b1qrk1/ppp3bp/n2p1pp1/4p3/2PPP1n1/2N2N2/PP2BPPP/R1BQ1RK1 w - -,a1b1:h2h3
8/7p/3pk3/1p1p4/3B2P1/bPP5/P4K1P/8 b - g3,e6f7
1k1r3r/1ppq2p1/p1nppb2/8/6p1/2P1B2P/PPPQBP2/1K1RR3 w - -,h3g4
4rrk1/p1qn1pp1/1p1bp2p/2P5/1PB1QP2/2P1B3/P5PP/R4RK1 b - -,b6c5
4r1k1/1p3rPp/p1p2Bn1/8/4q3/P4RQP/1P4P1/5RK1 w - -,g1h2
