8/1B3kp1/5n1p/8/1p6/2r1n3/5P2/4RK2 w - -,f2e3
3r4/pp6/2p2p2/3k2pp/P2Pn3/3KP3/1P4PP/2R1B3 b - -,h5h4
6k1/5p1p/3Q2p1/q2b4/8/P3P1P1/1r3P1P/3R2K1 w - -,d6d5
5r2/3qp1k1/2n1Rn1r/1pBp1pNp/p2P1P2/2P5/Q5PP/4R1K1 b - -,f6e4
2r1r1k1/1q1n1p1p/6p1/1p2p3/1B6/1P1Q2P1/P4P1P/2R1R1K1 b - -,c8c1
r3r1k1/1p3qpp/p1p2p2/8/PP3N2/1bQ3PP/5bBK/2RR4 w - -,d1f1
r1bqk1nr/1pp2pbp/p1np2p1/8/2BPP3/5N2/PP3PPP/RNBQK2R w KQkq -,b1c3
1r1rb1k1/p4p1p/n2b2p1/1p1B4/1P6/P2NN1P1/5P1P/2RR2K1 w - -,d5b3
rnbq1rk1/pp3pbp/3p1np1/2pP4/8/2N3PP/PP2PPB1/R1BQK1NR w KQ -,g1f3
4r1k1/ppr2pp1/5np1/3p4/6P1/PP3N1P/2P2P2/R4RK1 w - -,f3d4
r3r1k1/1bq2pbp/p1ppnnp1/1p2p3/PP1PP3/2PBBNNP/3Q1PP1/R3R1K1 w - -,f3g5
8/8/2k3p1/2PpK3/5p1P/B7/6nP/8 w - -,a3b2
r1b2rk1/2qn1pbp/p1n1p1p1/1p1pP3/5B2/N1PBQN2/PP3PPP/R3R1K1 w - -,a1c1
8/3k2PP/1p1q2K1/8/p1p5/8/8/8 w - -,g6g5
4q3/6p1/1p2r1k1/1PpQpp1p/2P2P2/3P3P/6P1/4R1K1 b - f3,g6f6
r3k2r/p1p1q1bp/6p1/1Q1pPp2/4nP2/1P6/P2N2PP/R1B1K2R b KQkq -,e7d7
r1bq1rk1/ppp2pbn/3p2pp/2n5/2PNPP2/2N1B2P/PPB3P1/R2QR1K1 w - -,d1d2
2rr2k1/pp1bb1pp/nnp1pp2/2N5/3PP3/2N1B3/PP2BPPP/2RR2K1 b - -,a6c5
r3Qn1r/pk1B2R1/7p/2Pp4/qp5P/4PP1N/PPP5/2K4R b - -,a4a2
5bk1/7p/pq2prp1/3p4/1prN1P2/3Q2P1/PPP1R2P/3R3K b - -,a6a5
r4r1k/2q1b1pp/p1ppbn2/n1P1pp2/P7/2NP1NP1/3BPPBP/1R1Q1RK1 w - -,c5d6
r5k1/pp3ppp/2n1p3/2b5/P7/3rPN2/1P1B1PPP/R4RK1 w - -,d2c3
r4rk1/1p2q1pp/2p5/p1p5/2P1pP2/PPQ3Pb/2N1P2P/3RR1K1 b - -,a5a4
5rk1/3q1pbp/6p1/Q2Pp3/2rpP3/3N2P1/P5KP/4RR2 w - -,e1c1
r1r3k1/p3bppp/1p2pn2/2n5/2NNb2P/1P4P1/PBP2PB1/3RR1K1 b - -,e4g2
4r3/3k3p/2pp2p1/pr1p1p2/1P5P/PK1N1BP1/5P2/1R6 b - -,b5b6
8/7p/2n1pk2/5pp1/6P1/3NKP2/B6P/8 b - -,c6d8
r2r2k1/pp2ppbp/1qn2np1/8/3Pb3/NN2P1P1/PB2QPBP/R2R2K1 b - -,c6a5
2kr1b1r/pp1q1ppp/4p3/2pP1b2/1nP2Bn1/2N2N2/PP2BPPP/R2Q1RK1 b - -,f8d6
r2qr1k1/p2bppb1/3p2p1/4n2n/3NP2P/2N1BP2/PPPQB3/2KR2R1 b - -,a8c8
1r2r1k1/p2qb1pp/2p1np2/Q1p1pb2/N1N5/1P1PBPP1/P3P2P/2R1R1K1 b - -,b8b4
8/8/1P5p/2K5/6k1/7p/8/8 b - -,h3h2
1n2r1k1/p2q1pp1/b1p2n1p/Q1P1p3/4P2N/4B1PP/5PB1/R5K1 b - -,d7d8
3r1rk1/1pq2ppp/p3p1b1/2n5/4P3/2N3PP/PP2QPB1/2RR2K1 b - -,c7e7
2r1k2r/p2qp3/1p2b1pb/2ppP3/1P4P1/P2Q1PB1/2P1N3/R1R3K1 w k -,c1e1
r1b2rk1/pp2bppp/2nqpn2/8/3P4/2NBBN2/PP3PPP/R2Q1RK1 w - -,a2a3:a1c1
r3k2r/pp1b2pp/2nRpp2/8/4B3/2P2N2/PP3PPP/R5K1 b kq -,e8e7
4r3/1p1rkp1p/p3b3/3p4/1P3R2/P1R2PqP/B2Q2P1/7K w - -,c3e3
8/k1r5/p1Pp4/3PpBb1/4KpPp/5P1P/P7/1R6 w - -,f5d7
6k1/B4p1p/6p1/8/p7/P5Pb/4rP1P/R5K1 b - -,h7h6
5r1k/ppr2Qp1/2p4b/4P3/P2P2P1/2P4R/5P1P/R5K1 b - -,c7f7
r1q1k1nr/pb1pppbp/1p4p1/4n3/2PN1B2/2N2B2/PP3PPP/R2Q1RK1 w kq -,f3b7
8/1p6/4k3/p1r2ppp/P7/1P1RK1PP/5P2/8 b - -,c5e5
8/r4p2/4pKpk/p1p5/R1P5/3P4/8/8 w - -,d3d4
4r1k1/2r2pp1/4p1p1/p1qpP3/5QP1/1Pp2R2/P4PP1/2R3K1 w - -,f3c3
1q3r2/pp2npbk/6pp/P1p5/2n5/2N3P1/1P2P1BP/R2Q1RK1 w - -,d1d7
r1bq1rk1/ppp2ppp/2B5/3pP3/3Qn3/4B3/PPP2PPP/RN2K2R b KQ -,b7c6
1r1q1rk1/4b1p1/3pP1nn/1p2pp1p/1Pp1P2P/2N2PP1/P2BB3/1RQ1K2R b K -,f5f4
4r1k1/1pr1qp1p/6pb/pR6/P4P2/1BP1P3/3Q2PP/2R4K b - -,e7e3
6rr/3b1p1B/1p1kp3/p2p4/P2P4/2P4R/1P3P2/R3K3 w Q -,e1d2
r2q1rk1/pb2ppbp/1pnp1np1/8/2Pp4/1P3NP1/PB1NPPBP/R2Q1RK1 w - -,f3d4
r1b2rk1/pq2ppbp/2pp1np1/B7/8/1N4P1/PPP1PPBP/R2Q1RK1 w - -,a5c3
8/5pkp/2N1p3/1B1p2p1/P7/r1b3P1/5P1P/2R3K1 w - -,g1g2
r2q1rk1/1ppb2bp/n2p1np1/p2Ppp2/2P1P3/P1N4P/1PQBBPP1/R3NRK1 w - -,f2f3
5r2/pb2q2p/7k/1Bp5/5Np1/1P2PP2/P4Q1P/3R2K1 b - -,g4f3
1r3r2/pp2N1kp/3P2p1/1qp1Pp2/1PQn4/P7/6PP/3RR1K1 w - -,d1d4
5R2/1n4pk/7p/pp6/3K3P/P5P1/1PP5/6r1 w - -,d4d5
k1n1q3/pb5r/4p1p1/2QpP1B1/3P2P1/2P3Nr/1R3PK1/1R6 w - -,g5e7
2rb1n1k/ppr3pp/bq2pp2/n2pP3/P2P1P2/1P2BNN1/3Q2PP/RR1B2K1 w - -,b3b4
1k1r4/pp2bpr1/1qn1p3/2ppPb2/3P4/1PPBBN1p/P2Q2PP/R4R1K w - -,g2g3
8/r3k1p1/4n1pp/3B4/p3PP2/6P1/1P3K1P/3R4 b - -,e6c5
6R1/8/p3k1p1/1p5p/1Pr2P1P/8/5PK1/8 b - -,e6f7
r4n1k/8/p7/8/1ppRbP2/7P/qPP1N3/2K2BR1 b - -,c4c3
8/8/2kP4/2N1K3/5p2/7P/6n1/8 w - -,d6d7
r1b1k3/8/p2p1RP1/1p1N4/2q1P2r/8/PPP3PP/R6K b - -,a8a7
2B5/1p2rk2/1P2n2p/2R3p1/6P1/8/8/5K2 w - -,c5f5
6k1/1p2p1Np/1n4p1/8/4P3/P1r2P2/6PP/5RK1 b - -,g8g7
r3k2r/1bqn1pp1/p2pp2p/2n5/1p1NPPP1/1P4B1/P1PQ2B1/2KRR3 b kq -,d7f6
r3r1k1/p4pp1/1p5p/2n1p3/8/2R1PN2/PP3PPP/2R3K1 w - -,b2b4
r2q3r/1bnnb1pk/1p2p2p/p1ppPp1P/3P1B2/2P1NNP1/PP1Q1PB1/R3R1K1 w - f6,e5f6
1qr3k1/1b2ppbp/r4np1/p2P4/N1p1P1n1/5N2/PBQ1BPPP/1R3RK1 b - -,e7e6
r1b1kbnr/p2p1ppp/2n1p3/qpp5/4P3/2P2N2/PP1PBPPP/RNBQ1RK1 b kq -,g8f6
1r4k1/Bp1R1p2/2p1p1p1/1p2P3/1P6/n3P2P/5PPK/8 b - -,b8c8
2rq1rk1/1b1nbppp/p2pp3/8/2nNPP2/2N1B1P1/PP2Q1BP/3R1RK1 w - -,e3f2
8/5Qpk/b6p/nN1p4/8/4P3/2q2PPP/5RK1 w - -,b5d4
1k4q1/2p5/2pp4/4n3/1P2P3/P1QB4/2PB3r/2K5 w - -,d2f4
2r3k1/6bp/4bpp1/8/1N2p3/P5P1/5PBP/R5K1 w - -,g2e4
r1bq1rk1/bpp2pp1/p2p1nnp/4p3/4P3/1BPP1NNP/PP3PP1/R1BQ1RK1 w - -,c1e3:f1e1:d3d4
5nk1/1p3pp1/2p5/p3P2P/P1P1qP2/1P4P1/8/3Q2K1 b - -,f8e6
2r3k1/1p1r2p1/p3R2p/2P2p2/PP1P3P/2B2P2/5KP1/8 b - -,g8f7
2rq1rk1/pb4bp/np6/P1pP1pp1/1nP1N1N1/6BP/1P1QB1P1/R4RK1 w - -,e4g5
8/2r2pkp/p2B2p1/4p3/4P2P/PP3P2/6P1/6K1 b - -,c7c1
2n5/3kp3/p2p1p1p/1p1P1P2/1P2PP2/P4K2/5B2/8 b - -,d7e8
8/7p/5kn1/5p2/8/5K1P/8/2B5 w - -,c1d2
8/5pkp/4b3/5n2/1r6/7P/2R1NKB1/8 b - -,g7f6
2n5/p4p2/1p1k2p1/3P4/3N4/4K3/PP4PP/8 b - -,d6d5
rn3rk1/pp2bppp/2pp1n2/q3p3/2PP4/2N1BP2/PPQ1BPPP/1K1R3R b - -,a7a6
4b1k1/2q2pp1/4N2p/p1p5/8/1P2P2P/P4PP1/6K1 w - -,e6c7
2r3k1/p5pp/1pP1b3/3p4/4r3/6q1/PPP3PP/2KR1B1R w - -,h2g3
r1bq1rk1/4bppp/ppn1p3/3n4/P1BPN3/5N2/1P2QPPP/R1BR2K1 w - -,f3e5
r4rk1/pp4qp/4b3/2Q2p2/3nP3/2NP3P/PPP3B1/R4RK1 w - -,e4f5
r1bqk2r/p3bppp/2n1p3/4P3/PppPBB2/5N2/1P3PPP/R2Q1RK1 b kq -,d8c7
8/5pk1/6p1/2b1p2p/2B1P3/1P3P2/5KPP/8 w - -,f2e2
1rbq1r2/p1p1npk1/3p2p1/1B2n2P/3NP1p1/2N2P2/PPPQ4/2KR3R b - -,f8h8
6k1/5pp1/1b2p3/1b2P2p/2q4P/1pB2PP1/1P2N3/3QK3 b - -,b6e3
r3r1k1/1pq2ppp/2np1n2/2P1p3/pp1PP3/1P1Q1NPP/P4PB1/2R2RK1 b - -,a4b3
8/p4p2/1p2k1p1/1bP3P1/1P2KP2/P5P1/8/8 b - -,b6c5
r2qnrk1/pp1np1bp/3p2p1/2pP4/2P2P2/2N4P/PP2B1P1/R1BQ1RK1 w - -,c3e4
r1bqr1k1/1p1nbppp/p1pp1n2/4p3/2PPP3/2N2NP1/PPQ2PBP/R1BR2K1 b - -,e7f8
5rk1/p2p1pp1/1b1P3p/4P3/P1B2Q2/6P1/2q2PKP/2R5 b - -,c2g6
8/ppR3pk/7p/1r6/6PP/P7/5P1K/8 w - -,a3a4
q2b3k/1p3rn1/r2p1p1n/1NpPp1pP/P1P1P1P1/R5K1/2QB4/1R1N4 w - -,d1e3
r4r2/1p1bnqkp/p1n1ppp1/2Pp4/1P1P1N1P/P2B1N2/5PP1/R2QR1K1 b - -,e6e5
r4rk1/p2b1pbp/6p1/qpnP4/3N4/2P5/P1QBBPPP/2R1K2R b K -,f8e8
1rb1r1k1/1pqnbppp/p2ppn2/P7/3NPPP1/2N1BB2/1PP4P/R2Q1RK1 b - g3,e8d8
5r2/6kp/6p1/p2p4/P2R3P/1p2PrP1/1Pq2PQ1/5RK1 w - -,d4d5
8/1p6/1Np1P1p1/6p1/8/2P2kP1/PnPK1n2/8 w - -,e6e7
5rk1/R6p/6p1/4P3/P5pr/1P6/4P1KP/3R4 b - -,h4h5
8/7k/1K6/1P6/3R3P/3R4/8/6q1 w - -,b6b7
2r2rk1/pb1q1pnp/1p2p1p1/3pP3/2PP4/1P6/PB2B1PP/R2Q1RK1 w - -,b2a3
r2qkb1r/3n1ppp/p3pn2/1p1pNb2/3P1P2/2N1P3/PP4PP/R1BQKB1R b KQkq -,f6e4
2r1r1n1/2q3kp/1pNp2p1/p2Ppp2/2P5/PP4P1/3QRP1P/4R1K1 b - -,g8f6
4rk1r/6p1/2N3p1/3p4/1P4b1/4B3/P4PpP/R1R3K1 b - b3,e8e4
6k1/5r2/pb3P1B/2p1p3/1PPpp3/P6P/8/5RK1 b - -,b6d8
8/3k4/4p1p1/bn1pPnPp/p1pP3P/P1P5/1KN1N3/4B3 b - -,d7e7
rn1qkbnr/ppp2ppp/4p3/3pPb2/3P4/2P5/PP3PPP/RNBQKBNR b KQkq -,c7c5
8/5p2/4rk1p/7P/3R1PP1/4K3/8/8 w - -,e3f3
2b2rk1/2p2pp1/p2b1q1p/1r2N3/3P4/1PQ5/PB3PPP/R4RK1 b - -,c8b7
2rr2k1/p2q1pbp/1pn1p1p1/4P3/3P3Q/2N2N2/PP4PP/3RR1K1 b - -,d7e7
6R1/8/5p2/5kpp/4p2P/6P1/4KP2/1r6 w - -,h4g5
4N3/5pkp/1n4p1/3b2P1/1P6/6P1/2rN1PB1/4R1K1 b - -,g7f8
8/1p1n4/p3k2p/6p1/P2K2P1/1P4BP/8/8 b - -,d7f6
5r1r/pppk1p2/3p2pp/3Pp1bP/4P3/3RP1N1/PPP3P1/4K2R w - -,e1e2
r3k2r/3b1pbp/n2B2p1/1ppn4/1p6/4PN2/PP2BPPP/R2NK2R w KQkq -,e1g1
r1r3k1/3nqpp1/1p5p/4p3/2PnP3/2N1QPP1/1R1N2KP/2R5 b - -,e7c5
8/p4k1p/1p2Rn2/3P1p1P/1Pr5/P7/3K1PB1/8 b - -,f6d5
2Rb1q1r/5nkp/3p1p2/p2Pp1p1/1Q4Pn/4B3/PP2BP1P/1KR5 w - -,b4b7
r3k2r/1bq1bpp1/p2ppn1p/2n5/PB1N4/3Q2P1/NPP2PBP/R3R1K1 w kq -,b4c5
6k1/5p1p/R5pQ/2p5/2P5/1P3rPK/P7/5q2 w - -,h3g4
r1bq1rk1/p4ppp/1pn1p3/8/2BPP3/5N2/P2Q1PPP/3R1RK1 b - -,c6a5
1r6/1r3k1p/2p3p1/2Ppp3/PP6/3K2P1/1R5P/1R6 b - -,f7e6
2r5/4qbk1/p2p1n1p/2n1pp2/7Q/1PN2P1P/2PR2PK/R4B2 w - -,h4e1
1R6/8/6r1/3pk1p1/4p1B1/3bP1P1/6K1/8 b - -,d3c4
rn2kbnr/pp2pppp/1qp5/3p1bB1/3P4/1QP5/PP1NPPPP/R3KBNR b KQkq -,b8d7
1qb2rk1/5pb1/2Rn2p1/1ppPp2p/2p1P2N/2P1N1QP/1PB2PP1/6K1 b - -,c8b7
1r6/8/3pB1k1/2nP3p/5P1P/pp4K1/P5R1/8 w - -,f4f5
7r/pr3pkp/2Qb2p1/B2N3q/3P4/6P1/5P1P/4R1K1 w - -,c6b7
2Qr1bk1/p2b1p1p/6p1/1B3p2/3nr3/2P1P3/PP3PPP/3R1RK1 b - -,d7c8
6k1/1p1r2p1/1p2p3/3pP1b1/3Pp2p/2R1P3/PP3BPP/6K1 w - -,g1f1
1rbqk2r/p3npb1/2p1p1p1/4P2p/2p1NP2/1P3N2/P1P3PP/R1B1QR1K b k -,e7f5
4r1k1/p4p1p/q3pnp1/3p4/1r1P1P2/2N1Q2P/PP4P1/1R2R1K1 w - -,e1d1
1k5r/1r4N1/5p1P/2qpp1nB/1p3n2/1Q6/PPP4R/K3R3 w - -,h5g4
6bk/4b3/7p/3p3P/1ppPp3/4P1K1/1P2B3/1N6 b - -,e7g5
r2q1rk1/3nppbp/2p3p1/pp3b2/1Q1P1B2/4PN2/PP2BPPP/2R2RK1 w - a6,b4c3
r2q1rk1/pb2bppp/1pn1pn2/2pP4/3P4/1PN1PNP1/P4PBP/R1BQ1RK1 b - -,e6d5
3rr3/p1q1npk1/2b2p1p/3p1P2/1ppP1NP1/4PB2/PP3Q1P/R4RK1 b - -,c7d6
1k1r2r1/2pq1p2/1p2bQ2/p1p1P1p1/P6p/1P1P4/2PB2PP/4RR1K b - -,h4h3
6k1/5pp1/4b2p/r7/6P1/2p2P2/6P1/1R1R2K1 w - -,b1a1
8/pp2n1p1/4kp2/7p/3K1P2/P5P1/1P1N3P/8 w - -,d4e4
r1bqr1k1/4ppbp/1np2np1/1p1p4/PP1P4/2N3P1/1BQNPPBP/R4RK1 b - a3,c8f5
4rqk1/p1pRn3/5Qpb/3NP2p/2P2P2/1P5P/P7/6K1 w - -,d5e7
1q3rk1/1bQ2pb1/p3p2p/8/3p1p2/1B6/PP3PPP/2R1R1K1 w - -,f2f3
8/5kp1/p3r3/P1R1P3/7P/r5P1/6K1/4R3 b - -,f7g6
3r2k1/1bq1bppp/pp2pn2/8/2P1p3/1PN3P1/P1N1PPBP/2R1Q1K1 w - -,c1d1
r4qk1/1p6/pr4p1/5n1p/8/2N5/PP2QPPP/3RR1K1 w - -,d1d7
r2qk1nr/pp2ppbp/3p2p1/2p1n3/2P1P3/2NP1N2/PP3PPP/R1BQ1RK1 b kq -,e7e6
3rk3/5p2/1p2nPpp/p1p1P3/2Pn2PP/5B2/1P1R1K2/3R4 b - -,e6c7
8/5p2/5kp1/PR3P1p/7P/4P1K1/5P2/3r4 b - -,d1g1
r1b1k2r/2q1npbp/1p2p1p1/p2pP3/1n1P4/5NP1/PP1N1PBP/R1BQR1K1 w kq -,e1e3
8/4nkp1/R4pp1/1Nr5/2P2P2/8/4K1PP/8 b - -,e7c6
2rr2k1/p1qbbppp/2p1pn2/1p2N3/3PP3/2NB1Q2/PP3PPP/2RR2K1 b - -,d7e8
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P2P/2N5/PP2BPP1/R1BQK1NR w KQ -,b5a6
7r/1r4k1/b2qp1P1/p2p1pQ1/P1nP1N2/4P1P1/R4P2/R4BK1 b - -,b7b8
5k2/1P6/3r1p1p/N5p1/3pP3/3K3P/5PP1/8 b - -,d6b6
1r5k/4Rr1p/p2p2p1/3P4/3R1Q1P/P1q3P1/1n3P2/6K1 w - -,f4f7
3r2k1/1pn1bpp1/p1r3p1/R2p4/1P1P3P/3BPPP1/3BK3/1R6 b - b3,b7b5
3rqbk1/2pr3p/1p1n1p2/pPpPp1pP/P1N1P1P1/3P1P2/2Q1KB2/R6R b - -,d6c4
r7/1Q2npkp/6p1/2Np4/p2P4/2q1P2P/5PP1/5RK1 b - -,a8e8
r1br2k1/p1q2pbp/2p3p1/2Bp4/1P5Q/3B4/P1P2PPP/1R2R1K1 w - -,c2c4
r2q1rk1/pp1nbpp1/5np1/3p4/P2Pp3/1PN1P1P1/3B1PBP/R2Q1RK1 b - a3,a7a5
5n2/pb2k3/1p1p1p1p/6p1/1P2PP2/P3K1BP/4B1P1/8 w - -,g3e1
3r1rk1/1bq1ppbp/p5p1/1pP1n3/1P1N4/2B5/PQ2BPPP/R2R2K1 b - -,c7c8
2r2rk1/pp3pp1/2nqpnp1/3p4/3P4/1PP1Q2P/P2NBPP1/R3K2R w KQ -,e1g1
3R4/5p2/3P1k2/4p3/3rP1p1/4K1P1/5P2/8 w - -,d8g8
3r2r1/1k1nQ3/p3p3/2p2q1p/Pp3P2/4B3/1P4PP/R3R1K1 b - -,f5g4
r2n2k1/bb2qpp1/p3pn1p/1p6/1P2N3/P1NBP3/1BQ2PPP/4K2R b K -,f6e4
r2Bnb1k/p2p3p/5p2/2P5/8/5Qr1/P4P1P/3RR2K b - -,g3f3
2r2rk1/p1qnbppp/1p2p3/2pb4/4P3/1P3NP1/PB1PQPBP/2R2RK1 b - -,d5b7
