8/8/4R3/8/4b1P1/4k1K1/8/6r1 w - -,g3h4
r2r2k1/pp3p1p/1q4p1/8/3b4/4BQP1/PP3P1P/1R3RK1 w - -,f1e1
rn2kr2/pp2ppQp/6p1/8/1q6/2R1P3/PP3PPP/4KB1R w K -,a2a3
rnbq1rk1/1p2ppbp/p2p1np1/8/3NP3/2N1BQ1P/PPP2PP1/R3KB1R w KQ -,e1c1
r3q1rk/pb2b2p/1pp1p3/4Ppp1/3P1P2/4P3/PPQ1N1BP/R2R3K w - -,d1f1
b2r2k1/p4ppp/1np1p3/4b3/2P5/1PN1K1P1/PB3PBP/7R w - -,h1d1
4r3/pp1bP1bk/3q2p1/2p1pp2/2Q5/2NP3P/PP4P1/R4R1K w - -,c4h4
1r3rk1/2q1bppp/b1p1pn2/p7/N1P5/6P1/P1QBPPBP/R2R2K1 b - -,e6e5
2r5/8/1R6/4B3/4K3/8/3k4/8 b - -,c8e8
r1n1r1k1/5pb1/5qpp/1p2pP2/Q1NpP3/B2P2P1/6BP/2R3K1 w - -,a4a8
2r1k2r/pb3ppp/4pn2/q1b5/1p2P3/1P1B1N2/P3QPPP/R1B2RK1 b k -,e8g8
3r2k1/p5pp/1p6/6P1/4PP2/P1N5/1P3n1P/1KB5 w - -,b1c2
2rq1rk1/1b1nbppp/5n2/3ppP2/1p2P3/1N3B2/NPP3PP/R1B1QR1K w - -,e4d5
r5rk/p5bp/2p1b2q/2N2p2/1P2pQ2/P1NPP2P/4P1BK/5R2 b - -,h6g6
r4k1r/3qppb1/2p2np1/ppPpB2p/3P3P/P1N1PP2/1P2Q1P1/2KR3R w - -,d1g1
r2qr3/p1p2pbk/1p2bnpp/4p3/4P3/1BN5/PPPB1PPP/R1Q1R1K1 b - -,e6b3
8/4ppk1/p5p1/2NPP3/1r6/2N4P/P1n3P1/6K1 b - -,b4c4
r4r2/pp2ppkp/4b1p1/6qP/3Pp3/1PP5/P1Q1BPP1/1R2K2R w K -,c2e4
r3qrk1/ppp3bp/3p2p1/3Ppb2/2PnN3/4B1P1/PP3PBP/R2Q1RK1 w - -,g3g4
2r3k1/1r2pb1p/3p2p1/3N2P1/2PQqP1R/pN4n1/P6R/1K6 w - -,d4e4
4r1k1/p1pR2p1/2p3rp/5q2/2P1p1n1/2B3P1/PP2QP1P/4R1K1 w - -,e1d1
5r1k/6bp/2q3p1/p7/N7/6P1/4QP1P/5RK1 w - -,a4b2
1r5r/2q2k2/4b3/pp1BpQ2/2p5/3PB3/PNP5/R5K1 b - -,f7e8
2k5/pp1rq3/r5p1/2bPpp1p/2P5/P1Q2P2/KP2B2P/1RR5 b - -,c5d4:c5b4
r1b1kb1r/1p3ppp/p3p3/4N3/2PNn3/8/PP1B1PPP/R3K2R w KQkq -,d2e3
1r4k1/p3qpp1/1rnpb2p/2p1p3/2P1P1P1/R1QPBP1P/1P4K1/4NR2 w - -,f1f2
r2q1r1k/1p4pp/1n2bb2/pBp5/P3N3/1PP5/1B3PPP/R2QR1K1 b - -,d8d1
8/pp4k1/6pp/1Pq2p2/8/1B5P/P5P1/5R1K w - -,a2a4
5r2/pp5k/3pp3/2p1p1QP/4P3/2PP1q2/PP1B1P2/4K3 b - -,f3h1
6k1/1Q1b1p1p/p7/P1pP4/6r1/2B2R2/5KPq/8 b - -,g4g2
1r2r2k/pP3ppp/1n4q1/6Pb/8/1B2n2P/PP1N1PQ1/R4RK1 w - -,f2e3
6k1/p4p1p/r3p1p1/2p1K3/2P5/3P2PR/8/8 w - -,g3g4
r4rk1/1pqb3p/p1nbp1p1/3p3n/3P4/2NB1NB1/PP3PPP/2RQ1RK1 w - -,g3d6
r1br2k1/ppqnppb1/3p1np1/1P5p/2P2P2/2NP1NPP/3BP1B1/1R1QK2R b K -,e7e5
r1b1kb1r/1pq2ppp/p2ppn2/4n3/4P3/1NN1B3/PPPQBPPP/2KR3R b kq -,b7b5
8/1p6/p1q3kp/2P2p2/1P1Q2p1/K5P1/8/8 w - -,d4e5
8/8/6k1/3R2P1/8/4PK2/8/r7 w - -,e3e4
r4rk1/p2Q1pb1/1q2p1p1/1p6/2p1P1p1/2P2PP1/PP4BP/R2R3K w - -,f3g4
r1bqk2r/pp2b1pp/1np2n2/2Pp1p2/3Pp3/1PN3PN/P3PPBP/R1BQ1RK1 b kq -,b6d7
r3kb1r/pp1q1p1p/2np2p1/4pn2/5P2/2NB4/PPP3PP/R1BQ1RK1 w kq -,d3f5
2kr1b1r/p1pp1p1p/bnp3p1/4P3/1qP5/1P3N2/P2BQPPP/R2K1B1R b - -,b4a3
6k1/rbp1q1pp/p2bpn1r/1P1pNp2/3P4/3BP1PN/P3QPP1/2R2RK1 b - -,a6b5
2r2rk1/pp3p2/4p2p/1b1pP2P/3R1p2/1P5N/P1P3P1/1K5R w - -,d4f4
r1bq1rk1/p4pbp/2np1np1/1pp1p3/P3P3/2PP1NP1/1P3PBP/RNBQR1K1 b - -,b5b4
8/6k1/pK2q3/1p6/1P3QP1/P7/8/8 w - -,b6a5
r1bqnrk1/1p2ppbp/p1np2p1/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 w - -,c1e3
6k1/p5pp/1p6/3R4/8/6P1/PPr2P1P/6K1 w - -,d5b5
4r1k1/p1q2pb1/2pp1np1/7r/Q1PNP1p1/2N3P1/P4P1P/3R1RK1 b - -,f6d7
6k1/6b1/p2B2p1/1p1PP3/8/1P5Q/P1r2qPP/3R3K w - -,h3f3
r1b2rk1/ppq3p1/2p1p2p/2PpPpn1/1P3P2/3BP3/P1Q1N1PP/R4RK1 b - -,g5e4
2r5/5pkp/p2p1p2/1p1Nr3/1P6/P2BNK1P/2P5/8 w - -,f3f4
r1bqrbk1/1p3p2/p1n2npp/4p3/1P1pP2B/P2B1N1P/2PNQPP1/R3K2R w KQ -,e1g1
1kr4r/1pq1bpp1/p2p3p/3B4/5p2/1Q6/PPP3PP/1K1RR3 b - -,e7f6
r2qr1k1/pp1n1ppp/2n5/2p1Pp2/P1PP4/B1P2N2/6PP/RQ3RK1 b - -,c5d4
r2n1nk1/4qppp/r3p3/pp1pP1NB/b1pP3P/P1P3Q1/R1PB1PP1/4R1K1 b - -,f8d7
r4rk1/1pqnbppp/8/p2pPp2/P1p2P2/2P1P1PP/1P1N2K1/R1B1QR2 w - -,d2f3
5k2/6p1/8/5K2/3B1P2/1r6/6rp/7R b - -,f8f7
1k1r1r2/p1pb2pp/1p2n3/1P2P2q/4Q3/2N2N2/P1P3PP/3R1RK1 b - -,e6c5
8/8/pp3k2/3p4/1P1Ppnn1/PB6/4N1P1/5K2 b - -,f6g5
5k2/4bn2/p7/8/8/2P2Q1P/q7/1R3K2 w - -,b1b8
3n4/p5k1/1pn1p1pp/2p1P2P/2P1KPBB/P7/2P5/8 b - -,g7f7
r2qk2r/1p1n1pbp/p1npp1p1/3N4/2P1P3/N6P/PP2QPP1/R1B2RK1 w kq -,d5f4
1R6/1pr1pk2/3ppbpp/8/2P1PP2/6PP/4B3/7K w - -,h1g2
r1bq1rk1/p2n2pp/1pp1p3/3pBp2/2PPn3/2NBP2P/PPQ2PP1/R3K2R w KQ -,e1g1
2rr2k1/p2nqpp1/1p3n1p/1P6/2Pp1p2/P4R2/1BQP1NPP/R5K1 w - -,f3f4
r1bqkb1r/3n1pp1/p2ppn1p/1p6/3NP1P1/P1N1BP2/1PPQ3P/R3KB1R b KQkq -,c8b7
4rr1k/1bqn2bp/p4np1/2p4P/N2p4/P4PN1/1PQ1BBP1/1R1R2K1 b - -,f6h5
6k1/8/3N2p1/3KP3/3N3p/8/8/3r4 w - -,e5e6
8/7p/p1k3p1/1p1np1B1/2r3PP/3K1P2/P2R4/8 b - -,h7h5
6k1/r6p/8/4R3/3p2P1/3P4/7P/6K1 b - -,a7a3
3r2rk/nB1Q2np/p2Pp1p1/2p5/2P5/N1PR2PP/P4P2/3R2K1 b - -,d8d7
8/R7/3pkp2/2p5/p6P/2K5/PP4r1/8 b - -,g2g4
5k2/5pb1/2p2N1p/pp2P3/P1p5/2P1K3/1r3P1P/1B4R1 w - -,g1d1
4rrk1/1pq2nb1/p2p2p1/P1pP1b1n/4N2p/2N1BP2/1P1QB1PP/R3R1K1 w - -,g1h1
2rr2k1/p2nppb1/3p2p1/q1p4p/N1P1P2P/1P2Q1PB/P4P2/2RR2K1 b - -,g7d4
2r1k2r/3bnpbp/1qn1p1p1/p1ppP3/1p3P2/P1PP1NPP/1P1BN1BK/R2Q1R2 b k -,b4c3
2rq1rk1/pb3ppp/1pnbpn2/3pN3/3P4/1PPB4/PB1N1PPP/R2QR1K1 w - -,f2f4
r1bq1rk1/pp1n2bp/3p4/2pP1p2/5P2/2N1B1P1/PP2B1P1/R2Q1RK1 w - -,g3g4
k7/1n3R2/5p2/2pQp3/4P3/1P3PP1/q5K1/8 w - -,g2h3
r4rk1/pp2bp1p/n5p1/1q1RP3/2p5/P4N2/1P3PPP/1K3B1R w - -,d5b5
r2qr1k1/1pp1bppp/p1n2nb1/4p3/3pP1P1/2PP1NNP/PPB1QP2/R1BR2K1 b - -,h7h5
rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,g1f3:d2d4:e2e4
r1b2rk1/1pR1Rp1p/6p1/p2p2B1/P7/8/1P3PPP/6K1 b - -,c8e6
r2qr1k1/pbpp1ppp/np1n1b2/3P4/5B2/2N2NP1/PP2PPBP/2RQ1RK1 b - -,f6c3
8/3k2p1/3p4/1p6/3KP3/1PR3P1/5r2/8 b - -,g7g5
3r4/1b3k1p/4p1p1/p1q1PpQ1/PpPp2PP/1P1R1P2/6B1/5K2 b - -,c5e7
r1bqk2r/1pp2ppp/2n2n2/p7/2Pp4/b2P1NP1/PP3PBP/R1BQ1RK1 w kq -,b2a3
4k3/pp3r1p/1q2P1p1/4p3/4P3/6Q1/PP3PPP/3R2K1 b - -,b6e6
2R5/8/5pp1/2P1k2p/7P/2r3P1/5PK1/8 w - -,c5c6
5k2/3n2p1/4p2p/5p2/5n2/1R3PN1/2r2PKP/5R2 w - -,g2h1
r3qr1k/1ppb1pb1/p1np2pp/4p2n/B3P2B/2PPNN2/PP3PPP/R2QR2K b - -,f7f5
3r4/p2k2p1/1p1bpp2/3n3p/3P4/PN2BK1P/1PR2PP1/8 w - -,b3d2
r3r1k1/1p6/2pn1p1n/3p1qp1/p2P1N2/4P1Q1/PP1N1PP1/2R2RK1 w - -,f1e1
2b3k1/pp2qnpp/1b2p3/1P1pPp1P/3P1N2/P2B1NP1/1Q3PK1/8 w - -,b2c3
3r1rk1/pbq1bppp/1ppp4/4pN2/P1BPn3/4B2P/1PP1QPP1/3R1RK1 w - -,e2g4
8/p3k2p/1b3pp1/3p4/3P3P/P4NP1/1P3P2/6K1 w - -,g1f1
5k2/8/R1bp4/p1r2p2/P3P3/1KN5/2P3B1/4b3 w - -,c3b5
3r4/1p5p/2p2kp1/p1P2p2/P3bP2/1PK1P1P1/4B2P/4R3 b - -,d8d5
r1bqkb1r/p4ppp/2pp1n2/4p3/3pP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,c3d4
8/1R6/5p1k/4n1pp/4P2P/R5K1/3r2P1/8 w - g6,h4g5
rnbqk1nr/pp3ppp/2pp4/2b1p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,d8e7
r1b1qrk1/ppp1b1pp/2nP1n2/4pp2/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,c7d6
3rr1k1/pp2qpp1/2pb1n2/2N1n1p1/3B4/1P2P1PP/P3QPB1/2RR2K1 w - -,c5d3
r4rk1/1p4p1/7p/1P1p1qp1/p2P4/2R1P1QP/2R2PP1/6K1 w - -,g3g4
8/4kpp1/1p4p1/1Pp1P1P1/P1B3K1/8/3b4/8 b - -,f7f5:d2c3:d2c1
1rbq1rk1/1pp2pb1/p2p1npp/4n3/2PNP3/2N1B1PP/PP3PB1/R2Q1RK1 w - -,b2b3
r1b1kbnr/ppp2ppp/8/3qn3/8/2P5/PP1NQPPP/R1B1KBNR b KQkq -,d5e6
2k5/p7/8/3N4/1R6/3p2K1/PP2r1P1/4n3 w - -,b4c4
r4rk1/2pq1ppp/p1np1b2/1p1B3b/P2pP3/5N1P/1PP2PP1/RN1QR1K1 w - -,g2g4
3R4/4R3/2pp2p1/1b3k2/p4p2/6P1/7K/5r2 w - -,g3f4
r4rk1/4ppbp/1qp3p1/2NbP3/p4B2/1P5P/P3QPP1/2RR2K1 b - -,a4b3
r2q1r1k/1pp3bp/2np2p1/1P1Ppp1n/4P3/3P1PP1/4N1BP/1RBQ1RK1 b - -,c6e7
5rk1/2qnppbp/p2p2p1/2pP4/1r2PBn1/1PN2P2/R1P1B1PP/3Q1RK1 w - -,f3g4
2r2rk1/p1q2pp1/Qp3n1p/3pP3/8/2P4P/PP3PP1/RBB1N1K1 b - -,c7e5
5k2/bp1R2Rp/p1n5/4p2P/1P3r2/P2Bp3/2P3P1/1K6 b - -,b7b5
r1b2rk1/ppq2ppp/2p1pn2/2P5/3P4/5N2/PP3PPP/1BRQR1K1 b - -,b7b5
r5k1/4r1p1/2qp2n1/5bNp/p2Q1P1P/PpB5/1K1R4/4R3 b - -,a8e8
r1b4r/1p2pk2/p2p1p2/4n2n/3NP2P/2PBB3/PKP5/3R3R w - -,d1g1
8/4kp1p/1pR3p1/p1p5/Pr6/4KPP1/1P5P/8 w - -,c6c7
3rr1k1/5ppp/1p2pn2/p1q5/1nPN4/1P2QP2/P1BR2PP/3R2K1 w - -,c2b1
8/pp1k2p1/3npp2/3p3p/1n1P3P/1PN1P1P1/P2NKP2/8 b - -,b4c6
r3r1k1/1pb1qpp1/2ppbnnp/p3p3/P2PP3/2P1BNNP/1PB2PP1/R1Q1R1K1 b - -,e7f8
2r5/R1b2p2/N1Pk4/p2rpp1p/1PR5/P5P1/4K2P/8 b - -,a5b4
8/8/1K1k4/8/3n4/8/8/4b3 w - -,b6b7
2r5/4kp2/1p4pp/p7/Pn1RB1P1/3P4/5P1P/6K1 w - -,g1g2
2k2rr1/pp1bnpp1/4p2p/q2pP2P/2pP1BBN/P1P3R1/1nPQ1PP1/4RK2 w - -,d2c1
r2qr1k1/1b1n2bp/pp1p2p1/2pP1P2/Pn3P2/2N2N1P/1P3BP1/R2QRBK1 b - -,g6f5
r1b1k2r/pp2qppp/3Q4/2p5/1nP1P3/5N2/1P3PPP/1K1R1B1R b kq e3,c8d7
r1b2rk1/pp4pp/8/3pR3/8/2PQ2N1/Pq4PP/4R2K b - -,b2a2
r1b1kb1r/pp1q4/2n2n1p/5pp1/3Pp3/1QN1P1PN/PP4BP/R1B2RK1 w kq -,h3f2
rnbq1rk1/1p3pbp/3p1np1/p3p3/4P3/1N1BB2P/PPP2PP1/RN1Q1RK1 w - a6,a2a4
4k3/pb3p1p/1pq1p3/8/P2n4/3p2P1/1P3QP1/2B1R1K1 b - -,d4e2
r1bqk2r/pp2bppp/2n1pn2/2ppP3/5P2/3P1N2/PPP1B1PP/RNBQ1RK1 b kq -,f6g4
1r1q1rk1/2pn1pp1/1bppb2p/p3p3/3PP3/1PP1BNNP/P3QPP1/R4RK1 b - -,e5d4
3r2r1/pb1nq2k/1p3p1p/4p3/1PP1P2Q/2P5/4BRPN/3R2K1 b - -,e7g7
3r3r/p4kb1/2n2nq1/1RpP1p1p/P1P1pP2/6PP/4BN2/3Q2RK w - -,b5c5
2r2rk1/pbp2pp1/1p2pn2/8/3P3P/6Q1/P1PN1PP1/R3R1K1 w - -,e1e5
r1bq1rk1/1p1nbpp1/p4n1p/3Pp3/2B4N/2NQB3/PPP2PPP/R4RK1 b - -,e5e4
1n1r1qk1/p2P1bpp/1p3p2/1Br1p2P/P3P3/3RN3/1Q3PP1/3R2K1 w - -,h5h6
r1b3k1/1pp3bn/3P1r1p/p2Pp1qn/1PN1P3/P1N2P2/4BBPK/R2Q3R b - -,f6g6
r2q1rk1/pb2bp1p/1pp1pnp1/8/2pPPB2/2N3P1/PP2QPBP/3R1RK1 b - -,a7a5
r2q1rk1/1pp1bpp1/2n1bn1p/p2p4/3Pp3/2P3PP/PPN1PPB1/R1BQNRK1 b - -,a5a4
8/N3kpp1/7p/3p4/P1n5/4P3/5PPP/6K1 w - -,a7b5
r1r5/PR4pk/4p2p/3pP3/3Pb1q1/R4p2/3B3Q/4K3 b - -,h6h5
r2q1rk1/3b1p2/1pn1p1p1/3pPB1p/3P3P/P1B2N2/1Q3PP1/R4RK1 b - -,e6f5
1q1r4/1k2Q1b1/1p5p/3p4/3Pp1B1/4P3/P2N1rP1/K1R5 b - -,b7a6
5k2/8/3p1r1p/2P3p1/2P2nP1/r4bK1/5R2/1B1R4 w - -,f2f3
r4rk1/1p3pp1/2q2b1B/p3pP2/6Q1/2n4P/B1P2PP1/1R3RK1 w - -,b1b3
1rb1kbnr/3npppp/3p4/qpp5/4P3/2N2N2/PPBP1PPP/R1BQ1RK1 b k -,g8f6
r1q2rk1/5p2/p4bp1/Rb1Pp2p/2p5/2P1PPB1/Q3N1PP/R5K1 w - -,g3f2
1r1r2k1/p1bn1pp1/4p1p1/4Pn2/q1PP4/P3BB2/4QPPP/1R1R2K1 w - -,b1a1
2r3k1/nb1pb2p/pq2pnp1/1p2Np2/3P1B2/P2QP3/BP1N1PPP/2R3K1 w - -,c1f1
r1bqnrk1/pp4pp/2p1p3/3p4/1b2PP2/P1NQ3N/1PPB2PP/2KR3R b - -,b4e7
6r1/ppkb4/2n1p3/2Qp2q1/8/P3R1PP/2P2P2/4R1K1 b - -,b7b6
r1b2rk1/2q3b1/pn1p3p/QppPpppn/4P3/1P1B1P2/P1P3PP/R1NNBRK1 w - -,a1b1
2kr1b1r/ppqbnppp/4p3/n2pP3/2pP1P2/P1P2N2/1PB1N1PP/R1BQ1RK1 w - -,f3g5
r1b1k2r/pp1n1ppp/3qpn2/P1pp4/3P4/2P1PN2/1PQ2PPP/RN2KB1R w KQkq -,b1d2
1R6/2r1b1k1/4B2p/1Pp1p1p1/4Pp2/5P2/3n1BPP/4K3 b - -,g7f6
r2r2k1/5p1p/b1p1B1p1/p3b3/Pp2P1P1/7P/1PPBN3/2KR3R b - -,a6e2
r1b2rk1/1pp2pp1/2n1pq1p/p7/1bpP4/4PNP1/PP3PBP/RN1Q1RK1 w - -,b1d2
4r1k1/pp1r1pb1/nq1P2pp/2p5/2B1b3/4BN2/PP1R1PPP/2QR2K1 b - -,b6c6
8/2p1k3/6p1/1p2p1P1/4Pp1p/1PP2P1P/1R4K1/7r b - -,h1c1
8/p2b1r1k/1p1Rp2p/4B1p1/2P1pPP1/PP2P1K1/8/8 b - -,f7e7
r1b1k1nr/ppqp1pbp/6p1/3Pp3/2NpP3/B7/P4PPP/1R1QKB1R b Kkq -,g7f8
r1br2k1/1pq3pp/2n1p3/pBPp1p2/3Pn3/P4N2/1PQ1NPPP/2R1R1K1 b - -,c6a7
6k1/1p1b1pp1/p6p/3R1P1q/2N5/4Q2n/PP5P/4K3 b - -,d7c6
3r2k1/2q2pp1/1pp1pb1p/2Pr4/1P1P4/3RQN2/5PPP/3R2K1 b - -,b6b5
6k1/6pp/p3p3/1p1bRP2/1P6/8/P1P2r2/1KR5 b - -,f2f5
8/5k2/p1bR2p1/Pp5p/2p2p1P/2r5/5KP1/5N2 b - -,c3c2
rnbqk1nr/2ppppbp/pp4p1/8/P2P4/2N2N2/1PP1PPPP/R1BQKB1R w KQkq -,e2e4
r6k/1p5p/2pp2p1/p7/2P5/P1P4P/r7/3R1BK1 b - -,a8f8
8/5p1k/p1p4p/P3PP2/2P3r1/1P6/7P/3R3K b - -,g4e4
r2r2k1/1b2bppp/p1npp3/8/N3PPn1/1P2qNP1/PB2Q1BP/R2R3K w - -,d1e1
r1b2rk1/1p2qppp/p2b1n2/3pn3/8/1PN1PN2/PBQ1BPPP/3R1RK1 b - -,c8e6
r3k2r/2q2p1p/pp1bb3/2p1p2Q/8/3B2B1/PP3PPP/2R1R1K1 b kq -,e8c8
4k2r/5pp1/p3p3/P2rP3/1p2pP1p/7P/1P4PK/R1R5 w k -,c1c8
r2q1rk1/1ppnbppp/2b1p3/p2n4/P1QP4/5NP1/1P1BPPBP/RN1R2K1 w - -,c4b3
r4rk1/pp2b1pp/2pn4/3p4/2QP1BN1/4P3/PP2KP1P/1R4R1 b - -,d6c4
8/2p2k2/5p2/p1p3r1/1p1b1n1p/1P4P1/P2R2KP/5R2 w - -,f1f4
r1bq1rk1/ppp3pp/2np1n2/1Bb1p3/4P3/2P2N2/PPQN1PPP/R1B2RK1 b - -,d8e8
rq3rk1/pp2ppbp/n1p2np1/2PpB3/1P4b1/NQ2PN2/P2PBPPP/R4RK1 b - -,a6c7
8/8/p3p1k1/1p1PB2p/4b1pP/P5Q1/4qrP1/6RK b - -,e4d5
2k4r/1b6/1p6/2p5/8/4r1B1/2P4P/R4RK1 w - -,a1d1
4B3/2k5/2Pp4/1K2p1p1/1p2P1P1/7P/P7/4b3 b - -,e1d2
r1r3k1/1qpb1pp1/p2b2np/1p1Pp3/1B2P3/PQ1B1N2/1PR2PPP/2R3K1 w - -,b4d6
1rbq1r1k/4p1np/p2p4/2p2p2/2P2R2/2N3PP/PP1Q2B1/1R5K b - -,e7e5
r7/1k1q1p1r/1pp1p1p1/1n2P3/p2P3P/2R3P1/PP1BQP2/1KR5 w - -,c3c6
6k1/5pp1/4p3/pn1qP2p/7Q/1p2BPP1/1P3PKP/8 w - a6,h4a4
r1b1r1k1/1pb2ppp/p2q4/3p1p2/P2N2n1/1QP1PNP1/1P2BP1P/R4RK1 w - -,c3c4
3r1rk1/pp2q2p/2p1n1p1/3BPp2/N4P2/1P4PP/P7/R1QR2K1 b - -,c6d5
2kr3r/2p1n3/ppnq1p2/2p3p1/4P3/1NPPB1Pb/PP3QB1/3R1RK1 b - -,h3g4
8/1kb2p2/p1n1p1p1/1p5p/PP2BP2/BKP3P1/7P/8 w - -,a4b5
r1b1k1nr/pppq1ppp/1bnp4/1B2p3/3PP3/1QP2N2/P4PPP/RNB2RK1 b kq -,a7a6
rn1qk2r/p3bppp/bpp5/4P3/4P3/6P1/PPP2QBP/R1B1K1NR b KQkq -,e8g8
r2q1k1r/3nnp2/2p1p1p1/p2PP1Pp/P2P1P2/B2QN3/5KP1/1R5R b - -,e6d5
1br1r1nk/5pp1/p2q3p/1p1pR3/1P1P1PQ1/2PB3P/3B2P1/5RK1 b - -,g8f6
6k1/pp1r2p1/4p2p/3pP3/8/8/PPR2PPP/6K1 w - -,f2f4
rn1qk2r/pbp1b1p1/1p1ppn1p/5p2/1PPP4/2N2NP1/PB2PPBP/R2Q1RK1 b kq -,b8d7
rn1q1rk1/pbp2ppp/1p2pn2/3P4/1b1P4/5NP1/PPQNPPBP/R1B1K2R b KQ -,e6d5
2R5/8/8/8/2p5/2k5/1r6/1K6 w - -,b1c1
r3r3/P5kp/1R6/2p3p1/2P5/4p1P1/3pK3/3R4 w - -,b6b7
1nbqkb1r/6pp/2p2n2/1p3p2/2BP4/1Q2P3/PP1B1P1P/R3K1NR b KQk -,b5c4
8/5k2/5P2/6p1/1r6/1P3R1P/6K1/8 b - -,g5g4
3rr1k1/p2nqpp1/1p5p/3pnP2/3Bp1P1/1RP3QP/P1P1BPK1/3R4 b - -,d7c5
8/2q2ppk/1n2rb1p/1p2p3/1Pp1P3/P1B2N1P/5PP1/2QR2K1 b - -,e6d6
r2rn1k1/p2qbppp/1p6/3p4/N2B4/1Q3PPP/PP3PK1/2RR4 w - -,a4c3
r1b2r1k/3n2Np/p2p2p1/2pPp3/2P1P3/1RN3P1/P2B1PK1/7R b - -,h8g7
8/8/5pk1/3R4/5KP1/1r3P2/8/8 b - -,b3b4
r1b1k2r/bpqn1pp1/p3p3/7p/2P1NPn1/1N1B4/PP4PP/R1BQ1R1K w kq -,c1d2
8/b3p3/3pPk2/P2P3B/1p6/1P1K4/8/8 b - -,f6e5
r4qk1/1p1b3p/p2bp1p1/2pp4/7Q/2P2n2/PPN1B1PP/R1B1K3 w Q -,e2f3
r3k2r/pp3p2/1np1bq1p/3p2p1/3PP3/P1QB2P1/1P1N1PP1/R3K2R b KQkq -,e8c8
8/pp5k/2pp3p/7b/1PP2Pq1/2QP2N1/P6P/6K1 b - -,g4d1
r2qr1k1/pp3pb1/2p4p/3p1QpP/3P2P1/4PN2/PP3P2/R3K2R w KQ -,e1c1
