8/5p2/4p3/3pP1p1/3P2P1/2kNK3/6b1/8 w - -,d3f2
1rbq1rk1/p4p1p/3p1npQ/1pp1p3/3nP2N/2NP2P1/PPP2PBP/R4RK1 w - -,h6d2
rnbq1rk1/ppp1b1pp/4pn2/3p1p2/3P4/2P2NN1/PPQ1PPPP/R1B1KB1R w KQ -,c1f4
r1b2rk1/p5pp/1qn5/2bp4/Q2NPp2/2P5/PP1PB1PP/R1B2RK1 b - -,c6d4
6r1/8/1R4P1/7P/7K/8/2k5/1q6 w - -,b6b1
5rk1/p3p2p/3q2p1/3P4/QpB2R2/4b1KP/PP4P1/5R2 w - -,g3h2
2rqkbnr/pp3ppp/2n1p1b1/1B1pN3/3P1BP1/2N4P/PPP2P2/R2QK2R b KQk -,f8b4
2br2k1/p1q2p1p/2P1p1p1/4P3/3p4/1P2n3/P2QBRPP/2R3K1 w - -,c1c5
5nk1/1q1r1ppp/p2bp3/2Nb4/1P3P2/P5P1/2Q2B1P/4RBK1 b - -,d6c5
2r1r3/1bq3kp/3p1pp1/1p1P3n/2pQP1N1/5PP1/1P5P/1R2RBK1 w - -,g4e3
r1bB1rk1/pp3ppp/4p3/3p4/2P5/P4N2/1Pn1PPPP/R3KB1R w KQ -,e1d1
8/1kp2Q2/b2q4/p1r1p3/1p2P2P/7B/1P3P1P/R5K1 b - -,b7a7
5k2/1B4n1/p2r3p/8/5PK1/1P6/P6P/4R3 w - -,e1e2
5r1b/p1pq1r1k/1p1pp1pp/3n3N/3P1PP1/2PQ1R1P/PP1B4/4R1K1 b - g3,c7c5
r1bq1r1k/1pp3bp/3p2p1/p3p2n/2P2p2/P2PP1P1/1P1N1PBP/1RBQ1RK1 w - -,d2e4
r1b1r1k1/1pqn1p2/p1p2n1p/3p2p1/3P4/P1NBPNP1/1PQ2PP1/R3R1K1 b - -,c7d6
8/p3k2p/p1qbr1p1/2B5/3Q4/7P/PP4P1/3R3K w - -,d4g7
b1r2rk1/p2nqppp/1p2p3/2b5/2N1P3/1P1B4/PB2QPPP/2R2RK1 w - -,e4e5
rnbqkb1r/pp1ppppp/2p2n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq d3,d7d5
r4rk1/pp1b2pp/2p1pn2/3p1p2/2PP4/1P1BPP2/PB1K2PP/R1R5 w - -,b2a3
r4rk1/ppqb2p1/2nbp2p/3p3n/3P4/3B1NB1/PPQ1NPPP/R4RK1 w - -,f3h4
r1bq1rk1/pp2npp1/2nb3p/4p1N1/2Pp4/N2P2P1/PP3PBP/R1BQ1RK1 w - -,g5e4
2r3k1/p1r1qpp1/1p2p1np/8/1PP5/P1R1Q1P1/4BPP1/3R3K w - -,h1g1
rr6/3b1kpp/2p2p2/p1B5/1P6/P1K1P3/5PPP/R1R5 b - -,a5b4
r1bq1rk1/1p2ppbp/2n2np1/p2p4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,f6e4
rnbr2k1/pp2ppbp/6p1/q1pP4/4P3/2P1B3/P2Q1PPP/2R1KBNR w K -,g1f3
r1bq1rk1/1pp1n1b1/3p2pp/1P2pp1n/2P5/2NP1NP1/1B2PPBP/1R1Q1RK1 w - f6,f3d2
r1b4r/pp1nkpbp/3p1np1/1B6/3P4/5N2/PP3PPP/RNB2RK1 b - -,h8d8
7r/4b1k1/1r3np1/p1q1p1B1/Pp1pP3/1B1P1bQP/1PP3P1/2R2R1K w - -,g5f6
6k1/5pp1/2b2b1p/7P/ppB5/5N2/P4K2/8 b - -,g8f8
2kr3r/pp2q3/1np2pp1/3nb3/4N2P/P3PB2/1PQB1P2/2KR3R b - -,c8b8
r2q1rk1/2p1bppp/p1npbn2/1p2p3/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 b - -,f6e8
8/8/3pk3/6p1/2P5/3R2P1/1qNK4/8 b - -,b2a2
4rk2/pp1q2p1/5np1/3p3r/3PP3/2P1B3/PP2QPKb/2RR1N2 w - -,e2h5
4rr1k/1ppbn1pp/p2p2q1/PP6/2PBP3/1Q6/3N2PP/R4R1K b - -,a6b5
r4rk1/1pq2pbp/2p3p1/p1n1pb2/2P1N3/PP3N2/1BQ1BPPP/R2R2K1 b - -,f5e4
6k1/1p1r1p1p/2p2b2/p7/P2P1p1P/6P1/3RNPK1/8 w - -,g3g4
2rq1r1k/1p2b1pp/2n1p3/1NPp4/1P1PpBQ1/7P/5PP1/R4RK1 b - -,e7f6
1rq1r1k1/2pnppb1/pn2b1pp/1p2P3/5B2/4NNPP/PP2QPBK/R2R4 w - -,g3g4
8/3R1rnk/1p3p2/1P2pP2/7Q/4q3/7P/6RK b - -,h7g8
r1q2rk1/p1p1ppbp/1p1p1np1/3P1b2/2P5/2B1QNP1/PP2PPBP/R4RK1 b - -,f6g4
5b2/3n1k1p/8/3N2p1/8/5PP1/7P/3R3K w - -,h1g2
5r2/p1p3kp/bp1p1nn1/3P3Q/4B3/2P1P1B1/P1K5/8 w - -,h5h1
3rr1k1/pp3ppb/2pqp2p/4Q3/2PP1nP1/P6P/NP1R1P2/4RBK1 b - -,f4g6
8/8/R7/1r3p2/pkp2P2/6P1/1KP5/8 b - -,c4c3
1n1r2k1/p1r2p1p/1p2pbp1/1PP2N2/3P4/5B2/1B1R1PPP/3R2K1 b - -,g6f5
br2k2r/3nbp2/1q2p1p1/p3P2p/1pN1pP2/2P3Q1/PP1BB1PP/R4R1K b k -,b6c7
1r4r1/p1nkpp1p/3p4/2pP4/N2bN3/P5P1/1PP1RP1P/2KR4 b - -,h7h5
r1b2rk1/1p2bppp/1qnp4/p2np3/4PP2/1N6/PPP1B1PP/R1BQ1R1K w - -,e4d5
r3k2r/1pp1n1pp/p1p1bp2/4p3/4P3/NPPqRN2/P2P1PPP/R2Q2K1 b kq -,d3d6
r3qrk1/pBpp2bp/1p2p1p1/n5B1/2PP4/P4N2/1PQ2PPP/R4RK1 b - -,a5b7
r1bq1rk1/1p1n2b1/p2p2np/2pPpp2/2P2P2/P1NB3P/1P4P1/R1BQNRK1 w - -,d1h5
r2r4/1p2kpp1/3bb2p/1pnpp3/8/P1P1P1P1/1P1NNPBP/2RR2K1 w - -,h2h3
R7/P5pp/6k1/3p4/1B1Pn3/3K4/r5PP/8 w - -,b4c5
8/7k/8/3n2Kp/7P/5PN1/8/8 b - -,h7g7
2rqr1k1/pb3ppp/1p6/3p4/1P1Qn3/P4NP1/4PPBP/R4RK1 w - -,f1c1
8/4p3/r7/6P1/3P1K1k/5B2/8/8 b - -,a6a5
r2q1rk1/pp1n1ppp/2pb1n2/3ppb2/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 w - -,e2e4
8/R7/7k/6p1/3K2P1/p4r2/8/8 w - -,a7a6
8/1k6/p1p5/4p1p1/5bn1/8/PP2B3/1K2B3 b - -,g4e3
2k3r1/p1bnqp1p/Ppp1p1rB/3P1p2/2P5/4QNP1/1P3P1P/R2R2K1 b - -,c6c5
rq3rk1/p4ppp/1p1Np3/8/2P5/5QP1/Pb2PP1P/1R1R2K1 b - -,b2e5
2rbqrk1/np4p1/4p2p/1b1pPp2/pPnP1P1P/P2B1NKN/1BR1Q1P1/7R w - -,h1c1
2r1r1k1/3q2pp/pp2pn2/2b2p2/2P5/1Q1P1NP1/PB3P1P/2R1R1K1 b - -,d7b7
1r4k1/p4Npn/3P1p2/2P3p1/4P1q1/2Q5/PrB3PP/R4R1K w - -,c3c4
3r1rk1/1Q1n2pp/4ppb1/3p1nBq/2P5/5N2/P4PPP/2R1KB1R w K -,g5d2
rnbqkbnr/ppp1p1pp/8/3p1p2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq g3,b8c6
8/8/2N1pkp1/8/p2PP3/5K2/r5PP/8 b - -,a4a3
8/3k4/2p3pp/1pR5/1P4PP/2P5/2r2PK1/8 w - -,g2f3
r2q1rk1/3n1pp1/2p1pn1p/pp6/2PPb3/PPB3P1/5PBP/R1Q1R1K1 w - -,g2e4
2r5/2P1kp1p/6p1/p7/7P/1PR1K1P1/8/8 w - -,e3d4
1r3rk1/3bp2p/p7/2pP2q1/2P1pp2/2Q4P/PPN3P1/1R3RK1 w - -,b1e1
2r3r1/p4Pkp/1p6/2q5/4Q3/5P2/P4P1P/bB2R1K1 b - -,g7f7
6r1/1q1nkppr/2p1p1Np/B1PpP2P/b2P2R1/5Q2/3N1PPK/8 b - -,e7e8
6k1/3b2pp/3rpb2/8/p2pBP2/6P1/P3P2P/1R2R1K1 b - -,g7g5
8/6k1/p2p4/p7/P2pP3/1P1Bb3/7P/2Nb3K w - -,d3e2
3r4/8/8/4R3/8/4p1KP/3k4/8 b - -,e3e2
8/5pk1/2q3p1/3bb2p/4p2P/1p2P1P1/1P1QBPK1/2B5 w - -,g2f1
8/8/7R/1p2rkp1/1K6/7P/8/8 b - -,e5e6
rnbqk2r/pp1p2pp/4pn2/5p2/1bPN4/P5P1/1P1NPPBP/R1BQ1RK1 b kq -,b4e7
r2q1rk1/ppp1ppbp/1nn3p1/3P4/4P1b1/2N1BNP1/PP3PBP/R2QK2R b KQ -,c6e5
rnb1k1nr/ppp2pbp/6p1/4p1N1/2P5/6P1/PP2PP1P/RNB1KB1R w KQ -,b1c3
5r2/p2r1qbk/2R3pp/1Q1np3/4NpP1/2B2P2/P2PP1KP/1R6 w - -,b5c4
r3kb1r/ppqn1pp1/2p1p1p1/6P1/2PPp3/1Q2P2P/PP1B1P2/R3KB1R b KQkq -,f8e7
1r3rk1/pp6/2p2n1p/2n2b2/1R2NN2/5PP1/P5BP/1R4K1 b - -,f6d7
r7/2kb1n2/1r2p2p/1P1pP3/p1pP1NBR/R7/2PK1P2/8 b - -,a8a5
8/5p1k/6p1/p6q/3Q3P/8/5P2/5K2 w - -,d4c4
7Q/p4q2/4k1p1/2p3B1/4p2P/P3P3/7K/3q4 w - -,g5f4
r6k/3Q1ppp/p3p3/3pP3/5q2/BP6/P4K1P/2R1R3 w - -,f2e2
r3k2r/pp1b1p2/4p2p/3qP1p1/3n4/P2B2B1/2PQ1PPP/R4RK1 b kq -,d4f5
r3r1k1/1p3ppp/5n2/1P1pN3/N2q2b1/1Q1B4/P4RPP/4R1K1 w - -,e5f3
5rk1/p1rqn2p/1p3Bp1/3pPp2/P2P4/2PQ3R/6PP/5RK1 b - -,d7a4
3q1rk1/p4pbp/1rn3p1/4P3/1P1P4/P1Qb2B1/3N1PPP/R3K2R w KQ -,c3d3
5k2/8/1pB3p1/2p3n1/1P2P3/2P3N1/6K1/8 b - -,c5b4
r2qk2r/pp1bppbp/2Bp1np1/2p5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,d7c6
4rr2/1pn3k1/p1p2p2/2Pp2p1/3P4/1P1B1R1P/6P1/5RK1 w - -,d3f5
5n2/5kpp/1Np5/p1Pp4/P2b4/3N2P1/5P1P/6K1 w - -,g1f1
r2q1rk1/1pp3pp/p1pbbpn1/4p3/3PP3/1P2NN2/P1P2PPP/R1BQ1RK1 b - -,d8d7
r1b1r1k1/pp3pb1/2p2npp/8/3B4/1BN5/PPP3PP/2R2RK1 b - -,c8f5
1r2nrk1/4ppbp/p2p2p1/q7/1pPpPP2/3P2PP/3BQ1B1/2R2RK1 w - -,c1a1
8/8/7p/2R3p1/P1Pp1k2/2r2P1P/2PK2P1/8 w - -,a4a5
2k5/p2prp2/5Q2/1qP1r1p1/2p5/6P1/P4P1P/2R2RK1 w - -,f6d6
rn1qkb1r/pp3ppp/2p2nb1/8/Q2Pp3/2N1P1N1/PP3PPP/R1B1KB1R w KQkq -,a4c2
r4r1k/pp1bq1pp/2p1pn2/bPPpNp2/P2PnP2/3BP1P1/1BQ1N2P/R4RK1 b - -,d7e8
r3r1k1/1p4pp/q1p2n1N/p2p4/8/5Q1P/5PP1/R1R3K1 b - -,g8f8
4rrk1/pp3p2/8/3B4/3P3n/2N5/PPP3P1/5RK1 b - -,b7b6
r2qk2r/2p1bppp/p1n1b3/1pnpP3/8/1B3N1P/PPPN1PP1/R1BQ1RK1 w kq -,c2c3
8/8/p7/3k1p1p/P4P2/3K2nP/5BP1/8 b - -,g3e4
2r2k2/5pp1/1Rppb2p/3Pp3/4P3/4P3/4B1PP/6K1 b - -,c6d5
5k2/5p2/r4np1/7p/5PP1/2p1NK1P/P1R5/8 b - -,h5g4
r2qkb1r/3n1ppp/p4n2/3ppPB1/Pp6/3B4/NPP2PPP/R2Q1RK1 w kq -,d1e2
8/8/4kb1p/8/2N1p3/6KP/1PR2PP1/4r3 w - -,g3g4
r1bq1rk1/1p2bppp/n1pp1n2/p3p3/2P5/P1NPPN2/1P2BPPP/R1BQ1RK1 w - -,d1c2
3n4/p4pk1/2p3p1/2P1P2p/r4P2/3K1BPP/8/2R5 b - -,h5h4
3B4/8/8/4pk1p/6nP/5K2/8/8 w - -,d8c7
rn1q1rk1/3b1pbp/pn1p2p1/1PpP4/2P2P2/2NB3P/1P2N1P1/R1BQ1RK1 w - -,f4f5
6k1/p2r3p/1pq3p1/5p2/8/1Pp2PP1/P1Q1P1KP/2b1R3 w - -,e1c1
1r2r1k1/5pp1/2p4p/p2pb3/Pq6/3QP1P1/Nn3P1P/R1BR2K1 w - -,c1b2
8/6k1/8/Nn2K3/8/8/P7/8 w - -,a5c6
r3k3/1q4p1/p2Rbp1p/Q3Pp2/2pP1P2/2P2NN1/7P/6K1 b - -,b7b1
8/p1k3p1/4p2p/2PnN2P/2K3P1/P7/8/8 b - -,a7a6
r1bqr1k1/5p1p/pnp2bp1/1p1p4/P2P4/1PN1PN1B/2Q2PPP/R4RK1 w - -,h3c8
3qn1k1/5pbp/pp1p2p1/2pP4/2P2B2/1P2Qn1P/P1B2PP1/6K1 w - -,e3f3
8/8/5k1p/5p1P/P4Rp1/6P1/r4P2/2K5 b - -,f6g5
4r1k1/p5p1/bp1p1r1p/n1pP4/2P3Q1/2qB2B1/P5PP/1R3RK1 w - -,f1f6
r1bqkb1r/p2p2p1/2p1ppn1/2p1P2p/7P/2BP1N2/PPP2PP1/RN1QK2R b KQkq -,d7d6
8/3R1pk1/8/r3P1K1/5P2/8/8/8 b - -,a5b5
r1b1r1k1/4qpbp/2pp1np1/1p2n3/3NPP2/2N5/PPQ1BBPP/3RR1K1 b - -,e5g4
r2qr1k1/pp1bb1pp/2n1np2/2pN4/2N5/3P2P1/PP1BP1BP/R2Q1RK1 w - -,a2a4
r1b1rqk1/pppp1p2/2n4p/3P2p1/2P1nQ2/5NP1/P5BP/R1B1R1K1 w - g6,f4c7
6rk/5R1p/p1Q2ppq/1p3b2/4n2P/4P3/PP2BPP1/3R2K1 w - -,e2f3
1n1r1k2/6q1/ppp5/4rB1Q/1PRn3P/R5P1/5P2/6K1 w - -,c4d4
r1b2rk1/1p1n1ppp/p2bpn2/7q/2B5/BP3N2/P1P1QPPP/R4RK1 w - -,a3d6
2k4r/pb2q1b1/1p2p1pp/2p2p2/2P2P1P/4QNP1/PP3P1R/2KB4 b - -,h8d8
8/1p1k1pp1/4p3/1Pr1P2p/P3R2P/4KP2/6P1/8 b - -,d7c7
4rk2/2p2pp1/1p1p1n1p/1Pq1r3/Q1PnP2P/4RBN1/5PP1/1R5K b - -,d4f3
1n3r1k/5Pbp/3pB1p1/1PpQ4/6n1/2N1Pq2/1P1B1P1P/5RK1 b - -,g4e5
3r4/pp3pk1/8/2PB2p1/1Pp5/P5P1/5P2/2R3K1 b - -,d8d5
2bq1rk1/r3bppp/2np4/p2Np3/1pP1P3/3Q2P1/PPN2PBP/R4RK1 b - -,c8e6
r1b1k2r/pp1pqppp/2p5/1Bn1n3/1P6/2N5/P1P2PPP/R1B1QRK1 b kq b3,c5a6
r4rk1/pppqbppp/2n5/3p1b2/4n3/2P2NP1/PP1NPPBP/R1BQ1RK1 b - -,e4d2
8/8/6k1/4r1p1/4P3/1P1R1K2/7P/8 w - -,d3d6
2k2b1r/1b1q1p1p/4pp2/4P2Q/8/2N5/PPP3PP/2K4R w - -,h1d1
r1b2rk1/ppb1qp1p/2p3p1/8/1P2n1n1/P3P1N1/1BQ1BPPP/R4RK1 w - -,c2e4
r2q1rk1/pp2n1bp/2bp2p1/2p2p2/2PnPP2/2NP2N1/PP4BP/R1BQ1R1K w - -,c3d5
2k3nr/ppp3pp/5p2/q7/3Q1P2/3BB3/PP3PPb/4K2R w K -,b2b4
r5k1/pp2Q2p/5bp1/2np3n/5pb1/q1PB1N2/P2B2PP/1R3R1K w - -,e7c7
r4rk1/pp1b3p/2p1p3/6p1/1PQPP3/2N3Pq/P5R1/4R1K1 w - -,e4e5
3rn1k1/1q4p1/3p3p/Pp1Pppb1/nP6/1Q2BP2/2RNB1PP/6K1 w - -,c2c6
2kr1b1r/pp2pppp/2n5/q1PN1b2/1nP5/5P2/PP1B2PP/R2QKBNR w KQ -,d1b3
8/1b2b2R/k3r3/7p/8/5P2/8/1R4K1 w - -,b1b7
r1b1r1k1/pp3p2/2nB3p/q1Pp2N1/6pP/2b1P3/P3BPP1/2RQ1K1R b - -,h6g5
r2qr1k1/pbpn1ppp/1p3n2/3p1N2/1b1P4/3BP3/PP2NPPP/R1BQ1RK1 b - -,b4f8
6k1/6P1/3K1P2/6P1/8/7n/8/8 w - -,g5g6
8/8/3k3K/pp3pP1/2p2n1N/P1P4P/1P6/8 w - -,g5g6
8/1r6/1P4p1/2p1PpP1/pnkp1P2/P7/3BK3/1R6 w - -,a3b4
r2q1rk1/pb2bpp1/1p2pn1p/8/3NN3/2PB2P1/PP2QPP1/3R1RK1 b - -,d8c7
8/1p6/5kp1/5p2/7P/1P2RKP1/1r5r/5R2 w - -,e3d3
