6R1/8/5k2/4pp1n/7p/5P2/4N1PK/4r3 w - -,g8f8
2r2qkb/1p3r1p/p1p1p1p1/PnNbPpB1/1P1P3Q/7R/2B2PPP/3R2K1 w - -,f2f4
r2qnrk1/1pp3bp/6p1/p1pPp1P1/2P1Pp1P/2N4b/PP1N1P2/R2QK2R w KQ -,h1h3
8/pN1q1p2/1p2pPp1/6kp/4B3/5P2/4K2P/4R3 b - -,d7c7
2r1kb1r/2qp2pp/4p3/5p2/3Pn3/2PQP1P1/1B1N3P/R4RK1 b k -,e4f6
3rrbk1/n1qn1ppp/1p6/p1pPpN2/P3P3/1PQB3P/1B3PP1/R3R1K1 w - -,h3h4
5k2/1R4pp/rn2P3/1p1p4/2pP4/2P1BP2/7P/4K3 w - -,e1f2
r2q1rk1/pp1n2bp/2p1p2n/3pP1P1/8/2N2B2/PPPQ1BPP/R4RK1 b - -,h6f7
r4rk1/pb2qp2/1p1Rp2p/2n1Pp2/5P2/P4N2/1P3PBP/2RQ2K1 b - -,a8d8
5rk1/1p3pbp/6p1/2pRP1B1/5P2/2P5/1r4PP/5RK1 b - -,f8a8
2r3k1/4npp1/3qp2p/pPp5/2Q5/4PB2/P4PPP/1R4K1 w - -,b5b6
2R5/1P3pk1/4p2p/4P1p1/4P1P1/2p2P2/1r5P/5K2 b - -,b2b7
8/5pk1/7p/2R1Pp2/6p1/6P1/4r2P/6K1 w - -,g1f1
r4rk1/1p1b1pp1/p3p2p/q2n4/1b1P4/3B1NB1/PP2QPPP/3R1RK1 w - -,a2a3
r4rk1/pbq2pp1/1P2p3/6p1/2P5/8/P1B1QPPP/R4RK1 b - -,a7b6
2r2rk1/1b1nqppp/p1nbp3/1pppN3/5P2/1P2PNP1/PBPPQ1BP/R4RK1 b - -,f7f6
1r3rk1/2n1pp1p/bq1p2p1/nNpPb3/P7/3B2P1/1P1NQP1P/R1B2RK1 w - -,d2f3
r7/8/pR2nb1k/4N3/5p2/8/PP4PB/6K1 b - -,a8e8
2r2rk1/1p3pbp/4p1p1/p2b4/Pq1p1P2/1B1P4/1PPNQ1PP/R4R1K w - -,d2c4
r1r3k1/p3qppp/4p3/1p1pP3/4bP2/2P1Q3/PP2B1PP/3R1RK1 w - b6,d1d4
4k3/1p2r1p1/3R3p/8/PP3KP1/7P/8/8 w - -,a4a5
r1bq1rk1/pp1n1pbp/2ppn1p1/4p3/1PP1P3/2NP1NP1/PB3PBP/1R1Q1RK1 w - -,g2h3
7k/2N5/1pb2p2/3p1Pp1/3PP1P1/8/5K2/8 b - -,d5e4
6k1/1p1q1p2/p1pr1bp1/3r3p/2QP3P/1P2B1P1/P2R1P1K/3R4 b - -,d7d8
1qr2rk1/1p1bbppp/p2ppn2/8/2PQP3/P1N1B2P/1P2BPP1/2RR2K1 w - -,b2b4
r1r5/p2nkppp/1pp5/3p4/3P4/1PR1PNP1/P4PKP/2R5 b - -,e7d6
r3r1k1/1b2qppp/p2b1n2/1p1P4/8/NQ3P2/PPR1B1PP/3R2BK w - -,a3b1
r1r3k1/pp4bp/3ppnp1/q7/3BP1P1/2N5/PPP1Q2P/2KR3R w - -,e4e5
2r5/p4kp1/1p2p2p/3bPp2/n1rB1P2/2P1R2P/P4KP1/1B1R4 b - -,g7g6
8/8/6B1/6p1/2k2pP1/8/3K4/8 w - -,g6e8
8/2p5/pp1p3p/3P2k1/4R3/1Pr3P1/P5K1/8 b - -,c3c2
rnbqkb1r/pp3ppp/3pp3/1P1nP3/8/8/2PP1PPP/RNBQKBNR w KQkq -,c1b2
r3r1k1/1p2bppp/p1p1pn2/7q/2PP1B2/P4N2/1P2QPPP/3RR1K1 w - -,h2h3
r1b1k2r/ppq1nppp/4p3/1Bbn4/4N3/2P2N2/PP3PPP/R1BQ1RK1 b kq -,e8f8
1rb2rk1/2qnppbp/pp1p2p1/2pP3n/P1B1P3/2N2N1P/1PP2PPB/R2QR1K1 b - -,d7e5
8/pp5p/2p3r1/3p1k2/3Pp3/1P2Pn2/P3KP1p/3R3R b - -,f5g4
8/1r3pk1/4p1p1/pNbpP3/P1p2P2/2P2K1P/1P2R3/8 w - -,e2g2
r2qkb1r/pb1n1ppp/2p1pn2/1p4B1/3P4/3BPN2/PPQ2PPP/RN2K2R b KQkq -,a7a6
rnbq1rk1/pp1nbpp1/4p2p/3pP3/2Pp3P/P4N2/1PQN1PP1/RBB1K2R b KQ -,f7f5
k5r1/1p4q1/p2PQ3/4P2p/7P/5RP1/7K/8 b - -,g7h7
r3k3/pp2bp2/1qn1pnrp/3p2p1/2pP4/2P1PNB1/PPQN1PPP/R3K2R w KQq -,a1b1
3B2R1/5r1p/p1kp3p/1p3p1q/1PbQ1P2/4P3/6P1/6K1 b - -,f7b7
4k3/p5p1/2p1r1P1/3pP2p/3KnB1P/4P3/P5R1/8 b - -,e8f8
3r2k1/2p2p2/p4P1p/1p6/PP3p2/2P2p2/5PPP/R5K1 w - -,a4b5
8/3R2p1/4pbk1/4p2p/4PP2/6P1/6KP/8 w - -,d7b7
1r1q1rk1/1p1bppbp/p2p2p1/4n3/2P1P3/1PN2PP1/P2BQ1BP/2R2R1K b - -,b7b5
1rb1k2r/2q1bpp1/p1npp2p/8/1p2PP2/1N4N1/PPPQ2PP/1K1RRB2 b k -,e8g8
8/pk1r1p2/1p1PqQp1/5p1p/2p5/P7/1P1R1P2/2K5 w - -,f6d4
8/5p2/4p2k/p4p2/6nP/P1R1r1K1/6P1/2N5 w - -,c3e3
2krr3/pb4q1/1p1p1bpp/2pP4/2BN4/1Q5P/PP1B1PP1/2KRR3 b - -,f6d4
4k2r/4npR1/1p2b2p/p2pPp1P/P1pP1P2/B1P5/2P2KB1/8 b - -,e8d7
2r2rk1/pp3ppp/8/1b1pq3/1P2BN2/P1n1B1P1/3QPP1P/R4RK1 b - -,e5e4
r1bqr1k1/pp3pbp/n1pp1np1/8/2PNP3/2N1B3/PP2BPPP/1R1Q1RK1 w - -,b2b4
r2q1rk1/pp1nppbp/3p1np1/1P6/3NP3/2N5/PP2QPPP/R1B2RK1 w - -,f1d1
r3kb1r/ppp3pp/2nq1p2/4p2b/P1B5/2PP1N1P/2P2PP1/R1BQR1K1 b kq a3,e8c8
r1b2rk1/pp2ppbp/2np2p1/7q/2P1P1n1/2N3P1/PPNB1PBP/R2Q1RK1 w - -,h2h4
8/1Pb5/N1p2kpp/3b4/K6P/8/3N4/8 b - -,c7f4
r1b2rk1/p1p2p2/1p1q2pp/1B1PR3/4Q3/2P5/P4PPP/R5K1 b - -,c8d7
4r1k1/2r3bp/p2q2p1/1pNp1pP1/1P1PnP1P/P6R/1B4Q1/5RK1 b - -,c7e7
r3rnk1/2bnq2p/pPp1p1p1/3p1pP1/1P1P1P2/P1NBPQ1P/3B4/4RRK1 b - -,d7b6
rbQ1r2k/p4npp/1n2p3/1NBp1p2/3P4/4PNP1/P4P1P/1R3RK1 b - -,b6c8
1r3rk1/1p2ppbp/2bpn1p1/2q5/PpP1P2P/1P3NP1/1B1Q1PB1/R3R1K1 b - a3,b4a3
r1bq1rn1/1pp1npbk/p2p2pp/3Pp3/2B1P2B/2N4P/PPPQ1PPN/R3K2R b KQ -,f7f5
r2qr1k1/ppp1ppbp/1n4p1/3P4/2n2P2/2N1P1PP/PP2b1B1/R1BQ1RK1 w - -,d1e2
r1b2rk1/pp2np1p/3q1bp1/3p4/3P1N2/P3BB2/1P1Q1PPP/R1R3K1 b - -,c8d7
r2q1rk1/p1p2ppp/1p1npB2/8/2P5/1P1NPQP1/P4P1P/R4RK1 b - -,d8f6
r3k2r/1bpnqpb1/pp3npp/6B1/P1B1p3/2P1P2P/1P1NQPPN/R4RK1 w kq -,g5f6
r1r2qk1/pp1nbppp/2p3n1/4p3/2PPP3/2N3P1/P1Q2PBP/B1RR2K1 w - -,d4d5
1rbq1r1k/5p1p/2np2p1/p2Np1b1/R1B1P3/1PP5/2N2PPP/3Q1RK1 w - -,c2e3
r1bqk2r/1p1nppbp/p2p1np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 w kq -,f2f4:a2a4:d1d2
2k4r/3q1p2/1pr1p1p1/p2pPn1p/b1nP1P2/bNPN1RPB/P1P1QB1P/1R4K1 w - a6,d3e1
3r4/p5k1/3pQpBr/q2Pp1pP/3p2K1/1P1Pb1P1/P1R4R/8 b - -,f6f5
r2q1rk1/pp1n1pp1/2p1pb1p/5b2/2PP1B2/5NP1/PP3PBP/R2QR1K1 b - -,f8e8
5k2/1p3pp1/p1q2b1p/8/2P5/PP1Q1NPP/5P2/5K2 w - -,f1g1
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/1P3NP1/P3PP1P/RNBQKB1R b KQkq -,f8g7
8/1Q2kr2/3r4/5p2/4p3/8/1P3PP1/1K6 b - -,d6d7
8/1p3pkp/3q1Qp1/8/1p2P3/7P/PPP5/2K2R2 b - -,d6f6
3rr1k1/2q3pp/p2pPp2/2pP4/1pP2PP1/3Q4/P6P/4RRK1 b - -,g7g6
r1bqk2r/pp2bppp/2np1n2/2p1p3/2B1P3/1PN2N2/PBPP1PPP/R2QK2R w KQkq -,h2h3
5bk1/ppq2pp1/2n4p/2pQ1B2/2p3P1/7P/PP3P2/4R2K w - -,e1e4
2rr2k1/1bq1nppp/p2pp3/1pn5/4PP2/1PP1QBN1/P2RN1PP/3R3K b - -,d8e8
r1bq1rk1/pp2bppp/2n1pn2/8/2Pp4/NP1P1NP1/P4PBP/R1BQ1RK1 b - -,f6e8
rnbqkb1r/pp2pp1p/3p1np1/2p5/4P3/1P1P1N2/P1P2PPP/RNBQKB1R w KQkq -,c1b2
3rn1k1/3q1pp1/p6p/Bp1pQ3/8/P4P1P/1P1R2PK/8 b - -,f7f6
R7/3k1pp1/4p1p1/4P1P1/5B1P/3n1K2/1r6/8 w - -,a8a7
6k1/pp1b1rrp/1q2p3/4Q3/1PR5/P7/5PPP/1B3RK1 w - -,b1e4
r4rk1/pp3pp1/2n2b1p/2p1pb2/8/2PqB1P1/PP1NQPBP/R2R2K1 w - -,e2d3
R7/6k1/3K1pp1/6P1/7P/8/1b6/8 w - -,a8a7
1n4k1/4PpB1/6pb/2p5/p1N4p/7P/PP3P2/4rBK1 w - -,g7e5
2r3k1/4pp1p/1B4p1/2n5/6P1/1P3P2/r2K3P/3B3R w - -,d2e3
2k2rr1/pp1b4/B2b1p2/q1pP3p/7Q/1P2B3/P2R1PPP/2R1N1K1 b - -,g8g4
r1r3k1/1p2bppp/p1n1pn2/8/8/2P2N2/PPB2PPP/R1BR2K1 w - -,c1g5
7k/3rpp1p/p6P/Pp6/8/1KP2rPR/3PR3/8 b - -,f3d3
5rk1/ppq2p2/2p1p1pb/3p3p/2PPbP2/1P2Q1PP/PB2P2K/R3R3 w - -,e3f2
r1bq1rk1/1p3pbp/2n1p1p1/p2p4/P2PnN2/1BP2N1P/1P3PP1/R1BQ1RK1 w - -,f4d3
8/3p2k1/p1bP1pp1/1pP1p2p/4P3/P1R1NP1P/3r2PK/8 b - -,g7f7
8/1p6/1Np3p1/6pp/4P1k1/2P3Bn/PnPK1P1P/8 w - h6,f2f3
r4rk1/1p2qppb/2n1p2p/2P4P/p1P5/Q3B1N1/PPn1BPP1/2R2RK1 w - -,a3c3
3r1r2/p6k/Ppp3pp/4bn2/4N3/2P1B3/1P3PP1/R4RK1 w - -,a1e1
8/pB2kppp/8/1p6/5P2/4P3/n1bB1P1P/4K3 b - -,b5b4
r4k2/pp4pp/1r1b2p1/3B4/4P3/1PR5/P4PPP/5RK1 b - -,f8e7
rnbqkb1r/pp1ppppp/8/2pnP3/8/1P6/P1PP1PPP/RNBQKBNR w KQkq -,c1b2:c2c4
r1bq1rk1/ppp3bp/2np1np1/4pp2/2P5/2NPP1P1/PP2NPBP/1RBQ1RK1 b - -,c8e6:g6g5:a7a5
8/1r2b3/R2pk3/4p2p/1B2P1p1/P4P1r/2P2RKP/8 w - -,c2c4
r3b1k1/7R/3P1n2/2B2p2/p7/3P2P1/3b2K1/2R5 b - -,g8h7
5k2/8/4Ppp1/2nP3p/3p3P/6P1/6B1/5K2 w - -,f1e2
2kr1b1r/p4p2/bpp1p3/3pPp1p/4P2P/4B1N1/PPP3P1/2KRR3 w - -,e4f5
1r1q1rk1/pb1nppbp/1p1p2pB/2p5/1PPnP3/P1NP2PP/5PBK/1RQ1NR2 b - -,e7e6
r1bbqrk1/ppp2ppp/2n1pn2/3p4/1PPP4/P3PN2/2QN1PPP/R1B1KB1R w KQ -,f1d3
r4k2/1np2P1p/1n1p2p1/4p1PP/rq6/6BQ/4R3/1N3RK1 b - -,b4g4
4R3/1pbk2p1/p4PPp/P2p4/1PPp4/5K2/B5R1/7q b - -,h1f1
2rr2k1/1b3pp1/pn2p2p/8/1q2P3/2NB2QP/1P3PP1/R2R2K1 w - -,d3a6
r1bq1rk1/1ppn1pbp/p1n3p1/4p3/P7/2N1PN1P/1PP1BPPB/R2Q1RK1 b - a3,d7c5
8/5p2/6k1/4pp2/p1n4P/PN3KP1/8/8 w - -,b3c5
4rn1k/1b4p1/pbp3p1/1p1p1r2/1P1Pp3/2P1R2N/P1B1NPP1/R5K1 b - -,f8e6
2k5/2p2pp1/p5r1/4P3/PPQ2P2/4BKP1/6RP/1q3r2 w - -,g2f2
Q7/p5pk/1p2q2p/4N3/8/6BP/P3rPPK/8 w - -,e5f3
2rq2k1/1p1n2p1/p1pbpr1p/P2n4/3PQ3/1N1B4/1P1B1PPP/2R2RK1 w - -,g2g3
1r1r2k1/pb1qnpbp/1pnpp1p1/2p5/QPP1P3/P1NPB1P1/4NPBP/1R3RK1 w - -,f1d1
5b2/6p1/7p/2p4P/4K1k1/2B3P1/1P3P2/8 b - -,g4h5
r1bqkb1r/pppn1p1p/3p2p1/3Np1Pn/3PP3/4BN2/PPP1BP1P/R2QK2R b KQkq -,c7c6
2k5/2p1bpp1/p1p4p/2B2b2/4rP2/1NP3P1/PP3K1P/4R3 b - -,e4e1
3q2k1/p2b1ppp/3b4/3P4/4QP1N/P5PP/1B5K/8 b - -,d8c8
r5k1/1p1n1pb1/p1qpr1pp/P1pN4/R3P3/1P3P1P/2PQ2PB/4R2K w - -,e1d1
r4rk1/1q1bbppp/ppnppn2/8/P1PNP3/2N1BP2/1P1QB1PP/R2R3K b - -,a8c8
7Q/8/2Pk4/p7/5K2/8/P2q4/8 w - -,f4f3
8/6p1/7p/8/nk6/p2K2P1/B6P/8 b - -,a4c5
rn1qk2r/pbpp1ppp/1p2p3/8/1bPPn3/5NP1/PP1NPPBP/R1BQ1RK1 b kq -,e4d2
1q3k2/4r2p/4p1p1/2p2p2/1p1bPP1n/3B2NP/1P2QP2/3R2K1 w - -,d1a1
r2q1rk1/1p2bpp1/1np1p2p/p2nPb2/3PN3/PB3N1P/1P1BQPP1/R4RK1 b - -,b6d7
r2q1rk1/2pn1ppp/p1pp1b2/8/2P1P3/1PN3P1/PB3P1P/R2Q1RK1 w - -,a1b1
2r3k1/5pb1/2rp4/5QpP/Pq2p1P1/1P5R/8/1KNR4 w - -,c1a2
3rrbk1/2q2ppp/bpp2n2/p1n1pNB1/4p3/2PP2NP/PPQ2PP1/R3RBK1 w - -,d3e4
r5k1/pp1b1r1p/2pbpn1q/P2p4/2PPpp2/1P2P1P1/1BQNBR1P/R5K1 w - -,g3f4
7r/4bpp1/p1rpk2p/R3p3/4P3/8/PP1B1PPP/R5K1 w - -,g1f1
3qnrk1/r4ppp/p2p4/1p1P2b1/3Q4/P5B1/1PP1B1PP/R4R1K b - -,a7e7
r5k1/pprb1pq1/2n1p1pp/3pP3/5QPP/2B1P3/PP2BP1K/R1R5 w - -,c3b4
2r4r/1p1kbppp/p1n1p3/3p4/8/4P1B1/PP2BPPP/2R2RK1 b - -,e7f6
2r2rk1/ppqbbpp1/2nppn1p/8/4P2B/P1N2N2/BP2QPPP/R2R2K1 w - -,e2d3
2r3k1/pp2bppp/4pn2/2rp4/8/P2P1BP1/NP2PP1P/R1R3K1 w - -,c1c5
5k2/1r1bp3/1r4p1/2pP1p2/2B5/7P/P4PP1/1R2R1K1 w - -,b1b6
8/5p2/6k1/1p4pp/8/P1B3P1/5KP1/3b4 b - -,g6f5
8/3P4/1b1N2p1/2n1p3/4PkB1/5P2/4K3/8 b - -,c5b3
1kr2r2/1pnb4/p1q1p3/n3P2p/3B1P2/P1NB4/1P4PK/3Q1RR1 b - -,c7d5
2R5/5kp1/p1N1p1p1/2n1P3/8/8/PpP5/1K6 b - -,c5e4
4q1k1/5pPp/p5p1/2pQ4/2P1rP2/1P4Pb/P3NK2/4R3 w - -,d5d2
1r2k2r/4b3/pp1pNn2/8/1Pn5/2N1BRPp/P6P/2R4K w k -,e3g5
3rrbk1/1p3pp1/p1n4p/3N1Nq1/6P1/1Q2PP2/PP5P/3R1R1K b - -,g5g6
r2r4/1p1nkppp/2pnp3/2p5/N1P5/1P3BP1/P3PP1P/R2R2K1 w - -,d1d2
r5k1/q4p1p/4p1p1/3p4/1PpP4/r1P3PP/3Q1P2/2R1R1K1 w - -,c1c2
b1rq1rk1/3nb1pp/p3p3/1p2Pp2/1P2pP2/1NP1B3/P2NQ1PP/2RR2K1 w - f6,e5f6
r3r1k1/3q1ppp/2pb1n2/1p1p4/1P1P1PP1/2N1PQ1P/3B4/1R3RK1 w - -,g4g5
6r1/1p6/p3kp2/2p1P2p/4P1p1/6P1/PPP2K1P/4R3 b - -,f6e5
8/8/5p2/2p1k3/4P1P1/2P1K3/2b4p/7B b - -,c2d1
2rqr1k1/p3bpp1/2p2n2/3p3p/N5b1/1P1Q2P1/PB2PPBP/2R1R1K1 b - -,e7b4
r1b2rk1/pp2ppbp/2n2np1/2p5/1qP5/1QN1BNP1/PP2PPBP/R4RK1 w - -,c3a4
3qnrk1/3r1p2/1p4p1/pN1np1b1/2P1P3/PP3R2/1B2Q1PP/5RK1 w - -,c4d5
2b5/3p2pk/p1q1p1pr/4PpQ1/P4N1P/2p1R3/3r1PP1/3R2K1 w - -,d1f1
8/8/p3p2b/2q1P2k/2p5/2B3R1/PP3PP1/4R1K1 b - -,h6f4
r3r1k1/1p4b1/1p3pp1/4Nb1p/2Pp1P2/1P3RP1/P3P3/R1B3K1 w - -,e5d3
4rrk1/p1q1ppbp/1pb2np1/2pp2B1/3P1P1Q/2PBP3/PP1N2PP/4RRK1 w - -,g5h6
3r1b1k/R5p1/3p3p/2pP3r/2N2p2/2N5/1PP2PK1/4R3 b - -,h5h4
r4rk1/1bqn1ppp/4pn2/p7/1pPP4/3BPN2/1BQ2PPP/R1R3K1 b - -,h7h6
1r2qn1k/r1p3p1/1p1pbp1p/4p3/pPP1P1PP/P2BPP2/1B1R4/2R1Q1K1 b - h3,e8f7
r4rk1/pp2ppbp/3pbnp1/q7/3BP1P1/2N2P2/PPPQ3P/1K1R1B1R b - -,a8c8:f8c8
6k1/5pp1/1q3n2/p2R3p/4p1nP/1N6/1PPBQ1P1/1K6 b - -,f6d5
rnb1kb1r/pp2p2p/1qpp1np1/5p2/3PP2P/2N3P1/PPP2PB1/R1BQK1NR w KQkq -,h4h5
3r1rk1/1p1P1p2/pN3bp1/3Ppq1n/1P5p/4BP2/P2Q2PP/2R2RK1 b - -,h5g3
6k1/p3bp1p/1pq1p1p1/8/2PQN3/1P1K1PP1/P6P/8 w - -,d3e2
8/1R6/4p1kp/3pPp2/4q3/2rN2PQ/3b1P1P/6K1 w - -,b7b6
r2qk2r/pp1nbp1p/2p1bnp1/3p4/3P1B2/2N1P1N1/PP1Q1PPP/R3KB1R w KQkq -,f1d3
2rqr1k1/p4pB1/1pp1p2p/1n4p1/3P4/1QPN3R/PP3PPP/R5K1 b - -,g8g7
r2r4/p3npkp/3N2pB/8/8/5PPB/Pb5P/3R3K b - -,g7g8
6k1/B3b2p/pQ2p1n1/1p3p2/2b2p2/PP3P1P/2P3PK/3r4 b - -,e7h4
n7/1q4k1/3p1ppn/QppPp3/4P2P/1PP2NP1/5PK1/1N6 b - -,h6f7
8/pp2kr1p/2p5/8/5r2/8/PP1R3P/6RK w - -,g1e1
r1bqr1k1/1p1nbppp/p1p2n2/3p4/2PP4/1PN1PNP1/PBQ3BP/4RRK1 b - -,d7f8
8/5p2/3bpk1p/8/1p1R1P2/1B4K1/PP5P/5r2 b - -,f6e7
8/pB3r2/2Pk2pp/3b4/8/P2R2K1/7P/8 b - -,f7c7
2rqr1k1/pp1bppbp/2np2p1/3Nn1B1/4P3/2P2N1P/PP1QBPP1/R4RK1 b - -,e5f3
r1bk3r/p2n2p1/4Q2p/qpppP3/3P3P/B1b2R2/P1P2PP1/2KR1B2 w - -,f3c3
1rbq1rk1/pp4pp/2pb4/3pN3/3PPp2/2P3P1/P1Q2PBP/R4RK1 w - -,f1d1
8/5p2/2p4p/1p1b2k1/1P4p1/2P3K1/8/4R3 b - -,h6h5
2R5/pqR2nkp/3pp3/3p2p1/1P1Pp3/4P1P1/3N1P1P/6K1 b - -,b7b4
8/2n5/1p2p3/3pP3/1PpP1k2/2P4b/1K6/3B1N2 w - -,f1d2
r1q2rk1/2p2pp1/p2pb1np/1p2p2Q/3PP2P/2P1B1P1/PP3P2/R2BR1K1 b - -,c7c5
5rk1/1p2bppp/2p1p3/8/1P1PbB2/2r1PN2/5PPP/R4BK1 b - -,e7b4
6k1/6p1/6P1/r6K/6P1/P4R2/8/8 w - -,g4g5
q4rk1/1pp1npb1/3pb1pp/1Pn1p3/2P5/2NP1NP1/4PPBP/2BQ1RK1 w - -,f3d2
8/3Qn1k1/1q6/p2Pp1b1/1p2Pp2/1P3P2/1P6/1KR5 w - -,d5d6
8/2r3p1/5pk1/8/pR1B2P1/Pb3P2/1P1K4/8 b - g3,g6f7
8/8/2r2pk1/8/5P1K/1R4P1/8/8 b - -,c6a6
1rb2rk1/p1qp2pp/3Npp2/3pP3/1b3P2/8/PP2K1PP/R1BQ1B1R w - -,d6c8
1r1q1r2/4nb1k/3p3p/1p1Pbp2/pP2PR2/2NP4/3B2BP/1R1Q3K w - -,d1f3
6k1/b5p1/8/5p1p/2RB1P2/5KP1/r3p2P/8 w - -,f3f2
rnb2rk1/p1qnbppp/3p4/3pp1P1/1p2P3/3BNN1P/PPPBQP2/R3K2R b KQ -,d5e4
8/5p2/4bk2/3pn2R/3N1pP1/1P2P3/3KB3/6r1 w - -,e3f4
8/3r2kp/5pp1/8/1pB1P3/r1bP2P1/5RKP/1R6 b - -,d7a7
2rqr1k1/4bpp1/p2pbn1p/1p6/3QP3/6NP/PPB2PP1/R1B1R1K1 w - -,c2d3
r2q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP1NP1/3BPPBP/R2Q1RK1 w - -,d1c2
5nk1/1pr2pP1/pq1p4/3P3P/2r5/6B1/PPPQ4/1K1R3R b - -,f8h7
r1q1k2r/1p1nbppp/p1p1p3/2Pp2P1/3PbB1P/1QP5/P2NPP2/R3KBR1 b Qkq -,e4f5
1nr3k1/5b1p/R1pq2p1/2p2p2/2P4P/2QNPBP1/5PK1/8 w - -,a6a8
2r3k1/1p6/p4p2/3Q4/1n1p4/PN4P1/6KP/4R3 b - -,b4d5
4r1k1/1p3p1p/2p5/N1P3p1/5n2/7P/4qQP1/3R2K1 w - -,d1d7
1r1r4/p4kpp/2R2p2/4n2P/P2q4/4R1P1/4BP2/2Q3K1 w - -,c6c7
8/8/2p1r3/2Pp1k2/P4b2/8/8/3Q3K b - a3,e6h6
r3k2r/pp1bqppp/2n1p3/1BPp4/3P4/2P2N2/P4PPP/R2QK2R w KQkq -,e1g1
r2q1rk1/1pp4p/6p1/p1QPb3/4p3/7P/PP2NPP1/R4RK1 w - -,e2c3
3rrbk1/1n1q1p2/2p1p1p1/4B2p/Pp1P4/3R3P/1PB1QPP1/R5K1 b - -,f8g7
5k2/2pb1p2/1p1p1q2/p2P1p1p/2PNrR1P/6P1/PP1Q1P2/6K1 w - a6,d4e2
r1bq1rk1/pp1n1ppp/2n1p3/2bpP3/3N1P2/2N1B3/PPPQ2PP/2KR1B1R b - -,c5d4:a7a6
