2Q5/7k/5bp1/p2q3p/1p3R1P/5P2/5K2/8 w - -,f4f6
r4rk1/1p1bq1np/n2p2p1/2pPpp2/1PP1P2N/6P1/3NBP1P/1R1QR1K1 w - c6,d5c6
2kr2r1/1b1n1p2/p5Q1/1pppP3/3P1B1P/1P4PB/P6K/R4R2 b - -,g8g6
5rk1/1p1q1ppp/p2p4/1r1P2P1/3Q2RP/8/1PP1B3/1K1R4 w - -,h4h5
1r6/2r1p1kp/3n1pp1/p7/2nP4/1NP2B2/PP3PPP/1R2R1K1 w - a6,b3c5
rnbqk2r/pppn2pp/4pb2/3p4/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq -,f3g5
r3r1k1/pp3pp1/5b2/5b1p/N1P2P2/1P3K2/P5BP/2R1R3 b - -,f6h4
r2q1rk1/ppp2pbp/3pb1p1/4p1Pn/2BPP3/2N1BN2/PPPQ1P1P/2KR2R1 b - -,e6c4
r1bqk2r/1p2bppp/p1n1pn2/3p4/1PP5/P4NP1/4PPBP/RNBQ1RK1 w kq -,c1b2
r4rk1/p4ppp/8/2p5/5Pq1/4P3/PP1R1PQP/2R3K1 b - -,g4e6
r3kb1r/pb1p4/2nPp3/qp1n1pp1/2p4B/2P3Q1/PP1NPPPP/R3KB1R w KQkq -,h4g5
1k1r4/1pp3pp/p1q3n1/8/P7/1P1BQ1P1/5P1P/4R1K1 b - -,d8d6
6k1/4p2p/3pp1p1/1p6/3BP3/1P1n1P2/P1r3PP/1RN3K1 b - -,d3c1
2r2r2/6bk/3p1pp1/1npPp2p/5P2/3PP1P1/3B3P/RR4K1 b - -,b5c7
qr4k1/1r3pp1/3PP3/2R4p/p3QP2/B6P/6PK/8 b - -,g7g6
2kr3r/1b1qb3/1p2p3/P6p/1pPpBpp1/3Q4/3B1PPP/R2R2K1 b - -,e7c5
r1bqk2r/pp2npbp/2np2p1/2p1p3/4P3/N1P3P1/PP1PNPBP/R1BQ1RK1 w kq -,d2d3:a3c2
1k6/2pq1rp1/1pn1p3/1N2P3/1P2QP2/4B3/R6r/2K5 w - -,a2h2
8/8/1k3b2/1P1p1PBp/3PpKp1/4P3/6P1/8 b - -,f6g7
6r1/6B1/8/K1Rb4/2p1k3/8/8/8 w - -,g7f6
6k1/2R3p1/p5rp/4P3/8/r7/6PP/5RK1 w - -,c7a7
R4rk1/5pbp/5rp1/2BQ2N1/8/7P/P3qPP1/6K1 b - -,f6f5
rnb2rk1/1pq1bppp/p2p1n2/2p1p3/3PP3/2PBBN1P/PP3PP1/RN1Q1RK1 w - -,b1d2
2r3k1/1p1qbppp/pnr1p3/3p4/3P4/1P1QPPB1/P1R1N1PP/2R3K1 b - -,e7a3
nr3rk1/2qnbppp/3p4/p2Pp3/Ppb1P3/1P1BBN1P/4RPP1/2R1Q1K1 w - -,d3c4
1r1q1rk1/3bppb1/p2p1np1/nppP3p/2P1P3/1PN3P1/PBQN1PBP/1R3RK1 w - h6,c3e2
8/4r2p/6p1/1pp5/p2k3P/4p1P1/1PR5/2K1N3 w - -,c1d1
3r1rk1/5ppp/p1p5/R7/2b2B2/2P4P/5PP1/4R1K1 b - -,d8d5
8/5pk1/4p1p1/4b2p/r1q5/4QB2/4PP2/3R1K2 b - -,c4c7
1rb3k1/1pNp2b1/2nPp1r1/6N1/7P/1P6/RP3PP1/5RK1 b - -,b7b6
2r3k1/3n1pp1/2p1pn1p/R7/P1Pr4/2RN2PP/5PBK/8 b - -,d7b6
3Q4/3b2k1/6p1/1p1q3p/p1pNp2P/P1P3P1/1P3P2/4K3 b - -,d5d6
r3k2r/pp3p2/3p4/2pPq2P/2P3b1/2PBPNn1/P1Q2KP1/R5R1 b kq -,e5h5
1r3rk1/5p2/4pPp1/pbnp3p/5P1P/1P3N2/1PP3P1/1K1RRB2 w - -,f1b5
5R2/8/7p/5k2/pr6/6K1/1P6/8 b - -,f5e5
8/k4B2/1p1BP3/1PpK4/2P2b1p/7P/8/8 b - -,f4g5
1k5r/1p2qpp1/p3p2p/2PnN2P/5PP1/8/PP2Q3/1K5R w - -,h1c1
3r4/4kppp/8/2p1P3/3bPP2/1b4P1/1P1R3P/1K1B4 b - -,b3d1:b3e6
6k1/p5p1/3p4/2p2p1P/PpP2P2/1P2r1P1/8/5R1K w - -,f1d1
rn3rk1/pbqpbppp/4pn2/2P5/P7/BQP2NP1/4PPBP/RN3RK1 b - -,b8c6
4q1k1/pr2nr1p/3PQ1p1/5p2/8/3B3P/PP3PP1/R5K1 b - -,e8d7
8/1b2qpk1/p4np1/1p2P2p/1P6/1BP3PP/P6K/4Q3 w - -,e5f6
4rk2/4rpp1/p2p1n1p/1p1PbB2/7P/P1P2KP1/1P2R3/2BR4 b - -,f6h5
r2qkb1r/1bpp1ppp/p1n2n2/1p2p3/4P3/1BN2N2/PPPP1PPP/R1BQ1RK1 b kq -,f8e7
8/1pp4k/3p2p1/3Pp2P/r1P1P1p1/4Q3/PK6/5r2 b - -,a4b4
r1b1rqk1/1p1n1pbp/p2p1np1/2pP4/P3P1P1/2NB1N1P/1P1Q1P1B/R3R1K1 b - -,b7b6
rq3rk1/1b1nbp2/1p1p3p/pN2pPp1/1PP1P1Pn/4B1Q1/P2N2BP/2R2RK1 w - -,a2a3
8/5nkp/3p2p1/3P2q1/1p6/1P1Q3P/4BK2/8 b - -,g5f4
1k1rr3/ppq2pp1/3bp2p/3nN2P/2R5/6P1/PPPBQP2/1K1R4 b - -,c7e7
3k4/R7/1r3np1/3P1p1p/5P2/pB2P1P1/P1K5/8 b - -,f6e4
1r6/1r3k1p/R3p1p1/2p5/3b1P2/P7/1P2R1PP/2B2K2 w - -,a6e6
4r1k1/Q3ppbp/5qp1/8/3P4/2N4P/Pr3PP1/3R1RK1 w - -,a2a4
8/p7/4nkp1/2q4p/3p3P/P2Q2P1/2P1N1K1/8 w - -,g2f3
1nr1r3/1q2ppkp/1p1p2p1/1P1N4/2P4P/4P3/4QPP1/2RR2K1 b - h3,b8d7
rn3rk1/p3bppp/2bppn2/7q/2PQP3/2N2NP1/P2B1PBP/1R3RK1 w - -,f1e1
6k1/1R3p2/4r3/R2p1p1p/8/6P1/3r1PKP/8 w - -,a5a8
5r1k/3p2bp/p3q1p1/1p1QP3/2p2P2/P2n2B1/RP4K1/5R2 w - -,d5e6
1r1q1rk1/1pp1bpp1/p1n2n1p/2Pbp3/8/BP1Pp1P1/PN1N1PBP/R1Q2RK1 w - -,f2e3
6r1/4pqk1/1p1p1r1p/3P1P2/1PP2PPR/3Q1K2/4R3/8 w - -,d3d4
r1r3k1/pb3pbp/1p4p1/3P4/3n4/qB3N2/3B1PPP/1R1QR1K1 w - -,f3d4
r1bq1rk1/pppn1pb1/3p1npp/3Pp1B1/2P1P3/2NB3P/PP3PP1/R2QK1NR w KQ -,g5e3
r3r1k1/p2bqpnp/2p3p1/1p1P4/4p1P1/1NN1P2P/PPQ2P2/1K1RR3 b - -,a7a6
8/p1Rqk2p/5p2/1P1p1prP/8/4P3/PP5Q/1K6 b - -,g5g1
r2q1rk1/p5p1/1n1p3p/2pP1P2/1n1b1P2/R4B2/1P1N2PP/2BQ1R1K b - -,d8f6
r3k2r/1p1n3p/1p1bpnp1/8/4p3/2N5/PP2NPPP/R1B2RK1 w kq -,c1f4
4r3/pp1r1Npk/2p1p2p/7P/2PP1p2/4P1n1/PPK3P1/4R1R1 w - -,f7e5
r3r1k1/p4pp1/2p2nbp/1p2q3/6P1/2N2Q1P/PP2P1B1/R4RK1 w - -,f3c6
6k1/5p1p/2N2b2/5P2/2R5/1r6/4rPKP/5R2 b - -,h7h6
7r/1p1R4/1kn3pp/p7/P4P1P/4P3/5PB1/6K1 b - h3,h8b8
3r3k/p4r1p/2p2P1Q/4p3/8/2Nb3P/pP6/K5R1 w - -,g1g7
br3rk1/4qpbp/pBnpp1p1/1p6/4PP2/2P2N2/PP3QPP/1B1R1RK1 b - -,b5b4
8/8/8/1k2p2p/4P2P/pr3P2/2R1K3/8 w - -,f3f4
2rn2k1/2b4q/4p3/1r3p2/1P1Pp1PP/P7/5R2/2Q1RN1K w - -,c1g5
r4rk1/1b1pn1pp/p1q1p3/1pb2p2/4PP2/P1NB4/1PPBQ1PP/2KR1R2 w - f6,g2g4
2r5/p2N2pk/1n2pr1p/8/1P6/P7/5PPP/2RR2K1 b - -,f6f7
r1b2rk1/pp3ppp/2n2b2/q1p5/3p4/3P2P1/PPPNNPBP/R2Q1RK1 b - -,c6e5
rnbq1rk1/pp2ppbp/5np1/3p4/3P4/1P1B1N2/PBPN1PPP/R2QK2R w KQ -,f3e5
4r1k1/pbr1q2p/1p1b1np1/2ppNp2/3P4/1QB1PPP1/PP4BP/2RR2K1 w - -,a2a4
r1brk3/1p2bppp/p1np3q/8/1PP1Pp2/5N2/P2BB1PP/R1Q2K1R w - -,d2f4
2R5/r6K/3bP3/1p1p1P2/3P4/p2k4/6P1/2B5 w - -,h7g6
r1bq1rk1/1ppnbppp/p1np4/4p3/B1P1P3/3PBN1P/PP3PP1/RN1Q1RK1 b - -,e7f6
1r5k/Rp1rq1p1/3p3p/R2Qp3/1P6/5PP1/4P1KP/8 b - -,e7d8
b7/2R2ppk/p3r2p/8/1P1Q3P/P1R1PPK1/q5P1/8 w - -,h4h5
3BRbnk/7p/1P3pp1/p2Q4/1q6/6PP/P4P1K/1r6 b - -,b1b2
8/6kp/4p3/3p4/pQ1P4/8/6P1/2q3K1 w - -,g1h2
r1bqk2r/ppp1bppp/2n1pn2/3p4/Q1PP4/P3PN2/1P1N1PPP/R1B1KB1R b KQkq -,e8g8
r3r1k1/pb2b3/1p1qR2p/3P1p1p/2p5/5N2/PPBQ1PPP/6K1 b - -,e7g5
2rr4/3nppkp/5qp1/R2p4/1p6/1P1PPNP1/1Q3PKP/4R3 w - -,b2d4
rkb1rq2/p3b2p/QBpn4/5pp1/8/1BP3P1/PP3PNP/3RR1K1 w - -,b6a7
3rk2r/p3ppbp/1qp3p1/1pN1Pb2/1npP1P2/4BN2/PPP2RPP/R2Q2K1 b k -,b4c2
r1b1qrk1/1p2b1np/3p1n2/P2Ppp2/2N5/P4N2/1BB2PPP/R2Q1RK1 b - -,c8d7
r1b1k2r/p1p2pp1/1p6/n1p1P3/2P1P2q/2PP2N1/P1Q3BP/1R3RK1 w kq -,g2h1
6r1/3p1k2/1p2p3/1P4q1/1Q3R2/5P2/6P1/6K1 b - -,f7e8
1qr2kr1/5pN1/7B/pp6/1nP1B1P1/1PQ5/4R3/1K6 b - -,b8b6
4rnk1/p1p4r/1p2qp2/2PRpNpp/4P3/2P2PP1/P3QKP1/4R3 b - -,h7d7
r4rk1/1p3p2/1q3bp1/2pP3p/p1Pn1Q1P/3B2B1/PP3PP1/1R2R1K1 b - -,g8g7
4r2k/pp3npp/4p3/1P1p4/3Q3P/P5q1/2B3P1/R5K1 w - -,d4a7
8/4b3/1pk2n2/3p1p1p/3P1Pp1/1P1NP1P1/4K3/4B3 b - -,e7d6
1k6/p4p2/5pr1/2pPb3/2P2B2/P4RP1/5K2/8 b - -,e5f4
