8/8/1p1rpk2/p7/8/PR6/1P3PP1/6K1 w - -,b3b5
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2PB1N1P/PP1P1PP1/RNBQK2R b KQkq -,c8d7:d6d5:g7g6:g7g5:e7e6:e7e5
4k3/1R1n2r1/4p2p/Q1p5/3p4/7P/P5PK/5r2 w - -,a5c7
4r1k1/1q3p1p/r1NppPpb/2pP4/P1Q1P3/1P6/1R3RPP/5K2 b - -,a6a8
6k1/6p1/2r5/8/4P2R/6P1/1P3QK1/3q4 w - -,f2f5
r3r1k1/1b1n1p2/1p2qb1p/pP1p2p1/2pP4/2N1PBPP/P1Q2P2/1R1RN1K1 b - -,f6g7
1R6/8/4k1p1/4p2p/r6P/6P1/5K2/8 b - -,e6f5
3q1r1k/pp3bpp/2p5/4PB2/1P1r1P2/P3Q2P/6P1/2R2RK1 b - -,f7c4
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/3P4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f8e7:a7a6
3N3k/1p1r2pp/2p5/p3Bp2/Pn6/3P2P1/4PPKP/5R2 b - -,d7d8
1k1r4/ppq4p/2r3p1/4n2P/3pP1P1/3P2Q1/PP6/4RRKN w - -,h5h6
2r2rk1/1bqn1p2/p3pn1p/4N1p1/3P3B/2PQR3/2B2PPP/R5K1 b - -,g5h4
1r2r1k1/pppq1ppp/1nB5/4p3/Pb4b1/2NPB1P1/1P1NPP1P/2RQR1K1 b - -,b7c6
1r6/1r2p1k1/1p2Pp2/p2P1npp/N7/1R4P1/PP3PP1/4R1K1 b - -,f5d6
2r2rk1/4pp1p/3pN1p1/1p2n3/4P3/1P4PP/P2R1PB1/R5K1 b - -,f7e6
R7/5ppp/5k2/3p1n2/5K2/8/8/8 b - -,f5d4
6k1/1p1n1rp1/p1b4p/6b1/1B2p1P1/P3N3/1P2PPB1/3R1K2 w - -,e3d5
3r1rk1/1b4bp/pqn3p1/1p3P2/3pB3/PP1PB1N1/R6P/1N1Q1R1K b - -,d4e3
6k1/pq3p1p/4p1pb/1r6/3R4/B1P3P1/PP3PK1/3Q4 w - -,d1f3
8/5p2/4p2p/4k3/7P/3KPpP1/r7/5R2 w - -,f1f3
4rk2/1p3pp1/2p3r1/7Q/3q3P/2N2BP1/R2B1PK1/8 w - -,h5a5
8/6p1/5p2/1r2p2p/2R1k2P/1P4P1/4PK2/8 b - -,e4d5
r3r1k1/2q2pp1/p4n1p/1p2pP2/8/P4N2/1PP1RQPP/5RK1 w - -,f2g3
3b3r/1p1k1pp1/p5b1/2B5/2P5/1B3P2/P6P/R5K1 b - -,d8c7
8/2R5/p2B2k1/6p1/r6p/P7/4KN2/8 b - -,g5g4
1r3rk1/p1pb1q1p/2pn1p2/6p1/1b1N4/P2P2BP/1PPNRPP1/1R1Q2K1 b - -,b4c5
2kr4/ppqn1pp1/2p2b2/4pPp1/2PPQ3/4P2P/PP1B4/2KR1B2 w - -,c4c5
3b1rkq/p4r2/2bPp3/2p1Pp2/2P1p1pp/P1Q1P1P1/6RP/2BBR1K1 w - -,a3a4
1R3b2/5pkp/5qp1/p7/Q5N1/6PP/5P2/2r3K1 w - -,g1g2
4kb1r/1Qn2p1p/4bqp1/r3p3/8/2NB1N2/PPP3PP/2KR3R b k -,f8h6
7r/3n1pp1/1k1qp3/1p1p1nPp/pPrP1P1P/P7/2PKN3/3N1RQR b - -,g7g6
6k1/1R1N1p2/8/1P4pp/1nr5/6PP/4KP2/8 w - -,d7f6
3r3r/pp2k3/2p1p2p/2P1npp1/8/1PN1N1P1/P3PPBP/R5K1 w - -,a1b1
1rbq1r1k/ppn1p1bp/2Np1np1/3P1p2/8/1QN3P1/PP2PPBP/R1BR2K1 b - -,b7c6
4r3/7p/2pp2k1/p5r1/P3PR2/b1P5/B1R5/5K2 b - -,d6d5
8/3k1p2/3p2pp/8/1P4PP/2r2PK1/3R4/8 w - -,g4g5
r1b2rk1/pp2pp1p/2n2qp1/2Q5/5B2/6P1/P3PPBP/R1R3K1 b - -,c8f5
r4rk1/2p1ppb1/6p1/p2q1b1P/P1pN2p1/4BP2/1PP1Q3/2KR3R w - -,f3g4
r1b1r1k1/1pqnbppp/8/pPp1p3/2P1n3/3PB1P1/P2NQPBP/3R1RK1 w - -,d3e4
2r2rk1/2qbbppp/p2p1n2/1p2p3/2NPP3/5N1P/PPB2PP1/R1BQR1K1 b - -,b5c4
3b1r1k/1p3p1p/2p4p/p4N2/Pn1P2RP/1B3P2/1P2r1P1/3R2K1 w - -,f5h6
2r4r/1b2kp2/1p2p1p1/p3P1P1/P2P4/1p1BP1K1/1P6/2R3R1 b - -,h8h5
4nr2/7R/p2p2p1/1p4r1/3kB3/8/PPP5/2KR4 b - -,d4e4
8/1R5P/7r/3K4/2p5/p1P5/k7/8 b - -,h6h4
5bk1/3b3p/n3q1p1/2p5/p5P1/2B1QB2/5N1P/6K1 w - -,f2e4
8/3k4/1R1pp2r/p7/P1rPR2p/7P/6P1/6K1 w - -,e4g4
2krrb2/pbppq2p/1pn1p1pn/4Pp2/2P2P2/2NPB1PP/PPQ1N1B1/2KRR3 b - -,c6a5
r4rk1/p2qp1b1/1pnp1pp1/2p4p/2P2P2/P1NPP1Pb/1P1BB2P/1R1QR1K1 b - -,e7e5
r2q1r1k/pp4pp/3p3n/2pBpb2/3n1P1b/2NP2NP/PP1K2Q1/1RB4R b - -,e5f4
rn1q1rk1/pbp2ppp/1p1p1n2/4p3/2P5/P1Q2NP1/1P1PPPBP/R1B2RK1 w - -,b2b4
r4rk1/2n1p1bp/nq1p1pp1/2pPP3/5P2/2N1BN2/PP2QKPP/R2R4 w - -,f2g1
4r2k/1bpn2pp/pp1b1n2/8/P2P1P2/2N1P3/1P4PP/R1B2RK1 w - -,c1d2
4r3/1q1b1pkp/2pp2p1/1p2P3/1PnN1P2/2N4P/2P2QP1/4R1K1 w - -,e5d6
r1bqkbnr/pp1p1ppp/2n1p3/8/4P3/2B5/PPP2PPP/RN1QKBNR b KQkq -,g8f6
8/4kpp1/4n3/4P2p/2B2P2/4K1PP/8/8 b - -,e6f8
4rk2/pp2p1b1/3ppnQ1/8/2q1P3/4P3/PP4P1/1K3R1R w - -,e4e5
r5k1/5ppp/1p6/p7/1P2r3/P1RnP3/5PPP/3R2K1 w - -,c3d3
Q1R5/6pk/2K4p/r7/8/8/8/8 b - -,a5a8
2rq1rk1/5pbp/p2p1np1/Pp2p1B1/1nb1PP2/1NN2B2/1PP3PP/R2QR2K w - b6,a5b6
2r2k1r/pR3p2/5q1p/8/2bN1P2/P1P2Q1P/6P1/4R2K w - -,b7a7
3q2k1/1b1r1pbp/p3p1p1/1p6/P2P1Q2/2r2N2/4BPPP/3R1RK1 w - -,a4b5
8/7p/1P3pp1/5p2/3k4/1R4P1/r7/4K3 b - -,a2a8
8/ppp3k1/8/8/6r1/P1K5/2P3P1/8 b - -,g4g2
2r2r1k/3bp2p/pq1p1np1/8/1p1NP1P1/4QP2/PPP1N3/2KR3R w - -,e3h6
rn1qkb1r/ppp2ppp/1n1pp3/4P3/3P2b1/5N2/PPP1BPPP/RNBQ1RK1 w kq -,e5d6
8/8/5k1p/5ppP/2rp4/5KP1/4PP2/3R4 b - -,g5g4
1R6/r3k3/2p1p1p1/2p1p3/2PnP2P/3P2PB/5K2/8 b - -,a7a2
8/6kp/5pp1/7r/P1p5/2Q3P1/5PK1/2Rq4 b - -,d1d5
r2q1rk1/pp2ppbp/2n3p1/3P4/4P1b1/4BN2/P3BPPP/R2Q1RK1 b - -,c6e5:c6a5
4r1k1/1p1n1q1p/p2p2pb/P1pPr3/6P1/1PNQ3P/3B1PK1/3RR3 b - -,h6d2
4k3/2b2ppr/1q1p1n2/1pp1pPB1/4P2p/1B1P3P/1PP1Q1PK/R7 b - -,c7d8
3rr1k1/2pqnpp1/np5p/p2P4/4PB2/P3NP2/6PP/R2Q1RK1 b - -,a6c5
1r2qrk1/2Q1pp1p/6p1/1RP5/P1n5/2b3P1/4PPNP/3R2K1 b - -,c3e5
5rk1/pp2qppp/1bp1r1n1/4p3/1P2R1QP/P1PP2P1/2R2P2/2B2BK1 w - -,g4f5
8/2N5/8/P3k1Kp/7P/5b2/8/8 b - -,e5d6
8/5k2/1P6/1r3P2/4R1PP/6K1/5P2/8 b - -,b5b6
r1bqr1k1/pp1nppbp/2p2np1/3p2B1/1PPP4/4PN2/P2NBPPP/R2QK2R w KQ -,e1g1
3rr1k1/pb2np1p/1pn3pb/2p5/4PPq1/P1P1NNB1/1P2Q1BP/R3R1K1 b - -,g4e6
2r2rk1/2q1bppp/p2p1n2/1p1Pp3/2n1P1b1/3B1N2/PP1N1PPP/R1BQR1K1 w - -,b2b3
5rk1/R4ppp/1p6/1b2qP2/1p1pP3/1B1P4/3Q2PP/6K1 b - -,e5b8
3r1rk1/pp3p1p/2n3p1/2p1p2q/2P2Q2/1P3NP1/P4PKP/3RR3 w - -,f4e3
6r1/7p/1pB1k3/4P3/p1pB3P/Pb2K1P1/1P6/8 w - -,e3f2
2rqr1k1/pp1bppbp/n2p1np1/3P2B1/8/2N2NPP/PPPQ1PB1/3RR1K1 w - -,f3d4
1r3rk1/p2q2bp/3p2p1/1p1Pp3/1PpnP3/P3BPP1/4N1bP/1R1Q1RK1 w - -,g1g2
1r1q1rk1/4npbp/3pb1p1/pp2p3/1PP5/3P2P1/4PPBP/1RBQNRK1 w - b6,b4a5
r1b1k2r/1pp3p1/1Nnp1ppn/p3p1N1/P1B1P3/1PP5/3P1PPP/R1B1K2R b KQkq -,c7b6
1r2r1k1/3b1p2/p2p1npb/2qPp1N1/p1p1P2N/R1P4P/RPB2PP1/1Q4K1 w - -,h4f3
8/4p1k1/1R1p4/2nP1K2/8/2b5/1pB5/8 w - -,b6b8
r2q1rk1/1b1nbppp/3p1n2/p2Pp3/p3P3/B1N2N1P/B1P2PP1/R2QR1K1 w - -,a1b1
5k2/1pp5/1p1p4/6N1/2P4n/3q1PR1/PP2R2P/7K w - -,e2e4
8/6k1/8/5pp1/4p3/7P/r5PK/1R6 w - -,h3h4
8/8/7R/2N3rp/P1K5/1Pn1k3/8/8 b - -,c3d5
r4rk1/ppqn1ppp/2p2n2/3p4/2PP4/1P4P1/P2N1PBP/R2QR1K1 b - c3,f8e8
3nkb2/1p3p2/2p4p/p3pN2/P3P3/5P2/1PP1K1P1/3R4 b - -,d8e6
2b5/7k/5ppp/B7/8/3B2P1/5P1P/5K2 b - -,c8g4
8/1R4pk/p6p/8/5P2/r3n2P/4BK2/8 w - -,b7d7
r1b1q1k1/4n2p/pB1p2rb/3P4/1P2Ppp1/2N2P2/P2QB2P/2R3RK w - -,f3g4
8/8/8/1B1b2k1/3pp3/6K1/2P5/8 b - -,d5f7
1r2r1k1/2p2ppp/3p4/p1bn4/4q3/P3P1B1/1P2QPPP/2RB1RK1 b - -,d5e3
6k1/5pp1/1p4r1/p2pR2p/3P4/PP3PqP/2Q3P1/7K b - -,g3h4
r2qkb1r/ppp2ppp/1n2p3/4Pb2/1n1P1N2/1BN1B3/PP3PPP/R2QK2R b KQkq -,f8e7
3r2k1/5pp1/pb1N3p/1p6/1Pp5/2B2PP1/1PP4P/4RK2 b - -,d8d6
8/p1p2p2/4b1p1/3Nk3/4PPP1/1P4K1/1rPR4/8 b - -,e5d6
8/1p1r2k1/p1b2p2/2P2qpp/8/1P3P1P/P3QBP1/4R1K1 b - -,f5d3
3r2k1/1nq2pbp/ppb1p1p1/4P3/2P5/2B3N1/PP1QB1PP/3R2K1 w - -,d2e3
r1b2rk1/ppq2pbp/1np2np1/3pp3/1PP5/N2P2P1/PB1NPPBP/R2Q1RK1 w - -,a1b1
r7/p4p1k/8/3R4/3b4/5PB1/P4PK1/8 b - -,d4b6
r3kbnr/1p3pp1/p1B1p3/q2pPb1p/3B1N1P/2N5/PPP2PP1/R2QK2R b KQkq -,b7c6
r1bqkb1r/ppp2ppp/2n2n2/3pp3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq d6,c4d5
5r2/p7/4kPQ1/8/4K3/8/8/8 w - -,g6f5
4k2r/p1B1bppp/2p1b3/2P5/8/2P2PN1/P6P/1R5K b k -,e8g8
2r2rk1/3bppbp/pq1p2p1/1p5n/3PP3/3B1N1P/PP1BQPP1/R3R1K1 w - -,d2e3
8/6r1/8/1k5P/p5N1/6K1/8/R7 w - -,h5h6
r3kb1r/pp3pp1/1qn1pn1p/2pp1b2/3P1B2/2P1PN1P/PP2BPP1/RNQ1K2R w KQkq -,e1g1
4k3/6R1/1p5R/2p4p/7q/2B5/1Pb1P3/3K4 w - -,d1c2
rq2r1k1/p1pn1pb1/2ppb1pp/8/4PP1B/1BNQ4/PPP3PP/3R1RK1 b - f3,d7c5
rnbqk2r/pp3ppp/4p3/4P3/2B5/2b2N2/P3QPPP/R1B2RK1 w kq -,a1b1
r6r/2p3k1/1p4p1/1PpPp1P1/R1P1PpbP/8/3N1K2/R7 b - -,a8a4
8/4P1K1/8/8/3k4/8/8/4r3 w - -,g7f8
r2qkb1r/5pp1/3pbN1p/p3p3/4P3/R3NB2/1PP2PPP/3QK2R b Kkq -,d8f6
5k2/p5pp/5q2/3p4/4r3/5N2/PP2BQP1/6K1 b - -,e4a4
3r1rk1/4bppp/pqbp1n2/1p2p3/1NP1P3/BP1Q1P2/P2N2PP/R4R1K b - -,c6b7
r6r/pppbq1k1/2npp2p/5pp1/2PP4/2P1PBP1/P1QN1PP1/R3K2R w KQ -,a1b1
rn1qk2r/pbpp2pp/1p2p3/5p1n/2PP4/2QBPP2/PP4PP/R1B1K1NR w KQkq -,g1h3
r2q1rk1/1p2bppp/p1n2n2/3p1b2/N7/1P2BN1P/P1P1BPP1/R2Q1RK1 b - -,b7b5
r2q1rk1/pb2bppp/2n1pn2/2pP4/5B2/2N1PN2/PPQ1BPPP/3RK2R b K -,e6d5
3r2k1/1pp2bpp/8/2P2r2/1PQn1P1q/8/1B3PBP/4RRK1 w - -,c4d3
3r1r1k/pp4p1/3q1n1p/2R1Q3/5p2/4P1P1/P4PBP/5RK1 b - -,d6e5
r4rk1/2pn1ppp/bpn1q3/p1b1p1B1/P3P2N/2P3PP/1PQ2PB1/3RRNK1 b - -,f7f6
8/6k1/3R4/r2p3p/8/4KP2/8/8 w - -,e3f4
5nk1/1B3ppp/p3b3/8/2r5/2N5/PP3PPP/5RK1 b - -,c4b4
r4rk1/1pp1qppp/3p1n2/1PnPp3/2P1P1b1/1N1B1N2/5PPP/R2Q1RK1 w - -,b3c5
1r6/4kpRp/4p3/8/2R5/P3PP2/r4P1P/4K3 w - -,c4b4
2r3k1/6bp/p4pp1/1p1n1qN1/2rPR1PP/1Q1R4/P2B1P2/6K1 b - g3,f5d7
6k1/7p/b1R3p1/8/4P3/1P2br2/P3N3/4R1K1 w - -,g1h1
4r3/p7/B4k2/8/5p1p/PP2bKP1/3p3P/3R4 w - -,g3f4
r3kb1r/pp3ppp/n1p1pn2/3p3b/2PP2PN/1PN1P2P/1P3P2/R1B1KB1R b KQkq -,a6b4
rn1qk2r/pp1bppbp/2p3p1/8/2BPP2N/2P4P/P4PP1/R1BQ1RK1 b kq -,c6c5
1r2rqk1/5p1p/p4bp1/1ppP4/1n3P2/2N2B2/1P4PP/R1BQ1R1K b - -,b8d8
5r2/5pkp/rn1p1np1/2pP3P/ppP3P1/1P3PN1/PK4B1/3R3R w - -,h5h6
2br1r2/1pp1qpbk/pPnp1npp/4P3/P3P3/Q1PBBN1P/2N2PP1/3RR1K1 b - -,c6e5
r1b2rk1/ppp3pp/2nq4/3n1p2/3Pp3/4B3/PPPNBPPP/R2Q1RK1 w - f6,c2c4
8/5p2/5k2/7p/3q2p1/5PP1/6P1/3B1RK1 w - -,g1h2
5r2/ppp2p1k/4p2p/2P1P3/5P2/P2KP3/1P5P/6R1 b - -,f8g8
rn2r1k1/2p1q1pp/1p3p2/p2Ppb2/2P4N/P3Q3/1P2BPPP/3RR1K1 b - -,f5d7
8/2q1n1bk/3p2pp/2p2p2/8/BB2P1PP/2Q2P2/6K1 b - -,c7b7
1r6/p4p1p/4pkpb/8/1PPR4/B4KP1/P4P2/8 w - -,d4d7
8/5n2/1p1p1k2/p1pP1Np1/P1P3p1/1P2P1KP/8/8 w - -,h3g4
2r3k1/5ppp/8/p3p3/P2Pn3/6PR/4NP2/4K3 b - -,e5d4
3r1rk1/ppqnbpp1/2p1pn1p/5b2/2P5/2NP1NP1/PB2PPBP/2RQR1K1 w - -,e2e4
3rrqk1/pp1b2pp/1n2pn2/5p2/2NpP3/P1N3P1/1P2QPBP/3RR1K1 w - -,c4b6
8/p2BP1kp/1pPq1pp1/8/P7/1n6/6PP/4R1K1 b - -,d6d4
2b2rk1/p1p1q1bp/2P3p1/QN1Pp3/4np2/Pr3N1P/3B1PP1/2R1K2R w K -,d2b4
1r1r2k1/ppq2pp1/1np1p2p/2R4P/P2P4/2P2BP1/1PQ2PK1/4R3 w - -,c5e5
2k4r/ppprbppp/4p3/8/2PP4/P3B3/1P3PPP/2RR1K2 w - -,d1d2
r1b1k2r/pp1p1ppp/5n2/q3P3/1bP1p3/2N5/PP2BPPP/R1BQ1RK1 b kq -,a5e5
r1b1kb1r/pppp2pp/2n2q2/1B2p3/8/5N2/PPPP1PPP/R1BQK2R w KQkq -,d1e2:e1g1
r3r1k1/3b1pp1/6qp/pp1Pn3/3QP3/3P2P1/PP1N2BP/R4RK1 b - -,d7g4
r5k1/p1b4p/1p2p1p1/1n1q1r2/3P2Q1/2PN2B1/PP5P/R4RK1 w - -,d3e5
r1bqkbnr/ppp2ppp/2n5/3p4/4p3/1P6/PBPPPPPP/RN1QKBNR w KQkq d6,e2e3
5k2/p5r1/1p3p1p/4pB1P/P1Pr2P1/1P1P2R1/5K2/8 w - -,f5e4
r3k2r/p2b2pp/1q2pp2/2pn4/8/Q1P2N2/PP3PPP/2KR1B1R b kq -,b6c7
r3r1k1/pp3bpp/1nnqp3/3pN1b1/3P1NQ1/1P6/PB3PPP/1BR1R1K1 b - -,g5f4
3r3k/1p4pp/2np1r2/1P2p1nq/6bN/P3Q1P1/1B1R1PBP/R5K1 b - -,c6a5
2r2k2/1pr1p2p/3p4/p3np2/P2R4/4N1P1/1PP2KbP/2R5 w - -,f2g2
3r3k/1p3q2/2p5/p3pprP/8/P4QP1/1PB2PK1/7R b - -,f7d5
r1bqkbnr/1p2pppp/p1n5/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,g8f6
r2q1rk1/2p2pp1/p1np1n1p/1pb1p3/4P1b1/1BPP1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
8/6k1/6p1/1p2ppP1/1r2P3/P3K3/8/8 w - -,a3b4
3rb1k1/5ppp/p3p3/n7/2nNP3/2N3P1/5P1P/R4BK1 w - -,d4c2
1rb2rk1/p3ppbp/3p4/q1pPnp1N/8/2N1P3/PPQ1BPPP/R4RK1 b - -,c8d7
r2qk2r/ppp1bppp/2np1n2/4p3/4P1b1/3P1NPP/PPP2PB1/RNBQ1RK1 b kq -,g4f3
3b4/5k2/4p1p1/1n1pP1Pp/p1pP3P/PnP2N2/1KN2B2/8 w - -,f2g3
r7/p3b1kp/6b1/4Q3/8/2PP4/2q2P1P/1R3RK1 b - -,g7h6
r3k2r/pp2b3/q1n1p1pp/3pPn2/3P1QP1/2B2N2/PP3P2/RN3RK1 b kq g3,f5h4
r1bqkb1r/1p1p1ppp/p3pn2/2p5/2BnP3/2NP4/PPP1NPPP/R1BQ1RK1 b kq -,b7b5
r6r/pp1bkp1p/2n1pp2/8/4N3/P3P3/1P3PPP/3RKB1R w K -,e4f6
rnb1kbnr/ppp1pppp/8/q7/8/2N5/PPPP1PPP/R1BQKBNR w KQkq -,d1e2:a2a3:g2g3:g1f3:d2d4:f1c4:a1b1:b2b4
5r2/3k1p2/2pp1Pp1/1p1n2N1/r2P3P/2P5/1PK2P2/4R2R w - -,g5e4
r2r3k/1p2q1bp/2p1p1p1/8/Pp2Q3/4P2P/BP1R1PP1/3R2K1 b - -,d8f8
5k1R/1p6/p3B3/P3K1p1/1P2P3/3p1r2/4bP2/8 b - -,f8e7
r2q1rk1/2pb1pbn/1p1p2pp/p1nPp3/2P1P3/1NN1B2P/PP2BPP1/R2Q1RK1 w - -,d1d2
r3k2r/pp3p2/2p1b1pb/4p2p/1q2P3/2NP2Q1/PPP1NPPP/1R3RK1 b kq -,h6g7
2r3k1/3R1p1p/2r1pPp1/p3p1b1/PpB1P3/1P4NP/2P5/7K b - -,g5f6
r4rk1/pppqn1pp/1bn2p2/3p1b2/3P1N2/P1NBB3/1PP2PPP/R2QR1K1 w - -,c3e2
8/2k5/4K3/4N2p/4Pp1n/5P2/8/8 b - -,h4g2
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2PBPN2/PP3PPP/RN1QK2R b KQkq -,f8e7:f8d6:h7h6:a7a6
5r1k/ppp1b1p1/4P2p/3nR3/3r4/P2B2PP/1PP2P2/R5K1 b - -,g7g5
2kr1b1r/pbpqn1p1/1p2p3/3p1pBp/3P1N1P/2P2N2/PP3PP1/R2Q1RK1 b - -,c8b8
r4bk1/pb1r1n1p/2p1p1p1/qp2PpP1/2pP1P2/P1N1BN1P/1PP2Q1K/3R1R2 b - -,b5b4
