8/pp6/2b5/8/2r1pK1P/P3N3/3k4/6R1 b - -,c4a4
r1b2rk1/pp3ppp/2nppb2/8/N3P1P1/1P2B2P/P1Pq1PB1/3RK2R w K -,e1d2
3N4/6kp/6p1/p1pp4/P7/2q3NK/2P1R3/8 b - -,h7h5
r2r2k1/1p2bppp/1qp1p1N1/p7/1PBPnB2/P3P2P/1Q3PP1/R4RK1 b - -,h7g6
8/8/4p3/4P3/P3R1P1/2K3k1/8/r7 b - -,g3f3
rnb1kb1r/2p1pppp/p2q1n2/1p6/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,c8b7
3q2k1/5ppp/1p6/8/8/3p1QP1/1P1NrPKP/8 w - -,f3f4
r1nqkb1r/pp1n1ppp/4p1b1/3pPP2/3p2P1/8/PPPNB2P/R1BQNRK1 b kq -,d7e5
r1bq1rk1/pp1n2pp/2pbpn2/3p1p2/2P2P2/1P2PN2/PBNPB1PP/R2QK2R b KQ -,d8e7
2qr1nk1/5pp1/p6p/1p1p4/4PPbP/1P1B2P1/PQ3B1K/4R3 w - -,e4d5
8/2p5/6p1/P2k1p1p/1Kp2P1P/8/2P3P1/8 b - -,c4c3
r1qr2k1/pb2bppp/1pn1pn2/3p4/4PP2/PNN1B1Q1/1PP1B1PP/3R1RK1 w - d6,e4d5
3q1rk1/1p1bppbn/p2p2p1/6Pp/3NPP2/2PQB3/P1P3KP/R4R2 w - -,f4f5
8/5pk1/7p/5K1P/5PP1/P2R4/4r3/8 b - -,e2a2
2r3r1/6k1/1p4pb/p2pPp2/3P3R/2P4N/P4P1K/6R1 w - -,g1g3
2r2rk1/pbq2ppp/1p1bpnn1/3pN3/3P1P2/P2BP1BP/1P1N2P1/RQ3RK1 b - -,c7b8
8/5ppp/4p1k1/4P3/1R1P4/3r1PK1/2r2RPP/8 b - -,c2c1
8/3k2pp/r5r1/2Bn1p2/p1R1p3/P5P1/1P1K1P1P/2R5 b - -,g6c6
5k2/5p2/p3p1r1/4P2p/2r3NQ/5P2/6PK/8 w - -,h4h5
4rnk1/pp2rpp1/1bp4p/4P3/3P4/2PB4/P3R1PP/2B1RK2 b - -,f8e6
8/7p/2p1kp2/1pP3p1/pP2PP2/P3K1P1/7P/8 b - -,h7h6
r1q3r1/3n1p1k/2p1p1pn/1p1pP1RP/pP1P1Q2/P1PN3B/5P2/R6K w - -,a1g1
8/4bk2/8/5P1K/8/8/1B6/8 w - -,b2e5
rn2kbr1/p3pp1p/1pp2p2/5b2/3P2q1/1QP1B3/PP1N1PPP/R3KB1R w KQq -,f1e2
r4rk1/1p2q1pp/1b2bn2/pPppNpN1/P2pnP2/R2B4/2P3PP/2BQ1R1K w - -,f1f3
r2qr1k1/1p1b1pp1/pbp3np/3n4/3N4/1BP1B1NP/PPQ2PP1/R4RK1 w - -,b3d5
2kr1bnr/Bp2pppp/p2p4/4q3/2P5/8/PP1N1PPP/R2Q1RK1 b - -,g8f6
r1bqr1k1/2n2p2/p2p3p/1p1P2pn/1Pp1P3/P1N2PP1/4BB1P/1R1Q1RK1 b - -,c8h3
8/8/2p5/3b1Pk1/3Pp3/2N1P1K1/8/8 b - -,g5f5
r2qkb1r/1p3p1p/2p1pnp1/p7/PnBPP3/2N1BP2/1P1Q1P1P/2KR2R1 b kq -,f8e7
1r1qnrk1/3bp2p/6p1/2pPN3/1pP1Rp2/1P1B3P/3Q1PP1/R5K1 b - -,f4f3
3r1rk1/pp1nppbp/6p1/3b4/1P1P1B2/P4N1P/3KBPP1/2R4R b - -,e7e5
rnbqk2r/1p3ppp/p3pn2/2bp4/2P5/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1e2
8/3R4/p3Npk1/8/8/8/r6n/6K1 b - -,h2f3
6k1/1R6/p6B/8/1P3pPn/3K4/r4P1P/8 b - -,a2f2
r7/2p4r/p5k1/2b1pP2/Pp6/6PQ/1PP3P1/R6K b - -,g6g7
r1bq1rk1/pp2bpp1/2p1pn1p/2P5/3PR3/5NP1/PP1B1PBP/R2Q2K1 w - -,e4e2
3r1b1k/1p5p/2b2pn1/p2p2p1/P2P4/1BP2NNP/1P4P1/4R1K1 b - -,h8g7
rnb2rk1/pp2qpp1/7p/2pp4/3P4/2PBPN2/P4PPP/R2Q1RK1 b - -,b8c6
6k1/3r4/4p1p1/1p6/4qP1Q/P6P/1P1rp1P1/4R1RK b - -,d2b2
8/8/p7/P4Ppk/1PpB4/2P2K2/2r5/8 w - -,f5f6
r7/6R1/1kn3p1/p3B3/8/6P1/7P/6K1 w - -,g7g6
r1b1k1nr/ppp2p2/2nb1qp1/3p3p/3P4/1QPBB1N1/PP3PPP/RN2K2R b KQkq -,h5h4
3rr2k/pp4p1/5pPp/2qb1P2/2p5/P4NQ1/2B4P/R4RK1 w - -,g3f2
r2qk2r/pp1nnppp/2p1p3/3pPb2/3P4/3B1N2/PPP2PPP/RN1QK2R w KQkq -,e1g1
8/6B1/1R2P1p1/1p1r1k1p/1b5P/p5K1/6P1/8 b - -,d5d3
r2qk2r/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/R3K2R b KQkq -,a8c8:e8g8:h7h5
3Q4/5ppk/1p4np/pq6/4p3/2P3PP/1PK5/2N5 b - -,e4e3
2brrbk1/1p2qppp/2pp1n2/p1n5/2PNPP2/1PN3PP/P1Q2BB1/3RR1K1 b - -,e7c7
2rq1rk1/pb1nbp2/5n1p/1p1pN1p1/2pP3B/2P5/PPQN1PPP/3RRBK1 w - g6,h4g3
8/1R2bk2/3qp1pr/5n2/1p4Q1/1P6/P1P5/1K4R1 w - -,g1d1
5r1k/pp2r1bp/4pqp1/1N1p1n2/B3nPQ1/2P1B2P/PP4P1/4RRK1 w - -,e3a7
4r1k1/1pbr2p1/p2q1p1p/2p1pP2/2PpRPQ1/PP1P3P/3B2P1/4R1K1 w - -,f4e5
1nk2rnr/ppp2pp1/8/1P6/Q1Pp4/5NPq/P2NP2P/R4RK1 w - -,a4a7
r1bq1rk1/1p2b2p/p3pp2/3p1npP/2BP4/2N1P1B1/PP3PP1/2RQKN1R b K -,d5c4
6k1/p6p/5rpb/3n2N1/2Rp3P/3P2P1/P3PP2/6K1 b - -,d5c3
3b4/1pk4r/p1rpNp2/7p/3qP3/P2R2P1/1PP4P/1K1R4 b - -,c7b8
2r2rk1/pp1qbppp/8/2np4/3B4/4PN2/PP3PPP/R2Q1RK1 w - -,f3e5
r3rb2/3q2kp/2p1ppp1/np6/pN1P1PB1/PbP1B3/1P3RPP/3QR1K1 w - -,d1f3
r5r1/ppp1q2k/3p1b2/3Pn2N/3BP3/7b/PPPQ2R1/2K4R b - -,g8g2
1rr5/4kpp1/5n1p/2q1p3/1p2P3/1Q6/PP1R2PP/KB1R4 b - -,c5a5
4R3/5K1k/1pq3p1/2p3Q1/3p4/3P4/2P4P/8 b - -,c6f3
3k3r/2pb2p1/p2n1p2/7p/3R4/1B1P4/P1K2PPP/1N6 w - h6,b1c3
6r1/1r1n1p1p/2Nkpp1B/2b5/1p6/6P1/1P2PP1P/R1R3K1 w - -,c6a5
8/1p6/3nk3/8/R5P1/1r6/4K3/8 b - -,b3g3
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/3BP3/PP3PPP/RNBQK1NR w KQkq -,b1d2
7R/pp2kp2/4p3/7P/1P4K1/3P2P1/5r2/8 b - -,f2b2
r5k1/p4r2/1pp1qp2/2p1p2Q/4P2p/1P1PR3/P1P2PP1/5RK1 b - -,f7h7
r2r2k1/1bpqbp2/1p3p1p/p2p4/3P4/P1N1PQN1/1P3PPP/2R1K2R b K -,g8h7
6r1/6P1/8/4R3/5p2/2K1k3/8/8 b - -,e3f2
7k/p7/2q3pp/8/1R6/P3N3/1P3PP1/6K1 w - -,b4c4
2r1rbk1/1b1n1p1p/p2p2p1/1pnP2P1/2p1PB2/P1N2N1P/1PB2P2/3RRK2 b - -,d7e5
8/8/PR4p1/P1r1k3/2P1bp2/4p3/4B1P1/6K1 w - -,b6b5
r4rk1/p2qpp1p/1p4p1/3Pb3/4P3/4B3/P4PPP/1R1Q1RK1 w - -,d1b3
6k1/2R3p1/p6p/Pb3P2/r4KP1/4R2P/8/8 w - -,e3e4
r2nk2r/pbp1n1qp/1p1pP1p1/6B1/2P1B3/2P2N2/P3QPPP/R4RK1 w kq -,e4b7
r1bq1rk1/pp1nbpp1/2p1p2p/3p4/2PP4/1P4P1/PBQNPPBP/R4RK1 b - -,b7b6
8/8/3r2p1/Q3k3/1P1npp1P/8/5PP1/7K b - -,d6d5
4r1k1/6p1/p3r2p/1bR5/1P1B1R2/P3P1P1/6P1/6K1 w - -,g1h2
r5k1/5pp1/2r1p2p/pp1bP3/8/1PPRBP2/P5PP/2R3K1 w - -,c1c2
r2r2k1/npqnbpp1/p1p1p2p/P2pP3/3Pb3/1NP1BN1P/1P1QBPP1/R3R1K1 w - -,a1c1
r1q1r1k1/pp2ppb1/2b1n1pp/3Np3/4P3/1BP1B2P/PP1RQPP1/4R1K1 b - -,e6c7
r2r2k1/5pp1/1n2p2p/ppb5/4PP2/N5P1/nP2K1BP/1R1RB3 w - -,a3b5
4r2k/1p5p/p3pb2/1b1p1p2/1B1P1Pq1/2P1QNPR/P5K1/8 w - -,h3h6
r1bqr1k1/ppp2pb1/3p2p1/2n3p1/2PNP3/2N2B1P/PP1Q1PP1/3R1RK1 w - -,b2b4
rn2r1k1/8/p5pp/1ppP1b2/8/2N1nN1P/PP2BKP1/2R4R w - b6,g2g4
r1b1k2r/p2nbppp/2p2n2/qp2P3/4P3/2N1BQ2/PPP1B1PP/2KR2NR b kq -,d7e5
r3k2r/pp3ppp/2p1n3/3qP3/3Pp1P1/4B2P/PPP2Q2/1K1R3R w kq -,h3h4
rnbqk1nr/pp1p1ppp/4p3/8/1bPP4/2N5/PP3PPP/R1BQKBNR b KQkq -,d7d5
8/5pk1/1R4p1/8/1b6/4P1P1/3r1P2/5K2 b - -,b4c3
3r4/2p1rpk1/6p1/pP1BP2p/PbP5/1b2R1P1/6K1/5R2 w - -,e3b3
4r1k1/5p1p/r2p2p1/1qpPb3/1n3B2/R2P2PP/1P1Q2BK/3R4 w - -,d1a1
r1bq1rk1/1pp1bppp/1nn5/p3p3/8/P1NP1NP1/1P1BPPBP/R2Q1RK1 b - -,f8e8
2k4r/2p3pp/p2b2q1/1p1p4/3Pr3/1B6/PPP1Q1PP/R1B2RK1 w - -,e2d3
6k1/1p1qppbp/pn1N2p1/3P4/P2N4/1P3QP1/5P1P/2B3K1 b - -,d7d6
2bn4/8/1P1kpp1p/1B1p2p1/3P1P2/1NK3P1/7P/8 w - g6,f4g5
3r2k1/5ppp/1qn1pn2/pp1p4/3P4/1P2PPB1/P3Q1PP/1B1R2K1 w - -,d1c1
2rr4/4k2p/8/1p2P3/p1pp1PP1/1P1b1N2/P4K1P/2RR4 w - -,f4f5
5bk1/6r1/1p1p4/pN1Pp2q/P3Ppb1/2Q3P1/1P6/4BRK1 w - -,c3d2
8/8/1p2p1k1/p3B3/5P2/2P5/b5K1/8 w - a6,g2f3
2r3k1/3b1pn1/1p5p/p3P3/3NR1pB/1P4P1/P4P2/6K1 w - -,e4e1
8/1k3p2/3q3p/p2p2p1/rp1B4/6PP/5RK1/4RN2 b - -,d6d7
2r3k1/1qn1bppp/4p3/p2bP3/P7/4BNP1/4QPBP/R5K1 b - -,c7a6
r3k3/1p5r/2p1pp1b/p1Pp1n1p/R2P2pP/1P1KP1B1/1P2NPP1/R7 w q -,a4a5
r1bq1rk1/ppp2ppp/2n1pn2/2b5/4P3/5NP1/PPPN1PBP/R1BQK2R w KQ -,e1g1
r1q1k2r/pp2bppp/2n1pn2/3p3b/3P1B2/1QPB1N2/PP1N1PPP/R3R1K1 b kq -,h5g6
r3r1k1/1p2qppp/2bp4/2p2nP1/p3PQ2/P6P/1PPN3N/1K1R3R w - -,f4f5
rn1qnrk1/pb3pp1/1p2p2p/2bpP3/1PP5/P1NB1N2/2Q2PPP/R1B1K1R1 b Q b3,d5c4
2rr4/7p/1b2k1p1/p1p1Pp2/2Rp1P2/1P1K2P1/PB5P/2R5 b - -,c8b8
2rqr1k1/pp1n1pbp/2pn2p1/3pp3/2PP4/1P1BPN1P/PB3PP1/1QR2RK1 w - -,d4e5
2r3k1/p6p/3n1b1P/4p1p1/1qrpP3/1N4B1/P3QPP1/2R2RK1 w - -,e2g4
r3k3/3q1p2/rn1p1n1Q/1p1PpBpP/1Pp3P1/P3B3/5P1N/3R3K b - -,d7e7
r4rk1/2bn4/b1p1pnqp/p1Pp2p1/P2PP3/2N2P2/3Q1NBP/R1BR2K1 b - -,f6h5
3r4/1b3p1p/3p2k1/pNnP4/1pP5/1P5P/P5B1/4R1K1 w - -,e1e7
1r4k1/1b2rpb1/3n2p1/Pn2p3/2p1P2N/2B3NP/5PP1/2R1RBK1 b - -,g7h6
r3r3/2bbqpk1/6p1/1p1p3p/1PpN4/2P1PB1P/2Q2PP1/R2R2K1 b - -,e7e5
r2r2k1/2p1bqpp/p1p5/4p1N1/nP2N3/Pb1P2P1/4PPBP/1Q2R1K1 b - -,f7d5
4k3/2K5/2P3p1/3R2pp/6P1/4r3/8/8 w - -,d5g5
r2q1rk1/p2bppbp/1p1p1np1/n1pP4/Q1P5/2B2NP1/PP2PPBP/RN3RK1 w - -,a4c2
2r4k/6b1/pp1p3p/2pP2B1/P1P5/2N3K1/1P6/5R2 b - -,h6g5
r5k1/p4r1p/1p1p2pb/2pP1n2/P4P1q/2P2Q2/1P1B2BP/4RRK1 b - -,a8f8
r4rk1/1p2qppb/1np1pn1p/p3N3/Pb1P4/2N1P1P1/1P2QPBP/R1BR2K1 w - -,e3e4
3rrbk1/3q2pp/p1p2p2/PpPn4/1P1NN1b1/6P1/1Q3PBP/2R1R1K1 w - -,h2h3
2r3k1/2q2pp1/3R3p/1p2pP2/p1r1P1Pb/3Q4/PPP3R1/1KN5 w - -,d6d7
7r/1p6/p1p1qrk1/2R2b2/3P2p1/3PpB2/PB2P1Qp/7K w - -,c5f5
r5k1/2p2pb1/1p1p1qpp/1P1P4/4Q3/2r1PNP1/5PKP/1R3R2 w - -,f1c1
r2r2k1/pp1qbppp/2n1b3/3p4/Q5n1/2N1BNP1/PP2PPBP/2RR2K1 w - -,e3d4
r1n2bk1/pprq1pp1/3p1n1p/P2Pp3/4P1P1/2N1BP2/1P1N2P1/R1RQ2K1 w - -,d1e2
r2kr3/4R3/2p1B3/p3P2p/1p4pP/6P1/PP2K1P1/8 w - -,e7d7
6k1/5pp1/2Nb3p/8/p2R4/6PP/5PK1/r7 b - -,d6c5
r1bqr1k1/pp2bp1p/2p1nnp1/3p4/3P3B/2NBPN1P/PPQ2PP1/3R1RK1 b - -,f6h5
r2q1rk1/pb3ppp/1p6/2bp4/3N4/1P1nPP2/P2QN1PP/R4RK1 w - -,d2d3
3r4/3b2kp/p2PR1p1/3B1p2/1P3P2/8/6PP/6K1 w - -,e6e7
r1bqkbnr/ppp1pppp/8/3Pn3/2p2P2/2N5/PP2P1PP/R1BQKBNR b KQkq f3,e5g6:e5g4:e5d7
3k4/p7/r1P1p1pp/1p2P3/3K2P1/2R5/P6P/8 w - -,d4c5
4rb2/1bqr3k/p2pp1pP/1p2n1B1/2n1P2Q/PNN4R/1PP3BP/1R5K b - -,d7f7
8/2k4p/2n2b2/1p1p1p2/p2P4/P2K3P/1P2N3/4B3 w - -,e2c3
1k1r4/1p4Rp/p1b1r3/2B5/1P3P1b/P3p2P/4K3/2R2B2 w - -,c5e3
2kr3r/p1p2ppp/q1p2n2/8/P3P3/3PBR2/1P4PP/R3Q1K1 w - -,a1a3
rn2kb1r/pp1q1p1p/6p1/8/3pP3/4BN2/P4PPP/R2QK2R w KQkq -,d1d4
r2q1rk1/pb1np1bp/1p3pp1/8/2PPpPN1/1P6/PB2B1PP/R2Q1RK1 b - -,f6f5
3bk2r/5p1p/2q2p2/4pN2/2p1P3/2P3P1/4QP1P/R5K1 w k -,a1a7
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq -,e6d5
rn1qr1k1/pp3pbp/2p1pn2/3p1p2/2PP4/BPN1PN2/P4PPP/R2Q1RK1 w - -,a1c1
r2qkbnr/pp3ppp/2n5/3p3b/3p4/5NPP/PPP2PB1/RNBQR1K1 b kq -,f8e7
2qr2k1/1b2bpp1/4p2p/1p1p4/3P1B1P/2nNQ1PB/4PP2/R5K1 w - -,f4e5
8/3p1p2/2b5/p3p3/4P3/1K1B1r2/P1P3R1/1k6 b - -,a5a4
r3rnk1/1pq2pp1/2p3p1/p1b3P1/P1N1Pp2/5B1P/1PP1QP2/R2R2K1 w - -,h3h4
6k1/3r1p1p/3P2p1/pp6/4p3/r3P3/3R1PPP/3R2K1 b - -,g8g7
rnb4r/pp2k1bp/4pnp1/2p1N3/8/2N5/PPP1BPPP/R1B1K2R w KQ -,e2f3
r2r2k1/3b1pb1/p1p1p3/1PNpPq1p/P2B2pn/N1P5/4QPPP/R4R1K w - -,b5b6
rnbq1rk1/pp3pp1/2pb1n1p/4p3/2P1p3/3P1NP1/PP1N1PBP/R1BQ1RK1 w - -,d2e4
4r1kb/1bq2nnp/p2p2p1/2pP1p2/PpP2P2/3BB2P/1PR3PQ/3N1RK1 b - -,g7h5
r1r1q1k1/1ppN1pp1/p3b2p/n2p4/P2P4/B1PBPP2/2Q3PP/R3R1K1 b - -,e8d7
rnb1kb1r/pp1ppppp/5n2/2q5/8/6P1/PPPNPP1P/R1BQKBNR w KQkq -,f1g2
Q7/p3Np1k/4qPp1/2p4r/1pP4P/3P2R1/P3rb2/5K2 b - -,e2e1
1rr5/3R1pkp/b1B1pbp1/p1N5/2p5/1P4PP/P1P2P2/3R2K1 w - -,c5a6
r1bq1rk1/pp2bppp/2n2n2/3p4/Q7/2N2NP1/PP2PPBP/R1B2RK1 b - -,c8e6:d8b6
1r2r1k1/p6p/6p1/3pp3/5P2/1P1p3P/PB5P/4R2K w - -,b2e5
6k1/1pr2pp1/p4n1p/PnNp4/3P4/1P1N1P2/4KBPP/8 b - -,g8f8
8/1p2k3/p1p3p1/2P2bKp/PPB4P/8/5P2/8 w - -,a4a5
r1b1kb1r/1pq2ppp/p2ppn2/2n3P1/3NPP2/2NB4/PPP1Q2P/R1B1K2R b KQkq -,f6d7
8/3BQrk1/1p6/8/1p6/1P4p1/P4p2/4bK2 w - -,e7g5
6r1/1b2bk2/p1qBp3/1pP2p2/1P3Pp1/4Q1P1/P2R2RP/6K1 b - -,e7d6
r1b2rk1/1p3pbp/p4np1/8/2P1p3/4BN1P/PP1N1PP1/R2R2K1 w - -,f3g5
r2Qnrk1/1p2ppbp/2p3p1/p3P3/8/PP4P1/1B2PPNP/R4RK1 b - -,a8d8
2rq1rk1/pb2bppp/1p2pn2/n2p2B1/2PP4/PPN2N2/2Q1BPPP/R2R2K1 w - -,f3e5
4r1k1/5pp1/1b5p/p1q5/2N1PN2/1P3QP1/P4P1P/6K1 b - -,b6a7
1r2rbk1/5ppp/p1b2q2/2np1N2/N7/P3P3/2B1QPPP/R4RK1 w - -,a4c5
3rr1k1/pppq1ppp/1bn5/8/4N2P/2PP1QP1/P1P2PBK/1RB5 b - -,f7f5
rn1qkb1r/pp1n1ppp/2p1p3/3pP3/3P4/2N1BB1P/PPP2PP1/R2QK2R b KQkq -,c6c5
r1b2rk1/pp3ppp/2p1pn2/3p4/2PP4/2R1P1P1/PP1N1PBP/5RK1 b - -,a7a5
r2qk1r1/pp1b1p1p/1b2p3/4P3/1PpB4/P4Q2/3N1PPP/R3RBK1 b q -,b6d4
6k1/4qp1p/p5p1/3B4/1pP2P2/1P4b1/PQ4K1/8 w - -,g2g3
r2q1rk1/ppp2pp1/2nb1n1p/8/2BP3B/2NQ1b2/PP3PPP/R4RK1 w - -,d3f3
5r2/2R2ppk/pp2p2p/2n5/P4N2/q4BP1/5PKP/3Q4 w - -,d1b1
r4rk1/pbpq1ppp/8/3pP3/1n6/2N2Q2/PPPB1PPP/2R1R1K1 b - -,f8e8
r5k1/1p3pbp/p2p2p1/P2n2B1/1q1P4/Q4N2/1P3PPP/4R1K1 w - -,a3b4
r3k2r/2pnq1b1/pp1p2pp/3Pp3/P2P4/4B1N1/1PPQ2PP/R4RK1 b kq -,e5d4
r7/1p2k1p1/1P2n3/P1p1P2p/4K2P/3R2P1/3B4/8 b - -,g7g6
2b2rk1/4n1r1/p3pP1p/1p2P1p1/4pP2/P3KN2/1PP1N2P/R5R1 b - -,e7f5
rqr3k1/p3ppbp/3p1np1/8/R2BP3/1PN2P2/2PQ2PP/5RK1 b - -,b8b7
3rk2r/ppp1bppp/2n5/4P3/4p1b1/5N2/PPP2PPP/RNB1R1K1 w k -,f3d2
2r5/4Nppk/P4nrp/4n3/8/R1P4P/6P1/2B2RK1 b - -,c8a8
8/pp6/6p1/4K1P1/1P5p/7k/P7/8 b - -,h3g4
2R5/3k1p1p/4p1p1/1p1r4/3b4/4BP1P/1P2KP2/8 w - -,c8c2
4k2r/q4p2/4pP2/1b1pP3/pP1Q2Pp/P1p4P/2B4K/3R4 b k -,a7d4
3r2k1/pn2q1bp/1pp1b1p1/4p3/2P1P3/1P2B1PP/P1Q1N1BK/3R4 w - -,d1d8
5rk1/3nnppp/p2p4/3Pp3/b1p1PP1N/P1P3QP/R5P1/1r2B1K1 b - -,e5f4
5k2/8/4K3/R3P3/8/8/8/4r3 w - -,a5d5
3r2k1/pp1rppnp/q5p1/8/2PN4/4P2P/PQ1R1PP1/2R3K1 w - -,c1d1
8/8/1p5p/p6k/P4p2/5P2/6K1/8 w - -,g2h2
r1b2rk1/p1q2ppp/2n5/1pbPp3/2p5/2P2PPN/PP2Q1BP/R1B2R1K b - -,c8h3
5k2/1B3p1p/4p1p1/p7/1b6/1P2P1PP/P3KP2/8 w - -,g3g4
6k1/p5pp/2p1p3/2P5/8/Pr2PK2/7P/2R5 b - -,b3a3
3r1rbk/1p1q2p1/p1p2pBp/3n4/7R/P5BP/1P3PP1/2Q1R1K1 w - -,g3d6
2n4r/2Q5/1p1ppk2/1P2p3/R3Pqp1/2PPN3/2K3P1/8 w - -,a4a1
r4rk1/p1q1p1bp/2p2ppn/4P3/2Q2P2/2N5/PPP3PP/R3K1BR b KQ -,h6f7
1r4k1/4ppbp/rn1p1np1/2pP4/4P3/2N1BPN1/PPK3PP/3R3R b - -,b6a4
r3kbnr/1p1n1ppp/1q2p3/p2pPP2/2pP2P1/2P1BN1P/PP1Q4/RN2K2R b KQkq -,h7h6
8/1p1k2B1/4p1Bp/1P1b3P/3p1q1b/P7/4Q2K/5N2 w - -,h2g1
5rk1/1pQ2pbp/q2Pp1p1/p3P3/3p4/PP4P1/5PBP/4R1K1 b - -,a6d3
8/4r1kp/2q2pp1/3Q4/p1P5/7P/6P1/3R3K b - -,e7c7
2r1r1k1/1p3p1p/p3pqp1/3b4/P4P2/1P1B4/2P1R1PP/3RQ1K1 w - -,e1f2
6k1/pB3p1p/2p3p1/3p2q1/P2Pn3/2P4P/1P2Q1K1/4B3 w - -,g2h1
r4rk1/p1q1ppbp/2pp1np1/8/2P3b1/P5PP/1PQNPPB1/1RB2RK1 b - -,g4d7
5bk1/3r1p1p/4p1p1/8/Q1R1PP2/4qB1P/P5PK/8 w - -,a4d7
r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN5/PB1PPPPP/R2QKBNR b KQkq -,g7g6
3q1rk1/r3bppp/p1n1b3/1ppN4/5B2/P4N1P/1PP1BPP1/R2QR1K1 b - -,e6d5
8/3b2k1/1B6/2p1b2K/2P1P3/3B2p1/8/8 b - -,e5d6
r3k2r/4bp2/p3p3/4P2p/3qb1p1/1PpN4/P1Q2PPP/2R1RNK1 w kq -,e1e3
rn1qr1k1/p1n2pbp/bpp1p1p1/P7/2BPN3/1QN1P3/1B3PPP/R1R3K1 b - -,a6c4
r1b1k2r/2q1bppp/p1nppn2/1p6/4PP2/1NNBBQ2/PPP3PP/R3K2R w KQkq b6,e1g1
r2q1rk1/pp2bppp/2N1p3/3n4/PnBP4/2N5/1P1BQPPP/2RR2K1 b - -,b7c6
1r1q1rk1/2p2ppp/1bn2n2/1N1pP3/3P2b1/5N2/1PB2PPP/R1BQ1RK1 b - -,f6e4
