8/5pk1/7R/6Pp/2P2p2/8/8/5K1r w - -,f1f2
rnb2rk1/ppp2ppp/1b1p1q2/3P4/3P3N/P2QB1P1/1P3PBP/R4RK1 w - -,a1c1
8/1p1b3k/2p3pp/p1n1pp2/P1P1P3/1P3PPP/3N2B1/2N1n1K1 b - -,h7g7
r2r2k1/pp2npb1/2n1p2p/1N1p1b2/8/1PP1BN2/P2R1PPP/2RB2K1 w - -,d1e2
8/8/3Q1nk1/7p/3Pp1p1/4PpP1/5P1P/3q1BK1 w - -,d6e6
2n3k1/p2r2p1/2N4p/R7/3N1P2/6P1/P4K1P/3b4 b - -,d7b7
3nk3/1r4p1/1pr1p2p/pRp1P2P/P1P1KBP1/2P5/8/1R6 b - -,e8d7
r2q1r2/p1pbp1kp/5np1/1p1pN3/3P4/2N5/PPPQ1PPP/R4RK1 w - -,a2a4
8/7k/8/4Q1pp/3P1p2/2Pq3P/5PP1/6K1 b - -,d3c3
r5r1/1p3ppk/pq1p3p/2nPpP2/4Pn1P/2N2P2/PPR5/1K1R1BQ1 b - -,b6b4
5k2/1p1r1p2/pR4p1/7p/PP5P/6P1/7K/8 w - -,a4a5
r1b2rk1/p4pbp/n3p1p1/q1Bn4/3P4/Q1N1PN2/P4PPP/2R1KB1R b K -,a5a3
2k4r/ppp2pp1/2nrb1p1/3p4/3P4/2P5/PP2NPPP/RN2K2R w KQ -,b1d2
r6r/3k1pbp/1p1Pp1p1/p1np4/P1q5/4BN2/1P3PPP/R2Q1RK1 w - -,e3d4
8/p7/6k1/p4p1p/1n6/N1p1K3/8/8 b - -,h5h4
6k1/5pp1/7p/p7/1bRN4/7P/5PPK/1r6 w - -,d4c6
1q6/5Np1/4p1k1/3bP3/7Q/7P/6PK/8 w - -,f7h8
2rr3k/pp3pp1/4p2B/4P3/3P3P/4Q3/1P2K1q1/4RR2 w - -,e3f2
4nk2/4b2p/p7/1p3Q2/P6r/2P1B3/1q4PP/5R1K b - -,e8f6
8/1p1n1k2/2p3p1/2Pb2B1/3K3P/3B4/8/8 w - -,d3c2
r1bq1rk1/pppn1pb1/3p4/3Pp2p/2P1P1pP/2NB2P1/PP1N2P1/R2QK2R b KQ -,d7c5
2k5/pp6/2p1p3/2Pp1r2/P2Pn1q1/5NP1/1P4QP/5RK1 w - -,f3h4
r3kb1r/p1qb1p2/1p2p1p1/n2pP2p/3P1P2/2PBB2P/P3N1P1/1R1Q1RK1 w kq -,e3f2
8/8/1pbp1pp1/p1n1p1k1/P1P1P1P1/1PN1P1K1/2B5/8 w - -,g3h3
8/2pk2p1/5p1p/2p5/2b1PP2/8/2PK2PP/4B3 w - -,f4f5
r5k1/pp5p/n1p2qp1/5b2/5Q2/1P1N4/P1P2P1P/R3R1K1 b - -,a8f8
4r1k1/6p1/pr4np/1p1pPp1q/2pP1P1b/P1P1B3/1P1Q3P/1B3RRK w - f6,d2g2
4rrk1/1bp3p1/p2q3p/1p1PNp2/5P2/1P5P/1P1Q2P1/3RR1K1 w - -,e1e3
2kr3r/pb1qnp2/1pnpp1pp/2p5/P1P1P3/2PP1NP1/4QPBP/R1B1R1K1 w - -,f3d2
5b2/3q1p1k/3r3p/5p2/2PB1P2/2Q4P/6RK/8 w - -,c4c5
r3nrk1/1p2p1bp/p1q2p2/2p1Bp2/PnB4Q/5N1P/1PP2PP1/2R2RK1 b - -,g8h8
r4rk1/pp2pp1p/3pb1p1/8/3nPP2/2N5/PPP3PP/R2B1RK1 w - -,c3d5
r3k2r/p3pp1p/2p2np1/q3Qb2/2B5/2N5/PPP2PPP/R3R1K1 b kq -,a5e5
8/2k5/3R4/2Pp4/8/3KP3/8/7r b - -,h1d1
r4rk1/1qp1b1pp/p1ppbpn1/4p3/3PP3/1PN2N1P/P1P1QPP1/2BR1RK1 b - -,a8e8
8/8/5p2/1k6/pP6/P3K2p/6bN/8 b - -,b5c4
rr4k1/3bppbp/3p1np1/q1nP4/1ppNP3/4BP1P/PPB1N1P1/R2QR1K1 w - -,g2g4
rnbqkb1r/ppp1pppp/8/3n4/8/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,g7g6:c7c5:d5b6:e7e5:d5c3
r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2NB1N1P/PP3PP1/R1BQK2R b KQ -,a7a5
rn2k2r/p2nbppp/1p2p3/2ppP3/3P4/2P2N2/PP2qPPP/R1B1RNK1 w kq -,e1e2
8/8/8/p4kp1/1P1K3p/P5Pr/4R2P/8 w - -,b4b5
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2P2N2/PP1PBPPP/RNBQ1RK1 b kq -,e7e6
2r2r1k/4p1qp/p1p5/3n1Q2/NP1p1P2/7P/1PP3P1/4RRK1 w - -,f5e5
r4rk1/3b1pb1/pp1p1qp1/2pP3p/1PPBBN1P/P2P2P1/3Q4/1RK4R b - -,f6d4
8/1kr3p1/2Np3p/1n2p3/8/6P1/1R3K1P/8 w - -,c6e5
r4rk1/pp3p1b/3bq3/3pn1PP/4PB2/6K1/PP2Q1B1/3R1R2 b - -,d5e4
2r5/pp4p1/1b3pk1/7p/7P/1P1R1KP1/P2B1P2/8 b - -,g6f5
r1b2rk1/pp1n1ppp/3qp3/2Pn4/8/1P1BPN2/PB3PPP/R2Q1RK1 b - -,d6c5
8/5p2/3N2k1/7p/5P2/4K1PP/8/3n4 w - -,e3e4
4r1k1/6b1/2r4p/pp1B2p1/1P1P4/P3B2P/5P2/4R1K1 b - -,c6e6
8/8/8/1r6/8/5Kpp/4R2k/8 b - -,g3g2
1r3rk1/p2q1pbp/1p1pp1p1/2nN4/2P5/1P2Q1P1/P2BPPKP/2RR4 w - -,d5f4
r1bq1rk1/pp4pp/4p1n1/2b2p2/3p1P2/1P1B4/P1PPN1PP/R1BQ1R1K b - -,g6h4
7k/p3b2p/1nn5/2p1pPp1/2PpP3/6PP/P6K/1R3B2 w - -,b1b5
b5k1/2q2p1p/1p2n1p1/2p5/3pP3/P7/3NBPPP/1R1R2K1 w - -,f2f3
r2rk3/1pq1bp2/2n3R1/p2p1B1Q/3p1p1P/P7/1P3PP1/2R3K1 w - -,c1e1
2B2k2/8/5pp1/P2Rn3/1p6/8/P3KP2/7r b - -,h1c1
r2qk2r/1b2bp2/p2p1npp/1p2n3/3NP1P1/2N4P/PPP1QBB1/R3K2R b KQkq -,a8c8
8/6p1/1r3k2/5p1p/R7/6P1/4KP2/8 w - -,e2f3
r1bq1rk1/pp2ppbp/2np1np1/6B1/2P1P3/2N5/PPN2PPP/R2QKB1R w KQ -,f1e2:d1d2
rnbq1rk1/pp2bppp/2p2n2/3p2B1/3P4/2N1P2P/PPQ2PP1/R3KBNR b KQ -,c8e6
1r3rk1/bpp1npp1/3pq2p/PP2pn2/2P5/2N1P1P1/5PBP/R1BQ1RK1 w - -,d1b3
8/pq3pkp/4p1pb/1r6/3R4/B1P2QP1/PP3PK1/8 w - -,c3c4
1rbr2k1/1pp1qppp/pn2p3/8/P1pPN3/4P1P1/1P1Q1PBP/R1R3K1 w - -,a4a5
r2q1rk1/3bp1bp/pn3pp1/1p2P3/PQpP4/2P1BN2/5PPP/2R1KB1R w K -,h2h4
3r4/1R1P1k1p/7p/p3p3/8/5KP1/5P2/8 w - -,f3e4
2r3rk/ppq2pp1/4pn1n/6QP/3R4/1N2N3/PPP2P2/2K3R1 b - -,f6h7
6k1/4qrpp/4rp2/3Q4/1pPbN1P1/3P2R1/2P4P/5R1K b - -,d4e5
1r2r1k1/2b3pp/q1p1npb1/p1p1pN2/P1PpP2N/1P1P2PP/2QBRP2/5RK1 w - -,h4g6
r4rk1/1p2b1p1/p4p2/3Pp3/4QP1B/P5Pp/1q5P/2R2R1K w - -,f4e5
r3kbnr/pbppqp1p/1pn1p3/6p1/2PP4/2N1PNP1/PP3PBP/R1BQK2R b KQkq -,g5g4
1rbqr1k1/2nn1pbp/3p2p1/1ppPP3/5P2/2NBBN2/1P3QPP/3R1RK1 b - -,b5b4
2rn1b1r/4kp1p/3p1p2/1b1BpP1Q/pp2P3/4q1P1/PPPRN2P/N1KR4 w - -,c1b1
5nk1/1pr2rp1/pPp1ppbp/2Np4/1P1P2P1/7P/1P2PP2/R1R3K1 w - -,b6c7
4r1k1/1pp1qp1p/p1p1n1p1/4P3/2PrR2P/P3BQ2/1P3PP1/R5K1 b - -,d4d3
7r/2k1q3/Pnbp2p1/Q1p2p2/1P1b1P1p/4p2P/N1P1R1P1/5R1K b - -,c5b4
r1b2rk1/ppp1qppp/5n2/4p3/2P5/P1R1PN2/1P3PPP/1B1QK2R w K -,d1c2
r2r2k1/1p2bppp/2p1nn2/p7/P7/2N2N2/1PP2PPP/R1BR2K1 w - -,c1e3
5rr1/pQ3ppp/2n1k1n1/3pP3/q1pP3P/P1P3P1/2PB1P2/R4RK1 w - -,f2f4
3k1rr1/2qp2p1/3Npp1p/p3n3/1p5Q/8/PPPR2PP/2KR4 w - -,d1e1
8/6pk/5p2/3Rp1p1/8/7P/2r2PPK/8 b - -,c2f2
r3k3/ppqbnp1Q/2n1p3/3pP1r1/5B2/P1p5/2P2PPP/R2K1B1R w q -,f4g5
r1b2rk1/1p2ppbp/1p4p1/3pP3/3P3B/8/PP1KBPPP/R6R b - -,g7h6
r5k1/q3bppp/3p4/1pnPp3/8/1PP5/2B2PPP/BQ1R2K1 b - -,g7g6
2rq1rk1/pp1bppbp/2np1np1/8/2P5/2N2NP1/PP1BPPBP/R2Q1RK1 b - -,h7h6
r1b1kb1r/pp2pppp/1qn2n2/1Bpp4/8/1P2PN2/PBPP1PPP/RN1QK2R w KQkq -,a2a4
r1bqr1k1/1pp1ppbp/1n4p1/p2PN3/8/2N1P1PP/PP3PB1/R1BQ1RK1 b - -,g7e5
8/pp1k3p/2p1npp1/3p4/3P2P1/2P1KPB1/PP5P/8 b - -,b7b6
2k1n1rr/p1q2p2/2n1p3/1p1pP2P/b1pP1BP1/2P5/2PQB2N/5RRK b - -,a7a5
2rq1rk1/3bbppp/p1p1p3/4N3/Pp1PB3/4P3/1P3PPP/2RQ1RK1 b - -,e7d6
4r1k1/1p3p1p/p1r2bpB/2PR1b2/6B1/1P5P/P5P1/5RK1 b - -,c6c5
1k3K2/1r6/5p2/6P1/1r6/4RPP1/1PR5/8 b - -,f6g5
