8/8/8/2P1k3/Bp3n2/4K3/6p1/8 w - -,e3f2
2R5/4Kp1k/3Q2bp/5q2/5P2/8/8/8 w - -,c8b8
r3k2r/p3ppbp/2p2np1/8/1q6/3P2P1/P1PNNP1P/R2QK2R w KQkq -,c2c3
8/R7/4p1p1/3kP2p/5P1K/7P/6r1/8 w - -,a7a4
r2q1rk1/1p1bbppp/p2p1n2/8/1n1NPB2/1BN4P/PP3PP1/R2Q1RK1 b - -,b4c6
r1b2rk1/2q1bppp/p2ppn2/1pn1P3/3N1P2/1BN5/PPP1QBPP/R4R1K b - -,d6e5
r2r4/2p2p1p/2p3p1/1kN5/p3PP2/K1R1B2P/6P1/8 b - -,d8d1
3q2k1/3n2pp/3r1p2/p1p1p3/2Q5/1PB1P2P/P1R2PPK/8 b - -,g8f8
4R3/8/3k4/8/6P1/6K1/3p4/8 b - -,d6d7
n3rbn1/2q2p1k/2Np1Ppp/pB1Pp1B1/1p2P2Q/1P5R/P4PKP/8 b - -,h7h8
r2q1rk1/1p1nbppb/2p1pn1p/p7/P2PP3/2NNBP2/1P1QB1PP/R4RK1 b - -,f8e8
8/5kp1/2R1n2p/4B3/5P2/7P/3r2PK/8 b - f3,g7g5
r4rk1/pp2q2p/2p2bp1/3P4/3Pp3/1P2Q1P1/PB2P2P/R4RK1 b - -,c6d5
2r3k1/p2qbp1p/1p2p1p1/1b1pP3/3P1N2/P3P3/1P4PP/1BQ1R1K1 w - -,c1d2
1r1q2k1/1p4bp/p2p2p1/2pPBr2/P1P5/2N5/1P4PP/R2Q1R1K b - -,f5e5
8/5k2/8/5K2/7P/8/8/8 b - -,f7g7
1B4k1/5p2/1bp5/p4q2/4p1pp/2P4P/PP1Q1PP1/6K1 w - -,h3g4
r2r1nk1/p3qppp/Ppb1p3/2ppP1bP/2P5/1P6/1B1P1PP1/RB1QRNK1 w - -,d1g4
4r1k1/pp2rpp1/1qn3bp/3pN3/3Pn1P1/PN5P/1P2BP2/2RQ1RK1 w - -,e5g6
2r2r2/ppn3kp/6p1/2pNPp2/2Pb4/PP4PP/4R1K1/1B3R2 w - -,e5e6
2r5/4b2p/1p2k1p1/1Pp1p1P1/4K2P/2P1B3/5P2/2R5 b - -,c8a8
1qrr2k1/pb1nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PB2QPPP/2RR2K1 b - -,d7f8
2rqr1k1/1p1b1pbp/3p1np1/pNnPp3/4P3/5N1P/PPQ2PP1/R1B1RBK1 w - -,c1g5
r7/5pp1/ppkPp2p/2p5/1nP2B2/1P5P/1P2KPP1/2R5 b - -,f7f6
2k1rbnr/1ppb3p/p7/2pN2p1/4Pp2/1N3P2/PPP3PP/R2RB1K1 b - -,h7h5
8/6pp/1b1k1p2/8/p1P5/N1BK1P1P/6P1/8 b - -,b6c5
2rqk2r/1p1nbp2/p2pbnp1/P2Np2p/4P3/1N2BP2/1PP1B1PP/R2Q1RK1 b k -,f6d5
r7/3R1kpp/p3p3/4P3/8/3K4/5PPP/8 b - -,f7f8
8/p5pp/1p2kp2/4r3/P1P5/5KPP/5P2/1R6 w - -,b1b5
5r1k/pp3ppp/2n2b2/2pr4/P4BN1/3P3P/1PP3P1/R4R1K b - -,f6b2
2n2rk1/1r1b2np/1p4p1/2pPNp2/4N1PP/8/1PP1B3/2KR3R w - f6,e2a6
2r5/1pq1bpk1/p1p3pn/P1n1PP2/1PR1B2p/5Q1P/3rN1P1/R5K1 w - -,f5f6
r1r3k1/p3q1pp/1npbnp2/4p3/P3P3/1PN1BN1P/2R1QPP1/4R1K1 b - a3,d6b4
r1b1kbN1/5R2/2p4p/1p6/1P1P3Q/1q2P3/6PP/6K1 w - -,f7e7
2r1kb1r/1bqp1pp1/p3pn2/1p6/3QPP1p/2N1BB1P/PPP2RP1/3R2K1 b k -,f8c5
3q2k1/p3bppp/b1n1p3/2p1P3/PpP2B1P/1P2QNP1/5PB1/6K1 w - -,f3d2
b4rk1/p4pbp/1p1qp1p1/3nN3/B2P3P/P5Q1/1P3PP1/2B1R1K1 b - -,h7h5
8/2p1R3/2kn4/6p1/2p3P1/5PBK/3r3P/8 w - -,e7e1
r4rk1/1bp2ppp/1p6/2p1q3/5B2/5P2/PPP3PP/R4RK1 w - -,f4e5
rn3k2/pb3p1Q/1p4P1/3p4/8/4P3/P1B5/q1K2R2 w - -,c2b1
6k1/2qr1p2/p3n2p/2B3p1/1P6/P4P1P/5QP1/4R2K w - -,c5e3
4bk2/5p2/4q3/4B1Q1/p7/P4P1P/6PK/8 b - -,e6g6
5rk1/4pp1p/6p1/8/P1qb4/R5B1/1r3PbP/3QR1K1 w - -,g1g2
7k/5B1p/3pPN2/pp6/8/8/bP3KPP/8 w - -,f6e4
2r3k1/4bppp/p3pn2/3qB3/3N4/3Q4/1PP3PP/5RK1 w - -,d3g3
r3r1k1/1bq1bppp/p1pp1n2/1p3N2/2P1P3/PQN1B2P/1P3PP1/R3R1K1 w - -,e3d4
8/8/1pkb1p2/3p4/3P2p1/1K2P1P1/3B3P/8 b - -,c6d7:b6b5
1q4k1/1r3p1p/3p1bp1/1b1P4/2pB4/2N1Q2P/1PB3P1/R6K b - -,b8d8
1r3qnk/5p1n/4pPpp/3pP3/2pP2PP/PrB3Q1/1P3RR1/4N1K1 b - -,f8e8
r1bqkb1r/1p2pppp/p1n5/3n4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
4r3/5pkp/8/2b5/4r3/2P3P1/1PR4P/2R4K w - -,h1g2
1r1r4/p7/2b1q1kp/6p1/1n1B1P2/1P2pP2/P3Q1BP/R2R2K1 b - -,g5f4
1r1r2k1/pp1nqb1p/2p1p1p1/5p2/P2P4/4PN1P/1PQ2PP1/1BR2RK1 b - -,e6e5
5r2/3bk3/p7/4p2P/2p4q/P3QB2/6P1/1R4K1 b - -,h4d4
r1bq1rk1/pp3ppp/2n1pn2/8/1bBP4/2N2N1P/PP3PP1/R1BQ1RK1 w - -,c1g5
r3nrk1/pb2qpbp/1np3p1/1p6/3NR1P1/PP4NP/1BP2PB1/R2Q2K1 b - -,e7d7
8/P1K5/4rpk1/R7/P5P1/8/8/8 b - -,e6e7
8/3r1k1p/pp1Pp1p1/2p2p2/5P2/1P6/P2R1KPP/8 w - -,a2a4
2n5/6p1/5k2/p1p2R1p/P1N1P1rP/KP6/8/8 b - -,f6e6
r3kb1r/pppq1ppp/2n1p3/4P3/2nP4/2N1BN2/PP3PPP/2RQ1RK1 w kq -,d1b3
r2qr1k1/p1n2pbp/bp1p1np1/2pP4/P3PP2/2N2B2/1P1N2PP/R1BQR1K1 b - -,a6d3
8/8/1p2nk2/8/3b1p2/8/5PP1/1R4K1 w - -,g1f1
2b5/1p5k/2p4b/4Bp2/1pB4n/1N6/P4PPP/6K1 b - -,h4g6
8/4q3/pnk3pQ/1p3p2/4p3/PP6/2P5/1K1R4 b - -,b6c8
r1bqkbnr/pppn1ppp/4p3/8/2PPN3/8/PP3PPP/R1BQKBNR b KQkq c3,g8f6
r1b2rk1/pp2ppbp/2n3p1/q1pP4/4P3/2P1BN2/P2Q1PPP/2R1KB1R b K -,f8d8
1r4k1/1p2bppp/2n5/pr6/2Np4/P2N2P1/1P2PPKP/2R1R3 b - -,f7f6
r1b1r3/p3p1kp/1pqp1p2/6p1/3R4/2P1QN2/PP3PPP/3R2K1 b - -,h7h6
r4rk1/ppqnbpp1/2p1pn1p/2Pp1b2/3P4/1PN2NP1/PB2PPBP/R2QR1K1 w - -,b3b4
r4rk1/pp3pP1/4p1bp/q7/5P1Q/2P5/PPN3P1/2KR3R b - -,g8g7
8/p5p1/4p2p/2R4P/1P1kp3/5rP1/P3KP2/8 w - -,c5a5
r4rk1/pbq1bppp/1p2p3/n1p5/3PP3/P1PB1N2/1B2QPPP/R4RK1 w - -,a1d1
2n2r1k/2R1p1bp/p1p1P1p1/qp6/8/1BN1Q2P/1PP2PP1/6K1 w - -,c7c6
1r6/p1p1k1pp/5p2/PP2p1q1/2PrBnP1/1R1PQ2P/5P1K/1R6 w - -,c4c5
1rbqk2r/p2pppbp/6p1/3QP3/8/4B3/PPP2PPP/R3KB1R w KQk -,e3a7:e1c1
8/ppr4p/3pkpr1/P1p1bR2/2PpP3/3P2P1/2PB3P/1R1K4 b - -,g6g7
r2qr1k1/1p1n1pbp/p2ppnp1/2pP4/2P1P3/2N4P/PP1BBPP1/R2Q1RK1 w - -,d5e6
8/8/p1R1pk2/1p2p1p1/1P2P2p/P4PPK/3r3P/8 b - -,d2d3
8/1Rprnk1p/3p2p1/1P6/3BpPP1/4P2P/8/6K1 b - -,f7e6
r6r/1qkn1pb1/1p2p1p1/3pP1Bp/R1pP3P/2P3N1/Q1B2PP1/1R4K1 w - -,g5e7
4R1b1/1p1r2k1/p1p2pP1/2P1bP2/1Pp5/3p4/1P4K1/3BR3 b - -,d3d2
r2r2k1/1bq3p1/3bpp1p/p1p5/2PnBnN1/P1B2N1P/1PQ2PP1/3RR1K1 w - -,c3d4
8/3b4/pp1ppk2/r6p/P2N1P2/2P3P1/1K2R3/8 w - -,e2h2
4r3/1p2r1kp/p1n3p1/5p2/PPR2B2/4P2P/5PP1/3R2K1 b - b3,e7f7
5r1k/4q1pp/p4p2/1p2pR2/8/P1P1Q3/1P4KP/8 w - -,e3e4
r1q1k2r/p4ppp/2pbp3/1p1nN2P/3P4/3Q4/PPPB1PP1/1K1R3R w kq -,d3g3
r1bq1rk1/4bppp/2n1pn2/pppp4/4P2P/3P1NP1/PPPN1PB1/R1BQR1K1 w - a6,e4e5
2r2rk1/pp1bpqbp/2pp2p1/2nP1p2/2PNN3/1P2P1P1/PB2QPBP/3R1RK1 b - -,c5e4
r3k2r/p2b1ppp/2p1pn2/2q3N1/Q1Pp1P2/P7/3B2PP/R4RK1 b kq f3,a7a5
1k1r4/1b2b3/p4p1p/1p1Pp1p1/2Q3P1/PN6/1PP4P/3R1R1K b - -,b5c4
1r1q1rk1/bpp2pp1/p2pb2p/3B4/3PP3/3Q1N1P/PP3PP1/R3R1K1 w - -,d5e6
2rk3r/3p1Q2/4p3/p7/1p1p2q1/3PB1b1/PPP3N1/2R2RK1 b - -,h8h1
r1bqk2r/ppp2pp1/2n1pn1p/2b5/4p1P1/1PN4P/PBPPQP2/2KR1BNR b kq -,d8e7
rn1q1rk1/pbp2ppp/1p2pn2/3p4/2PP4/P1PBPP2/6PP/R1BQK1NR w KQ -,g1e2
r4rk1/pb2bppp/1pn1p3/7q/3PB3/2P2N2/P4PPP/R1BQR1K1 w - -,c1f4
r1b1kb1r/1pq2ppp/p1p1pn2/8/4PP2/2NBB3/PPP3PP/R2QK2R b KQkq f3,e6e5
r3r1k1/1ppq1ppp/1p1p2B1/3P4/2P2P2/4nQ2/PP1N2PP/R4RK1 b - -,e3f1
4k3/1p2b1pp/1p2p3/r4p2/3R4/1PN3PP/1P2KP2/8 b - -,g7g6
rnb1kb1r/pp1ppppp/5n2/q1P5/8/6P1/PPPBPP1P/RN1QKBNR b KQkq -,a5c5
4k3/8/2P1N3/p1pP1p1P/P6r/1P3K2/8/8 w - -,d5d6
4r3/p4k1p/1p1rpp2/2p2p2/5P2/1P1P2P1/2P1R1KP/4R3 b - -,a7a5
3rrbk1/p4p2/bp5p/3pPBp1/5B2/P7/1P1R1PPP/3R2K1 w - g6,f4g3
8/1p2k1pp/p4p2/2r1p3/6P1/2P2P2/4K2P/1R6 b - -,b7b5
4rb1r/p2k1ppp/2p3q1/1p1p4/PPnP4/2NRB3/2P1QPPP/1R4K1 b - a3,a7a6
3r1r2/pp2b1pk/2p1p2p/4B2n/4NP1P/4K3/PPP2P2/6RR b - -,e7f6
r2qk2r/pbpnppb1/1p5p/1B2P1pP/3P4/2P2N2/P1Q2PP1/R1B1K2R b KQkq -,e7e6
r1R3k1/1p5p/3bN1p1/1P6/p3P3/5P2/6PP/3R3K b - -,a8c8
r2q2k1/1b2nr1p/p1pp2nP/1p3p1R/3P1Pp1/P1N5/1PPQB1P1/R3K2N w Q -,h1g3
8/5k1p/8/4pp2/2p5/P4KP1/5P1P/8 w - -,f3e3
1r4k1/3qpp1p/p2p2p1/2nP4/4P3/1PQ5/5PPP/1R4K1 b - -,c5e4
8/3n3p/1p1k2p1/pK3p2/8/PP1NPPPP/8/8 w - -,b5c4
2rr2k1/pp3pb1/4p2p/4P1p1/1P4B1/P2q1N1P/2b1QPP1/2R1R1K1 b - -,d3e2
4r1k1/5pp1/3b3p/4q3/1pp1p3/2P3PP/1P1BQP2/4R1K1 b - -,e5e6
r2q1rk1/ppp2pbp/2bp1np1/4p3/4P3/2NPBN2/PPPQ1PPP/R3R1K1 b - -,f8e8
r1bq1rk1/pp2b1pp/1nn1p3/3pP3/3P3P/4BN2/PP2N1P1/R1Q2BKR w - -,e2f4
1r2n3/3k4/pp3p2/3Np1p1/P3P3/8/1P2KP1P/2R5 b - -,a6a5
3k1r2/3r1p2/p2Q1P2/1p1B1R2/4P3/7P/PPP3P1/7K b - -,d7d6
r1bqr1k1/pp1nbp2/2p4p/6N1/3PN3/6PP/PP1B2B1/R2Q1RK1 b - -,h6g5
r1bq1rk1/1p1nbpp1/2p1pn1p/p2p4/P1PP1B2/1Q3NP1/1P2PPBP/RNR3K1 b - a3,f6e4
2k3r1/pp3p2/2n1b3/q2pPp1Q/2pP4/P1P5/2PB1PB1/R4K2 w - -,h5d1
8/8/8/P3k1p1/3R3p/r7/4K3/8 w - -,d4b4
4n1rk/8/2Np1bq1/2p1p2p/2P1Ppp1/B2Q1P2/P1P3PP/3R2K1 w - -,a3b2
r4rk1/ppp3b1/3p4/1P1P1qp1/2QB3p/3P1PP1/P3P3/1R2R1K1 b - -,f5h3
5rk1/1R3ppp/p4nn1/8/N3P1q1/1Q3NP1/PPr3B1/R5K1 b - -,c2g2
r3r3/1p2pkbp/p1bp1np1/6B1/2P5/3BRN1P/PP3PP1/1K1R4 b - -,h7h6
r2qbrk1/1p2n1p1/p1p1pp1p/2Pp4/3P4/P2BPN1P/1PQ2PP1/2RR2K1 b - -,e8h5
r2qkb1r/1p1nnppp/p3p3/2ppP3/3P2b1/2PBBN1P/PP2NPP1/R2QK2R b KQkq -,g4f3
2rkbQ2/p6p/1pnBp1q1/P2p4/8/8/5PPP/1R3RK1 w - -,a5b6
r1b1nrk1/1p4bp/p1nppqp1/8/2PNPp2/2N2P2/PP1QBBPP/R1R3K1 w - -,d4b3
6k1/3qbpp1/ppr1p2p/3nP2P/P1rP4/1Q3N2/3B1PPK/RR6 w - -,b3d3
6k1/ppb3pp/4bp2/4p3/P7/BP2PB2/3r1PPP/2R3K1 b - -,c7d6
3rr1k1/1b1nqp1p/p3p1p1/1p1n4/3N1P2/2P5/PPBBQ1PP/4RR1K w - -,c2b3
1r2q1k1/1p3bp1/pb2pp1p/2P5/1P6/P5P1/1B2QPBP/2Rr2K1 w - -,c1d1
3qk3/5p2/1pb1p1pr/3p4/3P4/Q1N1P3/PP1K1P1P/R7 w - -,a1c1
2rq1rk1/1b1nbppp/p3pn2/1pp5/4P3/1PNP1NP1/P1Q2PBP/R1B2RK1 w - -,a2a4
3rr1k1/p5bp/n3bpp1/4P3/1qP2P2/1P2B1PP/P1Q3B1/3R1RK1 w - -,d1d6
2r2rk1/1pq2ppb/4pn1p/2pn3P/p2P4/2P2BP1/PP1BQP2/R3RNK1 w - -,c3c4
3r4/1k3p2/1pp1p2p/p2rP1p1/P1RP2P1/1P1n1N2/5P1P/4R1K1 w - -,e1e3
1r3k1r/2qbb3/p2pppQp/1pn5/1P1NP3/P1N5/2P1B1PP/2KR3R b - b3,h8g8
r2qk2r/pp1nbp1p/2p2npB/3p1b2/3P4/2N1PN1P/PP3PP1/R1Q1KB1R b KQkq -,e7f8
r4rk1/p4pp1/2p2n1p/qp2Rn1P/3P4/3Q1P2/PPP3P1/1KBR4 w - -,d3f5
1r4k1/1r1q2bp/2Rp1pp1/1p1Pp3/1R6/1Q1P2P1/3BPP1P/6K1 b - -,g7f8
r1bqkb1r/pp1p1ppp/2p2n2/n3p3/2B1P3/2NP4/PPP1NPPP/R1BQK2R w KQkq -,a2a3:a2a4:e2g3
r1bqnrk1/ppppnppp/1b6/4P1B1/2BP4/5N2/PP3PPP/RN1Q1RK1 w - -,f1e1
r2qk2r/1ppbbppp/p1np1n2/4p3/B3P3/2PP1N1P/PP3PP1/RNBQK2R w KQkq -,e1g1
3q1nk1/4brpp/3p4/3n1pP1/2B2P1P/1N6/1PP1Q3/1K5R b - -,d5f4
r4rk1/pp2ppbp/2npbnp1/7q/2P1P3/1PN3P1/P1NB1PBP/R2Q1RK1 b - e3,e6g4
r3k2r/pppqnpb1/2np2pp/4p3/1PP5/2NP1NPb/P3PP1P/1RBQR1KB b kq -,e8g8
2r1nrk1/1pq1bppp/pBbpp3/P3P3/2P1NP2/8/1P2B1PP/R2Q1R1K b - -,c7d7
rnbq1rk1/pp3ppp/2pb4/3np3/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,h7h6
1r1q1r1k/6p1/2pb2p1/p2n1p2/P2P1n2/5P2/1PQ1NBPP/R2R1BK1 b - -,d8g5
3rr1k1/pp2qpp1/2pb1n2/6p1/3B4/1P1nP1PP/P3QPB1/2RR2K1 w - -,d1d3
2rq1rk1/3n2pp/bppnp3/3pNp2/3P1P2/2N1P3/PP3PBP/R2QR1K1 b - -,d6c4
3r2k1/p5bp/4r1p1/3qP3/2pB1P2/2P5/P2Q1P2/2R1K2R w K -,e1e2
r2r2k1/1bq1bppp/pp2pn2/3p4/Pn2PP2/1PN2N2/1BP1B1PP/2R1QR1K w - -,e4e5
4rrk1/pb4pp/1p3p2/3PN3/3Pn3/1P6/P1B3PP/4RRK1 b - -,e4c3
8/p3p3/1pn2p1k/2p2Pp1/2Q5/3rq3/P4RKP/1R6 b - -,h6g7
2B5/1p5R/b1p2K2/2k1P3/4r3/8/8/8 b - -,c5b6:e4f4
r1b1k2r/ppp1qppp/2pn4/4p3/3P4/5N2/PPP2PPP/RN1Q1RK1 w kq -,d4e5
r2qk2r/3nbpp1/p3p2p/4P3/1p3n2/3BNP2/PP3P1P/R1BQ1RK1 b kq -,d7e5
2r2rk1/4ppb1/1q1p2pp/pBn5/P4P2/Q3P1N1/1P5P/2RR2K1 w - -,b2b4
r3k1nr/1bq1bp1p/ppnpp1p1/8/2P1P3/1NNB4/PP2QPPP/R1BR3K b kq -,c6e5
r1b2rk1/p1q1bpp1/1npp3p/4p3/3PP3/1BN1QN2/1PP2PPP/R4RK1 b - -,e7f6
8/3Q1kbp/2p1rpp1/1pp5/2p5/2P5/PP3PPP/5K2 b - -,e6e7
8/1rN5/3BpK2/3bP3/4k3/8/8/8 b - -,b7c7
5r2/2q1N1pk/p2p2R1/1p4Qp/6b1/2K5/PPP5/8 w - -,c3b4
3rq1k1/2p2pp1/p2nr2p/np2p3/4P2N/1PP1RN1P/P4PPQ/R5K1 w - -,a1d1
r2q1rk1/pp2ppbp/2n3p1/3pNb2/3P4/1Qn3P1/PP2PPBP/R1BR2K1 w - -,b2c3
6k1/7p/4p1p1/2b5/2P2P2/1P4PP/6B1/5K2 b - -,g8f7
3r2k1/2p2p1p/4pp2/5P2/2qr2P1/1R2Q2P/1KP5/5R2 b - -,c4f1
r1bq1rk1/1p2ppbp/p1np1np1/8/3NPP2/2N1B3/PPP1B1PP/R2Q1R1K b - f3,d8c7
8/8/3Rp3/2k1p3/4P3/7r/2PK4/8 w - -,d6d8
2r3k1/pp2qp1p/1n4p1/2rp1P1n/7P/2NBP3/PPQ2P2/1KR4R w - -,f5g6
4r2k/p4pp1/1p3q1p/3R4/4n3/1P2N1P1/P4P1P/1Q4K1 w - -,d5f5
2r3k1/1p3b1p/p4pp1/3n1P2/3bN1P1/K2B3P/P1P5/4Q3 b - -,b7b5
r2qr1k1/2p2ppp/p2p4/1pnPb1P1/7P/2P1BP2/PPQ5/1K1R1B1R b - -,c5a4
6k1/6p1/1p5p/p1qpQ3/P4PK1/1P3N2/8/8 b - -,g8h7
rn1q1rk1/1b2bpp1/2p1p2p/p3P3/Pp1P4/3B1N2/1PQ2PPP/R1B2RK1 w - -,c1e3
7r/8/8/1K2P3/2p5/Pk6/7p/7R b - -,h8h5
8/8/p3kb2/1p5p/1P2P3/3K3P/8/4B3 w - -,e1g3
rnb1kbnr/1pqp1ppp/p3p3/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,e2e3
8/7p/3rp1p1/R7/2P2P2/4K1Pk/7P/8 b - -,h3h2
1rrq1bk1/5p1p/1p1p2p1/pPn1p3/4P3/1P2BPP1/P3Q1BP/3RR1K1 w - -,g2h3
r2q1rk1/p1p2ppp/2p5/2bpP3/4n1b1/3Q1N2/PPPN1PPP/R1B2RK1 b - -,e4d2
8/r4k2/2P3p1/1p1PR1Bp/1Kb4P/8/5P2/8 b - -,c4f1
1r5k/4p1qp/3p2p1/1PnP4/2P1PpP1/5N1P/4QP1K/6R1 w - -,e4e5
6k1/6p1/8/p1R2p1p/5P2/4PKPP/r7/8 b - -,g7g6
r4r2/pp1np1kp/3pbpp1/q7/4PPPP/P1N5/1PPQB3/R3K2R b KQ -,a8c8
r4rk1/p1b2ppp/2n1b3/4p3/1PPpPP2/3N2P1/p2B2BP/4RRK1 w - -,d3b2
6R1/4r3/8/8/7p/8/3K3k/8 w - -,g8g4
r1r3k1/pp1bppbp/n2p1np1/q2P4/3BP3/2N2N2/PP2BPPP/R2Q1RK1 w - -,a2a3
8/7k/1p4p1/p1p1Q3/P2P3P/2PK4/1P4q1/8 w - -,d4c5
r1b2rk1/ppnqp1bp/2p3p1/3pP1P1/5P1n/2N1BB2/PPP2Q1P/2KR2NR b - -,h4f3
2r2rk1/2pq1ppp/1pQ1pn2/p7/P2PP3/6P1/5PBP/R2R2K1 w - -,a1c1
r6r/pb2bk1p/2p1pp2/B5p1/3P4/1PR2N2/1P3PPP/R5K1 b - -,a8c8
r2qk2r/1bpn1p1p/1p3np1/p2p4/1b6/1P1PPN2/PB2NPPP/2RQKB1R w Kkq -,b2c3
8/4k3/3n1p2/2N1p1pp/8/6PP/5PK1/8 w - -,c5d3
5k2/6p1/4Qb1p/3B4/8/1p3PPK/2q4P/8 b - -,c2g6
r5k1/1q1n1ppp/4pn2/1p1p4/1B1P4/3QPP2/1P1N2PP/2R3K1 b - -,a8c8
r1r3k1/1p2pp1p/3p2p1/p1nP4/3bP3/1P3P2/P2B2PP/1RR2BK1 w - -,g1h1
2r4r/1p3pk1/1p2pnp1/3p3p/5PP1/2P2R1P/PP2B3/3R2K1 w - -,g4g5
8/7p/1R4pk/8/7r/5PK1/8/8 b - -,h4h5
r4rk1/1p3pbp/p4np1/5bN1/2P1p1P1/4B2P/PP1N1P2/R2R2K1 b - g3,h7h6
1rb2rk1/p1p1q1bp/2P2np1/p2Pp3/Q3Pp2/P1N2N1P/3B1PP1/2R1K2R w K -,a4a5
8/R2b1p2/3kpp2/P7/4P2p/5P2/r4KPP/5B2 w - -,f2e3
r3qrk1/3nbppp/b3p3/2ppP1N1/5BQP/1pPP2P1/1Pn2PBN/2RR2K1 b - -,a6b5
r1bqk1nr/3nppb1/p2p2p1/2P4p/1p2P2P/2N1BP1N/PPPQ2P1/R3KB1R w KQkq -,c3a4
r4rk1/pb1qbppp/1p2p3/2pp4/2PPnP2/1P1BP3/PB1N2PP/R2Q1RK1 w - -,d2f3
2r1rbk1/pbqn1pp1/1p1ppn1p/8/2pPP3/2PB1NN1/PP1BQPPP/R3R1K1 w - -,d3c2
r5k1/4pp1p/6p1/P3P3/3R1P2/1R1p3q/P2B3P/K7 b - -,h3h2
5rk1/3bq3/7p/Qp1Pb3/8/3p1N2/PP3RP1/3B2K1 b - -,e5g3
8/8/2N4p/6p1/4knP1/7P/6K1/8 w - -,g2g3
r1br4/pp2p1kp/2n2pp1/2P5/5B2/2P2B2/P4PPP/1R1R2K1 w - -,f3d5
1Q6/7p/3p1k2/5p2/PP3b2/2r2N2/5PP1/3R1K1q w - -,f3g1
3k1b2/2p5/1p1r2P1/p7/P1B2P2/2BP1n2/1PP3R1/2K2n2 w - -,g6g7
r3qrk1/pnp3p1/1p1ppb1p/5p2/1PPPb3/PQ3NPB/1B2PP1P/3RR1K1 w - -,f3d2
2r2rk1/5pbp/3p1qp1/Pp1P4/4P3/3nBQ1P/3N1PP1/2R2RK1 w - -,f3f6
r2r2nk/1p1b2bp/pq2p1p1/5p2/P2pPP2/3B2N1/1PP1Q1PP/R1B2R1K w - -,e4e5
4r1k1/5pbp/3p2p1/R2P4/8/4BP2/6PP/6K1 b - -,e8e3
7r/R2R4/1pPp2Bk/1P4nn/2P2p2/5q1P/6QP/7K b - -,f3d1
