8/6p1/1p1k1pN1/2pn1P1P/4K1P1/8/8/8 b - -,b6b5
4r3/5kpp/p1p2b2/3p4/8/1P1R4/P1P2PPP/4BK2 w - -,e1c3
r7/1p3ppp/2r1kn2/2P1p3/1p6/P1N1P3/3RK1PP/3R4 w - -,a3b4
rn3rk1/pp2ppbp/3pbnp1/q2p2N1/2P5/2N3PP/PP2PPB1/R1BQ1RK1 b - -,e6d7
1k4r1/ppq2p2/2p1p3/2P1P2p/5n2/1Q3B1b/PP3PNP/2R2RK1 w - -,g1h1
r1bqk2r/pp1n1pp1/2p1p2p/3p3n/1b1P1B2/2N1PP2/PPPQ2PP/2KR1BNR w kq -,g1e2
3r3k/8/6Pp/1R2Pp2/p2p4/P7/1P3KP1/8 b - -,d4d3
8/8/4pbk1/2Kp1p1p/2p2Pp1/p3N1P1/P1R4P/1r6 b - -,b1b2
5k2/p5n1/1pp1rp2/3p3p/3P2p1/6P1/PP1KNPBP/2R5 w - -,e2f4
5kq1/1pp1r2p/p1b1p1r1/2Pp1pP1/1B1P1P1Q/P2B1P2/1P6/2K4R w - -,b4d2
6rk/p2q3r/3p3p/3p3Q/4pp2/7P/PP3P1K/2RR4 b - -,e4e3
B2qrbk1/5p1p/5np1/p7/1ppP4/4P3/PPQB1RPP/4N1K1 b - -,f6g4
4rbk1/2p2pp1/q4n1p/4p3/P3N3/2N4P/2Q2P1K/1R4R1 b - -,f6h7
r2k1bnr/pppn1ppp/4b3/4p3/2P5/1PN2N2/P3PPPP/R1B1KB1R b KQ -,f7f6
8/2R5/3P1pk1/7p/3R1P2/2K4b/1r6/8 b - -,b2b8
R7/8/8/5k2/pr4p1/6K1/8/8 w - -,a8a5
r1b2rk1/pp1pqppp/2nb1n2/4p3/2BPP3/1QP2N2/5PPP/RNB2RK1 w - -,c1g5
8/8/8/p1p2B2/1pP2b1p/5bk1/PP2KN2/8 w - -,e2e1
8/2p1kpp1/1p6/2p1Pn2/2P1N2p/5P1P/P1b2KP1/2B5 w - -,e4d2
r1b2rk1/pp2qp2/1n2pp1p/2b5/4N3/3BPN1P/PP3PP1/2RQ1RK1 b - -,b6d7
rnbqkbnr/ppp2ppp/4p3/8/4p3/2PP4/PP3PPP/RNBQKBNR w KQkq -,d3e4
rn1qk2r/pbppb1pp/1p2pn2/5p2/2PP4/P1N2N2/1PQ1PPPP/R1B1KB1R w KQkq -,e2e3
5r1k/1p1bnr2/p2p2pb/2pPpp1p/P1P1P2q/1P1B1P1P/6PN/R2RQN1K b - -,h4f6
5rk1/p2r1ppp/Bn6/1R2P3/2n3P1/5NP1/P4P2/2R3K1 w - -,a2a4
1r4k1/5ppp/p5n1/2bPp3/1p2P3/3B3P/5PP1/1N1R2K1 w - -,d3a6
rnbq1rk1/p3ppbp/2p2np1/1p6/2pPP3/2N2NP1/PP3PBP/R1BQR1K1 b - -,a7a5
1k1r2br/1p1n1Np1/1bq4p/3p4/3P1B2/6N1/2P1Q1PP/1R3R1K b - -,b8c8
rnbq1rk1/pp3ppp/2pbpn2/3p4/2P5/1PN1PN2/PBQP1PPP/R3KB1R b KQ -,d8e7:b7b6:e6e5:f8e8:b8d7
3r2k1/p1qrbpp1/1p2pnp1/1p6/P1PP4/1Q2BBP1/5P1P/2RR2K1 w - -,a4b5
2nqrk2/r5pp/4Pp2/1n1p1P1N/1PpP2Q1/p1P5/R2B2PP/5RK1 w - -,h5f4
r2r2k1/pp1qppbp/6p1/3pPb2/2BPn3/1Q2BN1P/PP3PP1/2RR2K1 w - -,c4b5
4rrk1/p2qb1pp/4b2n/2p1pp2/2Pp4/1P1P2NP/PB3PPN/R2QR1K1 b - -,e7d6
r4rk1/pn2qppp/4pn2/1NpP4/1b2bB2/1P3NP1/PQ2PPBP/R2R2K1 b - -,e6d5
r4rk1/pbqp2pp/2n1Pn2/2b5/8/3B1N2/PPPNQPPP/R1B2RK1 b - -,a8e8
r4rk1/p2nbpp1/1ppNp1bp/2Pp4/1P1P2PP/R3PP2/1P1K4/2B2B1R w - -,d6b7
r3r1k1/pp3pbp/2p1n1p1/3p1Q2/3P4/1P4PP/PBP1NP2/R4RK1 b - -,g6f5
8/R7/5k2/2pP3p/4pP1P/3rP3/P3K3/8 b - -,d3d5
rnbqk2r/ppp2pbp/3p1np1/3P4/8/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,f1g2
6k1/pp3p2/4pP2/7R/8/2Pp4/PP6/1K6 b - -,d3d2
8/1k6/8/1P1R3r/1KP5/8/8/8 b - -,h5h7
2kr3r/ppp2ppp/2n1b3/4P3/2B5/5N2/PP3PPP/2R1K2R w K -,e1g1
r1r3k1/1p2ppbp/3pbnp1/8/NqP1P3/1P2BP2/3QB1PP/1RR3K1 b - -,b4d2
2k5/R7/p2bp3/5p2/2pP1p2/2P2r2/PP5K/6R1 b - -,d6c7
r2q1rk1/p2nppbp/1p3np1/2ppN3/3P1P2/2P1P3/PP1NQ1PP/R1B2RK1 w - -,b2b4
6k1/2p1rpn1/2p3p1/3pr1P1/1p1qP2P/1P3Q2/P1P1R3/1KN1R3 w - -,f3d3
4k3/8/4r3/5r2/P1R4P/Bn6/3p2P1/1R4K1 w - -,a3b4
5bk1/4qR2/p7/3Q4/1pP5/8/PP4P1/1K6 b - -,e7f7
1qr1r1k1/1b1nbppp/pp1pp1n1/8/1PP1P3/PN2BP2/1N1QB1PP/2RR3K b - -,h7h5
r2q1rk1/1pp3b1/3p2pp/p1PPpp1n/4Pn2/P1N1B3/1P1N1PPP/1R1Q1RK1 w - f6,d2c4
8/5p2/4bR1N/2k5/5K2/8/7r/8 b - -,h2g2
r1bq1rk1/3pnpbp/p1n1p1p1/1pp5/4PP2/1BNP1N2/PPP3PP/R1B1QRK1 w - -,e4e5
8/8/1K4Q1/6P1/r5kP/8/8/8 b - -,g4h4
8/5b2/1R3kp1/8/4BK1P/5P2/8/7r b - -,f6g7
8/8/1pk1pp2/p3P2p/2P1r2P/bP1N4/P1R1K3/8 w - -,e2f3
1n3rk1/2qr2p1/pp1p3p/4pP2/2P1B3/3Q2P1/PP5P/3R1RK1 w - -,e4d5
1kR5/1b2bp1p/p2ppp2/8/4PPP1/3q1B2/PPr1N2P/1K1R4 b - -,c2c8
r4rk1/5ppp/p1nqpn2/3p1b2/3P4/1QN1PN2/PP2BPPP/R3K2R b KQ -,c6b4
r1bqk2r/1p2bppp/p1nppn2/2p5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w kq -,f3d2:f3g5
r2q1rk1/pp2bppp/2np1n2/2pP4/2B2B2/P2P1N2/1PP3PP/R2Q1RK1 b - -,c6a5
r1bq1rk1/pp4pp/2Nbpn2/2pp1p2/3P4/2PBPNB1/PP3PPP/R2QK2R b KQ -,b7c6
8/4Qp1k/4n1pp/pp6/8/2KRq2P/8/8 b - -,e3c1
2r2rk1/pbqnbppp/1pn1p3/2ppP3/7P/2PP1NP1/PP2QPB1/R1B1RNK1 b - -,f8d8
3q1k2/4brp1/p2pb2p/nppN3Q/4P3/5N2/PPP2PPP/R4RK1 w - -,d5e7
rnb1k1nr/1pq1bppp/4p3/p2pP3/1P6/P4N2/1BP2PPP/RN1QKB1R w KQkq a6,b4b5
4r1k1/3Bppbp/p2p2p1/qP4P1/7Q/1Pn2b2/P3PP1P/2RR2K1 w - -,c1c3
6k1/2q1bpp1/4pn1p/2p5/B1P5/1PBQ1PP1/7P/6K1 w - -,g1g2
5rk1/p1pb2pp/2pb4/5Nq1/8/1P1B1Q2/PBP2PPP/4rRK1 w - -,f1e1
3r1rk1/2q2p1p/3b1P2/p1p1p1P1/1p5Q/5b2/PPP4P/1KB1R1R1 b - -,f8e8
5rk1/p2R3p/6p1/P1pn4/5P1P/6P1/2pq3K/Q3R3 w - -,h2h1
r4rk1/pp3pp1/2p1bn1p/8/3Pp3/N1N1P3/PP3PPP/R4RK1 b - -,a7a5
8/4k3/pp1pq2p/2p5/P1P3P1/1P3Q1P/6K1/8 b - -,e6e5
r5k1/1p3p2/2p5/4q1P1/8/1P3P2/2PQn1P1/1K2R3 w - -,c2c3
1r1q1r2/5pkp/p2p1np1/Pnp2P2/2N1P3/2P2B2/3Q2PP/3R1RK1 b - -,d8e7
8/7r/8/2Bk3K/3P3P/8/8/8 w - -,h5g5
r1bqrbk1/5p2/pp1p3p/2pPnp2/P1N5/2N1P3/1PQ1BPPP/1R3RK1 b - -,f8g7
8/1p2r2p/p5pb/4B3/3Pk2P/P5P1/1PR2PK1/8 w - -,c2c3
r5k1/5ppp/2pp4/2b1p3/PqP1P3/6P1/P1Q2P1P/3R1BK1 w - -,d1b1
4bk2/4b3/4P1p1/p1ppNp2/5P2/Q2BP3/2PK3q/8 w - -,d3e2
R7/8/8/2K1p3/4p2k/4P3/8/8 b - -,h4g3
6k1/1b3pb1/1q5p/1BR3p1/1P4n1/1N2rNP1/4Q1P1/6K1 w - -,e2d1
8/3r1k2/2QP1pp1/5q1p/7P/4R1P1/5PK1/8 b - -,f5g4
r2q1rk1/1p3pb1/2bp1np1/p3p1Bp/2P1P1PP/2N2P2/PP1QB3/R3K2R b KQ -,d8b6
3r1rk1/6p1/p2q3p/1p1Pp2n/4P3/3BQN1n/N4P2/1R3K2 w - -,b1b2
rn3rk1/p1p3pp/1p1pq3/5p2/2P5/Q1P1N1P1/P3PP1P/3R1RK1 b - -,b8c6
r2q1rk1/pbpnbppp/1p2p3/8/3PP3/P1B2N2/1PQ2PPP/2KR1B1R b - -,c7c6
3r2k1/p3ppbp/1p4p1/4Bq2/P7/N1P3PP/1P1RQP1K/8 b - -,d8d2
4r3/p2r1np1/1p1P1k1p/2pR3P/5BP1/1P2PK2/P7/6R1 b - -,f6e6
2bq1rk1/3rbp1p/p1n3p1/2p1p3/P3N3/2PPPQNP/B5P1/3R1RK1 b - -,g8g7
6k1/p5pp/1p2p3/1P4P1/3P1P2/1R1K4/r7/8 w - -,d3e4
4r3/5pk1/5p1p/1R6/2b1N3/3n2PP/1P3PB1/6K1 w - -,b5b6
r3kb1r/pppnpppp/5n2/8/2Bq4/2N2P2/P1PBQP1P/1R2K2R b Kkq -,d7b6
8/8/3p2k1/2pP4/4KP2/1p6/1P6/8 w - -,e4d3
8/B6p/4Pbk1/3K4/5p2/8/6PP/8 b - -,g6f5
rnbqk2r/pp3p2/3p3p/2pPp1pn/2P5/2P1P1B1/P1Q2PPP/R3KBNR w KQkq -,f1d3
r1r3k1/p2qppbp/Bpn1b1p1/3p4/PP1Pn3/BQ2PN2/3N1PPP/2R2RK1 b - -,c8c7
4r1k1/bppn2pp/p4p2/P2p4/1P1P1N2/2P4P/5PP1/R1B3K1 w - -,f4d5
4r1k1/1ppnqpp1/pb1p3p/3P4/1P1P2R1/P2Q1BPP/3B2K1/8 b - -,d7f6
2R5/r4pk1/4pp1p/8/6P1/4P2P/1b1N1PK1/8 b - -,b2e5
r3k2r/1bq1bp1p/p1n1p1pn/1pp1P3/4BP2/2N1BN2/PPP3PP/R3QRK1 w kq -,e3f2
r4rk1/ppq2pp1/2pbb2p/8/2PR4/2B2B2/PPQ2PPP/2K1R3 w - -,f3g4
r5k1/7p/p3p1pB/1p3p2/2r3P1/7P/P4PK1/R2R4 w - f6,d1d7
5k2/R7/4p1pp/5p1n/3PP3/5PPP/6K1/8 b - e3,f5f4
r2qrnk1/pb3ppp/1ppb1n2/3p4/3P1B2/1QN1PN1P/PP2BPP1/2RR2K1 w - -,f4d6
8/5p2/2K5/1p2Pk2/1P6/8/8/8 b - -,f5e5
2kr3r/p1pnqp2/1p1pp3/6p1/1PPPb2p/P3PNBP/4QPP1/2KR3R w - -,g3h2
rnb1k2r/pp3ppp/4pn2/q7/2Pp4/P1P2N2/2Q2PPP/R1B1KB1R w KQkq -,f3d4
1rr3k1/1Rn2pp1/p1P1b2p/P3p3/1K2P3/4BP2/4B2P/2R5 b - -,b8a8
3r3k/pp4pp/5q2/5p2/1P1np3/P1r4P/Q1P2PPN/2R1R1K1 w - -,e1d1
r2q1rk1/1p2b1pp/1p3p2/pP1b4/Q2p4/P2P2P1/1B2PPBP/R4RK1 b - -,d5g2
8/6Q1/3b4/5p1k/4p3/8/6K1/8 w - -,g7f6
r7/8/8/8/8/1K6/p2k4/R7 b - -,a8b8
r1b1nr1k/p3q1bp/Pp1p1np1/1BpPpp2/4P3/2N1BP2/1PPN2PP/R2QR1K1 w - -,b5c6
r2r2k1/4q1bp/2nppnp1/1Np5/P3P3/5B2/1P3PPP/R1BQ1RK1 b - -,f6e8
7r/4kpp1/2Bp1q1p/3Pp3/rP6/5N2/P4RPP/R5K1 w - -,c6a4
5rk1/6pp/p5n1/1p1R4/4r1P1/4p1B1/PPP4P/3KR3 b - -,g6f4
r1b3k1/p7/3n1bp1/1ppp1p2/8/R5P1/PP1NPP2/1RB1K3 w - -,b2b4
8/2BK4/8/2P5/k3b3/8/1R6/2r5 w - -,c7b6
8/6pk/7p/4p1b1/8/3R1P2/1rP1NKPP/8 w - -,d3c3
r7/1p1k1q1Q/p1b3p1/3p1r2/1P1Bp3/P5P1/B5PP/3R2K1 w - -,h7h6
4R3/R6k/5p2/4b1pp/1p6/1r4PP/6K1/8 b - -,h7g6
1k1r1n1r/pp1qnpp1/3p2p1/2pPp3/2P1P1P1/2Q1B2P/PP3PB1/R3K2R b KQ -,d7c7
8/p4rk1/2P2p2/3QpP2/1b2P3/8/P3K3/8 w - -,d5f7
1r1q1rk1/2pbnpp1/p2b1n1p/1p1Pp3/PPQ4N/2N3P1/3BPPBP/R2R2K1 w - b6,a4b5
4r1k1/p4pp1/1p3b2/2pq4/8/P1PPB2P/1P1Q2P1/3R3K w - -,d1e1
r4b1r/ppknpB2/1np5/4P2p/2pP3Q/2N5/PPq2RPP/R1B3K1 b - -,c2h7
8/R7/3kp1p1/7p/5P2/4K3/7P/5r2 b - -,f1h1
3R4/7r/8/3k4/8/2P5/2K5/8 b - -,d5c4
2br2k1/1p4p1/3b3p/3P3Q/6PN/7P/4RP2/2q2BK1 b - -,c8d7
1rb3r1/3pkp1p/2nNpp2/1p6/8/P3P3/1P1R1PPP/2K2B1R b - -,b5b4
6k1/6bp/2p1n1p1/p1Pp4/P2Pp3/6PP/2NK1P2/B7 b - -,g7h6
8/3r3p/2n2R2/1kpp4/5B2/2PK1P2/6PP/8 b - -,c5c4
1nr5/3p1k1p/p2R1b2/N5p1/1p6/1P2B1P1/2P2PKP/8 w - -,a5c4
2kr3r/pp1q4/1np1b1n1/5p2/1R4pP/2NP4/PP2PQBP/R4NK1 b - -,c8b8
3q4/8/Q4p2/1pk5/1pbNP3/5KP1/8/8 w - -,a6a7
r3nr1k/1b2q1bp/p5p1/Ppnp1p2/4p3/2P1P2P/1PNNBPPB/RQ2R1K1 w - -,b1a2
R7/2r4p/8/1kppr3/P3p1p1/4P3/5PPP/3R2K1 b - a3,b5b4
8/2R2pkp/2Nn2p1/5p2/8/bB4P1/2P1QPKP/q2r4 b - -,d1e1:d1g1
3r1rk1/pp3ppp/n1p2n2/8/1P1R4/4P1PP/PB3PB1/R5K1 b - -,a6c7
2kr3r/pppqbppp/2np1n2/4p2b/PPB1P3/2PP1N1P/5PP1/RNBQ1RK1 w - -,a4a5
6k1/p2P4/1pb1K1P1/2p1B2p/2P5/1P5r/P7/6R1 b - -,h3d3
r3k2r/pp1n3p/3Qpp2/3b1q2/2pP1B2/2P3P1/P1P2P1P/4RBK1 b kq -,d7b6
8/2N3k1/1p6/1R2n2p/4P1p1/8/P2b2K1/8 b - -,e5g6
r4rk1/pppqn1pp/2n2p2/b1Np4/3P1B2/P2Q4/1PP1NPPP/R4RK1 b - -,d7f5
8/5pk1/4p2p/6pP/P2R4/4PK2/r4PP1/8 w - -,d4b4
8/7p/4pkp1/p2p4/2r2P2/P1pK2P1/1P5P/4R3 w - -,b2b3
r1b2r2/4Rpk1/3R2p1/Pp2p3/1P2P2P/1nK1N3/7P/8 w - -,c3b3
3r4/p2P3p/1r2k1p1/1B2R3/1p3PP1/8/PP5P/6K1 b - -,e6d6
8/2p2k2/p2p1bpp/Rr1P4/2N2P2/3P4/P4PKP/8 w - -,a5b5
r1b2rk1/p1ppnppp/1pn5/1N2q3/8/2PBP3/PPQ3PP/RN3RK1 b - -,e7g6
r2qkb1r/pbpn1ppp/1pn1p3/3pP3/3P2Q1/2PB3N/PP1N1PPP/R1B1K2R b KQkq -,d8e7
8/3p1p2/1p3kp1/p2P4/3b1PP1/BP6/P7/5K2 b - -,g6g5
1k1r3r/ppp3p1/2nb3p/3q4/5Q2/P2P3P/1PPN1PP1/R4RK1 w - -,f4c4
rnb1k2r/pp3ppp/2p2n2/4q3/1b1Np3/2NPP1P1/PP1B1P1P/R2QKB1R b KQkq -,c6c5
rn1q1rk1/p2pbppp/4pn2/8/Q2N4/2P3P1/P2NPPKP/R1B2R2 w - -,c1a3
8/6p1/p1R5/PpP4k/1Pp1p1r1/4P2p/8/3KB2n w - -,c6c8
r2r2k1/ppq1bppp/2BNp3/2P5/8/6P1/PP2QP1P/2RR2K1 b - -,c7c6
7k/1p4r1/4p1b1/1RP1N1rp/3Pp1pR/4P1KP/8/8 w - -,h3g4
rn1q1rk1/pbp2ppp/1p2p3/3p4/2PPn3/P2BPN2/1PQ2PPP/R1B1K2R b KQ -,b8d7
r3r2k/pp1n2pp/2p3b1/5p2/3PPP2/PBB4P/1P6/R3R1K1 w - -,e4e5
8/7p/5p2/p1k5/1pn1PK2/6P1/P3B3/8 w - -,f4f5
r2q1bk1/1pp2ppp/2n5/4rb2/1P6/1R2N3/4NPPP/2BQKB1R b K -,f8b4
r3r1k1/pp3pp1/1q5p/3p1b2/2pnn3/4BNP1/PP2PPBP/R1Q1R1K1 b - -,d4f3
3r4/1p3kp1/3R3p/2Kn4/6N1/2P3PP/1P6/8 b - -,d8d6
r4rk1/3Nq2p/2pb1np1/p2p1p2/1P3P2/2BBP3/P5PP/2RQR1K1 b - -,e7d7
2Q3k1/5pp1/1p3q1p/8/1P1Np3/3bP2P/5PP1/6K1 b - -,g8h7
r2q1rk1/pbppb1pp/np2p3/5p2/2PP4/P1Q2NP1/1P2PPBP/R1B2RK1 w - f6,b2b4
r4k1r/1b2pp2/1p4p1/p1NP1q2/P1P4p/1P2Q2P/5PP1/2R1R1K1 b - -,b6c5
7k/p5pp/5B2/1B6/6R1/5K2/P1r5/8 b - -,g7f6
r3r1k1/pp1nbppp/2p1pn2/q7/3P4/PP1B1QN1/1BP2PPP/R3R1K1 w - -,c2c4
2b4r/1pk5/2p2p2/4r1b1/1PPNP1B1/3R3P/P1K5/3R4 b - -,c8g4
8/p4p2/2R2bk1/6P1/3p2P1/4r3/PP2PK2/4N3 b - -,g6g5
4r3/p5kp/2pp2p1/4q3/2P5/1P4P1/P2QNP2/5K2 b - -,e5e4
3k4/1R3P2/2pN4/p1Pbp1K1/P5pp/8/7r/8 b - -,h2f2
8/5p1p/3kn1p1/4p3/1NP4P/2K3P1/5P2/8 b - -,f7f5
8/1b3Qpk/2p1p3/2Pp4/1P2q1PP/7P/5K2/8 b - -,e4d4
r2qrb2/1b3p1k/p2p1npp/1pnPp3/P1p1P3/2P1BNNP/1PBQ1PP1/R3R1K1 w - -,e3c5:f3h2
r2q1rk1/1p1bppbp/p1np2p1/2p2n2/2P5/1PNPP1P1/PB1QNPBP/R4RK1 b - -,a8b8
n1k3r1/Pp6/1P2p2p/2PpP3/4qp2/8/1Q4PP/2R1N1K1 w - -,g1h1
2r1k2r/1p3pp1/p1n1b2p/2Q1p3/5q2/1N1B4/PPP2P1P/1K4RR b k -,c6b4
r2N1rk1/1b1n1p2/p2p2p1/4n3/N2B4/P2B2b1/2P3PP/4RR1K w - -,d8b7
r1bq1rk1/pp3pp1/3p1n1p/1BpPn3/1b5B/2N1P3/PP2NPPP/R2Q1RK1 b - -,e5g6
3r3r/1pqk1ppp/3b4/1Pp1p3/Q7/5N2/P4PPP/R2R2K1 b - -,d7e7
2k5/1p6/1P1R4/P3K1P1/8/8/8/4r3 w - -,e5f6
3R2k1/pp2bpp1/2p1pn1p/q3n3/2P1P3/1PN3PP/PB2QPB1/6K1 b - -,a5d8
8/r5bk/6p1/1pp2p1p/5P1P/1P1PK1P1/4B3/1R6 b - -,g7d4
r3b1k1/1p2n1p1/2n1p2p/pBPpPp2/5P2/1NP2N2/1P4PP/R5K1 w - -,b5c6
r2q1rk1/pb1nbppp/1p2pn2/2p5/2p5/1P1PPNP1/PB2QPBP/RN3RK1 w - -,b3c4
3q1rk1/p4p1p/bpR1pnp1/4N3/3PB3/4P3/P4PPP/1Q4K1 w - -,e4f3
r2q1rk1/pp2bppb/1np1pn1p/4N3/P2PP3/2N1BP2/1P2B1PP/R2Q1RK1 b - -,b6d7
rnbqkb1r/pppppppp/5n2/8/8/1P6/PBPPPPPP/RN1QKBNR b KQkq -,b7b6:d7d6:d7d5:g7g6:e7e6:c7c5
1r4k1/3R3p/3p2p1/2b2p2/8/R5P1/5PKP/8 w - -,a3a6
4r1k1/8/6pp/1b1P1p2/1q1Q4/5PN1/6PP/3R2K1 b - -,b4d4
2r5/3pk3/4pp2/2rn3p/RpN2P2/1P4P1/2PR2KP/8 b - -,h5h4
r2r2k1/1p3pp1/2p1pn1p/p7/1qPP4/1P2QN1P/P4PP1/1RR3K1 b - -,a8b8
r1bqkb1r/p2pnppp/2p1p3/2p5/4P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq -,c1b2:e1g1:c1a3
8/6k1/7p/1P1r4/3N1p2/2P1p3/3r1bPP/1RR4K b - -,e3e2
r1bqk2r/pp2bppp/2n5/2pnp3/8/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,d1b3
1k2r3/pp1qr1p1/2pp1p1p/4n3/5Q2/1PP3PP/PKPR1PB1/7R b - -,d7c7
r3k2r/pp1n1pp1/2pqpnp1/8/3P4/2P2Q2/PP3PPP/R1B1KB1R w KQkq -,c1f4
1q3rk1/r4ppp/1Pp1p3/8/1p2P3/7P/1PP1QPP1/R3R2K b - -,a7a1
r1b1kbnr/pp3ppp/2n5/3qp3/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,b1c3
r5k1/r3np1p/2pq1np1/pp1p1b2/1P1P1N2/P1NBP3/1RQ2PPP/2R3K1 w - -,c3b1
r1bqkbnr/pp3ppp/1n1p4/2p1P3/2B1P3/2P2N2/PP3PPP/RNBQK2R b KQkq -,b6c4
5r2/1p3k1p/8/P4p2/1PP5/4B1PK/5P1P/8 b - -,f8c8
6k1/4pp1p/3p2p1/1r1P4/1P2P3/2B2KPP/8/8 b - -,e7e6
r5k1/2p2p1p/1np3p1/3q4/P3Q3/8/P4PPP/2R2BK1 w - -,e4e7
1rbqr1k1/1p3pbp/p2p1np1/2p1n3/2PNPB2/2N3PP/PP2QPB1/R3R1K1 w - c6,d4c2
5k2/8/4pBPp/pp2Pp1P/b1p2P2/P1P1K3/1RP5/3r4 b - -,f8g8
r1bq1rk1/pp4bp/2pp1np1/4np2/2P2N2/2N3P1/PPQ1PPBP/R1BR2K1 b - -,d8e7
1r3r1k/p6p/4q1p1/2P1N3/1P3p2/8/P1Q2PP1/1RB3K1 b - b3,h8g8
8/6pp/p5k1/R2P1p2/8/2N2PKP/1r4n1/8 w - -,d5d6
8/2R2pk1/6p1/2p4p/1bN1Br2/5P2/6K1/8 b - -,g6g5
8/8/8/8/5kp1/8/5K2/8 b - -,g4g3:f4e4
4nn1k/p4r1p/Pq1p1pp1/2pPp3/1rP1P1NN/5R1P/5PP1/2Q1R1K1 w - -,g4h6
4k3/8/p2Bp1p1/P2pP1Q1/1Pp2p2/5PK1/2q5/8 w - -,g5f4
2kr3r/ppqn1pp1/2pbp2p/7P/2PPQ3/5NP1/PP1B1P2/2KR3R b - c3,c6c5
2nrk1nr/pp1qb1pp/2p1p3/P2pP3/1P1B1P2/2N5/2PQB1PP/1R3RK1 b k -,e7f8
7k/6p1/8/1pQn1q1p/6rP/PP1P2P1/2KBpP2/4R3 b - -,g4g6
8/6R1/3k1pKp/7P/6P1/4rP2/8/8 w - -,g7f7
7k/1p1nrpp1/p1p3bp/R7/2NPp3/PB2P3/1P3PPP/6K1 w - -,h2h4
8/4K3/p1p5/1pPp1pkb/1P1P4/P2BP3/8/8 w - -,e7d7
r4k1r/p4pp1/2p3qp/2Pp1R2/Q2Bp3/8/P1P3PP/3R2K1 b - -,g6f5
3r2k1/5qp1/1R2p1Np/3r1p1P/3P4/4PQP1/5PK1/8 b - -,f7e8
r1b2rk1/pp1qppbp/1n1P2p1/1N6/1n6/5N2/PP2BPPP/R1BQ1RK1 b - -,b4d5
