8/4p3/pR1b1k2/2nB4/2p2P2/4K3/1P6/8 b - -,c5a4
3R2k1/1pr1bpp1/4p2p/8/R7/2P4P/1P3PP1/7K b - -,e7d8
r1b3k1/1p4pp/pB1bp3/P1Np4/N5rq/5R2/1PP4P/3RQBK1 w - -,f3g3
6k1/5p2/R2p2p1/3P4/8/5Pn1/8/1r2NK2 w - -,f1f2
1rb3r1/2p2pqk/2Np2nb/1P1Pp1pp/4Pn2/2N1BP2/1PBQ2PP/R4R1K b - -,b8b7
r3rk2/pp3ppp/5n2/1N6/2B2Rb1/2P5/PP4PP/R5K1 b - -,e8e4
2kr3r/ppqnbp2/2p4p/2P1p1n1/2Q1PPBB/1N4Pp/P7/1R3RK1 w - -,f4g5
4r1k1/2q2p1p/1n1p2p1/BP1P1b2/2Nb4/6PP/2Q2PB1/2R3K1 w - -,c2d2
6rk/6bp/4Q3/3R4/5P2/4B2P/5K1q/8 w - -,f2f3
8/8/4pkp1/8/1p4p1/1P5R/2NK1P2/1r6 w - -,h3g3
r1b2rk1/1pq1ppbp/p2p1np1/n7/3NPP2/1BN1B2P/PPP3P1/R2Q1RK1 w - -,d1e2
2rr2k1/3qbppp/4p3/2p1P3/ppQ1P3/1P2B3/P1R2PPP/R5K1 w - -,a1c1
2r2k2/1pn2ppp/3p1n2/3Pp3/1P6/1BP2P2/4N1PP/3R2K1 w - -,g1f2
6rk/p5p1/4Np1p/4nP2/4Q3/7P/5qP1/3R3K w - -,e6f4
r1r3k1/pp1qppbp/2np1np1/8/2P1P3/1PN1BP2/P3N1PP/R2QK2R b KQ -,d7d8
8/pp3k2/5pp1/PPp1p3/4P2r/2K2P2/5R1P/8 w - -,c3c4
6k1/6pp/p7/4pp2/K1P1bP2/P1R1N1P1/1r5P/8 b - -,e5f4
r2q1rk1/ppp1bppp/2n1p1b1/3p4/3PnB2/2PBPN1P/PPQ2PP1/RN3RK1 w - -,b1d2
rnbq1rk1/ppp3b1/6pp/2PNpp2/1P4nP/PQ1PP1P1/1B4B1/R3K2R w KQ -,d5f6
2rqb1k1/1p4p1/p3pr1p/n2p4/2PP4/1P2Q1PP/Pb1N1P2/1B1RR1K1 b - -,d5c4
r3k1r1/ppq1np1p/4b1p1/2p1p3/Q7/2PPB1P1/PP2P1BP/R4RK1 b q -,e8d8
r1b1k2r/pp2bppp/2n1p3/1N1pP3/3P4/P2BPN2/1q4PP/R2QK2R b KQkq -,b2g2
r1b4r/p3kp1p/2pbp1pB/3q4/3P4/4QN2/PP3PPP/R4RK1 b - -,f7f6
1r1qn1k1/5r1p/1p1p1bp1/pP1Pp2n/N1P1P1b1/4QNP1/3BB2R/1K4R1 w - -,f3e5
2rqnrk1/3n1p1p/2p3p1/p1bpP3/PpPp1P2/1P3N1P/1BQ1B1P1/R4R1K w - -,c4d5
r2q1rk1/pp3pb1/2n1b1pp/2p1p3/7N/2PP2P1/PPQ2PNP/R1B2RK1 b - -,g6g5
8/R7/P5pp/5p2/3K2k1/7r/8/8 b - -,h6h5
3r1bk1/1b1r2n1/p3p2p/1p2P1p1/3P1p2/PNN5/1P3BPP/3RR2K w - -,b3d2
rn1q1rk1/pp2ppbp/2p3p1/3p1b2/1PPP4/4P2P/PB1N1PP1/R2QKB1R w KQ -,g2g4
4k3/1ppb2r1/p2p1p1p/3PpP2/4P1PP/5B2/PP3R1K/8 w - -,f2g2
r4rk1/5pb1/1q4pp/p2pP3/1p1P2bP/3BQ3/PPP1N3/1K4RR b - -,h6h5
r5k1/pp1R2p1/8/n2p3B/3qp3/7P/PP1N2P1/3Q3K b - -,a8f8
r1b2rk1/ppq1ppbp/1n4p1/8/2pPP3/1BP1B3/P3NPPP/2RQ1RK1 w - -,b3c2
8/8/1P1p4/3P1ppp/2r1k3/4P1P1/3RK3/8 b - -,c4c8
7k/5r2/5q2/p1Npn3/8/P7/1P1Q2P1/4R1K1 w - -,d2e2
8/5k2/1P1R2pp/5p2/1r3P2/6PP/8/5K2 b - -,g6g5
r1b1r1k1/4p2p/1n2P1p1/2p4P/8/1PB3P1/1R2P1B1/3R2K1 w - -,g2a8
r2q1rk1/pb1n2pp/1ppbp3/3p1p2/2PPnP2/1PNBPN2/PB2Q1PP/2R2RK1 b - -,d8e7
2rq1rk1/pp1bppb1/3p2p1/2nP1n1p/2P2P2/1PN2RPP/P3NBBK/1R1Q4 w - -,b1c1
r5k1/pppb4/3p2pp/3P4/2Pq2BQ/6P1/PP3RP1/6K1 b - -,d7g4
1r1r2k1/p2bq3/1p2pb1p/6pP/3p2N1/P7/1PQ2PP1/1B1RR1K1 b - -,e7g7
1q3kr1/4bp2/1Bn1p2p/N3n1p1/p3P1P1/2P5/1P3QBP/1K1R2R1 w - -,a5c6
8/4k3/1p1p2B1/pPpPp3/P1P4P/4n1PK/8/8 w - -,g6d3
8/2p1k1bp/1p1p2p1/pP1P1n1B/P2P1P2/2B3PP/3K4/5N2 b - -,g6h5
5b1k/pr6/7q/2P1p3/6p1/6Q1/P4PP1/1R4K1 w - -,g3e5
2rq1rk1/pb2bppp/1p2pn2/3Pn2N/2B5/P1N1B3/1P3PPP/R2Q1RK1 w - -,h5f6
8/7p/1p4p1/pNb1k1P1/P5nP/8/2P2QK1/8 b - -,g4f2
8/5ppk/4b3/1pq1p3/4Pb2/1P2NP2/P2Q3P/5N1K w - -,h1g2
4Q3/1kp4p/1p6/p7/P2q4/5PKP/8/8 b - -,d4g1
1r6/2b5/2r3pk/1p1p1pRP/p2PpP2/2P1P2K/R7/1N6 b - -,c7d8
1R6/3k3P/5K2/5Nr1/8/8/3b4/8 b - -,g5h5
8/8/Rp2p1p1/8/5k2/3K4/8/1r6 b - -,g6g5
8/5pkp/5p2/4b3/1R6/4N1P1/4PP1P/2r3K1 w - -,g1g2
8/4bp2/pk2p1p1/n1p1P1P1/2P2P2/2PB4/P1KB4/4R2r b - -,h1h2
r1bqkb1r/pp2pppp/2np1n2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,e2e4
2brrbk1/1pq2p1p/2pp1np1/p1n5/2PNPP2/1PN3PP/P1QR1BB1/3R2K1 b - -,e8e7
r2q1rk1/pppnbppp/5n2/8/2BP2b1/2N1BN1P/PP3PP1/R2QK2R b KQ -,g4h5
8/1N6/8/1pB4p/p1b5/P7/1bk3K1/8 b - -,c4d5
8/3B2p1/8/p4P1p/Pr1b1k2/3R3P/4K3/8 b - -,b4b2:h5h4
8/1rb1rpk1/p1b3p1/2p3P1/2PpP1N1/3B1RP1/P5P1/5RK1 b - -,c6d7
r2qkb1r/pb1n1ppp/1p2p3/3nN3/Q2p4/6P1/PP2PPBP/RNB2RK1 w kq -,f1d1
r4rk1/2qnppb1/b1np2pp/ppp5/P3P3/1BPP1NB1/1P3PPP/R2QRNK1 b - -,b5b4
1r3rk1/p4ppp/4b3/q2B4/2Q5/4P3/PP4PP/1K1R3R b - -,f8c8
r3k2r/pp2qpp1/2p2n1p/3pnP2/2P5/1P2P2P/P1QNBP2/R3K2R w KQkq -,c4d5
1r1q1rk1/2p3pp/p7/5p2/2Q2b2/8/PPP2PPP/RN2R1K1 b - -,g8h8
r1bq1rk1/p3npbp/1pn1p1p1/2pp4/2P5/P2P1NP1/1PQBPPBP/RN3RK1 w - d6,b1c3
2r3k1/1p3p1p/1pn3p1/8/1P1b1N2/P5P1/2r2PBP/3R1RK1 b - -,d4b2
2r5/3kB3/p5p1/1p1p1pPb/3P1K2/2P1R3/P7/8 w - -,e7c5
r2r3k/pp1bq1bp/1nn1ppp1/8/P2PNP2/3N2P1/1P3BBP/2RQ1RK1 w - -,e4c5
7Q/2ppk3/1p1b2p1/3P1p2/3P4/P7/1P2q1P1/1K5R b - -,d6a3
8/6b1/r5P1/7P/5KB1/2kp4/8/8 w - -,f4g5
8/p4n2/1p3k2/1Pp3p1/P1P1B1Pp/7P/4K3/8 b - -,f6e5:f7e5
r3rk2/p4pb1/2pp2pp/3b4/8/1NP2N1P/PP4P1/4RRK1 w - -,e1e8
r7/B7/1p2kpR1/3np3/8/KP6/P7/8 w - -,g6g7
3r1k2/2p2ppp/p1p1b3/8/4P3/1P3PP1/PNR4P/6K1 b - -,f8e7
r2q1rk1/1p2bppp/2npbn2/4p3/p3P3/P1N1B3/1PPQBPPP/R1NR2K1 b - -,d8a5
r1bqkb1r/2pp1pp1/p1n3np/1p6/3NP2P/1BN5/PPP2PP1/R1BQK2R b KQkq -,c6d4
1r1q1rk1/pp3ppp/3p4/3B4/3bP3/5Q2/P4PPP/1R3RK1 w - -,f1d1
2q1r1k1/pb1n1ppp/1p1b1n2/3pp3/3P4/1P1N2P1/PB1NPPBP/3Q1RK1 w - -,d4e5
r2r2k1/p4ppp/1np1p3/q7/P1b1P3/2P1BBP1/2Q2P1P/R2R2K1 b - a3,e6e5
2r2rk1/1p1nppbp/3p2p1/3P1P2/1qP5/1P3B2/2QB2PP/1R3R1K b - -,b4b6
2r1k2r/p3bppp/1p2pn2/1N1p4/2P5/1P3KP1/P3PP1P/R1B2R2 b k -,a7a6
3b2k1/p4pp1/1pp4p/4n2N/8/P1P1B3/1P2BPPP/1b4K1 w - -,e3d4
2r1r1k1/1p3ppp/p2b1n2/2PP1q2/P3p3/4B1P1/1P1QB2P/2RR3K b - -,d6g3
8/8/3p1Rk1/2pN2p1/8/4P1PP/7K/3r4 b - -,g6g7
r1bqk2r/pppnbpp1/3p1n1p/4p3/2BPP3/2N1BN2/PPP2PPP/R2Q1RK1 b kq -,c7c6
8/4Q3/6p1/8/1p4k1/1P6/Pq4K1/8 w - -,g2g1
2r1r2k/p6p/1p1Bbnp1/n1P1N3/2P5/P2B4/4PP1P/1R2K1R1 w - -,c5b6
8/4k2p/1p2p1p1/2p5/P1P1K1P1/2b4P/8/2N5 w - -,c1e2
r3r1k1/pp3pb1/6p1/2p1n2p/5B2/P1P3QP/bqB3PN/2R1R1K1 w - -,c2a4
r3nr1b/pb1qkB1p/7N/Bpp2RP1/3pPQ2/P2P4/1PP5/R5K1 w - -,f5e5
3R4/pp3b1p/5k2/6p1/2P2p2/PP1N4/5P1r/1K6 w - -,d8d7
6n1/6k1/R7/1rppN1P1/5P1p/8/1P6/6K1 b - -,g8e7
2kr1b1r/Bb5p/8/1p1pnppN/7q/3P4/PP3QPP/R3KB1R b KQ -,f8b4
3k4/r4K1R/6P1/8/8/8/8/8 w - -,f7f8
1r5k/2n5/2Bp1b1p/2pP2p1/1p3P2/6P1/3BK2P/1R6 b - -,c7b5
rn3rk1/1p3ppp/4p3/3pP3/p4PP1/3PB2R/q6P/1R1Q2K1 w - -,e3d4
1R6/7r/4p1k1/3pP1P1/2p2RP1/2P2P2/6K1/7r b - -,g6g5
5rk1/5ppp/pq2pb2/1pnp4/1PrN1P2/P3P3/5QPP/R4RK1 w - -,b4c5
8/8/1R2P3/7k/2K2p2/1p3r2/8/8 b - -,f3e3
6k1/2pb4/1p1p4/3Pp1p1/1QP1P3/3N1P2/3Bn2K/q7 w - -,d3e1
r2qkb1r/pp3p1p/1np1p1N1/5p2/3P1P2/1BP5/PP4PP/R1BQK2R b KQkq -,h7g6
8/6r1/1p4Bp/2b1k3/P2pp3/6PP/2K5/3R4 w - -,g6e8
4rrk1/ppqbnpbn/7p/2p1p3/2PpP1NN/PP1P2P1/4B1KP/R1BQR3 b - -,c7c6
1rr1bbk1/1q3ppp/n3p3/1p1pP1BP/1P4Qn/1RNB4/2P2PP1/4R1K1 w - -,g5h4
8/7k/6p1/7p/1B6/P3p1P1/3nB2P/2rN2K1 w - -,g1g2
r1r3k1/3n1pp1/1nbqp2p/1pNp4/1P1P1P2/2PB2P1/2NQ3P/R4RK1 b - -,b6c4
8/5p2/1r3k1p/7P/2R1KPP1/8/8/8 b - -,b6a6
r2r2k1/1b3ppp/4pn2/p1p1N3/P7/1P6/2P1BPPP/R2R2K1 b - -,d8d5
8/1r3k2/p2p1npp/n1pP1p2/1qP1pP2/4P1PP/P1RNBK2/2Q5 b - -,g6g5
5r2/pk5r/7p/2pp1P2/4p1P1/4b2P/PPK1N2R/3R4 w - -,e2f4
8/3r1k1p/pnq2pp1/1p6/7P/1P4P1/1B1R1P1K/3Q4 w - -,b2d4
r1b1k2r/5ppp/3bp3/qPnp4/n7/4PN2/P1QNBPPP/R1B1K2R w KQkq -,c1b2
3q1r2/pb3p1k/1p1bp1p1/3pN3/P2P1P2/1P3Q2/2PN2PP/2R3K1 b - -,h7g7
1r6/1p2k1r1/3Np2p/1PPbPpp1/3K1P1P/1P6/8/R5R1 b - -,g5g4
4r1k1/p4rb1/4p2p/1p2P3/4PPQ1/1bp2R2/q5P1/2R3K1 b - -,c3c2
8/8/2pk2pp/p1N5/P1nK3P/5P2/8/8 b - -,c4d2
5k2/5q1P/p1B1p1Q1/1p4p1/3b4/6P1/P4P2/6K1 w - -,g6h6
r1b2rk1/pp1nppbp/2nq2p1/P1p5/2N5/1BP2N2/1P1P1PPP/R1BQ1RK1 b - -,d6c7
3r2k1/p7/1pr3pp/2b2pN1/2Pp4/P2P2P1/1B2RP1P/R5K1 w - -,g5e6
r7/5p1k/4p1p1/1p2P2p/1p1p1Pq1/rP1P1R2/P1RQ2P1/6K1 b - -,g4h4
5rk1/pb2q1pp/1p2pb2/3p4/3Pn1N1/PP1BQ3/2P3PP/1N3R1K b - -,f6g5
2r2k2/4Rpp1/5P1p/8/2r1B3/6B1/1n3PPP/4R1K1 b - -,g7f6
1r3rk1/3P1pp1/4pn2/7p/1p2BP2/5R1P/q1P1Q1P1/3R3K w - -,f3d3
3rk2r/1pqnbppp/p3p3/2p5/Q2P4/2P1B3/PP2BPPP/2KR3R w k -,d4c5
1r3rk1/1pb2pp1/p6p/3B4/3R4/1P5q/P1Q2P2/3R2K1 w - -,c2c7
5k2/pN4pp/1r2b3/5p2/1n2B3/8/1P3PPP/1K1R4 w - f6,e4f3
r3r1k1/1pp2p1p/3p2p1/3P4/4P3/pP4PP/PqQ1RBB1/6K1 b - -,c7c5
r2q1rk1/3nb3/1p1p2p1/pN1Pp2n/2P2p2/PP2BPPp/2BQ3P/2R1R2K w - -,g3f4
6k1/Q3bp1p/2n1p1p1/1q2P3/1np2P1P/1p4P1/1P3B2/3R2K1 w - -,a7d7
8/5k2/r7/Pp3KP1/8/8/R7/8 w - -,f5e5:a2a3
5rk1/p6p/1p1q1bp1/2p1p3/bPP1Pp2/P2P1B1P/5PQ1/1R1R2K1 w - -,d1d2
r3r3/4qpk1/4p1pp/P2pP3/1Pb4P/6P1/3Q1P2/2R1RBK1 b - -,c4f1
br2rbk1/2qp1pp1/2n2n1p/p1p1p3/2P1P3/PPBN2P1/2QN1PBP/1R2R1K1 w - -,h2h3
4r1k1/pp1n4/7p/3p1qp1/1B1Pp3/1P3PQ1/P6P/4R2K w - -,h1g1
4r1k1/1p2b1p1/4ppp1/3PPb2/p1p2P2/P3B1KQ/1q4P1/2R4R w - -,h3h7
r4rk1/p1p3pp/2Rb4/3b1p2/N7/3P4/PPP1N1PP/R6K w - -,c6a6
r2b1rk1/1p1q1pp1/2p1bnnp/P3p3/B1PpP3/P2P1NNP/3BQPP1/RR4K1 w - -,e2e1
r1b2rk1/1pqnbppp/p2ppn2/8/2PNP3/1PN3P1/P4PBP/R1BQ1RK1 w - -,c1b2
r3qrk1/1ppb2bn/n2p2pp/p2Ppp2/2P1P2B/PPN5/3NBPPP/R2Q1RK1 w - f6,f2f3
r1r1k3/p1Rbb3/4ppp1/3p3p/3P1B1P/1N6/PP3PP1/2R3K1 w - -,b3c5
8/1p6/1k6/2p3Qp/5P1P/8/PK2q3/8 w - -,b2b1
r2r2k1/p1q1bp1p/2p3p1/2P1pb2/1P4n1/PQN1B3/4BPPP/R4RK1 w - -,e2c4
8/PR6/7k/r5p1/2K4p/5P2/1P4bP/8 w - -,b2b4
8/p6p/1p4k1/5bp1/8/P3B1PP/5P2/4K3 w - -,h3h4
r1bq1rk1/ppp2ppp/2np1n2/1B2p3/1b2P3/P1N2N2/1PPP1PPP/R1BQR1K1 b - -,b4c3
r1bq1rk1/2p1ppbp/p1np1np1/3N4/1p1PP3/3BBN1P/PPPQ1PP1/2KR3R b - -,a8b8
8/p4kp1/1p6/6B1/1P6/P4pP1/2b5/6K1 b - -,b6b5
8/1r6/3n1p2/1pp1k1pP/p3P1P1/2PBK3/1P6/5R2 w - -,f1a1
8/7p/5k2/4b1pP/8/p1B5/P5K1/8 w - -,c3b4
r7/4n1k1/p2p2p1/1pp3N1/4P2R/5P2/bP4P1/2KR4 w - -,d1d6
r3k2r/pp1q1ppp/2npbb2/4p3/4P3/2N3P1/PPP1NPBP/R2Q1RK1 w kq -,c3d5
r3kb1r/pp1qpp1p/2np1np1/2p5/2PPP3/5N2/PP3PPP/RNBQR1K1 b kq d3,c5d4
4Rr1k/6p1/6Qp/7P/7q/3P1P2/2P2KP1/8 w - -,f2e2
5rbr/p5p1/1pkNp3/2p1PP2/2Pp1RP1/3P4/P5K1/1R6 b - -,g7g6
r1b1r1k1/1pq2ppp/3p1n2/2nPp3/ppP1P3/1N2Q1PP/PPN2PB1/R4RK1 w - -,b3c5
r1b1kb1r/ppqn1ppp/2p1pn2/8/3PN3/3B1N2/PPP1QPPP/R1B1K2R w KQkq -,e1g1
R7/2pr4/1k6/2b5/4K3/1P6/8/8 w - -,a8b8
r1R5/p3Npn1/1p3k1p/6p1/3R2PP/6P1/bP6/6K1 b - -,a8c8
8/5k2/pp3p1p/3p2pP/1P1N1PP1/P5K1/8/3b4 w - -,d4f5
1r3rk1/3qbppp/p1bp1n2/1p6/3NP3/4BP2/PP2B1PP/2RQ1RK1 b - -,c6b7
4b1k1/5pp1/4pq1p/1p6/3b2B1/PQ2p2P/1P3PP1/2rR1NK1 b - -,f6f2
3b1r2/1pp5/4k2p/1P3pp1/5P2/4P1BP/5P2/3R1K2 b - -,e6e7
8/8/1p4p1/pP1p1p1p/Pbk2P1P/6P1/2K2B2/8 w - -,f2b6
8/3b3r/3P1k2/4R3/4pB2/6P1/5P2/6K1 b - -,d7g4
r1b1kb1r/2q2ppp/p1p2n2/1p2p3/4P3/3BN3/PPP2PPP/R1BQ1RK1 w kq -,a2a4
2q1n3/4Q1p1/1p1Bpp2/4Pk1p/PP6/5PK1/6PP/8 w - -,b4b5
8/3nN3/p7/P4p2/1P1K1pkp/8/7P/8 w - -,d4d3
2b2rk1/1pp1qppp/r2P1n2/3Pp1B1/4P3/PQ3N2/5PPP/R4RK1 b - -,e7d6
1B6/4b3/7p/7n/3Nk3/4p3/2P1K3/8 b - -,e4d4
6B1/7R/2nk4/1K3n2/8/r7/7P/8 b - -,a3a8
6k1/1p2qbp1/2n3P1/p1pRp3/2P1P3/P4P2/1P5Q/2K5 b - -,f7g6
r1bqr1k1/1pp1bppp/2np1n2/p3p3/2P5/PP2PN1P/1BQP1PP1/RN2KB1R w KQ -,b1c3
1rb2rk1/2q1pp1p/pp1p2p1/2pPb2n/P1B1P3/2NQ3P/1PP2PPB/R3R1K1 b - -,b8a8
r4k2/5pp1/rB2b3/P3P2p/2pKP3/7P/6P1/R1R5 b - -,f8e7
r2qkb1r/pp1n1ppp/2p1b3/3pP3/8/2PB1NQ1/PPP3PP/R1B1K2R b KQkq -,d7c5
4k3/3b4/p5p1/1pQ3P1/3PB3/1P6/7K/q7 b - -,a1b2
8/6p1/4pk1p/7P/r2N1P2/3BK3/8/8 w - -,d3g6
6k1/5p2/2r3p1/2p4p/Pr5P/1PQ3P1/2PK1P2/8 w - -,d2c1
8/6k1/pp1N3p/2nB1R2/2p4P/P1bn2B1/6PK/3r4 b - -,c3d4
r1bqkb1r/pp3p1p/2nppnp1/8/2PNPP2/2N5/PP4PP/R1BQKB1R w KQkq -,c1e3
r4rk1/1pp1qp1p/1n2b1p1/p3b3/4PP2/2N3P1/PP2Q1BP/R1BR2K1 b - f3,e5c3
3r3b/3k1p2/3Prp1p/4pb1N/2R5/6P1/1PP1N2P/1K1R4 w - -,g3g4
5bk1/p4b2/5p1p/P2p1P2/q3p1P1/3P1p2/1Q2BP1P/2B3K1 w - -,e2f1
2q1kb1r/5p2/3pnp2/Q2Np2p/4P3/4B3/5PPP/1R4K1 w - -,a5a4
8/4qpk1/1p3np1/p6p/P2rb3/2Q2B1P/1P3PP1/R3N1K1 b - -,e7b4
8/5p1k/q3b3/P1PBp3/4Pb1p/1N6/1P4rP/4Q1K1 w - -,g1g2
8/7p/2k3pP/p4p2/5P2/p3r1P1/2PR4/K7 w - -,d2g2
8/2R5/3Pk1p1/5pBp/3n3P/6P1/3r1PK1/8 b - -,d2d1
r2R2k1/5p1p/1p4p1/p7/1P2r3/P3P3/5PPP/3R2K1 b - -,a8d8
2R3k1/p7/5rp1/3p3p/1q1n1P1P/1P1Q3B/P6K/8 b - -,g8g7
1q6/6kp/p2pQ3/4p3/2P1P2P/3P2PK/8/8 w - -,h4h5
1r2r1k1/1ppq1ppp/p1np1b2/8/1PP5/P1NPP1Pb/1BQ2PBP/2R2RK1 w - -,d3d4
6r1/PR6/8/k6P/2pp1P2/8/3K4/8 w - -,b7b8
2rqkb2/1p2n1p1/p1B1pp2/3p4/3P2PB/2NQ4/PPP2P2/R3K3 b Q -,c8c6
2bq1r2/r4pbk/2n3p1/1pppPpPp/p4B1P/2PP1N2/PP1Q1P1N/R3R1K1 w - -,d3d4
r2q1rk1/1p2nppp/p2b1nb1/2pP2B1/P7/2N2N1P/1P2BPP1/R2Q1RK1 w - -,g5f6
6k1/5p1p/1R6/pp6/8/1P2P1KP/r4PP1/8 b - -,b5b4
8/8/5ppp/pr6/1k1p1P2/p2K2P1/5P1P/2R5 b - -,a3a2
r1b2r1k/3q1pp1/1p3b2/pP1p3N/8/8/2Qn1PPP/2R1RBK1 w - -,c2d2
4rnk1/1p3ppp/5N2/p3rPP1/P4RQ1/1q2P3/7P/4R1K1 b - -,g7f6
r3kb1r/1p1b1ppp/1qn1p3/p1ppP3/3P4/PPPBPN2/6PP/RN1Q1RK1 b kq -,f8e7
