8/p2r2k1/1bR2p2/8/2B1PPK1/1P6/8/8 w - -,g4f5
2r1r1k1/1p2bpp1/4p1p1/p3B3/P1PNn3/1P6/5PPP/3R1RK1 w - -,d4b5
2r2rk1/pp2ppb1/nqp1b1pp/8/3PP3/P4NP1/1B1QRPBP/2R3K1 b - -,a6c7
rn3rk1/2p1qpb1/1p1Pp1pp/p7/P2PN3/5N2/1PP2PPP/R2QR1K1 b - -,c7d6
8/3k4/3p4/2p1p2p/2P1Pp1P/1PR2P1b/1r2N3/4K3 b - -,d7c6
rnbqk1nr/1pp2pbp/p2p2p1/4P3/P3P3/2N1B3/1PP2PPP/R2QKBNR b KQkq -,g7e5
2r2rk1/pppbqpp1/1n2pn1p/4N3/3PN3/3BP3/PP3PPP/RQ3RK1 b - -,b6d5
r2q1rk1/1b1nbppp/pp1p1n2/2pP4/4P3/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,a3a4
8/8/n1k5/7R/P2K4/8/8/8 w - -,h5h6
5r1b/3n3k/q6p/2nPpN2/1pQ5/1P4P1/1B1N3P/5R1K b - -,a6g6
4r1k1/b1q2ppp/2p3n1/1p2n3/p3P1P1/P1Q3BP/1PP3B1/3R1R1K b - -,c7e7
r3kb1r/1bqp1ppp/p1n1p3/8/Pn1NP3/2N1BB2/1P3PPP/R2Q1RK1 w kq -,a1c1
3b2k1/p2q1b2/5p2/1p4p1/2rP2P1/2P1RQB1/P4R2/6K1 w - -,f3e4
4k3/6R1/R4p1r/8/2P3p1/1P6/P4PK1/3r4 w - -,a6a8
2n1r1k1/5pbp/1pp1b1p1/4p1P1/N1P1P2n/8/PP1BBP2/2KR2N1 w - -,d2e3
2rb1r1k/R1p2B1q/1p1pPn2/1P1PpQ1p/2P2p2/R4PpP/6P1/4B2K w - -,f7g6
8/1bpp1k2/1p6/p1nPqp1p/2PN2p1/2N1P3/PP1Q1KB1/6R1 b - -,h5h4
2k5/2p5/1p4Q1/p1b5/P1P3p1/6B1/3qrPP1/2R2K2 w - -,g6g4
4r1k1/B2r2bp/2N2np1/4pp2/8/6P1/P3PPKP/1RR5 b - -,d7d2
r3k2r/ppq2ppp/5n2/2bPp3/3n2b1/PP1B1N2/1BPN1PPP/R2Q1RK1 b kq -,f6d5
5rk1/1r3pbp/q5p1/1p1P4/8/4P1P1/5QBP/5RK1 w - -,f2e2
2r2k2/8/3r2p1/bP2pB2/2P2n2/5PN1/6P1/3RK2R w - -,e1f2
qr4k1/Q3ppbp/6p1/2Bp1b2/8/4PN2/P4PPP/3R2K1 b - -,a8a7
rn1qk2r/pb1pbppp/4pn2/1Bp5/3PP3/4BP2/PPP3PP/RN1QK1NR w KQkq c6,d4c5
r4rk1/pp3ppp/1qnpb1n1/1Bp1p1B1/4P3/P1PP2N1/1P3PPP/R2QR1K1 w - -,b5c6
r2bnrk1/1p1b1ppp/3p4/q1nNp3/p1P1P3/P1N2PP1/1PB2B1P/R2Q1RK1 w - -,f3f4
5r1k/7p/5p2/p3r3/P3P3/1P1B1R2/2P3PP/6K1 w - -,g1f2
r2q1rk1/pbpn1pbp/1p1ppnp1/8/2PPP3/2N2NP1/PPQ2PBP/R1B2RK1 w - -,c1e3
rr3k2/pp1b3p/2p3p1/PP1pPp2/3P4/4PR2/1R2B1PP/6K1 b - -,b8c8
r1bq1rk1/pp1n1pbp/2p1pnp1/3p4/1PPP4/2N1PN2/PB2BPPP/R2Q1RK1 b - -,f8e8
3r1rk1/1p2bpp1/4p2p/q1n4P/1PP3P1/p2NBP2/P3Q3/1K1R3R b - -,c5a4
8/1p4p1/p2n1p2/3K1k1p/5P2/6P1/PP1N3P/8 b - -,d6c8
8/1p6/p1p1k1p1/2Pn3n/P1BB2KP/8/2P5/8 b - -,e6f7
rnb2rk1/pp4p1/4p2p/2bp2N1/5P2/2N3P1/PPP1B2P/R3K2R w KQ -,g5f3
2r3k1/1prn1p1p/p2p2p1/P2Pq3/1RP1p3/1N6/2P1QPPP/1R4K1 w - -,b3d2
r4r2/pp3pkp/2bp1pp1/4q3/2PQ1PB1/8/PP4PP/2RR2K1 b - f3,e5c5
8/8/3kp3/R7/6K1/4N3/5r2/8 w - -,e3c4
8/1p6/4k3/p4p1P/P6R/2q3P1/1N3PK1/8 b - -,c3b2
6k1/pQ1b1pp1/7p/4P3/1p1q4/3P2PP/5PB1/6K1 b - -,d7e6
5rk1/4npb1/p1p1p1pp/p2P4/2P1B3/4BN2/1r3PPP/R5K1 w - -,d5d6
8/1p3k2/p1b2rp1/4p2p/2P3nP/1P1B2B1/PK2R1P1/8 w - -,b3b4
6q1/p6R/Pbpk2r1/2p1p3/1pP1Pp2/1P1P4/2K2BP1/7Q w - -,h7h6
8/8/2p5/1pPbkp2/1P2p3/4P1P1/3R1K2/r2B4 w - -,d1h5
8/2n5/5p2/4k3/PN4Kp/7P/8/8 b - -,f6f5
r2qr1k1/4bp1p/2p1n1p1/1p1p1P2/p7/3P1QNP/PPPB1P2/2K3RR b - -,e6f8
rn2kb1r/pp3ppp/2q1pn2/1Np5/P7/1P3N2/1BPP1PPP/R2Q1RK1 b kq a3,b8d7
4r1k1/6pp/1p2prq1/p2pRn2/P1pP4/5N1P/1PP1QPP1/3R2K1 b - -,f5d6
6k1/8/1p2p1p1/4bp2/2Q1q3/2P1N1PP/1P5K/8 b - -,e5g3
4rrk1/p1R2pp1/bpR2qnp/5N2/4B3/P6P/1P1Q1PP1/6K1 b - -,e8e6
6k1/pp3p2/1np1n1pQ/5P1p/3qP3/PBN4P/1P4P1/7K b - -,g6f5
r4rk1/1bq1bppp/ppnppn2/8/2P2B2/2N2NPP/PP2PPB1/2RQ1RK1 w - -,c3d5
r1b1nrk1/pp1n1pbp/1qpp2p1/8/2PNP3/2N3PP/PP3PB1/R1BQR1K1 w - -,d4b3
8/7p/1pk2K2/6RP/PP6/8/8/r7 b - -,a1a4
8/pr3p1k/5Q2/3Pn2p/2p4P/P2q2PK/8/5R2 w - -,f1f5
rr1qb1k1/1pn4p/2p1pb2/p1PpNpp1/3P1P2/PP1NPBP1/2Q4P/RR4K1 w - -,f3e2
8/5rk1/R5P1/8/8/p4K2/Pb6/8 w - -,g6f7
3r2k1/p4pp1/1b5p/3n4/4Q3/4P3/P1N2PPq/2R1BK2 b - -,h2h1
rn3rk1/ppq1ppbp/2p2np1/8/2PP2b1/1QN1BN2/PP2BPPP/R2R2K1 b - -,b8d7
6k1/1prbbpp1/p4n1p/8/3N3B/4P3/3N1PPP/1R4K1 w - -,h4g3
4rrk1/ppq2bp1/2nbp2p/3p4/3Pn3/2BQ1NN1/PP3PPP/1BR2RK1 w - -,g3e4
r3k2r/pp3ppp/5n2/1Pb5/3p4/5P2/P2B1PPP/1R2KB1R w Kkq -,f1c4
2kr1b1r/pp2qpp1/2n1b2p/3p4/2pPn3/1PN1BNPP/P1P2PB1/R3QK1R b - -,e4c3
8/1q3pk1/3R2p1/2p4p/1pP1rP2/1Pb2N2/2Q3PP/7K b - -,b7e7
r5k1/q1b2pp1/2p1n1p1/1pPp3n/1P1P3P/5PP1/3QNBK1/1B3R2 w - -,f1c1
rnbqk1nr/ppppp1b1/6pp/5pB1/3P4/2P5/PP1NPPPP/R2QKBNR w KQkq -,g5e3
1r6/7p/3k4/p2pppp1/1P6/P1K1P2P/2R2PP1/8 b - -,a5b4
8/3nN2k/6pp/P2p4/2p1p3/1P2P1P1/5P1P/6K1 w - -,e7d5
8/5p1p/2k1p1p1/3p4/Np1P4/1P2PP2/n2K2PP/8 w - -,d2c2
r1bqk2r/pp3p1p/2n1pnp1/3p2P1/2pP4/2P1P3/PPB2PP1/RN1QK1NR b KQkq -,f6h5
rn1qk2r/pbp1npbp/1p1pp1p1/6B1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 b kq -,h7h6
8/2n5/1p3k1p/2p5/4K1BP/1P6/P7/8 w - -,g4c8:g4d7
8/4qrk1/2p1bnpp/p3p3/1p2Pn2/1PP1NP2/P2R2PP/3R2QK w - -,c3c4
r1bk1b1r/ppp2pp1/2p3np/4P3/8/1PN2N1P/PBP2PP1/R4RK1 b - -,d8e8
4r1k1/3n1pp1/ppr1p2p/2b5/2P1NP2/1P6/P5PP/3Q1RK1 w - -,e4c5
8/3r2p1/1pp2p2/2k4r/2P2R1P/4PK2/4P3/6R1 w - -,g1c1
r4rk1/2q3bp/p1b1p3/3p1p2/1p6/1P1NQ3/P1P1B1PP/1K1R2R1 w - -,e3e6
5R2/7k/8/r7/5PK1/8/8/8 w - -,f8f5
2kr3r/1pp3p1/p1npqp2/5b1p/2P2P2/1PP1B2P/PK1QB1P1/3R3R w - -,h1e1
5bk1/R4p2/6pp/8/1pr5/3R2P1/5PKP/8 b - -,c4c6
1R6/8/8/8/5K2/p5P1/r1k5/8 w - -,b8a8
8/8/5R2/pK4pk/1r6/8/8/8 w - -,b5a5
4r3/3n2k1/5qp1/p2p2rp/P3p3/1P5P/2NQRPP1/3R2K1 w - -,h3h4
8/5p2/5k2/p1R3p1/5r1p/4K2P/5P2/8 w - -,c5a5
8/p2q2pk/4pr2/3p3p/3P4/1P1Q4/P1P5/1K2R3 b - -,g7g6
r3k2r/1bq1bppp/p2ppn2/1p6/4P1P1/PNN1BP2/1PP1Q2P/2KR3R b kq -,a8c8
2r1r1k1/p2qppbp/1p1p1np1/4n3/2PNP3/1PN1B1PP/P2Q1PK1/2R2R2 w - -,f1d1
2rq1rk1/pb1nppbp/1pp2np1/8/2PPN3/1P3NP1/PBQ2PBP/R4RK1 b - -,f6e4
5rk1/p3ppbp/1pr3p1/3q4/2nP4/P2QBN1P/1PR2PP1/5RK1 w - -,f1c1
3r4/4kpp1/b3p3/6pP/4B1P1/5P2/1N1b1RK1/8 b - -,e7f6
rqr2bk1/3b1ppp/pn1p1n2/1p1Pp3/4P3/1PN1B1PP/P1QN1PB1/R1R3K1 w - -,a2a3
3R4/pp6/4k3/8/8/1P2K1PP/P2p4/5r2 b - -,d2d1q
r1bqr1k1/ppp2pbp/3p1np1/4n3/2PNP3/2N1BP2/PP1QB1PP/R4RK1 b - -,a7a6
rn1q1rk1/bbp2ppp/p2ppn2/8/NPP5/5NP1/P3PPBP/R1BQ1RK1 w - -,d1b3
r1bq1rk1/1p2bppp/p1nppn2/2p5/P1B1P3/2NP1N1P/1PP2PP1/R1BQ1RK1 w - -,c1f4
6k1/3r1bp1/5p2/1P1BpP1q/2P1P2P/4Q3/6R1/4R1K1 w - -,b5b6
r1b2r2/ppqn1pk1/2p3p1/3pP2p/7P/2P1PN2/PPQ1BPP1/R3K2R b KQ -,d7e5
rnbq1rk1/p3bppp/2p2n2/1p6/2Q5/2N2NP1/PP2PPBP/R1B2RK1 w - b6,c4b3
rn3rk1/pp2bpp1/1qp2n1p/5b2/4P3/2N2NP1/PPQ2PBP/R1B2RK1 b - -,f5h7
6b1/1k1r4/2R4p/1P4b1/1P2P3/2KB1R2/8/8 b - -,d7e7
1q1kn3/p5b1/3p4/1npPpQP1/2P1P2r/3B4/P5K1/R1B5 w - -,a1b1
5rk1/3r2pp/p1q1p3/2bnPp2/1pp2P2/2P2QP1/PP4NP/R1B2R1K w - -,c1e3
rn1q1k2/1p3p1p/pn4p1/8/8/1QN2N2/PP3PPP/4R1K1 b - -,b8d7
8/7K/pr4p1/7p/7P/3k2P1/8/R7 w - -,h7h6
r4rk1/Bp2p2p/3pPbp1/1P3p1q/2P2P2/7P/P2Q2P1/2R2RK1 w - -,a7e3
rn1q1rk1/pp3ppp/2pb4/3p4/2PP2b1/2PB1N2/P4PPP/R1BQ1RK1 w - -,a1b1:h2h3
8/8/7p/2p5/bk3K2/6P1/4B3/8 b - -,a4b5
1r3rk1/2qNb1p1/p2p3p/PppPpp2/4P2n/1B4NP/1PP1QPPK/R3R3 b - -,c7d7
2kr3r/pppqnpp1/2n1bb2/1B1p3p/3P4/P1N1BQ1P/1PP1NPP1/2KR3R b - -,a7a6
5rk1/Q1p2pp1/1p5p/8/4q3/6P1/PPP4P/1K1R4 b - -,e4e2
8/1b5p/1N3k2/2b1p1p1/3rPp2/1R5P/5PPK/1B6 b - -,d4d1
5rk1/pp1r1qp1/1bn1b2p/4Pp2/1PBp1B1P/P2Q1N2/5PP1/2R1R1K1 w - -,c4e6
8/3kp2p/6p1/3Kp3/1P1nPP2/8/6PP/8 w - -,f4e5
r1bq1rk1/2pnbppp/pp1p1n2/4p3/P1BPP3/1PN2N2/2P2PPP/R1BQR1K1 b - -,c8b7
Q1b1q1k1/1pp2rb1/3p3p/1P1Np3/2P5/3P1BPp/1B3P2/5R1K b - -,f7f3
1r4k1/p1rn1ppp/3bp1n1/1p1p4/1P1P4/2PB1P2/P2BN1PP/R3R1K1 w - -,a2a4
r3kb1r/2p1np2/p1pp2p1/4Pq1p/5P2/2NQ3P/PP4P1/R1B2RK1 w kq -,c3e4
6k1/5p2/6pp/8/1NBb1P2/5b2/3K4/8 b - -,g8g7
1rb2rk1/pp3p1p/3pn1pb/q3p1P1/3pPP2/3P1B1P/PPPNNQ2/R3K2R b KQ -,e6g5
8/8/4k3/4n2p/p1p2p1P/B1P2P2/4K3/8 w - -,a3c1
r2r1bk1/pbq2ppp/1p2pn2/3pNn1P/3P1P2/1PPB2P1/PB1NQ2K/2R1R3 b - -,f5d6
r2r2k1/p2q1pp1/2pP4/1p2p3/4Pnn1/1BN1N2b/PP1Q3P/2KR2R1 w - -,e3f5
rnbq1r1k/pp4pp/2p2n2/2Pp1p2/3Pp3/BBP1P3/P3NPPP/R2Q1RK1 w - -,c3c4
r7/6k1/1B4n1/4pp1R/2Pp4/3P1PP1/4PK2/8 b - -,g7f6
r3r1k1/pb1nq1bp/1ppp1pp1/4n3/1PPNPP2/2N1B1PP/P3Q1B1/3RR1K1 b - f3,e5f7
rnbqkbnr/pp1p1ppp/4p3/8/2PN4/8/PP2PPPP/RNBQKB1R b KQkq -,g8f6:a7a6
r4rk1/4qppn/1R2p2p/2p1P3/PpQ2B1P/6P1/1P3PK1/R7 b - -,f8d8
5rk1/pp2q1bp/2npp1p1/2p5/4P3/2NPB1P1/PPP3QP/5RK1 b - -,g7d4
r2qk1nr/1ppBn1b1/p2p2pp/3Ppp2/2P1P3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,d8d7
2kq1r1r/pb2b1p1/1pn1p2p/3pPp1P/1PpP4/P1P1QNP1/5P1N/1R2RBK1 w - -,f1e2
1r1qkbr1/nb2np2/2p1p1pp/NpPpP3/1P1P1PP1/2NB4/2Q4P/R1B2R1K b - -,d8d7
3r4/7k/2n1P2p/6p1/1pq2r2/3pQ3/1P1B2PP/3RR2K b - -,f4f8
1r2k2r/p2nppbp/5np1/qB1p4/1p1P1P2/3QB1NP/PPP2P2/1K1R3R w k -,b5d7
r2qk2r/1p1nbppp/2p1p1b1/p2pPn2/P2P1P2/1NP2N2/1P2BBPP/R2QK2R b KQkq -,h7h5
r1b3k1/pp4pp/2pb4/8/3Pp2q/2N1Br2/PPQ2P1P/2KR3R w - -,c2e4
r3r1k1/pQ2ppbp/6p1/P5B1/3Pq3/5N2/4nPPP/1R2RK2 b - -,e4b7
r6r/1b1nkp2/p1p2npp/1p2p3/1P2P3/P1N1bP1P/B1P3P1/2KR1N1R w - -,f1e3
rnbqkb1r/1pp1pp1p/p2p1np1/8/3PP2P/2N1B3/PPP2PP1/R2QKBNR b KQkq h3,b7b5
2r5/5pk1/3p1np1/4p2p/7P/q1PPQBP1/5P2/2R3K1 w - -,e3d2
6B1/7p/3k1pp1/p7/P6P/1P3KP1/1r3P2/8 b - -,h7h6
8/pp1nk3/3p1b2/1q1PpQ2/8/2P5/P1P2P2/2KR4 w - -,d1h1
8/p4k1p/1p2q2P/4Qpp1/2P5/2P5/P4PP1/6K1 w - -,e5g7
2rr2k1/pb1n1pp1/1p2p2p/1B6/2PP4/6B1/P3RPPP/2R3K1 w - -,e2c2
r3kb1r/1bqn1ppp/p3p3/3pP3/3N1PP1/p2PBQN1/1P5P/R4RK1 w kq -,b2a3
r5k1/pp1q1pbp/6p1/3P4/1Q6/7P/PP3PP1/R1B3K1 w - -,d5d6
5rk1/pb3pp1/1pp2n1p/4q3/2B5/4P1Q1/P4PPP/R4RK1 b - -,e5e7
2r1rbk1/2qn1p1p/p3p1p1/1p1pP3/5P1P/1PP2N2/P3QBP1/2R2R1K b - -,d7c5
rnbq1rk1/ppb2ppp/4pn2/2Pp4/1P6/P1N1P1N1/5PPP/R1BQKB1R w KQ -,f1e2
r1b2r1k/1pP1n1b1/p4n2/P1N5/1PB1Ppp1/2N4P/6P1/3R1RK1 w - -,f1f4
rn1q1rk1/pbp2pbp/1p1ppnp1/8/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,d1c2
rn1qrbk1/p2p1p1p/1p4p1/1npPP3/5B2/5NP1/PPQ2PBP/R4RK1 b - -,d7d6
8/1p4pk/4pr1p/pq1p1p2/3PnP2/1P2P2P/P1Q3P1/2R1B1K1 w - -,a2a4
1r1q1rk1/2p1n1pp/3pP3/1p3p2/4bP2/1B2Q3/1PP3PP/R1B2RK1 w - -,c1d2
8/6k1/6p1/6P1/1P4Kp/P4R2/8/7r b - b3,h1h2
6R1/3kb3/4p1p1/1r6/1P1pKPP1/3P4/3B4/8 w - -,g8g7
5Q2/5kpp/5p2/p2qp1n1/1B4P1/4P2P/2r5/R5K1 b - -,f7g6
r3kb1r/pp1q1ppp/2nppn2/2p5/3PP3/2P2N2/PP2QPPP/RNB2RK1 b kq d3,c5d4:d6d5
8/2R5/1p1rr1p1/pK1p1p1p/3Pp1k1/P3P1P1/1P3PP1/7R w - -,h1c1
1r6/6k1/R2pp1pp/2b1p3/2P1P1PP/2N2P2/2KQ4/5q2 b - -,f1c4
3rr1k1/pp3pp1/1qB1p2p/2N1Q3/1n1P4/6P1/PP1R1P1P/3R2K1 b - -,b4c6
4r1k1/2r2pp1/3b2qp/p1p5/PnR5/1Q2P3/3N1PPP/2R1B1K1 w - -,b3b1
1rb1k2r/nq2bppp/3Pp3/1P1n4/8/2BB1N2/N4PPP/R3QRK1 b k -,e7d6
r1b2rk1/ppppqppp/2n1pn2/8/1bPP4/2N2NP1/PP1BPP1P/R2QKB1R w KQ -,f1g2
6k1/8/8/2n5/pp2p2P/4K3/P7/2N5 w - -,e3d4
r4rk1/bp2nppp/p3p3/4P3/2PB2n1/P4BP1/2qNQP1P/1R3RK1 b - -,a7d4
2r2rk1/1p2bppp/p4n2/4p3/2q1P3/2NQB2P/PPP3P1/R4RK1 w - -,f1f5
8/5ppk/4p2p/3pP3/3B4/3nPP2/2rn2PP/3R2K1 w - -,d4b6
r1bq1rk1/p4p1p/1p2p1p1/2p5/2BnP3/2NPQP2/PPP2R1P/6RK b - -,g8g7
8/1p6/p2np3/4p1kp/P2rb2R/1P3PP1/5N2/2K5 w - -,f3e4
8/2R3p1/4rkp1/5p2/7P/4K1P1/5P2/8 w - -,e3f4
5r2/3bppk1/1n1p2p1/r1pPn3/4P2p/1PN2PN1/P2KB1PP/R6R w - -,g3f1
8/8/5k2/8/5P1P/R4K2/8/6r1 w - -,a3a6
5N2/8/3p4/2pP2P1/1pP2k1p/1P5K/8/4b3 w - -,g5g6
6R1/p1r5/8/2P2p2/1K6/4PP1k/P7/8 b - -,c7e7
r1q2rk1/p2nbppp/1p2pn2/8/2QN4/1P4P1/PB1NPPbP/2RR2K1 w - -,c4c8
2r2rk1/p1nn1pbp/3p2p1/8/1P1pP3/2N1BNPP/P4P2/3RRK2 w - -,e3d4
8/5p2/4p1p1/4P3/2N5/P4k2/2K5/7q b - -,g6g5
2r4r/1b2qpk1/1pB1pP2/p1p2npQ/2Pp1B2/3P2P1/PP1N1P2/R3R1K1 b - -,e7f6
r1bq1rk1/1p2npbp/p1npp1p1/2p5/4PP2/2NP1NP1/PPP3BP/1RBQ1RK1 w - -,c1e3
r2q1rk1/bpp3pp/p3b3/4pp2/4P3/5N1P/PPQ2PP1/R1B2RK1 b - -,f5e4
8/1R3p2/1p1r1kp1/p6p/P3P2P/1P4P1/4KP2/8 w - -,f2f4
2r1r1k1/p5p1/1pR4p/4P1q1/3P1n2/1N3P2/P2Q2PP/2R3K1 b - -,c8c6
r1b1r1k1/1p1p1ppp/p1nB4/4p2n/2P1P3/1NPB4/P4PPP/R2R2K1 w - -,b3c5
r3k2r/1bqpbppp/p3pn2/1p2P3/3n1P2/2N1B3/PPP1B1PP/R3QRK1 w kq -,e3d4
6k1/2R2pp1/4p3/4P2p/r5P1/3pn3/3N1PB1/6K1 b - -,e3g4
3r1k2/p4r2/1p4Q1/bBp5/8/2P5/Pq4PP/4R1K1 w - -,g6h6
r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/P4N2/1P1NPPPP/R1B1KB1R b KQkq -,b4d2:b4e7:b4d6
8/8/5kb1/R7/8/P2n1KP1/Pr5P/8 w - -,a5a6
8/3r1p1k/3Rp1p1/2p1P2p/K1P2P1P/3P2P1/8/8 b - -,d7b7
r3r1k1/pp6/5q1p/4n1p1/1PP1P3/3R2P1/PR1Q2BP/7K w - -,d3d6
r2qrbk1/1bp2ppp/p2p1n2/1pnPp3/4P3/2P4P/PPB2PPN/R1BQRNK1 b - -,c7c6
6k1/1B3p1p/4p1p1/p7/8/1P2P1PP/P2b1P2/6K1 w - -,g1f1
r1b2rk1/ppb2p2/4pq1Q/2Npn3/3N2p1/2P5/PP3PPP/R1B1R1K1 b - -,e5g6
1r1r2k1/pp2bpp1/7p/4N3/3P2b1/1R4P1/PP3PBP/5RK1 b - -,g4e6
3q1rk1/Qpp2pb1/3p2pp/1Pn1pb2/2PnN3/2NP1PP1/1B2P1BP/5RK1 b - -,f5e4
