8/8/p5p1/6P1/1B2n3/P4k2/2K1p3/8 w - -,c2b3
r1b1r1k1/1p3pb1/p3pnp1/PqN5/3P1PPp/1Q2P2P/6B1/RR2B1K1 b - -,f6d5
r4rk1/ppp1nppp/1bnp2q1/8/4P1b1/N1P1B1P1/PPNQ1PBP/R4RK1 b - -,g6h5
r3r1k1/p5pp/2pqpp2/1p1n2P1/5P1P/2PP4/PP1BQ3/2K2R1R b - -,f6f5
8/1p1Q1pk1/p6p/4p3/8/1P2q1PK/8/8 b - -,e3e4
r2r2k1/pp2q1bp/1np1bpp1/N3p3/1P2P3/3PBN1P/2P2PP1/R3QRK1 w - -,e1c3
3r3k/1p3p1p/5p2/p2n1P1Q/8/1qp3PP/4RPK1/1B6 w - -,b1a2
8/7p/1bk2pp1/p1pp4/2P5/3K3P/PP1N1PP1/8 b - -,d5d4
r1b1r1k1/p4pbp/1qN3p1/3p4/8/6P1/PP2PPBP/2RQ1RK1 b - -,g7b2
r3k2r/1b2qp1p/pp3bp1/8/P3P3/2NB3P/1PPQ2P1/R4RK1 b kq -,e8g8
rn3rk1/p2bppbp/2p2np1/q7/1p1PP3/2NQ1N2/PP1B1PPP/R3KB1R w KQ -,c3d1
2R2bk1/5qpn/p3p1p1/4p3/8/1r2N3/1P2Q1BP/7K b - -,f7d7
5rk1/r1p2qp1/pp1np1np/4p3/2P1P3/1Q3NN1/PP1R1PPP/3R2K1 w - -,c4c5
2rr2k1/1pq2ppp/p3p3/P1p1p3/R2nP3/1P1PB2P/2PQ1PP1/R5K1 b - -,f7f5
5rr1/1p1kn3/p1p1p3/4P2p/1b1PPn2/1B3NB1/PP3KP1/3R1R2 b - -,h5h4
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP1B2/5N2/PP3PPP/RN1QKB1R b KQkq -,c8g4
k5r1/pp6/1qb1p3/2R1Q2P/2B5/P1p2p2/2P2RP1/6K1 w - -,c4f1
1r1rn3/4npkp/p1qp2p1/P1p1p3/2Q1PP1N/2P1N1P1/1P1R3P/3R2K1 b - -,e5f4
8/8/k1K5/8/8/8/1R1N4/3r4 b - -,d1c1
rnbq1rk1/ppp1bppp/1n6/4p3/8/2NPB1P1/PP2PPBP/2RQK1NR b K -,f8e8
8/5pk1/4b1p1/R6p/3bP2P/5BP1/1r2PPK1/8 w - -,a5a4
7k/p4p2/6p1/2n4p/2pr1q2/P3Q3/8/1B2R1K1 w - -,e3c1
rn3rk1/pp2qpp1/2p1p1p1/3n4/PbBP1N2/4P3/1P3PPP/R1BQ1RK1 w - -,f4h3
r1bq1rk1/ppp2pbp/2np1np1/4p3/3PP3/2N1BP2/PPPQN1PP/2KR1B1R b - -,a7a6
8/p1k1r1p1/2p2p1p/1pp2P2/3p2PP/1P1P1R2/P1P3P1/6K1 b - -,c5c4
8/4rppk/Qpqrnn1p/4p3/8/2P1B3/1P2BPPP/R3R1K1 w - -,h2h3
6k1/7p/8/8/P2N2pn/1P6/2PK4/8 b - -,g4g3
4r3/pp1r1kpQ/2p2ppR/4b3/5B2/1PPq4/P5PP/4R2K w - -,g2g3
2r1nr1k/1q2b1pp/p2ppp2/2n1P1B1/1p1N1P2/6Q1/PPP1R1PP/1NKR4 w - -,e5f6
2k1r3/pp4b1/8/1p1p1p1p/3P1PpP/PN4P1/KPP3R1/4R3 b - -,e8e1
r1b1k2r/p1q1ppbp/2p2np1/2pp4/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,d1e1
1k3r1r/pp2ppb1/nq1p2b1/1NpP2p1/2P3P1/P2BP1Pp/1P1Q3P/1R2NRK1 b - -,b6d8
5rk1/1qp1brp1/p2p1npp/1p1Pp3/4P1P1/1PP1BP1P/1P1NQ3/R2R2K1 b - -,f6h7
5rk1/R1p4p/8/6p1/2Pn3N/6P1/P6P/6K1 b - -,g5h4
7k/p7/3r1p2/5P2/4P3/P2p4/3K4/2R5 w - -,c1c7
r2qk1nr/ppp1ppbp/2np2p1/8/2PP4/2N1PQ1P/PP3PP1/R1B1KB1R b KQkq -,e7e5
2r1r1k1/p4p1p/1p4p1/P1pPq2n/2QbP3/B4P2/6PP/1R1R1N1K b - -,c8b8
5rk1/1ppnq1pp/7r/p1P1np2/1PN1p3/P3P3/2Q1NPPP/R4RK1 w - -,c4e5
kB4r1/2pr2b1/Ppn5/1N2pp1p/8/7P/1P3PP1/R4RK1 b - -,a8b8
3n4/ppkb4/4pr1r/3p1n2/1PpP1PB1/P1P2N2/3BR1K1/4R3 w - -,f3g5
3q1r2/pbr2pbk/1p2p2p/3pN1p1/3P4/2P3PQ/PP1N1PP1/3RR1K1 b - -,b7c8
r2r2k1/5pp1/p4b1p/3p4/3PbP2/2B3PQ/1P3K1P/3R4 b - -,a6a5
2r5/6k1/p2pr1p1/1p2pp2/q6p/P2R1P1P/1PPQ2P1/1K2R3 w - f6,d3d6
8/4k1pp/pp1npp2/3p4/3P4/P2KPP2/1P1N2PP/8 b - -,e7d7
r7/1p2k3/8/3Q4/8/6P1/1r2q1BP/2R4K b - -,a8c8
2R5/r3kp2/6p1/1B5p/Pb3P2/4P2P/4K3/8 b - f3,b4a5
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2P5/PP2PPPP/RNBQKBNR w KQkq -,g1f3:c1f4
8/4k3/2R5/6Np/2P3bP/2r3P1/5K2/8 w - -,c6c7
3Q4/5pk1/6p1/5p1p/pr6/1P5q/P1B5/1KB5 b - -,h3h1
r4r1k/4p2p/6p1/p2n1p2/3Pp3/1R2P1P1/P4P1P/1R3K2 b - -,h8g7
6k1/3b3p/4p1p1/1p2Pp2/1b1BPP2/1B2K1P1/7P/8 w - -,e4f5
3rb2k/2qn4/4Bb2/p3p2p/1p2P1p1/1P3Q2/PB1R1PK1/5N2 w - -,f3f5
8/8/k4pp1/8/1p1qr2p/3p3P/3Q2P1/1R5K w - -,d2a2
rn1qkb1r/ppp1pppp/5n2/8/2pP2b1/4PN1P/PP3PP1/RNBQKB1R b KQkq -,g4h5
3r1rk1/p1p2pp1/8/6qp/3P1RN1/P2B3P/2Q5/R5K1 b - -,g5f4
r2r2k1/pp1bqpp1/nn1Np2p/4P3/8/3B1N2/PP3PPP/RQ3RK1 b - -,d7c6
2r1k2r/p3npb1/3Bq3/2p1P2p/3p4/1N3Q2/PP4PP/R4RK1 w - -,d6c5
r1b1k2r/4nppp/p1p5/1pq1p3/4P3/2N5/PPPQBPPP/R4RK1 w kq -,f1d1
8/1b6/p3k1p1/P6p/3Bq3/2P3QP/6P1/6K1 w - -,g3g5
3r1b2/p5pp/1p2k3/2prPp1P/8/1PB1P1P1/P1R1KP2/5R2 w - -,f1g1
5k2/1R4pp/8/1p4K1/5P2/8/8/1r6 w - -,g5f5
4r1k1/1p1b1rpp/p7/P2P4/4pP2/4BnP1/3RB2P/2R3K1 w - -,e2f3
4rrk1/p2q2bp/2ppb1p1/2p5/2P2P2/1PB1N1P1/P3R1BP/3Q1RK1 b - -,g7c3
3rr2k/2p3p1/4R2p/1p2NP2/pP1R2Pn/P3q2P/8/5QK1 w - -,f1f2
5rk1/ppr3bp/2p1p1p1/7n/1PnBP3/P1N4P/K1P1N1P1/3R3R b - -,e6e5
8/5pk1/3p2p1/2p1pnP1/2Pq1P2/3P1Q2/7K/5R2 w - -,f4e5
5rk1/4bpp1/p1r2n1p/B3R3/Pp6/1N3P1P/1PP3P1/2KR4 b - -,c6e6
r2q1r2/ppp1ppk1/2n3p1/5b2/3P3R/1QP2N2/P3PPP1/R3KB2 b Q -,e7e5
r4rk1/pp1b2q1/2p1p3/3pN1p1/2PPp3/4P1P1/PP2Q2P/R4RK1 w - -,e2g4
r1bq1rk1/1p2p1bp/2pp1np1/p4p2/1nPP4/1PN2NP1/P2QPPBP/R1B2RK1 w - a6,c1b2
rn2nrk1/pp3p1p/6p1/3NP3/3p1P2/6N1/PP4PP/R4RK1 b - -,b8c6
rnb1k2r/pp3ppp/4pP2/6q1/2pN4/2P5/P4PPP/R2QKB1R w KQkq -,f6g7
8/pr3pk1/1r5p/6p1/p7/3R2PP/1P1R1PK1/8 w - -,d3d4
4r1kr/ppp2qb1/3p3p/2BP4/2P1p3/2N4Q/PP3PPP/R4RK1 b - -,d6c5
5rk1/B1pR3p/4p1p1/5r2/8/1P3n1P/P1P5/5R1K b - -,c7c5
8/4k3/P2pp3/5p2/1R3P2/4K3/r7/8 w - -,b4b7
8/1p1r1p1k/n1p3pb/1bP1p3/1PN1P3/2Q1P1pP/1N3qB1/4R2K w - -,e1f1
8/p7/8/p3n2p/2p1k3/1PP1B3/4K3/8 w - -,b3c4
3r3k/5b1P/3p4/p2PpPn1/4P2R/P1N5/KP6/8 b - -,g5h7
3q1r2/rb2npbk/pp1p2pp/2p1p3/1PPn4/P1NPPNP1/3B1PBP/1R1Q1RK1 b - -,d4f3
r3brk1/pp2bppp/3np3/q1ppN3/5P2/1P1PP1N1/PBP1Q1PP/R4RK1 b - -,f7f6
r2qr1k1/1p5p/2p3p1/p1Pp1p1R/R7/PPQ1P3/5PPP/6K1 w - -,h5h6
3rr1k1/p2qbppp/1pp1b3/B2nP3/3N4/P6P/BP3PP1/R2QR1K1 w - -,a5d2
Q7/5ppk/1rn1p2p/3p4/3P4/1Pn1B3/Pbq2PPP/1R1R2K1 w - -,b1b2
r6r/3k1ppb/2pBpn1p/3p4/2pbP1P1/5P1P/P2NB1K1/1R3R2 w - -,e4e5
r3b1k1/1pq3r1/2p1p2p/1pPpPpp1/P2P4/1R2P1PP/3Q4/1R3BK1 w - -,a4b5
3r2k1/2q1nppp/bp2p3/p1p1P3/P1NrBP2/1P1P2P1/5Q1P/4RRK1 b - -,a6c4
8/8/5n2/R3rk1p/7P/4P1PK/8/8 w - -,a5a8
2rqk2r/p2bbppp/4pn2/1p1p4/2nP1B2/P1NBPN1P/1PQ2PP1/R3K2R w KQk -,f3e5
8/p3k1bp/1p1n2p1/5pP1/B1p2P2/2P2K2/PP5P/4B3 w - -,a4c6
1r1qr1k1/1ppb1pbp/p2p1np1/8/3BP3/2N3PP/PPPQ1PB1/3RR1K1 b - -,d7c6
2rq1rk1/p2nbppp/1p3n2/2pP4/8/1P3NP1/2Q2PBP/R1BR1bK1 w - -,g2f1
2b1qrk1/p5b1/1p3nNp/2p5/3p1PP1/P2P2BP/1P1Q2B1/5NK1 w - -,g6f8
r1b2rk1/pp3pbp/2n2np1/q3p3/3pP3/3P1NP1/PP2NPBP/1RBQ1RK1 w - -,a2a3
3q1r1k/p4Nbp/1p1P2p1/8/P1Q2Pp1/4R1P1/1P5P/6K1 b - -,f8f7
1r5k/p1r4n/3b4/2p2P2/2R2pPp/3N1B1P/P7/3R1K2 w - -,d3f4
rnbq1rk1/ppp2pbp/3p1np1/4p3/2P5/1P1P1NP1/PB2PPBP/RN1QK2R b KQ -,b8d7:f8e8:b8c6
8/5pkp/5r2/p7/8/1P1Q1pPq/P1P2P1P/4R1K1 w - -,d3f1
7r/2k1bp2/1pn1p1p1/2ppP2p/r4P2/2PPBBPP/1PK5/R6R b - -,a4a1
rnq2rk1/pp1bppbp/3p2p1/2pP3n/2P1P3/2N1B2P/PP2BPP1/R2QNRK1 b - -,h5f6
8/4k3/3p4/3PpK2/4P3/P7/3Nn3/8 b - -,e2c3
r2q1rk1/1p2ppb1/n1p1b1pp/p2nN3/3PN3/1P4P1/P3PPBP/R1BQ1RK1 w - -,c1a3
2rr2k1/pp3pb1/6pp/8/1nPNp3/PP1n4/3BNPPP/3R1RK1 b - -,b4a6
5r1k/1p3ppp/p3q3/3Qn3/8/P3B3/1P4BP/2R3K1 b - -,e6d5
4r1r1/pp1q1pkn/2p2p1p/3ppP1Q/2P4P/1B1P2P1/P1P2PK1/R4R2 w - -,f1e1
2r4k/5p1p/2rb2q1/5R2/P2P4/2p1R1NP/2Q2P2/6K1 w - -,a4a5
r2q1rk1/2pbbpp1/p1pp1n1p/8/3NP3/1PN5/PBP2PPP/R2QR1K1 b - -,f6h7
rn2k2r/ppq2ppp/2p1pn2/P3Nb2/1bBP4/2N5/1PPBQPPP/R3K2R b KQkq -,b8d7
5n2/4k3/p6p/3P1p2/3K4/P2N3P/6P1/8 w - -,d3c5
3rr1k1/p1q2pb1/2p3p1/1p5p/nPPpP3/P5P1/5PBP/RN1QR1K1 w - -,d1b3
8/8/B5p1/4Kpkp/8/5P2/8/8 b - -,g5h4
rnb1k2r/pp3pp1/2p1pq1p/8/PbpP4/2N1PN2/1P3PPP/R2QKB1R b KQkq -,b7b5
6k1/5p2/4p1p1/1qP1P2p/p6P/P7/1P1Q2P1/7K b - -,b5c5
rn1r2k1/ppq1ppbp/1npp2p1/4Pb2/2PP1P2/2N1BN1P/PP2B1P1/R2Q1RK1 w - -,e5d6
r4rk1/1b3pbp/3q2p1/1pnPp3/1Np1P1B1/2P1B2P/1P3RP1/3Q1R1K w - -,e3c5
8/2k5/pp4B1/6p1/PPK3P1/2P5/3b4/8 b - -,d2f4
3r4/1bRr1k1p/p5p1/Pp3p2/4pQ2/7P/q2P2P1/5NRK w - -,f1e3
8/R5p1/7k/P6p/1r6/8/7K/8 w - -,a5a6
r2qk2r/pb1n1ppp/2pb1n2/1p2p3/3PP3/2NB1N2/PP2QPPP/R1B2RK1 w kq -,c1e3
2r2rk1/pp2qppp/n2bp3/8/P1R1Q3/4PN2/1P1B1PPP/2R3K1 b - -,c8c4
3rk3/b1Rr2pp/1pR5/4P3/P3pP2/2B1P1P1/4K2P/8 w - -,c7d7
r1bq1rk1/ppp2pbp/3p2p1/n7/4P3/1BN1B2P/PPPQ1PP1/R3K2R w KQ -,e3d4
8/5p2/p4k1p/4R3/2b2K2/8/6PP/8 b - -,f6g6
r3k1nr/1bq1bppp/p1npp3/1p6/P3P3/2NB1N2/1PPBQPPP/R3R1K1 b kq a3,b5b4
2B5/4k3/5p2/p1p2R2/1pp5/1P6/PKP5/3r4 w - -,f5c5
5k2/5p2/2b2p1p/r7/2B5/p3KPP1/2P4P/R7 b - -,f8g7
r2qk2r/1pp2pp1/pbnpbn1p/4p3/NP2P3/P2P3P/B1P1NPP1/R1BQK2R b KQkq -,b6a7
5bk1/5p2/6p1/7p/2r5/4P1P1/1B3P1P/5RK1 b - -,f8g7
8/8/5p2/R3pk2/8/3r1PK1/8/8 b - -,d3b3
8/8/1p1k2p1/p7/8/4R3/Pr5P/6K1 b - -,b2a2
8/pp1k1r2/7p/1n4p1/1P1PP1Pn/5PR1/5K2/2R5 w - -,f2e3
r4rk1/p2nqppp/1p1p1b2/2pP4/4P3/2BQ1NP1/PP3PKP/2R1R3 b - -,d7e5
r1b3r1/pp2qp1k/2p4p/4p3/1PP1Pb2/2NQ3P/P1R1BPP1/4R1K1 w - -,c4c5
r4rk1/1pq1bppp/p3p1b1/P1Ppn3/3B2P1/2P5/1P2BP1P/R2QNRK1 w - -,f2f4
5rk1/qpr2pp1/p1n1bn1p/4p3/3pP3/1N1N1P2/PPPQ2PP/R2B1R1K w - -,b3a5
8/3k1p2/3p4/2p1p2p/2P1P2P/1K3P2/8/8 w - -,b3a3
6r1/8/2k5/3R4/2P2K1P/8/8/8 b - -,g8f8
q4rk1/6pp/2p1pn2/2P2p2/bPB1P3/r1p2P1Q/6PP/2R2RK1 w - -,c4e6
5k2/p4p2/5P1p/P1p1P3/b1B2K2/6P1/8/8 b - -,a4c2
r4rk1/p5bp/1p1q2p1/3ppn1P/1P4Q1/P2B4/3B1PP1/2R2RK1 b - -,g6h5
r1bq1rk1/3n1pbp/p3pnp1/1p2B3/3Q2PP/N1P2N2/PP2BP2/1K1R3R b - -,c8b7
4r3/1pp1rpk1/p2p4/3P4/4nR2/3B4/PPPK2P1/7R w - -,d2d1
5rk1/p5p1/2p5/n1P1pb1P/8/2q1P3/P1P1B1K1/2BQ1R2 w - -,e2d3
2R5/8/8/3p4/2k2K2/3r4/8/8 b - -,c4d4
r4rk1/3b1pp1/p1q1p2p/PpPpR3/1P1P4/1RN1Q3/5PPP/6K1 b - -,a8e8
r2r2k1/pp3pp1/2p1p2p/3n4/1P1P1q2/P2Q1N2/2P2PPP/R3R1K1 w - -,g2g3
4nb2/1p3k2/rN1p4/P1pPp2q/2P1Ppb1/2BK1Np1/1Q2B1P1/R7 b - -,e8f6
r5k1/p3r2p/2p3p1/5p2/2Pp1P2/6PB/PPnQ3P/6K1 w - -,d2c2
2r3k1/3q2p1/p1p1R2p/1pQn4/1P6/P2N2P1/5P1P/6K1 w - -,c5d6
7r/2k2B2/1p4P1/1Kp5/6rp/7R/P7/8 w - -,a2a3
rnr3k1/4bppp/1qp1pn2/p7/PpQP4/1P1NP3/N4PPP/R1BR2K1 b - -,b8a6
r3kb1r/ppp1pppp/2n2n2/3qN3/3P2b1/4PN2/PP2BPPP/R1BQK2R b KQkq -,c6e5
r1bqk2r/p2pppbp/2p2np1/2p5/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,f1e1:b1c3
rnbqk1nr/pp2ppbp/6p1/3pP3/3Q4/6P1/PPP2PBP/RNB1K1NR b KQkq -,b8c6
3r1rk1/p2n2pp/1p6/4p3/2NP4/P4P2/3K2PP/3RR3 w - -,d2c3
r2q1rk1/pp2ppbp/2n3p1/3p4/3P1QbB/2PB1N2/PP3PPP/R4RK1 b - -,g4f3
rn1qk2r/1b2nppp/p2b4/8/P1pP4/5N2/2PN1PPP/R1BQR1K1 w kq -,d2c4
3r2k1/1q3p1p/pb4p1/3p4/5r2/3R1N1P/P2Q1PP1/3R2K1 b - -,f4b4
2rr4/pp1n1pkp/3qbnp1/8/1P1NP3/P2P1RPP/3QN1B1/5RK1 b - -,h7h6
r3k2r/1p2qpp1/2p2b1p/p5n1/P1b2B2/2P1Q1NP/1PB2PP1/R4RK1 w kq -,e3e7
r2qkb1r/1bpp1ppp/p1n5/1p2p3/3Pn3/1BP2N2/PP3PPP/RNBQ1RK1 b kq d3,c6a5:e5d4
rnb1kb1r/pp1p1ppp/5p2/8/3P4/2N5/PPP2PPP/R3KBNR b KQkq -,f8b4
1rr2bk1/1b1n1p2/p1pq2pp/Q2p4/3P4/3NPN2/P3BPPP/2R1R1K1 w - -,f3e5
2b2r2/3nQ1rk/8/p2Pb3/4PB2/1p3P2/1P2N2P/1B5K w - -,e7h4
2kr3r/ppq2pp1/2pbpn2/4Nb1p/3PNP2/6P1/PPP1Q1BP/2KR3R b - -,f6e4
8/1k6/1p1p1b2/p2P1p2/P2P2p1/4B1P1/1P2K3/8 b - -,b7c7
r2qrbk1/1pp2ppp/3p1n2/p3pb2/2PnP3/PPNP1N1P/1BQ2PP1/R3KB1R w KQ -,c2d1
r6k/1p2Q1p1/4P2p/1N3p2/p4P2/P2bP1P1/1q2BK1P/8 w - -,b5d4
1k3r2/1p6/3pB3/3P4/P1p2q2/6Q1/4KP2/8 w - -,a4a5
r3k2r/1p1qbppp/p1n1p3/2p2n2/B3NP2/2P5/PP1PQ1PP/R1B1K2R w KQkq -,e1g1
r1bk4/p4p2/p2p1np1/3Pp2p/2P1P2P/1P3BP1/3NPK2/R7 w - -,f2e3
r1b3k1/ppq1rpbp/6p1/4p3/2Pp4/3P2P1/P2NPPBP/1R1Q1RK1 w - -,d1a4
6N1/8/7p/7P/1Pkpp3/3p2P1/3K4/8 w - -,g8h6
6k1/1p3pp1/2p4p/B7/P1P5/7P/1P2rnP1/1R4K1 b - -,f2d3
8/1p3Bkp/p2q2p1/4rp2/b2n1Q2/P7/1P3PPP/4R2K w - -,f4e5
8/8/p5p1/1p1k4/2Pp3P/4r1P1/P2R1K2/8 b - -,b5c4
8/5p1p/4pkp1/1p6/8/1R1N2P1/3r1P1P/5K2 b - -,g6g5
1k1r3r/p1p5/1p5b/4p2p/q1Qn4/3PN1P1/PPPB1P1R/1K1R4 b - -,a4c4
2rr2k1/p2b3p/1pp1nppb/4p3/1P6/2BPP1P1/P2N1PBP/R1R3K1 b - -,d7e8
8/4nk1p/1p1p2p1/p1pP1bP1/P1P2K1P/1P6/3N1P2/4N3 w - -,d2e4
3b4/6Np/5p2/5KpP/6P1/4k3/8/8 w - -,g7e8
rB2nk2/5bp1/BpN2p1p/1Pb5/4P2P/8/3R2P1/7K w - -,d2d8
6k1/1p4B1/p7/1b1P1r2/5P1P/5Q1P/6RK/4q3 b - -,g8f7
r3kb1r/1pqbpp1p/pn1p1np1/3P4/2PN4/2NB4/PP2QPPP/R1B1R1K1 b kq -,b6c8
2r2rk1/2qnbppp/p2pbn2/1p2p3/4P3/1NNBBP1P/PPP3P1/3RQRK1 w - -,e1f2
2rqr1k1/2p2p2/2bpn1n1/1pPNb1p1/pP2P1Pp/4BP1P/P1Q1N1B1/1R1R3K w - -,c5d6
1r2r1k1/1bq2pp1/1p1p1nn1/pP2p2p/P1P1P2P/BN1BQPP1/8/R2R2K1 w - -,d3f1
2k4r/1p2rnpp/2pbbpn1/8/2P1P3/1PN1BN1P/P1K1B1P1/R6R b - -,g6f4
QQ6/8/8/5p2/r3r3/2P3pP/4p1P1/4k2K b - -,a4a8
1n1q1bk1/3p1ppp/3r4/1Q6/8/2PBBP2/1P3KPP/R7 b - -,b8c6
8/2kb1p2/1pp2q2/p1p1p3/P2nP2N/1P1PQ1P1/1KPN4/8 b - -,d7g4
r5k1/5ppp/8/2p1n3/3b1B2/Pp3PN1/1PR3PP/4R2K b - -,b3c2
r6r/1p2k1pp/2pn1p2/p1n1p2b/2P1P3/PPNB1N1P/5PP1/1R1R2K1 b - -,h8d8
2rr4/p2qppkp/1p4p1/3P4/n3P3/5N2/P3QPPP/2RR2K1 b - -,a4c3
1r6/Rb3p2/4k3/1R2P3/3BPPp1/1P4P1/5K1P/2r5 b - -,c1c7
