8/8/6kp/1R6/6P1/1P4PK/1r6/8 b - -,b2d2
r2q1rk1/1p1b2pp/p1p1p3/3pNpn1/PPPP1B1b/3QP2P/3N1PP1/R4RK1 w - -,d2b3
r3k2r/ppbn1ppp/2p1p3/2P2b2/3Pp2q/1P2P3/PB1NBPPP/R2Q1RK1 w kq -,g2g3
3rk2r/1b3pb1/p3p1p1/1pp1n2p/4PN1P/P1P1NP2/1P2B1P1/3RK2R b Kk -,e8e7
1q2r1k1/1b1n1ppp/pp2pn2/3P4/NP2P3/PN3P2/3Q2PP/2rR1BK1 w - -,b3c1
4r1k1/5pb1/2p3p1/B1P5/NP2p3/K1n4R/P7/8 b - -,e4e3
6k1/4pp1p/6pb/4P3/2PBb3/6K1/1P1r2PP/5BR1 w - -,d4c3
8/1p3p2/4k1p1/1pb1P2p/1r6/p1K3PP/P1B1R3/8 b - -,b4c4
k2q2r1/pp3p1p/2p5/3n1P2/PP1Pp2Q/2P5/2R2PNP/5K2 b - -,d8h4
2Q5/2p1r1k1/1p1q2p1/p1p1N2p/2P2P1P/1P4PK/P7/8 w - -,h3g2
r1bq1rk1/3n1pbp/2pp2p1/p7/2PpP3/3P2P1/P3NPBP/R1BQ1RK1 w - -,a1b1
rnbqr1k1/pp3p2/2p2bpp/4p3/1Pp1P3/2NP1NP1/P4PBP/1R1Q1RK1 w - -,d3c4
8/ppk2p2/2p5/P5pP/2P3K1/1N3P2/4r3/8 b - -,e2h2
rn1q1rk1/pb2bppp/1pp1pn2/3PN3/3P4/2N3P1/PP1BPPBP/R2Q1RK1 b - -,c6d5
3rr1k1/2q2ppp/1n3n2/3Np3/bbP1P3/p5P1/3NQPBP/B2RR1K1 b - -,f6d5
4r3/8/p7/1pk5/2p1p1n1/1PP1R1P1/P1K5/6N1 w - -,e3e1
1r6/5pbk/q1N3p1/2n1p2p/2P5/6P1/2Q2PBK/4R3 b - -,b8e8
1q3rk1/1r1p3p/2b1p1p1/2P1P1P1/pB1Q3P/2P2pP1/5R2/R5K1 b - -,f8f5
6k1/4p2p/6p1/2p2p2/2R5/1r2PPP1/5K1P/8 w - -,c4c5
r2q1rk1/2p3pp/pp1b1pb1/n2Pp1B1/2P1P3/3B1N2/P3QPPP/R4RK1 w - -,g5d2
8/5pk1/8/6r1/1r2B3/5R2/8/7K w - -,f3e3
6k1/5p2/np2b2p/p1p5/6P1/P1BrNPK1/1P6/4R3 b - -,a6c7
k1r5/4bppp/2q1pP2/P1p1P3/1p2P3/nQ4P1/5B1P/2R2BK1 b - -,g7f6
2r3kr/1p3pp1/3qbb1p/pB1p4/3p4/P2P1N2/1PPQ1PPP/2R1R1K1 b - -,e6g4
r2q1rk1/n3b3/1p3pbp/1PnN1p2/3N4/3PB2P/3QB1P1/RR4K1 w - -,e2f3
rn1q1rk1/pb1p1ppp/1p2p3/2p5/2PP4/P1QBPN2/1P3PPP/R3K2R w KQ -,d4c5
3r2k1/b5p1/2p1p3/1p2P1p1/p3p1P1/P1B1P2P/2K2P2/1R6 b - -,a7c5
3q1rk1/p1p2ppp/1r6/2NpPb2/2pP4/P7/1P1Q1PPP/R4RK1 w - -,f2f4
1r1qrbk1/1p1n1ppp/p1np4/3N4/P1P5/1PN1B2P/3R1PP1/3Q1RK1 b - -,d8a5
4k2r/2p2q2/1p1p1P1r/pP1Pp2p/P1Pn3N/8/3Q1R1R/6K1 w - -,h4f3
5r2/1p1b3k/p1pBp1rp/2Pn2p1/3PRpB1/1P3PP1/1P3K1P/4R3 b - -,f8f6
rn1br1k1/q4pp1/pp2pn1p/1b1pN3/PP1P1B2/1QR1PP1P/1N4P1/1BR3K1 b - a3,b5d7
4rbk1/2Q2p2/p5p1/1b5p/1P2P3/4BP2/6PP/6K1 w - -,e3d4
r1b1kb1r/1pqn1p2/p4npp/4p3/3NP2B/2N5/PPP1Q1PP/2KR1B1R w kq -,d4b3
8/4npk1/1r2p2p/1R4p1/PK6/4NP2/6PP/8 b - -,b6a6
q1r3k1/1b1nbppp/1n2p3/1p6/r2P4/PN3NP1/1Q2PPBP/R1B2RK1 w - -,b3d2
r1b1k1nr/ppppqppp/2n5/b7/2BpP3/1QP2N2/P4PPP/RNB1K2R w KQkq -,e1g1
r4rk1/1p2p1b1/p1n3pp/4Pp2/2RP3P/4BN2/P2K1PP1/7R w - -,d2e2
r1b2rk1/4q1pp/p3pb2/1p1p4/8/2NnB1Q1/PPP3PP/3R1RK1 w - -,d1d3
8/8/5k2/6R1/1P4np/2B5/1r6/6K1 b - -,f6g5
1r1r2k1/p4p2/2p3p1/7p/7P/4NbP1/P1R2P1K/2R5 w - -,h2g1
4b1k1/p1p3pp/1p3np1/3p4/3P2P1/2PB1N1P/PP4P1/6K1 w - -,g1f2
r2q1rk1/ppp2pb1/6pp/4p3/1P1nP1b1/3P1NP1/PB3PBP/R2QR1K1 w - -,b2d4
r3rnk1/2p1qppp/1pPp1n2/p3p3/1PP5/P1N3P1/3QPPBP/R4RK1 w - -,f1c1
8/p2Bk3/1pK1P1p1/2p4p/2P2bP1/1P5P/P7/8 w - -,g4h5
5R2/4r1pk/p6p/1b6/6PP/8/5PBK/8 w - -,h4h5
8/2q3k1/2P1r1p1/2Q1Np1p/p2P3P/4P1P1/K7/8 w - -,c5d5
R5k1/7p/6pb/B2r4/8/P7/KP6/8 b - -,g8f7
3r4/5pk1/4qpn1/1p2p2Q/2p1P2P/2P3P1/1P3P2/R3N1K1 b - -,d8d2
8/r5pk/5p2/2RN3p/5P2/6PK/n7/8 b - -,h7h6
1rb1k2r/1p6/p3pn2/8/3P1P2/5B2/PPP3P1/R1B2RK1 b k -,b7b5
2b2rk1/4n1b1/2Bp4/3Pp2p/1P2Ppp1/3NqP2/P1Q3PP/2R1R2K b - -,e3d4
4r1k1/2b3pp/q7/B7/R2PrpP1/1Q5P/2p2PK1/R7 b - -,g8h8
5rk1/1p5p/p7/4pB2/b1P5/2B1b2P/2P5/5RK1 w - -,g1g2
4n1k1/R4p1p/6p1/8/P3p3/5P2/6PP/2r3BK b - -,e8d6
8/8/8/r1N2k2/3K4/8/8/8 w - -,d4d5
1r2r1k1/2p1bpp1/p1qp1n1p/1p6/3QP3/P1N5/1PPB1PPP/R2R2K1 b - -,a6a5
8/8/3p1k1K/2pP4/1p6/1P6/4B2b/8 w - -,e2c4
8/5ppp/2kP4/4PPP1/2n4P/1p1n4/8/1K2R3 w - -,e1d1
8/8/2Nk2R1/4p2r/8/3K4/8/8 b - -,d6d5
r3k2r/3qb1p1/p3bn1p/2p5/Q2PPB2/5N1P/PP4P1/R3R1K1 w kq -,a4d7
r2q1rk1/pp1bppbp/2np1np1/8/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 b - -,d8c8
r2qr1k1/5p1p/1pPp2p1/pPn5/8/8/1PQR1PPP/R5K1 b - -,d6d5
8/5R2/8/8/3Kp3/8/4r1k1/8 w - -,f7f8
1r1q1rk1/p4pbp/2p1b1p1/2Bnp3/4N3/5P2/PPPQ2PP/2KR1B1R w - -,h2h4
7N/2R5/p3pk2/1p3pp1/7p/5P2/PPK3rP/8 w - -,c2c3
4r1k1/5pp1/7p/4qN2/3Q2P1/5KP1/4p2P/3nR3 b - -,h6h5
r3r1k1/1ppq1p1p/3p2p1/3P4/3Pn3/1P3B2/P1Q2PPP/2R2RK1 b - -,e4g5
4rk2/5pp1/p1Np4/P7/3P3p/1p5P/1P3KP1/8 w - -,f2f3
r1b1k2r/ppq2ppp/2n1p1n1/3pP3/1P6/3B1N2/2PBQPPP/R3R1K1 b kq -,e8g8
2r4r/pp2k3/3pqNpb/8/4P1bP/3P2P1/PP2nQBK/R4R2 w - -,f2a7
rnbqkbnr/ppp1pp1p/3p2p1/8/4P3/2N5/PPPPNPPP/R1BQKB1R b KQkq -,f8g7
r4rk1/1p2b1pp/2p1pn2/qpPpNp2/P2P1P2/1Q3P1P/1P2N1P1/R4RK1 w - -,a4b5
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq c3,f7f5
5krr/2q1bp2/p1P2p2/3Bp2p/1P1p4/P4QPP/5R1K/2B5 w - -,f3f5
4r1k1/q2b1ppp/3n4/1p1Pp3/pP2P3/N1BB2NP/5QP1/6K1 b - -,a7f2
4r1k1/p2r3p/1p2p1p1/3p1n2/5P2/2N3P1/PP5P/R3R1K1 w - -,a1c1
3r2k1/1ppqrpbp/p2n1np1/3P4/P2Bp2N/1P4PP/3QPPBK/2RR4 w - -,d2b2
8/2r1R1pp/1bk5/p1N3P1/1p1P4/1K2N2r/P2B3P/8 w - -,e7e5
r2r2k1/1p2ppbp/p1p1bnp1/8/4P3/2N1B1P1/PPP2PBP/R4RK1 w - -,f1d1
6rk/2p1p3/1p1p3p/p2PbPp1/2P1Q2q/4PP1P/RP4K1/7R w - -,e4h4
2r3k1/3nqppp/p6r/2p1P3/N1Rp1P2/1P3Q1P/P5P1/5RK1 w - -,b3b4
2b3k1/8/pbnrp1Np/1p3p2/1P4p1/P3P3/BB2KPPP/2R5 b - -,g8h7
8/7k/4R2P/5p2/3K1P2/6r1/8/8 b - -,g3a3
r1bqk2r/1pp1nppp/2n1p3/p3P3/1bPP4/2N1BN2/PP4PP/R2QKB1R b KQkq -,b7b6
2rr2k1/pp1qb1pp/5p2/2p1p3/6Q1/1P6/PBPP1PPP/2KRR3 w - -,g4d7
1r6/8/8/4k3/5p2/2PR1P2/2K5/8 b - -,b8c8
r2q1rk1/5pp1/2pb1n1p/ppn1pP2/4P1P1/7P/PPPN2B1/R1BQ1R1K w - -,d1e2
4R3/p5k1/3b1r1p/2p2B1P/3p2P1/1P1P4/P5K1/8 b - -,f6f7
4rk2/p2Q1pb1/1p4p1/2p1q1Bp/8/2P4P/PP3PP1/3R2K1 w - -,g5h4
r1bq1rk1/1p2bppp/p1p1p3/4n3/2PPB3/6P1/PP3P1P/R1BQ1RK1 w - -,d4e5
r3q1k1/1pQr2pp/1np1pp2/p7/Pb1PP3/1P2N1P1/4bPBP/B1R2RK1 w - -,c7b6
rnbq1rk1/1p2bppp/p2p1n2/4p3/4P3/5NP1/PPP2PBP/RNBQR1K1 w - -,c2c4
3r2n1/pp3k2/4b1p1/2p2p2/1nP4r/1PB2PN1/P5PP/R1K2B1R w - -,a2a3
r1b1r1k1/pppnqpbp/3p1np1/8/2PNP3/2N1BP2/PPQ1B1PP/R4RK1 b - -,d7b6
2br1r2/1pP2pbk/p2p1npp/4q3/P3P3/Q1PBB2P/2N2PP1/3RR1K1 b - -,d8e8
8/8/1p1kb1p1/3p4/NP1K3P/4P3/8/8 b - -,e6d7
4r3/4Pk2/8/5NRp/5p2/P6P/P7/1K6 b - -,e8b8
6k1/3R3p/3p2p1/5p2/1b6/6P1/5PKP/8 w - -,g2f3
8/8/5pk1/8/2r1pKPP/1R6/5P2/8 w - -,h4h5
7k/1p3p2/p1p4p/4P3/8/P4PpP/1P4K1/8 b - -,h8g7
2k3r1/pp1bqn2/2n1pp2/3p3p/6rP/PNP2QP1/2B2P2/R1B1R1K1 w - -,b3d4
2k5/4p3/7p/pQ6/6PP/2p2PK1/P1Nrr3/8 w - -,b5c5
8/1r6/pPk1p3/2Pp1p1b/5P1p/N1K1P1pP/P5P1/1R6 w - -,c3b4
r1br2k1/ppq2pp1/5n2/2p3p1/6P1/6bP/PPP2PBN/R1QR2K1 w - -,d1d8
8/8/7p/p2k2p1/4p1P1/1PK5/P6P/8 b - -,d5e5
r5k1/p4pp1/1p1n3r/3PN2p/3p4/3R4/P1P3PP/5RK1 b - -,a8e8
r2qk2r/1b3pbp/p1n1p1p1/1pp5/5P2/2NP1NP1/PPP1Q1BP/R1B1K2R w KQkq -,e1g1
r1b1k2r/pp3pbp/2npp3/2q2p2/3N4/2PBP3/PPQN1PPP/R3K2R b KQkq -,c8d7
4rBk1/p4p1p/2P3p1/4p3/8/1P6/P3NPPP/6K1 b - -,g8f8
8/7p/2k2B2/8/2K5/2P3P1/r6P/8 w - -,h2h3
r2qnrk1/1p1b1ppp/3p4/p1npp1b1/2P1P3/P1N2P2/1PB1NBPP/R2Q1RK1 w - -,c3d5
r1br2k1/p2nqpp1/1ppbp2p/8/2PPB3/1P3N2/PBQ2PPP/3R1RK1 b - -,c8b7
3q1rk1/4p2p/1p1pbp2/p1rN2pP/P3P3/1PR1Q3/1P3PP1/5RK1 b - -,g8h8
1k1r3r/4qpbp/1P1p1np1/1P2p3/2P1P1PP/1n2B3/3QN3/R3KB1R w KQ -,a1a7
r1b2rk1/p2n1ppp/2p2n2/8/1q2pP2/1BN5/P1PPNQPP/R3K2R b KQ -,d7c5
8/2Rrb1kp/6p1/1p4r1/3PB3/4P3/PP3PP1/2R3K1 b - -,d7c7
5rk1/ppn1rppp/2p5/2n5/4P3/P1N4P/BPP2RP1/3R3K b - -,c5d7
rn6/pp2kprN/2pbp3/8/3P2P1/5P2/PPP4P/2KR1B1R w - -,f1d3
1rbqk2r/2p2ppp/p1n1pb2/1pN5/3P4/4P1P1/P2N1PBP/R2Q1RK1 b k -,c6e7
1rbqk2r/1pp1bppp/p1n1pn2/P7/2pP4/5NP1/1P2PPBP/RNBQ1RK1 w k -,d1a4
7k/1R4p1/R6p/8/P4rrP/7K/6P1/8 w - -,g2g3
4Qb1r/2R5/4pq2/p2p1k1p/P6P/8/1r3PP1/5RK1 w - -,c7f7
8/P4pk1/2p1p3/4Pn2/8/8/3K4/7r w - -,a7a8q
r3kb1r/1bqp1ppp/4pn2/p3B3/1n2PP2/1N1B4/PP2Q1PP/R2N1RK1 b kq -,c7d8
r2qk2r/1p1bbp2/2n1p3/1BnpP1pp/p7/2P1BN2/PP2QPPP/R3RNK1 b kq -,c5e4
8/8/8/p7/P7/8/4KNkp/8 w - -,e2e3
2k1r3/p2r1pb1/1n4pp/2ppP3/5PP1/1P3N2/P1KB3P/5R1R w - -,f1e1
8/1k6/6p1/P5Rp/7P/6P1/r7/2K5 w - -,c1b1
1r1r2k1/4npb1/1p2p1p1/p2b2Np/P1NP3P/1P2P1P1/1B3P2/1R3BK1 b - -,e7c6
4r1k1/1p3rpp/p1p5/4b1P1/1P1P1p2/P1p2N2/4PP1P/R1R2K2 b - -,e5c7
8/8/4BKNk/8/8/8/8/8 w - -,e6g8
3Q2k1/pb2n1bp/6p1/4Pp2/1P3P2/P2p1NK1/2q4P/R7 b - -,g7f8
q3k3/r2nnr1N/pp4Q1/2p5/4R3/2P5/PP3PPP/3R2K1 w - -,h7g5
R7/p2nprkp/2P3p1/5p2/5P2/P2P1KP1/4P3/1R6 b - -,d7b6
r1r3k1/5ppp/pn2qn2/Np2p3/1P2P3/R1P5/4QPPP/2B1R1K1 w - -,c1e3
r1bq1rk1/1p2bppp/p1n1p3/8/3P4/1BP2N2/P4PPP/R1BQR1K1 b - -,e7f6
4r1k1/3R3p/pR6/2P3b1/4bp2/8/PP3K1P/8 b - -,g5h4
2r2rk1/pp2ppbp/2np1np1/q1p5/Q3P1b1/P1P2N2/1P1PBPPP/RNB2RK1 w - -,a4a5
8/p4p1p/1rp1p1k1/3pP1p1/3P4/PP3P2/1K1R1P1P/8 w - -,d2c2
1rnqr3/1b2n1bk/1p1p2pp/pNp1pp2/P1N1PP2/1QPP2P1/1P3RBP/2B1R1K1 w - -,f2e2
rnb2rk1/pp2b1pp/4p3/q1Pp4/5P2/2N1QN2/PPP1B1PP/R3K2R w KQ -,f3g5
1q1rrbk1/1p3ppp/p3p3/2p1P3/P4P2/1P4PP/N1PRQ1bK/3R4 w - -,h2g2
8/1B6/1KNk1r2/1P6/8/8/8/8 w - -,c6a7
1r4k1/6p1/p1p2b2/2r1p2p/R1N2p2/2P2P1P/1P2K1P1/3R4 b - -,g8f7
r3r1k1/1bq2Rbp/3p2P1/7n/3B3Q/1pNP3R/1P5P/6K1 b - -,e8f8
1r1qr1k1/3b1pbn/p2p2p1/nppPp2p/2P1PP2/1P4PP/PBQNN1B1/1R3RK1 b - f3,b5c4
6k1/R4p2/1pp1n2B/4PK1p/2P4P/5P2/Pr6/8 w - -,f3f4
1r3rk1/pb4qp/1pnp2p1/2p2p2/1PP1PR2/P2P2P1/3QN1BP/1R4K1 b - -,f5e4
r4rk1/pb1p1pbp/2n3p1/2pBp1qP/Pp2P3/1P4N1/1BPP1PP1/R2QK2R w KQ -,d2d3
r1b2rk1/ppp2ppp/3p1q2/2n1n3/1P1N4/P7/B1P2PPP/R1BQ1RK1 b - b3,c5e6
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R w KQkq -,f3e5:h2h3
1q6/5k2/4pp2/1pBp1np1/1P1P1P2/2P5/4Q1P1/6K1 b - -,g5f4
r7/8/8/2k5/2P4P/pK6/6R1/8 w - -,h4h5
6r1/4pk1p/p7/1pBPbp2/1Pn5/5P2/P3NK1P/3R4 w - -,f3f4
r5k1/pR3pb1/6pp/3P4/3nP3/5P2/3B1P1P/r2B1RK1 b - -,a7a5
1rb5/2p1kq2/2Pp3b/pp1Ppn1p/4N3/P2Q3B/1P2NP1P/K5R1 w - -,e4g5
r3kb1r/p1q2pp1/2p2n1p/1pB1p3/4P1P1/1BN2Q1P/PPP2P2/3RK2R b Kkq -,f8c5
1r3qk1/6p1/bP1N3p/p1Qp4/P7/7P/6P1/3R2K1 b - -,a6c4
2r1rn1k/1q3p1p/p2p4/1p3PQ1/1PnpN2R/PB6/2P4P/3R3K b - -,e8e4
3r4/6p1/1pk2pbp/p3p3/P5P1/1PP1NP1P/1R2K3/8 w - -,b3b4
r1bqr1k1/1p2bppp/p5n1/2pPp1PQ/P1P1P3/2N4P/1P3P2/R1B1KBR1 w Q -,h5d1
5k2/R7/3p3p/n1pP1p1B/2P5/3K3P/P7/4b3 w - -,a7f7
6k1/1pp2n1p/p3P1p1/5p2/5P2/1P1B1KPP/P7/8 b - -,f7d6
r2qr2k/4n1pp/1ppp1pb1/1B6/8/1Q4N1/PP2RPPP/4R1K1 w - -,b5d3
r7/pR4bk/1p1N1pp1/2p4p/8/2P4P/PP3PP1/5K2 b - -,a8d8
4rR2/2p3kp/p2p3p/3P3q/n3r3/7P/P1P2QP1/5R1K w - -,f2f6
4b3/1k3p2/1p2p1p1/3pN1P1/p2P1P2/P7/1P3K2/8 w - -,f2e3
r1bqkb1r/ppp2ppp/4p3/8/3P4/3BPN2/PPP3PP/R2QK2R b KQkq -,a7a6
6k1/7p/pR1p4/P2Ppp2/2r5/5P2/6PP/6K1 b - -,c4c5
5rk1/1P3pp1/3qpn2/2b4p/8/1R1P1BP1/4QPKP/7R b - -,f6g4
r1bq1rk1/pp2nppp/2n1p3/2b1P3/3p1P2/P7/1PPN1BPP/R2QKBNR w KQ -,d2e4
8/p2r4/3r1k2/R2P2p1/4B1P1/5PK1/P7/8 w - -,g3f2
4r3/p5bk/2R2npp/8/Q3p3/B5P1/q4PBP/6K1 w - -,c6f6
4k2r/r3p2p/pq1pR1p1/6Q1/1p3PP1/7P/PPP5/1K1R4 w k -,d1e1
r2q1rk1/pp1bp1bp/n5pn/2pPpp2/2P2P2/PPN4P/R2BN1P1/1B1Q1RK1 w - -,f4e5
8/p5k1/5pp1/5B1p/5R2/6r1/8/5K2 b - -,g6f5
2r5/1p3k2/p2r1npp/5p2/1P1NpP2/P3P1P1/4K2P/R2R4 w - -,a1c1
2r5/p3kpb1/1pn1b1pp/2p2p2/2P2N2/PP2P1P1/3R1PBP/4NK2 b - -,c6a5
6k1/8/b1n2r2/ppp1p3/3pB2q/3P4/PPP1R3/R2Q2K1 w - -,e4c6
1brqr1k1/pb3ppp/1p2pn2/1N1p4/2P1Pn2/1P1BQ1N1/PB3PPP/2RR2K1 b - -,f6g4
r1bqr1k1/pppn1pbp/5np1/4p3/2N1P3/2P2N2/PPQ1BPPP/R1B2RK1 b - -,h7h6
1r1q1rk1/1bp2pp1/p2ppn1p/Q1P5/3Pn3/P3BNP1/4PPBP/2RR2K1 b - -,b7d5
r5k1/2qn1pp1/2p2n1p/2Ppp3/1N1P4/1N2P2P/2Q2PP1/1R4K1 b - -,f6e4
r1bq2k1/1p3rbn/1B1p4/PN1Pp2p/1P2Pn2/6p1/4B1P1/2RQNRK1 b - -,d8h4
5qk1/1p1b1rbp/4n2r/B1p1Np2/2Pp1P1Q/1P1P3P/P5RK/6R1 w - -,h4h6
rnrn4/6bk/p4ppp/2BBp3/8/5N1P/PP3PP1/R2R2K1 b - -,b8c6
r5k1/P2b1pbn/1q1p2pp/2pP4/4PP1B/Q1N2N1P/1r4P1/4RRK1 w - -,e1a1
r1b2rk1/1p5p/p4bp1/2p5/8/5N2/PP3PPP/RN2R1K1 w - -,b1c3
2k2rr1/pb6/1p6/2p1np1N/P3p3/2P1B3/2P2PPP/R4RK1 w - -,a4a5
r2q2k1/3nbppp/p3pn2/N2P4/R3P3/4BP2/1P1QB1PP/2r3K1 w - -,d2c1
8/3r3k/1p4p1/pP1q3p/P4R1P/3p2P1/1Q5K/8 w - -,f4f8
3B4/3Bn3/p4ppp/1pk5/4K1P1/2P4P/PP6/8 b - -,e7d5
5k2/5p2/1R5p/4PP2/p3K3/r6P/8/8 b - -,a3a1
r1br3k/2q3bp/1p2n1p1/p1p1p3/2P1Pp2/1P3N1P/PBQ1BPP1/2RR2K1 b - -,e6d4
8/6R1/7p/7k/4p3/6P1/r4P1K/8 w - -,h2h3
8/4k3/6p1/2K1P1P1/3N4/7n/8/8 w - -,d4f3
r2r2k1/1p3ppp/pbnpb3/4p3/1PP1P3/P1NB2B1/5PPP/1RR3K1 b - -,a8c8
r2qkb1r/pppn1ppp/2np4/1B2p3/3PP1b1/2P2N2/PP3PPP/RNBQK2R w KQkq -,c1e3
r1bqk2r/1p2ppbp/p1np1np1/2pN4/P3P3/1P3N2/1BPP1PPP/R2QKB1R w KQkq -,d5f6
r4k2/2P2p2/3Kp1p1/4P1P1/2B2P2/8/8/8 w - -,d6d7
8/p3K3/5Q2/8/8/4k3/8/1q6 w - -,f6h6
4r3/7P/8/4Kpk1/4pR2/4P2P/5P2/8 w - -,e5d6
8/1p2k3/p1b2p2/8/5NP1/P3r1K1/1P3R2/8 w - -,g3h4
7R/6K1/5p2/k4P1p/5P2/7r/8/8 b - -,h3h4
8/2P5/3K4/5b2/8/5rkp/2R5/8 w - -,c2c5
3rr1k1/pb1nqppp/1pp1p3/8/1bPPQ3/1P6/PB1NBPPP/3RR1K1 b - -,e7g5
8/p2b3p/3P1kp1/np1r1p2/8/P2B4/1P4PP/2NR2K1 w - -,d1e1
r2q1rk1/4bppp/p2p1n2/npp1p2b/P3P3/2PP1N1P/1PB2PP1/RNBQR1K1 w - c6,b1d2
3qr2k/1b1r1pp1/p3pn1p/1p2P3/8/P1NB2RQ/1PP3PP/4R2K b - -,f6h7
r4rk1/pp1q2bp/4pnp1/3p4/8/5N2/PPPPQ1PP/R1B2RK1 w - -,d2d3
2r1rbk1/1p1q1pp1/4pnp1/1pP3B1/3P4/1Q1R2P1/5PBP/1R4K1 b - -,b5b4
3r3k/p1r2ppp/8/2N2p2/1PP5/2B4P/P5P1/5RK1 b - -,h8g8
R7/8/4p3/2p1k3/4p1pp/1r6/4KP1P/5N2 w - -,a8g8
5rk1/6bp/2rq2p1/p3pp2/P2p1R2/1P1Q4/2P3PP/4NR1K w - -,f4f2
3r4/3q1pk1/p1R2bp1/3P3p/4QN1P/6P1/5PK1/8 b - -,d8e8
8/1p1n2p1/4pk1p/8/4PP2/P3K1PP/1P6/8 w - -,e3d4
3r2k1/p1R3Rp/1p6/2p5/8/Pp3bP1/1P3P2/2K2n2 b - -,g8h8
