8/1pB5/2b1kp2/5rpp/1R5P/3PK1P1/8/8 w - -,b4d4
r7/2Rnk1pp/4pn2/3p1p2/p2P1P2/P3P3/pP3P1P/2R3K1 w - -,c1a1
r3k2r/pp1qppbp/2np1np1/8/3NP3/2N1B3/PPP2PPP/R2QR1K1 b kq -,e8g8
3rr1k1/pppqbppp/4b3/3nP3/8/P4N1P/BP1B1PP1/R2QR1K1 w - -,f3d4
R7/5pkp/2BP2p1/8/4Q2b/1P6/8/2q3K1 w - -,g1h2
3rr1k1/qpb2pp1/4pn1p/p1P5/1PN5/2P4P/P1Q2PP1/1B2RRK1 b - -,e6e5
r1bq1r1k/pp4bp/2np3n/4p3/4P3/2N3B1/PP1NBPP1/R2Q1RK1 w - -,d2c4
r7/2k2R2/p5pp/3R1b2/8/2P4P/5PP1/6K1 b - -,c7c6
2r1n3/2q2pkp/6p1/1r2pb2/1PNp4/5NP1/1R1Q1P1P/2R2BK1 b - -,f5e4
6k1/4b1p1/p4q2/3bp3/1p1p4/P2P1PN1/1P4KP/4RR2 w - -,a3b4
3r4/p2r4/1p2ppk1/3b1p2/1Pp5/2P1B1P1/P2R1P1P/4RK2 b - -,d8c8
r3rbk1/p4qpp/2n2pb1/1p2p1Pn/3pP1QN/3P1B1P/PP3PN1/R1BR2K1 w - -,h4g6
7k/p1q2rpp/1p4n1/2pQP3/2P1P3/6P1/PB5P/3R2K1 w - -,e5e6
8/8/1p1r3p/6k1/PP5p/2K1R3/6P1/3R4 b - -,d6d1
r4rk1/1p3pp1/1n1b3p/1B1bp3/7B/P7/1P1N1PPP/2R1R1K1 w - -,d2e4
r4b1r/p3kppp/4p3/1Q1q4/8/2P2P2/P4P1P/1RB1K2R b K -,d5f3
r2r2k1/pp2bppp/2bppn2/q5B1/3NPP1P/2NQ4/PPP3P1/2KR3R b - h3,a8c8
N2r2k1/P4ppp/3b4/5P2/4p3/3n4/6PP/R2R2BK b - -,d8a8
8/p2k1r2/1p1p3p/2p2p2/2nP3B/2P1KPPP/P7/4R3 w - -,e3d3
r1bqr1k1/1ppn1ppp/3p1n2/p3p3/1bPP4/2N2NP1/PPQBPPBP/3R1RK1 b - -,d8e7:c7c6
6k1/5pbp/q2p1np1/2p5/1p3P2/1P3Q2/5BPP/4R1K1 w - -,f4f5
1kr2r2/1p1b4/p1q1p3/n2nP2p/3B1P2/P1NB4/1P4PK/3Q1RR1 w - -,c3d5
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP1B2/4PN2/PP3PPP/RN1QKB1R w KQkq -,d1c2
3r4/1p3k1p/3r1npB/qNp2p2/2P1P3/1Q3P2/PP3P1P/2K2B1R w - -,b5d6
3r1bk1/1qn3p1/r3pp2/p1p4p/RnP4P/2BPNNP1/4PP2/1R1Q2K1 b - -,d8a8
r7/4ppbk/q2p3p/2pP2p1/4r3/PP1bBNPP/3Q1P2/2R1R1K1 b - -,a8b8
8/5R1k/8/1p6/pr2p3/6P1/4KP2/8 b - -,h7g6
8/7p/4p2P/ppPkb1p1/3p2N1/P7/1KP5/8 b - -,e5h8
r1bq1rk1/1p2n1bp/2pp1np1/4pp2/1PP5/2NPP1P1/4NPBP/1RBQ1RK1 w - -,b4b5
2Rn4/3Pk3/1r4p1/2NBp1b1/2K1P2p/1P5P/6P1/8 w - -,b3b4
r4rk1/2q2ppp/p4n2/1pb1pP2/8/P3BNQ1/1PP3PP/R4RK1 w - -,e3c5
2b5/5p2/p7/1p2k1p1/1P1pP2p/P2B3P/4KPP1/8 w - -,f2f3
r2q1rk1/1b1nbppp/p1p1pn2/1p6/P7/2N2NP1/1PQPPPBP/R1BR2K1 w - -,d2d4
q4rk1/1brnbpp1/pp1ppn1p/8/P2NP1P1/2N5/1PP1QPBP/2BRR1K1 b - -,f8c8
rn3rk1/3b1pp1/pq2p2p/1pb5/4BB2/P3PN2/1PQ2PPP/3R1RK1 b - -,a8a7
8/8/p1p1k2p/P4p2/1P1BpPp1/2Pq4/5RK1/8 w - -,g2g1
8/2k5/1p1n4/p2P4/2KN4/PP6/8/8 w - -,c4d3
r1q2rk1/p5bp/1p1ppnp1/1Pp1n3/2P1P3/P2P2PP/2N1Q1K1/1RB2R2 w - -,c1f4
r1bq1rk1/pp3pp1/4pn1p/8/2Pn3B/P1N5/1P3PPP/R2QKB1R w KQ -,f1d3
6k1/1q3pp1/3bp2p/4N3/3P1K1P/1p2P3/1P3PP1/1Qr5 w - -,b1c1
r2qk2r/1ppb1pbp/p1np1np1/4p3/B3P3/2PP1NN1/PP3PPP/R1BQK2R b KQkq -,h7h6
r1b1r1k1/p4ppp/1n3B2/qp1p4/2pP4/2P1PB2/P1QN1PPP/R4RK1 b - -,g7f6
r1b2rk1/1p1n1ppp/4p3/8/1p1P4/1P1B4/2Q1NPPP/q1B2RK1 b - -,d7f6
2k1r3/pp2qp2/3p4/2R3Pp/Q3P2P/8/PPP5/1K5R b - -,d6c5
r4rk1/p4ppp/1pbqpn2/2pp4/3P4/2P1PN1P/PP1N1PP1/R2Q1RK1 w - -,f3e5
R7/8/8/5p2/4pk2/7r/4KP2/8 b - -,h3b3
6k1/1p3pP1/7P/1p1p1q2/5N1P/P2pr3/1P3QK1/8 b - -,f5g4
2k1r2r/pBpb1ppp/8/4p3/2P2P2/8/P1P2KPP/1R5R b - -,c8d8
r1bq4/1p4p1/p2kp2n/2pR4/3n1P1r/2NP1Q1B/PPP5/2K3NR b - -,e6d5
r2q2k1/B3b1pp/np2b3/1N1ppr2/P7/2P1PN2/1P4PP/R2QK2R w KQ -,e1g1
2rr4/p5k1/6pp/1p6/3pB3/PP2n2P/2PR2P1/5RK1 w - -,f1f3
8/5pk1/4p3/1r6/1p2n1B1/8/1R3PP1/5K2 b - -,e4c5
2rr2k1/pbq1bpp1/1pp1pn1p/8/2PPB3/PP3N2/1BQ2PPP/2RR2K1 w - -,f3e5
8/2r2pkp/2q3p1/2Pr4/PQ2p3/8/5PPP/R1R3K1 w - -,a4a5
rnb1kb1r/p2p1pp1/7p/2pP4/1p2N3/5N2/Pq2PPPP/R2QKB1R w KQkq -,e2e3
2rq1rk1/1p3p2/p4nnp/2p3pb/3p4/PB1P1N1P/NPP2PPB/R2Q2K1 b - -,g5g4
6k1/1R1b1pp1/p4n1p/2b5/8/1N2P1B1/5PPP/1r3NK1 w - -,b3c5
r2qkb1r/pppn1ppp/4pnb1/8/2BP4/5NN1/PPP2PPP/R1BQK2R w KQkq -,e1g1
r1bqk2r/p1pn1ppp/1p1ppn2/8/2PP4/P1Q1PN2/1P3PPP/R1B1KB1R b KQkq -,c8b7
8/4r2k/2R3p1/8/3K2PN/7n/8/8 w - -,h4g6
2b5/2Pq3k/5pr1/3p3p/7P/5QB1/6PK/4R3 b - -,d7g4
1r2b1k1/4bppp/4p3/1NNn4/Pn6/6PP/1B2PPB1/2R3K1 b - -,e8b5
7k/7p/p2p1prq/2pPn3/PpP1P3/1P5B/5R2/5Q1K b - -,g6g3
6kr/3r1pp1/p3pq2/1p1p3R/3P3P/P1P1Q3/1P3PP1/4R1K1 w - -,e3e5
2r5/p2k1pp1/4p2p/1Pbn4/1nR5/1N2P3/1P3PPP/3NB1K1 b - -,c5d6
2rrb1k1/1p2qp1p/p1n3p1/4p3/BP6/P3PN1P/4QPP1/2RR2K1 w - -,e2b2
3r2k1/5p2/pbp1r2p/1p3p2/3P1P2/P1P1BNP1/1Pb2K1P/R3R3 w - -,a1c1
3r1R1k/6p1/1p5p/8/1nB5/6P1/Pr5P/5R1K b - -,d8f8
3r1rk1/pbq1bp1p/1pp1pnp1/4N1B1/2PP4/3Q4/PPB2PPP/3RR1K1 w - -,d3h3
3r1rk1/ppq1bpp1/1np1bn1p/8/2PP4/1PN2N2/P1Q1BPPP/R1B1R1K1 w - -,c1b2
5r1k/ppq2rp1/3bb2p/3p3R/3P4/1Q1BP2P/PP2K3/3N2R1 w - -,b3c3
r5k1/pp1n2pp/2p1pq2/3p4/3P4/2NQP3/PPP3PP/4R1K1 w - -,e1f1
1k1r1b1r/1b2q2p/3p2pP/p1n1p3/PpQ5/3B1N2/1P2NPP1/1KR4R w - -,c4b5
3k4/8/8/1B1P1N2/2P1K3/8/8/3r4 w - -,e4e5
r1b1r3/pp3pkp/3p1np1/2pPq3/2P1PQ2/2NB3P/PP4P1/R4RK1 w - -,c3b5
r1b2rk1/1p2q1bp/p5p1/2P1p1N1/3nQ3/3B3P/P4PP1/1RBR2K1 b - -,e7c5
r4rk1/p1q1bppp/1np1p3/P7/1p2PP2/1b4P1/1PQ3BP/R1BR2K1 w - -,c2b3
5rk1/1rq2ppp/3pB3/p2Pp3/1n2P3/4PQ2/3R2PP/5RK1 w - -,f3h3
6k1/4p3/3p4/3P1pp1/4rP2/6B1/r4KN1/3R4 w - -,f2f1
r3kb1r/1bq2ppp/p1n1pn2/1p1pP3/5Q2/1PN2N2/PBP1BPPP/R4RK1 w kq d6,f1e1
8/Rp3pbk/1npN2p1/1r2p3/4P3/Bq1P2Pp/2Q2P1P/5K2 w - -,c2b3
8/8/1p2p3/1r4p1/R4k2/8/2K5/8 b - -,f4g3
8/5Np1/8/4p2p/5k1P/5n1K/5P2/8 b - -,f3d2
8/2k5/5pnp/P4p2/8/1N2K3/8/8 w - -,b3d4
1rr3k1/4pp1p/3p1np1/p6P/bq1QP1P1/5P2/1PPRB3/1NK4R w - -,d4b4
r1brq1k1/1p2b1pp/4pp2/pPB5/2P5/P4NPB/2Q2P1P/R3R1K1 b - -,e7c5
8/1qb2pkp/4p2p/2P1P3/1pQ2P2/1N4KP/6P1/8 b - -,g7g8
rn1qk1nr/1b2ppbp/pp4p1/3pP3/P2P4/2N2N2/1P2BPPP/R1BQK2R b KQkq -,e7e6
k5r1/pp6/8/2Pp1pPp/3P1p2/P4P2/1P6/2KR4 w - -,d1g1
2k1n3/5p1p/2p3p1/ppN1K3/3P2P1/1PP3P1/P4P2/8 b - -,c8c7
4r1k1/1p1b1pp1/2pq1n2/2nP3p/p1P2N1P/P4NP1/1PQ3B1/5RK1 w - -,f3g5
8/8/2k3p1/P2R1p1p/2P1p2P/r3P1P1/4K3/8 b - -,a3a2
rn1q1rk1/ppp1ppbp/3p2p1/5b2/2PPn3/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3h4:c3d5
4kb1r/1p3pp1/pBp1p2p/4P3/4R3/8/PPK2PPP/8 w - -,e4d4
2r3k1/pq4b1/1pr1p1pp/4Bp2/3P4/2P4Q/P4PPP/2R1R1K1 w - -,h3d3
5rk1/p1p2p1p/p2p2p1/8/3q1P2/P3r2P/1PP2QP1/1R3R1K w - -,f4f5
r1q1k2r/1p2bp2/pnp1pn2/4NpBp/3P3P/2N5/PPP1QPP1/3RR1K1 w kq -,a2a4
q3rb1k/1b3ppp/3n3N/1p6/3N1B2/1P4QP/6PK/5R2 b - -,g7h6
5rk1/p4p2/Qp2p2p/2r2q2/2P3p1/5nP1/P4PBP/R2R3K w - -,a6a7
r7/rpn2pk1/7p/1b1p2p1/1P1Pp3/6P1/3N1P1P/1RR2BK1 b - -,b5f1
2r2rk1/2q1npbp/p1b3p1/1p4N1/2p1P3/P1N1Q2P/1PB2PP1/R2R2K1 w - -,d1d2
k1qr3r/2p2p2/p1ppb2p/Q3b1pP/3NP3/1P2BP2/P1P3P1/1K1R3R b - -,e6d7
r3kb1r/1pn1npp1/1q2p2p/p2pP2P/Q2P1PP1/P4N2/1P5R/R1B1KB2 b Qkq -,e7c6
4r1kb/1pq1pp1p/3p2p1/r3n3/p2BP3/P4P2/QPP3PP/1KNRR3 b - -,e8c8
6k1/1p4b1/p2p3p/2p5/2R2N2/P6P/1P4P1/4r1K1 w - -,g1f2
8/8/5pk1/3p2p1/p1pBb2p/PrP4P/4qPP1/R1Q3K1 b - -,e4d3
5r1k/6b1/Q7/5rpp/1P3n2/2n5/P4PPP/3R1R1K w - -,d1d7
r1r2bk1/1p2pp1p/2bpn1p1/qN2n3/p1P1P3/2N1BP2/PPR2QPP/3R1B1K b - -,e6c5
rn1q1rk1/p1p1bppp/1p2pn2/3pN3/3P1P2/1P1bP3/P1P3PP/RNBQ1RK1 w - -,c2d3
4r2k/1pb1rqpp/p7/5p2/P2Bp3/1PP3PP/4RP1K/3QR3 w - -,f2f4
rnbqkb1r/pp3ppp/2p1pn2/3P4/3P4/4PN2/PP3PPP/RNBQKB1R b KQkq -,e6d5
2rr2k1/p3Q1p1/5p1p/3n4/2pp4/4PN2/P4PPP/R4RK1 b - -,d5e7
r1bq2nr/1p2kpb1/p1npp1pp/2p5/2B1P2P/P1NQ1N2/1PPP1PP1/R1B1K2R b KQ -,g8f6
4k2r/pRqn1ppp/Q2bpn2/4N3/P2P4/2p3N1/5PPP/2B3K1 b k -,c7c8
3r2k1/5p1p/p5p1/4p3/1p1r1b2/3N1R2/PPP5/1K1R1B2 b - -,g6g5
rnbq1rk1/pp2ppbp/5np1/2pp4/5P2/2PP1NP1/PP2P1BP/RNBQ1RK1 b - -,b8c6
3r2k1/p2n1pp1/1pBP1nqp/8/5BP1/P4Q1P/5PK1/3R4 w - -,d1e1
r3kb1r/pp1q1ppp/2n1pn2/1B3b2/3P4/2N2N2/PP3PPP/R1BQ1RK1 b kq -,a7a6
rn1qk2r/pbpnbppp/1p2p3/3pP3/3P4/2N3P1/PPP1NPBP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/4bppp/ppn1pn2/2p5/P2pPB2/1B1P1N1P/1PP1NPP1/R2QR1K1 b - -,c8b7
r1bq1r2/4pp1k/pn1p2pP/2pPb3/4PP2/2N5/PP1QB2P/R3K1NR b KQ f3,e5f6
6k1/2r4p/p5p1/b7/2bB1P2/5BP1/4P2P/2R3K1 b - -,c4b5
8/4k3/4P2p/5KbP/8/8/4N3/8 b - -,e7d6
5rk1/4R1bp/1p3pp1/1R1r4/2P5/3q2P1/P2Q1P1P/6K1 w - -,b5d5
b3k2r/3pb3/2n1p1pB/1qp5/4N3/3P2PP/1PP1Q1B1/5RK1 w k -,h6g7
8/2k1b3/p2p2p1/3PN2p/PP2Kp2/5P1P/6P1/8 b - -,d6e5
r3n1k1/p4p2/rnb4p/1p1pB1p1/2pP2P1/P1P1PP2/3NB2P/R1R3K1 w - -,g1f2
2r2r1k/1p4pp/p2p2bq/3B4/P2Qpb2/2P1N3/1P3PPP/R3R1K1 w - -,g2g3
r3k2r/1pqnbppp/p1p1p3/3p3b/2PP4/1Q1BP2P/PP1N1PP1/R1B2RK1 w kq -,e3e4
r4rk1/ppp3bp/4q3/5pQn/4p3/5N1P/PPP2PPB/3R1RK1 w - -,f3d4
1r5k/p3p1b1/5Q1p/3R2pB/8/2P1P1P1/PP3PP1/6K1 b - -,g7f6
1k2r3/2p5/1p1p1p1q/pPnP1Ppp/P2KP3/1P3B1P/4R3/3Q4 b - -,g5g4
5k2/p4r2/1p1p1R2/1P1P4/2P3p1/3KP3/8/8 w - -,f6d6
r1bqk2r/p2pnpbp/1pn1p1p1/8/3pP3/2N1B1P1/PPP1NPBP/R2QK2R w KQkq -,e2d4
r4rk1/1p1q1pp1/p1p1bb1p/2PpB3/Q2P4/6P1/PP2RPBP/4R1K1 b - -,f6e5
4k3/2b2p2/p1N1n1p1/P1p4p/2P1K2P/8/3R4/8 b - -,e8f8
r3k2r/1pqbnpp1/2n1p2p/2bpP2P/5PP1/1NPB1N2/P3Q3/1RB1K2R b Kkq -,c6a5
r2r3k/p3p1bp/1pb1Bn2/4p3/2P3P1/2N1BP2/PP5K/4RR2 w - -,h2g3
8/bp1bkp2/p1p5/2NqP1p1/P1pP2p1/Q4PB1/4K1P1/3r4 w - -,c5e4
2r3k1/1b3r1p/1q2p1p1/p1npP1P1/1p1R1P2/6NQ/PPPR4/1K3B2 w - -,f1g2
6k1/1pr4p/3PR3/2P1p1p1/P2pP3/8/3K2PP/8 b - -,c7d7
r1bqk2r/p3bppp/2p1pn2/3p2B1/4P3/3P1N2/PPQ2PPP/RN3RK1 b kq -,c8b7
4rrk1/1b4n1/p1p1q2p/Pp2Ppp1/1P2pP2/4P1PP/2RB3N/3QR1K1 w - -,d2c3
rnb2rk1/ppq1ppbp/3p1np1/2p5/3P4/1PP1PN2/PB2BPPP/RN1Q1RK1 b - -,c8f5
2rr2k1/1qbn1ppp/p1b1pn2/Pp4B1/1P6/5NP1/1Q2PPBP/1NRR2K1 b - -,c7b8
r1b1kb1r/1pq2ppp/p1nppn2/8/3NPP2/2N1BQ2/PPP3PP/R3KB1R w KQkq -,f1d3:e1c1
4r3/6pk/5p2/pp5p/2nB1P2/3R2PP/P1P5/3K4 w - -,d4c3
8/6p1/8/5p1P/k7/8/8/1K6 w - -,b1c2
r1r3k1/2p1Rpp1/1p1p2b1/p2P4/6Pp/4RB1P/PP3NK1/8 w - -,e7d7
2qrk2r/4b3/pp1pp3/5p1p/2PNnPp1/BP1RP1P1/P3Q2P/3R2K1 w k -,a3b4
8/2B2n2/1p2pp2/5k1p/7P/2P2PP1/4K3/8 b - -,b6b5
6r1/1n1P1K2/3N4/2Bk3p/3P3P/8/8/8 b - -,g8d8
r7/5P2/2R5/1pp2K2/2k5/4P3/8/8 b - -,b5b4
5k2/R4p2/4p1p1/4P3/5PP1/4P3/1r1K4/8 w - -,d2c3
r2r2k1/1p2qp1p/1np2bp1/4p3/PPQ1P3/5NBP/5PP1/R2R2K1 w - -,d1d8
r3qrk1/pbpn2bp/1p1p2p1/4pp2/1PPP4/2Q1PN1P/P3BPPB/R3R1K1 b - b3,a7a5
2kr1b1r/ppp2ppp/2n2n2/4p3/3P2b1/P1NQBNP1/1qP2PBP/R4RK1 b - -,b2b6
8/2R4p/R5pk/8/1b6/1P4PP/5P1K/3rn3 b - -,d1d2
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/2N2B2/PP2NPPP/R1BQ1RK1 b - -,d8d7
r4rk1/2pbn1pp/4qp2/1pp1pN2/4P1PP/P2P4/1PPBQ3/R3KR2 w Q -,e2g2
2r3k1/5p2/4p3/1p5q/6q1/4PN2/4KP2/R3N3 w - -,a1d1
rq3rk1/pb1nbppp/4p3/2p5/2N1P1n1/3B1N2/PPQ2PPP/R1B2RK1 b - -,d7e5
rnbqkb1r/pppp1ppp/5n2/4p3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq e6,d2d3:c2c4
1k1r3r/ppp2ppp/1n2pnq1/6R1/2PP4/2Q2B1P/PP3PP1/R1B3K1 b - -,g6h6
r1b2rk1/p5pp/2pq4/2bp4/4p3/1PQ1PN2/PB3PPP/R4RK1 b - -,f8f7
1r3r2/1pp1b1kp/p3qpp1/P7/Q1NpPR2/3P3P/1PP3P1/5R1K w - -,f4f2
8/p3Rpbk/6p1/4n2p/3BP3/2N4P/PPP3P1/2K2b2 b - -,f7f6
3r3r/7p/pp4pk/n1bBp3/4N3/4PR1p/P4P2/3R2K1 b - -,c5e7
3r1rk1/pp1q1ppp/3pbb2/4p3/3nP3/2N1QN2/PPP1BPPP/R2R2K1 w - -,e3d3
6k1/p6p/2N3p1/2P5/2P2r2/1P1R3b/P3rP2/R5K1 b - -,h3f5
rnbqk2r/p1p2pp1/1p3n1p/3p4/3P4/P1P1PP2/6PP/R1BQKBNR w KQkq -,f1d3
6rk/p3qp1p/1p1bbp2/2pp1p2/3P1P2/2P1PQ2/PP1N2PP/2KR3R w - -,h2h3
4kb1r/1bq1npp1/p3p2p/1pp1P3/3r3B/2NB4/PPP1QPPP/R3R1K1 w k -,h4g3
3r4/3P3p/1b4p1/2k1Rp2/B4P2/6P1/6KP/8 b - -,c5d6
r2r1k2/pn2npb1/1Pp3pp/1b2p3/NB2P3/1P3NPP/P4PB1/R3R1K1 w - -,a4c5
8/8/5p2/2kNb1p1/3pPpP1/1K1P1P2/8/8 w - -,d5e7
8/1k6/8/p2n1P2/P2Q1b2/7K/3r4/8 w - -,d4g7
6k1/5p2/1b1p4/4p1pp/2q1P3/5PPK/P5QP/B7 b - -,f7f5
r1bq1rk1/2p1bppp/p1np1n2/1p6/3pP3/1BP2N2/PP3PPP/RNBQR1K1 w - -,f3d4:c3d4
3r2k1/5pp1/pp4p1/8/3P4/4bBP1/PP5P/3R1K2 w - -,d4d5
rq3rk1/1pnn1pbp/p2p2p1/2pp4/P1P1P3/2N1B2P/1P1QBPP1/2R2RK1 w - -,e4d5
6K1/pr1n1N2/8/P2k4/7b/8/3BR3/8 b - -,d7f6
r1b1k2r/pp2qpp1/1np4p/3p3n/3P4/2NBP3/PPQ1NPPP/1R2K2R w Kkq -,b2b4
r4rk1/4qppp/2p2n2/p1B1b3/2B1P3/P6P/1pQ2PP1/3R1RK1 b - -,e7c7
2r2rk1/pp1qppbp/3p1np1/8/2P5/4B1PP/PP2QPB1/R4RK1 b - -,b7b5
5rk1/3rbppp/pqn1p3/1p1n4/3P4/1QN1BN2/PP3PPP/2R2RK1 b - -,c6a5
4r3/3RP1k1/5Pp1/pp5p/8/6PK/PP3P2/8 b - -,g7f6
5r2/2k2p2/5R2/8/2Npp3/P7/1P4PP/6K1 b - -,f8d8
r1bqkb1r/1ppnpp1p/p2p1np1/8/3PPP2/2N1B2P/PPP3P1/R2QKBNR b KQkq f3,b7b5
r2qk1nr/pp4pp/2p5/3pPb2/3N4/3B4/PP1N1PPP/R2QK2R b KQkq -,f5d3
6k1/2n3p1/6B1/P1Pp4/6K1/7p/3B1r2/7R w - -,d2f4
8/5k2/1pr1pp2/p2r3p/4RP1P/2P3P1/P1K1R3/8 b - -,b6b5
r4rk1/1pqb2bp/n1p2n2/p4p2/2P1p3/PPN2NP1/1BQ2PBP/R4RK1 w - -,f3e1
4r3/1p2k1NQ/p5p1/q3p3/5rb1/8/PPP5/1K3R2 w - -,g7e8
8/2b5/p3k3/2B2p2/PP1K1Pp1/8/8/8 b - -,c7f4
3rr1k1/pp3pp1/2p4p/5q2/1P1P1P2/P1Q3Pb/3R2BP/R5K1 w - -,a1d1
8/8/3p4/k1pPb2p/2Pr4/K2B1R1P/8/8 w - -,a3b3
6k1/5p2/6p1/4Q2p/B1P4P/6P1/3q1P1K/4n3 w - -,e5f6
1rbn1rk1/2q1bppp/p4n2/1pp1pN2/2PpP2N/1B1P4/PP3PPP/R1BQR1K1 b - -,d8e6
8/5k2/8/3n4/8/pr6/N1RK1PPP/8 w - -,g2g3
6k1/1bp3pp/1pqp2r1/6n1/1PP2R2/3QPN2/5PPP/B4K2 b - -,g5e6
6bk/1p3q1p/p2N1n2/2P3Q1/8/7P/PP4PK/8 b - -,f7g7
2r1r1k1/pb2qppp/1p2pn2/4N3/PBPP4/1n1B2N1/4QPPP/3R1RK1 b - -,e7b4
r3rbk1/pp1q1ppp/2n2n2/3p3b/1P6/P1N2NPP/1B2PPB1/R2QR1K1 w - -,g1h2
3r1k2/6pp/3Pb3/pBp2p2/P6P/2P5/1P3KP1/3R4 b - h3,f8f7
rr4k1/1Q1bqnb1/3p2p1/p2PpP1p/7P/2N2PPB/PP6/R1B1K2R w KQ -,f5f6
r5k1/p7/bpn1pbpp/2p1p3/N7/5NP1/PPP2PBP/3rR1K1 w - -,e1d1
r1bqr1k1/3nb1pp/1pn1pp2/p1ppP3/3P1P2/2PBBN2/PP4PP/RN1Q1RK1 w - a6,d1c2
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 w - -,f1d1:c1f4:b2b3:b1c3:b1d2
3r3k/1R4b1/1p5p/2p1p1p1/8/2BP1PP1/r3PK2/5R2 w - -,f2e3
1rb1k2r/2qnb1p1/p2p4/3P4/R2B4/6p1/QPP2PBP/4R1K1 w k -,h2g3
8/2pk3p/2p1npp1/2Pp4/3P3P/1P2K1P1/2N2P2/8 w - -,c2e1
rnbqkb1r/pppn1ppp/4p3/3pP3/6Q1/1P6/PBPP1PPP/RN2KBNR b KQkq -,c7c5:h7h5
8/4b3/K1k5/5R2/6r1/8/8/8 w - -,f5h5
rnbq1rk1/ppppppbp/5np1/8/2P5/1P3NP1/PB1PPP1P/RN1QKB1R b KQ -,b7b6:c7c5:c7c6:d7d6:b8c6
2r1r1k1/p2n1ppp/8/2pP4/N3n3/6P1/P5BP/1R1R1K2 b - -,e4d6
